mogert,	মগের্ট,	মোজার্ট,	
bhagini,	ভাগিনী,	ভগিনী,	
radhanagar,	রাধানগর,	রাধানগর,	
abadamaner,	অবদামনের,	অবদমনের,	
patishapta,	পতিশপ্ত,	পাটিসাপটা,	
ghatla,	ঘটলা,	ঘটল,	
manohar,	মানহার,	মনোহর,	
somosto,	সমস্ত,	সমস্ত,	
governorer,	গভর্নরের,	গভর্ণরের,	
dooburir,	দুবুরির,	ডুবুরির,	
bisheshya,	বিশেষ্য,	বিশেষ্য,	
mashajida,	মসাজিদা,	মসজিদ,	
answereer,	আনসারির,	আনসারীর,	
koro,	কোরও,	করো,	
chhotogalper,	ছোটোগল্পের,	ছোটগল্পের,	
hossain,	হোসাইন,	হোসেইন,	
prabhur,	প্রভূর,	প্রভুর,	
parbotto,	পার্বত্য,	পার্বত্য,	
kiiborde,	কিবোরদে,	কীবোর্ড,	
jaak,	যাক,	জাঁক,	
baaik,	বাইক,	বাইক,	
tolemy,	তলিমি,	টলেমির,	
dimbacriti,	ডিম্বাকৃতি,	ডিম্বাকৃতি,	
shkalastic,	স্কলাস্টিক,	স্কলাস্টিক,	
prettii,	প্রেটি,	প্রিটি,	
basturyi,	বাস্তুরই,	বস্তুরই,	
brittakar,	বৃত্তাকার,	বৃত্তাকার,	
saarbhaarti,	সার্ভর্তী,	সার্ভারটি,	
ujbekistaner,	উজবেকিক্তনের,	উজবেকিস্তানের,	
baait,	বাইট,	বাইট,	
agiboner,	আগীবনের,	আজীবনের,	
remacry,	রেমাক্রি,	রেমাক্রী,	
vittiow,	ভিটিও,	ভিত্তিও,	
labonaktatar,	লবনাক্ততার,	লবণাক্ততার,	
dei,	দেই,	দিই,	
ponchashjon,	পঞ্চাশজন,	পঞ্চাশজন,	
bane,	বেন,	বনে,	
blagaarara,	ব্লগেরার,	ব্লগাররা,	
shomraat,	সম্রাত,	সম্রাট,	
ponthar,	পন্থার,	পন্থার,	
prokolpoguli,	প্রকল্পগুলি,	প্রকল্পগুলি,	
korush,	ক্রুশ,	ক্রুশ,	
aakkash,	আককাশ,	আককাস,	
jubokti,	যুবক্তি,	যুবকটি,	
shommotir,	সম্মতির,	সম্মতির,	
trans,	ট্রেন্স,	ট্রান্স,	
prakalpotike,	প্রকল্পতিকে,	প্রকল্পটিকে,	
zeebonjaapon,	জীবনজাপন,	জীবনযাপন,	
naphisa,	নফিস,	নাফিসা,	
shtena,	স্টেন,	স্টেন,	
vitti,	ভিট্টি,	ভিত্তিই,	
sangasthatike,	সংস্থাটটিকে,	সংস্থাটিকে,	
homes,	হোমেস,	হোমস,	
anchalgulote,	আঞ্চলগুলোতে,	অঞ্চলগুলোতে,	
behramporer,	বেহরামপুরের,	বহরমপুরের,	
mohibur,	মহিবুর,	মহিবুর,	
dankaan,	ডানকান,	ডানকান,	
hillser,	হিলসের,	হিলসের,	
soccar,	সক্চার,	সকার,	
dwibidha,	দ্বিবিধ্যা,	দ্বিবিধ,	
shangsthaner,	সংস্থানের,	সংস্থানের,	
lyaata,	ল্যাট,	ল্যাটা,	
opohoronn,	অপহরণ,	অপহরন,	
joubankal,	যৌবনকাল,	যৌবনকাল,	
thaakte,	থাকতে,	থাকতে,	
chandrimaa,	চন্দ্রিমা,	চন্দ্রিমা,	
saatzon,	সাতজন,	সাতজন,	
magical,	ম্যাজিক্যাল,	ম্যাজিকাল,	
korta,	কোর্ট,	করতা,	
chhuteer,	ছুটির,	ছুটির,	
shilpojat,	শিল্পোজাত,	শিল্পজাত,	
gabhaskar,	গভ্বক্র,	গাভাস্কার,	
sukumaree,	সুকুমারী,	সুকুমারী,	
chotogolper,	চোটোগল্পের,	ছোটগল্পের,	
shringgey,	শ্রীঙ্গে,	শৃঙ্গে,	
uporitole,	উপরিতলে,	উপরিতলে,	
geeja,	গেজ,	গেজ,	
sanyal,	সন্যল,	সান্যাল,	
sommoteer,	সম্মতির,	সম্মতির,	
mosjidsoho,	মসসিদসহ,	মসজিদসহ,	
akkhar,	এক্ষর,	অক্ষর,	
dajjho,	দজ্য,	দাহ্য,	
kloud,	ক্লাউড,	ক্লাউড,	
durgatsober,	দুর্গটবেবর,	দুর্গোৎসবে,	
golpokar,	গল্পকার,	গল্পকার,	
smaroker,	স্মরকের,	স্মারকের,	
somoshtigoto,	সমস্তিগত,	সমষ্টিগত,	
baire,	বেরে,	বাইরে,	
zhalkatthi,	ঝালকাঠি,	ঝালকাঠী,	
antorvukto,	অন্তর্ভূক্ত,	অন্তর্ভুক্ত,	
shaapholler,	স্ফল্রের,	সাফল্যের,	
lambatey,	লম্বাতে,	লম্বাটে,	
horipoor,	হরিপুর,	হরিপুর,	
rananganey,	রণাঙ্গনে,	রণাঙ্গনে,	
taatey,	তাতে,	তাতে,	
fanse,	ফেঁস,	ফাঁসে,	
madraser,	মাদরাসের,	মাদ্রাজের,	
piora,	পিওরা,	পিওর,	
tala,	টোল,	তালা,	
laz,	লজ,	লাজ,	
moqam,	মোকাম,	মোকাম,	
obhishangson,	অভিশংং,	অভিশংসন,	
ancholgulir,	আঞ্চলগুলির,	অঞ্চলগুলির,	
ghatkey,	ঘাটকে,	ঘাটকে,	
saramiks,	সারেমিক্স,	সিরামিকস,	
karmakandeo,	কর্মকান্ডেও,	কর্মকাণ্ডেও,	
cyanide,	চ্যানিডে,	সায়ানাইড,	
ekai,	একাই,	একাই,	
harano,	হারানো,	হারান,	
embeda,	এমবেদা,	এম্বেড,	
allah,	আল্লাহ,	আল্লাহ্,	
madaspushto,	মাদাস্পষ্ট,	মদদপুষ্ট,	
karlosha,	কার্লস,	কার্লোস,	
chhatoke,	ছোটকে,	ছাতকে,	
tachnach,	টাচনাচ,	তছনছ,	
eeksapreeshana,	এক্সপ্রেশন,	এক্সপ্রেশন,	
sabhanetri,	সভবেন্রী,	সভানেত্রী,	
vabnar,	ভব্নার,	ভাবনার,	
clause,	ক্লাউজে,	ক্লজ,	
rah,	রাহ,	রঃ,	
loha,	লোহা,	লোহা,	
nagarikkey,	নাগরিককে,	নাগরিককে,	
argho,	আর্ঘ,	অর্ঘ্য,	
heza,	হেজ,	হেজ,	
parijaner,	পরিজনের,	পরিজনের,	
asabhyaa,	অসভ্য,	অসভ্য,	
ogrodut,	অগ্রদূত,	অগ্রদূত,	
uporitale,	উপরিতালে,	উপরিতলে,	
shpredashhita,	স্প্রেডাসিট,	স্প্রেডশীট,	
churger,	চার্গের,	চার্জের,	
noditike,	নদীতীকে,	নদীটিকে,	
mugdal,	মুগ্যাল,	মুগডাল,	
nodike,	নদিকে,	নদীকে,	
onucheeder,	অনুচিদের,	অনুচ্ছেদের,	
ingrezraa,	ইংরেজ্রা,	ইংরেজরা,	
huk,	হুক,	হুক,	
oncholtee,	অঞ্চলটি,	অঞ্চলটি,	
ahong,	আহং,	অহং,	
venkotesh,	ভেনক্টেকেষ,	ভেঙ্কটেশ,	
minishtar,	মিনিস্টার,	মিনিস্টার,	
unit,	ইউনিট,	ইউনিট,	
byabaharkarie,	ব্যবহারকারী,	ব্যবহারকারীই,	
municipal,	মিউনিশিযাল,	মিউনিসিপ্যাল,	
tookrokey,	টুকরককে,	টুকরোকে,	
browser,	ব্রাউজের,	ব্রাউজার,	
gandhike,	গণ্ধিকে,	গান্ধীকে,	
swamijir,	স্বামীজির,	স্বামীজীর,	
prochondo,	প্রচন্দ,	প্রচণ্ড,	
rohosyo,	রহস্য,	রহস্য,	
sqalarashipa,	স্কলারশিপ,	স্কলারশিপ,	
barbe,	বরবে,	বাড়বে,	
abotaar,	অবতার,	অবতার,	
cheettronnattokar,	চিত্রনাট্যকার,	চিত্রনাট্যকার,	
vishad,	বিশাদ,	বিষদ,	
thraugh,	ট্রাউজ,	থ্রু,	
hanttey,	হাঁটতে,	হাঁটতে,	
porishrom,	পরিষ্রম,	পরিশ্রম,	
bhittimul,	ভিটিতমূল,	ভিত্তিমূল,	
pacchi,	পাচ্ছি,	পাচ্ছি,	
vishnuke,	বিষ্ণুকে,	বিষ্ণুকে,	
sainyader,	সৈন্যদের,	সৈন্যদের,	
elakaa,	এলাকা,	এলাকা,	
uindos,	উইন্ডোজ,	উইন্ডোস,	
shrabosti,	শ্রববস্তি,	শ্রাবস্তী,	
seekkhaou,	শেক্ষুও,	শিক্ষাও,	
giitikobitar,	গীতিকাবিতর,	গীতিকবিতার,	
quoota,	কোউটা,	কোটা,	
sahajlabhbhotar,	সহজ্লভভতর,	সহজলভ্যতার,	
baireo,	বেরেও,	বাইরেও,	
thakani,	ঠাকানি,	থাকেনি,	
sadeena,	সাডিন,	সাডেন,	
bandi,	বন্দি,	বন্দী,	
technocrat,	টেকনোর্যার,	টেকনোক্র্যাট,	
gaadhaa,	গাধা,	গাধা,	
murrayir,	মুরারির,	ম্যারির,	
nagorik,	নাগরিক,	নাগরিক,	
dolu,	দলু,	ডলু,	
sommotite,	সম্মতিতে,	সম্মতিতে,	
milekhaanek,	মিলেখানেক,	মাইলখানেক,	
sathikota,	সাথিকতা,	সঠিকতা,	
kiibord,	কিবোর্ড,	কীবোর্ড,	
aakkaas,	আককাশ,	আককাস,	
palta,	পাল্ট,	পালটা,	
chaudhurider,	চৌধুরিদের,	চৌধুরীদের,	
aarakani,	আরাকানী,	আরাকানী,	
keyu,	কেউ,	কেউ,	
pat,	পাত,	পেত,	
shorsha,	শর্শ,	সোর্স,	
paddhatiteo,	পদ্ধতিতেও,	পদ্ধতিতেই,	
ooporostho,	উপরস্থ,	উপরস্থ,	
karima,	করিমা,	করিম,	
nederlander,	নেডারল্যান্ডের,	নেদারল্যান্ডের,	
agomoner,	আগমনের,	আগমনের,	
horidwar,	হরিদ্বার,	হরিদ্বার,	
agenda,	অগেন্ড,	এজেন্ডা,	
boshoborti,	বশবর্তী,	বশবর্তী,	
chotto,	চত্ব,	ছোট্ট,	
grambaasio,	গ্রামবাসীও,	গ্রামবাসীও,	
leaders,	লিডার্স,	লিডার্স,	
manushera,	মনুুেরা,	মানুষেরা,	
tigers,	টাইজের্স,	টাইগার্স,	
neutrinoo,	নিউট্রিনো,	নিউট্রিনো,	
dhyanastho,	ধ্বানাস্থ,	ধ্যানস্থ,	
bikaargrasta,	বিকারগ্রাস্ট,	বিকারগ্রস্ত,	
dharabahikti,	ধারাবাহিক্তি,	ধারাবাহিকটি,	
sansthaner,	সংস্থানের,	সংস্থানের,	
whole,	উহলে,	হোল,	
samanyai,	সমন্যাই,	সামান্যই,	
vimsen,	ভীমেেন,	ভীমসেন,	
cheph,	চেফ,	শেফ,	
panchasjon,	পঞ্চাশজন,	পঞ্চাশজন,	
sikkhokke,	শিক্ষককে,	শিক্ষককে,	
awatara,	আভোটর,	অবতার,	
taresa,	তোরেসা,	টেরেসা,	
naaneer,	নানীর,	নানীর,	
emiretus,	এমেরিটাস,	এমিরেটাস,	
markeeting,	মার্কেটিং,	মার্কেটিং,	
arik,	এরিক,	আরিক,	
marmara,	মার্মার,	মারমারা,	
cholocchitreo,	চলোচিত্রেও,	চলচ্চিত্রেও,	
ibhila,	ইভিল,	ইভিল,	
hariken,	হারিকেন,	হ্যারিকেন,	
elaakao,	এলাকাও,	এলাকাও,	
showti,	শটটি,	শোটি,	
jeshthaa,	জেষ্ঠা,	জ্যেষ্ঠা,	
sobrakamer,	সব্রাকের,	সবরকমের,	
hari,	হারি,	হরি,	
shtonehenge,	স্টনেহেঙ্জ,	স্টোনহেঞ্জ,	
falak,	ফলক,	ফলক,	
ashankai,	আসঙ্কাই,	আশঙ্কাই,	
rahee,	রাহি,	রাহি,	
jonosanjog,	জনসঙ্গঞ,	জনসংযোগ,	
bedkey,	বেদকে,	বেদকে,	
patigonit,	পতিগণিত,	পাটিগণিত,	
baagicar,	বাগিকার,	বাগিচার,	
teyt,	টেইট,	টেট,	
achis,	আচিশ,	আছিস,	
shatoker,	শতকের,	শতকের,	
nirmolota,	নির্মলতা,	নির্মলতা,	
keraam,	কেরাম,	কেরাম,	
shrabastee,	শ্রবাসটি,	শ্রাবস্তী,	
sahopathike,	সহপাঠীকে,	সহপাঠীকে,	
shhyutara,	স্যুটার,	শ্যুটার,	
sahoocorzo,	সহুরক্য,	সাহচর্য,	
remakri,	রেমাকরী,	রেমাক্রী,	
notikotar,	নোতিকতার,	নৈতিকতার,	
chilahatee,	চিলাহাতি,	চিলাহাটি,	
iceberg,	আইকাইবার্জ,	আইসবার্গ,	
mookhomaundoler,	মুখমন্ডলের,	মুখমণ্ডলের,	
serup,	শেরুপ,	সেরুপ,	
siddhantoke,	সিদ্ধান্তকে,	সিদ্ধান্তকে,	
moolgoto,	মুলগত,	মূলগত,	
kata,	কট,	কোটা,	
ebham,	এভাম,	ইভিএম,	
dormetori,	ডরমেটরি,	ডরমিটরি,	
kormosongsthan,	কর্মসংস্থান,	কর্মসংস্থান,	
udvabone,	উদ্ভবনে,	উদ্ভাবনে,	
aabarto,	আবর্ত,	আবর্ত,	
shilpojato,	শিল্পোতা,	শিল্পজাত,	
kins,	কিংস,	কিংস,	
mitrer,	মাইট্রির,	মিত্রের,	
modeler,	মোডেলের,	মডেলের,	
protijogii,	প্রতিযোগী,	প্রতিযোগী,	
jounotar,	যৌনতার,	যৌনতার,	
hoomes,	হুমেস,	হোমস,	
jaandrel,	যান্ড্রেল,	জাঁদরেল,	
venkatesh,	ভেনকেটেেশ,	ভেঙ্কটেশ,	
pacchen,	পাঁছেন,	পাচ্ছেন,	
shucre,	সূক্রে,	সাকার,	
sikarder,	শিকার্ডের,	শিকারদের,	
vagadada,	ভাগাদা,	বাগদাদ,	
heejee,	হেজে,	হেজ,	
manushsoho,	মানুসহ,	মানুষসহ,	
ashamarthita,	অসমর্থিত,	অসমর্থিত,	
reejideens,	রেজিডেন্স,	রেসিডেন্স,	
culing,	কালিং,	কুলিং,	
perri,	প্যারি,	পেরি,	
hachchilo,	হচ্ছিল,	হচ্ছিলো,	
highcomissione,	হাইকমিশনে,	হাইকমিশনে,	
cena,	সেন,	সিনা,	
chhaani,	ছানি,	ছানি,	
porishkaron,	পরিষ্কারণ,	পরিষ্করণ,	
gyandas,	জ্ঞান্ডাজ,	জ্ঞানদাস,	
bishrinkhala,	বিশৃঙ্খলা,	বিশৃঙ্খলা,	
euro,	ইউরো,	ইউরো,	
deaubande,	দিউবন্দে,	দেওবন্দে,	
stone,	স্ট্যান,	স্টোন,	
salphat,	সলফত,	সালফেট,	
saranor,	সারানোর,	সরানোর,	
sainyara,	সৈন্যার,	সৈন্যরা,	
hamasa,	হহম,	হোমস,	
konphlikt,	কনফ্লিক্ট,	কনফ্লিক্ট,	
pro,	প্রও,	প্রো,	
gatirodh,	গতিরোধ,	গতিরোধ,	
bang,	বাং,	ব্যাং,	
aidii,	আইডি,	আইডিই,	
sobrokomer,	সব্রকমের,	সবরকমের,	
tafaat,	টফাত,	তফাৎ,	
nagarikata,	নাগরিকাতা,	নাগরিকতা,	
sikkhakromer,	শিক্ষাক্রমের,	শিক্ষাক্রমের,	
dharavassyokar,	ধারাভাস্যকর,	ধারাভাষ্যকার,	
oojbekistaner,	উজ্বেকিস্তানের,	উজবেকিস্তানের,	
dormitori,	ডরমেটরি,	ডরমিটরি,	
sabyastho,	সাব্যস্থ,	সাব্যস্থ,	
sikkhaou,	শিক্ষাও,	শিক্ষাও,	
sur,	সুর,	সুর,	
bouddher,	বৌদ্ধের,	বৌদ্ধের,	
graambaasheeo,	গ্রামবাসীও,	গ্রামবাসীও,	
ponjeekaar,	পঞ্জিকার,	পঞ্জিকার,	
chinito,	চিহিত,	চিনতো,	
mukherji,	মুখার্জি,	মুখার্জী,	
mukhamandoley,	মুখমন্ডলে,	মুখমণ্ডলে,	
shahocharje,	শাহরচার্যে,	সাহচর্যে,	
sikkhagata,	শিক্ষাগাতা,	শিক্ষাগত,	
baipasa,	বাইপাস,	বাইপাস,	
tatira,	তাতিরা,	তাঁতিরা,	
pathkramer,	পাঠক্রমের,	পাঠক্রমের,	
karmokerer,	কর্মকেরের,	কর্মকারের,	
nischitabhave,	নিশ্চিতভাবে,	নিশ্চিতভাবে,	
gotibege,	গতিবেজে,	গতিবেগে,	
futbolarder,	ফুটবললারদের,	ফুটবলারদের,	
subade,	সুবাদে,	সুবাদে,	
khele,	খেলে,	খেলে,	
gonesher,	গণেশের,	গণেশের,	
nabam,	নবম,	নবম,	
jonsa,	জনসা,	জোন্স,	
suddeen,	সুদ্দিন,	সাডেন,	
ankush,	অঙ্কুষ,	অংকুশ,	
arthonitite,	অর্থনীতিতে,	অর্থনীতিতে,	
gandhiyo,	গান্ধীয়,	গান্ধীও,	
digrike,	ডিগ্রীকে,	ডিগ্রিকে,	
gemske,	গেমসকে,	জেমসকে,	
postay,	পোস্টে,	পোস্টে,	
aazaadeer,	আজাদীর,	আজাদীর,	
shilbar,	শিলবার,	সিলভার,	
udbhabaker,	উদ্ভাবকের,	উদ্ভাবকের,	
claud,	ক্লদ,	ক্লাউড,	
aanhu,	আনু,	আনহু,	
nowel,	নোভেল,	নভেল,	
roobi,	রুবি,	রুবি,	
cal,	কাল,	চাল,	
orthat,	অর্থাত,	অর্থাৎ,	
upostheet,	উপস্থিত,	উপস্থিত,	
zeebonjapon,	জীবনজাপন,	জীবনযাপন,	
saccar,	সক্চার,	সকার,	
procharona,	প্রচারনা,	প্রচারণা,	
bandhuke,	বন্ধুকে,	বন্ধুকে,	
jammu,	জম্মু,	জম্মু,	
chainge,	চেই্,	চেঞ্জ,	
gore,	গরে,	গোর,	
anchalsamuher,	অঞ্চলসমূহের,	অঞ্চলসমূহের,	
phirti,	ফিরটি,	ফিরতি,	
sothikata,	সথিকতা,	সঠিকতা,	
jonoshongjog,	জনসঙ্গগ,	জনসংযোগ,	
planey,	প্লেযে,	প্লেনে,	
categoryr,	ক্যাটেজারির,	ক্যাটাগরির,	
chetanagato,	চেটনাগত,	চেতনাগত,	
nadnadeer,	নাদ্নাদির,	নদনদীর,	
manohputa,	মননসূত,	মনঃপুত,	
gadhaa,	গাধা,	গাধা,	
turki,	টার্কি,	তুর্কি,	
maradeho,	মারাদেহ,	মরদেহ,	
sanbadmadhyamgulote,	সংবাদাদম্যগুলোতে,	সংবাদমাধ্যমগুলোতে,	
soccer,	সকের,	সকার,	
ganochin,	গণচিন,	গণচীন,	
eshokol,	এসকল,	এসকল,	
karmojog,	কর্মযোগ,	কর্মযোগ,	
bizito,	বিজিত,	বিজিত,	
oncoleo,	অঞ্চলেও,	অঞ্চলেও,	
dayitta,	দৈত্য,	দায়িত্ব,	
janomukhi,	জননমঝখী,	জনমুখী,	
bhagna,	ভগ্ন,	ভগ্ন,	
chaalabi,	চালাবি,	চালাবে,	
definishian,	ডেফিনিশন,	ডেফিনেশন,	
vandare,	ভান্ডারে,	ভাণ্ডারে,	
airesey,	আইরেজে,	আইরেসে,	
maddhuri,	মধুধুরি,	মাধুরী,	
holuder,	হলুদের,	হলুদের,	
gatrey,	গাত্রে,	গাত্রে,	
azibonoer,	আজীবনের,	আজীবনের,	
rayyalati,	রয়্যালটি,	রয়্যালটি,	
tongaa,	তঙ্গা,	টোঙ্গা,	
jatti,	যাটি,	জাতটি,	
nothivukto,	নথিভুক্ত,	নথিভুক্ত,	
naditei,	নাদিতেই,	নদীতেই,	
muscat,	মাসকাট,	মাস্কাট,	
postay,	পোস্টে,	পোষ্টে,	
ganachiner,	গণনিছেনের,	গণচীনের,	
janosanjog,	জনসঙ্গগ,	জনসংযোগ,	
bojhar,	বোঝার,	বোঝার,	
bhabani,	ভবনী,	ভবানী,	
tinti,	তিনটি,	তিনটি,	
mohammadi,	মোহাম্মদী,	মুহাম্মদী,	
bhangle,	ভাঙলে,	ভাঙলে,	
fase,	ফেজ,	ফাঁসে,	
nathivukto,	নথিভুক্ত,	নথিভুক্ত,	
debdebie,	দেবদেদীবী,	দেবদেবী,	
ballroom,	বললার,	বলরুম,	
shringgo,	শ্রীঙ্গ,	শৃঙ্গ,	
dibating,	ডিবেটিং,	ডিবেটিং,	
ssahosikotar,	সাসহিকতার,	সাহসিকতার,	
nitikatha,	নীতিকাঠা,	নীতিকথা,	
shhooter,	শুটার,	শ্যুটার,	
evar,	আইভার,	এভার,	
steen,	স্টেন,	স্টেন,	
oncholtite,	অঞ্চলতিতে,	অঞ্চলটিতে,	
nabheela,	নেভিল,	নভেল,	
bronze,	ব্র্ঞ্জ,	ব্রোঞ্জ,	
through,	ট্রুউ,	থ্রু,	
rushad,	রুশদ,	রুশদ,	
kule,	কুলে,	কুলে,	
footbalarra,	ফুটবললরা,	ফুটবলাররা,	
maudelti,	মডলিলটি,	মডেলটি,	
sotteo,	সত্যেও,	সত্ত্বেও,	
chirokoomari,	চিরকুমারি,	চিরকুমারী,	
chhutee,	ছুটি,	ছুটি,	
ikbaler,	ইকবালের,	ইকবালের,	
skara,	স্কার,	স্কোর,	
kartana,	কার্টন,	করতনা,	
duckticketer,	ডাক্টিকেটের,	ডাকটিকিটের,	
vodqa,	ভোক্া,	ভদকা,	
ongshogrohon,	অংশগ্রহণ,	অংশগ্রহন,	
reliance,	রেলিয়েন্স,	রিলায়েন্স,	
kasper,	কা্পের,	ক্যাসপার,	
komaanndar,	কমান্ডার,	কমাণ্ডার,	
shaalehaa,	সালেহা,	সালেহা,	
ganesh,	গেনেস,	গণেশ,	
zacksan,	জকক্,	জ্যাকসন,	
nadnodir,	নদ্ননীর,	নদনদীর,	
batikromshalee,	বাতিকর্ষমীলী,	ব্যতিক্রমধর্মী,	
uporitaley,	উপরিতালে,	উপরিতলে,	
muhit,	মুহিত,	মুহিত,	
aamoode,	আমুদে,	আমুদে,	
vogni,	ভগ্নী,	ভগ্নী,	
moorali,	মুরালি,	মুরলী,	
sansthagulo,	সংস্থাগুলো,	সংস্থাগুলো,	
batsmaner,	বাসসমেনের,	ব্যাটসম্যানের,	
ganana,	গননান,	গননা,	
dharavahikbhabe,	ধারাভিকভাবে,	ধারাবাহিকভাবে,	
vugoley,	ভুগলে,	ভূগোলে,	
khagen,	খাগেন,	খগেন,	
anchaleo,	আঞ্চলেও,	অঞ্চলেও,	
sanmukh,	সন্মুখ,	সন্মুখ,	
bohorompurer,	বহরামপুরের,	বহরমপুরের,	
koda,	কোদা,	কোড,	
metropalitana,	মেট্রোপলিটান,	মেট্রোপলিটন,	
prokalpati,	প্রকল্পটি,	প্রকল্পটি,	
roomantik,	রুমান্টিক,	রোমান্টিক,	
motabolambira,	মতবালব্মিরা,	মতাবলম্বীরা,	
janachhe,	জানাচ্ছে,	জানাচ্ছে,	
byaboharkarikey,	ব্যবহারকারিকে,	ব্যবহারকারীকে,	
hishabke,	হিশাবকে,	হিসাবকে,	
engineering,	ইন্গাইনিরিং,	ইঞ্জিনিয়ারিং,	
boney,	বনে,	বনে,	
bhootara,	ভুটার,	ভোটার,	
pretti,	প্রেটটি,	প্রিটি,	
antarvuktimulok,	অন্তর্ভূক্তিকূলক,	অন্তর্ভুক্তিমূলক,	
the,	টি,	থাই,	
doover,	ডুভের,	ডোভার,	
gandhiike,	গান্ধীকে,	গান্ধীকে,	
dembakriti,	দেমবাকৃতি,	ডিম্বাকৃতি,	
sanbadmadhyamer,	সংবাদ্ধমাধের,	সংবাদমাধ্যমের,	
sarbhaarti,	সার্ভর্তী,	সার্ভারটি,	
artherer,	আর্থেরের,	আর্থারের,	
teksuser,	টেক্সুসের,	টেক্সাসের,	
byatari,	ব্যাটারি,	ব্যাটারী,	
elakaatir,	এলাকাতির,	এলাকাটির,	
savanetri,	সভানেত্রী,	সভানেত্রী,	
murader,	মুরাদের,	মুরাদের,	
mahey,	মহে,	মাহে,	
roktokhorone,	রক্তকরণে,	রক্তক্ষরণে,	
dece,	ডিসে,	ডেকে,	
kaatbey,	কাটবে,	কাটবে,	
ibhara,	ইভার,	এভার,	
carpeter,	কারপেটের,	কার্পেটের,	
madhobike,	মাধবিকে,	মাধবীকে,	
jerusaleme,	জেরুসালিমে,	জেরুসালেমে,	
dayitwa,	দৈত্য,	দায়িত্ব,	
karlasa,	কার্লস,	কার্লোস,	
jotinke,	জটিনকে,	যতীনকে,	
naitikata,	নাইটিকতা,	নৈতিকতা,	
jatok,	যতক,	জাতক,	
norfolq,	নরফলক,	নরফোক,	
victor,	ভিক্টর,	ভিক্টর,	
chetana,	চেতন,	চেতনা,	
joqy,	জকি,	জকি,	
damone,	দামনে,	দমনে,	
chhaanake,	ছানাকে,	ছানাকে,	
degreer,	ডিগ্রীর,	ডিগ্রির,	
sibraz,	শিবরাজ,	শিবরাজ,	
ancholke,	আঞ্চলকে,	অঞ্চলকে,	
sohopatheekey,	সহপাঠীকে,	সহপাঠীকে,	
trup,	ট্রুপ,	ট্রুপ,	
maithili,	মিথিলি,	মৈথিলি,	
puding,	পুডিং,	পুডিং,	
mousumti,	মৌসম্তি,	মৌসুমটি,	
aastikotaa,	আস্তিকাত,	আস্তিকতা,	
kandey,	কান্ডে,	কাণ্ডে,	
jamkalo,	জমকাল,	জমকালো,	
routiner,	রাউটিনের,	রুটিনের,	
arashie,	আরাসি,	আরসিএ,	
pratijogider,	প্রতিযোগীদের,	প্রতিযোগীদের,	
maudelder,	মোডিলদের,	মডেলদের,	
ajijer,	অজিজের,	আজিজের,	
aalkatra,	আলকাত্রা,	আলকাতরা,	
jotota,	যতটা,	যতোটা,	
janes,	জনেস,	জোন্স,	
tatey,	তাতে,	তাতে,	
pragreesa,	প্রগ্রেস,	প্রগ্রেস,	
khappar,	খাপপার,	খপ্পর,	
attacharito,	অত্যচরিত,	অত্যাচারিত,	
nikel,	নিকেল,	নিকেল,	
upobasee,	উপবাসী,	উপবাসী,	
wedanta,	উদেন্ট,	বেদান্ত,	
greep,	গ্রীপ,	গ্রিপ,	
nothivuktir,	নথিভূক্তির,	নথিভুক্তির,	
mojdoor,	মজদুর,	মজদুর,	
debdeby,	দেবদেবী,	দেবদেবী,	
state,	স্টেট,	স্টেইট,	
noitikbhabe,	নৈতিকভাবে,	নৈতিকভাবে,	
cholochchitreeo,	চলচিত্রেও,	চলচ্চিত্রেও,	
kamola,	কমলা,	কামলা,	
dhonni,	ধননি,	ধন্যি,	
licensin,	লিকেন্স,	লাইসেন্সিং,	
lampot,	ল্যাম্পট,	লম্পট,	
oholla,	ওহল্লা,	অহল্যা,	
grambasheeo,	গ্রামবাশীও,	গ্রামবাসীও,	
lutheeran,	লুঠিরন,	লুথেরান,	
boikalya,	বৈকল্য,	বৈকল্য,	
somoodrotote,	সমুদ্রততে,	সমুদ্রতটে,	
nuhas,	নুঃস,	নুহাশ,	
moonim,	মুনিং,	মুনিম,	
choudhoorio,	চৌধুরিও,	চৌধুরীও,	
asociates,	অসযাকিসেট,	এসোসিয়েটস,	
biplobir,	বিপ্লবির,	বিপ্লবীর,	
kanasarabheeshana,	কনসারভেশন,	কনসারভেশন,	
shho,	শো,	শো,	
teuning,	টিউনিং,	টিউনিং,	
daaradaa,	ডারাদা,	দারদা,	
aksathe,	একসাথে,	একসাথে,	
halloin,	হলযাইন,	হ্যালোইন,	
abhisongson,	অভিসংসন,	অভিশংসন,	
jworer,	জুরের,	জ্বরের,	
taateo,	তাতেও,	তাতেও,	
gezetted,	জেজেটেট,	গেজেটেড,	
roktokkhon,	রক্তক্ষণ,	রক্তক্ষরণের,	
transhform,	ট্রান্সপোর্ম,	ট্রান্সফর্ম,	
royalty,	রোয়াল্টি,	রয়্যালটি,	
boudha,	বৌধ,	বৌদ্ধ,	
fix,	ফিক্স,	ফিক্স,	
veda,	ভেদা,	বেদ,	
welcome,	ওয়েলকে,	ওয়েলকাম,	
mosan,	মশান,	মোশন,	
spreedashita,	স্প্রেডিস,	স্প্রেডশীট,	
jonmaat,	জন্মাত,	জন্মাত,	
noitikvabe,	নৈতিকভাবে,	নৈতিকভাবে,	
