digrike,	ডিগ্রীকে,	ডিগ্রিকে,	
vogirath,	ওগীরাথ,	ভগীরথ,	
aasirbaad,	আশীরাবাদ,	আশির্বাদ,	
romancha,	রোমান্চা,	রোমাঞ্চ,	
haridware,	হারিদ্বরে,	হরিদ্বারে,	
oiteejye,	ঐতিজ্যে,	ঐতিহ্যে,	
bandike,	বাঁদিকে,	বন্দীকে,	
priimoo,	প্রীমু,	প্রিমো,	
osshoshtikor,	অস্বাস্তিকর,	অস্বস্তিকর,	
ispredsiit,	স্পডেসেট,	স্প্রেডশীট,	
jakkho,	যক্ষ,	যক্ষ,	
koomarir,	কুমারীর,	কুমারীর,	
firojer,	ফিরোজের,	ফিরোজের,	
bishnoo,	বিষ্ণ,	বিষ্ণু,	
swarther,	স্বার্থের,	স্বার্থের,	
hossain,	হোসেন,	হোসেইন,	
kisti,	কিষসি,	কিস্তি,	
byakhyatito,	ব্যা্থতিত,	ব্যাখ্যাতীত,	
shipa,	শিপ,	শিপ,	
hillser,	হিলসের,	হিলসের,	
domonmulok,	দমনমূলক,	দমনমূলক,	
airesey,	আইরিস,	আইরেসে,	
tuni,	তুনি,	টুনি,	
jotinkey,	জতিনকে,	যতীনকে,	
americar,	অ্যামেরিকার,	আমেরিকার,	
batsmanei,	বাসমামেই,	ব্যাটসম্যানই,	
pulse,	পালসে,	পালস,	
plus,	প্লাস,	প্লাস,	
antorvukta,	অন্তর্ভূক্ত,	অন্তর্ভুক্ত,	
baarakpur,	বারাপকুর,	বারাকপুর,	
teto,	তত,	তেতো,	
mmeloborrne,	মেলাবরেন,	মেলবোর্নে,	
jeebonnogor,	জীবনগনগর,	জীবননগর,	
juktorastreo,	যুক্তরাস্ট্রে,	যুক্তরাষ্ট্রেও,	
byaboharkarikey,	ব্যাবহারকারীকে,	ব্যবহারকারীকে,	
reno,	রেনো,	রেনো,	
proteemar,	প্রতিমার,	প্রতিমার,	
aakkaash,	আক্ষা,	আককাস,	
chirata,	চিরতা,	চিরতা,	
rajtantrake,	রাজনতা্ত্রকে,	রাজতন্ত্রকে,	
harza,	হার্জ,	হার্জ,	
ooporoshtho,	অপরাষ্ঠ,	উপরস্থ,	
boshoborty,	বস্বর্তী,	বশবর্তী,	
chamke,	চামকে,	চমকে,	
beshirbhagei,	বেশীরভাগেই,	বেশিরভাগেই,	
engrezra,	ইংগ্রেগ্রা,	ইংরেজরা,	
lyandim,	ল্যান্ডিং,	ল্যান্ডিং,	
prachuryer,	প্রচুরির,	প্রাচুর্যের,	
sofir,	সফির,	সোফির,	
shudden,	সাদডেন,	সাডেন,	
nirorthok,	নিরোর্থক,	নিরর্থক,	
shorifer,	শরীফের,	শরিফের,	
bhyaatikaaner,	ভ্যাতিকানের,	ভ্যাটিকানের,	
manur,	মানুর,	মনুর,	
prasadhaner,	প্রসাধনের,	প্রসাধনের,	
parikha,	পরীক্ষা,	পরিখার,	
gronthoo,	গ্রন্থু,	গ্রন্থও,	
miley,	মিলে,	মাইলে,	
sathikata,	সতিকতা,	সঠিকতা,	
bhyatikaner,	ভ্যাতিকানের,	ভ্যাটিকানের,	
udbodhone,	উদ্বোধনে,	উদ্বোধনে,	
templete,	টেম্পললটেট,	টেম্পলেট,	
godavari,	গদওভারী,	গোদাবরী,	
bosante,	বসান্তে,	বসন্তে,	
rabeta,	রবেত,	রাবেতা,	
ogobhir,	অগভীর,	অগভীর,	
digrir,	ডিগ্রীর,	ডিগ্রির,	
shatan,	শতন,	শয়তান,	
mahey,	মহে,	মাহে,	
kadorer,	কাদের,	কদরের,	
definitian,	ডেফিনিশন,	ডেফিনেশন,	
nagorikra,	নাগীরকরা,	নাগরিকরা,	
sur,	শুর,	সুর,	
mukhobandho,	মুখন্ধ্ধ,	মুখবন্ধ,	
phirtee,	ফার্টি,	ফিরতি,	
sosar,	সসার,	সকার,	
olimpiker,	অলিম্পিকের,	অলিম্পিকের,	
bonke,	বোনকে,	বনকে,	
ingrezraa,	ইংগ্রে,	ইংরেজরা,	
dhaloor,	ঢালুর,	ঢালুর,	
beeswasi,	বিশ্বাসী,	বিশ্বাসী,	
chatoke,	চটকে,	ছাতকে,	
nagare,	নাগে,	নগরে,	
grambaseer,	গ্রামাবাসীর,	গ্রামবাসীর,	
proshikkhane,	প্রশিক্ষণে,	প্রশিক্ষণে,	
mmesenjar,	মেঞসসের,	মেসেঞ্জার,	
sbatantrata,	স্বততন্ত্র,	স্বতন্ত্রতা,	
meyiler,	মেইলের,	মেইলের,	
ponthaar,	পন্থার,	পন্থার,	
marketing,	মার্কেটিং,	মার্কেটিং,	
jaroori,	জারুরি,	জরূরী,	
muhit,	মূহিত,	মুহিত,	
gajetted,	গাজেটদের,	গেজেটেড,	
shomsti,	শমস্তি,	সমষ্টি,	
sangastha,	সংগ্যস্থ,	সংস্থা,	
shivraj,	শিবরাজ,	শিবরাজ,	
hypar,	হাইপার,	হাইপার,	
sheekarder,	শিকররদের,	শিকারদের,	
anyorup,	অন্যরূপ,	অন্যরূপ,	
vejaano,	ভেজানো,	ভেজানো,	
hili,	হিলি,	হিলি,	
jaubanbati,	যৌবনাবতী,	যৌবনবতী,	
landey,	ল্যান্ডে,	ল্যান্ডে,	
shahabike,	সাহাবীকে,	সাহাবীকে,	
neutrina,	নিউট্রিন,	নিউট্রিনো,	
byte,	বিতে,	বাইট,	
jwar,	য্বর,	জ্বর,	
awnurbor,	অনুর্বর,	অনুর্বর,	
rupantor,	রূপান্তর,	রুপান্তর,	
meghnabodh,	মে্নবন্ধ,	মেঘনাদবধ,	
dackop,	ডাকাপ,	দাকোপ,	
daaloo,	ডালু,	ডালু,	
pudding,	পুদ্দিং,	পুডিং,	
turkamena,	তুরকামান,	তুর্কমেন,	
sibraj,	শিবরাজ,	শিবরাজ,	
obhijojan,	অভিযোজন,	অভিযোজন,	
pratiyogitar,	প্রতিযোগিতার,	প্রতিযোগীতার,	
mugdaal,	মুগদাল,	মুগডাল,	
pratijogira,	প্রতিযোগীরা,	প্রতিযোগীরা,	
bhalobass,	ভালবাস,	ভালোবাসা,	
panchashjan,	পঞ্চাশাজন,	পঞ্চাশজন,	
taruner,	তারুণের,	তরুণের,	
muladi,	মুলাদী,	মুলাদি,	
dormitoree,	ডরমেটরি,	ডরমিটরি,	
myat,	ম্যাট,	ম্যাট,	
tolemyr,	তলেমীর,	টলেমির,	
eekbaler,	এক্লবের,	ইকবালের,	
besirvagei,	বেশীরভাগেই,	বেশিরভাগেই,	
sahapatheekey,	সহপাঠীীকে,	সহপাঠীকে,	
foltir,	ফলটির,	ফলটির,	
markete,	মার্কেট,	মার্কেটে,	
kool,	কুল,	কুল,	
meghkey,	মেহকে,	মেঘকে,	
kaanaai,	কানাই,	কানাই,	
soource,	সার্স,	সোর্স,	
tenisa,	টেনিস,	টেনিস,	
brindaa,	ব্রিন্দা,	বৃন্দা,	
smarok,	স্মরক,	স্মারক,	
dhos,	ধ্ব,	ধস,	
tenise,	ট্যানিস,	টেনিসে,	
oitihyer,	ঐতিহ্যের,	ঐতিহ্যের,	
ranangone,	রণাঙ্গনে,	রণাঙ্গনে,	
skolaroship,	স্কলারশিপ,	স্কলারশিপ,	
footballerer,	ফুটল্রারের,	ফুটবলারের,	
songhitar,	সংঘীতার,	সংহিতার,	
haraten,	হারাতেন,	হারাতেন,	
elahabade,	এলাহাবাদে,	এলাহাবাদে,	
bhartuky,	ভর্তুকী,	ভর্তুকি,	
chalochchitroi,	চলচিত্রী,	চলচ্চিত্রই,	
loukeekotaa,	লৌকিকতা,	লৌকিকতা,	
taalaal,	তালাল,	তালাল,	
longhan,	লঙ্ঘন,	লংঘন,	
bronjer,	ব্রঞ্ের,	ব্রোঞ্জের,	
saamaanya,	সামান্য,	সামান্য,	
amshtrong,	অংস্ট্রং,	আর্মস্ট্রং,	
monoputo,	মনপুত,	মনঃপুত,	
habshi,	হবশি,	হাবশী,	
mitre,	মাইত্রে,	মিত্র,	
chalo,	ছালু,	চলো,	
gavashkar,	গভাষকার,	গাভাস্কার,	
abhidhanick,	অভিধানিক,	অভিধানিক,	
tottorat,	তত্তরাত,	তওরাত,	
samanwitabhabe,	সমানুজভাতে,	সমন্বিতভাবে,	
jahor,	জহর,	জহর,	
sampadankari,	সম্পাদকারী,	সম্পাদনকারী,	
kunntee,	কুন্তি,	কুন্তী,	
elakati,	এলাকাটি,	এলাকাটি,	
isahak,	ইসহাক,	ইসাহাক,	
nabom,	নবম,	নবম,	
elakaao,	এলাকাও,	এলাকাও,	
kamij,	কমিজ,	কামিজ,	
atyacharita,	অত্যাচারীত,	অত্যাচারিত,	
sollalaho,	সল্যালালাহ,	সল্লাল্লাহু,	
sothikota,	সতিকতা,	সঠিকতা,	
chheelonaa,	ছিলানা,	ছিলনা,	
vagadada,	ভাগাদাদা,	বাগদাদ,	
daackticket,	ডাকিকটকেট,	ডাকটিকিট,	
reefleex,	রেফল্লক,	রিফ্লেক্স,	
provuder,	প্রভাউের,	প্রভুদের,	
daakteekite,	ডাক্তিকীতে,	ডাকটিকিটে,	
krej,	ক্রেজ,	ক্রেজ,	
karecha,	করেছা,	করেছ,	
suma,	সুম,	সুমো,	
phakay,	ফককে,	ফাকে,	
kheley,	খেলে,	খেলে,	
aviyojan,	অভিযোজন,	অভিযোজন,	
koro,	কররও,	করো,	
rahi,	রহি,	রাহি,	
milekhanek,	মিলেখনেক,	মাইলখানেক,	
kanasharabheshhana,	কনসারেশন,	কনসারভেশন,	
abhijojan,	অভিযোজন,	অভিযোজন,	
shfingtar,	সিফিংটার,	স্ফিংটার,	
bordhitangsho,	বর্ধিতাশচ,	বর্ধিতাংশ,	
vobanipur,	ভবানীপুর,	ভবানীপুর,	
bolechile,	বলেছিলে,	বলেছিলে,	
sukkhma,	সূক্ষ্ম,	সুক্ষ্ম,	
jounatar,	যৌনতার,	যৌনতার,	
dharmantar,	ধর্মন্তর,	ধর্মান্তর,	
falashruti,	ফলাস্তুতি,	ফলশ্রুতি,	
abosorer,	অবসরের,	অবসরের,	
nischitvabe,	নিশ্বিতভাবে,	নিশ্চিতভাবে,	
stana,	স্তন,	স্টোন,	
codey,	কোডে,	কোডে,	
trete,	ট্রাট,	ট্রেতে,	
aalaa,	আলা,	আলা,	
bishwaashshke,	বিশ্বাসকে,	বিশ্বাসকে,	
ajimpoor,	আজিমপুর,	আজিমপুর,	
eastar,	এস্টার,	ইস্টার,	
theland,	থিল্যান্ড,	থাইল্যান্ড,	
jokkho,	যক্ষ,	যক্ষ,	
seeramiks,	সিরামেক্স,	সিরামিকস,	
jamaanor,	জামানোর,	জমানোর,	
duburira,	দুবুরারা,	ডুবুরিরা,	
horeener,	হররেনের,	হরিণের,	
lokeshon,	লোকেশন,	লোকেশন,	
muldhara,	মুলধারা,	মূলধারা,	
popeke,	পপকে,	পোপকে,	
mozdoor,	মজুদুর,	মজদুর,	
korkotkraanti,	কর্ককরতন্তি,	কর্কটক্রান্তি,	
sachetanotamulak,	সচেতমানততমক,	সচেতনতামূলক,	
karadande,	কারাদন্ডে,	কারাদণ্ডে,	
yanqee,	যানকি,	ইয়াংকি,	
muhamada,	মুহামাদা,	মুহাম্মদ,	
hughkey,	হাঁকে,	হিউজকে,	
byboshthar,	ব্যবস্থার,	ব্যাবস্থার,	
proshtutkarok,	প্রস্তুতকারক,	প্রস্তুতকারক,	
khanonkaj,	খননকাজ,	খননকাজ,	
chanoo,	চানু,	চানু,	
dormetory,	ডরমেটরি,	ডরমিটরি,	
byasalt,	ব্যাসল,	ব্যাসল্ট,	
shapholler,	সফলফের,	সাফল্যের,	
omanisha,	অমানিশ,	অমানিশা,	
jestha,	জেষ্ঠা,	জ্যেষ্ঠা,	
muchir,	মুচির,	মুচির,	
ganana,	গানানা,	গণনা,	
karleo,	করলেও,	করলেও,	
sikkhakbrinda,	শিক্ষাবৃণকদ্য,	শিক্ষকবৃন্দ,	
raiialati,	রাইলেটলি,	রয়্যালটি,	
majdur,	মাজুুর,	মজদুর,	
parikhar,	পরীক্ষার,	পরিখার,	
piora,	পিয়া,	পিওর,	
creedit,	ক্রিডিত,	ক্রেডিট,	
bojhaao,	বোঝাও,	বোঝাও,	
hossne,	হোস্নে,	হোসনে,	
tata,	তাটা,	তাতা,	
korim,	করিম,	করিম,	
mojlis,	মজলিস,	মজলিশ,	
timur,	তিমুর,	তিমুর,	
hajarti,	হাজারটি,	হাজারটি,	
bonoshri,	বনসশরী,	বনশ্রী,	
bikretader,	বিক্রীদের,	বিক্রেতাদের,	
braille,	ব্রেল,	ব্রেইল,	
armstronz,	আর্টর্ঞ্জ্,	আর্মস্ট্রং,	
karadando,	কারাদন্ড,	কারাদণ্ড,	
giitikobita,	গীতিকাটিত,	গীতিকবিতা,	
bisnooke,	বিষ্ণুকে,	বিষ্ণুকে,	
shaddhi,	সাধী,	সাধ্বী,	
hedje,	হেজ,	হেজ,	
bomkesh,	বোমকেস,	ব্যোমকেশ,	
sheo,	সেও,	সেও,	
cheelona,	ছিলনা,	ছিলনা,	
heeja,	হেজ,	হেজ,	
nariiderke,	নারীদরকে,	নারীদেরকে,	
naraphoqa,	নরফাকা,	নরফোক,	
bondhutto,	বন্ধুত্ব,	বন্ধুত্ত্ব,	
jathan,	যথনা,	যথন,	
moshjidshoho,	মসশিদ্ধসহ,	মসজিদসহ,	
toronee,	তরবণী,	তরণী,	
jamanor,	জামানর,	জমানোর,	
bodqa,	বদকা,	ভদকা,	
yuqeliptas,	ইউকেলপিটটা,	ইউক্যালিপ্টাস,	
parker,	পার্কার,	পার্কের,	
remakri,	রেমাক্রি,	রেমাক্রী,	
charchita,	চর্চিত,	চর্চিত,	
keuyi,	কেউই,	কেউই,	
ogrodoot,	অগ্রদুত,	অগ্রদূত,	
mugdal,	মুগদল,	মুগডাল,	
ralph,	রলফ,	রালফ,	
longghoner,	লঙ্ঘনের,	লংঘনের,	
olongkaron,	অলংকরণ,	অলঙ্করণ,	
cholocchitrigulor,	চলচিতিল্রলীর,	চলচ্চিত্রগুলোর,	
barron,	বায়রন,	ব্যারন,	
mishal,	মিশাল,	মিশাল,	
carlo,	কারল,	কার্লো,	
prakalpatike,	প্রকালপতিকে,	প্রকল্পটিকে,	
sharther,	শর্থের,	স্বার্থের,	
protijogiira,	প্রতিযোগীরা,	প্রতিযোগীরা,	
jhalkathi,	ঝালকাঠি,	ঝালকাঠী,	
armstronj,	আর্টর্ঞ্জ,	আর্মস্ট্রং,	
stain,	স্টেন,	স্টেন,	
aholla,	আহল্লা,	অহল্যা,	
shhikar,	শিকার,	শিকার,	
sikkhao,	শিক্ষাও,	শিক্ষাও,	
ummul,	উম্মুল,	উম্মুল,	
welaqama,	ভেলাকামা,	ওয়েলকাম,	
ganoporibohon,	গণপরীবহণ,	গণপরিবহন,	
banshite,	বাঁশিতে,	বাঁশিতে,	
osthishondhi,	অস্থিসন্ধী,	অস্থিসন্ধি,	
korle,	করলে,	করলে,	
charrjer,	চার্জের,	চার্জের,	
dorji,	দর্জি,	দরজি,	
ukeliptas,	উপলিপ্লাস্টা,	ইউক্যালিপ্টাস,	
treta,	ট্রাইট,	ত্রেতা,	
diznee,	ডিজনি,	ডিজনী,	
uchhoshito,	উচ্চাহিত,	উচ্ছসিত,	
byaasalt,	ব্যাসল,	ব্যাসল্ট,	
monzhostho,	মন্যস্থ,	মঞ্চস্থ,	
agomone,	অগমনে,	আগমনে,	
lendal,	লেন্ডাল,	লেন্ডল,	
chitranatyakar,	চিত্রনাট্যকার,	চিত্রনাট্যকার,	
pathkromer,	পথঠক্রমের,	পাঠক্রমের,	
babona,	বাবাা,	বাবনা,	
meghe,	মেঘে,	মেঘে,	
tinhazar,	তিনহাজার,	তিনহাজার,	
songbadmadhyame,	সংবাবদামধমে,	সংবাদমাধ্যমে,	
byaboharkareei,	ব্যাবহারকারী,	ব্যবহারকারীই,	
chirantan,	চিরান্তন,	চিরন্তন,	
inafarameshana,	ইনফর্মেশন,	ইনফরমেশন,	
bhushi,	ভুষি,	ভুষি,	
sabyastha,	সবব্যস্থ,	সাব্যস্থ,	
diyares,	ডিয়ার্য়েস,	ডিআরএস,	
panchasjan,	পঞ্চাশাজন,	পঞ্চাশজন,	
ramantika,	রাম্নোিকা,	রোমান্টিক,	
byabaharkarir,	ব্যাবহারকারীর,	ব্যবহারকারীর,	
horipur,	হরিপুর,	হরিপুর,	
ralof,	রলফ,	রালফ,	
quari,	কায়ারি,	কোয়েরি,	
keengdom,	কিংদম,	কিংডম,	
aborto,	অবর্ত,	আবর্ত,	
nothibhookteer,	নথিভুক্তির,	নথিভুক্তির,	
gostheeti,	গস্থিতি,	গোষ্ঠীটি,	
bagach,	বাগকচ,	বটগাছ,	
dokaneyi,	ডোকানেই,	দোকানেই,	
shilbar,	শিলবার,	সিলভার,	
madhoboir,	মাধবীর,	মাধবীর,	
rudroke,	রুদ্রোকে,	রুদ্রকে,	
bhenuser,	ভেনাসের,	ভেনাসের,	
shaapholler,	সাফলের,	সাফল্যের,	
prakalpogulor,	প্রকালগুলোর,	প্রকল্পগুলোর,	
michilti,	মিচিলটি,	মিছিলটি,	
restuarant,	রেস্তুরাঁ্ট,	রেষ্টুরেন্ট,	
tahalo,	তাহালো,	তাহলো,	
kuarter,	কার্টার,	কোয়ার্টার,	
bujhechilo,	বুঝেছিল,	বুঝেছিল,	
lokkhero,	লক্ষেরো,	লক্ষেরও,	
jonoikaa,	জননিকা,	জনৈকা,	
gonocheen,	গণচীন,	গণচীন,	
lampot,	লম্পট,	লম্পট,	
narsari,	নার্সারী,	নার্সারি,	
sip,	শিপ,	শিপ,	
monohor,	মনোহর,	মনোহর,	
adhattikota,	আধতাতিত্বতা,	আধ্যাত্মিকতা,	
sheekare,	শিকারে,	শিকারে,	
orbeet,	অরবিত,	অরবিট,	
joistho,	জৈষ্ঠ,	জ্যৈষ্ঠ,	
dakop,	ডাকাপ,	দাকোপ,	
ganaparibahan,	গণপরীবাহন,	গণপরিবহন,	
prakalpagulor,	প্রকালগুলোর,	প্রকল্পগুলোর,	
monjhostho,	মন্যস্থ,	মঞ্চস্থ,	
futonta,	ফুঁত্তা,	ফুটন্ত,	
sambhabanaow,	সম্ভাবনা,	সম্ভবনাও,	
danober,	দাবোের,	দানবের,	
antarctikar,	অন্তর্্াক্তিকার,	অ্যান্টার্কটিকার,	
bagda,	বাগদা,	বাগদা,	
modhumoti,	মধুমতি,	মধুমতী,	
taap,	তাপ,	ট্যাপ,	
mekon,	মেকন,	মেকং,	
dokanei,	ডোকানেই,	দোকানেই,	
sahocorje,	সহযাকর্যে,	সাহচর্যে,	
vasturyi,	বাস্তুরি,	বস্তুরই,	
bishhnu,	বিষ্ণু,	বিষ্ণু,	
bostubad,	বস্তুবাদ,	বস্তুবাদ,	
leadar,	লিডার,	লিডার,	
mittrota,	মিত্রতা,	মিত্রতা,	
shomostike,	সমস্তিকে,	সমষ্টিকে,	
nartaki,	নর্তটাকী,	নর্তকী,	
fevarite,	ফেভারীতে,	ফেভারিট,	
zeeland,	জিল্যান্ড,	জিল্যান্ড,	
ponero,	পনেরো,	পনের,	
tafaat,	তাফাত,	তফাৎ,	
majhari,	মাঝহারী,	মাঝারী,	
abdoone,	আবদুনে,	আবদুন,	
byatari,	ব্যাটারি,	ব্যাটারী,	
poschimey,	পশ্চিমে,	পশ্চিমে,	
techno,	তেছন,	টেকনো,	
jonmato,	জন্মতত,	জন্মাত,	
elakai,	এলাকাই,	এলাকাই,	
nishad,	নিষদ,	নিষাদ,	
shpreadshhiit,	স্প্রেডসিট,	স্প্রেডশীট,	
ancholsaho,	অঞ্চলসহ,	অঞ্চলসহ,	
shaahocharje,	সাহাচার্যে,	সাহচর্যে,	
kuntee,	কুনতি,	কুন্তী,	
abadamaner,	আবাদামানের,	অবদমনের,	
edhdaning,	এদ্যানিং,	ইদানিং,	
chetanagato,	চেতনাগত,	চেতনাগত,	
palkee,	পলকে,	পাল্কি,	
sonaktokaraner,	সনাক্তকরণের,	সনাক্তকরণের,	
gejeted,	গেজেটেড,	গেজেটেড,	
sarbhaarti,	সর্ভার্তী,	সার্ভারটি,	
shhow,	শ্ব,	শো,	
omanisa,	অমনিিশ,	অমানিশা,	
taunship,	তাউন্সিপ,	টাউনশিপ,	
veedanta,	বিডানাত,	বেদান্ত,	
shayatana,	স্যাতন,	শয়তান,	
manee,	মানে,	মানে,	
bhaisoho,	ভাইসহ,	ভাইসহ,	
taaler,	তালের,	তালের,	
angsogrohon,	অংশগ্রহণ,	অংশগ্রহন,	
janaganonar,	জনগণনার,	জনগণনার,	
godabari,	গদাবারী,	গোদাবরী,	
kaner,	কানের,	কনের,	
debdebi,	দেবদেবি,	দেবদেবী,	
loukikata,	লৌকিকতা,	লৌকিকতা,	
chhutir,	ছুটির,	ছুটির,	
bonyopran,	বন্যপ্রাণ,	বন্যপ্রাণ,	
bhugten,	ভুগতেন,	ভুগতেন,	
assoociates,	অ্যাসোসিয়েট,	এসোসিয়েটস,	
suraaropito,	সুরারোপিত,	সুরারোপিত,	
bijepi,	বিজেপি,	বিজেপি,	
shomraat,	শম্মাত,	সম্রাট,	
manabsamajer,	মানবসমাজের,	মানবসমাজের,	
jaadrel,	জাদ্রেল,	জাঁদরেল,	
lande,	ল্যান্ডে,	ল্যান্ডে,	
janar,	যাঁর,	জানার,	
aloteo,	আলততেও,	আলোতেও,	
sosoa,	শসা,	শশা,	
bhashik,	ভাষ্যিক,	ভাষিক,	
proteemake,	প্রতিমাকে,	প্রতিমাকে,	
taronee,	তানরই,	তরণী,	
jeellul,	জিলুল,	জিল্লুল,	
jibjontu,	জীবনযুত্,	জীবজন্তু,	
municipal,	মুউিনীপাল,	মিউনিসিপ্যাল,	
kooda,	কোড,	কোড,	
delivar,	দেলিভার,	ডেলিভার,	
neemitte,	নিমিতে,	নিমিত্তে,	
nilav,	নিলাভ,	নীলাভ,	
proteesthan,	প্রতিষ্ঠান,	প্রতিষ্টান,	
hajirhat,	হারিহাত,	হাজিরহাট,	
katbe,	কাটবে,	কাটবে,	
aabahan,	আবাহান,	আবাহন,	
ganonatyo,	গণণা্য,	গণনাট্য,	
saifai,	সাইফেই,	সাইফাই,	
redcrosser,	রেডক্রেসর,	রেডক্রসের,	
jarmaniteo,	জার্মানিতেও,	জার্মানিতেও,	
romancho,	রোমাঞ্চ,	রোমাঞ্চ,	
ssumita,	সুমিতা,	সুমিতা,	
nilfamarir,	নিলফামারীর,	নীলফামারীর,	
shuchonakal,	সূচনকাল,	সূচনাকাল,	
uthhe,	উঠে,	উঠে,	
jees,	জেস,	জেস,	
sithilotar,	সীথিলতার,	শিথিলতার,	
konrup,	কনরুপ,	কোনরূপ,	
gonohotyakey,	গণহত্যকে,	গণহত্যাকে,	
aarcie,	আরসে,	আরসিএ,	
brittakare,	বৃত্তকারে,	বৃত্তাকারে,	
ayantarqatiqa,	অন্টরকটিক,	অ্যান্টার্কটিকা,	
myari,	ম্যারি,	ম্যারি,	
satjan,	সতজাজন,	সাতজন,	
anyoroop,	অন্যরূপ,	অন্যরূপ,	
monhputo,	মন্পুত,	মনঃপুত,	
jorury,	জরুরী,	জরূরী,	
dael,	ডেল,	ডেইল,	
kamla,	কমলা,	কামলা,	
shima,	সিম,	সীমা,	
shangkaloner,	সংকলনের,	সংকলনের,	
parka,	পার্ক,	পার্ক,	
arke,	আর্ক,	আরকে,	
khelechen,	খেলেছেন,	খেলেছেন,	
zuktorastreo,	যুক্তরাস্ট্রে,	যুক্তরাষ্ট্রেও,	
aamoode,	আমুদে,	আমুদে,	
sanaktokaron,	সনাক্তকরণ,	সনাক্তকরণ,	
samratder,	সমরদতদের,	সম্রাটদের,	
basaalt,	বাসল,	ব্যাসল্ট,	
romonar,	রমনার,	রমনার,	
karmasampadan,	কর্মসম্পন,	কর্মসম্পাদন,	
tukroti,	তুকরতি,	টুকরোটি,	
quota,	কুত,	কোটা,	
goolen,	গুলেন,	গুলেন,	
vool,	ভুল,	উল,	
heze,	হেজে,	হেজ,	
ispreedshit,	স্প্রিড়িস্ট,	স্প্রেডশীট,	
patochitrer,	পতচচিত্রের,	পটচিত্রের,	
israeler,	ইসরাইলের,	ইসরাঈলের,	
agahir,	আগাহীর,	অগভীর,	
injiniyarsha,	ইন্জিনিয়স্ট,	ইঞ্জিনিয়ার্স,	
ejenda,	এজেন্দা,	এজেন্ডা,	
bbiswashi,	বিশ্বাসী,	বিশ্বাসই,	
byabaharkareei,	ব্যাবহারকারী,	ব্যবহারকারীই,	
dala,	ডাল,	দলা,	
elgoridom,	এলোগরদিম,	এলগরিদম,	
bjp,	বিজিিপি,	বিজেপি,	
ceramicsh,	সেরমািক্স,	সিরামিকস,	
aaminaar,	আমিনার,	আমিনার,	
samosher,	সমশের,	সমশের,	
satjaner,	সতজনের,	সাতজনের,	
joubanbati,	যৌবনাবতী,	যৌবনবতী,	
pujito,	পূজিত,	পুজিত,	
ghosito,	ঘসিত,	ঘোষিত,	
ishpredshhit,	ইস্প্রেডসিট,	স্প্রেডশীট,	
dazjo,	দ্যা,	দাহ্য,	
choudhureer,	চৌধুরির,	চৌধুরীর,	
kanisttha,	কনিষ্ঠ,	কনিষ্ঠ,	
upobaasee,	উপবিষী,	উপবাসী,	
utshahomulok,	উতসহামূলক,	উৎসাহমূলক,	
santa,	সাঁতা,	সান্তা,	
jesha,	জেস,	জেস,	
meshar,	মেশর,	মেশার,	
pathkramer,	পথঠকররমের,	পাঠক্রমের,	
dharavahikbhabey,	ধারাবাহিকাবে,	ধারাবাহিকভাবে,	
homasha,	হোমস,	হোমস,	
debodebir,	দেবদের,	দেবদেবীর,	
shekarone,	সেকারণে,	সেকারণে,	
phimel,	ফাইমেল,	ফিমেল,	
sangbadmadhyome,	সংবাধমাধ্যমে,	সংবাদমাধ্যমে,	
agenda,	এজেন্দা,	এজেন্ডা,	
granther,	গ্রন্থের,	গ্রন্থের,	
onchalti,	অঞচাতি,	অঞ্চলটি,	
bodhir,	বধধির,	বধির,	
qaferderkey,	কাদেরদেরকে,	কাফেরদেরকে,	
ayadabhansada,	অ্যাডভাননাদ,	অ্যাডভান্সড,	
kormokarke,	কর্মকারকে,	কর্মকারকে,	
nowel,	নোভেল,	নভেল,	
asthishondhi,	অস্থিসন্ধী,	অস্থিসন্ধি,	
uqeliptas,	উপেলিপ্লাস,	ইউক্যালিপ্টাস,	
poriskoron,	পরিস্কারণ,	পরিষ্করণ,	
dwibidha,	দ্বীধিধ,	দ্বিবিধ,	
phormat,	ফরম্ট,	ফরম্যাট,	
romantiqa,	রোমান্টক,	রোমান্টিক,	
gondho,	গন্ধ,	গন্ধে,	
ajeeboner,	আজীবনের,	আজীবনের,	
dokaan,	ডোকান,	দোকান,	
kuhelika,	কুহেলিকা,	কুহেলিকা,	
chakti,	চাকটি,	চাকতি,	
nothivuktir,	নথিভূক্তির,	নথিভুক্তির,	
sectore,	সেক্টরে,	সেক্টরে,	
hughes,	হাঘেস,	হিউজেস,	
mookhomandoler,	মুখমন্ডলের,	মুখমণ্ডলের,	
garnar,	গার্নার,	গার্নার,	
bardhitaanas,	বর্ধতিনাস,	বর্ধিতাংশ,	
gheshei,	ঘেষেই,	ঘেঁষেই,	
prokalpeo,	প্রকল্পেও,	প্রকল্পেও,	
rajtontrokey,	রাজনতা্ত্রকে,	রাজতন্ত্রকে,	
gemske,	গেমসকে,	জেমসকে,	
jahar,	জোহর,	জহর,	
rubeta,	রুবেত,	রাবেতা,	
sooraarop,	সুরারাপ,	সুরারোপ,	
janoganonar,	জনগণনার,	জনগণনার,	
pirujalee,	পিরুজালী,	পিরুজালী,	
gronthei,	গ্রন্থেই,	গ্রন্থেই,	
upobasi,	উপবিষী,	উপবাসী,	
bagichar,	বাগিচার,	বাগিচার,	
