laisensim,	লেইসেং্সিং,	লাইসেন্সিং,	
samashti,	সমস্টি,	সমষ্টি,	
janaganonar,	জনগণনার,	জনগণনার,	
eiling,	এইলিং,	ইলিং,	
janapath,	জনপথ,	জনপথ,	
kirkuk,	কিরকুক,	কিরকুক,	
prokar,	প্রকার,	প্রকার,	
vvejaano,	ভেজানো,	ভেজানো,	
jerujalem,	জেরুজাল,	জেরুসালেম,	
halding,	হোল্ডিং,	হোল্ডিং,	
cloud,	ক্লদ,	ক্লাউড,	
sadena,	সোডেন,	সাডেন,	
siddhantao,	সিদ্বন্তু,	সিদ্ধান্তও,	
cholochchitroke,	চলচিত্রকে,	চলচ্চিত্রকে,	
akik,	একিক,	আকিক,	
prodiper,	প্রদিপের,	প্রদীপের,	
siqhar,	শিখার,	শিকার,	
sobche,	সবচে,	সবচে,	
pyore,	প্য়র,	পিওর,	
food,	ফুড,	ফুড,	
shtonehenge,	স্টোনেহগ্ঞে,	স্টোনহেঞ্জ,	
shikh,	শিখ,	শিখ,	
cantan,	কন্টান,	ক্যান্টন,	
potocheetrer,	পটচিত্রের,	পটচিত্রের,	
prachando,	প্রচন্ড,	প্রচণ্ড,	
noitik,	নৈতিক,	নৈতিক,	
bhorkendra,	ভর্কেন্দ্র,	ভরকেন্দ্র,	
musharraf,	মুশাররফ,	মশাররফ,	
basuki,	বসুকি,	বাসুকি,	
dheke,	ঢেঁকি,	ঢেকে,	
soorti,	সুর্তি,	সুরটি,	
spredshiit,	স্প্রডডসিট,	স্প্রেডশীট,	
phokser,	ফক্ষের,	ফক্সের,	
ramjaner,	রমজানের,	রমযানের,	
suhasini,	সুহাসিনী,	সুহাসিনী,	
dologulo,	দলগুলো,	দলগুলো,	
elakayi,	এলাকাই,	এলাকাই,	
fatakeshto,	ফটেকেষ্ট,	ফাটাকেষ্ট,	
shooknaa,	শুকনা,	শুকনা,	
sphincter,	সিফ্টক্টের,	স্ফিংটার,	
scare,	স্ক্যার,	স্কোর,	
shashtra,	শাস্ত্র,	শাস্ত্র,	
mitro,	মিট্রো,	মিত্রও,	
nirontar,	নিরন্তর,	নিরন্তর,	
elaakai,	এলাকাই,	এলাকাই,	
prokalpeo,	প্রকল্পেও,	প্রকল্পেও,	
jockey,	যোকি,	জকি,	
ajibonoer,	অজীবানের,	আজীবনের,	
kingsh,	কিংস,	কিংস,	
chalachchitrotike,	চলচ্চিত্রকে,	চলচ্চিত্রটিকে,	
bbosonte,	বসসন্তে,	বসন্তে,	
muchi,	মুচি,	মুচি,	
achish,	অচিশ,	আছিস,	
sushukkhar,	শুশুখ্ষার,	সুশিক্ষার,	
barbe,	বর্ব,	বাড়বে,	
manob,	মানব,	মানব,	
shkalashtika,	স্কলস্টিক,	স্কলাস্টিক,	
dibeeta,	দিবিত,	ডিবেট,	
gujab,	গুজব,	গুজব,	
miraclee,	মিরাক্ল,	মিরাকেল,	
ragei,	রাগেই,	রাগেই,	
mitar,	মিটার,	মিত্র,	
gafeeloti,	গেফালটি,	গাফিলতি,	
nagorikkey,	নাগরিককে,	নাগরিককে,	
protyokkhovabey,	প্রত্যক্ষভাবে,	প্রত্যক্ষভাবে,	
polo,	পল,	পোলো,	
fiks,	ফিক্স,	ফিক্স,	
sahocorjo,	সহচর্য,	সাহচর্য,	
bohudeen,	বহুদিন,	বহুদিন,	
faase,	ফাঁসে,	ফাঁসে,	
mangolik,	মাঙ্গোলিক,	মাঙ্গলিক,	
allahabade,	আল্লাহাবাদে,	এলাহাবাদে,	
moricha,	মরিচা,	মরিচা,	
cheere,	চিরে,	চিরে,	
neerbahi,	নির্বাহী,	নির্বাহি,	
sabrakamer,	সব্রকামের,	সবরকমের,	
ester,	এস্টার,	ইস্টার,	
phaqsa,	ফক্স,	ফক্স,	
vimshen,	ভীমসেন,	ভীমসেন,	
hyarikena,	হ্যারিকেন,	হ্যারিকেন,	
ghatol,	ঘটল,	ঘটল,	
udvabone,	উদ্ভবনে,	উদ্ভাবনে,	
poripake,	পরিপাকে,	পরিপাকে,	
bisshas,	বিশ্বাস,	বিশ্বাস,	
koruna,	করুনা,	করুণা,	
aamontrito,	আমন্ত্রিত,	আমন্ত্রিত,	
totokkhon,	ততক্ষণ,	ততক্ষন,	
oxforde,	অক্সফার্ডে,	অক্সফোর্ডে,	
sasharire,	সাশরীরে,	সশরীরে,	
digreeo,	ডিগ্রীও,	ডিগ্রিও,	
chanake,	চানকে,	ছানাকে,	
ghesha,	ঘেস,	ঘেঁষা,	
nilabho,	নীলভ,	নীলাভ,	
shef,	সেফ,	শেফ,	
chitranattakar,	চিত্রনাট্যাকার,	চিত্রনাট্যকার,	
harris,	হ্যারিস,	হ্যারিস,	
temonbhabe,	তেমনভাবে,	তেমনভাবে,	
shailee,	সাইলি,	শৈলী,	
ramonar,	রমনার,	রমনার,	
gandogol,	গণ্ডগোল,	গন্ডগোল,	
gambasi,	গামবাসী,	গ্রামবাসী,	
nutan,	নিউটন,	নূতন,	
udar,	উদার,	উদর,	
bossonto,	বসন্ত,	বসন্ত,	
chase,	চাষে,	চেস,	
jwaluk,	জ্বুলুক,	জ্বলুক,	
ganoporibahoner,	গণপরিবহনের,	গণপরিবহনের,	
onektai,	অনেকটাই,	অনেকটাই,	
parishromi,	পরিশ্রমী,	পরিশ্রমী,	
vangley,	ভাঙলে,	ভাঙলে,	
jounotar,	যৌনতার,	যৌনতার,	
esiyatika,	এসিয়াটিক,	এশিয়াটিক,	
sweety,	সুবীতি,	সুইটি,	
dang,	দাং,	ডং,	
fartha,	ফার্থ,	ফার্থ,	
byabaharkarir,	ব্যাহারকারির,	ব্যবহারকারীর,	
nischitrupe,	নিশ্চিত্রপে,	নিশ্চিতরূপে,	
mashajida,	মাজজিদ,	মসজিদ,	
hantte,	হাঁটে,	হাঁটতে,	
isan,	আইজন,	ঈশান,	
nikater,	নিকটের,	নিকটের,	
khanonkaaj,	খননকাজ,	খননকাজ,	
odurey,	অদূরে,	অদুরে,	
nirdeshika,	নির্দেশিকা,	নির্দেশিকা,	
bahyo,	বাহ্য,	বাহ্য,	
hitokor,	হিতকুর,	হিতকর,	
daqten,	ডাকতেন,	ডাকতেন,	
jemi,	জেমি,	জেমি,	
jaank,	যাঁক,	জাঁক,	
udbhaboney,	উদ্ভবনে,	উদ্ভাবনে,	
zeebonto,	জীবন্ত,	জীবন্ত,	
tofaat,	তফাট,	তফাৎ,	
pala,	পাল,	পোলো,	
tottorat,	তত্রতা,	তওরাত,	
mawdeel,	মডিল,	মডেল,	
vdp,	ডিডিপি,	ভিডিপি,	
nodnodeer,	নদ্নদীর,	নদনদীর,	
elaakaate,	এলাকাতে,	এলাকাতে,	
biswashke,	বিশ্বাসকে,	বিশ্বাসকে,	
iash,	য়,	আইএএস,	
chalachchitro,	চলচিত্র,	চলচ্চিত্র,	
faskari,	ফাসকারী,	ফাঁসকারী,	
kaushalgata,	কৌষলগত,	কৌশলগত,	
nothibhukteer,	নথিভুক্তির,	নথিভুক্তির,	
eshtonia,	এস্টোনিয়া,	এস্তোনিয়া,	
kattor,	ক্যাট্বর,	কট্টর,	
daktikiter,	ডা্তিকিতের,	ডাকটিকিটের,	
bongraam,	বংগ্রাম,	বনগ্রাম,	
iyaqa,	ইয়েক,	ইয়াক,	
neutrina,	নিউট্রিন,	নিউট্রিনো,	
sikhar,	শিখর,	শিকার,	
hajareebag,	হারাবিরাগ,	হাজারিবাগ,	
kasper,	কাষ্পার,	ক্যাসপার,	
conphlikt,	কনফললিক্ট,	কনফ্লিক্ট,	
alonkaron,	অলংকরণ,	অলঙ্করণ,	
ghoorte,	ঘুরতে,	ঘুরতে,	
nesans,	নেসন্স,	নেশনস,	
bachhayi,	বাঁচাই,	বাছাই,	
shtone,	স্টনে,	স্টোন,	
obosane,	অবসানে,	অবসানে,	
tanoo,	তানু,	তনু,	
moqam,	মোকাম,	মোকাম,	
nothivookto,	নথিভুক্ত,	নথিভুক্ত,	
phirti,	ফিরটি,	ফিরতি,	
adhunikkale,	আধুনিককালে,	আধুনিককালে,	
asamanjashapurna,	অসম্যাানশূপ্রণ,	অসামঞ্জস্যপূর্ণ,	
sho,	সো,	শো,	
ankeeta,	অংকেত,	অঙ্কিতা,	
neck,	নেক,	নেক,	
peri,	প্যারি,	পেরি,	
dilam,	ডিলাম,	দিলাম,	
sambhabonao,	সম্ভাবনাও,	সম্ভবনাও,	
torabganj,	তরাবগঞ্জ,	তোরাবগঞ্জ,	
noteti,	নোটটি,	নোটটি,	
godavari,	গদাবরী,	গোদাবরী,	
hajarti,	হাজরটি,	হাজারটি,	
protijogiitamulok,	প্রতিযোগিতামূলক,	প্রতিযোগীতামূলক,	
bhittiteo,	ভিত্তিতেও,	ভিত্তিতেও,	
atwabishvashi,	অত্ববিশ্বাসী,	আত্মবিশ্বাসী,	
feemalee,	ফেমালী,	ফিমেল,	
dhyanastho,	ধ্যানস্থ,	ধ্যানস্থ,	
aboshore,	অবসরে,	অবসরে,	
mithener,	মিঠেনের,	মিথেনের,	
pushtir,	পুষ্তির,	পুষ্টির,	
kalkarkhana,	কলাকর্খনা,	কলকারখানা,	
vittimul,	ভিত্মিমুল,	ভিত্তিমূল,	
rupa,	রূপ,	রুপা,	
jarusalema,	জরুসলেমা,	জেরুসালেম,	
octane,	অক্টানে,	অকটেন,	
jeteo,	যেটেও,	যেতেও,	
sikkhagato,	শিক্ষাগত,	শিক্ষাগত,	
hisabke,	হিসাবকে,	হিসাবকে,	
patengar,	পটেঞ্গার,	পতেঙ্গার,	
steeit,	স্টেইট,	স্টেইট,	
marketing,	মার্কেটিং,	মার্কেটিং,	
abadamaner,	অবদামনের,	অবদমনের,	
noitikota,	নৈতিকতা,	নৈতিকতা,	
bbiswashi,	বিশ্বসসী,	বিশ্বাসী,	
totokson,	ততক্ষণ,	ততক্ষন,	
bulano,	বুলনো,	বুলান,	
atitkaale,	অতীতকালে,	অতীতকালে,	
hook,	হোক,	হুক,	
bisnuu,	বিষ্ণু,	বিষ্ণু,	
madhuree,	মধুরী,	মাধুরী,	
siropadharii,	শিরোপধারী,	শিরোপাধারী,	
mulgoto,	মুলগত,	মূলগত,	
ingrezder,	ইংরেজদের,	ইংরেজদের,	
abheedhaneek,	আভিধানিক,	অভিধানিক,	
oholyar,	ওহল্যার,	অহল্যার,	
idaning,	ইডোনিং,	ইদানিং,	
shikhbey,	শিখবে,	শিখবে,	
sheepha,	সেফ,	শেফ,	
heedgee,	হেজ,	হেজ,	
orunima,	অরুণিমা,	অরুণিমা,	
narafoka,	নরফোকা,	নরফোক,	
pratisthasaho,	প্রতিস্বাসহ,	প্রতিষ্ঠাসহ,	
sampadon,	সম্পাদন,	সম্পাদন,	
aansaareer,	আনসারির,	আনসারীর,	
subader,	সুবাদের,	সুবাদে,	
shoccer,	সক্যার,	সকার,	
qrita,	ক্রিত,	ক্রীট,	
tetela,	টেটল,	টাইটেল,	
tuku,	টুকু,	টুকু,	
saom,	সাম,	সাওম,	
norfolq,	নরফলক,	নরফোক,	
phaltu,	ফল্টু,	ফালতু,	
farid,	ফরিদ,	ফরিদ,	
highcommissioney,	হাইকমিশনে,	হাইকমিশনে,	
gandhiike,	গান্ধীকে,	গান্ধীকে,	
cholochchitratike,	চলচ্চিত্রকেতে,	চলচ্চিত্রটিকে,	
engreziteo,	ইংরেজিতে,	ইংরেজিতেও,	
korleo,	করলেও,	করলেও,	
platoo,	প্লট,	প্লেটো,	
jaksa,	যক্ষ্ম,	যক্ষ,	
ganesh,	গেনস,	গণেশ,	
pyetarna,	প্যাটার্ন,	প্যাটার্ন,	
setan,	স্তেত,	শয়তান,	
poorohitke,	পুরোহিতকে,	পুরোহিতকে,	
juktorashtrosaha,	যুক্তরাস্ত্রসহ,	যুক্তরাষ্ট্রসহ,	
bhatar,	ভাটার,	ভাতার,	
maudeler,	মাউডেলের,	মডেলের,	
nodike,	নোদিকে,	নদীকে,	
maroofer,	মারুফের,	মারুফের,	
satan,	স্তত,	শয়তান,	
nikote,	নিকতে,	নিকটে,	
talaa,	তালা,	তালা,	
aarcie,	আর্সিস,	আরসিএ,	
shreechaitanyadeb,	শ্রীচৈন্যদেব,	শ্রীচৈতন্যদেব,	
bujhechilo,	বুঝেছিল,	বুঝেছিল,	
janomukhee,	জনমুখী,	জনমুখী,	
ponchaasjon,	পঞ্চাশজন,	পঞ্চাশজন,	
eute,	ইউট,	ইইউতে,	
horidar,	হরিদর,	হরিদ্বার,	
gostike,	গোস্তিকে,	গোষ্ঠীকে,	
srabosty,	স্রবস্তী,	শ্রাবস্তী,	
mausumei,	মসুমেই,	মৌসুমেই,	
injiniyarsa,	ইঞ্জিন়ের্স,	ইঞ্জিনিয়ার্স,	
chalachchitragulor,	চলচ্চিত্রগুলোর,	চলচ্চিত্রগুলোর,	
jworer,	জুরের,	জ্বরের,	
ajijer,	অজিজের,	আজিজের,	
ajij,	অজিজ,	আজিজ,	
parinati,	পরিনতি,	পরিণতি,	
mukhomandoley,	মুখমন্ডলে,	মুখমণ্ডলে,	
pluck,	প্লক,	প্ল্যাক,	
ranangoney,	রণাঙ্গনে,	রণাঙ্গনে,	
jubokera,	যুবকেরা,	যুবকেরা,	
nake,	নাকে,	নেক,	
soomita,	সুমিতা,	সুমিতা,	
culing,	কুলিং,	কুলিং,	
janes,	জেনস,	জোন্স,	
dhyanastha,	ধ্যানস্থ,	ধ্যানস্থ,	
chiraharit,	চিরারিত,	চিরহরিৎ,	
poripaker,	পরিপকের,	পরিপাকের,	
soteciety,	সটেটিসি,	সোসাইটিতে,	
pretishta,	প্রতিষ্টা,	প্রতিষ্টা,	
koommatei,	কমাতেই,	কমাতেই,	
moonim,	মোনিং,	মুনিম,	
chopol,	চপল,	চপল,	
jotharthovabey,	যথার্থভাবে,	যথার্থভাবে,	
shuknaa,	শুকনা,	শুকনা,	
durgondho,	দুর্গন্ধ,	দুর্গন্ধ,	
brindabaner,	ব্রিন্দবানের,	বৃন্দাবনের,	
kathmandutey,	কথামন্ডুতে,	কাঠমান্ডুতে,	
hocker,	হকির,	হুকার,	
kirti,	কীরটি,	কীর্তি,	
benke,	বেনকে,	বেঁকে,	
horippur,	হরিপুর,	হরিপুর,	
chyeta,	চ্যাত,	চ্যাট,	
roialti,	রোলট্টি,	রয়্যালটি,	
gabeshonagar,	গবেষণাগার,	গবেষনাগার,	
meghke,	মেঘকে,	মেঘকে,	
haryken,	হারিকেন,	হ্যারিকেন,	
pleta,	প্লট,	প্লেটো,	
sthaponar,	স্থাপনার,	স্থাপনার,	
geeja,	গেজ,	গেজ,	
barack,	বররক,	বারাক,	
dip,	ডিপ,	দীপ,	
nirdesika,	নির্দেশিকা,	নির্দেশিকা,	
monjiley,	মঞ্জিলে,	মঞ্জিলে,	
chhereche,	ছেরেছে,	ছেড়েছে,	
debagg,	দেবাগ্গ,	ডিবাগ,	
temonvabe,	তেমনভাবে,	তেমনভাবে,	
hari,	হ্যারি,	হরি,	
syutara,	স্যুটার,	শ্যুটার,	
debdebie,	দেব্েবী,	দেবদেবী,	
chhanee,	ছানে,	ছানি,	
jeebonnogor,	জীবন্গর,	জীবননগর,	
vabuk,	ভাবুক,	ভাবুক,	
bandhubhabaponno,	বন্ধুবন্পবন্ন,	বন্ধুভাবাপন্ন,	
boner,	বোনের,	বনের,	
mitro,	মিট্রো,	মিত্র,	
kkompito,	কম্পিত,	কম্পিত,	
moshzid,	মসজিদ,	মসজিদ,	
motabolombiira,	মতবালবীরা,	মতাবলম্বীরা,	
votarer,	ভোটারের,	ভোটারের,	
karadanda,	কারাদন্ড,	কারাদণ্ড,	
orohan,	আরোহণ,	ওরহান,	
jacqsan,	যাকসন,	জ্যাকসন,	
amerika,	অ্যামেরিকা,	আমেরিকা,	
gunman,	গুণমান,	গুণমান,	
scifi,	স্ফিফি,	সাইফাই,	
cade,	ক্যাডি,	কোড,	
drishyokey,	দৃশ্যকে,	দৃশ্যকে,	
deebating,	ডেবেটিং,	ডিবেটিং,	
anurbor,	অনুর্বর,	অনুর্বর,	
phake,	ফকে,	ফাকে,	
drishtir,	দৃষ্টির,	দৃশ্যটির,	
gaujano,	গৌজন,	গজানো,	
degreeo,	ডিগ্রীও,	ডিগ্রিও,	
nochiketa,	নোচিকেত,	নচিকেতা,	
jack,	যাক,	জ্যাক,	
ishpredshheet,	ইস্পরেডশেট,	স্প্রেডশীট,	
baaiq,	বাইক,	বাইক,	
angshogragon,	অংশগ্রণণ,	অংশগ্রহন,	
bandhuderke,	বন্ধুদেরকে,	বন্ধুদেরকে,	
parswer,	পার্শর,	পার্শ্বের,	
rutina,	রুটিন,	রুটিন,	
creshcent,	ক্রিসেন্ট,	ক্রিসেন্ট,	
pashchatey,	পাশ্চাত্যে,	পশ্চাতে,	
jonoikaa,	জনৈকা,	জনৈকা,	
chomski,	চমসকি,	চমস্কি,	
fostar,	ফোস্টার,	ফস্টার,	
ispredshiit,	ইস্পরেডশিট,	স্প্রেডশীট,	
hilse,	হিলসে,	হিলসে,	
idaning,	ইডোনিং,	ইদানীং,	
dhhaloor,	ঢালুর,	ঢালুর,	
tiner,	টিনের,	তিনের,	
kormer,	কর্মের,	কর্মের,	
kanaphlikta,	কাফললিক্ট,	কনফ্লিক্ট,	
durgotshober,	দুর্গতশবের,	দুর্গোৎসবে,	
varote,	ভারতে,	ভারতে,	
auxfordey,	অক্সফার্ডে,	অক্সফোর্ডে,	
ganochien,	গণচিন,	গণচীন,	
kaansaater,	কাঁসাতের,	কানসাটের,	
eucalyptush,	ইউক্যালিপটাস,	ইউক্যালিপ্টাস,	
dor,	ডর,	দোর,	
bonbhumi,	বনভূমি,	বনভূমি,	
dubate,	দুবাতে,	ডুবাতে,	
nodiitike,	নদীতীকে,	নদীটিকে,	
uthane,	উঠানে,	উঠানে,	
muktilav,	মুক্তিলাভ,	মুক্তিলাভ,	
aksathe,	একসাথে,	একসাথে,	
banduk,	বন্দুক,	বন্দুক,	
vins,	ভিন্স,	ভিন্স,	
bunat,	বুনত,	বুনট,	
nischitabhave,	নিশ্চিতভাবে,	নিশ্চিতভাবে,	
samaveshke,	সমভেবকে,	সমাবেশকে,	
capsul,	কপুসল,	ক্যাপসুল,	
bonbhumite,	বনভূমিতে,	বনভূমিতে,	
bandike,	বানদিকে,	বন্দীকে,	
grotha,	গ্রথ,	গ্রোথ,	
oichchik,	ঐচ্ছিক,	ঐচ্ছিক,	
ooindos,	উইন্ডোজ,	উইন্ডোস,	
messenjer,	মেসেন্জের,	মেসেঞ্জার,	
nogore,	নগরে,	নগরে,	
mononitoder,	মনোনীতদের,	মনোনীতদের,	
bujhechhila,	বুঝেছিল,	বুঝেছিল,	
chitronatyokar,	চিত্রনাট্যকর,	চিত্রনাট্যকার,	
bodqa,	বদ্কা,	ভদকা,	
jotota,	যতটা,	যতোটা,	
swamijir,	স্বামীজীর,	স্বামীজীর,	
nopdikey,	নপদিকে,	নদীকে,	
choson,	চোষণ,	চোষণ,	
fooloo,	ফুলো,	পোলো,	
meghacchonno,	মেঘাচ্ন,	মেঘাচ্ছন্ন,	
vishnu,	বিষ্ণু,	বিষ্ণু,	
eideen,	এদিন,	এইদিন,	
volapuk,	ভোলাপুক,	ভোলাপুক,	
nothivukta,	নথিভুক্ত,	নথিভুক্ত,	
godamjato,	গদম্যাত,	গুদামজাত,	
lutheren,	লুঠারেন,	লুথেরান,	
developer,	ডেভেলপার,	ডেভলপার,	
anciint,	অ্যান্সিয়েন্ট,	এনসিয়েন্ট,	
sqolastic,	স্কোস্টিক,	স্কলাস্টিক,	
aashok,	আশোক,	আশোক,	
laiceensee,	লাইসেন্স,	লাইসেন্স,	
khanankaj,	খননকাজ,	খননকাজ,	
mookhomandoley,	মুখমন্ডলে,	মুখমণ্ডলে,	
beildaar,	বিলদার,	বিল্ডার,	
chaity,	চাইতি,	চৈতি,	
purbanchaler,	পূর্বাঞ্চলের,	পূর্বাঞ্চলের,	
jeshh,	জেস,	জেস,	
anodhikaar,	অনোধিকার,	অনধিকার,	
tomader,	তমাদের,	তোমাদের,	
vandarey,	ভান্ডারে,	ভাণ্ডারে,	
shreechoitonyodeb,	শ্রীচৈন্তদেব,	শ্রীচৈতন্যদেব,	
colahol,	কলাহল,	কোলাহল,	
paikar,	পেকার,	পাইকার,	
bage,	ব্যাজে,	বাগে,	
iling,	এলিং,	ইলিং,	
motamoto,	মোতামত,	মতামতও,	
onchalgoolir,	অঞ্চলগুলির,	অঞ্চলগুলির,	
sibiai,	সিবিয়াই,	সিবিআই,	
muscat,	মাসকাট,	মাস্কাট,	
probhura,	প্রভূরা,	প্রভুরা,	
andaman,	আন্দমান,	আন্দামান,	
trivuz,	ত্রিভুজ,	ত্রিভূজ,	
gandhiyo,	গান্ধিও,	গান্ধীও,	
ganana,	গানা,	গণনা,	
ispredsheet,	ইস্পরেডসেট,	স্প্রেডশীট,	
jathartha,	যথার্থ,	যথার্থ,	
elgoridom,	এলগরিদম,	এলগরিদম,	
phirati,	ফিরতি,	ফিরতি,	
paikgacha,	পৈকগাঁচ,	পাইকগাছা,	
sampadonkari,	সম্পাদনকারী,	সম্পাদনকারী,	
catholic,	কথলিক,	ক্যাথলিক,	
vabani,	ভবানী,	ভবানী,	
nabom,	নবম,	নবম,	
konrup,	কনরুপ,	কোনরূপ,	
moithili,	মৈথিলী,	মৈথিলি,	
treebhuj,	ত্রিভুজ,	ত্রিভূজ,	
cal,	চল,	চাল,	
neutrinoo,	নিউট্রিনো,	নিউট্রিনো,	
valobase,	ভালবাসে,	ভালোবাসে,	
difinisian,	ডিফিনিশন,	ডেফিনেশন,	
temonti,	টেমনটি,	তেমনটি,	
roopdaan,	রূপদান,	রুপদান,	
scall,	স্কল,	এসকল,	
bohal,	বোহল,	বহাল,	
alaoul,	আলাউল,	আলাওল,	
istonia,	ইস্টোনিয়া,	এস্তোনিয়া,	
judhahato,	যুদ্ধত,	যুদ্ধাহত,	
bibadey,	বিবাদে,	বিবাদে,	
uthhaane,	উঠানে,	উঠানে,	
proshikkhane,	প্রশিক্ষণে,	প্রশিক্ষণে,	
uru,	ঊরু,	উরু,	
qoyeri,	কয়েরি,	কোয়েরি,	
birishiritey,	বিরিসিতিতে,	বিরিশিরিতে,	
dera,	দেরা,	ডেরা,	
stena,	স্টেন,	স্টেন,	
masjid,	মসজিদ,	মসজিদ,	
pannee,	পাননি,	পন্নী,	
prakalpotike,	প্রকল্পটিকে,	প্রকল্পটিকে,	
gezetted,	গেজেটেড,	গেজেটেড,	
aalaa,	আলা,	আলা,	
gonosakkhorota,	গণস্ক্রতারত,	গণসাক্ষরতা,	
jathan,	যথান,	যথন,	
qlauda,	ক্লাউড,	ক্লাউড,	
bhittimul,	ভিত্মিমুল,	ভিত্তিমূল,	
anodhikar,	অনোধিকার,	অনধিকার,	
holding,	হোল্ডিং,	হোল্ডিং,	
aakkaas,	আক্াাশ,	আককাস,	
projononkal,	প্রজননকাল,	প্রজননকাল,	
amorendra,	অমরেন্দ্র,	অমরেন্দ্র,	
nariderke,	নারীদেরকে,	নারীদেরকে,	
veenus,	ভিনাস,	ভেনাস,	
gori,	গরি,	গোরি,	
vorodwaj,	ভরদ্বাজ,	ভরদ্বাজ,	
deeputy,	দিপুতি,	ডেপুটি,	
nirapekkhotaar,	নিরপ্ক্ষতার,	নিরপেক্ষতার,	
teenej,	টিনেজ,	টিনেজ,	
kyanela,	ক্যানেল,	ক্যানেল,	
meghkey,	মেঘকে,	মেঘকে,	
byomkesh,	ব্যম্কেষ,	ব্যোমকেশ,	
sthaponakay,	স্থাপনাকে,	স্থাপনাকে,	
agomonke,	আগমনকে,	আগমনকে,	
graambaasider,	গ্রামবাসীদের,	গ্রামবাসীদের,	
uponishod,	উপনিসদ,	উপনিষদ,	
gananatya,	গণনত্য,	গণনাট্য,	
edmiral,	এডিমারিল,	এডমিরাল,	
fanse,	ফাঁসে,	ফাঁসে,	
annimated,	অনিমনেটেড,	এনিমেটেড,	
gandagol,	গণ্ডগোল,	গন্ডগোল,	
hoteeltite,	হটিলটিতে,	হোটেলটিতে,	
jonmaat,	জন্মাত,	জন্মাত,	
attorkite,	অ্যাটর্কিতে,	অতর্কিতে,	
porishongkhanbid,	পরিসংকোনবিদীন,	পরিসংখ্যানবিদ,	
shiropar,	শিরপার,	শিরোপার,	
okritokarjo,	অকৃতকার্য,	অকৃতকার্য,	
motke,	মোটকে,	মতকে,	
mulaadee,	মুলাদী,	মুলাদি,	
samany,	স্যামানি,	সামান্য,	
faksa,	ফক্স,	ফক্স,	
redcrosser,	রেডক্রসের,	রেডক্রসের,	
seekkhakromer,	শিক্ষাক্রমের,	শিক্ষাক্রমের,	
silvee,	সিলভী,	সিলভি,	
hamburger,	হ্যামবার্জের,	হামবুর্গের,	
shodhon,	সোধন,	শোধন,	
pro,	প্রও,	প্রো,	
rajtantre,	রাজতন্ত্রে,	রাজতন্ত্রে,	
puzita,	পূজিতা,	পূজিতা,	
grantha,	গ্রন্থা,	গ্রন্থ,	
nikela,	নিকেলা,	নিকেল,	
osthisandhi,	অস্থিসন্ধী,	অস্থিসন্ধি,	
taanteera,	তানটিরা,	তাঁতিরা,	
niketaner,	নিকেতনের,	নিকেতনের,	
inamil,	ইনামিল,	এনামেল,	
keram,	কেরম,	কেরাম,	
chhootochhooti,	ছুটোছিটি,	ছুটোছুটি,	
edaning,	ইডনিং,	ইদানীং,	
monmotho,	মনমোথ,	মন্মথ,	
kor,	কোর,	কর,	
bu,	বু,	বু,	
songhitar,	সংঘীতার,	সংহিতার,	
moonshi,	মুনশী,	মুন্সি,	
murader,	মুরাডের,	মুরাদের,	
dweepgulo,	দ্বীপগুলো,	দ্বীপগুলো,	
naditike,	নদীতিকে,	নদীটিকে,	
plen,	প্লেন,	প্লেন,	
bodka,	বদ্কা,	ভদকা,	
addhattikotar,	আধ্যাত্তিকতার,	আধ্যাত্মিকতার,	
khatgosher,	খাটগোশের,	খরগোসের,	
nariikeyi,	নারীকেই,	নারীকেই,	
wodka,	উদ্কা,	ভদকা,	
mookhomaundoley,	মুখমন্ডলে,	মুখমণ্ডলে,	
duma,	ডুম,	দুমা,	
baarbadoj,	বার্বাডোজ,	বার্বাডোজ,	
manushera,	মানুষেরা,	মানুষেরা,	
shommotir,	সম্মতির,	সম্মতির,	
laaishheshh,	লাইসেস,	লাইসেন্স,	
vejaano,	ভেজানো,	ভেজানো,	
minister,	মিনিস্টার,	মিনিস্টার,	
conflict,	কনফলল্ক্ট,	কনফ্লিক্ট,	
yaaq,	য়ক,	ইয়াক,	
soholovyotar,	সোহল্যতার,	সহজলভ্যতার,	
sanmukh,	সন্মুখ,	সন্মুখ,	
ancient,	অ্যান্সিয়েন্ট,	এনসিয়েন্ট,	
temonyi,	তেমনই,	তেমনই,	
akramer,	আকরামের,	আকরামের,	
prokolpow,	প্রকোলপু,	প্রকল্পও,	
istane,	ইস্টেনে,	স্টোন,	
shootar,	শুতার,	শ্যুটার,	
troup,	ট্রুপ,	ট্রুপ,	
obhijojon,	অভিযোজন,	অভিযোজন,	
sangasthatike,	সংস্থাটিকে,	সংস্থাটিকে,	
juktorashtreo,	যুক্তরাস্ট্রেও,	যুক্তরাষ্ট্রেও,	
ovarview,	ওভার্ভিজ,	ওভারভিউ,	
ancholgulote,	অঞ্চলগুলোতে,	অঞ্চলগুলোতে,	
haitasa,	হাইটাস,	হাইটস,	
porishkoron,	পরিস্কোরণ,	পরিষ্করণ,	
jaatti,	যাতটি,	জাতটি,	
fastara,	ফোস্টার,	ফস্টার,	
tuner,	টুনের,	টিউনার,	
oviyojan,	অভিযোজন,	অভিযোজন,	
pretii,	প্রতিই,	প্রিটি,	
jomjamat,	জম্জমত,	জমজমাট,	
taronee,	তারণী,	তরণী,	
