vedke,	ভেদকে,	বেদকে,	
danakana,	ডানাকোন,	ডানকান,	
chheelona,	ছিলোনা,	ছিলনা,	
themey,	থেমে,	থিমে,	
stone,	স্টেন,	স্টোন,	
sampadoner,	সম্পাদনের,	সম্পাদনের,	
chalche,	চলছে,	চলছে,	
jyaka,	জ্যাক,	জ্যাক,	
baron,	ব্যারণ,	ব্যারন,	
aqram,	আক্রম,	আকরাম,	
turkey,	তুর্কে,	তুর্কি,	
lendal,	লেন্ডল,	লেন্ডল,	
choity,	চৈতি,	চৈতি,	
basturoi,	বস্তুরই,	বস্তুরই,	
bishwaashshoi,	বিশ্বাসয়,	বিশ্বাসই,	
indro,	ইন্দ্র,	ইন্দ্র,	
abhidhaneek,	অভিধানিক,	অভিধানিক,	
hiushtoner,	হিউস্টনের,	হিউস্টনের,	
jes,	জেস,	জেস,	
shatan,	শতন,	শয়তান,	
grambaaseeder,	গ্রামবাসীদের,	গ্রামবাসীদের,	
phala,	ফালা,	পোলো,	
jarmaniteo,	জার্মানিতেও,	জার্মানিতেও,	
siddhante,	সিদ্ধানতে,	সিদ্ধান্তে,	
muhurto,	মুহূর্ত,	মুহুর্ত,	
aarcia,	আর্শিয়া,	আরসিএ,	
ganokantha,	গণকণ্ঠা,	গণকণ্ঠ,	
bee,	বি,	বি,	
kanooner,	কানুনের,	কানুনের,	
sahabikey,	সাহাবীকে,	সাহাবীকে,	
lumbinee,	লুম্বিনী,	লুম্বিনী,	
vejano,	ভেজানো,	ভেজানো,	
besharkarikarone,	বেসরকারীকরণে,	বেসরকারিকরণ,	
madhoboir,	মাধবীর,	মাধবীর,	
taitela,	টাইটেল,	টাইটেল,	
bongshokey,	বংশকে,	বংশকে,	
betsman,	বেটসম্যান,	ব্যাটসম্যান,	
scorey,	স্কোরে,	স্কোরে,	
bhandaare,	ভান্ডারে,	ভাণ্ডারে,	
saabyastha,	সাব্যস্থ,	সাব্যস্থ,	
bhenus,	ভেনাস,	ভেনাস,	
cheettronnattokar,	চিত্রনাট্যকার,	চিত্রনাট্যকার,	
loukeekotaa,	লৌকিকতা,	লৌকিকতা,	
jubokera,	যুবকেরা,	যুবকেরা,	
devolapar,	ডেভলপার,	ডেভলপার,	
shreemati,	শ্রীমতি,	শ্রীমতি,	
rockibul,	রকিবুল,	রকিবুল,	
shaannaal,	সান্নাল,	সান্যাল,	
armenan,	আর্মেনান,	আর্মেনিয়ান,	
edhdaning,	এডডানিং,	ইদানিং,	
stoonehenge,	স্টুনেইগে,	স্টোনহেঞ্জ,	
steeit,	স্টেইট,	স্টেইট,	
treta,	ট্রেটা,	ত্রেতা,	
makang,	মককাং,	মেকং,	
spencer,	স্পেন্সের,	স্পেন্সার,	
shoilee,	শৈলী,	শৈলী,	
laiceensee,	লেইসেন্সি,	লাইসেন্স,	
beam,	বিম,	বিম,	
zerusalem,	জেরুসলেম,	জেরুসালেম,	
elaka,	এলাকা,	এলাকা,	
rooplal,	রূপ্লাল,	রূপলাল,	
manikya,	মানিক্য,	মানিক্য,	
bolatkar,	বলতকার,	বলাৎকার,	
tiunar,	টিউনার,	টিউনার,	
paner,	পানের,	পনের,	
robe,	রবে,	রবে,	
golakrity,	গোলকৃতি,	গোলাকৃতি,	
harz,	হার্জ,	হার্জ,	
laat,	লাট,	লাট,	
shikshakram,	শিক্ষাকরম,	শিক্ষাক্রম,	
score,	স্কোর,	স্কোর,	
bibechya,	বিবেচ্য,	বিবেচ্য,	
kkompito,	কম্পিত,	কম্পিত,	
mekon,	মেকন,	মেকং,	
shhcholashtik,	স্কলাশ্টিক,	স্কলাস্টিক,	
durgotsob,	দুর্ঘতসব,	দুর্গোৎসব,	
probhritite,	প্রভৃতিতে,	প্রভৃতিতে,	
naraphoka,	নরফোকো,	নরফোক,	
jini,	জিনি,	যিনি,	
pituni,	পিতুনি,	পিটুনি,	
bonnopraan,	বন্যপ্রাণ,	বন্যপ্রাণ,	
meghnabodh,	মেঘনাবোধ,	মেঘনাদবধ,	
gora,	গোরা,	গোর,	
ajijoor,	আজিজুর,	আজিজুর,	
aazadeer,	আজাদীর,	আজাদীর,	
ralph,	রালফ,	রালফ,	
dibeeta,	দিবিত,	ডিবেট,	
oteeteo,	অতিতেও,	অতীতেও,	
bhabaponno,	ভবাপন্য,	ভাবাপন্ন,	
kodguli,	কাগগুলি,	কোডগুলি,	
skart,	স্কার্ট,	স্কার্ট,	
koner,	কোণের,	কনের,	
panthaar,	পাঁঠার,	পন্থার,	
madola,	মাদলা,	মাদলা,	
antorvuktimulok,	অন্তর্ভূকূতক,	অন্তর্ভুক্তিমূলক,	
drisser,	ড্রিসের,	দৃশ্যের,	
vatar,	ভাটার,	ভাতার,	
elaakaasoho,	এলাকাসহ,	এলাকাসহ,	
tikta,	টিক্ট,	তিক্ত,	
bahya,	বাহ্য,	বাহ্য,	
roktokkhorone,	রক্তক্ষণেরণ,	রক্তক্ষরণে,	
ekghorey,	একঘরে,	একঘরে,	
nathibhukta,	নথিভুক্ত,	নথিভুক্ত,	
telaakucha,	তেলাকুচা,	তেলাকুচা,	
arkimidish,	আরকিমিডিস,	আর্কিমিডিস,	
koreempur,	করিমপুর,	করিমপুর,	
neerbahi,	নির্বাহী,	নির্বাহি,	
markete,	মার্কেটে,	মার্কেটে,	
shomoshto,	সমস্ত,	সমস্ত,	
sahapatheekey,	সহপাঠীকে,	সহপাঠীকে,	
taoonsheep,	তাউনশিপ,	টাউনশিপ,	
poroborti,	পরবর্তী,	পরর্বতী,	
elakatir,	এলাকটির,	এলাকাটির,	
granthao,	গ্রন্থাও,	গ্রন্থও,	
gazipore,	গাজীপরে,	গাজিপুর,	
alsaara,	আলসারা,	আলসার,	
tookrokey,	তুকরকে,	টুকরোকে,	
jyakasana,	জ্যাকশন,	জ্যাকসন,	
nopdikey,	নপদীকে,	নদীকে,	
hastantar,	হোস্তান্তর,	হস্তান্তর,	
kartana,	কর্টন,	করতনা,	
seekkharthirao,	শিক্ষার্থীরা,	শিক্ষার্থীরাও,	
addhattikotar,	আধ্ধাত্যকতার,	আধ্যাত্মিকতার,	
ponchasjon,	পঞ্চাশজন,	পঞ্চাশজন,	
shootar,	শুতার,	শ্যুটার,	
mookhomandol,	মুখমন্ডল,	মুখমণ্ডল,	
heena,	হেনা,	হেনা,	
messenger,	মেশেঞ্জার,	মেসেঞ্জার,	
mathew,	মেথু,	ম্যাথিউ,	
hariken,	হারিকেন,	হ্যারিকেন,	
nuton,	নতুন,	নূতন,	
beda,	বেডা,	বেদ,	
sajanor,	সাজানোর,	সাজানোর,	
suchonakal,	সূচনাকল,	সূচনাকাল,	
sarsa,	সার্স,	সোর্স,	
bidghutey,	বিঘুতে,	বিদঘুটে,	
mookhomaundoley,	মুখমন্ডলে,	মুখমণ্ডলে,	
mb,	এমএবিবি,	এমবি,	
antorvukta,	অন্তর্ভূক্ত,	অন্তর্ভুক্ত,	
gojano,	গজানো,	গজানো,	
grambasheeo,	গ্রমবাসীও,	গ্রামবাসীও,	
suporichiti,	সুপরিচিতি,	সুপরিচিতি,	
durvagyo,	দুর্ভাগ্য,	দূর্ভাগ্য,	
asar,	আসার,	আসর,	
sikkhagata,	শিক্ষাগত,	শিক্ষাগত,	
jarul,	জরুল,	জারুল,	
foloshrutite,	ফলস্রুটিতে,	ফলশ্রুতিতে,	
daakope,	ডাকোপে,	দাকোপ,	
songosthatir,	সংস্থাটির,	সংস্থাটির,	
gronthowo,	গ্রন্থও,	গ্রন্থও,	
shayetana,	সায়েটন,	শয়তান,	
dinar,	ডিনার,	ডিনার,	
eucalyptus,	ইউক্লাপিস,	ইউক্যালিপ্টাস,	
kolahal,	কলাহল,	কোলাহল,	
gacher,	গাছের,	গাছের,	
rooby,	রোবি,	রুবি,	
smaroker,	স্মররকের,	স্মারকের,	
jesha,	যেস,	জেস,	
chal,	চল,	চাল,	
jeebanjapon,	জীবনযাপন,	জীবনযাপন,	
bachhayi,	বাঁচাই,	বাছাই,	
graambaasheeo,	গ্রামবাসীও,	গ্রামবাসীও,	
maddhuri,	মাধুরি,	মাধুরী,	
fanse,	ফাঁসে,	ফাঁসে,	
dada,	ডাদা,	দাদা,	
jonmaat,	জন্মাত,	জন্মাত,	
sakara,	সাকারা,	সকার,	
sollallhu,	সোলাল্লাহু,	সল্লাল্লাহু,	
aastikota,	আস্তিকটা,	আস্তিকতা,	
shit,	সীট,	শীত,	
galpokar,	গল্পকার,	গল্পকার,	
dharmantor,	ধর্মান্তর,	ধর্মান্তর,	
macho,	মাচো,	মাছও,	
emargency,	এমারগেন্সি,	এমার্জেন্সি,	
bhaabaaponno,	ভাবাপন্য,	ভাবাপন্ন,	
haldim,	হালদিং,	হোল্ডিং,	
abhidhanic,	অভিধানিক,	অভিধানিক,	
ottacharito,	অট্চাচারিত,	অত্যাচারিত,	
bii,	বি,	বি,	
tukroke,	টুক্রকে,	টুকরোকে,	
ragke,	রাগকে,	রাগকে,	
dail,	ডেল,	ডেইল,	
shikshakromer,	শিক্ষাকরমের,	শিক্ষাক্রমের,	
breil,	ব্রেল,	ব্রেইল,	
jatee,	জাতি,	যাতি,	
turista,	টুরিষ্ট,	টুরিস্ট,	
thawre,	থাওরে,	থরে,	
sossar,	শসার,	সকার,	
bhageroi,	ভাগেরই,	ভাগেরই,	
themeke,	থেমেকে,	থিমকে,	
makong,	মকং,	মেকং,	
addhatikotar,	আধ্ধাতিকতার,	আধ্যাত্মিকতার,	
mukhamandol,	মুখমন্ডল,	মুখমণ্ডল,	
ganona,	গণনা,	গননা,	
janes,	জনেস,	জোন্স,	
venkotesh,	ভেনকটেস,	ভেঙ্কটেশ,	
janachche,	জান্চে,	জানাচ্ছে,	
opargota,	অপরগগতা,	অপারগতা,	
artillery,	আর্টিলারি,	আর্টিলারি,	
siramikasa,	সিরামিকাস,	সিরামিকস,	
dhruboker,	ধ্রুবকের,	ধ্রুবকের,	
fulkopi,	ফুলকোপি,	ফুলকপি,	
shulkey,	শুলকে,	শুল্কে,	
caramiks,	ক্যারামিক্স,	সিরামিকস,	
mat,	মাট,	ম্যাট,	
sheramiksh,	সেরামিক্স,	সিরামিকস,	
yatharthabhabe,	যথথরভাবে,	যথার্থভাবে,	
karadondey,	কারাদন্ডে,	কারাদণ্ডে,	
nagnyo,	নগ্ন,	নগণ্য,	
seekkhaarthirao,	শিক্ষার্থীরা,	শিক্ষার্থীরাও,	
shanstha,	সংস্থ,	সংস্থা,	
pratisthanikvabey,	প্রতিষ্ঠানিকভাবে,	প্রাতিষ্ঠানিকভাবে,	
toler,	তোলের,	তালের,	
poderthobid,	পদার্থবিদ,	পদার্থবিদ,	
faaser,	ফাঁসের,	ফাঁসের,	
riphleqsa,	রাইফেল্কস,	রিফ্লেক্স,	
deembakreeti,	ডিম্বাকৃতি,	ডিম্বাকৃতি,	
folokti,	ফলকটি,	ফলকটি,	
drishyogulo,	দৃশ্যগুলো,	দৃশ্যগুলো,	
hari,	হারি,	হরি,	
bhumija,	ভূমিজা,	ভূমিজ,	
konistho,	কনিষ্ঠ,	কনিষ্ঠ,	
asor,	আশর,	আসর,	
jerusalem,	জেরুসলেম,	জেরুজালেম,	
chat,	ছাট,	চ্যাট,	
parichchhannata,	পরিচ্ছাননাটা,	পরিচ্ছন্নতা,	
korkotkranti,	কর্কটকরণটি,	কর্কটক্রান্তি,	
venis,	ভেনিস,	ভেনিস,	
enginearing,	ইঞ্জিনিরিং,	ইঞ্জিনিয়ারিং,	
bhiktara,	ভিক্টার,	ভিক্টর,	
manush,	মানুষ,	মানুষ,	
iqbaler,	ইকবলের,	ইকবালের,	
teoyana,	টিওয়ান,	তাইওয়ান,	
kisti,	কিস্ি,	কিস্তি,	
sampadankaree,	সম্পাদনকারী,	সম্পাদনকারী,	
skolarship,	স্কলারশিপ,	স্কলারশিপ,	
dekhbar,	দেখবার,	দেখবার,	
schedule,	স্কেডুলে,	শিডিউল,	
seo,	সিও,	সেও,	
vangley,	ভাঙলে,	ভাঙলে,	
choudhooreer,	চৌধুরির,	চৌধুরীর,	
toubar,	তৌবার,	তওবার,	
meetropolitan,	মেত্রপলিতান,	মেট্রোপলিটন,	
mausum,	মসুম,	মৌসুম,	
sikh,	শিখ,	শিখ,	
emergenci,	এমেরগেঁসি,	এমার্জেন্সি,	
transfarm,	ট্রান্সফোর্ম,	ট্রান্সফর্ম,	
emerjency,	এমেরজেন্সি,	এমার্জেন্সি,	
brittakare,	বৃত্যাকারে,	বৃত্তাকারে,	
bahaati,	বাহাতি,	বাহাতি,	
tonight,	টনিট,	টুনাইট,	
moricha,	মরিচা,	মরিচা,	
aswastikor,	আস্বাস্তিকর,	অস্বস্তিকর,	
kromo,	ক্রোমো,	ক্রম,	
mukhomandal,	মুখমন্ডল,	মুখমণ্ডল,	
fase,	ফেজ,	ফাঁসে,	
madeling,	ম্যাডেলিং,	মডেলিং,	
juktorashtreo,	যুক্তরাস্ট্রেও,	যুক্তরাষ্ট্রেও,	
podarthobid,	পদার্থবিদ,	পদার্থবিদ,	
elaakasoho,	এলাকাসহ,	এলাকাসহ,	
orunima,	অরুণিমা,	অরুণিমা,	
eiling,	এলিং,	ইলিং,	
ekatto,	একাত্ম,	একাত্ব,	
ssahocorzo,	শাহকর্য,	সাহচর্য,	
pirujali,	পিরুজালী,	পিরুজালী,	
debdebeer,	দেবদীবীর,	দেবদেবীর,	
paadee,	পাদী,	পাড়ে,	
jibanjapon,	জীবনযাপন,	জীবনযাপন,	
odoore,	অদুরে,	অদুরে,	
highcomissione,	হাইকমিশনে,	হাইকমিশনে,	
ostad,	অস্টাদ,	ওস্তাদ,	
aiieubi,	আইউবি,	আইইউবি,	
hotelti,	হোটেলটি,	হোটেলটি,	
traytey,	ট্রেটে,	ট্রেতে,	
seemons,	সেমনস,	সিমন্স,	
buffer,	বাফার,	বাফার,	
bitlaser,	বিটলেসের,	বিটলসের,	
madhobeer,	মাধবীর,	মাধবীর,	
gasthii,	গ্যাস্থী,	গোষ্ঠীই,	
bisheshya,	বিশেষ্য,	বিশেষ্য,	
naitikata,	নৈতিকতা,	নৈতিকতা,	
mmadhuri,	মাধুরি,	মাধুরী,	
aagost,	আগসস্ট,	আগষ্ট,	
hajaribag,	হাজরাবাগ,	হাজারিবাগ,	
brake,	ব্রকে,	ব্রেক,	
ramonar,	রামনার,	রমনার,	
gonohottake,	গণহত্তাকে,	গণহত্যাকে,	
zuktorastrer,	যুক্তরাস্ট্রের,	যুক্তরাষ্ট্রের,	
cheerokoomari,	চিরকমুারি,	চিরকুমারী,	
pratisthar,	প্রতিষ্ঠার,	প্রতিষ্ঠার,	
adhyatmik,	আধ্যাত্মিক,	আধ্যাত্মিক,	
deepan,	ডিপন,	দীপন,	
byabaharkariderke,	ব্যবহারকারীকের,	ব্যবহারকারীদেরকে,	
bonoshree,	বনস্রী,	বনশ্রী,	
jolaatanko,	জলতাঙক,	জলাতঙ্ক,	
durgandha,	দুর্গান্ধা,	দুর্গন্ধ,	
angshograhon,	অংশগ্রহণ,	অংশগ্রহন,	
hamburge,	হাম্বার্গে,	হামবুর্গে,	
divya,	দিভ্য,	দিব্যা,	
alaa,	আলা,	আলা,	
udvaboni,	উদ্ভাবনী,	উদ্ভাবনী,	
baaiq,	বায়াক,	বাইক,	
nischoy,	নিশচচ,	নিশ্চয়,	
cholochchitrer,	চলচিত্রের,	চলচ্চিত্রের,	
modeeling,	ম্যাডিলিং,	মডেলিং,	
treebhuj,	ত্রিভুজ,	ত্রিভূজ,	
ghumacche,	ঘুমাচ্ছে,	ঘুমাচ্ছে,	
cholochchitraeeo,	চলচ্তির্য,	চলচ্চিত্রেও,	
khatgosher,	খাতগোষের,	খরগোসের,	
modelkey,	মোডেলকে,	মডেলকে,	
turisht,	টুরিষ্ট,	টুরিস্ট,	
bhalobaas,	ভালবাস,	ভালোবাসা,	
istan,	ইস্টান,	স্টোন,	
naditi,	নদীতি,	নদীটি,	
cholocchitrotike,	চলচ্চিত্রকে,	চলচ্চিত্রটিকে,	
siddharther,	সিদ্ধার্থের,	সিদ্ধার্থের,	
dhani,	ধানি,	ধানি,	
beekaargrasta,	বিকারগ্রাস্ট,	বিকারগ্রস্ত,	
browser,	ব্রসের,	ব্রাউজার,	
nartakike,	নর্তাকীকে,	নর্তকীকে,	
bohoodin,	বহুদিন,	বহুদিন,	
parbatya,	পার্বত্য,	পার্বত্য,	
staylish,	স্টাইলিস,	স্টাইলিশ,	
chalta,	চলতা,	চালতা,	
stonahenja,	স্টোনেহাজ্জ,	স্টোনহেঞ্জ,	
funding,	ফান্ডিং,	ফান্ডিং,	
ekbakye,	একবাকে,	একবাক্যে,	
cholochchitrei,	চলচ্ত্রেই,	চলচ্চিত্রেই,	
bcci,	বিসিসি,	বিসিসিআই,	
mosjidsaho,	মজিদসহ,	মসজিদসহ,	
nagarikata,	নাগরিকতা,	নাগরিকতা,	
sooraarop,	সুরারোপ,	সুরারোপ,	
niketoner,	নিকটনের,	নিকেতনের,	
kabutorer,	কাবুতরের,	কবুতরের,	
bouddho,	বৌদ্ধ,	বৌদ্ধ,	
sahocorje,	সহচর্যে,	সাহচর্যে,	
santa,	সানতা,	স্যান্টা,	
teenej,	টেনেজ,	টিনেজ,	
promosioney,	প্রমোশনে,	প্রোমোশনে,	
aarcie,	আর্সি,	আরসিএ,	
kas,	কাস,	কাস,	
muhommoder,	মুহম্মদের,	মুহম্মদের,	
vushi,	ভূষি,	ভুষি,	
hyaloyin,	হ্যালোইন,	হ্যালোইন,	
dosheeder,	দশীদের,	দোষীদের,	
setikey,	সেটিকে,	সেটিকে,	
saramiks,	সারামিক্স,	সিরামিকস,	
shomraat,	শম্রত,	সম্রাট,	
jaanachhe,	জানাচ্যে,	জানাচ্ছে,	
nathibhookteer,	নথিভুক্তির,	নথিভুক্তির,	
depooti,	ডিপোটি,	ডেপুটি,	
batikromshali,	ব্যাতিক্রমশালী,	ব্যতিক্রমধর্মী,	
koreempoor,	করিমপুর,	করিমপুর,	
bharadwaj,	ভারাদ্যাজ,	ভরদ্বাজ,	
aidii,	আইডি,	আইডিই,	
moochi,	মুচি,	মুচি,	
aalkatraa,	আলকত্রা,	আলকাতরা,	
sambhabanaow,	সম্ভাবনও,	সম্ভবনাও,	
shahanara,	শাহনারা,	শাহানারা,	
rushod,	রুশদ,	রুশদ,	
daaktikiter,	ডাকতিকেতের,	ডাকটিকিটের,	
minister,	মিনিসটের,	মিনিস্টার,	
deobonde,	দেববন্ডে,	দেওবন্দে,	
byomkes,	ব্যামকেস,	ব্যোমকেশ,	
chaabir,	চাবির,	চাবির,	
utsahomulok,	উৎসাহমূলক,	উৎসাহমূলক,	
dera,	ডেরা,	ডেরা,	
ajeejer,	আজিজের,	আজিজের,	
tenishe,	টেনিস,	টেনিসে,	
dakshinangsho,	দক্ষিণাংশ,	দক্ষিণাংশ,	
judge,	জজ,	জাজ,	
oichchik,	ঐচ্ছিক,	ঐচ্ছিক,	
neerbachoker,	নির্বাচকের,	নির্বাচকের,	
nodike,	নদীকে,	নদীকে,	
parqs,	পার্কস,	পার্কস,	
bulan,	বুলান,	বুলান,	
yuroo,	ইউরো,	ইউরো,	
baagica,	বাজিকা,	বাগিচা,	
aiiub,	আইউব,	আইইউবি,	
hughke,	হাঘকে,	হিউজকে,	
mooldoova,	মুল্ডোভা,	মলদোভা,	
durbhagya,	দুর্ভাগ্য,	দূর্ভাগ্য,	
poscate,	পশ্চাতে,	পশ্চাতে,	
neerbahe,	নির্বাহে,	নির্বাহে,	
bhittiei,	ভিত্তিই,	ভিত্তিই,	
pluck,	প্লক,	প্ল্যাক,	
shangsthaner,	সংস্থানের,	সংস্থানের,	
ishpredshhit,	ইস্প্রদেষ্ঠ,	স্প্রেডশীট,	
lohaa,	লোহা,	লোহা,	
songkulan,	সংকুলন,	সংকুলান,	
neshnosh,	নেশনাস,	নেশনস,	
ghatir,	ঘাটির,	ঘাটির,	
uzobekeestaaner,	উজবেক্ষতানের,	উজবেকিস্তানের,	
ghensha,	ঘেন্স,	ঘেঁষা,	
coner,	কোণের,	কনের,	
aakkaash,	আকাশ,	আককাস,	
oboshorer,	অবশরের,	অবসরের,	
judhahato,	যুদ্ধাহত,	যুদ্ধাহত,	
sheekarer,	শিকারের,	শিকারের,	
meghachonno,	মেঘাচন্য,	মেঘাচ্ছন্ন,	
pachchi,	পাচ্ছি,	পাচ্ছি,	
eokee,	এউকি,	এওকি,	
sontoshpur,	সন্তঃসপুর,	সন্তোষপুর,	
mauhajote,	মহাজতে,	মহাজোট,	
footbalarer,	ফুটবলারের,	ফুটবলারের,	
bafar,	বাফার,	বাফার,	
shucre,	শুক্রে,	সাকার,	
phutantoa,	ফুটান্টো,	ফুটন্ত,	
maile,	মেলে,	মাইলি,	
cheettronnatyokar,	চিত্রনাট্যকার,	চিত্রনাট্যকার,	
eskol,	এসকল,	এসকল,	
jilyand,	জিল্যান্ড,	জিল্যান্ড,	
jacqson,	জক্সন,	জ্যাকসন,	
gronthati,	গ্রন্থাটি,	গ্রন্থটি,	
monjile,	মঞ্জিলে,	মঞ্জিলে,	
tafsher,	তফসের,	তাফসীর,	
karor,	কারোর,	কারোর,	
mohisho,	মহিষ,	মহিষ,	
shorifer,	শরীফের,	শরিফের,	
garjan,	গারজজন,	গর্জন,	
naper,	নাপের,	ন্যাপের,	
beeswasee,	বিশ্বাসী,	বিশ্বাসে,	
kibord,	কিবোর্ড,	কীবোর্ড,	
dwibidho,	দ্বিধিধ,	দ্বিবিধ,	
definitian,	ডেফিনিশন,	ডেফিনেশন,	
romantika,	রোমান্টিক,	রোমান্টিক,	
rabo,	রব,	রব,	
oddure,	অদ্ডুরে,	অদুরে,	
difinision,	ডিফিনিশন,	ডেফিনেশন,	
ba,	বা,	বু,	
lutheereen,	লুথিরেন,	লুথেরান,	
laaisensh,	লাইসেন্স,	লাইসেন্স,	
pustio,	পুস্তিও,	পুষ্টি,	
ucchosito,	উচ্চসিত,	উচ্ছসিত,	
jackshon,	যক্সন,	জ্যাকসন,	
chhotto,	ছোটো,	ছোট্ট,	
easter,	ইস্টার,	ইস্টের,	
tetela,	টেটেল,	টাইটেল,	
shansthagulo,	সংস্থাগুলো,	সংস্থাগুলো,	
dwibidha,	দ্বিধাধ,	দ্বিবিধ,	
bosano,	বসানো,	বসানো,	
aarik,	আরিক,	আরিক,	
elaakaati,	এলাকাটি,	এলাকাটি,	
monjiley,	মঞ্জিলে,	মঞ্জিলে,	
kkomandar,	কমান্ডার,	কমাণ্ডার,	
phuda,	ফুড,	ফুড,	
stonahenza,	স্টোনেহেঞ্জ,	স্টোনহেঞ্জ,	
palestine,	পালেস্টিন,	প্যালেস্টাইনে,	
ghumachhe,	ঘুমাছে,	ঘুমাচ্ছে,	
digrio,	ডিগ্রিও,	ডিগ্রিও,	
danob,	ডানব,	দানব,	
bharpur,	ভারপুর,	ভরপুর,	
bagdadii,	বাগদাদী,	বাগদাদী,	
marmaara,	মার্মারা,	মারমারা,	
krantikale,	ক্রান্তিকালে,	ক্রান্তিকালে,	
metropoliton,	মেত্রপলিতন,	মেট্রোপলিটন,	
pushteer,	পুষ্টির,	পুষ্টির,	
kanaflikta,	কনফ্লিক্ট,	কনফ্লিক্ট,	
refleks,	রেফলেক্স,	রিফ্লেক্স,	
inphormeshon,	ইনফর্মেশন,	ইনফরমেশন,	
sarano,	সরণাো,	সরানো,	
firoz,	ফিরজ,	ফিরোজ,	
pancbaar,	পাঁচাার,	পাঁচবার,	
quoota,	কোওোট,	কোটা,	
fanding,	ফান্ডিং,	ফান্ডিং,	
dhouto,	ধৌত,	ধৌত,	
machher,	মাছের,	মাছের,	
pratijogitar,	প্রতিযোগিতার,	প্রতিযোগীতার,	
sulphate,	সালফাতে,	সালফেট,	
raits,	রাইটস,	রাইটস,	
adarsho,	আদর্শ,	আর্দশ,	
ancholsomuho,	আঞ্চলসমূহ,	অঞ্চলসমূহ,	
chootite,	চুটিতে,	ছুটিতে,	
balabhadra,	বলভদদরা,	বলভদ্র,	
kul,	কুল,	কুল,	
hantte,	হাঁতে,	হাঁটতে,	
kirk,	কির্ক,	কার্ক,	
protizogii,	প্রতিযোগী,	প্রতিযোগী,	
patzat,	পাতা,	পাটজাত,	
dollu,	দল্লু,	ডলু,	
babna,	বাবনা,	বাবনা,	
poshchater,	পশ্চাতের,	পশ্চাতের,	
falashrutite,	ফলাস্রুটিতে,	ফলশ্রুতিতে,	
fishing,	ফিসিং,	ফিসিং,	
korecha,	করেছ,	করেছ,	
jahor,	জাহর,	জহর,	
nobotomo,	নবতম,	নবতম,	
brindabane,	বৃন্দবানে,	বৃন্দাবনে,	
palkee,	পালকি,	পাল্কি,	
bouddher,	বৌদ্ধের,	বৌদ্ধের,	
dikpal,	ডিক্ল,	দিকপাল,	
parking,	পার্কিং,	পার্কিং,	
enjineers,	ইঞ্জিনের্স,	ইঞ্জিনিয়ার্স,	
estania,	এস্টেনিয়া,	এস্তোনিয়া,	
lagto,	লাগতো,	লাগতো,	
licencing,	লিসেন্সিং,	লাইসেন্সিং,	
jworer,	জ্বরের,	জ্বরের,	
obodamoner,	অবদামনের,	অবদমনের,	
somratder,	সম্রতত্যের,	সম্রাটদের,	
ssahocorze,	সাহকর্যে,	সাহচর্যে,	
modelling,	মোডলিং,	মডেলিং,	
barron,	ব্যারোণ,	ব্যারন,	
michilti,	মিশিলটি,	মিছিলটি,	
sangostha,	সংস্থ,	সংস্থা,	
reejideens,	রেজিডেন্স,	রেসিডেন্স,	
retasa,	রেটস,	রাইটস,	
nationsh,	নেটন্স,	নেশনস,	
jawhar,	জওহর,	জহর,	
bona,	বোনা,	বোনা,	
ikbaler,	ইকবলের,	ইকবালের,	
adhyatmikata,	আধ্যাত্মিকতা,	আধ্যাত্মিকতা,	
aarke,	আরকে,	আরকে,	
paste,	পাস্তে,	পেষ্ট,	
masjidsaha,	মাজিদসহ,	মসজিদসহ,	
cholocchitrigulor,	চলচ্ছিতুরুগুর,	চলচ্চিত্রগুলোর,	
stain,	স্টেইন,	স্টেন,	
aakaabaar,	আকাবার,	আকাবার,	
banshite,	বাঁশিতে,	বাঁশিতে,	
udbhaban,	উদ্ভাবন,	উদ্ভাবন,	
sures,	সুরেস,	সুরেশ,	
batikromi,	ব্যাতিক্রমী,	ব্যতিক্রমী,	
godabori,	গদাবরী,	গোদাবরী,	
nirmol,	নির্মল,	নির্মল,	
proshtutkarok,	প্রস্তুতকারক,	প্রস্তুতকারক,	
nothivookto,	নথিভুক্ত,	নথিভুক্ত,	
sabchey,	সবছে,	সবচে,	
parbatmala,	পর্বত্মলা,	পর্বতমালা,	
abhidhaanick,	অভিধানিক,	অভিধানিক,	
transformerer,	ট্রান্সফোরের,	ট্রান্সফরমারের,	
thaakte,	থাকতে,	থাকতে,	
turky,	টুর্কি,	তুর্কি,	
evaner,	ইভানের,	ইভানের,	
phareqsa,	ফেরেকস,	ফরেক্স,	
samanyoi,	সামান্যই,	সামান্যই,	
omitrakkhor,	অমিত্রাক্ষর,	অমিত্রাক্ষর,	
cholochchitragulor,	চলচিত্রগুলোর,	চলচ্চিত্রগুলোর,	
reesideensa,	রেসিডেন্স,	রেসিডেন্স,	
kaareer,	কারীর,	কারীর,	
nikote,	নিকতে,	নিকটে,	
saatzoner,	সাতজনের,	সাতজনের,	
sthapona,	স্থাপনা,	স্থাপনা,	
shaatjon,	সাতজন,	সাতজন,	
bone,	বোন,	বনে,	
dovar,	দোবার,	ডোভার,	
jackey,	জকে,	জকি,	
naneer,	নানীর,	নানীর,	
chalochchitrai,	চলচিত্রাই,	চলচ্চিত্রই,	
sangasthaner,	সংস্থানের,	সংস্থানের,	
shoo,	শু,	শো,	
nirikha,	নীরীখ,	নিরিখ,	
