zete,	জেতে,	যেতে,	
pest,	পেস্ট,	পেস্ট,	
byanar,	ব্যানার,	ব্যানার,	
teentite,	তিনটিতে,	তিনটিতে,	
nritatwa,	নৃতত্ত্ব,	নৃতত্ত্ব,	
masakadja,	মাসকাজ্য,	মাসাকাদজা,	
onto,	অন্ত,	অন্তু,	
parthe,	পার্থে,	পার্থে,	
rabhara,	রাভার,	রোভার,	
ichchhemato,	ইচ্ছেমাত,	ইচ্ছেমতো,	
dyanisha,	ড্যানিস,	ড্যানিশ,	
procharoker,	প্রচারকের,	প্রচারকের,	
baga,	বাগা,	বগা,	
gajipure,	গাজীপুরে,	গাজীপুরে,	
destrayara,	ডেস্ট্রয়ার,	ডেস্ট্রয়ার,	
jounotake,	যৌনতাকে,	যৌনতাকে,	
raji,	রাজি,	রাজী,	
steem,	স্টিম,	স্টেম,	
atwabishvash,	আত্ববিশ্বাস,	আত্মবিশ্বাস,	
graduatee,	গ্রাডওয়েট,	গ্রাজুয়েট,	
obheenetader,	অভিনেতদের,	অভিনেতাদের,	
holudey,	হলুদে,	হলুদে,	
titler,	টিটলের,	টাইটেলের,	
prabhriti,	প্রভৃতি,	প্রভৃতি,	
paloke,	পালকে,	পালকে,	
mesopotamia,	মেসোপোটিমিয়া,	মেসোপটেমিয়া,	
nimnorup,	নিম্নরূপ,	নিম্নরূপ,	
koshtokor,	কষ্টকর,	কষ্টকর,	
sikkhaksoho,	শিক্ষাকসহ,	শিক্ষকসহ,	
rajara,	রাজারা,	রজার,	
torun,	তরুণ,	তরুণ,	
peepsi,	পিপসি,	পেপসি,	
aanto,	আঁতো,	আন্ত,	
vorsa,	ভোর্স,	ভরসা,	
trekball,	ট্রেকবাল,	ট্র্যাকবল,	
ederi,	এদারি,	এদেরই,	
stem,	স্টেম,	স্টেম,	
sweet,	স্বেত,	সুইট,	
akkhargulo,	অক্ষরগুলো,	অক্ষরগুলো,	
hangeri,	হাঙ্গেরি,	হাঙ্গেরী,	
granthagulo,	গ্রন্থাগুলো,	গ্রন্থগুলো,	
eyarakraphata,	এয়ারক্রাফট,	এয়ারক্রাফট,	
bisesagga,	বিশেষজ্ঞ,	বিষেশজ্ঞ,	
zumlar,	জামলার,	জুমলার,	
isooptoop,	ইসুপ্তুপ,	আইসোটোপ,	
refarm,	রিফার্ম,	রিফর্ম,	
alonkarone,	আলংকরণে,	অলঙ্করণে,	
ghatlo,	ঘটলো,	ঘটলো,	
baaner,	বানের,	ব্যানার,	
smarokgrantha,	স্মরকগ্রন্থ,	স্মারকগ্রন্থ,	
koroteer,	করতির,	করোটির,	
ssikkhammulok,	শিক্ষমমূলক,	শিক্ষামূলক,	
dins,	ডিনস,	ডিনস,	
eeleection,	ইলেকশন,	ইলেকশন,	
antonio,	অন্তোনিও,	আন্তোনিও,	
donaalder,	ডোনালদের,	ডোনাল্ডের,	
pesht,	পেস্ট,	পেস্ট,	
jackie,	জ্যাকি,	জ্যাকি,	
udore,	উদরে,	উদরে,	
shikkhakyo,	শিক্ষাক্য,	শিক্ষকও,	
dweep,	দ্বীপ,	দ্বীপ,	
ishpahanii,	ইসপাহানী,	ইস্পাহানী,	
sahosi,	সহসী,	সাহসী,	
poribesteeto,	পরিবেষ্টিত,	পরিবেষ্টিত,	
sahajlabhbhota,	সহজলভতা,	সহজলভ্যতা,	
rekardeda,	রেকর্ডেড,	রেকর্ডেড,	
pathocharyder,	পথচচারেরদের,	পথচারীদের,	
dharmantorer,	ধর্মন্তরের,	ধর্মান্তরের,	
poshta,	পোষ্টা,	পোস্ট,	
vasing,	ভাসিং,	ওয়াশিং,	
ishtrojoner,	ইস্ত্রজনের,	ইস্ট্রোজেনের,	
samarthita,	সমর্থিত,	সমর্থিত,	
alpha,	আলফা,	আলফা,	
nodisomuho,	নদিসমূহ,	নদীসমূহ,	
nodishomuher,	নদিসমূহের,	নদীসমূহের,	
saltha,	সালথা,	সালথা,	
nitragen,	নিটারেজেন,	নাইট্রোজেন,	
segulo,	সেগুলো,	সেগুলোও,	
indasa,	ইন্ডাস,	ইন্দাস,	
dakkhin,	দক্ষিন,	দক্ষিন,	
ekkosi,	এককশি,	এককোষী,	
pek,	পেক,	পাইক,	
jubok,	যুবক,	যুবক,	
chittakarshak,	চিত্তকর্শক,	চিত্তাকর্ষক,	
borhes,	বোরেস,	বোর্হেস,	
korano,	করানো,	করান,	
chandipur,	চণ্ডিপুর,	চন্ডিপুর,	
yathesht,	যথেস্ট,	যথেষ্ট,	
iizotop,	ইজতপ,	আইসোটোপ,	
manabhitoishi,	মনোভিতেশী,	মানবহিতৈষী,	
porichhonno,	পরিচন্ন,	পরিচ্ছন্ন,	
kumver,	কাম্ভের,	কুম্ভের,	
dhhaale,	ঢালে,	ঢালে,	
bishwashti,	বিশ্বাসতি,	বিশ্বাসটি,	
deembakritir,	ডিম্বাকৃতির,	ডিম্বাকৃতির,	
kutirer,	কুটিরের,	কুটিরের,	
dokaandaarra,	দোকান্দাররা,	দোকানদাররা,	
haindbooq,	হাইন্ডবুক,	হ্যান্ডবুক,	
bosobaasroto,	বসবাসরত,	বসবাসরত,	
noditey,	নদিতে,	নদীতে,	
jatker,	যাতকের,	জাতকের,	
pharsh,	ফার্স,	ফার্স,	
anannya,	অনন্য,	অনন্য,	
seeramic,	সেরামিক,	সিরামিক,	
ujhjho,	উঝ্জ,	উহ্য,	
estrogen,	এস্ট্রোজেন,	ইস্ট্রোজেন,	
utkontha,	উৎকণ্ঠা,	উৎকণ্ঠা,	
osleelotar,	অসলিলতার,	অশ্লীলতার,	
staliner,	স্টালিনের,	স্টালিনের,	
bephore,	বেফরে,	বিফোর,	
haalishohore,	হালিশহরে,	হালিশহরে,	
haricho,	হরিচ,	হারিছ,	
dharakey,	ধরাকে,	ধারাকে,	
neechara,	নিচার,	নেচার,	
tekshasha,	টেক্সাস,	টেক্সাস,	
phisha,	ফিশ,	ফিস,	
songosthasamuher,	সংস্থাসমূহের,	সংস্থাসমূহের,	
shansthake,	সংস্থাকে,	সংস্থাকে,	
argeentina,	আর্জেন্টিন,	আর্জেন্টিনা,	
shelimer,	সেলিমের,	সেলিমের,	
magnesium,	মগ্নেসিয়াম,	ম্যাগনেসিয়াম,	
ektaanaa,	একটানা,	একটানা,	
edbhoket,	এডভোকেট,	এডভোকেট,	
choudhoorira,	চৌধুরীরা,	চৌধুরীরা,	
hearts,	হার্টস,	হার্টস,	
hajaribag,	হজারিবাগ,	হাজারীবাগ,	
goneshkey,	গণেষকে,	গণেশকে,	
ekotaboddho,	একতাবদ্ধ,	একতাবদ্ধ,	
mitr,	মিটার,	এমআইটির,	
gregori,	গ্রেগরি,	গ্রেগরি,	
sanatan,	সানান,	সনাতন,	
parishodh,	পরিশোধ,	পরিশোধ,	
daynish,	ডাইনিস,	ডেনিশ,	
rurala,	রুরাল,	রুরাল,	
konbhaarson,	কনভারসন,	কনভার্সন,	
presidiyama,	প্রেসিডিয়াম,	প্রেসিডিয়াম,	
oiteejyogoto,	ঐতিহ্যগত,	ঐতিহ্যগত,	
sunch,	সাঞচ,	সূঁচ,	
smritifalok,	স্মৃতিফালক,	স্মৃতিফলক,	
chittakorshok,	চিত্তকর্ষক,	চিত্তাকর্ষক,	
aqa,	একা,	একা,	
bhajahari,	ভাজাহারী,	ভজহরি,	
sudhu,	সুধু,	শুধু,	
janasana,	জনসন,	জনসন,	
institutian,	ইন্সটিউটন,	ইনস্টিটিউশন,	
dwipe,	ড্বাইপে,	দ্বীপে,	
grambaasir,	গ্রাম্বাসীর,	গ্রামবাসীরা,	
shri,	শ্রী,	শ্রী,	
amuu,	আমু,	আমু,	
soinyoo,	সৈন্য,	সৈন্যও,	
kanabhenasana,	কনভেনশন,	কনভেনশন,	
thyang,	থ্যাং,	ঠ্যাং,	
uvochor,	উভচর,	উভচর,	
abosorbhataa,	অবসর্ভতা,	অবসরভাতা,	
gasthigata,	গাস্থিগতা,	গোষ্ঠীগত,	
thhyaang,	থ্যাং,	ঠ্যাং,	
traickball,	ট্রাইকবাল,	ট্র্যাকবল,	
dovashi,	দোভাসী,	দোভাষী,	
bagdaan,	বাগদান,	বাগদান,	
mesopetemiya,	মেসোপেটেমিয়া,	মেসোপটেমিয়া,	
mitar,	মিটার,	মিটার,	
dharabahikota,	ধারাবাহিকতা,	ধারাবাহিকতা,	
uler,	উলের,	উলের,	
dai,	দাই,	দৈ,	
banaten,	বানাতেন,	বানাতেন,	
zubok,	যুবক,	যুবক,	
progyapone,	প্রোগ্ঞাপনে,	প্রজ্ঞাপনে,	
deka,	ডেক,	ডেকা,	
jaatgoolo,	যাতগুলো,	জাতগুলো,	
shommotee,	সম্মতি,	সম্মতি,	
okshorguli,	অক্ষরগুলি,	অক্ষরগুলি,	
masjidgulo,	মাজগিদগুলো,	মসজিদগুলো,	
shibli,	শিবলি,	শিবলী,	
agomon,	আগমন,	আগমন,	
bishannota,	বিষন্নতা,	বিষণ্নতা,	
superhit,	সুপারহিট,	সুপারহিট,	
maithyu,	মৈথ্যু,	ম্যাথু,	
shudhre,	সুধ্রে,	শুধরে,	
ronaldo,	রোনাল্ড,	রোনালদো,	
antar,	আঁতর,	আন্তর,	
kuthhaar,	কুঠার,	কুঠার,	
degreete,	ডিগ্রিতে,	ডিগ্রিতে,	
samlachche,	সামাল্ছে,	সামলাচ্ছে,	
aunchal,	আঞ্চল,	অঞ্চল,	
bhuna,	ভুনা,	ভুনা,	
iciser,	ইসিসের,	আইসিসের,	
phutbolarke,	ফুটবলারকে,	ফুটবলারকে,	
udorey,	উদরে,	উদরে,	
shathigan,	সাথিগণ,	সাথীগণ,	
rober,	রোবের,	রবের,	
myaganeshiyama,	ম্যাগনেসিয়াম,	ম্যাগনেসিয়াম,	
vorosa,	ভররা,	ভরসা,	
hashmi,	হাশ্মি,	হাশমী,	
jagdish,	যাগদিশ,	জগদীশ,	
jahaaner,	জাহানের,	জাহানের,	
ekatabaddha,	একতাবদ্ধ,	একতাবদ্ধ,	
chhotogolpo,	ছোটোগল্প,	ছোটগল্প,	
proshtutkaroker,	প্রস্তুতকারকের,	প্রস্তুতকারকের,	
bosstontopoor,	বস্তন,	বসন্তপুর,	
gazir,	গাজির,	গাজির,	
illinais,	ইলিনেস,	ইলিনয়ে,	
him,	হিম,	হিম,	
samabeshe,	সমবেশে,	সমাবেশে,	
anyatro,	অন্যাত্র,	অন্যত্র,	
raita,	রাইত,	রাইট,	
sankolito,	সংকলিত,	সঙ্কলিত,	
toorisom,	তরিসম,	ট্যুরিজম,	
rashite,	রাশিতে,	রশিতে,	
grambasira,	গ্রাম্বাসীরা,	গ্রামবাসীরা,	
prastutkaraker,	প্রস্তুতকারকের,	প্রস্তুতকারকের,	
chur,	চুর,	চুর,	
proteestha,	প্রতিষ্ঠা,	প্রতিষ্ঠা,	
udichir,	উদিচির,	উদীচীর,	
halkavabe,	হালকাভাবে,	হালকাভাবে,	
prakashitabyo,	প্রকাশিত্ব,	প্রকাশিতব্য,	
monzur,	মঞ্জুর,	মঞ্জুর,	
pathachinha,	পাঠচিহ্ন,	পথচিহ্ন,	
dweepgoolor,	দ্বিপগুলোর,	দ্বীপগুলোর,	
janasamabesh,	জনসমেশ,	জনসমাবেশ,	
beelet,	বিলেট,	বিলেত,	
prakalpatite,	প্রকল্পতিতে,	প্রকল্পটিতে,	
prozonmo,	প্রজন্ম,	প্রজন্ম,	
weto,	ভ্যত,	ভেটো,	
phukor,	ফুকর,	ফুকোর,	
shelfish,	সেলফিস,	সেলফিস,	
inziniyara,	ইন্জিনিয়ার,	ইঞ্জিনিয়ার,	
simake,	সীমাকে,	সীমাকে,	
ankeet,	অঙকিট,	অঙ্কিত,	
chhaanader,	ছানাদের,	ছানাদের,	
parishodhito,	পরিশোধিত,	পরিশোধিত,	
dok,	ডোক,	ডক,	
shongiitkar,	সঙ্গীতকার,	সঙ্গীতকার,	
elakagulo,	এলাকাগুলো,	এলাকাগুলো,	
elahabader,	এলাহাবেদের,	এলাহাবাদের,	
smritiphalak,	স্মৃতিফালক,	স্মৃতিফলক,	
raag,	রাগ,	রাগ,	
right,	রাইট,	রাইট,	
jonmaabe,	জনমাবে,	জন্মাবে,	
acadimia,	একাডিমিয়া,	একাডেমিয়া,	
brittanta,	বৃত্তান্ত,	বৃত্তান্ত,	
greenpeace,	গ্রিনপেস,	গ্রিনপিস,	
sosoor,	সসুর,	শশুর,	
beekaale,	বিকালে,	বিকালে,	
upokaar,	উপকার,	উপকার,	
apodastha,	অপদস্থা,	অপদস্থ,	
luxury,	লুকসারি,	লাক্সারি,	
munafa,	মুনাফ,	মুনাফা,	
krishijaat,	কৃষিজাত,	কৃষিজাত,	
sithil,	সিথিল,	শিথিল,	
madrasatir,	মদ্রাসতির,	মাদ্রাসাটির,	
poshtmashterr,	পোষ্টমাস্টের,	পোস্টমাস্টার,	
akshaphorda,	এক্সফোর্ড,	অক্সফোর্ড,	
vishannota,	বিষন্নতা,	বিষণ্নতা,	
ebadoor,	এবাদুর,	এবাদুর,	
uleer,	উলির,	উলের,	
dhalee,	ঢালি,	ঢালী,	
evarest,	ইভারেস্ট,	এভারেস্ট,	
sansthan,	সংস্থান,	সংস্থান,	
blackmaeil,	ব্লাকমাইল,	ব্ল্যাকমেইল,	
songitagyo,	সঙ্গীতাঞ্য,	সঙ্গীতজ্ঞ,	
yoni,	যনি,	যোনী,	
bhandari,	ভান্ডারী,	ভাণ্ডারী,	
sporshe,	স্পোর্সে,	স্পর্শে,	
provriti,	প্রভৃতি,	প্রভৃতি,	
arigan,	আরিগান,	অরিজিন,	
nabya,	নব্য,	নাব্য,	
mastarapisa,	মাস্টারপিস,	মাস্টারপিস,	
bhasaari,	ভাষারী,	ভাষারই,	
pongopal,	পঙ্গপাল,	পঙ্গপাল,	
prokalpasamuha,	প্রকল্পসমূহ,	প্রকল্পসমূহ,	
malayeshhiya,	মালয়েশিয়া,	মালয়েশিয়া,	
cheetroroop,	চিত্ররূপ,	চিত্ররূপ,	
teestaa,	টেস্টা,	তিস্তা,	
parishodhita,	পরিশোধিতা,	পরিশোধিত,	
shangkirtan,	সংকীর্তন,	সংকীর্তন,	
shripur,	শ্রীপুর,	শ্রীপুর,	
boltey,	বলতে,	বলতে,	
dhormantarer,	ধর্মন্তরের,	ধর্মান্তরের,	
peshent,	পিসেন্ট,	পেসেন্ট,	
shofiul,	শফিউল,	শফিউল,	
hooker,	হোকের,	হুকের,	
piipsii,	পিপসি,	পেপসি,	
vugoler,	ভূগলের,	ভূগোলের,	
posta,	পোষ্টা,	পোস্ট,	
jalatanko,	জলতঙ্ক,	জলাতংক,	
cholochchitrotir,	চলচিত্রটির,	চলচ্চিত্রটির,	
byaboharkarira,	ব্যবহারকারীরা,	ব্যবহারকারীরা,	
mausumey,	মৌসুমে,	মৌসুমে,	
beeleter,	বিলেটের,	বিলেতের,	
pepsii,	পেপসি,	পেপসি,	
aashteek,	আস্তিক,	আস্তিক,	
dhorar,	ধরার,	ধরার,	
michil,	মিচিল,	মিছিল,	
arer,	আরের,	আরের,	
paiq,	পাইক,	পাইক,	
berlovii,	বার্লোভি,	বেরলভী,	
nodii,	নদী,	নদী,	
sikkhakao,	শিক্ষাকাও,	শিক্ষকও,	
achee,	আছে,	আছি,	
niropekshta,	নিরপেক্ষটা,	নিরপেক্ষতা,	
palanor,	পালানোর,	পালানোর,	
shushan,	শুশন,	সুসান,	
mojes,	মজেশ,	মোজেস,	
kurdee,	কুর্দি,	কুর্দি,	
dictator,	ডিক্টেটর,	ডিক্টেটর,	
perir,	পেরির,	পেরির,	
eshechhilo,	এসেছিল,	এসেছিল,	
dukh,	দুখ,	দুখ,	
narobolir,	নারবলীর,	নরবলির,	
sarbharke,	সার্ভরকে,	সার্ভারকে,	
deobondi,	দিববন্দী,	দেওবন্দি,	
oitihyake,	ঐতিহ্যাকে,	ঐতিহ্যকে,	
naga,	নাগা,	নাগা,	
tunir,	তুনির,	টুনির,	
danish,	দানিশ,	ড্যানিশ,	
thaktei,	থাঁতেই,	থাকতেই,	
mosjidgulote,	মস্জিদগুলোতে,	মসজিদগুলোতে,	
mukherjeer,	মুখার্জির,	মুখার্জীর,	
mauhonto,	মহন্ত,	মহন্ত,	
sachetanamulok,	সচেতনামূলক,	সচেতনামূলক,	
shikshakyo,	শিক্ষাক্য,	শিক্ষকও,	
japaani,	জাপানি,	জাপানি,	
serje,	সার্জে,	সার্জ,	
dhaali,	ঢালি,	ঢালী,	
isiser,	আইসিসের,	আইসিসের,	
kistitay,	কিষ্টিতাই,	কিস্তিতে,	
mokhlesoor,	মখলেশুর,	মোখলেসুর,	
dabit,	দাবিত,	ডেবিট,	
dibakar,	দিবাকার,	দিবাকর,	
ronaalado,	রোনালাদো,	রোনালদো,	
nreetatta,	নৃতত্ত্ব,	নৃতত্ত্ব,	
academia,	একাডেমিয়া,	একাডেমিয়া,	
boondhya,	বন্ধা,	বন্ধ্যা,	
acadeemia,	একাডেমিয়া,	একাডেমিয়া,	
shasonkartar,	শাসনকর্তার,	শাসনকর্তার,	
pyatarner,	প্যাটার্নের,	প্যাটার্নের,	
eendex,	ইনডেক্স,	ইনডেক্স,	
durgata,	দূর্গতা,	দুর্গত,	
baaraker,	বারাকের,	বারাকের,	
isotop,	ইসতপ,	আইসোটোপ,	
nairajya,	নৈরাজ্য,	নৈরাজ্য,	
deengi,	ডিঙ্গি,	ডিঙ্গি,	
market,	মার্কেট,	মার্কেট,	
encription,	এনক্রিপ্যান,	এনক্রিপশন,	
ekokke,	একককে,	একককে,	
natnii,	নাটনী,	নাতনী,	
enginiir,	এঙ্জিনির,	ইঞ্জিনিয়ার,	
locq,	লক,	লক,	
jatheshtoi,	যথেষ্ট্যই,	যথেষ্টই,	
ashorti,	আশরটি,	আসরটি,	
dangshan,	দংশন,	দংশন,	
bondiider,	বন্দীদের,	বন্দীদের,	
byaboharkareera,	ব্যবহারকারীরা,	ব্যবহারকারীরা,	
parkeo,	পারকেও,	পার্কেও,	
shangsthader,	সংস্থদের,	সংস্থাদের,	
olimpike,	অলিম্পিকে,	অলিম্পিকে,	
baangkar,	বাংকার,	বাংকার,	
danishh,	দানিশ,	ড্যানিশ,	
aviyojaner,	অভিযোজনের,	অভিযোজনের,	
masholadar,	মাশলাদার,	মশলাদার,	
byabaharkarira,	ব্যবহারকারীরা,	ব্যবহারকারীরা,	
shikkhakata,	শিক্ষকতা,	শিক্ষকতা,	
sifte,	সিফতে,	শিফটে,	
dokanpaat,	ডোকানপাত,	দোকানপাট,	
moshzider,	মস্দিদের,	মসজিদের,	
arthar,	অর্থার,	আর্থার,	
onlee,	অনলি,	ওনলি,	
simitobhabe,	সিমিতভাবে,	সীমিতভাবে,	
sanbadmadhyamgulo,	সংবাদমাধগুলো,	সংবাদমাধ্যমগুলো,	
prosadhan,	প্রসাধন,	প্রসাধন,	
chamaskir,	চামস্কির,	চমস্কির,	
smarokgrontha,	স্মরকগ্রন্থা,	স্মারকগ্রন্থ,	
morela,	মরেলা,	মোরেল,	
jak,	যাক,	জাক,	
ulamaagon,	উলামাগন,	উলামাগণ,	
presidium,	প্রেসিডিয়াম,	প্রেসিডিয়াম,	
hilton,	হিলতন,	হিল্টন,	
gajipurer,	গাজীপুরের,	গাজীপুরের,	
tho,	ঠো,	থো,	
soociety,	সোজিয়েটি,	সোসাইটি,	
aaislyaande,	আইলল্যান্ডে,	আইসল্যান্ডে,	
rajbondider,	রাজবন্দীদের,	রাজবন্দীদের,	
mikadoo,	মিকাদু,	মিকাডো,	
roilo,	রোল,	রইল,	
sherber,	সার্বের,	সার্ভার,	
shloke,	শ্লোকে,	শ্লোকে,	
ahonafer,	আহনাফের,	আহনাফের,	
shekhen,	শেখেন,	শেখেন,	
notoraj,	নতরাজ,	নটরাজ,	
anannyata,	অনন্য্যতা,	অনন্যতা,	
sahozlabhbha,	সহজলাভ,	সহজলভ্য,	
haleeshohore,	হালিশহরে,	হালিশহরে,	
rohosye,	রোহস্যে,	রহস্যে,	
ranotorir,	রানতরীর,	রণতরীর,	
nimnarooph,	নিম্নরূফ,	নিম্নরূপঃ,	
ilinois,	এলিনেস,	ইলিনয়ে,	
ovidhane,	অবিধানে,	অভিধানে,	
fallsh,	ফলস,	ফলস,	
shtema,	স্টেম,	স্টেম,	
laalar,	লালার,	লালার,	
peekaasho,	পিকাশ,	পিকাসো,	
sujana,	সুজনা,	সুজানা,	
antu,	আন্তু,	অন্তু,	
rip,	রিপ,	রিপ,	
bondukdhaariiraa,	বন্দুকধারীরা,	বন্দুকধারীরা,	
drainaje,	ড্রাইনেজ,	ড্রেনেজ,	
patterner,	পটার্নের,	প্যাটার্নের,	
ilinaye,	এলিনেয়,	ইলিনয়ে,	
lower,	লোভার,	লোয়ার,	
ssahosi,	সাহসী,	সাহসী,	
konyodin,	কন্যদিন,	কোনওদিন,	
musab,	মুসব,	মুসআব,	
teddi,	টেডি,	টেডি,	
stesanari,	স্টেশনারি,	স্টেশনারি,	
spata,	স্পট,	স্পট,	
lekh,	লেখ,	লেখ,	
meyile,	মেইলে,	মেইলে,	
sarasari,	সরাসরী,	সরাসরী,	
nirbhorotaa,	নির্ভরতা,	নির্ভরতা,	
prakalposamuho,	প্রকল্পসমূহ,	প্রকল্পসমূহ,	
porjotokra,	পর্যতক্রা,	পর্যটকরা,	
vataa,	ভাটা,	ভাঁটা,	
ongsagrohonkari,	অংশগ্রহণকারী,	অংশগ্রহনকারী,	
bohirabaran,	বহিরাবরণ,	বহিরাবরণ,	
uparjonkari,	উপার্জনকারী,	উপার্জনকারী,	
avik,	অভিক,	অভিক,	
abos,	আবস,	অবশ,	
baug,	বাগ,	বাগ,	
mononito,	মনোনিত,	মনোনীত,	
twok,	টোক,	ত্বক,	
otorkito,	অতর্কিত,	অতর্কিত,	
februari,	ফেব্রারি,	ফেব্রুয়ারী,	
shakkhyer,	সাক্ষ্যের,	সাক্ষ্যের,	
carat,	চারাট,	ক্যারেট,	
kamdami,	কমদামী,	কমদামি,	
gronthosomuher,	গ্রন্থসমূহের,	গ্রন্থসমূহের,	
nadisamuha,	নাদিসমূহ,	নদীসমূহ,	
ekademiya,	একাডেমিয়া,	একাডেমিয়া,	
haibar,	হাইবার,	হইবার,	
neerbhorotar,	নির্ভরতার,	নির্ভরতার,	
gheta,	ঘেটা,	ঘাট,	
garaz,	গারাজ,	গ্যারাজ,	
muhammadke,	মুহামমাদকে,	মুহাম্মদকে,	
malayshia,	মালেশিয়া,	মালয়েশিয়া,	
tokdoi,	তোকদই,	টকদই,	
bondir,	বন্দির,	বন্দীর,	
chayesa,	চায়েস,	চয়েস,	
karamoot,	কারামুট,	কারামত,	
janasangjoger,	জনসংগের,	জনসংযোগের,	
aaishotop,	আইশতপ,	আইসোটোপ,	
jubktir,	যুবক্তির,	যুবকটির,	
sparshi,	স্পার্সি,	স্পর্শী,	
otyabashyak,	অত্যবাশ্যক,	অত্যাবশ্যক,	
paas,	পাশ,	পিউস,	
setir,	সেটির,	সেটির,	
abar,	আবার,	অাবার,	
okkhore,	অক্ষরে,	অক্ষরে,	
chalachchitragulo,	চলাচিত্রগুলো,	চলচ্চিত্রগুলো,	
prachinkaley,	প্রাচীনকালে,	প্রাচীনকালে,	
elaakagulo,	এলাকাগুলো,	এলাকাগুলো,	
gorkha,	গোরখা,	গোর্খা,	
maitheyu,	মাইথেযু,	ম্যাথু,	
tuji,	২জি,	টুজি,	
porisodher,	পরিসোধের,	পরিশোধের,	
deca,	ডেক,	ডেকা,	
mozlishe,	মজলিসে,	মজলিশে,	
gabhashkarer,	গভাসকারের,	গাভাস্কারের,	
teesee,	তিসে,	তিসি,	
denishe,	দেনিশে,	ডেনিস,	
pragyapane,	প্রাগ্ঞপনে,	প্রজ্ঞাপনে,	
mosjidey,	মস্জিদে,	মসজিদে,	
paakshenader,	পাক্সেনদের,	পাকসেনাদের,	
beerjopaat,	বির্জপাত,	বীর্যপাত,	
captitar,	কপ্টিটার,	কপটতার,	
graambaasike,	গ্রামবাসীকে,	গ্রামবাসীকে,	
harmoni,	হারমোনি,	হারমোনি,	
samotulya,	সমতুল্যা,	সমতুল্য,	
metar,	মেটার,	মিটার,	
salema,	সালেম,	সালেম,	
ragey,	রাগে,	রাগে,	
shangkiirtan,	সংকীরতান,	সংকীর্তন,	
horinkey,	হরিনকে,	হরিণকে,	
antarbhuktir,	অন্তর্ভূক্তির,	অন্তর্ভুক্তির,	
bhetoo,	ভেতু,	ভেটো,	
arjagan,	অর্জগন,	আর্যগণ,	
funder,	ফান্ডার,	ফান্ডের,	
stobdho,	স্তব্ধ,	স্তব্ধ,	
fokhore,	ফখরে,	ফখরে,	
abosorbhaataa,	অবসর্ভাতা,	অবসরভাতা,	
shaahoshii,	সাহসী,	সাহসী,	
homara,	হোমার,	হোমার,	
temne,	টেমনে,	তেমনে,	
mitratar,	মিত্রাটার,	মিত্রতার,	
oncholer,	অঞ্চলের,	অঞ্চলের,	
shankho,	সাঁখ,	শঙ্খ,	
sanshodhonite,	সংশোধনীতে,	সংশোধনীতে,	
atmabiswas,	আত্মবিশ্বাস,	আত্মবিশ্বাস,	
sikkhababosthar,	শিক্ষাবাবস্থার,	শিক্ষাব্যবস্থার,	
callagen,	কলেজেন,	কোলাজেন,	
khunzchilo,	খুঁজছিলো,	খুঁজছিল,	
choiti,	চৈতি,	চৈতির,	
ihoramer,	ইহরামের,	ইহরামের,	
citizenship,	সিটিজেনশিপ,	সিটিজেনশিপ,	
ponchomukh,	পঞ্চমূখ,	পঞ্চমুখ,	
iizootoop,	আইজোটুপ,	আইসোটোপ,	
uparjankari,	উপার্জনকারী,	উপার্জনকারী,	
gokarer,	গোকারের,	জোকারের,	
eeraneo,	ইরানেও,	ইরানেও,	
shibdas,	শিবদাস,	শিবদাস,	
granthake,	গ্রন্থকে,	গ্রন্থকে,	
nehoroor,	নেহরুর,	নেহরুর,	
sbatantrovabe,	স্বতন্ত্রভাবে,	স্বতন্ত্রভাবে,	
selfies,	সেলফিস,	সেলফিস,	
sangoskarone,	সংস্করণে,	সংস্করনে,	
neyan,	নিয়ান,	নিয়ন,	
sthaponati,	স্থাপনাটি,	স্থাপনাটি,	
shreepur,	শ্রীপুর,	শ্রীপুর,	
taeesh,	তাশ,	তেইশ,	
halkka,	হা্কা,	হালকা,	
bedona,	বেদনা,	বেদনা,	
bangkarer,	বাংকারের,	বাংকারের,	
phirishtaara,	ফিরিস্তার,	ফিরিশতারা,	
suits,	সুইটস,	সুইটস,	
udbhijjo,	উদ্ভিজ্য,	উদ্ভিজ্জ,	
shuborno,	শুবর্ণ,	সূবর্ণ,	
phutbolar,	ফুটবলার,	ফুটবলার,	
deaubander,	দিববানদের,	দেওবন্দের,	
safalye,	সাফল্যে,	সাফল্যে,	
batsmankey,	বৎসমানকে,	ব্যাটসম্যানকে,	
chatakdar,	চাটকদার,	চটকদার,	
bojhana,	বোঝানা,	বোঝান,	
jele,	জেলে,	জ্বেলে,	
soonnota,	সুন্নতা,	শুন্যতা,	
rajaar,	রাজার,	রজার,	
korotir,	করতির,	করোটির,	
job,	জব,	জব,	
saainyao,	সাইন্যাও,	সৈন্যও,	
illinois,	এলিনেস,	ইলিনয়ে,	
jubokke,	যুবককে,	যুবককে,	
cholochchitre,	চলচিতিত্রে,	চলচ্চিত্রে,	
pohela,	পোহেলা,	পহেলা,	
utey,	উতে,	উটে,	
inastitiusana,	ইনস্টিটিউশন,	ইনস্টিটিউশন,	
geesta,	গেস্ট,	গেস্ট,	
ekerpor,	একারপর,	একেরপর,	
shtationery,	স্টেশনারী,	স্টেশনারি,	
thoomree,	থুমরি,	ঠুমরী,	
shqeem,	স্কিম,	স্কিম,	
ponchomangsho,	পঞ্চমাংশ,	পঞ্চমাংশ,	
