santoshe,	সান্ত্ষে,	সন্তোষে,	
soundarjyo,	সৌন্দর্য্য,	সৌর্ন্দয্য,	
heeavy,	হেওভি,	হেভি,	
shiramikasha,	সিরামিকস,	সিরামিকস,	
nirbahi,	নির্বাহী,	নির্বাহি,	
harbar,	হরবার,	হারবার,	
pra,	প্রা,	প্রো,	
manir,	মানির,	মনির,	
jyaqasana,	জ্যাকশন,	জ্যাকসন,	
konphlikt,	কনফলিক্ট,	কনফ্লিক্ট,	
shaatjon,	সাতজন,	সাতজন,	
parkin,	পার্কিং,	পার্কিং,	
nishchitrupe,	নিশ্চিত্রপূপে,	নিশ্চিতরূপে,	
swapad,	স্বপদ,	শ্বাপদ,	
drishtir,	দৃষ্টির,	দৃশ্যটির,	
damanmulok,	দমননুলক,	দমনমূলক,	
bishasey,	বিশাবেস,	বিশ্বাসে,	
muhamada,	মুহম্মা,	মুহাম্মদ,	
asbar,	আসবার,	আসবার,	
bouddha,	বৌদ্ধ,	বৌদ্ধ,	
ganesh,	গেনস,	গণেশ,	
hepatitish,	হেপাটিটিং,	হেপাটাইটিস,	
olangkoron,	অলংকরণ,	অলঙ্করণ,	
sakkhatkarer,	সাক্ষাতকারের,	সাক্ষাৎকারের,	
lendol,	লেন্ডল,	লেন্ডল,	
shaakaar,	শাকার,	সাকার,	
grambasee,	গ্রামবাসী,	গ্রামবাসী,	
lajikar,	লাজিকার,	লজিকের,	
muhu,	মুহু,	মুহু,	
palbongser,	পালবংশের,	পালবংশের,	
bhyaatikaaner,	ভ্যাতিকানের,	ভ্যাটিকানের,	
duckten,	ডাকতেন,	ডাকতেন,	
sithilota,	সিথিলতা,	শিথিলতা,	
bagach,	বাগচ,	বটগাছ,	
seebiai,	সিবিয়,	সিবিআই,	
taantira,	তাঁতিরা,	তাঁতিরা,	
jonoshongjog,	জনসংযোগ,	জনসংযোগ,	
shiqara,	সিকার,	শিকার,	
nadnodeer,	নাদ্নদীর,	নদনদীর,	
rayyaleti,	রায়েলটি,	রয়্যালটি,	
neelabh,	নিলাভ,	নীলাভ,	
bitlaser,	বিটলেসের,	বিটলসের,	
ganokontho,	গণকণ্ঠ,	গণকণ্ঠ,	
oncholshomuh,	অঞ্চলসমূহ,	অঞ্চলসমূহ,	
chidropathe,	চিদ্রপাথে,	ছিদ্রপথে,	
kanisttha,	কনিষ্ঠ,	কনিষ্ঠ,	
mmesenjar,	মেসেনজার,	মেসেঞ্জার,	
dobhar,	ডভার,	ডোভার,	
batsman,	বটমস্যান,	ব্যাটসম্যান,	
chaudhurio,	চৌধুরিও,	চৌধুরীও,	
tintikey,	তিনটিকে,	তিনটিকে,	
bihare,	বিহারে,	বিহারে,	
sharoker,	স্বরকের,	স্মারকের,	
hailo,	হইল,	হইল,	
bamander,	বামান্ডের,	বামনদের,	
casper,	ক্যাসের,	ক্যাসপার,	
shikhra,	শিখরা,	শিখরা,	
grambasir,	গ্রামবাসীর,	গ্রামবাসীর,	
definishion,	ডেফিনিশন,	ডেফিনেশন,	
amittrakkhor,	আমিতাক্ষর,	অমিত্রাক্ষর,	
laiceensee,	লাইসেন্স,	লাইসেন্স,	
durgotsabe,	দুর্গতভে,	দুর্গোৎসবে,	
debdebee,	দেবদেবী,	দেবদেবী,	
romantiqa,	রোম্যান্টিক,	রোমান্টিক,	
tatey,	তাতে,	তাতে,	
juktorashtrer,	যুক্তরাস্ট্রের,	যুক্তরাষ্ট্রের,	
vins,	ভিন্স,	ভিন্স,	
karmokarke,	কর্মকারকে,	কর্মকারকে,	
prai,	প্রাই,	প্রায়,	
ghumacche,	ঘুমাছে,	ঘুমাচ্ছে,	
yatharthabhabe,	যথার্থভাবে,	যথার্থভাবে,	
pooroheetke,	পুরোহিতকে,	পুরোহিতকে,	
woter,	ওয়টার,	ভোটার,	
postay,	পোস্টে,	পোস্টে,	
karadando,	কারাদন্ড,	কারাদণ্ড,	
khanonkaaj,	খননকাজ,	খননকাজ,	
byatikrami,	ব্যাতিক্রমী,	ব্যতিক্রমী,	
engrejra,	ইংগেররা,	ইংরেজরা,	
badaghat,	বাদাঘত,	বাদাঘাট,	
kadarer,	কদরের,	কদরের,	
ceramiqs,	কেরামিক্স,	সিরামিকস,	
suiti,	সুইটি,	সুইটি,	
siqh,	শিখ,	শিখ,	
sahozlabhbhotar,	সহজ্লভ্তভার,	সহজলভ্যতার,	
jounatar,	যৌনতার,	যৌনতার,	
tookrokey,	টুকরকে,	টুকরোকে,	
oindreela,	ওই্ড্রেলা,	ঐন্দ্রিলা,	
urur,	উরুর,	উরুর,	
baron,	বারণ,	ব্যারন,	
feemalee,	ফেমালি,	ফিমেল,	
abikaul,	আবিকাল,	অবিকল,	
karmosansthaner,	কর্মসংস্থানের,	কর্মসংস্থানের,	
gojano,	গোজান,	গজানো,	
haridwar,	হারিড্যার,	হরিদ্বার,	
abdoone,	আবদুনে,	আবদুন,	
mosjidtikey,	মজিদিদিকে,	মসজিদটিকে,	
cholochchitro,	চলচিত্র,	চলচ্চিত্র,	
sangastha,	সংগ্্থ,	সংস্থা,	
sangkoolan,	সংকুলন,	সংকুলান,	
fall,	ফল,	ফল,	
parka,	পার্ক,	পার্ক,	
daktikite,	দাকটিকিতে,	ডাকটিকিটে,	
pyaleshtaine,	প্যালেস্টাইন,	প্যালেস্টাইনে,	
konagulo,	কোনাগুলো,	কণাগুলো,	
ganoparibahaner,	গণপরিিনার,	গণপরিবহনের,	
argho,	অর্ঘ,	অর্ঘ্য,	
chanu,	চানু,	চানু,	
mukhamandoler,	মুখমন্ডলের,	মুখমণ্ডলের,	
spredashiita,	স্প্রেডসিত,	স্প্রেডশীট,	
sikkhakramer,	শিক্ষাক্রমের,	শিক্ষাক্রমের,	
sanaktakaran,	সনাক্তকরণ,	সনাক্তকরণ,	
udbodhony,	উদ্বোধনি,	উদ্বোধনী,	
morathi,	মরাঠি,	মরাঠি,	
beekaargrasta,	বিকারগ্রস্ত,	বিকারগ্রস্ত,	
masjidtikey,	মাজজিদিকে,	মসজিদটিকে,	
ganjana,	গঞ্জনা,	গঞ্জনা,	
achis,	অচিস,	আছিস,	
tarunke,	তারুণকে,	তরুণকে,	
patiganit,	পতিগণিত,	পাটিগণিত,	
pchok,	পোকক,	পাচক,	
bhenkates,	ভেন্কাটেস,	ভেঙ্কটেশ,	
dharabhashyakar,	ধারাভাষ্যর,	ধারাভাষ্যকার,	
bee,	বি,	বি,	
nothibhookta,	নথিভুক্ত,	নথিভুক্ত,	
laiseensim,	লাইসেন্সিং,	লাইসেন্সিং,	
nathibhukta,	নাথিভুক্ত,	নথিভুক্ত,	
aanhu,	আনু,	আনহু,	
murrayir,	মুরের,	ম্যারির,	
saarbharer,	সার্ভরের,	সার্ভারের,	
jaanachhe,	জানাছ্যে,	জানাচ্ছে,	
jemi,	জেমি,	জেমি,	
ceramiks,	কেরামিক্স,	সিরামিকস,	
ul,	উল,	উল,	
anchalsaha,	অঞ্চলসহ,	অঞ্চলসহ,	
kredit,	ক্রেডিত,	ক্রেডিট,	
yukeliptas,	ইউক্যালিপ্টাস,	ইউক্যালিপ্টাস,	
abhishangson,	অভিসংসন,	অভিশংসন,	
elaakai,	এলাকইই,	এলাকাই,	
dong,	ডং,	ডং,	
moshion,	মশন,	মোশন,	
niropeksh,	নিরপেক্স,	নিরপেক্ষ,	
joones,	জুনাস,	জোন্স,	
taioyana,	টাইওয়ন,	তাইওয়ান,	
sazano,	সাজান,	সাজানো,	
dheke,	ঢেঁকে,	ঢেকে,	
bondhuderke,	বন্ধুদেরকে,	বন্ধুদেরকে,	
shoodhooi,	শুধুই,	শুধুই,	
shit,	শিত,	শীত,	
temas,	টেমাস,	টাইমস্,	
prakalpagulo,	প্রকালগুলো,	প্রকল্পগুলো,	
shhcholashtik,	স্চল্যাস্টিক,	স্কলাস্টিক,	
eashter,	ইস্টের,	ইস্টার,	
eparjonta,	এপর্যন্ত,	এপর্যন্ত,	
sotorko,	সতর্ক,	সতর্ক,	
sangostha,	সংগ্্থ,	সংস্থা,	
deeares,	ডাইরেস,	ডিআরএস,	
bapokotor,	ব্যাপকতর,	ব্যাপকতর,	
horeedware,	হরিদ্বরে,	হরিদ্বারে,	
nirbahe,	নির্বাহে,	নির্বাহে,	
tarunra,	তারুনরা,	তরুণরা,	
aalkatra,	আলকত্র,	আলকাতরা,	
saccar,	সাক্র,	সকার,	
dayra,	ডায়র,	ডেরা,	
siter,	সিতের,	সিটের,	
bedanto,	বেদন্ত,	বেদান্ত,	
ovidhaner,	অভিধানের,	অভিধানের,	
natneekey,	নাত্নীকে,	নাতনীকে,	
sukhma,	সূখ্ষ,	সুক্ষ্ম,	
sangbadmadhyomgulote,	সংবাধমাগলোতে,	সংবাদমাধ্যমগুলোতে,	
aagom,	আগম,	আগম,	
progreshsh,	প্রগ্রেস,	প্রগ্রেস,	
hazirhaat,	হাজিরহাট,	হাজিরহাট,	
plusey,	প্লাসে,	প্লাসে,	
phala,	ফল,	পোলো,	
rahi,	রহি,	রাহি,	
obharbheeu,	ওভার্ভিও,	ওভারভিউ,	
tottobar,	তত্ত্ববার,	তওবার,	
bonshi,	বনশী,	বংশী,	
kkhur,	ক্ষুর,	ক্ষুর,	
mohiboor,	মুহিবুর,	মহিবুর,	
susama,	সুসম,	সুসম,	
sip,	সিপ,	শিপ,	
nirbahey,	নির্বাহে,	নির্বাহে,	
borana,	বরানা,	বোরন,	
chalochchitraeeo,	চলচিত্রিও,	চলচ্চিত্রেও,	
grambaasheeo,	গ্রামবাসীও,	গ্রামবাসীও,	
consarvation,	কনসার্ভেশন,	কনসারভেশন,	
apachesta,	অপচেস্ট,	অপচেষ্টা,	
byatarii,	ব্যাতারী,	ব্যাটারী,	
armstrang,	আর্মস্ট্র,	আর্মস্ট্রং,	
ala,	আলো,	আলা,	
location,	লোকেশন,	লোকেশন,	
prakare,	প্রকারে,	প্রকারে,	
aminool,	আমিনুল,	আমিনুল,	
safi,	সফি,	সাফি,	
nadigulo,	নাদিগুলো,	নদীগুলো,	
onodhikar,	অনোধিকার,	অনধিকার,	
ovidhanik,	অভিধানিক,	অভিধানিক,	
jhonkar,	ঝংকার,	ঝঙ্কার,	
vangley,	ভাঙলে,	ভাঙলে,	
mangolic,	মঙ্গোলিক,	মাঙ্গলিক,	
adhunikkale,	আধুনিককালে,	আধুনিককালে,	
shoya,	সোয়া,	সোয়া,	
fulkapi,	ফুলক্যাপি,	ফুলকপি,	
kortam,	করতাম,	করতাম,	
mit,	মিট,	এমআইটি,	
mohajote,	মহাজতে,	মহাজোট,	
olongkoron,	অলংকরণ,	অলঙ্করণ,	
chilona,	চিলনা,	ছিলনা,	
candi,	ক্যান্ডি,	ক্যান্ডি,	
madhukori,	মধুকরী,	মাধুকরী,	
norfolq,	নরফল্ক,	নরফোক,	
shookna,	শুকনা,	শুকনা,	
kanflikt,	কানফিল্ট,	কনফ্লিক্ট,	
qyandi,	ক্যান্ডি,	ক্যান্ডি,	
governerer,	গভর্নের,	গভর্ণরের,	
mukhobondho,	মুখবন্ধ,	মুখবন্ধ,	
nabyota,	নাব্যতা,	নাব্যতা,	
gronthatike,	গ্রন্থাটিকে,	গ্রন্থটিকে,	
beeswasee,	বিশ্বাসী,	বিশ্বাসে,	
advansed,	আদ্যানসেস,	অ্যাডভান্সড,	
bhortuky,	ভর্তুকী,	ভর্তুকি,	
tookroti,	টুকরটি,	টুকরোটি,	
oshovyo,	অশওও,	অসভ্য,	
dharavassyokar,	ধারাভাষ্যকর,	ধারাভাষ্যকার,	
kinsa,	কিনস,	কিংস,	
dinner,	দিনের,	ডিনার,	
brake,	ব্রেক,	ব্রেক,	
istoone,	ইস্টুন,	স্টোন,	
dakten,	ডাকতেন,	ডাকতেন,	
koordider,	কুর্দিদের,	কুর্দিদের,	
aparogata,	অপারগত,	অপারগতা,	
priimoo,	প্রিমও,	প্রিমো,	
onekeri,	অনেকেরই,	অনেকেরই,	
chhatto,	ছট্ত,	ছোট্ট,	
nilkuthir,	নিলকুঠির,	নীলকুঠির,	
sangasthagulo,	সংস্ঠাগুলো,	সংস্থাগুলো,	
temontee,	টেমনটি,	তেমনটি,	
timathi,	তিমাঠি,	টিমোথি,	
keyu,	কেই,	কেউ,	
nartana,	নার্টন,	নর্টন,	
meg,	মেগ,	মেগ,	
creshcent,	ক্রেসেন্ট,	ক্রিসেন্ট,	
sectore,	সেক্টরে,	সেক্টরে,	
saralya,	সোরাল্য,	সারল্য,	
vandarey,	ভান্ডারে,	ভাণ্ডারে,	
choudhoorider,	চৌধুরিদের,	চৌধুরীদের,	
shikkhagato,	শিক্ষাগত,	শিক্ষাগত,	
ekpashe,	একপাশে,	একপাশে,	
bahyo,	বা্য,	বাহ্য,	
akrup,	একরুপ,	একরূপ,	
masjidke,	মাসজিদকে,	মসজিদকে,	
nirobota,	নীরবতা,	নিরবতা,	
raitasha,	রাইটস,	রাইটস,	
byte,	বিতে,	বাইট,	
juktarashtre,	যুক্তরাস্ট্রে,	যুক্তরাষ্ট্রে,	
byabasthar,	ব্যবস্থার,	ব্যবস্থার,	
ponthaar,	পন্থার,	পন্থার,	
sobchey,	সবছে,	সবচে,	
sangosthati,	সংস্থটি,	সংস্থাটি,	
hamburgey,	হাম্ববর্গে,	হামবুর্গে,	
karaa,	করা,	কারো,	
rohasyor,	রহাস্যর,	রহস্যর,	
byaboharkarikey,	ব্যবহারকারিকে,	ব্যবহারকারীকে,	
pujito,	পূজিত,	পুজিত,	
deily,	ডিলি,	ডেইলি,	
deezni,	ডিজনি,	ডিজনী,	
nodnodir,	নদ্নদির,	নদনদীর,	
bhittimool,	ভিত্টিমুল,	ভিত্তিমূল,	
chhatoke,	ছোটকে,	ছাতকে,	
chirkoot,	চারকুট,	চিরকুট,	
superheiro,	সুপারইারই,	সুপারহিরো,	
udbhabaney,	উদ্ভবনে,	উদ্ভাবনে,	
antarvukto,	অর্ন্তভুক্ত,	অন্তর্ভুক্ত,	
goonoman,	গুনমান,	গুণমান,	
dupleks,	ডাপলেক্স,	ডুপ্লে,	
letter,	ল্যাটার,	লেটার,	
mookhomandoley,	মুখমন্ডলে,	মুখমণ্ডলে,	
suparichito,	সুপরিিত,	সুপরিচিত,	
sachetanotamulak,	সচেতানতালূলক,	সচেতনতামূলক,	
pushteer,	পুষ্তির,	পুষ্টির,	
dormetori,	ডরমেটরি,	ডরমিটরি,	
magical,	ম্যাজিক্যাল,	ম্যাজিকাল,	
jonmat,	জন্মাত,	জন্মাত,	
grambaashio,	গ্রামবাসীও,	গ্রামবাসীও,	
onucheeder,	অনুচিদের,	অনুচ্ছেদের,	
hosne,	হোসনে,	হোসনে,	
brindaa,	ব্রিন্ড,	বৃন্দা,	
kanake,	কানাকে,	কণাকে,	
nesans,	নেশান্স,	নেশনস,	
marino,	মেরিনো,	মারিনো,	
kaathhaamaandu,	কাঠামান্ডু,	কাঠমান্ডু,	
dweepkey,	দ্বীপকে,	দ্বীপকে,	
aswastikar,	অস্বস্তিক,	অস্বস্তিকর,	
manohputa,	মনহ্ুতত,	মনঃপুত,	
sparsher,	স্পার্সের,	স্পর্শের,	
laicense,	লাইসেন্সে,	লাইসেন্স,	
oncholtite,	অঞ্চলটিতে,	অঞ্চলটিতে,	
bhaangchur,	ভাঞচুর,	ভাংচুর,	
dwip,	ড্বীপ,	দীপ,	
nake,	নাকে,	নেক,	
sahajlabhbhatar,	সহজ্লভভতার,	সহজলভ্যতার,	
gosthigulo,	গোষ্ঠিগুলো,	গোষ্ঠীগুলো,	
tookror,	টুকরর,	টুকরোর,	
chamski,	চামসকি,	চমস্কি,	
uporitole,	উপরিতলে,	উপরিতলে,	
turkey,	তুর্কি,	তুর্কি,	
stonehenje,	স্টোনেহেঞ্জে,	স্টোনহেঞ্জ,	
rohosyo,	রহস্য,	রহস্য,	
ghumachhilo,	ঘুমাছিল,	ঘুমাচ্ছিল,	
mmeloborrne,	মেলবর্নে,	মেলবোর্নে,	
qoda,	কোড,	কোড,	
rajbondi,	রাজবন্দী,	রাজবন্দী,	
damanmulak,	দমননূলক,	দমনমূলক,	
bocchoner,	বচ্চনের,	বচ্চনের,	
foreex,	ফরেক্স,	ফরেক্স,	
elaakaai,	এলাকাই,	এলাকাই,	
weelcomee,	উইলকমই,	ওয়েলকাম,	
shaalehaa,	সালেহা,	সালেহা,	
oshamonjosshoporno,	অসামান্যপূর্ন,	অসামঞ্জস্যপূর্ণ,	
veenus,	ভিনাস,	ভেনাস,	
chorban,	চররবন,	চর্বন,	
sansthatike,	সংস্থাটিকে,	সংস্থাটিকে,	
solil,	সলিল,	সলিল,	
ghumata,	ঘুমতা,	ঘুমাতো,	
johny,	জননি,	জনি,	
chenja,	চেঞ্জা,	চেঞ্জ,	
lagto,	লাগত,	লাগতো,	
dreestiheen,	দৃষ্টিহীন,	দৃষ্টিহীন,	
prothake,	প্রথাকে,	প্রথাকে,	
deyl,	ডিল,	ডেইল,	
hoteltee,	হটেলটি,	হোটেলটি,	
arakan,	অরাকন,	আরাকান,	
ujobekeestan,	উজবাকিক্তান,	উজবেকিস্তান,	
juktorastreo,	যুক্তরাস্ট্রের,	যুক্তরাষ্ট্রেও,	
otyacharita,	অত্যচাতিত,	অত্যাচারিত,	
sachetanatamulak,	সচেতনাতনূলক,	সচেতনতামূলক,	
neutrinoo,	নিউট্রিনো,	নিউট্রিনো,	
bypass,	বিপস,	বাইপাস,	
nisad,	নিশাদ,	নিষাদ,	
jaksa,	যক্ষ্য,	যক্ষ,	
prakalpoguli,	প্রকালগুলি,	প্রকল্পগুলি,	
aairis,	আইরিশ,	আইরিস,	
varma,	ওর্মা,	ভার্মা,	
oedipush,	ইদিপাস,	ইডিপাস,	
pharna,	ফর্ন,	ফার্ন,	
harysher,	হারিসের,	হ্যারিসের,	
besur,	বেশুর,	বেসুর,	
haris,	হ্যারিস,	হ্যারিস,	
chaiti,	চাইতি,	চৈতি,	
gajiipur,	গাজীপুর,	গাজীপুর,	
piora,	পিওর,	পিওর,	
euror,	ইউরোর,	ইউরোর,	
gobeshona,	গবেষণা,	গবেষনা,	
enamel,	এনামেল,	এনামেল,	
uponishad,	উপনিস্দ,	উপনিষদ,	
batsmanyi,	বাতসমনই,	ব্যাটসম্যানই,	
batikromshali,	ব্যাতিক্রমালী,	ব্যতিক্রমধর্মী,	
joubanbotii,	যৌববনতী,	যৌবনবতী,	
ekoirakom,	একারকম,	একইরকম,	
pleta,	প্লেট,	প্লেট,	
nazad,	নজদাদ,	নজদ,	
prachando,	প্রচন্ড,	প্রচণ্ড,	
tobe,	তবে,	টবে,	
octane,	অক্টান,	অকটেন,	
konroop,	কনরুপ,	কোনরূপ,	
aasif,	আশিফ,	আসিফ,	
sangosthatir,	সংস্থতির,	সংস্থাটির,	
marathi,	মারাঠি,	মরাঠি,	
potthon,	পঠ্ন,	পঠন,	
deebating,	দিবততিং,	ডিবেটিং,	
modeltigulo,	মোদেলটিলো,	মডেলগুলো,	
samle,	সামলে,	সামলে,	
shfingtar,	স্ফিংটার,	স্ফিংটার,	
mojlis,	মজলিস,	মজলিশ,	
upostheetir,	উপস্থিতির,	উপস্থিতির,	
rejidence,	রেজিডেন্স,	রেসিডেন্স,	
thakte,	থাকতে,	থাকতে,	
kromo,	ক্রম,	ক্রম,	
bajareo,	বাজারেও,	বাজারেও,	
gostigulo,	গোষ্তিগুলো,	গোষ্ঠীগুলো,	
khoor,	খুর,	ক্ষুর,	
aarke,	আরকে,	আরকে,	
pratisthasaho,	প্রতিস্ঠাসহ,	প্রতিষ্ঠাসহ,	
voolapuk,	ভুলাপুক,	ভোলাপুক,	
bodh,	বধ,	বোধ,	
rinattok,	ঋণাত্মক,	ঋনাত্মক,	
khalid,	খলিদ,	খালিদ,	
sikhar,	শিখর,	শিকার,	
chalochchitraeer,	চলচিত্রের,	চলচ্চিত্রের,	
masjidsaho,	মাজিদদহহ,	মসজিদসহ,	
protimake,	প্রতিমাকে,	প্রতিমাকে,	
alonkaran,	অলংকরণ,	অলঙ্করণ,	
lyanding,	ল্যান্ডিং,	ল্যান্ডিং,	
dorjee,	দরজী,	দরজি,	
plack,	প্লক,	প্ল্যাক,	
korkotkraanti,	কর্কট্্র্টটি,	কর্কটক্রান্তি,	
shoow,	শু,	শো,	
korkat,	করকত,	কর্কট,	
toroonderke,	তরুন্দেরকে,	তরুণদেরকে,	
aoki,	আকই,	এওকি,	
santose,	সান্তোজে,	সন্তোষে,	
lyanda,	ল্যান্ড,	ল্যান্ড,	
gaichey,	গাইছে,	গাইছে,	
reno,	রেনো,	রেনো,	
janosonjog,	জনসংযোগ,	জনসংযোগ,	
siddhantokey,	সিদ্ধান্তকে,	সিদ্ধান্তকে,	
lutheereen,	লুথারিন,	লুথেরান,	
bonovumi,	বনভূমি,	বনভূমি,	
torabganj,	তরাবগঞ্জ,	তোরাবগঞ্জ,	
malish,	মালিশ,	মালিশ,	
sthaponakay,	স্থাপনাকে,	স্থাপনাকে,	
hoshein,	হোসেন,	হোসেইন,	
vugorvey,	ভুগর্ভে,	ভূগর্ভে,	
aiieubi,	আইএইবি,	আইইউবি,	
daalu,	ডালু,	ডালু,	
taale,	টালে,	তালে,	
bolatkar,	বলাটকার,	বলাৎকার,	
sachetan,	সচেতন,	সচেতন,	
teenti,	তিনটি,	তিনটি,	
bhenisa,	ভেনিসা,	ভেনিস,	
elgoridom,	এলগোরিদম,	এলগরিদম,	
engrejiteo,	ইংরেজিতেও,	ইংরেজিতেও,	
nogorey,	নগরে,	নগরে,	
parshe,	পোর্সে,	পার্শ্বে,	
shikara,	স্বীকার,	শিকার,	
baibasthar,	ব্যবস্থার,	ব্যবস্থার,	
preety,	প্রীতি,	প্রিটি,	
cheerokoomari,	চিরকমাারই,	চিরকুমারী,	
baasake,	বাসাকে,	বাসাকে,	
stonahenja,	স্ননাহেঞ্জা,	স্টোনহেঞ্জ,	
kiirti,	কীরটি,	কীর্তি,	
gaiche,	গাইছে,	গাইছে,	
asociatis,	অ্যাসোিটিয়াস,	এসোসিয়েটস,	
drissogulote,	দৃশ্যগুলোতে,	দৃশ্যগুলোতে,	
doulaa,	ডাউলা,	দৌলা,	
dorgaaho,	দরগাহ,	দরগাহ,	
sahopatheeke,	সহপাঠীকে,	সহপাঠীকে,	
habshee,	হবশি,	হাবশী,	
shakara,	সকার,	সাকার,	
estoniya,	ইস্টোনিয়া,	এস্তোনিয়া,	
tuning,	টাউনিং,	টিউনিং,	
maile,	মেল,	মাইল,	
jansha,	জাঁসা,	জন্স,	
karleo,	কারলওও,	করলেও,	
udvabon,	উদ্ভবন,	উদ্ভাবন,	
ashachetan,	আশচেতন,	অসচেতন,	
sacheton,	সচেতন,	সচেতন,	
setitey,	সেটিতে,	সেটিতে,	
volapuk,	ভলাপুক,	ভোলাপুক,	
servere,	সার্ভারে,	সার্ভারে,	
janagononar,	জনগণনার,	জনগণনার,	
byaboharkareederke,	ব্যবহারকারিকের,	ব্যবহারকারীদেরকে,	
bondiira,	বন্দীরা,	বন্দীরা,	
chapal,	চপল,	চপল,	
uponishod,	উপনিশ্দ,	উপনিষদ,	
ponchaashjon,	পঞ্চাশজন,	পঞ্চাশজন,	
mache,	মাছে,	মাছে,	
neermolota,	নির্মলতা,	নির্মলতা,	
emergency,	এমার্জেন্সি,	এমার্জেন্সি,	
sbaajaner,	স্বজনের,	স্বজনের,	
jees,	জিস,	জেস,	
eksapresana,	এক্সপ্রেশন,	এক্সপ্রেশন,	
bongram,	বংগ্রাম,	বনগ্রাম,	
scoree,	স্করি,	স্কোরে,	
temoni,	তেমনি,	তেমনই,	
mukhabandho,	মুখবন্ধ,	মুখবন্ধ,	
okhhunno,	অখ্যুন্ন,	অক্ষুণ্ণ,	
bijepi,	বিজেপি,	বিজেপি,	
carloos,	কার্লস,	কার্লোস,	
selinar,	সেলিনার,	সেলিনার,	
ptolemir,	প্টোমির,	টলেমির,	
majhari,	মাঝারি,	মাঝারী,	
digri,	ডিগ্রী,	ডিগ্রি,	
eksathe,	একসাথে,	একসাথে,	
dalee,	ডলি,	ডালে,	
pracharana,	প্রচারণা,	প্রচারণা,	
olpokichudin,	অল্পকিছিদিন,	অল্পকিছুদিন,	
ikbalke,	ইকবালকে,	ইকবালকে,	
dhhaloor,	ধালুর,	ঢালুর,	
monchostho,	মঞ্চস্থ্য,	মঞ্চস্থ,	
protijogira,	প্রতিযোগীরা,	প্রতিযোগীরা,	
kingdam,	কিংগম,	কিংডম,	
phutanta,	ফুটন্ত,	ফুটন্ত,	
yuroo,	ইউরো,	ইউরো,	
categoryr,	কেটিগরির,	ক্যাটাগরির,	
bibhinno,	বিভিন্ন,	বিভন্ন,	
manonitader,	মনোনিতদের,	মনোনীতদের,	
mittrer,	মিত্রের,	মিত্রের,	
kona,	কোনা,	কোনা,	
ghaghot,	ঘঘঘত,	ঘাঘট,	
dhhaabi,	ধাবি,	ঢাবি,	
choudhureeder,	চৌধুরিদের,	চৌধুরীদের,	
golakritir,	গোলাকৃতির,	গোলাকৃতির,	
bagicha,	বাগিঁচা,	বাগিচা,	
uponeeshod,	উপনিশ্দ,	উপনিষদ,	
set,	সেট,	সিট,	
kota,	কোট,	কোটা,	
shannal,	স্যানেল,	সান্যাল,	
bhangchoor,	ভাঙচুর,	ভাংচুর,	
mekong,	মেকাং,	মেকং,	
manushtikey,	মানুস্টিকে,	মানুষটিকে,	
prodan,	প্রদান,	প্রদাণ,	
liceensee,	লিসেন্স,	লাইসেন্স,	
sikhechi,	শিখেছি,	শিখেছি,	
hunayn,	হুনাইন,	হুনাইন,	
uddhriti,	উদ্ধৃতি,	উদ্ধৃতি,	
poddhotitei,	পদ্ধতিতেই,	পদ্ধতিতেই,	
lombate,	লম্বতে,	লম্বাটে,	
hajartee,	হজরটি,	হাজারটি,	
somrat,	সমরাত,	সম্রাট,	
masharraf,	মোশাররফ,	মশাররফ,	
informetion,	ইনফর্মেশন,	ইনফরমেশন,	
harbur,	হার্বুর,	হারবার,	
shikkharthirao,	শিক্ষার্থীরা,	শিক্ষার্থীরাও,	
chhootite,	ছুটিতে,	ছুটিতে,	
dakshinangsha,	দক্ষিংাংশ,	দক্ষিণাংশ,	
jathaarthobhaabe,	যথার্থভাবে,	যথার্থভাবে,	
infarmatian,	ইনফারমেশন,	ইনফরমেশন,	
songbadmadhyomer,	সংবাধমাধ্যের,	সংবাদমাধ্যমের,	
holuder,	হলুদের,	হলুদের,	
gaaddaafee,	গাদ্দাপী,	গাদ্দাফী,	
shtonehenge,	স্ট্নেন্গে,	স্টোনহেঞ্জ,	
adhuna,	অধুন,	অধুনা,	
karima,	করিমা,	করিম,	
parbottyo,	পার্বত্য,	পার্বত্য,	
nikela,	নিকেলা,	নিকেল,	
komandar,	কমান্ডার,	কমাণ্ডার,	
manbe,	মানবে,	মানবে,	
odhuna,	ওধুন,	অধুনা,	
ghatol,	ঘটল,	ঘটল,	
parqasa,	পর্কস,	পার্কস,	
nobom,	নবম,	নবম,	
ashor,	আশর,	আসর,	
nadnadeer,	নদ্নদীর,	নদনদীর,	
utsahamulak,	উৎসমালূলক,	উৎসাহমূলক,	
bhushi,	ভুষি,	ভুষি,	
lande,	ল্যান্ডে,	ল্যান্ডে,	
fund,	ফান্ড,	ফান্ড,	
chalachchitrer,	চলচিত্রের,	চলচ্চিত্রের,	
horeepur,	হরিপুর,	হরিপুর,	
mangalik,	মঙ্গালিক,	মাঙ্গলিক,	
sector,	সিক্টর,	সেক্টর,	
hazat,	হজাত,	হজত,	
breaqthrough,	ব্রেক্রাঘ,	ব্রেকথ্রু,	
monohputo,	মনোপুত,	মনঃপুত,	
dakteekiter,	দাকটিকির,	ডাকটিকিটের,	
anchaleo,	অঞ্চলেও,	অঞ্চলেও,	
janar,	জানার,	জানার,	
