sahosikotar,	সহসিকতার,	সাহসিকতার,	
shorif,	শরিফ,	শরিফ,	
inziniyarsa,	ইনিজিন্রাস,	ইঞ্জিনিয়ার্স,	
jonosanjog,	জনসঙ্গগ,	জনসংযোগ,	
sikkhakram,	শিক্ষাক্রম,	শিক্ষাক্রম,	
nothivookto,	নথিযুক্ত,	নথিভুক্ত,	
bheenasa,	ভিনাস,	ভেনাস,	
atmabiswasi,	আত্মবিস্বাসী,	আত্মবিশ্বাসী,	
soourse,	সূরস্স,	সোর্স,	
arthonitike,	অর্থনীতিকে,	অর্থনীতিকে,	
fansi,	ফাঁসি,	ফাঁসী,	
satarkatar,	সাতরতকার,	সতর্কতার,	
uchhoshito,	উচ্ষতিত,	উচ্ছসিত,	
chowdhuryder,	চৌুদ্ধীরের,	চৌধুরীদের,	
aalaaoler,	আলালের,	আলাওলের,	
patthkromer,	পাঠকমরের,	পাঠক্রমের,	
sushiksar,	সুসিক্ষার,	সুশিক্ষার,	
iyutha,	ইউথু,	ইয়ুথ,	
amarjito,	অমর্জিত,	অমার্জিত,	
simmons,	সিম্যান্স,	সিমন্স,	
zubokder,	যুবদকের,	যুবকদের,	
maail,	মাইল,	মাইল,	
bhittitei,	ভিতিতেই,	ভিত্তিতেই,	
pletoo,	প্লেট,	প্লেটো,	
forid,	ফরিদ,	ফরিদ,	
sanaktokaroner,	সনাক্তনকরণের,	সনাক্তকরণের,	
agrodoot,	অগ্রদরত,	অগ্রদূত,	
jeshh,	জেস,	জেস,	
hisaber,	হিসববের,	হিসাবের,	
ekatto,	একাত্য,	একাত্ব,	
cholochchitrai,	চলচ্ছিত্যে,	চলচ্চিত্রই,	
voolapuk,	ভূলাপুক,	ভোলাপুক,	
shangsthagulo,	স্বাস্থগুলো,	সংস্থাগুলো,	
elakatikey,	এলাকতিকে,	এলাকাটিকে,	
chotogolpe,	চটোগল্পে,	ছোটগল্পে,	
gandhikey,	গানধিকে,	গান্ধীকে,	
prochondo,	প্রচন্দ,	প্রচণ্ড,	
choudhurir,	চৌধুরীর,	চৌধুরীর,	
archimedes,	আর্ডিমেনেস,	আর্কিমিডিস,	
mataram,	মাটরাম,	মাতরম,	
fulkopi,	ফুলকপি,	ফুলকপি,	
taiteela,	তাইতেল,	টাইটেল,	
nobotom,	নবতম,	নবতম,	
thelaa,	থেলা,	ঠেলা,	
karmopontha,	কর্মপন্থ,	কর্মপন্থা,	
shikshakram,	শিক্ষক্রম,	শিক্ষাক্রম,	
mausum,	মসমম,	মৌসুম,	
bishwaashshke,	বিশ্ববাসকে,	বিশ্বাসকে,	
malaika,	মালাকা,	মালাইকা,	
peoples,	প্পালেস,	পিপলস্,	
parqim,	পার্কিং,	পার্কিং,	
horinner,	হরিন্র,	হরিণের,	
jak,	জাক,	জাঁক,	
manhputo,	মাং্পুত,	মনঃপুত,	
phiksim,	ফিস্সিং,	ফিক্সিং,	
faj,	ফজ,	ফাজ,	
ustad,	উস্তাদ,	উস্তাদ,	
onker,	অঙ্কের,	ওঙ্কার,	
ajeeja,	অজিজা,	আজিজা,	
itostatoh,	ইতসস্থত,	ইতস্ততঃ,	
marqeting,	মার্কেটিং,	মার্কেটিং,	
pounchute,	পৌঁছুতে,	পৌঁছুতে,	
shumo,	শুমো,	সুমো,	
female,	ফেমালে,	ফিমেল,	
nirbaha,	নির্বাহ,	নির্বাহ,	
apargota,	অপরগতা,	অপারগতা,	
umedpoor,	উমেদপুর,	উমেদপুর,	
swapod,	স্বর্ন,	শ্বাপদ,	
taroni,	তারণী,	তরণী,	
arakani,	আরকানী,	আরাকানী,	
cathalic,	ক্যাথলিক,	ক্যাথলিক,	
lampat,	লাম্প্ট,	লম্পট,	
dephineshhana,	ডিফেনেশন,	ডেফিনেশন,	
dembakriti,	দেম্বাক্রী,	ডিম্বাকৃতি,	
siropadharii,	শিরোপারী,	শিরোপাধারী,	
zockey,	জকে,	জকি,	
pouro,	পুরও,	পৌর,	
rakhtokkharone,	রক্ষতার্ণে,	রক্তক্ষরণে,	
niropekshtar,	নিরপ্ক্টের,	নিরপেক্ষতার,	
nikat,	নিকট,	নিকট,	
chitronatyokar,	চিত্রন্যতার,	চিত্রনাট্যকার,	
timathi,	টিমাথি,	টিমোথি,	
ranangone,	রণনানগে,	রণাঙ্গনে,	
dooburir,	দূবরুর,	ডুবুরির,	
suraropito,	সুরাপপিত,	সুরারোপিত,	
starker,	স্টারকের,	স্টার্কের,	
bosanta,	বসন্ত,	বসন্ত,	
nirarthak,	নিরার্থক,	নিরর্থক,	
vobanir,	ভবননীর,	ভবানীর,	
deeares,	ডিরেস,	ডিআরএস,	
adhyatmik,	অধ্যাত্মিক,	আধ্যাত্মিক,	
tarabaina,	তরবাইন,	টারবাইন,	
kemonay,	কেমনে,	কেমনে,	
laisensa,	লাইসেস্স,	লাইসেন্স,	
pathanirdeshana,	পানর্দিনেন,	পথনির্দেশনা,	
mukhamandal,	মুখনাম্ল,	মুখমণ্ডল,	
fulkapi,	ফুলকাপি,	ফুলকপি,	
asociatees,	অসস্যাসেট,	এসোসিয়েটস,	
oitijhyey,	ঐতিয্যে,	ঐতিহ্যে,	
keuyi,	কাউই,	কেউই,	
baron,	ব্যান,	ব্যারন,	
ralafa,	রাফা,	রালফ,	
seating,	সিটিং,	সিটিং,	
laala,	লালা,	লালা,	
nischitabhave,	নিঃশকভিভাবে,	নিশ্চিতভাবে,	
lajik,	লাজিক,	লজিক,	
monmoth,	মন্ম,	মন্মথ,	
anhu,	অনু,	আনহু,	
tomader,	তমাদের,	তোমাদের,	
bhabani,	ভবনী,	ভবানী,	
chalechi,	চলেছি,	চলেছি,	
muktume,	মুক্তুমে,	মাকতুম,	
protisthasoho,	প্রতিস্থাসহ,	প্রতিষ্ঠাসহ,	
anciint,	অনযানিন্ট,	এনসিয়েন্ট,	
danabder,	দাবান্দের,	দানবদের,	
cholocchitrotike,	চলচ্চিত্তিকে,	চলচ্চিত্রটিকে,	
digree,	ডিগ্রি,	ডিগ্রি,	
aazeez,	আজিজ,	আজিজ,	
sampadan,	সম্পাদন,	সম্পাদন,	
bhenasha,	ভেনাস,	ভেনাস,	
miley,	মিলে,	মাইলে,	
dhikrito,	দৃকৃত,	ধিকৃত,	
holuder,	হলুদের,	হলুদের,	
qrisenta,	ক্রিসেট,	ক্রিসেন্ট,	
seqtara,	সেক্টর,	সেক্টর,	
foltir,	ফলটির,	ফলটির,	
ovigomon,	অভিগোমন,	অভিগমন,	
aziza,	অজিজ,	আজিজা,	
astikota,	অস্টিকতা,	আস্তিকতা,	
chalochchitrake,	চলচ্ছিক্রে,	চলচ্চিত্রকে,	
ezenda,	এজেন্ড,	এজেন্ডা,	
suraaropito,	সুরাপোরিত,	সুরারোপিত,	
templete,	টেম্পলিটে,	টেম্পলেট,	
necker,	নেকের,	নেকের,	
hajarer,	হাারের,	হাজারের,	
land,	লা্্ড,	ল্যান্ড,	
sulphate,	সুলফাইটে,	সালফেট,	
sarbhare,	সর্ভারে,	সার্ভারে,	
fall,	ফল,	ফল,	
kanthar,	কান্থার,	কাঁথার,	
dwip,	দ্বীপ,	দীপ,	
karpeter,	কর্পটের,	কার্পেটের,	
chalachchitrer,	চলচিচ্ছের,	চলচ্চিত্রের,	
dakkhinangsho,	দক্ষিণাংশ,	দক্ষিণাংশ,	
alaul,	আলাল,	আলাওল,	
iksaprishana,	ক্যাস্স্রেশন,	এক্সপ্রেশন,	
dhormi,	ধর্মি,	ধর্মী,	
abahon,	আবাহন,	আবাহন,	
vedanta,	ভেনাত্,	বেদান্ত,	
shatjoner,	শত্জনের,	সাতজনের,	
idaning,	ডেনিং,	ইদানিং,	
infarmatian,	ইনফরমেশন,	ইনফরমেশন,	
thanvi,	থান্ি,	থানভী,	
panchasjon,	পঞ্চাজন,	পঞ্চাশজন,	
digrio,	ডিগ্রিও,	ডিগ্রিও,	
adbhut,	অ্যাভুত,	অদ্ভুত,	
tikka,	টিককা,	টিক্কা,	
indrer,	ইন্দ্রের,	ইন্দ্রের,	
obhaarbhiu,	অভারভভয়ে,	ওভারভিউ,	
eastar,	এস্টর,	ইস্টার,	
bamni,	বামনি,	বামনী,	
jalrong,	জলর্ং,	জলরঙ,	
gandho,	গা্ধ,	গন্ধ,	
ganona,	গণনা,	গননা,	
spreeadsheet,	স্প্রেশিি,	স্প্রেডশীট,	
kyatagorir,	ক্যাতগরির,	ক্যাটাগরির,	
venis,	ভেনিস,	ভেনিস,	
qoda,	কোড,	কোডা,	
superheror,	সুপারেরার,	সুপারহিরোর,	
ancieent,	অনযান্েন্ট,	এনসিয়েন্ট,	
shakara,	শাকার,	সকার,	
byapokotor,	ব্যাপকতার,	ব্যাপকতর,	
oncholgoolote,	অঞ্চলুলোতে,	অঞ্চলগুলোতে,	
vejano,	ভেজানো,	ভেজানো,	
aieesa,	আইসস,	আইএএস,	
bhabotarini,	ভাবতরিনী,	ভবতারিণী,	
chetonagato,	চেতাগোত,	চেতনাগত,	
sanaktakaran,	সনাকতকরণ,	সনাক্তকরণ,	
photanor,	ফটনার,	ফোটানোর,	
ogrodoot,	অগ্রোরত,	অগ্রদূত,	
madhobi,	মাধবী,	মাধবী,	
saarbhaare,	সারভারে,	সার্ভারে,	
gasthii,	গ্যাস্থি,	গোষ্ঠীই,	
carpete,	কারপেটে,	কার্পেটে,	
ap,	আ্যা,	আপ,	
ganakantho,	গণণক্থ,	গণকণ্ঠ,	
artilleri,	অ্যার্লিনির,	আর্টিলারি,	
ovarviu,	অভারভিও,	ওভারভিউ,	
meloonborroner,	মেলনুর্রনের,	মেলবোর্নের,	
jhalkathy,	ঝালাঠি,	ঝালকাঠী,	
ponjikaar,	পঞ্জিকার,	পঞ্জিকার,	
naubotom,	নৌবত,	নবতম,	
suparharo,	সুপারোগা,	সুপারহিরো,	
taresa,	তরেস,	টেরেসা,	
turkeyder,	তুর্কীদের,	তুর্কিদের,	
transfarm,	ট্রান্সপোর্স,	ট্রান্সফর্ম,	
potthon,	পাঠন,	পঠন,	
ever,	এভয়ার,	এভার,	
jaqi,	জাকি,	জকি,	
agomone,	অগমানে,	আগমনে,	
ancholsomuher,	অঞ্চলমসহের,	অঞ্চলসমূহের,	
chhatoke,	ছটকোে,	ছাতকে,	
unitgulo,	উনিতগুলো,	ইউনিটগুলো,	
uthaney,	উঠানে,	উঠানে,	
jeelyaand,	জিল্যান্ড,	জিল্যান্ড,	
daada,	ডাডা,	দাদা,	
kkunti,	কুন্তি,	কুন্তী,	
gudamjato,	গুদমাজত,	গুদামজাত,	
shomraat,	শো্রাাত,	সম্রাট,	
mase,	মাসে,	মাসে,	
balokarok,	বালকরক,	বলকারক,	
aairis,	আইরিশ,	আইরিস,	
vitti,	ভিটতি,	ভিত্তিই,	
parkasha,	পার্কাস,	পার্কস,	
firozaa,	ফিরোজা,	ফিরোজা,	
sahozlabhbhotar,	সহজভভভাতের,	সহজলভ্যতার,	
ekspression,	এক্সপ্রেশন,	এক্সপ্রেশন,	
swosti,	স্বশ্তি,	স্বস্তি,	
alangkoron,	অলঙ্করণ,	অলঙ্করণ,	
assastikar,	অসস্যাসিতার,	অস্বস্তিকর,	
moshjidtir,	মসজিদির,	মসজিদটির,	
awatara,	অ্যাটর,	অবতার,	
proteesthan,	প্রতিষ্ঠান,	প্রতিষ্টান,	
beekargrasta,	বিকারগার্ট,	বিকারগ্রস্ত,	
bahaati,	বাহাতি,	বাহাতি,	
nikela,	নিকেল,	নিকেল,	
maudelder,	মুদল্ডের,	মডেলদের,	
lajiqa,	লাজিকা,	লজিক,	
shekende,	সেকেন্ডে,	সেকেন্ডে,	
akhhunno,	অখুযুন্ন,	অক্ষুণ্ণ,	
vatar,	ভাতার,	ভাতার,	
onkita,	অঙ্কিত,	অঙ্কিতা,	
dayitwa,	দৈত্য,	দায়িত্ব,	
neerbaho,	নির্বাহ,	নির্বাহ,	
artillery,	অ্যার্লিনির,	আর্টিলারি,	
poonch,	পুঁচ,	পুঞ্চ,	
nirmolotaa,	নির্মলাা,	নির্মলতা,	
prokolpotike,	প্রজক্তিপকে,	প্রকল্পটিকে,	
mahakabi,	মহাকাবী,	মহাকবি,	
goodamjato,	গুদাগত,	গুদামজাত,	
jesthotar,	জেস্থতার,	জ্যেষ্ঠতার,	
maadhookori,	মাধকরী,	মাধুকরী,	
alonkaron,	অলজনকরণ,	অলঙ্করণ,	
inshtant,	ইন্স্টন্ট,	ইনস্ট্যান্ট,	
samosher,	সমসের,	সমশের,	
kanshat,	কাংসট,	কানসাট,	
dargah,	দারহা,	দরগাহ,	
setite,	সেতিতে,	সেটিতে,	
diznii,	দিজনি,	ডিজনী,	
segulor,	সেগুলোর,	সেগুলোর,	
ancholtike,	অঞ্চলতিকে,	অঞ্চলটিকে,	
gage,	গেগে,	গেজ,	
marmaraa,	মারমারা,	মারমারা,	
funding,	ফাউনিং,	ফান্ডিং,	
bona,	বোনা,	বোনা,	
kaanaai,	কানাই,	কানাই,	
aameenar,	আমিনার,	আমিনার,	
uporitole,	উপরিতে,	উপরিতলে,	
dharabiktir,	ধারাবিতির,	ধারাবাহিকটির,	
monjushri,	মন্জসুরি,	মঞ্জুশ্রী,	
ashshociatesh,	অস্যারিসেস,	এসোসিয়েটস,	
rubala,	রুবাল,	রুবল,	
gate,	গাতে,	গ্যেটে,	
graambaseeder,	গ্রামবাদের,	গ্রামবাসীদের,	
definishion,	ডিফিনিশন,	ডেফিনেশন,	
otyacharito,	অত্যাচাতরি,	অত্যাচারিত,	
mmesenjarer,	মেনেস্জার,	মেসেঞ্জারের,	
graambaashio,	গ্রমমাবিয়া,	গ্রামবাসীও,	
tali,	তালি,	তালি,	
paschimey,	পশ্চিমে,	পশ্চিমে,	
karmakarke,	কর্মকারকে,	কর্মকারকে,	
bhenisa,	ভেনিস,	ভেনিস,	
jacksoner,	জাকসনের,	জ্যাকসনের,	
fol,	ফল,	ফল,	
saptahokal,	সপ্তাহাল,	সপ্তাহকাল,	
silbhi,	সিলভি,	সিলভি,	
elaka,	এলাকা,	এলাকা,	
bbiswasho,	বিশ্বাস,	বিশ্বাসও,	
utkhat,	উৎকৎষা,	উত্খাত,	
dobhaar,	ডভার,	ডোভার,	
saqara,	সাকার,	সাকার,	
zoojyota,	যোজ্যতা,	যোজ্যতা,	
relance,	রেলান্স,	রিলায়েন্স,	
vugoley,	ভুগলে,	ভূগোলে,	
twakei,	ট্যাকেই,	ত্বকেই,	
depp,	ডিপপ,	ডেপ,	
atwabishvashi,	আত্মববিশীবশী,	আত্মবিশ্বাসী,	
aminul,	আমিনুল,	আমিনুল,	
dharabahikotitey,	ধারাাাজিতিতে,	ধারাবাহিকটিতে,	
osamarik,	অসামরিক,	অসামরিক,	
beca,	বেকা,	বেচা,	
cheshsh,	চেস্স,	চেস,	
logic,	লোগে,	লজিক,	
postac,	পোস্টা,	পোস্টকে,	
proteesthar,	প্রতিষ্ঠার,	প্রতিষ্ঠার,	
marmara,	মার্মার,	মারমারা,	
skart,	স্কার্ট,	স্কার্ট,	
lyanding,	ল্যান্ডিং,	ল্যান্ডিং,	
ray,	রে,	রায়,	
madhoori,	মাধরী,	মাধুরী,	
phiqsa,	ফিক্স,	ফিক্স,	
abheedhaanik,	অভিধানিক,	অভিধানিক,	
debeting,	ডেবেটিং,	ডিবেটিং,	
phokskon,	ফক্কেন,	ফক্সকন,	
siddhantake,	শিদ্ধান্তে,	সিদ্ধান্তকে,	
pleta,	প্লেট,	প্লেটো,	
hugheske,	হুজাছে,	হিউজকে,	
uttor,	উত্তর,	উওর,	
gosthike,	গোস্থিকে,	গোষ্ঠীকে,	
favorite,	ফভররতে,	ফেভারিট,	
susama,	সুসম,	সুসম,	
ghatiti,	ঘটিটি,	ঘাঁটিটি,	
bairer,	বরেের,	বাইরের,	
gronthe,	গ্রন্থে,	গ্রন্থে,	
quary,	কায়ারি,	কোয়েরি,	
sarboporee,	সর্বরপী,	সর্বোপরী,	
roja,	রোজ,	রোযা,	
maarmaader,	মারমাাের,	মারমাদের,	
jokrito,	যকৃত,	যকৃৎ,	
obosan,	অবসান,	অবসান,	
bildara,	বিলদার,	বিল্ডার,	
pab,	পাই,	পাব,	
shtonahenja,	স্ট্যাগেন্ন,	স্টোনহেঞ্জ,	
karmasampadan,	কর্মসামানন,	কর্মসম্পাদন,	
mandope,	মন্দপে,	মন্ডপে,	
gananatyo,	গণনাত্য,	গণনাট্য,	
sanghorsheek,	সংঘর্ষিক,	সাংঘর্ষিক,	
jins,	জিনস,	জিন্স,	
chani,	চানি,	ছানি,	
selim,	সেলিম,	সেলিম,	
torabgonj,	তরাগঞ্জ,	তোরাবগঞ্জ,	
ekghare,	একঘরে,	একঘরে,	
agomoney,	অগমানে,	আগমনে,	
minishtarer,	মিনিস্টরের,	মিনিস্টারের,	
dharabhashyakar,	ধারাাস্যকার,	ধারাভাষ্যকার,	
debdebier,	দেববিদীর,	দেবদেবীর,	
alngkoron,	অলঙ্করণ,	অলঙ্করণ,	
roomantika,	রোমান্টিক,	রোমান্টিক,	
perri,	পেরি,	পেরি,	
potengar,	পতেন্গার,	পতেঙ্গার,	
khaamba,	খাম্যা,	খাম্বা,	
koro,	কর,	কর,	
chetona,	চেটনা,	চেতনা,	
chhotto,	ছোট্ব,	ছোট্ট,	
stationer,	স্টেশনের,	ষ্টেশনের,	
kaash,	কাশ,	কাস,	
shekend,	সেকেন্ড,	সেকেণ্ড,	
ssteit,	স্টেইট,	স্টেইট,	
kakhonyoba,	কখনোবা,	কখনওবা,	
abhinetar,	অভিনেটর,	অভিনেতার,	
azijer,	আজিজের,	আজিজের,	
teknokryat,	টেকনার্যক্য,	টেকনোক্র্যাট,	
militaryte,	মিলিটিরেই,	মিলিটারিতে,	
breakthraugh,	ব্রেক্্র্থ,	ব্রেকথ্রু,	
dharabahiktite,	ধরবাহািতিতে,	ধারাবাহিকটিতে,	
phutantoa,	ফুটান্ট,	ফুটন্ত,	
olpokichudin,	অল্পুরিকুণি,	অল্পকিছুদিন,	
varote,	ভারতে,	ভারতে,	
cheekitshar,	চিকিৎসার,	চিকিত্সার,	
gripa,	গ্রীপ,	গ্রিপ,	
henna,	হেননা,	হেনা,	
mumtaz,	মুমতাজ,	মুমতাজ,	
shefa,	শেফ,	শেফ,	
aarik,	আরিক,	আরিক,	
soshorire,	শসরীরে,	সশরীরে,	
aper,	আপের,	আপের,	
pothchari,	পথচরাই,	পথচারী,	
brindaaboner,	ব্রিনবাদনের,	বৃন্দাবনের,	
chowdhuryke,	চৌুদররীকে,	চৌধুরীকে,	
baipasa,	বৈপাস,	বাইপাস,	
beshorkarikarone,	বেসরকরণীকের,	বেসরকারিকরণ,	
teenti,	টেনটি,	তিনটি,	
samanwitabhabe,	সামন্তিভাবে,	সমন্বিতভাবে,	
dwipgulo,	দ্বিপুগুল,	দ্বীপগুলো,	
narikei,	নারিকে,	নারীকেই,	
corymb,	করয়মি,	করিম,	
komaatei,	কমাটেই,	কমাতেই,	
chalake,	চালাকে,	চালকে,	
noitikvabe,	নৈতিকভাবে,	নৈতিকভাবে,	
olympiker,	অলিমমিকের,	অলিম্পিকের,	
cheess,	চিস,	চেস,	
enjineerinj,	এনজিনিরিং,	ইঞ্জিনিয়ারিং,	
pragreesa,	প্রোগ্রেস,	প্রগ্রেস,	
billah,	বিলাহ,	বিল্লাহ,	
tyap,	ট্যাপ,	ট্যাপ,	
nyaper,	ন্যাপের,	ন্যাপের,	
nikate,	নিকেতে,	নিকটে,	
prokare,	প্রারাকে,	প্রকারে,	
dhalur,	ধালুর,	ঢালুর,	
heebhi,	হেভি,	হেভি,	
jemser,	জেমসের,	জেমসের,	
uinndos,	উনিন্দ,	উইন্ডোস,	
bikretaara,	বিক্রেটার,	বিক্রেতারা,	
phareqsa,	ফরেক্স,	ফরেক্স,	
sarsa,	সার্স,	সোর্স,	
santaa,	সাঁতা,	সান্তা,	
grambaaseeo,	গ্রামাব্যা,	গ্রামবাসীও,	
sawam,	সাম,	সাওম,	
aswasteekor,	অস্বস্কিতর,	অস্বস্তিকর,	
bhatar,	ভাটার,	ভাতার,	
aro,	আরো,	আরও,	
janogananar,	জনগণনার,	জনগণনার,	
shilpojaat,	শিল্পজ্ত,	শিল্পজাত,	
disney,	ডিজনে,	ডিজনী,	
rajballav,	রাজবল্বল,	রাজবল্লভ,	
ganoparibahaner,	গণপরিবানের,	গণপরিবহনের,	
elakashaho,	এলাকাসহ,	এলাকাসহ,	
shansthatikey,	সাস্থঠাটিকে,	সংস্থাটিকে,	
sangkulan,	সংকুলন,	সংকুলান,	
bon,	বন,	বন,	
augustin,	অওয়প্টিন,	অগাস্টিন,	
masharraf,	মোসারাফ,	মশাররফ,	
sahojlabhbhotar,	সহজভভভাতের,	সহজলভ্যতার,	
shuperheiro,	সুপারেরা,	সুপারহিরো,	
shangkulaan,	শানকুলান,	সংকুলান,	
amarendro,	অমেরন্দ্র,	অমরেন্দ্র,	
byepass,	ব্যাপস,	বাইপাস,	
sahabike,	সাহাবিকে,	সাহাবীকে,	
manushera,	মনুনের,	মানুষেরা,	
bigepi,	বিগেপি,	বিজেপি,	
bibechyo,	বিবেচ্য,	বিবেচ্য,	
jeellul,	জিলুল,	জিল্লুল,	
phoster,	ফষ্টের,	ফস্টার,	
liseens,	লিসেন্স,	লাইসেন্স,	
utsahomulak,	উতস্মহূকক,	উৎসাহমূলক,	
shektara,	সেক্টর,	সেক্টর,	
pana,	পানা,	পানা,	
dakhbaar,	দাবখার,	দেখবার,	
vishnuu,	ভিষ্ণু,	বিষ্ণু,	
eiling,	এলিং,	ইলিং,	
modhyekar,	মধ্যকার,	মধ্যেকার,	
velcome,	ভেলকে,	ওয়েলকাম,	
asamanno,	অসামন্ন,	অসামান্য,	
rahie,	রহি,	রাহি,	
volapuq,	ভোলাপুক,	ভোলাপুক,	
masjid,	মাসজিদ,	মসজিদ,	
bijit,	বিজিত,	বিজিত,	
prokar,	প্রকার,	প্রকার,	
garora,	গররা,	গারোরা,	
ekla,	একলা,	একলা,	
upcharzo,	উপ্চর্য,	উপাচার্য,	
silbar,	সিলবার,	সিলভার,	
heepatitis,	হিপাতিতিস,	হেপাটাইটিস,	
nirorthak,	নিরর্থক,	নিরর্থক,	
utsahamulak,	উতস্মহূকক,	উৎসাহমূলক,	
jillul,	জিলুল,	জিল্লুল,	
puzita,	পুজিত,	পূজিতা,	
procharonamulok,	প্রচুরণামূলক,	প্রচারণামূলক,	
pro,	প্রো,	প্রো,	
rubol,	রুবল,	রুবল,	
partha,	পার্থ,	পার্থ,	
suraropeeto,	সুরোপরিত,	সুরারোপিত,	
akai,	একাই,	একাই,	
footonto,	ফুটন্ট,	ফুটন্ত,	
charchito,	চারচিত,	চর্চিত,	
toroon,	তরুন,	তরুন,	
makhmaley,	মাখালে,	মখমলে,	
rohasyer,	রোহস্যের,	রহস্যের,	
skalastik,	স্কল্কটিক,	স্কলাস্টিক,	
madhobike,	মাধবিকে,	মাধবীকে,	
seet,	সিট,	সিট,	
palashir,	পালসীর,	পলাশীর,	
rajbandi,	রাজবন্দী,	রাজবন্দী,	
dooburira,	দুবরিরা,	ডুবুরিরা,	
sobchey,	সবে,	সবচে,	
narsari,	নার্সারী,	নার্সারি,	
state,	স্টেট,	স্টেইট,	
notunatva,	নতুনতবা,	নতুনত্ব,	
hitoishi,	হিটিই,	হিতৈষী,	
bhognee,	ভগ্নী,	ভগ্নী,	
venisey,	ভেনিসে,	ভেনিসে,	
jatee,	জাটি,	যাতি,	
ssumita,	সুমিতা,	সুমিতা,	
novel,	নভেল,	নভেল,	
bollov,	বলল্ব,	বল্লভ,	
hud,	হুড,	হুড,	
romjaner,	রোজানের,	রমযানের,	
sorting,	সর্টিং,	সর্টিং,	
bheemsen,	ভিমেন,	ভীমসেন,	
daktikiter,	দাক্িিকেতের,	ডাকটিকিটের,	
dhorer,	ধরের,	ধরের,	
bekey,	বেকে,	বেঁকে,	
pyore,	প্যারে,	পিওর,	
granthao,	গ্রন্থা,	গ্রন্থও,	
gajiipur,	গাজীপুর,	গাজীপুর,	
chapol,	চাপল,	চপল,	
ruplal,	রূপলাল,	রূপলাল,	
raagee,	রাগি,	রাগী,	
bruklin,	ব্রুক্লিন,	ব্রুকলিন,	
jansha,	জাঁসা,	জন্স,	
jandrel,	জন্ড্রেল,	জাঁদরেল,	
darzi,	দার্জি,	দরজি,	
dajyo,	দাওয,	দাহ্য,	
deefinision,	ডিফিনিন,	ডেফিনেশন,	
siddhantoi,	সিদ্ধান্তি,	সিদ্ধান্তই,	
porishongkhyanbid,	পরিসংখান্দী,	পরিসংখ্যানবিদ,	
poorbancholer,	পূর্বাঞ্চলের,	পূর্বাঞ্চলের,	
hugeke,	হাজাকে,	হিউজকে,	
kona,	কোন,	কণা,	
dreestiheen,	দৃরিস্থীন,	দৃষ্টিহীন,	
agenda,	অ্যানেদ্ড,	এজেন্ডা,	
hyaloin,	হ্যালিন,	হ্যালোইন,	
oedipus,	অভিপুস,	ইডিপাস,	
chitronatyakar,	চিত্রন্যতার,	চিত্রনাট্যকার,	
fund,	ফাউন্ড,	ফান্ড,	
roomantik,	রোমান্টিক,	রোমান্টিক,	
doorger,	দুর্গের,	দুর্গের,	
stoone,	স্তুনে,	স্টোন,	
khude,	খ্ঁদে,	ক্ষুদে,	
kortona,	কর্ণা,	করতনা,	
syfy,	সিপি,	সাইফাই,	
protizogiider,	প্রতিযোগীদের,	প্রতিযোগীদের,	
prodiper,	প্রদীপের,	প্রদীপের,	
mangolik,	মাঙ্গলিক,	মাঙ্গলিক,	
songrahok,	সংগ্রহক,	সংগ্রাহক,	
swartha,	স্বর্থ,	স্বার্থ,	
cheentai,	চিন্তেই,	ছিনতাই,	
azadir,	আজাদীর,	আজাদীর,	
bhaider,	ভাইদের,	ভাইদের,	
ched,	চেদ,	ছেদ,	
kampito,	কম্পিত,	কম্পিত,	
enamela,	এনমেেল,	এনামেল,	
window,	উন্ডো,	উইন্ডো,	
thechar,	থেচার,	থ্যাচার,	
potcheetrer,	পথিত্রের,	পটচিত্রের,	
ajij,	অজিজ,	আজিজ,	
puroheetder,	পুরোহিতের,	পুরোহিতদের,	
gunaman,	গুনাান,	গুণমান,	
gobeshanagar,	গবেষণাগর,	গবেষনাগার,	
israeler,	ইসরাইলের,	ইসরাঈলের,	
hepara,	হেপার,	হাইপার,	
monjushree,	মন্জুষ্রি,	মঞ্জুশ্রী,	
croak,	ক্রাক,	ক্রোক,	
chenza,	চেন্জ,	চেঞ্জ,	
doorotaumo,	দুরোতাম,	দূরতম,	
janosangjog,	জনসংস্য,	জনসংযোগ,	
hood,	হো,	হুড,	
palki,	পালকি,	পাল্কি,	
sanghorshik,	সংঘর্ষিক,	সাংঘর্ষিক,	
dhwajbhango,	ধ্বজজঙ্গ,	ধ্বজভঙ্গ,	
abadamaner,	আবদমানের,	অবদমনের,	
nesanasa,	নেসানস,	নেশনস,	
kanai,	কানই,	কানাই,	
bairey,	বারে,	বাইরে,	
adhuna,	অধুনা,	অধুনা,	
shomratder,	শরমরতদের,	সম্রাটদের,	
rupdaan,	রূপদান,	রুপদান,	
shapholler,	সাফলের,	সাফল্যের,	
niranjon,	নিরঞ্জন,	নিরঞ্জন,	
udbhaban,	উদ্ভবন,	উদ্ভাবন,	
udvaboni,	উদ্ভাবনী,	উদ্ভাবনী,	
tofaat,	তোফাত,	তফাৎ,	
houstoner,	হাউস্টেনের,	হিউস্টনের,	
brindabane,	ব্রিনবাদনে,	বৃন্দাবনে,	
pari,	পারি,	পেরি,	
soras,	সরাস,	সরস,	
konflict,	কনফলিক্ট,	কনফ্লিক্ট,	
uzobekeestaan,	উজবিকেশনা,	উজবেকিস্তান,	
ghatol,	ঘটল,	ঘটল,	
