phulkapi,	ফুলকাপি,	ফুলকপি,	
bhangle,	ভাঙলে,	ভাঙলে,	
ghomta,	ঘম্তা,	ঘোমটা,	
bossonte,	বসন্তে,	বসন্তে,	
anchalsamuher,	অঞ্চলসমূহের,	অঞ্চলসমূহের,	
nirau,	নিরাও,	নির,	
baiqa,	বাইক,	বাইক,	
jolorong,	জলোরং,	জলরঙ,	
zansa,	জানস,	জন্স,	
loukeek,	লৌকিক,	লৌকিক,	
harrisoner,	হরিসনের,	হ্যারিসনের,	
nischitobhave,	নিশ্চিতভাবে,	নিশ্চিতভাবে,	
porissrom,	পরিস্রম,	পরিশ্রম,	
karadonde,	কারাদন্ডে,	কারাদণ্ডে,	
ashankai,	আসঙ্কই,	আশঙ্কাই,	
awatara,	অভতার,	অবতার,	
temani,	তেমনি,	তেমনই,	
madhookori,	মাধকরী,	মাধুকরী,	
nogonno,	নগন্য,	নগণ্য,	
shrichaitanyadeb,	শ্রীচৈতন্যদেব,	শ্রীচৈতন্যদেব,	
hitokar,	হিতোকর,	হিতকর,	
visnu,	ভিষ্ণু,	বিষ্ণু,	
vogiroth,	ভগগীরথ,	ভগীরথ,	
sperm,	স্পার্ম,	স্পার্ম,	
dwibidho,	দ্বিধিধ,	দ্বিবিধ,	
taat,	তাত,	তাত,	
kranti,	ক্রান্তি,	ক্রান্তি,	
shef,	সেফ,	শেফ,	
moldowa,	মলদ্বও,	মলদোভা,	
lishensh,	লিসেন্স,	লাইসেন্স,	
chalachchitroi,	চলচ্চিত্রই,	চলচ্চিত্রই,	
upanishad,	উপনিষদ,	উপনিষদ,	
sikkhakder,	শিক্ষাক্ষের,	শিক্ষকদের,	
bopon,	বপন,	বপন,	
rahee,	রাহী,	রাহি,	
dibeting,	ডিবিটিং,	ডিবেটিং,	
sangkalaney,	সংকলনে,	সংকলনে,	
cheentaikari,	চিনতাইকারী,	ছিনতাইকারী,	
sosoa,	শসা,	শশা,	
siqar,	শিকার,	শিকার,	
bhandare,	ভান্ডারে,	ভাণ্ডারে,	
aashirbaad,	আশীর্বাদ,	আশির্বাদ,	
abosaney,	অবসানে,	অবসানে,	
gyate,	জ্ঞাতে,	গ্যেটে,	
lazika,	লাজিক,	লজিক,	
muhammad,	মুহাম্মাদ,	মুহাম্মদ,	
mutar,	মুটার,	মুতার,	
biqe,	বিকে,	বাইক,	
sahocorjo,	সহচর্য,	সাহচর্য,	
transformerer,	ট্রান্সফোর্মের,	ট্রান্সফরমারের,	
monjurul,	মঞ্জুরুল,	মনজুরুল,	
stonehenj,	স্থনেহেন্,	স্টোনহেঞ্জ,	
sahazlabhbhatar,	সহজলাভবতর,	সহজলভ্যতার,	
shanstha,	সংস্থা,	সংস্থা,	
potkaa,	পটকা,	পটকা,	
masjidtir,	মাসজিদটির,	মসজিদটির,	
boring,	বরিং,	বোরিং,	
charrjar,	চার্জার,	চার্জার,	
license,	লিসেন্স,	লাইসেন্স,	
basaate,	বাসাতে,	বাসাতে,	
karmazog,	কর্মযোগ,	কর্মযোগ,	
chalachchitragulor,	চলাচ্ছিত্রগুলোর,	চলচ্চিত্রগুলোর,	
nyeta,	য্যাত,	ম্যাট,	
vins,	ভিনস,	ভিন্স,	
prasadhoner,	প্রসাধনের,	প্রসাধনের,	
timoothy,	টিমোথি,	টিমোথি,	
aoki,	আকি,	এওকি,	
sarboshaktimaan,	সর্বসক্তিমান,	সর্বশক্তিমান,	
moshzidke,	মসজীদকে,	মসজিদকে,	
muktoome,	মুক্তমে,	মাকতুম,	
protizogiita,	প্রতিযোগিতা,	প্রতিযোগীতা,	
ispreedsheet,	ইস্প্রেডসেট,	স্প্রেডশীট,	
mirakel,	মিরাকেল,	মিরাকেল,	
deefinision,	ডেফিনিশন,	ডেফিনেশন,	
kortona,	কর্তনা,	করতনা,	
lyanda,	ল্যান্ড,	ল্যান্ড,	
redcrosser,	রেডক্রসসের,	রেডক্রসের,	
heris,	হেরিস,	হ্যারিস,	
akai,	একই,	একাই,	
mittrer,	মিত্রের,	মিত্রের,	
raagee,	রাগী,	রাগী,	
ukeliptas,	উকেলিপ্টাস,	ইউক্যালিপ্টাস,	
saurce,	সোর্স,	সোর্স,	
provritite,	প্রভৃতিতে,	প্রভৃতিতে,	
sardar,	সর্দার,	সরদার,	
tookror,	টুকরোর,	টুকরোর,	
dekhbar,	দেখবার,	দেখবার,	
shpredshiit,	স্প্রেডসিত,	স্প্রেডশীট,	
shamooker,	শামুকের,	শামুকের,	
osomorthito,	অসমর্থিত,	অসমর্থিত,	
norpholk,	নরফোলক,	নরফোক,	
ashanka,	আসাঙ্ক,	আশংকা,	
pujita,	পূজিত,	পুজিত,	
alympic,	অলিম্পিক,	অলিম্পিক,	
choudhoorio,	চৌধুরিও,	চৌধুরীও,	
matthew,	মাঠেভ,	ম্যাথিউ,	
musalmanderke,	মুসল্মন্দেরকে,	মুসলমানদেরকে,	
thare,	থেয়ার,	থরে,	
mukhamandol,	মুখমন্ডল,	মুখমণ্ডল,	
udvabani,	উদ্ভাবানী,	উদ্ভাবনী,	
hajat,	হজাত,	হজত,	
manohputo,	মানহপুত,	মনঃপুত,	
charjara,	চার্জার,	চার্জার,	
seekkharthirao,	শিক্ষার্থীরা,	শিক্ষার্থীরাও,	
mmadhobbir,	মাধবীর,	মাধবীর,	
gonohotyar,	গণহত্যার,	গণহত্যার,	
mookhbaundho,	মুখবাউন্ধ,	মুখবন্ধ,	
asociatis,	অসযাসিসিটিস,	এসোসিয়েটস,	
blyaka,	ব্ল্যাক,	ব্ল্যাক,	
jerusalem,	জেরুসালেম,	জেরুসালেম,	
iukyaliptasa,	ইউক্যালিপ্টস,	ইউক্যালিপ্টাস,	
sahojlovyotar,	সহজলভভ্যতার,	সহজলভ্যতার,	
istan,	ইস্টান,	স্টোন,	
fising,	ফিসিং,	ফিসিং,	
kormozog,	কর্মযোগ,	কর্মযোগ,	
postac,	পোস্টক,	পোস্টকে,	
injiniyarim,	ইন্জিনিয়ারিং,	ইঞ্জিনিয়ারিং,	
hotelti,	হটেলটি,	হোটেলটি,	
ponjeekar,	পঞ্জিকার,	পঞ্জিকার,	
arthoneeti,	অর্থনীতি,	অর্থনীতির,	
mosjidsaha,	মসজীসহহ,	মসজিদসহ,	
bbosonte,	বসন্তে,	বসন্তে,	
robotic,	রোবটিক,	রোবোটিক,	
mukhamandoley,	মুখমন্ডলে,	মুখমণ্ডলে,	
chaalabi,	চালাবি,	চালাবে,	
daqop,	ডাকপ,	দাকোপ,	
koilash,	কৈলাশ,	কৈলাস,	
patthon,	পাঠন,	পঠন,	
tuleche,	তুলেছে,	তুলেছে,	
samany,	সামানী,	সামান্য,	
ishpredshhiit,	এস্প্রেডসিট,	স্প্রেডশীট,	
sollallhoo,	সোল্লোল্ল,	সল্লাল্লাহু,	
jhalokatthi,	ঝালকাঠি,	ঝালকাঠী,	
akjoge,	একযোগে,	একযোগে,	
somosto,	সমস্ত,	সমস্ত,	
bhushito,	ভূষিত,	ভূষিত,	
phood,	ফোড,	ফুড,	
roy,	রয়,	রায়,	
byataree,	ব্যতারী,	ব্যাটারী,	
dollu,	দল্লু,	ডলু,	
mukhomondol,	মুখমন্ডল,	মুখমণ্ডল,	
panctaar,	পাঁচটার,	পাঁচটার,	
macbeth,	ম্যাকবেথ,	ম্যাকবেথ,	
hiragana,	হিরাগন,	হিরাগানা,	
philippiner,	ফিলিপিনের,	ফিলিপাইনের,	
tourisht,	টরিস্ট,	টুরিস্ট,	
shaahocharjo,	সহচর্য,	সাহচর্য,	
brittakare,	বৃত্তকারে,	বৃত্তাকারে,	
oncoltike,	অঞ্চলটিকে,	অঞ্চলটিকে,	
iran,	আইরন,	ইরান,	
rakibul,	রাকিবুল,	রকিবুল,	
karadando,	কারাদন্ড,	কারাদণ্ড,	
patthkromer,	পাঠক্রমের,	পাঠক্রমের,	
prakalpoti,	প্রকল্পটি,	প্রকল্পটি,	
chhuti,	ছুটি,	ছুটি,	
forex,	ফোরেক্স,	ফরেক্স,	
difinisian,	ডিফিনিশন,	ডেফিনেশন,	
nathivukta,	নথিভূক্ত,	নথিভুক্ত,	
atto,	আত্ম,	আত্ম,	
samashti,	সমস্তি,	সমষ্টি,	
day,	ডাই,	ডে,	
prodan,	প্রদান,	প্রদাণ,	
shamuk,	শামুক,	শামুক,	
agrodoot,	অগ্রদূত,	অগ্রদূত,	
seconde,	সেকনন্ডে,	সেকেন্ডে,	
vaibonder,	ভাইবন্দের,	ভাইবোনদের,	
spreedashita,	স্প্রেডাসিত,	স্প্রেডশীট,	
taaims,	টাইমস,	টাইমস্,	
ekshapreshhana,	এক্সপ্রেশন,	এক্সপ্রেশন,	
mangalik,	মাঙ্গালিক,	মাঙ্গলিক,	
sanaktokaraner,	সনাক্তকরণের,	সনাক্তকরণের,	
lambate,	লামবাতে,	লম্বাটে,	
rato,	রত,	রত,	
marathi,	মারাঠি,	মরাঠি,	
ancholtite,	অঞ্চলতিতে,	অঞ্চলটিতে,	
thyachara,	থ্যাচার,	থ্যাচার,	
valobasake,	ভালোাসাকে,	ভালোবাসাকে,	
dharabhashyokar,	ধারাভাষ্যকর,	ধারাভাষ্যকার,	
torabgunj,	তরাবগঞ্জ,	তোরাবগঞ্জ,	
deefinition,	ডেফিনিটন,	ডেফিনেশন,	
anchalsaho,	অঞ্চলসহ,	অঞ্চলসহ,	
oedipush,	ঐদিপুষ,	ইডিপাস,	
neurology,	নিউরোলজি,	নিউরোলজি,	
bone,	বোন,	বনে,	
johny,	জনি,	জনি,	
shenior,	সেনিয়র,	সিনিয়র,	
noitikatabodh,	নৈতিকাতবোধ,	নৈতিকতাবোধ,	
turkmen,	টুর্কমেন,	তুর্কমেন,	
bibek,	বিবেক,	বিবেক,	
chetanagato,	চেতানগত,	চেতনাগত,	
somoshtike,	সমস্তিকে,	সমষ্টিকে,	
ghomtaa,	ঘমতাা,	ঘোমটা,	
sakar,	সাকার,	সকার,	
nothivukta,	নথিভুক্ত,	নথিভুক্ত,	
bhenuser,	ভেনুসের,	ভেনাসের,	
itostato,	ইতোস্তত,	ইতস্ততঃ,	
ramantika,	রামান্টিক,	রোমান্টিক,	
ikbaaler,	ইকবালের,	ইকবালের,	
prothakey,	প্রথাকে,	প্রথাকে,	
qoyeri,	কোয়রি,	কোয়েরি,	
akritakarja,	আকৃতকর্য,	অকৃতকার্য,	
kobootorer,	কবুটরের,	কবুতরের,	
bbiswash,	বিশ্বাস্,	বিশ্বাস,	
ganana,	গানা,	গননা,	
bolobhodro,	বলভোর্,	বলভদ্র,	
se,	সে,	সে,	
aswastikor,	অস্বস্তিকর,	অস্বস্তিকর,	
mohammad,	মহাম্মদ,	মুহাম্মদ,	
thailand,	থাইল্যান্ড,	থাইল্যান্ড,	
xpresion,	ক্কস্্রেশন,	এক্সপ্রেশন,	
sabaner,	সাবনের,	সাবানের,	
allah,	আল্লাহ,	আল্লাহ্,	
prostut,	প্রস্তুত,	প্রস্ত্তত,	
laiseensa,	লেসেন্স,	লাইসেন্স,	
nikater,	নিকটের,	নিকটের,	
byomkesh,	ব্যমককেস,	ব্যোমকেশ,	
abhiyojan,	অভিযোজন,	অভিযোজন,	
satarkabhabe,	সতারকভাবে,	সতর্কভাবে,	
lambatey,	লামবাতে,	লম্বাটে,	
gitikobita,	গীতিকবিত,	গীতিকবিতা,	
rajnoitik,	রাজনৈতিক,	রাজনৈতীক,	
zesh,	জেস,	জেস,	
carzer,	কার্জের,	চার্জের,	
rizur,	ঋিজুর,	রিজুর,	
shhooter,	শুটের,	শ্যুটার,	
charger,	চার্গের,	চার্জের,	
ralapha,	রোলফ,	রালফ,	
kas,	কাস,	কাস,	
parqs,	পার্কস,	পার্কস,	
palestiner,	পললস্টিনের,	প্যালেস্টাইনের,	
abatar,	অবতার,	অবতার,	
phaksa,	ফক্স,	ফক্স,	
naabyota,	নাব্যতা,	নাব্যতা,	
gabeshonar,	গবেষণার,	গবেষনার,	
udbhabony,	উদ্ভাবনী,	উদ্ভাবনী,	
gatibege,	গতিবেগে,	গতিবেগে,	
mulvitti,	মূলভিত্তি,	মূলভিত্তি,	
elaakaa,	এলাকা,	এলাকা,	
votar,	ভোটার,	ভোটার,	
sunagarik,	সুনাগরিক,	সুনাগরিক,	
bihar,	বিহার,	বিহার,	
bondii,	বন্ডী,	বন্দী,	
kaalniir,	কালনীর,	কালনীর,	
tintike,	তিনটিকে,	তিনটিকে,	
pooshtee,	পুষ্টি,	পুষ্টি,	
serverty,	সার্ভের্টি,	সার্ভারটি,	
nutoner,	নতুনের,	নূতনের,	
firozaa,	ফিরোজা,	ফিরোজা,	
gonohottar,	গণহত্যার,	গণহত্যার,	
bhezano,	ভেজানো,	ভেজানো,	
kyantana,	ক্যান্টন,	ক্যান্টন,	
indrani,	ইন্দ্রানী,	ইন্দ্রাণী,	
gabeshanagar,	গবেষণাগার,	গবেষনাগার,	
townshhip,	টাউন্সিপ,	টাউনশিপ,	
phastara,	ফসস্টার,	ফস্টার,	
trivuz,	ত্রিভুজ,	ত্রিভূজ,	
asovarno,	অসবর্ন,	অসবর্ণ,	
parry,	প্যারি,	পেরি,	
piroojalee,	পিরোজালী,	পিরুজালী,	
setitey,	সেটিতে,	সেটিতে,	
chaaka,	চাকা,	চাকা,	
manee,	মানি,	মানে,	
jhalkathee,	ঝালকাঠি,	ঝালকাঠী,	
motar,	মোটর,	মুতার,	
sabche,	সবচে,	সবচে,	
benis,	বেনিস,	ভেনিস,	
ganonanatto,	গণনাত্ম,	গণনাট্য,	
shahabah,	শাহাবাহ,	সাহাবাহ,	
kamij,	কমিজ,	কামিজ,	
jhankar,	ঝাঁকার,	ঝঙ্কার,	
aagera,	আগেরা,	আগোরা,	
pratishthanikbhabe,	প্রতিষ্ঠানিকভাবে,	প্রাতিষ্ঠানিকভাবে,	
evil,	এভিল,	ইভিল,	
qota,	কোট,	কোটা,	
akatwa,	একত্ব,	একাত্ব,	
mesenjjar,	মেসেঞ্জার,	মেসেঞ্জার,	
majlishpur,	মজলিশপুর,	মজলিশপুর,	
aholya,	আহল্য,	অহল্যা,	
shasonkarta,	শাসনকর্তা,	শাসনকর্তা,	
jaater,	যাতের,	জাতের,	
karmojog,	কর্মযোগ,	কর্মযোগ,	
ishan,	আশান,	ঈশান,	
koner,	কোণের,	কনের,	
songkulan,	সংকুলান,	সংকুলান,	
mitro,	মিত্র,	মিত্র,	
chhootochhuti,	ছুটোচুটি,	ছুটোছুটি,	
ekok,	একক,	একক,	
opadan,	অপদান,	অপাদান,	
bhugole,	ভূগোলে,	ভূগোলে,	
shattoki,	সত্যকী,	সাত্যকি,	
bhyatikaaner,	ভ্যাতিকানের,	ভ্যাটিকানের,	
samashtigata,	সমস্তিগত,	সমষ্টিগত,	
agibon,	আজিবন,	আজীবন,	
logic,	লোগিক,	লজিক,	
expresion,	এক্সপ্রেশন,	এক্সপ্রেশন,	
chalachchitreo,	চলচ্চিতের,	চলচ্চিত্রেও,	
orthonitite,	অর্থনীতিতে,	অর্থনীতিতে,	
kolkarkhana,	কল্কারখানা,	কলকারখানা,	
nothivookto,	নথিভুক্ত,	নথিভুক্ত,	
naran,	নরণ,	নরেন,	
udbhabaney,	উদ্ভাবনে,	উদ্ভাবনে,	
asamorthito,	অসমর্থিত,	অসমর্থিত,	
mail,	মেল,	মাইল,	
mekon,	মেকন,	মেকং,	
kampita,	কম্পিট,	কম্পিত,	
youth,	ইউথ,	ইয়ুথ,	
chirota,	চিরতা,	চিরতা,	
anchaltikey,	অঞ্চলটিকে,	অঞ্চলটিকে,	
mohajot,	মহাজত,	মহাজোট,	
bird,	বার্ড,	বার্ড,	
deejeejer,	দিজিজের,	ডিজিজের,	
shcholarshhip,	স্কলারশিপ,	স্কলারশিপ,	
maradeha,	মারাদেহ,	মরদেহ,	
capsule,	কপসাল,	ক্যাপসুল,	
antarctica,	আন্টার্কটিক,	অ্যান্টার্কটিকা,	
suity,	সুইটি,	সুইটি,	
sikkhagoto,	শিক্ষাগত,	শিক্ষাগত,	
basturoi,	বস্তুরই,	বস্তুরই,	
odurey,	অদূরে,	অদুরে,	
sakaar,	সাকার,	সকার,	
darjiling,	ডার্জিলিং,	দার্জিলিং,	
valobasakey,	ভালোাসাকে,	ভালোবাসাকে,	
oncholsomuher,	অঞ্চলসমূহের,	অঞ্চলসমূহের,	
shorif,	শরীফ,	শরিফ,	
mandander,	মানদন্ডের,	মানদণ্ডের,	
ongshograhon,	অংশগ্রহণ,	অংশগ্রহন,	
turkameena,	তুর্কমেন,	তুর্কমেন,	
bilati,	বিলতি,	বিলাতী,	
hajaribag,	হাজারীবাগ,	হাজারিবাগ,	
sift,	সিফ্ট,	শিফট,	
shosha,	সোসা,	শশা,	
aqramer,	আক্রমের,	আকরামের,	
riphleqsa,	রাইফেক্স,	রিফ্লেক্স,	
ovishongshon,	অভিশংসন,	অভিশংসন,	
palbangsher,	পালবংশের,	পালবংশের,	
tukrokey,	তুকরককে,	টুকরোকে,	
karima,	করিমা,	করিম,	
shiropar,	শিরপপর,	শিরোপার,	
venisey,	ভেনিসে,	ভেনিসে,	
jater,	যাতের,	জাতের,	
primoo,	প্রিম,	প্রিমো,	
ghurte,	ঘুরতে,	ঘুরতে,	
bashitey,	বাসিতে,	বাঁশিতে,	
manzurul,	মা্জুরুল,	মনজুরুল,	
bbiswasho,	বিশ্বাস্,	বিশ্বাসও,	
carlosh,	চার্লস,	কার্লোস,	
avishangson,	অভিসংসন,	অভিশংসন,	
rushad,	রুশাদ,	রুশদ,	
nabheela,	নাভেল,	নভেল,	
chhutite,	ছুটিতে,	ছুটিতে,	
jaubankal,	যৌবনকাল,	যৌবনকাল,	
pingna,	পিঙ্ন,	পিংনা,	
pharanyeta,	ফরর্যেত,	ফরম্যাট,	
anurbar,	অনুর্বর,	অনুর্বর,	
horidwar,	হরিদ্বর,	হরিদ্বার,	
samanwitavabe,	সমানভীতভাবে,	সমন্বিতভাবে,	
eporzonto,	এপর্যন্ত,	এপর্যন্ত,	
gorjon,	গর্জন,	গর্জন,	
qings,	কিংস,	কিংস,	
sthaponakay,	স্থাপনাকে,	স্থাপনাকে,	
dhanyi,	ধানই,	ধন্যি,	
bishwash,	বিশ্বাস,	বিশ্বাস,	
sakshatkarer,	সাক্ষাৎকারের,	সাক্ষাত্কারের,	
sorsa,	সর্ষা,	সোর্স,	
graambaseeo,	গ্রামবাসীও,	গ্রামবাসীও,	
koontee,	কুন্তি,	কুন্তী,	
bizito,	বিজিত,	বিজিত,	
thai,	ঠাই,	থাই,	
sahabah,	সাহাবাহ,	সাহাবাহ,	
laabonii,	লাবণী,	লাবনী,	
rajan,	রাজান,	রাজন,	
nothivookteer,	নথিভুক্তির,	নথিভুক্তির,	
bodhirata,	বোধিরতা,	বধিরতা,	
merjito,	মের্জিত,	মার্জিত,	
tistaar,	তিস্টার,	তিস্তার,	
danobder,	দানবদের,	দানবদের,	
kemonay,	কেমনে,	কেমনে,	
eemarjeensi,	এমার্জেন্সী,	এমার্জেন্সি,	
cholocchitroke,	চলচ্চিত্রকে,	চলচ্চিত্রকে,	
ever,	এভার,	এভার,	
angurer,	আঙুরের,	আঙ্গুরের,	
rephlex,	রাইফেক্স,	রিফ্লেক্স,	
ancholtee,	অঞ্চলতি,	অঞ্চলটি,	
karam,	করম,	কেরাম,	
akpaase,	একপাশে,	একপাশে,	
kormyi,	কর্মী,	কর্মই,	
bopoon,	বপুন,	বপন,	
donate,	দোনাতে,	ডোনাট,	
tomader,	তমাদের,	তোমাদের,	
naitikatabodh,	নৈতিকতাবোধ,	নৈতিকতাবোধ,	
chhooti,	ছুটি,	ছুটি,	
touraat,	তৌরাত,	তওরাত,	
gore,	গরে,	গোর,	
ddebet,	দেবেত,	ডিবেট,	
jaatte,	যাত্তে,	জাতটি,	
pouchhute,	পৌছুতে,	পৌঁছুতে,	
carlas,	কার্লস,	কার্লোস,	
praima,	প্রাইম,	প্রাইম,	
dweepgoolo,	দ্বীপগুলো,	দ্বীপগুলো,	
bosontoke,	বসন্তকে,	বসন্তকে,	
onurbor,	অনুর্বর,	অনুর্বর,	
upobashee,	উপবাসী,	উপবাসী,	
korleo,	করলেও,	করলেও,	
lompot,	লম্পত,	লম্পট,	
vugten,	ভুগতেন,	ভুগতেন,	
hart,	হার্ট,	হার্ট,	
venush,	ভাইনাস,	ভেনাস,	
chalochchitrai,	চলচিত্রাই,	চলচ্চিত্রই,	
dosha,	দশা,	দোসা,	
shartho,	স্বার্থ,	স্বার্থ,	
harisher,	হরিশের,	হ্যারিসের,	
ashociatesh,	অ্যাসোসিয়েট,	এসোসিয়েটস,	
machera,	মাছেরা,	মাছেরা,	
seguloi,	সেগুলোই,	সেগুলোই,	
cruce,	ক্রাক,	ক্রুশ,	
gatrey,	গোত্রে,	গাত্রে,	
dharavahikbhabe,	ধারাভাহিকভাবে,	ধারাবাহিকভাবে,	
taufik,	তৌফিক,	তৌফিক,	
brinde,	বৃণ্ডে,	বৃন্দ,	
mandondo,	মানদন্ড,	মানদণ্ড,	
zerusalema,	জেরুসালেম,	জেরুসালেম,	
iyaka,	ইয়াক,	ইয়াক,	
august,	অগাস্ট,	আগষ্ট,	
cherechhe,	চেরেছে,	ছেড়েছে,	
bbonyopran,	বন্যপ্রাণ,	বন্যপ্রাণ,	
gronthao,	গ্রন্থাও,	গ্রন্থও,	
ghurtey,	ঘুরতে,	ঘুরতে,	
miracle,	মিরাকল,	মিরাকেল,	
joqy,	জকি,	জকি,	
zuktorastre,	যুক্তরাস্ট্রে,	যুক্তরাষ্ট্রে,	
gaujano,	গৌজন,	গজানো,	
dackop,	ডাকপ,	দাকোপ,	
duckten,	ডাকতেন,	ডাকতেন,	
beshorkarikarone,	বেসরকারিকরণ,	বেসরকারিকরণ,	
jathan,	যথা,	যথন,	
baire,	বেরে,	বাইরে,	
bites,	বিটেস,	বাইটস,	
tamplate,	টম্পালট,	টেম্পলেট,	
alkatra,	আলকাত্র,	আলকাতরা,	
ashammatite,	আসম্মতিতে,	অসম্মতি,	
bonshi,	বংশী,	বংশী,	
ganohatyake,	গণহত্যাকে,	গণহত্যাকে,	
dhhaalur,	ঢালুর,	ঢালুর,	
kommatei,	কমাতেই,	কমাতেই,	
gazipur,	গাজীপুর,	গাজীপুর,	
edaningkale,	এদানীংকালে,	ইদানীংকালে,	
chaalta,	চালতা,	চালতা,	
bishnuke,	বিষ্ণুকে,	বিষ্ণুকে,	
pyatarne,	প্যাটার্ন,	প্যাটার্নে,	
kkunti,	কুনটি,	কুন্তী,	
aaeerese,	আইরেশে,	আইরেসে,	
abikol,	অবিকল,	অবিকল,	
kingdam,	কিংদম,	কিংডম,	
yankii,	যংকি,	ইয়াংকি,	
nochiketa,	নচিকেত,	নচিকেতা,	
pustio,	পুষ্টিও,	পুষ্টি,	
byanger,	ব্যঙ্গের,	ব্যাঙের,	
ja,	জা,	জ্যা,	
allubokhara,	অলুবখর,	আলুবোখারা,	
aazaadir,	আজাদীর,	আজাদীর,	
mache,	মাছে,	মাছে,	
bhiktara,	ভিক্টোর,	ভিক্টর,	
seekkhokke,	শিক্ষককে,	শিক্ষককে,	
hertj,	হার্জ,	হার্জ,	
zoubankal,	যৌবনকাল,	যৌবনকাল,	
gaj,	গাজ,	গেজ,	
prakalpoo,	প্রকল্প,	প্রকল্পও,	
probesher,	প্রবেশের,	প্রবেশের,	
mukhomondole,	মুখমন্ডলে,	মুখমণ্ডলে,	
bohoodeen,	বহুদীন,	বহুদিন,	
batikromshalee,	বাতিক্রমশালী,	ব্যতিক্রমধর্মী,	
vandare,	ভান্ডারে,	ভাণ্ডারে,	
tottobar,	তত্ত্ববার,	তওবার,	
dakop,	ডাকপ,	দাকোপ,	
oswasteekor,	অস্বাস্তিকর,	অস্বস্তিকর,	
holdeeng,	হোল্ডিং,	হোল্ডিং,	
pravuder,	প্রভূদের,	প্রভুদের,	
clintoner,	ক্লিন্টনের,	ক্লিনটনের,	
neemitte,	নিমিত্যে,	নিমিত্তে,	
enjineerinj,	এঞ্জিনেরিং,	ইঞ্জিনিয়ারিং,	
mozlis,	মজলিস,	মজলিশ,	
maudelti,	মাউডেলটি,	মডেলটি,	
sangbadmadhyame,	সংবাদমাধ্যমে,	সংবাদমাধ্যমে,	
shaahaabaah,	সাহাবাহ,	সাহাবাহ,	
sikkhagato,	শিক্ষাগত,	শিক্ষাগত,	
sorjur,	সর্জুর,	সরযূর,	
shuknaa,	শুকনা,	শুকনা,	
grambashi,	গ্রামবাসী,	গ্রামবাসী,	
veniser,	ভেনিসের,	ভেনিসের,	
keuyi,	কইউই,	কেউই,	
ddheke,	ঢেঁকি,	ঢেকে,	
aviyojan,	অভিযোজন,	অভিযোজন,	
bipradas,	বিপ্রাদাস,	বিপ্রদাস,	
peterke,	পেতেরকে,	পিটারকে,	
bibecchyo,	বিবেচ্ছ,	বিবেচ্য,	
domonmoolok,	দমনমুলক,	দমনমূলক,	
aalkatraa,	আল্কত্র,	আলকাতরা,	
khaaneker,	খানেকের,	খানেকের,	
janate,	জানাতে,	জানাতে,	
bhaisaha,	ভাইসহ,	ভাইসহ,	
niropekkhotaar,	নিরপেক্ষতার,	নিরপেক্ষতার,	
cholochchitrai,	চলচিত্রাই,	চলচ্চিত্রই,	
prachando,	প্রচন্ড,	প্রচণ্ড,	
ssumita,	সুমিত,	সুমিতা,	
bhandar,	ভান্ডার,	ভাণ্ডার,	
octane,	অক্টানে,	অকটেন,	
alankaran,	অলংকরণ,	অলঙ্করণ,	
umedpoor,	উমেদপুর,	উমেদপুর,	
graambasi,	গ্রামবাসী,	গ্রামবাসী,	
korusher,	ক্রুসের,	ক্রুশের,	
bisshasi,	বিশ্বাসী,	বিশ্বাসী,	
jakkher,	যক্ষের,	যক্ষের,	
tafsher,	তাফসের,	তাফসীর,	
taalal,	তালাল,	তালাল,	
postar,	পোস্টার,	পোস্টের,	
change,	চ্যাঞ্জ,	চেঞ্জ,	
bongobondhu,	বঙ্গবন্ধু,	বঙ্গবন্ধু,	
mahindra,	মহিন্দ্র,	মাহিন্দ্রা,	
cholochchitrei,	চলচিত্রেই,	চলচ্চিত্রেই,	
dharagulo,	ধারাগুলো,	ধারাগুলো,	
eashter,	ইস্টার,	ইস্টার,	
poschimey,	পশ্চিমে,	পশ্চিমে,	
pulse,	পালসে,	পালস,	
horash,	হরাশ,	হোরাস,	
suri,	সুরি,	সুরি,	
sow,	সভ,	শো,	
nodiigulir,	নদীগুলির,	নদীগুলির,	
osthisondhi,	অস্থিসন্ধি,	অস্থিসন্ধি,	
beeseshyer,	বিশেষ্যের,	বিশেষ্যের,	
obharabhiu,	অভারবীউ,	ওভারভিউ,	
jeeni,	জীনি,	যিনি,	
pretty,	প্রেত্তি,	প্রিটি,	
soomi,	সুমি,	সুমি,	
besur,	বেশুর,	বেসুর,	
butha,	বুথ,	বুথ,	
seekkhagoto,	শিক্ষাগত,	শিক্ষাগত,	
jalrong,	জলরঙ্গ,	জলরঙ,	
mmeloborrne,	মেলবর্ণে,	মেলবোর্নে,	
dooburir,	দুবুরির,	ডুবুরির,	
pyaleshtainer,	প্যালেস্টাইনের,	প্যালেস্টাইনের,	
letter,	ল্যাটার,	লেটার,	
arakani,	আরাকনী,	আরাকানী,	
taufiq,	তৌফিক,	তৌফিক,	
ovidhaner,	অভিধানের,	অভিধানের,	
omarjeeto,	অমর্জিত,	অমার্জিত,	
jesa,	জেস,	জেস,	
schalastic,	স্কালস্টিক,	স্কলাস্টিক,	
associatees,	অ্যাসোসিয়েট,	এসোসিয়েটস,	
otiteo,	অতিতেও,	অতীতেও,	
boorana,	বোরান,	বোরন,	
sobrokomer,	সব্রকমের,	সবরকমের,	
osommotite,	অসম্মতিতে,	অসম্মতি,	
