chhatogalpe,	ছটটোগল্পে,	ছোটগল্পে,	
pooshteer,	পুষ্টির,	পুষ্টির,	
sachetanatamulok,	সচেতানেমতলক,	সচেতনতামূলক,	
tarasa,	তোরস,	টেরেসা,	
korkat,	কর্কাত,	কর্কট,	
komaanndar,	কমান্ডার,	কমাণ্ডার,	
nothivukto,	নথিভুক্ত,	নথিভুক্ত,	
pouchute,	পৌঁছুতে,	পৌঁছুতে,	
neurology,	নেউরোলজি,	নিউরোলজি,	
ganana,	গণনা,	গণনা,	
hajarer,	হাজারের,	হাজারের,	
itemer,	ইটিমের,	আইটেমের,	
lutheereen,	লুথারিন,	লুথেরান,	
bongsho,	বংশ,	বংশ,	
saseeja,	সাসীজা,	সসেজ,	
ghumacchilo,	ঘুমাছিল,	ঘুমাচ্ছিল,	
sikhar,	শিখার,	শিকার,	
purbancole,	পূর্বাঙ্চলে,	পূর্বাঞ্চলে,	
stoone,	স্টনে,	স্টোন,	
meghnabodh,	মেঘনাবো,	মেঘনাদবধ,	
sangrahok,	সংগ্রহক,	সংগ্রাহক,	
suraaropeeto,	সুরারপিত,	সুরারোপিত,	
devolapar,	ডেভলপার,	ডেভলপার,	
shrabasti,	শ্রববসটি,	শ্রাবস্তী,	
elakaatir,	এলাকাটির,	এলাকাটির,	
phorex,	ফোরেক্স,	ফরেক্স,	
poojito,	পুজিত,	পুজিত,	
rajballabh,	রাজবলবাল,	রাজবল্লভ,	
hitokor,	হিতকর,	হিতকর,	
mahakabi,	মহাকাবী,	মহাকবি,	
byaboharkarie,	ব্যবহারককারী,	ব্যবহারকারীই,	
sbatantrata,	স্বতনন্ত্রা,	স্বতন্ত্রতা,	
machhti,	মাছটি,	মাছটি,	
poddhotiteyi,	পদ্ধতিতেই,	পদ্ধতিতেই,	
ovishangsan,	অভিসংসন,	অভিশংসন,	
suporichiti,	সুপরিচিতি,	সুপরিচিতি,	
prakalpogulor,	প্রকল্পগুলোর,	প্রকল্পগুলোর,	
mousumei,	মৌসুই,	মৌসুমেই,	
pothnatok,	পথ্নতক,	পথনাটক,	
diyi,	দিই,	দিই,	
tunaita,	টুনাইট,	টুনাইট,	
hook,	হোক,	হুক,	
olimpicer,	অলিম্পিসের,	অলিম্পিকের,	
moddhyekar,	মধ্যকের,	মধ্যেকার,	
sumo,	সুমো,	সুমো,	
kyashpar,	ক্যাস্পার,	ক্যাসপার,	
aaloteo,	আলোতেও,	আলোতেও,	
tobe,	তবে,	টবে,	
taigara,	টাইগার,	টাইগার,	
chho,	ছো,	ছোঁ,	
granthoti,	গ্রন্থটি,	গ্রন্থটি,	
uzbekistan,	উজবেকিস্তান,	উজবেকিস্তান,	
mat,	মাট,	ম্যাট,	
piora,	পিয়োর,	পিওর,	
aanaan,	আনন,	আনান,	
masazida,	মাসজিদ,	মসজিদ,	
leetara,	লেটার,	লেটার,	
sikkhakbrindo,	শিক্ষাবৃন্দ,	শিক্ষকবৃন্দ,	
neemeette,	নিমিতে,	নিমিত্তে,	
sohopathike,	সহপাঠীকে,	সহপাঠীকে,	
bonnopraan,	বন্যপ্রাণ,	বন্যপ্রাণ,	
muhmmoder,	মুহম্মদের,	মুহম্মদের,	
hurricane,	হারিকেন,	হ্যারিকেন,	
manu,	মনু,	মনু,	
damanmulak,	দমান্মূলক,	দমনমূলক,	
lutharan,	লুঠরন,	লুথেরান,	
kaamla,	কামলা,	কামলা,	
onodhikaar,	অনধধিকার,	অনধিকার,	
konflict,	কনফ্লিক্ট,	কনফ্লিক্ট,	
gronthotyke,	গ্রন্থটিকে,	গ্রন্থটিকে,	
maile,	মেলে,	মাইলি,	
marmaaraa,	মার্মারা,	মারমারা,	
methaner,	মেঠানের,	মিথেনের,	
raiialati,	রাইলটিট,	রয়্যালটি,	
yuk,	ইউক,	ইয়াক,	
qyantana,	ক্যান্টন,	ক্যান্টন,	
maudelgulo,	মৌদেলোলো,	মডেলগুলো,	
akai,	একাই,	একাই,	
tuni,	তুনি,	টুনি,	
gasthigulo,	গোষ্ঠীগুলো,	গোষ্ঠীগুলো,	
radhanogor,	রাধাননগর,	রাধানগর,	
doobate,	দুবাতে,	ডুবাতে,	
ranadeep,	রণনেপ,	রণদীপ,	
aabarte,	আবর্তে,	আবর্তে,	
varma,	ভার্মা,	ভার্মা,	
onekerie,	অনেকেরই,	অনেকেরই,	
boron,	বরণ,	বোরন,	
hoola,	হোল,	হোল,	
pratisthanik,	প্রতিষ্ঠানিক,	প্রাতিষ্ঠানিক,	
tonoo,	টনু,	তনু,	
gobeshakgon,	গবেষকগণ,	গবেষকগণ,	
dembakriti,	দেমবাকৃতি,	ডিম্বাকৃতি,	
oitijjha,	ঐতিহ্য,	ঐতিহ্য,	
gelo,	গেলো,	গেলো,	
niketan,	নিকেতন,	নিকেতন,	
chheelonaa,	ছিলননা,	ছিলনা,	
roshider,	রোশীদের,	রশিদের,	
remakri,	রেমক্রি,	রেমাক্রী,	
kando,	কণ্ড,	কাণ্ড,	
langhon,	লঙ্ঘন,	লংঘন,	
graambaasider,	গ্রামবাসীদের,	গ্রামবাসীদের,	
grambashi,	গ্রাম্বসী,	গ্রামবাসী,	
udbhabaker,	উদ্ভবকের,	উদ্ভাবকের,	
shalook,	শালুক,	শালুক,	
bachchan,	বাচ্চান,	বচ্চন,	
poschimae,	পশ্চিমাই,	পশ্চিমে,	
bondi,	বন্দী,	বন্দী,	
mitrader,	মিত্রদের,	মিত্রদের,	
abhidhaner,	অভিধানের,	অভিধানের,	
baiqa,	বাইকা,	বাইক,	
sohokaree,	সহকারী,	সহকারী,	
shomser,	শমসের,	সমশের,	
rubyo,	রুব্য,	রুবিও,	
besirbhaagi,	বেশিরভাগই,	বেশিরভাগই,	
grameroi,	গ্রামারই,	গ্রামেরই,	
oteeteo,	অতিতেও,	অতীতেও,	
muscat,	মুসকাট,	মাস্কাট,	
temanbhabe,	তেমনভাবে,	তেমনভাবে,	
naren,	নরেন,	নরেন,	
anektayi,	অনেকটাই,	অনেকটাই,	
saarbhaarti,	সার্ভার্টি,	সার্ভারটি,	
sangasthatike,	সংস্থাতিকে,	সংস্থাটিকে,	
obhaarbhiu,	অভারভু,	ওভারভিউ,	
ganjona,	গঞ্জনা,	গঞ্জনা,	
shobnom,	শব্ন,	শবনম,	
paltechhey,	পল্টেছে,	পাল্টেছে,	
welaqama,	ভেলাকম,	ওয়েলকাম,	
jotota,	যতটা,	যতোটা,	
porobortii,	পরবর্তী,	পরর্বতী,	
graambashee,	গ্রামবাসী,	গ্রামবাসী,	
august,	অগস্ট,	আগষ্ট,	
chitronattakar,	চিত্রনাট্যকর,	চিত্রনাট্যকার,	
kark,	কর্ক,	কার্ক,	
pushti,	পুষ্টি,	পুষ্টি,	
tennish,	টেননিস,	টেনিস,	
doorotomo,	দুরতম,	দূরতম,	
shtonahenja,	স্টনহাহ্জ,	স্টোনহেঞ্জ,	
sofie,	সফি,	সোফি,	
monir,	মনির,	মনির,	
sangosthatike,	সংস্থাতিকে,	সংস্থাটিকে,	
siddhantao,	সিদ্ধান্তও,	সিদ্ধান্তও,	
byabaharkaree,	ব্যবহারককারী,	ব্যবহারকারী,	
bhenuser,	ভেনুসার,	ভেনাসের,	
ganaparibahaner,	গণপরিবহণের,	গণপরিবহনের,	
forma,	ফোর্ম,	ফর্মা,	
progresh,	প্রগগ্রেস,	প্রগ্রেস,	
bihar,	বিহার,	বিহার,	
kaanaai,	কানাই,	কানাই,	
noditir,	নদীতীর,	নদীটির,	
elakai,	এলাকাই,	এলাকাই,	
chalochchitragulor,	চলচ্তিগ্রগুলোর,	চলচ্চিত্রগুলোর,	
drishyogulote,	দৃশ্যগুলোতে,	দৃশ্যগুলোতে,	
esoosiyetasa,	এসুসিয়েস,	এসোসিয়েটস,	
garora,	গরররা,	গারোরা,	
evereste,	ইভরেস্টে,	এভারেস্টে,	
nartana,	নার্টন,	নর্টন,	
porizon,	পরিজন,	পরিজন,	
change,	চঙ্গে,	চেঞ্জ,	
jibonto,	জীবন্ত,	জীবন্ত,	
suma,	সুম,	সুমো,	
bishrinkhala,	বিশৃংখল,	বিশৃঙ্খলা,	
confliqt,	কনফ্লিক্ট,	কনফ্লিক্ট,	
bbiswashe,	বিশ্বসসে,	বিশ্বাসে,	
manikya,	মাণিক্য,	মানিক্য,	
inphormeshon,	ইনফর্মেশন,	ইনফরমেশন,	
horash,	হরাশ,	হোরাস,	
provu,	প্রভূ,	প্রভু,	
landin,	লন্ডিন,	ল্যান্ডিং,	
gostheeti,	গোষ্ঠীতি,	গোষ্ঠীটি,	
shitey,	শিটে,	শীতে,	
engrejer,	ইংরেজের,	ইংরেজের,	
beam,	বিম,	বিম,	
sarder,	সর্দের,	সরদার,	
boikolyo,	বৈকল্য,	বৈকল্য,	
daayitto,	দৈত্য,	দায়িত্ব,	
babilon,	বাবিলন,	ব্যাবিলন,	
udbodhaney,	উদ্বধানে,	উদ্বোধনে,	
sahooseekotar,	সহুীকতাকার,	সাহসিকতার,	
alaoler,	আললের,	আলাওলের,	
ghoomachhilo,	ঘুমাছিল,	ঘুমাচ্ছিল,	
bujhechhilo,	বুঝেছিল,	বুঝেছিল,	
vishnuke,	বিষ্ণুকে,	বিষ্ণুকে,	
neermolotaa,	নির্মলতা,	নির্মলতা,	
sucharita,	সূচারিত,	সুচরিতা,	
kyatagorir,	ক্যাতগরীর,	ক্যাটাগরির,	
samsher,	সামসের,	সমশের,	
pronoti,	প্রণতী,	প্রণতি,	
kodguli,	কদগুলি,	কোডগুলি,	
panero,	পনেরও,	পনের,	
angshograhon,	অংশগ্রহণ,	অংশগ্রহন,	
patka,	পাটকা,	পটকা,	
armeenian,	আর্মেনিয়ান,	আর্মেনিয়ান,	
saccar,	সকচ্চার,	সকার,	
nagarik,	নাগরিক,	নাগরিক,	
mataram,	মাতারাম,	মাতারাম,	
billah,	বিলাহ,	বিল্লাহ,	
sikkhakder,	শিক্ষাদের,	শিক্ষকদের,	
daakten,	ডাকতেন,	ডাকতেন,	
janalo,	জানালো,	জানালো,	
ingrezeeteo,	ইংরেজিতেও,	ইংরেজিতেও,	
bhalobass,	ভালবাস,	ভালোবাসা,	
madhoori,	মধুরি,	মাধুরী,	
obhishangsan,	অভিসংসান,	অভিশংসন,	
jank,	জ্যাংক,	জাঁক,	
shoccer,	সকের,	সকার,	
rooby,	রুবি,	রুবি,	
apachesta,	অপচেষ্টা,	অপচেষ্টা,	
esiyatika,	এসিটিকি,	এশিয়াটিক,	
kampito,	কম্পিত,	কম্পিত,	
padee,	পেড,	পাড়ে,	
definishian,	ডেফিনিশন,	ডেফিনেশন,	
postar,	পোস্টার,	পোস্টের,	
carloos,	কার্লস,	কার্লোস,	
hajeerhatt,	হাজিরহাট,	হাজিরহাট,	
ammor,	আম্মোর,	আমর,	
juktorastreo,	যুক্তরাস্ট্রেও,	যুক্তরাষ্ট্রেও,	
sumeeta,	সুমিটা,	সুমিতা,	
mukharji,	মুখার্জি,	মুখার্জী,	
ganakantho,	গণকণ্ঠ,	গণকণ্ঠ,	
nagaland,	নগলান্ড,	নাগাল্যান্ড,	
kalkarkhana,	কালকক্ষণ,	কলকারখানা,	
noitikbhabe,	নৈতিকভাবে,	নৈতিকভাবে,	
songasthati,	সংগ্ঠাটি,	সংস্থাটি,	
khogen,	খোগেন,	খগেন,	
haryken,	হারিকেন,	হ্যারিকেন,	
tanteera,	টানটেরা,	তাঁতিরা,	
byabosthar,	ব্যবস্থার,	ব্যাবস্থার,	
aksathei,	একসাথেই,	একসাথেই,	
suparahiro,	সুপারহহর,	সুপারহিরো,	
nederlander,	নেদারল্যান্ডের,	নেদারল্যান্ডের,	
bhortuki,	ভর্তুকি,	ভর্তুকি,	
kartona,	কর্তন,	করতনা,	
ancholtitey,	আঞচলতিতে,	অঞ্চলটিতে,	
oxforde,	অক্সারডে,	অক্সফোর্ডে,	
ancholtike,	আঞ্চলতিকে,	অঞ্চলটিকে,	
armshtronj,	আর্স্ত্রন্জ,	আর্মস্ট্রং,	
dreeshtiheen,	দৃষ্টিহীন,	দৃষ্টিহীন,	
doojoo,	দুজো,	ডোজো,	
notikotar,	নটীকতার,	নৈতিকতার,	
ekatto,	একাত্য,	একাত্ব,	
boarana,	বোরণা,	বোরন,	
shaahaabaah,	সাহাবা,	সাহাবাহ,	
jeten,	যেটেন,	যেতেন,	
prochondo,	প্রচন্ড,	প্রচণ্ড,	
meyiler,	মেলের,	মেইলের,	
moogdal,	মুগদল,	মুগডাল,	
trete,	ট্রেট,	ট্রেতে,	
artilari,	অর্টিলারি,	আর্টিলারি,	
shansthatir,	সান্থাটির,	সংস্থাটির,	
antarktikar,	অন্তর্কিতকার,	অ্যান্টার্কটিকার,	
okhondota,	অখন্দতা,	অখণ্ডতা,	
jarool,	জারুল,	জারুল,	
shaarthe,	স্বার্থে,	স্বার্থে,	
shiqha,	শিখা,	শিখ,	
udbhabon,	উদ্ভবন,	উদ্ভাবন,	
inamila,	ইনামেল,	এনামেল,	
duma,	দুম,	দুমা,	
naper,	নাপের,	ন্যাপের,	
elakaasoho,	এলাকাসহ,	এলাকাসহ,	
dey,	দে,	ডে,	
rananganey,	রণাঙ্গনে,	রণাঙ্গনে,	
shulke,	সুলকে,	শুল্কে,	
photanor,	ফটানোর,	ফোটানোর,	
dholeshori,	ধলেস্বরী,	ধলেশ্বরী,	
hatochakito,	হতচাচিত,	হতচকিত,	
yaq,	যাক,	ইয়াক,	
marketey,	মার্কেটে,	মার্কেটে,	
shektore,	সেক্টরে,	সেক্টরে,	
ralph,	রালফ,	রালফ,	
athar,	আঠার,	আতহার,	
achis,	আচিস,	আছিস,	
bhagna,	ভাগ্ন,	ভগ্ন,	
kanasarabheshana,	কনসারভেশন,	কনসারভেশন,	
stonehenj,	স্ট্যাহেঞ্জ,	স্টোনহেঞ্জ,	
uttar,	উত্তর,	উওর,	
gabeshanagar,	গবেষণাগার,	গবেষনাগার,	
graambaaseeo,	গ্রামবাসীও,	গ্রামবাসীও,	
ghur,	ঘুর,	ঘুর,	
deilee,	দেলি,	ডেইলি,	
jaak,	যাঁক,	জাঁক,	
kode,	কোড,	কোডে,	
nothibhookto,	নথিভুক্ত,	নথিভুক্ত,	
bhramankale,	ভ্রমণকালে,	ভ্রমণকালে,	
nepchooner,	নেপ্নুর,	নেপচুনের,	
jibnagore,	জীবনগরে,	জীবননগর,	
chalochchitrogulor,	চলচ্তিগ্রলুর,	চলচ্চিত্রগুলোর,	
netsi,	নেটসি,	নাত্সি,	
ahang,	আহং,	অহং,	
taivan,	টাভান,	তাইওয়ান,	
ganoporibahon,	গণপরিবহন,	গণপরিবহন,	
indr,	ইন্দ্র,	ইন্দ্র,	
somaazer,	সমাজের,	সমাজের,	
gazetted,	গেজেটেট,	গেজেটেড,	
chaiti,	চাইটি,	চৈতি,	
aswastikor,	অস্বস্তিকর,	অস্বস্তিকর,	
shitei,	শিটেই,	শীতেই,	
patengar,	পতেন্গর,	পতেঙ্গার,	
sphincter,	স্ফন্্টের,	স্ফিংটার,	
elakatey,	এলাকাতে,	এলাকাতে,	
varshon,	ভার্সন,	ভারশন,	
agamane,	আগামানে,	আগমনে,	
aaeerese,	আইরিশ,	আইরেসে,	
peterke,	পেতারকে,	পিটারকে,	
gara,	গরর,	গোর,	
tenis,	টেনিস,	টেনিস,	
sikar,	সিকার,	শিকার,	
akramer,	আকরামের,	আকরামের,	
vogirath,	ভগিরথ,	ভগীরথ,	
jillool,	জিল্লুল,	জিল্লুল,	
khanankaj,	খননকাজ,	খননকাজ,	
pacbbar,	পাঁচবার,	পাঁচবার,	
aatok,	আতক,	আটক,	
blacker,	ব্লকের,	ব্ল্যাকের,	
karima,	করিমা,	করিম,	
dharavahikti,	ধারাহাহিক্তি,	ধারাবাহিকটি,	
hoil,	হইল,	হইল,	
ojuhat,	অযুহত,	অজুহাত,	
durgotsabe,	দুর্তশত্বে,	দুর্গোৎসবে,	
senabahinike,	সেনবাহিনীকে,	সেনাবাহিনীকে,	
asabhya,	অসভ্য,	অসভ্য,	
ajimpur,	আজিমপুর,	আজিমপুর,	
olympicer,	অলিম্পিসের,	অলিম্পিকের,	
bhittiteow,	ভিত্তিতেও,	ভিত্তিতেও,	
piroojalee,	পিরুজলী,	পিরুজালী,	
daakticket,	ডাক্তিকেত,	ডাকটিকিট,	
parshe,	পারসে,	পার্শ্বে,	
iran,	আইরন,	ইরান,	
graambaaseer,	গ্রামবাসীর,	গ্রামবাসীর,	
jaunotar,	যৌনতার,	যৌনতার,	
se,	সে,	সে,	
ingrejra,	ইংরেজ্রা,	ইংরেজরা,	
chikitshar,	চিকিৎসার,	চিকিত্সার,	
songrahok,	সংগ্রাহক,	সংগ্রাহক,	
shenior,	শেনিয়র,	সিনিয়র,	
obhigomon,	অভিগমণ,	অভিগমন,	
asociatees,	অ্যাসোসিয়েস,	এসোসিয়েটস,	
pana,	পান,	পানা,	
sanaktakaran,	সনাক্তকরণ,	সনাক্তকরণ,	
kaalaam,	কালাম,	কালাম,	
jonsa,	জনস,	জোন্স,	
ovishongshon,	অভিসংসন,	অভিশংসন,	
sahopathike,	সহপাঠীকে,	সহপাঠীকে,	
mukherjee,	মুখার্জি,	মুখার্জী,	
machsaho,	মাচসহ,	মাছসহ,	
sthapanagulor,	স্থাপনগুলোর,	স্থাপনাগুলোর,	
vasturyi,	বস্তুরী,	বস্তুরই,	
kreedita,	ক্রিডিট,	ক্রেডিট,	
arekdal,	আরেকদল,	আরেকদল,	
nirapattamulok,	নিরপততমূলক,	নিরাপত্তামূলক,	
omanisha,	অমানিস,	অমানিশা,	
amantrita,	অমন্তৃত,	আমন্ত্রিত,	
apochesta,	অপচেষ্টা,	অপচেষ্টা,	
nagare,	নগরে,	নগরে,	
venice,	ভেনিস,	ভেনিস,	
madhumati,	মধুমতি,	মধুমতী,	
gheshei,	ঘেষেই,	ঘেঁষেই,	
manushi,	মানুসি,	মানুষী,	
besarkarikaran,	বেসরকারীকরণ,	বেসরকারিকরণ,	
hebhi,	হেভি,	হেভি,	
manhputo,	মানপুত,	মনঃপুত,	
avinetar,	অভিনেতর,	অভিনেতার,	
tennys,	টেননিস,	টেনিস,	
abasare,	অবসারে,	অবসরে,	
thai,	ঠাই,	থাই,	
vushito,	ভূষিত,	ভূষিত,	
songasthaner,	সংগ্ঠানের,	সংস্থানের,	
makhmaley,	মাখমালে,	মখমলে,	
sojja,	সজ্য,	সজ্জা,	
uchchatara,	উচ্চতারা,	উচ্চতর,	
samany,	সমানি,	সামান্য,	
military,	মিলিটারী,	মিলিটারি,	
surakarder,	সুরককরদের,	সুরকারদের,	
kyethalika,	ক্যাথলিক,	ক্যাথলিক,	
drissoke,	দৃশ্যকে,	দৃশ্যকে,	
ipl,	আইপিল,	আইপিএল,	
dharabahikeo,	ধারাবাহিকে,	ধারাবাহিকেও,	
navel,	নেভেল,	নভেল,	
nogorey,	নগরে,	নগরে,	
ajijoor,	আজিজুর,	আজিজুর,	
zzonite,	যোনিতে,	যোনীতে,	
kurdider,	কুর্দিদের,	কুর্দিদের,	
lojic,	লোজিক,	লজিক,	
sammatite,	সমমতিতি,	সম্মতিতে,	
durtomo,	দুরতম,	দূরতম,	
asiph,	আসীফ,	আসিফ,	
harisoner,	হারিসনের,	হ্যারিসনের,	
rajbondi,	রাজবন্দী,	রাজবন্দী,	
porishkaron,	পরিস্কারণ,	পরিষ্করণ,	
bahati,	বাহাটি,	বাহাতি,	
kruser,	ক্রুসের,	ক্রুশের,	
elaakai,	এলাকাই,	এলাকাই,	
manohar,	মনোহার,	মনোহর,	
premo,	প্রেম,	প্রিমো,	
byomkes,	ব্যামকেস,	ব্যোমকেশ,	
laaz,	লাজ,	লাজ,	
mehnoti,	মেহনটি,	মেহনতি,	
hydra,	হিড্রো,	হাইড্রা,	
schedule,	সেডুলে,	শিডিউল,	
taims,	টাইমস,	টাইমস্,	
jaroori,	জরুরী,	জরূরী,	
onchalgoolir,	অঞ্চলগুলির,	অঞ্চলগুলির,	
shrabastee,	শ্রববাস্তি,	শ্রাবস্তী,	
pustir,	পুষ্টির,	পুষ্টির,	
zoneser,	জনেসের,	জোন্সের,	
mododpusto,	মদদদপ্ত,	মদদপুষ্ট,	
hondurus,	হনদুরুষ,	হন্ডুরাস,	
mathew,	মথে,	ম্যাথিউ,	
uponisod,	উপনিসদ,	উপনিষদ,	
brindaboney,	বৃর্দবানে,	বৃন্দাবনে,	
kolahol,	কলাহ,	কোলাহল,	
totokshon,	ততক্ষণ,	ততক্ষন,	
chaalta,	চাল্টা,	চালতা,	
shikkharrthirao,	শিক্ষার্থীরা,	শিক্ষার্থীরাও,	
potcheetrer,	পথচিত্রের,	পটচিত্রের,	
panctaar,	পাঁচতার,	পাঁচটার,	
sukkho,	সূক্ষ্ম,	সুক্ষ্ম,	
taalgachh,	তালগাছ,	তালগাছ,	
onucheeder,	অনুচীদের,	অনুচ্ছেদের,	
dakhbaar,	দেখবার,	দেখবার,	
somabeshti,	সমাবেশ্টি,	সমাবেশটি,	
inapharamesana,	ইনফর্মেশন,	ইনফরমেশন,	
chorchito,	চর্চিত,	চর্চিত,	
haila,	হইল,	হইল,	
faksa,	ফক্স,	ফক্স,	
edaningkale,	এডনিঙ্কলালে,	ইদানীংকালে,	
abheedhaneeck,	অভিধানিক,	অভিধানিক,	
manob,	মননব,	মানব,	
sotteo,	সত্যেও,	সত্ত্বেও,	
matte,	মাটে,	ম্যাট,	
chitranattakar,	চিত্রনাট্যকর,	চিত্রনাট্যকার,	
wool,	ভুল,	উল,	
bajite,	বাজিতে,	বাজিতে,	
jeebonnogor,	জীবনগনগর,	জীবননগর,	
daja,	দজ,	ডোজো,	
horeepur,	হরিপুর,	হরিপুর,	
troop,	ট্রুপ,	ট্রুপ,	
korecho,	করেছো,	করেছো,	
lyandim,	ল্যান্ডিং,	ল্যান্ডিং,	
petrol,	পেত্রোল,	পেট্রোল,	
gazeetteed,	গেজেটেট,	গেজেটেড,	
soccer,	সকের,	সকার,	
shtonehenge,	স্ট্নেহেঞ্জে,	স্টোনহেঞ্জ,	
eidaning,	এডিনিং,	ইদানীং,	
addhatikota,	আধ্যতিকতা,	আধ্যাত্মিকতা,	
juktorashtrosaha,	যুক্তরাস্ত্রসহ,	যুক্তরাষ্ট্রসহ,	
dhojobhongo,	ধধভযঙ্গ,	ধ্বজভঙ্গ,	
soholovyotar,	সহলভ্যতার,	সহজলভ্যতার,	
komatei,	কমাতেই,	কমাতেই,	
cantan,	কন্টন,	ক্যান্টন,	
shaater,	ষাটের,	শ্যুটার,	
kalam,	কলাম,	কালাম,	
rajotta,	রাজত্ব,	রাজত্ব,	
shamooker,	শামুকের,	শামুকের,	
moshjidke,	মস্জিদকে,	মসজিদকে,	
armstrang,	আর্স্ট্রেং,	আর্মস্ট্রং,	
khizir,	খিজির,	খিজির,	
rinatmak,	ঋণাত্মক,	ঋনাত্মক,	
gronthe,	গ্রন্থে,	গ্রন্থে,	
abheedhaneek,	অভিধানিক,	অভিধানিক,	
digreeo,	ডিগ্রীও,	ডিগ্রিও,	
mett,	মেট,	ম্যাট,	
source,	সার্স,	সোর্স,	
niketaner,	নিকেতনের,	নিকেতনের,	
heedgee,	হেজ,	হেজ,	
manushe,	মানুষে,	মানুষে,	
arakaner,	আরককণের,	আরাকানের,	
cho,	চো,	ছোঁ,	
mette,	মেটে,	ম্যাট,	
apohoron,	অপহরণ,	অপহরন,	
sahajlabhbhotar,	সহল্যভলততার,	সহজলভ্যতার,	
sqarta,	স্কার্ট,	স্কার্ট,	
golakrity,	গোলাকৃত্রি,	গোলাকৃতি,	
swostir,	স্বস্তির,	স্বস্তির,	
bhromonkale,	ভ্রমণকালে,	ভ্রমণকালে,	
senabahineekey,	সেনবাহিনীকে,	সেনাবাহিনীকে,	
bisshas,	বিশ্বসস,	বিশ্বাস,	
olympiker,	অলিম্পিকের,	অলিম্পিকের,	
silver,	সিলভার,	সিলভার,	
samosto,	সমস্ত,	সমস্ত,	
spreadsheet,	স্প্রেডেট,	স্প্রেডশীট,	
shhooter,	শুটের,	শ্যুটার,	
shikarer,	শিকারের,	শিকারের,	
technocrat,	টেকচ্রেট,	টেকনোক্র্যাট,	
natunatva,	নতুনত্ব,	নতুনত্ব,	
bolechile,	বলেছিলে,	বলেছিলে,	
sachetonvabe,	সচেতনভভাবে,	সচেতনভাবে,	
jonoshongjog,	জনসংবোয,	জনসংযোগ,	
dooborira,	দুবরীরা,	ডুবুরিরা,	
kanuner,	কানুনের,	কানুনের,	
ekla,	একলা,	একলা,	
suparahira,	সুপারসহার,	সুপারহিরো,	
bhandaare,	ভান্ডারে,	ভাণ্ডারে,	
chhutee,	ছুটি,	ছুটি,	
shaatjoner,	সাতজনের,	সাতজনের,	
byte,	বাইট,	বাইট,	
utsahomulok,	উৎসসমূলক,	উৎসাহমূলক,	
jerujaleme,	জেরুজুলামে,	জেরুসালেমে,	
engineerin,	ইন্গীনেরিং,	ইঞ্জিনিয়ারিং,	
miraqela,	মারাকেল,	মিরাকেল,	
bosstonte,	বস্টন্তে,	বসন্তে,	
uqeliptas,	উপেলিল্টশাস,	ইউক্যালিপ্টাস,	
abasarer,	আবসারের,	অবসরের,	
udbodhone,	উদ্বোধনে,	উদ্বোধনে,	
ekpashe,	একপাশে,	একপাশে,	
aipiela,	অপিল,	আইপিএল,	
homes,	হোমস,	হোমস,	
noiteekotar,	নৈতিকতার,	নৈতিকতার,	
joubanbatee,	যৌবনটীত,	যৌবনবতী,	
akhando,	আখন্দ,	অখন্ড,	
madhabi,	মাধবী,	মাধবী,	
aloteo,	আলোতেও,	আলোতেও,	
monjiley,	মঞ্জিলে,	মঞ্জিলে,	
kutir,	কুটির,	কুটির,	
batsman,	ব্যাসম্যান,	ব্যাটসম্যান,	
teknokrat,	টেকনোর্ট,	টেকনোক্র্যাট,	
sahabah,	সহবা,	সাহাবাহ,	
nevate,	নেভাতে,	নেভাতে,	
dakteekiter,	ডাক্তিকেতের,	ডাকটিকিটের,	
deares,	ডিরেশ,	ডিআরএস,	
euro,	ইউরো,	ইউরো,	
samanyai,	সামন্যই,	সামান্যই,	
canflict,	কানফ্লিট,	কনফ্লিক্ট,	
satarka,	সাত্র্ক,	সতর্ক,	
definishhion,	ডেফিনিশন,	ডেফিনেশন,	
bodka,	বদকা,	ভদকা,	
bamoni,	বামনী,	বামনী,	
dacop,	ডাকপ,	দাকোপ,	
ishton,	ইস্টন,	স্টোন,	
deeyenes,	ডিজেনস,	ডিএনএস,	
plasse,	প্লেস,	প্লাসে,	
batikromshali,	বাটিক্রমশালী,	ব্যতিক্রমধর্মী,	
bhenisa,	ভেনিস,	ভেনিস,	
jolook,	জলকুক,	জ্বলুক,	
daqop,	ডাকোপ,	দাকোপ,	
ajauno,	অজৌন,	অযৌন,	
prashikkhane,	প্রশিক্ষণে,	প্রশিক্ষণে,	
cathalic,	কাথলিক,	ক্যাথলিক,	
utsahomulak,	উৎসসমূলক,	উৎসাহমূলক,	
bishnu,	বিষ্ণু,	বিষ্ণু,	
manshe,	মাংসে,	মানুষে,	
tanu,	তানু,	তনু,	
shreeshree,	শ্রীশ্রী,	শ্রীশ্রী,	
grootha,	গ্রুথ,	গ্রোথ,	
arakdal,	আরাকল,	আরেকদল,	
itostatah,	ইতসসতত,	ইতস্ততঃ,	
zerusalem,	জেরুসালেম,	জেরুজালেম,	
natniike,	নাটনীকে,	নাতনীকে,	
tarkarir,	তরকারির,	তরকারীর,	
tahalei,	তালাই,	তাহলেই,	
vishnu,	ভিষ্ণু,	বিষ্ণু,	
addhattikotar,	অধ্যাত্বিকতার,	আধ্যাত্মিকতার,	
daakteekiter,	ডাক্তিকিতের,	ডাকটিকিটের,	
