tukror,	টুকরার,	টুকরোর,	
fanskari,	ফাঁসাকারি,	ফাঁসকারী,	
superheira,	সুপারহেরা,	সুপারহিরো,	
gayichhey,	গাইছে,	গাইছে,	
sharifer,	শরীফের,	শরিফের,	
khelaphate,	খেলাফতে,	খেলাফতে,	
jaater,	যাঁের,	জাতের,	
pratisthasoho,	প্রতিষ্ঠাসহ,	প্রতিষ্ঠাসহ,	
nischitabhave,	নিশ্চিতভাবে,	নিশ্চিতভাবে,	
ekok,	একক,	একক,	
dhormi,	ধর্মী,	ধর্মী,	
granthoti,	গ্রন্থটি,	গ্রন্থটি,	
societytey,	সোকিটিতে,	সোসাইটিতে,	
dhanche,	ধাঁচে,	ধাঁচে,	
roopdaan,	রূপদান,	রুপদান,	
arthonitite,	অর্থনীতিতে,	অর্থনীতিতে,	
sikkhakbrindo,	শিক্ষাবৃন্দ,	শিক্ষকবৃন্দ,	
gostii,	গোস্টি,	গোষ্ঠীই,	
bahati,	বাহাতি,	বাহাতি,	
jerusalema,	জেরুসলম,	জেরুসালেম,	
vandar,	ভান্ডার,	ভাণ্ডার,	
masjidtir,	মাসিিদটির,	মসজিদটির,	
grantho,	গ্রন্থ,	গ্রন্থ,	
venicey,	ভেনিসে,	ভেনিসে,	
dipon,	ডিপন,	দীপন,	
ghoorte,	ঘুরতে,	ঘুরতে,	
monjooshree,	মঞ্জুরী,	মঞ্জুশ্রী,	
durgandho,	দুর্গান্ধ,	দুর্গন্ধ,	
tarunke,	তারুণকে,	তরুণকে,	
baagicar,	বাগিকার,	বাগিচার,	
hajarti,	হজরটি,	হাজারটি,	
shayetana,	সায়েটন,	শয়তান,	
jansa,	জানস,	জোন্স,	
kormopontha,	কর্মপন্থা,	কর্মপন্থা,	
munim,	মুনিং,	মুনিম,	
boshoborti,	বসবর্তী,	বশবর্তী,	
durotamo,	দূরোতম,	দূরতম,	
khoja,	খোজ,	খোজা,	
canflict,	কনফলিক্ট,	কনফ্লিক্ট,	
talal,	তললাল,	তালাল,	
granthao,	গ্রন্থাও,	গ্রন্থও,	
teentir,	তিনটির,	তিনটির,	
uindo,	উইন্ডো,	উইন্ডো,	
chirata,	চিরতা,	চিরতা,	
ayantarqatiqa,	অ্যান্টর্টিক,	অ্যান্টার্কটিকা,	
hitakar,	হিতাকার,	হিতকর,	
avishangson,	অভিসংসন,	অভিশংসন,	
uindos,	উইন্ডোস,	উইন্ডোস,	
siddhantokey,	সিদ্বান্তকে,	সিদ্ধান্তকে,	
akpaase,	একপাশে,	একপাশে,	
bhognee,	ভগ্নি,	ভগ্নী,	
arasie,	আরসসই,	আরসিএ,	
prakalpogulor,	প্রকালগুলোর,	প্রকল্পগুলোর,	
rajon,	রজন,	রাজন,	
chetna,	চেতনা,	চেতনা,	
karadonde,	কারাদন্ডে,	কারাদণ্ডে,	
petenter,	পেটেন্টের,	পেটেন্টের,	
saafi,	সাফি,	সাফি,	
deembakriti,	ডিম্বাকৃতি,	ডিম্বাকৃতি,	
kamla,	কমলা,	কামলা,	
orhan,	ওরহান,	ওরহান,	
spreadseet,	স্প্রাডসেট,	স্প্রেডশীট,	
ewil,	এভিল,	ইভিল,	
crescent,	ক্রেসকেন্ট,	ক্রিসেন্ট,	
paab,	পাব,	পাব,	
suparharo,	সুপারহ,	সুপারহিরো,	
azadir,	আযাদীর,	আজাদীর,	
sarjur,	সার্জুর,	সরযূর,	
serup,	শেরুপ,	সেরূপ,	
besorkarikoron,	বেসরকারীকরণ,	বেসরকারিকরণ,	
elaakaati,	এলাকাতি,	এলাকাটি,	
janamukhi,	জনমুখী,	জনমুখী,	
vogirath,	ভোগীরথ,	ভগীরথ,	
mastars,	মোস্টার্স,	মাস্টার্স,	
pishach,	পিশাচ,	পিশাচ,	
jerujalem,	জেরুজালেম,	জেরুজালেম,	
transfarm,	ট্রান্সফার্ম,	ট্রান্সফর্ম,	
sbatantrata,	স্বতন্ত্রতা,	স্বতন্ত্রতা,	
bondiike,	বন্দীকে,	বন্দীকে,	
ramantic,	রাম্যান্টিক,	রোমান্টিক,	
ipl,	ইপল,	আইপিএল,	
dharabhashyokar,	ধারাভাষ্যকর,	ধারাভাষ্যকার,	
jesthatar,	যেষ্ঠতার,	জ্যেষ্ঠতার,	
asovyo,	অস্ব,	অসভ্য,	
jaanaar,	জানার,	জানার,	
divya,	দিব্য,	দিব্যা,	
mahindra,	মহিন্দ্র,	মাহিন্দ্রা,	
attobishwasi,	অত্মবিবাসী,	আত্মবিশ্বাসী,	
seektara,	সেক্টর,	সেক্টর,	
onekerie,	অনেকারি,	অনেকেরই,	
melborrone,	মেলবররণে,	মেলবোর্নে,	
samanwitabhabe,	সমান্নতিভতাবে,	সমন্বিতভাবে,	
laisense,	লেইসন্স,	লাইসেন্স,	
bhagna,	ভাগনা,	ভগ্ন,	
neurolojy,	নিউরোলজি,	নিউরোলজি,	
tottoraat,	তত্তরাত,	তওরাত,	
shnaipara,	স্নাইপার,	স্নাইপার,	
hipar,	হিইপার,	হাইপার,	
towbaar,	তববার,	তওবার,	
chalochchitreer,	চলচিত্রির,	চলচ্চিত্রের,	
janagononar,	জনগণনার,	জনগণনার,	
sbajaner,	স্বজনের,	স্বজনের,	
marketin,	মার্কেটিন,	মার্কেটিং,	
victor,	ভিক্টর,	ভিক্টর,	
jibanjapon,	জীবনাপন,	জীবনযাপন,	
porizoner,	পরিজনের,	পরিজনের,	
jekhan,	যেখান,	যেখান,	
nuhas,	নুঃস,	নুহাশ,	
prettii,	প্রতি,	প্রিটি,	
nariderke,	নারীদেরকে,	নারীদেরকে,	
bonnypran,	বন্যপ্রাণ,	বন্যপ্রাণ,	
komaatei,	কমাতেই,	কমাতেই,	
ardasho,	অর্দশ,	আর্দশ,	
kyathlikder,	ক্যাথলিকার,	ক্যাথলিকদের,	
madrasake,	মাদরাসকে,	মাদ্রাসাকে,	
aunty,	অ্যান্টি,	আন্টি,	
farid,	ফরিদ,	ফরিদ,	
sushiksar,	সুশিক্ষর,	সুশিক্ষার,	
poddhotiteyi,	পদ্ধতিতেই,	পদ্ধতিতেই,	
nothivooktir,	নথিভুক্তির,	নথিভুক্তির,	
itostatoh,	ইত্সটট,	ইতস্ততঃ,	
jhijhi,	ঝিঝি,	ঝিঝি,	
protjogiita,	প্রত্যোগিতা,	প্রতিযোগীতা,	
fishing,	ফিশিং,	ফিসিং,	
chilahati,	চিলাহাতি,	চিলাহাটি,	
neermol,	নির্মল,	নির্মল,	
netarao,	নেতারাও,	নেতারাও,	
rajballabh,	রাজবল্লাভ,	রাজবল্লভ,	
foksher,	ফক্ষের,	ফক্সের,	
charbon,	চার্বন,	চর্বন,	
kareer,	কারির,	কারীর,	
brander,	ব্র্যান্ডের,	ব্রান্ডের,	
atorkite,	অটর্কিতে,	অতর্কিতে,	
kuhelika,	কুহলিকা,	কুহেলিকা,	
teta,	তাট,	টেটা,	
provritike,	প্রভৃতিকে,	প্রভৃতিকে,	
bosontey,	বসন্তে,	বসন্তে,	
shikshakram,	শিক্ষাক্রম,	শিক্ষাক্রম,	
bouddha,	বৌদ্ধ,	বৌদ্ধ,	
cheelona,	ছিলনা,	ছিলনা,	
uzobekeestaan,	উজবেকস্তান,	উজবেকিস্তান,	
bagdade,	বাগদাদে,	বাগদাদে,	
gandhiir,	গান্ধীর,	গান্ধীর,	
karmokarke,	কর্মকারকে,	কর্মকারকে,	
kadorer,	কাদরের,	কদরের,	
dristihin,	দৃষ্টিহীন,	দৃষ্টিহীন,	
brekathru,	ব্রেকাঠরু,	ব্রেকথ্রু,	
celinar,	সেলিনার,	সেলিনার,	
digrir,	ডিগ্রীর,	ডিগ্রির,	
noditike,	নদীতীকে,	নদীটিকে,	
inashtyanta,	ইনস্ট্যান্ট,	ইনস্ট্যান্ট,	
maudeling,	মডেলেিং,	মডেলিং,	
arthanitir,	অর্থনীতির,	অর্থনীতির,	
flag,	ফ্ল্যাগ,	ফ্লাগ,	
larshon,	লার্সন,	লারসন,	
kyathalika,	ক্যাথলিকা,	ক্যাথলিক,	
sikkharthirao,	শিক্ষার্থীরাও,	শিক্ষার্থীরাও,	
ishtara,	ইস্টার,	ইস্টার,	
joubanbotii,	যৌবনবীতি,	যৌবনবতী,	
nothivukteer,	নথিভুক্তির,	নথিভুক্তির,	
ancholgulote,	অঞ্চলগুলোতে,	অঞ্চলগুলোতে,	
nabatamo,	নববম,	নবতম,	
scall,	স্কেল,	এসকল,	
laaishesh,	লাইস,	লাইসেন্স,	
sucre,	সুকর,	সাকার,	
nirikh,	নিরিখ,	নিরিখ,	
nadimatrik,	নাদামাত্রিক,	নদীমাতৃক,	
unitsaho,	উনিতসহ,	ইউনিটসহ,	
tyunar,	টিউনার,	টিউনার,	
mozart,	মজার্ট,	মোজার্ট,	
graambaaseeo,	গ্রাম্বাসীও,	গ্রামবাসীও,	
varote,	ভারতে,	ভারতে,	
oppohoron,	অপহরণ,	অপহরন,	
trayte,	ট্রেইট,	ট্রেতে,	
dhyanastho,	ধ্যননস্থ,	ধ্যানস্থ,	
farn,	ফর্ন,	ফার্ন,	
baaiq,	বাইক,	বাইক,	
otitkaley,	অতীতকালে,	অতীতকালে,	
songhitar,	সংহিতার,	সংহিতার,	
lyaand,	ল্যান্ড,	ল্যান্ড,	
sudhuyi,	সুধুই,	শুধুই,	
gardena,	গার্ডেন,	গার্ডেন,	
shashtra,	শাস্ত্র,	শাস্ত্র,	
shrabosty,	শ্রববস্তি,	শ্রাবস্তী,	
teemothi,	তিমথি,	টিমোথি,	
konagoolo,	কোনগুলো,	কণাগুলো,	
ceramicsh,	কেরামিক্স,	সিরামিকস,	
sotteo,	সত্বেও,	সত্ত্বেও,	
bohudin,	বহুদিন,	বহুদিন,	
bhardwaj,	ভার্ডুয়াজ,	ভরদ্বাজ,	
decke,	ডেকে,	ডেকে,	
gabhaskar,	গভাসকার,	গাভাস্কার,	
pakhirai,	পাখিরাই,	পাখিরাই,	
badhadan,	বাঁধাদন,	বাধাদান,	
dhhalur,	ঢালুর,	ঢালুর,	
bhagini,	ভাগানী,	ভগিনী,	
bima,	বীমা,	বিম,	
timathi,	তিমথি,	টিমোথি,	
chapal,	চাপাল,	চপল,	
anchaltitey,	অঞ্চলটিতে,	অঞ্চলটিতে,	
krisenta,	ক্রিসেন্ট,	ক্রিসেন্ট,	
nothivukta,	নথিভুক্ত,	নথিভুক্ত,	
yucalyptush,	ইউক্যালিপটাস,	ইউক্যালিপ্টাস,	
dologulo,	দলগুলো,	দলগুলো,	
ancholgoolote,	অঞ্চলগুলোতে,	অঞ্চলগুলোতে,	
gaafiloti,	গাফীলতি,	গাফিলতি,	
dhanyi,	ধনই,	ধন্যি,	
taigara,	টাইজার,	টাইগার,	
achis,	আছিস,	আছিস,	
deraa,	দেরা,	ডেরা,	
vaabna,	ভাবনা,	ভাবনা,	
rupart,	রূপার্ট,	রুপার্ট,	
sthaponakay,	স্থাপনাকক,	স্থাপনাকে,	
osthisondhi,	অস্থিসন্ধি,	অস্থিসন্ধি,	
sojja,	সয্যা,	সজ্জা,	
banshite,	বংশীতে,	বাঁশিতে,	
dada,	ডোডো,	দাদা,	
sofi,	সফি,	সোফি,	
sushri,	সুসরী,	সুশ্রী,	
eporjonto,	এপর্যান্ত,	এপর্যন্ত,	
holdim,	হোল্ড,	হোল্ডিং,	
myathious,	ম্যাথিউস,	ম্যাথিউস,	
nilkuthir,	নীলকুঠির,	নীলকুঠির,	
taimas,	টাইমস,	টাইমস্,	
steit,	স্টেইট,	স্টেইট,	
zyakasana,	জ্যাকসন,	জ্যাকসন,	
shringey,	শ্রীঞে,	শৃঙ্গে,	
danab,	দানব,	দানব,	
lumbinee,	লুম্বিনী,	লুম্বিনী,	
bonyopraan,	বন্যপ্রাণ,	বন্যপ্রাণ,	
pachbar,	পাঁচার,	পাঁচবার,	
jackson,	জ্যাকশন,	জ্যাকসন,	
gonoporeebohoner,	গণপরিবহনের,	গণপরিবহনের,	
utsahamulok,	উৎসামূলক,	উৎসাহমূলক,	
sahapathike,	সহপাঠীকে,	সহপাঠীকে,	
sukna,	শুকনা,	শুকনা,	
debating,	দেবাটিং,	ডিবেটিং,	
karu,	কারু,	কারু,	
aastikotaa,	অস্তিকতা,	আস্তিকতা,	
bisheshshyo,	বিশেষ্য,	বিশেষ্য,	
samudrotatey,	সমুদ্রতাতে,	সমুদ্রতটে,	
theland,	থেলন্দ,	থাইল্যান্ড,	
veniser,	ভেনিসের,	ভেনিসের,	
roktokkoron,	রক্তকরণ,	রক্তক্ষরণের,	
uparzoner,	উপার্জনের,	উপার্জনের,	
nartakike,	নার্টাকিকে,	নর্তকীকে,	
hepetaitisa,	হাইপোটেসি,	হেপাটাইটিস,	
techno,	টেকনো,	টেকনো,	
mesenjar,	মেসেন্জার,	মেসেঞ্জার,	
manahputa,	মানাপুতা,	মনঃপুত,	
gajiipur,	গাজীপুর,	গাজীপুর,	
masajida,	মাসাজীদা,	মসজিদ,	
modelti,	মডেলটি,	মডেলটি,	
everestey,	ইভারেস্টে,	এভারেস্টে,	
welcome,	ওয়েকম,	ওয়েলকাম,	
archimedeser,	আর্কিমেডেজার,	আর্কিমিডিসের,	
bhaisoho,	ভাইসহ,	ভাইসহ,	
engrejra,	ইংরেজ্রা,	ইংরেজরা,	
economeeks,	ইকোনমিক্স,	ইকোনমিকস,	
reno,	রেনো,	রেনো,	
beshirbhaagei,	বেশীরভাগেই,	বেশিরভাগেই,	
bagdadii,	বাগ্দাদী,	বাগদাদী,	
tegara,	টেগার,	টাইগার,	
biplabeer,	বিপ্লবির,	বিপ্লবীর,	
shhipa,	শিপ্পা,	শিপ,	
neeshanasa,	নিশানাসা,	নেশনস,	
shikhechi,	শিখেছি,	শিখেছি,	
abahon,	আবাহন,	আবাহন,	
auncholo,	অঞ্চল,	অঞ্চলও,	
inshtant,	ইন্সট্যান্ট,	ইনস্ট্যান্ট,	
dayana,	ডায়ান,	ডায়না,	
vogno,	ভগ্ন,	ভগ্ন,	
poriskoron,	পরিস্কোণ,	পরিষ্করণ,	
soceitykey,	সোকটিকে,	সোসাইটিকে,	
dephinishion,	ডেফিনিশন,	ডেফিনেশন,	
nevatey,	নেভাতে,	নেভাতে,	
songosthatir,	সংস্থাটির,	সংস্থাটির,	
shajanor,	সাজানোর,	সাজানোর,	
internship,	ইন্টার্নশীপ,	ইন্টার্নশিপ,	
jakrit,	যকৃত,	যকৃৎ,	
ballabh,	বল্লভ,	বল্লভ,	
samajik,	সামাজিক,	সামাজিক,	
gudamjato,	গুদামজত,	গুদামজাত,	
ashok,	অশোক,	আশোক,	
neermolotaa,	নির্মলতা,	নির্মলতা,	
asociates,	অসযাসোসিয়েস,	এসোসিয়েটস,	
masti,	মস্টি,	মাস্তি,	
baiqa,	বাইকা,	বাইক,	
ragee,	রাগী,	রাগী,	
reejideencee,	রেজিডেন্স,	রেসিডেন্স,	
jyeshtha,	জ্যাস্থ,	জ্যেষ্ঠা,	
akshoti,	একশতি,	একশোটি,	
selina,	সেলিনা,	সেলিনা,	
melobborne,	মেলববর্ণে,	মেলবোর্নে,	
difinishhion,	ডিফিনিশন,	ডেফিনেশন,	
choopi,	চুপি,	চুপি,	
debdebier,	দেবদেবির,	দেবদেবীর,	
gobeshokgan,	গবেষকগণ,	গবেষকগণ,	
liseens,	লিসেন্স,	লাইসেন্স,	
leder,	লেডার,	লিডার,	
barak,	ব্যারাক,	বারাক,	
jubokera,	যুবকেরা,	যুবকেরা,	
dalee,	ডলে,	ডালে,	
kale,	কালে,	কালে,	
bonkey,	বোনকে,	বনকে,	
korle,	করলে,	করলে,	
airesey,	আইরাশে,	আইরেসে,	
bishesyo,	বিশেষ্য,	বিশেষ্য,	
dephinesana,	ডেফিনেশন,	ডেফিনেশন,	
windows,	উইন্ডোজ,	উইন্ডোস,	
aajij,	আজিজ,	আজিজ,	
ekbakke,	একবাককে,	একবাক্যে,	
karecho,	করেছ,	করেছ,	
daawn,	ডাউন,	ডাউন,	
ovidhanik,	অভিধানিক,	অভিধানিক,	
adhunik,	অধুনিক,	আধুনিক,	
shaaroker,	সারকের,	স্মারকের,	
karpeter,	কর্পেতের,	কার্পেটের,	
idipasa,	এডিপস,	ইডিপাস,	
cilahaati,	চিলাহাতি,	চিলাহাটি,	
chaalabi,	চালাবি,	চালাবে,	
paner,	পানের,	পনের,	
neptuner,	নেপ্টুনের,	নেপচুনের,	
melbourner,	মেলবূর্নের,	মেলবোর্নের,	
jeebonto,	জীবন্ত,	জীবন্ত,	
swalpa,	স্বল্প,	স্বল্প,	
iukyaliptasha,	ইউক্যালিপটাস,	ইউক্যালিপ্টাস,	
khagen,	খাগেন,	খগেন,	
oparogota,	অপরগত,	অপারগতা,	
odhit,	অধিত,	অধীত,	
dreeshtiheen,	দৃষ্ঠিহীন,	দৃষ্টিহীন,	
phutanta,	ফুটন্ট,	ফুটন্ত,	
mugdal,	মুগদল,	মুগডাল,	
varpur,	ভারপুর,	ভরপুর,	
itastato,	ইতস্টট,	ইতস্ততঃ,	
sangkulan,	সংকুলন,	সংকুলান,	
upacharjo,	উপচর্য,	উপাচার্য,	
qarima,	করিম,	করিম,	
parbotto,	পর্বত্ত,	পার্বত্য,	
risorte,	রিসোর্টে,	রিসোর্টে,	
calabe,	চালাবে,	চালাবে,	
raagee,	রাগি,	রাগী,	
obolokon,	অবলোকন,	অবলোকন,	
oodoore,	উদূরে,	অদুরে,	
karmake,	কর্মকে,	কর্মকে,	
argho,	অর্ঘ,	অর্ঘ্য,	
shahoshikatar,	সহসিকতার,	সাহসিকতার,	
olympik,	অলিম্পিক,	অলিম্পিক,	
lompot,	লম্পট,	লম্পট,	
monzhoshtho,	মন্যস্থ,	মঞ্চস্থ,	
sachetonvabe,	সচেতনাভাবে,	সচেতনভাবে,	
licenshing,	লিসেন্সিং,	লাইসেন্সিং,	
bissashii,	বিশ্বাসী,	বিশ্বাসী,	
benke,	বেঁকে,	বেঁকে,	
satarkobhabe,	সাতরকাভাবে,	সতর্কভাবে,	
korkotkrantee,	কর্তক্রান্তি,	কর্কটক্রান্তি,	
eebhiem,	এভিম,	ইভিএম,	
bbosontoke,	বসন্তকে,	বসন্তকে,	
zuktorastroshoho,	যুক্তরাস্ট্রসহ,	যুক্তরাষ্ট্রসহ,	
ahalya,	আহল্য,	অহল্যা,	
durgandha,	দুর্গান্ধ,	দুর্গন্ধ,	
aarekdal,	আরেকদল,	আরেকদল,	
oncholti,	অঞ্চলটি,	অঞ্চলটি,	
licenser,	লাইসেন্সের,	লাইসেন্সের,	
birishiritey,	বিরিশিরিতে,	বিরিশিরিতে,	
beeseshyer,	বিশেষের,	বিশেষ্যের,	
provritite,	প্রভূতিতে,	প্রভৃতিতে,	
bhangchoor,	ভাঙচুর,	ভাংচুর,	
zoneete,	যোনিতে,	যোনীতে,	
shanstha,	সংস্থ,	সংস্থা,	
durvaggo,	দুর্ভাগ্য,	দূর্ভাগ্য,	
parisankhanvid,	পরিসংখ্যাবিদ,	পরিসংখ্যানবিদ,	
bbosben,	বসবেন,	বসবেন,	
sangharshik,	সংঘর্ষিক,	সাংঘর্ষিক,	
panera,	পনেরা,	পনের,	
siima,	সীম,	সীমা,	
aamontrito,	আমন্তৃত,	আমন্ত্রিত,	
conseervation,	কনসারভেশন,	কনসারভেশন,	
choudhooreeder,	চৌধুরিদের,	চৌধুরীদের,	
bharatey,	ভারতে,	ভারতে,	
vabnake,	ভব্নাকে,	ভাবনাকে,	
bosoben,	বসবেন,	বসবেন,	
bamonder,	বামন্ডের,	বামনদের,	
phormat,	ফরমেট,	ফরম্যাট,	
noitikbhabe,	নৈতিকভাবে,	নৈতিকভাবে,	
manushe,	মানুসে,	মানুষে,	
digrio,	ডিগ্রীও,	ডিগ্রিও,	
tep,	টাইপ,	ট্যাপ,	
degree,	ডিগ্রী,	ডিগ্রি,	
dorgaaho,	দরগাহ,	দরগাহ,	
direktareta,	ডিরেক্টরেট,	ডিরেক্টরেট,	
gabhaskaar,	গভাসকার,	গাভাস্কার,	
shasonkarta,	শাসনকর্তা,	শাসনকর্তা,	
teemur,	তিমুর,	তিমুর,	
heenna,	হেন্না,	হেনা,	
hiranee,	হিরণি,	হিরানি,	
ramantik,	রামান্তিক,	রোমান্টিক,	
abhidhaaneek,	আভিধানিক,	অভিধানিক,	
koordira,	কুরদিরা,	কুর্দিরা,	
jatotaa,	যতটা,	যতোটা,	
danabder,	দানবদের,	দানবদের,	
cinematographer,	সিনেমাগ্রামের,	সিনেমাটোগ্রাফার,	
artherer,	অর্থারের,	আর্থারের,	
sulfete,	সালফাটে,	সালফেট,	
baharampurer,	বাহারামুরের,	বহরমপুরের,	
reefleex,	রাইফেলকস,	রিফ্লেক্স,	
lagchhe,	লাগছে,	লাগছে,	
roopdan,	রূপদান,	রুপদান,	
bunot,	বুনত,	বুনট,	
dacop,	ডাকোপ,	দাকোপ,	
aipiela,	আইপেল,	আইপিএল,	
nirbachakder,	নির্বাচকদের,	নির্বাচকদের,	
protista,	প্রতিষ্ট,	প্রতিষ্টা,	
roopa,	রূপা,	রুপা,	
sheema,	সেম,	সীমা,	
rajan,	রজন,	রাজন,	
sothikota,	সথিকতা,	সঠিকতা,	
krechi,	ক্রেচি,	করেছি,	
timathy,	তিমথি,	টিমোথি,	
letterey,	ল্যাটেরা,	লেটারে,	
jyakasana,	জ্যাকসন,	জ্যাকসন,	
seekkhokke,	শিক্ষককে,	শিক্ষককে,	
alexandarkey,	আলেক্ষান্রাকে,	আলেকজান্ডারকে,	
bhabaaponno,	ভবাপন্ন,	ভাবাপন্ন,	
jonsha,	জনসা,	জোন্স,	
dibya,	দিব,	দিব্যা,	
goteerodh,	গতিরোধ,	গতিরোধ,	
shangkaloner,	সংকলনের,	সংকলনের,	
nirmankaz,	নির্মাণকা,	নির্মাণকাজ,	
juktorastre,	যুক্তরাস্ট্রে,	যুক্তরাষ্ট্রে,	
chaudhurir,	চৌধুরির,	চৌধুরীর,	
ekroop,	একরুপ,	একরূপ,	
udbhabone,	উদ্ভাবনে,	উদ্ভাবনে,	
mooldoova,	মললদভা,	মলদোভা,	
conan,	কোনান,	কোনান,	
tuni,	তুনী,	টুনি,	
sthaponagulo,	স্থাপননগুলো,	স্থাপনাগুলো,	
turista,	টুরিস্ট,	টুরিস্ট,	
park,	পার্ক,	পার্ক,	
phokshkon,	ফক্সকন,	ফক্সকন,	
bhugol,	ভুগল,	ভূগোল,	
joonsa,	জুনসা,	জোন্স,	
fulkapi,	ফুলকাপি,	ফুলকপি,	
sakara,	সাকারা,	সাকার,	
temonbhabe,	তেমনভাবে,	তেমনভাবে,	
towraat,	ত্ররাত,	তওরাত,	
carzer,	কার্জের,	চার্জের,	
aairese,	আইরিশে,	আইরেসে,	
skoora,	স্কোর,	স্কোর,	
sqirt,	স্কার্ট,	স্কার্ট,	
roktokkhon,	রক্তক্ষণ,	রক্তক্ষরণের,	
hajareebag,	হাজীরাব,	হাজারিবাগ,	
turbine,	টারবাইন,	টারবাইন,	
gronthotyke,	গ্রন্থিতকে,	গ্রন্থটিকে,	
sealvi,	সিলভি,	সিলভি,	
sectore,	সেক্টর,	সেক্টরে,	
shaarther,	সার্থের,	স্বার্থের,	
nodnadir,	নন্দদীর,	নদনদীর,	
ovizojon,	অভিযোজন,	অভিযোজন,	
pack,	প্যাক,	প্ল্যাক,	
woter,	ওোটের,	ভোটার,	
bafal,	বাফল,	বিফল,	
duburyra,	দুবুরীরা,	ডুবুরিরা,	
ispredsit,	ইসপ্রেডসিট,	স্প্রেডশীট,	
phareksa,	ফোরেক্স,	ফরেক্স,	
rites,	রাইট,	রিতেশ,	
sheekarer,	শিকারের,	শিকারের,	
bhyaatikaner,	ভ্যাতিকানের,	ভ্যাটিকানের,	
diznii,	ডিজনি,	ডিজনী,	
taateo,	টাটেও,	তাতেও,	
rokshonbhag,	রক্ষণভাগ,	রক্ষণভাগ,	
jerushalem,	জেরুসালেম,	জেরুসালেম,	
graambaseer,	গ্রাম্বাসীর,	গ্রামবাসীর,	
disni,	ডিজনি,	ডিজনী,	
mitro,	মিত্রো,	মিত্রও,	
songosthatike,	সংস্থাতিকে,	সংস্থাটিকে,	
goonoman,	গুণমান,	গুণমান,	
saptahokal,	সপ্তাহকাল,	সপ্তাহকাল,	
thakeni,	থাকেনি,	থাকেনি,	
domone,	দমনে,	দমনে,	
gaaddafee,	গাড্ডাফি,	গাদ্দাফী,	
prodiiper,	প্রদীপীর,	প্রদীপের,	
graambaasee,	গ্রাম্বাসী,	গ্রামবাসী,	
soundarjyo,	সৌন্দর্য্য,	সৌর্ন্দয্য,	
laj,	লজ,	লাজ,	
lyaandeeng,	ল্যান্ডিং,	ল্যান্ডিং,	
shotodha,	শতধ,	শতধা,	
arunima,	অরুণিমা,	অরুণিমা,	
seater,	সীটের,	সিটের,	
firojer,	ফিরজের,	ফিরোজের,	
antarctika,	অন্টর্টিক,	অ্যান্টার্কটিকা,	
dey,	দে,	ডে,	
pest,	পেস্ট,	পেষ্ট,	
transphorm,	ট্রান্সফার্ম,	ট্রান্সফর্ম,	
khambaa,	খাম্ব,	খাম্বা,	
militarir,	মিলিটারীর,	মিলিটারির,	
shuperhero,	সুপারহেরও,	সুপারহিরো,	
meetropolitan,	মেট্রোপলিটান,	মেট্রোপলিটন,	
booroon,	বুরুন,	বোরন,	
asamanjashapurna,	অসমানসমূর্ণ,	অসামঞ্জস্যপূর্ণ,	
haridware,	হরিদরারে,	হরিদ্বারে,	
longghoner,	লঙ্ঘনের,	লংঘনের,	
gemske,	গেমসকে,	জেমসকে,	
amantrita,	অমন্তৃত,	আমন্ত্রিত,	
conphlict,	কনফ্লিক্ট,	কনফ্লিক্ট,	
dimbakriti,	ডিম্বাকৃতি,	ডিম্বাকৃতি,	
lishenshe,	লিসেন্স,	লাইসেন্স,	
asovarno,	অসবর্ন,	অসবর্ণ,	
paramartha,	পরামার্থ,	পরমার্থ,	
lyand,	ল্যান্ড,	ল্যান্ড,	
bojhey,	বোঝে,	বোঝে,	
koilash,	কৈলাশ,	কৈলাস,	
prodeeper,	প্রদীপের,	প্রদীপের,	
muhurtati,	মুহুরটি,	মুহুর্তটি,	
muhit,	মুহিত,	মুহিত,	
udvaboni,	উদ্ভাবনী,	উদ্ভাবনী,	
ovishangson,	অভিষাসন,	অভিশংসন,	
fanda,	ফন্ড,	ফান্ড,	
gasthii,	গাষ্ঠী,	গোষ্ঠীই,	
ghumata,	ঘুমাটা,	ঘুমাতো,	
jatinkey,	জটিনকে,	যতীনকে,	
udbhabaney,	উদ্ভাবনে,	উদ্ভাবনে,	
bolechi,	বলেছি,	বলেছি,	
chaalkee,	চালকী,	চালকে,	
jokrito,	যকৃত,	যকৃৎ,	
madhobeer,	মাধবীর,	মাধবীর,	
procharonamulok,	প্রচারনামূলক,	প্রচারণামূলক,	
deputi,	দেপুটি,	ডেপুটি,	
shombhobonao,	সম্ভবনাও,	সম্ভবনাও,	
obiyi,	অবিই,	ওবিই,	
vishnuu,	ভিষ্ণু,	বিষ্ণু,	
zonsa,	জনসা,	জোন্স,	
janosangyog,	জনসঙ্গ,	জনসংযোগ,	
hoila,	হইল,	হইল,	
prodiper,	প্রদীপের,	প্রদীপের,	
unit,	উউনিত,	ইউনিট,	
phaksa,	ফক্স,	ফক্স,	
mukherjee,	মুখার্জি,	মুখার্জী,	
songbadmadhyame,	সংবাদধম্যে,	সংবাদমাধ্যমে,	
chitronatyokar,	চিত্রনাট্যকার,	চিত্রনাট্যকার,	
gatrey,	গাত্রে,	গাত্রে,	
milton,	মিল্টন,	মিলটন,	
granthe,	গ্রন্থে,	গ্রন্থে,	
definition,	ডেফিনিশন,	ডেফিনেশন,	
sahochorjo,	সহচর্য,	সাহচর্য,	
