dibeta,	দিবিতা,	ডিবেট,	
dharai,	ধারই,	ধারাই,	
bosontoke,	বসন্তকে,	বসন্তকে,	
sajano,	সাজান,	সাজানো,	
randeep,	রান্ডিপ,	রণদীপ,	
reno,	রেনো,	রেনো,	
advoot,	আদ্বুত,	অদ্ভুত,	
shikkharrthirao,	শিক্ষার্থীর,	শিক্ষার্থীরাও,	
heebhi,	হিভি,	হেভি,	
aakkash,	আক্ষাস,	আককাস,	
tofaat,	তফাট,	তফাৎ,	
tafsher,	তাফসের,	তাফসীর,	
sohopatheekey,	সহপাথিকে,	সহপাঠীকে,	
pactar,	প্যাক্টার,	পাঁচটার,	
gronthatike,	গ্রন্থাতিকে,	গ্রন্থটিকে,	
pretishta,	প্রেতিষ্টা,	প্রতিষ্টা,	
growth,	গ্রফ,	গ্রোথ,	
seniar,	সেনিয়ার,	সিনিয়র,	
antarctika,	অন্তর্কিক,	অ্যান্টার্কটিকা,	
makhmale,	মাখমালে,	মখমলে,	
deeputy,	দিপুতি,	ডেপুটি,	
nothivuktir,	নথিভূক্তির,	নথিভুক্তির,	
rinatmak,	ঋণাত্মক,	ঋনাত্মক,	
parpel,	পার্পেল,	পার্পেল,	
asbar,	আসবার,	আসবার,	
shiropa,	শিরপা,	শিরোপা,	
bhangchoor,	ভাঙচুর,	ভাংচুর,	
pudding,	পুদিং,	পুডিং,	
aakabaar,	আকাবার,	আকাবার,	
dola,	ডোলা,	দলা,	
nagorikera,	নগরীকেরা,	নাগরিকেরা,	
bondikey,	বন্দিকে,	বন্দীকে,	
taalgaachh,	তালগাচ,	তালগাছ,	
fatakesto,	ফটোকেস্ট,	ফাটাকেষ্ট,	
sita,	সীতা,	সিট,	
ghatity,	ঘটিতি,	ঘাঁটিটি,	
uddhritto,	উদ্ধৃত্ত,	উদ্ধৃত,	
roshider,	রসীদের,	রশিদের,	
biswashi,	বিশ্বাসী,	বিশ্বাসই,	
vangchur,	ভাঙচুর,	ভাংচুর,	
uddhrita,	উদ্ধৃত,	উদ্ধৃত,	
aashok,	আশোক,	আশোক,	
nevate,	নেভাতে,	নেভাতে,	
upobasi,	উপবাসী,	উপবাসী,	
karmokarer,	কর্মকারের,	কর্মকারের,	
timothi,	তিমথি,	টিমোথি,	
hurricanee,	হারিকেন,	হ্যারিকেন,	
amantrita,	আমন্ত্রিতা,	আমন্ত্রিত,	
majhari,	মাঝারি,	মাঝারী,	
daaoon,	ডাউন,	ডাউন,	
upobashee,	উপবাসী,	উপবাসী,	
daktikiter,	ডাক্তিকিতের,	ডাকটিকিটের,	
samashtike,	সমস্তিকে,	সমষ্টিকে,	
daaktikite,	ডাকতিিতিকে,	ডাকটিকিটে,	
sheramiksh,	সেরামিক্স,	সিরামিকস,	
benish,	বেনিস,	ভেনিস,	
aamoode,	আমুদে,	আমুদে,	
notti,	নটটি,	নোটটি,	
parkasha,	পার্কস,	পার্কস,	
mosharrof,	মোশাররফ,	মশাররফ,	
ikbaler,	ইকবলের,	ইকবালের,	
euror,	ইউরর,	ইউরোর,	
sasharire,	সারারীরে,	সশরীরে,	
naarsari,	নার্সারী,	নার্সারি,	
rob,	রব,	রব,	
nagorikderkey,	নাগরিকদ্ককে,	নাগরিকদেরকে,	
sikara,	সিকারা,	শিকার,	
jaatte,	জাততে,	জাতটি,	
noteti,	নোটি,	নোটটি,	
rajoshri,	রাজস্রী,	রাজশ্রী,	
potchitrer,	পথিচির্রের,	পটচিত্রের,	
kormokarer,	কর্মকারের,	কর্মকারের,	
catholic,	কাযালককিল,	ক্যাথলিক,	
alympic,	অ্যালপিক,	অলিম্পিক,	
homeske,	হোমেস্কে,	হোমসকে,	
somosto,	সমস্ত্,	সমস্ত,	
sahocorrze,	সহলরক্রে,	সাহচর্যে,	
bikargrosto,	বিকারগ্রেস্ত,	বিকারগ্রস্ত,	
damodar,	দামদদার,	দামদর,	
carpeter,	কারপপের,	কার্পেটের,	
jeebonnogor,	জীবনগোগর,	জীবননগর,	
korkotkranti,	কর্ককারান্তি,	কর্কটক্রান্তি,	
postke,	পোস্তে,	পোস্টকে,	
pratiyogitamulak,	প্রতিযোগিতামূলক,	প্রতিযোগীতামূলক,	
maarmaader,	মারমাদের,	মারমাদের,	
chiroharit,	চিরারিত,	চিরহরিৎ,	
seo,	সিও,	সেও,	
mukhbondho,	মুখবন্ধ,	মুখবন্ধ,	
zilyanda,	জিল্যান্ড,	জিল্যান্ড,	
ashonkai,	অসঙ্কাই,	আশঙ্কাই,	
prothati,	প্রথাটি,	প্রথাটি,	
abosore,	অবশরে,	অবসরে,	
aansaareer,	আনসারির,	আনসারীর,	
promoshone,	প্রমোশনে,	প্রোমোশনে,	
drissogoolote,	দৃশ্যগগুলোতে,	দৃশ্যগুলোতে,	
grambashee,	গ্রামসাসী,	গ্রামবাসী,	
rejidens,	রেজিডেন্স,	রেসিডেন্স,	
itostato,	ইতস্তা,	ইতস্ততঃ,	
volte,	ভোল্টে,	ভল্ট,	
orbeet,	অর্বিট,	অরবিট,	
roktokhoron,	রক্তকরণ,	রক্তক্ষরণের,	
saamaanya,	সামান্য,	সামান্য,	
shaahoshikataar,	সাহিকিকাতার,	সাহসিকতার,	
jonee,	জোনি,	জনি,	
kompito,	কম্পিউ,	কম্পিত,	
ias,	এয়স,	আইএএস,	
songasthatir,	সংস্থাটির,	সংস্থাটির,	
karmasampadan,	কর্মসাসমদন,	কর্মসম্পাদন,	
armeeniyana,	আরমেনিয়ান,	আর্মেনিয়ান,	
vooter,	ভূটের,	ভোটার,	
chalochchitrotike,	চলচ্চিত্রকিতে,	চলচ্চিত্রটিকে,	
kuntee,	কুনটি,	কুন্তী,	
ruvbla,	রাবল,	রুবল,	
tikka,	টিক্া,	টিক্কা,	
alonkaran,	অলংকরণ,	অলঙ্করণ,	
jocqey,	জকি,	জকি,	
armshtronj,	আরমস্ট্রঞ্জ,	আর্মস্ট্রং,	
maadhoori,	মাধুরি,	মাধুরী,	
nebhatey,	নেভাতে,	নেভাতে,	
jaistho,	জৈষ্ঠ্য,	জ্যৈষ্ঠ,	
chyeta,	চ্যেতা,	চ্যাট,	
anti,	অন্তি,	আন্টি,	
soranor,	সরানোর,	সরানোর,	
jaanalo,	জানালো,	জানালো,	
manobmoner,	মানবননের,	মানবমনের,	
pleena,	প্লেন,	প্লেন,	
sikhra,	শিখরা,	শিখরা,	
lainde,	লাইন্ডে,	ল্যান্ডে,	
weenis,	ভেনিস,	ভেনিস,	
ashshociatesh,	অ্যাসোসিযােস,	এসোসিয়েটস,	
emiretus,	এমেরিটাস,	এমিরেটাস,	
note,	নোটে,	নোটে,	
teksuser,	টেকসস্সের,	টেক্সাসের,	
kale,	কালে,	কালে,	
baasaake,	বাসাকে,	বাসাকে,	
sachetanotamulak,	সচেতনাতুমাল,	সচেতনতামূলক,	
jhijhi,	ঝিঝ,	ঝিঝি,	
danab,	দানাব,	দানব,	
soteciety,	স্যেচিসি,	সোসাইটিতে,	
jamjomat,	জামজাম,	জমজমাট,	
batikromshalee,	বাতিক্রমকালী,	ব্যতিক্রমধর্মী,	
shikare,	শিকারে,	শিকারে,	
mangalik,	মাঙ্গালিক,	মাঙ্গলিক,	
rahi,	রাহি,	রাহী,	
prime,	প্রাইম,	প্রাইম,	
nathibhukto,	নথিভূক্ত,	নথিভুক্ত,	
inphormation,	ইনফর্মেশন,	ইনফরমেশন,	
janate,	জাতে,	জানাতে,	
falasrutite,	ফ্যালারুটিতে,	ফলশ্রুতিতে,	
hattey,	হাতে,	হাঁটতে,	
informeshon,	ইনফর্মেশন,	ইনফরমেশন,	
bandhubhabaponno,	বন্ধভাবনন্মা,	বন্ধুভাবাপন্ন,	
bishwashi,	বিশ্বাসী,	বিশ্বাসী,	
laishenshe,	লেসিেনস,	লাইসেন্স,	
laaisensh,	লাইসেস্স,	লাইসেন্স,	
dazjo,	দাজ্,	দাহ্য,	
akhando,	আখন্দ,	অখন্ড,	
durgatir,	দুর্গতির,	দুর্গটির,	
shikh,	শিখ,	শিখ,	
shikha,	শিখা,	শিখ,	
pretti,	প্রেত্টি,	প্রিটি,	
paikgacha,	পৈকগাছ,	পাইকগাছা,	
pooshtir,	পুস্টির,	পুষ্টির,	
nodiike,	নোদিকে,	নদীকে,	
sonali,	সোনালি,	সোনালী,	
jokrit,	যকৃত,	যকৃৎ,	
praapoker,	প্রাপককের,	প্রাপকের,	
oncholti,	অঞ্চলটি,	অঞ্চলটি,	
kaaferderke,	কাফেরদেরকে,	কাফেরদেরকে,	
hukar,	হুকার,	হুকার,	
abosane,	অবসানে,	অবসানে,	
santa,	সান্টা,	সান্তা,	
feroz,	ফেরজ,	ফিরোজ,	
bamoni,	বামনী,	বামনী,	
skara,	স্কার,	স্কোর,	
cholochchitratike,	চলচ্চিত্রাকিতে,	চলচ্চিত্রটিকে,	
koontee,	কোনটি,	কুন্তী,	
marry,	মেরি,	ম্যারি,	
thimke,	ঠিমমে,	থিমকে,	
kushomva,	কুশম্ভ,	কুশুম্বা,	
superheiroo,	সুপারহরি,	সুপারহিরো,	
hepara,	হেপার,	হাইপার,	
townshhip,	টাউশ্পিপ,	টাউনশিপ,	
ashiatic,	অ্যাসেটিক,	এশিয়াটিক,	
ukeliptas,	উউকেল্পাপ্ট,	ইউক্যালিপ্টাস,	
letter,	লেটটের,	লেটার,	
imirgincy,	এমিরিজিন্ডি,	এমার্জেন্সি,	
licencedhari,	লিসেন্চাজির,	লাইসেন্সধারী,	
habsi,	হাসসী,	হাবশী,	
sanaktokaraner,	সনাক্তকরণের,	সনাক্তকরণের,	
khelafatey,	খেলাফেতে,	খেলাফতে,	
zzonite,	জোনিতে,	যোনীতে,	
salsa,	সালস,	সালসা,	
caramiks,	কারামিক্স,	সিরামিকস,	
booroon,	বরুন,	বোরন,	
hood,	হুদ,	হুড,	
firojer,	ফিরজজের,	ফিরোজের,	
rubol,	রুবল,	রুবল,	
homasa,	হোমসা,	হোমস,	
graambasider,	গ্রামসাসিদের,	গ্রামবাসীদের,	
shorif,	শরীফ,	শরিফ,	
gosti,	গ্্সি,	গোষ্ঠী,	
gotirodh,	গতিরোধ,	গতিরোধ,	
keuoi,	কিউই,	কেউই,	
beeswasee,	বিশ্বাসী,	বিশ্বাসে,	
aksathei,	অকসাথেই,	একসাথেই,	
chalochchitreeo,	চলচিত্রেরও,	চলচ্চিত্রেও,	
ongkush,	অংকুশ,	অংকুশ,	
byaboshtha,	ব্যবস্থা,	ব্যাবস্থা,	
pushtee,	পুস্টি,	পুষ্টি,	
boneo,	বনেও,	বনেও,	
myat,	ম্যাট,	ম্যাট,	
jahra,	জাহরা,	যাহরা,	
joubankale,	যৌবনকালে,	যৌবনকাল,	
pingna,	পিঙ্গন,	পিংনা,	
elakatikey,	এলাকাটিকে,	এলাকাটিকে,	
qrisenta,	ক্রিস্টেন্ট,	ক্রিসেন্ট,	
onkita,	অংকিত,	অঙ্কিতা,	
ivil,	এভিল,	ইভিল,	
pouchhute,	পৌঁছুতে,	পৌঁছুতে,	
kanshat,	কংস্ট,	কানসাট,	
jerusalemer,	জিরুজালেম,	জেরুজালেমের,	
oitijhyer,	ঐতিহ্যের,	ঐতিহ্যের,	
anektayi,	অনেকটিই,	অনেকটাই,	
adhyattik,	আধ্যাত্বিক,	আধ্যাত্মিক,	
charjer,	চার্জের,	চার্জার,	
kokhonoba,	কখনোবা,	কখনওবা,	
cheef,	চিফ,	শেফ,	
yauth,	ইউথ,	ইয়ুথ,	
engineerin,	ইঞ্জিনীরিন,	ইঞ্জিনিয়ারিং,	
graambasio,	গ্রাম্বোসীয়া,	গ্রামবাসীও,	
scholastic,	স্কলাটিস,	স্কলাস্টিক,	
songbadmadhyomer,	সংবাদমধম্যমের,	সংবাদমাধ্যমের,	
sammatitey,	সম্মাতিতে,	সম্মতিতে,	
ceramicer,	সেরামিকের,	সিরামিকের,	
rajballav,	রাজললবাল,	রাজবল্লভ,	
shikarey,	শিকারে,	শিকারে,	
atyacarito,	অত্যাচারিত,	অত্যাচারিত,	
daktikit,	ডাকতিকিত,	ডাকটিকিট,	
nagalyand,	নাগলয্লান্ড,	নাগাল্যান্ড,	
shilver,	শিলভার,	সিলভার,	
poscater,	পোস্চাটের,	পশ্চাতের,	
samanwitabhabey,	সমান্ভিতভাবে,	সমন্বিতভাবে,	
deputy,	ডিপু্তি,	ডেপুটি,	
scoore,	স্কোর,	স্কোর,	
natniike,	নাটনীকে,	নাতনীকে,	
udvabane,	উদ্ভাবনে,	উদ্ভাবনে,	
chowdhuryder,	চৌরুদিদের,	চৌধুরীদের,	
bazaareo,	বাজারেও,	বাজারেও,	
jarusalema,	জরুজালেমা,	জেরুসালেম,	
filipiner,	ফিলিপিনোর,	ফিলিপাইনের,	
bheenama,	ভীনামা,	ভেনম,	
ekoirokom,	একরিকো,	একইরকম,	
bhandaare,	ভান্ডারে,	ভাণ্ডারে,	
ispredsit,	এস্পেরসসিট,	স্প্রেডশীট,	
mukhomondoler,	মুখমন্ডলের,	মুখমণ্ডলের,	
par,	পার,	পাব,	
spreadsiit,	স্প্রেসসি,	স্প্রেডশীট,	
phemale,	ফেমলে,	ফিমেল,	
samudrotate,	সমুদ্রতে,	সমুদ্রতটে,	
rajtontrokey,	রাজনতত্ত্রে,	রাজতন্ত্রকে,	
categoryer,	ক্যাটেগরির,	ক্যাটাগরির,	
eemeergeency,	এমেরিজেন্সি,	এমার্জেন্সি,	
kamiz,	কমিজ,	কামিজ,	
omanisa,	অমানিসা,	অমানিশা,	
partha,	পার্থ,	পার্থ,	
anchalkey,	অঞ্চলকে,	অঞ্চলকে,	
patjata,	পাতজতা,	পাটজাত,	
makhmoley,	মাখমলে,	মখমলে,	
akhaate,	আখাতে,	একহাতে,	
chitranatyakar,	চিত্রনাত্যকা,	চিত্রনাট্যকার,	
mukkho,	মুক্ষ,	মুখ্য,	
ruteen,	রুটিন,	রুটিন,	
janosonjog,	জনসংযো,	জনসংযোগ,	
phising,	ফিসিং,	ফিসিং,	
taorat,	তারাট,	তওরাত,	
yaaq,	যয়,	ইয়াক,	
ahalyar,	অহলার,	অহল্যার,	
mangolik,	মাঙ্গলিক,	মাঙ্গলিক,	
asaciates,	অ্যাসোসিয়েট,	এসোসিয়েটস,	
teuning,	টিউনিং,	টিউনিং,	
vobtarini,	ভোবটারিনি,	ভবতারিণী,	
hertz,	হার্ট,	হার্জ,	
sanyal,	সন্যাল,	সান্যাল,	
neptuner,	নেপ্তুনের,	নেপচুনের,	
gunje,	গাঞে,	গুঁজে,	
sampadonkari,	সম্পাদকারকা,	সম্পাদনকারী,	
sudha,	সুধ,	সুধা,	
weelcomee,	ভয়লকম,	ওয়েলকাম,	
ponchasjon,	পঞ্চাশন,	পঞ্চাশজন,	
gostii,	গোস্টি,	গোষ্ঠীই,	
nortokike,	নর্তককী,	নর্তকীকে,	
bhabnar,	ভাননার,	ভাবনার,	
bhaibonder,	ভবনবনদের,	ভাইবোনদের,	
apadan,	আপদান,	অপাদান,	
sachetonbhabe,	সােতাতভাবে,	সচেতনভাবে,	
udbodhonee,	উদ্বোধনী,	উদ্বোধনী,	
mosjidkey,	মস্দিদকে,	মসজিদকে,	
tecno,	টেকনো,	টেকনো,	
shcholashtic,	স্কলাটিস,	স্কলাস্টিক,	
eenjeel,	এঞ্জেল,	ইঞ্জিল,	
udbhabani,	উদ্ভাবনী,	উদ্ভাবনী,	
daaktikit,	ডাক্তিকিত,	ডাকটিকিট,	
saoum,	সাম,	সাওম,	
ekjoge,	একগো,	একযোগে,	
shaajaano,	সাজান,	সাজানো,	
laaiseens,	লাইসেস্স,	লাইসেন্স,	
chuti,	চুটি,	ছুটি,	
grambaashio,	গ্রামবাসিও,	গ্রামবাসীও,	
gonosochetonota,	গনসোচাছনত,	গণসচেতনতা,	
granthoti,	গ্রন্থটি,	গ্রন্থটি,	
keyboard,	কেবোর্ড,	কীবোর্ড,	
ashor,	আসর,	আসর,	
difinishian,	ডিফিশিয়ান,	ডেফিনেশন,	
kar,	কার,	কর,	
nagarikra,	নগরীকরা,	নাগরিকরা,	
manzurul,	মঞ্জুরুল,	মনজুরুল,	
goteebege,	গতিবেগে,	গতিবেগে,	
pujita,	পুজিত,	পূজিতা,	
aziz,	অ্যাজিজ,	আজিজ,	
chatrorai,	ছাত্ররাই,	ছাত্ররাই,	
eute,	ইউট,	ইইউতে,	
wenom,	ভানোম,	ভেনম,	
paikar,	পাইকার,	পাইকার,	
heart,	হার্ট,	হার্ট,	
ujobekeestaner,	উজবেক্ষ্তানের,	উজবেকিস্তানের,	
cilahati,	চিলাহটি,	চিলাহাটি,	
mohibur,	মহীবুর,	মহিবুর,	
ahong,	অহং,	অহং,	
neutrinoo,	নিউট্রিন,	নিউট্রিনো,	
valobasen,	ভালবাসেন,	ভালোবাসেন,	
arena,	আরেন,	এরিনা,	
ganoporibohon,	গণপরিবহন,	গণপরিবহন,	
ajimpoor,	অজিমপুর,	আজিমপুর,	
sabchey,	সবচে,	সবচে,	
moshleh,	মোসলেহ,	মোসলেহ,	
matt,	ম্যাট,	ম্যাট,	
dozo,	দজ,	ডোজো,	
natians,	নেযান্যান্স,	নেশনস,	
dakteekiter,	ডাক্তিটিকের,	ডাকটিকিটের,	
saazano,	সাজান,	সাজানো,	
akib,	একিব,	আকিব,	
onchalti,	অঞ্চলটি,	অঞ্চলটি,	
pyaleshtaine,	প্যালেস্টাইন,	প্যালেস্টাইনে,	
ghur,	ঘুর,	ঘুর,	
karmopantha,	কর্মপন্থ,	কর্মপন্থা,	
oshamanno,	অসমানন্ন,	অসামান্য,	
chorbon,	চর্বন,	চর্বন,	
schalarship,	স্কলারশিপ,	স্কলারশিপ,	
koode,	কোদে,	কোড,	
sambhabanaow,	সম্ভানও,	সম্ভবনাও,	
monmotho,	মন্মথত,	মন্মথ,	
potocheetrer,	পতিচিত্রের,	পটচিত্রের,	
foxkon,	ফক্কন,	ফক্সকন,	
epiela,	এপিল,	আইপিএল,	
laiseensee,	লেসিস্স,	লাইসেন্স,	
mmesenjarer,	মেসিজ্ঞারের,	মেসেঞ্জারের,	
sothik,	সথীক,	সঠিক,	
mozart,	মজার্ট,	মোজার্ট,	
bishaashke,	বিশ্বাসকে,	বিশ্বাসকে,	
saarbharer,	সার্ভরের,	সার্ভারের,	
alangkoron,	অলংকরণ,	অলঙ্করণ,	
wodka,	ভদ্কা,	ভদকা,	
rakhtokkharone,	রক্তকাক্ররে,	রক্তক্ষরণে,	
hola,	হলা,	হোল,	
asaborno,	অসবর্ন,	অসবর্ণ,	
nironjon,	নিরজনজন,	নিরঞ্জন,	
samashti,	সমাস্তি,	সমষ্টি,	
partho,	পার্থ,	পার্থ,	
chakti,	চাকটি,	চাকতি,	
gandhariir,	গান্ধারীর,	গান্ধারীর,	
soras,	সরাস,	সরস,	
rajtantrey,	রাজনান্ত্রে,	রাজতন্ত্রে,	
bosonto,	বসন্ত,	বসন্ত,	
sarsa,	সর্স,	সোর্স,	
ralof,	রালফ,	রালফ,	
koyari,	কোয়েরি,	কোয়েরি,	
nartan,	নর্তন,	নর্টন,	
nuton,	নতুন,	নূতন,	
amanisa,	অ্যামিনিস,	অমানিশা,	
oholla,	অহলা,	অহল্যা,	
chhilona,	ছিলন,	ছিলনা,	
michilti,	মিচিলটি,	মিছিলটি,	
phund,	ফাউন্ড,	ফান্ড,	
soundorjyo,	সৌন্দর্য্য,	সৌর্ন্দয্য,	
puncho,	পুঁছ,	পুঞ্চ,	
rajatwa,	রাজত্ব,	রাজত্ব,	
thailandsoho,	থালন্দসহ,	থাইল্যান্ডসহ,	
ssahocorzo,	সাহকর্য,	সাহচর্য,	
megher,	মেঘের,	মেঘের,	
bunot,	বুনো,	বুনট,	
oncholshomuh,	অঞ্চলসমূহ,	অঞ্চলসমূহ,	
shadena,	সাদেনা,	সাডেন,	
phokshkon,	ফক্কন,	ফক্সকন,	
bronze,	ব্রঞ্জে,	ব্রোঞ্জ,	
bosturyi,	বস্তুরি,	বস্তুরই,	
shotokeo,	শতকেও,	শতকেও,	
jonoshomaj,	জনসমম,	জনসমাজ,	
tolemy,	টোলেমি,	টলেমির,	
dumaa,	ডুমা,	দুমা,	
khamba,	খাম্বা,	খাম্বা,	
servere,	সারভভারে,	সার্ভারে,	
abasarer,	অবসরের,	অবসরের,	
cholocchitrer,	চলচিত্রের,	চলচ্চিত্রের,	
ministerer,	মিনেস্টারের,	মিনিস্টারের,	
taoonship,	টাউন্সিপ,	টাউনশিপ,	
ganoporibahoner,	গণপরিবাননের,	গণপরিবহনের,	
lohaa,	লোহা,	লোহা,	
inapharamesana,	ইনফররেশন,	ইনফরমেশন,	
udor,	উদর,	উদর,	
heze,	হেজে,	হেজ,	
myathiou,	ম্যাথিউ,	ম্যাথিউ,	
daada,	ডাডা,	দাদা,	
bossontoke,	বসন্তকে,	বসন্তকে,	
shcholastiq,	স্কলাসিত,	স্কলাস্টিক,	
shapholler,	সাফল্যের,	সাফল্যের,	
jakkho,	যক্ষ্ম,	যক্ষ,	
cholchhee,	চলছি,	চলছে,	
bisnoo,	বিষ্ণু,	বিষ্ণু,	
capsul,	ক্যাপলুল,	ক্যাপসুল,	
latimer,	লাটিমের,	লাটিমের,	
harysher,	হ্যারিশের,	হ্যারিসের,	
bitloser,	বিটলসের,	বিটলসের,	
spashtatai,	স্পষ্তটাই,	স্পষ্টতই,	
neemitte,	নিমিতে,	নিমিত্তে,	
bosoben,	বসবেন,	বসবেন,	
punch,	পাঁচ,	পুঞ্চ,	
rajtantroke,	রাজনাতান্ত্রে,	রাজতন্ত্রকে,	
abheedhaaneec,	অভিধাধিন,	অভিধানিক,	
sikkharthirao,	শিক্ষার্থীর,	শিক্ষার্থীরাও,	
bikargrasta,	বিকারগ্রাস্ত,	বিকারগ্রস্ত,	
ishton,	ই্্টন,	স্টোন,	
jwarer,	জাবরের,	জ্বরের,	
naazee,	নাজি,	নাত্সি,	
palta,	পোল্টা,	পালটা,	
ghensha,	ঘেন্স,	ঘেঁষা,	
reejur,	রিজুর,	রিজুর,	
beshirbhaagi,	বেশিরভাগই,	বেশিরভাগই,	
kanaphlikta,	কানাফ্ক্ট,	কনফ্লিক্ট,	
okhhunno,	অক্ষুন্ন,	অক্ষুণ্ণ,	
amshtrong,	অমযাস্ট্রেং,	আর্মস্ট্রং,	
motabolombira,	মোটাবলম্যারা,	মতাবলম্বীরা,	
abhijojan,	অভিযোজন,	অভিযোজন,	
meetar,	মেটার,	মিত্র,	
jemi,	জেমি,	জেমি,	
elakasoho,	এলাকাশ,	এলাকাসহ,	
horeedware,	হরিদদের,	হরিদ্বারে,	
dharavahikbhabey,	ধারাভিভভাবে,	ধারাবাহিকভাবে,	
inapharameeshana,	ইনফররমশন,	ইনফরমেশন,	
jya,	জ্যা,	জ্যা,	
mandape,	মন্ডপে,	মন্ডপে,	
parqa,	পার্ক,	পার্ক,	
vushito,	ভূষিত,	ভূষিত,	
soource,	সার্স,	সোর্স,	
jeesh,	জিস,	জেস,	
khelaphate,	খেলাফেতে,	খেলাফতে,	
mukherji,	মুখার্জি,	মুখার্জী,	
aanish,	আনিষ,	আনিস,	
akramer,	আকরামের,	আকরামের,	
michiler,	মিচিলের,	মিছিলের,	
tikta,	টিকটা,	তিক্ত,	
wrighter,	ভারটের,	রাইটের,	
proshadhoner,	প্রসাধনের,	প্রসাধনের,	
shqolastic,	স্কলাসিট্ক,	স্কলাস্টিক,	
dormitori,	ডরমেটরি,	ডরমিটরি,	
ghursen,	ঘুরেসন,	ঘুরেছেন,	
thore,	ঠোর,	থরে,	
shuperhero,	সুপারহরে,	সুপারহিরো,	
breakthraugh,	ব্রেকফার,	ব্রেকথ্রু,	
chhuteete,	ছুটিতে,	ছুটিতে,	
inasiyinta,	ইনসাইন্ট,	এনসিয়েন্ট,	
chorban,	চর্বান,	চর্বন,	
scifi,	স্কিফি,	সাইফাই,	
khappor,	খা্পর,	খপ্পর,	
laesensh,	লেসিেস,	লাইসেন্স,	
mulvitti,	মুলভিত্তি,	মূলভিত্তি,	
bongram,	বংগ্রাম,	বনগ্রাম,	
clintoner,	ক্লিন্টেনের,	ক্লিনটনের,	
chal,	চল,	চাল,	
addhattikota,	আধ্যাত্তিকতা,	আধ্যাত্মিকতা,	
cholochchitraeer,	চলচিত্রেরের,	চলচ্চিত্রের,	
kingdom,	কিংগদ,	কিংডম,	
stone,	স্তনে,	স্টোন,	
celinar,	সেলিনার,	সেলিনার,	
khelafotey,	খেলাফতে,	খেলাফতে,	
alsaara,	আলসারা,	আলসার,	
neurooloogy,	নিউলোলজি,	নিউরোলজি,	
bahal,	বহল,	বহাল,	
yatharthabhabe,	যথারথাথে,	যথার্থভাবে,	
battery,	ব্যাটারি,	ব্যাটারী,	
sointoder,	সৈন্তদের,	সৈন্যদের,	
reliance,	রিলিয়েন্স,	রিলায়েন্স,	
gafilati,	গেফিলাইটি,	গাফিলতি,	
shotodha,	শতধা,	শতধা,	
songhitar,	সংঘিত,	সংহিতার,	
poriskoron,	পরিস্কারণ,	পরিষ্করণ,	
norpholk,	নরফল,	নরফোক,	
lokeson,	লোকেশন,	লোকেশন,	
suparahira,	সুপারহীরা,	সুপারহিরো,	
bhenuser,	ভেনাসের,	ভেনাসের,	
bhagna,	ভাগনা,	ভগ্ন,	
neemitto,	নিমিত্য,	নিমিত্ত,	
embeda,	এম্বেড,	এম্বেড,	
plain,	প্লেন,	প্লেন,	
bishwaashshke,	বিশ্বাসকে,	বিশ্বাসকে,	
bhaandaar,	ভান্ডার,	ভাণ্ডার,	
oedipus,	অদিপুপ,	ইডিপাস,	
bisnuu,	বিষ্ণু,	বিষ্ণু,	
rilayeensa,	রিলেয়েন্স,	রিলায়েন্স,	
konflikt,	কানফ্কিট,	কনফ্লিক্ট,	
naarsaari,	নার্সারী,	নার্সারি,	
ekghore,	একঘরে,	একঘরে,	
armshtrong,	আরমস্ট্রেং,	আর্মস্ট্রং,	
monur,	মনুর,	মনুর,	
koilas,	কৈলাশ,	কৈলাস,	
bonovumi,	বনভূমি,	বনভূমি,	
taunship,	টাউশ্পিপ,	টাউনশিপ,	
chhilonaa,	ছিলনন,	ছিলনা,	
sane,	সেন,	সনে,	
kanda,	কান্দা,	কাণ্ড,	
bbs,	বিএসএস,	বিবিএস,	
sbaajaner,	স্বজনের,	স্বজনের,	
swalpo,	স্বল্প,	স্বল্প,	
madal,	মাদাল,	মাদল,	
sikarder,	শিকারদের,	শিকারদের,	
domone,	দমনে,	দমনে,	
prakalpotike,	প্রকল্পটিকে,	প্রকল্পটিকে,	
brindaaboner,	বৃর্বাদনবারের,	বৃন্দাবনের,	
akhandata,	আখন্দাত,	অখণ্ডতা,	
gate,	গেটে,	গ্যেটে,	
telakucha,	টেলাকুচা,	তেলাকুচা,	
monjhostho,	মন্যস্থ,	মঞ্চস্থ,	
karmokandeo,	কর্মকান্ডে,	কর্মকাণ্ডেও,	
karadonder,	কারাদন্দের,	কারাদণ্ডের,	
lala,	লালা,	লালা,	
nirmaankaj,	নির্মাণকা,	নির্মাণকাজ,	
phiksim,	ফিক্সিং,	ফিক্সিং,	
siddhantagulo,	সিদ্ধানগুাু,	সিদ্ধান্তগুলো,	
oncoltike,	অঞ্চলিতে,	অঞ্চলটিকে,	
bonyopran,	বন্যপ্রাণ,	বন্যপ্রাণ,	
annarup,	অন্যরুপ,	অন্যরূপ,	
gaj,	গাজ,	গেজ,	
modeler,	মোদেলের,	মডেলের,	
chaktir,	চাকটির,	চাকতির,	
sooraarop,	সুরারোপ,	সুরারোপ,	
kortonaa,	কর্তনা,	করতনা,	
panthaar,	পান্থার,	পন্থার,	
dhos,	ধোষ,	ধস,	
footbalarer,	ফুটবলেরর,	ফুটবলারের,	
damane,	দামনে,	দমনে,	
