chalachchitrei,	চলচচচত্রে,	চলচ্চিত্রেই,	
baibasthaar,	ব্যাস্থার,	ব্যবস্থার,	
streegan,	স্ত্রীগণণ,	স্ত্রীগণ,	
safin,	সাফিন,	সাফিন,	
adbhanced,	অ্যাডভ্স্ডডড,	অ্যাডভান্সড,	
bhenise,	ভেনিসে,	ভেনিসে,	
durgotshob,	দুর্গসসস,	দুর্গোৎসব,	
snipar,	স্নিপার,	স্নাইপার,	
susamo,	সুসাম,	সুসম,	
jotharthovabey,	যথার্ভভবে,	যথার্থভাবে,	
oocchoseeto,	উচ্চসিত,	উচ্ছসিত,	
betsman,	বেযসা্া,	ব্যাটসম্যান,	
tenish,	টেনিস,	টেনিস,	
nochiketa,	নোচিকেত,	নচিকেতা,	
fol,	ফল,	ফল,	
uthhane,	উঠানে,	উঠানে,	
mojlish,	মজলিস,	মজলিশ,	
voolapuk,	ভুলাপুক,	ভোলাপুক,	
talaal,	তালা,	তালাল,	
prapokke,	প্রাপকক,	প্রাপককে,	
gara,	গার,	গোর,	
itostato,	ইতস্তত,	ইতস্তত,	
nartaki,	নার্টকক,	নর্তকী,	
elahabade,	এলাহাবাদে,	এলাহাবাদে,	
melborner,	মেলবররণের,	মেলবোর্নের,	
ramantika,	রামা্টিক,	রোমান্টিক,	
udbodhoney,	উদ্বধোে,	উদ্বোধনে,	
lumbini,	লুম্বিন,	লুম্বিনী,	
krema,	ক্রেম,	ক্রাইম,	
bahjya,	বহহজয,	বাহ্য,	
floodlighter,	ফ্লুললিিেটরর,	ফ্লাডলাইটের,	
enasiyenta,	এনসসযি়েন্ট,	এনসিয়েন্ট,	
hachchilo,	হাচ্ছিল,	হচ্ছিলো,	
chhatogalper,	ছটগগলপের,	ছোটগল্পের,	
engrejer,	ইংরেজের,	ইংরেজের,	
bhalobass,	ভালবাস,	ভালোবাসা,	
bhenuser,	ভেনুষের,	ভেনাসের,	
chhootite,	ছুটিতে,	ছুটিতে,	
udbhabony,	উদ্ভাবন,	উদ্ভাবনী,	
janapath,	জনপা,	জনপথ,	
modelti,	মোডললি,	মডেলটি,	
postay,	পোস্টে,	পোষ্টে,	
aabarte,	আবর্ত,	আবর্তে,	
gajipur,	গাজিপর,	গাজীপুর,	
komaatei,	কমাতেই,	কমাতেই,	
asantos,	আসান্তস,	অসন্তোষ,	
ghur,	ঘুর,	ঘুর,	
amarendro,	আমরেন্দরর,	অমরেন্দ্র,	
biharey,	বিহারে,	বিহারে,	
protijogiir,	প্রতিযোগীর,	প্রতিযোগীতার,	
soheensotar,	সহিনসাতর,	সহিংসতার,	
shamooker,	সামুকে,	শামুকের,	
anchalsamuha,	অঞ্চললূূহ,	অঞ্চলসমূহ,	
samajeekotar,	সামাজিিতরর,	সামাজিকতার,	
gudamjaato,	গুদজাাত,	গুদামজাত,	
telakoocha,	টেলোকোচ,	তেলাকুচা,	
gemske,	গেমসকক,	জেমসকে,	
inshtant,	ইনস্টান্ট,	ইনস্ট্যান্ট,	
pathkrom,	পথথকরম,	পাঠক্রম,	
bhootara,	ভোটার,	ভোটার,	
ispredshiit,	ইস্পরেডেিি,	স্প্রেডশীট,	
venkotesh,	ভেনকেেে,	ভেঙ্কটেশ,	
bishesyo,	বিশেষ্য,	বিশেষ্য,	
bigepi,	বেগেপি,	বিজেপি,	
nimitte,	নিমিত্ব,	নিমিত্তে,	
manbe,	মা্ব,	মানবে,	
alpo,	আল্প,	অল্প,	
chasee,	চাষী,	চেস,	
atorkitey,	আতরর্িিে,	অতর্কিতে,	
aashtikotaa,	আস্তিকতা,	আস্তিকতা,	
dasha,	দসস,	দোসা,	
indrer,	ইন্দ্রের,	ইন্দ্রের,	
gonohottake,	গণহত্্ককে,	গণহত্যাকে,	
jack,	জ্যাক,	জ্যাক,	
ramdhonu,	রমধধু,	রামধনু,	
qindama,	কিন্ডা,	কিংডম,	
poner,	পোনের,	পনের,	
bangobandhu,	বঙ্গবুধধ,	বঙ্গবন্ধু,	
scholarsip,	স্চররপপপপ,	স্কলারশিপ,	
hena,	হেন,	হেনা,	
marketing,	মার্কেটিং,	মার্কেটিং,	
prottokhovabe,	প্রত্যকাভাবে,	প্রত্যক্ষভাবে,	
shkalarashhipa,	স্কালররপপপ,	স্কলারশিপ,	
rajtontrey,	রাজ্তত্্রে,	রাজতন্ত্রে,	
obheegomon,	অভিগোন,	অভিগমন,	
sutir,	সুতির,	সুতির,	
mozlishpoor,	মলিিিপপরর,	মজলিশপুর,	
aansaareer,	আনসারীর,	আনসারীর,	
ganoporibohon,	গণপররবণণ,	গণপরিবহন,	
ghoshito,	ঘষষত,	ঘোষিত,	
formet,	ফরমেট,	ফরম্যাট,	
nirbachoker,	নির্বাচকের,	নির্বাচকের,	
sheekarer,	শিকারের,	শিকারের,	
bronze,	ব্রঞঞজজ,	ব্রোঞ্জ,	
sedikei,	সেদেকেই,	সেদিকেই,	
rajpur,	রাজপুর,	রাজপুর,	
oshthad,	অস্থাদ,	ওস্তাদ,	
di,	দি,	দিই,	
gabeshonar,	গবেষণার,	গবেষনার,	
shaajaanor,	সাজানোর,	সাজানোর,	
kanasharabheshhana,	কনসরররেন,	কনসারভেশন,	
sharthe,	সার্থে,	স্বার্থে,	
carzer,	কার্জের,	চার্জের,	
churger,	চুর্গের,	চার্জের,	
shtona,	স্টনন,	স্টোন,	
bhabna,	ভাবন,	ভাবনা,	
cinematographar,	সিনেমোটোরাাারর,	সিনেমাটোগ্রাফার,	
fix,	ফিক্স,	ফিক্স,	
sanatoni,	সনাানন,	সনাতনী,	
omanisa,	অমানসস,	অমানিশা,	
doojoo,	দুজ,	ডোজো,	
ajeejer,	আজিজের,	আজিজের,	
naniir,	নানীর,	নানীর,	
roomantic,	রোমাননটিি,	রোমান্টিক,	
ekar,	একার,	একার,	
garur,	গারুর,	গরুর,	
abdoone,	আবদুনে,	আবদুন,	
chhuti,	ছুটি,	ছুটি,	
sukumaree,	সুকুমারী,	সুকুমারী,	
beeswasoo,	বিশ্বাস,	বিশ্বাসও,	
jerusaleme,	জেরুসামেে,	জেরুসালেমে,	
shanstha,	সংস্থ,	সংস্থা,	
hobu,	হবু,	হবু,	
chhatto,	ছাটট,	ছোট্ট,	
phutantoa,	ফুতন্ত,	ফুটন্ত,	
dormetoree,	ডর্মটরর,	ডরমিটরি,	
laisens,	লাইসেসস,	লাইসেন্স,	
areek,	আরিক,	আরিক,	
qibord,	কিবোর্ড,	কীবোর্ড,	
ardasha,	আর্ডস,	আর্দশ,	
nothivookta,	নথিভুক্ত,	নথিভুক্ত,	
saccar,	সাক্চার,	সকার,	
catholicder,	ক্থালিকেে,	ক্যাথলিকদের,	
anisha,	আনিস,	আনিস,	
seat,	সিট,	সিট,	
rinatmak,	ঋিণতত্,	ঋনাত্মক,	
upcharzo,	উপচরর্,	উপাচার্য,	
sealvi,	সেলভি,	সিলভি,	
nirmaankaj,	নির্মাককাজ,	নির্মাণকাজ,	
perry,	পেরি,	পেরি,	
inashtyanta,	ইনস্টান্ট,	ইনস্ট্যান্ট,	
hillse,	হিলসস,	হিলসে,	
bomkesh,	বমককশ,	ব্যোমকেশ,	
machder,	মাচদের,	মাছদের,	
kathmaandu,	কথাাানুড,	কাঠমান্ডু,	
falashrutite,	ফলস্রুিতত,	ফলশ্রুতিতে,	
veenus,	ভেনুস,	ভেনাস,	
saafi,	সাফি,	সাফি,	
apoharon,	অপহারণ,	অপহরন,	
sarsa,	সার্স,	সোর্স,	
rathin,	রথথন,	রথীন,	
iyaka,	ইয়াক,	ইয়াক,	
alaa,	আলা,	আলা,	
pudim,	পুডিম,	পুডিং,	
naazi,	নাজি,	নাত্সি,	
reshidence,	রেসিডেড্সে,	রেসিডেন্স,	
selina,	সেলিন,	সেলিনা,	
shcholastik,	স্চালাাতিক,	স্কলাস্টিক,	
edmiral,	এডডিররা,	এডমিরাল,	
pubancholer,	পুবঞ্চলের,	পূর্বাঞ্চলের,	
chintai,	চিনততা,	ছিনতাই,	
yuro,	ইউর,	ইউরো,	
wenis,	ভেনিস,	ভেনিস,	
kheley,	খেলে,	খেলে,	
bhenama,	ভেনাম,	ভেনম,	
nepchuner,	নেপচুনের,	নেপচুনের,	
marier,	মারিয,	ম্যারির,	
dharabhashyakar,	ধারাস্্যারর,	ধারাভাষ্যকার,	
paikgachha,	পাগগ্ছা,	পাইকগাছা,	
mosjidtir,	মস্জিতিির,	মসজিদটির,	
lajik,	লাজিক,	লজিক,	
sudrissho,	সুদ্র্স,	সুদৃশ্য,	
mojlishpoor,	মলিিিপপরর,	মজলিশপুর,	
naraphoqa,	নররোক,	নরফোক,	
nederlander,	নিডাল্যাাাডেে,	নেদারল্যান্ডের,	
ralof,	রাফ,	রালফ,	
daebug,	দাবুগ,	ডিবাগ,	
seekkhaou,	শিক্ষাও,	শিক্ষাও,	
tiunar,	টিউনার,	টিউনার,	
atohar,	আতহার,	আতহার,	
alaoul,	আলালল,	আলাওল,	
nirmolota,	নির্মললত,	নির্মলতা,	
dorji,	দর্জি,	দরজি,	
zhalkatthi,	ঝালকাঠি,	ঝালকাঠী,	
iksaprishana,	এক্সপ্রিশ,	এক্সপ্রেশন,	
prachuryer,	প্রচচুর্র,	প্রাচুর্যের,	
khilaphat,	খিলাফা,	খিলাফত,	
somaazer,	সমাজের,	সমাজের,	
karmake,	কর্মকে,	কর্মকে,	
nobom,	নবম,	নবম,	
muhmmoder,	মুহম্দের,	মুহম্মদের,	
vishnu,	বিষ্ণু,	বিষ্ণু,	
bisheshya,	বিশেষ্,	বিশেষ্য,	
bondiike,	বন্দীকে,	বন্দীকে,	
chaaka,	চাকা,	চাকা,	
kaleo,	কালেও,	কালেও,	
elaakate,	এলাকাতে,	এলাকাতে,	
jibonnogor,	জীবননগর,	জীবননগর,	
doneta,	ডোনেত,	ডোনাট,	
vorpur,	ভরপপর,	ভরপুর,	
taali,	তালি,	তালি,	
musalmanera,	মুসল্মাাের,	মুসলমানেরা,	
orthoniti,	অর্থনিতি,	অর্থনীতির,	
treend,	ট্রেন্ড,	ট্রেন্ড,	
tennish,	টেনিিস,	টেনিস,	
mmeloborrne,	মেলববর্েে,	মেলবোর্নে,	
manjushree,	মন্জু্্ী,	মঞ্জুশ্রী,	
garjan,	গা্জন,	গর্জন,	
abheegomon,	অভিগোম,	অভিগমন,	
eokee,	এককি,	এওকি,	
uinndos,	উইন্ডডস,	উইন্ডোস,	
hughke,	হুঘকে,	হিউজকে,	
oboshore,	অবসরে,	অবসরে,	
ivam,	ইভাম,	ইভিএম,	
hyarikeena,	হ্যারিকেন,	হ্যারিকেন,	
laicenshe,	লাইসেসসে,	লাইসেন্স,	
jathaartho,	যথার্,	যথার্থ,	
doover,	ডুভের,	ডোভার,	
venus,	ভেনুস,	ভেনাস,	
cheerokoomari,	চিরকামারী,	চিরকুমারী,	
neeshanasa,	নিশাসস,	নেশনস,	
beam,	বিম,	বীম,	
chanake,	চানকে,	ছানাকে,	
direqtareta,	ডিরেক্টেেে,	ডিরেক্টরেট,	
chase,	চাষে,	চেস,	
vobtarini,	ভভ্তররীী,	ভবতারিণী,	
khilafat,	খিলাফা,	খিলাফত,	
chenja,	চেঞজজ,	চেঞ্জ,	
juddhahato,	যুদ্ধাত,	যুদ্ধাহত,	
foloshruti,	ফলস্রুতি,	ফলশ্রুতি,	
marmader,	মর্মােের,	মারমাদের,	
grambaasee,	গ্রামবাসী,	গ্রামবাসী,	
shakar,	শাকার,	সকার,	
definitian,	ডেফিনিশনন,	ডেফিনেশন,	
totokson,	তকককসণ,	ততক্ষন,	
birishirite,	বিরিষিরিতে,	বিরিশিরিতে,	
agamanke,	আগমাকে,	আগমনকে,	
kormozog,	কর্যোোগ,	কর্মযোগ,	
gazipore,	গাজীপরে,	গাজীপুর,	
tahalei,	তাললই,	তাহলেই,	
imarjinsi,	এজারজজিসি,	এমার্জেন্সি,	
benj,	বেঞজজ,	বেঞ্জ,	
ujbekistaner,	উজবিবিসিততেেে,	উজবেকিস্তানের,	
lutheran,	লুঠেরন,	লুথেরান,	
haris,	হারিস,	হ্যারিস,	
kormoi,	কর্ম,	কর্মই,	
darji,	দার্জ,	দরজি,	
abasare,	অবসারে,	অবসরে,	
protul,	প্রতুল,	প্রতুল,	
hoil,	হৈল,	হইল,	
transformaarer,	ট্রানসসমা্্ারের,	ট্রান্সফরমারের,	
olongkoron,	অলককরণ,	অলঙ্করণ,	
sommoteer,	সম্মিি,	সম্মতির,	
bhaisoho,	ভাসস,	ভাইসহ,	
pashchatey,	পাশচাতে,	পশ্চাতে,	
anchalsamuher,	অঞ্চললূূহের,	অঞ্চলসমূহের,	
adhyattik,	আধ্যাত্িক,	আধ্যাত্মিক,	
zuboke,	যুবকে,	যুবকে,	
mmadhukkori,	মাধুককর,	মাধুকরী,	
bolokarak,	বলকারক,	বলকারক,	
gaaddafee,	গাদ্ডাফী,	গাদ্দাফী,	
mukhbondho,	মুখবনধ,	মুখবন্ধ,	
selim,	সেলিম,	সেলিম,	
meghey,	মেঘে,	মেঘে,	
charukola,	চররককলা,	চারুকলা,	
thaakte,	থাকতে,	থাকতে,	
bhashik,	ভাষিক,	ভাষিক,	
plena,	প্লেন,	প্লেন,	
lagche,	লাগছ,	লাগছে,	
modelkey,	মোডলেেে,	মডেলকে,	
charbon,	চারবন,	চর্বন,	
shefa,	সেফ,	শেফ,	
sossa,	সো্য,	শশা,	
rajotwo,	রাজত্ব,	রাজত্ব,	
lyanding,	ল্যান্ডিং,	ল্যান্ডিং,	
parikhar,	পরিখার,	পরিখার,	
chaalkee,	চালকি,	চালকে,	
ghamtaa,	ঘামটা,	ঘোমটা,	
siramiks,	সিরামিক্স,	সিরামিকস,	
karmoi,	কর্ম,	কর্মই,	
sqarta,	স্কার্ট,	স্কার্ট,	
gori,	গরী,	গোরি,	
sarder,	সারডের,	সরদার,	
hool,	হুল,	হুল,	
karpeta,	কর্পেে,	কার্পেট,	
atwobishvashi,	আত্ববিবিাাীী,	আত্মবিশ্বাসী,	
grambasio,	গ্রামবাসীও,	গ্রামবাসীও,	
labanaktatar,	লবনকক্তার,	লবণাক্ততার,	
atiteo,	আতিতেও,	অতীতেও,	
shithilota,	সিথিলত,	শিথিলতা,	
eevil,	ইভিল,	ইভিল,	
lajika,	লাজিক,	লজিক,	
gulen,	গুলেন,	গুলেন,	
tongaa,	তঙ্গা,	টোঙ্গা,	
temontee,	টেমনটট,	তেমনটি,	
leetteer,	লিটির,	লেটার,	
vromonkaley,	ভ্রমণককলে,	ভ্রমণকালে,	
bidrohiderke,	বিদ্ররররেরেে,	বিদ্রোহীদেরকে,	
kommppito,	কম্পিপিত,	কম্পিত,	
aminar,	আমিনার,	আমিনার,	
joubanbotii,	যৌবনবত,	যৌবনবতী,	
asamanjashapurna,	আসমমা্পপপূর্,	অসামঞ্জস্যপূর্ণ,	
bonaa,	বোন,	বোনা,	
loha,	লোহ,	লোহা,	
adhattikotar,	আধাত্যিতকতার,	আধ্যাত্মিকতার,	
baabul,	বাবুল,	বাবুল,	
deool,	ডিউল,	দেউল,	
hoila,	হৈল,	হইল,	
rakhtokkharone,	রক্তকারণণে,	রক্তক্ষরণে,	
donate,	দোনাত,	ডোনাট,	
kyanela,	ক্যানেল,	ক্যানেল,	
cbi,	এিবি,	সিবিআই,	
anciint,	অ্যাস্সিন্ট,	এনসিয়েন্ট,	
jeelyaand,	জিল্যান্ড,	জিল্যান্ড,	
suresh,	সুরেস,	সুরেশ,	
ramdhanu,	রমধধু,	রামধনু,	
shuparahiro,	সুপারহহীর,	সুপারহিরো,	
rephlex,	রেফ্ল্স,	রিফ্লেক্স,	
dito,	ডিত,	দিতো,	
dinifitian,	ডিনিফিশনন,	ডেফিনেশন,	
gostigoolo,	গোষ্তিগুলো,	গোষ্ঠীগুলো,	
uzobekeestaaner,	উজবিসিস্তেেের,	উজবেকিস্তানের,	
kalki,	কলকক,	কালকি,	
chalai,	চালাই,	চালাবে,	
robe,	রবব,	রবে,	
mukhomandoley,	মুখমনডডে,	মুখমণ্ডলে,	
chet,	চেট,	চ্যাট,	
superhera,	সুপারেরা,	সুপারহিরো,	
tyapa,	ট্যাপ,	ট্যাপ,	
salsa,	সালস,	সালসা,	
sangostha,	সংস্ঠা,	সংস্থা,	
harta,	হারট,	হার্ট,	
disney,	ডিস্ে,	ডিজনী,	
bashoborty,	বাশবর্ত,	বশবর্তী,	
firoj,	ফিরজ,	ফিরোজ,	
poricchonnota,	পরিচ্ছনন্তত,	পরিচ্ছন্নতা,	
himi,	হিমি,	হিমি,	
zesh,	জেস,	জেস,	
debdebie,	দেববেবী,	দেবদেবী,	
sanmukh,	সন্মুখ,	সন্মুখ,	
orgho,	অর্ঘ,	অর্ঘ্য,	
parkim,	পারকিং,	পার্কিং,	
qaroo,	কারু,	কারো,	
banijyikvittey,	বনিিিয্কি্ততত,	বাণিজ্যিকভিত্তিতে,	
ayadabhanshada,	অ্যাডভনডডড,	অ্যাডভান্সড,	
onkeeta,	অনকিত,	অঙ্কিতা,	
gonoporeebohon,	গণপররবণণ,	গণপরিবহন,	
melborrone,	মেলবররণণ,	মেলবোর্নে,	
elakaa,	এলাকা,	এলাকা,	
mozlish,	মজলিি,	মজলিশ,	
maryir,	মারি,	ম্যারির,	
dokanei,	দোকানে,	দোকানেই,	
antarbhukta,	অন্তর্ভূ্্ত,	অন্তর্ভুক্ত,	
maila,	মাইল,	মাইল,	
itostata,	ইতসস্ত,	ইতস্তত,	
sangosthatike,	সংস্থাািকে,	সংস্থাটিকে,	
aashtikota,	আস্তিকতা,	আস্তিকতা,	
pirujali,	পিরুজাল,	পিরুজালী,	
ponthar,	পন্থার,	পন্থার,	
laaishesh,	লাইসেস,	লাইসেন্স,	
khoka,	খ্কা,	খোকা,	
chinito,	চিনিত,	চিনতো,	
satjan,	সৎজজ,	সাতজন,	
parser,	পারসসের,	পার্শ্বের,	
pragreesa,	প্রগররেস,	প্রগ্রেস,	
dharabahikvabe,	ধারাাাকাাাব,	ধারাবাহিকভাবে,	
kyathalika,	ক্যাথাককক,	ক্যাথলিক,	
timathi,	তিমাি,	টিমোথি,	
duburir,	দুবুরী,	ডুবুরির,	
brindaboney,	বৃর্দাবনে,	বৃন্দাবনে,	
aansarir,	আনসারীর,	আনসারীর,	
siddhantoi,	সিদ্ধান্ত,	সিদ্ধান্তই,	
bagda,	বাগ্,	বাগদা,	
swajan,	স্বজা,	স্বজন,	
satjoner,	সৎজনের,	সাতজনের,	
emergency,	এমের্জেস্,	এমার্জেন্সি,	
arbit,	আর্বি,	অরবিট,	
skolarseep,	স্কলররপপপ,	স্কলারশিপ,	
bhabotarini,	ভবতারীীী,	ভবতারিণী,	
don,	ডন,	দোন,	
kattar,	কত্তার,	কট্টর,	
shahabike,	সাহাবিকে,	সাহাবীকে,	
jonmato,	জন্মাত,	জন্মাত,	
unsareer,	উনসাররর,	আনসারীর,	
bazaareo,	বাজারেও,	বাজারেও,	
tigre,	তিগ্রর,	টাইগার,	
bite,	বিতে,	বাইট,	
harano,	হারা,	হারান,	
thesiser,	থেসিসের,	থিসিসের,	
srichoitonnodeb,	স্রীচ্্্ন্্ব,	শ্রীচৈতন্যদেব,	
chalesi,	চেলেসি,	চলেছি,	
uparjaner,	উপরজজেরর,	উপার্জনের,	
teresha,	টেরেস,	টেরেসা,	
idipasa,	এডিপাস,	ইডিপাস,	
kabutarer,	কবুতারের,	কবুতরের,	
plus,	প্লুস,	প্লাস,	
oitijhye,	ঐতিঝ্যে,	ঐতিহ্যে,	
smarok,	স্মারক,	স্মারক,	
anisa,	আনিস,	আনিস,	
vageryi,	ভাগারে,	ভাগেরই,	
chalochchitrogulor,	চালচচচিতগরগুররর,	চলচ্চিত্রগুলোর,	
darjiling,	ডার্জিলি,	দার্জিলিং,	
sommotir,	সম্মিি,	সম্মতির,	
ekmot,	একমট,	একমত,	
korkotkraanti,	করকককাাা্তি,	কর্কটক্রান্তি,	
braille,	ব্রাইে,	ব্রেইল,	
iling,	ইলিং,	ইলিং,	
cyphy,	সাফ,	সাইফাই,	
ajibooner,	আজিবুনের,	আজীবনের,	
zones,	জোনে,	জোন্স,	
obhiyojan,	অভিযাজন,	অভিযোজন,	
protizogiir,	প্রতিযোগীর,	প্রতিযোগীতার,	
taler,	তললে,	তালের,	
asar,	আসার,	আসর,	
pachhen,	পাছেন,	পাচ্ছেন,	
dadar,	দাদার,	দাদার,	
conserwation,	কনসাররেেে,	কনসারভেশন,	
dakop,	ডাকপ,	দাকোপ,	
metropoliton,	মেত্রপপিিি,	মেট্রোপলিটন,	
upobaser,	উপবাসের,	উপবাসের,	
somoshtigoto,	সমস্তিগত,	সমষ্টিগত,	
songasthaner,	সংস্ঠানের,	সংস্থানের,	
rubidium,	রুডিড়িযা,	রুবিডিয়াম,	
yak,	যযক,	ইয়াক,	
byaboharkareer,	ব্যাহারকারী,	ব্যবহারকারীর,	
saifai,	সাইফই,	সাইফাই,	
patjato,	পাজজ,	পাটজাত,	
granthao,	গ্রন্থা,	গ্রন্থও,	
ikbalke,	একবললে,	ইকবালকে,	
malish,	মািস,	মালিশ,	
teennis,	টেনিিস,	টেনিস,	
gajano,	গাজন,	গজানো,	
mukhobandha,	মুখবনন্,	মুখবন্ধ,	
ajauno,	আযান,	অযৌন,	
dhikrito,	ধিকৃতি,	ধিকৃত,	
saurce,	সার্স,	সোর্স,	
heze,	হেজে,	হেজ,	
hizrii,	হিজরী,	হিজরী,	
natshi,	নাৎসি,	নাত্সি,	
zack,	জ্যাক,	জ্যাক,	
scoore,	স্কুর,	স্কোর,	
overveu,	আভার্ভে,	ওভারভিউ,	
tarani,	তরণী,	তরণী,	
amiretus,	অমযমিমেরেস,	এমিরেটাস,	
korkot,	করকক,	কর্কট,	
choson,	চোন,	চোষণ,	
shringge,	শৃরীঙ্,	শৃঙ্গে,	
shuter,	সুতের,	শ্যুটার,	
porijon,	পরিজন,	পরিজন,	
temone,	টেমনে,	তেমনই,	
sibiai,	সিবিই়,	সিবিআই,	
prajanankal,	প্রজননকল,	প্রজননকাল,	
chirkoot,	চিরকু,	চিরকুট,	
kortonaa,	কর্তনা,	করতনা,	
raagkey,	রাককে,	রাগকে,	
ancholke,	অঞ্চলে,	অঞ্চলকে,	
byte,	বিইট,	বাইট,	
hajarti,	হজররি,	হাজারটি,	
odoore,	অদুর,	অদুরে,	
foxkon,	ফক্সন,	ফক্সকন,	
suchorita,	সুচরিত,	সুচরিতা,	
neurolojy,	নিউরোোজজ,	নিউরোলজি,	
sajja,	সাজ্য,	সজ্জা,	
saqara,	সাকার,	সাকার,	
doorotaumo,	দুরতাম,	দূরতম,	
masjidti,	মসসজিিিি,	মসজিদটি,	
phirti,	ফিরতি,	ফিরতি,	
chhatrorai,	ছাত্রাই,	ছাত্ররাই,	
phala,	ফাল,	পোলো,	
nagariker,	নাগারেরর,	নাগরিকের,	
chhilonaa,	ছিলনা,	ছিলনা,	
udbhaboni,	উদ্ভবনন,	উদ্ভাবনী,	
hole,	হলল,	হোল,	
chhutochhuti,	ছুটুুুি,	ছুটোছুটি,	
apachesta,	অপচেষ্ট,	অপচেষ্টা,	
kooyartara,	কোয়ররারর,	কোয়ার্টার,	
eshtoniya,	এস্টনিি়,	এস্তোনিয়া,	
sheshardhe,	শেষার্ধে,	শেষার্ধে,	
abodamoner,	আবদানের,	অবদমনের,	
phareksa,	ফরেক্স,	ফরেক্স,	
residence,	রেসিডেড্সে,	রেসিডেন্স,	
hajjirhat,	হাজজজরহহ,	হাজিরহাট,	
oitijhyer,	ঐতিঝ্যের,	ঐতিহ্যের,	
bem,	বেম,	বিম,	
ragkey,	রাগকে,	রাগকে,	
battery,	ব্যাটিরি,	ব্যাটারী,	
sotorko,	সতর্ক,	সতর্ক,	
ewer,	এভভরর,	এভার,	
ganakantha,	গণকণঠঠ,	গণকণ্ঠ,	
pathanirdeshana,	পথথনরেেশশন,	পথনির্দেশনা,	
bhadaqa,	ভাডাক,	ভদকা,	
gabhaskaar,	গভাসকার,	গাভাস্কার,	
parishromi,	পরিষ্রমী,	পরিশ্রমী,	
osamarik,	অসামারিক,	অসামরিক,	
oshamonjosshoporno,	অসামাসসপপপর্,	অসামঞ্জস্যপূর্ণ,	
songhitar,	সংঘিতার,	সংহিতার,	
pothon,	পথন,	পঠন,	
karater,	কারেের,	কারাতের,	
bodka,	বদকক,	ভদকা,	
reeno,	রিনো,	রেনো,	
durgatsabe,	দুর্গসসবে,	দুর্গোৎসবে,	
airesey,	আইরেসে,	আইরেসে,	
saabyastha,	সাব্যযসথথ,	সাব্যস্থ,	
argho,	আর্ঘ,	অর্ঘ্য,	
fiksa,	ফিক্স,	ফিক্স,	
eucalyptush,	একককলিিপপপস,	ইউক্যালিপ্টাস,	
nodiitei,	নদীতেই,	নদীতেই,	
kool,	কুল,	কুল,	
baireo,	বারেে,	বাইরেও,	
senabahineeow,	সেনাবেহীহীও,	সেনাবাহিনীও,	
sahojlovyotar,	সহজললভভ্তার,	সহজলভ্যতার,	
pushteer,	পুষ্টি,	পুষ্টির,	
zyaka,	জ্যাক,	জ্যাক,	
taimas,	টাইমসস,	টাইমস্,	
teereesa,	টেরেস,	টেরেসা,	
yukeliptas,	উউকেপিপিস্স,	ইউক্যালিপ্টাস,	
qloud,	ক্লাড,	ক্লাউড,	
shoodhooi,	সুধু,	শুধুই,	
shikshakder,	শিক্ষকদের,	শিক্ষকদের,	
hiper,	হিপার,	হাইপার,	
nikot,	নিকত,	নিকট,	
koreem,	করিম,	করিম,	
taaims,	টাইসসস,	টাইমস্,	
shhikar,	শিকার,	শিকার,	
koordira,	কুর্দিরা,	কুর্দিরা,	
hukar,	হুকার,	হুকার,	
celinar,	সেলিনার,	সেলিনার,	
jamanor,	জামারর,	জমানোর,	
mandonder,	মন্ডডডের,	মানদণ্ডের,	
sollalaho,	সল্লালহহ,	সল্লাল্লাহু,	
boorana,	বুরান,	বোরন,	
taroni,	তারণী,	তরণী,	
alympic,	অলাম্পিক,	অলিম্পিক,	
sontoshe,	সন্তোসে,	সন্তোষে,	
idaningkale,	ইদনিিকলে,	ইদানীংকালে,	
khanonkaj,	খননাকজ,	খননকাজ,	
nagorikota,	নগগরককত,	নাগরিকতা,	
prakalpati,	প্রকাপপত,	প্রকল্পটি,	
lutheeran,	লুঠিরণ,	লুথেরান,	
langhaner,	লা্ঘেের,	লংঘনের,	
gatee,	গেট,	গ্যেটে,	
parbotto,	পর্বতত্,	পার্বত্য,	
elakatay,	এলাকাে,	এলাকাতে,	
tukrote,	তুক্রতে,	টুকরোতে,	
shten,	স্টেন,	স্টেন,	
state,	স্টাট,	স্টেইট,	
arashie,	আরসস,	আরসিএ,	
cholochchitro,	চলচচতিরর,	চলচ্চিত্র,	
onekeri,	অনেকেরী,	অনেকেরই,	
chaiti,	চাইটি,	চৈতি,	
dii,	ডি,	দিই,	
besorkarikoron,	বেসরররররকণ,	বেসরকারিকরণ,	
oncholgulir,	অঞ্চগুলির,	অঞ্চলগুলির,	
ankush,	আঙকুশ,	অংকুশ,	
nojoder,	নোদদরর,	নজদের,	
phulkapi,	ফুলকাপপি,	ফুলকপি,	
inastyanta,	ইনস্টাননট,	ইনস্ট্যান্ট,	
scare,	স্কারে,	স্কোর,	
songrahak,	সংগ্রহহ,	সংগ্রাহক,	
ashirbad,	আশির্বদ,	আশির্বাদ,	
babona,	ববনা,	বাবনা,	
reetesh,	রিটেস,	রিতেশ,	
hili,	হিলি,	হিলি,	
qarlosa,	কার্লস,	কার্লোস,	
anuchcheder,	অনুচ্ছেদের,	অনুচ্ছেদের,	
sorano,	সরাণো,	সরানো,	
loukikotaa,	লৌকিকতা,	লৌকিকতা,	
jamaanor,	জাানোর,	জমানোর,	
