poshchater,	পশচাতের,	পশ্চাতের,	
jocqey,	জকে,	জকি,	
subade,	সুবাদে,	সুবাদে,	
dhormi,	ধর্মী,	ধর্মী,	
kaferder,	কফটের,	কাফেরদের,	
elaaka,	এলাকা,	এলাকা,	
dinifitian,	ডিনিফিশন,	ডেফিনেশন,	
chitronatyakar,	চিত্রনাত্যকর,	চিত্রনাট্যকার,	
doojoo,	দুজু,	ডোজো,	
beshorkarikarone,	বেসরকারিকরণের,	বেসরকারিকরণ,	
shikshakder,	শিক্ষাক্দের,	শিক্ষকদের,	
bbiswashi,	বিশ্বাসী,	বিশ্বাসই,	
chedropothe,	চিদ্রপথে,	ছিদ্রপথে,	
dharavahiktite,	ধারাঘাকিতিতে,	ধারাবাহিকটিতে,	
gaichhe,	গেছে,	গাইছে,	
mogert,	মোগার্ট,	মোজার্ট,	
aksathei,	একসাথেই,	একসাথেই,	
bahaal,	বাহাল,	বহাল,	
sekarone,	সেকারণে,	সেকারণে,	
jonesh,	জনেশ,	জোন্স,	
bhaandaare,	ভান্ডারে,	ভাণ্ডারে,	
rilayeensa,	রিলেন্যাস,	রিলায়েন্স,	
blaker,	ব্লকের,	ব্ল্যাকের,	
jaanar,	জানার,	জানার,	
drishi,	দৃশি,	দৃশ্যই,	
monjushree,	মন্জুস্রী,	মঞ্জুশ্রী,	
augustin,	অগাস্টিন,	অগাস্টিন,	
ja,	যা,	জ্যা,	
karmosansthaner,	কর্মসংস্থানের,	কর্মসংস্থানের,	
nodiiteyi,	নদীতেই,	নদীতেই,	
niropekkhotaar,	নিরপ্কষেটার,	নিরপেক্ষতার,	
grameri,	গ্রামারি,	গ্রামেরই,	
potocheetro,	পটচিত্র,	পটচিত্র,	
jathaarthobhaabe,	যথার্থভাবে,	যথার্থভাবে,	
cool,	কুল,	কুল,	
dormetoree,	ডরমেটরি,	ডরমিটরি,	
stona,	স্তন,	স্টোন,	
kaushalgata,	কৌশলগত,	কৌশলগত,	
anchaltite,	অঞ্চলিতেতে,	অঞ্চলটিতে,	
pancbaar,	পাঁচাার,	পাঁচবার,	
nirbaahe,	নির্বাহে,	নির্বাহে,	
onodhikaar,	অনধ্যিকার,	অনধিকার,	
heelse,	হিলসে,	হিলসে,	
dephinishion,	ডিফিনিশন,	ডেফিনেশন,	
sotteo,	সত্তেও,	সত্ত্বেও,	
bhalobase,	ভালবাসে,	ভালোবাসে,	
chhaai,	ছাই,	ছাই,	
shatoke,	শতকে,	শতকে,	
jhonkar,	ঝংকর,	ঝঙ্কার,	
hori,	হরি,	হরি,	
nariiderke,	নারীদেরকে,	নারীদেরকে,	
niuroolaji,	নিউর্লোজি,	নিউরোলজি,	
venice,	ভেনিক,	ভেনিস,	
daale,	ডালে,	ডালে,	
troup,	ট্রুপ,	ট্রুপ,	
surarop,	সুরারোপ,	সুরারোপ,	
aatmobishwasi,	আত্মবিব্বী,	আত্মবিশ্বাসী,	
lyaandeeng,	ল্যান্ডিং,	ল্যান্ডিং,	
alsaara,	আলসারা,	আলসার,	
saqara,	সকার,	সাকার,	
koreempur,	করিমপুর,	করিমপুর,	
information,	ইনফর্মেশন,	ইনফরমেশন,	
bohubar,	বহুবার,	বহুবার,	
jons,	জনস,	জোন্স,	
cholochchitro,	চলচিত্র,	চলচ্চিত্র,	
madhobeer,	মাধবীর,	মাধবীর,	
sachetanvabe,	সভেতনাভাবে,	সচেতনভাবে,	
deezni,	দিজনী,	ডিজনী,	
sattoki,	সত্তকী,	সাত্যকি,	
meghey,	মেঘে,	মেঘে,	
porijoner,	পরিজনের,	পরিজনের,	
divya,	দিব্য,	দিব্যা,	
ooindos,	উইন্ডস,	উইন্ডোস,	
falashrutite,	ফলস্রুতিতে,	ফলশ্রুতিতে,	
deenes,	ডিনেস,	দীনেশ,	
duckticket,	দাকক্তিকেট,	ডাকটিকিট,	
chirota,	চিরতা,	চিরতা,	
probeshon,	প্রবেশন,	প্রবেশন,	
hunayn,	হুনাইন,	হুনাইন,	
embaed,	এমবাদ,	এম্বেড,	
narsari,	নার্সারী,	নার্সারি,	
gafiloti,	গফিলতি,	গাফিলতি,	
karka,	কর্ক,	কার্ক,	
shtona,	স্টন,	স্টোন,	
temone,	টেমনে,	তেমনই,	
sausaje,	সৌসাজে,	সসেজ,	
unhu,	উনু,	উঁহু,	
gobhornorer,	গভর্নরের,	গভর্ণরের,	
ashammatite,	আসমমাতিতে,	অসম্মতি,	
shrimoti,	শ্রীমতী,	শ্রীমতি,	
boopon,	বুপণ,	বপন,	
naajee,	নাজি,	নাত্সি,	
zhalokatthi,	ঝালকাঠি,	ঝালকাঠী,	
ekbakye,	একবকয,	একবাক্যে,	
abodamaner,	অবদামানের,	অবদমনের,	
maradeha,	মারাদেহ,	মরদেহ,	
koreempoor,	করিমপুর,	করিমপুর,	
manabmoner,	মানবমনের,	মানবমনের,	
porisromii,	পরিস্রমী,	পরিশ্রমী,	
nagorikra,	নাগরিকরা,	নাগরিকেরা,	
abikol,	আবিকোল,	অবিকল,	
barbaadoj,	বারবাদজ,	বার্বাডোজ,	
chotto,	ছত্ট,	ছোট্ট,	
varson,	ভারসন,	ভারশন,	
ovidhaner,	অভিধানের,	অভিধানের,	
afjol,	আফজল,	আফজল,	
nodnadir,	নদানদদর,	নদনদীর,	
safin,	সাফিন,	সাফিন,	
norpholk,	নরফফল,	নরফোক,	
ganonatto,	গণনাত্য,	গণনাট্য,	
diphinision,	ডিফিনিশন,	ডেফিনেশন,	
rajbondi,	রাজবন্দী,	রাজবন্দী,	
bibek,	বিবেক,	বিবেক,	
talgach,	তলগাচ,	তালগাছ,	
homshke,	হমসকে,	হোমসকে,	
aalaaoler,	আলালের,	আলাওলের,	
khoja,	খোজা,	খোজা,	
chamsky,	চামসিকী,	চমস্কি,	
porishrom,	পরিশ্রম,	পরিশ্রম,	
kins,	কিনস,	কিংস,	
cholocchitrotike,	চলচিচিত্রটিকে,	চলচ্চিত্রটিকে,	
shikkhakromer,	শিক্ষাক্রমের,	শিক্ষাক্রমের,	
trenda,	ট্রেন্ড,	ট্রেন্ড,	
nirikh,	নিরিখ,	নিরিখ,	
nirbachakder,	নির্বাচকদের,	নির্বাচকদের,	
kas,	কাস,	কাস,	
heriser,	হেরিসের,	হ্যারিসের,	
tafasir,	তফস্রির,	তাফসীর,	
shomrat,	সমরত,	সম্রাট,	
nothibhookto,	নথিভুক্ত,	নথিভুক্ত,	
zealand,	জিলাযান্ড,	জিল্যান্ড,	
mosjidsoho,	মসমজিদসহ,	মসজিদসহ,	
bihar,	বিহার,	বিহার,	
bjp,	বিএস,	বিজেপি,	
satarkakari,	সতররাকারী,	সতর্ককারী,	
shadena,	সাদেন,	সাডেন,	
smarak,	স্মররক,	স্মারক,	
elaakai,	এলাকাই,	এলাকাই,	
faaser,	ফাসের,	ফাঁসের,	
keui,	কিউই,	কেউই,	
zerusalemer,	জেরুশালেমের,	জেরুজালেমের,	
beetlaser,	বিটলসের,	বিটলসের,	
dhos,	ধস,	ধস,	
pachok,	পাচক,	পাচক,	
mohish,	মহীষ,	মহিষ,	
tunar,	টুনার,	টিউনার,	
definishhion,	ডিফিনশশন,	ডেফিনেশন,	
osommotite,	অসম্ততিতে,	অসম্মতি,	
mozlishpoor,	মজিলশপুর,	মজলিশপুর,	
omittrakkhor,	অমিত্রকক্ষের,	অমিত্রাক্ষর,	
gabhaaskar,	গভাষ্কার,	গাভাস্কার,	
sitting,	সিটিং,	সিটিং,	
stalin,	স্তালিন,	স্টালিন,	
qarima,	করিমা,	করিম,	
goroor,	গরুর,	গরুর,	
buffar,	বাফফার,	বাফার,	
trans,	ট্রান্স,	ট্রান্স,	
pchok,	পচক,	পাচক,	
bhabaponno,	ভবপননন,	ভাবাপন্ন,	
larson,	লারসন,	লারসন,	
jahora,	জাহরা,	যাহরা,	
zibonnogor,	জীবননগর,	জীবননগর,	
telakoocha,	টেলাকুচা,	তেলাকুচা,	
herisoner,	হেরিশনের,	হ্যারিসনের,	
dibeting,	ডিবেটিং,	ডিবেটিং,	
daktickete,	ডাক্তিকেতে,	ডাকটিকিটে,	
surokarder,	সুরকরদের,	সুরকারদের,	
chinto,	চিন্ত,	চিনতো,	
nothivookta,	নথিভুক্ত,	নথিভুক্ত,	
heebhi,	হিভি,	হেভি,	
dale,	দলে,	ডালে,	
babna,	বববনা,	বাবনা,	
ganaparibahaner,	গণপরিবাহণনের,	গণপরিবহনের,	
sansthatike,	সংস্থাতিকে,	সংস্থাটিকে,	
digrike,	ডিগ্রীকে,	ডিগ্রিকে,	
talaal,	তালাল,	তালাল,	
bondhubhabapanno,	বন্ধুবপনবথন,	বন্ধুভাবাপন্ন,	
voter,	ভোটের,	ভোটার,	
jhalokatthi,	ঝালকাঠি,	ঝালকাঠী,	
onkeeta,	অঙককীত,	অঙ্কিতা,	
noitikatabodh,	নৈতিতাবত্ধ,	নৈতিকতাবোধ,	
laaj,	লাজ,	লাজ,	
bharpur,	ভারপুর,	ভরপুর,	
kalniir,	কল্নীর,	কালনীর,	
shodhan,	সোধান,	শোধন,	
tottoraat,	তত্তরাত,	তওরাত,	
gronthowo,	গ্রন্থওও,	গ্রন্থও,	
vugoley,	ভুগলে,	ভূগোলে,	
paikgachha,	পৈক্লাঁঁ,	পাইকগাছা,	
atyachari,	অত্যচারী,	অত্যাচারী,	
fostar,	ফোস্টার,	ফস্টার,	
shansthagulo,	সংস্থাগুলো,	সংস্থাগুলো,	
lyandim,	ল্যান্ডিং,	ল্যান্ডিং,	
hiragaana,	হিরাগান,	হিরাগানা,	
dooburira,	দুবুরিরা,	ডুবুরিরা,	
netions,	নিয়ন্স,	নেশনস,	
sulfatee,	সুলফাতি,	সালফেট,	
boother,	বুথের,	বুথের,	
iispredshiit,	ইক্সপ্রেসিত,	স্প্রেডশীট,	
gaandaas,	গান্দস,	জ্ঞানদাস,	
dokangulotey,	দকানগুলোতে,	দোকানগুলোতে,	
sabbir,	সবির,	সাব্বির,	
ucchosito,	উচ্চশিৎ,	উচ্ছসিত,	
doltyagi,	দলত্যাগি,	দলত্যাগী,	
sarolyo,	সারল্য,	সারল্য,	
cheess,	চেস,	চেস,	
embeda,	এমবেদ,	এম্বেড,	
assoociates,	অ্যাসোসিয়েটস,	এসোসিয়েটস,	
kemaney,	কেমনে,	কেমনে,	
asaciates,	অসযাক্সিয়েস,	এসোসিয়েটস,	
bishshash,	বিশশাস,	বিশ্বাস,	
baaraak,	বারাক,	বারাক,	
nitikatha,	নীতিকথথা,	নীতিকথা,	
naker,	নাকের,	নেকের,	
ghesa,	ঘেস,	ঘেঁষা,	
madaul,	মাদল,	মাদল,	
madhumati,	মধুমতি,	মধুমতী,	
grontho,	গ্রন্থ,	গ্রন্থ,	
manushi,	মানুষি,	মানুষী,	
abhidhaaner,	অভিধানের,	অভিধানের,	
siramiqs,	সিরামিক্স,	সিরামিকস,	
janmaat,	জন্মাত,	জন্মাত,	
langhon,	লঙ্ঘন,	লংঘন,	
the,	থে,	থাই,	
chess,	চেস,	চেস,	
panero,	প্যানেরো,	পনের,	
harja,	হর্জ,	হার্জ,	
cal,	চল,	চাল,	
shotoker,	শতকের,	শতকের,	
change,	চঙ্গে,	চেঞ্জ,	
cholesi,	চলেসি,	চলেছি,	
jolaatonko,	জলাততঙ্ক,	জলাতঙ্ক,	
monohputa,	মনোসপুতা,	মনঃপুত,	
ancholsomuher,	অঞ্চলসমূহের,	অঞ্চলসমূহের,	
injiniyarsa,	ইনজিনিয়ার্স,	ইঞ্জিনিয়ার্স,	
sahinsatar,	সহিনসসতার,	সহিংসতার,	
lombate,	লম্বতে,	লম্বাটে,	
bhor,	ভোর,	ভর,	
abhidhaaneec,	অভিধানিক,	অভিধানিক,	
braille,	ব্রেলল,	ব্রেইল,	
garner,	গর্নের,	গার্নার,	
sonaktokaraner,	সনকক্তকরণের,	সনাক্তকরণের,	
sangosthagulo,	সংস্থাগুলো,	সংস্থাগুলো,	
shalsa,	সল্স,	সালসা,	
manohputo,	মননসূতু,	মনঃপুত,	
oshthad,	অষ্ঠাদ,	ওস্তাদ,	
jens,	জেন্স,	জিন্স,	
cooling,	কোলিং,	কুলিং,	
barack,	ব্যারাক,	বারাক,	
karmazog,	কর্মযোগ,	কর্মযোগ,	
bafal,	বাফল,	বিফল,	
nirgaman,	নির্গামান,	নির্গমন,	
hyariqena,	হ্যারিকেন,	হ্যারিকেন,	
antarctica,	অন্টর্টিক,	অ্যান্টার্কটিকার,	
bossoben,	বসবেন,	বসবেন,	
joluk,	জলুক,	জ্বলুক,	
dozo,	দজ,	ডোজো,	
basake,	বাসাকে,	বাসাকে,	
vabuk,	ভাবুক,	ভাবুক,	
sikkhakder,	শিক্ষাকদের,	শিক্ষকদের,	
konagoolo,	কোনাগুলো,	কণাগুলো,	
touraat,	তৌরাত,	তওরাত,	
moqam,	মোক্ম,	মোকাম,	
sazano,	সাজানো,	সাজানো,	
parry,	প্যারি,	পেরি,	
sachetan,	সচেটন,	সচেতন,	
nikoter,	নিকটের,	নিকটের,	
cheph,	চেফ,	শেফ,	
firoze,	ফিরোজ,	ফিরোজ,	
swajan,	স্বজন,	স্বজন,	
zinsa,	জিনস,	জিন্স,	
cade,	কেড,	কোড,	
gajipur,	গজিপুর,	গাজিপুর,	
golakrity,	গোলাকৃতি,	গোলাকৃতি,	
kyapasula,	ক্যাসোলা,	ক্যাপসুল,	
carzer,	কার্জের,	চার্জের,	
michhilti,	মিশিলটি,	মিছিলটি,	
boshoborty,	বসবর্তী,	বশবর্তী,	
phakay,	ফকে,	ফাকে,	
dharavahikti,	ধারাঘাকিতি,	ধারাবাহিকটি,	
aachees,	আচিষ,	আছিস,	
colahol,	কলাহল,	কোলাহল,	
themekey,	থেমেকে,	থিমকে,	
grawth,	গ্রথথ,	গ্রোথ,	
jillul,	জিলুল,	জিল্লুল,	
mausumer,	মৌসুমের,	মৌসুমের,	
mausumei,	মৌসুমেই,	মৌসুমেই,	
oshtader,	অস্তাদের,	ওস্তাদের,	
easter,	ইস্টের,	ইস্টার,	
boorana,	বুরান,	বোরন,	
bishwasho,	বিশ্বশ,	বিশ্বাসও,	
porizon,	পরিজন,	পরিজন,	
granther,	গ্রন্থের,	গ্রন্থের,	
nadigulir,	নদীগুলির,	নদীগুলির,	
chire,	চিরে,	চিরে,	
seater,	সিটের,	সিটের,	
zubokra,	যুবকরা,	যুবকরা,	
qaferderkey,	কাফারদেরকে,	কাফেরদেরকে,	
kormokarke,	কর্মকরকে,	কর্মকারকে,	
marino,	মেরিনো,	মারিনো,	
qlauda,	ক্লাউড,	ক্লাউড,	
eshiyetika,	এসিয়েটিক,	এশিয়াটিক,	
shoow,	শু,	শো,	
rachanakal,	রচনাকাল,	রচনাকাল,	
karmasansthaner,	কর্মসংস্থানের,	কর্মসংস্থানের,	
poste,	পোস্টে,	পোষ্টে,	
pharna,	ফার্ন,	ফার্ন,	
ameerica,	আমেরিক,	আমেরিকা,	
rigthter,	রিঘটের,	রাইটের,	
bisheshyer,	বিশেষ্যের,	বিশেষ্যের,	
jakrit,	যকৃত,	যকৃৎ,	
heavy,	হেভি,	হেভি,	
shilpojat,	শিল্পজত,	শিল্পজাত,	
dakshinangsho,	দক্ষিণাংশ,	দক্ষিণাংশ,	
turkey,	তুর্কে,	তুর্কি,	
omeettrakkhor,	অমিত্রকক্ষার,	অমিত্রাক্ষর,	
nothibhukto,	নথিভুক্ত,	নথিভুক্ত,	
maddhuri,	মধধুরি,	মাধুরী,	
jaunatar,	যৌনতার,	যৌনতার,	
cheef,	চীফ,	শেফ,	
munsi,	মুনসী,	মুন্সি,	
baibasthar,	ব্যবস্থার,	ব্যবস্থার,	
rohosyoti,	রহস্যটি,	রহস্যটি,	
jokrit,	যকৃত,	যকৃৎ,	
bronje,	ব্রাঞ্জে,	ব্রোঞ্জ,	
pubancholer,	পুরাঙ্চলের,	পূর্বাঞ্চলের,	
kulo,	কুলো,	কুলো,	
okritakarjo,	অকৃতিকার্য,	অকৃতকার্য,	
sthapanagulo,	স্থাপনগুলো,	স্থাপনাগুলো,	
sukhma,	সূখ্ম,	সুক্ষ্ম,	
palkee,	পালকি,	পাল্কি,	
ajija,	আজিজা,	আজিজা,	
skolaroship,	স্কলোরশিপ,	স্কলারশিপ,	
nirantar,	নিরান্তর,	নিরন্তর,	
cantan,	ক্যান্টন,	ক্যান্টন,	
ase,	আসে,	আসে,	
miley,	মিলে,	মাইলি,	
drishyoke,	দৃশ্যকে,	দৃশ্যকে,	
adhyattikota,	অধ্যাত্তিকাত,	আধ্যাত্মিকতা,	
tongaa,	টঙ্গা,	টোঙ্গা,	
gezetted,	গেজেটেট,	গেজেটেড,	
naitikatar,	নৈতিকতার,	নৈতিকতার,	
monzushree,	মন্জুস্রী,	মঞ্জুশ্রী,	
nirmolotaa,	নির্মলতা,	নির্মলতা,	
rajtantro,	রাজতন্ত্র,	রাজতন্ত্র,	
tyap,	ট্যাপ,	ট্যাপ,	
suraaropito,	সুরারোপিত,	সুরারোপিত,	
masterer,	মস্তরের,	মাস্টারের,	
nirapottamulak,	নিরাপততমূলক,	নিরাপত্তামূলক,	
flask,	ফ্লাস্ক,	ফ্লাস্ক,	
jubokshoho,	যুবককশহ,	যুবকসহ,	
hughes,	হাগহেস,	হিউজেস,	
vishnuke,	বিষণুকে,	বিষ্ণুকে,	
concert,	কনসার্ট,	কানসাট,	
noitikotabodh,	নৈতিতাবদ্ধ,	নৈতিকতাবোধ,	
mosjidsaha,	মসমজিদসহ,	মসজিদসহ,	
veenom,	ভিনম,	ভেনম,	
chalechi,	চলেছি,	চলেছি,	
shaleha,	সালেহা,	সালেহা,	
jerushalema,	জেরুশালাম,	জেরুসালেম,	
shoo,	শু,	শো,	
qanasarabheshana,	কনসাবারেশন,	কনসারভেশন,	
aazadir,	আজাদীর,	আজাদীর,	
naditei,	নদীতেই,	নদীতেই,	
seector,	সিক্টর,	সেক্টর,	
bhorodwaj,	ভরদদবজজ,	ভরদ্বাজ,	
ganana,	গানানা,	গননা,	
emerjency,	এমেরজেন্স,	এমার্জেন্সি,	
nadnadeer,	নাদনদারির,	নদনদীর,	
nazad,	নাজাদ,	নজদ,	
chitronatyokar,	চিত্রনাত্যকর,	চিত্রনাট্যকার,	
kando,	কাঁ্ড,	কাণ্ড,	
safiin,	সাফিন,	সাফিন,	
cholochchitraeei,	চলচিত্রীই,	চলচ্চিত্রেই,	
hostantor,	হস্তান্তর,	হস্তান্তর,	
ukeliptas,	উককিলপ্তাস,	ইউক্যালিপ্টাস,	
akkaash,	এককাশ,	আককাস,	
ssahosikotar,	সাহিকসতিরা,	সাহসিকতার,	
badei,	বাদেই,	বাদেই,	
mitrader,	মিত্রদের,	মিত্রদের,	
soomitrar,	সুমিত্রার,	সুমিত্রার,	
soccar,	সক্কার,	সকার,	
hitaishi,	হিটেশি,	হিতৈষী,	
batsmanyi,	বৎসমনি,	ব্যাটসম্যানই,	
shaluk,	সালুক,	শালুক,	
goteerodh,	গতিরোধ,	গতিরোধ,	
radhanagar,	রাধানগর,	রাধানগর,	
hundayi,	হান্ডাই,	হুন্দাই,	
avereste,	অভারেস্টে,	এভারেস্টে,	
faskari,	ফাসকারি,	ফাঁসকারী,	
gononanatyo,	গণনানাত্য,	গণনাট্য,	
sofi,	সফি,	সোফি,	
tikka,	টিক্ক,	টিক্কা,	
transhapharma,	ট্রান্সফর্ম,	ট্রান্সফর্ম,	
ministar,	মিনিস্টর,	মিনিস্টার,	
score,	স্করর,	স্কোর,	
abheegomon,	অভিগামন,	অভিগমন,	
sikhra,	শিখররা,	শিখরা,	
lutheeran,	লুথিরণ,	লুথেরান,	
venkotesh,	ভেনককটেস,	ভেঙ্কটেশ,	
subadey,	সুবাদে,	সুবাদে,	
ivir,	ইভির,	এভার,	
angkush,	অঙ্কুশ,	অংকুশ,	
sikkharthirao,	শিক্ষার্থীরা,	শিক্ষার্থীরাও,	
raits,	রাইস,	রাইটস,	
nondolal,	নন্দলাল,	নন্দলাল,	
pyaleshtainer,	প্যালিস্টাইনের,	প্যালেস্টাইনের,	
dighol,	দিঘল,	দীঘল,	
grambashi,	গ্রমবাসী,	গ্রামবাসী,	
pothnirdeshona,	পথনির্দেশনা,	পথনির্দেশনা,	
anchalgulir,	অঞ্চলালুরির,	অঞ্চলগুলির,	
sadhwi,	সাধই,	সাধ্বী,	
dokanei,	ডোকানেই,	দোকানেই,	
asabhya,	অসভ্য,	অসভ্য,	
sushiksar,	সুশিক্ষার,	সুশিক্ষার,	
hoolding,	হোল্ডিং,	হোল্ডিং,	
satarko,	সতার্ক,	সতর্ক,	
phirti,	ফিরটি,	ফিরতি,	
claus,	ক্লাস,	ক্লজ,	
parshwer,	পার্সবের,	পার্শ্বের,	
konagulo,	কোনগুলো,	কণাগুলো,	
meterey,	মেটেরে,	মিটারে,	
dumaa,	ডুমা,	দুমা,	
madrasa,	মদ্রাস,	মাদ্রাসা,	
duckticketer,	দুক্তিকিতের,	ডাকটিকিটের,	
lokshero,	লক্ষেরও,	লক্ষেরও,	
kona,	কোন,	কণা,	
siramikasa,	সিরামিকাস,	সিরামিকস,	
manushti,	মনুষ্টি,	মানুষটি,	
bishnuu,	বিষ্ণু,	বিষ্ণু,	
siddhantai,	সিদ্ধনত্যে,	সিদ্ধান্তই,	
muradkey,	মুরাদকে,	মুরাদকে,	
sainyasaha,	সৈন্যাসহ,	সৈন্যসহ,	
somoodrotote,	সমুদ্রতে,	সমুদ্রতটে,	
directorate,	ডিরেক্টরেট,	ডিরেক্টরেট,	
ship,	শিপ,	শিপ,	
bahubar,	বহুবার,	বহুবার,	
shikkhakramer,	শিক্ষাক্রমের,	শিক্ষাক্রমের,	
semai,	সেমই,	সেমাই,	
iqbaler,	ইকবলের,	ইকবালের,	
uinndo,	উইন্ড,	উইন্ডো,	
diaraesa,	ডিয়ারেস,	ডিআরএস,	
ceramiker,	সারমমিকের,	সিরামিকের,	
pravur,	প্রভুর,	প্রভুর,	
bheenisa,	ভেনিস,	ভেনিস,	
sikkhokbreendo,	শিক্ষাবৃৃৎ্দ,	শিক্ষকবৃন্দ,	
model,	মোদেল,	মডেল,	
ongkita,	অংকিত,	অঙ্কিতা,	
dayitwa,	দৈত্ব,	দায়িত্ব,	
harbor,	হরবর,	হারবার,	
daoon,	দাওন,	ডাউন,	
kalnir,	কল্নীর,	কালনীর,	
praman,	প্রমাণ,	প্রমান,	
scall,	স্কেল,	এসকল,	
awatar,	আভাতার,	অবতার,	
dhhaaloor,	ঢালুর,	ঢালুর,	
choudhoorir,	চৌধুরীর,	চৌধুরীর,	
kartam,	করতম,	করতাম,	
footbalarra,	ফুট্বলরার,	ফুটবলাররা,	
prasadhoner,	প্রসাধনের,	প্রসাধনের,	
cheerokoomari,	চিরককাহির,	চিরকুমারী,	
gazipur,	গজিপুর,	গাজীপুর,	
dhhabi,	ঢবি,	ঢাবি,	
mandanda,	মানদন্ড,	মানদণ্ড,	
graambasheeo,	গ্রমবাসী,	গ্রামবাসীও,	
ramantik,	রামানাতিক,	রোমান্টিক,	
ujobekeestaner,	উজবেকিস্টানের,	উজবেকিস্তানের,	
dhanchey,	ধাঁচে,	ধাঁচে,	
pouro,	পৌরো,	পৌর,	
adbhansed,	অ্যানভাস্েে,	অ্যাডভান্সড,	
banger,	বঙ্গের,	ব্যাঙের,	
akritakarja,	আকৃত্কার্য,	অকৃতকার্য,	
deares,	ডিরেস,	ডিআরএস,	
ghumachhilo,	ঘুমেছিল,	ঘুমাচ্ছিল,	
haris,	হরিস,	হ্যারিস,	
pnouchute,	পৌঁছতে,	পৌঁছুতে,	
utshahe,	উত্সাহে,	উৎসাহে,	
bharson,	ভার্সন,	ভারশন,	
ponchaasjon,	পঞ্চাসবন,	পঞ্চাশজন,	
nagorikota,	নাগরিকতা,	নাগরিকতা,	
shtonahenja,	স্থানাহ্জা,	স্টোনহেঞ্জ,	
jeebnagar,	জীবনগগর,	জীবননগর,	
rokibul,	রকিবুল,	রকিবুল,	
rajtontre,	রাজতন্ত্রে,	রাজতন্ত্রে,	
duplex,	ডাপ্লেক,	ডুপ্লে,	
ghoor,	ঘুর,	ঘুর,	
aarke,	আরকে,	আরকে,	
melobborner,	মেলবব্রণের,	মেলবোর্নের,	
selim,	সেলিম,	সেলিম,	
poster,	পোস্টার,	পোস্টের,	
debdebie,	দেবদেবী,	দেবদেবী,	
sikkhagoto,	শিক্ষাগত,	শিক্ষাগত,	
brindabane,	বৃণ্যানবেন,	বৃন্দাবনে,	
shahanara,	শাহনারা,	শাহানারা,	
bhromonkaale,	ভ্রমণকালে,	ভ্রমণকালে,	
aholyar,	আহল্যার,	অহল্যার,	
anis,	অনিস,	আনিস,	
baard,	বার্ড,	বার্ড,	
kark,	কার্ক,	কার্ক,	
vaisaha,	বৈইসহ,	ভাইসহ,	
madhobi,	মাধবী,	মাধবী,	
suraropito,	সুরারোপিত,	সুরারোপিত,	
heepataitisa,	হিপটেটিট,	হেপাটাইটিস,	
byapoktor,	ব্যাপক্তর,	ব্যাপকতর,	
mast,	মাস্ট,	মাস্ত,	
shikkhartheerao,	শিক্ষার্থীরা,	শিক্ষার্থীরাও,	
shringgo,	শ্রীগ্গ,	শৃঙ্গ,	
overviu,	অভারভিউ,	ওভারভিউ,	
aashirbaad,	আশীর্বাদ,	আশির্বাদ,	
grambasi,	গ্রমবাসী,	গ্রামবাসী,	
shaarok,	সারক,	স্মারক,	
nathibhukto,	নথিভুক্ত,	নথিভুক্ত,	
manobsomajer,	মানবসমাজের,	মানবসমাজের,	
ba,	বা,	বু,	
kruser,	ক্রাসের,	ক্রুশের,	
kutir,	কুটির,	কুটির,	
cyphy,	সিইি,	সাইফাই,	
karadonde,	কারাদন্ডে,	কারাদণ্ডে,	
bem,	বেম,	বিম,	
shchalastik,	স্বাচলসিতিক,	স্কলাস্টিক,	
sonaktokaran,	সনাক্তকরণ,	সনাক্তকরণ,	
kada,	কাদা,	কোডা,	
chowdhuryder,	চৌধুরদের,	চৌধুরীদের,	
sheekar,	শিকার,	শিকার,	
abhidhaaneek,	অভিধানিক,	অভিধানিক,	
chowdhuryo,	চৌধুর্য,	চৌধুরীও,	
dibaag,	দিবাগ,	ডিবাগ,	
gajetted,	গেজেটটে,	গেজেটেড,	
drishyogulo,	দৃশ্যগুলো,	দৃশ্যগুলো,	
meghacchonno,	ম্যাচচচ্ন,	মেঘাচ্ছন্ন,	
lakkhero,	লক্ষেরও,	লক্ষেরও,	
poshchate,	পশ্চতে,	পশ্চাতে,	
fising,	ফিসিং,	ফিসিং,	
graameroi,	গ্রামারই,	গ্রামেরই,	
ekoirakom,	একইরকম,	একইরকম,	
bohorompurer,	বহরামপুরের,	বহরমপুরের,	
nirbaha,	নির্বাহ,	নির্বাহ,	
karlasa,	কার্লস,	কার্লোস,	
karadondey,	কারাদন্ডে,	কারাদণ্ডে,	
sommotitey,	সম্মতিতে,	সম্মতিতে,	
templete,	টেম্পলেট,	টেম্পলেট,	
nicqel,	নিকেল,	নিকেল,	
shangsthagulo,	সংস্থাগুলো,	সংস্থাগুলো,	
marodeho,	মারদেহও,	মরদেহ,	
totokkhon,	ততক্ষণ,	ততক্ষন,	
ooeepoka,	উইপপকা,	উইপোকা,	
bbiseshyer,	বিশেষ্যের,	বিশেষ্যের,	
militaryr,	মিলিটারির,	মিলিটারির,	
modeler,	মোদেলের,	মডেলের,	
temas,	টেমস,	টাইমস্,	
pari,	প্যারি,	পেরি,	
jacksoner,	জকযাসনের,	জ্যাকসনের,	
turishta,	তুরিষ্ট,	টুরিস্ট,	
mitrao,	মিটরাও,	মিত্রও,	
probhritir,	প্রভৃতির,	প্রভৃতির,	
elakatay,	এলাকাতে,	এলাকাতে,	
leader,	লিডার,	লিডার,	
