tokei,	তোকেই,	ত্বকেই,	
robot,	রোবট,	রোবোট,	
patenter,	প্যাটেন্টার,	পেটেন্টের,	
sushukkhar,	শুসুক্ষর,	সুশিক্ষার,	
elakati,	এলাকাটি,	এলাকাটি,	
shorsha,	সর্ষা,	সোর্স,	
nyeta,	ন্যাট,	ম্যাট,	
faltir,	ফলটির,	ফলটির,	
debate,	দেবতে,	ডিবেট,	
vejaano,	ভেজানো,	ভেজানো,	
besoor,	বেসুর,	বেসুর,	
niropeksh,	নিরপেক্স,	নিরপেক্ষ,	
akib,	একিব,	আকিব,	
bongobondhu,	বঙ্গবন্ধু,	বঙ্গবন্ধু,	
niutrina,	নিউট্রিন,	নিউট্রিনো,	
expreshshion,	এক্সপ্রেশন,	এক্সপ্রেশন,	
deputii,	দেপুিি,	ডেপুটি,	
zoubonkal,	যৌবনকাল,	যৌবনকাল,	
dharagulor,	ধারাগুলোর,	ধারাগুলোর,	
varotey,	ভারতে,	ভারতে,	
porijoner,	পরিজনের,	পরিজনের,	
pratijogira,	প্রতিযোগীরা,	প্রতিযোগীরা,	
asoociates,	অ্যাসোসিটেস,	এসোসিয়েটস,	
sheshardhe,	শেষার্ধে,	শেষার্ধে,	
ghatla,	ঘটলা,	ঘটল,	
moshan,	মোশন,	মোশন,	
myakbeth,	ম্যাকথেব,	ম্যাকবেথ,	
meshenjar,	মেসেঞ্জার,	মেসেঞ্জার,	
badhadan,	বাধাান,	বাধাদান,	
truup,	ট্রুপ,	ট্রুপ,	
duburyra,	দুবূরীরা,	ডুবুরিরা,	
konruup,	কনরুপ,	কোনরূপ,	
vedanta,	ভেদনটা,	বেদান্ত,	
ddhake,	ঢেকে,	ঢেকে,	
shhikar,	স্বীকার,	শিকার,	
karmopontha,	কর্মপন্থ,	কর্মপন্থা,	
alimpika,	আলিম্পিক,	অলিম্পিক,	
mohit,	মোহিত,	মুহিত,	
tonight,	টনিংট,	টুনাইট,	
locker,	লকের,	লকের,	
bipajjanak,	বিপজজনক,	বিপজ্জনক,	
minishtar,	মিনিস্টার,	মিনিস্টার,	
lidara,	লিডার,	লিডার,	
graambaasi,	গ্রামাবাসী,	গ্রামবাসী,	
aashtikota,	আস্তিকতা,	আস্তিকতা,	
dhwajbhango,	ধ্বভঙ্গ,	ধ্বজভঙ্গ,	
kyathlik,	ক্যাথলিক,	ক্যাথলিক,	
shanstha,	সংস্থ,	সংস্থা,	
shomostigoto,	সমস্তিগত,	সমষ্টিগত,	
arunima,	অরুণিমা,	অরুণিমা,	
maudelgulo,	মৌদিলগুলো,	মডেলগুলো,	
samanwitobhabe,	সমানুতভিকভাবে,	সমন্বিতভাবে,	
ja,	যা,	জ্যা,	
pare,	পারে,	পাড়ে,	
observer,	অব্সেরভের,	অবজার্ভার,	
shekend,	সেকেন্ড,	সেকেণ্ড,	
jonopoth,	জনপথ,	জনপথ,	
sakar,	সাকার,	সকার,	
paddhatiteo,	পদ্ধতিতে,	পদ্ধতিতেই,	
hastantar,	হস্তান্তর,	হস্তান্তর,	
korkat,	কর্কাট,	কর্কট,	
lambate,	লম্বতে,	লম্বাটে,	
aabahon,	আবাহন,	আবাহন,	
sthapona,	স্থাপনা,	স্থাপনা,	
oncholgulote,	অঞ্চলুলোতে,	অঞ্চলগুলোতে,	
surakarder,	সুরকারদের,	সুরকারদের,	
plane,	প্ল্যান,	প্লেন,	
pratistha,	প্রতিষ্ঠা,	প্রতিষ্টা,	
kraim,	ক্রেম,	ক্রাইম,	
thatcher,	থাটারের,	থ্যাচার,	
thailandsaho,	তাইলাদ্সহ,	থাইল্যান্ডসহ,	
oitijjo,	ঐতিহ্য,	ঐতিহ্য,	
sukkho,	সূক্ষ্ম,	সুক্ষ্ম,	
turkeyder,	তুর্কীদের,	তুর্কিদের,	
raha,	রহ,	রঃ,	
konrup,	কনরুপ,	কোনরূপ,	
alpa,	আল্প,	অল্প,	
lokshero,	লক্ষেরও,	লক্ষেরও,	
gandagol,	গণ্ডাগোল,	গন্ডগোল,	
siitei,	সীতেই,	শীতেই,	
ivam,	ইভাম,	ইভিএম,	
tinti,	তিনটি,	তিনটি,	
elaakaa,	এলাকা,	এলাকা,	
ganonatya,	গণনতত্য,	গণনাট্য,	
torun,	তরুণ,	তরুন,	
ghesa,	ঘেস,	ঘেঁষা,	
dibeta,	দিবেতা,	ডিবেট,	
laisens,	ল্যান্স,	লাইসেন্স,	
udvaban,	উদ্ভবন,	উদ্ভাবন,	
touraat,	তুরাট,	তওরাত,	
utkhaat,	উৎ্খাত,	উত্খাত,	
nirbaaho,	নির্বাহ,	নির্বাহ,	
salim,	সালিম,	সেলিম,	
sofyr,	সফীর,	সোফির,	
satthikota,	সাথিকতা,	সঠিকতা,	
tennis,	টেনিস,	টেনিস,	
iura,	ইউরো,	ইউরো,	
bbonyopran,	বন্যপ্রাণ,	বন্যপ্রাণ,	
kadorer,	কাদরের,	কদরের,	
rakhtokkharoner,	রক্তকরখণের,	রক্তক্ষরণের,	
samanyai,	সামান্যই,	সামান্যই,	
gatre,	গোত্রে,	গাত্রে,	
balokarok,	বালকারক,	বলকারক,	
horiddare,	হরিদ্যারে,	হরিদ্বারে,	
dekhbar,	দেখবার,	দেখবার,	
pouchute,	পৌঁছুতে,	পৌঁছুতে,	
sumee,	সুমি,	সুমি,	
chhutir,	ছুটির,	ছুটির,	
karmake,	কর্মকে,	কর্মকে,	
vumij,	ভূমিজ,	ভূমিজ,	
shilpojato,	শিল্পজত,	শিল্পজাত,	
kompekt,	কম্পেক্ট,	কমপ্যাক্ট,	
naker,	নাকের,	নেকের,	
changee,	চঙ্গে,	চেঞ্জ,	
vaphara,	ভাফার,	বাফার,	
spredashiita,	স্প্রদেশিতা,	স্প্রেডশীট,	
sanmukh,	সন্মুখ,	সন্মুখ,	
verma,	ভার্মা,	ভার্মা,	
chereche,	চেরেছে,	ছেড়েছে,	
hugh,	হুঘ,	হিউজ,	
ekspression,	এক্সপ্রেশন,	এক্সপ্রেশন,	
parjataker,	পর্যাতকের,	পর্যটকের,	
ganochiener,	গণোচ্ছেনের,	গণচীনের,	
dharavahiker,	ধারাভাবিকের,	ধারাবাহিকের,	
shatan,	শতন,	শয়তান,	
lyata,	ল্যাট,	ল্যাটা,	
dakteekite,	ডাক্তিকিতে,	ডাকটিকিটে,	
masajida,	মাজাসিদ,	মসজিদ,	
pooshti,	পুষ্টি,	পুষ্টি,	
arekdol,	আরেকদল,	আরেকদল,	
taale,	তালে,	তালে,	
ponjikar,	পঞ্জিকার,	পঞ্জিকার,	
sangbadmadhyame,	সংবাদদ্ধমে,	সংবাদমাধ্যমে,	
phutonta,	ফুটন্ট,	ফুটন্ত,	
satarkotar,	সতারকতার,	সতর্কতার,	
tet,	তে,	টেট,	
gandhio,	গান্ধিও,	গান্ধীও,	
bondhuderke,	বন্ধুদেরকে,	বন্ধুদেরকে,	
gunman,	গুণমান,	গুণমান,	
nothivukto,	নথিভুক্ত,	নথিভুক্ত,	
elakatey,	এলাকাতে,	এলাকাতে,	
bahati,	বাহাতি,	বাহাতি,	
itostatah,	ইতোস্টাহ,	ইতস্ততঃ,	
thakte,	থাকতে,	থাকতে,	
sho,	শো,	শো,	
koontee,	কুনটি,	কুন্তী,	
gaadhaa,	গাধা,	গাধা,	
ooindo,	উইন্ডো,	উইন্ডো,	
kiiborder,	কিবোর্ডের,	কীবোর্ডের,	
amstrang,	অমস্ট্রাং,	আর্মস্ট্রং,	
break,	ব্রেক,	ব্রেক,	
shayanaida,	সাইনাইড,	সায়ানাইড,	
jeebjontu,	জীবন্তু,	জীবজন্তু,	
odure,	অদূরে,	অদুরে,	
godabori,	গদাবরী,	গোদাবরী,	
grambaasi,	গ্রাম্বাসী,	গ্রামবাসী,	
komaatei,	কমাতেই,	কমাতেই,	
plak,	প্লক,	প্ল্যাক,	
anodhikar,	অনোধিকার,	অনধিকার,	
fatakasto,	ফটাাকাস্ত,	ফাটাকেষ্ট,	
pab,	পাব,	পাব,	
dhwajbhanga,	ধ্বভঙ্গ,	ধ্বজভঙ্গ,	
kooyeri,	কোরই,	কোয়েরি,	
ahang,	আহং,	অহং,	
somabesh,	সমাবেশ,	সমাবেশ,	
chhaani,	ছানি,	ছানি,	
chanoo,	চানু,	চানু,	
eksathe,	একসাথে,	একসাথে,	
tofaat,	টফাট,	তফাৎ,	
muhammod,	মুহাম্মাদ,	মুহম্মদ,	
novel,	নোভেল,	নভেল,	
meghnadbadh,	মেঘনাদবধ,	মেঘনাদবধ,	
thelaa,	ঠেলা,	ঠেলা,	
chalachchitrake,	চলচ্চিত্রকে,	চলচ্চিত্রকে,	
obhishangson,	অভিষাংশন,	অভিশংসন,	
nothibhookteer,	নথিভূক্তির,	নথিভুক্তির,	
overveu,	ওভারভো,	ওভারভিউ,	
graambaasir,	গ্রামবাসির,	গ্রামবাসীর,	
asamonjoshyopurno,	অসামস্যপূর্ণ,	অসামঞ্জস্যপূর্ণ,	
eder,	এদের,	এদের,	
meetropolitan,	মেত্রপোলিটান,	মেট্রোপলিটন,	
khelafate,	খেলাফাতে,	খেলাফতে,	
pratyokkhobhabe,	প্রত্যাক্ষভাবে,	প্রত্যক্ষভাবে,	
jonoikaa,	যোনিকা,	জনৈকা,	
saqara,	সকাারা,	সাকার,	
panero,	পনেরো,	পনের,	
municipal,	মুনিনিকাল,	মিউনিসিপ্যাল,	
byatarii,	ব্যাতারী,	ব্যাটারী,	
shooter,	শুটার,	শ্যুটার,	
jonite,	যোনিতে,	যোনীতে,	
orthanitike,	অর্থনীতিকে,	অর্থনীতিকে,	
manober,	মননবের,	মানবের,	
sepha,	সেফ,	শেফ,	
pragresa,	প্রগ্রেস,	প্রগ্রেস,	
aatok,	আটক,	আটক,	
prabhura,	প্রভূরা,	প্রভুরা,	
uponeeshoder,	উপনিষদের,	উপনিষদের,	
graambaasio,	গ্রামাবায়সও,	গ্রামবাসীও,	
jwolbe,	জ্বলবে,	জ্বলবে,	
dhila,	ধীলা,	ঢিলা,	
rijoor,	রিজুর,	রিজুর,	
navel,	নেভেল,	নভেল,	
dipei,	দিপেই,	দ্বীপেই,	
radhanogor,	রাধানগর,	রাধানগর,	
muktoome,	মুক্তমে,	মাকতুম,	
chalesi,	চলেছি,	চলেছি,	
inafarameshana,	ইনফরমেশন,	ইনফরমেশন,	
nadike,	নাদিকে,	নদীকে,	
eskol,	এসকল,	এসকল,	
sikkhakder,	শিক্ষাকদের,	শিক্ষকদের,	
prostutkarak,	প্রস্তুতকারক,	প্রস্তুতকারক,	
harbore,	হার্বরে,	হারবারে,	
bisnuu,	বিশ্ণু,	বিষ্ণু,	
canton,	ক্যান্টন,	ক্যান্টন,	
rubidiyam,	রুবিদিয়াম,	রুবিডিয়াম,	
valobasar,	ভালবাসার,	ভালোবাসার,	
nathivukto,	নথিভুক্ত,	নথিভুক্ত,	
surke,	সুর্কে,	সুরকে,	
logic,	লোগিক,	লজিক,	
romantiq,	রোমান্টিক,	রোমান্টিক,	
obosan,	অবসান,	অবসান,	
sosoa,	সসা,	শশা,	
aidin,	আদিন,	এইদিন,	
jeerusaleem,	জেরুশলেম,	জেরুসালেম,	
bolovodro,	বলভদ্র,	বলভদ্র,	
morathi,	মরাথী,	মরাঠি,	
bondiike,	বন্দিকে,	বন্দীকে,	
beshirbhaagi,	বেশিরভাগই,	বেশিরভাগই,	
tovnship,	তনভীপ,	টাউনশিপ,	
fala,	ফলল,	পোলো,	
difinishian,	ডিফিনিশন,	ডেফিনেশন,	
ganokontho,	গণণক্ঠ,	গণকণ্ঠ,	
masterer,	ম্স্টারের,	মাস্টারের,	
sector,	সেক্টর,	সেক্টর,	
mugdho,	মুগ্ধ,	মুগ্ধ,	
alngkoron,	অলঙ্করণ,	অলঙ্করণ,	
bonsho,	বংশ,	বংশ,	
karmapantha,	কর্মপন্থ,	কর্মপন্থা,	
samavesh,	সমভেশ,	সমাবেশ,	
dibet,	দিব্বত,	ডিবেট,	
ajeemke,	আজিমকে,	আজিমকে,	
gostigoolo,	গোষ্টিগুলো,	গোষ্ঠীগুলো,	
biswashi,	বিশ্বাসী,	বিশ্বাসী,	
infarmatian,	ইনফরম্যেশন,	ইনফরমেশন,	
sabche,	সবছে,	সবচে,	
phaksa,	ফক্স,	ফক্স,	
shoriph,	শরীফ,	শরিফ,	
abhidhaaneek,	অভিধানিক,	অভিধানিক,	
sonatani,	সোনাটানি,	সনাতনী,	
awrbit,	অর্বিত,	অরবিট,	
sonali,	সোনালি,	সোনালী,	
candy,	ক্যান্ডি,	ক্যান্ডি,	
deubande,	ডিউবন্ডে,	দেওবন্দে,	
foks,	ফ্যাক্স,	ফক্স,	
bhangey,	ভঙ্গে,	ভাঙ্গে,	
marryir,	মেরির,	ম্যারির,	
economeeks,	ইকোনমিক্স,	ইকোনমিকস,	
turqamena,	টুর্কমেন,	তুর্কমেন,	
hizritey,	হিজরিতে,	হিজরীতে,	
shatjoner,	সতজনের,	সাতজনের,	
mosan,	মোষন,	মোশন,	
meeseenjar,	মেসেঞ্জার,	মেসেঞ্জার,	
bazaareo,	বাজারেও,	বাজারেও,	
shiqar,	স্বীকার,	শিকার,	
saahocorrzo,	সাহচর্য,	সাহচর্য,	
definition,	ডেফিনিশন,	ডেফিনেশন,	
vittio,	ভিটিও,	ভিত্তিও,	
bishod,	বিশদ,	বিষদ,	
ponnee,	পন্নী,	পন্নী,	
jillul,	জিল্লুল,	জিল্লুল,	
wedanta,	উদেন্ট,	বেদান্ত,	
sadena,	সদেন,	সাডেন,	
harysher,	হররিসের,	হ্যারিসের,	
deeares,	ডিযারেস,	ডিআরএস,	
votar,	ভোটর,	ভোটার,	
rudrake,	রুদ্রকে,	রুদ্রকে,	
chaudhurir,	চৌধুরির,	চৌধুরীর,	
direktareta,	ডিরেক্টরেট,	ডিরেক্টরেট,	
modelgulo,	মদেলগুলো,	মডেলগুলো,	
sukumari,	সুকুমারী,	সুকুমারী,	
sanatani,	সনতানি,	সনাতনী,	
shikkhao,	শিক্ষাও,	শিক্ষাও,	
daayitto,	দাইত্য,	দায়িত্ব,	
booth,	বুঠ,	বুথ,	
shcholastic,	স্কলাস্টিক,	স্কলাস্টিক,	
machhder,	মাছদের,	মাছদের,	
pratisthasoho,	প্রতিষ্ঠাসহ,	প্রতিষ্ঠাসহ,	
arthat,	অর্থাত,	অর্থাৎ,	
rena,	রেন,	রেনো,	
moushumei,	মৌুমেই,	মৌসুমেই,	
kyaneela,	ক্যানেল,	ক্যানেল,	
sarjur,	সার্জুর,	সরযূর,	
kousholgoto,	কৌসগলগত,	কৌশলগত,	
kortonaa,	কর্তনা,	করতনা,	
teamothy,	টেমথি,	টিমোথি,	
paaree,	পারি,	পাড়ে,	
machder,	মাছদের,	মাছদের,	
uinndos,	উইন্ডোস,	উইন্ডোস,	
upanishad,	উপনিষদ,	উপনিষদ,	
neerbaho,	নির্বাহ,	নির্বাহ,	
obdee,	অব্দি,	অব্দি,	
armstrong,	আর্মস্ট্রং,	আর্মস্ট্রং,	
iviem,	ইভিএম,	ইভিএম,	
mag,	ম্যাগ,	এমএজি,	
jorury,	জরুরি,	জরূরী,	
besur,	বেসুর,	বেসুর,	
digrike,	ডিগ্রীকে,	ডিগ্রিকে,	
homshke,	হমস্কে,	হোমসকে,	
sanaktokaron,	সনাক্তকরণ,	সনাক্তকরণ,	
roomantic,	রোম্যান্টিক,	রোমান্টিক,	
naubihar,	নৌবিহার,	নৌবিহার,	
antarctica,	অন্তর্কটিকা,	অ্যান্টার্কটিকা,	
eeraner,	ইরানের,	ইরানের,	
koieri,	কইয়েরি,	কোয়েরি,	
reejideencee,	রেজিডেন্স,	রেসিডেন্স,	
uporitoler,	উপরিতলের,	উপরিতলের,	
risorte,	রিসর্টে,	রিসোর্টে,	
udbodhony,	উদ্বধননী,	উদ্বোধনী,	
shaalehaa,	সালেহা,	সালেহা,	
highcommissioney,	হাইকমিশনে,	হাইকমিশনে,	
jonomukhee,	জনমুখী,	জনমুখী,	
gosthi,	গোষ্ঠী,	গোষ্ঠী,	
nikeela,	নিকেলা,	নিকেল,	
awatar,	আওতার,	অবতার,	
hoshein,	হোসেইন,	হোসেইন,	
qaro,	কারো,	কারো,	
ase,	আসে,	আসে,	
pisach,	পিশাচ,	পিশাচ,	
pathkramer,	পাঠক্রমের,	পাঠক্রমের,	
kindom,	কিন্দম,	কিংডম,	
mukhomondol,	মুখমন্ডল,	মুখমণ্ডল,	
ateeteo,	আতিতেও,	অতীতেও,	
dinnar,	দিনার,	ডিনার,	
onodhikar,	অনধিকার,	অনধিকার,	
ghatol,	ঘটল,	ঘটল,	
hisabke,	হিসাবকে,	হিসাবকে,	
bhenise,	ভেনিসে,	ভেনিসে,	
motkey,	মতকে,	মতকে,	
rajon,	রজন,	রাজন,	
jamanor,	জামানোর,	জমানোর,	
mela,	মেলা,	মাইল,	
moomtaj,	মমতাজ,	মুমতাজ,	
nischitbhabe,	নিশ্চিতভাবে,	নিশ্চিতভাবে,	
elaakate,	এলাকাতে,	এলাকাতে,	
sures,	সুরেশ,	সুরেশ,	
olongkoron,	অলংকরণ,	অলঙ্করণ,	
shikshakke,	শিক্ষাককে,	শিক্ষককে,	
hyper,	হাইপার,	হাইপার,	
mukhya,	মূখ্য,	মুখ্য,	
estaniya,	এস্টেনিয়া,	এস্তোনিয়া,	
chhooti,	ছুটি,	ছুটি,	
dharmee,	ধর্মি,	ধর্মী,	
shilbar,	সিলবার,	সিলভার,	
ajuhat,	অজুহাত,	অজুহাত,	
abatar,	অবতার,	অবতার,	
heebhi,	হেভি,	হেভি,	
vageryi,	ভাগেরই,	ভাগেরই,	
dorgaho,	দরগাহ,	দরগাহ,	
jaj,	যজ,	জাজ,	
karecho,	করেছো,	করেছো,	
phareksa,	ফরেক্স,	ফরেক্স,	
ministara,	মিনিস্টার,	মিনিস্টার,	
kiirti,	কীরটি,	কীর্তি,	
concerter,	কনসার্টের,	কানসাটের,	
jaksa,	যক্ষ্,	যক্ষ,	
alaoler,	আলালের,	আলাওলের,	
vangey,	ভঙ্গে,	ভাঙ্গে,	
itostatoh,	ইতোস্টোথ,	ইতস্ততঃ,	
ghatiti,	ঘটিটি,	ঘাঁটিটি,	
gabeshakgon,	গবেষকগণ,	গবেষকগণ,	
bhenisa,	ভেনিস,	ভেনিস,	
miley,	মিলে,	মিলে,	
shaahoshikataar,	সাহাসিকতার,	সাহসিকতার,	
jony,	জনি,	জনি,	
peeri,	পেরী,	পেরি,	
nabatamo,	নবততম,	নবতম,	
stanahenja,	স্টেনাহেঞ্জ,	স্টোনহেঞ্জ,	
shoreefer,	শরীফের,	শরিফের,	
zackson,	যাকসন,	জ্যাকসন,	
ghoorchen,	ঘুরছেন,	ঘুরেছেন,	
cholochchitrei,	চলচিত্রেই,	চলচ্চিত্রেই,	
qirq,	কার্ক,	কার্ক,	
vabatarini,	ভবতারিণী,	ভবতারিণী,	
sojja,	সয্জা,	সজ্জা,	
spashtatai,	স্পষ্টটাই,	স্পষ্টতই,	
diyares,	ডিয়ার্স,	ডিআরএস,	
lyaand,	ল্যান্ড,	ল্যান্ড,	
stonahenja,	স্ট্যানেভ্জ,	স্টোনহেঞ্জ,	
sikkhakram,	শিক্ষাক্রম,	শিক্ষাক্রম,	
bosstonto,	বস্তন্ত,	বসন্ত,	
mitrer,	মিত্রের,	মিত্রের,	
khijir,	খিজির,	খিজির,	
depp,	ডেপ,	ডেপ,	
aaireesh,	আইরিশ,	আইরিস,	
ivir,	ইভির,	এভার,	
nischitorupey,	নিশ্চিতরূপে,	নিশ্চিতরূপে,	
aajiboner,	আজিবনের,	আজীবনের,	
surokarder,	সুরকারদের,	সুরকারদের,	
peengna,	পিন্ন,	পিংনা,	
durgo,	দুর্গ,	দুর্গ,	
bohubar,	বহুবার,	বহুবার,	
sharoker,	শ্রাকের,	স্মারকের,	
mathew,	মথে,	ম্যাথিউ,	
bbiseshyo,	বিশেষ্য,	বিশেষ্য,	
phikshim,	ফিক্সিম,	ফিক্সিং,	
horas,	হরাস,	হোরাস,	
noitikbhabe,	নৈতিকভাবে,	নৈতিকভাবে,	
narafoka,	নরফাকো,	নরফোক,	
bocchon,	বচ্্চন,	বচ্চন,	
bifol,	বিফল,	বিফল,	
nondolaal,	নন্দদালাল,	নন্দলাল,	
salapheeta,	সালফিট,	সালফেট,	
rohosyer,	রহস্যের,	রহস্যের,	
deejeejer,	ডিজেজের,	ডিজিজের,	
protijogira,	প্রতিযোগীরা,	প্রতিযোগীরা,	
skoora,	স্ক্রো,	স্কোর,	
shefa,	সেফ,	শেফ,	
dijnii,	ডিজনি,	ডিজনী,	
promothesh,	প্রমথেেশ,	প্রমথেশ,	
tenys,	টেনিস,	টেনিস,	
mitar,	মিতার,	মিত্র,	
bhotarer,	ভোটরের,	ভোটারের,	
antorvukto,	অন্তর্ভূক্ত,	অন্তর্ভুক্ত,	
poorohitke,	পুরোহীতকে,	পুরোহিতকে,	
quota,	কোয়োট,	কোটা,	
falashrutite,	ফলাস্রুতিতে,	ফলশ্রুতিতে,	
gabeshonagar,	গবেষণাগার,	গবেষনাগার,	
sukhma,	সূখ্ম,	সুক্ষ্ম,	
samoshti,	সমস্তি,	সমষ্টি,	
dower,	ডাওয়ার,	ডোভার,	
kriita,	ক্রীত,	ক্রীট,	
template,	টেম্পল্টে,	টেম্পলেট,	
baipasa,	বাইপাসা,	বাইপাস,	
naditei,	নদদেতেই,	নদীতেই,	
lagchhe,	লাগছে,	লাগছে,	
kk,	কিং,	কেকে,	
kyethalika,	ক্যাথলিক,	ক্যাথলিক,	
dhanche,	ধাঁচে,	ধাঁচে,	
jerujalemer,	জেরুজলেমের,	জেরুজালেমের,	
hotodoreedro,	হতদরদীর্য,	হতদরিদ্র,	
zerusalemer,	জেরুসলেমের,	জেরুজালেমের,	
matte,	ম্যাটে,	ম্যাট,	
janake,	জনকে,	জানাতে,	
angshogrohon,	অংশগ্রহণ,	অংশগ্রহন,	
oodoore,	উদুরে,	অদুরে,	
angshogragon,	অংশগ্রগণ,	অংশগ্রহন,	
palbongsher,	পালবংশের,	পালবংশের,	
labanaktatar,	লবনাক্ততার,	লবণাক্ততার,	
kormyi,	কর্মেই,	কর্মই,	
sumo,	সুমো,	সুমো,	
bossoben,	বসবেন,	বসবেন,	
tinhazar,	তিনহাজার,	তিনহাজার,	
baasake,	বাসাকে,	বাসাকে,	
ibhil,	ইভিল,	ইভিল,	
sollallhu,	সল্লাল্লু,	সল্লাল্লাহু,	
sahoocorzo,	সহুচর্য,	সাহচর্য,	
prithibir,	পৃথিবীর,	পৃথবীর,	
baataree,	বাতারী,	ব্যাটারী,	
dephinision,	ডেফিনিশন,	ডেফিনেশন,	
bohudin,	বহুদিন,	বহুদিন,	
alankaron,	অলঙ্করণ,	অলঙ্করণ,	
teman,	টেমন,	তেমন,	
qlauda,	ক্লাড,	ক্লাউড,	
ashonka,	আসঙ্ক,	আশংকা,	
basatey,	বসাতে,	বাসাতে,	
pravritike,	প্রাভৃতিকে,	প্রভৃতিকে,	
oitijjho,	ঐতিহ্য,	ঐতিহ্য,	
taki,	তাকী,	তকি,	
tokee,	টোকে,	তকি,	
digreer,	ডিগ্রীর,	ডিগ্রির,	
faster,	ফেস্টার,	ফস্টার,	
joubanbatee,	যৌবনবতী,	যৌবনবতী,	
hijriite,	হিজরিতে,	হিজরীতে,	
progreshsh,	প্রগ্রেস,	প্রগ্রেস,	
bupher,	বাফের,	বাফার,	
pashaner,	পাষণের,	পাষাণের,	
kuary,	কুয়ারি,	কোয়েরি,	
yucalyptus,	ইউক্যালিপাাস,	ইউক্যালিপ্টাস,	
bhalobass,	ভালবাস,	ভালোবাসা,	
priimo,	প্রীমও,	প্রিমো,	
ujbekistaner,	উজবেকিস্তানের,	উজবেকিস্তানের,	
udbhaboney,	উদ্ভাবনে,	উদ্ভাবনে,	
samrat,	সমরত,	সম্রাট,	
choity,	চৈতি,	চৈতি,	
beeswasee,	বিশ্বাসী,	বিশ্বাসে,	
romantiqa,	রোমান্টিক,	রোমান্টিক,	
neurologi,	নিউরোলজি,	নিউরোলজি,	
chanu,	চানু,	চানু,	
ramdhanu,	রমধুনো,	রামধনু,	
shaatjon,	সাতজন,	সাতজন,	
koordira,	কুর্দিরা,	কুর্দিরা,	
debodebir,	দেবদেবির,	দেবদেবীর,	
charjito,	চার্জিত,	চার্জিত,	
agomone,	আগমনে,	আগমনে,	
saya,	সয়,	সোয়া,	
di,	ডি,	দিই,	
choshon,	চোষণ,	চোষণ,	
teentir,	তিনটির,	তিনটির,	
brindabane,	বৃর্দনবানে,	বৃন্দাবনে,	
choson,	চোষণ,	চোষণ,	
ispreedshit,	ইস্পৃরদেশট,	স্প্রেডশীট,	
udbhaboni,	উদ্ভাবনী,	উদ্ভাবনী,	
roja,	রোজা,	রোযা,	
bhittitei,	ভিতিতেই,	ভিত্তিতেই,	
joonsa,	জোনস,	জোন্স,	
sushri,	সুসরী,	সুশ্রী,	
taanteera,	তান্তীরা,	তাঁতিরা,	
mandope,	মন্ডপে,	মন্ডপে,	
ujobekeestan,	উজবেকিস্তান,	উজবেকিস্তান,	
abheegomon,	অভিগমন,	অভিগমন,	
suparahiro,	সুপারীহার,	সুপারহিরো,	
vip,	ভিপ,	ভিআইপি,	
ovigomon,	অভিগমন,	অভিগমন,	
drissogulote,	দৃশ্যাগুলোতে,	দৃশ্যগুলোতে,	
falashrutiti,	ফলাস্রুটিতি,	ফলশ্রুতি,	
sahokaree,	সহকারি,	সহকারী,	
somonnitobhabe,	সমন্নিতভাবে,	সমন্বিতভাবে,	
aatto,	আত্ো,	আত্ম,	
pubancholer,	পুব্যঞ্চলের,	পূর্বাঞ্চলের,	
niro,	নিরো,	নির,	
bhalta,	ভল্ট,	ভল্ট,	
daakticketer,	ডাক্তিকেটের,	ডাকটিকিটের,	
dhyanastho,	ধ্যনস্থ,	ধ্যানস্থ,	
rajbondi,	রাজনবদী,	রাজবন্দী,	
rajtontro,	রাজতন্ত্র,	রাজতন্ত্র,	
kushomva,	কুষম্ভ,	কুশুম্বা,	
sammatitey,	সম্মতিতে,	সম্মতিতে,	
parka,	পার্ক,	পার্ক,	
chattke,	চটকে,	ছাতকে,	
brooklyn,	ব্রুকলিন,	ব্রুকলিন,	
khuni,	খুনী,	খুনি,	
jatinkey,	যাতিনকে,	যতীনকে,	
taalgaachh,	তালগাছ,	তালগাছ,	
beshorkarikarone,	বেসরকারীকরণ,	বেসরকারিকরণ,	
ssteit,	স্টেট,	স্টেইট,	
janapoth,	জনপথ,	জনপথ,	
swosti,	স্বস্তি,	স্বস্তি,	
maricha,	মেরিকো,	মরিচা,	
ponchaashjon,	পঞ্চাশজন,	পঞ্চাশজন,	
awatara,	আওতার,	অবতার,	
porikhar,	পরীক্ষার,	পরিখার,	
jacqsan,	যাকসন,	জ্যাকসন,	
gaiche,	গেছে,	গাইছে,	
dibidh,	দিবিধ,	দ্বিবিধ,	
dhyan,	ধ্যান,	ধ্যান,	
dephinesana,	ডেফিনেশন,	ডেফিনেশন,	
mit,	মিট,	মিট,	
agomoner,	আগমনের,	আগমনের,	
danakana,	ডানাকোন,	ডানকান,	
omittrakkhor,	অমিত্রাখ্ষর,	অমিত্রাক্ষর,	
bhyatikaaner,	ভ্যাটিকানের,	ভ্যাটিকানের,	
torcarir,	তরকারির,	তরকারীর,	
sangkalanti,	সংকলনটি,	সংকলনটি,	
parikhar,	পরীক্ষার,	পরিখার,	
prashikkhane,	প্রশিক্ষণে,	প্রশিক্ষণে,	
nikoter,	নিকটের,	নিকটের,	
pratijogitar,	প্রতিযোগিতার,	প্রতিযোগীতার,	
ajimke,	আজিমকে,	আজিমকে,	
quoota,	কুউোট,	কোটা,	
