ghumato,	ঘুমত,	ঘুমাতো,	
kurdider,	কুর্দীদের,	কুর্দিদের,	
america,	অ্যামেরিকা,	আমেরিকা,	
oichchhik,	উচ্ছিক,	ঐচ্ছিক,	
bike,	বিকে,	বাইক,	
cherechhe,	চেরেছে,	ছেড়েছে,	
oitijhyo,	ঐতিহ্য,	ঐতিহ্য,	
heelse,	হিলসে,	হিলসে,	
onkita,	অঙকিত,	অঙ্কিতা,	
kaareer,	কারির,	কারীর,	
parsher,	পার্সের,	পার্শ্বের,	
transformaarer,	ট্রান্সপোরারের,	ট্রান্সফরমারের,	
stone,	স্টননে,	স্টোন,	
jwoluk,	জ্বুলক,	জ্বলুক,	
nischoy,	নিশ্ছে,	নিশ্চয়,	
blacker,	ব্লকাার,	ব্ল্যাকের,	
kanasarabhesana,	কনসোরেসেন,	কনসারভেশন,	
hari,	হ্যারি,	হরি,	
prithbir,	পৃথবীর,	পৃথবীর,	
mataram,	মাটারাম,	মাতারাম,	
rinatmak,	রিনাত্মক,	ঋনাত্মক,	
byatarii,	ব্যাতারী,	ব্যাটারী,	
pratishta,	প্রতিষ্ট,	প্রতিষ্টা,	
gazipore,	গাজীপের,	গাজিপুর,	
hud,	হুদ,	হুড,	
bheenasa,	ভীনাস,	ভেনাস,	
rinatmok,	ঋণাতমম্কক,	ঋনাত্মক,	
sazanor,	সাজানোর,	সাজানোর,	
dooborira,	দুবীরারা,	ডুবুরিরা,	
theland,	থেল্যান্ড,	থাইল্যান্ড,	
tarunra,	তারুণার,	তরুণরা,	
pragreesa,	প্রগ্রেস,	প্রগ্রেস,	
tophaat,	টফফট,	তফাৎ,	
ssahocorzo,	সাহাচর্য,	সাহচর্য,	
alimpiqa,	আলমিপ্িক,	অলিম্পিক,	
ateetkale,	অতীতকালে,	অতীতকালে,	
tekno,	টেকনো,	টেকনো,	
danaqana,	দানকনা,	ডানকান,	
lutheerana,	লুঠিরণ,	লুথেরান,	
chalesi,	চলেশি,	চলেছি,	
phakay,	ফাকে,	ফাকে,	
soccar,	সচকার,	সকার,	
mugdal,	মুদলা,	মুগডাল,	
gobeshokgan,	গবেষকগণ,	গবেষকগণ,	
graambaasheeo,	গ্রামসাবী,	গ্রামবাসীও,	
baagicar,	বাজিকার,	বাগিচার,	
naubom,	নববম,	নবম,	
baarnish,	বার্নিস,	বার্নিশ,	
uchchotaro,	উচ্চতর,	উচ্চতর,	
byaboharkarikey,	ব্যবহারসাকারকে,	ব্যবহারকারীকে,	
tottobar,	তত্ত্বাবের,	তওবার,	
ranangoney,	রানাঙ্গনে,	রণাঙ্গনে,	
telaakucha,	তেলাকুছু,	তেলাকুচা,	
slok,	স্লোক,	শ্লোক,	
nirorthok,	নিরর্থক,	নিরর্থক,	
gujob,	গুজব,	গুজব,	
parisankhanvid,	পরিসংখ্যান্ধী,	পরিসংখ্যানবিদ,	
laesensh,	লাইনেস,	লাইসেন্স,	
beekaargrasto,	বিকাসগ্রস্ত,	বিকারগ্রস্ত,	
purohitke,	পুরহহিতে,	পুরোহিতকে,	
hevy,	হেভি,	হেভি,	
uponeeshoder,	উপনিসদের,	উপনিষদের,	
pratiyogita,	প্রতিযোগিতা,	প্রতিযোগীতা,	
lyandim,	ল্যান্ডিং,	ল্যান্ডিং,	
seconde,	সেকন্ডে,	সেকেন্ডে,	
ganohotyar,	গণহত্যার,	গণহত্যার,	
fatakesto,	ফটকক্ট,	ফাটাকেষ্ট,	
roopdan,	রূপদান,	রুপদান,	
shitey,	শিটে,	শীতে,	
durbhagya,	দুর্ভাগ্য,	দূর্ভাগ্য,	
sanmukh,	সংমুখ,	সন্মুখ,	
sikhar,	শিখার,	শিকার,	
shrabostee,	শ্রববস্তি,	শ্রাবস্তী,	
shithilotar,	সিথীলতার,	শিথিলতার,	
maaktoome,	মকটুমে,	মাকতুম,	
hajarer,	হাজারের,	হাজারের,	
militari,	মিলিটারী,	মিলিটারি,	
kaalki,	কালকি,	কালকি,	
elahabade,	এলাহাবাদে,	এলাহাবাদে,	
mulgoto,	মুলগত,	মূলগত,	
allahabadey,	আলাহাবাদে,	এলাহাবাদে,	
prottokhovabe,	প্রত্যক্ষভাবে,	প্রত্যক্ষভাবে,	
kakhonyoba,	কখন্যবা,	কখনওবা,	
engrezder,	ইংরেজ্দের,	ইংরেজদের,	
stark,	স্টার্ক,	স্টার্ক,	
soshej,	সসেজ,	সসেজ,	
bollov,	বললভ,	বল্লভ,	
songosthati,	সংস্থাটি,	সংস্থাটি,	
akjoge,	একযোগে,	একযোগে,	
korecho,	করেছু,	করেছো,	
neshnos,	নেশনস,	নেশনস,	
mukhomandaler,	মুখমন্ডলের,	মুখমণ্ডলের,	
noter,	নটের,	নোটের,	
koro,	করু,	করো,	
samavesh,	সমভেষ,	সমাবেশ,	
sossa,	শস্যা,	শশা,	
thare,	থারে,	থরে,	
siddhantey,	সিদ্ধনতে,	সিদ্ধান্তে,	
stoona,	স্টোনা,	স্টোন,	
oncholtite,	অঞ্চলটিতে,	অঞ্চলটিতে,	
gajipur,	গজীপুর,	গাজিপুর,	
uul,	উল,	উল,	
assoociates,	অসযোকিসিটেস,	এসোসিয়েটস,	
state,	স্টেট,	স্টেইট,	
veda,	ভেদা,	বেদ,	
sayatana,	সয়ানন,	শয়তান,	
bonyopran,	বন্যপ্রাণ,	বন্যপ্রাণ,	
udbodhoney,	উদ্বোধনে,	উদ্বোধনে,	
highcommissioney,	হাইকমিশনের,	হাইকমিশনে,	
rotheen,	রথীন,	রথীন,	
naabyota,	নাব্যতা,	নাব্যতা,	
ajijer,	আজিজের,	আজিজের,	
sajanor,	সাজানোর,	সাজানোর,	
katbey,	কাটবে,	কাটবে,	
jonosamaj,	জনসমাজ,	জনসমাজ,	
trans,	ট্রান্স,	ট্রান্স,	
aaireesh,	আইরিশ,	আইরিস,	
durg,	দুর্গ,	দুর্গ,	
cooda,	কুড,	কোডা,	
venush,	ভাইনাস,	ভেনাস,	
lyata,	ল্যাট,	ল্যাটা,	
visnu,	বিষ্ণু,	বিষ্ণু,	
soshorire,	শশরীরের,	সশরীরে,	
anshograhone,	অংশগ্রহণে,	অংশগ্রহনের,	
aholya,	অহল্য,	অহল্যা,	
ghotleyo,	ঘটলেও,	ঘটলেও,	
loukeekotaa,	লৌকিকতা,	লৌকিকতা,	
bikaargrasto,	বিকারগ্রস্ত,	বিকারগ্রস্ত,	
olongkoron,	অলংকরণ,	অলঙ্করণ,	
sanaktakaroner,	সনাক্তকরণের,	সনাক্তকরণের,	
miitar,	মিটার,	মিত্র,	
aatto,	আত্ত,	আত্ম,	
iston,	ইস্টন,	স্টোন,	
tookroke,	তুকরকে,	টুকরোকে,	
mohakobi,	মহাকবি,	মহাকবি,	
parishkaron,	পরিষ্কারণ,	পরিষ্করণ,	
ongshogrohon,	অংশগ্রহণ,	অংশগ্রহন,	
maudeling,	মডডলীলিং,	মডেলিং,	
parpel,	পার্পেল,	পার্পেল,	
dajhyo,	দাঝ্য,	দাহ্য,	
soya,	সোয়া,	সোয়া,	
soomita,	সুমিতা,	সুমিতা,	
jeebonto,	জীবন্ত,	জীবন্ত,	
groowth,	গ্রুথ,	গ্রোথ,	
bukhari,	বুখারী,	বুখারি,	
arena,	আরেনা,	এরিনা,	
konflikt,	কনফিক্ট,	কনফ্লিক্ট,	
hena,	হেনা,	হেনা,	
tata,	তত,	তাতা,	
salapheta,	সলফেট,	সালফেট,	
anis,	অনিস,	আনিস,	
jhalkathi,	ঝলকাঠি,	ঝালকাঠী,	
ajouno,	অজুন,	অযৌন,	
plena,	প্লেন,	প্লেন,	
nutunotto,	নতুনত্ত,	নতুনত্ব,	
rushod,	রুশদ,	রুশদ,	
byaboharkari,	ব্যবহারকারী,	ব্যবহারকারী,	
hosain,	হোসাইন,	হোসেইন,	
jaruri,	জরুরী,	জরূরী,	
mausumeo,	মওশমও,	মৌসুমেও,	
uindo,	উইন্ডো,	উইন্ডো,	
military,	মিলিটারী,	মিলিটারি,	
madal,	মদদল,	মাদল,	
asociatees,	অসোয়াসিসিট,	এসোসিয়েটস,	
bii,	বি,	বি,	
navel,	নেভেল,	নভেল,	
byapokotor,	ব্যাপকতর,	ব্যাপকতর,	
dharabhiko,	ধারাভিক,	ধারাবাহিকেও,	
nirbahe,	নির্বাহে,	নির্বাহে,	
caramics,	কারমিক্স,	সিরামিকস,	
vandar,	ভান্ডার,	ভাণ্ডার,	
nathibhukteer,	নথিভূক্তির,	নথিভুক্তির,	
votarer,	ভোতরের,	ভোটারের,	
rajbondir,	রাজবন্দির,	রাজবন্দীর,	
manab,	মানব,	মানব,	
institutione,	ইন্সটিটিউশনে,	ইনস্টিটিউশনে,	
ameettrakkhor,	অমিত্রক্ষর,	অমিত্রাক্ষর,	
elakai,	এলাকাই,	এলাকাই,	
debeting,	ডেবেটিং,	ডিবেটিং,	
concerter,	কন্াার্টের,	কানসাটের,	
nesanasa,	নেশানস,	নেশনস,	
bordhitangso,	বর্ধিিটাং,	বর্ধিতাংশ,	
conistho,	কনিষ্ঠ,	কনিষ্ঠ,	
kanake,	কানাকে,	কণাকে,	
transapharma,	ট্রান্সফর্ম,	ট্রান্সফর্ম,	
apadan,	আপদান,	অপাদান,	
deephineeshana,	ডেফিনেশন,	ডেফিনেশন,	
oncoltike,	অঞ্চলটিকে,	অঞ্চলটিকে,	
romonar,	রমনার,	রমনার,	
sita,	সীতা,	সিট,	
ekirokom,	একীরকম,	একইরকম,	
antorvukta,	অন্তর্ভূক্ত,	অন্তর্ভুক্ত,	
chalachchitrotike,	চলচ্চিত্রিটকে,	চলচ্চিত্রটিকে,	
station,	স্টেশন,	ষ্টেশন,	
bipojjonok,	বিপজ্জনক,	বিপজ্জনক,	
juktorashtreo,	যুক্তরাস্ট্রেও,	যুক্তরাষ্ট্রেও,	
naagaalyand,	নাগাল্যান্ড,	নাগাল্যান্ড,	
tofat,	টফাট,	তফাৎ,	
nomo,	নম,	নমো,	
anodhikaar,	অনধিকার,	অনধিকার,	
kinto,	কিন্ত,	কিনত,	
prajanankal,	প্রজননকাল,	প্রজননকাল,	
nirmaankaaj,	নির্মাণচা,	নির্মাণকাজ,	
safalyer,	সফলার,	সাফল্যের,	
iyanqi,	ইয়ন্কি,	ইয়াংকি,	
ceramics,	সেরমিক্স,	সিরামিকস,	
shyutara,	স্টুটার,	শ্যুটার,	
tintir,	তিনটির,	তিনটির,	
netherland,	নেথারল্যান্ড,	নেদারল্যান্ড,	
durger,	দুর্গের,	দুর্গের,	
kunty,	কুনটি,	কুন্তী,	
jakkho,	যক্ষ,	যক্ষ,	
protizogiira,	প্রতিযোগিরা,	প্রতিযোগীরা,	
average,	অ্যাভারেজ,	এভারেজ,	
sarboshaktimaan,	সর্বস্বিক্তমণ,	সর্বশক্তিমান,	
chhatogalpe,	ছটোটলাপে,	ছোটগল্পে,	
sahocorrzo,	সহবচরর্য,	সাহচর্য,	
maladoobha,	মালাদূভা,	মলদোভা,	
oncoleo,	অন্চলেও,	অঞ্চলেও,	
teresa,	টেরেস,	টেরেসা,	
boikalyo,	বৈকাল্য,	বৈকল্য,	
bbiswashe,	বিশ্বাসে,	বিশ্বাসে,	
rajtontrokey,	রাজতনত্রকে,	রাজতন্ত্রকে,	
teto,	তত,	তেতো,	
ghosito,	ঘোষিত,	ঘোষিত,	
balaruma,	বলরেমা,	বলরুম,	
choudhoorider,	চৌধুরীদের,	চৌধুরীদের,	
dharavahikbhabey,	ধারাভিকভভাবে,	ধারাবাহিকভাবে,	
jeshh,	যেস,	জেস,	
kisti,	কিস্টি,	কিস্তি,	
aazaadeer,	আজাদীর,	আজাদীর,	
dakteekiter,	দককিতিকেতের,	ডাকটিকিটের,	
ajeemke,	আজীমকে,	আজিমকে,	
bhenom,	ভেনম,	ভেনম,	
akatwa,	একত্ব,	একাত্ব,	
maktum,	মক্তম,	মাকতুম,	
cholochchitraeeo,	চলচ্ছিত্রাই,	চলচ্চিত্রেও,	
sharif,	শরীফ,	শরিফ,	
sahocorjo,	সহবচর্য,	সাহচর্য,	
uzbekistaner,	উজবেক্টসেনের,	উজবেকিস্তানের,	
aqram,	আক্রম,	আকরাম,	
horidare,	হরিদারে,	হরিদ্বারে,	
chironton,	চিরন্টন,	চিরন্তন,	
elaakaao,	এলাকাও,	এলাকাও,	
tunaita,	টুনাইট,	টুনাইট,	
bishshasho,	বিশ্বাসও,	বিশ্বাসও,	
musolmanra,	মুসলমমনা,	মুসলমানরা,	
zyaka,	জ্যাক,	জ্যাক,	
asamonjoshyopurno,	অসমস্যপস্রণণ,	অসামঞ্জস্যপূর্ণ,	
tuner,	টুনের,	টিউনার,	
sathik,	সাথিক,	সঠিক,	
maadhoobir,	মাধুবীর,	মাধবীর,	
kolahal,	কলাহাল,	কোলাহল,	
nagnyo,	না্্য,	নগণ্য,	
eevil,	ইভিল,	ইভিল,	
pathanatak,	পাঠানাতক,	পথনাটক,	
odurey,	অদূরে,	অদুরে,	
necker,	নেকের,	নেকের,	
susama,	সুসম,	সুসম,	
oitijjher,	ঐতিযারের,	ঐতিহ্যের,	
kiiborde,	কিবোর্ডে,	কীবোর্ড,	
bairer,	বৈরের,	বাইরের,	
madhyastha,	মধ্যস্থ,	মধ্যস্থ,	
chalachchitra,	চলচ্ছিত্র,	চলচ্চিত্র,	
byakhyatito,	ব্যাখ্যটিত,	ব্যাখ্যাতীত,	
karadondey,	কারাদন্ডে,	কারাদণ্ডে,	
directarate,	ডিরেক্টরেট,	ডিরেক্টরেট,	
deeliveer,	দিলিভার,	ডেলিভার,	
chanake,	চানাকে,	ছানাকে,	
admiral,	অ্যামিরাল,	এডমিরাল,	
herpher,	হারাফের,	হেরফের,	
avatara,	অভতরর,	অবতার,	
ewer,	ইভার,	এভার,	
pratyokkhobhabe,	প্রত্যক্ষভাবে,	প্রত্যক্ষভাবে,	
jolbe,	জলবে,	জ্বলবে,	
eidaning,	এডডনং,	ইদানীং,	
turqmen,	টুর্কমেন,	তুর্কমেন,	
anchalsaha,	অঞ্চলসহ,	অঞ্চলসহ,	
aunti,	আইনটি,	আন্টি,	
jeebonnogor,	জীবননগর,	জীবননগর,	
obosore,	অবশরে,	অবসরে,	
gadhaa,	গাধা,	গাধা,	
bamander,	বামান্দের,	বামনদের,	
maudeler,	মৌদেলের,	মডেলের,	
mootar,	মুটার,	মুতার,	
manoharpur,	মনোহরূপুর,	মনোহরপুর,	
nishader,	নিশাদের,	নিষাদের,	
cyanide,	ক্যানিডে,	সায়ানাইড,	
noitikvabe,	নৈতিকভাবে,	নৈতিকভাবে,	
mast,	ম্যাস্ট,	মাস্ত,	
qara,	কোরা,	কর,	
chaloke,	চলকে,	চালকে,	
hedje,	হেডজ,	হেজ,	
shhip,	শীপ,	শিপ,	
reejideencee,	রেজিডিস্সে,	রেসিডেন্স,	
janosonjog,	জনসংজ্য,	জনসংযোগ,	
aalkatra,	আলকাত্র,	আলকাতরা,	
tarokareer,	তারকারীর,	তরকারীর,	
scholarship,	স্কলারশিপ,	স্কলারশিপ,	
ekatto,	একত্ত,	একাত্ব,	
laesens,	লেইনেস,	লাইসেন্স,	
jesthaa,	জেষ্ঠা,	জ্যেষ্ঠা,	
kanasharabheshhana,	কনসারেসেন,	কনসারভেশন,	
faltu,	ফলতু,	ফালতু,	
jetei,	জেটেই,	যেতেই,	
chamsky,	চকম্সকি,	চমস্কি,	
tonoo,	টননো,	তনু,	
somoshti,	সমস্তি,	সমষ্টি,	
observer,	অব্সরভার,	অবজার্ভার,	
vittiei,	ভিটটইই,	ভিত্তিই,	
bojhao,	বোঝাও,	বোঝাও,	
firoj,	ফিরজ,	ফিরোজ,	
platoo,	প্লাটো,	প্লেটো,	
malish,	মালিস,	মালিশ,	
duple,	ডাপলে,	ডুপ্লে,	
bagichar,	বাগিচার,	বাগিচার,	
sikhbe,	শিখবে,	শিখবে,	
bamnii,	বাম্নি,	বামনী,	
soros,	সর্স,	সরস,	
tiner,	টাইনের,	তিনের,	
jerujalem,	জিজুজালামে,	জেরুজালেম,	
jya,	জ্যা,	জ্যা,	
korimkey,	করিমকে,	করিমকে,	
gonoporeebohon,	গণপরিবহন,	গণপরিবহন,	
tachnach,	তাচ্ন,	তছনছ,	
bhittiei,	ভিটিই,	ভিত্তিই,	
azaadeer,	আজাদীর,	আজাদীর,	
shringgey,	স্রীগে,	শৃঙ্গে,	
haitasha,	হাইস্টাস,	হাইটস,	
gandhiio,	গান্ধী,	গান্ধীও,	
cooling,	কুলিং,	কুলিং,	
reesideencee,	রেসিডেন্স,	রেসিডেন্স,	
sarboshokteeman,	সর্বস্বিক্তমণ,	সর্বশক্তিমান,	
charger,	চার্জের,	চার্জের,	
treevuj,	ত্রিভুজ,	ত্রিভূজ,	
naitik,	নাইটিক,	নৈতিক,	
dipei,	দিপেই,	দ্বীপেই,	
definision,	ডেফিনিশন,	ডেফিনেশন,	
reno,	রেনো,	রেনো,	
nebhate,	নেভাতে,	নেভাতে,	
torooner,	তরুণের,	তরুণের,	
baraak,	বরাক,	বারাক,	
casper,	কাসপার,	ক্যাসপার,	
matthews,	মাঠাস,	ম্যাথিউস,	
bamna,	বাম্না,	বামনা,	
ganachiner,	গণচাচির,	গণচীনের,	
rupart,	রুপোর্ট,	রুপার্ট,	
pirujali,	পারুজালি,	পিরুজালী,	
brittakare,	বৃত্তাকারে,	বৃত্তাকারে,	
seshardhe,	শেষার্ধে,	শেষার্ধে,	
banijyikvittey,	বানিজ্যিকিতবে,	বাণিজ্যিকভিত্তিতে,	
ancient,	এনযান্সান,	এনসিয়েন্ট,	
panchashjan,	পঞ্চাশন,	পঞ্চাশজন,	
oncolei,	অঞ্চলেই,	অঞ্চলেই,	
babilon,	বাবিলন,	ব্যাবিলন,	
bhiktara,	ভিক্টার,	ভিক্টর,	
bhabuk,	ভাবুক,	ভাবুক,	
assastikar,	অস্বাস্তিকর,	অস্বস্তিকর,	
weenis,	ভিনিস,	ভেনিস,	
nadike,	নাদিকে,	নদীকে,	
matthew,	মাঠে,	ম্যাথিউ,	
holding,	হোল্ডিং,	হোল্ডিং,	
itastata,	ইৎসট্ট,	ইতস্ততঃ,	
godabari,	গদাবারী,	গোদাবরী,	
prakalpoo,	প্রকালপু,	প্রকল্পও,	
karlosh,	কার্লস,	কার্লোস,	
enginiiring,	এনজাইংিং,	ইঞ্জিনিয়ারিং,	
kantajir,	কান্তজীর,	কান্তজির,	
sangosthatike,	সংস্থটিকে,	সংস্থাটিকে,	
potochitrer,	পতচিচ্ত্রের,	পটচিত্রের,	
eesa,	এসা,	আইএএস,	
spredashiita,	স্প্রেশদীী,	স্প্রেডশীট,	
oncholsomuher,	অঞ্চলসমূহের,	অঞ্চলসমূহের,	
phoxkon,	ফক্ষণ,	ফক্সকন,	
protijogiitamulok,	প্রতিযোগিতামূলক,	প্রতিযোগীতামূলক,	
jamjamat,	যমমমত,	জমজমাট,	
tafsher,	তফসের,	তাফসীর,	
charbon,	চারববন,	চর্বন,	
khur,	খুর,	ক্ষুর,	
moorali,	মোরলী,	মুরলী,	
matte,	মাটতে,	ম্যাট,	
aunty,	আইনটি,	আন্টি,	
gobhornorer,	গভর্নরের,	গভর্ণরের,	
surakarder,	সুরকারদের,	সুরকারদের,	
jathaarthobhaabe,	যথার্থভাবে,	যথার্থভাবে,	
aakik,	আকিক,	আকিক,	
bagdad,	বাগদদ,	বাগদাদে,	
melborner,	মেলবরনের,	মেলবোর্নের,	
bosantake,	বসন্তকে,	বসন্তকে,	
surti,	শূর্তি,	সুরটি,	
sector,	সেক্টর,	সেক্টর,	
bondhuderke,	বন্ধুদেরকে,	বন্ধুদেরকে,	
ganaporibahaner,	গণপরিবহনের,	গণপরিবহনের,	
arakan,	অরাকন,	আরাকান,	
norfolq,	নরফল্ক,	নরফোক,	
jaunotar,	যৌনতার,	যৌনতার,	
choudhurike,	চৌধুরিকে,	চৌধুরীকে,	
bairey,	বৈরে,	বাইরে,	
ghomta,	ঘম্তা,	ঘোমটা,	
shashoto,	শাসত,	শাশ্বত,	
skalastik,	স্কলাসিক্ক,	স্কলাস্টিক,	
makong,	মকক,	মেকং,	
bongobondhu,	বঙ্গবন্ধু,	বঙ্গবন্ধু,	
koontee,	কুনটি,	কুন্তী,	
nathivookto,	নথিভূক্ত,	নথিভুক্ত,	
ishahak,	ইসহাক,	ইসাহাক,	
torcarir,	তরকারীর,	তরকারীর,	
bondira,	বন্দীরা,	বন্দীরা,	
jonopoth,	জনপথ,	জনপথ,	
tap,	টপ,	ট্যাপ,	
mukharji,	মুখার্জি,	মুখার্জী,	
armstranj,	আর্সম্রেজ,	আর্মস্ট্রং,	
gafilati,	গফফিলাটি,	গাফিলতি,	
loukik,	লৌকিক,	লৌকিক,	
salsa,	সালস,	সালসা,	
aalkaatra,	আলকাত্র,	আলকাতরা,	
gabeshakgon,	গবেষকগণ,	গবেষকগণ,	
bodhirota,	বধ্রতা,	বধিরতা,	
bhorpur,	ভরপুর,	ভরপুর,	
santoshe,	সান্তঃশে,	সন্তোষে,	
taivan,	তইভান,	তাইওয়ান,	
nischitvabe,	নিষ্চিতভাবে,	নিশ্চিতভাবে,	
shookna,	শুকনা,	শুকনা,	
alangkoron,	অলংকরণ,	অলঙ্করণ,	
ronodeep,	রণনদীদ,	রণদীপ,	
larson,	লর্সন,	লারসন,	
bishshash,	বিশ্বাস,	বিশ্বাস,	
opohoronn,	অপহরণ,	অপহরন,	
bishwashke,	বিশ্বাসকে,	বিশ্বাসকে,	
ghoorchen,	ঘুরছেন,	ঘুরেছেন,	
narafoka,	নরাফক,	নরফোক,	
paschimey,	পশ্চিমে,	পশ্চিমে,	
khorsed,	খর্ষেদ,	খোরশেদ,	
buffar,	বাফফার,	বাফার,	
jesa,	জেস,	জেস,	
tikto,	টিক্ত,	তিক্ত,	
konorup,	কোনারূপ,	কোনরূপ,	
swarther,	স্বর্থের,	স্বার্থের,	
byaboharkari,	ব্যবহারকারী,	ব্যবহারকারীই,	
sosa,	সসা,	শশা,	
khelafotey,	খেলাফতে,	খেলাফতে,	
swajan,	স্বজন,	স্বজন,	
shaluk,	সালুক,	শালুক,	
ashammatite,	অসমমতিতে,	অসম্মতি,	
matt,	মট,	ম্যাট,	
haripur,	হরিপুর,	হরিপুর,	
meghke,	মাঘকে,	মেঘকে,	
salim,	সলিম,	সেলিম,	
chhedon,	ছেদন,	ছেদন,	
patiganit,	পতিগাণিত,	পাটিগণিত,	
doorotomo,	দূরতম,	দূরতম,	
baron,	ব্যারন,	ব্যারন,	
zeebonjapon,	জীবনযপনন,	জীবনযাপন,	
crescent,	ক্রেসমেন্ট,	ক্রিসেন্ট,	
shatokei,	শতকেই,	শতকেই,	
chaalabi,	চালাবি,	চালাবে,	
monohputo,	মনোোপত,	মনঃপুত,	
choudhooreer,	চৌধুরীর,	চৌধুরীর,	
karmasansthan,	কর্মস্থাসন,	কর্মসংস্থান,	
timur,	টিমুর,	তিমুর,	
roobi,	রুবি,	রুবি,	
elaakatite,	এলাকাতিতে,	এলাকাটিকে,	
talal,	তালাল,	তালাল,	
anchalsamuho,	অঞ্চলসমূহ,	অঞ্চলসমূহ,	
puroheetke,	পুরুহিতে,	পুরোহিতকে,	
dologuloo,	দলগুলো,	দলগুলোও,	
nagalyand,	নগগল্যান্ড,	নাগাল্যান্ড,	
sonmukh,	সন্মুখ,	সন্মুখ,	
basinay,	বাসিনে,	বেসিনে,	
dayitwa,	দৈত্য,	দায়িত্ব,	
hights,	হাইটস,	হাইটস,	
heena,	হীনা,	হেনা,	
pure,	পুরে,	পিওর,	
sorbopori,	সর্বপপরি,	সর্বোপরী,	
moddhyoshtho,	মধ্যস্থ,	মধ্যস্থ,	
bhalta,	ভললটা,	ভল্ট,	
rifleks,	রাইলেক্স,	রিফ্লেক্স,	
cheshsh,	চেশ,	চেস,	
licensin,	লাইনস্নিং,	লাইসেন্সিং,	
nederlande,	নেডারল্যান্ডে,	নেদারল্যান্ডে,	
ponjjikar,	পঞ্জিকার,	পঞ্জিকার,	
shpredashhita,	স্প্রেশদিস,	স্প্রেডশীট,	
saajanor,	সাজানোর,	সাজানোর,	
estaniya,	এস্টনিয়া,	এস্তোনিয়া,	
brinde,	ব্রিন্ডে,	বৃন্দ,	
brek,	ব্রেক,	ব্রেক,	
jounotar,	যৌনতার,	যৌনতার,	
batikromshali,	বাত্তিকক্মারী,	ব্যতিক্রমধর্মী,	
udvabani,	উদ্ভবানী,	উদ্ভাবনী,	
selim,	সেলিং,	সেলিম,	
koilash,	কললাস,	কৈলাস,	
shikha,	শিখা,	শিখ,	
surkey,	সূর্কে,	সুরকে,	
itastatoh,	ইৎসত্থহ,	ইতস্ততঃ,	
chirantan,	চিরন্তন,	চিরন্তন,	
nagorikkey,	নাগরিকে,	নাগরিককে,	
jibjantu,	জীব্যনত,	জীবজন্তু,	
ghur,	ঘুর,	ঘুর,	
projononkal,	প্রজননকাল,	প্রজননকাল,	
gostheeti,	গোস্থিটি,	গোষ্ঠীটি,	
sabrakomer,	স্বর্কমের,	সবরকমের,	
neutrino,	নিউট্রিন,	নিউট্রিনো,	
iling,	এলিং,	ইলিং,	
shikkhakbrinda,	শিক্ষাক্রীদন,	শিক্ষকবৃন্দ,	
gosthyti,	গোস্থিটি,	গোষ্ঠীটি,	
madhyastho,	মধ্যস্থ,	মধ্যস্থ,	
ishton,	ইষ্টন,	স্টোন,	
chidrapathe,	চিদ্রপথে,	ছিদ্রপথে,	
dembakreeti,	ডেম্বরকৃতি,	ডিম্বাকৃতি,	
zozyota,	যজজ্তা,	যোজ্যতা,	
nathibhookto,	নথিভূক্ত,	নথিভুক্ত,	
sbatantrata,	স্বতন্ত্রত্ব,	স্বতন্ত্রতা,	
benis,	বেনিস,	ভেনিস,	
kanaphlikta,	কনফাইক্যাক,	কনফ্লিক্ট,	
bohubar,	বহুবার,	বহুবার,	
krok,	ক্রক,	ক্রোক,	
jonosanjog,	জনসংবযগ,	জনসংযোগ,	
udbodhani,	উদ্বোধানি,	উদ্বোধনী,	
akshor,	অক্ষর,	একশোর,	
jameser,	জমেসের,	জেমসের,	
nischitabhabe,	নিষ্চিতভাবে,	নিশ্চিতভাবে,	
aagost,	আগস্ট,	আগষ্ট,	
vabanipur,	ভবানীপুর,	ভবানীপুর,	
conphlict,	কনফাইক্স,	কনফ্লিক্ট,	
nagaland,	নগগলন্ড,	নাগাল্যান্ড,	
narsaari,	নার্সারি,	নার্সারি,	
sahocorje,	সহবরর্যে,	সাহচর্যে,	
tovnship,	তাবনিশ,	টাউনশিপ,	
pujit,	পুজিৎ,	পুজিত,	
parbottyo,	পার্বত্ত,	পার্বত্য,	
alexandarkey,	আলেকাসনার্ডে,	আলেকজান্ডারকে,	
norfolk,	নরফল্ক,	নরফোক,	
faster,	ফাস্টার,	ফস্টার,	
guzob,	গুজব,	গুজব,	
mukhbaundho,	মুচবিন্ধ,	মুখবন্ধ,	
dayna,	ডাইন,	ডায়না,	
tuning,	টিউনিং,	টিউনিং,	
embed,	এম্বেড,	এম্বেড,	
nathibhookteer,	নথিভূক্তির,	নথিভুক্তির,	
prakalpogulo,	প্রক্লপগুলো,	প্রকল্পগুলো,	
batikromshalee,	বাত্তকমর্মলী,	ব্যতিক্রমধর্মী,	
ghamtaa,	ঘমতা,	ঘোমটা,	
chirata,	চিরত,	চিরতা,	
veniser,	ভেনিসের,	ভেনিসের,	
salmaaner,	সলমানের,	সালমানের,	
sukhma,	সুখ্ম,	সুক্ষ্ম,	
osontos,	অসন্তস,	অসন্তোষ,	
purbanchaler,	পূর্বন্চলের,	পূর্বাঞ্চলের,	
joonsa,	জোনসা,	জোন্স,	
mookhomandoler,	মুখমন্ডলের,	মুখমণ্ডলের,	
voter,	ভোটের,	ভোটার,	
