nirarthak,	নিরর্থ,	নিরর্থক,	
kaande,	কান্ডে,	কাণ্ডে,	
bosstonto,	বস্্ত্ন,	বসন্ত,	
brindaabane,	বৃর্দনবানে,	বৃন্দাবনে,	
byaboshtha,	ব্যবস্থ,	ব্যাবস্থা,	
soorti,	সূর্টি,	সুরটি,	
chhintayikari,	চিন্তিযাকীর,	ছিনতাইকারী,	
neurology,	নিরোলোগি,	নিউরোলজি,	
noitikatavodh,	নৈিতিকাবহ,	নৈতিকতাবোধ,	
nesans,	নেসন্স,	নেশনস,	
rezidence,	রেজিজেন্সে,	রেসিডেন্স,	
jaubankal,	যৌবন্কল,	যৌবনকাল,	
poriikkhateo,	পরিক্ষাতেও,	পরীক্ষাতেও,	
hori,	হরি,	হরি,	
shkora,	স্করা,	স্কোর,	
karecha,	করেছ,	করেছ,	
soundarjyo,	সৌনদর্য্য,	সৌর্ন্দয্য,	
hul,	হুল,	হুল,	
taims,	টাইম,	টাইমস্,	
chhotto,	ছত্ত,	ছোট্ট,	
kartam,	কর্টম,	করতাম,	
sainyasoho,	সান্যাসহ,	সৈন্যসহ,	
bishwaashshke,	বিশ্বাস্যকে,	বিশ্বাসকে,	
porbotmala,	পর্বত্মলা,	পর্বতমালা,	
tonga,	তঙ্গ,	টোঙ্গা,	
dhauta,	ধাউত,	ধৌত,	
homesh,	হমেস,	হোমস,	
hajarer,	হাজারের,	হাজারের,	
abdune,	আবদুনে,	আবদুন,	
udbodhoner,	উদ্বধনের,	উদ্বোধনের,	
machhder,	মাছদের,	মাছদের,	
dhwajbhanga,	ধ্বভভ্গ,	ধ্বজভঙ্গ,	
redcrosser,	রেড্রস্সের,	রেডক্রসের,	
mahasova,	মহাসভা,	মহাসভা,	
melborne,	মেলবর্ণে,	মেলবোর্নে,	
eucalyptush,	উউলাপ্পুস,	ইউক্যালিপ্টাস,	
bisnukey,	বিশ্ুকে,	বিষ্ণুকে,	
shukraanu,	শুক্রুণ,	শুক্রানু,	
daltagi,	দল্তা,	দলত্যাগী,	
kobootorer,	কবুতরের,	কবুতরের,	
pushtir,	পুষ্টির,	পুষ্টির,	
shantaa,	সন্ত,	সান্তা,	
janosangyog,	জনসসংগ্য,	জনসংযোগ,	
abheedhaanik,	অভিধাধিক,	অভিধানিক,	
ashanka,	আশানক,	আশংকা,	
pyaleshtainer,	প্যালেস্টেনের,	প্যালেস্টাইনের,	
vorkendro,	ভর্কেন্দ্র,	ভরকেন্দ্র,	
kanagulo,	কানগুলো,	কণাগুলো,	
dokaangulote,	দকাাগুলোতে,	দোকানগুলোতে,	
khogen,	খোগেন,	খগেন,	
abheedhaneeck,	অভিধাধিক,	অভিধানিক,	
shhyutara,	স্যুতার,	শ্যুটার,	
prachin,	প্রাচিন,	প্রাচীন,	
pratijogitar,	প্রতিযোগিতার,	প্রতিযোগীতার,	
shootar,	শুতার,	শ্যুটার,	
doover,	দুভের,	ডোভার,	
umedpoor,	উমেদপুর,	উমেদপুর,	
divya,	দিভ্য,	দিব্যা,	
ralf,	রাল,	রালফ,	
veenom,	ভিনন,	ভেনম,	
lyand,	ল্যান্ড,	ল্যান্ড,	
jaistha,	জৈস্থ,	জ্যৈষ্ঠ,	
suri,	সুরি,	সুরি,	
vins,	ভিন্স,	ভিন্স,	
pathkramer,	পাঠকরমের,	পাঠক্রমের,	
siqh,	সিখ,	শিখ,	
bosantake,	বসসাতকে,	বসন্তকে,	
phashtara,	ফাস্টার,	ফস্টার,	
sanghitar,	সংঘিত,	সংহিতার,	
shommoteete,	সম্মতিতে,	সম্মতিতে,	
thaakeni,	ঠাকেনি,	থাকেনি,	
niketoner,	নিকেননের,	নিকেতনের,	
kolahol,	কলাহল,	কোলাহল,	
shoo,	শু,	শো,	
lutharen,	লুথারেন,	লুথেরান,	
heze,	হেজে,	হেজ,	
siddhantei,	সিদ্ধনতেই,	সিদ্ধান্তেই,	
akeeb,	একিব,	আকিব,	
modhyostho,	মধ্যস্থ,	মধ্যস্থ,	
bim,	বিম,	বীম,	
prochondota,	প্রচন্দতা,	প্রচণ্ডতা,	
saahosikotar,	সাহসিকতার,	সাহসিকতার,	
ahong,	আহ্য,	অহং,	
ulcer,	উল্ের,	আলসার,	
daaraa,	দারা,	দারা,	
laisens,	লাইসেন্স,	লাইসেন্স,	
manur,	মানুর,	মনুর,	
poderthobid,	পদর্ধ্বিদ,	পদার্থবিদ,	
shcore,	স্করে,	স্কোর,	
maaktume,	মাকুমে,	মাকতুম,	
tookroke,	তুকরকে,	টুকরোকে,	
ashanka,	আশানক,	আশঙ্কা,	
provuder,	প্রভূদের,	প্রভুদের,	
tuso,	টুস,	তুসো,	
soource,	সৌর্সে,	সোর্স,	
dayana,	ডায়ন,	ডায়না,	
udbhabani,	উদ্বাবনী,	উদ্ভাবনী,	
phemale,	ফেমালে,	ফিমেল,	
provritite,	প্রভৃতিতে,	প্রভৃতিতে,	
naabyota,	নাব্যত,	নাব্যতা,	
saatzon,	সাত্যন,	সাতজন,	
beetloser,	বিটললসের,	বিটলসের,	
spredsheet,	স্প্রেশিত,	স্প্রেডশীট,	
shaakaar,	শাকার,	সাকার,	
oopohoron,	উপহরণ,	অপহরন,	
vastuvad,	বস্তুবাদ,	বস্তুবাদ,	
prime,	প্রিমে,	প্রাইম,	
mekong,	মেকং,	মেকং,	
uddhrity,	উদ্ধিতি,	উদ্ধৃতি,	
bhangey,	ভাঙ্গে,	ভাঙ্গে,	
wenice,	ওয়েনিস,	ভেনিস,	
asocheton,	অসচেত,	অসচেতন,	
pratishhta,	প্রতিষ্ট,	প্রতিষ্টা,	
chaalta,	চাল্ট,	চালতা,	
inapharameeshana,	ইনাারেমশন,	ইনফরমেশন,	
juktorastrer,	যুক্তর্স্ত্রের,	যুক্তরাষ্ট্রের,	
drissogoolote,	দৃষ্গুলোতে,	দৃশ্যগুলোতে,	
templete,	টেম্লেটে,	টেম্পলেট,	
grambaseeder,	গ্রাম্বাসীদের,	গ্রামবাসীদের,	
deputee,	দেপুতি,	ডেপুটি,	
chalochchitraeer,	চলচচ্তিরারী,	চলচ্চিত্রের,	
bosten,	বস্টেন,	বসতেন,	
nagorikra,	নাগরিকার,	নাগরিকেরা,	
prakalpati,	প্রকলপ্তি,	প্রকল্পটি,	
venise,	ভেনিসে,	ভেনিসে,	
bhagno,	ভাগ্ন,	ভগ্ন,	
poorohitke,	পুরহিতকে,	পুরোহিতকে,	
cheento,	চিন্ত,	চিনতো,	
olimpiker,	অলিমপিকের,	অলিম্পিকের,	
shiropa,	শীরপা,	শিরোপা,	
motabolambira,	মতাববলমবীর,	মতাবলম্বীরা,	
shooter,	শুতের,	শ্যুটার,	
bait,	বাইট,	বাইট,	
shodhan,	সোধান,	শোধন,	
gabhaskaar,	গভাষকার,	গাভাস্কার,	
plak,	প্লাক,	প্ল্যাক,	
hooq,	হুক,	হুক,	
par,	পার,	পাব,	
chatrorai,	চাতররাই,	ছাত্ররাই,	
jarool,	জারুল,	জারুল,	
onnyorup,	অন্যারূপ,	অন্যরূপ,	
hoshein,	হোসেন,	হোসেইন,	
shiramiksh,	শিরামিক,	সিরামিকস,	
soorarop,	সূরাপর,	সুরারোপ,	
yuk,	যুক,	ইয়াক,	
fall,	ফলল,	ফল,	
orthonitir,	অর্থনিতির,	অর্থনীতির,	
nischoy,	নিশ্য,	নিশ্চয়,	
cheerkoot,	চিরুকত,	চিরকুট,	
adhito,	অধিত,	অধীত,	
suparichiti,	সুপরিচিতি,	সুপরিচিতি,	
dharabahik,	ধারাবিক,	ধারাবাহিক,	
prothar,	প্রথার,	প্রথার,	
gandhikey,	গণ্ধীকে,	গান্ধীকে,	
basaalt,	বাসলাট,	ব্যাসল্ট,	
licensedharii,	লিলেন্সাারী,	লাইসেন্সধারী,	
shhikara,	শিকার,	শিকার,	
bronze,	ব্র্জে,	ব্রোঞ্জ,	
obhidhaner,	অভিধানের,	অভিধানের,	
kortaam,	কর্টম,	করতাম,	
ganaporibahaner,	গণপরীবাহণের,	গণপরিবহনের,	
lyandeeng,	ল্যান্ডিং,	ল্যান্ডিং,	
female,	ফেমালে,	ফিমেল,	
bakhyateet,	বাখ্যাতিত,	ব্যাখ্যাতীত,	
nilfamarir,	নিল্মারীর,	নীলফামারীর,	
koieri,	কোয়েরি,	কোয়েরি,	
netsi,	নেটি,	নাত্সি,	
hoomes,	হোমেস,	হোমস,	
chetona,	চেতনা,	চেতনা,	
volapuq,	ভলাপুক,	ভোলাপুক,	
chhon,	ছন,	ছোঁ,	
bonovumi,	বনভূমি,	বনভূমি,	
tenishe,	টেনিসে,	টেনিসে,	
skalastik,	স্লাল্ক্টিক,	স্কলাস্টিক,	
ingrezra,	ইংর্জের,	ইংরেজরা,	
istoniya,	ইস্টনিয়া,	এস্তোনিয়া,	
upobashee,	উপবাসী,	উপবাসী,	
sabhanetri,	সভান্ত্রী,	সভানেত্রী,	
foreex,	ফরিক,	ফরেক্স,	
dibet,	দিবেত,	ডিবেট,	
bachchan,	বাচচন,	বচ্চন,	
udvabane,	উদ্ববনে,	উদ্ভাবনে,	
nirapattamulak,	নিরাপ্তমূলক,	নিরাপত্তামূলক,	
iyanki,	ইয়াংকি,	ইয়াংকি,	
nesnosh,	নেনস্স,	নেশনস,	
abadamoner,	অবাদমনের,	অবদমনের,	
cholochchitrer,	চলচচ্ত্রের,	চলচ্চিত্রের,	
graambaseer,	গ্রাম্বাসীর,	গ্রামবাসীর,	
nek,	নেক,	নেক,	
messengar,	মেসেস্গার,	মেসেঞ্জার,	
shookna,	শুক্ন,	শুকনা,	
definisian,	ডেফিনিসিয়ান,	ডেফিনেশন,	
romantic,	রোমানিক,	রোমান্টিক,	
bhabnake,	ভাবনকে,	ভাবনাকে,	
khur,	খুর,	ক্ষুর,	
chalachchitrotike,	চললচিত্রীতিকে,	চলচ্চিত্রটিকে,	
bima,	বিম,	বিম,	
nirmaankaj,	নির্মাংক,	নির্মাণকাজ,	
ovishangson,	অভিষ্ংসন,	অভিশংসন,	
chetnagato,	চেত্যাগত,	চেতনাগত,	
muktilabh,	মুক্তিলভা,	মুক্তিলাভ,	
rubi,	রুবি,	রুবি,	
kraima,	ক্রিম,	ক্রাইম,	
eastar,	এস্টার,	ইস্টার,	
dibeeta,	দিবিত,	ডিবেট,	
bishaashke,	বিশাবকে,	বিশ্বাসকে,	
rubeta,	রুবেত,	রাবেতা,	
lesensa,	লেসেন্স,	লাইসেন্স,	
bibhonno,	বিভন্ন,	বিভন্ন,	
shakara,	শকার,	সাকার,	
suparharo,	সুপররহ,	সুপারহিরো,	
armshtronj,	আর্ষ্ট্রজ্জ,	আর্মস্ট্রং,	
moshzid,	মস্যিদ,	মসজিদ,	
shreechaitanyadeb,	শ্রীতিযান্দবে,	শ্রীচৈতন্যদেব,	
mahey,	মহে,	মাহে,	
joubankal,	যৌবন্কল,	যৌবনকাল,	
conphlict,	কন্ফলিক,	কনফ্লিক্ট,	
cholochchitroke,	চলচচ্তিরকে,	চলচ্চিত্রকে,	
ropto,	রোপ্ত,	রপ্ত,	
biswash,	বিশ্বাস,	বিশ্বাস,	
sifi,	সিফি,	সাইফাই,	
onodhikar,	অনধিকার,	অনধিকার,	
musalmanra,	মুসমল্রা,	মুসলমানরা,	
uposthit,	উপস্থিত,	উপস্থিত,	
horidbare,	হরিদ্বারে,	হরিদ্বারে,	
landey,	লান্ডে,	ল্যান্ডে,	
garnaar,	গর্ণার,	গার্নার,	
dinifitian,	ডিনিফিয়ন,	ডেফিনেশন,	
jhonkar,	ঝোনকার,	ঝঙ্কার,	
yak,	যাক,	ইয়াক,	
zacksan,	যাক্স,	জ্যাকসন,	
inasiyinta,	ইনসাইন্য,	এনসিয়েন্ট,	
bedey,	বেদে,	বেদে,	
abosan,	অবসান,	অবসান,	
postay,	পস্তা,	পোস্টে,	
shasankarta,	শাসাক্রত,	শাসনকর্তা,	
jomkalo,	জম্কল,	জমকালো,	
asommoti,	অসমমতি,	অসম্মতি,	
kaushalgata,	কৌসলগত,	কৌশলগত,	
kaaferderke,	কাফারেদেরে,	কাফেরদেরকে,	
durvagyo,	দূর্ভ্য,	দূর্ভাগ্য,	
rohosyer,	রহস্যের,	রহস্যের,	
pothnatok,	পঠ্যাতক,	পথনাটক,	
rajnoiteek,	রাজজনিত,	রাজনৈতীক,	
ganosakkharata,	গণসক্ষরা,	গণসাক্ষরতা,	
creedit,	ক্রিডিত,	ক্রেডিট,	
kamti,	কামটি,	কমতি,	
reeno,	রিন,	রেনো,	
peeri,	পেরি,	পেরি,	
himi,	হিমি,	হিমি,	
sbajan,	স্বজন,	স্বজন,	
soshej,	সশেজ,	সসেজ,	
phood,	ফুড,	ফুড,	
palestiner,	পালেস্টিনের,	প্যালেস্টাইনের,	
sajja,	সজ্জ,	সজ্জা,	
pratishthanikbhabe,	প্রতিষ্ঠিনভাকাবে,	প্রাতিষ্ঠানিকভাবে,	
ddhake,	দ্যাকে,	ঢেকে,	
janate,	জনাতে,	জানাতে,	
eemeergeency,	এমের্জিন্,	এমার্জেন্সি,	
dokanei,	দোকাইে,	দোকানেই,	
tyap,	ট্যাপ,	ট্যাপ,	
grambasider,	গ্রাম্বাসীদের,	গ্রামবাসীদের,	
ganosakkhorota,	গণসক্রষাত,	গণসাক্ষরতা,	
mirakel,	মিরাকেল,	মিরাকেল,	
damonmulok,	দামমুলক,	দমনমূলক,	
madeelim,	মাডিলিং,	মডেলিং,	
institutioner,	ইন্সিতিনেশনের,	ইনস্টিটিউশনের,	
samaveshke,	সমাভেশকে,	সমাবেশকে,	
carzar,	কার্জার,	চার্জার,	
kodguli,	কদুগুলি,	কোডগুলি,	
nagare,	নাগারে,	নগরে,	
atyacharita,	অ্যাচারিত,	অত্যাচারিত,	
shcholastiq,	স্ললস্ক্টি,	স্কলাস্টিক,	
holuder,	হলুদের,	হলুদের,	
gavashkar,	গোবাষকার,	গাভাস্কার,	
santa,	সন্ত,	স্যান্টা,	
labonaktatar,	লবনক্ততার,	লবণাক্ততার,	
kalam,	কলম,	কালাম,	
bishnu,	বিষ্ণু,	বিষ্ণু,	
dhrubok,	ধূর্বক,	ধ্রুবক,	
beda,	বেড,	বেদ,	
oitijje,	অতিজ্জে,	ঐতিহ্যে,	
gate,	গটে,	গ্যেটে,	
taurist,	তারুস্ট,	টুরিস্ট,	
danob,	দানব,	দানব,	
harbore,	হারবরে,	হারবারে,	
iukyaliptasha,	ইক্যাল্প্যাস,	ইউক্যালিপ্টাস,	
mufti,	মুফি,	মুফতি,	
tukrowti,	তুক্রতি,	টুকরোটি,	
yucalyptush,	উলক্যপুপ্ট,	ইউক্যালিপ্টাস,	
turbiner,	তুর্বীনের,	টারবাইনের,	
sangasthagulo,	সংস্গাহুলো,	সংস্থাগুলো,	
aholar,	আহলার,	অহল্যার,	
eesa,	এস,	আইএএস,	
besuro,	বেশুর,	বেসুর,	
brander,	ব্রান্ডের,	ব্রান্ডের,	
ganochin,	গণনচি,	গণচীন,	
teempaleeta,	টিম্পলিত,	টেম্পলেট,	
treenda,	ট্রেন্ড,	ট্রেন্ড,	
ostader,	অস্তাদের,	ওস্তাদের,	
pudim,	পুদিম,	পুডিং,	
nations,	নায়ন্স,	নেশনস,	
eokee,	একে,	এওকি,	
bona,	বোন,	বোনা,	
logic,	লোগিক,	লজিক,	
path,	পাথ,	পাথ,	
chirokoomari,	চিকরুমারী,	চিরকুমারী,	
aieesa,	আইয়ে,	আইএএস,	
prottokkhovabe,	প্রত্যক্যভাবে,	প্রত্যক্ষভাবে,	
jonoshongjog,	জনসসংগ্য,	জনসংযোগ,	
obharbhiu,	অভারভূ,	ওভারভিউ,	
itostato,	ইতস্তত,	ইতস্তত,	
ghese,	ঘেসে,	ঘেঁষে,	
jaanar,	জানার,	জানার,	
aborto,	অবর্ত,	আবর্ত,	
murli,	মূর্লি,	মুরলী,	
areek,	আরিক,	আরিক,	
kolahal,	কলাহল,	কোলাহল,	
korkotkranti,	কর্তক্রন্তি,	কর্কটক্রান্তি,	
dovar,	দভার,	ডোভার,	
karmoke,	কর্মকে,	কর্মকে,	
alaol,	আললা,	আলাওল,	
smarok,	স্মরক,	স্মারক,	
taki,	তাকি,	তকি,	
graambaseeo,	গ্রাম্বাসী,	গ্রামবাসীও,	
olympik,	অল্মিপিক,	অলিম্পিক,	
antorvukto,	অন্তর্ভূক্ত,	অন্তর্ভুক্ত,	
uporitale,	উপরিতেলে,	উপরিতলে,	
madhobikey,	মাধবিকে,	মাধবীকে,	
digree,	দিগ্রী,	ডিগ্রি,	
tegara,	টেগার,	টাইগার,	
shapholler,	সাফললের,	সাফল্যের,	
ranangane,	রান্গানে,	রণাঙ্গনে,	
turkii,	তুরকি,	তুর্কি,	
shikshakramer,	শিক্ষক্রমের,	শিক্ষাক্রমের,	
padee,	পাদি,	পাড়ে,	
sikkhakder,	শিক্ষাদের,	শিক্ষকদের,	
chutir,	চুতির,	ছুটির,	
donat,	দোনা,	ডোনাট,	
veniser,	ভেনিসের,	ভেনিসের,	
bbonyopran,	ব্যন্্পর্ণ,	বন্যপ্রাণ,	
gaj,	গজ,	গেজ,	
sikkhakram,	শিক্ষামর,	শিক্ষাক্রম,	
bike,	বিকে,	বাইক,	
soleel,	সললিল,	সলিল,	
shakkhatkarer,	শক্ষ্যকারের,	সাক্ষাৎকারের,	
bagey,	বাজে,	বাগে,	
juboksaho,	যুবক্ষা,	যুবকসহ,	
nongra,	নংগর,	নোংরা,	
gorer,	গরের,	গোরের,	
stain,	স্টেইন,	স্টেন,	
olimpyc,	অলিম্পিক,	অলিম্পিক,	
karka,	কার্ক,	কার্ক,	
avishangsan,	অভিষ্ষান,	অভিশংসন,	
balabhadra,	বালাাদার,	বলভদ্র,	
cholesi,	চলেেসি,	চলেছি,	
ivaner,	ইভানের,	ইভানের,	
nodigulo,	নদিগুলো,	নদীগুলো,	
baarakpur,	বারাকুপুর,	বারাকপুর,	
uinndos,	উইন্ডস,	উইন্ডোস,	
jini,	জিনি,	যিনি,	
bangobandhu,	বাংবান্ধু,	বঙ্গবন্ধু,	
vejjanno,	বিজ্যান্,	ভেজানো,	
daackticketer,	ডাক্সিকিতের,	ডাকটিকিটের,	
awrbit,	অব্রিত,	অরবিট,	
bardhitansh,	বর্ধিধন্স,	বর্ধিতাংশ,	
chhootochhuti,	ছুতুচিতি,	ছুটোছুটি,	
kyaneela,	ক্যানেল,	ক্যানেল,	
thatchar,	থাচার,	থ্যাচার,	
songosthatir,	সংস্ঠাতির,	সংস্থাটির,	
pitthey,	পিঠে,	পীঠে,	
bhaskor,	ভাষকর,	ভাস্কর,	
sthaponatir,	স্থাপনিত,	স্থাপনাটির,	
bagda,	বাগ্ড,	বাগদা,	
paramartha,	পরমার্থ,	পরমার্থ,	
black,	ব্লাক,	ব্ল্যাক,	
srabosty,	স্রবস্তি,	শ্রাবস্তী,	
dharabahikotitey,	ধরাবািকিতেতে,	ধারাবাহিকটিতে,	
seebiai,	সেবিই,	সিবিআই,	
aakabaar,	আকাবার,	আকাবার,	
nathibhukteer,	নাহিভুক্তির,	নথিভুক্তির,	
baraakpur,	বারাপুুর,	বারাকপুর,	
hossain,	হোসাইন,	হোসেইন,	
drissogulo,	দৃষ্যগুলো,	দৃশ্যগুলো,	
nopdnodir,	নন্দ্দীর,	নদনদীর,	
farn,	ফার্ন,	ফার্ন,	
ekshoti,	এক্সটি,	একশোটি,	
doula,	দুলা,	দৌলা,	
sikhra,	সিখ্র,	শিখরা,	
futanto,	ফুতন্ত,	ফুটন্ত,	
mitar,	মিতার,	মিত্র,	
dharavassyokar,	ধারবাস্্যকার,	ধারাভাষ্যকার,	
evar,	এভার,	এভার,	
shyooter,	স্যুতের,	শ্যুটার,	
aashirbaad,	আশির্বাদ,	আশির্বাদ,	
quata,	কুটা,	কোটা,	
falak,	ফালক,	ফলক,	
gafeeloti,	গাফলিটি,	গাফিলতি,	
xpresion,	স্র্সেশন,	এক্সপ্রেশন,	
sothikota,	সথিকতা,	সঠিকতা,	
itastato,	ইত্সসত,	ইতস্তত,	
graambaashee,	গ্রাম্বাসী,	গ্রামবাসী,	
angshogragon,	অংশগরগণ,	অংশগ্রহন,	
nariikei,	নারীকেই,	নারীকেই,	
ekghare,	একঘারে,	একঘরে,	
odoore,	অদুরে,	অদুরে,	
abhidhaaneeck,	অভিধানিক,	অভিধানিক,	
beeswasi,	বিশ্বাসী,	বিশ্বাসী,	
porishongkhyanbid,	পরিষ্ষ্ণ্বীদ,	পরিসংখ্যানবিদ,	
sqarta,	স্কর্ট,	স্কার্ট,	
shoti,	শটি,	শোটি,	
weelcomee,	ইভেলমি,	ওয়েলকাম,	
akshoti,	এক্ষটি,	একশোটি,	
shamuker,	সমুকের,	শামুকের,	
nirbahe,	নির্বাহে,	নির্বাহে,	
velcome,	ভেলকমে,	ওয়েলকাম,	
bronjer,	ব্র্জের,	ব্রোঞ্জের,	
janatey,	জনাতে,	জানাতে,	
minister,	মিনিস্টের,	মিনিস্টার,	
shhooter,	শুতের,	শ্যুটার,	
homeser,	হমেসের,	হোমসের,	
tader,	তাদের,	তদের,	
chal,	চল,	চাল,	
kaas,	কাস,	কাস,	
byaboharkarir,	ব্যবহারকারীর,	ব্যবহারকারীর,	
makhmaley,	মাখমলে,	মখমলে,	
sosa,	সো,	শশা,	
arakdal,	আরাকদল,	আরেকদল,	
khoja,	খোজ,	খোজা,	
oncholgoolote,	অন্যলুগোতে,	অঞ্চলগুলোতে,	
dephineshana,	ডেফিনেশন,	ডেফিনেশন,	
probhur,	প্রভূর,	প্রভুর,	
sayid,	সায়ি,	সাইদ,	
karadando,	কারাদন্ড,	কারাদণ্ড,	
mit,	মিত,	মিট,	
snipar,	স্নিপার,	স্নাইপার,	
syutara,	স্যুতার,	শ্যুটার,	
jetei,	জেটেই,	যেতেই,	
ottacharito,	অত্চারাতি,	অত্যাচারিত,	
bhittimool,	ভিত্মিল,	ভিত্তিমূল,	
maadhoobir,	মাধ্বীর,	মাধবীর,	
mahe,	মহে,	মাহে,	
mithener,	মিথেনের,	মিথেনের,	
laz,	লাজ,	লাজ,	
siddhantai,	সিদ্ধন্তাই,	সিদ্ধান্তই,	
floodliter,	ফ্ললডিতের,	ফ্লাডলাইটের,	
beca,	বেক,	বেচা,	
baghdad,	বাধদদ,	বাগদাদ,	
aashanka,	আশানক,	আশংকা,	
gaadhaa,	গাধা,	গাধা,	
chapol,	চাপল,	চপল,	
dhyanastho,	ধ্যান্্,	ধ্যানস্থ,	
taoonsheep,	টানশিপ,	টাউনশিপ,	
sampadankaree,	সম্পদানকারী,	সম্পাদনকারী,	
baaik,	বাইক,	বাইক,	
shikkhakram,	শিক্ষ্রমা,	শিক্ষাক্রম,	
somudrotote,	সমুদ্রততে,	সমুদ্রতটে,	
piruzali,	পিরুজালি,	পিরুজালী,	
byaboharkarike,	ব্যবহারকারীকে,	ব্যবহারকারীকে,	
rajpur,	রাজপুর,	রাজপুর,	
oncholsomuho,	অন্লসমূহ,	অঞ্চলসমূহ,	
rachonakal,	রাচনাকল,	রচনাকাল,	
japaanira,	জাপানীর,	জাপানিরা,	
site,	সিতে,	সিটে,	
nagoriker,	নাগরীকের,	নাগরিকের,	
pro,	প্র,	প্রো,	
maaktoome,	মাককটমে,	মাকতুম,	
bikretara,	বিক্রেতার,	বিক্রেতারা,	
fastara,	ফাস্টার,	ফস্টার,	
parishrom,	পরিষ্রম,	পরিশ্রম,	
laj,	লজ,	লাজ,	
playtey,	প্লাটে,	প্লেটে,	
amarjito,	অমার্জিত,	অমার্জিত,	
praapoker,	প্রাপকের,	প্রাপকের,	
nandolal,	নন্ডলল,	নন্দলাল,	
rilayeensa,	রিলায়েন্স,	রিলায়েন্স,	
songbadmadhyomgulote,	সংবাধ্ধমুলোতে,	সংবাদমাধ্যমগুলোতে,	
uporoshtho,	উপর্ষ্থ,	উপরস্থ,	
sekarane,	সেকারেন,	সেকারণে,	
pachbar,	পাচবর,	পাঁচবার,	
amudey,	আমুদে,	আমুদে,	
cholochchitro,	চলচচ্ত্র,	চলচ্চিত্র,	
manjushree,	মানজুস্রী,	মঞ্জুশ্রী,	
horiddare,	হরিদদারে,	হরিদ্বারে,	
hoondayi,	হন্ডাই,	হুন্দাই,	
uponeesoder,	উপনিসদের,	উপনিষদের,	
norton,	নর্তন,	নর্টন,	
kolkarkhana,	কললকর্ণ,	কলকারখানা,	
paksenara,	পক্ষেনের,	পাকসেনারা,	
abasaney,	অবসানে,	অবসানে,	
shoow,	শু,	শো,	
tiuning,	টিউনিং,	টিউনিং,	
aazadeer,	আজাদীর,	আজাদীর,	
anodhikaar,	অনধিকার,	অনধিকার,	
antarvukto,	অন্তর্ভূক্ত,	অন্তর্ভুক্ত,	
sanmukh,	সম্মুখ,	সন্মুখ,	
shorsha,	শর্ষ,	সোর্স,	
daja,	দাজ,	ডোজো,	
bagichaar,	বাগিচার,	বাগিচার,	
atohar,	আতাহর,	আতহার,	
modele,	মদেলে,	মডেলে,	
ancholsaha,	অন্ললস,	অঞ্চলসহ,	
nischitrupe,	নিশ্ষ্তূরূপে,	নিশ্চিতরূপে,	
dorgaaho,	দর্গাহ,	দরগাহ,	
mag,	মাগ,	এমএজি,	
satarkabhabe,	সতরাকাভাবে,	সতর্কভাবে,	
jhankar,	ঝাঁকার,	ঝঙ্কার,	
hafsa,	হাস,	হাফসা,	
ballrum,	বাললুর,	বলরুম,	
kinsha,	কিন্স,	কিংস,	
chittronatyokar,	চিত্র্যাত্যকার,	চিত্রনাট্যকার,	
kathmandute,	কামানুদ্তে,	কাঠমান্ডুতে,	
ponjikaar,	পঞ্জিকার,	পঞ্জিকার,	
heelse,	হিলসে,	হিলসে,	
post,	পোস্ট,	পোষ্ট,	
srimati,	শ্রীমটি,	শ্রীমতি,	
sahopatheeke,	সহাপািকে,	সহপাঠীকে,	
muladee,	মুলাদী,	মুলাদি,	
bossontoke,	বসস্তকে,	বসন্তকে,	
antarvukta,	অন্তর্ভূক্ত,	অন্তর্ভুক্ত,	
uchhoshito,	উচ্ষিত,	উচ্ছসিত,	
baibosthar,	ব্যবস্থার,	ব্যবস্থার,	
shithilatar,	শিথিলতার,	শিথিলতার,	
asamonjoshopurno,	আসমাযোস্পূর্ণ,	অসামঞ্জস্যপূর্ণ,	
duuma,	দুমা,	দুমা,	
ekoghore,	একগরে,	একঘরে,	
saifai,	সাইফ,	সাইফাই,	
hepatitis,	হেপাটিস,	হেপাটাইটিস,	
opochesta,	অপোেস্ট,	অপচেষ্টা,	
jeebnagar,	জীবন্গার,	জীবননগর,	
assaciates,	অস্যাসেসেট,	এসোসিয়েটস,	
jonmat,	জন্মা,	জন্মাত,	
dharavahik,	ধারাহিক,	ধারাবাহিক,	
gobeshonar,	গবেষণার,	গবেষনার,	
lumbinee,	লুম্বীনী,	লুম্বিনী,	
otorkeitey,	অতরকেিতে,	অতর্কিতে,	
arsie,	আর্সি,	আরসিএ,	
times,	টিমেস,	টাইমস্,	
gajano,	গাজন,	গজানো,	
ramonar,	রামনার,	রমনার,	
oncholshomuher,	অন্চলসমূহের,	অঞ্চলসমূহের,	
pudding,	পুদ্ডিং,	পুডিং,	
beam,	বিম,	বিম,	
taurat,	তারুত,	তওরাত,	
ostad,	অস্তা,	ওস্তাদ,	
gonokantho,	গণনাক্ঠ,	গণকণ্ঠ,	
whole,	ওলে,	হোল,	
qonflict,	কনফলিক্ট,	কনফ্লিক্ট,	
deepei,	দিপেই,	দ্বীপেই,	
booponer,	বুপনের,	বপনের,	
tookrote,	তুকরতে,	টুকরোতে,	
daakteekit,	দাক্তিকি,	ডাকটিকিট,	
vvejaano,	ভভযাজন,	ভেজানো,	
mile,	মিলে,	মাইল,	
khelafatey,	খেলাফাতে,	খেলাফতে,	
