zoneete,	জনিতে,	যোনীতে,	
suity,	সুইতি,	সুইটি,	
dreeshtiheen,	দ্ষ্ষিশিন,	দৃষ্টিহীন,	
miley,	মিলে,	মাইলি,	
loukikotaa,	লুককততা,	লৌকিকতা,	
jony,	জন্,	জনি,	
ukeliptash,	উলকেলেটাশ,	ইউক্যালিপ্টাস,	
residence,	রেসিড্নেক,	রেসিডেন্স,	
serverty,	সেবরর্টি,	সার্ভারটি,	
hoeel,	হিল,	হইল,	
phala,	ফাল,	পোলো,	
thai,	থাই,	থাই,	
ghoorte,	ঘর্তে,	ঘুরতে,	
kanaphlikta,	কান্যকককা,	কনফ্লিক্ট,	
cheef,	চিফ,	শেফ,	
fuda,	ফুডা,	ফুড,	
karmapantha,	কর্মপ্থান,	কর্মপন্থা,	
toroon,	তরর,	তরুন,	
nirvaha,	নির্ভাহ,	নির্বাহ,	
harz,	হার্জ,	হার্জ,	
juktorastrosoho,	যুক্তররস্থহহ,	যুক্তরাষ্ট্রসহ,	
bhabnar,	ভাবনার,	ভাবনার,	
anchalkey,	অন্চালকে,	অঞ্চলকে,	
gunaman,	গুনমান,	গুণমান,	
projanankal,	প্রননানক,	প্রজননকাল,	
nationsh,	নানিন্স,	নেশনস,	
monir,	মনির,	মনির,	
dilam,	ডিলিম,	দিলাম,	
godamjato,	গোজমতত,	গুদামজাত,	
tenisha,	টেনিস,	টেনিস,	
sohinsotar,	সহিন্তার,	সহিংসতার,	
bipajjanak,	বিপজজনন,	বিপজ্জনক,	
teemothee,	তেমাি,	টিমোথি,	
spredashita,	স্প্র্ডেশিশ,	স্প্রেডশীট,	
ancholtikey,	অন্চচককেকে,	অঞ্চলটিকে,	
nathivukteer,	নথিযুক্তের,	নথিভুক্তির,	
dharavahikbhabey,	ধারাভাভাবাবে,	ধারাবাহিকভাবে,	
tennis,	টেন্টিং,	টেনিস,	
manushder,	মনসদদের,	মানুষদের,	
vashik,	ভাশিক,	ভাষিক,	
pnouchute,	পৌচচতে,	পৌঁছুতে,	
jillool,	জিলললল,	জিল্লুল,	
mahey,	মহে,	মাহে,	
graambaasio,	গ্রামসসস,	গ্রামবাসীও,	
dokaneyi,	দককানে,	দোকানেই,	
zhalkatthi,	লালাতাই,	ঝালকাঠী,	
goori,	গুরি,	গোরি,	
hilse,	হিলস,	হিলসে,	
fern,	ফের্ন,	ফার্ন,	
onshogrohoner,	অংস্গগগের,	অংশগ্রহনের,	
phormat,	ফর্মত,	ফরম্যাট,	
kurdira,	কুর্ডির,	কুর্দিরা,	
mondopey,	মন্দপে,	মন্ডপে,	
sajja,	সাজ্জ,	সজ্জা,	
uroor,	উরুর,	উরুর,	
sastra,	সসস্ত্র,	শাস্ত্র,	
elakatikey,	এলককতেকে,	এলাকাটিকে,	
porizon,	পরিজন,	পরিজন,	
abdoor,	অব্দর,	আবদুর,	
jeans,	জেন্স,	জিন্স,	
ingrejiteo,	ইন্গিগিতে,	ইংরেজিতেও,	
juktorastrey,	জুক্তর্ত্রে,	যুক্তরাষ্ট্রে,	
shcholarshhip,	স্লাল্পাপিপ,	স্কলারশিপ,	
soptahokal,	সপপ্তালা,	সপ্তাহকাল,	
parshwer,	পর্ষ্বের,	পার্শ্বের,	
messenjer,	মেসেন্জের,	মেসেঞ্জার,	
machera,	মাচের,	মাছেরা,	
kyashpar,	ক্যাপপার,	ক্যাসপার,	
mandanda,	মন্দান্ড,	মানদণ্ড,	
tintikey,	তিন্টিকে,	তিনটিকে,	
modelke,	মদেলকে,	মডেলকে,	
mandondo,	মন্দ্্ড,	মানদণ্ড,	
shloker,	স্লকের,	শ্লোকের,	
potthon,	পথঠন,	পঠন,	
saseza,	সাসেজা,	সসেজ,	
abheedhaner,	অভিধনাের,	অভিধানের,	
jerusaleme,	জিরাসমললে,	জেরুসালেমে,	
vishad,	বিশদ,	বিষদ,	
crucer,	ক্রকের,	ক্রুশের,	
oparogota,	অপরগতত,	অপারগতা,	
rahie,	রাহিই,	রাহি,	
shatokeo,	সাতেক,	শতকেও,	
qanasarabheshana,	কন্াানেশাশন,	কনসারভেশন,	
kathhmandu,	কাঠান্্দ,	কাঠমান্ডু,	
sampadonkari,	সম্পপান্ারী,	সম্পাদনকারী,	
ponni,	পন্নি,	পন্নী,	
pronoti,	প্রনতি,	প্রণতি,	
manzurul,	মন্যুরুল,	মনজুরুল,	
laaj,	লাজ,	লাজ,	
gaandaas,	গান্ডাস,	জ্ঞানদাস,	
spredashiita,	স্প্র্ডেশিশ,	স্প্রেডশীট,	
aabarto,	আবার্ত,	আবর্ত,	
jubokder,	জববকদেের,	যুবকদের,	
lagche,	লালচে,	লাগছে,	
masey,	মাসে,	মাসে,	
ruteen,	রোটিন,	রুটিন,	
graambaaseeo,	গ্রামাসবী,	গ্রামবাসীও,	
noitikotar,	নৈতিকতার,	নৈতিকতার,	
shahoshikatar,	শহশিকতার,	সাহসিকতার,	
ajeeja,	অজিজা,	আজিজা,	
jonsha,	জনসা,	জোন্স,	
bandhutwo,	বন্যত্ব,	বন্ধুত্ত্ব,	
byabaharkareer,	ব্যাহাাকারর,	ব্যবহারকারীর,	
nischay,	নিসচ্যে,	নিশ্চয়,	
bahal,	বাহলল,	বহাল,	
shahab,	শাহব,	সাহাব,	
boring,	বরিং,	বোরিং,	
laiceensee,	লাইল্সিন,	লাইসেন্স,	
bosano,	বস্ন,	বসানো,	
soourse,	সুর্সে,	সোর্স,	
heeavy,	হিভি,	হেভি,	
bronje,	ব্র্জজে,	ব্রোঞ্জ,	
shuchonakal,	শুখনকাল,	সূচনাকাল,	
mekbeth,	মেকেব,	ম্যাকবেথ,	
difinishian,	ডিফিনিশনন,	ডেফিনেশন,	
apocheshta,	অপচেষ্ট,	অপচেষ্টা,	
gitikabitar,	গিতিতিবাতার,	গীতিকবিতার,	
nadimatrik,	নাদিদ্তিরক,	নদীমাতৃক,	
laiseensim,	লাইসিমিংংং,	লাইসেন্সিং,	
drishyogulotey,	দৃষ্রগগলততে,	দৃশ্যগুলোতে,	
kyaneela,	ক্যানলল,	ক্যানেল,	
bheenasa,	ভিনাস,	ভেনাস,	
shuperhero,	সুপররে,	সুপারহিরো,	
gaandas,	গান্ড,	জ্ঞানদাস,	
larshon,	লারসন,	লারসন,	
gaze,	গজে,	গেজ,	
sahosikotar,	সহশিকতার,	সাহসিকতার,	
freedom,	ফ্রিডম,	ফ্রীডম,	
aairis,	আইরিস,	আইরিস,	
sthapanagulor,	স্থাপপগুলোর,	স্থাপনাগুলোর,	
anyorup,	অন্যররপ,	অন্যরূপ,	
rajtantroke,	রাজ্ত্তানকে,	রাজতন্ত্রকে,	
shlok,	স্লক,	শ্লোক,	
nagnyo,	নাগ্য,	নগণ্য,	
gadhaa,	গাধা,	গাধা,	
aunty,	অন্তি,	আন্টি,	
talaa,	টালা,	তালা,	
jacq,	জায্ক,	জ্যাক,	
troop,	ত্রোপ,	ট্রুপ,	
iura,	ইউরা,	ইউরো,	
ghotleo,	ঘটলে,	ঘটলেও,	
krisenter,	ক্রিস্টের,	ক্রিসেন্টের,	
soundorjyo,	সন্দ্য্য,	সৌর্ন্দয্য,	
abosare,	অবসারে,	অবসরে,	
azadeer,	আজদার,	আজাদীর,	
abheedhaanik,	অভিধনকক,	অভিধানিক,	
tarokareer,	তারাকার,	তরকারীর,	
sakaar,	সাকার,	সকার,	
jaaluk,	জালুক,	জ্বলুক,	
antarctika,	আন্যার্টাক্ট,	অ্যান্টার্কটিকা,	
joubanboti,	জৌবনবতি,	যৌবনবতী,	
ameriqa,	আমেরিকা,	আমেরিকা,	
prakalpoo,	প্রকাপপল,	প্রকল্পও,	
abartey,	আবার্তে,	আবর্তে,	
dokaangoolote,	দক্াগগলতে,	দোকানগুলোতে,	
obhishangsan,	অভিশসনন,	অভিশংসন,	
fanskari,	ফাস্কারার,	ফাঁসকারী,	
sosharire,	সাশররী,	সশরীরে,	
grot,	গ্রত,	গ্রোথ,	
yanqee,	অযন্কি,	ইয়াংকি,	
pleto,	প্লেট,	প্লেটো,	
sollalaho,	সললললা,	সল্লাল্লাহু,	
musolmanera,	মুসমমালনের,	মুসলমানেরা,	
manushti,	মনস্টি,	মানুষটি,	
neelfamarir,	নিলাপামার,	নীলফামারীর,	
vobanipur,	ভাবনীপুর,	ভবানীপুর,	
utsahamulak,	উৎস্মমমাল,	উৎসাহমূলক,	
patrol,	পাত্রল,	পেট্রোল,	
kleentoner,	ক্লেন্টনের,	ক্লিনটনের,	
eidin,	এডিন,	এইদিন,	
jwalbe,	জ্বাল্বে,	জ্বলবে,	
obeekol,	অবিকল,	অবিকল,	
janmat,	জন্মত,	জন্মাত,	
pothchari,	পথচারি,	পথচারী,	
bossonte,	বস্্তনে,	বসন্তে,	
kredit,	ক্রেডিট,	ক্রেডিট,	
sanghar,	সংঘার,	সংহার,	
juktorashtrer,	জুক্তর্ত্রের,	যুক্তরাষ্ট্রের,	
sorbopori,	সর্বপরী,	সর্বোপরী,	
jomkaalo,	জামকলল,	জমকালো,	
hunine,	হুনিনে,	হুনাইন,	
mootar,	মোতার,	মুতার,	
doltyagi,	দ্যত্গাগি,	দলত্যাগী,	
pader,	পদের,	প্যাডের,	
kyathlik,	ক্যাতিক,	ক্যাথলিক,	
bhromonkaale,	ভ্রামাাললে,	ভ্রমণকালে,	
phalah,	ফালা,	ফালাহ,	
serverer,	সেবররের,	সার্ভারের,	
musalmanra,	মুসলমান্র,	মুসলমানরা,	
sthaponar,	স্থাপনার,	স্থাপনার,	
grameroi,	গ্রামারে,	গ্রামেরই,	
udbhabaker,	উদ্ভাবাকের,	উদ্ভাবকের,	
parinati,	পরিনাতি,	পরিণতি,	
labanaktatar,	লাবানতততার,	লবণাক্ততার,	
roi,	রোই,	রায়,	
tovnship,	তানিপিপ,	টাউনশিপ,	
carlo,	কাল্ল,	কার্লো,	
kyapashula,	ক্যাপালল,	ক্যাপসুল,	
definisian,	ডেফিনিশন,	ডেফিনেশন,	
maricha,	মারিচ,	মরিচা,	
vishhnu,	বিশ্ণু,	বিষ্ণু,	
abhidhaanic,	অভিধানিক,	অভিধানিক,	
nathivukta,	নাঠিভুক্ত,	নথিভুক্ত,	
naditike,	নাদিতিকে,	নদীটিকে,	
maarmader,	মার্মাদের,	মারমাদের,	
samanwitovabe,	সমনানভাতাবে,	সমন্বিতভাবে,	
jotinkey,	জতিনকে,	যতীনকে,	
sontoshpur,	সন্ত্পপুর,	সন্তোষপুর,	
garnaar,	গর্নার,	গার্নার,	
dosider,	দশশিদের,	দোষীদের,	
danckan,	ডানকনন,	ডানকান,	
longhan,	লঙ্গান,	লংঘন,	
boshoborty,	ববস্বত্বি,	বশবর্তী,	
lambate,	ল্যামবতে,	লম্বাটে,	
tenishe,	টেনিসে,	টেনিসে,	
bandhuderke,	বন্দদকে,	বন্ধুদেরকে,	
biplobi,	বিপ্বলি,	বিপ্লবী,	
utsahomulak,	উৎস্মমমূল,	উৎসাহমূলক,	
roktokkhon,	রক্ষক্ষণ,	রক্তক্ষরণের,	
jemy,	জেমি,	জেমি,	
bosante,	বস্্তা,	বসন্তে,	
hotochokito,	হতচকিত,	হতচকিত,	
amiretus,	অমিরিটিস,	এমিরেটাস,	
dologulo,	দলললুল,	দলগুলো,	
hock,	হ্ক,	হুক,	
bechaa,	বেচা,	বেচা,	
ganohatyar,	গন্যাত্র,	গণহত্যার,	
sudhui,	সুধু,	শুধুই,	
sossar,	সস্ার,	সকার,	
horir,	হরির,	হরির,	
deeyenes,	ডেইনেস,	ডিএনএস,	
musolmanderkey,	মুস্মান্কাদের,	মুসলমানদেরকে,	
gujober,	গুজবের,	গুজবের,	
firoj,	ফিরজ,	ফিরোজ,	
bajite,	বাজিতে,	বাজিতে,	
sakkhatkarer,	সাক্ষাকারের,	সাক্ষাৎকারের,	
swajan,	স্বাজন,	স্বজন,	
chiranton,	চির্ননন,	চিরন্তন,	
ghursen,	ঘোর্সেন,	ঘুরেছেন,	
ekpaase,	একপাসে,	একপাশে,	
elakayi,	এলকাইই,	এলাকাই,	
pholo,	ফলল,	পোলো,	
jinsa,	জিন্স,	জিন্স,	
larson,	লা্্ণ,	লারসন,	
ramdhonu,	রাম্ধু,	রামধনু,	
kanar,	কানার,	কণার,	
qyandi,	ক্যান্ডি,	ক্যান্ডি,	
dosa,	দোস,	দোসা,	
vortuki,	ভর্তুকি,	ভর্তুকি,	
bayi,	বাইই,	বাঈ,	
rites,	রেটিস,	রিতেশ,	
shyooter,	স্যতের,	শ্যুটার,	
uthane,	উঠানে,	উঠানে,	
sidiul,	সিডিল,	শিডিউল,	
daktikiter,	দাক্তিকেতের,	ডাকটিকিটের,	
aansaareer,	আনসারীর,	আনসারীর,	
chaudhurider,	চৌধ্রদদের,	চৌধুরীদের,	
saifai,	সাইফই,	সাইফাই,	
angshograhon,	অংশগগগগণ,	অংশগ্রহন,	
karore,	কাররে,	কারোর,	
madhookori,	মধ্যকরী,	মাধুকরী,	
doonata,	দোনতা,	ডোনাট,	
songhitar,	সংগিতার,	সংহিতার,	
jilyaand,	জিল্যান্ড,	জিল্যান্ড,	
shakara,	শাকার,	সকার,	
ameerica,	অমিরিকা,	আমেরিকা,	
militaryr,	মিলিতারির,	মিলিটারির,	
naubom,	নাবম,	নবম,	
bolbo,	বলল,	বলবো,	
manikyo,	মানিক্য,	মানিক্য,	
sobche,	সব্চে,	সবচে,	
esiyatika,	এসেসিককাক,	এশিয়াটিক,	
kredita,	ক্রেডিট,	ক্রেডিট,	
pitthe,	পিথ্যে,	পীঠে,	
onnkita,	অন্কিত,	অঙ্কিতা,	
kaalengaa,	কালেগগগগ,	কালেঙ্গা,	
armeeniyana,	আর্মিনিন,	আর্মেনিয়ান,	
monohputa,	মনুমতত,	মনঃপুত,	
bahjya,	বাহ্য,	বাহ্য,	
kyantana,	ক্যাননন,	ক্যান্টন,	
graambaseeo,	গ্রামাসবী,	গ্রামবাসীও,	
meiler,	মেলের,	মেইলের,	
samaveshti,	সম্ভাস্টি,	সমাবেশটি,	
granthoti,	গ্রনথতি,	গ্রন্থটি,	
kharar,	খারার,	খরার,	
madraji,	মা্দরাজি,	মাদ্রাজি,	
ogobhir,	অগগির,	অগভীর,	
flag,	ফ্লাগ,	ফ্লাগ,	
laala,	লালা,	লালা,	
subade,	সুবাদে,	সুবাদে,	
abheedhaaneek,	অভিধনকক,	অভিধানিক,	
parther,	পার্থের,	পার্থের,	
koyeri,	কোয়রি,	কোয়েরি,	
paripaker,	পরিপকের,	পরিপাকের,	
ganohotyake,	গন্যাত্যে,	গণহত্যাকে,	
venice,	ভেইনিক,	ভেনিস,	
shommoteete,	সম্মতততে,	সম্মতিতে,	
besarkarikaran,	বেস্করককণণ,	বেসরকারিকরণ,	
parkasa,	পার্কা,	পার্কস,	
paste,	পাস্টে,	পেষ্ট,	
byabaharkareeke,	ব্যাযারকাকে,	ব্যবহারকারীকে,	
engrezra,	এন্গ্রেজার,	ইংরেজরা,	
evil,	ইভিল,	ইভিল,	
horidar,	হরিদার,	হরিদ্বার,	
bitolser,	বিত্ললের,	বিটলসের,	
bagdadi,	বাদ্দা,	বাগদাদী,	
bashitey,	বাস্তিতে,	বাঁশিতে,	
shudhui,	সুধু,	শুধুই,	
obe,	অবে,	ওবিই,	
paltechhey,	পালাচেছে,	পাল্টেছে,	
balatkar,	বালতার,	বলাৎকার,	
suraropeeto,	সুররপতিত,	সুরারোপিত,	
uruu,	উরুু,	উরু,	
juboksaho,	জুবকস্হ,	যুবকসহ,	
sectar,	সেক্টার,	সেক্টর,	
hafez,	হাফেজ,	হাফেয,	
suraaropito,	সুরররতিত,	সুরারোপিত,	
romantika,	রম্মানিক,	রোমান্টিক,	
bondhuke,	বন্ধুকে,	বন্ধুকে,	
elakashaho,	এলকাসহ,	এলাকাসহ,	
michir,	মিচির,	মিচির,	
jhalkathee,	জালাাতি,	ঝালকাঠী,	
taalgachh,	তালালচ,	তালগাছ,	
reesideensa,	রেসিন্স্স,	রেসিডেন্স,	
ghosito,	ঘৈষিত,	ঘোষিত,	
sahinsatar,	সহিন্তার,	সহিংসতার,	
naitik,	নাইটিক,	নৈতিক,	
mosjidsaha,	মম্দিসহ,	মসজিদসহ,	
xpose,	প্পেস,	এক্সপোজ,	
ketechhilo,	কেটেছিল,	কেটেছিল,	
baipass,	বাইপ্য,	বাইপাস,	
cholochchitrer,	চলচচচেতের,	চলচ্চিত্রের,	
bim,	বিম,	বিম,	
seramiqs,	স্রামিক,	সিরামিকস,	
biphal,	বিপল,	বিফল,	
ingrejeeteo,	ইং্গিগিতে,	ইংরেজিতেও,	
protizogiir,	প্রতিগগগির,	প্রতিযোগীতার,	
anan,	আনান,	আনান,	
gagee,	গাগি,	গেজ,	
ganakantho,	গণনান্থ,	গণকণ্ঠ,	
refleks,	রেফেক্ক,	রিফ্লেক্স,	
jubokey,	জবুকে,	যুবকে,	
agradut,	অগ্রুত,	অগ্রদূত,	
archimedeser,	আর্চিমেশের,	আর্কিমিডিসের,	
carymb,	কা্্য্ব,	করিম,	
koilaash,	কলিল,	কৈলাস,	
swapad,	স্বপপদ,	শ্বাপদ,	
ajeempur,	আজিমপপুর,	আজিমপুর,	
bai,	বাই,	বাঈ,	
voolapuk,	ভুলুপক,	ভোলাপুক,	
heelser,	হিলসের,	হিলসের,	
laaishheshh,	লাইসেশ,	লাইসেন্স,	
turqamena,	তুর্মমেন,	তুর্কমেন,	
bosonte,	বস্নতে,	বসন্তে,	
par,	পার,	পাব,	
shilpajata,	শিল্পপতা,	শিল্পজাত,	
chalochchitrotike,	চলচচচচতেতে,	চলচ্চিত্রটিকে,	
vittitei,	ভিততিতে,	ভিত্তিতেই,	
kindama,	কিন্মম,	কিংডম,	
chhedon,	চেদন,	ছেদন,	
osamonjoshyopurno,	অস্মাম্যপূূণ্ণ,	অসামঞ্জস্যপূর্ণ,	
gondho,	গণ্ধ,	গন্ধে,	
eevil,	এভিল,	ইভিল,	
shomraat,	সম্রতত,	সম্রাট,	
ojouno,	অজনো,	অযৌন,	
joubankal,	জৌবনকাল,	যৌবনকাল,	
paaree,	পারি,	পাড়ে,	
pratisthanik,	প্রত্ষানিকনক,	প্রাতিষ্ঠানিক,	
funding,	ফান্ডিং,	ফান্ডিং,	
amerikar,	আমিরকের,	আমেরিকার,	
starc,	স্টার্ক,	স্টার্ক,	
maile,	মাইলে,	মাইল,	
nischitvabe,	নিশ্চিতভাবে,	নিশ্চিতভাবে,	
shelinar,	সেলিনার,	সেলিনার,	
myakbeth,	ম্যাযেক,	ম্যাকবেথ,	
aireshe,	আইরেস,	আইরেসে,	
hurricane,	হুর্কানে,	হ্যারিকেন,	
sthaponagulo,	স্থাপপুলোল,	স্থাপনাগুলো,	
oholyar,	অহ্যার,	অহল্যার,	
shainyara,	সান্যার,	সৈন্যরা,	
raagkey,	রাগকে,	রাগকে,	
norton,	নর্তন,	নর্টন,	
ganoporibahaner,	গণপাীানের,	গণপরিবহনের,	
military,	মিলিতারি,	মিলিটারি,	
biswashwo,	বিশ্বব্ব,	বিশ্বাসও,	
prothakey,	প্রথাকে,	প্রথাকে,	
kaaferderke,	কাফার্কেকে,	কাফেরদেরকে,	
nadigulir,	নাদিগুলির,	নদীগুলির,	
soinyosaho,	সনিন্যহহ,	সৈন্যসহ,	
taantira,	তান্টির,	তাঁতিরা,	
hunayn,	হুনান,	হুনাইন,	
itostato,	ইতসততত,	ইতস্তত,	
choity,	চাতি,	চৈতি,	
torunderke,	তরর্দদেে,	তরুণদেরকে,	
bandhuke,	বন্যুকে,	বন্ধুকে,	
stonehenj,	স্টেনেন্য,	স্টোনহেঞ্জ,	
bisringkhola,	বিশ্ষ্ংলল,	বিশৃঙ্খলা,	
saarbhaare,	সারভাাে,	সার্ভারে,	
compact,	কম্প্ট,	কমপ্যাক্ট,	
bolatkar,	বল্তার,	বলাৎকার,	
phutonto,	ফুতনত,	ফুটন্ত,	
kormosongsthaner,	কর্ম্যসন্থানের,	কর্মসংস্থানের,	
jeerusaleem,	জিরাসমললি,	জেরুসালেম,	
samanwitavabe,	সমনানভাতাবে,	সমন্বিতভাবে,	
ghoomachhe,	ঘোমাচে,	ঘুমাচ্ছে,	
ekai,	একাই,	একাই,	
bedanta,	বেদন্ত,	বেদান্ত,	
shomostike,	সম্্তিকে,	সমষ্টিকে,	
koode,	কোদে,	কোড,	
shomrat,	সম্রত,	সম্রাট,	
kokhonoba,	কখনাবা,	কখনওবা,	
vagni,	ভাগনি,	ভগ্নী,	
mesenjar,	মেসেন্জার,	মেসেঞ্জার,	
samanya,	সমম্যা,	সামান্য,	
zohns,	জন্্স,	জন্স,	
soshorire,	সহররী,	সশরীরে,	
sikarer,	সিকারের,	শিকারের,	
bholapuqa,	ভালপাক,	ভোলাপুক,	
chhooteer,	ছোটির,	ছুটির,	
istoniya,	ইস্টিনিয,	এস্তোনিয়া,	
shepha,	সেফ,	শেফ,	
orhan,	অরহান,	ওরহান,	
cholochchitrogulor,	চল্চচিলগুল্র,	চলচ্চিত্রগুলোর,	
neutrinoo,	নিত্রিন,	নিউট্রিনো,	
obiyi,	অভিি,	ওবিই,	
bhenom,	ভেনম,	ভেনম,	
omkar,	আমকার,	ওঙ্কার,	
onchalti,	অনচালতি,	অঞ্চলটি,	
krechi,	ক্রেচে,	করেছি,	
shilpojato,	শিল্পপতত,	শিল্পজাত,	
shoshar,	শশার,	সকার,	
tourist,	তুর্ট,	টুরিস্ট,	
concerter,	কন্্্টের,	কানসাটের,	
noditi,	নদিতি,	নদীটি,	
shcholastiq,	স্লাল্সটিট,	স্কলাস্টিক,	
snepara,	সেপেপার,	স্নাইপার,	
uponishod,	উপনশদদ,	উপনিষদ,	
shkora,	শ্কর,	স্কোর,	
abhidhaanick,	অভিধননকক,	অভিধানিক,	
bhittie,	ভিত্যি,	ভিত্তিই,	
bonshoke,	বংসককে,	বংশকে,	
boikollyo,	বৈকললল,	বৈকল্য,	
gafiloti,	গালিলতি,	গাফিলতি,	
changee,	চাঙ্গী,	চেঞ্জ,	
vooter,	ভোটের,	ভোটার,	
yaq,	এয়ক,	ইয়াক,	
shaatjoner,	সাত্জনের,	সাতজনের,	
olangkoron,	অলককরণণ,	অলঙ্করণ,	
obhaarbhiu,	অভারিভি,	ওভারভিউ,	
kanagulo,	কানগগুলো,	কণাগুলো,	
vatar,	ভাতার,	ভাতার,	
fal,	ফাল,	ফল,	
tourisht,	তুরিস্ট,	টুরিস্ট,	
stoner,	স্টেন,	স্টোনের,	
tempaleta,	টেমপপেলট,	টেম্পলেট,	
hostantor,	হস্তান্তর,	হস্তান্তর,	
nitikotha,	নিতিকা,	নীতিকথা,	
don,	দন,	দোন,	
chesa,	চেস,	চেস,	
ghumachche,	ঘোমচচচে,	ঘুমাচ্ছে,	
qarlosa,	কাল্াস,	কার্লোস,	
chhattrorai,	ছাত্রারি,	ছাত্ররাই,	
dakope,	ডাকপে,	দাকোপ,	
vumija,	ভূমিজ,	ভূমিজ,	
sahazlabhbhatar,	সহ্যাভাতাার,	সহজলভ্যতার,	
gardeena,	গর্দেন,	গার্ডেন,	
sone,	সনন,	সনে,	
zuktorastre,	জুক্তর্ত্রে,	যুক্তরাষ্ট্রে,	
claus,	ক্লাল,	ক্লজ,	
mojlishpoor,	মালিলপপুর,	মজলিশপুর,	
konader,	কনদার,	কণাদের,	
karmazog,	কর্মগগ,	কর্মযোগ,	
ancholsoho,	অন্চললল,	অঞ্চলসহ,	
lompot,	লোমপত,	লম্পট,	
kathmandu,	কাঠন্ম্,	কাঠমান্ডু,	
ekaar,	একার,	একার,	
thesiser,	তেসিসের,	থিসিসের,	
lyaata,	ল্যাত,	ল্যাটা,	
timur,	তিমুর,	তিমুর,	
gondhe,	গণ্ধে,	গন্ধে,	
neermolotaa,	নির্মলতা,	নির্মলতা,	
rekhapat,	রেকপপত,	রেখাপাত,	
bafal,	বালল,	বিফল,	
sumo,	সুম,	সুমো,	
sukhma,	সুখ্ম,	সুক্ষ্ম,	
bhangchoor,	ভঙ্গুর,	ভাংচুর,	
sainyo,	সান্য,	সৈন্য,	
besoor,	বেসোর,	বেসুর,	
bii,	বিই,	বি,	
horippur,	হরিপুর,	হরিপুর,	
lendol,	লেন্ডল,	লেন্ডল,	
source,	সৌর্স,	সোর্স,	
michilti,	মিচিলিতি,	মিছিলটি,	
seo,	সেও,	সেও,	
bibechya,	বিবেচ্যা,	বিবেচ্য,	
lokeshon,	লোকেশন,	লোকেশন,	
nagaland,	নাগালন্ড,	নাগাল্যান্ড,	
swartha,	স্ব্র্থ,	স্বার্থ,	
vittiteow,	ভিতিতিও,	ভিত্তিতেও,	
elaakaate,	এলকাতে,	এলাকাতে,	
juktorashtrosaha,	জুক্তর্তসাসহ,	যুক্তরাষ্ট্রসহ,	
bifal,	বিফাল,	বিফল,	
kaferder,	কাফেদ্রের,	কাফেরদের,	
matorom,	মতরমম,	মাতরম,	
masti,	মাস্টি,	মাস্তি,	
dip,	ডিপ,	দীপ,	
santani,	সন্তানি,	সনাতনী,	
shikha,	শিখা,	শিখ,	
sobrakamer,	সব্রমমের,	সবরকমের,	
sheekarer,	শেকারের,	শিকারের,	
amitrakkhor,	অমিত্রক্র,	অমিত্রাক্ষর,	
sahojlabhbhatar,	সহ্যাভাতাার,	সহজলভ্যতার,	
kaamij,	কামিজ,	কামিজ,	
totokkhon,	ততককনন,	ততক্ষন,	
samajeek,	সমাজিক,	সামাজিক,	
ispredshit,	ইস্প্র্টিশিন,	স্প্রেডশীট,	
obosorer,	অবসরের,	অবসরের,	
lampat,	লামপপত,	লম্পট,	
mugdal,	মুদ্যাল,	মুগডাল,	
mahish,	মহিশ,	মহিষ,	
shkirt,	শ্ক্রিট,	স্কার্ট,	
somabesh,	সম্বেশ,	সমাবেশ,	
faster,	ফাস্টের,	ফস্টার,	
prostutkarok,	প্রত্্ত্রককার,	প্রস্তুতকারক,	
nogonno,	নগনন,	নগণ্য,	
aloteo,	আলোতে,	আলোতেও,	
seqtara,	সেক্টার,	সেক্টর,	
venam,	ভেনম,	ভেনম,	
beshirvagyi,	বিশ্বার্গী,	বেশিরভাগই,	
ishpredshhiit,	ইস্প্র্পেশিন,	স্প্রেডশীট,	
somraatraa,	সম্ত্রার,	সম্রাটরা,	
kaalki,	কালকি,	কালকি,	
artilari,	আর্তিলালির,	আর্টিলারি,	
maudelder,	মাদিদেদের,	মডেলদের,	
kortaam,	কর্তম,	করতাম,	
temas,	টেমম,	টাইমস্,	
shiramiksh,	শিরিক্ষ,	সিরামিকস,	
karu,	কারু,	কারো,	
grauth,	গ্রথ,	গ্রোথ,	
seekkhokbrindo,	শিক্ষক্্ণন্ণ,	শিক্ষকবৃন্দ,	
jathon,	যথন,	যথন,	
oitijhya,	অতিয্য,	ঐতিহ্য,	
maunjiley,	মন্যালিলে,	মঞ্জিলে,	
foxkon,	ফোকনন,	ফক্সকন,	
sahoocorzo,	সহহ্্য্য,	সাহচর্য,	
bibader,	বিবাদের,	বিবাদের,	
ishtara,	ইস্টার,	ইস্টার,	
osocheton,	অসচেতন,	অসচেতন,	
emargency,	এম্রান্েি,	এমার্জেন্সি,	
retasa,	রেটস,	রাইটস,	
laisensa,	লেইন্স,	লাইসেন্স,	
vor,	ভরর,	ভর,	
volte,	ভললে,	ভল্ট,	
aper,	আপের,	আপের,	
rob,	রবব,	রব,	
roobi,	রববি,	রুবি,	
samavesh,	সমমেভ,	সমাবেশ,	
bisshas,	বিশ্বা,	বিশ্বাস,	
sampadoner,	সম্পপননের,	সম্পাদনের,	
hyariqena,	হ্যারাকেন,	হ্যারিকেন,	
pharanyata,	ফার্নাত,	ফরম্যাট,	
governorer,	গভিরনের,	গভর্ণরের,	
