keke,	কেক,	কেকে,	
surti,	সুর্টি,	সুরটি,	
sthaponagulor,	স্থাপনগুলোর,	স্থাপনাগুলোর,	
saseza,	সাসেজ,	সসেজ,	
kaptai,	কাপ্টাই,	কাপ্তাই,	
gauge,	গগে,	গেজ,	
khelafate,	খেলাফাতে,	খেলাফতে,	
pustir,	পুস্তির,	পুষ্টির,	
khappor,	খাপপর,	খপ্পর,	
torcarir,	তরকারীর,	তরকারীর,	
sadeena,	সদেন,	সাডেন,	
karmasansthan,	কর্মসংস্থন,	কর্মসংস্থান,	
marathi,	মারাঠি,	মরাঠি,	
canal,	ক্যানাল,	ক্যানেল,	
carpete,	কার্পেটে,	কার্পেটে,	
injiniyarsa,	ইন্জিনার্স,	ইঞ্জিনিয়ার্স,	
graambaaseer,	গ্রামবাসীর,	গ্রামবাসীর,	
firth,	ফীর্থ,	ফার্থ,	
bisheshya,	বিশেষ্য,	বিশেষ্য,	
gazee,	গেজী,	গেজ,	
ghumacche,	ঘুমাক্ছে,	ঘুমাচ্ছে,	
kathhmandute,	কঠমন্দূতে,	কাঠমান্ডুতে,	
sikkhokder,	শিক্ষকদের,	শিক্ষকদের,	
steit,	স্টেইট,	স্টেইট,	
sudha,	সুধা,	সুধা,	
silvi,	সিলভি,	সিলভি,	
karadondo,	কারাদন্ড,	কারাদণ্ড,	
seramiqs,	সেরামিক্স,	সিরামিকস,	
itostata,	ইতস্তাতা,	ইতস্তত,	
transafarma,	ট্রান্সফার্ম,	ট্রান্সফর্ম,	
grambaashi,	গ্রাম্বাসী,	গ্রামবাসী,	
abdoone,	আব্দুনে,	আবদুন,	
ibhaner,	ইভানের,	ইভানের,	
bongshokey,	বংশকে,	বংশকে,	
serverti,	সার্ভারটি,	সার্ভারটি,	
windows,	উইন্ডোস,	উইন্ডোস,	
boudhher,	বৌধ্যের,	বৌদ্ধের,	
charukola,	চরুকোলা,	চারুকলা,	
milea,	মিলে,	মাইলে,	
bayii,	বাই,	বাঈ,	
taala,	তালা,	তালা,	
votarer,	ভোটারের,	ভোটারের,	
ajijoor,	অজিজুর,	আজিজুর,	
shatjon,	সাতজন,	সাতজন,	
bii,	বি,	বি,	
nagarik,	নাগরিক,	নাগরিক,	
sheekarder,	শিকারদের,	শিকারদের,	
heawy,	হেই,	হেভি,	
guzober,	গুজবের,	গুজবের,	
lyaand,	ল্যান্ড,	ল্যান্ড,	
baipass,	বাইপাশ,	বাইপাস,	
mausumeo,	মসুমেও,	মৌসুমেও,	
asiph,	আশীফ,	আসিফ,	
oncholtite,	অঞ্চলটিতে,	অঞ্চলটিতে,	
durgandher,	দুর্গন্দের,	দুর্গন্ধের,	
ishpredshhiit,	ইস্পের্ডশি,	স্প্রেডশীট,	
sharok,	শারক,	স্মারক,	
sow,	সা,	শো,	
licensedhari,	লিকেন্সাধারী,	লাইসেন্সধারী,	
embed,	এম্বেদ,	এম্বেড,	
somabesh,	সমাবেশ,	সমাবেশ,	
jonmato,	জন্মত,	জন্মাত,	
aminool,	আমিনুল,	আমিনুল,	
sabyastho,	সাব্যস্থ,	সাব্যস্থ,	
lutharen,	লুথারেন,	লুথেরান,	
obheegomon,	অভিগমন,	অভিগমন,	
firoza,	ফিরোজা,	ফিরোজা,	
bonbhumi,	বনভূমি,	বনভূমি,	
karmakarer,	কর্মকারের,	কর্মকারের,	
brooklyn,	ব্রাকলিন,	ব্রুকলিন,	
parther,	পার্থার,	পার্থের,	
jillool,	জিল্লু,	জিল্লুল,	
homshke,	হমসকে,	হোমসকে,	
bim,	বিম,	বীম,	
notti,	নটটি,	নোটটি,	
venam,	ভেনাম,	ভেনম,	
maszid,	মাজিদ,	মসজিদ,	
naditike,	নাদিটিকে,	নদীটিকে,	
diphinision,	ডিফিনিশন,	ডেফিনেশন,	
cheesa,	চেস,	চেস,	
dinara,	ডাইনার,	ডিনার,	
saarbhare,	সারভারে,	সার্ভারে,	
osocheton,	অসচেতন,	অসচেতন,	
pathkramer,	পাঠক্রমের,	পাঠক্রমের,	
kolahal,	কলাহাল,	কোলাহল,	
krus,	ক্রাশ,	ক্রুশ,	
keu,	কিউ,	কেউ,	
harbour,	হার্বার,	হারবার,	
loker,	লোকের,	লকের,	
niqela,	নিকেল,	নিকেল,	
cho,	ছো,	ছোঁ,	
mane,	মান,	মানে,	
saptahokal,	সপ্তাহকাল,	সপ্তাহকাল,	
panero,	পানেরো,	পনের,	
bossonto,	বসন্ত,	বসন্ত,	
horinner,	হরিন্যার,	হরিণের,	
starker,	স্টার্কের,	স্টার্কের,	
baik,	বাইক,	বাইক,	
sommotir,	সম্মতির,	সম্মতির,	
torooner,	তরুণের,	তরুণের,	
popke,	পপকে,	পোপকে,	
uddhritir,	উদ্ধৃতির,	উদ্ধৃতির,	
hook,	হুক,	হুক,	
masterer,	মস্টারের,	মাস্টারের,	
lajiker,	লাজিকের,	লজিকের,	
beekargrasto,	বিকারগ্ষ্ট,	বিকারগ্রস্ত,	
change,	চঙ্গে,	চেঞ্জ,	
ashanka,	আসঙ্ক,	আশঙ্কা,	
rajatwa,	রাজত্ব,	রাজত্ব,	
install,	ইনস্টল,	ইন্সটল,	
chhotogalper,	ছোটোগল্পের,	ছোটগল্পের,	
sastra,	সস্ত্র,	শাস্ত্র,	
angkita,	অংকিত,	অঙ্কিতা,	
aansarir,	আনসারীর,	আনসারীর,	
kachhakaachhi,	কাছকাছ্ছি,	কাছাকাছি,	
lakhindarer,	লখিন্দের,	লখিন্দরের,	
obhaarbhiu,	অভারভিও,	ওভারভিউ,	
kkunti,	কুন্টি,	কুন্তী,	
deliver,	ডিলিভার,	ডেলিভার,	
shorifpur,	শরিফপুর,	শরিফপুর,	
neurology,	নিউরোলজি,	নিউরোলজি,	
sipa,	শিপ,	শিপ,	
nischitbhabe,	নিশ্চিতভাবে,	নিশ্চিতভাবে,	
madhabi,	মাধবী,	মাধবী,	
oncholgoolote,	অঞ্চলগুলোতে,	অঞ্চলগুলোতে,	
rohoshyor,	রহস্যর,	রহস্যর,	
granthotike,	গ্রন্থটিকে,	গ্রন্থটিকে,	
doobhara,	ডুভার,	ডোভার,	
shahabike,	সাহাবীকে,	সাহাবীকে,	
quata,	কুটো,	কোটা,	
fol,	ফল,	ফল,	
mukhobandha,	মুখবন্ধ,	মুখবন্ধ,	
sibiai,	সিবিইয়,	সিবিআই,	
angshograhon,	অংশগ্রহণ,	অংশগ্রহন,	
besharkarikarone,	বেসরকারীকরণে,	বেসরকারিকরণ,	
elakaa,	এলাকা,	এলাকা,	
bheenasa,	ভেনস,	ভেনাস,	
biphal,	বিফল,	বিফল,	
engineers,	ইঞ্জিনার্স,	ইঞ্জিনিয়ার্স,	
nottee,	নটি,	নোটটি,	
disni,	ডিশনি,	ডিজনী,	
karpeta,	কর্পেট,	কার্পেট,	
hepetaitisa,	হাইপেটাইস,	হেপাটাইটিস,	
ghoorchen,	ঘরছেন,	ঘুরেছেন,	
gadhaa,	গাধা,	গাধা,	
canflikt,	কানালিক্ট,	কনফ্লিক্ট,	
geans,	জিএনস,	জিন্স,	
samajeri,	সমাজারী,	সমাজেরই,	
meloonborroner,	মেলোন্বরনের,	মেলবোর্নের,	
bosantake,	বসন্তাকে,	বসন্তকে,	
provritir,	প্রভৃতির,	প্রভৃতির,	
shikarke,	শিকারকে,	শিকারকে,	
deebug,	দিবুগ,	ডিবাগ,	
uru,	ঊরু,	উরু,	
shikshakbrindo,	শিক্ষাবৃন্দ,	শিক্ষকবৃন্দ,	
grotha,	গ্রথ,	গ্রোথ,	
redcrosser,	রেডক্রসের,	রেডক্রসের,	
torabgunj,	তরবাগঞ্জ,	তোরাবগঞ্জ,	
definision,	ডেফিনশন,	ডেফিনেশন,	
basaalt,	বাসালট,	ব্যাসল্ট,	
chotogolper,	চোটোগ্লের,	ছোটগল্পের,	
nishader,	নিষদের,	নিষাদের,	
ranodeep,	রানদীপ,	রণদীপ,	
banshite,	বাঁশিতে,	বাঁশিতে,	
daakticket,	ডাক্টিকেট,	ডাকটিকিট,	
upobashee,	উপবাসী,	উপবাসী,	
dharabahikotitey,	ধারাবাকিতে,	ধারাবাহিকটিতে,	
joluk,	জলুক,	জ্বলুক,	
gandhikey,	গান্ধিকে,	গান্ধীকে,	
baasa,	বাসা,	বাসা,	
modelkey,	মোডেলকে,	মডেলকে,	
jubokera,	যুবকেরা,	যুবকেরা,	
iuro,	ইউরো,	ইউরো,	
bondhuke,	বন্ধুকে,	বন্ধুকে,	
machsoho,	মাচসহ,	মাছসহ,	
shashoto,	শাষত,	শাশ্বত,	
utkhaat,	উৎখাত,	উত্খাত,	
zuktorastrer,	যুক্তরাস্ট্রের,	যুক্তরাষ্ট্রের,	
harriser,	হ্যারিসের,	হ্যারিসের,	
siqhar,	শিখার,	শিকার,	
ias,	আয়াশ,	আইএএস,	
torabganj,	তরবাগঞ্জ,	তোরাবগঞ্জ,	
ministar,	মিনিস্টার,	মিনিস্টার,	
proshtutkarok,	প্রস্তুতককরক,	প্রস্তুতকারক,	
peterer,	পেটারের,	পিটারের,	
bedanta,	বেদন্ত,	বেদান্ত,	
doorotomo,	দূরততম,	দূরতম,	
vodka,	ভদকা,	ভদকা,	
dhhaaby,	ঢাবি,	ঢাবি,	
ekatto,	একাত্য,	একাত্ব,	
ekoirokom,	একৈরকম,	একইরকম,	
uposthitir,	উপস্থিতির,	উপস্থিতির,	
jemske,	জেমসকে,	জেমসকে,	
karadande,	কারাডন্ডে,	কারাদণ্ডে,	
eutey,	ইউটে,	ইইউতে,	
sorbopori,	সর্বপোরি,	সর্বোপরী,	
vezano,	ভেজান,	ভেজানো,	
hosne,	হোসনে,	হোসনে,	
turkider,	তুর্কীদের,	তুর্কিদের,	
retasa,	রেটস,	রাইটস,	
zacksan,	যেকশন,	জ্যাকসন,	
durgotsab,	দুর্গতসব,	দুর্গোৎসব,	
sumi,	সুমি,	সুমি,	
ashangka,	আশাঙকা,	আশংকা,	
soundarjo,	সৌন্দর্য,	সৌর্ন্দয্য,	
turishta,	টুরিষ্ট,	টুরিস্ট,	
jomjamat,	যমমাত,	জমজমাট,	
uponeesoder,	উপনেষদের,	উপনিষদের,	
kaatbey,	কাটবে,	কাটবে,	
udvabone,	উদ্ভাবনে,	উদ্ভাবনে,	
sparsher,	স্পার্সের,	স্পর্শের,	
noiteekotar,	নৈটিকতার,	নৈতিকতার,	
seector,	সেক্টর,	সেক্টর,	
inziniyarsa,	ইন্জিনির্স,	ইঞ্জিনিয়ার্স,	
de,	ডে,	ডে,	
olongkoron,	অলংকরণ,	অলঙ্করণ,	
juboksoho,	যুবক্ষহ,	যুবকসহ,	
muradkey,	মুরদকে,	মুরাদকে,	
eidin,	এডিন,	এইদিন,	
puncho,	পুঁচ,	পুঞ্চ,	
shov,	শাভ,	শো,	
ancholgulote,	অঞ্চলগুলোতে,	অঞ্চলগুলোতে,	
refleks,	রেফেলক্স,	রিফ্লেক্স,	
swajaner,	স্বজনের,	স্বজনের,	
bhittio,	ভিত্যিও,	ভিত্তিও,	
gitikabitar,	গীতিকাতিতার,	গীতিকবিতার,	
naajee,	নাজী,	নাত্সি,	
chat,	ছাট,	চ্যাট,	
ovidhanik,	অভিধানিক,	অভিধানিক,	
bhaabaponno,	ভাবাপন্,	ভাবাপন্ন,	
safin,	সাফিং,	সাফিন,	
ivir,	আইভির,	এভার,	
sollalaho,	সল্লালাহ,	সল্লাল্লাহু,	
gorib,	গরীব,	গরিব,	
esiyatika,	এসিয়েটিক,	এশিয়াটিক,	
praapoker,	প্রাপকের,	প্রাপকের,	
ashshociatesh,	অ্যাসোসিসেস,	এসোসিয়েটস,	
ssumoo,	সুমো,	সুমো,	
prachando,	প্রচন্দ,	প্রচণ্ড,	
sqora,	স্কোর,	স্কোর,	
deephineeshana,	ডিফেনিশন,	ডেফিনেশন,	
laisense,	লেইসন্স,	লাইসেন্স,	
zansa,	জনস,	জন্স,	
yukeliptas,	ইয়কেলিপ্সাট,	ইউক্যালিপ্টাস,	
bishod,	বিষদ,	বিষদ,	
suporichiti,	সুপরিচিতি,	সুপরিচিতি,	
ovishongshon,	অভিষংশন,	অভিশংসন,	
saseja,	সাসেজ,	সসেজ,	
gasthii,	গাস্ঠী,	গোষ্ঠীই,	
konishtho,	কনিষ্ঠ,	কনিষ্ঠ,	
amshtrong,	আম্স্ট্রং,	আর্মস্ট্রং,	
lutheeran,	লুথিরন,	লুথেরান,	
vobanipur,	ভবানীপুর,	ভবানীপুর,	
ammor,	আম্যর,	আমর,	
obdi,	অব্দি,	অব্দি,	
hiper,	হাইপার,	হাইপার,	
jonopoth,	জনপথ,	জনপথ,	
ekpashe,	একপাশে,	একপাশে,	
hazat,	হাজাত,	হজত,	
candi,	কন্ডি,	ক্যান্ডি,	
sniper,	স্নিপের,	স্নাইপার,	
nirikho,	নিরিখ,	নিরিখ,	
adbhansed,	অ্যাডভান্সেড,	অ্যাডভান্সড,	
elaka,	এলাকা,	এলাকা,	
shcholastik,	স্কলাস্তিক,	স্কলাস্টিক,	
madraser,	মাদ্রসের,	মাদ্রাজের,	
shhikar,	শিকার,	শিকার,	
abosaney,	আবসনে,	অবসানে,	
ancholtike,	অঞ্চলটিকে,	অঞ্চলটিকে,	
cinematographer,	সিনেমানগাগ্রাফের,	সিনেমাটোগ্রাফার,	
ekaar,	একার,	একার,	
naditir,	নদীতীর,	নদীটির,	
kingdom,	কিংগোম,	কিংডম,	
marqetim,	মার্কেটিং,	মার্কেটিং,	
prakalpeo,	প্রকলপেও,	প্রকল্পেও,	
ghetoo,	ঘেটু,	ঘেটু,	
daale,	ডালে,	ডালে,	
rashider,	রাশিদের,	রশিদের,	
totokhon,	ততক্ষণ,	ততক্ষন,	
harbor,	হারবর,	হারবার,	
bhenicer,	ভেনিসের,	ভেনিসের,	
shringgey,	শ্রীঙে,	শৃঙ্গে,	
rokshonbhag,	রক্ষণভাগ,	রক্ষণভাগ,	
kanthar,	কন্ঠার,	কাঁথার,	
swapod,	স্বপদ,	শ্বাপদ,	
qaroo,	কারো,	কারো,	
ujbekistan,	উজেবেক্ষ্টান,	উজবেকিস্তান,	
anucheder,	অনুচেদের,	অনুচ্ছেদের,	
amarica,	আমরিকা,	আমেরিকা,	
seektara,	সেক্টার,	সেক্টর,	
heeja,	হেজ,	হেজ,	
kodti,	কদটি,	কোডটি,	
tarokareer,	তারকারীর,	তরকারীর,	
sobrakomer,	সবরককমের,	সবরকমের,	
ssahosikotar,	সহস্যিকতার,	সাহসিকতার,	
everest,	এভেরেস্ট,	এভারেস্টে,	
rajshri,	রাজশ্রী,	রাজশ্রী,	
shhcholashtik,	স্কলাস্টিক,	স্কলাস্টিক,	
ketechila,	কেটেছিল,	কেটেছিল,	
technocrat,	টেকনোর্ট,	টেকনোক্র্যাট,	
bbiswashe,	বিশ্বাসে,	বিশ্বাসে,	
murali,	মুরালি,	মুরলী,	
chalesi,	চলেশি,	চলেছি,	
nirapekkhotaar,	নিরেক্ষ্টার,	নিরপেক্ষতার,	
raya,	রয়,	রায়,	
platoo,	প্লটো,	প্লেটো,	
uindo,	উইন্ড,	উইন্ডো,	
komaatei,	কমাতেই,	কমাতেই,	
osamorik,	অসমারিক,	অসামরিক,	
qara,	কারো,	কর,	
samajeek,	সমাজিক,	সামাজিক,	
udbodhoner,	উদ্বোধনের,	উদ্বোধনের,	
nikot,	নিকট,	নিকট,	
monzile,	মঞ্জিলে,	মঞ্জিলে,	
shadena,	সাদেন,	সাডেন,	
konar,	কোনার,	কণার,	
korkat,	কর্কট,	কর্কট,	
alankaran,	অলংকরণ,	অলঙ্করণ,	
aajij,	আজিজ,	আজিজ,	
irish,	আইরিশ,	আইরিস,	
marier,	মেরির,	ম্যারির,	
phikshim,	ফিক্সিং,	ফিক্সিং,	
elakatey,	এলাকাতে,	এলাকাতে,	
protizogiita,	প্রতিযোগিতা,	প্রতিযোগীতা,	
birishirite,	বিরিষারীতে,	বিরিশিরিতে,	
jesa,	জেস,	জেস,	
jarusalema,	জরুসলেমা,	জেরুসালেম,	
footbalarer,	ফুটবালের,	ফুটবলারের,	
protisthan,	প্রতিষ্ঠান,	প্রতিষ্টান,	
eenameela,	এনামেল,	এনামেল,	
second,	সেকন্ড,	সেকেণ্ড,	
bima,	বিমা,	বিম,	
byatarii,	ব্যাতরী,	ব্যাটারী,	
moushum,	মৌসম,	মৌসুম,	
queery,	কুইর়ি,	কোয়েরি,	
fuzz,	ফুজ,	ফাজ,	
keraam,	কেরাম,	কেরাম,	
gheshe,	ঘেষে,	ঘেঁষে,	
juktorastrosoho,	যুক্তরাস্ত্রহ,	যুক্তরাষ্ট্রসহ,	
aalkatraa,	আলকাত্রা,	আলকাতরা,	
ponjikar,	পঞ্জিকার,	পঞ্জিকার,	
bane,	বেন,	বনে,	
noren,	নরেন,	নরেন,	
parijan,	পরিজন,	পরিজন,	
blaker,	ব্লকের,	ব্ল্যাকের,	
utsaahe,	উৎসাহে,	উৎসাহে,	
phareksa,	ফরেক্স,	ফরেক্স,	
bagdad,	বাগদাদ,	বাগদাদে,	
parkasha,	পার্কশ,	পার্কস,	
homes,	হোমস,	হোমস,	
oncholsomuho,	অঞ্চলসমূহ,	অঞ্চলসমূহ,	
chowdhuryder,	চৌধুরিদের,	চৌধুরীদের,	
shatjoner,	সাতজনের,	সাতজনের,	
anchaltike,	অঞ্চালটিকে,	অঞ্চলটিকে,	
shrishree,	শৃশ্রী,	শ্রীশ্রী,	
chhutochhuti,	ছুটছুটি,	ছুটোছুটি,	
indra,	ইন্দ্রা,	ইন্দ্র,	
kushomva,	কুষম্ভা,	কুশুম্বা,	
thaakte,	থাকতে,	থাকতে,	
pratishta,	প্রতিষ্টা,	প্রতিষ্টা,	
vogirath,	ভগিরাথ,	ভগীরথ,	
nisader,	নিষদদের,	নিষাদের,	
bedanter,	বেদন্তের,	বেদান্তের,	
hebhi,	হেইভ,	হেভি,	
sossa,	শস্য,	শশা,	
asoociates,	অসোযসাইটেস,	এসোসিয়েটস,	
emiretus,	এমিরেটাস,	এমিরেটাস,	
alaoler,	আলালের,	আলাওলের,	
abarte,	আবর্তে,	আবর্তে,	
bhumir,	ভূমির,	ভূমির,	
noitikotabodh,	নৈটিকযোবধ,	নৈতিকতাবোধ,	
brek,	ব্রেক,	ব্রেক,	
dap,	ডাপ,	ড্যাপ,	
piruzali,	পিরুজালী,	পিরুজালী,	
manushsaho,	মনুসসহ,	মানুষসহ,	
ameriqa,	অমেরিক,	আমেরিকা,	
muhurta,	মুহর্তা,	মুহুর্ত,	
ddebet,	দ্বেবেত,	ডিবেট,	
asamorik,	অসমারিক,	অসামরিক,	
peri,	পেরি,	পেরি,	
nilfamarir,	নিলফামারীর,	নীলফামারীর,	
shpredshiit,	স্প্রেসট,	স্প্রেডশীট,	
bachai,	বাচাই,	বাছাই,	
reefleex,	রেফলেক্স,	রিফ্লেক্স,	
karechi,	করেছি,	করেছি,	
samsher,	শমশের,	সমশের,	
paste,	পাস্টে,	পেষ্ট,	
poderthobid,	পদার্থবীদ,	পদার্থবিদ,	
associatees,	অ্যাসোসেসিস,	এসোসিয়েটস,	
korush,	ক্রুস,	ক্রুশ,	
ekspression,	এক্সপ্রেশন,	এক্সপ্রেশন,	
shansthatir,	সংস্থটির,	সংস্থাটির,	
manir,	মনির,	মনির,	
naniir,	নানীর,	নানীর,	
tikka,	টিকা,	টিক্কা,	
soundarjya,	সৌন্দর্য্য,	সৌর্ন্দয্য,	
voter,	ভোটের,	ভোটার,	
musolmanra,	মুসল্মন্রা,	মুসলমানরা,	
sathik,	সাথিক,	সঠিক,	
debholopar,	ডেভলপার,	ডেভলপার,	
kamiz,	কমিজ,	কামিজ,	
serverer,	সার্ভারের,	সার্ভারের,	
lampot,	লাম্পট,	লম্পট,	
seema,	সেমা,	সীমা,	
suraaropito,	সুরারপিত,	সুরারোপিত,	
abarto,	আবর্ত,	আবর্ত,	
vugoley,	ভুগলে,	ভূগোলে,	
prodip,	প্রদিপ,	প্রদীপ,	
kooda,	কোড,	কোড,	
leader,	লিডার,	লিডার,	
bhaskar,	ভাস্কার,	ভাস্কর,	
ileeing,	ইলেইং,	ইলিং,	
atitkaale,	অতীকালে,	অতীতকালে,	
nabhela,	নভেল,	নভেল,	
elakaasoho,	এলাকাসহ,	এলাকাসহ,	
aporishodhito,	অপরিষোধিত,	অপরিশোধিত,	
ponchasjon,	পঞ্চাশন,	পঞ্চাশজন,	
graambaashee,	গ্রাম্বাসী,	গ্রামবাসী,	
gonohottake,	গণহযত্কে,	গণহত্যাকে,	
timesh,	টাইমস,	টাইমস্,	
laesensh,	লেসেন্স,	লাইসেন্স,	
baibasthaar,	ব্যবস্থার,	ব্যবস্থার,	
pratijogira,	প্রতিযোগীরা,	প্রতিযোগীরা,	
chanje,	চাঁজে,	চেঞ্জ,	
scoore,	স্কোর,	স্কোর,	
rohosyo,	রহস্য,	রহস্য,	
orghyo,	অর্ঘও,	অর্ঘ্য,	
vugorvey,	ভুগর্ভে,	ভূগর্ভে,	
taitela,	টাইটেল,	টাইটেল,	
veenicee,	ভেনিস,	ভেনিস,	
dorun,	দরুন,	দরুণ,	
modhyekar,	মধ্যকার,	মধ্যেকার,	
makhmaley,	মাখমলে,	মখমলে,	
bastubad,	বাস্তবাদ,	বস্তুবাদ,	
boudher,	বৌধের,	বৌদ্ধের,	
torkareer,	তরকারীর,	তরকারীর,	
faad,	ফাঁদ,	ফুড,	
graambaaseeder,	গ্রামবাসীদের,	গ্রামবাসীদের,	
valapuk,	ভালাপুক,	ভোলাপুক,	
debdebi,	দেবদেবি,	দেবদেবী,	
sothikota,	সথিকতা,	সঠিকতা,	
format,	ফরমাট,	ফরম্যাট,	
madhoori,	মাধরি,	মাধুরী,	
suporichita,	সুপরিচিত,	সুপরিচিত,	
tookrote,	টুকরোটে,	টুকরোতে,	
noitikota,	নৈটিকতা,	নৈতিকতা,	
nathibhukto,	নথিভুক্ত,	নথিভুক্ত,	
taalgachh,	তালগাছ,	তালগাছ,	
potchitro,	পচিত্র,	পটচিত্র,	
nirapottamulok,	নিরাপত্মূলক,	নিরাপত্তামূলক,	
sectar,	সেক্টার,	সেক্টর,	
bhabnake,	ভাবনাকে,	ভাবনাকে,	
monzeele,	মঞ্জিলে,	মঞ্জিলে,	
ganoporibohon,	গণপরিবহণ,	গণপরিবহন,	
routiner,	রাউটিনের,	রুটিনের,	
maase,	মাসে,	মাসে,	
saras,	সারাস,	সরস,	
poshte,	পোষ্টে,	পোষ্টে,	
pounchute,	পৌঁছুতে,	পৌঁছুতে,	
toroonraa,	তরুনারা,	তরুণরা,	
protizogii,	প্রতিযোগী,	প্রতিযোগী,	
byabaharkarir,	ব্যবহারকারীর,	ব্যবহারকারীর,	
dhyana,	ধ্যান,	ধ্যান,	
omarjito,	অমর্জিত,	অমার্জিত,	
bachhaikrito,	বাছাইকৃত,	বাছাইকৃত,	
shphingtar,	স্ফিংটার,	স্ফিংটার,	
vagini,	ভাগিনী,	ভগিনী,	
sangkulan,	সংকুলন,	সংকুলান,	
weenis,	ভেইনি,	ভেনিস,	
angsogrohone,	অংশগ্রহণে,	অংশগ্রহনের,	
uul,	উল,	উল,	
thakey,	থাকে,	থাকে,	
laala,	লালা,	লালা,	
bisnu,	বিষ্ণু,	বিষ্ণু,	
nirapekkho,	নিরেক্ষ,	নিরপেক্ষ,	
haripur,	হারিপুর,	হরিপুর,	
loukikotaa,	লৌকিকটা,	লৌকিকতা,	
grauth,	গ্রুথ,	গ্রোথ,	
dwip,	দ্বীপ,	দীপ,	
salim,	সালিং,	সেলিম,	
bosante,	বসান্তে,	বসন্তে,	
ralapha,	রলফ,	রালফ,	
nirvaha,	নির্বাহ,	নির্বাহ,	
meghachchanno,	মেঘাচ্ছন্,	মেঘাচ্ছন্ন,	
prastutkarak,	প্রস্তুতককর,	প্রস্তুতকারক,	
baaraak,	বারাক,	বারাক,	
bhittiteow,	ভিত্তিবে,	ভিত্তিতেও,	
cbi,	সিবি,	সিবিআই,	
durvaggo,	দুর্ভাগ্য,	দূর্ভাগ্য,	
debdebie,	দেবদেবি,	দেবদেবী,	
talgachh,	তালগাছ,	তালগাছ,	
shikhbey,	শিখবে,	শিখবে,	
dhrubaker,	ধ্রুবকের,	ধ্রুবকের,	
satthikota,	সাঠিকতা,	সঠিকতা,	
mithener,	মিঠেনের,	মিথেনের,	
aazan,	আজান,	আজান,	
heenna,	হিন্ন,	হেনা,	
shhkolashtic,	স্কলাস্টিক,	স্কলাস্টিক,	
bhange,	ভাঙ্গ,	ভাঙ্গে,	
times,	টাইমস,	টাইমস্,	
bhabaponno,	ভবপান্ন,	ভাবাপন্ন,	
boshoborty,	বসবর্তী,	বশবর্তী,	
potthon,	পঠ্ন,	পঠন,	
ganana,	গানন,	গননা,	
thore,	থোর,	থরে,	
dhrubak,	ধ্রবক,	ধ্রুবক,	
bhabatarini,	ভবতারিনী,	ভবতারিণী,	
lisense,	লিসেন্স,	লাইসেন্স,	
karlei,	করলেই,	করলেই,	
ganoporibahon,	গণপরিবহন,	গণপরিবহন,	
kuery,	কুয়ারি,	কোয়েরি,	
bonovumi,	বনভূমি,	বনভূমি,	
neshhanasha,	নেশনাস,	নেশনস,	
longghon,	লংঘন,	লংঘন,	
notunotto,	নতুনত্ব,	নতুনত্ব,	
agomonke,	আগমনকে,	আগমনকে,	
sohopatheekey,	সহপাথিকে,	সহপাঠীকে,	
robot,	রবট,	রোবোট,	
chintai,	চিন্তাই,	ছিনতাই,	
suraropeeto,	সুরারপিত,	সুরারোপিত,	
udbhabaney,	উদ্ভাবনে,	উদ্ভাবনে,	
itastatah,	ইতাস্তা,	ইতস্ততঃ,	
tikta,	টিকটা,	তিক্ত,	
subir,	সুবির,	সুবীর,	
grameri,	গ্রামারি,	গ্রামেরই,	
chalochchitreer,	চলচ্তির্র,	চলচ্চিত্রের,	
asocheton,	অসচেতন,	অসচেতন,	
shansthagulo,	সংস্থাগুলো,	সংস্থাগুলো,	
samanwitabhabe,	সমাননতভাবে,	সমন্বিতভাবে,	
siite,	শীটে,	শীতে,	
brinda,	বৃন্ড,	বৃন্দা,	
falasrutite,	ফলস্রুটিতে,	ফলশ্রুতিতে,	
tarbine,	টার্বিন,	টারবাইন,	
shreechaitanyadeb,	শ্রীচেতন্যবদে,	শ্রীচৈতন্যদেব,	
romancho,	রোমাঞ্চ,	রোমাঞ্চ,	
primo,	প্রিম,	প্রিমো,	
duckticket,	ডাক্টিকেট,	ডাকটিকিট,	
sahozlabhbhatar,	সহজলভাতার,	সহজলভ্যতার,	
padarthabidder,	পদার্থবীদের,	পদার্থবিদদের,	
smaraker,	স্মরকের,	স্মারকের,	
palbongsher,	পা্বংশের,	পালবংশের,	
shalsa,	সালস,	সালসা,	
chaity,	চেটি,	চৈতি,	
lohar,	লোহার,	লোহার,	
ashe,	আশে,	আসে,	
turkameena,	তুর্কমেন,	তুর্কমেন,	
thaakeni,	থাকেনি,	থাকেনি,	
militarir,	মিলিটারীর,	মিলিটারির,	
sahab,	সাহাব,	সাহাব,	
chyata,	চ্যাট,	চ্যাট,	
prokolpow,	প্রকল্প,	প্রকল্পও,	
shangsthatikey,	সংস্থাটিকে,	সংস্থাটিকে,	
gafeeloti,	গেফালটি,	গাফিলতি,	
dipei,	ডিপেই,	দ্বীপেই,	
mozdur,	মজদুর,	মজদুর,	
ghesa,	ঘেষ,	ঘেঁষা,	
taimas,	তাইমস,	টাইমস্,	
shringge,	শ্রীঙ্গে,	শৃঙ্গে,	
samudrotate,	সমুদ্রতে,	সমুদ্রতটে,	
elaakai,	এলাকাই,	এলাকাই,	
choshon,	চোষণ,	চোষণ,	
dakteekit,	ডাক্টিকেট,	ডাকটিকিট,	
