sofir,	শফীর,	সোফির,	
modhumoti,	মধুমতি,	মধুমতী,	
johns,	জনস,	জন্স,	
dovaar,	দভার,	ডোভার,	
blagarara,	ব্লাগারের,	ব্লগাররা,	
nirikho,	নীরিখ্,	নিরিখ,	
bbosben,	বসবেন,	বসবেন,	
panchashjan,	পঞ্চাশজন,	পঞ্চাশজন,	
durgotsave,	দুর্গতভাবে,	দুর্গোৎসবে,	
tottobar,	তত্ত্বর,	তওবার,	
zubokera,	যুবকেরা,	যুবকেরা,	
flag,	ফ্লোগ,	ফ্লাগ,	
siiteyi,	সীতেই,	শীতেই,	
sobrokomer,	সব্রকমের,	সবরকমের,	
armeenian,	আরমেনিয়ান,	আর্মেনিয়ান,	
shilpajata,	শিল্পতা,	শিল্পজাত,	
byaboharkariderkey,	ব্যবহারকারিকেরকে,	ব্যবহারকারীদেরকে,	
prakalpagulo,	প্রকালগুলো,	প্রকল্পগুলো,	
bongram,	বংগ্রাম,	বনগ্রাম,	
mooldoova,	মল্দোভা,	মলদোভা,	
machhsoho,	মাছসহ,	মাছসহ,	
bhaibonder,	ভাইবন্দের,	ভাইবোনদের,	
asovo,	অসভ,	অসভ্য,	
loukeekota,	লৌকিকাতা,	লৌকিকতা,	
eokee,	ইকে,	এওকি,	
utshahi,	উত্সাহী,	উৎসাহী,	
muhu,	মুহ,	মুহু,	
sachetan,	সচেতন,	সচেতন,	
longhaner,	লঙ্ঘনের,	লংঘনের,	
porinoti,	পরিনতি,	পরিণতি,	
azadeer,	অজাদের,	আজাদীর,	
pratisthanikvabey,	প্রতিষ্ঠানিকভাবে,	প্রাতিষ্ঠানিকভাবে,	
franco,	ফ্রাঙ্ক,	ফ্রাঙ্কো,	
bijito,	বিজিত,	বিজিত,	
sheekare,	শিকাে,	শিকারে,	
uparzoner,	উপর্জনের,	উপার্জনের,	
kompekt,	কমপেক্ট,	কমপ্যাক্ট,	
ajibon,	অজিবন,	আজীবন,	
pallar,	পল্লার,	পাল্লার,	
pingnaa,	পিঙ্ন,	পিংনা,	
bhyatikaaner,	ভ্যাতিকানের,	ভ্যাটিকানের,	
chutite,	ছুটিতে,	ছুটিতে,	
spashtatai,	স্পষ্টতাই,	স্পষ্টতই,	
shikara,	সিকীরা,	শিকার,	
seekkhakrom,	শিক্ষাক্রম,	শিক্ষাক্রম,	
jemser,	জেমসের,	জেমসের,	
jins,	জিনস,	জিন্স,	
abhidhaner,	অভিধানের,	অভিধানের,	
bosobben,	বসবেবেন,	বসবেন,	
dhaleshwari,	ঢলেসবররী,	ধলেশ্বরী,	
ekla,	এক্লা,	একলা,	
phirati,	ফিরতি,	ফিরতি,	
hiragaana,	হিরাগান,	হিরাগানা,	
gananatya,	গণনাত্য,	গণনাট্য,	
elakate,	এলাকাতে,	এলাকাতে,	
dii,	ডিই,	দিই,	
prodip,	প্রদিপ,	প্রদীপ,	
pooloo,	পুলু,	পোলো,	
akai,	একাই,	একাই,	
sossar,	সসার,	সকার,	
jaater,	যাতের,	জাতের,	
reejur,	রিজুর,	রিজুর,	
konagulo,	কোনগুলো,	কণাগুলো,	
ongshograhon,	অংশগ্রহণ,	অংশগ্রহন,	
totokkhon,	ততক্ষণ,	ততক্ষন,	
maunjiley,	মন্জিলে,	মঞ্জিলে,	
spreedashita,	স্প্রেডিসিট,	স্প্রেডশীট,	
daackticket,	ডাক্তিকেট,	ডাকটিকিট,	
prokar,	প্রকার,	প্রকার,	
horidare,	হরিদারে,	হরিদ্বারে,	
diares,	ডায়েরস,	ডিআরএস,	
bronjer,	ব্রঞ্জের,	ব্রোঞ্জের,	
totokhhon,	ততক্ষণ,	ততক্ষন,	
sachetanotamulok,	সচেনতনমূলক,	সচেতনতামূলক,	
thai,	ঠাই,	থাই,	
byatari,	ব্যাটারি,	ব্যাটারী,	
beeru,	বিরু,	বীরু,	
abheegomon,	অভিগোম,	অভিগমন,	
dhanche,	ধাঁচে,	ধাঁচে,	
poricchonnota,	পরিচ্ছন্নতা,	পরিচ্ছন্নতা,	
kyathlik,	ক্যাথলিক,	ক্যাথলিক,	
nothibhuktir,	নথিভুক্তির,	নথিভুক্তির,	
bongraam,	বংগামার,	বনগ্রাম,	
khargosher,	খারগেশের,	খরগোসের,	
koomari,	কুমারি,	কুমারী,	
cholchhee,	চলছি,	চলছে,	
ranangane,	রণাঙ্গনে,	রণাঙ্গনে,	
zyakasana,	জ্যাকশন,	জ্যাকসন,	
sambhabonao,	সম্ভাবনাও,	সম্ভবনাও,	
afjol,	আফজাল,	আফজল,	
machher,	মাচের,	মাছের,	
degree,	ডিগ্রী,	ডিগ্রি,	
sonaktokaraner,	সনাক্তকরণের,	সনাক্তকরণের,	
mukhobondho,	মুখবন্ধ,	মুখবন্ধ,	
nirbahey,	নির্বাহে,	নির্বাহে,	
parishkaron,	পরিস্কারণ,	পরিষ্করণ,	
sansthagulo,	সংস্থাগুলো,	সংস্থাগুলো,	
dormitori,	ডরমেটরি,	ডরমিটরি,	
yaaq,	ইক,	ইয়াক,	
lotheran,	লাঠারণ,	লুথেরান,	
orbeet,	অর্বিত,	অরবিট,	
dhojobhongo,	ধ্যবঙ্গ,	ধ্বজভঙ্গ,	
pnouchute,	পৌঁছুতে,	পৌঁছুতে,	
maahe,	মহে,	মাহে,	
maase,	মাসে,	মাসে,	
eekbaler,	একবালের,	ইকবালের,	
oojbekistaner,	উজজেবিক্তানের,	উজবেকিস্তানের,	
parikhar,	পরীক্ষার,	পরিখার,	
traap,	ট্রাপ,	ট্রুপ,	
bonke,	বোনকে,	বনকে,	
prajanankal,	প্রজননকাল,	প্রজননকাল,	
onker,	অঙ্কের,	ওঙ্কার,	
protizogiider,	প্রতিযোগীদের,	প্রতিযোগীদের,	
boshoborti,	বসবর্তী,	বশবর্তী,	
rca,	আরএস,	আরসিএ,	
toufik,	তুফিক,	তৌফিক,	
gandhio,	গন্ধিও,	গান্ধীও,	
pishach,	পিশচ,	পিশাচ,	
jamjamat,	জাম্মাত,	জমজমাট,	
chinto,	চিন্ত,	চিনতো,	
neptuner,	নিতপুনের,	নেপচুনের,	
avijojan,	অভিযোজন,	অভিযোজন,	
jons,	জনস,	জোন্স,	
adbhut,	অডভাত,	অদ্ভুত,	
apohoron,	অপহরণ,	অপহরন,	
hizriite,	হিজরিতে,	হিজরীতে,	
lokshero,	লক্ষেরও,	লক্ষেরও,	
aashok,	আশক,	আশোক,	
militarir,	মিলিটারীর,	মিলিটারির,	
ruby,	রুবি,	রুবি,	
shommotir,	সম্মতির,	সম্মতির,	
sahocorjo,	সহচর্য,	সাহচর্য,	
ceema,	কেম,	সীমা,	
afzol,	আফজল,	আফজল,	
ase,	আসি,	আসে,	
aachhis,	আচিস,	আছিস,	
aholar,	আহলার,	অহল্যার,	
shima,	সিম,	সীমা,	
manohar,	মনোহার,	মনোহর,	
phokser,	ফক্সের,	ফক্সের,	
ogrodoot,	অগ্রুড,	অগ্রদূত,	
sharthe,	সর্থে,	স্বার্থে,	
dooburira,	দুবিরারা,	ডুবুরিরা,	
harta,	হার্ট,	হার্ট,	
bed,	বেড,	বেদ,	
baibasthaar,	ব্যবস্থার,	ব্যবস্থার,	
beam,	বিম,	বীম,	
udvabani,	উদ্ভাবনী,	উদ্ভাবনী,	
turkey,	তার্কি,	তুর্কি,	
vugorvey,	ভূগর্ভে,	ভূগর্ভে,	
byabaharkarir,	ব্যবহারকারির,	ব্যবহারকারীর,	
byaboharkareeke,	ব্যবহারকারীকে,	ব্যবহারকারীকে,	
gujaber,	গুজাবের,	গুজবের,	
cheentai,	চিন্তাই,	ছিনতাই,	
loombinee,	লুমবিনি,	লুম্বিনী,	
shhepha,	শেফ,	শেফ,	
anchalsamuher,	অঞ্চলসমূহের,	অঞ্চলসমূহের,	
turky,	টার্কি,	তুর্কি,	
fiksa,	ফিক্স,	ফিক্স,	
madhobi,	মধবী,	মাধবীর,	
pillai,	পিলাই,	পিল্লাই,	
koushalgato,	কৌশলগত,	কৌশলগত,	
sachetanvabe,	সচচেতনাবে,	সচেতনভাবে,	
nodnodeer,	নন্দনীর,	নদনদীর,	
emiratas,	এমেরাটাস,	এমিরেটাস,	
lyaataa,	ল্যাট,	ল্যাটা,	
keuoi,	কিউই,	কেউই,	
himi,	হিমি,	হিমি,	
satarkobhabe,	সর্তরকাভাবে,	সতর্কভাবে,	
kode,	কোড,	কোড,	
nazad,	নজজ,	নজদ,	
siqh,	শিখ,	শিখ,	
resort,	রিসর্ট,	রিসোর্ট,	
otiiteo,	অতিতেও,	অতীতেও,	
youth,	ইউথ,	ইয়ুথ,	
pothon,	পাঁথন,	পঠন,	
klaud,	ক্লদ,	ক্লাউড,	
lendol,	লেন্ডল,	লেন্ডল,	
ieub,	ইউএব,	আইইউবি,	
niketaner,	নিকেতানের,	নিকেতনের,	
carlas,	চার্লস,	কার্লোস,	
female,	ফেমালে,	ফিমেল,	
daaktikit,	ডাক্তিকিৎ,	ডাকটিকিট,	
porbotmala,	পর্বতমালা,	পর্বতমালা,	
parisankhyanbid,	পরিসংখ্যানবিদ,	পরিসংখ্যানবিদ,	
falkati,	ফলকাটি,	ফলকটি,	
antorbhuktimulak,	অন্তর্ভূক্তূলক,	অন্তর্ভুক্তিমূলক,	
aunty,	অ্যান্টি,	আন্টি,	
grambasir,	গ্রামবাসীর,	গ্রামবাসীর,	
tersa,	তের্স,	টেরেসা,	
jamjomat,	জাম্মমত,	জমজমাট,	
rushad,	রুশদ,	রুশদ,	
ched,	ছেদ,	ছেদ,	
ekeerokom,	একরিকম,	একইরকম,	
karadondey,	কারাদন্ডে,	কারাদণ্ডে,	
temonvabe,	তেমনভাবে,	তেমনভাবে,	
munshi,	মুন্সি,	মুন্সী,	
kommandar,	কমান্ডার,	কমাণ্ডার,	
tenisha,	টেনেস,	টেনিস,	
mookhomaundol,	মুখমন্ডল,	মুখমণ্ডল,	
muradke,	মুরাদকে,	মুরাদকে,	
ekjoge,	একজোগে,	একযোগে,	
kushumba,	কুসুম্ব,	কুশুম্বা,	
joistho,	জশ্ষ্য,	জ্যৈষ্ঠ,	
agom,	আগম,	আগম,	
manushti,	মনন্টি,	মানুষটি,	
abheedhaneeck,	আভিনাধিক,	অভিধানিক,	
bagach,	বাগাচ,	বটগাছ,	
aarke,	আর্কে,	আরকে,	
uroor,	উরুর,	উরুর,	
phood,	ফোড,	ফুড,	
mugdha,	মুগ্ধ,	মুগ্ধ,	
harysher,	হারিসের,	হ্যারিসের,	
hiragana,	হিরাগান,	হিরাগানা,	
juktorastre,	যুক্তরাস্ট্রে,	যুক্তরাষ্ট্রে,	
parpel,	পার্পেল,	পার্পেল,	
rashider,	রশীদের,	রশিদের,	
behrampurer,	বহরমপুরুরের,	বহরমপুরের,	
chaakaa,	চাকা,	চাকা,	
asammati,	অসমতমি,	অসম্মতি,	
anucheder,	অনুচেদের,	অনুচ্ছেদের,	
bhatar,	ভাটার,	ভাতার,	
songrahak,	সংগ্রহক,	সংগ্রাহক,	
primo,	প্রিম,	প্রিমো,	
faaj,	ফাজ,	ফাজ,	
bu,	বু,	বু,	
chorchita,	চররচিত,	চর্চিত,	
pab,	পাব,	পাব,	
meghnadbodh,	মেঘনদবদ,	মেঘনাদবধ,	
tunar,	টুনার,	টিউনার,	
showtey,	শাতে,	শোতে,	
muktilav,	মুক্তিলাব,	মুক্তিলাভ,	
mandondo,	মানদন্ড,	মানদণ্ড,	
capsule,	ক্যাপুলে,	ক্যাপসুল,	
jackshon,	জক্ষণ,	জ্যাকসন,	
dayana,	ডায়ান,	ডায়না,	
noiteekvabe,	নৈতিকভাবে,	নৈতিকভাবে,	
unit,	ইউনিট,	ইউনিট,	
shomostigoto,	সমস্তিগত,	সমষ্টিগত,	
dharabahikbhabey,	ধারাবিকভাবে,	ধারাবাহিকভাবে,	
apochesta,	অপেেস্টা,	অপচেষ্টা,	
nadike,	নদীকে,	নদীকে,	
byte,	বিতে,	বাইট,	
engrezder,	ইংরেজদের,	ইংরেজদের,	
vedke,	ভেদকে,	বেদকে,	
elakatey,	এলাকাতে,	এলাকাতে,	
samajeekotar,	সামাজিকতার,	সামাজিকতার,	
sausagee,	সৌভাগী,	সসেজ,	
vumij,	ভূমিজ,	ভূমিজ,	
sosoa,	শসা,	শশা,	
noitikbhabe,	নৈতিকভাবে,	নৈতিকভাবে,	
shatokei,	শতকেই,	শতকেই,	
heemi,	হিমি,	হিমি,	
bhangchur,	ভাঙচুর,	ভাংচুর,	
bolechile,	বলেছিলে,	বলেছিলে,	
marpit,	মারপিট,	মারপিট,	
mahasova,	মহাসা,	মহাসভা,	
install,	ইনস্টল,	ইন্সটল,	
uthe,	উঠে,	উঠে,	
dasha,	দশা,	দোসা,	
besuro,	বেশুর,	বেসুর,	
defineshana,	ডেফিনিশন,	ডেফিনেশন,	
uparjoner,	উপর্জনের,	উপার্জনের,	
romantik,	রোম্যান্টিক,	রোমান্টিক,	
vabnakey,	ভাবনাকে,	ভাবনাকে,	
chhereche,	ছেরেছে,	ছেড়েছে,	
oncholgoolir,	অঞ্চলগুলির,	অঞ্চলগুলির,	
jeebnagar,	জীবনাগার,	জীবননগর,	
torkaryr,	তরকারীর,	তরকারীর,	
hazirhaat,	হজিরহাট,	হাজিরহাট,	
samaptir,	সমাপ্তির,	সমাপ্তির,	
mesenjjarer,	মেশেন্জারের,	মেসেঞ্জারের,	
sahozlabhbhotar,	সহজাভভাতার,	সহজলভ্যতার,	
cholochchitrei,	চলচিত্রেই,	চলচ্চিত্রেই,	
seekkhokke,	শিক্ষকে,	শিক্ষককে,	
pat,	পাত,	পেত,	
jackey,	জাকে,	জকি,	
dail,	ডেল,	ডেইল,	
tauki,	তৌকি,	তকি,	
jaanachhe,	জনাচ্ছে,	জানাচ্ছে,	
jonser,	জনসের,	জোন্সের,	
hepatetisa,	হেপটোটেস,	হেপাটাইটিস,	
suraaropeeto,	সুরারপিত,	সুরারোপিত,	
orohan,	অরোহণ,	ওরহান,	
shoccer,	সকের,	সকার,	
planey,	প্লানে,	প্লেনে,	
yankee,	য্যাংকে,	ইয়াংকি,	
harisoner,	হরিসেনের,	হ্যারিসনের,	
jeesh,	জেস,	জেস,	
bhadaqa,	ভাদাকা,	ভদকা,	
chhotogolpe,	ছোটোগলে,	ছোটগল্পে,	
vimsen,	ভীমসেন,	ভীমসেন,	
uzbekistaner,	উজ্বেকিস্টানের,	উজবেকিস্তানের,	
rabeta,	রবেট,	রাবেতা,	
nirgaman,	নির্জম,	নির্গমন,	
highcomissione,	হাইকমিশনে,	হাইকমিশনে,	
ispreedsheet,	ইস্প্রেেশি,	স্প্রেডশীট,	
spenser,	স্পেন্সের,	স্পেন্সার,	
kaloniir,	কালোনীর,	কালনীর,	
cooling,	কুলিং,	কুলিং,	
seelbhee,	শিলভি,	সিলভি,	
salapheeta,	সালফাইট,	সালফেট,	
digree,	ডিগ্রী,	ডিগ্রি,	
nothibhooktir,	নথিভুক্তির,	নথিভুক্তির,	
jyaishtha,	জ্যাস্থ,	জ্যৈষ্ঠ,	
bisnu,	বিষ্ণু,	বিষ্ণু,	
licenshing,	লিকেস্সিং,	লাইসেন্সিং,	
hostantor,	হস্তান্তর,	হস্তান্তর,	
gojano,	গজানও,	গজানো,	
naper,	নাপের,	ন্যাপের,	
rooby,	রুবি,	রুবি,	
sakshatkarer,	সাক্ষাৎকারের,	সাক্ষাৎকারের,	
sikkhaou,	শিক্ষাও,	শিক্ষাও,	
probhu,	প্রভূ,	প্রভু,	
snipper,	স্পিপপের,	স্নাইপার,	
armenian,	আরমেনিয়ান,	আর্মেনিয়ান,	
shansthatikey,	সংস্থতিকে,	সংস্থাটিকে,	
pachchi,	পাচ্চি,	পাচ্ছি,	
messanger,	মেশাস্গের,	মেসেঞ্জার,	
ingrezder,	ইংরেজদের,	ইংরেজদের,	
asociatis,	অসিসোসিটিস,	এসোসিয়েটস,	
angsogrohone,	অংশগ্রহণে,	অংশগ্রহনের,	
uporitaley,	উপরিতালে,	উপরিতলে,	
sangosthatike,	সংস্থাটিকে,	সংস্থাটিকে,	
shlok,	স্লক,	শ্লোক,	
shaaroker,	সারকের,	স্মারকের,	
second,	সেকন্ড,	সেকেণ্ড,	
daktickete,	ডাক্তিকেটে,	ডাকটিকিটে,	
pracharana,	প্রচারনা,	প্রচারণা,	
juktorashtrosaha,	যুক্তরাস্টস্র,	যুক্তরাষ্ট্রসহ,	
siropa,	শিরপা,	শিরোপা,	
koyartara,	কোয়ার্টার,	কোয়ার্টার,	
konroop,	কোনরপ,	কোনরূপ,	
sikkhakromer,	শিক্ষাক্রমের,	শিক্ষাক্রমের,	
marekting,	মার্কেটিং,	মার্কেটিং,	
karmosansthaner,	কর্মসংস্থানের,	কর্মসংস্থানের,	
ajimke,	আজিমকে,	আজিমকে,	
goteehin,	গতিহীন,	গতিহীন,	
sompadoner,	সম্পাদনের,	সম্পাদনের,	
haze,	হাজে,	হেজ,	
homeser,	হোমেশের,	হোমসের,	
zack,	জ্যাক,	জ্যাক,	
pujito,	পূজিত,	পুজিত,	
ekpase,	একপাশে,	একপাশে,	
nepchooner,	নেচুচনের,	নেপচুনের,	
lagto,	লাগট,	লাগতো,	
dankan,	দ্যাককন,	ডানকান,	
ghurte,	ঘুরতে,	ঘুরতে,	
gostii,	গো্তি,	গোষ্ঠীই,	
engrezer,	ইংরেজের,	ইংরেজের,	
sahochorjey,	সহচর্যে,	সাহচর্যে,	
gyandas,	গ্যান্ডাস,	জ্ঞানদাস,	
qarlosa,	কার্লস,	কার্লোস,	
gostigulo,	গো্তিগুলো,	গোষ্ঠীগুলো,	
bibechya,	বিবেচ্য,	বিবেচ্য,	
jathaarthobhaabe,	যথারথাবাবে,	যথার্থভাবে,	
bloggerra,	ব্লগগেরা,	ব্লগাররা,	
grambasio,	গ্রামবাশী,	গ্রামবাসীও,	
nodnadir,	নন্দনীর,	নদনদীর,	
sanbadmadhyamer,	সংবাদম্যমের,	সংবাদমাধ্যমের,	
hoonayin,	হোনাইন,	হুনাইন,	
aziboner,	অজিবনের,	আজীবনের,	
manabsamajer,	মানবসমাজের,	মানবসমাজের,	
shekender,	সেকেন্ডার,	সেকেন্ডের,	
muzibur,	মুজিবর,	মুজিবুর,	
bedey,	বেদে,	বেদে,	
coode,	কোড,	কোড,	
meshenjar,	মেশেন্জার,	মেসেঞ্জার,	
lombate,	লম্বাতে,	লম্বাটে,	
bboponer,	বপনের,	বপনের,	
qibord,	কিবোর্ড,	কীবোর্ড,	
candi,	চণ্ডী,	ক্যান্ডি,	
faster,	ফাস্টার,	ফস্টার,	
prokolpeo,	প্রকল্পেও,	প্রকল্পেও,	
timoothi,	তিমুথি,	টিমোথি,	
tatey,	তাতে,	তাতে,	
definision,	ডেফিনিশন,	ডেফিনেশন,	
superheiro,	সুপারহাইরও,	সুপারহিরো,	
musalmanera,	মুলোম্নারের,	মুসলমানেরা,	
musalmanderke,	মুলসম্নাদেরকে,	মুসলমানদেরকে,	
aanish,	আনিস,	আনিস,	
herpher,	হার্ফের,	হেরফের,	
niropekkho,	নিরপেক্ষ,	নিরপেক্ষ,	
anurbor,	অনুরবর,	অনুর্বর,	
johny,	জনি,	জনি,	
asamorthito,	অসমর্থিত,	অসমর্থিত,	
fake,	ফাঁকে,	ফাকে,	
choudhureeo,	চৌধুরিও,	চৌধুরীও,	
mumtaj,	মমতাজ,	মুমতাজ,	
pitthe,	পিঠে,	পীঠে,	
khanankaj,	খানকাজ,	খননকাজ,	
nutan,	নুটন,	নূতন,	
mahe,	মহে,	মাহে,	
cholocchitrotike,	চলচিত্রিত্কে,	চলচ্চিত্রটিকে,	
bipajjanak,	বিপাজনজাক,	বিপজ্জনক,	
neurolojy,	নিরোলজি,	নিউরোলজি,	
blacq,	ব্লক,	ব্ল্যাক,	
parkim,	পার্কিম,	পার্কিং,	
hugheske,	হুইেসকে,	হিউজকে,	
shamooker,	শামুকের,	শামুকের,	
utsahomulok,	উৎসাহমূলক,	উৎসাহমূলক,	
iling,	এলিং,	ইলিং,	
foloshruti,	ফলস্রুতি,	ফলশ্রুতি,	
laesens,	লেইস্স,	লাইসেন্স,	
charger,	চার্গের,	চার্জের,	
chhotto,	ছত্ত,	ছোট্ট,	
jeeni,	জীনি,	যিনি,	
potcheetrer,	পথচিত্রের,	পটচিত্রের,	
syutara,	স্যুটার,	শ্যুটার,	
damonmulok,	দমম্নুলক,	দমনমূলক,	
onchalti,	অঞ্চলটি,	অঞ্চলটি,	
definition,	ডেফিনিশন,	ডেফিনেশন,	
chintai,	চিন্তাই,	ছিনতাই,	
chapal,	চ্যাপল,	চপল,	
kooyeri,	কোয়ারি,	কোয়েরি,	
sothikota,	সথিকতা,	সঠিকতা,	
nodiike,	নদীীকে,	নদীকে,	
oncholshomuher,	অঞ্চলসমূহের,	অঞ্চলসমূহের,	
mohammadi,	মোহাম্মদী,	মুহাম্মদী,	
monzeele,	মঞ্জিলে,	মঞ্জিলে,	
osthisondhi,	অস্থিনবন্ধী,	অস্থিসন্ধি,	
enashiyenta,	এননসইটেন্ট,	এনসিয়েন্ট,	
royalty,	রো়্লটি,	রয়্যালটি,	
karmokerer,	কর্মকেরের,	কর্মকারের,	
bijit,	বিজিৎ,	বিজিত,	
nottee,	নটট,	নোটটি,	
iura,	ইউরা,	ইউরো,	
bohudin,	বহুদিন,	বহুদিন,	
doneta,	ডোনাটা,	ডোনাট,	
itemer,	ইটেমের,	আইটেমের,	
joneser,	জনসের,	জোন্সের,	
aameenaar,	আমিনার,	আমিনার,	
chalchhee,	চলছি,	চলছে,	
mutar,	মোটার,	মুতার,	
direektareeta,	ডিরেক্টরিত,	ডিরেক্টরেট,	
graambashi,	গ্রামবাসী,	গ্রামবাসী,	
hili,	হিলি,	হিলি,	
monjurul,	মঞ্জুরুল,	মনজুরুল,	
gratha,	গ্রাথ,	গ্রোথ,	
teteyer,	তেতের,	টেটের,	
seekkharthirao,	শিক্ষার্থীরা,	শিক্ষার্থীরাও,	
nachiketa,	নাচিকাতা,	নচিকেতা,	
ajimpur,	আজিমপুর,	আজিমপুর,	
dighal,	দিঘল,	দীঘল,	
overviu,	ওভারবিউ,	ওভারভিউ,	
babna,	বাবনা,	বাবনা,	
vool,	ভুল,	উল,	
debodebi,	দেবদীবি,	দেবদেবী,	
parq,	পার্ক,	পার্ক,	
harz,	হার্জ,	হার্জ,	
janoika,	জানোকা,	জনৈকা,	
becha,	বেচা,	বেচা,	
bedanter,	বেদান্তের,	বেদান্তের,	
mugdhata,	মুগধা,	মুগ্ধতা,	
asocietes,	অসিোসিটেজ,	এসোসিয়েটস,	
bagdad,	বাগদাদ,	বাগদাদ,	
shikha,	শিখা,	শিখ,	
rachanakal,	রচনাকাল,	রচনাকাল,	
kaalaam,	কালাম,	কালাম,	
nariderke,	নারীদেরকে,	নারীদেরকে,	
ingrezraa,	ইংরেজ্রা,	ইংরেজরা,	
artilleri,	আর্টিরলারি,	আর্টিলারি,	
karmakandeo,	কর্মকান্ডে,	কর্মকাণ্ডেও,	
matrikar,	মাত্রিকার,	মাতৃকার,	
probeshkari,	প্রবেশকারী,	প্রবেশকারী,	
bhaskor,	ভাস্কর,	ভাস্কর,	
sumo,	সুম,	সুমো,	
bifal,	বিফল,	বিফল,	
uchchataro,	উচ্চতারও,	উচ্চতর,	
phastara,	ফাস্টার,	ফস্টার,	
abosane,	অবসনে,	অবসানে,	
vaider,	ভয়েডার,	ভাইদের,	
stoner,	স্তনের,	স্টোনের,	
sulfatee,	সালফাটে,	সালফেট,	
drissogulo,	দৃশগুলো,	দৃশ্যগুলো,	
madrasa,	মাদরাসা,	মাদ্রাসা,	
krok,	ক্রক,	ক্রোক,	
mmadhukkori,	মধুককুরী,	মাধুকরী,	
chheelona,	ছিলানা,	ছিলনা,	
khodeza,	খোদেজা,	খোদেজা,	
tinhajar,	তিনভাজার,	তিনহাজার,	
prakare,	প্রকারে,	প্রকারে,	
varma,	ভারমা,	ভার্মা,	
dozo,	ডজ,	ডোজো,	
bhittimool,	ভিট্মীমূল,	ভিত্তিমূল,	
deejijer,	ডিজাইজের,	ডিজিজের,	
sahooseekotar,	সহুিকাতার,	সাহসিকতার,	
azan,	আজন,	আজান,	
capshule,	ক্যাপুলে,	ক্যাপসুল,	
bbiswasho,	বিশ্বসস,	বিশ্বাসও,	
faase,	ফাসে,	ফাঁসে,	
bhagini,	ভাগিনী,	ভগিনী,	
bibade,	বিবাদে,	বিবাদে,	
bastuvad,	বস্তুবাদ,	বস্তুবাদ,	
maudeler,	মডেেলের,	মডেলের,	
beshirbhageyi,	বেশীরভাগেই,	বেশিরভাগেই,	
jeess,	জেস,	জেস,	
shudhui,	শুধু,	শুধুই,	
aparogata,	অপরাগাতা,	অপারগতা,	
pari,	পারি,	পেরি,	
bai,	বাই,	বাঈ,	
prokalpati,	প্রকালাটি,	প্রকল্পটি,	
balaruma,	বলরুমা,	বলরুম,	
gorer,	গরের,	গোরের,	
dip,	ডিপ,	দীপ,	
avetara,	অভযাটার,	অবতার,	
raagee,	রাগী,	রাগী,	
sorsa,	সর্ষা,	সোর্স,	
chalochchitraeer,	চলচিত্রীরার,	চলচ্চিত্রের,	
agam,	আগাম,	আগম,	
atyacharer,	অ্যাটারারের,	অত্যাচারের,	
dibeta,	দিবাইটা,	ডিবেট,	
nodigulir,	নদীগুলির,	নদীগুলির,	
moshion,	মশিন,	মোশন,	
gabeshakgon,	গবেষকগণ,	গবেষকগণ,	
atyacharito,	অত্যাচ্রিত,	অত্যাচারিত,	
sqalastiqa,	স্কলশ্িক্ট,	স্কলাস্টিক,	
nirorthok,	নীরক্থক,	নিরর্থক,	
khelafate,	খেলাফাতে,	খেলাফতে,	
amor,	আমর,	আমর,	
nothibhukto,	নথিভুক্ত,	নথিভুক্ত,	
serup,	শেরুপ,	সেরূপ,	
oncholti,	অঞ্চলটি,	অঞ্চলটি,	
utsahamulok,	উৎসাহমূলক,	উৎসাহমূলক,	
hillser,	হাইলসের,	হিলসের,	
raya,	রো,	রায়,	
vorpur,	ওর্পুর,	ভরপুর,	
onshogrohoner,	অংশগ্রহণের,	অংশগ্রহনের,	
pacbar,	পাকচার,	পাঁচবার,	
soorarop,	সুরারপ,	সুরারোপ,	
goroor,	গরুর,	গরুর,	
ekshotee,	একশাটি,	একশোটি,	
karima,	করিম,	করিম,	
muradpur,	মুরাদপুর,	মুরাদপুর,	
baataree,	ব্যাটারি,	ব্যাটারী,	
sangasthagulo,	সংস্থাগুলো,	সংস্থাগুলো,	
beshirbhaageyi,	বেশীরভাগেই,	বেশিরভাগেই,	
moshzidtike,	মুহজিদটিকে,	মসজিদটিকে,	
soundarjya,	সৌন্দর্য্য,	সৌর্ন্দয্য,	
natsi,	নাটসি,	নাত্সি,	
probhur,	প্রভূর,	প্রভুর,	
vastubad,	বস্তুবাদ,	বস্তুবাদ,	
nathibhuktir,	নথিভুক্তির,	নথিভুক্তির,	
churger,	চার্গের,	চার্জের,	
jatata,	যতটা,	যতোটা,	
avereste,	অভারেেস্ট,	এভারেস্টে,	
ap,	এ্যাপ,	আপ,	
poschimae,	পশ্চিমে,	পশ্চিমে,	
leta,	লাইট,	ল্যাটা,	
oholyar,	অহল্যার,	অহল্যার,	
mosharrof,	মোশাররফ,	মশাররফ,	
prakar,	প্রকার,	প্রকার,	
bondhuderkey,	বন্ধুদেরকে,	বন্ধুদেরকে,	
larson,	লার্নস,	লারসন,	
chirohorit,	চিরোরিত,	চিরহরিৎ,	
bissonath,	বিশ্ণাথ,	বিশ্বনাথ,	
salapheta,	সালফাইট,	সালফেট,	
mekbeth,	মেকবাথ,	ম্যাকবেথ,	
dubureer,	দুবুরির,	ডুবুরির,	
edaningkale,	এডানিন্কালে,	ইদানীংকালে,	
