chirohorit,	চিহরিত,	চিরহরিৎ,	
byabaharkareeke,	ব্যবহারকারীকে,	ব্যবহারকারীকে,	
bissashii,	বিশ্বাসী,	বিশ্বাসী,	
thishisher,	তিসিসের,	থিসিসের,	
biharey,	বিহরে,	বিহারে,	
prosadhaner,	প্রশাধানের,	প্রসাধনের,	
gunze,	গুঁজে,	গুঁজে,	
uchchataro,	উচ্চাতর,	উচ্চতর,	
maheendra,	মহেন্দ্র,	মাহিন্দ্রা,	
tarani,	তরাণী,	তরণী,	
olngkoron,	অলঙ্করণ,	অলঙ্করণ,	
shotokeo,	শতকেও,	শতকেও,	
jakrit,	যকৃত,	যকৃৎ,	
recondition,	রেকন্ডিশন,	রিকন্ডিশন,	
tonu,	তনু,	তনু,	
tochhnochh,	তচ্ছন,	তছনছ,	
deobonde,	ডিবনন্ডে,	দেওবন্দে,	
nikat,	নিকাত,	নিকট,	
bishashke,	বিশ্বাসকে,	বিশ্বাসকে,	
samle,	সমলে,	সামলে,	
jetei,	যেটেই,	যেতেই,	
hoilo,	হইল,	হইল,	
noditikey,	নদীতিকে,	নদীটিকে,	
arina,	এরিনা,	এরিনা,	
location,	লোকেশন,	লোকেশন,	
mookhomandoley,	মুখমন্ডলে,	মুখমণ্ডলে,	
karpet,	কর্পট,	কার্পেট,	
guzon,	গুজন,	গুজব,	
lainde,	লাইন্ডে,	ল্যান্ডে,	
nuhas,	নুহাস,	নুহাশ,	
saida,	সাইড,	সাইদা,	
beekaargrasta,	বিকারগ্রস্ত,	বিকারগ্রস্ত,	
nagorikota,	নাগরিকতা,	নাগরিকতা,	
conan,	কোনান,	কোনান,	
dhalur,	ঢালুর,	ঢালুর,	
digree,	ডিগ্রী,	ডিগ্রি,	
gujob,	গুজব,	গুজব,	
aashtikota,	আস্তিকতা,	আস্তিকতা,	
abosorer,	অবসরের,	অবসরের,	
phutbolarra,	ফুটবলরার,	ফুটবলাররা,	
anchalsamuho,	অঞ্চলসমূহ,	অঞ্চলসমূহ,	
visnu,	বিষ্ণু,	বিষ্ণু,	
talaal,	তালাল,	তালাল,	
deraa,	দেরা,	ডেরা,	
noitikbhabey,	নৈতিকভাবে,	নৈতিকভাবে,	
myathiou,	ম্যাথিও,	ম্যাথিউ,	
bondhubhabapanno,	বন্ধুবাবন্ন,	বন্ধুভাবাপন্ন,	
shhayatana,	সায়াটন,	শয়তান,	
brindabaner,	বৃণ্ডবনের,	বৃন্দাবনের,	
konflict,	কনফিল্টিক্ট,	কনফ্লিক্ট,	
tookror,	তুকরর,	টুকরোর,	
dweepkey,	দ্বিপকে,	দ্বীপকে,	
aziza,	আজিজা,	আজিজা,	
fal,	ফল,	ফল,	
doobate,	দুবাতে,	ডুবাতে,	
dhhaabi,	ঢাবি,	ঢাবি,	
residence,	রেসিডেন্স,	রেসিডেন্স,	
bisnukey,	বিষ্ণুকে,	বিষ্ণুকে,	
kaando,	কান্ড,	কাণ্ড,	
daaraa,	দারা,	দারা,	
ancholei,	অঞ্চলেই,	অঞ্চলেই,	
taiwan,	টাইভান,	তাইওয়ান,	
upobashee,	উপবাসী,	উপবাসী,	
chaabir,	ছাবির,	চাবির,	
delibhara,	ডেলিভার,	ডেলিভার,	
meloonborroner,	মেলুনবর্ের,	মেলবোর্নের,	
prokolpogulo,	প্রকল্পগুলো,	প্রকল্পগুলো,	
karadanda,	কারাদন্ড,	কারাদণ্ড,	
overveu,	ওভার্ভু,	ওভারভিউ,	
obosore,	অবসরে,	অবসরে,	
patjat,	পাত্যাত,	পাটজাত,	
besoor,	বেশুর,	বেসুর,	
ghesei,	ঘেসেই,	ঘেঁষেই,	
lotharan,	লোথারান,	লুথেরান,	
crete,	ক্রেট,	ক্রীট,	
recondishon,	রেকন্ডিশন,	রিকন্ডিশন,	
dada,	দাদা,	দাদা,	
daackticketer,	ডাক্তিকেটের,	ডাকটিকিটের,	
ramjaner,	রমজানের,	রমযানের,	
shhikha,	শিখা,	শিখ,	
lotheeran,	লথারের,	লুথেরান,	
thailyanda,	থাইল্যান্ড,	থাইল্যান্ড,	
ancholtitey,	অঞ্চলতিতে,	অঞ্চলটিতে,	
masjidsaha,	মাজসিদসহ,	মসজিদসহ,	
teestar,	টেস্টার,	তিস্তার,	
danobder,	দানবদদের,	দানবদের,	
grameri,	গ্রামেরি,	গ্রামেরই,	
domone,	দমনে,	দমনে,	
haldim,	হলদ্ডিং,	হোল্ডিং,	
cheelona,	ছিলনা,	ছিলনা,	
logicer,	লোগিকের,	লজিকের,	
institutioney,	ইন্সটিটিউশনে,	ইনস্টিটিউশনে,	
jyestthotar,	জেষ্ঠতার,	জ্যেষ্ঠতার,	
jatak,	যাটক,	জাতক,	
ujbekistan,	উজবেকিস্তান,	উজবেকিস্তান,	
grambaasee,	গ্রামবাসী,	গ্রামবাসী,	
pacchen,	পাছছেন,	পাচ্ছেন,	
cathalic,	কাযাথলিক,	ক্যাথলিক,	
ancholgoolote,	অঞ্চলগুলোতে,	অঞ্চলগুলোতে,	
bipojjanak,	বিপদজ্জনক,	বিপজ্জনক,	
asthisandhi,	অস্থিসন্ধি,	অস্থিসন্ধি,	
samajikotar,	সামাজিকতার,	সামাজিকতার,	
breil,	ব্রেইল,	ব্রেইল,	
gronthe,	গ্রন্থে,	গ্রন্থে,	
ekirokom,	একরকম,	একইরকম,	
madhobike,	মাধবিকে,	মাধবীকে,	
nagorikderkey,	নাগরিকদেকে,	নাগরিকদেরকে,	
rudroke,	রুদ্রকে,	রুদ্রকে,	
byabosthar,	ব্যবস্থার,	ব্যবস্থার,	
ajibooner,	আজিবুনের,	আজীবনের,	
dhonyi,	ধ্বনি,	ধন্যি,	
chirontan,	চিরন্তান,	চিরন্তন,	
janachhe,	জানাচ্যে,	জানাচ্ছে,	
daakope,	ডাকোপে,	দাকোপ,	
karadonde,	কারাদন্ডে,	কারাদণ্ডে,	
akten,	আঁকতেন,	অকটেন,	
carpeter,	কর্পিটের,	কার্পেটের,	
sompadonkaree,	সম্পাদনকারী,	সম্পাদনকারী,	
shooter,	সুটার,	শ্যুটার,	
shrabosti,	শ্রবশ্টি,	শ্রাবস্তী,	
prapoker,	প্রাপকের,	প্রাপকের,	
amorendra,	অমরেন্দ্র,	অমরেন্দ্র,	
samannoi,	সাম্নই,	সামান্যই,	
cruce,	ক্রুস,	ক্রুশ,	
balakarak,	বলকারক,	বলকারক,	
bhenis,	ভেনিস,	ভেনিস,	
debete,	দেবতে,	ডিবেট,	
sarboporee,	সর্বোপরি,	সর্বোপরী,	
torunderke,	তরুন্দারকে,	তরুণদেরকে,	
deares,	ডিরেশ,	ডিআরএস,	
enjineerinj,	এঞ্জিনিরিং,	ইঞ্জিনিয়ারিং,	
adbhansed,	অ্যাডভান্সেদ,	অ্যাডভান্সড,	
konphlict,	কনফালিক্ট,	কনফ্লিক্ট,	
gavashkar,	গভাষ্কার,	গাভাস্কার,	
footonto,	ফুটন্ত,	ফুটন্ত,	
patigoniter,	পাতিগণিতের,	পাটিগণিতের,	
dijnii,	দিজনী,	ডিজনী,	
cheerota,	চিরতা,	চিরতা,	
bonobhumi,	বনভূমি,	বনভূমি,	
jwoluk,	জ্বুলুক,	জ্বলুক,	
bhangle,	ভাঙলে,	ভাঙলে,	
paksenara,	পাক্সেনার,	পাকসেনারা,	
damonmoolok,	দামনমূলক,	দমনমূলক,	
nilfamarir,	নিলফামারীর,	নীলফামারীর,	
dharabahikbhabe,	ধারাবিকভাবে,	ধারাবাহিকভাবে,	
hijritey,	হিজরিতে,	হিজরীতে,	
zubokti,	যুবক্তি,	যুবকটি,	
shangkalone,	সংকলনে,	সংকলনে,	
maudelgulo,	মাউডেলগুলো,	মডেলগুলো,	
konorup,	কোনরূপ,	কোনরূপ,	
mukhyo,	মূখ্য,	মুখ্য,	
eucalyptus,	ইউক্যালিপটাস,	ইউক্যালিপ্টাস,	
arshie,	আর্সি,	আরসিএ,	
oitijjhe,	ঐতিয্যে,	ঐতিহ্যে,	
saseza,	সসেজ,	সসেজ,	
lagche,	লাগছে,	লাগছে,	
township,	টানশিপ,	টাউনশিপ,	
shomostike,	সমস্তিকে,	সমষ্টিকে,	
chikitsar,	চিকিৎসার,	চিকিত্সার,	
phokser,	ফক্সের,	ফক্সের,	
sawom,	সভম,	সাওম,	
gemser,	গেমসের,	জেমসের,	
mujibur,	মুজিবুর,	মুজিবুর,	
hariner,	হরিনের,	হরিণের,	
mukherjee,	মুখার্জি,	মুখার্জী,	
uporitol,	উপরিতল,	উপরিতল,	
welaqama,	ওয়েলকম,	ওয়েলকাম,	
somaazer,	সমাজের,	সমাজের,	
ganochin,	গণছোন,	গণচীন,	
venkotesh,	ভেনকটটিস,	ভেঙ্কটেশ,	
aaminar,	আমিনার,	আমিনার,	
nafisa,	নাফিস,	নাফিসা,	
thatcher,	থাঁচের,	থ্যাচার,	
oncolei,	অঁকলেই,	অঞ্চলেই,	
mesenjarer,	মেসেঞ্জারের,	মেসেঞ্জারের,	
koilash,	কৈলাশ,	কৈলাস,	
chhaanee,	ছানি,	ছানি,	
taala,	তালা,	তালা,	
ishter,	ইস্টার,	ইস্টের,	
danaqana,	ডানাকান,	ডানকান,	
bonduk,	বন্দুক,	বন্দুক,	
clause,	ক্লাউজ,	ক্লজ,	
manahputo,	মানাহ্পুত,	মনঃপুত,	
arthurer,	আর্থুরের,	আর্থারের,	
anciint,	এন্সিন্ট,	এনসিয়েন্ট,	
kinsha,	কিংসা,	কিংস,	
futonto,	ফুটন্ত,	ফুটন্ত,	
krisenter,	ক্রিজেন্টের,	ক্রিসেন্টের,	
serverty,	সার্ভার্টি,	সার্ভারটি,	
ancholsaha,	অঞ্চলসহ,	অঞ্চলসহ,	
prabhritike,	প্রভৃতিকে,	প্রভৃতিকে,	
damodar,	দমদোর,	দামদর,	
shikkharrthirao,	শিক্ষার্থীরাও,	শিক্ষার্থীরাও,	
shtena,	স্টেন,	স্টেন,	
sahocorje,	সহকর্যে,	সাহচর্যে,	
noiteekvabe,	নৈতিকভাবে,	নৈতিকভাবে,	
markeeting,	মার্কেটিং,	মার্কেটিং,	
chhootochhooti,	ছোটোছুটি,	ছুটোছুটি,	
taphaat,	তাফাত,	তফাৎ,	
purbanchale,	পূর্বাঞ্চলে,	পূর্বাঞ্চলে,	
dap,	ডাপ,	ড্যাপ,	
ajijer,	আজিজের,	আজিজের,	
ashonkai,	আসঙ্কেই,	আশঙ্কাই,	
mandope,	মন্ডপে,	মন্ডপে,	
koilas,	কৈলাস,	কৈলাস,	
ghurte,	ঘুরতে,	ঘুরতে,	
taimash,	টাইমাস,	টাইমস্,	
juktarashtrer,	যুক্তরাস্ট্রের,	যুক্তরাষ্ট্রের,	
phalah,	ফালা,	ফালাহ,	
stone,	স্তনে,	স্টোন,	
alankaron,	অলঙকরণ,	অলঙ্করণ,	
oparogota,	অপরাগত,	অপারগতা,	
nodnadir,	নদ্নাদির,	নদনদীর,	
sangasthagulo,	সংস্থাগুলো,	সংস্থাগুলো,	
mausumti,	মৌসম্টি,	মৌসুমটি,	
shcholastik,	স্কলাসটিক,	স্কলাস্টিক,	
basturoi,	বস্তুরই,	বস্তুরই,	
tarokareer,	তারকারীর,	তরকারীর,	
hachchilo,	হাচছছিলো,	হচ্ছিলো,	
alaoul,	আলাউল,	আলাওল,	
mousum,	মৌসুম,	মৌসুম,	
everestey,	ইভেরসেটে,	এভারেস্টে,	
anchalsamuha,	অঞ্চলসমূহ,	অঞ্চলসমূহ,	
madrasake,	মাদ্রসাকে,	মাদ্রাসাকে,	
shqolastic,	স্কোলস্টিক,	স্কলাস্টিক,	
enginears,	এঞ্জিনির্স,	ইঞ্জিনিয়ার্স,	
suchorita,	সুচরিত,	সুচরিতা,	
advut,	এদ্ভুত,	অদ্ভুত,	
bhimsen,	ভিমসেন,	ভীমসেন,	
kraantikaale,	ক্রান্তিকালে,	ক্রান্তিকালে,	
bojhey,	বোঝে,	বোঝে,	
bomkesh,	বমকেশ,	ব্যোমকেশ,	
nodnadeer,	নদনাদীর,	নদনদীর,	
aakabar,	আকাবার,	আকাবার,	
chhooteer,	ছুটির,	ছুটির,	
dankaan,	দানকান,	ডানকান,	
enginiiring,	এঞ্জিনিরিং,	ইঞ্জিনিয়ারিং,	
bisnuke,	বিষ্ণুকে,	বিষ্ণুকে,	
shukranu,	শুক্রাণু,	শুক্রানু,	
vivek,	ভিভেক,	বিবেক,	
kuery,	কেরি,	কোয়েরি,	
atohar,	আতোহার,	আতহার,	
manushsoho,	মানুসহ,	মানুষসহ,	
goore,	গুরে,	গোর,	
phirati,	ফিরতি,	ফিরতি,	
khoor,	ক্ষুর,	ক্ষুর,	
grambashio,	গ্রামবাসিয়া,	গ্রামবাসীও,	
borana,	বরানা,	বোরন,	
maase,	মাসে,	মাসে,	
boudher,	বৌধের,	বৌদ্ধের,	
besirbhagei,	বেশিরভাগই,	বেশিরভাগেই,	
majlishpur,	মজলিস্পুর,	মজলিশপুর,	
diyenes,	ডিএনেস,	ডিএনএস,	
muladee,	মুলাদী,	মুলাদি,	
songrahak,	সংগ্রাহক,	সংগ্রাহক,	
balokarok,	বলকারক,	বলকারক,	
shector,	সেক্টর,	সেক্টর,	
mitrao,	মিট্রাও,	মিত্রও,	
nathibhookteer,	নথিভূক্তির,	নথিভুক্তির,	
vittitei,	ভিত্তিতেই,	ভিত্তিতেই,	
elaakatite,	এলাকাটিতে,	এলাকাটিকে,	
karmoke,	কর্মকে,	কর্মকে,	
smaroker,	স্মাকের,	স্মারকের,	
saarbharer,	সার্ভারের,	সার্ভারের,	
proteestha,	প্রতিষ্ঠা,	প্রতিষ্টা,	
kalnir,	কল্নীর,	কালনীর,	
soomo,	সুমো,	সুমো,	
israeler,	ইসরাইলের,	ইসরাঈলের,	
mohisho,	মহিশ্ম,	মহিষ,	
srabosty,	স্রবস্টি,	শ্রাবস্তী,	
samanyoi,	সাম্নই,	সামান্যই,	
dhikrita,	ধিকৃত,	ধিকৃত,	
sqarta,	স্কার্ট,	স্কার্ট,	
itostatah,	ইতোস্তত,	ইতস্ততঃ,	
dower,	দাওয়ার,	ডোভার,	
bondiira,	বন্দিরা,	বন্দীরা,	
phokshkon,	ফক্সন,	ফক্সকন,	
byaboharkari,	ব্যবহারকারি,	ব্যবহারকারী,	
gaichhe,	গেছছে,	গাইছে,	
kishti,	কিষ্টি,	কিস্তি,	
dharabahikvabey,	ধারাবিকভাবে,	ধারাবাহিকটি,	
bolkarok,	বলকারক,	বলকারক,	
potengar,	পতেঙ্গর,	পতেঙ্গার,	
abasaney,	আবাসনে,	অবসানে,	
maszid,	মসজিদ,	মসজিদ,	
se,	সে,	সে,	
qraima,	ক্রেইম,	ক্রাইম,	
jack,	যাক,	জ্যাক,	
lidara,	লিডার,	লিডার,	
tetela,	টেটল,	টাইটেল,	
falkser,	ফক্সের,	ফক্সের,	
bedkey,	বেদকে,	বেদকে,	
pushteer,	পুষ্টির,	পুষ্টির,	
kheley,	খেলে,	খেলে,	
jaank,	যাঁক,	জাঁক,	
manab,	মানব,	মানব,	
bhaabaaponno,	ভাবাপন্য,	ভাবাপন্ন,	
eenameela,	ইনামেল,	এনামেল,	
chaudhurio,	চৌধুরিও,	চৌধুরীও,	
quata,	কোটা,	কোটা,	
ramdhanu,	রামধানু,	রামধনু,	
khalidkay,	খলিদকে,	খালিদকে,	
murader,	মুরাদের,	মুরাদের,	
soras,	সরাস,	সরস,	
bhalobass,	ভালোবাস,	ভালোবাসা,	
quoota,	কোউটা,	কোটা,	
tirmijii,	তিরমিযী,	তিরমিজি,	
alexandar,	আলেক্সান্ডার,	আলেকজান্ডার,	
jonesh,	জনেস,	জোন্স,	
ramzaner,	রমজানের,	রমযানের,	
karmopontha,	কর্মপন্থা,	কর্মপন্থা,	
dharavahikeo,	ধারাবাহিকে,	ধারাবাহিকেও,	
shite,	সাইট,	শীতে,	
trenda,	ট্রেন্ড,	ট্রেন্ড,	
janaar,	জানার,	জানার,	
ruble,	রাবেল,	রুবল,	
labonaktatar,	লবনাক্ততার,	লবণাক্ততার,	
daackticket,	ডাক্টিকেট,	ডাকটিকিট,	
jonoshomaj,	জনসমাজ,	জনসমাজ,	
ramantic,	রোমান্টিক,	রোমান্টিক,	
treta,	ট্রেট,	ত্রেতা,	
asor,	আসর,	আসর,	
danata,	দানাতা,	ডোনাট,	
prodiiper,	প্রদিপের,	প্রদীপের,	
akhandota,	আখন্দতা,	অখণ্ডতা,	
aairish,	আইরিশ,	আইরিস,	
telakucha,	তেলাকুচা,	তেলাকুচা,	
karlosa,	কার্লস,	কার্লোস,	
kingsh,	কিংস,	কিংস,	
ronangone,	রণাঙ্গনে,	রণাঙ্গনে,	
mozlis,	মজলিস,	মজলিশ,	
dai,	দাই,	দিই,	
notey,	নোতে,	নোটে,	
juboksaho,	যুবকসহ,	যুবকসহ,	
mascat,	মাসকাট,	মাস্কাট,	
postar,	পোস্টার,	পোস্টের,	
moushumer,	মৌসুমের,	মৌসুমের,	
airish,	আইরিশ,	আইরিস,	
jaunatar,	যৌনতার,	যৌনতার,	
moshan,	মশান,	মোশন,	
dozo,	দজ,	ডোজো,	
state,	স্টেট,	স্টেইট,	
heris,	হিরিশ,	হ্যারিস,	
dweepgulo,	দ্বিপুলো,	দ্বীপগুলো,	
pretii,	প্রেতি,	প্রিটি,	
uddhriti,	উদ্ধৃতি,	উদ্ধৃতি,	
jansa,	জনস,	জন্স,	
aamoode,	আমুদে,	আমুদে,	
grootha,	গ্রুথা,	গ্রোথ,	
suity,	সুইটি,	সুইটি,	
onurbor,	অনুর্বর,	অনুর্বর,	
dweegulotey,	দ্বিগুলোতে,	দ্বীপগুলোতে,	
madaspushto,	মাদস্পষ্ট,	মদদপুষ্ট,	
zess,	জেস,	জেস,	
ekbakke,	একবাককে,	একবাক্যে,	
oshtader,	অষ্টাদের,	ওস্তাদের,	
gaaddaafee,	গাদ্ডাফি,	গাদ্দাফী,	
monjhostho,	মঞ্ঝস্থ,	মঞ্চস্থ,	
antarcticar,	অন্টার্কটিকর,	অ্যান্টার্কটিকার,	
shorif,	শরীফ,	শরিফ,	
munim,	মুনিং,	মুনিম,	
torooner,	তরুনের,	তরুণের,	
promoshone,	প্রমোশনে,	প্রোমোশনে,	
nirau,	নিরাও,	নির,	
phormat,	ফরমেট,	ফরম্যাট,	
herpher,	হারফের,	হেরফের,	
dharavahik,	ধারাবাহিক,	ধারাবাহিক,	
tafsher,	তাফসের,	তাফসীর,	
laagche,	লাগছে,	লাগছে,	
bikaargrasta,	বিকারগ্রস্ত,	বিকারগ্রস্ত,	
siddhantokey,	সিদ্বান্তকে,	সিদ্ধান্তকে,	
nogorey,	নগরে,	নগরে,	
gambasi,	গামবাসী,	গ্রামবাসী,	
kredita,	ক্রেডিত,	ক্রেডিট,	
adhito,	অধিত,	অধীত,	
pra,	প্র,	প্রো,	
krantikale,	ক্রান্তিকালে,	ক্রান্তিকালে,	
amorendro,	অমরেন্দ্র,	অমরেন্দ্র,	
madhoori,	মাধুরি,	মাধুরী,	
lajiker,	লাজিকের,	লজিকের,	
spashtatai,	স্পষ্টাতই,	স্পষ্টতই,	
toroonra,	তরুনরা,	তরুণরা,	
konrup,	কনরুপ,	কোনরূপ,	
utkhat,	উৎখাট,	উত্খাত,	
anisha,	আনিশা,	আনিস,	
sudhuyi,	সুধুই,	শুধুই,	
dinner,	দিনার,	ডিনার,	
aajeej,	আজিজ,	আজিজ,	
jerujalem,	জিরুজলামেল,	জেরুজালেম,	
ranadip,	রণদাবিপ,	রণদীপ,	
title,	টিটল,	টাইটেল,	
sarbhaarti,	সরর্ভাটি,	সার্ভারটি,	
jahor,	জহর,	জহর,	
sojja,	সজ্যা,	সজ্জা,	
ssahosikotar,	সাহসিকতার,	সাহসিকতার,	
mohammad,	মোহাম্মাদ,	মুহাম্মদ,	
sikkhokke,	শিক্ষককে,	শিক্ষককে,	
oswasteekor,	অস্বস্তিকর,	অস্বস্তিকর,	
uchhoshito,	উচ্চশিত,	উচ্ছসিত,	
amerikar,	অ্যামেরিকার,	আমেরিকার,	
abhishangsan,	অভিসংসান,	অভিশংসন,	
gotirodh,	গতিরোধ,	গতিরোধ,	
indr,	ইন্ডার,	ইন্দ্র,	
gabeshanar,	গবেষণার,	গবেষনার,	
songasthatike,	সংস্থাটিকে,	সংস্থাটিকে,	
uchchatara,	উচ্চাতারা,	উচ্চতর,	
somaazeri,	সমাজারি,	সমাজেরই,	
hattey,	হাততে,	হাঁটতে,	
qaroo,	কারু,	কারো,	
gandhiike,	গান্ধিকে,	গান্ধীকে,	
bandike,	বন্দিকে,	বন্দীকে,	
varson,	ভার্সন,	ভারশন,	
nadnodeer,	নদ্নদীর,	নদনদীর,	
browser,	ব্রাসের,	ব্রাউজার,	
lakkheryo,	লক্ষেরও,	লক্ষেরও,	
stonehenje,	স্তনেহেন্ে,	স্টোনহেঞ্জ,	
noren,	নরেন,	নরেন,	
firti,	ফিরতি,	ফিরতি,	
saahosikotar,	সাহিসিকতার,	সাহসিকতার,	
jamanor,	জামানোর,	জমানোর,	
bodhir,	বধির,	বধির,	
chalachchitrer,	চলচিত্রের,	চলচ্চিত্রের,	
udvabane,	উদ্ভবনে,	উদ্ভাবনে,	
modhyekar,	মধ্যেকার,	মধ্যেকার,	
toroonderke,	তরুন্দারকে,	তরুণদেরকে,	
songosthati,	সংস্থাটি,	সংস্থাটি,	
estoonia,	এস্টোনিয়া,	এস্তোনিয়া,	
chotogolpe,	ছোটোগল্পে,	ছোটগল্পে,	
khalidke,	খললিদকে,	খালিদকে,	
bagdadii,	বাজদাদী,	বাগদাদী,	
militaryte,	মিলিটারিতে,	মিলিটারিতে,	
aairees,	আইরিস,	আইরিস,	
udbhaboney,	উদ্ভাবনে,	উদ্ভাবনে,	
bhaibonera,	ভাইবনেরা,	ভাইবোনেরা,	
nirorthok,	নিরর্থক,	নিরর্থক,	
sektara,	সেক্টর,	সেক্টর,	
cade,	কেড,	কোড,	
monhputo,	মন্ফুত,	মনঃপুত,	
dharabahikti,	ধারাবিক্তি,	ধারাবাহিকটি,	
chotogolper,	ছোটোগল্পের,	ছোটগল্পের,	
niurolaji,	নিউরোলজি,	নিউরোলজি,	
sakaar,	সাকার,	সকার,	
oporishodhito,	অপরিশোধিত,	অপরিশোধিত,	
deeliveer,	ডিলিভির,	ডেলিভার,	
graambaseeo,	গ্রামবাসি,	গ্রামবাসীও,	
bhramaner,	ভ্রাম্যাণের,	ভ্রমণের,	
harbare,	হরবরে,	হারবারে,	
aazadeer,	আজাদীর,	আজাদীর,	
retasa,	রেটস,	রাইটস,	
saccar,	সক্চার,	সকার,	
ajeem,	আজিম,	আজিম,	
manjushree,	মনযুস্রে,	মঞ্জুশ্রী,	
abul,	অবুল,	আবুল,	
bisshasyi,	বিশ্বাসী,	বিশ্বাসই,	
mukhobondho,	মুখনব্ধ,	মুখবন্ধ,	
oppohoron,	অপহরণ,	অপহরন,	
ingrejra,	ইংরেজরা,	ইংরেজরা,	
sikkhartheerao,	শিক্ষার্থারও,	শিক্ষার্থীরাও,	
bohorompurer,	বহরামপুরের,	বহরমপুরের,	
koreempur,	করিমপুর,	করিমপুর,	
mukharji,	মুখার্জি,	মুখার্জী,	
magical,	ম্যাজিক্যাল,	ম্যাজিকাল,	
cutie,	কুটিই,	কিউটি,	
eebhiem,	ইভিএম,	ইভিএম,	
utkhaat,	উৎখাট,	উত্খাত,	
jani,	জানি,	জনি,	
dephineshhana,	ডেফিনিশন,	ডেফিনেশন,	
chaiti,	চাইতি,	চৈতি,	
jomaanor,	জমানোর,	জমানোর,	
embed,	এম্বেদ,	এম্বেড,	
barnish,	বার্নিস,	বার্নিশ,	
uindoos,	উইন্ডোস,	উইন্ডোস,	
udbodhonee,	উদ্বধনী,	উদ্বোধনী,	
moushumti,	মৌশুমটি,	মৌসুমটি,	
brookoleen,	ব্রককোলিন,	ব্রুকলিন,	
arthonitike,	অর্থনিতিকে,	অর্থনীতিকে,	
bishwashe,	বিশ্বাসে,	বিশ্বাসে,	
roobi,	রুবি,	রুবি,	
shaalehaa,	সালেহ,	সালেহা,	
shangkaloner,	সংকলনের,	সংকলনের,	
angurer,	আঙুরের,	আঙ্গুরের,	
songostha,	সংস্থ,	সংস্থা,	
musolmanra,	মুসলমমনররা,	মুসলমানরা,	
bone,	বোনে,	বনে,	
prokolpeo,	প্রকল্পেও,	প্রকল্পেও,	
lobbytey,	লব্টিতে,	লবিতে,	
nodigulo,	নদিগুলো,	নদীগুলো,	
karadandey,	কারাদন্ডে,	কারাদণ্ডে,	
gronthotikey,	গ্রন্থিটকে,	গ্রন্থটিকে,	
karo,	কারও,	করো,	
peshto,	পেষ্ট,	পেষ্ট,	
prai,	প্রাই,	প্রায়,	
pashchatey,	পাশ্চাতে,	পশ্চাতে,	
harta,	হার্ট,	হার্ট,	
laaisheesh,	লাইসিস,	লাইসেন্স,	
tofaat,	টফাট,	তফাৎ,	
jyaishtha,	জ্যাস্থ,	জ্যৈষ্ঠ,	
builder,	বুইল্ডের,	বিল্ডার,	
janoikaa,	জনকিকা,	জনৈকা,	
mucus,	মুকাস,	মিউকাস,	
shiropadhari,	শিরোপধারী,	শিরোপাধারী,	
prabhritite,	প্রভৃতিতে,	প্রভৃতিতে,	
kommatei,	কমাতেই,	কমাতেই,	
narafoka,	নরফোকা,	নরফোক,	
gaze,	গেজ,	গেজ,	
bon,	বোন,	বন,	
potchitro,	পথিত্র,	পটচিত্র,	
sathikata,	সথিকতা,	সঠিকতা,	
sossa,	সস্যা,	শশা,	
ralapha,	রালফ,	রালফ,	
durgo,	দুর্গ,	দুর্গ,	
bikargrosto,	বিকারগ্রস্ত,	বিকারগ্রস্ত,	
pleta,	প্লট,	প্লেট,	
goolen,	গুলেন,	গুলেন,	
spredashiita,	স্পেরাসেট,	স্প্রেডশীট,	
antarctica,	অন্টার্টিক,	অ্যান্টার্কটিকার,	
laicenshe,	লাইসেন্স,	লাইসেন্স,	
nirmolotaa,	নির্মলতা,	নির্মলতা,	
oiteejye,	ঐতিজ্যে,	ঐতিহ্যে,	
eenameel,	ইনামেল,	এনামেল,	
battery,	ব্যাটারি,	ব্যাটারী,	
bhaandare,	ভান্ডারে,	ভাণ্ডারে,	
rajshri,	রাজশ্রী,	রাজশ্রী,	
tirmiji,	তিরমিযী,	তিরমিজি,	
skora,	স্কার,	স্কোর,	
themekey,	থেমেকে,	থিমকে,	
ucchosito,	উচ্চশিত,	উচ্ছসিত,	
totokshon,	ততক্ষণ,	ততক্ষন,	
shapod,	সাপদ,	শ্বাপদ,	
damonmulok,	দামনমূলক,	দমনমূলক,	
hedge,	হেড,	হেজ,	
sudrishya,	সুদৃশ্য,	সুদৃশ্য,	
madrasi,	মাদ্রাসি,	মাদ্রাজি,	
lecense,	লিসেন্স,	লাইসেন্স,	
nottee,	নটি,	নোটটি,	
mitrata,	মিট্রাতা,	মিত্রতা,	
bhromonkale,	ভ্রমণকালে,	ভ্রমণকালে,	
mekong,	মেকাং,	মেকং,	
udbhabane,	উদ্ভবনে,	উদ্ভাবনে,	
daakten,	ডাকতেন,	ডাকতেন,	
pack,	প্যাক,	প্ল্যাক,	
rubeta,	রুবাতা,	রাবেতা,	
prostutkarok,	প্রস্তুতকারক,	প্রস্তুতকারক,	
mitrer,	মিটারের,	মিত্রের,	
pattarn,	প্যাটার্ন,	প্যাটার্ন,	
hotodoreedro,	হতোদরীদরর,	হতদরিদ্র,	
directorete,	ডিরেক্টরেট,	ডিরেক্টরেট,	
koordider,	কুর্দিদের,	কুর্দিদের,	
sumeetrar,	সুমিত্রার,	সুমিত্রার,	
asantos,	অসন্তোষ,	অসন্তোষ,	
aazaan,	আজান,	আজান,	
dubate,	দুবতে,	ডুবাতে,	
