hitaishi,	হিটাইসই,	হিতৈষী,	
laisense,	লাইসেন্সে,	লাইসেন্স,	
eiling,	ইইলিং,	ইলিং,	
kanflict,	কনল্লিক্ট,	কনফ্লিক্ট,	
protisthar,	প্রতিষ্ঠার,	প্রতিষ্ঠার,	
ekghare,	একঘারে,	একঘরে,	
swapod,	স্বপদ,	শ্বাপদ,	
tauki,	তৌকি,	তকি,	
samanwitobhabe,	সমানোভিতভাবে,	সমন্বিতভাবে,	
antorbhuktimulak,	অন্তর্ভাতিমূলক,	অন্তর্ভুক্তিমূলক,	
shaamiijiir,	স্বামীজীর,	স্বামীজীর,	
shangsthaner,	সংস্থানের,	সংস্থানের,	
breq,	ব্রেয়াক,	ব্রেক,	
asavya,	অস্ব,	অসভ্য,	
shikshagata,	শিক্ষাগত,	শিক্ষাগত,	
byaboharkari,	ব্যবহারকারি,	ব্যবহারকারী,	
canservatian,	কনসার্েশন,	কনসারভেশন,	
darada,	দারদা,	দারদা,	
temontee,	টেমনটি,	তেমনটি,	
porishkaran,	পরিষ্কাণ,	পরিষ্করণ,	
bosontokey,	বসন্তকে,	বসন্তকে,	
silwar,	শিলভার,	সিলভার,	
roshider,	রশিদের,	রশিদের,	
olimpiker,	অলিম্পিকের,	অলিম্পিকের,	
esoosiyetasa,	এসোসিয়েট,	এসোসিয়েটস,	
sarbhaare,	সরভারে,	সার্ভারে,	
ship,	শিপ,	শিপ,	
shikshao,	শিক্ষাও,	শিক্ষাও,	
hevy,	হেভি,	হেভি,	
kyathlik,	ক্যালিক,	ক্যাথলিক,	
bondikey,	বন্ডিকে,	বন্দীকে,	
susama,	সুসম,	সুসম,	
alaoler,	আলালের,	আলাওলের,	
towbar,	তবার,	তওবার,	
jonsha,	জনসা,	জোন্স,	
cholochchitragulor,	চলচ্চিত্রগুলোর,	চলচ্চিত্রগুলোর,	
cho,	চো,	ছোঁ,	
vastubad,	বস্তুবাদ,	বস্তুবাদ,	
krus,	ক্রাস,	ক্রুশ,	
dokaneyi,	ডোকানেই,	দোকানেই,	
hipar,	হিপার,	হাইপার,	
shikhbe,	শিকবে,	শিখবে,	
ganonatto,	গণনাত্য,	গণনাট্য,	
chiraharit,	চিরাহরিত,	চিরহরিৎ,	
oitihyer,	ঐতিহ্যের,	ঐতিহ্যের,	
rajnaitik,	রাজনৈতিক,	রাজনৈতীক,	
bisnukey,	বিষ্ণুকে,	বিষ্ণুকে,	
ekatto,	একাত্য,	একাত্ব,	
coshon,	কোষন,	চোষণ,	
ashankai,	আশানকাই,	আশঙ্কাই,	
horidware,	হরিদ্বরে,	হরিদ্বারে,	
benj,	ব্যাংজ,	বেঞ্জ,	
ssteit,	স্টেইট,	স্টেইট,	
dharabhashyakar,	ধার্ভবাস্যকার,	ধারাভাষ্যকার,	
brindabane,	ব্রিন্ডবনে,	বৃন্দাবনে,	
jerushalema,	জ্যারুসেলাম,	জেরুসালেম,	
prakalpagulo,	প্রকালপুলো,	প্রকল্পগুলো,	
anis,	অনিশ,	আনিস,	
shikarder,	শিকারদের,	শিকারদের,	
kalam,	কলম,	কালাম,	
prakalpao,	প্রকালপু,	প্রকল্পও,	
bipajjanak,	বিপদজ্জনক,	বিপজ্জনক,	
shreechoitonyodeb,	শ্রীতাচীন্দবে,	শ্রীচৈতন্যদেব,	
elakatikay,	ইলাকাটিকে,	এলাকাটিকে,	
baaraak,	বারাক,	বারাক,	
sahochorjo,	সহচর্য,	সাহচর্য,	
bi,	বি,	বি,	
toki,	টকি,	তকি,	
geans,	জিন্স,	জিন্স,	
matthew,	ম্যাথে,	ম্যাথিউ,	
dharabiktir,	ধারাবিক্তির,	ধারাবাহিকটির,	
jhonkar,	ঝনকার,	ঝঙ্কার,	
vabnar,	ভাবনার,	ভাবনার,	
aanaan,	আনন,	আনান,	
durgo,	দূর্গ,	দুর্গ,	
grambaaseeder,	গ্রামসাদীর,	গ্রামবাসীদের,	
karuna,	করুনা,	করুণা,	
grameri,	গ্রামারি,	গ্রামেরই,	
taiwan,	টাইন,	তাইওয়ান,	
grantho,	গ্রন্থ,	গ্রন্থ,	
utsahomulok,	উৎসাহূমক,	উৎসাহমূলক,	
chhotogolper,	ছোটোগল্পের,	ছোটগল্পের,	
shaatjon,	সাটজন,	সাতজন,	
samannoi,	সামান্যই,	সামান্যই,	
brek,	ব্র্যাক,	ব্রেক,	
romancho,	রোমাঞ্চ,	রোমাঞ্চ,	
ghosito,	গোষিত,	ঘোষিত,	
chalochchitraeei,	চলচ্চিত্রই,	চলচ্চিত্রেই,	
debodebir,	দেবদেবীর,	দেবদেবীর,	
paira,	পাইর,	পাইরা,	
sachetanotamulak,	সচ্চেতনামূলক,	সচেতনতামূলক,	
niurolazi,	নিউরোলজি,	নিউরোলজি,	
biharey,	বিহারে,	বিহারে,	
byaran,	ব্যারন,	ব্যারন,	
shector,	সেকটার,	সেক্টর,	
pitthey,	পিঠে,	পীঠে,	
provura,	প্রভারা,	প্রভুরা,	
leadar,	লিডার,	লিডার,	
nagarikkey,	নাগরিককে,	নাগরিককে,	
banijyikvittite,	বানিজিবিক্তিতে,	বাণিজ্যিকভিত্তিতে,	
atok,	অ্যাটক,	আটক,	
suraaropito,	সুরারোপিত,	সুরারোপিত,	
hoilo,	হইলো,	হইল,	
niropekshtar,	নিরোপকেষ্টর,	নিরপেক্ষতার,	
konruup,	কনরূপ,	কোনরূপ,	
saseja,	সাসেজা,	সসেজ,	
taoonship,	টাউনশিপ,	টাউনশিপ,	
bisnu,	বিষ্ণু,	বিষ্ণু,	
mmadhukkori,	মাধুককরী,	মাধুকরী,	
kalengga,	কলেঙ্গ,	কালেঙ্গা,	
dimbakriti,	ডিম্বাকৃতি,	ডিম্বাকৃতি,	
sqalastiqa,	স্কলসটিক,	স্কলাস্টিক,	
banger,	বঙ্গের,	ব্যাঙের,	
siramiks,	সিরামিক্স,	সিরামিকস,	
lazika,	লাজিকা,	লজিক,	
assastikar,	অস্বাস্তিকার,	অস্বস্তিকর,	
sadena,	সোদেন,	সাডেন,	
bloggerra,	ব্লগেরা,	ব্লগাররা,	
seat,	সিট,	সিট,	
hiiragana,	হিরাগন,	হিরাগানা,	
trenda,	ট্রেন্ড,	ট্রেন্ড,	
towraat,	ত্রৎাত,	তওরাত,	
azaan,	আজান,	আজান,	
sahapathike,	সহপাঠিকে,	সহপাঠীকে,	
habsi,	হবসি,	হাবশী,	
sadbi,	স্বাডি,	সাধ্বী,	
holdeeng,	হোলদিং,	হোল্ডিং,	
jins,	জিন্স,	জিন্স,	
bibechyo,	বিবেচ্য,	বিবেচ্য,	
phutonta,	ফুটন্ট,	ফুটন্ত,	
bisheshshyer,	বিশেষ্যের,	বিশেষ্যের,	
durgatsober,	দূর্গতসবের,	দুর্গোৎসবে,	
dharmantor,	ধর্মন্তর,	ধর্মান্তর,	
firozer,	ফিরজের,	ফিরোজের,	
eling,	এলিং,	ইলিং,	
prokolpogulor,	প্রকোলপুলোর,	প্রকল্পগুলোর,	
horipoor,	হরিপুর,	হরিপুর,	
ghumata,	ঘুমতা,	ঘুমাতো,	
qarqa,	কার্ক,	কার্ক,	
konoroop,	কোনরূপ,	কোনরূপ,	
abdur,	আবদুর,	আবদুর,	
baaraakpur,	ব্যারাপকুর,	বারাকপুর,	
asamanjashapurna,	অসমাপান্যপূর্ণ,	অসামঞ্জস্যপূর্ণ,	
kindom,	কিন্দোম,	কিংডম,	
chalta,	চলতট,	চালতা,	
rajtantra,	রাজতন্ত্র,	রাজতন্ত্র,	
jater,	জাতের,	জাতের,	
ogovir,	অগভীর,	অগভীর,	
totokhhon,	ততক্ষণ,	ততক্ষন,	
kakhanyoba,	কখনোব্য,	কখনওবা,	
meghacchonno,	মেঘাচ্যন,	মেঘাচ্ছন্ন,	
rahi,	রাহি,	রাহি,	
categoryer,	ক্যাটেগররর,	ক্যাটাগরির,	
mitrer,	মিট্রের,	মিত্রের,	
heeli,	হেলি,	হিলি,	
dazjo,	দা্য,	দাহ্য,	
stoonahenja,	স্টোনাহেজ্ঞা,	স্টোনহেঞ্জ,	
krantikale,	ক্রান্তিকালে,	ক্রান্তিকালে,	
nickel,	নিক্লেল,	নিকেল,	
sangbadmadhyame,	সংবাদমাধ্যমে,	সংবাদমাধ্যমে,	
murader,	মুরদের,	মুরাদের,	
aakaabar,	আকাার,	আকাবার,	
sathikota,	সাথিকতা,	সঠিকতা,	
durgatsabe,	দূর্গতসবে,	দুর্গোৎসবে,	
deebug,	দিবুগ,	ডিবাগ,	
ceramiker,	সেরামিকের,	সিরামিকের,	
badhadan,	বাধাদন,	বাধাদান,	
ogrodut,	অগ্রদূত,	অগ্রদূত,	
puzito,	পূজিত,	পুজিত,	
gardeena,	গার্ডেন,	গার্ডেন,	
maner,	মনের,	মানে,	
aukhando,	অখন্দ,	অখন্ড,	
jaki,	জাকি,	জকি,	
seramiks,	সারামিক্স,	সিরামিকস,	
informeson,	ইনফর্মেশন,	ইনফরমেশন,	
chhanake,	ছানাকে,	ছানাকে,	
digri,	ডিগ্রী,	ডিগ্রি,	
bosten,	বসতেন,	বসতেন,	
allahabadey,	আল্লাহাবাদে,	এলাহাবাদে,	
onker,	অংকের,	ওঙ্কার,	
meshar,	মেশার,	মেশার,	
kanasharabheshhana,	কনসারেশন,	কনসারভেশন,	
pachak,	পাচক,	পাচক,	
atmobishvashi,	আত্মবিশ্বাসী,	আত্মবিশ্বাসী,	
oncholeo,	অঞ্চলেও,	অঞ্চলেও,	
ganachiner,	গোনাচীনের,	গণচীনের,	
kingdom,	কিংগোম,	কিংডম,	
anciint,	এ্যান্সিনট,	এনসিয়েন্ট,	
kantojir,	কান্তজীর,	কান্তজির,	
bidghootey,	বিদ্ঘুতে,	বিদঘুটে,	
bairer,	বৈরের,	বাইরের,	
apoharon,	অপহরণ,	অপহরন,	
gunaman,	গুণমান,	গুণমান,	
commander,	কমান্ডের,	কমাণ্ডার,	
abdi,	আবি,	অব্দি,	
chalachchitreo,	চলচ্চিত্রেও,	চলচ্চিত্রেও,	
surakarder,	সুরকরদের,	সুরকারদের,	
nondolal,	নন্দলাল,	নন্দলাল,	
arekdal,	আরেকদল,	আরেকদল,	
vabnakey,	ভবনকে,	ভাবনাকে,	
machsoho,	মাচসহ,	মাছসহ,	
digreeo,	ডিগ্রীও,	ডিগ্রিও,	
transformaarer,	ট্রান্সমোর্ার,	ট্রান্সফরমারের,	
sosar,	সসার,	সকার,	
jonosomaj,	জনসমাজ,	জনসমাজ,	
rabeta,	রবেট,	রাবেতা,	
stoona,	স্টুন,	স্টোন,	
prakalpoti,	প্রকালটি,	প্রকল্পটি,	
dhaloor,	ঢালুর,	ঢালুর,	
nirmolotaa,	নির্মলতা,	নির্মলতা,	
durgatsob,	দূর্গতসব,	দুর্গোৎসব,	
pituni,	পিটুনি,	পিটুনি,	
bihare,	বিহারে,	বিহারে,	
institutione,	ইন্টটিটিশনে,	ইনস্টিটিউশনে,	
hart,	হার্ট,	হার্ট,	
purbanchale,	পূর্বাঞ্চলে,	পূর্বাঞ্চলে,	
shamuker,	সামুকের,	শামুকের,	
ekpashe,	একপাশে,	একপাশে,	
directorete,	ডিরেক্টরেটে,	ডিরেক্টরেট,	
soceitytey,	সচেতিতে,	সোসাইটিতে,	
marri,	ম্যারি,	ম্যারি,	
turqamena,	তুর্কমান,	তুর্কমেন,	
udvabone,	উদ্ভাবনে,	উদ্ভাবনে,	
basaake,	বাসাকে,	বাসাকে,	
scoree,	স্কোরি,	স্কোরে,	
dhabi,	ধাবী,	ঢাবি,	
pubancholer,	পুবাঞ্চলের,	পূর্বাঞ্চলের,	
longhoner,	লঙ্ঘনের,	লংঘনের,	
musolmanra,	মুসলম্নর,	মুসলমানরা,	
nojder,	নজদের,	নজদের,	
duplee,	ডাপেল,	ডুপ্লে,	
sectore,	সেক্টরে,	সেক্টরে,	
estania,	ইস্টেনিয়া,	এস্তোনিয়া,	
avisongson,	অভিসংসন,	অভিশংসন,	
mukhabandha,	মুখবন্ধ,	মুখবন্ধ,	
ekroop,	একরূপ,	একরূপ,	
phokser,	ফক্সের,	ফক্সের,	
samajikotar,	সামাজিকতার,	সামাজিকতার,	
leetara,	লেটার,	লেটার,	
mugdal,	মুগদল,	মুগডাল,	
bahjya,	বাহ্যা,	বাহ্য,	
sheramiksh,	সারামিক্স,	সিরামিকস,	
kaas,	কাস,	কাস,	
battery,	ব্যাটারি,	ব্যাটারী,	
dijeejer,	দিজিজের,	ডিজিজের,	
muhmmoder,	মুহ্মদের,	মুহম্মদের,	
oncholsomuher,	অঞ্চলসমূহের,	অঞ্চলসমূহের,	
fall,	ফল,	ফল,	
byabaharkarike,	ব্যবহারকারিকে,	ব্যবহারকারীকে,	
setite,	সেটিতে,	সেটিতে,	
proteesthan,	প্রতিষ্ঠান,	প্রতিষ্টান,	
dharabahikti,	ধারাবািতি,	ধারাবাহিকটি,	
bhaandaare,	ভান্ডারে,	ভাণ্ডারে,	
mukhomondole,	মুখমন্ডলে,	মুখমণ্ডলে,	
masterer,	মোস্টারের,	মাস্টারের,	
murrayir,	মুরের,	ম্যারির,	
rightsh,	রাইটস,	রাইটস,	
koreempoor,	করিমপুর,	করিমপুর,	
partha,	পার্থ,	পার্থ,	
asthisandhi,	অস্থিিন্ধি,	অস্থিসন্ধি,	
gavashkar,	গভস্কর,	গাভাস্কার,	
shhipa,	শিপ,	শিপ,	
arthoneeti,	অর্থনীতি,	অর্থনীতির,	
paner,	পানের,	পানের,	
chalachchitrotike,	চলচ্লিত্রটিকে,	চলচ্চিত্রটিকে,	
koda,	কোদ,	কোড,	
nirapattamulok,	নিরাপততামূলক,	নিরাপত্তামূলক,	
mandope,	মণ্ডপে,	মন্ডপে,	
nirobota,	নীরবতা,	নিরবতা,	
achish,	আচিশ,	আছিস,	
mathieu,	ম্যাথিও,	ম্যাথিউ,	
oppohoron,	অপহরর,	অপহরন,	
akkharke,	আক্ষরকে,	অক্ষরকে,	
angsogrohone,	অংশগ্রহণে,	অংশগ্রহনের,	
spreeadsheet,	স্প্রডেসিট,	স্প্রেডশীট,	
patishapta,	পতিশাপ্ত,	পাটিসাপটা,	
meiler,	মেলের,	মেইলের,	
musharraf,	মুশাররফ,	মশাররফ,	
nirgamon,	নির্গামণ,	নির্গমন,	
jerusalemer,	জিরুসালেমের,	জেরুজালেমের,	
hoomes,	হোমস,	হোমস,	
monir,	মনির,	মনির,	
hamburge,	হাম্বর্গে,	হামবুর্গে,	
anchaltike,	অ্যাঞ্টলটিকে,	অঞ্চলটিকে,	
mozlis,	মজলিস,	মজলিশ,	
madhukooree,	মধুকুরী,	মাধুকরী,	
hoila,	হইল,	হইল,	
ganoparibahaner,	গণপরিবহনের,	গণপরিবহনের,	
skolastic,	স্কলাস্টিক,	স্কলাস্টিক,	
jibonnogor,	জীবন্গগর,	জীবননগর,	
sakaar,	সাকার,	সকার,	
catholicder,	কালিকদের,	ক্যাথলিকদের,	
prakalpatikey,	প্রকালটিকে,	প্রকল্পটিকে,	
patthkromer,	পাঠ্যক্রমের,	পাঠক্রমের,	
taholei,	তালেই,	তাহলেই,	
kando,	কান্দ,	কাণ্ড,	
quartar,	কোর্টার,	কোয়ার্টার,	
jibonto,	জীবন্ত,	জীবন্ত,	
diyi,	দিই,	দিই,	
scholastik,	স্কলাস্টিক,	স্কলাস্টিক,	
garjan,	গার্জন,	গর্জন,	
karmasansthan,	কর্মসনস্থন,	কর্মসংস্থান,	
sthaponatir,	স্থপতনাটির,	স্থাপনাটির,	
soomi,	সুমি,	সুমি,	
mohajot,	মহাজত,	মহাজোট,	
judhahato,	যুদাহত,	যুদ্ধাহত,	
ketechilo,	কেটেছিল,	কেটেছিল,	
haryken,	হারিকেন,	হ্যারিকেন,	
udbhabani,	উদ্ভবনী,	উদ্ভাবনী,	
karoo,	কারু,	কারো,	
manushsaho,	মনুশসহ,	মানুষসহ,	
abhidhanic,	অভিধানিক,	অভিধানিক,	
jwarer,	জ্বরের,	জ্বরের,	
manaber,	মানবের,	মানবের,	
shaddhii,	শাধী,	সাধ্বী,	
taurat,	ততরাত,	তওরাত,	
daver,	দেবর,	ডোভার,	
choudhureer,	চৌধুরির,	চৌধুরীর,	
dece,	ডেসে,	ডেকে,	
motabolombira,	মতাালবম্বীরা,	মতাবলম্বীরা,	
nilphamarir,	নিলফামারীর,	নীলফামারীর,	
bronze,	ব্রেঞ্জ,	ব্রোঞ্জ,	
bbiswasho,	বিশ্বাস,	বিশ্বাসও,	
bongshi,	বংশি,	বংশী,	
hatochakito,	হতচাচিক,	হতচকিত,	
prachurjer,	প্রচুর্যের,	প্রাচুর্যের,	
bagichar,	বাগিচার,	বাগিচার,	
durgatir,	দুর্গতির,	দুর্গটির,	
siiter,	সীটের,	শীতের,	
allahabade,	আল্লাহাবাদে,	এলাহাবাদে,	
raia,	রয়,	রায়,	
shhip,	শিপ,	শিপ,	
stoneeheengee,	স্টনিহেন্গী,	স্টোনহেঞ্জ,	
pakhirai,	পাখ্রিই,	পাখিরাই,	
janaalo,	জানালো,	জানালো,	
bhittiteo,	ভিত্তিতেও,	ভিত্তিতেও,	
kamiz,	কমিজ,	কামিজ,	
laaishensh,	লাইসেন্স,	লাইসেন্স,	
graambasi,	গ্রামবাসী,	গ্রামবাসী,	
ganosakkhorota,	গণস্বক্ষতা,	গণসাক্ষরতা,	
dhani,	ধনি,	ধানি,	
kings,	কিংস,	কিংস,	
nake,	নাকে,	নেক,	
hugheke,	হুঘকে,	হিউজকে,	
meetropolitan,	মেট্রোপলিটান,	মেট্রোপলিটন,	
skalarashipa,	স্কলারশিপ,	স্কলারশিপ,	
chalochchitreer,	চলচ্চিত্রের,	চলচ্চিত্রের,	
attorkite,	আত্ররকিতে,	অতর্কিতে,	
sunagarik,	সুনারুক,	সুনাগরিক,	
obie,	অবি,	ওবিই,	
shuperheiro,	সুপারহাইরো,	সুপারহিরো,	
elaakate,	ইলাকাতে,	এলাকাতে,	
byanger,	ব্যঙ্গের,	ব্যাঙের,	
byabaharkariyi,	ব্যবহারকারি,	ব্যবহারকারীই,	
dalee,	ডলি,	ডালে,	
jonosonjog,	জনসংযোগ,	জনসংযোগ,	
ovidhanik,	অভিধানিক,	অভিধানিক,	
porikhar,	পরিক্ষার,	পরিখার,	
nirgun,	নির্গুণ,	নির্গুণ,	
jillool,	জিল্লুল,	জিল্লুল,	
dail,	ডেল,	ডেইল,	
varote,	ভারতে,	ভারতে,	
assoociates,	অ্যাসোসিয়েট,	এসোসিয়েটস,	
shikhechi,	শিখেছি,	শিখেছি,	
bivonno,	বিভন্য,	বিভন্ন,	
yuqeliptas,	ইউক্লিপ্টাস,	ইউক্যালিপ্টাস,	
paschimey,	পশ্চিমে,	পশ্চিমে,	
sheekare,	শিকারে,	শিকারে,	
raunanganey,	রৌনঙ্গনে,	রণাঙ্গনে,	
megh,	মেঘ,	মেঘ,	
tenis,	টেনিস,	টেনিস,	
paikgacha,	পাঁচাছ,	পাইকগাছা,	
markete,	মার্কেটে,	মার্কেটে,	
mononiitoder,	মনীনীতদের,	মনোনীতদের,	
tookrokey,	টুক্রকে,	টুকরোকে,	
bunot,	বুনত,	বুনট,	
jonmaat,	জন্মাত,	জন্মাত,	
swajan,	স্বজন,	স্বজন,	
prostut,	প্রস্তুত,	প্রস্ত্তত,	
chiranton,	চিরন্টন,	চিরন্তন,	
basatey,	বসাতে,	বাসাতে,	
license,	লিইসেন্সে,	লাইসেন্স,	
cholochchitreei,	চলচ্চিত্রেই,	চলচ্চিত্রেই,	
shansthatir,	সংস্থটির,	সংস্থাটির,	
perther,	পার্থের,	পার্থের,	
lyanding,	ল্যান্ডিং,	ল্যান্ডিং,	
alsaara,	আলসার,	আলসার,	
promotione,	প্রমোশনে,	প্রোমোশনে,	
danut,	ডানুট,	ডোনাট,	
dephinishion,	ডেফিনিশন,	ডেফিনেশন,	
scall,	স্কল,	এসকল,	
plusey,	প্লাসে,	প্লাসে,	
gondogol,	গণ্ডগল,	গন্ডগোল,	
ancholsomuher,	অঞ্চলসমূহের,	অঞ্চলসমূহের,	
mail,	মেল,	মাইল,	
ganonatya,	গণনাট্য,	গণনাট্য,	
hoteltee,	হটেলটি,	হোটেলটি,	
prakalpogulor,	প্রকালপুলোপর,	প্রকল্পগুলোর,	
silvi,	সিলভি,	সিলভি,	
anyarup,	অন্যরূপ,	অন্যরূপ,	
golpokar,	গল্পকার,	গল্পকার,	
chaudhurir,	চৌধুরির,	চৌধুরীর,	
voolapuk,	ভোলাপুক,	ভোলাপুক,	
rajashri,	রাজস্রী,	রাজশ্রী,	
valobasey,	ভালবাসে,	ভালোবাসে,	
admiral,	অ্যাডমিরাল,	এডমিরাল,	
shcholastik,	স্কলাস্টিক,	স্কলাস্টিক,	
si,	সি,	এসআই,	
meeseenjar,	মেসেঞ্জার,	মেসেঞ্জার,	
bishshasho,	বিশ্বাস,	বিশ্বাসও,	
bonbhumite,	বনভূমিতে,	বনভূমিতে,	
texaser,	টেকাসের,	টেক্সাসের,	
protizogiir,	প্রতিযোগীর,	প্রতিযোগীতার,	
ganana,	গননন,	গননা,	
maddhuri,	মধধুরি,	মাধুরী,	
reeno,	ঋণে,	রেনো,	
harbor,	হারবর,	হারবার,	
gabhaaskar,	গভাস্কর,	গাভাস্কার,	
duckten,	ডাকতেন,	ডাকতেন,	
dakteekiter,	ডাক্তিকিতের,	ডাকটিকিটের,	
shaswato,	শাস্তত,	শাশ্বত,	
shitei,	সিতেই,	শীতেই,	
post,	পোস্ট,	পোষ্ট,	
songostha,	সংস্থা,	সংস্থা,	
chalechi,	চলেছি,	চলেছি,	
abasan,	আবাসন,	অবসান,	
krok,	ক্রক,	ক্রোক,	
chorbon,	চর্বন,	চর্বন,	
jatook,	যাতুক,	জাতক,	
model,	মোদেল,	মডেল,	
ammor,	আ্যামোর,	আমর,	
vorpur,	ভোরপুর,	ভরপুর,	
graambaaseeo,	গ্রামবাসী,	গ্রামবাসীও,	
phareqsa,	ফরেক্স,	ফরেক্স,	
helly,	হেলি,	হিলি,	
timothi,	টিমথি,	টিমোথি,	
nirorthok,	নিরার্থক,	নিরর্থক,	
dupleks,	ডাপ্লেক্স,	ডুপ্লে,	
asaborno,	অসবর্ন,	অসবর্ণ,	
jaanate,	জানাতে,	জানাতে,	
utshahomulok,	উৎসাহূমক,	উৎসাহমূলক,	
samajer,	সমাজের,	সমাজের,	
phanda,	ফন্ড,	ফান্ড,	
superheror,	সুপারেরার,	সুপারহিরোর,	
gazipore,	গাজীপুরে,	গাজিপুর,	
dharabahikeo,	ধারাবাহিকে,	ধারাবাহিকেও,	
janagononar,	জনগণনার,	জনগণনার,	
yucalyptush,	ইকোলািপ্টাস,	ইউক্যালিপ্টাস,	
asocheton,	অসোেেন,	অসচেতন,	
tarunra,	তাুরুনরা,	তরুণরা,	
geejeeteeda,	গেজিটেড,	গেজেটেড,	
janmato,	জন্মত,	জন্মাত,	
motion,	মোশন,	মোশন,	
log,	লোগ,	লগ,	
eenjil,	এঞ্জেল,	ইঞ্জিল,	
bea,	বিএ,	বি,	
buildar,	বিলদার,	বিল্ডার,	
kool,	কুল,	কুল,	
purbancole,	পূর্বান্চলে,	পূর্বাঞ্চলে,	
ula,	উল,	উল,	
carzar,	কার্জার,	চার্জার,	
jacqsan,	জক্ষন,	জ্যাকসন,	
iash,	আইএস,	আইএএস,	
amittrakkhor,	অমিত্রাক্ষর,	অমিত্রাক্ষর,	
madhuri,	মধুরি,	মাধুরী,	
mesenjjar,	মেসেঞ্জার,	মেসেঞ্জার,	
bite,	বিটে,	বাইট,	
uddhriti,	উদ্ধৃতি,	উদ্ধৃতি,	
nodigulo,	নদিগুলো,	নদীগুলো,	
byepass,	ব্যাপস,	বাইপাস,	
shombhobonaao,	সম্ভবনাও,	সম্ভবনাও,	
jathan,	যথন,	যথন,	
phareksha,	ফরেক্স,	ফরেক্স,	
antarktikar,	অন্তর্কাতিকর,	অ্যান্টার্কটিকার,	
dormetoree,	ডরমেটরি,	ডরমিটরি,	
jounatar,	যৌনতার,	যৌনতার,	
obharabhiu,	অভারভাউই,	ওভারভিউ,	
phiksa,	ফিক্স,	ফিক্স,	
bachhayi,	বাচ্ছাই,	বাছাই,	
torunke,	তরুণকে,	তরুণকে,	
chhaanee,	ছানি,	ছানি,	
laiceensee,	লাইনেস্স,	লাইসেন্স,	
selinar,	সেলিনার,	সেলিনার,	
deeputi,	দিপুতি,	ডেপুটি,	
joubankale,	যৌবনকালে,	যৌবনকাল,	
meghe,	মেঘে,	মেঘে,	
sucharita,	সুচারিত,	সুচরিতা,	
carpete,	কারপেটে,	কার্পেটে,	
nathibhookto,	নথিভুক্ত,	নথিভুক্ত,	
timothy,	টিমথি,	টিমোথি,	
jojyota,	যোজ্যতা,	যোজ্যতা,	
aajiboner,	আজিবনের,	আজীবনের,	
dharabahikvabe,	ধারাবাধিকভাবে,	ধারাবাহিকভাবে,	
pluck,	প্লক,	প্ল্যাক,	
bhenisha,	ভেনিস,	ভেনিস,	
militarir,	মিলিটারীর,	মিলিটারির,	
baraak,	বারাক,	বারাক,	
mozdur,	মজদুর,	মজদুর,	
varotey,	ভারতে,	ভারতে,	
shombhobonao,	সম্ভবনা,	সম্ভবনাও,	
jolook,	জলুক,	জ্বলুক,	
codeguli,	কডিগুলি,	কোডগুলি,	
uuipoka,	উইপুকা,	উইপোকা,	
turkyder,	তুর্কীদের,	তুর্কিদের,	
bhenuser,	ভেনসের,	ভেনাসের,	
ameerika,	অ্যামেরিকা,	আমেরিকা,	
bohoodin,	বহুদিন,	বহুদিন,	
nandolal,	নন্দলাল,	নন্দলাল,	
dara,	ডারা,	দারা,	
joubanboti,	যৌবব্যটি,	যৌবনবতী,	
brindabaner,	বৃণ্দবানের,	বৃন্দাবনের,	
vaskor,	ভস্কর,	ভাস্কর,	
mukharji,	মুখার্জি,	মুখার্জী,	
keengdom,	কিংগোম,	কিংডম,	
phix,	ফিক্স,	ফিক্স,	
toler,	তোলের,	তালের,	
ramdhanu,	রাধানু,	রামধনু,	
inshtol,	ইন্সটল,	ইন্সটল,	
bedke,	বেডকে,	বেদকে,	
bhramankale,	ভ্রমণকালে,	ভ্রমণকালে,	
aasif,	আসিফ,	আসিফ,	
lagto,	লাগট,	লাগতো,	
koyeeri,	কয়েরি,	কোয়েরি,	
akkas,	একাশ,	আককাস,	
daayitto,	দাৈত্য,	দায়িত্ব,	
sayanaida,	সাযানাইদ,	সায়ানাইড,	
khelechen,	খেলেছেন,	খেলেছেন,	
bishshaasho,	বিশ্বাস,	বিশ্বাসও,	
sachetanbhabe,	সচ্চানভাবে,	সচেতনভাবে,	
opohoronn,	অপহরণ,	অপহরন,	
baharamapurer,	বহরামপুরের,	বহরমপুরের,	
samajeekotar,	সামাজিকতার,	সামাজিকতার,	
basturyi,	বস্তুরই,	বস্তুরই,	
maladoobha,	মালাডউভা,	মলদোভা,	
narsaari,	নার্সারী,	নার্সারি,	
pashaner,	পাশনের,	পাষাণের,	
neutrinoo,	নিউট্রিনো,	নিউট্রিনো,	
hastantar,	হস্তান্তর,	হস্তান্তর,	
caramiks,	কারামিক্স,	সিরামিকস,	
aziz,	আজিজ,	আজিজ,	
jeesh,	জিস,	জেস,	
gabeshonar,	গবেষণার,	গবেষনার,	
shikshakke,	শিক্ষাককে,	শিক্ষককে,	
udeechee,	উদিছি,	উদীচী,	
graambasir,	গ্রামবাসীর,	গ্রামবাসীর,	
prostototo,	প্রস্ততত,	প্রস্ত্তত,	
faridi,	ফরিদি,	ফরিদী,	
mookhomandoler,	মুখমন্ডলের,	মুখমণ্ডলের,	
firoj,	ফিরজ,	ফিরোজ,	
naabyota,	নাব্যতা,	নাব্যতা,	
sakar,	সককার,	সাকার,	
