aatto,	আত্ত্ব,	আত্ম,	
aksathei,	এক্ষতেই,	একসাথেই,	
prokolpow,	প্রকল্প,	প্রকল্পও,	
bhagerei,	ভাগেরেই,	ভাগেরই,	
somratra,	সম্পর্ত,	সম্রাটরা,	
aholya,	আহল্যা,	অহল্যা,	
temanti,	টেমনটি,	তেমনটি,	
siniyara,	সিনিয়ার,	সিনিয়র,	
aswasteekor,	অস্বস্তিকার,	অস্বস্তিকর,	
gemske,	গেমসকে,	জেমসকে,	
huqa,	হুক,	হুক,	
vejaano,	ভেজানো,	ভেজানো,	
nanir,	নানির,	নানীর,	
akmat,	একমাত,	একমত,	
anchaleo,	আঞ্চলেও,	অঞ্চলেও,	
mohiboor,	মহিভূর,	মহিবুর,	
sampadon,	সম্পাদন,	সম্পাদন,	
giitikobita,	গীতিকাবিত,	গীতিকবিতা,	
marier,	মররির,	ম্যারির,	
grambashi,	গ্রামবাসী,	গ্রামবাসী,	
manjushree,	ম্যানগুরি,	মঞ্জুশ্রী,	
vagno,	ভাগ্ন,	ভগ্ন,	
dhrubak,	ধ্রুবাক,	ধ্রুবক,	
jalrong,	জলর্ন,	জলরঙ,	
nischitrupe,	নিশ্চিপ্রে,	নিশ্চিতরূপে,	
mukhmondol,	মুখমন্ডল,	মুখমণ্ডল,	
aalkaatra,	আলাকা্রা,	আলকাতরা,	
anchalsaha,	অঞ্চাসহ,	অঞ্চলসহ,	
pyaleshtainer,	প্লাসেসনের,	প্যালেস্টাইনের,	
jocqey,	যক্ষে,	জকি,	
alpa,	আল্প,	অল্প,	
uposthit,	উপস্থিত,	উপস্থিত,	
sanbadmadhyamgulote,	সংবাদ্মভালেত,	সংবাদমাধ্যমগুলোতে,	
moshjidtike,	মস্যিদিতেকে,	মসজিদটিকে,	
sausage,	সাউসেগে,	সসেজ,	
crime,	ক্রিম,	ক্রাইম,	
conflict,	কনফ্লিক্ট,	কনফ্লিক্ট,	
resort,	রিসর্ট,	রিসোর্ট,	
shef,	শেফ,	শেফ,	
modeel,	মোদিল,	মডেল,	
saccer,	সক্্চের,	সকার,	
tinbhager,	তিনভাগের,	তিনভাগের,	
evil,	এভিল,	ইভিল,	
hondurus,	হন্দুরুস,	হন্ডুরাস,	
harisher,	হ্যারিসের,	হ্যারিসের,	
ovarview,	অভার্ভিয়,	ওভারভিউ,	
iispredsheet,	ইস্প্রেসীত,	স্প্রেডশীট,	
lecense,	লেসেন্স,	লাইসেন্স,	
aabarte,	আবার্তে,	আবর্তে,	
hostantor,	হস্তান্তর,	হস্তান্তর,	
showte,	শতত,	শোতে,	
gudamjat,	গুদম্যত,	গুদামজাত,	
sotorkota,	সর্তকতা,	সতর্কতা,	
lohar,	লোহার,	লোহার,	
sqalastiqa,	স্কলাস্তিক,	স্কলাস্টিক,	
tukrokey,	তুক্রকে,	টুকরোকে,	
phokskon,	ফক্ষণ,	ফক্সকন,	
gananatyo,	গণান্ত্,	গণনাট্য,	
jeesa,	জেস,	জেস,	
masters,	মাস্টার্স,	মাস্টার্স,	
chotto,	চত্ত,	ছোট্ট,	
pat,	পাত,	পেত,	
debate,	দেবতে,	ডিবেট,	
kada,	কাদা,	কোড,	
hiragana,	হিরাগণ,	হিরাগানা,	
aarcia,	আর্রিয়া,	আরসিএ,	
ateetkale,	অতীতকালে,	অতীতকালে,	
vogirath,	ভোগীরথ,	ভগীরথ,	
qyanela,	ক্যানেল,	ক্যানেল,	
bikretader,	বিক্রাতের,	বিক্রেতাদের,	
padarthabidder,	পদার্থবিদ্যের,	পদার্থবিদদের,	
natneekey,	নান্নিকে,	নাতনীকে,	
vaibonder,	ভাবন্দদের,	ভাইবোনদের,	
ssteit,	স্টেট,	স্টেইট,	
udvabani,	উদ্ভবনী,	উদ্ভাবনী,	
iviem,	ইভিম,	ইভিএম,	
shiramikasha,	শিরামিকাস,	সিরামিকস,	
oddure,	অদ্যুরে,	অদুরে,	
monohputo,	মনুপুত,	মনঃপুত,	
bagicha,	বাগেছ,	বাগিচা,	
shastra,	শাস্ত্র,	শাস্ত্র,	
plusey,	প্লসে,	প্লাসে,	
pharanyeta,	ফরন্যাত,	ফরম্যাট,	
bamona,	বামনা,	বামনা,	
seekkhakrom,	শিক্ষাক্রম,	শিক্ষাক্রম,	
bagda,	বাগ্ড,	বাগদা,	
prakare,	প্রকরা,	প্রকারে,	
ancient,	অং্সনেন্ট,	এনসিয়েন্ট,	
transformaarer,	ট্রান্সমোর্ের,	ট্রান্সফরমারের,	
masajida,	মাসজিদা,	মসজিদ,	
marmader,	মারমাদের,	মারমাদের,	
raunanganey,	রান্গাগে,	রণাঙ্গনে,	
kooshumba,	কুষুম্য,	কুশুম্বা,	
aarke,	আর্কে,	আরকে,	
bhangley,	ভাঙ্গে,	ভাঙলে,	
udbhabony,	উদ্ভবনী,	উদ্ভাবনী,	
upobaasher,	উপব্যাসের,	উপবাসের,	
ghenshei,	ঘেনসেই,	ঘেঁষেই,	
lombate,	লম্বাতে,	লম্বাটে,	
baaraakpur,	বারাকপুর,	বারাকপুর,	
licenshing,	লিসনেস,	লাইসেন্সিং,	
superheiro,	সুপারহার,	সুপারহিরো,	
batsman,	বা্্টম,	ব্যাটসম্যান,	
meterey,	মতেরে,	মিটারে,	
nagare,	নগরে,	নগরে,	
paner,	পানের,	পানের,	
dokangulotey,	দাকনগুলোতে,	দোকানগুলোতে,	
lajiker,	লাজিকের,	লজিকের,	
grambashee,	গ্রামবাসী,	গ্রামবাসী,	
aanis,	আনিশ,	আনিস,	
chalochchitragulor,	চলচ্চিত্রুচ্র,	চলচ্চিত্রগুলোর,	
nirvachoker,	নির্ভাচকের,	নির্বাচকের,	
samabeshti,	সমাাবেস্তে,	সমাবেশটি,	
ebham,	এভাম,	ইভিএম,	
karmake,	কর্মকে,	কর্মকে,	
sahojlabhbhotar,	সহযোগ্যাতের,	সহজলভ্যতার,	
jini,	জিনি,	যিনি,	
prakalpao,	প্রকল্প,	প্রকল্পও,	
asamarik,	আসামরিক,	অসামরিক,	
musalmanderke,	মুসলামদন্েরকে,	মুসলমানদেরকে,	
gheshe,	ঘেষে,	ঘেঁষে,	
harriser,	হ্যারিসের,	হ্যারিসের,	
sukhma,	সুখ্ম,	সুক্ষ্ম,	
deilee,	দেলি,	ডেইলি,	
purohitra,	পুরহিত্র,	পুরোহিতরা,	
chirokoomari,	চিরকমুরি,	চিরকুমারী,	
naazi,	নাজি,	নাত্সি,	
faskari,	ফসকারি,	ফাঁসকারী,	
kriita,	কৃত,	ক্রীট,	
torkarir,	তরকারীর,	তরকারীর,	
sthaponar,	স্থাপনার,	স্থাপনার,	
fising,	ফিসিং,	ফিসিং,	
kyathalika,	ক্যাথালিক,	ক্যাথলিক,	
hondooras,	হন্ডদরস,	হন্ডুরাস,	
governerer,	গভর্নরের,	গভর্ণরের,	
kormokandeo,	কর্মকণ্ডারে,	কর্মকাণ্ডেও,	
graambaseer,	গ্রামবাসীর,	গ্রামবাসীর,	
machti,	মাছতি,	মাছটি,	
euroo,	ইরোরও,	ইউরো,	
beetlaser,	বিটলসের,	বিটলসের,	
elaakasoho,	এলাকাশ,	এলাকাসহ,	
hole,	হলে,	হোল,	
fax,	ফ্যাক্স,	ফক্স,	
sylvi,	সিলভি,	সিলভি,	
corymb,	করিম,	করিম,	
strigon,	স্ত্রীগণ,	স্ত্রীগণ,	
omorendro,	অমরেন্দ্র,	অমরেন্দ্র,	
developer,	ডেভেলপের,	ডেভলপার,	
ketechhilo,	কেটেছিল,	কেটেছিল,	
bondhuvabaponyo,	বন্ধুক্যজন্ত,	বন্ধুভাবাপন্ন,	
graambashio,	গ্রাম্বিস,	গ্রামবাসীও,	
bhaskor,	ভাসকোর,	ভাস্কর,	
sthaponake,	স্থাপনকে,	স্থাপনাকে,	
manushgulor,	মানুষগুলোর,	মানুষগুলোর,	
falashruti,	ফলাসরোুী,	ফলশ্রুতি,	
mirakel,	মিরাকেল,	মিরাকেল,	
shaleha,	সালেহ,	সালেহা,	
chherechhe,	ছেরাছে,	ছেড়েছে,	
kale,	কালে,	কালে,	
ceema,	সেম,	সীমা,	
beeswas,	বিশবাস,	বিশ্বাস,	
gaddaphii,	গদদ্দলী,	গাদ্দাফী,	
cooling,	কোলিং,	কুলিং,	
gadha,	গাধ্ধ,	গাধা,	
abhidhaneec,	অভিধানিক,	অভিধানিক,	
changee,	চঙ্গি,	চেঞ্জ,	
shikkhakramer,	শিক্ষাক্রমের,	শিক্ষাক্রমের,	
shfingtar,	স্ফিনার,	স্ফিংটার,	
jyaqasana,	জ্কাসানা,	জ্যাকসন,	
temonvabe,	তেমনভাবে,	তেমনভাবে,	
bishasey,	বিশাবে,	বিশ্বাসে,	
uporitole,	উপরিতলে,	উপরিতলে,	
ashammatite,	আসমামততে,	অসম্মতি,	
shikshakromer,	শিক্ষাক্রমের,	শিক্ষাক্রমের,	
chorchita,	চর্চিত,	চর্চিত,	
cinematographar,	সিনেমাপ্রসেসর,	সিনেমাটোগ্রাফার,	
nothibhookto,	নথিকভূত,	নথিভুক্ত,	
karmakarke,	কর্মকারকে,	কর্মকারকে,	
gejetade,	গেজেটাদে,	গেজেটেড,	
byanger,	ব্যাংগের,	ব্যাঙের,	
eshiyatika,	এশিয়েটিক,	এশিয়াটিক,	
bhaskar,	ভাসকর,	ভাস্কর,	
kul,	কুল,	কুল,	
chaalta,	চাল্তা,	চালতা,	
siddhantoke,	সিদ্ধানততকে,	সিদ্ধান্তকে,	
jarusalem,	জার্সালেম,	জেরুসালেম,	
niuroolaji,	নিউরোগাই,	নিউরোলজি,	
foksher,	ফক্ষের,	ফক্সের,	
onnoroop,	অন্যরূপ,	অন্যরূপ,	
ganoporibahoner,	গণপরিনারীর,	গণপরিবহনের,	
sonaktokaraner,	সনাক্তকারের,	সনাক্তকরণের,	
ever,	এভার,	এভার,	
duplex,	ডাপ্লেক্স,	ডুপ্লে,	
nirbaahe,	নির্বাহে,	নির্বাহে,	
chalochchitrer,	চলচ্ত্রের,	চলচ্চিত্রের,	
pudding,	পুদ্ডিং,	পুডিং,	
shoo,	শু,	শো,	
sanaktakaroner,	সনাক্তরণের,	সনাক্তকরণের,	
beeru,	বিরু,	বীরু,	
chiroharit,	চিরাহরিত,	চিরহরিৎ,	
tigar,	টিগ্র,	টাইগার,	
joonsa,	জনস,	জোন্স,	
onucheeder,	অনুচিদের,	অনুচ্ছেদের,	
haphej,	হাফেজ,	হাফেয,	
uddhrita,	উদ্ধৃত,	উদ্ধৃত,	
chalochchitroke,	চলচ্চিত্রকে,	চলচ্চিত্রকে,	
shakara,	শাকারা,	সাকার,	
pannee,	পন্যি,	পন্নী,	
daqop,	ডাকপ,	দাকোপ,	
silvee,	সিলভে,	সিলভি,	
ralafa,	রোলফ,	রালফ,	
koyari,	কোয়ারি,	কোয়েরি,	
jansa,	জনস,	জোন্স,	
suporichiti,	সুপারিকিত,	সুপরিচিতি,	
ummool,	উম্মুল,	উম্মুল,	
up,	উপপ,	আপ,	
huqar,	হুকার,	হুকার,	
musalmanra,	মুসলামন্র,	মুসলমানরা,	
daakticket,	ডাক্তিকেট,	ডাকটিকিট,	
gulen,	গুলেন,	গুলেন,	
joluk,	জলুক,	জ্বলুক,	
beshirbhagei,	বেশীরভাগই,	বেশিরভাগেই,	
carzar,	কার্জার,	চার্জার,	
santaa,	সান্তা,	সান্তা,	
shkarta,	স্ক্রাট,	স্কার্ট,	
abhidhanic,	আভিধানিক,	অভিধানিক,	
prokar,	প্রকর,	প্রকার,	
sikhar,	শিখার,	শিকার,	
durgo,	দূর্গ,	দুর্গ,	
hertz,	হার্ট,	হার্জ,	
sangharshik,	সংঘর্ষিক,	সাংঘর্ষিক,	
modeeling,	ম্যাডিলিং,	মডেলিং,	
timoothi,	টিম্যুী,	টিমোথি,	
puncho,	পাঞ্চ,	পুঞ্চ,	
swostir,	স্বস্তির,	স্বস্তির,	
hul,	হুল,	হুল,	
tenisha,	টেনিস,	টেনিস,	
akkash,	এককাশ,	আককাস,	
proteemake,	প্রতিমাকে,	প্রতিমাকে,	
komandar,	কমান্ডার,	কমাণ্ডার,	
istara,	ইস্টার,	ইস্টার,	
bishnooke,	বিশ্বুকে,	বিষ্ণুকে,	
khudey,	খুদে,	ক্ষুদে,	
byatikromdhormi,	ব্যাতিক্্মধ্্ী,	ব্যতিক্রমধর্মী,	
sayid,	সাইড,	সাইদ,	
gajano,	গাজন,	গজানো,	
seniar,	সেনিয়ার,	সিনিয়র,	
siramikasa,	সিরামিকা,	সিরামিকস,	
akten,	আঁকতেন,	অকটেন,	
sanghorsheek,	সংঘর্ষিক,	সাংঘর্ষিক,	
isan,	আশান,	ঈশান,	
mesenjjarer,	মেসেঞ্জারের,	মেসেঞ্জারের,	
noitikatar,	নৈতিকাটার,	নৈতিকতার,	
information,	ইনফর্মেশন,	ইনফরমেশন,	
shikshakder,	শিক্ষাকদের,	শিক্ষকদের,	
paakshenara,	পাকসেনার,	পাকসেনারা,	
hillse,	হিল্ে,	হিলসে,	
shangsthatikey,	সংস্থাটিকে,	সংস্থাটিকে,	
phiqsim,	ফিক্সিং,	ফিক্সিং,	
gronthoty,	গ্রন্থটি,	গ্রন্থটি,	
bechaa,	বেছা,	বেচা,	
surkarder,	সুরকারদের,	সুরকারদের,	
dai,	দাই,	ডে,	
modeling,	ম্যাডেল্ং,	মডেলিং,	
papri,	পার্মি,	পাপরি,	
nirgomon,	নির্গমমন,	নির্গমন,	
pactar,	পাঁচটার,	পাঁচটার,	
venna,	ভেন্ন,	ভেন্না,	
debaag,	দেবাগ,	ডিবাগ,	
bhangey,	ভাঙ্গে,	ভাঙ্গে,	
paab,	পাব,	পাব,	
ancieent,	অংকেন্ট,	এনসিয়েন্ট,	
nyaper,	ম্যাপের,	ন্যাপের,	
jealand,	জেল্যান্ড,	জিল্যান্ড,	
dhonyi,	ধনি,	ধন্যি,	
maktum,	মক্তম,	মাকতুম,	
tirmizi,	তিরমিযী,	তিরমিজি,	
monu,	মনু,	মনু,	
scholastic,	স্কলাস্টিক,	স্কলাস্টিক,	
vabanipur,	ভবানীপুর,	ভবানীপুর,	
satthikata,	সাত্তিকা,	সঠিকতা,	
chalachchitrei,	চলচ্চিত্রে,	চলচ্চিত্রেই,	
debug,	দেবগগ,	ডিবাগ,	
jons,	জনস,	জোন্স,	
pleta,	প্লট,	প্লেট,	
bosante,	বসান্তে,	বসন্তে,	
soorsa,	সোর্স,	সোর্স,	
simaa,	সীমা,	সীমা,	
arasie,	আরসসই,	আরসিএ,	
cholochchitroke,	চলচ্চিত্রকে,	চলচ্চিত্রকে,	
nabom,	নবম,	নবম,	
mitrota,	মিত্রততা,	মিত্রতা,	
mukhabandho,	মুখবন্ধ্ব,	মুখবন্ধ,	
ingrejeeteo,	ইংরেজিতে,	ইংরেজিতেও,	
ballabh,	বলল্ব,	বল্লভ,	
qor,	কোর,	কর,	
relance,	রেলনযান্স,	রিলায়েন্স,	
artilery,	অর্টিলারি,	আর্টিলারি,	
aalkatra,	আলাকত্রা,	আলকাতরা,	
shotodha,	শতোধ,	শতধা,	
hajarti,	হজরতি,	হাজারটি,	
sikarer,	শিকারের,	শিকারের,	
nodnodeer,	নদন্দির,	নদনদীর,	
uthane,	উঠানে,	উঠানে,	
summi,	সাম্মি,	সুমি,	
aedipus,	এডিপুস,	ইডিপাস,	
saphalyar,	সাফলাযার,	সাফল্যের,	
maadhoobir,	মাধবীর,	মাধবীর,	
reno,	রেন,	রেনো,	
geejeeteeda,	জেজেটেড,	গেজেটেড,	
machhe,	মছছে,	মাছে,	
dhache,	ঢাছে,	ধাঁচে,	
jamaanor,	জামানর,	জমানোর,	
abodamoner,	অবদানের,	অবদমনের,	
firojer,	ফিরজের,	ফিরোজের,	
horeedwar,	হরিদদ্র,	হরিদ্বার,	
reliance,	রেলিয়েন্স,	রিলায়েন্স,	
krema,	ক্রেম,	ক্রাইম,	
atitkaale,	অতীতকালে,	অতীতকালে,	
garjon,	গর্জন,	গর্জন,	
uthe,	উঠে,	উঠে,	
dana,	ডানা,	ডায়না,	
ibhaner,	ইভানের,	ইভানের,	
ranadip,	রানাদিপ,	রণদীপ,	
amoor,	অমুর,	আমর,	
darjeeling,	ডর্জেলীং,	দার্জিলিং,	
ghatity,	ঘটিতি,	ঘাঁটিটি,	
kalkarkhana,	কল্কর্খা,	কলকারখানা,	
masjidke,	মস্গিদকে,	মসজিদকে,	
saabbir,	সাব্যির,	সাব্বির,	
mutar,	মুটর,	মুতার,	
charger,	চার্গের,	চার্জার,	
superheiroo,	সুপারহাপ,	সুপারহিরো,	
phirtee,	ফির্তি,	ফিরতি,	
arthat,	অর্থাত,	অর্থাৎ,	
ruble,	রুবেল,	রুবল,	
ispreedshiit,	ইস্প্রেশী,	স্প্রেডশীট,	
khude,	খুদে,	ক্ষুদে,	
bonoshri,	বনসোর্,	বনশ্রী,	
konorup,	কননুর,	কোনরূপ,	
matorom,	মতোরম,	মাতরম,	
sahokari,	সহকারি,	সহকারী,	
sofyr,	সফির,	সোফির,	
kando,	কান্ড,	কাণ্ড,	
par,	পার,	পাব,	
digrio,	ডিগ্রীও,	ডিগ্রিও,	
mukhamandaley,	মুখমন্ডলে,	মুখমণ্ডলে,	
chani,	চানী,	ছানি,	
fol,	ফল,	ফল,	
taurat,	তারাট,	তওরাত,	
sures,	সুরেস,	সুরেশ,	
nathivukta,	নথিযুক্ত,	নথিভুক্ত,	
futbolarder,	ফুট্রালারের,	ফুটবলারদের,	
deubande,	ডিউবন্দে,	দেওবন্দে,	
durgotir,	দুর্গতির,	দুর্গটির,	
motamoto,	মোটামাত,	মতামতও,	
petrol,	পেত্রল,	পেট্রোল,	
venishh,	ভেনিস,	ভেনিস,	
myathious,	ম্যাথিউস,	ম্যাথিউস,	
mukhomandoley,	মুখমন্ডলে,	মুখমণ্ডলে,	
mumtaz,	মমতাজ,	মুমতাজ,	
sachetonbhabe,	সচেতত্যভাবে,	সচেতনভাবে,	
zeebonto,	জীবন্ত,	জীবন্ত,	
hepatetisa,	হ্যাপটটেস,	হেপাটাইটিস,	
protishtan,	প্রতিষ্ঠান,	প্রতিষ্টান,	
moreecha,	মরেছা,	মরিচা,	
degree,	ডিগ্রী,	ডিগ্রি,	
sayanaida,	সায়ানড,	সায়ানাইড,	
liceensing,	লিকেন্সিং,	লাইসেন্সিং,	
jammu,	জাম্ম,	জম্মু,	
byabaharkarike,	ব্যবহারকারিকে,	ব্যবহারকারীকে,	
jarul,	জারল,	জারুল,	
nottee,	নট্বি,	নোটটি,	
prapokke,	প্রাপক্ষে,	প্রাপককে,	
shommotite,	সম্মতিতে,	সম্মতিতে,	
lobbyte,	লব্বিতে,	লবিতে,	
kuery,	কুয়ির,	কোয়েরি,	
sumeetrar,	সুমাত্তার,	সুমিত্রার,	
damanmulok,	দামন্ুলক,	দমনমূলক,	
jahara,	জাহরা,	যাহরা,	
dharabahiktir,	ধারাবাত্তির,	ধারাবাহিকটির,	
charjara,	চার্যার,	চার্জার,	
leadar,	লেডার,	লিডার,	
mekon,	মেকনন,	মেকং,	
ul,	উল,	উল,	
jaubanbati,	যৌবনব্তী,	যৌবনবতী,	
manikyo,	মাণিক্য,	মানিক্য,	
sathikota,	সাথিকাা,	সঠিকতা,	
seatey,	সিতে,	সিটে,	
shrishree,	শ্রীশরি,	শ্রীশ্রী,	
farmat,	ফরম্টা,	ফরম্যাট,	
hebhee,	হেভি,	হেভি,	
vdp,	ভাডিপি,	ভিডিপি,	
thanvee,	থাঁ্গি,	থানভী,	
rubio,	রুবিও,	রুবিও,	
akram,	একরাম,	আকরাম,	
sakara,	সাকার,	সকার,	
udbhaban,	উদ্ভববন,	উদ্ভাবন,	
proteesthar,	প্রতিষ্ঠার,	প্রতিষ্ঠার,	
maudelti,	মজ্ডেটটি,	মডেলটি,	
romantiqa,	রোম্যান্তিক,	রোমান্টিক,	
ingrezraa,	ইংরেজ্রা,	ইংরেজরা,	
raitasha,	রাইটা,	রাইটস,	
kodguli,	কদগুলি,	কোডগুলি,	
siter,	সীতের,	সিটের,	
zansa,	জানস,	জন্স,	
shikkhakbrindo,	শিক্ষাবৃর্ণ,	শিক্ষকবৃন্দ,	
taaler,	তালের,	তালের,	
chhutite,	ছুটিতে,	ছুটিতে,	
kokeyin,	কোকেইন,	কোকেইন,	
mitrer,	মিত্রের,	মিত্রের,	
kortonaa,	কর্তন,	করতনা,	
heart,	হের্ট,	হার্ট,	
mozdur,	মজ্ডুর,	মজদুর,	
totokshon,	ততক্ষণ,	ততক্ষন,	
eekbaler,	এক্ালের,	ইকবালের,	
haj,	হজজ,	হয,	
shithilota,	সীথিলত,	শিথিলতা,	
firoz,	ফিরোজ,	ফিরোজ,	
ahang,	আহং,	অহং,	
caaling,	কলিন্স,	কুলিং,	
musalmankey,	মুসলামনকে,	মুসলমানকে,	
bishwashke,	বিশ্বাসকে,	বিশ্বাসকে,	
ashok,	অশোক,	আশোক,	
bonvumite,	বঙ্গুিতে,	বনভূমিতে,	
definitian,	ডেফিনিশন,	ডেফিনেশন,	
plate,	প্লটে,	প্লেটে,	
naarsaari,	নার্সারী,	নার্সারি,	
chorbon,	চর্বন,	চর্বন,	
hosain,	হোসাইন,	হোসেইন,	
phake,	ফকে,	ফাকে,	
nodike,	নদীকে,	নদীকে,	
addhatikotar,	অধ্যাতিকার,	আধ্যাত্মিকতার,	
monohorpur,	মনোহরূপর,	মনোহরপুর,	
ileeing,	এলেনিং,	ইলিং,	
ivam,	ইভাম,	ইভিএম,	
granthei,	গ্রন্থেই,	গ্রন্থেই,	
sabaner,	সবনের,	সাবানের,	
shuknaa,	শুকনা,	শুকনা,	
chalochchitraeei,	চলচ্ত্রিত্,	চলচ্চিত্রেই,	
ajijer,	আজিজের,	আজিজের,	
ruby,	রুবি,	রুবী,	
tochnoch,	তচ্চচ,	তছনছ,	
huk,	হাক,	হুক,	
cholocchitrer,	চলচিত্রের,	চলচ্চিত্রের,	
bojhe,	বোঝে,	বোঝে,	
byepass,	ব্যাপস,	বাইপাস,	
brail,	ব্রেইল,	ব্রেইল,	
bhangchoor,	ভাঙচুর,	ভাংচুর,	
meeting,	মেটিং,	মিটিং,	
torkaryr,	তরকারীর,	তরকারীর,	
armstranj,	আর্ক্্র্্টাং,	আর্মস্ট্রং,	
kortaam,	কর্তম,	করতাম,	
easter,	ইস্টের,	ইস্টের,	
natnikey,	নাটননিকে,	নাতনীকে,	
skarta,	স্কর্ট,	স্কার্ট,	
tirmiji,	তিরমিযী,	তিরমিজি,	
laboni,	লাবণী,	লাবনী,	
oncoleo,	অঞ্কলেও,	অঞ্চলেও,	
bhotara,	ভোতারা,	ভোটার,	
sita,	সীতা,	সিট,	
astikota,	অস্তিকতা,	আস্তিকতা,	
aansaareer,	আনসারির,	আনসারীর,	
taalgaachh,	তালগাছ,	তালগাছ,	
koommatei,	কুম্তাই,	কমাতেই,	
mmehonoti,	মেহনাতি,	মেহনতি,	
bakhyateet,	বাযাখ্যাটি,	ব্যাখ্যাতীত,	
goori,	গুরি,	গোরি,	
schedule,	স্কোদেলু,	শিডিউল,	
ancholtitey,	অঞ্চলতিতে,	অঞ্চলটিতে,	
dharagulo,	ধারাগুলো,	ধারাগুলো,	
utkhat,	উৎক্ষত,	উত্খাত,	
chaakaa,	চাকা,	চাকা,	
parichchhannata,	পরিচালনন্ত,	পরিচ্ছন্নতা,	
armstrong,	আর্ক্্র্র,	আর্মস্ট্রং,	
bisshasyi,	বিশ্বসাী,	বিশ্বাসই,	
pradeep,	প্রদের,	প্রদীপ,	
vishnuu,	বিষ্ণু,	বিষ্ণু,	
kash,	কাশ,	কাস,	
oholla,	অহললা,	অহল্যা,	
purple,	পার্পল,	পার্পেল,	
bager,	বাগের,	বাগের,	
charbon,	চার্বন,	চর্বন,	
uindoos,	উইন্ডোজ,	উইন্ডোস,	
samanwitavabe,	সমানবিযাাভে,	সমন্বিতভাবে,	
conservetion,	কনসারভেশন,	কনসারভেশন,	
eucalyptush,	ইউক্যালিপটাস,	ইউক্যালিপ্টাস,	
bites,	বিটেশ,	বাইটস,	
teemothy,	টেমোথি,	টিমোথি,	
phareksa,	ফরেক্স,	ফরেক্স,	
aansareer,	আনসারির,	আনসারীর,	
turkmeen,	তুর্কমিন,	তুর্কমেন,	
inashtyanta,	ইনস্টান্ত,	ইনস্ট্যান্ট,	
poshte,	পোষ্ট,	পোষ্টে,	
monzhoshtho,	মন্যস্থ,	মঞ্চস্থ,	
moushumeo,	মৌসূমেও,	মৌসুমেও,	
dakshinangsha,	দক্ষিণাংশ,	দক্ষিণাংশ,	
nirbachaker,	নির্বাচকের,	নির্বাচকের,	
mitro,	মিত্রো,	মিত্র,	
titlee,	টিটলে,	টাইটেল,	
harz,	হার্জ,	হার্জ,	
deambakriti,	ডেম্বরকৃতি,	ডিম্বাকৃতি,	
sainyara,	সৈন্যার,	সৈন্যরা,	
agovir,	অগোভির,	অগভীর,	
informeshon,	ইনফর্মেশন,	ইনফরমেশন,	
jomjomat,	জম্মমত,	জমজমাট,	
bronzer,	ব্রঞ্জের,	ব্রোঞ্জের,	
daakteekite,	ডাক্তিকেতে,	ডাকটিকিটে,	
dhikrito,	ধিকৃত,	ধিকৃত,	
faj,	ফাজ,	ফাজ,	
akkaas,	একাাস,	আককাস,	
anekeri,	অনেক্রী,	অনেকেরই,	
bifol,	বিফল,	বিফল,	
bosontoke,	বসন্তকে,	বসন্তকে,	
kanuner,	কানুনের,	কানুনের,	
taresa,	তোরেস,	টেরেসা,	
gronther,	গ্রন্থের,	গ্রন্থের,	
upobashii,	উপব্ষী,	উপবাসী,	
kleentoner,	ক্লিন্টনের,	ক্লিনটনের,	
arbit,	আরবিত,	অরবিট,	
turkyder,	তুর্কীদের,	তুর্কিদের,	
timesh,	টাইমস,	টাইমস্,	
jibnagore,	জীন্নাগরে,	জীবননগর,	
shithilatar,	সিথিলতার,	শিথিলতার,	
ohollar,	অহললার,	অহল্যার,	
bonovumi,	বনযভূমি,	বনভূমি,	
bhaandaar,	ভান্ডার,	ভাণ্ডার,	
konoroop,	কনরূর,	কোনরূপ,	
bisnuu,	বিষ্ণু,	বিষ্ণু,	
jhalokatthi,	ঝালকাঠি,	ঝালকাঠী,	
jemy,	জেমি,	জেমি,	
toufik,	তৌফিক,	তৌফিক,	
candy,	ক্যান্ডি,	ক্যান্ডি,	
nathibhuktir,	নথিকভূতির,	নথিভুক্তির,	
hosney,	হোস্নে,	হোসনে,	
bodh,	বধ,	বোধ,	
baasake,	বাসাকে,	বাসাকে,	
bolechile,	বলেছিলে,	বলেছিলে,	
ramzaner,	রমজানের,	রমযানের,	
gutano,	গুটন,	গুটানো,	
sahosikotaar,	সহশিকততার,	সাহসিকতার,	
metrapalitan,	মেট্রোপলিয়ান,	মেট্রোপলিটন,	
transform,	ট্রান্সম্র্ম,	ট্রান্সফর্ম,	
gandhio,	গান্ধিয়া,	গান্ধীও,	
gabeshana,	গবেষণা,	গবেষনা,	
soinyora,	সৈন্যার,	সৈন্যরা,	
matthews,	ম্যাথে,	ম্যাথিউস,	
pachbar,	পাঁচার,	পাঁচবার,	
rifleks,	রাইফেক্স,	রিফ্লেক্স,	
matthew,	মাঠেও,	ম্যাথিউ,	
gandho,	গণ্ধ,	গন্ধ,	
karmasansthaner,	কর্মস্যসনেত্রের,	কর্মসংস্থানের,	
angshogrohon,	অংশগ্রহণ,	অংশগ্রহন,	
russad,	রাশাাদ,	রুশদ,	
saarbhaare,	সার্ভারে,	সার্ভারে,	
ghomtaa,	ঘম্টা,	ঘোমটা,	
elakayi,	এলাকাই,	এলাকাই,	
aparagata,	অপরাগত,	অপারগতা,	
jeellul,	জিল্লুল,	জিল্লুল,	
