nesnos,	নেন্নস,	নেশনস,	
siter,	সীতের,	সিটের,	
prabhur,	প্রভূর,	প্রভুর,	
mookhomaundoler,	মুখমন্ডলের,	মুখমণ্ডলের,	
baire,	বেয়ে,	বাইরে,	
soranor,	সরানোর,	সরানোর,	
shaahoshikataar,	সাহসিকতার,	সাহসিকতার,	
faaser,	ফাঁসের,	ফাঁসের,	
answereer,	আনসারীর,	আনসারীর,	
vasturyi,	বাস্তুরি,	বস্তুরই,	
vitti,	ভিতি,	ভিত্তিই,	
horidbare,	হরিদবারে,	হরিদ্বারে,	
agomoner,	আগমমনের,	আগমনের,	
rokshonbhag,	রক্ষণভাগ,	রক্ষণভাগ,	
dhojobhongo,	ধভভঙ্গ,	ধ্বজভঙ্গ,	
township,	তিউনশীপ,	টাউনশিপ,	
tistar,	তিস্তার,	তিস্তার,	
sachetanatamulak,	সচেকেতনামূলক,	সচেতনতামূলক,	
madhyastho,	মধ্যস্থ,	মধ্যস্থ,	
protijogider,	প্রতিযোগিদের,	প্রতিযোগীদের,	
eder,	এডের,	এদের,	
sectore,	সেক্টরে,	সেক্টরে,	
kaanaai,	কানাই,	কানাই,	
musharraf,	মুশাররফ,	মশাররফ,	
floodlighter,	ফ্লুডফিটের,	ফ্লাডলাইটের,	
gajipur,	গাজীপুর,	গাজিপুর,	
treend,	ট্রেন্ড,	ট্রেন্ড,	
provu,	প্রভূ,	প্রভু,	
apocheshta,	অপচেষ্ট,	অপচেষ্টা,	
benish,	বেনিশ,	ভেনিস,	
bishhnu,	বিষ্ণু,	বিষ্ণু,	
abosane,	অবসানে,	অবসানে,	
udichi,	উদিচি,	উদীচী,	
rajbandir,	রাজবন্দীর,	রাজবন্দীর,	
associatees,	অ্যাসোসিটেশ,	এসোসিয়েটস,	
skolarsip,	স্কলারশিপ,	স্কলারশিপ,	
asovyo,	অসভ্য,	অসভ্য,	
grambaaseeder,	গ্রমবাসীদের,	গ্রামবাসীদের,	
chetona,	চেতনা,	চেতনা,	
dholeshori,	ধলেসরী,	ধলেশ্বরী,	
avinetar,	অভিনেতর,	অভিনেতার,	
sossa,	সোসা,	শশা,	
porinoti,	পরিনতি,	পরিণতি,	
narikei,	নারীকেই,	নারীকেই,	
sipa,	শিপ,	শিপ,	
noiteekvabe,	নৈতিকভাবে,	নৈতিকভাবে,	
municipal,	মুনিজিকাল,	মিউনিসিপ্যাল,	
shasankarta,	শাসনকর্তা,	শাসনকর্তা,	
haphsa,	হাফসা,	হাফসা,	
nojder,	নজদের,	নজদের,	
teestaar,	তেস্টার,	তিস্তার,	
olongkoron,	অলংকরণ,	অলঙ্করণ,	
postake,	পোস্তকে,	পোস্টকে,	
lokhindorer,	লোখিন্দরের,	লখিন্দরের,	
ashachetan,	অসাচেতন,	অসচেতন,	
karima,	কেরিমা,	করিম,	
kampito,	কম্পিত,	কম্পিত,	
jaanalo,	জানালো,	জানালো,	
jeevjontu,	জীভযন্ত,	জীবজন্তু,	
ashociatesh,	অস্যাকিটেশ,	এসোসিয়েটস,	
chargar,	চারগার,	চার্জার,	
onekerie,	অনেকারি,	অনেকেরই,	
bizito,	বিজিত,	বিজিত,	
drissogulo,	দৃশ্যগুলো,	দৃশ্যগুলো,	
transcom,	ট্রান্সকম,	ট্রান্সকম,	
aansarir,	আনসারির,	আনসারীর,	
pleena,	প্লেন,	প্লেন,	
elakasoho,	এলাকসহহ,	এলাকাসহ,	
ting,	টিং,	টিং,	
deefinishion,	ডেফিনিশন,	ডেফিনেশন,	
bangobandhu,	বঙ্গবন্ধু,	বঙ্গবন্ধু,	
ranodeep,	রন্দীপ,	রণদীপ,	
abikaul,	আবিকাল,	অবিকল,	
conserwation,	কনজার্জেশন,	কনসারভেশন,	
nirmolotaa,	নির্মলতা,	নির্মলতা,	
nirbaahi,	নির্বাহী,	নির্বাহি,	
bbosonte,	বসন্তে,	বসন্তে,	
jatak,	যতক,	জাতক,	
tiunar,	টিউনার,	টিউনার,	
laisensim,	লেইসেন্সিং,	লাইসেন্সিং,	
saaeda,	সাইড,	সাইদা,	
shoochonakal,	শূচনাকাল,	সূচনাকাল,	
shaarok,	শ্যারক,	স্মারক,	
karlasa,	কার্লস,	কার্লোস,	
teresha,	তেরেসা,	টেরেসা,	
akkaas,	এককাস,	আককাস,	
resort,	রিসর্ট,	রিসোর্ট,	
footballerra,	ফুটবলেরা,	ফুটবলাররা,	
soochonakal,	সূচনাকাল,	সূচনাকাল,	
mandando,	মানদন্ড,	মানদণ্ড,	
saazano,	সাজানো,	সাজানো,	
bohorompurer,	বহরমপুরের,	বহরমপুরের,	
ponchasjon,	পঞ্চাশন,	পঞ্চাশজন,	
gunje,	গুঞ্জে,	গুঁজে,	
farmat,	ফরমাট,	ফরম্যাট,	
nabotom,	নবতম,	নবতম,	
pouch,	পাঁচ,	পাউচ,	
ganohatyar,	গাণহাত্যার,	গণহত্যার,	
deliwer,	ডিলিভার,	ডেলিভার,	
varote,	ভারতে,	ভারতে,	
niro,	নিরো,	নির,	
samannoi,	সমান্যই,	সামান্যই,	
soundorjyo,	সৌন্দর্য,	সৌর্ন্দয্য,	
sahojlabhbhotar,	সহজ্যভলত্রতা,	সহজলভ্যতার,	
twakei,	ত্বকেই,	ত্বকেই,	
drishyotir,	দৃষ্যটির,	দৃশ্যটির,	
abheedhaner,	অভিধানের,	অভিধানের,	
babilon,	বেবিলন,	ব্যাবিলন,	
pathanirdeshana,	পথিরনিদ্শন,	পথনির্দেশনা,	
seniar,	সেনিয়ার,	সিনিয়র,	
abhigomon,	অভিগোমন,	অভিগমন,	
bodqa,	বোক্াা,	ভদকা,	
kaash,	কাশ,	কাস,	
hazat,	হজত,	হজত,	
oichchhik,	ঐচ্ছিক,	ঐচ্ছিক,	
bharadwaj,	ভারদ্বাজ,	ভরদ্বাজ,	
hoomasa,	হোমাস,	হোমস,	
adhyattik,	আধ্যাত্বিক,	আধ্যাত্মিক,	
rakhtokkharoner,	রক্ষতক্ষণের,	রক্তক্ষরণের,	
bishwashi,	বিশ্বাসী,	বিশ্বাসী,	
arifin,	আরিফিন,	আরিফিন,	
tali,	টালি,	তালি,	
juktarashtrasaha,	যুক্তরাস্টসহর,	যুক্তরাষ্ট্রসহ,	
ogovir,	অগভীর,	অগভীর,	
nagarikera,	নাগরিকেরা,	নাগরিকেরা,	
turqmen,	তার্কমেন,	তুর্কমেন,	
abdoor,	আবদুর,	আবদুর,	
platoo,	প্লাটো,	প্লেটো,	
horidwar,	হরিদ্বর,	হরিদ্বার,	
toroni,	তরণী,	তরণী,	
farn,	ফার্ন,	ফার্ন,	
sahajlabhbhotar,	সহজযলভ্বতার,	সহজলভ্যতার,	
teemplatee,	টেম্ললেট,	টেম্পলেট,	
karadander,	কারাদানদের,	কারাদণ্ডের,	
byakhyatito,	ব্যাখ্যাতি,	ব্যাখ্যাতীত,	
governerer,	গভর্নরের,	গভর্ণরের,	
karadondo,	কারাদন্ড,	কারাদণ্ড,	
gonona,	গননা,	গননা,	
tarokareer,	তারকারীর,	তরকারীর,	
oitijhye,	ঐতিহ্যে,	ঐতিহ্যে,	
grambaashi,	গ্রমবাসী,	গ্রামবাসী,	
chat,	চাট,	চ্যাট,	
aastikota,	আস্তিকতা,	আস্তিকতা,	
artilery,	আর্টিলারি,	আর্টিলারি,	
sosej,	সসেজ,	সসেজ,	
mondopey,	মন্ডপে,	মন্ডপে,	
footbalarra,	ফুটবলররা,	ফুটবলাররা,	
padarthabidder,	পদার্থবিদের,	পদার্থবিদদের,	
osoborno,	অসবর্ন,	অসবর্ণ,	
kata,	কাটা,	কোটা,	
munshi,	মুনশি,	মুন্সী,	
dhikrita,	ধিকৃত,	ধিকৃত,	
gronthotyke,	গ্রন্থটিকে,	গ্রন্থটিকে,	
tikta,	টিকটা,	তিক্ত,	
recondition,	রেকন্ডিশন,	রিকন্ডিশন,	
megher,	মেঘের,	মেঘের,	
nongra,	নংগ্রা,	নোংরা,	
noiteekotar,	নৈতিকতার,	নৈতিকতার,	
kobootorer,	কবুতরের,	কবুতরের,	
asabhya,	অসভ্য,	অসভ্য,	
billah,	বিল্লাহ,	বিল্লাহ,	
elaaka,	ইলাকা,	এলাকা,	
pooloo,	পুলু,	পোলো,	
palestiner,	পেলেস্তিনের,	প্যালেস্টাইনের,	
chaudhurider,	চৌদুরিদের,	চৌধুরীদের,	
sahocorrzo,	সহকোর্য,	সাহচর্য,	
reesideencee,	রেসিডেন্স,	রেসিডেন্স,	
uporital,	উপরেতাল,	উপরিতল,	
jawhar,	জওহর,	জহর,	
mosjidsoho,	মজিজদদহহ,	মসজিদসহ,	
ganona,	গাননা,	গননা,	
admiral,	অ্যাডমিরাল,	এডমিরাল,	
shuknaa,	শুকনা,	শুকনা,	
teenage,	টেনেগ,	টিনেজ,	
dharabahiktite,	ধারবাহিক্তে,	ধারাবাহিকটিতে,	
bonyopran,	বন্যপ্রাণ,	বন্যপ্রাণ,	
hijritey,	হিজরিতে,	হিজরীতে,	
pravritir,	প্রভৃতির,	প্রভৃতির,	
rajon,	রজন,	রাজন,	
faranyata,	ফারান্যতা,	ফরম্যাট,	
jaatte,	জাততে,	জাতটি,	
suity,	সুইটি,	সুইটি,	
fake,	ফাঁক,	ফাকে,	
fridom,	ফ্রিডম,	ফ্রীডম,	
laagche,	লাগছে,	লাগছে,	
hurricane,	হারিকেন,	হ্যারিকেন,	
dormitory,	ডরমেটরি,	ডরমিটরি,	
ceramiks,	কারামিক্স,	সিরামিকস,	
dang,	ডাং,	ডং,	
roktokhoron,	রক্তকরণ,	রক্তক্ষরণের,	
jyotsna,	জ্যোতসন,	জ্যোৎস্না,	
nikate,	নিকটে,	নিকটে,	
upobaser,	উপবাসের,	উপবাসের,	
bishwash,	বিশ্বাস,	বিশ্বাস,	
silabhara,	সিলভারা,	সিলভার,	
bosontokke,	বসন্তককে,	বসন্তকে,	
geja,	গেজ,	গেজ,	
madla,	মদলা,	মাদলা,	
olpoi,	অল্পই,	অল্পই,	
masters,	মাস্টার্স,	মাস্টার্স,	
proteestha,	প্রতিষ্ঠা,	প্রতিষ্টা,	
monjile,	মঞ্জিলে,	মঞ্জিলে,	
neurology,	নিউরোলজি,	নিউরোলজি,	
parichchhannata,	পরিচ্ছনন্তা,	পরিচ্ছন্নতা,	
provritir,	প্রভৃতির,	প্রভৃতির,	
mookhomandoley,	মুখমন্ডলে,	মুখমণ্ডলে,	
anchalgulote,	আঞ্চলগুলোতে,	অঞ্চলগুলোতে,	
tonight,	টনিঘট,	টুনাইট,	
uporitole,	উপরেতলে,	উপরিতলে,	
ciima,	সিম,	সীমা,	
nimitto,	নিমিত্য,	নিমিত্ত,	
tachnach,	টাচনাচ,	তছনছ,	
sikkhakbrinda,	শিক্ষাকবৃন্দ,	শিক্ষকবৃন্দ,	
cheess,	চেস,	চেস,	
bhangle,	ভাঙ্গে,	ভাঙলে,	
engreziteo,	ইংরেজিতেও,	ইংরেজিতেও,	
iyaqa,	ইয়াক,	ইয়াক,	
baarbaadoj,	বার্বাদোজ,	বার্বাডোজ,	
ghomtaa,	ঘমটা,	ঘোমটা,	
machhder,	মাছদের,	মাছদের,	
mehnoti,	মেহনটি,	মেহনতি,	
karmasampadan,	কর্মসম্পদন,	কর্মসম্পাদন,	
byabaharkariyi,	ব্যবহারকারী,	ব্যবহারকারীই,	
majhari,	মাঝহারী,	মাঝারী,	
aamor,	আমর,	আমর,	
kinsa,	কিংসা,	কিংস,	
elakatikey,	এলাকাটিকে,	এলাকাটিকে,	
bafar,	বাফার,	বাফার,	
highcomissione,	হাইকমাশিনে,	হাইকমিশনে,	
lohar,	লোহার,	লোহার,	
rezidence,	রেজিডেন্স,	রেসিডেন্স,	
shithilotar,	সিথিলতার,	শিথিলতার,	
phuda,	ফুড,	ফুড,	
batsmanyi,	বাৎসম্নি,	ব্যাটসম্যানই,	
saccar,	সক্চার,	সকার,	
kulo,	কুলো,	কুলো,	
qonflict,	কাফলিক্ট,	কনফ্লিক্ট,	
hoola,	হোলা,	হোল,	
dhhaloor,	ঢালুর,	ঢালুর,	
pakistanira,	পাকিস্তানিরা,	পাকিস্তানীরা,	
ponni,	পন্নী,	পন্নী,	
rubala,	রুবাল,	রুবল,	
machti,	মাছটি,	মাছটি,	
aakabar,	আকাবার,	আকাবার,	
nagarikra,	নাগরিকরা,	নাগরিকরা,	
kalenga,	কোলেঙ্জ,	কালেঙ্গা,	
bhor,	ভর,	ভর,	
siropadharii,	শিরপাধারী,	শিরোপাধারী,	
shikarer,	শিকরের,	শিকারের,	
madol,	মাদল,	মাদল,	
bosanta,	বসন্ত,	বসন্ত,	
nagoriker,	নগরীকের,	নাগরিকের,	
tookrotey,	টুকরতে,	টুকরোতে,	
talaa,	তালা,	তালা,	
deepon,	দীপন,	দীপন,	
dweepgulo,	দ্বীপগুলো,	দ্বীপগুলো,	
bishad,	বিশদ,	বিষদ,	
shikhra,	শিখরা,	শিখরা,	
khaneker,	খানেকের,	খানেকের,	
highcommissionay,	হাইকমিশনা,	হাইকমিশনে,	
susama,	সুসম,	সুসম,	
pouchhute,	পৌঁছুতে,	পৌঁছুতে,	
aloteo,	আলতেও,	আলোতেও,	
ponchaashjon,	পঞ্চাশন,	পঞ্চাশজন,	
asamonjasyopurno,	অসমাস্যপূর্যপ,	অসামঞ্জস্যপূর্ণ,	
anodhikar,	অনোধিকার,	অনধিকার,	
wishnu,	উষ্ণু,	বিষ্ণু,	
longhan,	লঙ্ঘন,	লংঘন,	
indrer,	ইন্দ্রের,	ইন্দ্রের,	
bhenna,	ভেননা,	ভেন্না,	
orghyo,	অর্ঘ্য,	অর্ঘ্য,	
amorendro,	অমরেন্দ্র,	অমরেন্দ্র,	
oncholshomuh,	অঞ্চলসমূহ,	অঞ্চলসমূহ,	
surkey,	সার্কে,	সুরকে,	
bihar,	বিহার,	বিহার,	
lutheeran,	লুথিরন,	লুথেরান,	
shikarey,	শিকারে,	শিকারে,	
kommandar,	কমান্ডার,	কমাণ্ডার,	
naniir,	নানীর,	নানীর,	
mitrao,	মিট্রো,	মিত্রও,	
narafoka,	নরফক,	নরফোক,	
bcci,	বিসিসি,	বিসিসিআই,	
crime,	ক্রিম,	ক্রাইম,	
oswasteekor,	অস্বাস্তিকর,	অস্বস্তিকর,	
biseshyo,	বিশেষ্য,	বিশেষ্য,	
taateo,	তাতেও,	তাতেও,	
moshzidti,	মশ্জিদটি,	মসজিদটি,	
voolapuk,	ভুলাপুক,	ভোলাপুক,	
torcarir,	তর্াারির,	তরকারীর,	
nirapekkho,	নিরাপেক্ষ,	নিরপেক্ষ,	
porikkhateo,	পরীক্ষাতেও,	পরীক্ষাতেও,	
ummul,	উম্মুল,	উম্মুল,	
euqalyptus,	ইউক্যালিউটাস,	ইউক্যালিপ্টাস,	
skarta,	স্কার্টা,	স্কার্ট,	
amiretus,	এমিরাযাটাস,	এমিরেটাস,	
alngkoron,	অলঙকরণ,	অলঙ্করণ,	
torkarir,	তরকারির,	তরকারীর,	
augustine,	অজগ্টিন,	অগাস্টিন,	
eshtoniya,	এস্টোনিয়া,	এস্তোনিয়া,	
lyaanding,	ল্যান্ডিং,	ল্যান্ডিং,	
karmake,	করমকে,	কর্মকে,	
plena,	প্লেন,	প্লেন,	
telakucha,	তেলককো,	তেলাকুচা,	
khogen,	খোগেন,	খগেন,	
temonti,	টেমনটি,	তেমনটি,	
inphormation,	ইনফর্মেশন,	ইনফরমেশন,	
santa,	সান্টা,	সান্তা,	
bamni,	বাম্নি,	বামনী,	
siramiqs,	সিরামাক্স,	সিরামিকস,	
vdp,	ভিডিপি,	ভিডিপি,	
bhagna,	ভগ্ন,	ভগ্ন,	
gonosochetonota,	গণসেচনতা,	গণসচেতনতা,	
digreer,	ডিগ্রীর,	ডিগ্রির,	
dhanchey,	ঢাঁছে,	ধাঁচে,	
bolobhodro,	বলভোদরর,	বলভদ্র,	
otitkaley,	অতীতকালে,	অতীতকালে,	
bishnoo,	বিষ্ণু,	বিষ্ণু,	
potchitro,	পতচিত্র,	পটচিত্র,	
byaboharkariderkey,	ব্যবহারকারকে,	ব্যবহারকারীদেরকে,	
kormoi,	করমই,	কর্মই,	
donate,	ডোনাতে,	ডোনাট,	
mozdur,	মজুর,	মজদুর,	
lajek,	লাজেক,	লজিক,	
dooburira,	ডাবূরীরা,	ডুবুরিরা,	
beeswasi,	বিশ্বাসী,	বিশ্বাসী,	
hajjarer,	হাজরের,	হাজারের,	
fand,	ফ্যান্ড,	ফান্ড,	
melborroner,	মেলবররেের,	মেলবোর্নের,	
songbadmadhyamgulote,	সংবাদমযুগলিতে,	সংবাদমাধ্যমগুলোতে,	
ramantik,	রামন্তিক,	রোমান্টিক,	
bosoben,	বসবেন,	বসবেন,	
jackson,	জ্যাকসন,	জ্যাকসন,	
sikkhakke,	শিক্ষাকে,	শিক্ষককে,	
lakhindarer,	লোখিন্দারের,	লখিন্দরের,	
nariider,	নারীদের,	নারীদের,	
ingreziteo,	ইংরেজিতেও,	ইংরেজিতেও,	
iyutha,	ইযুথা,	ইয়ুথ,	
par,	পার,	পাব,	
societykey,	সোচিটিকে,	সোসাইটিকে,	
cholocchitrigulor,	চলচ্চিত্রুগুলোর,	চলচ্চিত্রগুলোর,	
skalastika,	স্কালস্টিক,	স্কলাস্টিক,	
labonaktotar,	লবনাক্ততা,	লবণাক্ততার,	
shookna,	শুকনা,	শুকনা,	
carpeet,	কারপেট,	কার্পেট,	
engil,	এঞ্জিল,	ইঞ্জিল,	
temanbhabe,	তেমনভাবে,	তেমনভাবে,	
claud,	ক্লদ,	ক্লাউড,	
gronthei,	গ্রন্থেই,	গ্রন্থেই,	
harris,	হ্যারিস,	হ্যারিস,	
badhano,	বাঁধানো,	বাঁধানো,	
staylish,	স্টাইলিস,	স্টাইলিশ,	
rah,	রাহ,	রঃ,	
chinto,	চিন্ত,	চিনতো,	
choudhureeo,	চৌধুরিও,	চৌধুরীও,	
homeske,	হোমেসকে,	হোমসকে,	
choiti,	চৈতি,	চৈতি,	
fareksa,	ফরেক্সা,	ফরেক্স,	
awnurbor,	অনুর্বর,	অনুর্বর,	
thare,	থের,	থরে,	
vejjanno,	ভেজযন্য,	ভেজানো,	
hart,	হার্ট,	হার্ট,	
feroz,	ফেরোজ,	ফিরোজ,	
tochnochh,	তচনচ,	তছনছ,	
hepataitisha,	হেপটাটিস,	হেপাটাইটিস,	
breqathru,	ব্রেকতারু,	ব্রেকথ্রু,	
dristihin,	দৃষ্টিহীন,	দৃষ্টিহীন,	
angkita,	অংকিত,	অঙ্কিতা,	
netarao,	নেতারোও,	নেতারাও,	
rushad,	রুশদ,	রুশদ,	
vobotarini,	ভবতারিণী,	ভবতারিণী,	
station,	স্টেশন,	ষ্টেশন,	
grameri,	গ্রামেরি,	গ্রামেরই,	
koreempur,	করিমপুর,	করিমপুর,	
boring,	বরিং,	বোরিং,	
chalachchitroi,	চালিচ্যত্র,	চলচ্চিত্রই,	
chhatto,	ছাত্ট,	ছোট্ট,	
direqtareta,	ডিরেক্টরেটা,	ডিরেক্টরেট,	
nirbahe,	নির্বাহে,	নির্বাহে,	
marmaader,	মার্মাদের,	মারমাদের,	
karmosampadon,	কর্মসম্পদন,	কর্মসম্পাদন,	
ja,	জা,	জ্যা,	
gandho,	গন্ধ,	গন্ধ,	
deefinition,	ডেফিনিশন,	ডেফিনেশন,	
kiirti,	কীরটি,	কীর্তি,	
laatimer,	লাটিমের,	লাটিমের,	
korimer,	করিমের,	করিমের,	
wodka,	উয়াকা,	ভদকা,	
ralof,	রালফ,	রালফ,	
chhooti,	ছুটি,	ছুটি,	
azadeer,	আযাদীর,	আজাদীর,	
hajaribag,	হজরিবাগ,	হাজারিবাগ,	
grambashi,	গ্রামবাসী,	গ্রামবাসী,	
somoshti,	সমসটটি,	সমষ্টি,	
purohitder,	পুরোহিতদের,	পুরোহিতদের,	
bhortuky,	ভর্তুকি,	ভর্তুকি,	
sooter,	সুতের,	শ্যুটার,	
godabari,	গদাবরী,	গোদাবরী,	
meshenger,	মেশেঞ্জের,	মেসেঞ্জার,	
sharif,	শেরিফ,	শরিফ,	
motkey,	মটকে,	মতকে,	
mousumer,	মাসূমের,	মৌসুমের,	
vagirath,	ভাগীরথ,	ভগীরথ,	
bidrohiderke,	বিদ্রোহেদেরকে,	বিদ্রোহীদেরকে,	
cn,	সিন,	সিএন,	
jokrit,	যকৃত,	যকৃৎ,	
noitikotabodh,	নৈতিতক্ববোধ,	নৈতিকতাবোধ,	
reejideens,	রেজিডেন্স,	রেসিডেন্স,	
taholei,	তহলেই,	তাহলেই,	
mucus,	মুকাস,	মিউকাস,	
sonaktokaraner,	সনাক্তকরণের,	সনাক্তকরণের,	
boner,	বোনের,	বনের,	
cholochchitroke,	চলচিচ্রক্তে,	চলচ্চিত্রকে,	
aakkaas,	আক্াাস,	আককাস,	
samanwitavabe,	সমান্তিভভাবে,	সমন্বিতভাবে,	
zoonite,	যোনিতে,	যোনীতে,	
aanaan,	আনান,	আনান,	
abheedhaaneec,	অভিধানিক,	অভিধানিক,	
biprodas,	বিপ্রদাস,	বিপ্রদাস,	
boshoborti,	বসবর্তী,	বশবর্তী,	
poripakey,	পরিপাকে,	পরিপাকে,	
gobeshona,	গবেষণা,	গবেষনা,	
gronthotike,	গ্রন্থটিকে,	গ্রন্থটিকে,	
toufiq,	তৌফিক,	তৌফিক,	
sangastha,	সংগস্থা,	সংস্থা,	
vagini,	ভাগিনী,	ভগিনী,	
patjat,	পাঁজত,	পাটজাত,	
tanight,	টানিঘট,	টুনাইট,	
iqbaler,	ইকবলের,	ইকবালের,	
kooyeri,	কোয়েরি,	কোয়েরি,	
charger,	চার্গের,	চার্জার,	
rakhtokkharone,	রক্ষতক্ষণে,	রক্তক্ষরণে,	
aameenar,	আমিনার,	আমিনার,	
doneta,	ডোনেটা,	ডোনাট,	
iqbalke,	ইকবলকে,	ইকবালকে,	
sohopathike,	সহপাঠিকে,	সহপাঠীকে,	
ancholsoho,	অঞ্চলসহ,	অঞ্চলসহ,	
lutherana,	লুথেরনা,	লুথেরান,	
anhu,	অন্নু,	আনহু,	
lumbinee,	লুম্বিনী,	লুম্বিনী,	
kada,	কাদা,	কোড,	
maudelti,	মাউডেলটি,	মডেলটি,	
lagto,	লাগত,	লাগতো,	
korusher,	ক্রুসের,	ক্রুশের,	
khelafate,	খেলাফাতে,	খেলাফতে,	
faser,	ফাঁসের,	ফাঁসের,	
obhishangson,	অভিশাংশন,	অভিশংসন,	
pana,	পানা,	পানা,	
dharavahik,	ধারাভাহিক,	ধারাবাহিক,	
makhmale,	মাখমলে,	মখমলে,	
hitaishi,	হিতাসি,	হিতৈষী,	
sampadon,	সম্পাদন,	সম্পাদন,	
tader,	তাঁদের,	তদের,	
susamo,	সুসম,	সুসম,	
maudeler,	মাউদেলের,	মডেলের,	
sanaktokoroner,	সনাক্তকরণের,	সনাক্তকরণের,	
iviem,	এভিএম,	ইভিএম,	
navel,	নেভেল,	নভেল,	
gezetted,	গেজেটেড,	গেজেটেড,	
sorjur,	সর্জুর,	সরযূর,	
iyaka,	ইয়াক,	ইয়াক,	
patigoniter,	পতিগণিতের,	পাটিগণিতের,	
daaraa,	ডারা,	দারা,	
qara,	কারা,	কর,	
rajpur,	রাজপুর,	রাজপুর,	
keyuyi,	কেউই,	কেউই,	
ranangone,	রানাঙ্গনে,	রণাঙ্গনে,	
fevarite,	ফেভরিতে,	ফেভারিট,	
prithbir,	পৃথ্বীর,	পৃথবীর,	
kormopontha,	কর্মপন্থা,	কর্মপন্থা,	
seebiai,	সিবিই,	সিবিআই,	
chetana,	চেতনা,	চেতনা,	
thakte,	থাকতে,	থাকতে,	
sithilota,	সিথিলতা,	শিথিলতা,	
chhereche,	ছেরেছে,	ছেড়েছে,	
aper,	এপের,	আপের,	
seconder,	সেকেন্ডের,	সেকেন্ডের,	
drishi,	দৃষি,	দৃশ্যই,	
shrishri,	শ্রীশরি,	শ্রীশ্রী,	
rikondison,	রাকন্ডিসন,	রিকন্ডিশন,	
shefard,	সেফার্ড,	শেফার্ড,	
harza,	হার্জ,	হার্জ,	
shikshakke,	শিক্ষককে,	শিক্ষককে,	
uuipokar,	উইপিকার,	উইপোকার,	
aairish,	আইরিশ,	আইরিস,	
zonsa,	জনসা,	জোন্স,	
baikalyo,	বৈকাল্য,	বৈকল্য,	
elaakaao,	এলাকাও,	এলাকাও,	
hul,	হুল,	হুল,	
sadena,	সাদেন,	সাডেন,	
pragresa,	প্রগ্রেস,	প্রগ্রেস,	
omorendro,	অমরেন্দ্র,	অমরেন্দ্র,	
ahang,	অহং,	অহং,	
sanaktakaroner,	সনাক্তকরণের,	সনাক্তকরণের,	
sherup,	শেরুপ,	সেরূপ,	
asthishondhi,	অস্থিসন্ধি,	অস্থিসন্ধি,	
deil,	ডেল,	ডেইল,	
niuroolaji,	নিউরোলজজি,	নিউরোলজি,	
debdebi,	দেবদেবি,	দেবদেবী,	
karmasansthan,	কর্মসংস্থন,	কর্মসংস্থান,	
tottorat,	তত্তর,	তওরাত,	
nesnosh,	নেঃনন,	নেশনস,	
santoshpur,	সন্তোষপুর,	সন্তোষপুর,	
choudhoorio,	চৌধুরিও,	চৌধুরীও,	
blagarara,	ব্লগেরা,	ব্লগাররা,	
neermol,	নির্মল,	নির্মল,	
choudhurider,	চৌদুরিদের,	চৌধুরীদের,	
milton,	মিল্টন,	মিলটন,	
chetanagato,	ছেতনাগতত,	চেতনাগত,	
muzibur,	মুজিবর,	মুজিবুর,	
megh,	মেঘ,	মেঘ,	
beeswas,	বিশ্বাস,	বিশ্বাস,	
si,	সি,	এসআই,	
besur,	বেশুর,	বেসুর,	
scorey,	স্করে,	স্কোরে,	
awrbit,	আর্বিত,	অরবিট,	
nathibhukto,	নথিভুক্ত,	নথিভুক্ত,	
hoila,	হইল,	হইল,	
myakbeth,	ম্যাকবেথ,	ম্যাকবেথ,	
obie,	অবি,	ওবিই,	
bhange,	ভঙঙে,	ভাঙ্গে,	
latimer,	লাটিমের,	লাটিমের,	
phareksha,	ফরেক্ষা,	ফরেক্স,	
ganoporibohon,	গণপরিবহন,	গণপরিবহন,	
heepataitisa,	হেপটাটিস,	হেপাটাইটিস,	
chani,	চানি,	ছানি,	
scholastik,	স্কলাস্টিক,	স্কলাস্টিক,	
gosthyi,	গোষ্ঠই,	গোষ্ঠীই,	
hood,	হোড,	হুড,	
daul,	দাউল,	দেউল,	
jolorong,	জলরং,	জলরঙ,	
inapharameshhana,	ইনফর্মেশন,	ইনফরমেশন,	
aborto,	আবর্ত,	আবর্ত,	
cannel,	ক্যানেল,	ক্যানেল,	
emerjency,	এমার্জেন্জি,	এমার্জেন্সি,	
dwibidho,	দ্বিবিধ,	দ্বিবিধ,	
jacksonke,	য্যাকসনকে,	জ্যাকসনকে,	
ayantarkatika,	আন্টার্কিটা,	অ্যান্টার্কটিকা,	
horiddare,	হরিদ্যারে,	হরিদ্বারে,	
soomee,	সুমী,	সুমি,	
okhondota,	অখন্দতা,	অখণ্ডতা,	
sanghitar,	সংহীতির,	সংহিতার,	
sakara,	শ্কারা,	সকার,	
adhattikota,	আধাত্তিকতা,	আধ্যাত্মিকতা,	
neerbaho,	নির্বাহ,	নির্বাহ,	
uparjoner,	উপারজনের,	উপার্জনের,	
plane,	প্লাযান,	প্লেন,	
heightsh,	হাইটস,	হাইটস,	
dazjo,	দ্যজ,	দাহ্য,	
foxer,	ফক্সের,	ফক্সের,	
engrejer,	ইংরেজের,	ইংরেজের,	
chal,	চাল,	চাল,	
diaraesha,	ডাইরাস,	ডিআরএস,	
jeelyaand,	জিল্যান্ড,	জিল্যান্ড,	
bagach,	বাগাচ,	বটগাছ,	
