suiti,	স্যুটি,	সুইটি,	
alpa,	আল্প,	অল্প,	
chaudhurider,	চৌধুদির,	চৌধুরীদের,	
shekende,	সেকেন্ডে,	সেকেন্ডে,	
gaafeeloti,	গ্যাফিলটি,	গাফিলতি,	
opochesta,	অপচেষ্টা,	অপচেষ্টা,	
deliwer,	ডিলিভের,	ডেলিভার,	
obodamoner,	অবদামনের,	অবদমনের,	
alankorana,	অলংকরণা,	অলঙ্করণ,	
gare,	গ্যার,	গোর,	
durgotsabe,	দুর্গতসাবে,	দুর্গোৎসবে,	
aidin,	আইদিন,	এইদিন,	
durgatsob,	দুর্গাতসব,	দুর্গোৎসব,	
bojhaao,	বোঝাঁ,	বোঝাও,	
leadar,	লেডার,	লিডার,	
dharmantar,	ধর্মন্তর,	ধর্মান্তর,	
biseshyer,	বিশেষের,	বিশেষ্যের,	
zerusalem,	জেরুসামেল,	জেরুসালেম,	
smarok,	স্মরক,	স্মারক,	
pyatarna,	প্যাটার্ন,	প্যাটার্ন,	
bisnuke,	বিষ্নুকে,	বিষ্ণুকে,	
kaferderkey,	কাফেরকে,	কাফেরদেরকে,	
noitikotabodh,	নৈতিকাবদ,	নৈতিকতাবোধ,	
praapoker,	প্রাপকের,	প্রাপকের,	
aakabaar,	আকাবার,	আকাবার,	
baiqa,	বাইক,	বাইক,	
ghensha,	ঘেনসা,	ঘেঁষা,	
shikshakke,	শিক্ষককে,	শিক্ষককে,	
joubanbatee,	যৌবনবাতী,	যৌবনবতী,	
dharavashyokar,	ধারাভাস্যকর,	ধারাভাষ্যকার,	
mathews,	ম্যাথেস,	ম্যাথিউস,	
dinner,	দিনের,	ডিনার,	
nikataner,	নিকটানের,	নিকেতনের,	
maahe,	মাহে,	মাহে,	
deputee,	দিপুতি,	ডেপুটি,	
meetar,	মিটার,	মিত্র,	
ayantarkatika,	অ্যান্টর্কটিক,	অ্যান্টার্কটিকা,	
hillse,	হিলসে,	হিলসে,	
dayitwa,	দৈত্য,	দায়িত্ব,	
kadorer,	কাদরের,	কদরের,	
jaak,	যাক,	জাঁক,	
daeel,	দৈল,	ডেইল,	
mausum,	মৌসম,	মৌসুম,	
yankii,	ইংকী,	ইয়াংকি,	
danaqana,	ডানাকোনা,	ডানকান,	
ingrezder,	ইংরেজদের,	ইংরেজদের,	
dembakriti,	ডেমব্কৃতি,	ডিম্বাকৃতি,	
aaireshe,	আইরেশে,	আইরেসে,	
oswasteekor,	অস্বস্তিকর,	অস্বস্তিকর,	
edhdaning,	এডনানিং,	ইদানিং,	
muscut,	মাসকাট,	মাস্কাট,	
aazeez,	আজিজ,	আজিজ,	
onchalgoolir,	অঞ্চলগুলির,	অঞ্চলগুলির,	
rajdhani,	রাজধানী,	রাজধানি,	
jaygata,	জৈগত,	জায়গাটা,	
ispreedshit,	ইস্পৃদেশ,	স্প্রেডশীট,	
balbo,	বলব,	বলবো,	
oitijjhey,	ঐতিঝ্যে,	ঐতিহ্যে,	
dokangulote,	দোকানগুলোতে,	দোকানগুলোতে,	
bhadaqa,	ভাদক,	ভদকা,	
sharoker,	সর্কের,	স্মারকের,	
soranor,	সরানোর,	সরানোর,	
mohish,	মহিষ,	মহিষ,	
bonobhumi,	বনভূমি,	বনভূমি,	
jalarong,	জ্যালারং,	জলরঙ,	
mosjid,	মজিদ,	মসজিদ,	
esiyatika,	এসিয়েটিক,	এশিয়াটিক,	
bohubar,	বহুবার,	বহুবার,	
parswer,	পারস্যের,	পার্শ্বে,	
voolapuk,	ভোলাপুক,	ভোলাপুক,	
oncholsomuho,	অঞ্চলসমূহ,	অঞ্চলসমূহ,	
turqi,	টার্কি,	তুর্কি,	
tafaat,	তফাত,	তফাৎ,	
aairis,	আইরিশ,	আইরিস,	
snepara,	স্পেইর,	স্নাইপার,	
ganonatto,	গণনত্ত,	গণনাট্য,	
caaling,	ক্যালিং,	কুলিং,	
mugdho,	মুগধ,	মুগ্ধ,	
udbodhaner,	উদ্বোধনের,	উদ্বোধনের,	
pooroheetder,	পুরোহিদদের,	পুরোহিতদের,	
akpashe,	আকপাশে,	একপাশে,	
kark,	কারক,	কার্ক,	
jyestthotar,	যেষ্ঠত্যতার,	জ্যেষ্ঠতার,	
dhhaaby,	ঢাবি,	ঢাবি,	
palbongser,	পালবংসের,	পালবংশের,	
ship,	শিপ,	শিপ,	
jyoistho,	জ্যৈস্থ,	জ্যৈষ্ঠ,	
jworer,	জ্বরের,	জ্বরের,	
charzara,	চর্জররা,	চার্জার,	
favourite,	ফভভিউ,	ফেভারিট,	
ponthaar,	পন্থার,	পন্থার,	
jivjontu,	জীভযন্তু,	জীবজন্তু,	
mononitoder,	মনোনীতদের,	মনোনীতদের,	
uporitoler,	উপরিতলের,	উপরিতলের,	
obeekol,	অবিকল,	অবিকল,	
ajeej,	আজিজ,	আজিজ,	
nogorey,	নগরে,	নগরে,	
vaskor,	ভাস্কর,	ভাস্কর,	
gemser,	গেমসের,	জেমসের,	
nortoki,	নর্তকী,	নর্তকী,	
utshahi,	উত্সাহী,	উৎসাহী,	
tyapa,	ট্যাপ,	ট্যাপ,	
babona,	বাবনা,	বাবনা,	
fuda,	ফুদা,	ফুড,	
chaiten,	চাইতেন,	চাইতেন,	
sidiul,	সিডিউল,	শিডিউল,	
shoshoa,	শোষা,	শশা,	
abhidhaanic,	অভিধানিক,	অভিধানিক,	
heerani,	হিরানী,	হিরানি,	
gabeshakgon,	গবেষকগণ,	গবেষকগণ,	
sarbhare,	সর্ভরে,	সার্ভারে,	
habsi,	হবসি,	হাবশী,	
priitii,	প্রীতি,	প্রিটি,	
superheror,	সুপারহারার,	সুপারহিরোর,	
licencer,	লিসেন্সের,	লাইসেন্সের,	
arop,	আরপ,	আরোপ,	
calabe,	চালাবে,	চালাবে,	
loukikata,	লৌকিকতা,	লৌকিকতা,	
noitikatar,	নৈতিকাতার,	নৈতিকতার,	
definision,	ডিফিনিশন,	ডেফিনেশন,	
mahindra,	মহিন্দ্র,	মাহিন্দ্রা,	
proshikkhone,	প্রশিক্ষণে,	প্রশিক্ষণে,	
shipa,	শিপ,	শিপ,	
messanger,	মেসাঙ্জের,	মেসেঞ্জার,	
kansat,	কাঁসত,	কানসাট,	
amerika,	আমেরিক,	আমেরিকা,	
lokhindare,	লোখিন্দারে,	লখিন্দরের,	
stoonehenge,	স্টোনেইজে,	স্টোনহেঞ্জ,	
nagarikera,	নাগরিকারে,	নাগরিকেরা,	
parabortee,	পরবর্তী,	পরর্বতী,	
bronjer,	ব্রঞ্জের,	ব্রোঞ্জের,	
grambashee,	গ্রামবাসী,	গ্রামবাসী,	
dokan,	ডোকান,	দোকান,	
halloween,	হলোইন,	হ্যালোইন,	
hoondayi,	হান্ডাই,	হুন্দাই,	
gaiche,	গাইছে,	গাইছে,	
onchalti,	অঞ্চলটি,	অঞ্চলটি,	
brinde,	ব্রাইনে,	বৃন্দ,	
alpakichudin,	অল্পকিছিদিন,	অল্পকিছুদিন,	
sotorkokaree,	সতরককারী,	সতর্ককারী,	
shikkharthirao,	শিক্ষার্থীরা,	শিক্ষার্থীরাও,	
alexandarkey,	আলেকান্ডারকে,	আলেকজান্ডারকে,	
moushumei,	মৌসূমেই,	মৌসুমেই,	
restuarant,	রেস্টোরেন্ট,	রেষ্টুরেন্ট,	
gonohottar,	গণহোত্টার,	গণহত্যার,	
pouchhute,	পৌঁছুতে,	পৌঁছুতে,	
aminar,	আমিনার,	আমিনার,	
besur,	বেশুর,	বেসুর,	
omeettrakkhor,	অমিত্রক্ষর,	অমিত্রাক্ষর,	
torunke,	তরুণকে,	তরুণকে,	
chaudhuriyo,	চৌধুরিও,	চৌধুরীও,	
barbaadoj,	বার্বাডোজ,	বার্বাডোজ,	
bhaabaponno,	ভাবাপন্ন,	ভাবাপন্ন,	
shakar,	শকার,	সকার,	
qaferderke,	কাফেরকে,	কাফেরদেরকে,	
bondi,	বন্দি,	বন্দী,	
consarvation,	কনসারভেশন,	কনসারভেশন,	
akrup,	একরূপ,	একরূপ,	
saseja,	সাসেজা,	সসেজ,	
neelkuthir,	নীলকুঠির,	নীলকুঠির,	
simmons,	সিমমন্স,	সিমন্স,	
scolarship,	স্কলারশিপ,	স্কলারশিপ,	
machhder,	মাছদের,	মাছদের,	
abasare,	আবসারে,	অবসরে,	
beshirbhaagi,	বেশীরভাগই,	বেশিরভাগই,	
nabom,	নবম,	নবম,	
cholocchitrotike,	চলচ্চিত্রটিকে,	চলচ্চিত্রটিকে,	
kodti,	কোদটি,	কোডটি,	
moshan,	মোশন,	মোশন,	
catholicder,	চ্যাথলিকের,	ক্যাথলিকদের,	
dasha,	দশা,	দোসা,	
cheerota,	চিরতা,	চিরতা,	
munshi,	মুনশী,	মুন্সী,	
porijoner,	পরিজনের,	পরিজনের,	
govornorer,	গভর্নরের,	গভর্ণরের,	
postay,	পোস্তে,	পোস্টে,	
prashikkhane,	প্রশিক্ষণে,	প্রশিক্ষণে,	
korlei,	করলেই,	করলেই,	
oncholeo,	অঞ্চলেও,	অঞ্চলেও,	
toroonke,	তরুণকে,	তরুণকে,	
oboshore,	অবশরে,	অবসরে,	
ghursen,	ঘুরেষেন,	ঘুরেছেন,	
cheekitsar,	চিকিৎসার,	চিকিত্সার,	
emiratas,	এমেরিটাস,	এমিরেটাস,	
poriskoron,	পরিস্কোরণ,	পরিষ্করণ,	
doltagi,	দলতাজি,	দলত্যাগী,	
laagto,	লাগট,	লাগতো,	
janosonjog,	জনসন্গো,	জনসংযোগ,	
shoow,	শো,	শো,	
zommoo,	জম্ম,	জম্মু,	
brittakar,	বৃত্তাকার,	বৃত্তাকার,	
dristihin,	দৃষ্টিহীন,	দৃষ্টিহীন,	
mookhbaundho,	মুখবান্ধ,	মুখবন্ধ,	
saya,	সায়,	সোয়া,	
beam,	বিম,	বিম,	
chinto,	চিন্ত,	চিনতো,	
purbancoler,	পূর্বানকেলের,	পূর্বাঞ্চলের,	
kampita,	কম্পিট,	কম্পিত,	
manushey,	মানুসে,	মানুষে,	
danober,	দানবের,	দানবের,	
cholche,	চলছে,	চলছে,	
ghumato,	ঘুমতো,	ঘুমাতো,	
laatimer,	লাটিমের,	লাটিমের,	
venicer,	ভেনিকের,	ভেনিসের,	
shikkhakram,	শিক্ষাক্রম,	শিক্ষাক্রম,	
joubanbotii,	যৌবনবতী,	যৌবনবতী,	
beeseshyo,	বিশেষ্য,	বিশেষ্য,	
sekarane,	সেকারণে,	সেকারণে,	
airish,	আইরিশ,	আইরিস,	
gorjon,	গর্জন,	গর্জন,	
mojuter,	মজুতের,	মজুতের,	
nirarthak,	নীরার্থক,	নিরর্থক,	
chalochchitreo,	চলচিত্রেত্রে,	চলচ্চিত্রেও,	
arakan,	আরাকন,	আরাকান,	
definishion,	ডিফিনিশন,	ডেফিনেশন,	
scholarship,	স্কলারশিপ,	স্কলারশিপ,	
jathartho,	যথার্থ,	যথার্থ,	
builder,	বিল্ডের,	বিল্ডার,	
rajtontro,	রাজনন্ত্র,	রাজতন্ত্র,	
naran,	নরর,	নরেন,	
joluk,	জলুক,	জ্বলুক,	
charrjer,	চার্যের,	চার্জের,	
licensin,	লিকেন্সিং,	লাইসেন্সিং,	
engil,	এঞ্জেল,	ইঞ্জিল,	
houstoner,	হাউস্টনের,	হিউস্টনের,	
hugheske,	হুঘেশকে,	হিউজকে,	
nagarik,	নাগরিক,	নাগরিক,	
pratijogi,	প্রতিযোগী,	প্রতিযোগী,	
cena,	চেন,	সিনা,	
atarkitey,	আটর্কিতে,	অতর্কিতে,	
chho,	চো,	ছোঁ,	
nirantar,	নিরান্তর,	নিরন্তর,	
eshokol,	এসকল,	এসকল,	
debdebie,	দেবদেবী,	দেবদেবী,	
melbourney,	মেলবার্নে,	মেলবোর্নে,	
anodhikar,	অনৌধিকার,	অনধিকার,	
hajeerhat,	হাজিরহাট,	হাজিরহাট,	
satorkovabe,	সতরককভাবে,	সতর্কভাবে,	
chetana,	চেতনা,	চেতনা,	
phokskon,	ফক্ষণ,	ফক্সকন,	
lojic,	লজিক,	লজিক,	
prochondo,	প্রচন্ড,	প্রচণ্ড,	
dajhyo,	দা্য,	দাহ্য,	
tarunra,	তারুণরা,	তরুণরা,	
bocchon,	বচ্ছন,	বচ্চন,	
peerry,	পেরি,	পেরি,	
noitikbhabe,	নৈতিকভাবে,	নৈতিকভাবে,	
mitrer,	মিট্রের,	মিত্রের,	
uipoka,	উইপকা,	উইপোকা,	
agamaner,	আগামানের,	আগমনের,	
minishtarer,	মিনিস্টারের,	মিনিস্টারের,	
chetna,	চেত্ন,	চেতনা,	
rata,	রত,	রত,	
sikha,	শিখা,	শিখ,	
aazadeer,	আজাদীর,	আজাদীর,	
falasrutite,	ফলস্রুতিতে,	ফলশ্রুতিতে,	
turqamena,	তুরকামেনা,	তুর্কমেন,	
tuni,	টুনি,	টুনি,	
carzar,	কার্জার,	চার্জার,	
darjeeling,	ডার্জিলিং,	দার্জিলিং,	
sqolastic,	স্কলাসটিক,	স্কলাস্টিক,	
goori,	গুরি,	গোরি,	
dhoorer,	ধরের,	ধরের,	
anchalo,	আঁচালো,	অঞ্চলও,	
cheentaikari,	চিনতাইকারী,	ছিনতাইকারী,	
shoreefer,	শরীফের,	শরিফের,	
phorex,	ফরেক্স,	ফরেক্স,	
inapharameeshana,	ইনফর্মেশন,	ইনফরমেশন,	
beatleser,	বিটলেসের,	বিটলসের,	
upobasher,	উপবাসের,	উপবাসের,	
azizer,	অজিজের,	আজিজের,	
heedgee,	হেজ,	হেজ,	
jonsa,	জনসা,	জোন্স,	
nagnyo,	নগ্ন,	নগণ্য,	
everestey,	ইভারেস্টে,	এভারেস্টে,	
dito,	দ্বৈত,	দিতো,	
antarbhutto,	অন্তর্ভূক্ত,	অন্তর্ভুক্ত,	
shaatjoner,	সাতজনের,	সাতজনের,	
forid,	ফরিদ,	ফরিদ,	
alsaar,	আলসার,	আলসার,	
kommppito,	কম্পিত,	কম্পিত,	
jansa,	জানস,	জন্স,	
shhikara,	সিকার,	শিকার,	
jack,	জক,	জ্যাক,	
obosane,	অবসানে,	অবসানে,	
moshion,	মশি,	মোশন,	
kartam,	করতম,	করতাম,	
onkush,	অঙ্কুশ,	অংকুশ,	
vaider,	ভাদের,	ভাইদের,	
poner,	পনের,	পনের,	
daoon,	দাউন,	ডাউন,	
teestaar,	টেস্টার,	তিস্তার,	
ancholsaho,	অঞ্চলসহ,	অঞ্চলসহ,	
idaning,	ইডেনিং,	ইদানিং,	
upbasher,	উপবাসের,	উপবাসের,	
bai,	বাই,	বাঈ,	
ruteener,	রুটিনের,	রুটিনের,	
prabhritir,	প্রভৃতির,	প্রভৃতির,	
bbosontoke,	বসন্তকে,	বসন্তকে,	
rockibul,	রকিবুল,	রকিবুল,	
amarendra,	আমরেন্দ্র,	অমরেন্দ্র,	
dakten,	ডাকতেন,	ডাকতেন,	
amudey,	আমুদে,	আমুদে,	
farider,	ফরীদের,	ফরিদের,	
meloonborrone,	মেলুনবর্নে,	মেলবোর্নে,	
lokhindorer,	লোখিন্দরের,	লখিন্দরের,	
hepatetisa,	হাইপোটেটিস,	হেপাটাইটিস,	
kemaney,	কেমনে,	কেমনে,	
bhageroi,	ভাগেরই,	ভাগেরই,	
klaud,	ক্লাউড,	ক্লাউড,	
doloo,	দলু,	ডলু,	
karlosha,	কার্লস,	কার্লোস,	
deyl,	দেল,	ডেইল,	
ceramiksh,	কেরামিক্স,	সিরামিকস,	
turista,	তুরিষ্ট,	টুরিস্ট,	
carymb,	ক্যারিম,	করিম,	
direectoratee,	ডিরেক্টরে,	ডিরেক্টরেট,	
pouchute,	পৌঁুতে,	পৌঁছুতে,	
chhatogalper,	ছোটলগ্যের,	ছোটগল্পের,	
beeswasi,	বিশ্বাসী,	বিশ্বাসী,	
lidars,	লিডার্স,	লিডার্স,	
motion,	মটিি,	মোশন,	
gostike,	গোস্তিকে,	গোষ্ঠীকে,	
shikkhakbrinda,	শিক্ষাকবনন্দ,	শিক্ষকবৃন্দ,	
maudeler,	মণ্ডেলের,	মডেলের,	
peoples,	পিপুলেস,	পিপলস্,	
awrbit,	আর্বিত,	অরবিট,	
chirohorith,	চিরহরিত,	চিরহরিৎ,	
bagichar,	বাগিচার,	বাগিচার,	
chhotogolper,	ছোটলগের,	ছোটগল্পের,	
manushe,	মানুসে,	মানুষে,	
janasangyog,	জনসংযোগ,	জনসংযোগ,	
kod,	কোদ,	কোড,	
ingrejraa,	ইংরেজরা,	ইংরেজরা,	
nathibhukta,	নথিভুক্ত,	নথিভুক্ত,	
gauge,	গগে,	গেজ,	
utsahi,	উত্াহী,	উৎসাহী,	
sampadankaree,	সম্পাদনকারী,	সম্পাদনকারী,	
dakope,	ডাকপে,	দাকোপ,	
laiceensee,	লাইনসসন,	লাইসেন্স,	
falkser,	ফ্যাক্সের,	ফক্সের,	
shita,	সীত,	সিট,	
biswashwo,	বিশ্বাস্ব,	বিশ্বাসও,	
varote,	ভারতে,	ভারতে,	
baruklin,	বারুকিল,	ব্রুকলিন,	
said,	সেড,	সাইদ,	
jyesttha,	জ্যেষ্ঠ,	জ্যেষ্ঠা,	
obdi,	অব্দি,	অব্দি,	
meyiler,	মেইলের,	মেইলের,	
bibhinno,	বিভিন্ন,	বিভন্ন,	
oholyar,	অহলির,	অহল্যার,	
somraatra,	সম্রাত্র,	সম্রাটরা,	
bonke,	বোনকে,	বনকে,	
bholapuka,	ভোলাপুকা,	ভোলাপুক,	
dhyaan,	ধ্বন,	ধ্যান,	
jatee,	জাতি,	যাতি,	
mukhmondol,	মুখমন্ডল,	মুখমণ্ডল,	
ponchashjon,	পঞ্চাশন,	পঞ্চাশজন,	
naobihar,	নৌবিহার,	নৌবিহার,	
naitik,	নাইটিক,	নৈতিক,	
addhattikotar,	আধ্যাত্তিকতার,	আধ্যাত্মিকতার,	
alympic,	অ্যাম্পিক,	অলিম্পিক,	
tovnship,	টনস্পীপ,	টাউনশিপ,	
bandike,	বাঁদিকে,	বন্দীকে,	
difinishion,	ডিফিনিশন,	ডেফিনেশন,	
neshhanasha,	নেশনাস,	নেশনস,	
zoubonkal,	যৌবনকাল,	যৌবনকাল,	
projanankaal,	প্রজননকাল,	প্রজননকাল,	
songasthatir,	সংস্থাতির,	সংস্থাটির,	
bandhuke,	বন্ধুকে,	বন্ধুকে,	
uthhane,	উঠানে,	উঠানে,	
siddhantake,	সিদ্বান্তকে,	সিদ্ধান্তকে,	
olimpik,	অলিম্পিক,	অলিম্পিক,	
seat,	সেট,	সিট,	
niuroolaji,	নিউরোলজি,	নিউরোলজি,	
gaarnaar,	গার্নার,	গার্নার,	
udbodhony,	উদ্বোধনী,	উদ্বোধনী,	
madal,	মদল,	মাদল,	
bisshaso,	বিশ্বাস,	বিশ্বাসও,	
ptolemir,	প্লোমির,	টলেমির,	
chalochchitroke,	চলচ্চিত্রকে,	চলচ্চিত্রকে,	
ragkey,	রাগকে,	রাগকে,	
elakashaho,	এলাকাসহ,	এলাকাসহ,	
baraakpur,	বারাকপুর,	বারাকপুর,	
boorana,	বোরান,	বোরন,	
khoor,	খোর,	ক্ষুর,	
ghurchen,	ঘুরছেন,	ঘুরেছেন,	
fanser,	ফাঁসের,	ফাঁসের,	
jwarer,	জ্বরের,	জ্বরের,	
afzal,	আফজাল,	আফজল,	
pujita,	পূজিত,	পুজিত,	
eekbalke,	একবালকে,	ইকবালকে,	
besoor,	বেশুর,	বেসুর,	
osthisandhi,	অস্থিসন্ধি,	অস্থিসন্ধি,	
yukeliptas,	ইউকেলিপ্টাস,	ইউক্যালিপ্টাস,	
doorotomo,	দুরতম,	দূরতম,	
chyata,	চিত্তা,	চ্যাট,	
hoomes,	হোমেস,	হোমস,	
kousholgoto,	কৌশলগত,	কৌশলগত,	
ganaporibahan,	গণপরিবহন,	গণপরিবহন,	
olimpiker,	অলিমপিকের,	অলিম্পিকের,	
koreemke,	করিমকে,	করিমকে,	
byabaharkareederke,	ব্যবহারকারীদে,	ব্যবহারকারীদেরকে,	
kokhonoba,	কখনোবা,	কখনওবা,	
reejur,	ঋজুর,	রিজুর,	
gaichey,	গাইছে,	গাইছে,	
shoochonakal,	সূচনাকাল,	সূচনাকাল,	
rohasyor,	রহাস্যর,	রহস্যর,	
scholastik,	স্কলাস্টিক,	স্কলাস্টিক,	
koieri,	কৈরি,	কোয়েরি,	
grambaasee,	গ্রামবাসী,	গ্রামবাসী,	
horiddare,	হরিদরে,	হরিদ্বারে,	
arina,	আরিন,	এরিনা,	
jolook,	জলুক,	জ্বলুক,	
narikei,	নারীকেই,	নারীকেই,	
ostheesandhi,	অস্থিসন্ধি,	অস্থিসন্ধি,	
naitikata,	নাটিকতা,	নৈতিকতা,	
os,	ওস,	অস,	
otiteo,	অতিওতেও,	অতীতেও,	
sangasthatir,	সংস্থাতির,	সংস্থাটির,	
jomjomat,	জমজমত,	জমজমাট,	
sparsher,	স্পার্সের,	স্পর্শের,	
judhahato,	যুদ্ধহত,	যুদ্ধাহত,	
pannee,	পানি,	পন্নী,	
imirgincy,	ইমেরজিংস,	এমার্জেন্সি,	
doobhara,	ডোভার,	ডোভার,	
inphormation,	ইনফরমেশন,	ইনফরমেশন,	
shiqara,	সিকর,	শিকার,	
madrasi,	মাদ্রাসী,	মাদ্রাজি,	
chhatrorai,	ছাত্রইাই,	ছাত্ররাই,	
sbatantrota,	স্বতনত্ততা,	স্বতন্ত্রতা,	
hool,	হোল,	হুল,	
zockey,	জকে,	জকি,	
venkates,	ভেনকেটাস,	ভেঙ্কটেশ,	
patenter,	পটেন্টের,	পেটেন্টের,	
seatey,	সিটে,	সিটে,	
zoojyota,	যুজ্যতা,	যোজ্যতা,	
the,	দে,	থাই,	
stationer,	স্টেশনের,	ষ্টেশনের,	
kortaa,	কোরটা,	করতা,	
bishshash,	বিশ্বাস,	বিশ্বাস,	
astikra,	অস্তিকরা,	আস্তিকতা,	
oboshorer,	অবসরের,	অবসরের,	
chalochchitratike,	চলচ্চিত্রটিকে,	চলচ্চিত্রটিকে,	
definition,	ডিফিনিশন,	ডেফিনেশন,	
gezetted,	জেজেট,	গেজেটেড,	
stona,	স্টোনা,	স্টোন,	
salapheta,	সালফেট,	সালফেট,	
nagorikke,	নাগরীকে,	নাগরিককে,	
foshter,	ফোস্টার,	ফস্টার,	
madhobeer,	মাধবীর,	মাধবীর,	
falashrutiti,	ফলারুর্তিটি,	ফলশ্রুতি,	
stoneeheengee,	স্টেনিংহি,	স্টোনহেঞ্জ,	
maudelder,	মাউডেলদের,	মডেলদের,	
sarboporee,	সর্বোপরে,	সর্বোপরী,	
karlosh,	কার্লস,	কার্লোস,	
pari,	প্যারি,	পেরি,	
shikha,	শিখা,	শিখ,	
gudamjat,	গুদমজ্জাত,	গুদামজাত,	
thaken,	থাকেন,	থাকেন,	
koode,	কোডে,	কোড,	
bafal,	বফল,	বিফল,	
zuboke,	যুবকে,	যুবকে,	
setike,	সেটিকে,	সেটিকে,	
heeja,	হিজা,	হেজ,	
ispredsheet,	ইস্প্রেডেট,	স্প্রেডশীট,	
rupa,	রূপ,	রুপা,	
thelaa,	থেলা,	ঠেলা,	
falok,	ফলক,	ফলক,	
hamburge,	হাম্বার্জ,	হামবুর্গে,	
shiter,	শীটের,	শীতের,	
jerokom,	জেরকম,	যেরকম,	
bosontokke,	বসন্তকে,	বসন্তকে,	
pratishthanik,	প্রতিষ্ঠানিক,	প্রাতিষ্ঠানিক,	
horidware,	হরিদ্বরে,	হরিদ্বারে,	
digreeke,	ডিগ্রীকে,	ডিগ্রিকে,	
olongkoron,	অলংকরণ,	অলঙ্করণ,	
arjora,	অর্জারা,	আর্যরা,	
institutioney,	ইনস্টিটিউশনে,	ইনস্টিটিউশনে,	
concerter,	কনসার্টের,	কানসাটের,	
ikbaaler,	ইকবালের,	ইকবালের,	
tarani,	তারানি,	তরণী,	
onekeri,	অনেকররই,	অনেকেরই,	
inziniyarim,	ইনজিনিয়ারিং,	ইঞ্জিনিয়ারিং,	
iqbaler,	ইকবালের,	ইকবালের,	
lutharana,	লুথারা,	লুথেরান,	
konorup,	কনোরূপ,	কোনরূপ,	
raunanganey,	রণাঙ্গনে,	রণাঙ্গনে,	
deares,	ডিরেশ,	ডিআরএস,	
bharote,	ভারতে,	ভারতে,	
basakey,	বাসাকে,	বাসাকে,	
deke,	দেকে,	ডেকে,	
ogobhir,	অগভীর,	অগভীর,	
ganoporibahoner,	গণপরিবহনের,	গণপরিবহনের,	
shaarok,	স্বরক,	স্মারক,	
mononiitoder,	মনোনীতদের,	মনোনীতদের,	
seating,	সেটিং,	সিটিং,	
heeli,	হেলি,	হিলি,	
adorsho,	আদর্শ,	আর্দশ,	
olympiker,	অলিমপিকের,	অলিম্পিকের,	
bhenama,	ভেনামা,	ভেনম,	
oichchhik,	ঐচ্ছিক,	ঐচ্ছিক,	
ronangone,	রণাঙ্গনে,	রণাঙ্গনে,	
siddharther,	সিদ্ধার্থের,	সিদ্ধার্থের,	
monzhoshtho,	মঞ্যস্থ,	মঞ্চস্থ,	
buth,	বুথ,	বুথ,	
musalmanke,	মুসলামনকে,	মুসলমানকে,	
parishkaran,	পরিস্কারণ,	পরিষ্করণ,	
gori,	গরি,	গোরি,	
ashammatite,	আসম্মতিতে,	অসম্মতি,	
shikkhakder,	শিক্ষকদের,	শিক্ষকদের,	
amitrakkhor,	অমিত্রক্ষর,	অমিত্রাক্ষর,	
matrikar,	মাত্রিকার,	মাতৃকার,	
byabaharkaree,	ব্যবহারকারী,	ব্যবহারকারী,	
jemske,	জেমসকে,	জেমসকে,	
ajiboner,	অজিবানের,	আজীবনের,	
aalkaatra,	আলকাত্রা,	আলকাতরা,	
chheelona,	ছিলনা,	ছিলনা,	
granther,	গ্রন্থের,	গ্রন্থের,	
muhommoder,	মুহম্মদের,	মুহম্মদের,	
bhardwaj,	ভার্দভাজ,	ভরদ্বাজ,	
sanghorshik,	সাংঘর্ষিক,	সাংঘর্ষিক,	
uruu,	ঊরু,	উরু,	
vugoley,	ভুগলে,	ভূগোলে,	
kyandi,	ক্যান্ডি,	ক্যান্ডি,	
agovir,	অগভীর,	অগভীর,	
nabhela,	নভেল,	নভেল,	
serverey,	সারভারে,	সার্ভারে,	
valobasar,	ভালবাসার,	ভালোবাসার,	
charukala,	চারুকালা,	চারুকলা,	
sobrakamer,	সব্রকমের,	সবরকমের,	
rudrer,	রুদ্রের,	রুদ্রের,	
siramiks,	সিরামিক্স,	সিরামিকস,	
forma,	ফরমা,	ফর্মা,	
milton,	মিল্টন,	মিলটন,	
korimpoor,	করিমপুর,	করিমপুর,	
pratisthasoho,	প্রতিষ্ঠাসহ,	প্রতিষ্ঠাসহ,	
ohong,	অহং,	অহং,	
transformaarer,	ট্রান্সফোরারের,	ট্রান্সফরমারের,	
chondrimaa,	চন্দিরামা,	চন্দ্রিমা,	
armstrong,	আর্মস্টোর,	আর্মস্ট্রং,	
bon,	বোন,	বন,	
shalook,	সালুক,	শালুক,	
moithili,	মৈঠিলি,	মৈথিলি,	
munsi,	মুনসি,	মুন্সি,	
toubar,	তৌবার,	তওবার,	
langhan,	লঙ্ঘন,	লংঘন,	
nirupito,	নিরূপিত,	নিরূপিত,	
laaisensh,	লাইসেন্স,	লাইসেন্স,	
pachhen,	পাছেন,	পাচ্ছেন,	
bedke,	বেদকে,	বেদকে,	
nirmankaaj,	নির্মাণকাজ,	নির্মাণকাজ,	
sinake,	সিনকে,	সিনাকে,	
drishyogulote,	দৃশ্যগুলোতে,	দৃশ্যগুলোতে,	
sheekarer,	শিকারের,	শিকারের,	
kaaru,	কারু,	কারু,	
shhkolashtic,	স্কলাস্টিক,	স্কলাস্টিক,	
daltyagi,	দলত্যাগি,	দলত্যাগী,	
