nagarikderkey,	নগরীকদ্রে,	নাগরিকদেরকে,	
iispredsheet,	ইস্পর্দেসিত,	স্প্রেডশীট,	
shikkhakram,	শিক্ষাক্রম,	শিক্ষাক্রম,	
chalachchitrogulor,	চলচ্চিত্রভুলগর,	চলচ্চিত্রগুলোর,	
daaraa,	দারা,	দারা,	
ieub,	ইইব,	আইইউবি,	
potka,	পটকা,	পটকা,	
stoonehenge,	স্ট্যাহেং,	স্টোনহেঞ্জ,	
soommitrar,	সুম্তিরার,	সুমিত্রার,	
baarak,	বারক,	বারাক,	
sudden,	সুদ্দেন,	সাডেন,	
somraatra,	সম্রাত্র,	সম্রাটরা,	
boikollyo,	বৈকল্ল্য,	বৈকল্য,	
kaansaat,	কানসাত,	কানসাট,	
monjhoshtho,	মন্যস্থ,	মঞ্চস্থ,	
through,	থ্রুঘ,	থ্রু,	
shikshakke,	শিক্ষাককে,	শিক্ষককে,	
provura,	প্রভূর,	প্রভুরা,	
saarbharer,	সার্ভরের,	সার্ভারের,	
sangosthagulo,	সংস্থাগুলো,	সংস্থাগুলো,	
spreeadshiit,	স্প্রাসিডি,	স্প্রেডশীট,	
shuri,	সুরি,	সুরি,	
mukherji,	মুখার্জি,	মুখার্জী,	
uindos,	উইন্ডো,	উইন্ডোস,	
changee,	চাঙ্গী,	চেঞ্জ,	
noitikata,	নৈতিকতা,	নৈতিকতা,	
somaazeri,	সমাজেরী,	সমাজেরই,	
eekbalke,	একবালকে,	ইকবালকে,	
patka,	পাটকা,	পটকা,	
akkas,	এককাস,	আককাস,	
madhobikey,	মাধবিকে,	মাধবীকে,	
punch,	পাঁচ,	পুঞ্চ,	
bagdadii,	বাগদদা,	বাগদাদী,	
keo,	কিও,	কেউ,	
enasiyenta,	এনস্যিনেট,	এনসিয়েন্ট,	
matthew,	মাঠেও,	ম্যাথিউ,	
magical,	ম্যাগিকাল,	ম্যাজিকাল,	
second,	সেকোন্ড,	সেকেণ্ড,	
grauth,	গ্রুথ,	গ্রোথ,	
baasaate,	বাসাতে,	বাসাতে,	
moushumei,	মৌশমেই,	মৌসুমেই,	
inapharameeshana,	ইনফ্রামেশন,	ইনফরমেশন,	
kaferderke,	কাফারদেরকে,	কাফেরদেরকে,	
lyataa,	ল্যাট,	ল্যাটা,	
obdee,	অব্দি,	অব্দি,	
avisongson,	অভিশং্সন,	অভিশংসন,	
pratimake,	প্রতিমাকে,	প্রতিমাকে,	
gosthyti,	গোস্থিতি,	গোষ্ঠীটি,	
ghursen,	ঘুর্ষেন,	ঘুরেছেন,	
panero,	পানেরো,	পনের,	
ghenshe,	ঘেঁছে,	ঘেঁষে,	
mojdur,	মজদুর,	মজদুর,	
prakalpatikey,	প্রকল্পতিকে,	প্রকল্পটিকে,	
sectore,	সেক্টরে,	সেক্টরে,	
khaamba,	খামবা,	খাম্বা,	
ekatto,	একত্ব,	একাত্ব,	
taurist,	তুরিস্ট,	টুরিস্ট,	
byaboharkari,	ব্যবহারকারি,	ব্যবহারকারী,	
abheedhaaner,	অভিধানের,	অভিধানের,	
karmazog,	কর্মযোগ,	কর্মযোগ,	
pituni,	পিটুনি,	পিটুনি,	
sausagee,	সাউগগে,	সসেজ,	
sikkhakke,	শিক্ষাককে,	শিক্ষককে,	
meloonborroner,	মেলুনবর্ণের,	মেলবোর্নের,	
sulfate,	সালফাতে,	সালফেট,	
aembed,	এমবেম,	এম্বেড,	
kulim,	কুলিম,	কুলিং,	
prakalpoguli,	প্রকলাপুলোলী,	প্রকল্পগুলি,	
sosa,	সসা,	শশা,	
kanflict,	কনফ্লিক্ট,	কনফ্লিক্ট,	
satarkokari,	সত্রককারী,	সতর্ককারী,	
abhishangsan,	অভিশংসান,	অভিশংসন,	
sikh,	শিখ,	শিখ,	
pothnirdeshona,	পথনির্দেশনা,	পথনির্দেশনা,	
uttor,	উত্তর,	উওর,	
jaksa,	জক্ষ,	যক্ষ,	
oparogota,	অপরাগত,	অপারগতা,	
azibon,	আজিবন,	আজীবন,	
direektareeta,	ডিরেক্টেট,	ডিরেক্টরেট,	
trup,	ট্রুপ,	ট্রুপ,	
charban,	চারববন,	চর্বন,	
navel,	নেভেল,	নভেল,	
plata,	প্লট,	প্লেটো,	
loukik,	লৌকিক,	লৌকিক,	
ashshociatesh,	অ্যাসোসিয়েসন,	এসোসিয়েটস,	
horinner,	হরিন্র,	হরিণের,	
temoni,	টেমনি,	তেমনই,	
zuboke,	যুবকে,	যুবকে,	
dhanchey,	ধাঁচে,	ধাঁচে,	
bhejano,	ভেজানো,	ভেজানো,	
omarjito,	অমর্জিত,	অমার্জিত,	
barack,	ব্রাক,	বারাক,	
chondrima,	চন্দ্রিমা,	চন্দ্রিমা,	
uchchotara,	উচ্চতারা,	উচ্চতর,	
deebug,	দিবুগ,	ডিবাগ,	
toranganj,	তরঙ্গজঞ্জ,	তোরাবগঞ্জ,	
dristihin,	দৃষ্টিহীন,	দৃষ্টিহীন,	
besoor,	বেশুর,	বেসুর,	
cholochchitroi,	চলচিত্রেই,	চলচ্চিত্রই,	
dorgaaho,	দরগা,	দরগাহ,	
abasaney,	আবাসনে,	অবসানে,	
kor,	কোর,	কর,	
isan,	ইসন,	ঈশান,	
pathanirdeshona,	পথনির্দেশনা,	পথনির্দেশনা,	
oshamanno,	অসমান্ন,	অসামান্য,	
nama,	নামা,	নমো,	
juktarashtrer,	যুক্তরাস্ট্রের,	যুক্তরাষ্ট্রের,	
brittakar,	বৃত্তকার,	বৃত্তাকার,	
chalachchitrake,	চলচ্চিত্রকে,	চলচ্চিত্রকে,	
minishtara,	মিনিস্টার,	মিনিস্টার,	
gorib,	গরিব,	গরিব,	
suma,	সুমা,	সুমো,	
debdebeer,	দেবদেবীর,	দেবদেবীর,	
booth,	বুথ,	বুথ,	
jandrel,	জন্দ্রেল,	জাঁদরেল,	
nirmankaaj,	নির্মাঙ্জক,	নির্মাণকাজ,	
neurooloogy,	নিউরোলজি,	নিউরোলজি,	
chattke,	চটটকে,	ছাতকে,	
panchasjon,	পঞ্চাশম্ন,	পঞ্চাশজন,	
rokibul,	রকিবুল,	রকিবুল,	
ashangka,	অসংক্,	আশংকা,	
gabeshakgon,	গবেষকগণ,	গবেষকগণ,	
sothikata,	সথিকটা,	সঠিকতা,	
elakao,	এলাকাও,	এলাকাও,	
tenisa,	টেনিস,	টেনিস,	
jojyata,	যোজ্যতা,	যোজ্যতা,	
hevy,	হেভি,	হেভি,	
cholesi,	চলেশি,	চলেছি,	
jwaluk,	জ্বুলক,	জ্বলুক,	
durotomm,	দুরোতম,	দূরতম,	
abheedhanik,	অভিধানিক,	অভিধানিক,	
inamil,	ইনমিল,	এনামেল,	
qibord,	কিবোর্ড,	কীবোর্ড,	
konaa,	কোনা,	কোনা,	
basatey,	বাসাতে,	বাসাতে,	
mausum,	মৌসম,	মৌসুম,	
parq,	পার্ক,	পার্ক,	
braille,	ব্রেল,	ব্রেইল,	
dhanyi,	ধানই,	ধন্যি,	
nachiketa,	নচিকিতা,	নচিকেতা,	
deily,	ডেইলি,	ডেইলি,	
soasage,	সোসাগে,	সসেজ,	
faridi,	ফরিদি,	ফরিদী,	
alonkaron,	অলংকরণ,	অলঙ্করণ,	
bopon,	বপন,	বপন,	
atyachari,	অত্যাচারী,	অত্যাচারী,	
diznee,	ডিজনি,	ডিজনী,	
mesenzar,	মেশেঞ্জার,	মেসেঞ্জার,	
peeri,	পেরি,	পেরি,	
degreeo,	ডিগ্রী,	ডিগ্রিও,	
poste,	পোষ্টে,	পোষ্টে,	
saoum,	সাউম,	সাওম,	
bonbhumi,	বনভুমি,	বনভূমি,	
halloween,	হ্যললভন,	হ্যালোইন,	
mosharroph,	মোশাররফ,	মশাররফ,	
peshto,	পেষ্ট,	পেষ্ট,	
nagaland,	নগলান্ড,	নাগাল্যান্ড,	
jyoistho,	জৈয্ষ্ঠ,	জ্যৈষ্ঠ,	
laiseensim,	লেসনে্সিং,	লাইসেন্সিং,	
muktilav,	মুক্তিলাব,	মুক্তিলাভ,	
samashtike,	সমস্তিকে,	সমষ্টিকে,	
hirani,	হিরোনী,	হিরানি,	
doorotaumo,	দুরোত,	দূরতম,	
dreeshtiheen,	দৃষ্টিহীন,	দৃষ্টিহীন,	
nojder,	নজদের,	নজদের,	
poscater,	পশ্চাতের,	পশ্চাতের,	
dosider,	দস্দিদের,	দোষীদের,	
ghumachhe,	ঘুমাছে,	ঘুমাচ্ছে,	
tafasir,	তফসির,	তাফসীর,	
monjiley,	মঞ্জিলে,	মঞ্জিলে,	
megher,	মেঘের,	মেঘের,	
militari,	মিলিটারী,	মিলিটারি,	
kode,	কোড,	কোডে,	
eshiyetika,	এসিটিক,	এশিয়াটিক,	
sansthati,	সংস্থাটি,	সংস্থাটি,	
ooindo,	উইন্ড,	উইন্ডো,	
tochnoch,	তক্চচ,	তছনছ,	
harysoner,	হারোসনের,	হ্যারিসনের,	
sachindra,	সচিন্দ্র,	শচীন্দ্র,	
sainyo,	সৈন্য,	সৈন্য,	
setitey,	সেটিতে,	সেটিতে,	
diyenes,	ডাই়েন,	ডিএনএস,	
isosiyitasa,	ইসোসিটেস,	এসোসিয়েটস,	
shommotir,	সম্মতির,	সম্মতির,	
koordider,	কুর্দিদের,	কুর্দিদের,	
juktorastrey,	যুক্তরাস্ট্রে,	যুক্তরাষ্ট্রে,	
thor,	থোর,	থর,	
pharanyeta,	ফারানেয়ট,	ফরম্যাট,	
muhmmoder,	মুহম্মদের,	মুহম্মদের,	
upcharzo,	উপচার্য,	উপাচার্য,	
asammati,	অসামমতি,	অসম্মতি,	
parqing,	পার্কিং,	পার্কিং,	
gajano,	গজন,	গজানো,	
vaisaha,	বৈশস,	ভাইসহ,	
conservation,	কনসেরভেশন,	কনসারভেশন,	
aamontrito,	আমন্ত্রিত,	আমন্ত্রিত,	
cloud,	ক্লোড,	ক্লাউড,	
nirmalata,	নির্মলতা,	নির্মলতা,	
akshor,	অক্ষর,	একশোর,	
santoshpur,	সন্তস্পুর,	সন্তোষপুর,	
ingrejiteo,	ইংরেজিতে,	ইংরেজিতেও,	
prostototo,	প্রস্ততত,	প্রস্ত্তত,	
consarvation,	কনসার্েশন,	কনসারভেশন,	
gasthike,	গ্যস্থিকে,	গোষ্ঠীকে,	
sahajlabhbhatar,	সহজভাভভতার,	সহজলভ্যতার,	
istoniya,	ইস্টোনিয়া,	এস্তোনিয়া,	
mandando,	মন্দন্দ,	মানদণ্ড,	
digreer,	ডিগ্রীর,	ডিগ্রির,	
atorkitey,	অটর্কিটে,	অতর্কিতে,	
nodimaatrik,	নদীমাত্রিক,	নদীমাতৃক,	
ponni,	পন্নি,	পন্নী,	
nodiiti,	নদীতী,	নদীটি,	
ganachin,	গণনীচ,	গণচীন,	
dakticket,	ডাক্তিক্ত,	ডাকটিকিট,	
korkat,	কর্াট,	কর্কট,	
falah,	ফলল,	ফালাহ,	
shangsthatir,	সংস্থাটির,	সংস্থাটির,	
utsaahe,	উত্সাহে,	উৎসাহে,	
cn,	সিনি,	সিএন,	
byatikromi,	ব্যতিত্রমী,	ব্যতিক্রমী,	
uipokar,	উইপকার,	উইপোকার,	
shikkhagata,	শিক্ষাগত,	শিক্ষাগত,	
smaroker,	স্মরকের,	স্মারকের,	
gandhiir,	গান্ধীর,	গান্ধীর,	
jammu,	জাম্মু,	জম্মু,	
kandey,	কান্দে,	কাণ্ডে,	
vabanir,	ভবানীর,	ভবানীর,	
kalam,	কলম,	কালাম,	
satarko,	সতার্ক,	সতর্ক,	
oiteejye,	ঐতিজ্যে,	ঐতিহ্যে,	
taale,	তালে,	তালে,	
karlei,	করলেই,	করলেই,	
emgee,	এমগি,	এমজি,	
inphormeshon,	ইনফর্মেশন,	ইনফরমেশন,	
bheemsen,	ভীমসেন,	ভীমসেন,	
metere,	মেটেরে,	মিটারে,	
kaantojir,	কান্তজীর,	কান্তজির,	
nirgaman,	নির্গমমন,	নির্গমন,	
path,	পাঠ,	পাথ,	
ganonatya,	গণনাত্য,	গণনাট্য,	
kushomva,	কুসম্ভা,	কুশুম্বা,	
byaboshtha,	ব্যবস্থ,	ব্যাবস্থা,	
janachhe,	জানাচ্ছে,	জানাচ্ছে,	
panjikar,	পাঞজিকার,	পঞ্জিকার,	
qaferderke,	কাফারডেককে,	কাফেরদেরকে,	
license,	লিইন্সে,	লাইসেন্স,	
ballroom,	বলরুম,	বলরুম,	
samley,	সামলে,	সামলে,	
mautke,	মৌটকে,	মতকে,	
sheat,	সিট,	সিট,	
noditike,	নদীতিকে,	নদীটিকে,	
bongraam,	বংগ্রাম,	বনগ্রাম,	
bisnu,	বিষ্ণু,	বিষ্ণু,	
kharar,	ক্ষার,	খরার,	
malaika,	মালাইক,	মালাইকা,	
minister,	মিনিস্টার,	মিনিস্টার,	
vabaponno,	ভবাপন্ন,	ভাবাপন্ন,	
bosantake,	বসন্তকে,	বসন্তকে,	
ganoporibohoner,	গণপরিবহনের,	গণপরিবহনের,	
rupantarer,	রূপান্তরের,	রুপান্তরের,	
chaktir,	চক্তির,	চাকতির,	
prasadhoner,	প্রসাধনের,	প্রসাধনের,	
hatodaridra,	হতদদ্রীদরা,	হতদরিদ্র,	
obiyi,	অবিই,	ওবিই,	
the,	ঠে,	থাই,	
bisnuu,	বিষ্ণু,	বিষ্ণু,	
parks,	পার্কস,	পার্কস,	
anchalgulir,	আঞ্চলগুলির,	অঞ্চলগুলির,	
ovidhaner,	অভিধানের,	অভিধানের,	
gaaddafee,	গাদ্ডাপী,	গাদ্দাফী,	
vromonkaley,	ভ্রমণকালে,	ভ্রমণকালে,	
vushi,	ভূষি,	ভুষি,	
ishton,	ইস্টন,	স্টোন,	
bongshi,	বংশি,	বংশী,	
seniar,	সেনিয়ার,	সিনিয়র,	
elakatite,	এলাকিতিতে,	এলাকাটিকে,	
potengar,	পতেঙ্গার,	পতেঙ্গার,	
lajikar,	লাজিকার,	লজিকের,	
shaarok,	সারক,	স্মারক,	
edaning,	এডনিং,	ইদানিং,	
teestaar,	টেস্টার,	তিস্তার,	
shaahoshikataar,	সাহসিকতার,	সাহসিকতার,	
jonoshomaj,	জনসমাজ,	জনসমাজ,	
koreem,	করিম,	করিম,	
samudratate,	সমুদ্রতাতে,	সমুদ্রতটে,	
gobeshonagar,	গবেষণাগার,	গবেষনাগার,	
digrike,	ডিগ্রিক,	ডিগ্রিকে,	
chalochchitragulor,	চলচ্চিত্রভূগোর,	চলচ্চিত্রগুলোর,	
jins,	জিন্স,	জিন্স,	
baarder,	বার্ডের,	বার্ডের,	
jibanta,	জীবন্ত,	জীবন্ত,	
obhijojon,	অভিযোজন,	অভিযোজন,	
abdur,	আব্দুর,	আবদুর,	
probhritite,	প্রভূতিতে,	প্রভৃতিতে,	
kanisttha,	কনষিষ্ঠ,	কনিষ্ঠ,	
heena,	হেন,	হেনা,	
udvabone,	উদ্ভাবনে,	উদ্ভাবনে,	
dhaloor,	ঢালুর,	ঢালুর,	
stana,	স্টন,	স্টোন,	
romjaner,	রমজানের,	রমযানের,	
nevate,	নেভাতে,	নেভাতে,	
bodna,	বদন্,	বদনা,	
inamila,	ইনমিল,	এনামেল,	
musolmanera,	মুসল্মনের,	মুসলমানেরা,	
pujit,	পুজিত,	পুজিত,	
nagorikke,	নাগরিককে,	নাগরিককে,	
maadhoori,	মাধরী,	মাধুরী,	
protijogiider,	প্রতিযোগীদের,	প্রতিযোগীদের,	
ganoporibahoner,	গণপরিবহণের,	গণপরিবহনের,	
shaushage,	সাউজগে,	সসেজ,	
akkash,	একাশ,	আককাস,	
madrasar,	মাদ্রসার,	মাদ্রাসার,	
eutey,	ইউতে,	ইইউতে,	
ovarview,	ওভারভিভ,	ওভারভিউ,	
progress,	প্রোগ্রেস,	প্রগ্রেস,	
bishwashi,	বিশ্বাসী,	বিশ্বাসী,	
ponchaashjon,	পঞ্চাশক্ন,	পঞ্চাশজন,	
de,	ডে,	ডে,	
bosobben,	বসবেন,	বসবেন,	
chorchito,	চর্চিত,	চর্চিত,	
decke,	ডেকে,	ডেকে,	
zansa,	জানস,	জন্স,	
preti,	প্রেতি,	প্রিটি,	
shainyader,	সৈন্যদের,	সৈন্যদের,	
chondrimaa,	চন্দ্রীমা,	চন্দ্রিমা,	
sotorkobhabey,	সতরতকভাবে,	সতর্কভাবে,	
sikkhakromer,	শিক্ষাক্রমের,	শিক্ষাক্রমের,	
chintaikari,	চিনতাইকারী,	ছিনতাইকারী,	
sahinsatar,	সহিস্চতার,	সহিংসতার,	
abheedhanic,	অভিধানিক,	অভিধানিক,	
bedanta,	বেদন্ত,	বেদান্ত,	
waal,	ওয়াল,	উল,	
codey,	কোডে,	কোডে,	
safin,	সফফিন,	সাফিন,	
phimel,	ফিমেল,	ফিমেল,	
marqetim,	মার্কেটিং,	মার্কেটিং,	
myakbeth,	ম্যাকবেঠ,	ম্যাকবেথ,	
bishshashi,	বিশ্বাসী,	বিশ্বাসই,	
aqabar,	একাবর,	আকাবার,	
sarjur,	সার্জুর,	সরযূর,	
baikalya,	বৈকল্য,	বৈকল্য,	
mukhobondho,	মুখবন্ধ,	মুখবন্ধ,	
rinattak,	ঋণাত্মক,	ঋনাত্মক,	
mukhomandol,	মুখমন্ডল,	মুখমণ্ডল,	
ganonatyo,	গণনাত্য,	গণনাট্য,	
nirupita,	নিরূপিত,	নিরূপিত,	
rajtontre,	রাজতন্ত্রে,	রাজতন্ত্রে,	
pratijogitar,	প্রতিযোগিতার,	প্রতিযোগীতার,	
jeevjontu,	জীভপন্তু,	জীবজন্তু,	
makong,	মাকক,	মেকং,	
nartaki,	নর্তটি,	নর্তকী,	
gonona,	গণনা,	গননা,	
swajan,	স্বজন,	স্বজন,	
hepataitisha,	হেপটাইটিস,	হেপাটাইটিস,	
shayatana,	সায়েটন,	শয়তান,	
rayyalati,	রেওলটটি,	রয়্যালটি,	
grotha,	গ্রথ,	গ্রোথ,	
park,	পার্ক,	পার্ক,	
gandhariir,	গান্ধারীর,	গান্ধারীর,	
seconde,	সেকোন্ডে,	সেকেন্ডে,	
shepha,	সেফ,	শেফ,	
chaabir,	চাবির,	চাবির,	
lesense,	লেসন্সে,	লাইসেন্স,	
peterkey,	পেটারকে,	পিটারকে,	
dimbacriti,	ডিম্ব্র্সিটি,	ডিম্বাকৃতি,	
associetes,	অ্যাসোসিটেস,	এসোসিয়েটস,	
cholochchitrake,	চলচ্চিত্রকে,	চলচ্চিত্রকে,	
dibating,	ডিবটিং,	ডিবেটিং,	
neurology,	নিওরলজি,	নিউরোলজি,	
thailandshoho,	থাইলন্ডসহ,	থাইল্যান্ডসহ,	
umedpoor,	উমমেদপুর,	উমেদপুর,	
gonona,	গণনা,	গণনা,	
meg,	মেগ,	মেগ,	
teter,	ট্যাটের,	টেটের,	
siqhar,	শিখর,	শিকার,	
eashter,	ইস্টের,	ইস্টার,	
masjidtikey,	মাসিজ্তিকে,	মসজিদটিকে,	
bhabatarini,	ভববতীরিণী,	ভবতারিণী,	
longghon,	লঙ্ঘন,	লংঘন,	
norton,	নর্তন,	নর্টন,	
gabeshona,	গবেষণা,	গবেষনা,	
korusher,	ক্রুসের,	ক্রুশের,	
joubanbotii,	যৌবনবতি,	যৌবনবতী,	
bakhyateet,	বাখ্যাতিত,	ব্যাখ্যাতীত,	
baharamapurer,	বহরামপুরের,	বহরমপুরের,	
jaanate,	জানাতে,	জানাতে,	
natunatwa,	নতুনত্ব,	নতুনত্ব,	
krush,	ক্রুস,	ক্রুশ,	
ramantika,	রাম্নান্টিক,	রোমান্টিক,	
danut,	ডানুট,	ডোনাট,	
faster,	ফ্যাস্টার,	ফস্টার,	
vvimsenn,	ভিমসেন,	ভীমসেন,	
bissonath,	বিশ্বনাথ,	বিশ্বনাথ,	
par,	পার,	পাব,	
mitrao,	মিত্রও,	মিত্রও,	
elakati,	এলাকাটি,	এলাকাটি,	
dwibidha,	দ্বিবিধ,	দ্বিবিধ,	
bamon,	বামন,	বামন,	
nazi,	নাজি,	নাত্সি,	
upobasi,	উপবাসী,	উপবাসী,	
growth,	গ্রোথ,	গ্রোথ,	
jhalkathi,	ঝালকাঠি,	ঝালকাঠী,	
doojoo,	দুজো,	ডোজো,	
antorbhuktimulak,	অন্তর্ভূম্চুকক,	অন্তর্ভুক্তিমূলক,	
zonite,	যোনিতে,	যোনীতে,	
choudhureeke,	চৌধুরিকে,	চৌধুরীকে,	
kathhmandute,	কাঠমান্দুতে,	কাঠমান্ডুতে,	
arekdal,	অরেকদাল,	আরেকদল,	
samajeri,	সমাজেরী,	সমাজেরই,	
noditi,	নদীতি,	নদীটি,	
janaar,	জানার,	জানার,	
maryir,	মেরির,	ম্যারির,	
hizrii,	হিজরি,	হিজরী,	
himi,	হিমি,	হিমি,	
aakabar,	আকাবর,	আকাবার,	
pleta,	প্লেট,	প্লেটো,	
baipash,	বৈপশ,	বাইপাস,	
hajat,	হজত,	হজত,	
plusey,	প্লাসে,	প্লাসে,	
directorete,	ডিরেক্টরেট,	ডিরেক্টরেট,	
bima,	বিমা,	বিম,	
staylish,	স্টাইলিস,	স্টাইলিশ,	
palbangsher,	পালবাংশের,	পালবংশের,	
deke,	ডেকে,	ডেকে,	
temontee,	টেমনটি,	তেমনটি,	
koda,	কোদা,	কোডা,	
chamsky,	চামসকি,	চমস্কি,	
panchasjan,	পঞ্চাশম্যান,	পঞ্চাশজন,	
srimati,	শ্রীমতী,	শ্রীমতি,	
bbosonto,	বসন্ত,	বসন্ত,	
haluder,	হালুদের,	হলুদের,	
shakkhatkarer,	সাক্ষাতকারের,	সাক্ষাত্কারের,	
raha,	রাহা,	রঃ,	
superhero,	সুপারেহরা,	সুপারহিরো,	
bhugten,	ভুগতেন,	ভুগতেন,	
prachurjer,	প্রচুর্যের,	প্রাচুর্যের,	
puroheetra,	পুরুহিত্র,	পুরোহিতরা,	
nations,	নটটন,	নেশনস,	
mookhbaundho,	মুখবান্ধ,	মুখবন্ধ,	
annimated,	অন্মিমেট,	এনিমেটেড,	
cutie,	কিউটি,	কিউটি,	
marodeho,	মারদেহ,	মরদেহ,	
sucharita,	সুচরিত,	সুচরিতা,	
nagorikra,	নাগরিকরা,	নাগরিকেরা,	
kranti,	ক্রান্তি,	ক্রান্তি,	
chomke,	চমকে,	চমকে,	
uporzon,	উপর্জন,	উপার্জন,	
teempaleeta,	টেম্পলিট,	টেম্পলেট,	
tirmizi,	তিরমিযী,	তিরমিজি,	
maithili,	মাথিলি,	মৈথিলি,	
vangey,	ভাঙে,	ভাঙ্গে,	
chhedon,	ছেদদন,	ছেদন,	
jeellul,	জিল্লুল,	জিল্লুল,	
songosthati,	সংস্থাটি,	সংস্থাটি,	
janogananar,	জনগণনার,	জনগণনার,	
bharadwaja,	ভারাবাজা,	ভরদ্বাজ,	
karadande,	কারাদন্ডে,	কারাদণ্ডে,	
sanghitar,	সংহীতার,	সংহিতার,	
timathi,	তিমথি,	টিমোথি,	
tigar,	টিগার,	টাইগার,	
ajibooner,	আজিবুনের,	আজীবনের,	
dharagulor,	ধারাগুলোর,	ধারাগুলোর,	
geja,	গেজ,	গেজ,	
keu,	কিউ,	কেউ,	
shcholarshhip,	স্কলারশিপ,	স্কলারশিপ,	
thai,	ঠাই,	থাই,	
shumo,	সুমো,	সুমো,	
diniphition,	ডিনিফিন,	ডেফিনেশন,	
sthapanar,	স্থাপনার,	স্থাপনার,	
windo,	উইন্ড,	উইন্ডো,	
manushe,	মানুষে,	মানুষে,	
tecno,	টেকন,	টেকনো,	
gaddaafee,	গাদ্ধাপী,	গাদ্দাফী,	
karlo,	করল,	কার্লো,	
hijri,	হিজরি,	হিজরী,	
mathieu,	মাথিও,	ম্যাথিউ,	
muphti,	মুফতি,	মুফতি,	
mane,	মান,	মানে,	
sangasthatir,	সংস্থাটির,	সংস্থাটির,	
manjurul,	মন্জুরুল,	মনজুরুল,	
shikshakbrindo,	শিক্ষাকৃর্ণ,	শিক্ষকবৃন্দ,	
diaraesha,	ডায়ারস,	ডিআরএস,	
saccer,	স্কের,	সকার,	
paikar,	পাইকার,	পাইকার,	
dadader,	দাদেদের,	দাদাদের,	
nischitrupe,	নিশ্চিতূরেপে,	নিশ্চিতরূপে,	
pravur,	প্রভূর,	প্রভুর,	
jillool,	জিল্লুল,	জিল্লুল,	
sawam,	সাভাম,	সাওম,	
jens,	জেন্স,	জিন্স,	
kartana,	কার্টন,	করতনা,	
okhhunno,	অক্ষুন্ন,	অক্ষুণ্ণ,	
sanghorshik,	সংংর্ষিক,	সাংঘর্ষিক,	
drishyogulote,	দৃশ্যগুলোতে,	দৃশ্যগুলোতে,	
akkhar,	অক্ষর,	অক্ষর,	
qanasarabheshana,	কনসোরেশন,	কনসারভেশন,	
bishasey,	বিশাবেসে,	বিশ্বাসে,	
ancieent,	অ্যানচিন্ট,	এনসিয়েন্ট,	
pooroheetder,	পুরুহিদদের,	পুরোহিতদের,	
qeyboard,	কেবোর্ড,	কীবোর্ড,	
suparahiro,	সুপারিহর,	সুপারহিরো,	
jokrito,	যকৃত,	যকৃৎ,	
heza,	হেজ,	হেজ,	
bhalobaas,	ভালবাস,	ভালোবাসা,	
olpokichudin,	অল্পকিচিদিন,	অল্পকিছুদিন,	
nepchuner,	নিপচুঁের,	নেপচুনের,	
oocchoseeto,	উচ্চসিত,	উচ্ছসিত,	
ganoparibahaner,	গণপরিবহণের,	গণপরিবহনের,	
anhu,	অনুহ,	আনহু,	
musalmanra,	মুসলামন্র,	মুসলমানরা,	
antorvukto,	অন্তর্ভূক্ত,	অন্তর্ভুক্ত,	
artilari,	আর্টিলারি,	আর্টিলারি,	
moreecha,	মরিচা,	মরিচা,	
honduras,	হন্দুরাস,	হন্ডুরাস,	
rooplal,	রূপলল,	রূপলাল,	
footbalarer,	ফুটবলারের,	ফুটবলারের,	
oitijjho,	ঐতিহ্য,	ঐতিহ্য,	
azibonoer,	আজিবনর,	আজীবনের,	
alimpiqa,	আলিম্পিক,	অলিম্পিক,	
heemi,	হিমি,	হিমি,	
gronthao,	গ্রন্থাও,	গ্রন্থও,	
zones,	জোনেস,	জোন্স,	
johny,	জননি,	জনি,	
manshe,	মানসে,	মানুষে,	
provritike,	প্রভূতিকে,	প্রভৃতিকে,	
abosare,	অবসারে,	অবসরে,	
vejaano,	ভেজানো,	ভেজানো,	
nischitarupey,	নিশ্চিতারূপে,	নিশ্চিতরূপে,	
venkatesh,	ভেনকেতেস,	ভেঙ্কটেশ,	
naagaalyand,	নাগাল্যান্ড,	নাগাল্যান্ড,	
fostar,	ফস্টার,	ফস্টার,	
novell,	নওভেল,	নভেল,	
torun,	তরুণ,	তরুন,	
spredashita,	স্প্রেডিসিট,	স্প্রেডশীট,	
sekarone,	সেকরণে,	সেকারণে,	
unsareer,	উনসারির,	আনসারীর,	
hol,	হল,	হোল,	
ooipokar,	উইপককার,	উইপোকার,	
emiretus,	এমেরিটাস,	এমিরেটাস,	
bonbhumite,	বনভুমিতে,	বনভূমিতে,	
nirapattamulok,	নিরপত্তমূকোল,	নিরাপত্তামূলক,	
sachetanotamulak,	সচেতনাতমূকক,	সচেতনতামূলক,	
nagoriker,	নাগরিকের,	নাগরিকের,	
orthoniti,	অর্থনীতি,	অর্থনীতির,	
vince,	ভান্স,	ভিন্স,	
manabmoner,	মানবমমের,	মানবমনের,	
eebhiem,	এভিএএ,	ইভিএম,	
necker,	নিকের,	নেকের,	
janaganonar,	জনগণনার,	জনগণনার,	
santoshpore,	সন্তস্প্যের,	সন্তোষপুর,	
karpeta,	কর্পোট,	কার্পেট,	
protizogiitamulok,	প্রতিযোগিতামূলক,	প্রতিযোগীতামূলক,	
foreex,	ফরিক্স,	ফরেক্স,	
halloin,	হলোলন,	হ্যালোইন,	
moonim,	মুনিম,	মুনিম,	
