alauler,	আলালের,	আলাওলের,	
sumee,	সুমী,	সুমি,	
madelim,	ম্যাডেলিং,	মডেলিং,	
nirvachaker,	নির্বাচকের,	নির্বাচকের,	
lidars,	লিডার্স,	লিডার্স,	
cheere,	চেরে,	চিরে,	
artilleri,	আর্টিলের,	আর্টিলারি,	
tegara,	টেগার,	টাইগার,	
kurdira,	কুর্দীরা,	কুর্দিরা,	
norfolk,	নরফল্ক,	নরফোক,	
muhammod,	মুহম্মদ,	মুহম্মদ,	
harbourey,	হার্ভুরে,	হারবারে,	
samudratate,	সমুদ্রতাতে,	সমুদ্রতটে,	
hazirhaat,	হাজীরাাত,	হাজিরহাট,	
atmobishvashi,	আত্মবিশ্বাসী,	আত্মবিশ্বাসী,	
codee,	কদি,	কোডে,	
gori,	গরি,	গোরি,	
akik,	আকিক,	আকিক,	
opochesta,	অপচেষ্ট,	অপচেষ্টা,	
rohosyor,	রহস্যর,	রহস্যর,	
prachandota,	প্রচণ্ডতা,	প্রচণ্ডতা,	
graambashio,	গ্রাম্বাসীও,	গ্রামবাসীও,	
nirbahi,	নির্বাহী,	নির্বাহি,	
rijur,	রিজুর,	রিজুর,	
deepei,	দিপেই,	দ্বীপেই,	
brinda,	বৃর্ন্ড,	বৃন্দা,	
jaubanbati,	যৌবনবতী,	যৌবনবতী,	
veda,	ভেড,	বেদ,	
khaamba,	খাম্ব,	খাম্বা,	
daaktikiter,	ডাক্তিকিতের,	ডাকটিকিটের,	
drissoi,	দৃশ্যই,	দৃশ্যই,	
motabolombiira,	মতাবলম্বিরা,	মতাবলম্বীরা,	
istan,	ইস্টান,	স্টোন,	
pader,	পাদের,	প্যাডের,	
osthishondhi,	অস্থিশন্ধী,	অস্থিসন্ধি,	
jeesa,	জেস,	জেস,	
uruu,	উরু,	উরু,	
bonkey,	বঙ্কে,	বনকে,	
mile,	মিলে,	মাইল,	
dhanchey,	ধাঁচে,	ধাঁচে,	
alkatra,	অল্কত্র,	আলকাতরা,	
loukikota,	লুলিকতা,	লৌকিকতা,	
akshoti,	আক্ষটি,	একশোটি,	
nishchitrupe,	নিশ্চিত্রপূ,	নিশ্চিতরূপে,	
becha,	বেচা,	বেচা,	
dreeshtiheen,	দৃষ্ঠিহীন,	দৃষ্টিহীন,	
kark,	কার্ক,	কার্ক,	
elakao,	এলাকাও,	এলাকাও,	
puroheetra,	পুরহিত্র,	পুরোহিতরা,	
ponnee,	পন্যী,	পন্নী,	
shreeshree,	শ্রীষ্রী,	শ্রীশ্রী,	
mandape,	মন্ডপে,	মন্ডপে,	
purohitke,	পুরহহিতকে,	পুরোহিতকে,	
swalpa,	স্বল্প,	স্বল্প,	
nilabho,	নিলাভ,	নীলাভ,	
chidropothe,	চিদ্দ্পথে,	ছিদ্রপথে,	
satarkota,	সতারকটা,	সতর্কতা,	
baarak,	বারাক,	বারাক,	
doobate,	দুবাতে,	ডুবাতে,	
himi,	হিমি,	হিমি,	
byabosthar,	ব্যবস্থার,	ব্যাবস্থার,	
kakhanyoba,	কখননওবা,	কখনওবা,	
conflikt,	কনফালিক্ট,	কনফ্লিক্ট,	
manabsamajer,	মানবসমাজের,	মানবসমাজের,	
aarik,	আরিক,	আরিক,	
heawy,	হেভি,	হেভি,	
chhootir,	ছুটির,	ছুটির,	
ansareer,	আনসারীর,	আনসারীর,	
aviyojan,	অভিযোজন,	অভিযোজন,	
laboni,	লবনী,	লাবনী,	
miraclee,	মারাকাই,	মিরাকেল,	
soya,	সোয়া,	সোয়া,	
fund,	ফাউন্ড,	ফান্ড,	
byboshthar,	ব্যবস্থার,	ব্যাবস্থার,	
aashtikota,	অস্তিকোতা,	আস্তিকতা,	
manaber,	মানবের,	মানবের,	
dorun,	দরুণ,	দরুণ,	
shahoshikatar,	শহশিকাতার,	সাহসিকতার,	
naraphooka,	নারফুকো,	নরফোক,	
upobashee,	উপবাষী,	উপবাসী,	
shaaroker,	সারকের,	স্মারকের,	
sikh,	শিখ,	শিখ,	
bbiseshyo,	বিশেষ্য,	বিশেষ্য,	
mojlish,	মজলিস,	মজলিশ,	
mahish,	মহিশ,	মহিষ,	
vittiteo,	ভিতিতেও,	ভিত্তিতেও,	
ssumitrar,	সুমিত্রার,	সুমিত্রার,	
pluse,	প্লাস,	প্লাসে,	
bujhechilo,	বুঝেছিল,	বুঝেছিল,	
uroor,	উরুর,	উরুর,	
parikshateo,	পরিক্ষাতেও,	পরীক্ষাতেও,	
dargah,	দার্ঘ,	দরগাহ,	
karloosa,	কার্লস,	কার্লোস,	
ajeej,	আজিজ,	আজিজ,	
uddhriti,	উদ্ধৃতি,	উদ্ধৃতি,	
obhaarbhiu,	অভারভি,	ওভারভিউ,	
shainyara,	সাইন্যার,	সৈন্যরা,	
deilee,	ডেলি,	ডেইলি,	
poscime,	পশ্চিমে,	পশ্চিমে,	
shaahaabiike,	সাহাবীকে,	সাহাবীকে,	
mitrao,	মিত্রো,	মিত্রও,	
feroza,	ফেরোজা,	ফিরোজা,	
gobeshonagar,	গবেষণাগার,	গবেষনাগার,	
annimated,	অন্নিমাতেদ,	এনিমেটেড,	
balaruma,	বালরমা,	বলরুম,	
gunman,	গুন্মা,	গুণমান,	
meghkey,	মেঘকে,	মেঘকে,	
paripakey,	পরিপাকে,	পরিপাকে,	
deefinishion,	ডিফিনিশন,	ডেফিনেশন,	
rakkhanvag,	রক্ষণভাগ,	রক্ষণভাগ,	
danober,	দানবের,	দানবের,	
kuley,	কুলে,	কুলে,	
prakalpeo,	প্রকল্পলে,	প্রকল্পেও,	
byatikrami,	ব্যাতিক্রমী,	ব্যতিক্রমী,	
bekey,	বেকে,	বেঁকে,	
chhutee,	ছুটি,	ছুটি,	
sures,	সুরেশ,	সুরেশ,	
bihare,	বিহারে,	বিহারে,	
gazipore,	গজীপরে,	গাজীপুর,	
sikkhokke,	শিক্ষককে,	শিক্ষককে,	
oncholsoho,	অঞ্চলসহ,	অঞ্চলসহ,	
mosjidsoho,	মসদিদসহ,	মসজিদসহ,	
mahasava,	মহাসাভা,	মহাসভা,	
lyanda,	ল্যান্ড,	ল্যান্ড,	
ghatol,	ঘটল,	ঘটল,	
makhmale,	মাখমালে,	মখমলে,	
codeguli,	কদেগুলি,	কোডগুলি,	
ekshoti,	একশটি,	একশোটি,	
saptahokal,	সপ্তাহকাল,	সপ্তাহকাল,	
naajee,	নাজী,	নাত্সি,	
moshjidtike,	মোসবিম্তিকে,	মসজিদটিকে,	
soommita,	সুমিতা,	সুমিতা,	
protijogita,	প্রতিযোগিতা,	প্রতিযোগীতা,	
pratisthanikvabey,	প্রতিষ্ঠানিকভাবে,	প্রাতিষ্ঠানিকভাবে,	
mukhamandal,	মুখমন্দল,	মুখমণ্ডল,	
plaiin,	প্লাইন,	প্লেন,	
gononanatyo,	গণনানাত্য,	গণনাট্য,	
sakshatkarer,	সাক্ষাতকারের,	সাক্ষাত্কারের,	
nischoy,	নিশ্চে,	নিশ্চয়,	
mosjidkey,	মস্িদকে,	মসজিদকে,	
goshthiti,	গোষ্ঠিতি,	গোষ্ঠীটি,	
shartho,	শার্থ,	স্বার্থ,	
suparheiro,	সুপারেহর,	সুপারহিরো,	
postake,	পোস্টাকে,	পোস্টকে,	
gronthati,	গ্রন্থাটি,	গ্রন্থটি,	
shcore,	স্কোর,	স্কোর,	
pishach,	পিশাচ,	পিশাচ,	
naraphoka,	নারফোকো,	নরফোক,	
lettar,	লেটার,	লেটার,	
jyakashana,	জ্যাকাশনা,	জ্যাকসন,	
paddhatiteo,	পদ্ধতিতেও,	পদ্ধতিতেই,	
kyantana,	ক্যান্টন,	ক্যান্টন,	
nischitbhabe,	নিশ্চিতভাবে,	নিশ্চিতভাবে,	
toubar,	তৌবার,	তওবার,	
monmotho,	মন্মথ,	মন্মথ,	
taunashipa,	তৌনাশিপ,	টাউনশিপ,	
mohammad,	মহাম্মদ,	মুহাম্মদ,	
wul,	উইল,	উল,	
sahozlabhbhotar,	সহজ্যভভতার,	সহজলভ্যতার,	
vishnuu,	বিষ্ণু,	বিষ্ণু,	
madhookori,	মাধকরী,	মাধুকরী,	
pratiyogira,	প্রতিযোগিরা,	প্রতিযোগীরা,	
bashoborty,	বাসববর্তী,	বশবর্তী,	
suchonakal,	সুচনাকাল,	সূচনাকাল,	
shoodhooi,	সুধু,	শুধুই,	
elakatikay,	এলাকটিকে,	এলাকাটিকে,	
ekghore,	একঘরে,	একঘরে,	
phutanto,	ফুটান্ত,	ফুটন্ত,	
aabahon,	আবাহন,	আবাহন,	
ganohotyake,	গণহত্যকে,	গণহত্যাকে,	
oncolsoho,	অঞ্কলসহ,	অঞ্চলসহ,	
rah,	রা,	রঃ,	
bondhukey,	বন্ধুকে,	বন্ধুকে,	
dephineshana,	ডেফিনেশন,	ডেফিনেশন,	
forma,	ফোর্ম,	ফর্মা,	
rejidensh,	রেজিডেন্স,	রেসিডেন্স,	
remacri,	রেমাক্রি,	রেমাক্রী,	
creesceent,	ক্রিসেেন্ট,	ক্রিসেন্ট,	
oshovyo,	অস্বও,	অসভ্য,	
cheerkoot,	চির্কু,	চিরকুট,	
ponchaasjon,	পঞ্চাশন,	পঞ্চাশজন,	
ashonka,	অসঙ্কা,	আশঙ্কা,	
damonmoolok,	দমমনুমলক,	দমনমূলক,	
boudhher,	বৌধের,	বৌদ্ধের,	
pathachari,	পাঠাচারি,	পথচারী,	
itastata,	ইতসসতা,	ইতস্তত,	
ancholtite,	অঞ্চলিতে,	অঞ্চলটিতে,	
orbeet,	অর্বিত,	অরবিট,	
lyata,	ল্যাট,	ল্যাটা,	
gaadha,	গাধ,	গাধা,	
ustaad,	উৎ্তাদ,	উস্তাদ,	
protizogiira,	প্রতিযোগিরা,	প্রতিযোগীরা,	
songhar,	সংঘার,	সংহার,	
amerikar,	আমেরিকার,	আমেরিকার,	
mugdho,	মুগ্ধ,	মুগ্ধ,	
gadhaa,	গাধা,	গাধা,	
miracle,	মারাকে,	মিরাকেল,	
plator,	প্লাটর,	প্লেটোর,	
daap,	দাপ,	ড্যাপ,	
municipal,	মুনিসিকাল,	মিউনিসিপ্যাল,	
bagdad,	বাগদাদ,	বাগদাদে,	
abheedhaaneek,	অভিধানীক,	অভিধানিক,	
konaa,	কোনা,	কোনা,	
parisankhyanvid,	পরিসংখ্যান্ধী,	পরিসংখ্যানবিদ,	
chorchito,	চর্চিত,	চর্চিত,	
manushsoho,	মনুসসহ,	মানুষসহ,	
madeelim,	মেডলিং,	মডেলিং,	
bim,	বিম,	বিম,	
ganohotyar,	গণহত্যর,	গণহত্যার,	
mesenjjarer,	মেশেনজাজের,	মেসেঞ্জারের,	
ponero,	পনেরও,	পনের,	
neeshanasa,	নিশানস,	নেশনস,	
jerujalem,	জেরুজাজেলাম,	জেরুজালেম,	
goreeb,	গরীব,	গরিব,	
lampot,	লামপট,	লম্পট,	
nirvachokder,	নির্বাচকদের,	নির্বাচকদের,	
maddhukkori,	মধ্যককরি,	মাধুকরী,	
larshon,	লারসন,	লারসন,	
osontos,	অসন্ত,	অসন্তোষ,	
naarsari,	নারসরী,	নার্সারি,	
gronthatike,	গ্রন্থাটিকে,	গ্রন্থটিকে,	
soundarja,	সৌন্দর্য,	সৌর্ন্দয্য,	
machder,	মাছদের,	মাছদের,	
dwibidho,	দ্বিবিধ,	দ্বিবিধ,	
turkeyder,	তুর্কেদের,	তুর্কিদের,	
sarsa,	সর্স,	সোর্স,	
shukranu,	সুক্রাণু,	শুক্রানু,	
hames,	হামেস,	হোমস,	
pacbbar,	পাঁববার,	পাঁচবার,	
arina,	আরিনা,	এরিনা,	
sajano,	সাজানো,	সাজানো,	
shalapheta,	সালফেট,	সালফেট,	
jubokra,	যুবকরা,	যুবকরা,	
sikhar,	শিখার,	শিকার,	
suchanakal,	সুচনাকাল,	সূচনাকাল,	
proteesthan,	প্রতিষ্ঠান,	প্রতিষ্টান,	
uparjoner,	উপর্জনের,	উপার্জনের,	
scare,	স্কার,	স্কোর,	
soinyoder,	সৈন্যদের,	সৈন্যদের,	
beda,	বেদা,	বেদ,	
loukeek,	লুকেক,	লৌকিক,	
bhittie,	ভিত্তেই,	ভিত্তিই,	
protijogiir,	প্রতিযোগীর,	প্রতিযোগীতার,	
folo,	ফোলো,	পোলো,	
naraphoqa,	নারফফোক,	নরফোক,	
novel,	নওভেল,	নভেল,	
starcer,	স্টার্সের,	স্টার্কের,	
prakalpaguli,	প্রকালপাগুলি,	প্রকল্পগুলি,	
rupantar,	রূপান্তর,	রুপান্তর,	
rabe,	রবে,	রবে,	
gostigulo,	গোস্তিগুলো,	গোষ্ঠীগুলো,	
carpete,	কর্পেট,	কার্পেটে,	
methaner,	মেথানের,	মিথেনের,	
dhonyi,	ধন্যী,	ধন্যি,	
schalarship,	স্কাারশিপ,	স্কলারশিপ,	
gootano,	গুটানো,	গুটানো,	
achis,	আচিশ,	আছিস,	
batsmanei,	বাস্মনে,	ব্যাটসম্যানই,	
cooda,	কোড,	কোডা,	
baieq,	বাইক,	বাইক,	
dephinishion,	ডেফিনিশন,	ডেফিনেশন,	
bytes,	ব্যাটেস,	বাইটস,	
foreex,	ফরিক্স,	ফরেক্স,	
gondhe,	গণ্ধে,	গন্ধে,	
drishyoi,	দৃশ্যই,	দৃশ্যই,	
cholochchitragulor,	চলচিত্রগুলোর,	চলচ্চিত্রগুলোর,	
eemeergeency,	এমার্েন্সি,	এমার্জেন্সি,	
shuknaa,	শুকনা,	শুকনা,	
gasthigulo,	কা্্থীগুলো,	গোষ্ঠীগুলো,	
pujita,	পুজিতা,	পুজিত,	
deejeejer,	দিজিজের,	ডিজিজের,	
bbosonte,	বসন্তে,	বসন্তে,	
sanatoni,	সানাননি,	সনাতনী,	
birder,	বির্ডের,	বার্ডের,	
fising,	ফিসিং,	ফিসিং,	
hajareebag,	হাজীবাগ,	হাজারিবাগ,	
khalidkay,	খালিদকে,	খালিদকে,	
michiler,	মিচিলের,	মিছিলের,	
location,	লোকেশন,	লোকেশন,	
pouchute,	পৌঁছুতে,	পৌঁছুতে,	
vodka,	ভোদকা,	ভদকা,	
jalrong,	জাযার্গ,	জলরঙ,	
faskari,	সাক্কারী,	ফাঁসকারী,	
nutoner,	নুটনের,	নূতনের,	
bishnuu,	বিষ্ণু,	বিষ্ণু,	
koomari,	কোমারি,	কুমারী,	
pubancholer,	পুবনাচলের,	পূর্বাঞ্চলের,	
embaed,	এমবেদ,	এম্বেড,	
unit,	উনিত,	ইউনিট,	
norfolq,	নরফল্ক,	নরফোক,	
deepan,	দিপান,	দীপন,	
bhorpur,	ভররপুর,	ভরপুর,	
sabrakamer,	সবর্কামের,	সবরকমের,	
jakser,	যাক্ষের,	যক্ষের,	
sonatani,	সোনাটানি,	সনাতনী,	
kottor,	কত্বর,	কট্টর,	
durgotsob,	দুর্তসসব,	দুর্গোৎসব,	
neermolotaa,	নির্মলতা,	নির্মলতা,	
susama,	সুসম,	সুসম,	
bayshorkarikarone,	বাসরকারিকরণ,	বেসরকারিকরণ,	
basalt,	বাসল,	ব্যাসল্ট,	
mookhomandoley,	মুখমন্ডলে,	মুখমণ্ডলে,	
nodigulir,	নদীগুলির,	নদীগুলির,	
shaartho,	সার্থ,	স্বার্থ,	
chorchita,	চর্চিত,	চর্চিত,	
jerusalema,	জারুডাকাই,	জেরুসালেম,	
prakalpagulo,	প্রকালপালোো,	প্রকল্পগুলো,	
heebhi,	হিভি,	হেভি,	
jesa,	জেস,	জেস,	
jansha,	জাঁসা,	জন্স,	
seguloi,	সেগুলোই,	সেগুলোই,	
maahe,	মাহে,	মাহে,	
hugh,	হুঘ,	হিউজ,	
ssumi,	সুমী,	সুমি,	
pashchatey,	পাশ্চাতে,	পশ্চাতে,	
samannoi,	সমান্যই,	সামান্যই,	
hydra,	হাইড্র,	হাইড্রা,	
modeler,	মোদেলের,	মডেলের,	
balabhadra,	বালভাদরা,	বলভদ্র,	
maudelti,	মডেলটি,	মডেলটি,	
chondrima,	চন্দ্রিমা,	চন্দ্রিমা,	
udbhabon,	উদ্ভাবন,	উদ্ভাবন,	
duplee,	ডুপলি,	ডুপ্লে,	
scholarsip,	স্কলারশিপ,	স্কলারশিপ,	
ancholgoolote,	অঞ্চলগগোতে,	অঞ্চলগুলোতে,	
ruby,	রুবি,	রুবি,	
elaakaa,	এলাকা,	এলাকা,	
ghotleo,	ঘটলেও,	ঘটলেও,	
bocchoner,	বছ্চনের,	বচ্চনের,	
gulen,	গুলেন,	গুলেন,	
giitikobitar,	গিতিতিকভার,	গীতিকবিতার,	
prachurjer,	প্রাচর্যের,	প্রাচুর্যের,	
nothivukteer,	নথিভুক্তির,	নথিভুক্তির,	
teemplatee,	ট্র্ল্ল্টে,	টেম্পলেট,	
parjotaker,	পর্যতাকের,	পর্যটকের,	
abhidhanic,	অভিধানিক,	অভিধানিক,	
dhhaalur,	ঢালুর,	ঢালুর,	
jibjontu,	জীবনযত্ত,	জীবজন্তু,	
dhrubak,	ধ্রুবাক,	ধ্রুবক,	
jes,	জেস,	জেস,	
godamjato,	গদমাজত,	গুদামজাত,	
ragi,	রাগী,	রাগী,	
gara,	গার,	গোর,	
teksuser,	টেক্সুসের,	টেক্সাসের,	
byabaharkareederke,	ব্যবহারকারীদকে,	ব্যবহারকারীদেরকে,	
peeth,	পেথ,	পীঠ,	
vejaano,	বেজানো,	ভেজানো,	
dormitoree,	দরমিতরি,	ডরমিটরি,	
godamjat,	গদম্যাম,	গুদামজাত,	
santoshpore,	সন্তঃপ্পরে,	সন্তোষপুর,	
postay,	পোস্টে,	পোস্টে,	
maudeling,	মোডেলিং,	মডেলিং,	
hiranee,	হিরানী,	হিরানি,	
arakani,	আরকানী,	আরাকানী,	
jokrit,	যকৃত,	যকৃৎ,	
chalechi,	চলেছি,	চলেছি,	
pratimar,	প্রতিমার,	প্রতিমার,	
purbanchole,	পূর্বাংচলে,	পূর্বাঞ্চলে,	
dibeting,	ডিবেটিং,	ডিবেটিং,	
khijir,	খিজির,	খিজির,	
avisongson,	অভিসংসন,	অভিশংসন,	
up,	উপ,	আপ,	
soourse,	সুর্স,	সোর্স,	
bonbhumi,	বনভূমি,	বনভূমি,	
torkaryr,	তরকারীর,	তরকারীর,	
rk,	রিক,	আরকে,	
nitikotha,	নীতিকোথ,	নীতিকথা,	
udbodhani,	উদ্বধানী,	উদ্বোধনী,	
samudrotatey,	সমুদ্রতাতে,	সমুদ্রতটে,	
joqy,	জোকি,	জকি,	
shikkhakram,	শিক্ষাক্রম,	শিক্ষাক্রম,	
baruklin,	বারুকুলিন,	ব্রুকলিন,	
byatasamyan,	ব্যাসমা্যন,	ব্যাটসম্যান,	
porichhonnota,	পরিচন্নতা,	পরিচ্ছন্নতা,	
shreemati,	শ্রীমাটি,	শ্রীমতি,	
vagno,	ভাগনও,	ভগ্ন,	
caaling,	ক্যালিং,	কুলিং,	
cannel,	ক্যানেল,	ক্যানেল,	
kokhonoba,	কখনোাা,	কখনওবা,	
paschater,	পশ্চাতের,	পশ্চাতের,	
heeja,	হেজা,	হেজ,	
biprodas,	বিপ্রদাস,	বিপ্রদাস,	
gudamjato,	গুদ্যামত,	গুদামজাত,	
dharagulor,	ধারগুলোর,	ধারাগুলোর,	
ganona,	গণনা,	গণনা,	
stain,	স্টেইন,	স্টেন,	
chapol,	চাপল,	চপল,	
daja,	দাজা,	ডোজো,	
teenej,	টেনেজ,	টিনেজ,	
paschimey,	পাশ্চিমে,	পশ্চিমে,	
tukrowti,	তুকর্টটি,	টুকরোটি,	
bbiswasho,	বিশ্বাস,	বিশ্বাসও,	
slok,	স্লোক,	শ্লোক,	
anupater,	অনুপতের,	অনুপাতের,	
bupher,	বুফার,	বাফার,	
bunat,	বুনাত,	বুনট,	
rajtantra,	রাজতন্ত্র,	রাজতন্ত্র,	
nothibhukto,	নথিভুক্ত,	নথিভুক্ত,	
eshiyatika,	এসিয়টিক,	এশিয়াটিক,	
bhramankale,	ভ্রমণকালে,	ভ্রমণকালে,	
nesans,	নেসন্স,	নেশনস,	
atyacharita,	অত্যচারিত,	অত্যাচারিত,	
ropto,	রোপ্ত,	রপ্ত,	
salil,	সালিল,	সলিল,	
pratiyogider,	প্রতিযোগিদের,	প্রতিযোগীদের,	
kabutorer,	কাবুতরের,	কবুতরের,	
dinifitian,	ডিনিফিয়নন,	ডেফিনেশন,	
messengar,	মেসেঙ্গার,	মেসেঞ্জার,	
bhittiteow,	ভিটিতেও,	ভিত্তিতেও,	
asamanyo,	অসমান্য,	অসামান্য,	
basatey,	বাসাতে,	বাসাতে,	
formet,	ফরমেট,	ফরম্যাট,	
taufiq,	টফিক,	তৌফিক,	
keuyi,	কেউই,	কেউই,	
atarkitey,	আটারকিতে,	অতর্কিতে,	
jackson,	জাক্সন,	জ্যাকসন,	
ghenshe,	জেন্স,	ঘেঁষে,	
palbongsher,	পালবংশের,	পালবংশের,	
difinishion,	ডিফিনিশন,	ডেফিনেশন,	
tekno,	টেকনো,	টেকনো,	
gyandas,	গ্ঞ্নাদস,	জ্ঞানদাস,	
dekhbar,	দেখবার,	দেখবার,	
bonnypran,	বন্যপ্রাণ,	বন্যপ্রাণ,	
venis,	ভেনিস,	ভেনিস,	
indrani,	ইন্দ্রানী,	ইন্দ্রাণী,	
janachche,	জনচেছে,	জানাচ্ছে,	
spreadseet,	স্প্রেসিট,	স্প্রেডশীট,	
vogni,	ভগ্নী,	ভগ্নী,	
doula,	দৌলা,	দৌলা,	
varma,	ভার্ম,	ভার্মা,	
bhaabaaponno,	ভাবাপন্ন,	ভাবাপন্ন,	
laaisensh,	লাইসেন্স,	লাইসেন্স,	
shorifer,	শরিফের,	শরিফের,	
homeser,	হোমেসের,	হোমসের,	
isan,	এসন,	ঈশান,	
shaddhii,	শাধ্ধী,	সাধ্বী,	
vastubad,	বাস্তুবাদ,	বস্তুবাদ,	
chalochchitrogulor,	চলচ্চিত্রগুলোর,	চলচ্চিত্রগুলোর,	
marodeha,	মারোেেহ,	মরদেহ,	
dubate,	দুবাতে,	ডুবাতে,	
gorur,	গরুর,	গরুর,	
utshahomulok,	উত্সমূহলক,	উৎসাহমূলক,	
bboponer,	বপনের,	বপনের,	
batikromshali,	ব্যতিক্রমসলী,	ব্যতিক্রমধর্মী,	
futanta,	ফুটান্ট,	ফুটন্ত,	
onekeryi,	অনেকেরী,	অনেকেরই,	
tottenhamer,	তট্টেহহামের,	টটেনহামের,	
tukroti,	তুকরটি,	টুকরোটি,	
licencing,	লিকেস্িং,	লাইসেন্সিং,	
samanwitavabe,	সমান্বতিভাবে,	সমন্বিতভাবে,	
cs,	সিএস,	সিএস,	
oocchoseeto,	অচ্চশিত,	উচ্ছসিত,	
chabir,	ছবির,	চাবির,	
engrejder,	ইংরেজদের,	ইংরেজদের,	
sangasthagulo,	সংস্যাতুলো,	সংস্থাগুলো,	
allah,	আল্লাহ,	আল্লাহ্,	
sushri,	সুশ্রী,	সুশ্রী,	
dinner,	ডিনের,	ডিনার,	
vugoley,	ভুগলে,	ভূগোলে,	
karmakarer,	কর্মকারের,	কর্মকারের,	
shkolashtik,	স্কলাস্টিক,	স্কলাস্টিক,	
wenish,	ওয়েনিস,	ভেনিস,	
manir,	মানির,	মনির,	
dosa,	দোস,	দোসা,	
expressian,	এক্সপ্রেশেয়ান,	এক্সপ্রেশন,	
sanbadmadhyamgulote,	সংব্ধাম্যযুগকে,	সংবাদমাধ্যমগুলোতে,	
dipon,	ডিপন,	দীপন,	
grambasheeo,	গ্রাম্াসে,	গ্রামবাসীও,	
nathivookteer,	নথিভুক্তির,	নথিভুক্তির,	
notikotar,	নতিকতার,	নৈতিকতার,	
kaferderkey,	কারেডারকে,	কাফেরদেরকে,	
bisheshshyer,	বিশেষ্বের,	বিশেষ্যের,	
twakei,	ত্যাকেই,	ত্বকেই,	
prottokhovabe,	প্রত্যক্ষভাবে,	প্রত্যক্ষভাবে,	
agara,	অগরা,	আগোরা,	
biqe,	বিকে,	বাইক,	
daayitto,	দৈত্য,	দায়িত্ব,	
chalochchitragulor,	চলচ্চিত্রগুলোর,	চলচ্চিত্রগুলোর,	
zzojyota,	যোজ্যতা,	যোজ্যতা,	
cholocchitrigulor,	চলচিতির্গুলোর,	চলচ্চিত্রগুলোর,	
dhormi,	ধর্মী,	ধর্মী,	
uttar,	উত্তার,	উওর,	
raya,	রোয়া,	রায়,	
ghumachche,	ঘুমাচ্ছে,	ঘুমাচ্ছে,	
durgotshober,	দুর্ঘটসবের,	দুর্গোৎসবে,	
zommoo,	জমমও,	জম্মু,	
mett,	মেট,	ম্যাট,	
gafilati,	গাইলাটি,	গাফিলতি,	
kingdom,	কিংদম,	কিংডম,	
arakdal,	আরকদল,	আরেকদল,	
ide,	এড,	আইডিই,	
maddhuri,	মাধুরি,	মাধুরী,	
bostubad,	বস্তুবাদ,	বস্তুবাদ,	
iyanki,	ইইনকি,	ইয়াংকি,	
afzol,	আফলল,	আফজল,	
anchalgulir,	অঞ্চলগুলির,	অঞ্চলগুলির,	
itemer,	ইতেমের,	আইটেমের,	
ivam,	ইভাম,	ইভিএম,	
sthapanatir,	স্থাপনতির,	স্থাপনাটির,	
prakar,	প্রকার,	প্রকার,	
ssahosikotar,	সহসিকিতার,	সাহসিকতার,	
pyor,	প্য়র,	পিওর,	
sahocorrzo,	সহচর্র্য,	সাহচর্য,	
nischitvabe,	নিশ্চিতভাবে,	নিশ্চিতভাবে,	
charchita,	চর্চিত,	চর্চিত,	
purbancoler,	পূর্বাংশলের,	পূর্বাঞ্চলের,	
noubihar,	নৌবিহার,	নৌবিহার,	
protizogiita,	প্রতিযোগিতা,	প্রতিযোগীতা,	
domonmulok,	দমননুমলক,	দমনমূলক,	
plete,	প্লেট,	প্লেট,	
enjineerinj,	এঞ্জিনির্জ,	ইঞ্জিনিয়ারিং,	
chenja,	চেঞ্জ,	চেঞ্জ,	
kamola,	কমলা,	কামলা,	
nodimatrik,	নদীমাত্রিক,	নদীমাতৃক,	
soundarjo,	সৌন্দর্য,	সৌর্ন্দয্য,	
bona,	বোনা,	বোনা,	
fokskon,	ফকক্ষণ,	ফক্সকন,	
postkay,	পোস্টে,	পোস্টকে,	
graambaasheeo,	গ্রাম্বাশী,	গ্রামবাসীও,	
harta,	হর্ট,	হার্ট,	
shoccer,	শকের,	সকার,	
seekkharthirao,	শিক্ষার্থীরা,	শিক্ষার্থীরাও,	
anchalti,	অঞ্চলি,	অঞ্চলটি,	
shajanor,	সাজানোর,	সাজানোর,	
ddheela,	ঢেলা,	ঢিলা,	
plasse,	প্লাসে,	প্লাসে,	
proshtot,	প্রস্তত,	প্রস্ত্তত,	
karore,	কারে,	কারোর,	
promotione,	প্রমোশনে,	প্রোমোশনে,	
stationer,	স্টেশনের,	ষ্টেশনের,	
orbiit,	অর্বিত,	অরবিট,	
geejeeteeda,	গেজিটেড,	গেজেটেড,	
pettern,	পেটের্ন,	প্যাটার্ন,	
korush,	কররুশ,	ক্রুশ,	
saseza,	সােো,	সসেজ,	
koro,	কোরো,	করো,	
kuota,	কুটো,	কোটা,	
adhunik,	আধুনিক,	আধুনিক,	
jockei,	যোকে,	জকি,	
upobasher,	উপবাষের,	উপবাসের,	
cholochchitra,	চলচিত্র,	চলচ্চিত্র,	
bhagno,	ভাগনও,	ভগ্ন,	
aamudey,	আমুদে,	আমুদে,	
pleeto,	প্লেট,	প্লেটো,	
samanya,	সমান্য,	সামান্য,	
farna,	ফার্ন,	ফার্ন,	
pirujalee,	পিরুজালি,	পিরুজালী,	
leetteer,	লেটির,	লেটার,	
raagkey,	রাগকে,	রাগকে,	
soinyo,	সৈন্য,	সৈন্য,	
turkmen,	টার্কমেন,	তুর্কমেন,	
lutharen,	লুথরেন,	লুথেরান,	
