anekeri,	অনেকেরী,	অনেকেরই,	
utsahe,	উৎসসহে,	উৎসাহে,	
shoochonakal,	সূচনাকাল,	সূচনাকাল,	
akkaash,	অক্ষাস,	আককাস,	
hizri,	হিজরি,	হিজরী,	
iraner,	ইরানের,	ইরানের,	
zins,	জিন্স,	জিন্স,	
sangbadmadhyame,	সংবাদ্যমধ্যা,	সংবাদমাধ্যমে,	
chhatoke,	ছাটকে,	ছাতকে,	
eexpreession,	এক্সপ্রেশে,	এক্সপ্রেশন,	
rajshri,	রাজস্রী,	রাজশ্রী,	
protijogiira,	প্রতিযোগিরা,	প্রতিযোগীরা,	
tarun,	তরুন,	তরুন,	
stationer,	স্টেশনের,	ষ্টেশনের,	
joistho,	জৈস্থ,	জ্যৈষ্ঠ,	
bhotarer,	ভোটরের,	ভোটারের,	
dwipei,	দ্বিপেই,	দ্বীপেই,	
laesensh,	লেসেন্স,	লাইসেন্স,	
pharna,	ফার্ন,	ফার্ন,	
ramdhanu,	রম্ধনু,	রামধনু,	
raunanganey,	রৌনঙ্গনে,	রণাঙ্গনে,	
obosane,	অবসানে,	অবসানে,	
uponeesoder,	উপনিষদের,	উপনিষদের,	
enamela,	এনামেল,	এনামেল,	
bandra,	বন্দ্রা,	বন্দীরা,	
murli,	মুর্লী,	মুরলী,	
chani,	চানি,	ছানি,	
joneetey,	যোনিতে,	যোনীতে,	
tarunra,	তরুণারা,	তরুণরা,	
orunima,	অরুনিমা,	অরুণিমা,	
vittio,	ভিত্য,	ভিত্তিও,	
amor,	আমর,	আমর,	
naazee,	নাজি,	নাত্সি,	
manmath,	মন্থাথ,	মন্মথ,	
janosonjog,	জনসনযোগ,	জনসংযোগ,	
soorarop,	সুরারো,	সুরারোপ,	
jeshh,	যেস,	জেস,	
mit,	মিট,	মিট,	
nirbaho,	নির্বাহ,	নির্বাহ,	
meshenjar,	মেসেঞ্জার,	মেসেঞ্জার,	
orthonitite,	অর্থনীতিতে,	অর্থনীতিতে,	
shayanaida,	সায়াইনাড,	সায়ানাইড,	
thakte,	থাকতে,	থাকতে,	
vaider,	বাইডের,	ভাইদের,	
chaity,	চাইটি,	চৈতি,	
sabche,	সবচে,	সবচে,	
prastutkarak,	প্রস্তুতকাক,	প্রস্তুতকারক,	
moshzidke,	মস্িদকে,	মসজিদকে,	
deejijer,	ডিজিজের,	ডিজিজের,	
suparahiro,	সুপারহীর,	সুপারহিরো,	
laj,	লাজ,	লাজ,	
teemothy,	টেমথি,	টিমোথি,	
purbanchole,	পূর্বাঞ্চলে,	পূর্বাঞ্চলে,	
prabhritir,	প্রভৃতির,	প্রভৃতির,	
anchalei,	অঞ্চলেই,	অঞ্চলেই,	
basalt,	বাসল্ট,	ব্যাসল্ট,	
greep,	গ্রিপ,	গ্রিপ,	
dibet,	দিবেট,	ডিবেট,	
auncholo,	অঞ্চলো,	অঞ্চলও,	
somratder,	সম্রাতদের,	সম্রাটদের,	
roomantika,	রূমানটিক,	রোমান্টিক,	
lutharana,	লুটরান,	লুথেরান,	
upostheet,	উপস্থিত,	উপস্থিত,	
qrisenta,	ক্রিসেেন্ট,	ক্রিসেন্ট,	
veenish,	ভীনিশ,	ভেনিস,	
tottenhamer,	টটন্টামের,	টটেনহামের,	
mukhomondoler,	মুখমন্ডলের,	মুখমণ্ডলের,	
opargota,	অপর্গতা,	অপারগতা,	
eemarjeensi,	এমার্জেন্সি,	এমার্জেন্সি,	
spredashita,	স্প্রেডসিট,	স্প্রেডশীট,	
aieesa,	আইএসএ,	আইএএস,	
obe,	অবে,	ওবিই,	
sofi,	সফি,	সোফি,	
hafez,	হাফেজ,	হাফেয,	
domone,	দমনে,	দমনে,	
danakana,	ডানাকান,	ডানকান,	
towraat,	তুরাত,	তওরাত,	
trivuz,	ত্রিভুজ,	ত্রিভূজ,	
bedey,	বেদে,	বেদে,	
bhange,	ভঙ্গে,	ভাঙ্গে,	
damanmulak,	দামন্্মূলক,	দমনমূলক,	
oparogota,	অপারোগতা,	অপারগতা,	
basate,	বাসাতে,	বাসাতে,	
laiseensa,	লাইসেন্স,	লাইসেন্স,	
nondolal,	নন্ডোলাল,	নন্দলাল,	
noiteekotabodh,	নৈতিকত্ব,	নৈতিকতাবোধ,	
sohopatheekey,	সহপাঠিকে,	সহপাঠীকে,	
falokti,	ফলকক্তি,	ফলকটি,	
byaboharkaree,	ব্যবহারকারী,	ব্যবহারকারী,	
serverey,	সার্ভারে,	সার্ভারে,	
jokrit,	যকৃত,	যকৃৎ,	
suchanakal,	সূচনাকাল,	সূচনাকাল,	
jones,	জোনেস,	জোন্স,	
nojod,	নজদ,	নজদ,	
vaisoho,	ভৈইসহ,	ভাইসহ,	
tonoo,	তনু,	তনু,	
dharer,	ধারের,	ধরের,	
alonkaron,	অলংকরণ,	অলঙ্করণ,	
ashamorthito,	অসামার্থিত,	অসমর্থিত,	
udbodhoney,	উদ্বোধনে,	উদ্বোধনে,	
ralph,	রলফ,	রালফ,	
siropa,	শিরপা,	শিরোপা,	
chowdhuryder,	চৌধুর্ডের,	চৌধুরীদের,	
songosthatike,	সংস্থাটিকে,	সংস্থাটিকে,	
jeteo,	জেতেও,	যেতেও,	
palashir,	পালসির,	পলাশীর,	
gyandas,	জ্ঞান্ডস,	জ্ঞানদাস,	
hilser,	হিল্সের,	হিলসের,	
heerani,	হেরানি,	হিরানি,	
uipoka,	উইপক,	উইপোকা,	
chalochchitrake,	চলচ্চিত্রকে,	চলচ্চিত্রকে,	
bona,	বোনা,	বোনা,	
kushoomba,	কুসম্বা,	কুশুম্বা,	
enimeted,	এনিমেটেড,	এনিমেটেড,	
somoshtike,	সমস্তিকে,	সমষ্টিকে,	
felto,	ফেলতট,	ফেলত,	
lotheran,	লথযারন,	লুথেরান,	
karmojog,	কর্মযোগ,	কর্মযোগ,	
dadar,	ডাদার,	দাদার,	
shabnam,	শবনাম,	শবনম,	
shaswata,	শাসতা,	শাশ্বত,	
songosthati,	সংস্থাটি,	সংস্থাটি,	
tarokareer,	তারকারীর,	তরকারীর,	
sayatana,	সোয়টন,	শয়তান,	
cholocchitreo,	চলচিচ্রেত্রে,	চলচ্চিত্রেও,	
laisensa,	লাইেন্স,	লাইসেন্স,	
deliver,	ডিলিভার,	ডেলিভার,	
onnoroop,	অন্নরূপ,	অন্যরূপ,	
romjaner,	রমজানের,	রমযানের,	
sushikkhar,	সুশিক্ষার,	সুশিক্ষার,	
gorjon,	গর্জন,	গর্জন,	
bechaa,	বেচা,	বেচা,	
biseshyo,	বিশেষও,	বিশেষ্য,	
monhputa,	মন্পুত,	মনঃপুত,	
meghey,	মেঘে,	মেঘে,	
ghamta,	ঘামতা,	ঘোমটা,	
parther,	পার্থার,	পার্থের,	
graambaasee,	গ্রামবাসী,	গ্রামবাসী,	
deke,	ডেকে,	ডেকে,	
khargosher,	খারগোসের,	খরগোসের,	
eksathe,	একসথে,	একসাথে,	
garjan,	গর্জন,	গর্জন,	
uporitale,	উপরিতালে,	উপরিতলে,	
nadnadir,	নানদদির,	নদনদীর,	
upobaaser,	উপবাষের,	উপবাসের,	
ralapha,	রালফা,	রালফ,	
eastar,	ইস্টার,	ইস্টার,	
flask,	ফ্ল্যাশক,	ফ্লাস্ক,	
poorohitder,	পুরুহিটদের,	পুরোহিতদের,	
choudhoorir,	চৌধুরির,	চৌধুরীর,	
futanto,	ফুটান্ত,	ফুটন্ত,	
prabhura,	প্রভূরা,	প্রভুরা,	
nirgaman,	নির্জামন,	নির্গমন,	
shten,	স্টেন,	স্টেন,	
murad,	মুরাদ,	মুরাদ,	
maradeho,	মরাদহ,	মরদেহ,	
gosthiti,	গোস্থিটি,	গোষ্ঠীটি,	
shuri,	সুরি,	সুরি,	
jibonto,	জীবনত্ত,	জীবন্ত,	
gemi,	জেমি,	জেমি,	
uthe,	উঠে,	উঠে,	
noitikatavodh,	নৈতিতাবোধ,	নৈতিকতাবোধ,	
ponni,	পন্যি,	পন্নী,	
machhder,	মাছদের,	মাছদের,	
sollallhoo,	সল্লাল্যাহ,	সল্লাল্লাহু,	
aairese,	আইরেস,	আইরেসে,	
postay,	পোস্টে,	পোস্টে,	
achis,	আচিস,	আছিস,	
changee,	চ্যাঙ্গি,	চেঞ্জ,	
themekey,	থেমেকে,	থিমকে,	
engrejiteo,	ইংরেজিতে,	ইংরেজিতেও,	
narsaari,	নার্সারি,	নার্সারি,	
sheat,	শেট,	সিট,	
nobotom,	নবতম,	নবতম,	
fulkapi,	ফুলকাপি,	ফুলকপি,	
jatota,	যতটা,	যতোটা,	
armeeniyana,	আর্মেনিয়ান,	আর্মেনিয়ান,	
harbourey,	হার্বরে,	হারবারে,	
bitlaser,	বিটলেসের,	বিটলসের,	
chalachchitreo,	চালচচ্ছিত্রে,	চলচ্চিত্রেও,	
porissrom,	পরিস্রম,	পরিশ্রম,	
mahajote,	মহাযতে,	মহাজোট,	
harees,	হারিস,	হ্যারিস,	
ganaparibahan,	গণপরিবহন,	গণপরিবহন,	
karadandey,	কারাদন্ডে,	কারাদণ্ডে,	
byanger,	ব্যাঙ্গের,	ব্যাঙের,	
rudrake,	রুদ্রাকে,	রুদ্রকে,	
iuro,	ইউরো,	ইউরো,	
soolke,	সুলকে,	শুল্কে,	
sip,	শিপ,	শিপ,	
torabgunj,	তরাবগঞ্জ,	তোরাবগঞ্জ,	
shaushage,	শৌযাগে,	সসেজ,	
kanayi,	কানইই,	কানাই,	
engrejer,	ইংরেজের,	ইংরেজের,	
laiseensim,	লেসনসিং,	লাইসেন্সিং,	
serveray,	সার্ভারে,	সার্ভারে,	
darzi,	দার্জি,	দরজি,	
shalook,	শালুক,	শালুক,	
stonaheenja,	স্তনিহ্ঞ্জ,	স্টোনহেঞ্জ,	
dosider,	দশিদের,	দোষীদের,	
hartz,	হার্ট,	হার্জ,	
seguloi,	সেগুলোই,	সেগুলোই,	
alauler,	আলাউলের,	আলাওলের,	
antarctika,	অন্টার্টিক,	অ্যান্টার্কটিকা,	
bosonte,	বসন্তে,	বসন্তে,	
horeedware,	হরিদারে,	হরিদ্বারে,	
dajyo,	দাজ্য,	দাহ্য,	
kachhakaachhi,	কচ্ছাকাছি,	কাছাকাছি,	
itostatah,	ইতস্তাহ,	ইতস্ততঃ,	
oddure,	অড্দুরে,	অদুরে,	
udbhabane,	উদ্ভাবনে,	উদ্ভাবনে,	
hyarikena,	হ্যারিকেন,	হ্যারিকেন,	
shilpajata,	শিল্পজাত,	শিল্পজাত,	
tafasir,	তাফসির,	তাফসীর,	
sudhuyi,	শুধুই,	শুধুই,	
bishwashoi,	বিশ্বাসই,	বিশ্বাসই,	
soinyo,	সৈন্য,	সৈন্য,	
sansthagulo,	সংস্তাগুলো,	সংস্থাগুলো,	
byabasthar,	ব্যবস্থার,	ব্যবস্থার,	
praman,	প্রমাণ,	প্রমান,	
annorup,	অন্যরূপ,	অন্যরূপ,	
shamuker,	সমমুকের,	শামুকের,	
barakpur,	বারকাপুর,	বারাকপুর,	
pragreesa,	প্রগ্রেস,	প্রগ্রেস,	
plain,	প্লেইন,	প্লেন,	
tuku,	টুকু,	টুকু,	
kathhmandu,	কা্ঠনম্দু,	কাঠমান্ডু,	
obiyi,	অবিই,	ওবিই,	
inamila,	ইনামিল,	এনামেল,	
senabahinike,	সেনাবাহিনীকে,	সেনাবাহিনীকে,	
srichoitonyodeb,	শ্রীচৈতন্যদেব,	শ্রীচৈতন্যদেব,	
pet,	পিট,	পেত,	
sahinsatar,	সহিন্তাার,	সহিংসতার,	
jaubankal,	যৌবনকাল,	যৌবনকাল,	
defineshana,	ডেফিনেশন,	ডেফিনেশন,	
potchitro,	পচ্চিত্র,	পটচিত্র,	
iunita,	ইউনিট,	ইউনিট,	
nischoy,	নিশ্চ,	নিশ্চয়,	
lambaate,	লম্বাতে,	লম্বাটে,	
golakrity,	গোলাকৃতি,	গোলাকৃতি,	
footballerra,	ফুটবলেরা,	ফুটবলাররা,	
bandhubhabaponno,	বন্ধুবনভূন্ণ,	বন্ধুভাবাপন্ন,	
asthisandhi,	অস্থিসন্ধি,	অস্থিসন্ধি,	
uthhaane,	উঠানে,	উঠানে,	
kaleo,	কালেও,	কালেও,	
sangastha,	সংস্থা,	সংস্থা,	
hatochokito,	হতচচচিত,	হতচকিত,	
bipajjanak,	বিপজ্জনক,	বিপজ্জনক,	
tongaa,	টঙ্গা,	টোঙ্গা,	
swasti,	স্বস্তি,	স্বস্তি,	
superheroo,	সুপারেরও,	সুপারহিরো,	
meetropolitan,	মেত্রোপলিতান,	মেট্রোপলিটন,	
fimela,	ফাইমেল,	ফিমেল,	
cholocchitroi,	চলচিত্রই,	চলচ্চিত্রই,	
vastuvad,	বস্তুবাদ,	বস্তুবাদ,	
carlo,	চার্ল,	কার্লো,	
kottor,	কত্তর,	কট্টর,	
jaaluk,	জালুক,	জ্বলুক,	
ekbakye,	একবাকে,	একবাক্যে,	
mehonoti,	মেহনীটি,	মেহনতি,	
upobashee,	উপবাসী,	উপবাসী,	
kriita,	ক্রিত,	ক্রীট,	
peterke,	পিটার্কে,	পিটারকে,	
kortona,	কর্টন,	করতনা,	
amshtrong,	আমস্ট্রং,	আর্মস্ট্রং,	
chalochchitroke,	চলচ্চিত্রকে,	চলচ্চিত্রকে,	
juktorashtrasaha,	যুক্তরাস্তাস,	যুক্তরাষ্ট্রসহ,	
shangkalonti,	সংকলান্তি,	সংকলনটি,	
naajii,	নাজী,	নাত্সি,	
idipasha,	এডিপাশ,	ইডিপাস,	
braqe,	ব্রেক,	ব্রেক,	
emiratas,	এমেরাটাস,	এমিরেটাস,	
armastram,	আর্ষস্ত্রম,	আর্মস্ট্রং,	
barder,	বার্ডার,	বার্ডের,	
spredashiita,	স্প্রেডসিট,	স্প্রেডশীট,	
chat,	ছাট,	চ্যাট,	
duckticket,	ডাক্তিকেট,	ডাকটিকিট,	
pyetarna,	প্যাটার্ন,	প্যাটার্ন,	
shamooker,	সমমুকের,	শামুকের,	
fiksim,	ফিক্সিং,	ফিক্সিং,	
akritakarja,	অক্তরীকর্য,	অকৃতকার্য,	
basturoi,	বস্তুরও,	বস্তুরই,	
dhhaloor,	ঢালুর,	ঢালুর,	
jaaygata,	জাজগত,	জায়গাটা,	
kk,	ক্যাক,	কেকে,	
marmaaraa,	মার্মারা,	মারমারা,	
madhookori,	মাধককরী,	মাধুকরী,	
technocrat,	টেকনোর্ট্,	টেকনোক্র্যাট,	
cheerontan,	চিরা্তান,	চিরন্তন,	
besirbhagi,	বেশিরভাগী,	বেশিরভাগই,	
sanaktokaran,	সনাক্তকরণ,	সনাক্তকরণ,	
uuipoka,	উইপোকা,	উইপোকা,	
eksapreshana,	এক্সপ্রেশন,	এক্সপ্রেশন,	
ghatleo,	ঘাটলেও,	ঘটলেও,	
mukhamandaley,	মুখমন্ডলে,	মুখমণ্ডলে,	
shaahocharje,	সাহার্্যে,	সাহচর্যে,	
orthoniti,	অর্থনীতি,	অর্থনীতির,	
varma,	ভর্মা,	ভার্মা,	
munshi,	মুনসী,	মুন্সী,	
bujhleo,	বুঝলেও,	বুঝলেও,	
overview,	অভিরভিভ,	ওভারভিউ,	
mulgato,	মূলগত,	মূলগত,	
palta,	পাল্টা,	পালটা,	
gabeshanagar,	গবেষণাগার,	গবেষনাগার,	
sikkhakromer,	শিক্ষাক্রমের,	শিক্ষাক্রমের,	
herfer,	হার্ফের,	হেরফের,	
pleto,	প্লেট,	প্লেটো,	
prithbir,	পৃথবীর,	পৃথবীর,	
mautke,	মৎকে,	মতকে,	
mitrer,	মিত্রের,	মিত্রের,	
amerikar,	অ্যামেরিকার,	আমেরিকার,	
juktorastreo,	যুক্তরাস্ট্রেও,	যুক্তরাষ্ট্রেও,	
gaaddafee,	গ্যাড্ফাফ,	গাদ্দাফী,	
awatar,	অওযাটার,	অবতার,	
kruser,	ক্রাসের,	ক্রুশের,	
sobche,	সবচে,	সবচে,	
soccer,	সক্র,	সকার,	
shaaroker,	শারকের,	স্মারকের,	
jhalkathy,	ঝালকাঠি,	ঝালকাঠী,	
idipas,	এদিপাশ,	ইডিপাস,	
sthaponar,	স্থাপনার,	স্থাপনার,	
qonflict,	কনফিল্ক,	কনফ্লিক্ট,	
cheesa,	চিস,	চেস,	
bossontoke,	বসন্তকে,	বসন্তকে,	
maricha,	মারিখা,	মরিচা,	
plena,	প্লেন,	প্লেন,	
danob,	ডানব,	দানব,	
charukola,	চারুকলা,	চারুকলা,	
azaan,	আজান,	আজান,	
chiroharit,	চিরহরিত,	চিরহরিৎ,	
herpher,	হার্ফার,	হেরফের,	
paab,	পাব,	পাব,	
phaksa,	ফাঁস,	ফক্স,	
seeramiks,	সিরামিক্স,	সিরামিকস,	
chatoke,	ছটকে,	ছাতকে,	
mozlishpoor,	মজজিস্পুর,	মজলিশপুর,	
chowdhuryke,	চৌধুরিকে,	চৌধুরীকে,	
log,	লোগ,	লগ,	
bhabna,	ভবণাা,	ভাবনা,	
chikitsar,	চিকিৎসার,	চিকিত্সার,	
tistaar,	টিস্টার,	তিস্তার,	
chhootir,	ছুটির,	ছুটির,	
granthatike,	গ্রন্থাতিকে,	গ্রন্থটিকে,	
uponishad,	উপনিষাদ,	উপনিষদ,	
poromartho,	পরমার্থ,	পরমার্থ,	
gonjona,	গঞ্জনা,	গঞ্জনা,	
ramdhonu,	রম্ধনু,	রামধনু,	
vittimul,	ভিত্মিল,	ভিত্তিমূল,	
salim,	সালিম,	সেলিম,	
zyakasana,	জ্যাকশন,	জ্যাকসন,	
haridware,	হরিদারয়া,	হরিদ্বারে,	
dearas,	ডিরাস,	ডিআরএস,	
sidharther,	সিদধর্থের,	সিদ্ধার্থের,	
bosoben,	বসবেন,	বসবেন,	
shuknaa,	শুক্না,	শুকনা,	
karecha,	করেছা,	করেছ,	
aagom,	আগম,	আগম,	
mondopey,	মন্ডপে,	মন্ডপে,	
uru,	উরু,	উরু,	
muchir,	মুচির,	মুচির,	
tinbhager,	তিনভাগের,	তিনভাগের,	
gaafiloti,	গাফিলোি,	গাফিলতি,	
durgandha,	দুর্গন্ধা,	দুর্গন্ধ,	
homeske,	হোমেসকে,	হোমসকে,	
bosontokey,	বসন্তকে,	বসন্তকে,	
mekon,	মেকন,	মেকং,	
donut,	দনুত,	ডোনাট,	
nojder,	নজদের,	নজদের,	
utshahomulok,	উৎসামশূলক,	উৎসাহমূলক,	
biprodas,	বিপ্রদাস,	বিপ্রদাস,	
kushomva,	কুষম্ভা,	কুশুম্বা,	
grambashi,	গ্রামবাসী,	গ্রামবাসী,	
bhumir,	ভূমির,	ভূমির,	
monohputo,	মনোপুত,	মনঃপুত,	
grambaashio,	গ্রামবাসিয়া,	গ্রামবাসীও,	
astheesandhi,	অস্থিসন্ধি,	অস্থিসন্ধি,	
prokalpaguli,	প্রকালগুলি,	প্রকল্পগুলি,	
chheelonaa,	ছিলনা,	ছিলনা,	
seo,	সিও,	সেও,	
phutbolarer,	ফুটবলারের,	ফুটবলারের,	
ponchaashjon,	পঞ্চাস্ঞান,	পঞ্চাশজন,	
adbhansed,	অ্যাডভান্সেড,	অ্যাডভান্সড,	
chotto,	চত্ব,	ছোট্ট,	
bahubar,	বহুবার,	বহুবার,	
chheelona,	ছিলনা,	ছিলনা,	
jyaka,	জ্যাক,	জ্যাক,	
sazanor,	সাজানোর,	সাজানোর,	
sampadankari,	সম্পাদনকারী,	সম্পাদনকারী,	
ogovir,	অগভীর,	অগভীর,	
sahokaree,	সহকারি,	সহকারী,	
choudhureeder,	চৌধুরিদের,	চৌধুরীদের,	
jolaatanko,	জলাতনক,	জলাতঙ্ক,	
bakhyateet,	বাখ্যাতি,	ব্যাখ্যাতীত,	
sotorkota,	সতরকতা,	সতর্কতা,	
bedke,	বেদকে,	বেদকে,	
bosstonte,	বস্তন্তে,	বসন্তে,	
depooti,	ডিপুটি,	ডেপুটি,	
chainge,	চেইন,	চেঞ্জ,	
abheedhaneek,	অভিধানিক,	অভিধানিক,	
pratijogitar,	প্রতিযোগিতার,	প্রতিযোগীতার,	
obharabhiu,	অভারভিভ,	ওভারভিউ,	
hajjirhat,	হজ্রিহাত,	হাজিরহাট,	
calabe,	চালাবে,	চালাবে,	
syutara,	স্যুটর,	শ্যুটার,	
dipei,	ডিপেই,	দ্বীপেই,	
phiksha,	ফিক্স,	ফিক্স,	
ahalyar,	অহল্যার,	অহল্যার,	
hood,	হুড,	হুড,	
manushera,	মাুুসেরা,	মানুষেরা,	
spreadseet,	স্প্রাডসিট,	স্প্রেডশীট,	
teoyana,	টিউয়ান,	তাইওয়ান,	
rinatmok,	ঋণাত্মক,	ঋনাত্মক,	
baibosthar,	ব্যবস্থার,	ব্যবস্থার,	
noditir,	নদীতীর,	নদীটির,	
bolatkar,	বলাতকার,	বলাৎকার,	
mauhajote,	মহাযতে,	মহাজোট,	
elaakai,	এলাকাই,	এলাকাই,	
qoda,	কোড,	কোডা,	
onektai,	অনেকটাই,	অনেকটাই,	
madal,	মাদাল,	মাদল,	
chalachchitrogulor,	চলচ্ছিত্রগুলোর,	চলচ্চিত্রগুলোর,	
gazipur,	গাজিপুর,	গাজিপুর,	
neelkuthir,	নিলকুঠির,	নীলকুঠির,	
shiropa,	শিরপা,	শিরোপা,	
beeswasi,	বিশ্বাসী,	বিশ্বাসী,	
ispredsheet,	ইস্প্রেডস্ট,	স্প্রেডশীট,	
bhugten,	ভুগটেন,	ভুগতেন,	
ivaner,	ইভানের,	ইভানের,	
chinito,	চিনিত,	চিনতো,	
aanish,	আনিশ,	আনিস,	
suddeen,	সুদ্দিন,	সাডেন,	
gotibegey,	গতিবেগে,	গতিবেগে,	
swarthe,	স্বর্থে,	স্বার্থে,	
ancholtee,	অঞ্চলটি,	অঞ্চলটি,	
tinhajar,	তিনহাজার,	তিনহাজার,	
pravu,	প্রভূ,	প্রভু,	
bholapuqa,	ভলাপুকা,	ভোলাপুক,	
rajtantra,	রাজ্তান্ত্র,	রাজতন্ত্র,	
scorey,	স্করে,	স্কোরে,	
hachchilo,	হা্চিল,	হচ্ছিলো,	
boudhher,	বৌদের,	বৌদ্ধের,	
rautine,	রাউটিন,	রুটিন,	
kemone,	কেমনে,	কেমনে,	
sonali,	সোনালি,	সোনালী,	
vobanir,	ভবানীর,	ভবানীর,	
obhijojon,	অভিযোজন,	অভিযোজন,	
nirikh,	নিরিখ,	নিরিখ,	
siddhantao,	সিদ্বান্তাও,	সিদ্ধান্তও,	
gambasi,	গম্বাসী,	গ্রামবাসী,	
zerusalem,	জেরুসালে,	জেরুজালেম,	
arakani,	আরকানি,	আরাকানী,	
barbe,	বর্বে,	বাড়বে,	
bidrup,	বিদ্রূপ,	বিদ্রূপ,	
bipradas,	বিপ্রদাস,	বিপ্রদাস,	
shtena,	স্টেন,	স্টেন,	
foloshrutite,	ফলস্রুতিতে,	ফলশ্রুতিতে,	
mithener,	মিঠেনের,	মিথেনের,	
mulor,	মুলর,	মুলোর,	
akkas,	এক্ষাস,	আককাস,	
krok,	ক্রক,	ক্রোক,	
oodoore,	অদুরে,	অদুরে,	
shepherd,	সেফার্ড,	শেফার্ড,	
vandar,	ভান্ডার,	ভাণ্ডার,	
vobotarini,	ভবতারণী,	ভবতারিণী,	
songasthatike,	সংস্থাটিকে,	সংস্থাটিকে,	
dipgulote,	দিপগুলোতে,	দ্বীপগুলোতে,	
parkasa,	পার্কস,	পার্কস,	
doobhara,	ডুভার,	ডোভার,	
asantosh,	অসন্তস,	অসন্তোষ,	
jatata,	যতটা,	যতোটা,	
shomraat,	সমরাত,	সম্রাট,	
nikel,	নিকেল,	নিকেল,	
joisttho,	জৈষ্থ্য,	জ্যৈষ্ঠ,	
thanvi,	ঠান্ভী,	থানভী,	
mooldoova,	মুদমুগা,	মলদোভা,	
danober,	দানবের,	দানবের,	
iash,	ইস,	আইএএস,	
udichi,	উদিচি,	উদীচী,	
muhammada,	মুহাম্মাদা,	মুহাম্মদ,	
chalo,	চাল,	চলো,	
treebhuj,	ত্রিভুজ,	ত্রিভূজ,	
neermol,	নির্মল,	নির্মল,	
gadha,	গাধ,	গাধা,	
bikargrosto,	বিকারগ্রস্ত,	বিকারগ্রস্ত,	
meghachchanno,	মেঘাচন্ন্ন,	মেঘাচ্ছন্ন,	
moithili,	মথিিলি,	মৈথিলি,	
koomarir,	কুমারির,	কুমারীর,	
paltechhey,	পাল্টেছে,	পাল্টেছে,	
engineering,	এঞ্েনিং,	ইঞ্জিনিয়ারিং,	
samanya,	সামান্য,	সামান্য,	
boudha,	বৌধ,	বৌদ্ধ,	
bisringkhola,	বিশৃংখলা,	বিশৃঙ্খলা,	
postke,	পোস্ে,	পোস্টকে,	
swalpa,	স্বল্পা,	স্বল্প,	
bonyopran,	বন্যপ্রাণ,	বন্যপ্রাণ,	
kamij,	কমিজ,	কামিজ,	
blagarara,	ব্লগারার,	ব্লগাররা,	
evereste,	ইভারেস্ট,	এভারেস্টে,	
chalabe,	চালাবে,	চালাবে,	
anupater,	অনুপাতের,	অনুপাতের,	
chhereche,	ছেরেছে,	ছেড়েছে,	
omkar,	অমকার,	ওঙ্কার,	
duburira,	দুবুরীরা,	ডুবুরিরা,	
ganosakkharata,	গণসাক্ষরত,	গণসাক্ষরতা,	
janasangjog,	জনসাসযোগ,	জনসংযোগ,	
dormitoree,	ডরমিটরি,	ডরমিটরি,	
sakshatkarer,	সাক্ষাৎকারের,	সাক্ষাত্কারের,	
orthat,	অর্থাত,	অর্থাৎ,	
jakso,	যক্ষ,	যক্ষ,	
nagorikra,	নাগরিকারা,	নাগরিকেরা,	
benke,	বেঁকে,	বেঁকে,	
sangkalanti,	সংকলান্তি,	সংকলনটি,	
daacktickete,	ডাক্তিকেতে,	ডাকটিকিটে,	
goodamjato,	গুদাজমাত,	গুদামজাত,	
arthanitike,	অর্থনীতিকে,	অর্থনীতিকে,	
dharai,	ধরাই,	ধারাই,	
semai,	সেমাই,	সেমাই,	
baibasthaar,	ব্যবস্থার,	ব্যবস্থার,	
nilphamarir,	নীলফমমারীর,	নীলফামারীর,	
peterer,	পিটারের,	পিটারের,	
oncholo,	অঞ্চল,	অঞ্চলও,	
abarto,	আবর্ত,	আবর্ত,	
mmesenjarer,	মেসেঞ্জারের,	মেসেঞ্জারের,	
bhaskar,	ভাস্কার,	ভাস্কর,	
ekaar,	একার,	একার,	
monjhoshtho,	মন্যস্থ,	মঞ্চস্থ,	
heza,	হেজ,	হেজ,	
charzara,	চার্জারা,	চার্জার,	
tinhazar,	তিনহাজার,	তিনহাজার,	
baipash,	বাইপস,	বাইপাস,	
bosantake,	বসন্তকে,	বসন্তকে,	
foloshruti,	ফলস্রুতি,	ফলশ্রুতি,	
jomkalo,	জমকালা,	জমকালো,	
nishader,	নিষাদের,	নিষাদের,	
ovizojon,	অভিযোজন,	অভিযোজন,	
reetesh,	রেটস,	রিতেশ,	
treevuj,	ত্রিভুজ,	ত্রিভূজ,	
thakeni,	থাকেনি,	থাকেনি,	
songbadmadhyame,	সংবাদ্যমধ্যা,	সংবাদমাধ্যমে,	
cholochchitrer,	চলচিত্রের,	চলচ্চিত্রের,	
teman,	তেমন,	তেমন,	
karta,	করতা,	করতা,	
baharampurer,	বহরামপুরের,	বহরমপুরের,	
kaalniir,	কালনীর,	কালনীর,	
hunayin,	হুনইইন,	হুনাইন,	
choudhooreeo,	চৌধূরী,	চৌধুরীও,	
bhyatikaaner,	ভ্যাতিকানের,	ভ্যাটিকানের,	
durvaggo,	দুর্ভাগ্য,	দূর্ভাগ্য,	
ganochiner,	গণচীনের,	গণচীনের,	
asociatis,	অসোসিটিস,	এসোসিয়েটস,	
rinatmak,	ঋণাত্মক,	ঋনাত্মক,	
bhaangchoor,	ভাঙচুর,	ভাংচুর,	
