estoniya,	এস্টনিয়া,	এস্তোনিয়া,	
faltu,	ফল্তু,	ফালতু,	
yukeliptash,	ইউকেলিপিট্স,	ইউক্যালিপ্টাস,	
letterey,	লেটারে,	লেটারে,	
falokti,	ফালকটি,	ফলকটি,	
oojbekistaner,	উজ্বিক্তিনের,	উজবেকিস্তানের,	
pooroheetke,	পুরহহিতকে,	পুরোহিতকে,	
kredita,	ক্রেডিট,	ক্রেডিট,	
aaireesh,	আইরিশ,	আইরিস,	
jolaatonko,	জলতানক,	জলাতঙ্ক,	
qara,	কারা,	কর,	
routiner,	রুটিনের,	রুটিনের,	
venna,	ভেন্না,	ভেন্না,	
tenishe,	টেনিসে,	টেনিসে,	
dakhbaar,	দাখবার,	দেখবার,	
monohor,	মনোহর,	মনোহর,	
yauth,	ইউথ,	ইয়ুথ,	
shringgey,	স্রিঙ্গে,	শৃঙ্গে,	
vagni,	ভাগ্নী,	ভগ্নী,	
rupdan,	রূপদান,	রুপদান,	
chhatke,	ছাটকে,	ছাতকে,	
alimpika,	আলিম্পিকা,	অলিম্পিক,	
sooya,	সোয়া,	সোয়া,	
kottor,	কতট্র,	কট্টর,	
vaskor,	ভাস্কর,	ভাস্কর,	
prithibir,	পৃথিবীর,	পৃথবীর,	
chhatta,	ছাটটা,	ছোট্ট,	
unitshoho,	ইনিিসসহ,	ইউনিটসহ,	
konflict,	কনফ্লিক্ট,	কনফ্লিক্ট,	
zuktorastreo,	যুক্তরাস্ট্রে,	যুক্তরাষ্ট্রেও,	
graambaasee,	গ্রামবাসী,	গ্রামবাসী,	
baraak,	বারাক,	বারাক,	
lohar,	লোহার,	লোহার,	
purohitra,	পুরহহিত্রা,	পুরোহিতরা,	
ispreedshiit,	ইস্পির্সিইট,	স্প্রেডশীট,	
sompadoner,	সম্পাদনের,	সম্পাদনের,	
krechi,	ক্রেছি,	করেছি,	
drissoi,	দৃশ্যই,	দৃশ্যই,	
vool,	ভুল,	উল,	
pacchen,	পাঁচেন,	পাচ্ছেন,	
rilayensha,	রিলেন্স,	রিলায়েন্স,	
jeellool,	জিল্লুল,	জিল্লুল,	
samsher,	সামশের,	সমশের,	
siddhantoi,	সিদ্ধান্তি,	সিদ্ধান্তই,	
baasaake,	বাসাকে,	বাসাকে,	
kathmandutey,	কাঠমানুদোে,	কাঠমান্ডুতে,	
balabhadra,	বালভাদ্র,	বলভদ্র,	
abheedhanik,	অভিধানিক,	অভিধানিক,	
shepherd,	সেফের্ড,	শেফার্ড,	
ashongkai,	অসংকে,	আশঙ্কাই,	
koreempoor,	করিমপুর,	করিমপুর,	
shringge,	স্রিঙ্জ,	শৃঙ্গে,	
lompot,	লম্পট,	লম্পট,	
onodhikaar,	অনৈধিকার,	অনধিকার,	
dwibidh,	দ্বিবিধ,	দ্বিবিধ,	
hizriite,	হিজরিতে,	হিজরীতে,	
moshjid,	মস্বিদ,	মসজিদ,	
dharmi,	ধর্মী,	ধর্মী,	
obhishangsan,	অভিসংসান,	অভিশংসন,	
lotheran,	লোেরান,	লুথেরান,	
archimedes,	আর্চিমাডেস্স,	আর্কিমিডিস,	
ekoghoore,	একঘুরে,	একঘরে,	
hijrite,	হিজরিতে,	হিজরীতে,	
nikela,	নিকেলা,	নিকেল,	
ovishangsan,	অভিসংসান,	অভিশংসন,	
atohar,	আতাহার,	আতহার,	
shkirt,	স্কার্ট,	স্কার্ট,	
monu,	মনু,	মনু,	
bhabuk,	ভাবুক,	ভাবুক,	
volapuk,	ভলাপুক,	ভোলাপুক,	
craze,	ক্রেজ,	ক্রেজ,	
dhikrito,	ঢীকৃত,	ধিকৃত,	
japaanira,	জাপানীরা,	জাপানিরা,	
vushito,	ভূষিত,	ভূষিত,	
hoila,	হইল,	হইল,	
graambaasider,	গ্রামবাসীদের,	গ্রামবাসীদের,	
manabmoner,	মানবমনের,	মানবমনের,	
ganokantho,	গণকণ্ঠ,	গণকণ্ঠ,	
jemske,	জেমসকে,	জেমসকে,	
faksa,	ফক্স,	ফক্স,	
pratisthasaho,	প্রতিষ্ঠাসহ,	প্রতিষ্ঠাসহ,	
hiiragana,	হিরাগান,	হিরাগানা,	
rakkhanbhag,	রক্ষণভাগ,	রক্ষণভাগ,	
mesenzar,	মেসেন্জার,	মেসেঞ্জার,	
vandar,	ভান্ডার,	ভাণ্ডার,	
bibechya,	বিবেচ্যা,	বিবেচ্য,	
sarolyo,	সরলল্য,	সারল্য,	
uchchataro,	উচ্চতারও,	উচ্চতর,	
inamil,	ইনামিল,	এনামেল,	
heelser,	হিল্সের,	হিলসের,	
tusho,	তুষ,	তুসো,	
soceitytey,	সোকিতেই,	সোসাইটিতে,	
dipei,	দিপেই,	দ্বীপেই,	
nationsh,	নটিশন্স,	নেশনস,	
gonocheener,	গণচীনের,	গণচীনের,	
janate,	জানাতে,	জানাতে,	
graameroi,	গ্রামেরাই,	গ্রামেরই,	
netherlander,	নেথারল্যান্ডের,	নেদারল্যান্ডের,	
mandope,	মন্ডপে,	মন্ডপে,	
plane,	প্লেন,	প্লেন,	
starker,	স্টার্কের,	স্টার্কের,	
bosontokey,	বসন্তকে,	বসন্তকে,	
tale,	তেল,	তালে,	
vejaano,	ভেজানও,	ভেজানো,	
jaqi,	যাকি,	জকি,	
bm,	বিএিএম,	বিএম,	
itemer,	ইতেমের,	আইটেমের,	
pronoti,	প্রনটি,	প্রণতি,	
durgandher,	দুর্গান্ধের,	দুর্গন্ধের,	
oholla,	অহল্লা,	অহল্যা,	
kanthar,	কাঁঠার,	কাঁথার,	
naabyota,	নাব্যতা,	নাব্যতা,	
sosa,	সো,	শশা,	
uponeesoder,	উপনিশাদের,	উপনিষদের,	
phoster,	ফোস্টার,	ফস্টার,	
armastram,	অর্মস্ত্রাম,	আর্মস্ট্রং,	
peterke,	পেটারকে,	পিটারকে,	
chhooteete,	ছুটিতে,	ছুটিতে,	
ekok,	একক,	একক,	
venise,	ভেনিসে,	ভেনিসে,	
oshovyo,	অসভ্য,	অসভ্য,	
elakatikay,	এলাকটিকে,	এলাকাটিকে,	
chalesi,	চলেসি,	চলেছি,	
ostad,	অস্টাদ,	ওস্তাদ,	
probhritike,	প্রভৃতিকে,	প্রভৃতিকে,	
monjeele,	মঞ্জিলে,	মঞ্জিলে,	
seating,	সিটিং,	সিটিং,	
ajouno,	অজৌন,	অযৌন,	
dharabhashyokar,	ধারাভাষ্যকার,	ধারাভাষ্যকার,	
tukrowti,	তুকরুতি,	টুকরোটি,	
noiteekvabe,	নৈতিকভাবে,	নৈতিকভাবে,	
mesenjjarer,	মেশেনজজারের,	মেসেঞ্জারের,	
ummul,	উম্মুল,	উম্মুল,	
mukharji,	মুখার্জি,	মুখার্জী,	
adhattikotar,	আধ্যত্তিতার,	আধ্যাত্মিকতার,	
spashtotai,	স্পষ্টটাই,	স্পষ্টতই,	
moricha,	মরিচা,	মরিচা,	
fishing,	ফিশিং,	ফিসিং,	
sherup,	শেরুপ,	সেরুপ,	
gudamjato,	গুদম্জতত,	গুদামজাত,	
qarpeta,	কর্পট,	কার্পেট,	
beshorkarikarone,	বেসরকারীকরণ,	বেসরকারিকরণ,	
byaboharkariderkey,	ব্যবহারকারিকে,	ব্যবহারকারীদেরকে,	
licencedhari,	লিকেস্চারীরা,	লাইসেন্সধারী,	
jhalkathi,	ঝালকাঠি,	ঝালকাঠী,	
chalochchitrotike,	চলচ্চিত্রটিকে,	চলচ্চিত্রটিকে,	
samudratatey,	সমুদ্রতাে,	সমুদ্রতটে,	
dharmee,	ধর্মী,	ধর্মী,	
nothibhookteer,	নথিভুক্তির,	নথিভুক্তির,	
bhootara,	ভূটারা,	ভোটার,	
karadondo,	কারাদন্ড,	কারাদণ্ড,	
chorchito,	চর্চিত,	চর্চিত,	
dhhaaloor,	ঢালুর,	ঢালুর,	
jounatar,	যৌনতার,	যৌনতার,	
nirapattamulak,	নিরাতততমূলক,	নিরাপত্তামূলক,	
bhaabaponno,	ভাবপন্য,	ভাবাপন্ন,	
artharer,	অর্থারের,	আর্থারের,	
bongobondhu,	বঙ্গবন্ধু,	বঙ্গবন্ধু,	
engineerin,	ইঞ্জিনির,	ইঞ্জিনিয়ারিং,	
enimeted,	ইনিমেটেড,	এনিমেটেড,	
mitro,	মিত্রো,	মিত্রও,	
shaattoki,	সত্তকী,	সাত্যকি,	
shotokey,	শতকে,	শতকে,	
lyand,	ল্যান্ড,	ল্যান্ড,	
leta,	লেট,	ল্যাটা,	
jyestthotar,	যিষ্ঠাতার,	জ্যেষ্ঠতার,	
debug,	দেবুগ,	ডিবাগ,	
sift,	সিফ্ট,	শিফট,	
korkat,	করকাট,	কর্কট,	
byomkesh,	ব্যমমকেস,	ব্যোমকেশ,	
uindo,	উইন্ডো,	উইন্ডো,	
fanser,	ফেনসের,	ফাঁসের,	
vvimsenn,	ভাইমেসন,	ভীমসেন,	
ashanka,	আশাঙ্কা,	আশংকা,	
hamburg,	হাম্বর্গ,	হামবুর্গ,	
jomkaalo,	জোমকালো,	জমকালো,	
inshtol,	ইনস্টল,	ইন্সটল,	
up,	উপ,	আপ,	
haipar,	হাইপার,	হাইপার,	
keraam,	কেরাম,	কেরাম,	
heerani,	হীরণী,	হিরানি,	
societykey,	সোকিটটিকে,	সোসাইটিকে,	
danata,	ডানাত,	ডোনাট,	
kindama,	কিন্ডমা,	কিংডম,	
mitrader,	মিত্রাদের,	মিত্রদের,	
uparjaner,	উপরজ্নার,	উপার্জনের,	
conflikt,	কনফ্লিক্ট,	কনফ্লিক্ট,	
forider,	ফরীদের,	ফরিদের,	
maadhoori,	মাধুরি,	মাধুরী,	
ekhaate,	এখাতে,	একহাতে,	
oswasteekor,	অস্বাস্তিকর,	অস্বস্তিকর,	
coner,	কোনের,	কনের,	
pari,	প্যারি,	পেরি,	
kirkuk,	কিরকুক,	কিরকুক,	
rokshonbhag,	রক্ষণভাগ,	রক্ষণভাগ,	
mangalik,	মাঙ্গলিক,	মাঙ্গলিক,	
footballerder,	ফুটবলারদের,	ফুটবলারদের,	
debdebee,	দেবদীবী,	দেবদেবী,	
ganonatyo,	গণনত্ত,	গণনাট্য,	
soya,	সোয়া,	সোয়া,	
tahalei,	তাহালেই,	তাহলেই,	
sotorkokaree,	সত্রককারী,	সতর্ককারী,	
ganana,	গানা,	গননা,	
aairish,	আইরিশ,	আইরিস,	
thaanobhi,	ঠানভী,	থানভী,	
qibord,	কিবোর্ড,	কীবোর্ড,	
jaatti,	যাত্ি,	জাতটি,	
anchalsamuho,	আঞ্চলসমূহ,	অঞ্চলসমূহ,	
harysher,	হর্ষের,	হ্যারিসের,	
pooshtee,	পুষ্টি,	পুষ্টি,	
gondho,	গন্ধ,	গন্ধে,	
jaksa,	যক্ষ্,	যক্ষ,	
sansthagulo,	সংস্থাগুলো,	সংস্থাগুলো,	
agom,	আগম,	আগম,	
arthonitike,	অর্থনীতিকে,	অর্থনীতিকে,	
bolobhodro,	বলভোর্ড,	বলভদ্র,	
longghoner,	লঙ্ঘনের,	লংঘনের,	
chikittsar,	চিকিৎসার,	চিকিত্সার,	
parbatya,	পর্বত্য,	পার্বত্য,	
asthishondhi,	অস্থিসন্ধি,	অস্থিসন্ধি,	
poripakey,	পরিপাকে,	পরিপাকে,	
turista,	তুরিষ্ট,	টুরিস্ট,	
bhandaar,	ভান্ডার,	ভাণ্ডার,	
horipur,	হরিপুর,	হরিপুর,	
pleney,	প্লেনে,	প্লেনে,	
charrjer,	চার্জের,	চার্জের,	
formet,	ফরমেট,	ফরম্যাট,	
groowth,	গ্রুথ,	গ্রোথ,	
kaanaai,	কানাই,	কানাই,	
satyaki,	সত্যাকি,	সাত্যকি,	
apochesta,	অপযেষ্ট,	অপচেষ্টা,	
thishisher,	ঠিসিসের,	থিসিসের,	
shaahaabaah,	সাহাবাহ,	সাহাবাহ,	
pujito,	পুজিত,	পুজিত,	
shho,	শো,	শো,	
bbiseshyer,	বিশেষ্যের,	বিশেষ্যের,	
sattoki,	সত্যকী,	সাত্যকি,	
antarbhuttirmulok,	আন্তর্ভূতিমকূল,	অন্তর্ভুক্তিমূলক,	
zerusalema,	জেরুজেলা,	জেরুসালেম,	
rifleksa,	রাইফেলস্ক,	রিফ্লেক্স,	
sangasthatir,	সংস্থটির,	সংস্থাটির,	
sohopathike,	সহপাঠিকে,	সহপাঠীকে,	
meloonborroner,	মেলনবর্ণের,	মেলবোর্নের,	
peethey,	পিঠে,	পীঠে,	
phastara,	ফাস্টার,	ফস্টার,	
attorkite,	আত্রকরিতে,	অতর্কিতে,	
jarusalema,	জরুশালেমা,	জেরুসালেম,	
pare,	পারে,	পাড়ে,	
ganochiner,	গণচিনের,	গণচীনের,	
vishad,	বিষাদ,	বিষদ,	
dupleex,	ডাপ্লিক,	ডুপ্লে,	
shapod,	সাপদ,	শ্বাপদ,	
shkolashtic,	স্কলাসটিক,	স্কলাস্টিক,	
enginiirs,	ইন্জিপের্স,	ইঞ্জিনিয়ার্স,	
jaki,	যাকি,	জকি,	
title,	টিটলে,	টাইটেল,	
jerusalem,	জিরুশলেম,	জেরুসালেম,	
heelse,	হিলসে,	হিলসে,	
tintir,	তিনটির,	তিনটির,	
basaake,	বাসাকে,	বাসাকে,	
saddhi,	সদ্ধি,	সাধ্বী,	
saarbhaarer,	সার্ভারের,	সার্ভারের,	
pra,	প্র,	প্রো,	
deebug,	দিবুগ,	ডিবাগ,	
hyundai,	হিউন্ডেই,	হুন্দাই,	
antarvuktimulak,	আন্তর্ভূকিমকাল,	অন্তর্ভুক্তিমূলক,	
seatey,	সেটে,	সিটে,	
bishnoo,	বিষ্ণ,	বিষ্ণু,	
muktoome,	মুক্তমে,	মাকতুম,	
sthapona,	স্থাপন,	স্থাপনা,	
paltechey,	পালেটে,	পাল্টেছে,	
onupater,	অনুপতের,	অনুপাতের,	
townshhip,	টোন্সিপ,	টাউনশিপ,	
prakalpagulor,	প্রকালগুলোর,	প্রকল্পগুলোর,	
prai,	প্রই,	প্রায়,	
societyke,	সোকিটটিকে,	সোসাইটিকে,	
titlee,	টিটলি,	টাইটেল,	
geeja,	গেজ,	গেজ,	
huqar,	হুকার,	হুকার,	
dipan,	দীপন,	দীপন,	
noitikatavodh,	নৈতিকাথাবকয,	নৈতিকতাবোধ,	
bodna,	বদনা,	বদনা,	
moshzid,	মস্বিদ,	মসজিদ,	
eenjeel,	এঞ্জিল,	ইঞ্জিল,	
dhormi,	ধর্মি,	ধর্মী,	
pacbar,	পাঁচার,	পাঁচবার,	
seemaa,	সিমা,	সীমা,	
choopi,	চুপি,	চুপি,	
kaner,	কানের,	কনের,	
baasaa,	বাসা,	বাসা,	
nadike,	নাদিকে,	নদীকে,	
bharote,	ভারতে,	ভারতে,	
shoo,	শু,	শো,	
raiter,	রাইটের,	রাইটের,	
stane,	স্টেন,	স্টোন,	
pade,	পদে,	পাড়ে,	
bagdadii,	বাজদাদি,	বাগদাদী,	
jokey,	যোকে,	জকি,	
overveu,	ওভারভভি,	ওভারভিউ,	
bishwasho,	বিশ্বস,	বিশ্বাসও,	
jadrel,	জাদ্রেল,	জাঁদরেল,	
siddhantoo,	সিদ্ধান্ত,	সিদ্ধান্তও,	
amanisa,	অমনিস,	অমানিশা,	
tyunar,	টিউনার,	টিউনার,	
mittrer,	মিত্রের,	মিত্রের,	
graambaashi,	গ্রামবাসী,	গ্রামবাসী,	
chaudhurio,	চৌধুরিও,	চৌধুরীও,	
bypass,	বিপাস,	বাইপাস,	
lyandeeng,	ল্যান্ডিং,	ল্যান্ডিং,	
ayantarkatika,	অন্টররকিটিক,	অ্যান্টার্কটিকা,	
upobashee,	উপবাসী,	উপবাসী,	
prasadhaner,	প্রসাধানের,	প্রসাধনের,	
perry,	পেরী,	পেরি,	
sarbharti,	সররভারটি,	সার্ভারটি,	
byaboharkarie,	ব্যবহারকারী,	ব্যবহারকারীই,	
bhandaare,	ভান্ডারে,	ভাণ্ডারে,	
chutochuti,	চুটুচিটি,	ছুটোছুটি,	
dormetoree,	ডরমেটরি,	ডরমিটরি,	
maniktola,	মানিকতলা,	মানিকতলা,	
swapod,	স্বপদ,	শ্বাপদ,	
daroda,	দারোডা,	দারদা,	
poorohitra,	পুরহিত্রা,	পুরোহিতরা,	
drishyagulo,	দৃশ্যগুলো,	দৃশ্যগুলো,	
shaarther,	সার্থের,	স্বার্থের,	
drishtiheen,	দৃষ্টিহীন,	দৃষ্টিহীন,	
shoow,	শু,	শো,	
dormitory,	ডরমেটরি,	ডরমিটরি,	
sollalaho,	সল্লাল্লাহ,	সল্লাল্লাহু,	
niranjan,	নিরঞ্জন,	নিরঞ্জন,	
ibhil,	এভিল,	ইভিল,	
progresh,	প্রগ্রেস,	প্রগ্রেস,	
batsman,	বাৎসমন,	ব্যাটসম্যান,	
decke,	ডেকে,	ডেকে,	
vumij,	ভূমিজ,	ভূমিজ,	
antarctika,	অন্টারটক্টিক,	অ্যান্টার্কটিকা,	
flux,	ফ্লুক্স,	ফ্লাস্ক,	
zzonite,	যোনিতে,	যোনীতে,	
injil,	ইঞ্জিল,	ইঞ্জিল,	
sqalastiqa,	স্কলাসটিক,	স্কলাস্টিক,	
daul,	ডাল,	দেউল,	
baibasthar,	ব্যবস্থার,	ব্যবস্থার,	
akshoti,	অকশটি,	একশোটি,	
aairese,	আইরেশে,	আইরেসে,	
pat,	পাত,	পেত,	
mukhamandaler,	মুখমন্ডলের,	মুখমণ্ডলের,	
samajikatar,	সামাজিকিতর,	সামাজিকতার,	
peoples,	পেপলাস,	পিপলস্,	
enjineers,	এনজিনার্স,	ইঞ্জিনিয়ার্স,	
porishromi,	পরিস্রমী,	পরিশ্রমী,	
domone,	দমনে,	দমনে,	
dor,	দোর,	দোর,	
definisian,	ডেফিনিশন,	ডেফিনেশন,	
turki,	টুর্কী,	তুর্কি,	
bhaskar,	ভাস্কার,	ভাস্কর,	
idaning,	ইডানিং,	ইদানিং,	
anuchcheder,	অনুচ্ছেদের,	অনুচ্ছেদের,	
colahol,	কলাহল,	কোলাহল,	
bujhechhilo,	বুঝেছিল,	বুঝেছিল,	
musolmanera,	মুসল্মানের,	মুসলমানেরা,	
alonkaron,	অলংকরণ,	অলঙ্করণ,	
taholo,	তহল,	তাহলো,	
bohoodin,	বহুদিন,	বহুদিন,	
coda,	কোডা,	কোডা,	
gulen,	গুলেন,	গুলেন,	
chhatogalper,	ছোটোগল্পের,	ছোটগল্পের,	
koordider,	কুর্দিদের,	কুর্দিদের,	
kkompito,	কম্পিত,	কম্পিত,	
uporitaler,	উপরিতালের,	উপরিতলের,	
sansthatir,	সাস্থতির,	সংস্থাটির,	
beekargrasto,	বিকারগ্রস্ত,	বিকারগ্রস্ত,	
choudhoorir,	চৌধুরির,	চৌধুরীর,	
eenameela,	ইনামেল,	এনামেল,	
bidrohiderkey,	বিদ্রোধীরেকে,	বিদ্রোহীদেরকে,	
naajee,	নাজী,	নাত্সি,	
oncoleo,	অঞচলেও,	অঞ্চলেও,	
rupa,	রূপা,	রুপা,	
blogarra,	ব্লগার,	ব্লগাররা,	
stalin,	স্টেলিন,	স্টালিন,	
dabhara,	ডাভার,	ডোভার,	
vabanir,	ভবানীর,	ভবানীর,	
nirikha,	নিরীখা,	নিরিখ,	
prosadhoner,	প্রসাধানের,	প্রসাধনের,	
bossontoke,	বসন্তকে,	বসন্তকে,	
madhoori,	মধুরী,	মাধুরী,	
khalidkay,	খালিককে,	খালিদকে,	
bisringkhola,	বিশৃংখলা,	বিশৃঙ্খলা,	
phareeksa,	ফরেক্স,	ফরেক্স,	
gunje,	গুঞ্জে,	গুঁজে,	
dibidh,	দিবিধ,	দ্বিবিধ,	
porishkaran,	পরিষ্কারণ,	পরিষ্করণ,	
emarjenshi,	এমারজনেস্ট,	এমার্জেন্সি,	
satarka,	সতার্কা,	সতর্ক,	
nadimatrik,	নাদীমাত্রিক,	নদীমাতৃক,	
karam,	করম,	কেরাম,	
venishh,	ভেনিস,	ভেনিস,	
probeshkari,	প্রবেষকারী,	প্রবেশকারী,	
tottobar,	তত্ত্ববর,	তওবার,	
dajjho,	দায্য,	দাহ্য,	
kaash,	কাশ,	কাস,	
riphleeksa,	রাইফেলক্স,	রিফ্লেক্স,	
ewer,	ইভার,	এভার,	
chalake,	চালাকে,	চালকে,	
futonto,	ফুটন্ত,	ফুটন্ত,	
nariderke,	নারীদেরকে,	নারীদেরকে,	
august,	আগস্ট,	আগষ্ট,	
soinyora,	সৈন্যরা,	সৈন্যরা,	
aqramer,	আক্রমের,	আকরামের,	
sikkhaou,	শিক্ষাও,	শিক্ষাও,	
khorsed,	খরষেড,	খোরশেদ,	
abhidhaanick,	অভিধানিক,	অভিধানিক,	
dharavahikbhabey,	ধারাভাকিভাবে,	ধারাবাহিকভাবে,	
byaboharkari,	ব্যবহারকারি,	ব্যবহারকারী,	
morodeho,	মরদেধ,	মরদেহ,	
strigon,	স্ত্রীগণ,	স্ত্রীগণ,	
aparagata,	অপরগত,	অপারগতা,	
amitrakkhor,	অমিত্রক্ষর,	অমিত্রাক্ষর,	
vatar,	ভাটার,	ভাতার,	
prachuryer,	প্রাচুর্যের,	প্রাচুর্যের,	
istone,	ইস্তনে,	স্টোন,	
damanmulak,	দামনামূলক,	দমনমূলক,	
nabotom,	নাবতম,	নবতম,	
shiter,	শীটের,	শীতের,	
meloonborrone,	মেলনবর্ণে,	মেলবোর্নে,	
degree,	ডিগ্রী,	ডিগ্রি,	
daacktickete,	ডাকিকিতে,	ডাকটিকিটে,	
charzara,	চার্জার,	চার্জার,	
dosha,	দশা,	দোসা,	
deenesh,	ডিনেশ,	দীনেশ,	
diphinishion,	ডিফিনিশন,	ডেফিনেশন,	
pratiyogira,	প্রতিযোগীরা,	প্রতিযোগীরা,	
shepha,	সেফ,	শেফ,	
jwolbe,	জ্বলবে,	জ্বলবে,	
rudrake,	রুদ্রাকে,	রুদ্রকে,	
sobche,	সবছে,	সবচে,	
hafej,	হাফেজ,	হাফেয,	
ekshotee,	একসটি,	একশোটি,	
dekhbar,	দেখবার,	দেখবার,	
rahi,	রহি,	রাহী,	
baaraak,	বারাক,	বারাক,	
hotodoridro,	হতোরেদ্র্য,	হতদরিদ্র,	
abhidhaaneek,	অভিধানিক,	অভিধানিক,	
metropalitana,	মেট্রোপলিটান,	মেট্রোপলিটন,	
dologulo,	দলগুলো,	দলগুলো,	
dharabahikvabey,	ধারাবাহিকাবে,	ধারাবাহিকটি,	
nathivuktir,	নাঠিভুক্তির,	নথিভুক্তির,	
ohollar,	অহল্লার,	অহল্যার,	
aansareer,	আনসারির,	আনসারীর,	
pratijogitar,	প্রতিযোগিতার,	প্রতিযোগীতার,	
dajyo,	দাজও,	দাহ্য,	
orbiit,	অর্বিত,	অরবিট,	
deilee,	দেলি,	ডেইলি,	
superheira,	সুপারেহারা,	সুপারহিরো,	
vaibonder,	ভৈবন্দের,	ভাইবোনদের,	
bhenkates,	ভেনকাটেস,	ভেঙ্কটেশ,	
songkolonti,	সংকলোনটি,	সংকলনটি,	
sheepha,	সেফ,	শেফ,	
pratimake,	প্রতিমাকে,	প্রতিমাকে,	
machher,	মাছের,	মাছের,	
venkatesh,	ভেনকাটিস,	ভেঙ্কটেশ,	
bholapuka,	ভলাপুকা,	ভোলাপুক,	
ahong,	অহং,	অহং,	
phutbolarer,	ফুটবলরের,	ফুটবলারের,	
samaveshke,	সমভেষেকে,	সমাবেশকে,	
prothati,	প্রথাটি,	প্রথাটি,	
ashachetan,	অসচেতন,	অসচেতন,	
madeelim,	ম্যাডেলিং,	মডেলিং,	
eukalyptush,	ইউক্লাপিটসাস,	ইউক্যালিপ্টাস,	
choudhureer,	চৌধুরির,	চৌধুরীর,	
roshider,	রশিদের,	রশিদের,	
poste,	পোষ্টে,	পোস্টে,	
amstrang,	অমস্ট্রাং,	আর্মস্ট্রং,	
bjp,	বিজিপি,	বিজেপি,	
hazirhaat,	হাজিরহাট,	হাজিরহাট,	
byaboharkariderke,	ব্যবহারকারিকে,	ব্যবহারকারীদেরকে,	
proshadhoni,	প্রশাধানী,	প্রসাধনী,	
chirantan,	চীরন্তন,	চিরন্তন,	
subade,	সুবাদে,	সুবাদে,	
muphti,	মুফটি,	মুফতি,	
simmons,	সিমমনস,	সিমন্স,	
noubihar,	নৌবিহার,	নৌবিহার,	
shaarthe,	সার্থে,	স্বার্থে,	
twakei,	ত্বাকেই,	ত্বকেই,	
horir,	হরীর,	হরির,	
haluder,	হালুদের,	হলুদের,	
digrio,	ডিগ্রী,	ডিগ্রিও,	
khoka,	খোক,	খোকা,	
vins,	ভিন্স,	ভিন্স,	
enamel,	ইনামেল,	এনামেল,	
bijepi,	বিজেপী,	বিজেপি,	
ashe,	আশে,	আসে,	
shikhbe,	শিখভে,	শিখবে,	
ketechhilo,	কেটেছিল,	কেটেছিল,	
kamij,	কামিজ,	কামিজ,	
byabaharkareederke,	ব্যবহারকার্দেকে,	ব্যবহারকারীদেরকে,	
teunar,	টিউনার,	টিউনার,	
golakritir,	গললাকৃতির,	গোলাকৃতির,	
khelaphatey,	খেলাফাতে,	খেলাফতে,	
hoomes,	হমমেস,	হোমস,	
chalochchitreer,	চলচিত্রের,	চলচ্চিত্রের,	
jilyaand,	জিল্যান্ড,	জিল্যান্ড,	
ovishongshon,	অভিসংসন,	অভিশংসন,	
behramporer,	বেহ্রমপর,	বহরমপুরের,	
romantiqa,	রোমান্টিক,	রোমান্টিক,	
palestiner,	পালেস্টিনের,	প্যালেস্টাইনের,	
karu,	কারু,	কারু,	
onshogrohoner,	অংশগ্রহণের,	অংশগ্রহনের,	
kloj,	ক্লোজ,	ক্লজ,	
chhotogalper,	ছোটোগল্পের,	ছোটগল্পের,	
masjidsaha,	মাসিদিসহ,	মসজিদসহ,	
cholocchitroke,	চলচ্চিত্রকে,	চলচ্চিত্রকে,	
pyatarna,	প্যাটার্ন,	প্যাটার্ন,	
rubi,	রুবি,	রুবি,	
kobutorer,	কাবুটারের,	কবুতরের,	
saamaanya,	সামান্য,	সামান্য,	
odhito,	অধিত,	অধীত,	
mache,	মাছে,	মাছে,	
bonkey,	বনকে,	বনকে,	
jakso,	যক্ষ্,	যক্ষ,	
bonaa,	বোনা,	বোনা,	
cantan,	ক্যান্টন,	ক্যান্টন,	
sthaponagulor,	স্থাপনগুলোর,	স্থাপনাগুলোর,	
gabhaaskaar,	গাভাসকার,	গাভাস্কার,	
balakarak,	বলকারক,	বলকারক,	
aazaan,	আজান,	আজান,	
shosha,	শোষা,	শশা,	
dipgulote,	দিপ্লুতে,	দ্বীপগুলোতে,	
monmoth,	মনমথ,	মন্মথ,	
nikat,	নিকট,	নিকট,	
pacbbar,	প্যাচবার,	পাঁচবার,	
jacksan,	জক্স্ন,	জ্যাকসন,	
os,	অস,	অস,	
noitikatabodh,	নৈতিকাতাবাধ,	নৈতিকতাবোধ,	
shoccer,	সককের,	সকার,	
uddhriti,	উদ্ধৃতি,	উদ্ধৃতি,	
anchaltite,	অঞচলটিতে,	অঞ্চলটিতে,	
cholochchitraeer,	চলচ্চিত্রের,	চলচ্চিত্রের,	
kyathlik,	ক্যাথলিক,	ক্যাথলিক,	
dacop,	ডাকপ,	দাকোপ,	
udbhabony,	উদ্ভাবনী,	উদ্ভাবনী,	
emgee,	এম্জি,	এমজি,	
nirmolotaa,	নির্মলতা,	নির্মলতা,	
kirti,	কীরতি,	কীর্তি,	
objarvar,	অব্জর্ভার,	অবজার্ভার,	
aastikota,	আস্তিকতা,	আস্তিকতা,	
funding,	ফুন্ডিং,	ফান্ডিং,	
vishnuke,	বিষ্ণুকে,	বিষ্ণুকে,	
toroonraa,	তরুণারা,	তরুণরা,	
pujita,	পুজিতা,	পূজিতা,	
drishyogulote,	দৃশ্যগুলোতে,	দৃশ্যগুলোতে,	
