shashoto,	শাসত,	শাশ্বত,	
mekon,	মেযাকন,	মেকং,	
maila,	মেল,	মাইল,	
maner,	মনের,	মানে,	
bibecchyo,	বিবেচ্য,	বিবেচ্য,	
karecha,	করেছ,	করেছ,	
engineersh,	এনজাইন্স,	ইঞ্জিনিয়ার্স,	
dadader,	দাদাদের,	দাদাদের,	
sucharita,	সুচরিত,	সুচরিতা,	
rk,	এরিিক,	আরকে,	
fuda,	ফুড,	ফুড,	
tourisht,	তুরিস্ট,	টুরিস্ট,	
lyanda,	ল্যান্ড,	ল্যান্ড,	
rigthter,	রিগতের,	রাইটের,	
ghoorchen,	ঘুরছেন,	ঘুরেছেন,	
nothivookto,	নথিভুক্ত,	নথিভুক্ত,	
pra,	প্রা,	প্রো,	
seo,	সিও,	সেও,	
pleta,	প্লেট,	প্লেট,	
horidbare,	হরিদরে,	হরিদ্বারে,	
adhunikkale,	আধুনিকালে,	আধুনিককালে,	
karmosampadon,	কর্মসমম্পন,	কর্মসম্পাদন,	
shiramiksh,	শিরমমিক্স,	সিরামিকস,	
tennish,	টেনিশ,	টেনিস,	
shikhbe,	শিখবে,	শিখবে,	
popeke,	পোপেকে,	পোপকে,	
shreechaitanyadeb,	শ্রীচাতনৈয়দবেও,	শ্রীচৈতন্যদেব,	
idipas,	এডিপাস,	ইডিপাস,	
barron,	বররণ,	ব্যারন,	
shorifer,	শরীফের,	শরিফের,	
ghenshei,	ঘেঁসইই,	ঘেঁষেই,	
noditike,	নদীতিকে,	নদীটিকে,	
nathivukteer,	নথিিভূক্তির,	নথিভুক্তির,	
kaalengaa,	কালেঙ্গা,	কালেঙ্গা,	
adhyattik,	আধ্যাত্তিক,	আধ্যাত্মিক,	
hoteeltite,	হতিলটিতে,	হোটেলটিতে,	
horeepur,	হরিপুর,	হরিপুর,	
conshervation,	কনজারেশন,	কনসারভেশন,	
kemaney,	কেমনে,	কেমনে,	
chirkoot,	চিরকুট,	চিরকুট,	
nuhas,	নুহাস,	নুহাশ,	
chilahati,	চিলাহাটি,	চিলাহাটি,	
saarbhaarer,	সার্ভারের,	সার্ভারের,	
bhabanipur,	ভবানিপুর,	ভবানীপুর,	
rajpur,	রাজপুর,	রাজপুর,	
fixin,	ফিকসিং,	ফিক্সিং,	
shoreef,	শরীফ,	শরিফ,	
sqolastiq,	স্কলস্টিক,	স্কলাস্টিক,	
lidara,	লিডার,	লিডার,	
edaningkale,	এডনিনকালে,	ইদানীংকালে,	
michir,	মিচির,	মিচির,	
akbakye,	একবকে,	একবাক্যে,	
bishshaashi,	বিশ্বাসী,	বিশ্বাসই,	
saabyastha,	সাব্যস্থ,	সাব্যস্থ,	
jackshan,	জ্যাকশান,	জ্যাকসন,	
booth,	বুথ,	বুথ,	
promoshone,	প্রমোশনে,	প্রোমোশনে,	
mutar,	মুটার,	মুতার,	
fokser,	ফক্সের,	ফক্সের,	
graambasio,	গ্রামবাসীও,	গ্রামবাসীও,	
amar,	আমার,	আমর,	
sibraj,	শিবররাজ,	শিবরাজ,	
debdebeer,	দেবদেবীর,	দেবদেবীর,	
skolarseep,	স্কলারশিপ,	স্কলারশিপ,	
dokangulotey,	দোকানগুলোতে,	দোকানগুলোতে,	
daqten,	ডাকতেন,	ডাকতেন,	
superheiro,	সুপারেরও,	সুপারহিরো,	
paadee,	পাদি,	পাড়ে,	
aziz,	আজিজ,	আজিজ,	
paddhatiteo,	পদ্ধতিতেও,	পদ্ধতিতেই,	
shniper,	স্নিপের,	স্নাইপার,	
graambasheeo,	গ্রামবাসীও,	গ্রামবাসীও,	
sherup,	শেরুপ,	সেরুপ,	
asocheton,	অসচেতন,	অসচেতন,	
anucheder,	অনুচেদের,	অনুচ্ছেদের,	
abdun,	আবদুন,	আবদুন,	
samajeekotar,	সামাজিকতার,	সামাজিকতার,	
atwabishvashi,	আত্ববিশ্বাসী,	আত্মবিশ্বাসী,	
bonsho,	বংশ,	বংশ,	
sangbadmadhyome,	সংবাদমাধ্যমে,	সংবাদমাধ্যমে,	
jocqey,	জকে,	জকি,	
jerusalem,	জিরুসলিম,	জেরুজালেম,	
pathachari,	পথচাচারই,	পথচারী,	
dap,	ডাপ,	ড্যাপ,	
durgatsober,	দুর্গতবসের,	দুর্গোৎসবে,	
anchalkey,	আঞ্চলকে,	অঞ্চলকে,	
badaghat,	বাদাঘাত,	বাদাঘাট,	
milekhaanek,	মিলেখানক,	মাইলখানেক,	
monohorpur,	মনোহরপুর,	মনোহরপুর,	
shrabostee,	শ্রবস্তি,	শ্রাবস্তী,	
cheettronnatyokar,	চিত্রনাট্যকার,	চিত্রনাট্যকার,	
teemothi,	টিমধি,	টিমোথি,	
daaloo,	দালু,	ডালু,	
tonoo,	টোনো,	তনু,	
omanisa,	অমনিশা,	অমানিশা,	
purple,	পারপাল,	পার্পেল,	
naitik,	নৈটিক,	নৈতিক,	
vault,	ভয়ালট,	ভল্ট,	
sadhwi,	সাধই,	সাধ্বী,	
borana,	বোরানা,	বোরন,	
crecenter,	ক্রিসেন্টার,	ক্রিসেন্টের,	
hizritey,	হিজরিতে,	হিজরীতে,	
oncholsomuho,	অঞ্চলসমূহ,	অঞ্চলসমূহ,	
rajbondir,	রাজবন্দীর,	রাজবন্দীর,	
samashti,	সমস্তি,	সমষ্টি,	
sojja,	সজ্জা,	সজ্জা,	
haryken,	হ্যারিকেন,	হ্যারিকেন,	
aabarto,	আবর্ত,	আবর্ত,	
somoshtigoto,	সমস্তিগত,	সমষ্টিগত,	
tiger,	টিগার,	টাইগার,	
naarsari,	নার্সারী,	নার্সারি,	
akten,	আঁকতেন,	অকটেন,	
rushod,	রুশদ,	রুশদ,	
orhan,	ওরহান,	ওরহান,	
dharmi,	ধর্মী,	ধর্মী,	
saurce,	সার্স,	সোর্স,	
macho,	মাচ,	মাছও,	
hoola,	হোলা,	হোল,	
alauler,	অলালের,	আলাওলের,	
sansthaner,	সংস্থানের,	সংস্থানের,	
modelling,	মডেলং,	মডেলিং,	
harriser,	হরিসের,	হ্যারিসের,	
chalabe,	চালাবি,	চালাবে,	
biplabee,	বিপ্লবি,	বিপ্লবী,	
ovarview,	ওভারভভে,	ওভারভিউ,	
yukeliptas,	ইকযালিউফিস্টা,	ইউক্যালিপ্টাস,	
venam,	বেনাম,	ভেনম,	
bissashii,	বিশ্বাসী,	বিশ্বাসী,	
cheerkoot,	চিরকুট,	চিরকুট,	
jomjamat,	জোমজাাত,	জমজমাট,	
patrol,	পাত্রল,	পেট্রোল,	
bachaikrito,	বাচাইকৃত,	বাছাইকৃত,	
gagee,	গাগী,	গেজ,	
matthew,	মাঠেও,	ম্যাথিউ,	
ceramicer,	চেরামিকার,	সিরামিকের,	
nischitabhave,	নিশ্চিতভাবে,	নিশ্চিতভাবে,	
bafar,	বাফর,	বাফার,	
ovigomon,	অভিগমন,	অভিগমন,	
engrejiteo,	ইংরেজিতেও,	ইংরেজিতেও,	
bodhir,	বধির,	বধির,	
gatee,	গেট,	গ্যেটে,	
dhhaabi,	ঢাবি,	ঢাবি,	
chenja,	চেঞ্জা,	চেঞ্জ,	
dephinision,	ডেফিনিশন,	ডেফিনেশন,	
harees,	হারিস,	হ্যারিস,	
swajaner,	স্বাজনের,	স্বজনের,	
durvagyo,	দুর্ভাগ্য,	দূর্ভাগ্য,	
tuneta,	টানেটা,	টুনাইট,	
dhhaaloor,	ঢালুর,	ঢালুর,	
bachchan,	বাচ্চান,	বচ্চন,	
pothnirdeshona,	পথনির্দেশনা,	পথনির্দেশনা,	
akrup,	একরূপ,	একরূপ,	
granthei,	গ্রন্থেই,	গ্রন্থেই,	
horeedwar,	হরিদ্বার,	হরিদ্বার,	
heavy,	হেভি,	হেভি,	
sainyara,	সৈন্যরা,	সৈন্যরা,	
ooporostho,	অপরস্থ,	উপরস্থ,	
deeyenes,	ডেয়েন,	ডিএনএস,	
turbiner,	টার্বিনের,	টারবাইনের,	
jerusalemer,	জিরুসলিমার,	জেরুজালেমের,	
gabeshokgon,	গবেষকগণ,	গবেষকগণ,	
sqarta,	স্কার্ট,	স্কার্ট,	
ponchashjon,	পঞ্চাশন,	পঞ্চাশজন,	
cheerota,	চিরতা,	চিরতা,	
duckticketer,	ডাকটিকের,	ডাকটিকিটের,	
jhalkathee,	ঝালকাঠি,	ঝালকাঠী,	
chhutochhuti,	ছুটুচ্যুটি,	ছুটোছুটি,	
trivuz,	ত্রিভুজ,	ত্রিভূজ,	
mookhomandoley,	মুখমন্ডলে,	মুখমণ্ডলে,	
godabari,	গদাবারই,	গোদাবরী,	
shasheja,	শাসেজা,	সসেজ,	
silvee,	সিলভি,	সিলভি,	
ankeeta,	অংকেতা,	অঙ্কিতা,	
hajeerhatt,	হাজিরাহাট,	হাজিরহাট,	
jatok,	যত,	জাতক,	
notunatva,	নতুনত্ব,	নতুনত্ব,	
bodka,	বদ্কা,	ভদকা,	
pratool,	প্রতুল,	প্রতুল,	
dokangulote,	দকনগুলোতে,	দোকানগুলোতে,	
longhaner,	লঙ্ঘনের,	লংঘনের,	
umedpoor,	উমেদপুর,	উমেদপুর,	
assoociates,	অ্যাসোসিসেটস,	এসোসিয়েটস,	
tuni,	টুনি,	টুনি,	
aiiub,	আইউএব,	আইইউবি,	
grambasio,	গ্রামবাসীও,	গ্রামবাসীও,	
byaboharkariderke,	ব্যবহারকারীদেরকে,	ব্যবহারকারীদেরকে,	
reefleex,	রেফলেক্স,	রিফ্লেক্স,	
chilahatee,	চিলাহাটি,	চিলাহাটি,	
emiratas,	এমেরাস,	এমিরেটাস,	
abheedhanik,	অভিধানিক,	অভিধানিক,	
mozlish,	মজলিস,	মজলিশ,	
iukyaliptasha,	ইক্যালিউফ্টাস,	ইউক্যালিপ্টাস,	
parkasha,	পর্কস,	পার্কস,	
vabotarini,	ভববারিণী,	ভবতারিণী,	
saamaanyai,	সামান্ই,	সামান্যই,	
jaunatar,	যৌনতার,	যৌনতার,	
senior,	সেনিয়র,	সিনিয়র,	
akhandata,	আখন্দতা,	অখণ্ডতা,	
karmasansthaner,	কর্মসংস্থানের,	কর্মসংস্থানের,	
saafi,	সাফি,	সাফি,	
maile,	মেলে,	মাইলি,	
kranti,	ক্রান্ি,	ক্রান্তি,	
miraclee,	মিরাক্ল,	মিরাকেল,	
choudhooreeke,	চৌধুরিকে,	চৌধুরীকে,	
debate,	দেবাতে,	ডিবেট,	
thelyanda,	টেলযান্ড,	থাইল্যান্ড,	
bheenama,	ভীনামা,	ভেনম,	
zeans,	জিন্স,	জিন্স,	
juktorastreo,	যুক্তরাস্ট্রের,	যুক্তরাষ্ট্রেও,	
allahabadey,	আল্লাবাদে,	এলাহাবাদে,	
songkolonti,	সংকল্যটি,	সংকলনটি,	
bolechi,	বলেছি,	বলেছি,	
jibanta,	জীবন্ত,	জীবন্ত,	
haridware,	হরিদরয়ারে,	হরিদ্বারে,	
shoshar,	সসার,	সকার,	
mukhomandoley,	মুখমন্ডলে,	মুখমণ্ডলে,	
siddhantei,	সিদ্ধানেই,	সিদ্ধান্তেই,	
thesiser,	থেসিসের,	থিসিসের,	
hachchilo,	হাচ্ছিল,	হচ্ছিলো,	
canflict,	ক্যানলিক্ট,	কনফ্লিক্ট,	
naaneer,	নানর,	নানীর,	
roja,	রোজা,	রোযা,	
ajibonoer,	আজীবনের,	আজীবনের,	
kingdom,	কিংদম,	কিংডম,	
haitasha,	হইতাস,	হাইটস,	
simmons,	সিম্নস,	সিমন্স,	
besuro,	বেসুরও,	বেসুর,	
bhaabaaponno,	ভাবাপন্ন,	ভাবাপন্ন,	
madrasi,	মাদরাসী,	মাদ্রাজি,	
gabeshonagar,	গবেষণাগার,	গবেষনাগার,	
byabaharkarie,	ব্যবহারকারী,	ব্যবহারকারীই,	
sane,	সেন,	সনে,	
restaurant,	রেস্তুরেন্ট,	রেষ্টুরেন্ট,	
zibonnogor,	জীবননগর,	জীবননগর,	
olngkoron,	অলংকরণ,	অলঙ্করণ,	
oorgho,	অর্ঘ,	অর্ঘ্য,	
nirgun,	নির্গুণ,	নির্গুণ,	
kanaflikta,	কনফলিক্ত,	কনফ্লিক্ট,	
dadaa,	ডোডা,	দাদা,	
kishti,	কিষ্টি,	কিস্তি,	
onucheeder,	অনুচীদের,	অনুচ্ছেদের,	
nafisa,	নাফিসা,	নাফিসা,	
chaakti,	চাকটি,	চাকতি,	
ruvbla,	রুবল,	রুবল,	
balaruma,	বালরমা,	বলরুম,	
thai,	থাই,	থাই,	
daktikit,	দক্তিকিত,	ডাকটিকিট,	
siramiks,	সিরামিক্স,	সিরামিকস,	
kyathlik,	ক্যাথলিক,	ক্যাথলিক,	
hazat,	হজাত,	হজত,	
sarollo,	সরলো,	সারল্য,	
puzito,	পূজিত,	পুজিত,	
lajika,	লাজিকা,	লজিক,	
doojoo,	দুজও,	ডোজো,	
mahasova,	মহসভা,	মহাসভা,	
growth,	গ্রুথ,	গ্রোথ,	
agom,	আগম,	আগম,	
chalochchitragulor,	চললিচ্লগুলোর,	চলচ্চিত্রগুলোর,	
haipara,	হাইপার,	হাইপার,	
chowdhuryo,	চৌধুর্য,	চৌধুরীও,	
dhhaloor,	ঢালুর,	ঢালুর,	
iub,	ইউএব,	আইইউবি,	
deepei,	দীপেই,	দ্বীপেই,	
boshoborti,	বসবর্তী,	বশবর্তী,	
shaahocharjo,	সাহচর্য,	সাহচর্য,	
keyboarder,	কেববারদের,	কীবোর্ডের,	
ujobekeestaner,	উজবকেষিক্তানের,	উজবেকিস্তানের,	
title,	তিটল,	টাইটেল,	
mausumeo,	মসুমেও,	মৌসুমেও,	
heza,	হেজা,	হেজ,	
honduras,	হন্দুরাস,	হন্ডুরাস,	
ooeepokar,	উইপকার,	উইপোকার,	
letter,	লেটার,	লেটার,	
harysher,	হরিসের,	হ্যারিসের,	
shyutara,	স্যুটর,	শ্যুটার,	
bharatey,	ভররতে,	ভারতে,	
dupleex,	ডাপ্লিক্স,	ডুপ্লে,	
ganosakkharata,	গণসক্ষতারতা,	গণসাক্ষরতা,	
itemer,	ইটামের,	আইটেমের,	
machher,	মাছের,	মাছের,	
santose,	সন্তঃষে,	সন্তোষে,	
leetteer,	লেটার,	লেটার,	
abosore,	অবসরে,	অবসরে,	
kor,	কোর,	কর,	
daacktickete,	ডাকটিকেটে,	ডাকটিকিটে,	
rahi,	রাহী,	রাহী,	
chereche,	চেরেছে,	ছেড়েছে,	
songosthatir,	সংস্গতির,	সংস্থাটির,	
bosstonto,	বসসত্ত,	বসন্ত,	
shrabastee,	শ্রবস্তি,	শ্রাবস্তী,	
tiner,	টাইনের,	তিনের,	
siddhantoi,	সিদ্ধান্তই,	সিদ্ধান্তই,	
mohisho,	মহীশ,	মহিষ,	
cholochchitrai,	চলচিত্রী,	চলচ্চিত্রই,	
shaahaabiike,	সাহাবিকে,	সাহাবীকে,	
uddhriti,	উদ্ধিতি,	উদ্ধৃতি,	
plate,	প্লেট,	প্লেট,	
somabesh,	সমাবেশ,	সমাবেশ,	
jakkha,	যক্ষ্মা,	যক্ষ,	
ddhila,	ঢিলা,	ঢিলা,	
jacksan,	জ্যাকসন,	জ্যাকসন,	
jesthotar,	জেস্থতার,	জ্যেষ্ঠতার,	
falokti,	ফলকটি,	ফলকটি,	
debdebee,	দেবদেবী,	দেবদেবী,	
heedgee,	হেজ,	হেজ,	
lagchhe,	লাগছে,	লাগছে,	
itostatoh,	ইতস্তত,	ইতস্ততঃ,	
olimpyc,	অলিমপিক,	অলিম্পিক,	
parisankhanbid,	পরিসংখান্ডি,	পরিসংখ্যানবিদ,	
masjidke,	মাসজিদকে,	মসজিদকে,	
notey,	নোটে,	নোটে,	
break,	ব্র্যাক,	ব্রেক,	
manu,	মানু,	মনু,	
turqi,	টার্কি,	তুর্কি,	
arakan,	আরকান,	আরাকান,	
baagicar,	বাগিির,	বাগিচার,	
tanu,	তানু,	তনু,	
riphleqsa,	রাইফেল্স,	রিফ্লেক্স,	
madla,	মা্ল,	মাদলা,	
bbiswashe,	বিশ্বাসে,	বিশ্বাসে,	
diaraesha,	ডায়ারস,	ডিআরএস,	
aasif,	আসিফ,	আসিফ,	
jomjomat,	জোমজাাত,	জমজমাট,	
protimar,	প্রতিমার,	প্রতিমার,	
pratijogi,	প্রতিযোগই,	প্রতিযোগী,	
songbadmadhyamgulote,	সংবাধম্যমূলে,	সংবাদমাধ্যমগুলোতে,	
damonmoolok,	দামনমূলক,	দমনমূলক,	
aaminaar,	আমিনার,	আমিনার,	
mosjidti,	মজসজিদটি,	মসজিদটি,	
manabsamajer,	মানবামজাজের,	মানবসমাজের,	
machhe,	মাছে,	মাছে,	
kanflikt,	কাংলিক্ট,	কনফ্লিক্ট,	
teemothy,	টেমথি,	টিমোথি,	
fax,	ফ্যাক্স,	ফক্স,	
marino,	মেরিনো,	মারিনো,	
boshoborty,	বসবর্তী,	বশবর্তী,	
mulgato,	মুলগত,	মূলগত,	
amarendro,	অমেরেন্দ্র,	অমরেন্দ্র,	
shangsthaner,	সংস্থানের,	সংস্থানের,	
sikkhakbrindo,	শিক্ষাবৃন্দ,	শিক্ষকবৃন্দ,	
nirbachoker,	নির্বাচকের,	নির্বাচকের,	
scholastik,	স্কলাস্তিক,	স্কলাস্টিক,	
everage,	এভারেজ,	এভারেজ,	
shuter,	শুটের,	শ্যুটার,	
gronthati,	গ্রন্থাটি,	গ্রন্থটি,	
taufik,	টৌফিক,	তৌফিক,	
maddhuri,	মাধুরি,	মাধুরী,	
khodeja,	খোদেজা,	খোদেজা,	
surke,	সুরকে,	সুরকে,	
hijri,	হিজরি,	হিজরী,	
harir,	হ্যারির,	হরির,	
yathaarthabhaabe,	যথারথাবে,	যথার্থভাবে,	
elakaatite,	এলাকাতিতে,	এলাকাটিকে,	
muphti,	মুফতী,	মুফতি,	
kachhakachhi,	কাছকাছি,	কাছাকাছি,	
prakalpao,	প্রকাল্াও,	প্রকল্পও,	
abheedhaner,	অভিধানের,	অভিধানের,	
safiin,	সেফীন,	সাফিন,	
gronthotikey,	গ্রন্থটিকে,	গ্রন্থটিকে,	
ganohatyake,	গণহাত্যকে,	গণহত্যাকে,	
sosar,	সসার,	সকার,	
kada,	কাদা,	কোড,	
kruser,	ক্রাসের,	ক্রুশের,	
shektor,	সেক্টর,	সেক্টর,	
maudeley,	মৌদলে,	মডেলে,	
manober,	মনোবের,	মানবের,	
gunman,	গুণমান,	গুণমান,	
poriikkhateo,	পরীক্ষাতেও,	পরীক্ষাতেও,	
bamnii,	বাম্নী,	বামনী,	
longhoner,	লঙ্ঘনের,	লংঘনের,	
byetasamyan,	ব্যাটসম্যান,	ব্যাটসম্যান,	
babylon,	বেবিলন,	ব্যাবিলন,	
ishton,	ইস্টন,	স্টোন,	
nadimatrik,	নাদিমাত্রিক,	নদীমাতৃক,	
apoharon,	অপহরণ,	অপহরন,	
judhahato,	যুদ্ধাহত,	যুদ্ধাহত,	
cheentaikari,	চিনতাইকারী,	ছিনতাইকারী,	
kooda,	কোদা,	কোড,	
stoone,	স্টানে,	স্টোন,	
nojder,	নজদের,	নজদের,	
homeske,	হসমেসকে,	হোমসকে,	
pachbar,	পাঁচাবার,	পাঁচবার,	
poschimey,	পশ্চিমে,	পশ্চিমে,	
matorom,	মতরমম,	মাতরম,	
lohaa,	লোহা,	লোহা,	
ralf,	রলফ,	রালফ,	
patka,	পাটকা,	পটকা,	
snipper,	স্পিইপার,	স্নাইপার,	
transphorm,	ট্রান্সফোর্ম,	ট্রান্সফর্ম,	
tirmijii,	তির্মিযী,	তিরমিজি,	
swastir,	স্বস্তির,	স্বস্তির,	
siddhantoke,	সিদ্ধানটকে,	সিদ্ধান্তকে,	
carzito,	চার্জিত,	চার্জিত,	
aswastikor,	অস্বস্তিকর,	অস্বস্তিকর,	
ajimke,	আজিমকে,	আজিমকে,	
koreem,	করিম,	করিম,	
sorbopori,	সর্বোপরি,	সর্বোপরী,	
query,	ক্যারি,	কোয়েরি,	
soinyo,	সৈন্য,	সৈন্য,	
jaanate,	জানাতে,	জানাতে,	
bhandar,	ভান্ডার,	ভাণ্ডার,	
nirapekkho,	নিরপেক্ষ,	নিরপেক্ষ,	
magical,	ম্যাজিকাল,	ম্যাজিকাল,	
jeebonto,	জীবন্ত,	জীবন্ত,	
ganokantha,	গণকণ্ঠ,	গণকণ্ঠ,	
doonata,	দোনতা,	ডোনাট,	
gafilati,	গফিলটি,	গাফিলতি,	
chaanoo,	চানু,	চানু,	
gauge,	গৌে,	গেজ,	
siddhantagulo,	সিদ্ধানগুলো,	সিদ্ধান্তগুলো,	
baikalyo,	বৈকল্য,	বৈকল্য,	
oholyar,	অহ্যার,	অহল্যার,	
pisach,	পিশাচ,	পিশাচ,	
dhhabi,	ঢাবি,	ঢাবি,	
sajano,	সাজানো,	সাজানো,	
gonjona,	গঞ্জনা,	গঞ্জনা,	
shkalarashhipa,	স্কলারশিপ,	স্কলারশিপ,	
informetion,	ইনফর্মেশন,	ইনফরমেশন,	
heart,	হার্ট,	হার্ট,	
karu,	করু,	কারো,	
residensa,	রেসিডেন্স,	রেসিডেন্স,	
abotaar,	অবটার,	অবতার,	
zess,	জেস,	জেস,	
thakeni,	ঠাকেনি,	থাকেনি,	
bhangey,	ভঙ্গে,	ভাঙ্গে,	
nicqel,	নিক্যেল,	নিকেল,	
bisnuke,	বিষ্ণুকে,	বিষ্ণুকে,	
shaajaano,	সাজানো,	সাজানো,	
parq,	পার্ক,	পার্ক,	
mat,	মত,	ম্যাট,	
rajtantro,	রাজতন্ত্র,	রাজতন্ত্র,	
kemane,	কেমনে,	কেমনে,	
boopon,	বুপন,	বপন,	
babyloney,	বেবিলনে,	ব্যাবিলনে,	
cheelona,	চেলনা,	ছিলনা,	
chhilona,	ছিলনা,	ছিলনা,	
shithilatar,	সীথিলতার,	শিথিলতার,	
gaichey,	গাইছে,	গাইছে,	
osamanno,	অসমান্ন,	অসামান্য,	
maarmaader,	মারমাদের,	মারমাদের,	
laiseens,	লাইসেন্স,	লাইসেন্স,	
suraaropeeto,	সুরারপপিত,	সুরারোপিত,	
tukrotey,	টুক্রটে,	টুকরোতে,	
soourse,	সূর্স,	সোর্স,	
agora,	অগররা,	আগোরা,	
sakara,	সকর,	সাকার,	
masti,	মস্তি,	মাস্তি,	
jotota,	যতটা,	যতোটা,	
artillery,	আর্টেলির,	আর্টিলারি,	
mmadhukkori,	মাধুককরী,	মাধুকরী,	
bharadwaj,	ভারাদাজ,	ভরদ্বাজ,	
bujhechhilo,	বুঝেছিল,	বুঝেছিল,	
basaa,	বসা,	বাসা,	
qoyartara,	কোয়ার্টার,	কোয়ার্টার,	
sooraarop,	সুরারোপ,	সুরারোপ,	
basatey,	বসতে,	বাসাতে,	
chutochuti,	চুটুচুটি,	ছুটোছুটি,	
ancholgoolote,	আঞ্চলোগুলোতে,	অঞ্চলগুলোতে,	
padee,	পাদি,	পাড়ে,	
tekno,	টেকনন,	টেকনো,	
grontho,	গ্রন্থ,	গ্রন্থ,	
kraantikaale,	ক্রান্তিকালে,	ক্রান্তিকালে,	
shadena,	সাদিন,	সাডেন,	
pooroheetra,	পুরুহিত্র,	পুরোহিতরা,	
ceramiks,	চারামিক্স,	সিরামিকস,	
iispredsheet,	ইস্পারদেশট,	স্প্রেডশীট,	
lat,	লেট,	লাট,	
gacher,	গাছের,	গাছের,	
lampat,	লম্পাত,	লম্পট,	
vittitei,	ভিত্তিতেই,	ভিত্তিতেই,	
chowdhuryke,	চৌধুরিকে,	চৌধুরীকে,	
tamplate,	টাম্পলেট,	টেম্পলেট,	
scholastic,	স্কলস্টিক,	স্কলাস্টিক,	
proteesthasoho,	প্রতিষ্ঠাসহ,	প্রতিষ্ঠাসহ,	
tochhnoch,	তচ্ছচ,	তছনছ,	
jathan,	যথান,	যথন,	
labonaktotar,	লবনাক্ততার,	লবণাক্ততার,	
karir,	কারির,	কারীর,	
parishrami,	পরিশ্রমী,	পরিশ্রমী,	
metropolitan,	মেট্রোপলিটান,	মেট্রোপলিটন,	
sarbopori,	সর্বোপরি,	সর্বোপরী,	
novel,	নভেল,	নভেল,	
dale,	দলে,	ডালে,	
shangkalone,	সংকলনে,	সংকলনে,	
sampadonkari,	সম্পাদনকারী,	সম্পাদনকারী,	
manushera,	মনুসেরা,	মানুষেরা,	
jatinkey,	জাতিনকে,	যতীনকে,	
zackson,	জ্যাকসন,	জ্যাকসন,	
tuku,	টুকু,	টুকু,	
udbodhony,	উদ্ববনি,	উদ্বোধনী,	
taiteela,	টাইটেল,	টাইটেল,	
kaas,	কাস,	কাস,	
panthar,	পান্থার,	পন্থার,	
baek,	বাযাক,	বাইক,	
ches,	চেস,	চেস,	
tat,	তাত,	তাত,	
mukhamandaler,	মুখমন্ডলের,	মুখমণ্ডলের,	
sonaktokaran,	সনাক্তকরণ,	সনাক্তকরণ,	
haipar,	হাইপার,	হাইপার,	
boudher,	বৌধের,	বৌদ্ধের,	
goora,	গুরা,	গোর,	
bohudin,	বহুদিন,	বহুদিন,	
bachhayi,	বাঁচাই,	বাছাই,	
gondhe,	গন্ধে,	গন্ধে,	
vorkendro,	ওয়রকেন্দ্র,	ভরকেন্দ্র,	
shayanaida,	সাযানাইড,	সায়ানাইড,	
ponthaar,	পণ্থার,	পন্থার,	
durgoto,	দূর্গত,	দূর্গত,	
bishesyer,	বিশেষের,	বিশেষ্যের,	
reno,	রেন,	রেনো,	
ancholsoho,	অঞ্চলসহ,	অঞ্চলসহ,	
khannkaj,	খনখকাজ,	খননকাজ,	
gaandas,	গ্যান্ডস,	জ্ঞানদাস,	
amiretus,	এমেরিটাস,	এমিরেটাস,	
sanstha,	সংস্থা,	সংস্থা,	
jonomukhee,	জনমুখী,	জনমুখী,	
tempaleta,	টেম্পালটা,	টেম্পলেট,	
sarbharer,	সার্ভারের,	সার্ভারের,	
pitthey,	পিঠে,	পীঠে,	
astikota,	অস্তিকতা,	আস্তিকতা,	
ayantarqatiqa,	অ্যান্টর্টিক,	অ্যান্টার্কটিকা,	
saptahokal,	সপ্তাহকাল,	সপ্তাহকাল,	
armeenian,	আরমেনিয়ান,	আর্মেনিয়ান,	
narikei,	নারীকেই,	নারীকেই,	
mohiboor,	মহিবুর,	মহিবুর,	
huqar,	হুকার,	হুকার,	
istoon,	ইস্টোন,	স্টোন,	
ganona,	গণনা,	গণনা,	
orbiit,	অর্বিত,	অরবিট,	
noitikatavodh,	নৈতিকাধত,	নৈতিকতাবোধ,	
tanoo,	টানো,	তনু,	
sainyasaha,	সৈন্যসহ,	সৈন্যসহ,	
longhan,	লঙ্ঘান,	লংঘন,	
shikha,	শিখা,	শিখ,	
madal,	মদল,	মাদল,	
shulke,	সুলকে,	শুল্কে,	
noditikey,	নদীটিকে,	নদীটিকে,	
oncholke,	অঞচলকে,	অঞ্চলকে,	
sachetanotamulok,	স্যাচাতনমূলক,	সচেতনতামূলক,	
bonvumi,	বনভূমি,	বনভূমি,	
bhaangchur,	ভাঙচুর,	ভাংচুর,	
bojhey,	বঝঝে,	বোঝে,	
mousumer,	মৌসুর,	মৌসুমের,	
puroheetder,	পুরোহিত্দের,	পুরোহিতদের,	
hartz,	হার্ট,	হার্জ,	
kleentoner,	ক্লিনটনের,	ক্লিনটনের,	
janoikaa,	জননাকা,	জনৈকা,	
arke,	আরকে,	আরকে,	
hooq,	হুক,	হুক,	
gardeen,	গার্ডিন,	গার্ডেন,	
jesh,	জেস,	জেস,	
chheelona,	ছিলনা,	ছিলনা,	
gudamjaato,	গুদমাজ্যত,	গুদামজাত,	
lotheran,	লোথেরন,	লুথেরান,	
satarkakari,	সতরাকারি,	সতর্ককারী,	
moomtajer,	মুমতাজের,	মুমতাজের,	
nimitte,	নিমিত্যে,	নিমিত্তে,	
