chhaanake,	ছানকে,	ছানাকে,	
juktorashtreo,	যুক্তরাস্ট্রে,	যুক্তরাষ্ট্রেও,	
sekarane,	স্বারকে,	সেকারণে,	
achis,	আছিস,	আছিস,	
uthe,	উঠে,	উঠে,	
graambashio,	গ্রামাবিও,	গ্রামবাসীও,	
builder,	বিল্ডের,	বিল্ডার,	
obosore,	অবশরে,	অবসরে,	
satyaky,	সত্যকি,	সাত্যকি,	
gajano,	গাজানো,	গজানো,	
eute,	ইউট,	ইইউতে,	
nothibhuktir,	নথিভুক্তির,	নথিভুক্তির,	
mesenjar,	মেসেজ্জার,	মেসেঞ্জার,	
brindaaboner,	বৃর্ণাবেনের,	বৃন্দাবনের,	
cholochchitragulor,	চলচ্চিত্রগুলোর,	চলচ্চিত্রগুলোর,	
haphej,	হাফেজ,	হাফেয,	
parkin,	পারিক,	পার্কিং,	
langhan,	লঙ্ঘন,	লংঘন,	
bisringkhola,	বিশৃঙ্খলা,	বিশৃঙ্খলা,	
sikkhokbreendo,	শিক্ষাক্ষণদ,	শিক্ষকবৃন্দ,	
gejeteda,	জেজেটেই,	গেজেটেড,	
korleo,	করলেও,	করলেও,	
syfy,	সিফি,	সাইফাই,	
adhit,	অধিত,	অধীত,	
amittrakkhor,	অমিত্রক্ষ,	অমিত্রাক্ষর,	
besarkarikaran,	বেসরকারিকরণ,	বেসরকারিকরণ,	
aajij,	আজিজ,	আজিজ,	
aagera,	আগেরা,	আগোরা,	
ancholsomuher,	অঞ্চলসমূহের,	অঞ্চলসমূহের,	
akhhunno,	অখ্নুন্ন,	অক্ষুণ্ণ,	
biseshyo,	বিশেষ্,	বিশেষ্য,	
nathivookta,	নথিভুক্ত,	নথিভুক্ত,	
byaboshtha,	ব্যবস্থা,	ব্যাবস্থা,	
sotorkokari,	সতরকারী,	সতর্ককারী,	
alangkoron,	অলংকরণ,	অলঙ্করণ,	
udbhaboney,	উদ্ভবনে,	উদ্ভাবনে,	
pujita,	পূজিত,	পুজিত,	
bishwaashshke,	বিশ্বাসকে,	বিশ্বাসকে,	
ghomtaa,	ঘমতা,	ঘোমটা,	
abhidhaaneec,	অভিধানিক,	অভিধানিক,	
taiwan,	তাইভান,	তাইওয়ান,	
oodoore,	উদূরে,	অদুরে,	
dazjo,	দাজজ,	দাহ্য,	
evar,	ইভার,	এভার,	
jubokra,	যুবকরা,	যুবকরা,	
bhabani,	ভবানী,	ভবানী,	
bea,	বি,	বি,	
jibjontu,	জীবজন্তু,	জীবজন্তু,	
cho,	চো,	ছোঁ,	
hurricane,	হারিকেন,	হ্যারিকেন,	
manahputo,	মনানপুত,	মনঃপুত,	
as,	আস,	অস,	
coolin,	কুলিন,	কুলিং,	
gronthoty,	গ্রন্থটি,	গ্রন্থটি,	
besoor,	বেশুর,	বেসুর,	
enamela,	এনামেলা,	এনামেল,	
jansha,	জাঁস,	জন্স,	
inashtyanta,	ইনস্ট্যান্ট,	ইনস্ট্যান্ট,	
moshjid,	মস্জিদ,	মসজিদ,	
bolokarak,	বলকারক,	বলকারক,	
shkolashtic,	স্কোলাস্টিক,	স্কলাস্টিক,	
qarpeta,	কর্পট,	কার্পেট,	
laiseensa,	লাইনসস,	লাইসেন্স,	
balokarok,	বালকারক,	বলকারক,	
mulgato,	মুলগত,	মূলগত,	
chapol,	চাপল,	চপল,	
jaruri,	জরুরি,	জরূরী,	
krusher,	ক্রাশের,	ক্রুশের,	
skolarship,	স্কলারশিপ,	স্কলারশিপ,	
shyutara,	স্যুটার,	শ্যুটার,	
drishtir,	দৃষ্টির,	দৃশ্যটির,	
ghur,	ঘুর,	ঘুর,	
sitting,	সিটিং,	সিটিং,	
aiiub,	আইউব,	আইইউবি,	
kinsha,	কিংস,	কিংস,	
prabhu,	প্রভূ,	প্রভু,	
hock,	হক,	হুক,	
chandrima,	চন্দ্রীম,	চন্দ্রিমা,	
leader,	লিডের,	লিডার,	
doulaa,	দৌলা,	দৌলা,	
atyacharer,	অত্যচরের,	অত্যাচারের,	
bosontokey,	বসন্তকে,	বসন্তকে,	
mitrota,	মিত্রোটা,	মিত্রতা,	
afzol,	আফজল,	আফজল,	
dajhyo,	দাজ্য,	দাহ্য,	
johor,	জহোর,	জহর,	
sangasthatir,	সংস্থাটির,	সংস্থাটির,	
bishesyo,	বিশেষ্য,	বিশেষ্য,	
purohitder,	পুরোঠিদের,	পুরোহিতদের,	
alsaara,	আলসারা,	আলসার,	
jokey,	যোকে,	জকি,	
durgotsave,	দুর্গতভাবে,	দুর্গোৎসবে,	
shekend,	সেকেন্ড,	সেকেণ্ড,	
sohokaree,	সহকারি,	সহকারী,	
dece,	ডেসে,	ডেকে,	
oshtader,	অষ্টদের,	ওস্তাদের,	
obhidhaner,	অভিধানের,	অভিধানের,	
kaantojir,	কান্তজীর,	কান্তজির,	
chaudhuriyo,	চৌধুরিও,	চৌধুরীও,	
ogobhir,	অগোভীর,	অগভীর,	
saaralya,	সারাল্য,	সারল্য,	
jaj,	জজ,	জাজ,	
karkatkranti,	কর্কাকট্রটি,	কর্কটক্রান্তি,	
plaiin,	প্লেইন,	প্লেন,	
anupater,	অনুপাতের,	অনুপাতের,	
judge,	জজ,	জাজ,	
tinbhager,	তিনভাগের,	তিনভাগের,	
plack,	প্লক,	প্ল্যাক,	
bhittie,	ভিটি,	ভিত্তিই,	
phemale,	ফেইমালে,	ফিমেল,	
thaii,	থাই,	থাই,	
noiteek,	নৈতিক,	নৈতিক,	
satan,	শতন,	শয়তান,	
queri,	কুরি,	কোয়েরি,	
donate,	ডোনাতে,	ডোনাট,	
bastubad,	বস্তুবাদ,	বস্তুবাদ,	
azan,	আজন,	আজান,	
patjata,	পাটজাতা,	পাটজাত,	
jonosonjog,	জনসংযোগ,	জনসংযোগ,	
antarctika,	অন্টর্টিক,	অ্যান্টার্কটিকা,	
jacqson,	জককনসন,	জ্যাকসন,	
matthews,	ম্যাথেভ,	ম্যাথিউস,	
saahocorrze,	সহহরক্রে,	সাহচর্যে,	
pleena,	প্লেন,	প্লেন,	
biphal,	বিফল,	বিফল,	
byomkesh,	ব্যামকেস,	ব্যোমকেশ,	
ovishangsan,	অভিষংসন,	অভিশংসন,	
digrike,	ডিগ্রীকে,	ডিগ্রিকে,	
venkates,	ভেনকেট,	ভেঙ্কটেশ,	
mohisho,	মহীশ,	মহিষ,	
arthanitite,	অর্থনীতিতে,	অর্থনীতিতে,	
primoo,	প্রীমো,	প্রিমো,	
pachok,	পাচক,	পাচক,	
masajida,	মাসজিদ,	মসজিদ,	
roktokkhorone,	রক্তকরণে,	রক্তক্ষরণে,	
juktorashtrosaha,	যুক্তরাস্থো,	যুক্তরাষ্ট্রসহ,	
jamaanor,	জামানোর,	জমানোর,	
unitshoho,	উনিতসহ,	ইউনিটসহ,	
tenishe,	টেনিশে,	টেনিসে,	
satthikata,	সাথিকতা,	সঠিকতা,	
aireshe,	আইরেশে,	আইরেসে,	
naditi,	নদীতী,	নদীটি,	
rooplal,	রূপলাল,	রূপলাল,	
saalsa,	সালসা,	সালসা,	
behrampurer,	বেহরামপুরের,	বহরমপুরের,	
santa,	সান্ট,	স্যান্টা,	
rigthter,	রিঘটের,	রাইটের,	
syutara,	সুইটার,	শ্যুটার,	
daale,	ডালে,	ডালে,	
chhathke,	ছাঁকে,	ছাতকে,	
chhattroraai,	ছাত্ররাই,	ছাত্ররাই,	
sattoki,	সত্যকি,	সাত্যকি,	
bii,	বি,	বি,	
harj,	হার্জ,	হার্জ,	
superheror,	সুপারহার,	সুপারহিরোর,	
nirikho,	নিরীখ,	নিরিখ,	
marketim,	মার্কেটিং,	মার্কেটিং,	
prachurzer,	প্রচুর্যের,	প্রাচুর্যের,	
salim,	সালিম,	সেলিম,	
bondhutto,	বন্ধুত্ব,	বন্ধুত্ত্ব,	
cheerkut,	চির্ুট,	চিরকুট,	
rakhtokkharone,	রক্ষণকরণে,	রক্তক্ষরণে,	
akkaash,	একাশ,	আককাস,	
gauge,	গৌগে,	গেজ,	
shaalehaa,	সালেহা,	সালেহা,	
samajeekotar,	সামাজিকতার,	সামাজিকতার,	
futbolarer,	ফুটবলের,	ফুটবলারের,	
kas,	কাস,	কাস,	
brindaabane,	বৃণ্ডাবেনে,	বৃন্দাবনে,	
purple,	পার্পল,	পার্পেল,	
aviyojan,	অভিযোজন,	অভিযোজন,	
songhitar,	সংহীতার,	সংহিতার,	
upacharjo,	উপাচ্র্,	উপাচার্য,	
leder,	লেডের,	লিডার,	
masjidsaha,	মস্জিসসহ,	মসজিদসহ,	
pholo,	ফলো,	পোলো,	
satarkabhabey,	সাঁতরাাভাবে,	সতর্কভাবে,	
karadanda,	কারাদন্ড,	কারাদণ্ড,	
granthaty,	গ্রন্থাটি,	গ্রন্থটি,	
nabhela,	নেভেল,	নভেল,	
maile,	মেলে,	মাইলি,	
sinakey,	সীনাকে,	সিনাকে,	
gudamjat,	গুদামাজ,	গুদামজাত,	
jerujalem,	জেরুজালিক,	জেরুজালেম,	
azaadir,	আজাদির,	আজাদীর,	
kanaphlikta,	কনফেল্ক্ট,	কনফ্লিক্ট,	
karadandey,	কারাদন্ডে,	কারাদণ্ডে,	
bukhari,	বুখারী,	বুখারি,	
bildara,	বিল্ডার,	বিল্ডার,	
artilery,	আর্টিলারি,	আর্টিলারি,	
shcholastik,	স্কলাস্টিক,	স্কলাস্টিক,	
maithili,	মেঠিলি,	মৈথিলি,	
stoone,	স্তুন,	স্টোন,	
seqtara,	সেক্টর,	সেক্টর,	
seet,	সেট,	সিট,	
shilpojat,	শিল্পোত,	শিল্পজাত,	
sima,	সীম,	সীমা,	
nepchooner,	নেপচুনের,	নেপচুনের,	
inastyanta,	ইনস্ট্যান্ট,	ইনস্ট্যান্ট,	
prakalpoguli,	প্রকল্পগুলি,	প্রকল্পগুলি,	
bidrohiderke,	বিদ্রোহীদেরকে,	বিদ্রোহীদেরকে,	
kkomandar,	কমান্ডার,	কমাণ্ডার,	
tawnship,	তাউন্সিপ,	টাউনশিপ,	
kanagulo,	কানগুলো,	কণাগুলো,	
mojdur,	মজদুর,	মজদুর,	
prakalpagulo,	প্রকালগুলো,	প্রকল্পগুলো,	
qanaphliqta,	কনফেল্ক্ট,	কনফ্লিক্ট,	
bishhnu,	বিষ্ণু,	বিষ্ণু,	
rajnoiteek,	রাজনৈতিক,	রাজনৈতীক,	
akatwa,	একাত্র,	একাত্ব,	
tusho,	তুষো,	তুসো,	
reeno,	ঋণ,	রেনো,	
graameroi,	গ্রামেরও,	গ্রামেরই,	
ssahosikotar,	সাহিকতার,	সাহসিকতার,	
deebatee,	দেবাতী,	ডিবেট,	
prastutkarak,	প্রস্তুতকারক,	প্রস্তুতকারক,	
protijogi,	প্রতিযোগী,	প্রতিযোগী,	
bcci,	বিসিসি,	বিসিসিআই,	
maddhobir,	মাধবীর,	মাধবীর,	
ateeteo,	অতিতে,	অতীতেও,	
leadar,	লিডার,	লিডার,	
mitre,	মিত্রে,	মিত্র,	
oitijjo,	ঐতিত্য,	ঐতিহ্য,	
engrejer,	ইংরেজের,	ইংরেজের,	
addhatikota,	আধ্যাতিকতা,	আধ্যাত্মিকতা,	
onshogrohoner,	অংশগ্রহণের,	অংশগ্রহনের,	
siqh,	শিখ,	শিখ,	
debdebir,	দেবদীবির,	দেবদেবীর,	
vince,	ভিঞ্স,	ভিন্স,	
truup,	ট্রুপ,	ট্রুপ,	
ooeepoka,	উপকা,	উইপোকা,	
jesthaa,	জেষ্ঠ্য,	জ্যেষ্ঠা,	
shaddhi,	সাধ্যি,	সাধ্বী,	
pothnatok,	পথননতক,	পথনাটক,	
choshon,	চোষণ,	চোষণ,	
raitasa,	রাইটোস,	রাইটস,	
abhigomon,	অভিগান,	অভিগমন,	
skora,	স্কোর,	স্কোর,	
serup,	শেরূপ,	সেরূপ,	
siramiqs,	সিরামিক্স,	সিরামিকস,	
ghatiti,	ঘটিটি,	ঘাঁটিটি,	
kakhonyoba,	কখনোববা,	কখনওবা,	
bhoolapuka,	ভোলাপুক,	ভোলাপুক,	
gejeted,	গেজেটেড,	গেজেটেড,	
oitijhyo,	ঐতিহ্য,	ঐতিহ্য,	
phutbolarder,	ফুটবলর্ডের,	ফুটবলারদের,	
bharote,	ভারতে,	ভারতে,	
maudeling,	মাউড্লিজ,	মডেলিং,	
pooroheetke,	পুরোীতকে,	পুরোহিতকে,	
khilafot,	খিলাফোত,	খিলাফত,	
mumtaz,	মমতাজ,	মুমতাজ,	
rakkhanbhag,	রক্ষণভাগ,	রক্ষণভাগ,	
turky,	তুর্কী,	তুর্কি,	
chhootite,	ছুটিতে,	ছুটিতে,	
rahi,	রাহি,	রাহি,	
voter,	ভোটের,	ভোটার,	
puroheetke,	পুরোীতকে,	পুরোহিতকে,	
rockibul,	রকিবুল,	রকিবুল,	
sayaneda,	সায়েন,	সায়ানাইড,	
jaak,	যাক,	জাঁক,	
neutrina,	নিউট্রিন,	নিউট্রিনো,	
sookumari,	সুকুমারী,	সুকুমারী,	
ujbekistan,	উজ্ববিস্তান,	উজবেকিস্তান,	
roomantik,	রুমান্তিক,	রোমান্টিক,	
adorsho,	আদর্শ,	আর্দশ,	
phutbolarra,	ফুটবলর্,	ফুটবলাররা,	
megher,	মেঘের,	মেঘের,	
akhandata,	আখন্দ্,	অখণ্ডতা,	
telaakucha,	তেলাকুচা,	তেলাকুচা,	
chirontan,	চীরন্তন,	চিরন্তন,	
jyakasana,	য্যাকানো,	জ্যাকসন,	
madhukori,	মধুকরী,	মাধুকরী,	
teta,	টাইটা,	টেটা,	
muhammad,	মুহাম্মাদ,	মুহম্মদ,	
bhejano,	ভেজানো,	ভেজানো,	
tinhazar,	তিনহাজার,	তিনহাজার,	
debdebi,	দেবদিবি,	দেবদেবী,	
deebating,	ডেবাটিং,	ডিবেটিং,	
padarthabidder,	পদার্থবিদ্যার,	পদার্থবিদদের,	
eeksapreeshana,	এক্সপ্রেশন,	এক্সপ্রেশন,	
qredita,	ক্রেডিট,	ক্রেডিট,	
beetloser,	বিটলসের,	বিটলসের,	
gezeteda,	জেজেটেই,	গেজেটেড,	
serverer,	সার্ভারের,	সার্ভারের,	
tukrote,	তুকরতে,	টুকরোতে,	
source,	সোর্স,	সোর্স,	
asirbad,	আশীর্বাদ,	আশির্বাদ,	
kormokandeo,	কর্মকান্ডে,	কর্মকাণ্ডেও,	
naazee,	নাজি,	নাত্সি,	
elakaasoho,	এলাকাসহ,	এলাকাসহ,	
transformaarer,	ট্রান্সফার্মের,	ট্রান্সফরমারের,	
direqtareta,	ডিরেক্টরে,	ডিরেক্টরেট,	
bosontey,	বসন্তে,	বসন্তে,	
eparjonta,	পপরাজন্তা,	এপর্যন্ত,	
kormokarke,	কর্মকর্কে,	কর্মকারকে,	
sobchey,	সবচে,	সবচে,	
jatak,	যতক,	জাতক,	
jackey,	জেকে,	জকি,	
sqalastiqa,	স্কলাস্টিক,	স্কলাস্টিক,	
panchashjan,	পঞ্চাশজন,	পঞ্চাশজন,	
karaa,	করা,	কারো,	
opochesta,	অপচেষ্টা,	অপচেষ্টা,	
jorer,	জোরের,	জ্বরের,	
haryken,	হারিকেন,	হ্যারিকেন,	
oichchik,	ঐচ্ছিক,	ঐচ্ছিক,	
karmokandeo,	কর্মকান্ডে,	কর্মকাণ্ডেও,	
deily,	দেলি,	ডেইলি,	
ekroop,	একরূপ,	একরূপ,	
expresion,	এক্সপ্রেশন,	এক্সপ্রেশন,	
velcome,	ভেলকমে,	ওয়েলকাম,	
licencer,	লিসেন্সের,	লাইসেন্সের,	
debholopar,	ডেভলপার,	ডেভলপার,	
labanaktatar,	লবনাক্ততার,	লবণাক্ততার,	
pretty,	প্রেটি,	প্রিটি,	
dharabiktir,	ধারাবিক্তির,	ধারাবাহিকটির,	
pratistha,	প্রতিষ্ঠা,	প্রতিষ্টা,	
debeting,	ডেবিটিং,	ডিবেটিং,	
turkmeen,	তুর্কমীন,	তুর্কমেন,	
blacker,	ব্লকের,	ব্ল্যাকের,	
prokalpao,	প্রকল্পও,	প্রকল্পও,	
graambaasider,	গ্রামবাসীদের,	গ্রামবাসীদের,	
claud,	ক্লাউড,	ক্লাউড,	
eutey,	ইউটে,	ইইউতে,	
rupert,	রাপার্ট,	রুপার্ট,	
firoja,	ফিরোজা,	ফিরোজা,	
durgatsabe,	দুর্গটসাবে,	দুর্গোৎসবে,	
agora,	আগোরা,	আগোরা,	
rohoshyor,	রহস্য,	রহস্যর,	
jhankar,	ঝংকার,	ঝঙ্কার,	
dephinishion,	ডেফিনিশন,	ডেফিনেশন,	
hoshein,	হোসেন,	হোসেইন,	
simaa,	সীমা,	সীমা,	
tuleche,	তুলেছে,	তুলেছে,	
natneekey,	নাটনীকে,	নাতনীকে,	
toranganj,	তরঙ্গঞ্জ,	তোরাবগঞ্জ,	
gardeena,	গার্ডিন,	গার্ডেন,	
khanankaj,	খননকাজ,	খননকাজ,	
shomraatder,	সমরাতদের,	সম্রাটদের,	
sikkhao,	শিক্ষাও,	শিক্ষাও,	
utsahe,	উত্সাহে,	উৎসাহে,	
obhidhanik,	অভিধানিক,	অভিধানিক,	
patigonit,	পতিগণিত,	পাটিগণিত,	
chowdhurir,	চৌধুরির,	চৌধুরীর,	
gorrer,	গরের,	গোরের,	
sarollo,	সরল,	সারল্য,	
ahollar,	আহলার,	অহল্যার,	
deejijer,	ডিজিজের,	ডিজিজের,	
dwipgulo,	দ্বিপুলো,	দ্বীপগুলো,	
jibnagore,	জীবনাগরে,	জীবননগর,	
governorer,	গভর্নরের,	গভর্ণরের,	
sinematographar,	সেনেমাগ্রেফ,	সিনেমাটোগ্রাফার,	
metropolitan,	মেট্রোলিটান,	মেট্রোপলিটন,	
bager,	ব্যাগের,	বাগের,	
poschimey,	পশ্চিমে,	পশ্চিমে,	
windo,	উইন্ডো,	উইন্ডো,	
uindoos,	উইন্ডোস,	উইন্ডোস,	
taaims,	টাইমস,	টাইমস্,	
soomitrar,	সুমিত্রার,	সুমিত্রার,	
quota,	কোটো,	কোটা,	
dackop,	ডাকোপ,	দাকোপ,	
elakatikey,	এলাকাতে,	এলাকাটিকে,	
lyata,	ল্যাট,	ল্যাটা,	
uthhe,	উঠে,	উঠে,	
jounotar,	যৌনতার,	যৌনতার,	
dinnar,	দিনার,	ডিনার,	
prai,	প্রাই,	প্রায়,	
saphallyar,	সাফল্যার,	সাফল্যের,	
sho,	শো,	শো,	
dada,	দাদ,	দাদা,	
aamoode,	আমুদে,	আমুদে,	
palta,	পাল্ট,	পালটা,	
satarko,	সততার,	সতর্ক,	
siddhantai,	সিদ্বান্তই,	সিদ্ধান্তই,	
chaka,	চোক,	চাকা,	
choudhooreeo,	চৌধুরিও,	চৌধুরীও,	
kunty,	কুন্টি,	কুন্তী,	
bhalobasen,	ভালবাসেন,	ভালোবাসেন,	
senior,	সেনিয়ার,	সিনিয়র,	
institutioney,	ইন্সটিটিউশনে,	ইনস্টিটিউশনে,	
akkaas,	একাশ,	আককাস,	
azimke,	আজিমকে,	আজিমকে,	
khanonkaaj,	খননকাজ,	খননকাজ,	
potochitrer,	পতচিত্রের,	পটচিত্রের,	
osommotite,	অসম্মতিতে,	অসম্মতি,	
dailee,	দেলি,	ডেইলি,	
japaanira,	জাপানীরা,	জাপানিরা,	
euro,	ইউরো,	ইউরো,	
phormat,	ফরমাট,	ফরম্যাট,	
rata,	রত,	রত,	
hantte,	হাঁটে,	হাঁটতে,	
idaningkale,	ঈদানিঙ্কলে,	ইদানীংকালে,	
sobrakamer,	সব্রকমের,	সবরকমের,	
cheere,	চীরে,	চিরে,	
ganona,	গণনা,	গণনা,	
eporzonto,	পপরন্য,	এপর্যন্ত,	
sporsher,	স্পার্সের,	স্পর্শের,	
puncho,	পাঞ্চ,	পুঞ্চ,	
chhooti,	ছুটি,	ছুটি,	
rikondison,	রিকন্ডিসন,	রিকন্ডিশন,	
nagorikderke,	নাগরিকদেরকে,	নাগরিকদেরকে,	
gosti,	গোস্টি,	গোষ্ঠী,	
plainti,	প্লেন্টি,	প্লেনটি,	
kuhelika,	কুহেলিক,	কুহেলিকা,	
banijyikvittey,	বানিজ্যিক্তে,	বাণিজ্যিকভিত্তিতে,	
towbar,	তববার,	তওবার,	
semai,	সেমাই,	সেমাই,	
songostha,	সংস্থা,	সংস্থা,	
bisshaso,	বিশ্বাস,	বিশ্বাসও,	
hariner,	হরিনের,	হরিণের,	
chaity,	চাইতি,	চৈতি,	
choddo,	ছদ্দ,	চোদ্দো,	
sone,	সোনে,	সনে,	
ekshotee,	একশতি,	একশোটি,	
yuq,	ইউক,	ইয়াক,	
chaanoo,	চানু,	চানু,	
kachhakaachhi,	কাছাকাছি,	কাছাকাছি,	
kortaam,	করততম,	করতাম,	
nirbahi,	নির্বাহী,	নির্বাহি,	
lutheran,	লুঠারন,	লুথেরান,	
homes,	হোমেস,	হোমস,	
chondrimaa,	চন্দ্রীমা,	চন্দ্রিমা,	
komatei,	কমাতেই,	কমাতেই,	
janachhe,	জানাছে,	জানাচ্ছে,	
bodka,	বদকা,	ভদকা,	
nagarikata,	নাগরিকো,	নাগরিকতা,	
wishnu,	ভিষ্ণু,	বিষ্ণু,	
eekbalke,	ইকবালকে,	ইকবালকে,	
shhow,	শো,	শো,	
monjeele,	মঞ্জিলে,	মঞ্জিলে,	
poster,	পোস্টার,	পোস্টের,	
badhadan,	বাধাদন,	বাধাদান,	
ceramiker,	চেরামিকের,	সিরামিকের,	
koommatei,	কমাতেই,	কমাতেই,	
maudeler,	মাউডেলের,	মডেলের,	
defineshana,	ডেফিনিশন,	ডেফিনেশন,	
phirati,	ফিরতি,	ফিরতি,	
blyaqa,	ব্ল্যাক,	ব্ল্যাক,	
messanger,	মেশাঙ্গের,	মেসেঞ্জার,	
oitijhya,	ঐতিহ্য,	ঐতিহ্য,	
nothibhookto,	নথিভুক্ত,	নথিভুক্ত,	
ceramiqs,	কেরামিক্স,	সিরামিকস,	
deenesh,	দেনেস,	দীনেশ,	
chutite,	ছুটিতে,	ছুটিতে,	
asamanno,	অসমান্য,	অসামান্য,	
neerbachoker,	নির্বাচকের,	নির্বাচকের,	
procharonamulok,	প্রচারণূলক,	প্রচারণামূলক,	
sampadankari,	সম্পাদনকারী,	সম্পাদনকারী,	
prottokhovabe,	প্রত্যক্ষভাবে,	প্রত্যক্ষভাবে,	
udbodhony,	উদ্বধনি,	উদ্বোধনী,	
vittiow,	ভিত্যও,	ভিত্তিও,	
graambaasir,	গ্রামবাসীর,	গ্রামবাসীর,	
dharavashyokar,	ধারাভাস্যকার,	ধারাভাষ্যকার,	
saramiks,	সারামিক্স,	সিরামিকস,	
bagdader,	বাগদাদের,	বাগদাদের,	
bosanta,	বসন্ত,	বসন্ত,	
leaders,	লিডার্স,	লিডার্স,	
kousholgoto,	কৌসলগত,	কৌশলগত,	
laisens,	লাইন্স,	লাইসেন্স,	
meiler,	মেলের,	মেইলের,	
pushtee,	পুষ্টি,	পুষ্টি,	
tikta,	টিক্ট,	তিক্ত,	
rokshonbhag,	রক্ষণভাগ,	রক্ষণভাগ,	
prabhura,	প্রভূরা,	প্রভুরা,	
debdebee,	দেবদীবি,	দেবদেবী,	
opargota,	অপরগত,	অপারগতা,	
thelaa,	থেলা,	ঠেলা,	
irana,	ইরান,	ইরান,	
ekaar,	একার,	একার,	
jyesthaa,	জেষ্ঠ্য,	জ্যেষ্ঠা,	
chinito,	চিনিত,	চিনতো,	
bufer,	বুফের,	বাফার,	
aap,	আপ,	আপ,	
sanghitar,	সংহীতির,	সংহিতার,	
surakarder,	সুরকরদের,	সুরকারদের,	
sansthaner,	সংস্থানের,	সংস্থানের,	
jatinkey,	জাতিনকে,	যতীনকে,	
bedkey,	বেদকে,	বেদকে,	
shtonahenja,	স্টোেহাজ্ঞ,	স্টোনহেঞ্জ,	
ghurchen,	ঘুরেছেন,	ঘুরেছেন,	
muhurtati,	মুহুর্তি,	মুহুর্তটি,	
rights,	রাইটস,	রাইটস,	
chalochchitraeei,	চালিচ্ত্রেই,	চলচ্চিত্রেই,	
nironjon,	নিরঞ্জন,	নিরঞ্জন,	
gonoporeebohon,	গণপরিবহণ,	গণপরিবহন,	
abolokon,	অবলোণ,	অবলোকন,	
shantaa,	শান্ত,	সান্তা,	
gronthe,	গ্রন্থে,	গ্রন্থে,	
ranadip,	রণনীপ,	রণদীপ,	
korechi,	করেছি,	করেছি,	
aziboner,	আজিবনের,	আজীবনের,	
ghese,	ঘেসে,	ঘেঁষে,	
kodguli,	কদগুলি,	কোডগুলি,	
steena,	স্টেন,	স্টেন,	
meg,	মেগ,	মেগ,	
moshzidtir,	মসজজিদ্তির,	মসজিদটির,	
jillool,	জিল্লুল,	জিল্লুল,	
marjito,	মার্জিত,	মার্জিত,	
biqe,	বিকে,	বাইক,	
chhedon,	ছেদন,	ছেদন,	
shashtra,	শাস্ত্র,	শাস্ত্র,	
michhilti,	মিছিলটি,	মিছিলটি,	
heena,	হীন,	হেনা,	
makong,	মকযাং,	মেকং,	
expose,	এক্সপোজ,	এক্সপোজ,	
horeedware,	হরিদ্বরে,	হরিদ্বারে,	
postke,	পোস্টকে,	পোস্টকে,	
bhor,	ভোর,	ভর,	
chhatroraai,	ছাত্ররাই,	ছাত্ররাই,	
chootite,	ছুটিতে,	ছুটিতে,	
sazanor,	সাজানোর,	সাজানোর,	
hajartee,	হজরটি,	হাজারটি,	
manobmoner,	মানবমনের,	মানবমনের,	
nederlander,	নেদারল্যান্ডের,	নেদারল্যান্ডের,	
ghumacche,	ঘুমা্ছে,	ঘুমাচ্ছে,	
prithibir,	পৃথিবীর,	পৃথবীর,	
romantika,	রোমন্টিক,	রোমান্টিক,	
onnoroop,	অন্যরূপ,	অন্যরূপ,	
dule,	দুল,	ডালে,	
bloggerra,	ব্লগেরা,	ব্লগাররা,	
shansthatikey,	সংস্থাটিকে,	সংস্থাটিকে,	
saahosikotar,	সাহিকতার,	সাহসিকতার,	
langhoner,	লঙ্ঘনের,	লংঘনের,	
transformarer,	ট্রান্সফার্মের,	ট্রান্সফরমারের,	
samle,	সামলে,	সামলে,	
byaboharkarie,	ব্যবহারকারী,	ব্যবহারকারীই,	
thanvi,	থানভি,	থানভী,	
melborner,	মেলবর্নের,	মেলবোর্নের,	
mookhomaundoley,	মুখমন্ডলে,	মুখমণ্ডলে,	
bishwasho,	বিশ্বাস,	বিশ্বাসও,	
dhabi,	ঢববি,	ঢাবি,	
nortokike,	নর্তকিকে,	নর্তকীকে,	
nathivukta,	নথিভুক্ত,	নথিভুক্ত,	
durgandher,	দুর্গান্ধের,	দুর্গন্ধের,	
adhattikotar,	আধ্যাতিকার,	আধ্যাত্মিকতার,	
nisad,	নিশাদ,	নিষাদ,	
graambaasee,	গ্রামবাসী,	গ্রামবাসী,	
qlauda,	ক্লদ,	ক্লাউড,	
qiuti,	কিউটি,	কিউটি,	
pudinn,	পুদিন,	পুডিং,	
swarnali,	স্বর্ণালী,	স্বর্ণালী,	
maudeley,	মাউডেলে,	মডেলে,	
grambaaseer,	গ্রামবাসীর,	গ্রামবাসীর,	
taphaat,	তফফা,	তফাৎ,	
segulo,	সেগুলো,	সেগুলো,	
kortam,	করতম,	করতাম,	
abikol,	অবিকল,	অবিকল,	
chikitsar,	চিকিৎসার,	চিকিত্সার,	
drissoteer,	দৃশ্যতীর,	দৃশ্যটির,	
shorifpur,	শরীপুর,	শরিফপুর,	
dekhbaar,	দেখবার,	দেখবার,	
digreeke,	ডিগ্রীকে,	ডিগ্রিকে,	
ingrejiteo,	ইংরেজিতেও,	ইংরেজিতেও,	
remacry,	রেমার্রি,	রেমাক্রী,	
gaandaas,	গান্ডাস,	জ্ঞানদাস,	
huqar,	হুকার,	হুকার,	
kraima,	ক্রেম,	ক্রাইম,	
