jacqson,	জেকসন,	জ্যাকসন,	
sommotir,	সম্মতির,	সম্মতির,	
prashikkhane,	প্রশিক্ষণে,	প্রশিক্ষণে,	
boikollyo,	বৈকল্য,	বৈকল্য,	
niketoner,	নিকটনের,	নিকেতনের,	
freedom,	ফ্রিডম,	ফ্রীডম,	
licencedhari,	লিসেন্ধারি,	লাইসেন্সধারী,	
militaryte,	মিলিটারেটে,	মিলিটারিতে,	
doulaa,	দৌলা,	দৌলা,	
bhorpur,	ভর্পুর,	ভরপুর,	
tarbiner,	টারবিনের,	টারবাইনের,	
otitkaley,	অতিতকালে,	অতীতকালে,	
tuneta,	টুনেটা,	টুনাইট,	
chalkee,	চলকী,	চালকে,	
somudrotote,	সমুদ্রততে,	সমুদ্রতটে,	
pattern,	পটার্ন,	প্যাটার্ন,	
jhalkatthi,	ঝালকাঠি,	ঝালকাঠী,	
korkotkrantee,	করকাটন্ক্তি,	কর্কটক্রান্তি,	
jomjomat,	জমজমত,	জমজমাট,	
drisser,	দ্রিসের,	দৃশ্যের,	
iraaner,	ইরানের,	ইরানের,	
doorotaumo,	দূরতম,	দূরতম,	
aarmstrong,	আর্টস্ট্রেং,	আর্মস্ট্রং,	
aswastikar,	অস্বস্তিকার,	অস্বস্তিকর,	
argho,	আর্ঘ,	অর্ঘ্য,	
manober,	মানবের,	মানবের,	
show,	শো,	শো,	
aansaareer,	আনসারীর,	আনসারীর,	
grambaaseer,	গ্রামবাসীর,	গ্রামবাসীর,	
kingdam,	কিংমড,	কিংডম,	
fatakasto,	ফটাকা্ট,	ফাটাকেষ্ট,	
nepchooner,	নেপচুর,	নেপচুনের,	
lisens,	লিইন্স,	লাইসেন্স,	
phuda,	ফুড,	ফুড,	
transapharma,	ট্রান্সফর্ম,	ট্রান্সফর্ম,	
akatwa,	একাত্ব,	একাত্ব,	
stana,	স্টা,	স্টোন,	
diznii,	দিজনী,	ডিজনী,	
jalatanko,	জলতানো,	জলাতঙ্ক,	
daalu,	ডালু,	ডালু,	
dokkhinangsho,	দক্ষিণাংশ,	দক্ষিণাংশ,	
jhalkathee,	ঝালকাঠি,	ঝালকাঠী,	
jamjamat,	জামজাম,	জমজমাট,	
hachchilo,	হচ্ছিল,	হচ্ছিলো,	
chhootochhooti,	ছোটোচুটি,	ছুটোছুটি,	
pothon,	পথন,	পঠন,	
bhumir,	ভূমির,	ভূমির,	
shahabah,	শাহাবাহ,	সাহাবাহ,	
torup,	তরুপ,	ট্রুপ,	
firth,	ফার্থ,	ফার্থ,	
votarer,	ভোটারের,	ভোটারের,	
boudha,	বৌধ,	বৌদ্ধ,	
swartho,	স্বার্থ,	স্বার্থ,	
shotodha,	শতধা,	শতধা,	
horipoor,	হরিপুর,	হরিপুর,	
kormokarer,	কর্মকারের,	কর্মকারের,	
chaalke,	চালকে,	চালকে,	
granther,	গ্রন্থের,	গ্রন্থের,	
bosontokey,	বসন্তকে,	বসন্তকে,	
haphej,	হাফেজ,	হাফেয,	
sarder,	সর্দার,	সরদার,	
bipradas,	বিপ্রদাশ,	বিপ্রদাস,	
jees,	জিস,	জেস,	
chirokoomari,	চিরকমুরাই,	চিরকুমারী,	
johns,	জনস,	জন্স,	
sangbadmadhyamer,	সংবাদকধ্মের,	সংবাদমাধ্যমের,	
jonopoth,	জনপথ,	জনপথ,	
deputee,	দিপুটি,	ডেপুটি,	
planee,	প্লেন,	প্লেন,	
phemale,	ফেমালে,	ফিমেল,	
suparheiro,	সুপারহের,	সুপারহিরো,	
mitrota,	মিত্রতা,	মিত্রতা,	
elakai,	এলাকই,	এলাকাই,	
kuntee,	কুনটি,	কুন্তী,	
nathibhookteer,	নথিভুক্তির,	নথিভুক্তির,	
maroofer,	মারুফের,	মারুফের,	
pet,	পিট,	পেত,	
chalchhe,	চলছে,	চলছে,	
raktaksharaner,	রক্তকর্ষণের,	রক্তক্ষরণের,	
torangunj,	তরঙ্গ,	তোরাবগঞ্জ,	
conshervation,	কনসারভেশন,	কনসারভেশন,	
songosthati,	সংস্থাটি,	সংস্থাটি,	
black,	ব্লক,	ব্ল্যাক,	
dibeeta,	দীবিটা,	ডিবেট,	
panthar,	প্যান্থার,	পন্থার,	
protijogiir,	প্রতিযোগীর,	প্রতিযোগীতার,	
panjikar,	পা্জিকার,	পঞ্জিকার,	
korimke,	করিমকে,	করিমকে,	
sangasthaner,	সংস্থানের,	সংস্থানের,	
gandhiike,	গান্ধীকে,	গান্ধীকে,	
kyathalika,	ক্যাথলিক,	ক্যাথলিক,	
muktoome,	মুকতমমে,	মাকতুম,	
ssteit,	স্টেট,	স্টেইট,	
peengna,	পিংন,	পিংনা,	
ruble,	রাবেল,	রুবল,	
ballroom,	বলরুম,	বলরুম,	
victar,	ভিক্টার,	ভিক্টর,	
talgach,	টলগাচ,	তালগাছ,	
naran,	নর,	নরেন,	
protizogii,	প্রতিযোগী,	প্রতিযোগী,	
definision,	ডেফিনিশন,	ডেফিনেশন,	
oxforde,	অক্সফরদে,	অক্সফোর্ডে,	
zhalkatthi,	ঝালকাঠি,	ঝালকাঠী,	
shadena,	সেডেন,	সাডেন,	
bakhyateet,	বা্্যাতিত,	ব্যাখ্যাতীত,	
shikkhakbrinda,	শিক্ষাবৃণ্দ,	শিক্ষকবৃন্দ,	
dacope,	ডাকেপ,	দাকোপ,	
governorer,	গভর্নরের,	গভর্ণরের,	
daakteekiter,	ডাক্তিকেতের,	ডাকটিকিটের,	
maddhobir,	মাধবীর,	মাধবীর,	
thela,	থেলা,	ঠেলা,	
santoshpur,	সন্ত্ষ্পুর,	সন্তোষপুর,	
timathy,	টিমথি,	টিমোথি,	
madhookori,	মাধুকরী,	মাধুকরী,	
netherland,	নেদারল্যান্ড,	নেদারল্যান্ড,	
shaahaabiike,	সাহাবীকে,	সাহাবীকে,	
muradpur,	মুরাদপুর,	মুরাদপুর,	
sainyasaha,	সৈন্যসহ,	সৈন্যসহ,	
leetteer,	লেটার,	লেটার,	
chhintayikari,	ছিনটাইকারী,	ছিনতাইকারী,	
chhotogalpe,	ছোটোগল্পে,	ছোটগল্পে,	
zerusaleme,	জেরুসোমালে,	জেরুসালেমে,	
ekai,	একই,	একাই,	
krisenter,	ক্রিসেন্টের,	ক্রিসেন্টের,	
sthapanagulo,	স্থাপানোগুলো,	স্থাপনাগুলো,	
dhila,	ধিলা,	ঢিলা,	
dharavashyokar,	ধারাভাষ্যকর,	ধারাভাষ্যকার,	
moddhyekar,	মধ্যার,	মধ্যেকার,	
palbangsher,	পালবাংশের,	পালবংশের,	
besharkarikarone,	বেসরকারীকরণে,	বেসরকারিকরণ,	
dinnar,	দিনানার,	ডিনার,	
ever,	ইভার,	এভার,	
sikhbe,	শিখবে,	শিখবে,	
taali,	তালি,	তালি,	
rudroke,	রুদ্রকে,	রুদ্রকে,	
kanuner,	কানুনের,	কানুনের,	
durgatsober,	দুর্গতস্বের,	দুর্গোৎসবে,	
obodamoner,	অবদমনের,	অবদমনের,	
basiney,	বাসিনে,	বেসিনে,	
haridwar,	হরিদরব,	হরিদ্বার,	
kharaar,	খারার,	খরার,	
eesosiyeetasa,	এসোসিসেট,	এসোসিয়েটস,	
corymb,	করিম্ব,	করিম,	
oncholgoolir,	অঞ্চলগুলির,	অঞ্চলগুলির,	
lagto,	লাগত,	লাগতো,	
haj,	হাজ,	হয,	
aanhu,	আনু,	আনহু,	
faltir,	ফলটির,	ফলটির,	
kanshat,	কাঁসাট,	কানসাট,	
dhoka,	ঢোকা,	ধোঁকা,	
durgotir,	দূর্গতির,	দুর্গটির,	
shantaa,	শাঁটা,	সান্তা,	
moushumei,	মৌসুমেই,	মৌসুমেই,	
attorkite,	আত্মরকিতে,	অতর্কিতে,	
madhobike,	মাধবীকে,	মাধবীকে,	
juddhahato,	যুদ্ধহত,	যুদ্ধাহত,	
gonona,	গণনা,	গননা,	
digreeo,	ডিগ্রীও,	ডিগ্রিও,	
injiniyarsha,	ইন্জিয়েন্স,	ইঞ্জিনিয়ার্স,	
daackticket,	ডাক্তিকেট,	ডাকটিকিট,	
akmat,	একমা,	একমত,	
otorkeitey,	অতরকেতে,	অতর্কিতে,	
toroni,	তরণী,	তরণী,	
abasane,	আবাসনে,	অবসানে,	
bosante,	বসন্তে,	বসন্তে,	
laaishesh,	লাইসেস,	লাইসেন্স,	
alangkoron,	অলংকরণ,	অলঙ্করণ,	
nopdnodir,	নপনদদির,	নদনদীর,	
byabaharkari,	ব্যবহারকারী,	ব্যবহারকারী,	
bolechi,	বলেছি,	বলেছি,	
romancho,	রোমাঞ্চ,	রোমাঞ্চ,	
debagg,	দেবাজ,	ডিবাগ,	
loukikata,	লৌকিকাট,	লৌকিকতা,	
prasadhoner,	প্রসাধনের,	প্রসাধনের,	
pratijogi,	প্রতিযোগী,	প্রতিযোগী,	
icebarg,	এসেবার্গ,	আইসবার্গ,	
hajjarer,	হাজারের,	হাজারের,	
raits,	রেটস,	রাইটস,	
obhidhanik,	অভিধানিক,	অভিধানিক,	
degreeo,	ডিগ্রীও,	ডিগ্রিও,	
deebatee,	দিবাটি,	ডিবেট,	
day,	দা,	ডে,	
biprodas,	বিপ্রদাস,	বিপ্রদাস,	
daap,	দাপ,	ড্যাপ,	
rayalty,	রোয়টলটি,	রয়্যালটি,	
hugheke,	হুঘেকে,	হিউজকে,	
sahojlabhbhotar,	সহজভলভততার,	সহজলভ্যতার,	
engrezer,	ইংরেজের,	ইংরেজের,	
rahi,	রহি,	রাহি,	
dokaangoolote,	দোকানগুলোতে,	দোকানগুলোতে,	
ghenshe,	ঘেঁসে,	ঘেঁষে,	
saalsa,	সালসা,	সালসা,	
conservation,	কনসারভেশন,	কনসারভেশন,	
jor,	জোর,	জ্বর,	
krush,	ক্রাস,	ক্রুশ,	
soranor,	সরানোর,	সরানোর,	
ooeepokar,	উইপাকার,	উইপোকার,	
chalchhee,	চলছি,	চলছে,	
jwalbe,	জ্বলবে,	জ্বলবে,	
dhhalur,	ঢালুর,	ঢালুর,	
jaj,	জাজ,	জাজ,	
dembakreeti,	ডেম্বারিটি,	ডিম্বাকৃতি,	
konishtho,	কনিষ্ঠ,	কনিষ্ঠ,	
ardasha,	অর্ডস,	আর্দশ,	
taffsher,	টাফসের,	তাফসীর,	
hiushtoner,	হিউস্টনের,	হিউস্টনের,	
somabesh,	সমবেশ,	সমাবেশ,	
bazaareo,	বাজারেও,	বাজারেও,	
mangolic,	ম্যাঙ্গলিক,	মাঙ্গলিক,	
agamanke,	আগামনকে,	আগমনকে,	
taale,	তালে,	তালে,	
samanwitavabe,	সমান্তিভাবে,	সমন্বিতভাবে,	
skolastic,	স্কলাস্টিক,	স্কলাস্টিক,	
aukhando,	অখন্ড,	অখন্ড,	
joubankal,	যৌবনকাল,	যৌবনকাল,	
nimitto,	নিমিত্ব,	নিমিত্ত,	
jeesa,	জিস,	জেস,	
baarder,	বার্ডার,	বার্ডের,	
pooloo,	পোলু,	পোলো,	
turkamena,	তুর্কমেন,	তুর্কমেন,	
dhhaby,	ঢবি,	ঢাবি,	
bosben,	বসবেন,	বসবেন,	
injiniyarsa,	ইঞ্জিনির্স,	ইঞ্জিনিয়ার্স,	
chhaai,	ছাই,	ছাই,	
booroon,	বরুণ,	বোরন,	
kyapashula,	ক্যাপুলা,	ক্যাপসুল,	
alpokichudin,	অল্পকিউদিচিন,	অল্পকিছুদিন,	
bibek,	বিবেক,	বিবেক,	
karmakandeo,	কর্মকান্ডেও,	কর্মকাণ্ডেও,	
bbosonto,	বসন্ত,	বসন্ত,	
rupantor,	রূপান্তর,	রুপান্তর,	
manushera,	মানুরা,	মানুষেরা,	
benis,	বেনিস,	ভেনিস,	
kormosongsthaner,	কর্মসংস্থনের,	কর্মসংস্থানের,	
dooborira,	দুবরিরা,	ডুবুরিরা,	
necker,	নেকের,	নেকের,	
hastantar,	হস্তান্তর,	হস্তান্তর,	
diyenes,	ডিয়েন,	ডিএনএস,	
nischitbhabe,	নিশ্চিতভাবে,	নিশ্চিতভাবে,	
tirmijii,	তিরমিযী,	তিরমিজি,	
rena,	রেন,	রেনো,	
bouddho,	বৌদ্ধ,	বৌদ্ধ,	
ajuhath,	অযুহাথ,	অজুহাত,	
koommandar,	কমান্ডার,	কমাণ্ডার,	
sahocorje,	সহচর্যে,	সাহচর্যে,	
faase,	ফাঁস,	ফাঁসে,	
canton,	ক্যান্টন,	ক্যান্টন,	
hepetitis,	হ্যাপিটেটিস,	হেপাটাইটিস,	
ministerer,	মিনিস্টারের,	মিনিস্টারের,	
adhunikkale,	আধুনিককেলে,	আধুনিককালে,	
jeebnagore,	জীবনারগে,	জীবননগর,	
athar,	আঠার,	আতহার,	
chotto,	চত্ব,	ছোট্ট,	
modhumotii,	মধুমতি,	মধুমতী,	
skolastik,	স্কলাস্টিক,	স্কলাস্টিক,	
kartona,	কর্টন,	করতনা,	
gatihin,	গতিহীন,	গতিহীন,	
darjiling,	ডর্জিলিং,	দার্জিলিং,	
uuipoka,	উইপাকা,	উইপোকা,	
saurce,	সার্স,	সোর্স,	
karpeta,	কর্প,	কার্পেট,	
deeyenes,	ডিয়েন,	ডিএনএস,	
infarmatian,	ইনফর্মেশন,	ইনফরমেশন,	
bonke,	বোঁকে,	বনকে,	
chironton,	চিরন্টন,	চিরন্তন,	
batsmani,	বাৎসমনি,	ব্যাটসম্যানই,	
idyi,	ইদি,	আইডিই,	
oncholtite,	অঞ্চলটিতে,	অঞ্চলটিতে,	
sanaktakaroner,	সনাক্তকরণের,	সনাক্তকরণের,	
institutione,	ইন্সটিটিউশনে,	ইনস্টিটিউশনে,	
gonona,	গণনা,	গণনা,	
saamaanya,	সামান্য,	সামান্য,	
hailo,	হইল,	হইল,	
blaker,	ব্লকের,	ব্ল্যাকের,	
porissrom,	পরিস্রম,	পরিশ্রম,	
parijaner,	পরিজনের,	পরিজনের,	
uroor,	ইউর,	উরুর,	
malaika,	মালাইকা,	মালাইকা,	
townsip,	টন্সপী,	টাউনশিপ,	
shahab,	সাহাব,	সাহাব,	
bukhari,	বুখারী,	বুখারি,	
potchitro,	পতচিত্র,	পটচিত্র,	
dormetori,	ডরমেটরি,	ডরমিটরি,	
sangasthatir,	সংস্থাটির,	সংস্থাটির,	
estania,	এস্টেনিয়া,	এস্তোনিয়া,	
neurology,	নিউরোলজি,	নিউরোলজি,	
modeler,	মোদলের,	মডেলের,	
ghurechen,	ঘুরেছেন,	ঘুরেছেন,	
drissogoolo,	দৃশ্যগুলো,	দৃশ্যগুলো,	
jibonnogor,	জীবনগণগর,	জীবননগর,	
kasper,	কাস্পের,	ক্যাসপার,	
sangrahok,	সংগ্রহক,	সংগ্রাহক,	
laboni,	লবণী,	লাবনী,	
dokaanei,	ডোকানেই,	দোকানেই,	
pancbaar,	পাঁচবার,	পাঁচবার,	
byaasalt,	ব্যাসলট,	ব্যাসল্ট,	
kadam,	কাদ,	কদম,	
shanta,	শাঁট,	সান্তা,	
bagdad,	বাগদাদ,	বাগদাদে,	
temonti,	টেমনটি,	তেমনটি,	
eukalyptush,	ইউকালিপ্তদ,	ইউক্যালিপ্টাস,	
domonmulok,	দমনমূলক,	দমনমূলক,	
post,	পোস্ট,	পোষ্ট,	
lendl,	লেন্ড,	লেন্ডল,	
praman,	প্রমাণ,	প্রমান,	
brookolin,	ব্রোকলিন,	ব্রুকলিন,	
gaphiloti,	গফীলতি,	গাফিলতি,	
shapad,	সপাদ,	শ্বাপদ,	
bolbo,	বলব,	বলবো,	
protimake,	প্রতিমাকে,	প্রতিমাকে,	
conflict,	কনফ্লিক্ট,	কনফ্লিক্ট,	
vagno,	ভাগ্ন,	ভগ্ন,	
sonaktokaraner,	সনাক্তকরণের,	সনাক্তকরণের,	
naabyota,	নাব্যতা,	নাব্যতা,	
shiqara,	শিকার,	শিকার,	
istoone,	ইস্টন,	স্টোন,	
diniphition,	ডিনিফিয়শন,	ডেফিনেশন,	
silvee,	সিলভা,	সিলভি,	
shikarder,	শিকারদের,	শিকারদের,	
ghaghat,	ঘাঘাত,	ঘাঘট,	
parinoti,	পরিনতি,	পরিণতি,	
definition,	ডেফিনিশন,	ডেফিনেশন,	
idaningkale,	ইদানককগালে,	ইদানীংকালে,	
deil,	ডেল,	ডেইল,	
nothivukto,	নথিভুক্ত,	নথিভুক্ত,	
ayantarkatika,	অ্যান্টারিকট,	অ্যান্টার্কটিকা,	
nirapekkhotar,	নিরপ্কেতার,	নিরপেক্ষতার,	
gotirodh,	গতিরোধ,	গতিরোধ,	
dhoorer,	ধরের,	ধরের,	
batikromshalee,	ব্যাতিক্রমসালী,	ব্যতিক্রমধর্মী,	
khodeza,	খোদেজা,	খোদেজা,	
modelkey,	মোদেলকে,	মডেলকে,	
sachindra,	সচীন্দ্র,	শচীন্দ্র,	
nojoder,	নজদের,	নজদের,	
abhidhanik,	আভিধানিক,	অভিধানিক,	
kanaphlikta,	কনফ্লিক্ট,	কনফ্লিক্ট,	
songosthatike,	সংস্থাতিকে,	সংস্থাটিকে,	
jeevjontu,	জীবনন্তু,	জীবজন্তু,	
ashocheton,	অসচেতন,	অসচেতন,	
katbe,	কাটবে,	কাটবে,	
khargosher,	খার্গের,	খরগোসের,	
streegan,	স্ত্রীগণ,	স্ত্রীগণ,	
jerusaleme,	জেরুসোমালে,	জেরুসালেমে,	
dhorer,	ধরের,	ধরের,	
atmabishvashi,	অত্মবিবাসী,	আত্মবিশ্বাসী,	
kanai,	কানই,	কানাই,	
scholastik,	স্কল্যস্টিক,	স্কলাস্টিক,	
diyares,	ডিয়ার,	ডিআরএস,	
janacche,	জনচ্ছে,	জানাচ্ছে,	
chiranton,	চিরন্তন,	চিরন্তন,	
manushe,	মানুষে,	মানুষে,	
cholochchitrotike,	চলচ্চিত্রকে,	চলচ্চিত্রটিকে,	
tookoo,	টোকো,	টুকু,	
bibechyo,	বিবেচ্য,	বিবেচ্য,	
makong,	মকক,	মেকং,	
emarzensi,	এমের্জিন্সি,	এমার্জেন্সি,	
internship,	ইন্টার্নশীপ,	ইন্টার্নশিপ,	
mukhya,	মুখ্য,	মুখ্য,	
potchitra,	পতচিত্র,	পটচিত্র,	
shilabhara,	সিলভার,	সিলভার,	
juboke,	যুবকে,	যুবকে,	
asovo,	অসভ,	অসভ্য,	
taims,	টাইমস,	টাইমস্,	
udvabaney,	উদ্বাবে,	উদ্ভাবনে,	
franko,	ফ্রাঙ্ক,	ফ্রাঙ্কো,	
hert,	হার্ট,	হার্ট,	
gatibege,	গতিবেগে,	গতিবেগে,	
zeebonnogor,	জীবনগণ,	জীবননগর,	
bondhukey,	বন্ধুকে,	বন্ধুকে,	
ase,	আসি,	আসে,	
steitt,	স্টেট,	স্টেইট,	
bohudeen,	বহুদিন,	বহুদিন,	
jotinke,	জতিনকে,	যতীনকে,	
boney,	বোনে,	বনে,	
franco,	ফ্রান্ক,	ফ্রাঙ্কো,	
engrejder,	ইংরেজের,	ইংরেজদের,	
nirmankaz,	নির্মাকজ,	নির্মাণকাজ,	
ceramics,	কেরামিক্স,	সিরামিকস,	
lyaataa,	ল্যাট,	ল্যাটা,	
ispredsheet,	ইস্প্রেডিত,	স্প্রেডশীট,	
chalochchitrai,	চলচ্চিত্রাই,	চলচ্চিত্রই,	
itostatoh,	ইতসস্তাহ,	ইতস্ততঃ,	
pratiyogitar,	প্রতিযোগিতার,	প্রতিযোগীতার,	
huqar,	হুকার,	হুকার,	
lyaata,	ল্যাট,	ল্যাটা,	
carzar,	কার্জার,	চার্জার,	
lokhindare,	লোখিন্দারে,	লখিন্দরের,	
confliqt,	কনফ্লিক্ট,	কনফ্লিক্ট,	
surkey,	সার্কে,	সুরকে,	
wool,	ওয়াল,	উল,	
paira,	পায়ার,	পাইরা,	
onurbor,	অনুরবর,	অনুর্বর,	
moomtajer,	মুম্তাজের,	মুমতাজের,	
valobasakey,	ভালবাসাকে,	ভালোবাসাকে,	
prema,	প্রেম,	প্রাইম,	
ganohotyar,	গণনহত্যার,	গণহত্যার,	
brindabaner,	ব্রিন্ডবানের,	বৃন্দাবনের,	
baasaa,	বাসা,	বাসা,	
bisnu,	বিষ্ণু,	বিষ্ণু,	
societytey,	সোস্যেটিতে,	সোসাইটিতে,	
poste,	পোস্ট,	পোষ্টে,	
eiling,	এইলিং,	ইলিং,	
nirgaman,	নির্গমণ,	নির্গমন,	
homser,	হমসের,	হোমসের,	
schedule,	স্কেডুলে,	শিডিউল,	
jinsha,	জিনসা,	জিন্স,	
oncholsoho,	অঞ্চলসহ,	অঞ্চলসহ,	
kottar,	কোটার,	কট্টর,	
susamo,	সুসম,	সুসম,	
mojlishpoor,	মজলিস্পুর,	মজলিশপুর,	
hizritey,	হিজরিতে,	হিজরীতে,	
gaugee,	গগি,	গেজ,	
venam,	ভেনাম,	ভেনম,	
tyap,	ট্যাপ,	ট্যাপ,	
madrasi,	মাদ্রাসী,	মাদ্রাজি,	
joubankale,	যৌবনকালে,	যৌবনকাল,	
ganonatya,	গণনাত্য,	গণনাট্য,	
pudim,	পুদিম,	পুডিং,	
evil,	এভিল,	ইভিল,	
musalmanera,	মুসলমানেরা,	মুসলমানেরা,	
nitikatha,	নীতিকাঠা,	নীতিকথা,	
gora,	গর,	গোর,	
teestar,	টিস্টার,	তিস্তার,	
birishirite,	বিরিসিতেতে,	বিরিশিরিতে,	
chashe,	চাষে,	চেস,	
shikshagata,	শিক্ষাগত,	শিক্ষাগত,	
chai,	চাই,	ছাই,	
foreex,	ফরিক্স,	ফরেক্স,	
ajimke,	আজিমকে,	আজিমকে,	
mulor,	মুলর,	মুলোর,	
banijyikvittite,	বনিনিযিক্তিতে,	বাণিজ্যিকভিত্তিতে,	
licensedhari,	লিসেনধারি,	লাইসেন্সধারী,	
bhadaka,	ভাদা,	ভদকা,	
parse,	পার্স,	পার্শ্বে,	
karkatkranti,	করকাটারন্টি,	কর্কটক্রান্তি,	
militaryr,	মিলিটারীর,	মিলিটারির,	
arunima,	অরুণিম,	অরুণিমা,	
nobom,	নবম,	নবম,	
chedropothe,	চিদ্রপথে,	ছিদ্রপথে,	
saccar,	সকচার,	সকার,	
otyacharito,	অত্যাচারিত,	অত্যাচারিত,	
trend,	ট্রেন্ড,	ট্রেন্ড,	
nischitobhabe,	নিশ্চিতভাবে,	নিশ্চিতভাবে,	
bongram,	বংরাম,	বনগ্রাম,	
irish,	আইরিশ,	আইরিস,	
teunar,	টিউনার,	টিউনার,	
vittiteow,	ভিটিতিও,	ভিত্তিতেও,	
chargar,	চার্গার,	চার্জার,	
carpete,	কার্পেট,	কার্পেটে,	
laicenshe,	লেইনেস্,	লাইসেন্স,	
beeswaske,	বিশ্বাসকে,	বিশ্বাসকে,	
nirvachakder,	নির্ভাচকদের,	নির্বাচকদের,	
grambaaseeder,	গ্রামবাসীদের,	গ্রামবাসীদের,	
koner,	কোণের,	কনের,	
rupart,	রূপার্ট,	রুপার্ট,	
parswer,	পার্সার,	পার্শ্বের,	
pudinn,	পুদিন,	পুডিং,	
ssahocorze,	শহচরর্যে,	সাহচর্যে,	
chaakaa,	চাকা,	চাকা,	
verma,	ভার্মা,	ভার্মা,	
shamijir,	সমিজির,	স্বামীজীর,	
hosain,	হোসেন,	হোসেইন,	
utpatti,	উৎপত্তি,	উতপত্তি,	
karima,	করিম,	করিম,	
jonosamaj,	জনসমাজ,	জনসমাজ,	
gronthotyke,	গ্রন্থটিকে,	গ্রন্থটিকে,	
shucre,	শুচ্রে,	সাকার,	
residence,	রেসিডেন্স,	রেসিডেন্স,	
bbiswashi,	বিশ্বাসী,	বিশ্বাসই,	
fal,	ফল,	ফল,	
moofti,	মুফতী,	মুফতি,	
bhittimool,	ভিটিমূল,	ভিত্তিমূল,	
dala,	ডলা,	দলা,	
uparjan,	উপার্জন,	উপার্জন,	
dajjha,	দাজ্য,	দাহ্য,	
vortuki,	ভর্তুকী,	ভর্তুকি,	
bhangle,	ভাঙলে,	ভাঙলে,	
benke,	বেঁকে,	বেঁকে,	
udbodhane,	উদ্বোধনে,	উদ্বোধনে,	
chhotogolper,	ছোটোগল্পের,	ছোটগল্পের,	
natniike,	নাটনীকে,	নাতনীকে,	
ajiban,	আজিবান,	আজীবন,	
sahapatheekey,	সহপাকী,	সহপাঠীকে,	
perri,	পেরি,	পেরি,	
aireshe,	আইরেশে,	আইরেসে,	
slok,	স্লোক,	শ্লোক,	
antarktika,	অন্তর্কিক,	অ্যান্টার্কটিকা,	
rakhtokkharoner,	রক্তরক্ষণের,	রক্তক্ষরণের,	
kushoomba,	কুসোম্ব,	কুশুম্বা,	
bishnu,	বিষ্ণু,	বিষ্ণু,	
jotinkey,	জটিনকে,	যতীনকে,	
eparjonta,	এপর্যান্ত,	এপর্যন্ত,	
bondi,	বন্দি,	বন্দী,	
srisri,	শ্রীশ্র,	শ্রীশ্রী,	
kushomva,	কুসম্ভ,	কুশুম্বা,	
metroopoolitan,	মেট্রোপিলিকান,	মেট্রোপলিটন,	
jerokom,	জেরকম,	যেরকম,	
qyathaliqa,	ক্যাথলিক,	ক্যাথলিক,	
jati,	জাতি,	যাতি,	
neptuner,	নেপুনের,	নেপচুনের,	
shuperhero,	সুপারহরও,	সুপারহিরো,	
asbab,	আসবাব,	আসবাব,	
uddhritir,	উদ্ধৃতির,	উদ্ধৃতির,	
thakey,	থাকে,	থাকে,	
afzol,	আফজল,	আফজল,	
fixin,	ফিক্সিন,	ফিক্সিং,	
shikshakke,	শিক্ষাকে,	শিক্ষককে,	
hajaribag,	হজরিবাগ,	হাজারিবাগ,	
vogiroth,	ভগিরোথ,	ভগীরথ,	
durotaumo,	দূরতম,	দূরতম,	
americar,	এমেরিকার,	আমেরিকার,	
shhcholashtic,	স্কল্টস্টিক,	স্কলাস্টিক,	
uinndo,	উইন্ড,	উইন্ডো,	
protishta,	প্রতিষ্টা,	প্রতিষ্টা,	
uparzoner,	উপার্জনের,	উপার্জনের,	
shikara,	শিকারা,	শিকার,	
bordhitangso,	বর্ধিতাংশ,	বর্ধিতাংশ,	
jibjantu,	জীবনা্তু,	জীবজন্তু,	
shoili,	শইলি,	শৈলী,	
hizrite,	হিজরিতে,	হিজরীতে,	
vageryi,	ভাগারী,	ভাগেরই,	
monchostho,	মঞ্চস্থ,	মঞ্চস্থ,	
jacq,	জ্যাক,	জ্যাক,	
pratijogider,	প্রতিযোগিদের,	প্রতিযোগীদের,	
porishromi,	পরিস্মমী,	পরিশ্রমী,	
laishensh,	লেইনসস,	লাইসেন্স,	
patterne,	পটার্নে,	প্যাটার্নে,	
onupater,	অনুপতের,	অনুপাতের,	
charzara,	চার্জার,	চার্জার,	
adhuna,	আধুনা,	অধুনা,	
arekdol,	এরেকদল,	আরেকদল,	
bboponer,	বপনের,	বপনের,	
maadhoobir,	মাধুবীর,	মাধবীর,	
phareksa,	ফারেক্স,	ফরেক্স,	
iuqyaliptasa,	ইউক্লিপিটাস,	ইউক্যালিপ্টাস,	
shanstha,	সাঁস,	সংস্থা,	
konake,	কোনকে,	কণাকে,	
futbolarra,	ফুটবলর্,	ফুটবলাররা,	
nirbachaker,	নির্বাচকের,	নির্বাচকের,	
bharma,	ভার্ম,	ভার্মা,	
jackshan,	জক্সন,	জ্যাকসন,	
kaalki,	কালকি,	কালকি,	
chherechhe,	ছেরেছে,	ছেড়েছে,	
robotic,	রোবটিক,	রোবোটিক,	
krisenta,	ক্রিসেন্ট,	ক্রিসেন্ট,	
tuso,	টুস,	তুসো,	
arop,	আরোপ,	আরোপ,	
akpashe,	একপাশে,	একপাশে,	
shhayatana,	শয়াত,	শয়তান,	
phormat,	ফরমত,	ফরম্যাট,	
piruzali,	পিরুজালী,	পিরুজালী,	
ganoporibohon,	গণপরিবহন,	গণপরিবহন,	
ancholei,	আঞ্চলেই,	অঞ্চলেই,	
