chherechhe,	ছেরেছে,	ছেড়েছে,	
gaddaafee,	গাদ্াফী,	গাদ্দাফী,	
teunar,	টিউনার,	টিউনার,	
dosheeder,	দশীদের,	দোষীদের,	
bhalobasar,	ভালবাসার,	ভালোবাসার,	
tarbine,	তার্বাইন,	টারবাইন,	
byatikromi,	ব্যাতিক্রমী,	ব্যতিক্রমী,	
drishyotir,	দৃষ্যটির,	দৃশ্যটির,	
nirgamon,	নির্গামোন,	নির্গমন,	
parswer,	পারস্বার,	পার্শ্বের,	
satan,	সতান,	শয়তান,	
muscat,	মুসকাট,	মাস্কাট,	
byakkhabyatito,	ব্যক্যাব্যটি,	ব্যাখ্যাতীত,	
arasie,	আরসে,	আরসিএ,	
sanatoni,	সানাটনি,	সনাতনী,	
booponer,	বুপনের,	বপনের,	
mousumeo,	মৌসুমওও,	মৌসুমেও,	
nodnodeer,	নদ্নদির,	নদনদীর,	
sealvi,	সিলভি,	সিলভি,	
kaansaat,	কানসাট,	কানসাট,	
laaj,	লাজ,	লাজ,	
hiranee,	হিরণে,	হিরানি,	
nikataner,	নিকটনের,	নিকেতনের,	
pettern,	পটের্ট,	প্যাটার্ন,	
jatee,	জাতি,	যাতি,	
shuperheiro,	সুপারহাইও,	সুপারহিরো,	
azadir,	আজাদির,	আজাদীর,	
satarkobhabe,	সত্তরকভাবে,	সতর্কভাবে,	
pitthe,	পিঠে,	পীঠে,	
iuro,	ইউরো,	ইউরো,	
roktokshoroner,	রক্ষসর্ষণের,	রক্তক্ষরণের,	
chhatrorai,	ছাত্ররাই,	ছাত্ররাই,	
oitihye,	ঐতিহ্যে,	ঐতিহ্যে,	
palki,	পালকি,	পাল্কি,	
shotokeo,	শতকেও,	শতকেও,	
itastata,	ইটস্টট,	ইতস্ততঃ,	
tistar,	টিস্টার,	তিস্তার,	
beekaargrasta,	বিকর্গগ্রস্ত,	বিকারগ্রস্ত,	
choity,	চৈতি,	চৈতি,	
akhaate,	আখাতে,	একহাতে,	
turkmeen,	তুর্মনেন,	তুর্কমেন,	
agomonke,	অগমনকে,	আগমনকে,	
khanonkaj,	খননকাজ,	খননকাজ,	
baju,	বাজু,	বাজু,	
gorur,	গরুর,	গরুর,	
konaa,	কোনা,	কোনা,	
bbiseshyo,	বিশেষ্য,	বিশেষ্য,	
depooti,	দিপোতি,	ডেপুটি,	
shaatjoner,	সাঁজতের,	সাতজনের,	
polo,	পোলো,	পোলো,	
dharabhashyokar,	ধারাভাষ্যকার,	ধারাভাষ্যকার,	
shaartho,	সার্থ,	স্বার্থ,	
proshikkhone,	প্রশিক্ষণে,	প্রশিক্ষণে,	
grambaasio,	গ্রামবাসীও,	গ্রামবাসীও,	
armstronj,	আর্ষম্ট্র্ন,	আর্মস্ট্রং,	
horas,	হরাস,	হোরাস,	
deraa,	দেরা,	ডেরা,	
donate,	দোনেতে,	ডোনাট,	
thatchar,	ঠাঁচার,	থ্যাচার,	
bonnypran,	বনিপ্রাণ,	বন্যপ্রাণ,	
sabche,	সবচে,	সবচে,	
zerusalem,	জেরুসালেম,	জেরুজালেম,	
brinde,	ব্রিন্ডে,	বৃন্দ,	
yaq,	এক,	ইয়াক,	
niurolaji,	নিউরোলজি,	নিউরোলজি,	
udbhabone,	উদ্ভাবনে,	উদ্ভাবনে,	
soorarop,	সুরারোপ,	সুরারোপ,	
somonnitobhabe,	সমননতিভাবে,	সমন্বিতভাবে,	
cholchhee,	চলছি,	চলছে,	
mosharroph,	মোশাররফ,	মশাররফ,	
bhabnar,	ভাবনার,	ভাবনার,	
bedanto,	বেদন্ত,	বেদান্ত,	
solil,	সলিল,	সলিল,	
subader,	সুবাদের,	সুবাদে,	
mirakeela,	মিরাকেল,	মিরাকেল,	
nirgomon,	নির্গমন,	নির্গমন,	
nirapekkhotar,	নিরপ্কেক্ষতার,	নিরপেক্ষতার,	
sahokaree,	সহকারি,	সহকারী,	
somaazer,	সমাজের,	সমাজের,	
koreemke,	করিমকে,	করিমকে,	
kaathhaamaandu,	কাঠামুন্ড,	কাঠমান্ডু,	
tali,	তালি,	তালি,	
obosan,	অবসান,	অবসান,	
windows,	উইন্ডোস,	উইন্ডোস,	
shchalastik,	স্ললাস্টিক,	স্কলাস্টিক,	
segulor,	সেগুলোর,	সেগুলোর,	
indr,	ইন্ড্র,	ইন্দ্র,	
taholei,	তাহলেই,	তাহলেই,	
thaken,	থাকেন,	থাকেন,	
sikkhakromer,	শিক্ষাক্রমের,	শিক্ষাক্রমের,	
idyi,	ঈদি,	আইডিই,	
vabanipur,	ভবানীপুর,	ভবানীপুর,	
drissoi,	দৃশ্যই,	দৃশ্যই,	
welaqama,	ওেলেকম,	ওয়েলকাম,	
bagdader,	বাজদাদের,	বাগদাদের,	
aarcia,	আর্কিয়,	আরসিএ,	
seatey,	সেটে,	সিটে,	
cheshsh,	চেস,	চেস,	
huge,	হুগ,	হিউজ,	
dakshinangsho,	দক্ষিণাংশ,	দক্ষিণাংশ,	
proshtot,	প্রস্তত,	প্রস্ত্তত,	
uinndos,	উইন্ডোজ,	উইন্ডোস,	
sahabikey,	সাহাবিকে,	সাহাবীকে,	
pulse,	পুলসে,	পালস,	
siddhantake,	সিদ্ধান্তাকে,	সিদ্ধান্তকে,	
soourse,	সোর্স,	সোর্স,	
firoze,	ফিরোজ,	ফিরোজ,	
ghotlo,	ঘটল,	ঘটল,	
anchalgulir,	অঞ্চলগুলির,	অঞ্চলগুলির,	
meghnadbadh,	মেঘনাদবাধ,	মেঘনাদবধ,	
janapath,	জনপথ,	জনপথ,	
mohibur,	মহিবুর,	মহিবুর,	
shima,	সীমা,	সীমা,	
phaksa,	ফক্স,	ফক্স,	
azaadir,	আজাদির,	আজাদীর,	
shikhechi,	শিখেছি,	শিখেছি,	
chhaanake,	ছানাকে,	ছানাকে,	
kathhmandute,	কঠ্টনাডুতে,	কাঠমান্ডুতে,	
baarnish,	বার্নিস,	বার্নিশ,	
augustine,	অগাস্টিন,	অগাস্টিন,	
mozlis,	মজলিস,	মজলিশ,	
nesanasa,	নেশাসা,	নেশনস,	
ishter,	ইস্টার,	ইস্টের,	
jalrang,	জলরাং,	জলরঙ,	
provritite,	প্রভিতিতে,	প্রভৃতিতে,	
ovidhanik,	অভিধানিক,	অভিধানিক,	
basiney,	বাসিনে,	বেসিনে,	
badna,	বদনা,	বদনা,	
plack,	প্লক,	প্ল্যাক,	
calabe,	চালাবে,	চালাবে,	
sohopatheekey,	সহপাঠীকে,	সহপাঠীকে,	
timoothi,	তিমুঠি,	টিমোথি,	
donut,	দনন,	ডোনাট,	
chapal,	চাপল,	চপল,	
halding,	হোলিড,	হোল্ডিং,	
homasha,	হোমস,	হোমস,	
ghoorsen,	ঘুরসেন,	ঘুরেছেন,	
dephinesana,	ডিফিনিশন,	ডেফিনেশন,	
techno,	টেকনো,	টেকনো,	
hoil,	হইল,	হইল,	
karoo,	কারও,	কারো,	
bagichaar,	বাজিচার,	বাগিচার,	
desiseyer,	ডেসিসির,	ডিজিজের,	
gatihin,	গতিহীন,	গতিহীন,	
oncholgoolir,	অঞ্চলগুলির,	অঞ্চলগুলির,	
bidrohiderke,	বিদ্রোহেদেরকে,	বিদ্রোহীদেরকে,	
manohputo,	মনোপতো,	মনঃপুত,	
hena,	হেনা,	হেনা,	
rapto,	রপ্ত,	রপ্ত,	
shikkhartheerao,	শিক্ষার্থীরাও,	শিক্ষার্থীরাও,	
seet,	সেত,	সিট,	
bachhaikrito,	বাচাইকৃত,	বাছাইকৃত,	
pharanyeta,	ফোরন্যাট,	ফরম্যাট,	
stonahenza,	স্তোহানহেজ্ঞ,	স্টোনহেঞ্জ,	
rajtantro,	রাজ্ত্ত্র,	রাজতন্ত্র,	
bastuvad,	বস্তুবাদ,	বস্তুবাদ,	
prakar,	প্রকার,	প্রকার,	
nirmaankaaj,	নির্মাণকাজ,	নির্মাণকাজ,	
kana,	কানা,	কণা,	
chainge,	চাইন,	চেঞ্জ,	
chalochchitratike,	চলচ্চিত্রটিকে,	চলচ্চিত্রটিকে,	
rajpurohit,	রাজপুরোতি,	রাজপুরোহিত,	
institutioney,	ইনস্টিটিউশনে,	ইনস্টিটিউশনে,	
pravritir,	প্রভীতির,	প্রভৃতির,	
letterey,	ল্যাটরে,	লেটারে,	
seekkhaou,	শিক্ষাও,	শিক্ষাও,	
toroonderke,	তরুন্দেরকে,	তরুণদেরকে,	
antarvukta,	অন্তর্ভূক্ত,	অন্তর্ভুক্ত,	
ponchasjon,	পঞ্চাশো্জন,	পঞ্চাশজন,	
mousumei,	মৌসুমেই,	মৌসুমেই,	
sambhabonao,	সম্ভাবনাও,	সম্ভবনাও,	
bruklin,	ব্রুকলিন,	ব্রুকলিন,	
mojlishpoor,	মজলিসপুর,	মজলিশপুর,	
badaghat,	বাদঘাট,	বাদাঘাট,	
hyaloyin,	হ্যালোইন,	হ্যালোইন,	
prachurjer,	প্রোচুর্যের,	প্রাচুর্যের,	
thetcher,	থেচার,	থ্যাচার,	
timothi,	তিমোঠী,	টিমোথি,	
ekpashe,	একপাশে,	একপাশে,	
dover,	ডোভর,	ডোভার,	
akabar,	একাবার,	আকাবার,	
lajika,	লাজিক,	লজিক,	
graambaashee,	গ্রামবাসী,	গ্রামবাসী,	
nama,	নামা,	নমো,	
dosider,	দশীদের,	দোষীদের,	
nirmaankaj,	নির্মাণকাজ,	নির্মাণকাজ,	
tukrotey,	টুক্রোতে,	টুকরোতে,	
tinbhager,	তিনভাগের,	তিনভাগের,	
mehonoti,	মেহননটি,	মেহনতি,	
hugheske,	হুগেসকে,	হিউজকে,	
samanno,	সামান্য,	সামান্য,	
kule,	কুলে,	কুলে,	
moshan,	মশান,	মোশন,	
shhooter,	শুটার,	শ্যুটার,	
santani,	সন্তানী,	সনাতনী,	
utshahi,	উত্সহহী,	উৎসাহী,	
jokey,	জোকে,	জকি,	
cruce,	ক্রুস,	ক্রুশ,	
gabeshanagar,	গবেষণাগার,	গবেষনাগার,	
mulgoto,	মুলগত,	মূলগত,	
bolovodro,	বলভদ্র,	বলভদ্র,	
shaakaar,	সাকার,	সাকার,	
orthonitite,	অর্থনীতিতে,	অর্থনীতিতে,	
duncan,	দুনশান,	ডানকান,	
armeniyana,	আর্মেনিয়ান,	আর্মেনিয়ান,	
gejeted,	গেজেটেড,	গেজেটেড,	
sharoker,	শরককের,	স্মারকের,	
vezano,	ভেজানো,	ভেজানো,	
chutochuti,	চুটুচুটি,	ছুটোছুটি,	
boikalyo,	বৈকল্য,	বৈকল্য,	
teestar,	টিস্টার,	তিস্তার,	
phutbolarder,	ফুটবলবারের,	ফুটবলারদের,	
zealand,	জিল্যান্ড,	জিল্যান্ড,	
totokson,	ততক্ষণ,	ততক্ষন,	
durgotsab,	দূর্ঘটসবব,	দুর্গোৎসব,	
chotogolper,	ছোটোগল্পের,	ছোটগল্পের,	
august,	আগস্ট,	আগষ্ট,	
tat,	তাঁত,	তাত,	
koyeri,	কোরি,	কোয়েরি,	
abhidhaaneec,	অভিধানিক,	অভিধানিক,	
senabahinio,	সেনাবাহিনী,	সেনাবাহিনীও,	
chire,	চিরে,	চিরে,	
thore,	থোর,	থরে,	
kooyeri,	কুয়ের,	কোয়েরি,	
samosto,	সমস্ত,	সমস্ত,	
ghese,	ঘেসে,	ঘেঁষে,	
mumtaj,	মমততাজ,	মুমতাজ,	
reejideencee,	রেজিডেন্স,	রেসিডেন্স,	
shkalastic,	স্কলস্টিক,	স্কলাস্টিক,	
samajer,	সমাজের,	সমাজের,	
avatar,	অভাটার,	অবতার,	
carpeter,	কার্পেটার,	কার্পেটের,	
sampadaner,	সম্পাদনের,	সম্পাদনের,	
archimedeser,	অর্চিমোডেসার,	আর্কিমিডিসের,	
asamonjoshopurno,	অসমাস্যপর্ণ,	অসামঞ্জস্যপূর্ণ,	
satjaner,	সৎজানের,	সাতজনের,	
shilpojato,	শিল্পজত,	শিল্পজাত,	
embaed,	এমবাইড,	এম্বেড,	
jilyanda,	জিল্যান্ড,	জিল্যান্ড,	
hafez,	হাফেজ,	হাফেয,	
shaahaab,	সাহাব,	সাহাব,	
eideen,	ঈদিন,	এইদিন,	
prime,	প্রাইম,	প্রাইম,	
dephinision,	ডেফিনিশন,	ডেফিনেশন,	
chaiten,	চাইতেন,	চাইতেন,	
seekkhokke,	শিক্ষককে,	শিক্ষককে,	
lokshero,	লক্ষেরও,	লক্ষেরও,	
saccar,	সাক্রার,	সকার,	
taimas,	টাইমস,	টাইমস্,	
shalook,	সালুক,	শালুক,	
chopal,	চোপাল,	চপল,	
mulaadi,	মুলাদি,	মুলাদি,	
hisabke,	হিসাবকে,	হিসাবকে,	
kormyi,	কর্মী,	কর্মই,	
bipajjanak,	বিপজজ্জনক,	বিপজ্জনক,	
mataram,	মততরাম,	মাতরম,	
korimpur,	করিমপুর,	করিমপুর,	
shapholler,	সফলোর,	সাফল্যের,	
madraser,	মাদ্রসের,	মাদ্রাজের,	
pillai,	পিল্লাই,	পিল্লাই,	
ojouno,	অযৌনন,	অযৌন,	
oitijjer,	ঐতিজ্যের,	ঐতিহ্যের,	
dayitto,	দৈত্য,	দায়িত্ব,	
volapuq,	ভোলাপুক,	ভোলাপুক,	
itostatoh,	ইতোস্তা,	ইতস্ততঃ,	
cetholic,	ক্যাথলিক,	ক্যাথলিক,	
cheentaikaree,	চিন্তাকারী,	ছিনতাইকারী,	
uponishoder,	উপনিশোদের,	উপনিষদের,	
dekhbar,	দেখবার,	দেখবার,	
charchito,	চর্চিত,	চর্চিত,	
pnouchute,	পৌঁছুতে,	পৌঁছুতে,	
herfer,	হার্ফার,	হেরফের,	
ruteener,	রুটিনের,	রুটিনের,	
shaajaanor,	সাজানোর,	সাজানোর,	
chalachchitrai,	চলচ্চিত্রে,	চলচ্চিত্রই,	
chalchhe,	চলছে,	চলছে,	
kabutarer,	কাবুটারের,	কবুতরের,	
dooburira,	দুবিরার,	ডুবুরিরা,	
vejaano,	ভেজানো,	ভেজানো,	
taalaal,	তালাল,	তালাল,	
netsi,	নেটসি,	নাত্সি,	
chinito,	চিনিত,	চিনতো,	
shaushage,	সৌশাগে,	সসেজ,	
jonoshongjog,	জনসংযোগ,	জনসংযোগ,	
definishion,	ডেফিনিশন,	ডেফিনেশন,	
aameenar,	আমিনার,	আমিনার,	
second,	সেকন্ড,	সেকেণ্ড,	
dakteekit,	ডাক্তিটিক,	ডাকটিকিট,	
kaale,	কালে,	কালে,	
murali,	মুরালি,	মুরলী,	
khappar,	খাপপার,	খপ্পর,	
besirbhaagi,	বেশীরভাগই,	বেশিরভাগই,	
zzonite,	যোনিতে,	যোনীতে,	
charrjar,	চার্জার,	চার্জার,	
purbanchole,	পূর্বাঞ্চলে,	পূর্বাঞ্চলে,	
societytey,	সোকিয়েতে,	সোসাইটিতে,	
haphsa,	হাসফা,	হাফসা,	
gej,	গেজ,	গেজ,	
nothibhukteer,	নথিভুক্তির,	নথিভুক্তির,	
sombhobonaow,	সম্ভবনাও,	সম্ভবনাও,	
vobtarini,	ভব্তরািনি,	ভবতারিণী,	
nirontar,	নির্্তার,	নিরন্তর,	
rahie,	রহে,	রাহি,	
manonitoder,	মনননিতদের,	মনোনীতদের,	
heemi,	হিমি,	হিমি,	
ancholgoolote,	অঞ্চলগুলোতে,	অঞ্চলগুলোতে,	
obhidhanik,	অভিধানিক,	অভিধানিক,	
sovanetree,	সভানাত্রী,	সভানেত্রী,	
dalu,	দালু,	ডালু,	
zyaka,	জ্যাক,	জ্যাক,	
sheramiksh,	শেরামিক্স,	সিরামিকস,	
koontee,	কুনটি,	কুন্তী,	
kachakachi,	কচাচাি,	কাছাকাছি,	
jaanachhe,	জানাচে,	জানাচ্ছে,	
pothnatok,	পঠননাতক,	পথনাটক,	
kathhmandu,	কঠ্টনডু,	কাঠমান্ডু,	
window,	উইন্ডো,	উইন্ডো,	
manab,	মানব,	মানব,	
dwipgulote,	দ্বিগগুলোতে,	দ্বীপগুলোতে,	
pharanyata,	ফরর্ন্ট,	ফরম্যাট,	
balabhadra,	বলভদদররা,	বলভদ্র,	
venice,	ভেনিস,	ভেনিস,	
alpoi,	আলপপই,	অল্পই,	
omanisha,	অমানিশ,	অমানিশা,	
orhan,	অর্হান,	ওরহান,	
rajnaiteek,	রাজনৈতিক,	রাজনৈতীক,	
taaims,	টাইমস,	টাইমস্,	
samanwitovabe,	সমান্তভাবতেবা,	সমন্বিতভাবে,	
laaishheshh,	লেইস,	লাইসেন্স,	
manonitader,	মনননিতাদের,	মনোনীতদের,	
rilayensa,	রিলেন্স,	রিলায়েন্স,	
shatokei,	শতকেই,	শতকেই,	
aarmstrong,	আর্সম্টার্ন,	আর্মস্ট্রং,	
bodhirota,	বোধিরতা,	বধিরতা,	
sutir,	সুটির,	সুতির,	
nochiketa,	নোচিকেতা,	নচিকেতা,	
aarik,	এরিক,	আরিক,	
plusey,	প্লাসে,	প্লাসে,	
juktorastrer,	যুক্তরাস্ট্রের,	যুক্তরাষ্ট্রের,	
mangoleek,	মঙ্গলিক,	মাঙ্গলিক,	
pretishta,	প্রেটিস্ট,	প্রতিষ্টা,	
ajuhat,	অজুহত,	অজুহাত,	
ghenshei,	ঘেনসেই,	ঘেঁষেই,	
goteehin,	গতিহীন,	গতিহীন,	
agamaner,	অগমনের,	আগমনের,	
wenice,	ইয়েনিস,	ভেনিস,	
tikta,	টিক্তা,	তিক্ত,	
seat,	সেট,	সিট,	
chaalke,	চালকে,	চালকে,	
grambasheeo,	গ্রামবাসীও,	গ্রামবাসীও,	
magical,	ম্যাজিক্যাল,	ম্যাজিকাল,	
ghumata,	ঘুমাটা,	ঘুমাতো,	
seqtara,	সেক্টার,	সেক্টর,	
debholopar,	ডেভলপার,	ডেভলপার,	
songostha,	সংস্থা,	সংস্থা,	
ustad,	উস্তাদ,	উস্তাদ,	
bonkey,	বোঁকে,	বনকে,	
abheedhaanik,	অভিধানিক,	অভিধানিক,	
jeteo,	জেটেও,	যেতেও,	
saptahokal,	সপ্তাহাহকাল,	সপ্তাহকাল,	
eshiyatiqa,	এসিয়েটিক,	এশিয়াটিক,	
venuser,	ভিনুসার,	ভেনাসের,	
potocheetro,	পোচাচিত্র,	পটচিত্র,	
nischitorupey,	নিশ্চিতর্পে,	নিশ্চিতরূপে,	
neurolojy,	নেউরোলজি,	নিউরোলজি,	
marier,	মেরির,	ম্যারির,	
bhange,	ভাঙে,	ভাঙ্গে,	
jokrit,	যকৃত,	যকৃৎ,	
inamil,	ইনামল,	এনামেল,	
roza,	রোজা,	রোযা,	
internship,	ইন্টার্নশীপ,	ইন্টার্নশিপ,	
roktokhoron,	রক্তফরণ,	রক্তক্ষরণের,	
elakatey,	এলাকাতে,	এলাকাতে,	
toler,	তলের,	তালের,	
talgachh,	তলগাছা,	তালগাছ,	
jokkho,	জক্ষ,	যক্ষ,	
osthisondhi,	অস্থিনস্ধি,	অস্থিসন্ধি,	
brooklyn,	ব্রুকলিন,	ব্রুকলিন,	
lagto,	লাগত,	লাগতো,	
karmapantha,	কর্মপন্থা,	কর্মপন্থা,	
maniktola,	মনিক্্টলা,	মানিকতলা,	
sumita,	সুমিতা,	সুমিতা,	
madhobikey,	মাধবীকে,	মাধবীকে,	
nitikatha,	নীতিকথা,	নীতিকথা,	
thyachar,	থ্যাচার,	থ্যাচার,	
pachhen,	পাছেন,	পাচ্ছেন,	
otitkaley,	অতীতকালে,	অতীতকালে,	
texaser,	টেক্সাসের,	টেক্সাসের,	
dwipke,	দ্বিপকে,	দ্বীপকে,	
kanai,	কানাই,	কানাই,	
dhoorer,	ধরের,	ধরের,	
ancholeo,	অঞ্চলেও,	অঞ্চলেও,	
lampot,	ল্যামপট,	লম্পট,	
konagoolo,	কোনগুলো,	কণাগুলো,	
jacq,	জ্যাক,	জ্যাক,	
tecno,	টেকনো,	টেকনো,	
sainyader,	সৈন্যদের,	সৈন্যদের,	
doorger,	দুর্গার,	দুর্গের,	
nagorikera,	নগরিকেরা,	নাগরিকেরা,	
epiela,	এপিল,	আইপিএল,	
bhugol,	ভুগল,	ভূগোল,	
chhotogolpe,	ছোটোগল্পে,	ছোটগল্পে,	
dhhaloor,	ঢালুর,	ঢালুর,	
jonoshomaj,	জনসমাজ,	জনসমাজ,	
hunayin,	হুনেইন,	হুনাইন,	
poddhotiteyi,	পদ্ধতিতেই,	পদ্ধতিতেই,	
proman,	প্রমান,	প্রমান,	
alpa,	আল্প,	অল্প,	
byapoktor,	ব্যাপক্তর,	ব্যাপকতর,	
sumeetrar,	সুমিত্রার,	সুমিত্রার,	
asovo,	অসভ,	অসভ্য,	
upcharzo,	উপচর্জ,	উপাচার্য,	
shithilota,	সিথীলতা,	শিথিলতা,	
nagarikata,	নগরিকতা,	নাগরিকতা,	
mitrata,	মিত্রতা,	মিত্রতা,	
jak,	যাক,	জাঁক,	
sunagarik,	সুনাগরিক,	সুনাগরিক,	
songasthati,	সংস্থাটি,	সংস্থাটি,	
gitikabita,	গীতিকাবিত,	গীতিকবিতা,	
mukhomaundoler,	মুখমান্ডলের,	মুখমণ্ডলের,	
chaka,	চাক,	চাকা,	
sift,	সিফ্ট,	শিফট,	
shikarder,	সিকার্ডের,	শিকারদের,	
progress,	প্রগ্রেস,	প্রগ্রেস,	
shringa,	শৃঙ্গ,	শৃঙ্গ,	
primoo,	প্রিমো,	প্রিমো,	
senabahineekey,	সেনাবাহিনীকে,	সেনাবাহিনীকে,	
tiner,	টিনের,	তিনের,	
monjiley,	মঞ্জিলে,	মঞ্জিলে,	
potocheetrer,	পোচাচিত্রের,	পটচিত্রের,	
biswash,	বিশ্বাস,	বিশ্বাস,	
probhura,	প্রভূরা,	প্রভুরা,	
khelaphatey,	খেলাফাতে,	খেলাফতে,	
dokaan,	ডোকান,	দোকান,	
meetropolitan,	মেট্রোপলিটান,	মেট্রোপলিটন,	
ganonatto,	গণনাত্য,	গণনাট্য,	
orghyo,	অর্ঘ,	অর্ঘ্য,	
tottorat,	তত্ত্বার,	তওরাত,	
manjushree,	মঞ্জুলে,	মঞ্জুশ্রী,	
gaj,	গজ,	গেজ,	
noiteek,	নৈতিক,	নৈতিক,	
sonaktokaraner,	সনাক্তকরণের,	সনাক্তকরণের,	
puroheetra,	পুরোহিতরা,	পুরোহিতরা,	
janate,	জানতে,	জানাতে,	
bii,	বি,	বি,	
ritesh,	রেটস,	রিতেশ,	
harbore,	হারবোর,	হারবারে,	
yuq,	ইউক,	ইয়াক,	
obosorer,	অবসরের,	অবসরের,	
gratha,	গ্রাথা,	গ্রোথ,	
siddhantogulo,	সিধ্ধান্তগুলো,	সিদ্ধান্তগুলো,	
muscut,	মাসকাট,	মাস্কাট,	
romantiq,	রোম্যান্টিক,	রোমান্টিক,	
shiqar,	শিকার,	শিকার,	
resort,	রেসর্ট,	রিসোর্ট,	
volt,	ভোল্ট,	ভল্ট,	
abheedhaaner,	অভিধানের,	অভিধানের,	
sangbadmadhyamgulote,	সংবাদমধুলতে,	সংবাদমাধ্যমগুলোতে,	
bolkarok,	বললাকরক,	বলকারক,	
eekbaler,	ইকবালের,	ইকবালের,	
chirkut,	চারিক,	চিরকুট,	
jacksoner,	যক্সনের,	জ্যাকসনের,	
cheerokoomari,	চিরুকামারি,	চিরকুমারী,	
osamorik,	ওসামরিক,	অসামরিক,	
jinsha,	জিনস,	জিন্স,	
laicenshe,	লাইন্সে,	লাইসেন্স,	
uzobekeestaan,	উজববকিস্তান,	উজবেকিস্তান,	
bhagerei,	ভাগেরেই,	ভাগেরই,	
saajano,	সাজানো,	সাজানো,	
shartho,	সার্থ,	স্বার্থ,	
matte,	মাটে,	ম্যাট,	
thatcher,	থাঁচের,	থ্যাচার,	
prokolpogulo,	প্রকো্গগুলো,	প্রকল্পগুলো,	
nirikhe,	নিরিখে,	নিরিখ,	
naobihar,	নৌবিহর,	নৌবিহার,	
nesons,	নেসনস,	নেশনস,	
karadonde,	কারাদন্ডে,	কারাদণ্ডে,	
neshanasa,	নেশাসা,	নেশনস,	
daktikite,	দাক্তিটিকে,	ডাকটিকিটে,	
zins,	জিন্স,	জিন্স,	
anchalsamuher,	অঞ্চলসমূহের,	অঞ্চলসমূহের,	
alexandarkey,	আলেক্সান্ডারকে,	আলেকজান্ডারকে,	
bardhitaanas,	বর্ধীনতাস,	বর্ধিতাংশ,	
sarder,	সর্দার,	সরদার,	
vaphara,	ভাফারা,	বাফার,	
sakaar,	সাকার,	সকার,	
rajashri,	রাজ্শ্রী,	রাজশ্রী,	
oshamorik,	ওসামরিক,	অসামরিক,	
ap,	এপ,	আপ,	
lishenshe,	লিসেন্সে,	লাইসেন্স,	
dipgulote,	দিপুলোতে,	দ্বীপগুলোতে,	
janmat,	জন্মাত,	জন্মাত,	
bagdadii,	বাজদাদী,	বাগদাদী,	
bagdady,	বাজদাদী,	বাগদাদী,	
ooipoka,	উপোকা,	উইপোকা,	
prokare,	প্রকারে,	প্রকারে,	
abdur,	আবদুর,	আবদুর,	
jamkalo,	জামকালো,	জমকালো,	
ghoomachhilo,	ঘুমছিল,	ঘুমাচ্ছিল,	
seater,	সীটের,	সিটের,	
sooya,	সোয়া,	সোয়া,	
laicense,	লাইন্স,	লাইসেন্স,	
juktorashtrosaha,	যুক্তরাস্থহ,	যুক্তরাষ্ট্রসহ,	
nariderke,	নারীদেরকে,	নারীদেরকে,	
vorkendra,	ওোরকেন্ড্র,	ভরকেন্দ্র,	
gandhio,	গান্ধিও,	গান্ধীও,	
gardena,	গার্ডেন,	গার্ডেন,	
boorana,	বোরান,	বোরন,	
samley,	সামলে,	সামলে,	
turishta,	তুরিষ্ট,	টুরিস্ট,	
chikitsar,	চিকিৎসার,	চিকিত্সার,	
categoryr,	ক্যাটেগরির,	ক্যাটাগরির,	
sikkhagata,	শিক্ষাগত,	শিক্ষাগত,	
jotinkey,	জ্যোতিনকে,	যতীনকে,	
ghatir,	ঘটির,	ঘাটির,	
duple,	ডাপ্ল,	ডুপ্লে,	
antarcticar,	অন্টার্টিক্যাক,	অ্যান্টার্কটিকার,	
parbottyo,	পার্বত্ব,	পার্বত্য,	
lobbytey,	লোব্যতে,	লবিতে,	
skirt,	স্কার্ট,	স্কার্ট,	
chondrima,	চন্দ্রিমা,	চন্দ্রিমা,	
sojja,	সজ্জা,	সজ্জা,	
patzat,	পাজাত,	পাটজাত,	
meterey,	মেতরে,	মিটারে,	
vabook,	ভাবুক,	ভাবুক,	
basturyi,	বস্তুরিই,	বস্তুরই,	
hobu,	হবু,	হবু,	
byaboharkarikey,	ব্যবহহারককারীকে,	ব্যবহারকারীকে,	
prosadhani,	প্রসাধানী,	প্রসাধনী,	
fridom,	ফ্রিডম,	ফ্রীডম,	
advanced,	অ্যাডভান্সেড,	অ্যাডভান্সড,	
rubol,	রুবল,	রুবল,	
dhanyi,	ধননি,	ধন্যি,	
ooeepokar,	উইপককার,	উইপোকার,	
obeekol,	অবিকোল,	অবিকল,	
taunashhipa,	টানুসপ,	টাউনশিপ,	
suhasini,	সুহাসিনী,	সুহাসিনী,	
mozdur,	মজদুর,	মজদুর,	
israeler,	ইসরাইলের,	ইসরাঈলের,	
marjito,	মর্জিত,	মার্জিত,	
jesa,	জেসা,	জেস,	
taioyana,	টাইওয়ান,	তাইওয়ান,	
songkolonti,	সংকললটি,	সংকলনটি,	
kyamone,	ক্যামোন,	কেমনে,	
jyakasana,	জ্যাকশন,	জ্যাকসন,	
parabortee,	পরবর্তী,	পরর্বতী,	
bhaabaaponno,	ভাপাপন্ন,	ভাবাপন্ন,	
spredashiita,	স্পের্শদিত,	স্প্রেডশীট,	
bosten,	বস্টেন,	বসতেন,	
sanaktokaran,	সনাক্তকরণ,	সনাক্তকরণ,	
bhittitei,	ভিত্তিতেই,	ভিত্তিতেই,	
