siitei,	সিতেই,	শীতেই,	
bhyatikaner,	ভ্যাটিকানের,	ভ্যাটিকানের,	
bitlaser,	বিটলাসের,	বিটলসের,	
capshule,	কাপশালে,	ক্যাপসুল,	
salchak,	সালচক,	সালচাক,	
disposes,	ডিস্পোসেস,	ডিসপোজেস,	
mosharroph,	মশাররো,	মশাররফ,	
ghomtaa,	ঘোমটা,	ঘোমটা,	
ahalyar,	আহল্যার,	অহল্যার,	
latsaheb,	লততাহেব,	লাটসাহেব,	
kheshar,	খেশার,	খেশার,	
shangkalonti,	সংকললন্তি,	সংকলনটি,	
mohit,	মোহিত,	মুহিত,	
polashir,	পলাশির,	পলাশীর,	
fishing,	ফিশিং,	ফিসিং,	
shrabostee,	শ্রাবস্তি,	শ্রাবস্তী,	
atmobonchito,	আত্মবঞ্চিত,	আত্মবঞ্চিত,	
gaj,	গ়্,	গেজ,	
seramiks,	সেরামিকস,	সিরামিকস,	
remacry,	রিম্যাক্রি,	রেমাক্রী,	
choddo,	চদ্দ,	চোদ্দো,	
deenes,	দাইনেস,	দীনেশ,	
swajan,	স্বজন,	স্বজন,	
emargency,	এমার্জেন্সি,	এমার্জেন্সি,	
saver,	সাভার,	সেভার,	
upobaasee,	উপবাসী,	উপবাসী,	
champa,	চম্পা,	চাঁপা,	
uqeliptas,	ইকুলিপ্টাস,	ইউক্যালিপ্টাস,	
maudelti,	মাউডেলটি,	মডেলটি,	
shuri,	সুরী,	সুরি,	
saraiki,	সরাইকি,	সরাইকি,	
saranor,	সারানোর,	সরানোর,	
lagto,	লাগতো,	লাগতো,	
tennys,	টেনিস,	টেনিস,	
dalnata,	দলনতা,	ডালনাটা,	
laiseensee,	লেইসিনি,	লাইসেন্স,	
sanstha,	সাস্থথ,	সংস্থা,	
machkabar,	মাচকাবার,	মাচকাবার,	
eporjonto,	এপরজন্ত,	এপর্যন্ত,	
farid,	ফরিদ,	ফরিদ,	
gotihin,	গতিহীন,	গতিহীন,	
lyaandeeng,	ল্যান্ডিং,	ল্যান্ডিং,	
madhnagar,	মদনগর,	মাধনগরের,	
kalenga,	কালেঙ্গা,	কালেঙ্গা,	
carlos,	কার্লোস,	কার্লোস,	
anchalo,	আঁচালো,	অঞ্চলও,	
deep,	দীপ,	দীপ,	
russad,	রুসাড,	রুশদ,	
awatar,	আওয়াতার,	অবতার,	
bhaisaho,	ভাইসাহ,	ভাইসহ,	
damakalkarmirao,	দমকলকর্মীরাও,	দমকলকর্মীরাও,	
sharif,	শরিফ,	শরিফ,	
boudhher,	বৌধ্রের,	বৌদ্ধের,	
nazad,	নাজাদ,	নাজাদ,	
saoum,	সুয়াম,	সাওম,	
grambaashi,	গ্রামবাশী,	গ্রামবাসী,	
biswashi,	বিশ্বাশী,	বিশ্বাসই,	
elakatikay,	এলাকাটিকা,	এলাকাটিকে,	
manjushri,	মঞ্জুশ্রী,	মঞ্জুশ্রী,	
ikbaaler,	ইকবালের,	ইকবালের,	
dayitta,	দায়িত্ব,	দায়িত্ব,	
licenshe,	লাইসেন্স,	লাইসেন্স,	
munim,	মুনিং,	মুনিম,	
porishongkhanbid,	পরিশংখ্যানবিদ,	পরিসংখ্যানবিদ,	
shikhra,	শিখরা,	শিখরা,	
conservetion,	কনজারভেশন,	কনসারভেশন,	
chokrantosoho,	চক্রান্তসহ,	চক্রান্তসহ,	
kanshat,	কানশাট,	কানসাট,	
mele,	মেলে,	মাইল,	
jeshh,	জেশ,	জেস,	
shatoke,	শতককে,	শতকে,	
dhos,	ধস,	ধস,	
pratisthanikvabe,	প্রতিস্থানিকভাবে,	প্রাতিষ্ঠানিকভাবে,	
boikalyo,	বৈকাল্য,	বৈকল্য,	
aashtikotaa,	আষ্টিকতা,	আস্তিকতা,	
bonobhumi,	বনভূমি,	বনভূমি,	
rojapalaner,	রোজাপালানের,	রোজাপালনের,	
rakkhanvag,	রক্ষণভাগ,	রক্ষণভাগ,	
manushsoho,	মানুষসহ,	মানুষসহ,	
brekthrough,	ব্রেক্তরুগ,	ব্রেকথ্রু,	
dovaar,	দোভার,	ডোভার,	
chakurijibirao,	চাকুরেজিবিরাও,	চাকুরীজীবীরাও,	
iraner,	ইরানের,	ইরানের,	
neemitte,	নীমিত্তে,	নিমিত্তে,	
sahajlabhbhotar,	সহজলভ্বতার,	সহজলভ্যতার,	
chetanagato,	চেতনাগত,	চেতনাগত,	
bayii,	বায়ি,	বাঈ,	
uparzoner,	উপার্যজের,	উপার্জনের,	
panda,	পান্ডা,	পান্ডে,	
sambatsarkal,	সম্বতসরকাল,	সম্বৎসরকাল,	
suchonakal,	সূচনাকাল,	সূচনাকাল,	
akkhunno,	অক্ষুণ্ন,	অক্ষুণ্ণ,	
eevil,	এইভিল,	ইভিল,	
farhetin,	ফারহেতিন,	ফারহেতিন,	
bachai,	বাচাই,	বাছাই,	
dip,	ডিপ,	দীপ,	
quary,	কোয়ারি,	কোয়েরি,	
korle,	করলে,	করলে,	
nabyata,	নব্যতা,	নাব্যতা,	
bedanta,	বেদান্ত,	বেদান্ত,	
pisach,	পিসাচ,	পিশাচ,	
paikgachha,	পাইকগাছা,	পাইকগাছা,	
elakaasoho,	এলাকাসহ,	এলাকাসহ,	
ispredsheet,	ইস্প্রেডহিট,	স্প্রেডশীট,	
joumana,	জওমানা,	জুমানা,	
sakshatkarer,	সাক্ষতকারের,	সাক্ষাৎকারের,	
janar,	জানার,	জানার,	
dubureer,	ডুবুরির,	ডুবুরির,	
rilayensa,	রিলয়েনস,	রিলায়েন্স,	
bolbo,	বলবো,	বলবো,	
gandagol,	গণ্ডাগোল,	গন্ডগোল,	
rushod,	রুশোদ,	রুশদ,	
hood,	হোড,	হুড,	
muchi,	মুচি,	মুচি,	
bachhaikrito,	বছাশিরত,	বাছাইকৃত,	
forex,	ফোরেক্স,	ফরেক্স,	
sangsakti,	সংসক্তি,	সংসক্তি,	
lesense,	লেসেন্সে,	লাইসেন্স,	
godamjato,	গদাম্মতত,	গুদামজাত,	
fiksing,	ফিক্সিং,	ফিক্সিং,	
gananatyo,	গণনাত্য,	গণনাট্য,	
shulfate,	শুলফাতে,	সালফেট,	
qonfliqt,	কনফ্লিক্ট,	কনফ্লিক্ট,	
daakten,	দাকতেন,	ডাকতেন,	
jontropatigulite,	যন্ত্রপাতিগুলিতে,	যন্ত্রপাতিগুলিতে,	
arthanitike,	অর্থনীতিকে,	অর্থনীতিকে,	
pack,	পেক্স,	প্ল্যাক,	
rakkhanbhag,	রক্ষণভং,	রক্ষণভাগ,	
bishnoo,	বিষ্ণ,	বিষ্ণু,	
iuro,	ইউরো,	ইউরো,	
pyaleshtainer,	প্লালেশটেনের,	প্যালেস্টাইনের,	
khelaphate,	খেলাফাতে,	খেলাফতে,	
bisheshyo,	বিশেষ্য,	বিশেষ্য,	
kayed,	কায়েদ,	কায়েদ,	
loombinee,	লূম্বিনি,	লুম্বিনী,	
protul,	প্রতুল,	প্রতুল,	
phareeksa,	ফারককসা,	ফরেক্স,	
shikkharthirao,	শিক্ষার্থীরাও,	শিক্ষার্থীরাও,	
dushtogone,	দুষ্টগণে,	দুষ্টগণে,	
anchalsaho,	অঞ্চলসহ,	অঞ্চলসহ,	
bishhnu,	বিষ্ণু,	বিষ্ণু,	
khalid,	খালিদ,	খালিদ,	
jumlalancer,	জুমলালান্সের,	জুমলাল্যান্সার,	
protiakromonei,	প্রতিয়ামরণেই,	প্রতিআক্রমণেই,	
dormetori,	ডর্মেটরি,	ডরমিটরি,	
sahocorje,	সহহকর্যে,	সাহচর্যে,	
sadbi,	সাদবি,	সাধ্বী,	
protishtan,	প্রতিষ্টান,	প্রতিষ্টান,	
yuro,	য়ারও,	ইউরো,	
mawdeel,	মাইদিল,	মডেল,	
seconder,	সেকন্ডের,	সেকেন্ডের,	
kutubuddinke,	কুটুবুদ্দিনকে,	কুতুবুদ্দিনকে,	
porobortii,	পরবর্তী,	পরর্বতী,	
monjurul,	মঞ্জুরুল,	মনজুরুল,	
bbiswash,	বিব্ষিশ্বাশ,	বিশ্বাস,	
maner,	মনের,	মানে,	
yuroo,	যুরু,	ইউরো,	
gudamjat,	গুদমাজত,	গুদামজাত,	
chhon,	ছনন,	ছোঁ,	
mekong,	মেকং,	মেকং,	
breakthrough,	ব্র্কারগু,	ব্রেকথ্রু,	
sanghitar,	সংহীতার,	সংহিতার,	
jeelyaand,	জিল্যান্ড,	জিল্যান্ড,	
maley,	ম্যালি,	মালে,	
mirina,	মিরিনা,	মিরিনা,	
emerjency,	এমারজেন্সি,	এমার্জেন্সি,	
johny,	জযহনি,	জনি,	
capsule,	ক্যাপসুলে,	ক্যাপ্সুল,	
neck,	নেক,	নেক,	
grambaseer,	গ্রামবাসীর,	গ্রামবাসীর,	
sqolastiq,	স্কোলাস্তিক,	স্কলাস্টিক,	
nek,	নেক,	নেক,	
ganjana,	গঞ্জনা,	গঞ্জনা,	
bijepi,	বিজেপি,	বিজেপি,	
aprasangikbhabei,	অপ্রসংসিধভাবেই,	অপ্রাসঙ্গিকভাবেই,	
scholarship,	স্কলারশিপ,	স্কলারশিপ,	
swairacharibirodhi,	স্বৈরাচরিবিরোধী,	স্বৈরাচারীবিরোধী,	
dara,	দারা,	দারা,	
bollov,	বল্লভ,	বল্লভ,	
mugdal,	মুগদাল,	মুগডাল,	
probeshan,	প্রবেশন,	প্রবেশন,	
mononiitoder,	মনোনীতদের,	মনোনীতদের,	
sharoker,	শররকের,	স্মারকের,	
heepatitis,	হেপোটিটিস,	হেপাটাইটিস,	
edipass,	এডিপাস,	ইডিপাস,	
basaalt,	বাসাল্ল,	ব্যাসল্ট,	
swatantrata,	স্বাতন্ত্র্যটা,	স্বতন্ত্রতা,	
indrani,	ইন্দ্রাণী,	ইন্দ্রাণী,	
byaboharkarie,	ব্যবহারকারী,	ব্যবহারকারীই,	
suraropito,	সুরারোপিত,	সুরারোপিত,	
khudhartara,	ক্ষুধারটারা,	ক্ষুধার্তরা,	
bagdad,	বাগদাদ,	বাগদাদে,	
digreeke,	দিগ্রিকে,	ডিগ্রিকে,	
korley,	করলে,	করলে,	
purohitder,	পুরোহিতদের,	পুরোহিতদের,	
ghotol,	ঘটল,	ঘটল,	
notey,	নতে,	নোটে,	
dibi,	দিবি,	দিবি,	
prijon,	প্রিজন,	প্রিজন,	
mmadhuri,	মোমাধুরি,	মাধুরী,	
jhalkanite,	ঝাকালিতে,	ঝলকানীতে,	
nirabota,	নিরাবতা,	নিরবতা,	
ghoshanapatratio,	ঘোষণাপত্রটিও,	ঘোষণাপত্রটিও,	
zibonnogor,	জীবন্যগর,	জীবননগর,	
mugdha,	মুগ্ধ,	মুগ্ধ,	
souripurang,	সৌরিপুরং,	সৌরিপুরং,	
marpit,	মারপিট,	মারপিট,	
shasankarta,	শাসনকর্তা,	শাসনকর্তা,	
manjushree,	মঞ্জুর্ী,	মঞ্জুশ্রী,	
parking,	পারকিং,	পার্কিং,	
ghuznavi,	ঘুজনাভি,	গজনভি,	
byabaharkarike,	ব্যবহারকারীকে,	ব্যবহারকারীকে,	
ministara,	মিনিস্টারা,	মিনিস্টার,	
turkamena,	তুর্কমেন,	তুর্কমেন,	
chandrimaa,	চন্দ্রিমা,	চন্দ্রিমা,	
pleeta,	প্লিটা,	প্লেট,	
seqtara,	সেকতারা,	সেক্টর,	
dheke,	ধেকে,	ঢেকে,	
bopoon,	বপন,	বপন,	
kuldip,	কুলদিপ,	কুলদীপ,	
lokhindorer,	লোখিন্দরের,	লখিন্দরের,	
tanshree,	তন্শ্রী,	তানশ্রী,	
fansi,	ফানসি,	ফাঁসী,	
mosjidsoho,	মসজিদসহ,	মসজিদসহ,	
liseensee,	লিসেনি,	লাইসেন্স,	
madeling,	মাযাডেলিং,	মডেলিং,	
shommoteer,	সম্মতির,	সম্মতির,	
qaferderkey,	কাফেরদেরকে,	কাফেরদেরকে,	
venuser,	ভেনুসের,	ভেনাসের,	
umedpoor,	উমেদপুর,	উমেদপুর,	
bonsho,	বনশ,	বংশ,	
cinematographar,	সিনেমাটোগ্রফর,	সিনেমাটোগ্রাফার,	
deool,	দেওউল,	দেউল,	
naazee,	নাজ,	নাত্সি,	
nirgamon,	নির্গামন,	নির্গমন,	
bike,	বিকে,	বাইক,	
parq,	পার্ক,	পার্ক,	
lakkhero,	লাক্ষেরও,	লক্ষেরও,	
doobate,	দোবতে,	ডুবাতে,	
tahalo,	তাহালো,	তাহলো,	
nakkal,	নকককল,	নক্কল,	
halding,	হ্যাডলিং,	হোল্ডিং,	
inafarameshana,	ইনাফরামেশন,	ইনফরমেশন,	
bokul,	বকুল,	বকুল,	
dinara,	দিনারা,	ডিনার,	
graambasheeo,	গ্রামবিশেও,	গ্রামবাসীও,	
gejeted,	জেজেট,	গেজেটেড,	
naubom,	নাবম,	নবম,	
shchalastik,	স্কলাস্তিক,	স্কলাস্টিক,	
shektor,	শেক্তর,	সেক্টর,	
durgotsab,	দুর্গোৎসব,	দুর্গোৎসব,	
byaboharkari,	ব্যবহারকারী,	ব্যবহারকারী,	
install,	ইনস্টাল,	ইন্সটল,	
guzober,	গুজবের,	গুজবের,	
nirobota,	নিরবতা,	নিরবতা,	
dera,	ধীরা,	ডেরা,	
nabatarange,	নবতরঙ্গে,	নবতরঙ্গে,	
swarther,	স্বার্থের,	স্বার্থের,	
deelibhara,	দীলিভারা,	ডেলিভার,	
fising,	ফিসিং,	ফিসিং,	
khappar,	খপ্পর,	খপ্পর,	
poribahokotto,	পরিবাহকত্ব,	পরিবাহকত্ব,	
kompeeto,	কম্পিত,	কম্পিত,	
noitikota,	নৈতিকতা,	নৈতিকতা,	
durarohini,	দুরারাহিনী,	দুরারোহিণী,	
wodka,	ওয়োদকা,	ভদকা,	
bhogni,	ভগ্নী,	ভগ্নী,	
vaabnake,	ভাবনাকে,	ভাবনাকে,	
phiksim,	ফিক্সিম,	ফিক্সিং,	
nischitvabe,	নিশ্চিতভাবে,	নিশ্চিতভাবে,	
krisenta,	কৃষিস্টা,	ক্রিসেন্ট,	
nobotomo,	নবতম,	নবতম,	
mukhomandoler,	মুখমন্ডলের,	মুখমণ্ডলের,	
akkaas,	আক্কাস,	আককাস,	
canservatian,	ক্যান্সারিভেন,	কনসারভেশন,	
bhittitei,	ভিত্তিতেই,	ভিত্তিতেই,	
prajanankal,	প্রজননংকাল,	প্রজননকাল,	
vogiroth,	ভোগীরথ,	ভগীরথ,	
qulim,	কুলিম,	কুলিং,	
ganosochetonota,	গণসচেতনাটা,	গণসচেতনতা,	
mahafezkhanar,	মহাফেজখানার,	মহাফেজখানার,	
gitikobita,	গীতিকবিতা,	গীতিকবিতা,	
itostatah,	ইতস্তাথা,	ইতস্ততঃ,	
jatotaa,	জাতোতা,	যতোটা,	
vault,	ভাল্ট,	ভল্ট,	
sangitanusthane,	সঙ্গীতানুষ্ঠানে,	সঙ্গীতানুষ্ঠানে,	
byabaharkariderke,	ব্যবহারকারীদেরকে,	ব্যবহারকারীদেরকে,	
sheetke,	শীতকে,	শীতকে,	
ancholsomuho,	অঞ্চসমূলহ,	অঞ্চলসমূহ,	
institutione,	ইনস্টিটিউশন,	ইনস্টিটিউশনে,	
neermol,	নির্মল,	নির্মল,	
taigara,	টাইগর,	টাইগার,	
dighol,	দিঘল,	দীঘল,	
ghumachchila,	ঘুমাচ্ছিল,	ঘুমাচ্ছিল,	
deeares,	ডিয়ারস,	ডিআরএস,	
senabahinikey,	সেনাবাহিনীকে,	সেনাবাহিনীকে,	
enjineers,	এনজিনিজারস,	ইঞ্জিনিয়ার্স,	
kusumeshu,	কুসুমেষু,	কুসুমেষু,	
amudey,	আমুদে,	আমুদে,	
totokhon,	ততোখন,	ততক্ষন,	
nariderke,	নারীদেরকে,	নারিদেরকে,	
palbongsher,	পালবংশের,	পালবংশের,	
nothivukta,	নথিভুক্ত,	নথিভুক্ত,	
stona,	স্তনা,	স্টোন,	
crucer,	ক্রুচার,	ক্রুশের,	
uindos,	উইন্ডস,	উইন্ডোস,	
cholchhee,	চলছে,	চলছে,	
azaan,	আজান,	আজান,	
bajhyo,	বাঝ্য,	বাহ্য,	
ekok,	একক,	একক,	
basermick,	বাসেরমিক,	বেসারমিক,	
shtonehenge,	স্টোহেন্জে,	স্টোনহেঞ্জ,	
sorsa,	সোরসা,	সোর্স,	
shroddhabihin,	শ্রদ্ধাবিহীন,	শ্রদ্ধাবিহীন,	
asif,	আসিফ,	আসিফ,	
songasthaner,	সংস্থানের,	সংস্থানের,	
hondooras,	হন্ডুরাস,	হন্ডুরাস,	
bosontoke,	বসন্তকে,	বসন্তকে,	
fostar,	ফস্তার,	ফস্টার,	
porjotoker,	পর্যটকের,	পর্যটকের,	
soomitrar,	সুমিত্রার,	সুমিত্রার,	
edmiral,	এডমিরাল,	এডমিরাল,	
madraser,	মাদ্রাসের,	মাদ্রাজের,	
mukhoshdharir,	মুখোষধারীর,	মুখোশধারীর,	
barrageke,	বারোগেজকে,	ব্যারেজকে,	
armshtrong,	আর্মস্ট্রং,	আর্মস্ট্রং,	
antarctica,	অ্যান্ট্রাকটিকা,	অ্যান্টার্কটিকার,	
wagadada,	ওয়াগাডা,	বাগদাদ,	
nothivuktir,	নথিভুক্তির,	নথিভুক্তির,	
alraji,	আলরাজি,	আলরাজী,	
cholochchitraeeo,	চলচ্চিত্রী,	চলচ্চিত্রেও,	
nirgoon,	নির্গুণ,	নির্গুণ,	
bouddher,	বৌদ্ধের,	বৌদ্ধের,	
panchashjan,	পঞ্চশ্জন,	পঞ্চাশজন,	
dala,	দালা,	দলা,	
minister,	মিনিস্টার,	মিনিস্টার,	
helloin,	হেলোন,	হ্যালোইন,	
abheedhaaneek,	অভিধানিক,	অভিধানিক,	
bandi,	বাঁদি,	বন্দী,	
temanti,	তেমানটি,	তেমনটি,	
saarbhaarti,	সার্ভর্তী,	সার্ভারটি,	
cholchhe,	চলছে,	চলছে,	
noteti,	নোটেটি,	নোটটি,	
domonmulok,	ডমনমূলক,	দমনমূলক,	
antarctika,	অন্টার্টটিকা,	অ্যান্টার্কটিকা,	
hupile,	হুপিলে,	হুপিলে,	
gorjon,	গর্জন,	গর্জন,	
bhimsen,	ভীমসেন,	ভীমসেন,	
qyapasula,	ক্যাপাসুলা,	ক্যাপসুল,	
boshoborty,	বশবর্তী,	বশবর্তী,	
schilling,	স্কিলিং,	শিলিং,	
aamontrito,	আমন্ত্রিত,	আমন্ত্রিত,	
turkii,	তুরকি,	তুর্কি,	
uponeesoder,	উপনিসদের,	উপনিষদের,	
mesenjarer,	মেসেনজারের,	মেসেঞ্জারের,	
nisshongotake,	নিঃশংগতকাকে,	নিঃসঙ্গতাকে,	
nogore,	নগরে,	নগরে,	
pleta,	প্লেট,	প্লেটো,	
poripake,	পরিপাকে,	পরিপাকে,	
nosihote,	নসিহতে,	নসিহতে,	
creshcent,	ক্রেশসেন্ট,	ক্রিসেন্ট,	
mulbhitti,	মূলভিত্তি,	মূলভিত্তি,	
noiteek,	নৈতিক,	নৈতিক,	
phising,	ফিসিং,	ফিসিং,	
shukrabab,	শুক্রবাব,	শুক্রবাব,	
hozot,	হোজত,	হজত,	
ajuhath,	অজুহাত,	অজুহাত,	
grambaaseeder,	গ্রামবাসীদের,	গ্রামবাসীদের,	
argho,	আরঘঘ,	অর্ঘ্য,	
poste,	পোস্টে,	পোস্টে,	
masjidtir,	মসজিদটির,	মসজিদটির,	
rajtontro,	রাজতন্ত্র,	রাজতন্ত্র,	
ekatitto,	একাতিত্ব,	একাতিত্ব,	
qarpeta,	কারপেটা,	কার্পেট,	
sithilotar,	সিথিলতার,	শিথিলতার,	
logic,	লুজিক,	লজিক,	
ghamtaa,	ঘামটা,	ঘোমটা,	
freekeh,	ফ্রিকেহ,	ফ্রিকেহ,	
dhangsachchi,	ধ্বংসাচ্ছি,	ধ্বংসাচ্ছি,	
juktarashtrasaha,	যুক্তারশ্ট্রসহ,	যুক্তরাষ্ট্রসহ,	
badaghat,	বাদাঘাট,	বাদাঘাট,	
steen,	স্টিন,	স্টেন,	
philipiner,	ফিলিপিনের,	ফিলিপাইনের,	
chalchhe,	চাছছে,	চলছে,	
sharansthal,	সারন্থল,	শরণস্থল,	
injiniyarim,	ইঞ্জিনিয়ারীং,	ইঞ্জিনিয়ারিং,	
chhayi,	ছায়ি,	ছাই,	
cheenja,	চীনজা,	চেঞ্জ,	
postac,	পোস্টাক,	পোস্টকে,	
deaubande,	ডিউব্যান্ডে,	দেওবন্দে,	
udbodhani,	উদ্বোধানি,	উদ্বোধনী,	
tiunara,	তিউনারা,	টিউনার,	
samoshtigato,	সামস্তিগত,	সমষ্টিগত,	
matrirup,	মাতৃরূপ,	মাতৃরূপ,	
granthatyke,	গ্রান্থথাকে,	গ্রন্থটিকে,	
kanader,	কানাদের,	কণাদের,	
koordira,	কূর্ডিরা,	কুর্দিরা,	
lettar,	লেট্টার,	লেটার,	
gagee,	গেই,	গেজ,	
bhumija,	ভূমিজা,	ভূমিজ,	
khalidke,	খালিদকে,	খালিদকে,	
rubidium,	রুবিডিয়াম,	রুবিডিয়াম,	
khoka,	খোকা,	খোকা,	
conflict,	কনফ্লিক্ট,	কনফ্লিক্ট,	
salphat,	সালফাত,	সালফেট,	
pachchi,	পাচ্ছি,	পাচ্ছি,	
gobeshana,	গবেষণা,	গবেষনা,	
shoreefpur,	শরীফপুর,	শরিফপুর,	
jyaqasana,	জ্যাকসন,	জ্যাকসন,	
recondishon,	রেকোন্ডিশন,	রিকন্ডিশন,	
lidars,	লিডার্স,	লিডার্স,	
roopdan,	রূপদান,	রুপদান,	
hoteltite,	হোটেলটাইট,	হোটেলটিতে,	
faskari,	ফাসকারি,	ফাঁসকারী,	
bhotomulyoke,	ভোটমূল্যকে,	ভোটমূল্যকে,	
vaphara,	ভাপোরা,	বাফার,	
marketin,	মার্কেটিন,	মার্কেটিং,	
niutrino,	নিউট্রিনো,	নিউট্রিনো,	
motke,	মোটকে,	মতকে,	
kantajir,	কান্তাজির,	কান্তজির,	
collaborators,	কলাবরেটরস,	কলাবরেটরস,	
otyacharer,	অত্যাচারের,	অত্যাচারের,	
qarlosa,	কারলোসা,	কার্লোস,	
minishtarer,	মিনিশ্টারের,	মিনিস্টারের,	
baharamporer,	বাহারামপুরের,	বহরমপুরের,	
sofie,	সোফি,	সোফি,	
danakana,	দানাকানা,	ডানকান,	
asaktibandhan,	অসক্তিবন্ধন,	আসক্তিবন্ধন,	
marmaraa,	মারমারা,	মারমারা,	
uthe,	উঠে,	উঠে,	
jacksoner,	জ্যাকসনের,	জ্যাকসনের,	
ghurechen,	ঘুরেছেন,	ঘুরেছেন,	
procharona,	প্রচারণা,	প্রচারণা,	
myathiou,	ম্যাথওউ,	ম্যাথিউ,	
ved,	ভেদ,	বেদ,	
miraqela,	মিরাকেলা,	মিরাকেল,	
dinar,	দিনার,	ডিনার,	
ganokantha,	গণকন্ঠ,	গণকণ্ঠ,	
jwar,	জ্বার,	জ্বর,	
khalidkay,	খািিদকল,	খালিদকে,	
elakatike,	এলাকাটিকে,	এলাকাটিকে,	
dabliudabliui,	ডাব্লিউডুবিউলি,	ডাব্লিউডাব্লিউই,	
attorkite,	অ্যাটর্কিতে,	অতর্কিতে,	
phiqsa,	ফিক্সা,	ফিক্স,	
gara,	গারা,	গোর,	
mochlekha,	মোচলেখা,	মোছলেখা,	
foks,	ফক্স,	ফক্স,	
direectoratee,	দিরিক্তারতি,	ডিরেক্টরেট,	
plusey,	প্লুসে,	প্লাসে,	
seoul,	সেওল,	সোল,	
purbanchaler,	পূর্বঞ্চলের,	পূর্বাঞ্চলের,	
carlo,	কারলো,	কার্লো,	
raiialati,	রাইয়াইলাটি,	রয়্যালটি,	
nirmolota,	নির্মলতা,	নির্মলতা,	
ghoshito,	ঘোষিত,	ঘোষিত,	
tikto,	তিক্ত,	তিক্ত,	
palashir,	পলাশির,	পলাশীর,	
manobikotao,	মানবিকতাও,	মানবিকতাও,	
dankaan,	ডানকান,	ডানকান,	
asantosh,	আসন্তোষ,	অসন্তোষ,	
chalochchitraeeo,	চলচচ্ত্রীয়,	চলচ্চিত্রেও,	
modelkey,	মোডেলকে,	মডেলকে,	
kajangale,	কজজঙ্গলে,	কজঙ্গলে,	
thare,	থারে,	থরে,	
lagchhe,	লাগছে,	লাগছে,	
prosadhani,	প্রসাধানী,	প্রসাধনী,	
hastamathun,	হস্তমাথুন,	হস্তমথুন,	
phiksa,	ফিক্সা,	ফিক্স,	
gandhiir,	গান্ধির,	গান্ধীর,	
chilahaati,	চিলাহাটি,	চিলাহাটি,	
choritrotakeo,	চরিত্রতাকেও,	চরিত্রটাকেও,	
bhabotarini,	ভাবতারিনী,	ভবতারিণী,	
obosore,	অবসরে,	অবসরে,	
elgoridom,	এলজোরিডম,	এলগরিদম,	
cheekitsar,	চিকিৎসার,	চিকিত্সার,	
erajyobasi,	এরাজ্যবাসী,	এরাজ্যবাসী,	
tiuning,	তিউনিং,	টিউনিং,	
bisshaskey,	বিশ্ষাসকে,	বিশ্বাসকে,	
paroner,	পারণের,	পারণের,	
niphelheim,	নিফেলহাইম,	নিফেলহেইম,	
syfy,	সিএফইই,	সাইফাই,	
onupater,	অনুপাতের,	অনুপাতের,	
jommu,	জম্মু,	জম্মু,	
barack,	বারাক,	বারাক,	
chasee,	চাসী,	চেস,	
dienes,	ডায়েনস,	ডিএনএস,	
protijogii,	প্রতিযোগী,	প্রতিযোগী,	
bohudeen,	বহুদীন,	বহুদিন,	
kottar,	কতটার,	কট্টর,	
semai,	সেমাই,	সেমাই,	
jolrang,	জলরাং,	জলরঙ,	
samashtike,	সমাস্টিকে,	সমষ্টিকে,	
dormitory,	ডর্মিটরি,	ডরমিটরি,	
mexicoteo,	মেক্সিকোটেও,	মেক্সিকোতেও,	
shipley,	শিপলে,	শিপলে,	
nirmankarmisaha,	নির্মণ্করীমসহ,	নির্মাণকর্মীসহ,	
ispreedshiit,	ইসপ্রিডশিনিৎ,	স্প্রেডশীট,	
lirikti,	লিরিকটি,	লিরিকটি,	
cholochchitratike,	চলচ্চিত্রাটিকে,	চলচ্চিত্রটিকে,	
byepass,	ব্যাপেস,	বাইপাস,	
boshoborti,	বশবর্তী,	বশবর্তী,	
munshiji,	মুন্শিজি,	মুনশীজি,	
kheylechen,	খেয়েছেন,	খেলেছেন,	
toufiq,	তৌফিক,	তৌফিক,	
brindabane,	বৃন্দাবানে,	বৃন্দাবনে,	
mandape,	মান্ডাপে,	মন্ডপে,	
ghumachche,	ঘুমাচ্ছে,	ঘুমাচ্ছে,	
gobeshokgon,	গবেষকগণ,	গবেষকগণ,	
pachattar,	পাচতত্তর,	পাচাত্তার,	
mail,	মাইল,	মাইল,	
mangoleek,	মঙ্গলিক,	মাঙ্গলিক,	
ghatleo,	ঘাটলেও,	ঘটলেও,	
kingsh,	কিংশ,	কিংস,	
camerapersoner,	ক্যামেরাপারসনের,	ক্যামেরাপার্সনের,	
duryogamoyee,	দুর্যগোময়ী,	দুর্যোগময়ী,	
aakabar,	আকাবার,	আকাবার,	
sthapanatir,	স্থাপনাটির,	স্থাপনাটির,	
simons,	সিমন্স,	সিমন্স,	
jaunotar,	যৌনতার,	যৌনতার,	
monur,	মনুর,	মনুর,	
america,	আমেরিকা,	আমেরিকা,	
bojhao,	বোঝাও,	বোঝাও,	
timoothi,	তিমুথি,	টিমোথি,	
degreeo,	দেগ্রীও,	ডিগ্রিও,	
ajibon,	আজিবন,	আজীবন,	
nagorikderkey,	নাগরিকদেরকে,	নাগরিকদেরকে,	
brojomohun,	ব্রযোহমীন,	ব্রোজোমোহন,	
jatinke,	জাতিনকে,	যতীনকে,	
khelechen,	খেলেছেন,	খেলেছেন,	
residensa,	রেসিডেন্স,	রেসিডেন্স,	
