narsaari,	নরসারী,	নার্সারি,	
habathu,	হাবাথু,	হাবাথু,	
sucre,	সাকরে,	সাকার,	
asabhya,	অশাভ্য,	অসভ্য,	
shrabosty,	শ্রাবস্টি,	শ্রাবস্তী,	
eduardo,	এদুরুর্ডো,	এডুয়ার্দো,	
reshmirekha,	রেশখেরাখা,	রেশমীরেখা,	
agomone,	আগমনে,	আগমনে,	
antorvukta,	অন্তরভুক্ত,	অন্তর্ভুক্ত,	
ekla,	একলা,	একলা,	
confliqt,	কনফিল্টিক,	কনফ্লিক্ট,	
sector,	সেক্টর,	সেক্টর,	
karmokarke,	কার্মোরকে,	কর্মকারকে,	
hock,	হক্,	হুক,	
zubokder,	যুবকদের,	যুবকদের,	
gandhiio,	গানধিও,	গান্ধীও,	
dai,	২ইএ,	দিই,	
farid,	ফারিদ,	ফরিদ,	
gingbhalobasen,	গিংভলভাবেশেন,	গিংভালোবাসেন,	
farna,	ফার্না,	ফার্ন,	
shapad,	শাপাদ,	শ্বাপদ,	
chhootochhuti,	ছৌথোটি,	ছুটোছুটি,	
hajeerhatt,	হাজিরহাট,	হাজিরহাট,	
ongkush,	অংকুশ,	অংকুশ,	
jhumjhumita,	ঝুমঝুমিতা,	ঝুমঝুমিটা,	
larson,	লারসন,	লারসন,	
reejideencee,	রিজিডেন্স,	রেসিডেন্স,	
michhilti,	মিছিলটি,	মিছিলটি,	
siddhanto,	সিদ্ধান্ত,	সিদ্ধান্তও,	
aniyantrita,	অনিয়ত্রতন,	অনিয়ন্ত্রিত,	
niharkantibabu,	নিহর্কানবিতাবাবু,	নিহারকান্তিবাবু,	
abarte,	আবররেতে,	আবর্তে,	
peshto,	পেষ্ট,	পেষ্ট,	
conflict,	কনফল্লিক্ট,	কনফ্লিক্ট,	
sumi,	সুমি,	সুমি,	
chalochchitrogulor,	চালচ্ছগ্রুতুলোর,	চলচ্চিত্রগুলোর,	
sarbhaarti,	সর্ভর্তি,	সার্ভারটি,	
uporitale,	উপরিতলে,	উপরিতলে,	
dhanak,	ধানাক,	ধানক,	
kathla,	কাথলা,	কাঠলা,	
ekghore,	একঘরে,	একঘরে,	
basab,	বাসাব,	বাসাব,	
devolapar,	দেবোলার,	ডেভলপার,	
baarbadoj,	বারবাদোজ,	বার্বাডোজ,	
utsahi,	উৎসাহী,	উৎসাহী,	
elakatay,	এলাকাটাই,	এলাকাতে,	
elakatite,	এলাকাতিতে,	এলাকাটিকে,	
aqram,	আক্রাম,	আকরাম,	
madraser,	ম্যার্াসের,	মাদ্রাজের,	
uponeesoder,	উপনিসদের,	উপনিষদের,	
teestar,	তেস্তার,	তিস্তার,	
zerusaleme,	জেরুসালেমে,	জেরুসালেমে,	
qraima,	ক্রাইমা,	ক্রাইম,	
khiladirao,	খিলাদিরাও,	খিলাড়িরাও,	
tukroti,	তুকরোটি,	টুকরোটি,	
choudry,	চৌড্রি,	চৌধুরী,	
semai,	সেমাই,	সেমাই,	
kathmandu,	কাঠমুন্দু,	কাঠমান্ডু,	
simaa,	সিমা,	সীমা,	
bunot,	বুনোত,	বুনট,	
daqop,	ডাকোপ,	দাকোপ,	
shiqara,	শিকারা,	শিকার,	
parqa,	পারকা,	পার্ক,	
eoki,	এইকি,	এওকি,	
shakankti,	শাকান্তি,	শকাঙ্কটি,	
bhabarlaler,	ভাবলরলের,	ভবরলালের,	
kaatbey,	কাতবে,	কাটবে,	
alumni,	আলুমনি,	অ্যালমনি,	
gaddaphii,	গদ্ফাফি,	গাদ্দাফী,	
ganoporibahoner,	গণপরহবাহীণের,	গণপরিবহনের,	
ghoomachhilo,	ঘুমাছিল,	ঘুমাচ্ছিল,	
chandrimaa,	চন্দ্রমিয়া,	চন্দ্রিমা,	
jonosomaj,	জনসোজাম,	জনসমাজ,	
huk,	হুক,	হুক,	
artilary,	আর্টিলারি,	আর্টিলারি,	
atwabishvashi,	আত্যাবিবাশী,	আত্মবিশ্বাসী,	
rajnaiteek,	রাজনাইতিক,	রাজনৈতীক,	
sthapanar,	স্থাপানার,	স্থাপনার,	
patrol,	পাত্রল,	পেট্রোল,	
deejeejer,	জিজেজের,	ডিজিজের,	
bufer,	বুফের,	বাফার,	
ingrejra,	ইঙ্গ্রেরা,	ইংরেজরা,	
prothar,	প্রথার,	প্রথার,	
definition,	ডিফিনেশন,	ডেফিনেশন,	
gaphiloti,	গািলতি,	গাফিলতি,	
orthanitike,	অর্থানিতিকে,	অর্থনীতিকে,	
siddhanter,	সিদ্ধান্তের,	সিদ্ধান্তের,	
khaaneker,	খাঁেকের,	খানেকের,	
karmojog,	কার্মোগ,	কর্মযোগ,	
sadeena,	সাদেনা,	সাডেন,	
bapio,	বাপিও,	বাপিও,	
oedipus,	ওইডিপিস,	ইডিপাস,	
armshtronj,	আর্মশ্রসমন,	আর্মস্ট্রং,	
drissoteer,	দৃস্সটির,	দৃশ্যটির,	
dajjha,	দাঝঝা,	দাহ্য,	
probhur,	প্রভুর,	প্রভুর,	
songkolonti,	সংকলন্তি,	সংকলনটি,	
choson,	চোসন,	চোষণ,	
oswasteekor,	অস্সাস্তকর,	অস্বস্তিকর,	
prime,	প্রিমে,	প্রাইম,	
purple,	পারপপল,	পার্পেল,	
popke,	পপকে,	পোপকে,	
baman,	বামান,	বামন,	
philo,	ফিলো,	ফিলো,	
holding,	হলিডিং,	হোল্ডিং,	
dristiheen,	দৃষ্টিহীন,	দৃষ্টিহীন,	
pohnpeic,	পোহ্নপেক,	ফোনপেইক,	
harbare,	হারবার,	হারবারে,	
nirikho,	নিরিখো,	নিরিখ,	
chalochchitraeer,	চলচচ্তিত্র,	চলচ্চিত্রের,	
tookrokey,	তক্রকে,	টুকরোকে,	
prajanankal,	প্রজনকাল,	প্রজননকাল,	
mehsus,	মেহসুস,	মেহসুস,	
assexe,	এসেস্স,	অ্যাসেক্সে,	
pranibigyani,	প্রাণীবিজ্ঞানী,	প্রাণীবিজ্ঞানী,	
sikara,	সিকারা,	শিকার,	
deelibhara,	দীলিভারা,	ডেলিভার,	
raunanganey,	রাউন্গেনগে,	রণাঙ্গনে,	
mookhomaundoler,	মৌখমান্ধলের,	মুখমণ্ডলের,	
gaje,	গাজে,	গেজ,	
detik,	ডেটিক,	দেতিক,	
cantan,	ক্যান্টান,	ক্যান্টন,	
laaishheshh,	লাইশেশ,	লাইসেন্স,	
paste,	পাস্তে,	পেষ্ট,	
prakar,	প্রকার,	প্রকার,	
hyaloyin,	হ্যালোনিন,	হ্যালোইন,	
shtonehenge,	শ্তনেহেঙ্গে,	স্টোনহেঞ্জ,	
haitasha,	হাইসা,	হাইটস,	
hingsar,	হিংসার,	হিংসার,	
chalachchitroi,	চলচাচ্ত্রিও,	চলচ্চিত্রই,	
plak,	প্লাক,	প্ল্যাক,	
evereste,	এভেরেস্টে,	এভারেস্টে,	
baarnish,	বার্িস,	বার্নিশ,	
grauth,	গ্রাউথ,	গ্রোথ,	
binakar,	বিনাকার,	বিনাকার,	
nothibhukta,	নথিভুক্ত,	নথিভুক্ত,	
khamotagulor,	কামতাগুলোর,	ক্ষমতাগুলোর,	
phiqsa,	ফিকসা,	ফিক্স,	
boiragirhat,	বৈরাগরহাত,	বৈরাগিরহাট,	
pooshti,	পুষ্টি,	পুষ্টি,	
annimated,	অ্যান্নিমাট,	এনিমেটেড,	
hughes,	হুগেস,	হিউজেস,	
nepchooner,	নেপশনের,	নেপচুনের,	
vabaponno,	ভাবাপন্ন,	ভাবাপন্ন,	
kholdhular,	খোলধুলার,	খোলধূলার,	
rubidium,	রুবিউডিম,	রুবিডিয়াম,	
deqe,	ডেকে,	ডেকে,	
bijepi,	বিজেপি,	বিজেপি,	
koruna,	করুনা,	করুণা,	
zoojyota,	যুজ্যতা,	যোজ্যতা,	
patishapta,	পাতিশ্প্ত,	পাটিসাপটা,	
asovyo,	অসভ্য,	অসভ্য,	
sarajibonbyapi,	সরাজনবিস্যাপী,	সারাজীবনব্যাপী,	
phiksa,	ফিকসা,	ফিক্স,	
marodeho,	মারোদেহ,	মরদেহ,	
zozyota,	জজ্যতাা,	যোজ্যতা,	
darjiling,	দার্জিলিং,	দার্জিলিং,	
ajeeboner,	আজেবনের,	আজীবনের,	
balakarak,	বালাকারা,	বলকারক,	
gemske,	গেমসেকে,	জেমসকে,	
aholyar,	আহল্যার,	অহল্যার,	
gasthii,	গাস্থই,	গোষ্ঠীই,	
eevil,	ইইভিল,	ইভিল,	
mukhomandaley,	মুখমান্ধলেয়ে,	মুখমণ্ডলে,	
sangkoolan,	সংকোলান,	সংকুলান,	
krechi,	ক্রেচি,	করেছি,	
giitikobita,	গীতিকোবিতা,	গীতিকবিতা,	
madaspushto,	মাদাপস্ত,	মদদপুষ্ট,	
dormetori,	ডর্মতরি,	ডরমিটরি,	
sten,	স্টেন,	স্টেন,	
chirkut,	চিরকুত,	চিরকুট,	
gaujano,	গৌজানও,	গজানো,	
comoros,	কমোরস,	কোমোরোস,	
esprito,	এসপৃত,	এস্পিরিটো,	
guha,	গুহা,	গোহ,	
torunderke,	তরুন্দেরকে,	তরুণদেরকে,	
promothesh,	প্রমথেশ,	প্রমথেশ,	
khalidke,	খালিদকে,	খালিদকে,	
gavaskar,	গাভাস্কার,	গাভাস্কার,	
ganaporibahaner,	গণাপরীবাহাণের,	গণপরিবহনের,	
choukato,	চৌকাতো,	চৌকাত,	
ooporoshtho,	ঔপর্ষষ্ট,	উপরস্থ,	
paripakey,	পরিপাকে,	পরিপাকে,	
bolatkar,	বোলাতকার,	বলাৎকার,	
cheento,	চিন্তো,	চিনতো,	
nagarikera,	নাগারিকেরা,	নাগরিকেরা,	
ummool,	উমমুল,	উম্মুল,	
lubitz,	লুবিত,	লুবিৎজ,	
dhaleshwari,	ধলেশ্বর্বী,	ধলেশ্বরী,	
utshahomulok,	উৎশাহূলক,	উৎসাহমূলক,	
modelkey,	মোডেলকে,	মডেলকে,	
ekjoge,	একগোগে,	একযোগে,	
melbourner,	মেলববর্ণের,	মেলবোর্নের,	
chheher,	ছেহের,	ছেহের,	
saramukhe,	সরামুখে,	সারামুখে,	
avinetar,	অভিনেতার,	অভিনেতার,	
udbodhani,	উদ্বোধনানী,	উদ্বোধনী,	
bishesyo,	বিশেষ্য,	বিশেষ্য,	
bondhukey,	বন্ধুকে,	বন্ধুকে,	
rohasyer,	রোহাস্যের,	রহস্যের,	
lyaanding,	ল্যাযান্ডিং,	ল্যান্ডিং,	
fokskon,	ফকসনক,	ফক্সকন,	
toler,	তোলের,	তালের,	
proboleme,	প্রবলেমে,	প্রবলেমে,	
varote,	ভারেতে,	ভারতে,	
sallallahu,	সলললালু,	সল্লাল্লাহু,	
vugoley,	ভুগোলি,	ভূগোলে,	
sthapanagulor,	স্থাপানগুলোর,	স্থাপনাগুলোর,	
rahi,	রাহি,	রাহী,	
zeland,	জেলান্ড,	জিল্যান্ড,	
philipiner,	ফিলিপিনের,	ফিলিপাইনের,	
turisht,	তুরিশ্ট,	টুরিস্ট,	
manjushri,	মঞ্জুষ্রী,	মঞ্জুশ্রী,	
dhonni,	ধন্নী,	ধন্যি,	
lokhindorer,	লখিন্দরের,	লখিন্দরের,	
khonjena,	খোঁজেনা,	খোঁজেনা,	
jund,	জুন্ড,	জুন্দ,	
meshmeshya,	মেশেশময়,	মেশহমেশহিইয়া,	
taunship,	তৌঁশীপ,	টাউনশিপ,	
deraa,	দেরা,	ডেরা,	
podotyagsongkranto,	পদত্যাসংক্রান্ত,	পদত্যাগসংক্রান্ত,	
dhormokorme,	ধর্মকর্মে,	ধর্মকর্মে,	
antorbhuktimulak,	অন্তর্ভুলিভলক,	অন্তর্ভুক্তিমূলক,	
bondira,	বন্দিরা,	বন্দীরা,	
teman,	তেমান,	তেমন,	
birishiritey,	বিরিশিরীতে,	বিরিশিরিতে,	
shektor,	শেকতোর,	সেক্টর,	
charpanch,	চরপাঁচ,	চারপাঁচ,	
anubhutimalar,	অনুভুতিলাম,	অনুভূতিমালার,	
kale,	কালে,	কালে,	
shikkhartheerao,	শিক্ষার্থারও,	শিক্ষার্থীরাও,	
purbancoler,	পূর্বাক্নললের,	পূর্বাঞ্চলের,	
dooburir,	দুবুরীর,	ডুবুরির,	
sausage,	সৌসাগে,	সসেজ,	
bhagnekeo,	ভাগনেও,	ভাগ্নেকেও,	
gananatyo,	গণনত্য,	গণনাট্য,	
huka,	হুকা,	হুক,	
volivoler,	ভলিভোলের,	ভলিভলের,	
fatkabazare,	ফাটকবাাজেরে,	ফাটকাবাজারে,	
huqa,	হুকা,	হুক,	
shroddhabihin,	শ্রদ্ধবিহীন,	শ্রদ্ধাবিহীন,	
bisshasyi,	বিশ্শায়,	বিশ্বাসই,	
tanshree,	তানশ্রী,	তানশ্রী,	
jeher,	জেহের,	জেহের,	
peeth,	পিথ,	পীঠ,	
marri,	মারিরি,	ম্যারি,	
geographics,	গেগ্রাফিক্স,	জিওগ্রাফিকস,	
chetanagato,	চেতানাগতা,	চেতনাগত,	
arke,	আরকে,	আরকে,	
byaboharkari,	ব্যবহারকারী,	ব্যবহারকারী,	
sikkhokder,	সিক্ষকেের,	শিক্ষকদের,	
supplenza,	সুপেলপল্জা,	সাপলেঞ্জা,	
ramachandranke,	রমাচচন্দ্রকে,	রামাচন্দ্রনকে,	
poste,	পোস্টে,	পোস্টে,	
torkarite,	তরকারিতে,	তরকারিতে,	
tunaita,	তুউনাইটা,	টুনাইট,	
breqathru,	ব্রেকাচুরু,	ব্রেকথ্রু,	
postay,	পোস্টা,	পোস্টে,	
beshirbhaagei,	বেশির্ভাগেই,	বেশিরভাগেই,	
habsi,	হাবসি,	হাবশী,	
kanshat,	কানশাত,	কানসাট,	
bishhnu,	বিষ্ণু,	বিষ্ণু,	
bishasey,	বিশাসেই,	বিশ্বাসে,	
rekhapat,	রেখাপাট,	রেখাপাত,	
aasar,	আসার,	আসর,	
srivatsalakshanang,	শ্রীবাংকংলং,	শ্রীবৎসলক্ষণং,	
ekatitto,	একাতিত্ত,	একাতিত্ব,	
hijritey,	হিজরিতে,	হিজরীতে,	
borlen,	বরলেন,	বরলেন,	
maradeha,	মারাদেহা,	মরদেহ,	
birmuktijoddhagan,	বীর্মুক্তিদ্ধাগন,	বীরমুক্তিযোদ্ধাগণ,	
kada,	কাদা,	কোডা,	
gasthi,	গাস্থী,	গোষ্ঠী,	
artherer,	আর্থারের,	আর্থারের,	
rilayensha,	রিলায়েন্া,	রিলায়েন্স,	
fishing,	ফিশিং,	ফিসিং,	
jyaqasana,	জ্যাকসন,	জ্যাকসন,	
jeten,	জেটেন,	জেতেন,	
ghoorchen,	ঘুরচেন,	ঘুরেছেন,	
edaningkale,	এডানিংকালে,	ইদানীংকালে,	
indro,	ইন্দ্র,	ইন্দ্র,	
aaziz,	আজিজ,	আজিজ,	
agaldar,	আগালদার,	আগলদার,	
pitiler,	পিটিলের,	পিটিলের,	
maryir,	মাররি,	ম্যারির,	
kandy,	কান্ডি,	ক্যান্ডি,	
ekghare,	একঘারে,	একঘরে,	
horas,	হোরাস,	হোরাস,	
kortam,	কর্তাম,	করতাম,	
eporzonto,	এপরজন্ত,	এপর্যন্ত,	
sausagee,	সৌসাগী,	সসেজ,	
cheentaikaree,	চিন্তাকারী,	ছিনতাইকারী,	
drishi,	দৃশি,	দৃশ্যই,	
ase,	আসে,	আসে,	
obosorer,	অবসরের,	অবসরের,	
deilee,	দেইলি,	ডেইলি,	
hakone,	হাকেনো,	হাকোনে,	
nyata,	ন্যাটা,	ম্যাট,	
enjineers,	এনজিনার্স,	ইঞ্জিনিয়ার্স,	
hossne,	হসসে,	হোসনে,	
bosoben,	বসবেন,	বসবেন,	
soceitytey,	সকেইস্টেই,	সোসাইটিতে,	
bibecchyo,	বিবেচ্য,	বিবেচ্য,	
khoakshir,	খোয়করীর,	খোয়াক্ষীর,	
rohinibabu,	রোহিনিবাবু,	রোহিনীবাবু,	
pacchi,	পাচ্ছি,	পাচ্ছি,	
bongshokey,	বংশককেই,	বংশকে,	
munsi,	মুনসি,	মুন্সী,	
orbi,	অরবি,	ওরবি,	
jesh,	জেশ,	জেস,	
dalip,	দালিপ,	দালিপ,	
dadapur,	দাদাপুর,	দাদাপুর,	
chikittsar,	চিকিতসার,	চিকিত্সার,	
monohputo,	মনোপপুত,	মনঃপুত,	
jomjamat,	জোম্জামাট,	জমজমাট,	
louhojato,	লৌহজাতো,	লৌহজাত,	
nischitobhabe,	নিশ্চিভভাবে,	নিশ্চিতভাবে,	
dhrubaker,	ধ্রুবাকের,	ধ্রুবকের,	
gandhiir,	গানধীর,	গান্ধীর,	
fastara,	ফাস্তারা,	ফস্টার,	
probeshkari,	প্রবেশকারী,	প্রবেশকারী,	
neshadrabyer,	নেশাদ্ব্যের,	নেশাদ্রব্যের,	
prosadhoner,	প্রসাধনের,	প্রসাধনের,	
benojir,	বেনোজীর,	বেনজীর,	
rajbandi,	রাজবান্দি,	রাজবন্দী,	
baffer,	বাফের,	বাফার,	
karaa,	কারা,	কারো,	
korimpur,	করিমপুর,	করিমপুর,	
sohinsotar,	সোহিনসতার,	সহিংসতার,	
bodhir,	বোধীর,	বধির,	
taunsheep,	তৌউন্িপ,	টাউনশিপ,	
somratra,	সোমত্রা,	সম্রাটরা,	
suisharke,	সুশারকে,	সুইশারকে,	
ghamtaa,	ঘামতা,	ঘোমটা,	
horiddare,	হরিদ্রারে,	হরিদ্বারে,	
nachar,	নাচার,	নাচার,	
toufik,	তৌফিক,	তৌফিক,	
residence,	রিসিডেনকে,	রেসিডেন্স,	
satan,	সাতান,	শয়তান,	
pakhtunistan,	পাখতুনিষ্টান,	পাখতুনিস্তান,	
koordider,	কুরদিদের,	কুর্দিদের,	
shabkam,	শ্বাবমাম,	শবকাম,	
puding,	পুডিং,	পুডিং,	
debdebie,	দেবদেবী,	দেবদেবী,	
zaire,	জাইরে,	জাইরে,	
sangkulaan,	সংকুলান,	সংকুলান,	
bikromei,	বিক্রমেই,	বিক্রমেই,	
bisshas,	বিশ্বাস,	বিশ্বাস,	
falak,	ফালাক,	ফলক,	
mulbhitti,	মুলভিত্তি,	মূলভিত্তি,	
samajikotar,	সমাজিকতার,	সামাজিকতার,	
pinogbagke,	পিনোগ্বাগে,	পিনগবাগকে,	
tiunara,	তিউননা,	টিউনার,	
hindutirtha,	হিন্দুত্রিথ,	হিন্দুতীর্থ,	
chhotogolper,	ছোটগল্লের,	ছোটগল্পের,	
oojbekistan,	আজবেক্সিতন,	উজবেকিস্তান,	
porbotmala,	পর্বততলা,	পর্বতমালা,	
shubhag,	শুভাগ,	শুভাগ,	
torkarir,	তররকরীর,	তরকারীর,	
lambi,	লামবি,	লম্বি,	
balaruma,	বালারামা,	বলরুম,	
avidur,	অভিদুর,	আভিদুর,	
dakticket,	ড্যাক্টিকেট,	ডাকটিকিট,	
tata,	তাতা,	তাতা,	
seconder,	সেকোন্ডের,	সেকেন্ডের,	
dong,	ডংগ,	ডং,	
kanader,	কানাদের,	কণাদের,	
beila,	বেইলা,	বেইলা,	
shangkalonti,	শংকলন্তি,	সংকলনটি,	
miitar,	মিতাতার,	মিত্র,	
cs,	সিএসএস,	সিএস,	
premoronge,	প্রেমরঙ্গে,	প্রেমরঙে,	
prakalpatike,	প্রক্তাপকিকে,	প্রকল্পটিকে,	
jibanto,	জীবান্ত,	জীবন্ত,	
valobasen,	ভালোবেসেন,	ভালোবাসেন,	
marketing,	মার্কেটিং,	মার্কেটিং,	
protisthan,	প্রতিষ্ঠান,	প্রতিষ্টান,	
milton,	মিলতন,	মিলটন,	
shahabike,	শহাবিকে,	সাহাবীকে,	
mesenjjar,	মেসেন্জার,	মেসেঞ্জার,	
somsher,	সোমশের,	সমশের,	
queri,	কুয়েরি,	কোয়েরি,	
treend,	ট্রিন্ড,	ট্রেন্ড,	
elaakaate,	এলাকাতে,	এলাকাতে,	
neerbahe,	নীর্বহে,	নির্বাহে,	
eekbalke,	ইকবালকে,	ইকবালকে,	
sompadonkaree,	সম্পাদকর্াই,	সম্পাদনকারী,	
wrighter,	রিঘের,	রাইটের,	
baugey,	বাগে,	বাগে,	
bisshasi,	বিশশাসী,	বিশ্বাসী,	
euqalyptus,	ইউকাল্টিপাস,	ইউক্যালিপ্টাস,	
daqten,	ডাক্েন,	ডাকতেন,	
saifai,	সাইফাই,	সাইফাই,	
plaiin,	প্লিইন,	প্লেন,	
korkotkraantee,	করকোত্রান্ত্ত,	কর্কটক্রান্তি,	
komanera,	কোমানেরা,	কমানেরা,	
bidyadanke,	বিদ্যান্যাকে,	বিদ্যাদানকে,	
sushposhtolikhito,	সুষ্পষ্ষলিত,	সুষ্পষ্টলিখিত,	
nibirbhabe,	নিবীরভাবে,	নিবিরভাবে,	
akkhunno,	অক্ষুণ্ন,	অক্ষুণ্ণ,	
elakai,	এলাকাই,	এলাকাই,	
thyachar,	থ্যাচার,	থ্যাচার,	
probeshan,	প্রবেশন,	প্রবেশন,	
kailashrao,	কাইলশরাও,	কৈলাশরাও,	
musabbirul,	মুসাবিরিল,	মুসাব্বিরুল,	
gandhariir,	গানধার,	গান্ধারীর,	
vvimsenn,	ভিমসিন্,	ভীমসেন,	
setike,	সেতিকে,	সেটিকে,	
mukhyo,	মুখ্য,	মুখ্য,	
ashor,	আশর,	আসর,	
kk,	ক্কি,	কেকে,	
bupher,	বুফের,	বাফার,	
batsmanei,	বাৎসমানেই,	ব্যাটসম্যানই,	
hunine,	হুনিনে,	হুনাইন,	
graambaaseeder,	গ্রামবাসিইডের,	গ্রামবাসীদের,	
blasterke,	ব্লাস্টারকে,	ব্লাস্টারকে,	
vange,	ভাঙ্গে,	ভাঙ্গে,	
aansareer,	আনসারীর,	আনসারীর,	
mexicoteo,	মেকিস্টকেতেও,	মেক্সিকোতেও,	
surke,	সুরকে,	সুরকে,	
qyantana,	ক্যান্টনা,	ক্যান্টন,	
ganakantha,	গণকান্থ,	গণকণ্ঠ,	
aairees,	আইরিস,	আইরিস,	
playtey,	প্লেযাটে,	প্লেটে,	
asaciates,	অ্যাসাকিয়াটেস,	এসোসিয়েটস,	
agamane,	আগামানে,	আগমনে,	
graambashee,	গ্রামবাশী,	গ্রামবাসী,	
dai,	২ইএ,	ডে,	
platform,	প্লামফর্ট,	প্লাটফর্ম,	
corymb,	কর্মিব,	করিম,	
mahbunur,	মাহবুনুর,	মাহবুনুর,	
durlabhatwang,	দূর্লভংভাং,	দুর্লভত্বং,	
hariken,	হারিকেন,	হ্যারিকেন,	
hafsa,	হাফসা,	হাফসা,	
sqalarashipa,	স্কালারিশাপা,	স্কলারশিপ,	
gudamjat,	গুদাম্ত,	গুদামজাত,	
lagche,	লাগছে,	লাগছে,	
rajbandir,	রাজবান্দির,	রাজবন্দীর,	
sikkharthirao,	সিক্ষার্থিরাও,	শিক্ষার্থীরাও,	
shrichaitanyadev,	শ্রীচাত্যবেদেব,	শ্রীচৈতন্যদেব,	
vejjanno,	ভেজজান্ন,	ভেজানো,	
fooloo,	ফুলোও,	পোলো,	
uporoshtho,	উপরপষ্থ,	উপরস্থ,	
ganaparibahan,	গণপপরীবহীন,	গণপরিবহন,	
kram,	ক্রাম,	ক্রম,	
ul,	উউএল,	উল,	
heepatitis,	হিপাটিটিস,	হেপাটাইটিস,	
ajeejer,	আজেজের,	আজিজের,	
aaeerese,	আইয়েরেস,	আইরেসে,	
jansa,	জানসা,	জন্স,	
alsaar,	আলসার,	আলসার,	
karecho,	কারেছো,	করেছো,	
pyetarna,	প্য়ত্রা,	প্যাটার্ন,	
keui,	কেউ,	কেউই,	
venush,	ভেনুশ,	ভেনাস,	
votarer,	ভোতারের,	ভোটারের,	
bornolikhon,	বর্ণলিখন,	বর্ণলিখন,	
ponchasjon,	পঞ্চাসঞন,	পঞ্চাশজন,	
taufik,	তৌফিক,	তৌফিক,	
capshule,	ক্যাশশুলে,	ক্যাপসুল,	
shansthagulo,	শানস্থাগগুলো,	সংস্থাগুলো,	
pader,	পাদের,	প্যাডের,	
dwibidho,	দ্বিবিধ,	দ্বিবিধ,	
deputi,	দেপুটি,	ডেপুটি,	
madhuri,	মাধুরী,	মাধুরী,	
shahidputra,	শহিদপুত্র,	শহীদপুত্র,	
akar,	আকার,	একার,	
niknayman,	নিক্নম্যন,	নিকনেইমান,	
sofie,	সোফি,	সোফি,	
nirmalata,	নির্মলতা,	নির্মলতা,	
byabaharkariderke,	ব্যবহারকেরকে,	ব্যবহারকারীদেরকে,	
sheets,	শিটস,	শীটস,	
riphleksa,	রিফলেক্স,	রিফ্লেক্স,	
maley,	মালে,	মালে,	
peengna,	পিংগা,	পিংনা,	
shhashtra,	শাস্ত্র,	শাস্ত্র,	
mukherjee,	মুখেরজি,	মুখার্জী,	
sweety,	স্বি,	সুইটি,	
phutonta,	ফুতন্ত,	ফুটন্ত,	
injiniyarim,	ইনজিনারিযাম,	ইঞ্জিনিয়ারিং,	
dhaanche,	ধাঁচে,	ধাঁচে,	
orthonitir,	অর্থনীতির,	অর্থনীতির,	
asamonjasyopurno,	অসামান্যপূর্ণ,	অসামঞ্জস্যপূর্ণ,	
laicenshe,	লেইকেন্সে,	লাইসেন্স,	
graambaaseeo,	গ্রামবাসিও,	গ্রামবাসীও,	
bitlaser,	বিত্লাসের,	বিটলসের,	
ghotleo,	ঘটললেও,	ঘটলেও,	
pinglateo,	পিংলেটেও,	পিংলাতেও,	
bujhechhila,	বুঝেছিলা,	বুঝেছিল,	
joones,	জুনস,	জোন্স,	
protijogii,	প্রতিযোগীও,	প্রতিযোগী,	
vabnakey,	ভাবনাকে,	ভাবনাকে,	
emiratas,	এমিরাটাস,	এমিরেটাস,	
bhadaka,	ভাদাকা,	ভদকা,	
ikbaaler,	ইকবালের,	ইকবালের,	
meghacchonno,	মেঘাচঞ্চন,	মেঘাচ্ছন্ন,	
jontrototto,	যন্ত্রত্ত,	যন্ত্রতত্ত্ব,	
eshtoniya,	এষ্টনিয়,	এস্তোনিয়া,	
milayatane,	মিলায়ানে,	মিলায়তনে,	
eukalyptus,	ইউকাল্টিপাস,	ইউক্যালিপ্টাস,	
chatrorai,	চাত্ররায়,	ছাত্ররাই,	
gara,	গারা,	গোর,	
bhugol,	ভুগল,	ভূগোল,	
kanasharabheshhana,	কনশরববেষণ,	কনসারভেশন,	
raagee,	রাগি,	রাগী,	
battery,	ব্যাট্রাই,	ব্যাটারী,	
transform,	ট্রানস্ফর্,	ট্রান্সফর্ম,	
teennis,	টিন্নিস,	টেনিস,	
olympik,	অলিমপিক,	অলিম্পিক,	
groth,	গ্রোথ,	গ্রোথ,	
oindrila,	ঐয়্দ্রীলা,	ঐন্দ্রিলা,	
vromonkaley,	ভ্রোমোকালেই,	ভ্রমণকালে,	
ujbekistaner,	উজবেকিস্তানের,	উজবেকিস্তানের,	
firth,	ফির্থ,	ফার্থ,	
mashtarsha,	মাষ্টার্ষা,	মাস্টার্স,	
bachai,	বাছাই,	বাছাই,	
bahubar,	বহুবার,	বহুবার,	
nimitte,	নিমিত্তে,	নিমিত্তে,	
doneta,	দোনেটা,	ডোনাট,	
tiger,	তিজের,	টাইগার,	
armshtrong,	আর্সরগ্রং,	আর্মস্ট্রং,	
thechar,	থেছার,	থ্যাচার,	
uposhthit,	উপশ্থিত,	উপস্থিত,	
samanyai,	সমন্যায়,	সামান্যই,	
inapharameshana,	ইনাফরাসেমা,	ইনফরমেশন,	
moushum,	মৌশুম,	মৌসুম,	
ministara,	মিনিস্তারা,	মিনিস্টার,	
rudiger,	রুডিগের,	রুদিগের,	
shift,	শিফ,	শিফট,	
naajii,	নাজিই,	নাত্সি,	
masjidti,	মাসজিদ্তি,	মসজিদটি,	
bagdadii,	বাগদাদি,	বাগদাদী,	
distibutor,	দিস্তিবুতর,	ডিস্টিবিউটারের,	
