shucharita,	শুচারিতা,	সুচরিতা,	
nagorikra,	নাগরিকরা,	নাগরিকরা,	
jarmaniteo,	জার্মানিতেও,	জার্মানিতেও,	
hoteltee,	হোটেলটি,	হোটেলটি,	
drishyogulote,	দৃষ্যগুলোতে,	দৃশ্যগুলোতে,	
mankisundar,	মানকিসুন্দর,	মানকিসুন্দর,	
peengna,	পিংনা,	পিংনা,	
dabliudabliui,	ডাব্লিডউলিউলিি,	ডাব্লিউডাব্লিউই,	
samle,	সমলে,	সামলে,	
carloos,	কার্লস,	কার্লোস,	
carlos,	কার্লস,	কার্লোস,	
gitikobita,	গীতিকবিতা,	গীতিকবিতা,	
abhidhaaneeck,	অভিয়ানানিক্ক,	অভিধানিক,	
phiqsa,	ফিক্স,	ফিক্স,	
direqtareta,	ডিরেক্রেটা,	ডিরেক্টরেট,	
shajano,	শাজানো,	সাজানো,	
rajotta,	রাজত্যা,	রাজত্ব,	
maarmaader,	মার্মাদের,	মারমাদের,	
prokolpogulikei,	প্রকল্পগুলিকেই,	প্রকল্পগুলিকেই,	
dada,	ডাডা,	দাদা,	
chapal,	চাপাল,	চপল,	
deciliter,	ডিসিলিলেটের,	ডেসিলিটার,	
mumtaz,	মুমতাজ,	মুমতাজ,	
mutar,	মুতার,	মুতার,	
bouddher,	বৌদ্ধের,	বৌদ্ধের,	
loombinee,	লুমবিনি,	লুম্বিনী,	
alimpiqa,	আলিমপিকা,	অলিম্পিক,	
swarther,	স্বার্থার,	স্বার্থের,	
ghamta,	ঘামটা,	ঘোমটা,	
rajdhani,	রাজধানি,	রাজধানি,	
jhalkanite,	ঝললানানিতে,	ঝলকানীতে,	
himchi,	হিমচি,	হিমচি,	
sangharshik,	সংহর্ষিক,	সাংঘর্ষিক,	
oedipus,	অডিিপুস,	ইডিপাস,	
phund,	ফুন্ড,	ফান্ড,	
bhaandar,	ভান্ডার,	ভাণ্ডার,	
sahooseekotar,	সহসীকতার,	সাহসিকতার,	
provur,	প্রভুর,	প্রভুর,	
siropa,	সিরোপা,	শিরোপা,	
riphleksa,	রিল্েকা,	রিফ্লেক্স,	
blyaka,	ব্ল্যাকা,	ব্ল্যাক,	
hosne,	হোসনে,	হোসনে,	
tolemyr,	তললেম্র,	টলেমির,	
samashtike,	সমা্টিকে,	সমষ্টিকে,	
gaddaphii,	গাদ্যাফি,	গাদ্দাফী,	
reflex,	রেফ্লেক্স,	রিফ্লেক্স,	
brojomohun,	ব্রোজমহুন,	ব্রোজোমোহন,	
boudher,	বৌধের,	বৌদ্ধের,	
sahajlabhbhotar,	সালাযলভভতার,	সহজলভ্যতার,	
chhooteer,	ছুটির,	ছুটির,	
manob,	মানব,	মানব,	
mentither,	মেন্টিথের,	মেনটিথের,	
shakankti,	শককা্টি,	শকাঙ্কটি,	
shalook,	শালুক,	শালুক,	
ahmed,	আহমেদ,	আহামদ,	
bhittow,	ভিত্তভ,	ভিত্তিও,	
uddharkarmirai,	উদ্ধারকর্মীরাই,	উদ্ধারকর্মীরাই,	
phox,	ফক্স,	ফক্স,	
chheher,	ছেহের,	ছেহের,	
edipass,	এডিপাস,	ইডিপাস,	
nathivookteer,	নাথিভুক্তির,	নথিভুক্তির,	
badargaji,	বাদারজাজি,	বদরগাজী,	
bipajjanak,	বিপাজজনক,	বিপজ্জনক,	
drissogulo,	দৃশ্যগুলো,	দৃশ্যগুলো,	
literacy,	লিটারাসি,	লিটারেসি,	
iling,	ইলিং,	ইলিং,	
rudiger,	রুদিগের,	রুদিগের,	
chandrima,	চন্দ্রিমা,	চন্দ্রিমা,	
kiandi,	কিয়ান্ডি,	ক্যান্ডি,	
shkalarashhipa,	শ্কলরাশিপা,	স্কলারশিপ,	
supparak,	সুপ্রাক,	সুপ্পারক,	
oitijhya,	ঐতিহ্যা,	ঐতিহ্য,	
sangasthagulo,	সংস্থাগগুলো,	সংস্থাগুলো,	
rajshri,	রাজশ্রি,	রাজশ্রী,	
somabeshti,	সমাবেষ্টি,	সমাবেশটি,	
machgulo,	মাছগুলো,	মাছগুলো,	
prajanankal,	প্রজানকাল,	প্রজননকাল,	
dharmiyabhabei,	ধর্মিয়ভাবেই,	ধর্মীয়ভাবেই,	
rajyotiro,	রাজ্যতিরও,	রাজ্যটিরও,	
besirvagei,	বেশিরভাজে,	বেশিরভাগেই,	
baman,	বামান,	বামন,	
orbit,	অরবিট,	অরবিট,	
nimitte,	নিমিত্বে,	নিমিত্তে,	
taroni,	তারণী,	তরণী,	
mette,	মেট্টে,	ম্যাট,	
inapharameshana,	ইনার্েশনন,	ইনফরমেশন,	
byabaharkareer,	ব্যবহারকারীর,	ব্যবহারকারীর,	
qredita,	ক্রেডিটা,	ক্রেডিট,	
nirbahe,	নির্বাহে,	নির্বাহে,	
nagorikra,	নাগরিকরা,	নাগরিকেরা,	
fasi,	ফ্যাসি,	ফাঁসী,	
indrakanan,	ইন্দ্রকানন,	ইন্দ্রকানন,	
kayed,	কায়েদ,	কায়েদ,	
eeksapreeshana,	ইক্ষাপ্রেশন,	এক্সপ্রেশন,	
jaadrel,	যাদ্রেল,	জাঁদরেল,	
zubokder,	যুবকদের,	যুবকদের,	
konorup,	কননরূপ,	কোনরূপ,	
dienes,	ডিয়েনস,	ডিএনএস,	
aireshe,	এইরেশে,	আইরেসে,	
vins,	ভিন্স,	ভিন্স,	
dighol,	দিঘল,	দীঘল,	
ujobekeestan,	উজবেক্তাসান,	উজবেকিস্তান,	
antorvukta,	অন্তর্ভুক্ত,	অন্তর্ভুক্ত,	
maadla,	মাডলা,	মাদলা,	
tep,	টেপ,	ট্যাপ,	
madelim,	ম্যাডেলিম,	মডেলিং,	
ekghare,	একঘরে,	একঘরে,	
jahara,	জাহারা,	যাহরা,	
sahapathike,	সহপাথিকে,	সহপাঠীকে,	
elakaatite,	এলাকাটিতে,	এলাকাটিকে,	
ashonkai,	আশঙ্কাই,	আশঙ্কাই,	
chaudhurider,	চৌধুরীদের,	চৌধুরীদের,	
ddheela,	ঢিলা,	ঢিলা,	
beshirbhaagei,	বেশিরভাগেই,	বেশিরভাগেই,	
bee,	বিআই,	বি,	
somoodrotote,	সমুদ্রতে,	সমুদ্রতটে,	
vitti,	ভিট্টি,	ভিত্তিই,	
emarjenshi,	এমারজেনশি,	এমার্জেন্সি,	
kadapaker,	কাদাপাকের,	কড়াপাকের,	
muhuriganj,	মুহুরিগঞ্জ,	মুহুরীগঞ্জ,	
tahalo,	তাহালো,	তাহলো,	
tintir,	টিনটির,	তিনটির,	
bhenus,	ভেনুস,	ভেনাস,	
prokolpow,	প্রকলল্য,	প্রকল্পও,	
bandra,	বান্দ্রা,	বন্দীরা,	
review,	রেভিয়,	রিভিউও,	
juktarashtrasaha,	যুক্তার্তাস্থাস,	যুক্তরাষ্ট্রসহ,	
maudelder,	মডউল্ডের,	মডেলদের,	
pooshteer,	পুষ্টির,	পুষ্টির,	
nottee,	নটটি,	নোটটি,	
byaboharkarike,	ব্যবহারকারীকে,	ব্যবহারকারীকে,	
gunje,	গুঞ্জে,	গুঁজে,	
bagdadii,	বাগদাড়ি,	বাগদাদী,	
aziboner,	আজিবনের,	আজীবনের,	
borendroke,	বরেন্দ্রকে,	বরেন্দ্রকে,	
ashirbadatri,	অশির্বাদত্রী,	আশীর্বাদাত্রী,	
rokkhonabekkhoner,	রক্ষনাকবেষণের,	রক্ষণাবেক্ষণের,	
daaoon,	দাওন,	ডাউন,	
eshtonia,	এস্টোনিয়া,	এস্তোনিয়া,	
dhaanche,	ধাঁচে,	ধাঁচে,	
bayii,	বায়াই,	বাঈ,	
spredsheet,	স্প্রেশিট,	স্প্রেডশীট,	
senabahinio,	সেনাবাহিনীও,	সেনাবাহিনীও,	
soomitrar,	সুমিত্রার,	সুমিত্রার,	
sithilotar,	সিথিলোটার,	শিথিলতার,	
gaaddafee,	গাড্ডাফি,	গাদ্দাফী,	
temanti,	তেমান্টি,	তেমনটি,	
suhayeler,	সুহায়েলের,	সুহায়েলের,	
michir,	মিচির,	মিচির,	
pathkrom,	পাঠ্রকম,	পাঠক্রম,	
akkaas,	আক্কাস,	আককাস,	
browser,	ব্রসসার,	ব্রাউজার,	
shatokeo,	শতকেও,	শতকেও,	
bowie,	বৌভি,	বওই,	
baipass,	বাইপাস,	বাইপাস,	
thyachar,	থ্যাচার,	থ্যাচার,	
paadee,	পাড়ি,	পাড়ে,	
ganochin,	গানোচিন,	গণচীন,	
nariderke,	নারীদেরকে,	নারিদেরকে,	
lyaanding,	ল্যান্ডিং,	ল্যান্ডিং,	
bongshokey,	বংশকে,	বংশকে,	
title,	টিলট,	টাইটেল,	
haripur,	হরিপুর,	হরিপুর,	
bosoben,	বসবেন,	বসবেন,	
navaratri,	নাভারত্রী,	নবরাত্রি,	
obhijojan,	অভিজোজান,	অভিযোজন,	
jyesttha,	জ্যেস্থ্যা,	জ্যেষ্ঠা,	
biplobi,	বিপ্লবি,	বিপ্লবী,	
udbhabaney,	উদ্ভাবানে,	উদ্ভাবনে,	
pray,	প্রায়ে,	প্রায়,	
hugeke,	হুগেকে,	হিউজকে,	
shikhra,	শিখরা,	শিখরা,	
taffsherer,	তফশেরের,	তাফসীরের,	
murad,	মুরাদ,	মুরাদ,	
soketgulor,	সোকেটগুলোর,	সকেটগুলোর,	
thailandshoho,	থাইলানদশশহ,	থাইল্যান্ডসহ,	
boikalyo,	বৈকাল্য,	বৈকল্য,	
atorkitey,	আটরকিতে,	অতর্কিতে,	
tyapa,	ত্যাপা,	ট্যাপ,	
prottokkhovabe,	প্রত্যক্ষভাবে,	প্রত্যক্ষভাবে,	
kamla,	কামলা,	কামলা,	
uparjon,	উপার্জন,	উপার্জন,	
bojhaao,	বোঝাও,	বোঝাও,	
fibergulote,	ফাইবারগুলোতে,	ফাইবারগুলোতে,	
corymb,	করিম্ব,	করিম,	
firozapure,	ফিরোজাপুরে,	ফিরোজাপুরে,	
saoum,	সায়াম,	সাওম,	
chasee,	চাসি,	চেস,	
siddhantoo,	সিদ্ধান্ত,	সিদ্ধান্তও,	
simons,	সিমন্স,	সিমন্স,	
geejeeteeda,	গীজিতেদা,	গেজেটেড,	
suraropito,	সুরারাপিত,	সুরারোপিত,	
modhumotii,	মধুমতিই,	মধুমতী,	
saifullahil,	সাইফুল্লাহলল,	সাইফুল্লাহিল,	
gonesher,	গনেশের,	গণেশের,	
nibobondhonkrito,	নিবন্ধবন্ত্রি,	নিববন্ধনকৃত,	
laga,	লাগা,	লগ,	
protisthan,	প্রতিষ্ঠান,	প্রতিষ্টান,	
farna,	ফরনা,	ফার্ন,	
mumtazer,	মুম্তাজের,	মুমতাজের,	
patengar,	পাটেঙ্গার,	পতেঙ্গার,	
karmoi,	কারমোই,	কর্মই,	
kode,	কোড,	কোড,	
ujobekeestaner,	উজবেক্তাসানের,	উজবেকিস্তানের,	
gajiipur,	গজীইপুর,	গাজীপুর,	
dakope,	ডাকোপে,	দাকোপ,	
ray,	রায়া,	রায়,	
hingsar,	হিংসার,	হিংসার,	
ekekrokom,	একেক্রমক,	একেকরকম,	
gandhikey,	গান্ধিকে,	গান্ধীকে,	
chakradhare,	চাকরাধার,	চক্রধরে,	
jerusalema,	জেরুসেলামা,	জেরুসালেম,	
ummool,	উম্মুল,	উম্মুল,	
motkey,	মোটকে,	মতকে,	
kodorer,	কদরের,	কদরের,	
jommu,	জম্মু,	জম্মু,	
pratijogider,	প্রতিযোগিদের,	প্রতিযোগীদের,	
sawam,	সাওয়াম,	সাওম,	
atmabishvashi,	আত্মবিশ্বাশী,	আত্মবিশ্বাসী,	
murali,	মুরালি,	মুরলী,	
biphal,	বিফাল,	বিফল,	
ruby,	রুবি,	রুবী,	
grambaasheeo,	গ্রামবাশীও,	গ্রামবাসীও,	
shikkharrthirao,	শিক্ষার্থীরাও,	শিক্ষার্থীরাও,	
shariba,	শারিবা,	শরিবা,	
chintakarma,	চিন্তাকর্ম,	চিন্তাকর্ম,	
jokkher,	যক্ষের,	যক্ষের,	
purushika,	পুরুশিকা,	পুরুষিকা,	
norpholk,	নর্ফলক,	নরফোক,	
alsaar,	আলসার,	আলসার,	
ghotleyo,	ঘোলটেও,	ঘটলেও,	
enamela,	এনামেলা,	এনামেল,	
shangsthaner,	শ্ংস্থানের,	সংস্থানের,	
mail,	মাইল,	মাইল,	
bouddho,	বৌদ্ধ,	বৌদ্ধ,	
uporzon,	উপর্জন,	উপার্জন,	
aaps,	আপএসএ,	এএপিএস,	
with,	উইথ,	ভিত,	
militarir,	মিলিটারির,	মিলিটারির,	
naazi,	নাজি,	নাত্সি,	
bodhirota,	বধিরতা,	বধিরতা,	
barnis,	বার্নিস,	বার্নিশ,	
sahittekder,	সাহিত্যদের,	সাহিত্যেকদের,	
suparahiro,	সুপারহিরও,	সুপারহিরো,	
asthishondhi,	অস্থিনসধ্ধি,	অস্থিসন্ধি,	
prasadhoni,	প্রসাধনী,	প্রসাধনী,	
aqram,	আকরাম,	আকরাম,	
ghatiti,	ঘটিটি,	ঘাঁটিটি,	
taims,	টাইম্স,	টাইমস্,	
zoojyota,	জুজ্যতা,	যোজ্যতা,	
sthapanagulo,	স্থাপানগগুলো,	স্থাপনাগুলো,	
khaaneker,	খানেকের,	খানেকের,	
tachnach,	তা্চাচ,	তছনছ,	
senabahinikey,	সেনাবাহিনীকে,	সেনাবাহিনীকে,	
gaichhe,	গাইছে,	গাইছে,	
cholochchitra,	চলচচিত্র,	চলচ্চিত্র,	
deaubande,	ডিউবান্ডে,	দেওবন্দে,	
overholing,	ওভারহোলিং,	ওভারহোলিং,	
dobhaar,	ডভার,	ডোভার,	
khude,	খুদে,	ক্ষুদে,	
notey,	নোটে,	নোটে,	
cheenja,	চিঞ্জা,	চেঞ্জ,	
fuss,	ফুস,	ফাস,	
nazad,	নাজাদ,	নজদ,	
kaaferder,	কাফারদের,	কাফেরদের,	
sikkhakbrinda,	সিক্ষাবৃন্দা,	শিক্ষকবৃন্দ,	
prakare,	প্রাকারে,	প্রকারে,	
shangkulaan,	শাংকুলান,	সংকুলান,	
kadakhonchar,	কাদাখোন্চার,	কাদাখোঁচার,	
rastagulikeo,	রাস্তাগুলিকেও,	রাস্তাগুলিকেও,	
croak,	ক্রোক,	ক্রোক,	
sombhobonaao,	সম্ভবনাও,	সম্ভবনাও,	
wedanta,	বয়েন্টা,	বেদান্ত,	
songkolonti,	সংকলন্তি,	সংকলনটি,	
monir,	মনির,	মনির,	
khitkar,	খিটকার,	ক্ষিতকর,	
sangaskritipreme,	সংস্কৃতির্মিতে,	সংস্কৃতিপ্রেমে,	
lotharan,	লোথারান,	লুথেরান,	
nirgaman,	নির্গামান,	নির্গমন,	
ghotolen,	ঘটলেন,	ঘটলেন,	
nirbahey,	নির্বাহে,	নির্বাহে,	
gaddaafee,	গাদ্ডাফি,	গাদ্দাফী,	
parisankhanbid,	পরিসংখ্বাবিদ,	পরিসংখ্যানবিদ,	
byan,	ব্যান,	ব্যাং,	
rezidence,	রেজিডেন্স,	রেসিডেন্স,	
bifol,	বিফল,	বিফল,	
probeshkari,	প্রবেশকারী,	প্রবেশকারী,	
erythrian,	এরিরিথিয়ার,	এরিথ্রিয়ান,	
diibug,	দিবেগু,	ডিবাগ,	
mathieu,	মাথিয়,	ম্যাথিউ,	
gejeted,	গেজেটেড,	গেজেটেড,	
kanuner,	কানুনের,	কানুনের,	
ashociatesh,	অশয়াকিশেস,	এসোসিয়েটস,	
pratool,	প্রাটুল,	প্রতুল,	
veenis,	ভিনিস,	ভেনিস,	
chowdhurir,	চৌধুরির,	চৌধুরীর,	
heena,	হিনা,	হেনা,	
mandondo,	মান্দন্ড,	মানদণ্ড,	
bharpur,	ভারপুর,	ভরপুর,	
marathi,	মারাথি,	মরাঠি,	
akmato,	আকমাত,	একমত,	
rubala,	রুবালা,	রুবল,	
jothon,	যথন,	যথন,	
tukrote,	টুক্রোতে,	টুকরোতে,	
kormoke,	কর্মকে,	কর্মকে,	
shikshakbrindo,	শিক্ষাবৃন্দ,	শিক্ষকবৃন্দ,	
mooney,	মুনে,	মুনে,	
sarajibonbyapi,	সররজিবনবাপি,	সারাজীবনব্যাপী,	
katateo,	কাটাতেও,	কাটাতেও,	
salchak,	সালচক,	সালচাক,	
saras,	সারাস,	সরস,	
udbhaboney,	উদ্ভাবনে,	উদ্ভাবনে,	
shtonehenge,	স্টনহেন্জে,	স্টোনহেঞ্জ,	
poriikkhateo,	পরিক্ষাতেও,	পরীক্ষাতেও,	
saom,	সাওম,	সাওম,	
stana,	স্টানা,	স্টোন,	
grambaashi,	গ্রামবাশী,	গ্রামবাসী,	
shangsthatikey,	শংস্থাটিকে,	সংস্থাটিকে,	
tunaita,	টুইনাইটা,	টুনাইট,	
prosadhaner,	প্রসাধানের,	প্রসাধনের,	
konruup,	কন্রুয়,	কোনরূপ,	
babare,	বাবারে,	বাবারে,	
porishongkhanbid,	পরিশণখাবিিদ,	পরিসংখ্যানবিদ,	
nibeditar,	নিবেদিতার,	নিবেদিতার,	
macbeth,	ম্যাকবেথ,	ম্যাকবেথ,	
lambaate,	লাম্বাতে,	লম্বাটে,	
ebhara,	এভারা,	এভার,	
parshwer,	পারশ্বের,	পার্শ্বের,	
ernad,	এর্াা,	এরনাড,	
sadeena,	সদদিনা,	সাডেন,	
pleena,	প্লিনা,	প্লেন,	
sofie,	সফি,	সোফি,	
bhejaano,	ভেজানো,	ভেজানো,	
vetrillocuism,	ভেট্রিলোসিমাম,	ভেট্রিলোকুইজম,	
dweepgoolotey,	দ্বীপললগতেই,	দ্বীপগুলোতে,	
shoreefer,	শরেফার,	শরিফের,	
qirq,	কির্ক,	কার্ক,	
rajtontro,	রাজতন্ত্র,	রাজতন্ত্র,	
jansa,	জানসা,	জন্স,	
bipti,	বিপটি,	বিপ্তি,	
shektor,	শেক্তর,	সেক্টর,	
byomkesh,	ব্যমকেষষ,	ব্যোমকেশ,	
heavy,	হিভি,	হেভি,	
teoner,	টেওনের,	টিওনার,	
dhangsantup,	ধ্ংসংস্পু,	ধ্বংসন্তুপ,	
mujuru,	মুজুরু,	মুজুরু,	
rashider,	রাশীদের,	রশিদের,	
dipon,	ডিপন,	দীপন,	
gabhaskaar,	গাভাসকার,	গাভাস্কার,	
chomski,	চমস্কি,	চমস্কি,	
brindabane,	বৃন্দাবানে,	বৃন্দাবনে,	
byaboharkarie,	ব্যবহরাকররি,	ব্যবহারকারীই,	
barrageke,	বারাগেকে,	ব্যারেজকে,	
qaferder,	কাফারদের,	কাফেরদের,	
rakkhanvag,	রক্ষণভভ,	রক্ষণভাগ,	
seniar,	সেনিয়ার,	সিনিয়র,	
saseza,	সাসেজা,	সসেজ,	
grontho,	গ্রন্থ,	গ্রন্থ,	
nogore,	নগরে,	নগরে,	
kuttake,	কুট্টাকে,	কুত্তাকে,	
ganakantha,	গণকন্থ,	গণকণ্ঠ,	
nirgamon,	নির্গামন,	নির্গমন,	
aalkaatra,	আলকাত্র,	আলকাতরা,	
mosjidtir,	মসজিদ্টির,	মসজিদটির,	
mehsus,	মেহসুস,	মেহসুস,	
venush,	ভেনুশ,	ভেনাস,	
domone,	ডমনে,	দমনে,	
chaaktir,	চাক্তির,	চাকতির,	
raiji,	রাইজি,	রাইজি,	
ronodeep,	রোনীদপ,	রণদীপ,	
encidablu,	এন্সিডাবল,	এনসিডাব্লু,	
batikromee,	বাতিকর্মী,	ব্যতিক্রমী,	
mirina,	মিরিনা,	মিরিনা,	
paroner,	প্যারোনের,	পারণের,	
krishibigyani,	কৃষিবিজ্ঞানী,	কৃষিবিজ্ঞানী,	
kanader,	কানাদের,	কণাদের,	
progresh,	প্রগ্রেশ,	প্রগ্রেস,	
swatantrata,	স্বতন্ত্রতা,	স্বতন্ত্রতা,	
pharanyeta,	ফর্যেেটা,	ফরম্যাট,	
saifai,	সাইফাই,	সাইফাই,	
thanvi,	থানভি,	থানভী,	
anutpadanshil,	অনুতপদ্শনীল,	অনুৎপাদনশীল,	
baarbadoj,	বার্বাজদ,	বার্বাডোজ,	
hughes,	হুঘেস,	হিউজেস,	
ekla,	একলা,	একলা,	
subader,	সুবাদের,	সুবাদে,	
hijritey,	হিজরিতে,	হিজরীতে,	
besirbhaagi,	বেশিরভাগী,	বেশিরভাগই,	
chokhwala,	চোখওলাল,	চোখওয়ালা,	
deefinishion,	ডিফিনিশন,	ডেফিনেশন,	
seqtara,	সেক্তারা,	সেক্টর,	
korkotkraantee,	কর্কটরান্তি,	কর্কটক্রান্তি,	
dalip,	দালিপ,	দালিপ,	
onurbar,	অনুর্বার,	অনুর্বর,	
ekjoge,	একযোগে,	একযোগে,	
transformaarer,	ট্রান্সফোর্মার,	ট্রান্সফরমারের,	
hert,	হার্ট,	হার্ট,	
taderek,	তাদেরকে,	তাদেরেক,	
dabarer,	দাবারের,	দাবারের,	
chargar,	চারগার,	চার্জার,	
laishensh,	লাইশেন্,	লাইসেন্স,	
welaqama,	ওয়েলামা,	ওয়েলকাম,	
quary,	কায়ারি,	কোয়েরি,	
shiropar,	শিরোপার,	শিরোপার,	
songkulan,	সংকুলান,	সংকুলান,	
akkelpure,	আক্কেলপুরে,	আক্কেলপুরে,	
asamonjasyopurno,	অসমাঞযসস্যপূর্ণ,	অসামঞ্জস্যপূর্ণ,	
hosbaleke,	হোসবালেকে,	হোসবালেকে,	
hillse,	হিলসে,	হিলসে,	
firozaa,	ফিরোজায়া,	ফিরোজা,	
ghatleo,	ঘাটলও,	ঘটলেও,	
upobasher,	উপবাশের,	উপবাসের,	
pakhtunistan,	পাকটুনিস্তান,	পাখতুনিস্তান,	
dwibidho,	দ্বিদিবোধ,	দ্বিবিধ,	
mirakela,	মিরাকেলা,	মিরাকেল,	
pariyech,	পরিয়েছ,	পরিয়েছ,	
ajuhat,	আজুহাত,	অজুহাত,	
mythological,	মিথোলিজোকাল,	মাইথলজিকাল,	
vittimul,	ভিট্টিমুল,	ভিত্তিমূল,	
vabook,	ভাবক,	ভাবুক,	
oxfordey,	অক্স্োর্ডে,	অক্সফোর্ডে,	
purohitder,	পুরোহিতদের,	পুরোহিতদের,	
protizogii,	প্রতিযোগী,	প্রতিযোগী,	
fimela,	ফিমেলা,	ফিমেল,	
parinati,	পরিনাটি,	পরিণতি,	
elakatir,	এলাকাটির,	এলাকাটির,	
bojhey,	বোঝে,	বোঝে,	
doobate,	দুবাতে,	ডুবাতে,	
uporitoler,	উপরিতলের,	উপরিতলের,	
sqalastiqa,	স্কললস্টিক,	স্কলাস্টিক,	
jins,	জিন্স,	জিন্স,	
vabaponno,	ভাবাপন্ন,	ভাবাপন্ন,	
prakalpagulor,	প্রলালপগুলোর,	প্রকল্পগুলোর,	
kutubuddinke,	কুটুবুদ্দিনকে,	কুতুবুদ্দিনকে,	
champa,	চাম্পা,	চাঁপা,	
nazranar,	নাজরানার,	নাজরানার,	
shahjapur,	শাহজাপুর,	শাহজাপুর,	
paripakey,	পারিপাকে,	পরিপাকে,	
hitokor,	হিতকর,	হিতকর,	
probolshoktio,	প্রবলক্ষিতও,	প্রবলশক্তিও,	
evaner,	ইভানের,	ইভানের,	
nothibhukta,	নথিভুক্ত,	নথিভুক্ত,	
muchi,	মুচি,	মুচি,	
ashamorthito,	অসামর্থিত,	অসমর্থিত,	
mohit,	মহিত,	মুহিত,	
dosha,	দোশা,	দোসা,	
whole,	ওয়েল,	হোল,	
sharthe,	শার্থে,	স্বার্থে,	
fulkapi,	ফুলকাপি,	ফুলকপি,	
bamni,	বামনি,	বামনী,	
slatgulor,	স্ল্যাটগুলোর,	স্ল্যাটগুলোর,	
temonbhabe,	তেমনভাবে,	তেমনভাবে,	
parikhar,	পরিখার,	পরিখার,	
arg,	আর্জ,	আর্গ,	
graambaashee,	গ্রামবাশী,	গ্রামবাসী,	
sausagee,	সৌসজি,	সসেজ,	
bijito,	বিজিত,	বিজিত,	
vobanipur,	ভবনাীপুর,	ভবানীপুর,	
upobashii,	উপবাশিই,	উপবাসী,	
thaanobhi,	থানভভি,	থানভী,	
laishensha,	লাইশেন্স,	লাইসেন্স,	
bolechile,	বলেছিলে,	বলেছিলে,	
addata,	আদ্দাটা,	আড্ডাটা,	
concerter,	কনস্টারের,	কানসাটের,	
byboshthar,	বিবিষ্ঠার,	ব্যাবস্থার,	
thailandsaho,	থাইলানদাসহ,	থাইল্যান্ডসহ,	
jonee,	জনি,	জনি,	
ingrezeeteo,	ইংরেজিতেও,	ইংরেজিতেও,	
dharmadasbabu,	ধর্মদাববাবু,	ধর্মদাসবাবু,	
siddharther,	সিদ্ধার্থের,	সিদ্ধার্থের,	
ganohotyake,	গণহত্যাকে,	গণহত্যাকে,	
soommita,	সুম্িতা,	সুমিতা,	
addabaj,	আদ্দবাজ,	আড্ডাবাজ,	
mesenjjar,	মেজেঞ্জার,	মেসেঞ্জার,	
aansareer,	আনসারীর,	আনসারীর,	
kobulennechha,	কবুলেন্ছেনা,	কবুলেন্নেছা,	
streegon,	স্ট্রীগোন,	স্ত্রীগণ,	
brail,	ব্রেইল,	ব্রেইল,	
sossar,	সোসার,	সকার,	
alpakichudin,	আল্পকিিদুনিন,	অল্পকিছুদিন,	
balabhadra,	বলবা্দর,	বলভদ্র,	
gyandas,	জ্ঞানদাস,	জ্ঞানদাস,	
dibet,	দিবেত,	ডিবেট,	
bhugol,	ভুগোল,	ভূগোল,	
probhura,	প্রভূরা,	প্রভুরা,	
laicenshe,	লেইসেন্স,	লাইসেন্স,	
drabyatah,	দ্রাব্যাতাহ,	দ্রব্যতঃ,	
taxikeo,	ট্যাক্সিকেও,	ট্যাক্সিকেও,	
kuhelika,	কুহেলিকা,	কুহেলিকা,	
transform,	ট্রান্সফোর্ম,	ট্রান্সফর্ম,	
soorsa,	সুর্সা,	সোর্স,	
shrabostee,	শ্রাবস্তি,	শ্রাবস্তী,	
utkhaat,	উৎকাত,	উত্খাত,	
baire,	বাইরে,	বাইরে,	
korimkey,	করিমকে,	করিমকে,	
machsoho,	মাচসহ,	মাছসহ,	
dorun,	দরুন,	দরুণ,	
difinisian,	ডিফিনিসিয়ান,	ডেফিনেশন,	
nederlande,	নেডির্যান্ডে,	নেদারল্যান্ডে,	
mmadhuri,	ম্মাধারী,	মাধুরী,	
mailkhanek,	মৈলখানেক,	মাইলখানেক,	
dajjha,	দাজঝা,	দাহ্য,	
naajii,	নাজিই,	নাত্সি,	
municipal,	মুনিকিপাল,	মিউনিসিপ্যাল,	
ekghore,	একঘরে,	একঘরে,	
samoshtigato,	সমস্থিগগত,	সমষ্টিগত,	
bhagnekeo,	ভাগনেকেও,	ভাগ্নেকেও,	
mardud,	মারদুদ,	মরদুদ,	
oswastikor,	অস্বাস্তকর,	অস্বস্তিকর,	
bishesyo,	বিশেষ্য,	বিশেষ্য,	
scoore,	স্করর,	স্কোর,	
deejeejer,	দীজীজের,	ডিজিজের,	
fising,	ফিসিং,	ফিসিং,	
treend,	ট্রিন্ড,	ট্রেন্ড,	
premo,	প্রেমো,	প্রিমো,	
romnar,	রোমনার,	রমনার,	
muradkey,	মুরাদকে,	মুরাদকে,	
songrahak,	সংগ্রহক,	সংগ্রাহক,	
aakaabar,	আকাবার,	আকাবার,	
zohns,	জোনস,	জন্স,	
chhutochhooti,	ছুটুছোটি,	ছুটোছুটি,	
elakaate,	এলাকাতে,	এলাকাতে,	
shommotir,	শম্মতির,	সম্মতির,	
suri,	সুরি,	সুরি,	
manohputa,	মানোপুতা,	মনঃপুত,	
pacchi,	পাচ্ছি,	পাচ্ছি,	
akhhunno,	আখুন্ন,	অক্ষুণ্ণ,	
chowdhuryke,	চুউধুরিকে,	চৌধুরীকে,	
horas,	হোরাস,	হোরাস,	
protizogiita,	প্রতিযোগিতায়,	প্রতিযোগীতা,	
taalaal,	তালাল,	তালাল,	
