rena,	রেনা,	রেনো,	
ghumachche,	ঘুমাচ্ছে,	ঘুমাচ্ছে,	
deliver,	ডেলিভার,	ডেলিভার,	
cinemapremider,	সিনেমাপ্রেমীদের,	সিনেমাপ্রেমীদের,	
bizito,	বিজিত,	বিজিত,	
nogore,	নগরে,	নগরে,	
humner,	হামনার,	হামনার,	
purohitra,	পুরোহিত্র,	পুরোহিতরা,	
primoo,	প্রাইমো,	প্রিমো,	
siropa,	সিরোপা,	শিরোপা,	
shtona,	শ্তনা,	স্টোন,	
ingrejra,	ইংরেজরা,	ইংরেজরা,	
kalenga,	কলেঙ্গা,	কালেঙ্গা,	
mosharroph,	মশারপর্ফ,	মশাররফ,	
korijachilen,	করিযাছিলেন,	করিযাছিলেন,	
sepha,	সেফা,	শেফ,	
ponera,	পনেরা,	পনের,	
dhalur,	ধলুর,	ঢালুর,	
birishiritey,	বিরিশিরিতে,	বিরিশিরিতে,	
kichudinpar,	কিছুদিনপর,	কিছুদিনপর,	
shajano,	শাজানো,	সাজানো,	
sima,	সিমা,	সীমা,	
miley,	মিলে,	মিলে,	
hoteltee,	হোটেলটি,	হোটেলটি,	
khuizza,	খুইজ্জা,	খুইজ্জা,	
bhalobaas,	ভালোবাস,	ভালোবাসা,	
narbur,	নারবুর,	নরবুর,	
bahati,	বাহাটি,	বাহাতি,	
graambaaseeo,	গ্রামবাসিও,	গ্রামবাসীও,	
zarniz,	জারনিজ,	জারনিজ,	
nojder,	নজদের,	নজদের,	
phiqsa,	ফিক্সা,	ফিক্স,	
jemy,	জেযামি,	জেমি,	
dito,	দিতো,	দিতো,	
probeshkari,	প্রবেশকারী,	প্রবেশকারী,	
mile,	মিলে,	মিলে,	
firoza,	ফিরোজা,	ফিরোজা,	
sethai,	সেথাই,	সেথাই,	
karaa,	কারা,	কারো,	
sahapathike,	সহপাঠিকে,	সহপাঠীকে,	
prashikkhane,	প্রশিক্ষণে,	প্রশিক্ষণে,	
argho,	অর্ঘ,	অর্ঘ্য,	
protisthan,	প্রতিষ্ঠান,	প্রতিষ্টান,	
bikargrosto,	বিকারগ্রস্ত,	বিকারগ্রস্ত,	
muhaiminer,	মুহাইমিনের,	মুহাইমিনের,	
bishshaasho,	বিশ্বাস,	বিশ্বাসও,	
akhhunno,	আখুন্ন,	অক্ষুণ্ণ,	
samaveshke,	সমাভেষকে,	সমাবেশকে,	
ghamta,	ঘামটা,	ঘোমটা,	
rudrasagar,	রুদ্রসাগরের,	রুদ্রসাগরের,	
dalip,	দালিপ,	দালিপ,	
bhiktara,	ভিক্তারা,	ভিক্টর,	
bedanta,	বেদান্ত,	বেদান্ত,	
fevarite,	ফেভারিতে,	ফেভারিট,	
nanilalke,	নানিলালকে,	ননীলালকে,	
khiladirao,	খিলাদিরাও,	খিলাড়িরাও,	
suparahiro,	সুপারহীরও,	সুপারহিরো,	
cheentaikaree,	চিন্তাইকারী,	ছিনতাইকারী,	
annorup,	আন্নরূপ,	অন্যরূপ,	
gronthoti,	গ্রন্থতি,	গ্রন্থটি,	
oikhan,	ঐখান,	ঐখান,	
dhandu,	ধন্দু,	ধন্দু,	
dupleks,	ডুপ্লেক্স,	ডুপ্লে,	
black,	ব্ল্যাক,	ব্ল্যাক,	
ghotleyo,	ঘটলেও,	ঘটলেও,	
tanu,	তানু,	তনু,	
gaandaas,	গান্দাস,	জ্ঞানদাস,	
ucchosito,	উচ্চসিত,	উচ্ছসিত,	
bhenkates,	ভেঙকাতেস,	ভেঙ্কটেশ,	
dormetori,	ডরমমটরি,	ডরমিটরি,	
folleni,	ফলেনি,	ফলেনি,	
dharavahiker,	ধারাভাহিকের,	ধারাবাহিকের,	
difinision,	ডিফিশনিন,	ডেফিনেশন,	
meloonborrone,	মেলুনবর্ণনে,	মেলবোর্নে,	
khelechen,	খেলেছেন,	খেলেছেন,	
paripakey,	পরিপাকে,	পরিপাকে,	
johor,	জহর,	জহর,	
mehsus,	মেহসুস,	মেহসুস,	
shabkam,	শাক্কাম,	শবকাম,	
monzeele,	মনজিলে,	মঞ্জিলে,	
elakaasoho,	এলাকাসহ,	এলাকাসহ,	
kachhakaachhi,	কাছাকাছি,	কাছাকাছি,	
nehle,	নেহলে,	নেহলে,	
grootha,	গ্রুথা,	গ্রোথ,	
fakhrul,	ফখরুল,	ফাখরুল,	
harja,	হার্জা,	হার্জ,	
chalochchitraeer,	চলচ্চিত্রীর,	চলচ্চিত্রের,	
milea,	মিলেয়া,	মাইলে,	
debdebier,	দেবদেবীরে,	দেবদেবীর,	
kottar,	কোট্তার,	কট্টর,	
votarer,	ভোটারের,	ভোটারের,	
heze,	হেজে,	হেজ,	
duryogamoyee,	দুর্যোগাময়ী,	দুর্যোগময়ী,	
wilderske,	উইল্ডার্সকে,	উইল্ডার্সকে,	
hariner,	হরিণের,	হরিণের,	
jaunotar,	যৌনতার,	যৌনতার,	
parjotaker,	পার্যতাকের,	পর্যটকের,	
chitlar,	চিতলার,	চিতলার,	
shunani,	শুনানি,	শুনানী,	
rakhtokkharoner,	রাখতক্ষণারের,	রক্তক্ষরণের,	
andamana,	আন্দামানা,	আন্দামান,	
varma,	ভারমা,	ভার্মা,	
azin,	আজিন,	আজিন,	
sanghatakder,	সংহতাকাদের,	সংঘটকদের,	
pisach,	পিসাচ,	পিশাচ,	
harasta,	হারস্ত,	হারাস্তা,	
chalachchitrei,	চলচ্চিত্রেই,	চলচ্চিত্রেই,	
nishad,	নিষাদ,	নিষাদ,	
songbadmadhyomer,	সংবাদমাধ্যমের,	সংবাদমাধ্যমের,	
sooya,	সুয়া,	সোয়া,	
somosto,	সমষ্ত,	সমস্ত,	
sobaiderke,	সোবাইদেরকে,	সবাইদেরকে,	
blogarra,	ব্লগাররা,	ব্লগাররা,	
eoki,	ইওকি,	এওকি,	
nadnadeer,	নদন্দাদির,	নদনদীর,	
mitrota,	মিত্রটা,	মিত্রতা,	
koordira,	কোরদিরা,	কুর্দিরা,	
hurricane,	হ্যুরিকানে,	হ্যারিকেন,	
shibraj,	শিবরাজ,	শিবরাজ,	
bibecchyo,	বিবেচ্ছ,	বিবেচ্য,	
ganonanatto,	গণনানন্ত,	গণনাট্য,	
nationalser,	নেটননেলসের,	ন্যাশনালসের,	
nisader,	নিসাদের,	নিষাদের,	
akreetokarjo,	আক্রিতকার্য,	অকৃতকার্য,	
dhyanastha,	ধ্যানস্থ,	ধ্যানস্থ,	
mardud,	মারদুদ,	মরদুদ,	
dep,	ডেপ,	ডেপ,	
daaoon,	দাওনন,	ডাউন,	
dinifitian,	দিনিফিইিয়ান,	ডেফিনেশন,	
vagni,	ভাগনি,	ভগ্নী,	
nabayug,	নবায়ুগ,	নবযুগ,	
chirkut,	চিরকুট,	চিরকুট,	
soinyora,	সৈন্যরা,	সৈন্যরা,	
madhabi,	মাধবী,	মাধবী,	
sipa,	সিপা,	শিপ,	
parkasa,	পারকাশা,	পার্কস,	
bisnuke,	বিস্ুুকে,	বিষ্ণুকে,	
lutherana,	লুথেরানা,	লুথেরান,	
jothartho,	যথার্থ,	যথার্থ,	
jhonkar,	ঝোঁকার,	ঝঙ্কার,	
byathapather,	ব্যথাপথের,	ব্যথাপথের,	
elakaatite,	এলাকাটিতে,	এলাকাটিকে,	
ghatla,	ঘাটলা,	ঘটল,	
khaschandpur,	খাশচাঁদপুর,	খাসচাঁদপুর,	
sursur,	সুরসুর,	সুরসুর,	
suiti,	সুইটি,	সুইটি,	
karim,	কারিম,	করিম,	
akkhunno,	আক্ষুন্ন,	অক্ষুণ্ণ,	
taposgoner,	তাপসংবনের,	তাপসগণের,	
booponer,	বুপনের,	বপনের,	
khamotagulor,	ক্ষমতাগুলোর,	ক্ষমতাগুলোর,	
favorite,	ফ্যাভরিতে,	ফেভারিট,	
hetimganje,	হেটিমগঞ্জে,	হেতিমগঞ্জে,	
as,	এসএস,	অস,	
paste,	পাস্টে,	পেষ্ট,	
soorsa,	সুরসা,	সোর্স,	
poriskoron,	পরিস্করণ,	পরিষ্করণ,	
streegon,	স্ত্রীগণ,	স্ত্রীগণ,	
internship,	ইন্টারনেপি,	ইন্টার্নশিপ,	
rakhete,	রাখেতে,	রাখেতে,	
poketchorder,	পকেটচোর্ডের,	পকেটচরদের,	
militaryr,	মিলিটারির,	মিলিটারির,	
machkabar,	মাককাবার,	মাচকাবার,	
segular,	সেগুলার,	সেগুলোর,	
angkita,	আংকিটা,	অঙ্কিতা,	
dankaan,	ডানকান,	ডানকান,	
templet,	টেম্পলেট,	টেম্পলেট,	
artilary,	আর্টিলারী,	আর্টিলারি,	
ongshogrohoner,	অংশগ্রহণের,	অংশগ্রহনের,	
chopol,	চপল,	চপল,	
iksaprishana,	এক্সপ্রীসন,	এক্সপ্রেশন,	
chhutir,	ছুটির,	ছুটির,	
pothnirdeshona,	পথ্নীর্দেশনা,	পথনির্দেশনা,	
ganokantha,	গণকোঁঠা,	গণকণ্ঠ,	
senabahineeow,	সেনাবাহীনীয়,	সেনাবাহিনীও,	
karmosansthan,	কর্মসনস্থান,	কর্মসংস্থান,	
jhamala,	ঝামালা,	ঝামালা,	
toroonra,	তরুনরা,	তরুণরা,	
dishani,	দিশানী,	দিশানি,	
nothiboddho,	নথীবদ্ধ,	নথিবদ্ধ,	
carbus,	কারবাস,	কারবাস,	
lotharan,	লোথারান,	লুথেরান,	
tukroke,	টুকররকে,	টুকরোকে,	
hajeerhatt,	হাজিরহাট,	হাজিরহাট,	
sikkhagata,	শিক্ষাগত,	শিক্ষাগত,	
orthoneeti,	অর্থনীতি,	অর্থনীতির,	
machgulo,	মাছগুলো,	মাছগুলো,	
moresbai,	মোরসসেবাই,	মোরেসবাই,	
shrabasti,	শ্রাবস্তি,	শ্রাবস্তী,	
atmira,	আত্মিরা,	আত্মীরা,	
chaiten,	চাইতেন,	চাইতেন,	
laiseensee,	লাইসইন্স,	লাইসেন্স,	
dibet,	দিবেত,	ডিবেট,	
koreempoor,	করিমপুর,	করিমপুর,	
bishasey,	বিষাসে,	বিশ্বাসে,	
sawam,	সাওয়াম,	সাওম,	
gardeen,	গার্ডিন,	গার্ডেন,	
maailey,	মাইলে,	মাইলে,	
byan,	বিয়ান,	ব্যাং,	
stander,	স্ট্যাণ্ডের,	স্ট্যাণ্ডের,	
krimlin,	ক্রিমলিন,	ক্রিমলিন,	
fokskon,	ফক্সকন,	ফক্সকন,	
jhijhi,	ঝিঝি,	ঝিঝি,	
manab,	মানব,	মানব,	
shahanara,	শাহানারা,	শাহানারা,	
bhenasha,	ভেনাশা,	ভেনাস,	
vushi,	ভুশি,	ভুষি,	
sumitrar,	সুমিত্রার,	সুমিত্রার,	
graambasio,	গ্রামবাসিও,	গ্রামবাসীও,	
drissotir,	দৃশ্যটির,	দৃশ্যটির,	
zaire,	জাইরে,	জাইরে,	
tomader,	তোমাদের,	তোমাদের,	
daktikit,	ডাক্তিকিট,	ডাকটিকিট,	
uddharkarmirai,	উদ্ধারকার্মীরাই,	উদ্ধারকর্মীরাই,	
modhumotii,	মধুমতিই,	মধুমতী,	
procharona,	প্রচারণা,	প্রচারণা,	
ishter,	ইস্টার,	ইস্টের,	
daaun,	ডাউন,	ডাউন,	
parshwer,	পার্শ্বের,	পার্শ্বের,	
azijer,	আজিজের,	আজিজের,	
shansthagulo,	শান্তাগুলো,	সংস্থাগুলো,	
borkhastokritora,	বরখাস্তকৃতরা,	বরখাস্তকৃতরা,	
transapharma,	ট্রান্সফোর্মা,	ট্রান্সফর্ম,	
ghatleo,	ঘাটলেও,	ঘটলেও,	
cholchhe,	চলছে,	চলছে,	
vesselli,	ভেসেলি,	ভেসেলি,	
fitarsaho,	ফিতারসহ,	ফিতরসহ,	
larson,	লারসন,	লারসন,	
durgatsob,	দুর্গাতসমব,	দুর্গোৎসব,	
addabaj,	আদ্দাবাজ,	আড্ডাবাজ,	
bharatey,	ভারাতে,	ভারতে,	
firozapure,	ফিরোজাপুরে,	ফিরোজাপুরে,	
nirikho,	নিরিখো,	নিরিখ,	
agora,	আগোরা,	আগোরা,	
durlabhatwang,	দুর্লভত্যবং,	দুর্লভত্বং,	
monohputo,	মনোপপুত,	মনঃপুত,	
laishenshim,	লাইশেনশিম,	লাইসেন্সিং,	
chikitsar,	চিকিতসার,	চিকিত্সার,	
batikromee,	বাটিক্রমী,	ব্যতিক্রমী,	
plator,	প্ল্যাটর,	প্লেটোর,	
moushum,	মৌশুম,	মৌসুম,	
jotharthovabey,	যথার্থভাবে,	যথার্থভাবে,	
talgach,	তালগাছ,	তালগাছ,	
panchasjan,	পঞ্চাসজন,	পঞ্চাশজন,	
shudhui,	শুধুই,	শুধুই,	
mase,	মাস,	মাসে,	
dadar,	দাদার,	দাদার,	
bishhnu,	বিষ্ণু,	বিষ্ণু,	
dokaangoolote,	দোকানগুলোতে,	দোকানগুলোতে,	
carlo,	কারলো,	কার্লো,	
rakkhanbhag,	রক্ষণভঙ্গ,	রক্ষণভাগ,	
bouddho,	বৌদ্ধ,	বৌদ্ধ,	
bijepi,	বিজেপি,	বিজেপি,	
batikromi,	বাটিক্রমী,	ব্যতিক্রমী,	
syfy,	সিফি,	সাইফাই,	
shoori,	শূরী,	সুরি,	
shudhir,	শুধির,	শুধীর,	
naagaalyand,	নওগাল্যান্দ,	নাগাল্যান্ড,	
karecho,	করেছো,	করেছো,	
ghoshito,	ঘোষিত,	ঘোষিত,	
gagee,	গাগী,	গেজ,	
esasiyetasa,	এসাসিয়েটা,	এসোসিয়েটস,	
shukraanoo,	শুকরানৌও,	শুক্রানু,	
modelkey,	মডেলকে,	মডেলকে,	
vedanta,	ভেদান্ত,	বেদান্ত,	
duhsthanostho,	দুঃস্থানস্থ,	দুঃস্থানস্থ,	
poddhotiteyi,	পদ্ধটিতেই,	পদ্ধতিতেই,	
madhuree,	মধুরি,	মাধুরী,	
raunanganey,	রানাঙ্গনে,	রণাঙ্গনে,	
commissionvogider,	কমিশনভিউজনদের,	কমিশনভোগীদের,	
licencer,	লাইসেন্সের,	লাইসেন্সের,	
basakey,	বাসাকে,	বাসাকে,	
taroni,	তারনী,	তরণী,	
sikha,	সিখা,	শিখ,	
bhabanipur,	ভবানীপুর,	ভবানীপুর,	
seebiai,	সেবিয়াই,	সিবিআই,	
mooney,	মুনে,	মুনে,	
ekshoti,	একশোটি,	একশোটি,	
motkey,	মটকে,	মতকে,	
ship,	শিপ,	শিপ,	
mitrer,	মিত্রের,	মিত্রের,	
lajik,	লাজিক,	লজিক,	
firalem,	ফিরালেম,	ফিরালেম,	
oyebjin,	ওয়েবজিন,	ওয়েবজিন,	
renoo,	রেনুউ,	রেনো,	
kuhelika,	কুহেলিকা,	কুহেলিকা,	
patochitra,	পাটোচিত্র,	পটচিত্র,	
ancholgoolote,	আঁচলগুলোতে,	অঞ্চলগুলোতে,	
faltu,	ফাল্টু,	ফালতু,	
ranangane,	রনাঙ্গনে,	রণাঙ্গনে,	
osthisondhi,	অস্থিসন্ধী,	অস্থিসন্ধি,	
byaboharkari,	ব্যবহারকারী,	ব্যবহারকারী,	
suisharke,	শুইশারকে,	সুইশারকে,	
doorotaumo,	দূরতামো,	দূরতম,	
notey,	নোটে,	নোটে,	
japanostho,	যাপানস্থ,	জাপানস্থ,	
jubokti,	যুবক্তি,	যুবকটি,	
bishwasho,	বিশ্বাসও,	বিশ্বাসও,	
srivatsalakshanang,	শ্রীবৎসালক্ষতং,	শ্রীবৎসলক্ষণং,	
atorkitey,	আটরটিকে,	অতর্কিতে,	
teemothi,	তেমোথি,	টিমোথি,	
obosorer,	অবসরের,	অবসরের,	
confliqt,	কনফ্লিকট,	কনফ্লিক্ট,	
rajshri,	রাজশ্রী,	রাজশ্রী,	
baugey,	বাগে,	বাগে,	
anchalei,	আঁচালেই,	অঞ্চলেই,	
zerusalem,	জেরুসালেম,	জেরুসালেম,	
nirgomon,	নির্গমন,	নির্গমন,	
sharoker,	শ্রকের,	স্মারকের,	
jalbe,	জলবে,	জ্বলবে,	
daaktikit,	ডাকটিকিট,	ডাকটিকিট,	
collaborators,	কলাবরেটর্স,	কলাবরেটরস,	
baganoto,	বাগানত,	বাগানত,	
charban,	চারবান,	চর্বন,	
shilbar,	শিলবার,	সিলভার,	
zozyota,	যজ্যতা,	যোজ্যতা,	
headquartus,	হেডকার্টাউস,	হেডকোয়ার্টাস,	
kuronir,	কুরনীর,	কুরনীর,	
halding,	হ্যালিং,	হোল্ডিং,	
hydrological,	হাইড্রোলজিক্যাল,	হাইড্রোলজিক্যাল,	
hojurer,	হজুরের,	হজুরের,	
ostheesandhi,	অস্থিসন্ধি,	অস্থিসন্ধি,	
aatmobishwasi,	আত্মবিশ্বাসী,	আত্মবিশ্বাসী,	
rohosyoti,	রহস্যটি,	রহস্যটি,	
ched,	চেদ,	ছেদ,	
arthonitir,	অর্থনীতির,	অর্থনীতির,	
ivil,	আইভিল,	ইভিল,	
jahara,	জাহারা,	যাহরা,	
orthanitike,	অর্থানিতিকে,	অর্থনীতিকে,	
gujob,	গুজব,	গুজব,	
rupert,	রুপার্ট,	রুপার্ট,	
chhedon,	ছেদন,	ছেদন,	
makhno,	মাকনো,	মাখনো,	
rohasyati,	রোহস্যটি,	রহস্যটি,	
mosjidtir,	মসজিদটির,	মসজিদটির,	
dholeshwari,	ধোলেশ্বরী,	ধলেশ্বরী,	
ispredsiit,	ইস্প্রেডশিট,	স্প্রেডশীট,	
ummool,	উম্মুল,	উম্মুল,	
bornanukrome,	বর্ণানুক্রমে,	বর্নানুক্রমে,	
asantosh,	অসন্তোষ,	অসন্তোষ,	
mesenjjar,	মেসেনজাজার,	মেসেঞ্জার,	
indrakanan,	ইন্দ্রকান,	ইন্দ্রকানন,	
srichoitonnodeb,	শ্রীচৈতন্বদেব,	শ্রীচৈতন্যদেব,	
khargosher,	খার্ঘশের,	খরগোসের,	
shikkhadikkhay,	শিক্ষাদিক্ষায়,	শিক্ষাদিক্ষায়,	
sotorkobhabey,	সতর্কভাবে,	সতর্কভাবে,	
khonjena,	খোঁজেনা,	খোঁজেনা,	
laaisensh,	লাইসেন্স,	লাইসেন্স,	
shasankorta,	শাসনকর্তা,	শাসনকর্তা,	
semai,	সেমাই,	সেমাই,	
yuroo,	য়ুরো,	ইউরো,	
tottorat,	তত্ত্বরত,	তওরাত,	
keyu,	কেয়ু,	কেউ,	
guzon,	গুজন,	গুজব,	
hariken,	হরিকেন,	হ্যারিকেন,	
ganoporibahoner,	গণপরিবহণের,	গণপরিবহনের,	
babona,	বাবোনা,	বাবনা,	
foreks,	ফরেক্স,	ফরেক্স,	
deputee,	ডিপুটে,	ডেপুটি,	
mausumeo,	মৌসুমেও,	মৌসুমেও,	
armeeniyana,	আর্মিনীয়ান,	আর্মেনিয়ান,	
nuhas,	নুহাস,	নুহাশ,	
rajtantro,	রাজতন্ত্র,	রাজতন্ত্র,	
francine,	ফ্রান্সইন,	ফ্রান্সিন,	
nariderke,	নারীদেরকে,	নারিদেরকে,	
antercticker,	অ্যান্টারকেটিকের,	অ্যান্টার্কটিকের,	
nodimatrik,	নদীমার্তিক,	নদীমাতৃক,	
logic,	লুগিক,	লজিক,	
janamukhi,	জানামুখী,	জনমুখী,	
pharmesigulote,	ফার্মেসিগুলোতে,	ফার্মেসীগুলোতে,	
bajpa,	বজতা,	বাজপা,	
terlarang,	টার্লারাং,	তেরলারং,	
chalchhe,	চালছে,	চলছে,	
chhadite,	ছাদিতে,	ছড়িতে,	
pachattar,	পাচাত্টর,	পাচাত্তার,	
vetrillocuism,	ভেট্রিলোক্িমিজ,	ভেট্রিলোকুইজম,	
fastara,	ফস্তারা,	ফস্টার,	
naabyota,	নব্যটা,	নাব্যতা,	
chamski,	চ্যাম্সকি,	চমস্কি,	
rakshanbhag,	রক্ষণভাগ,	রক্ষণভাগ,	
saralya,	সালাল্যা,	সারল্য,	
bhagno,	ভাগনো,	ভগ্ন,	
krishibigyani,	কৃষিবিজ্ঞানী,	কৃষিবিজ্ঞানী,	
bhimsenkei,	ভীমসেনকেই,	ভীমসেনকেই,	
cheef,	চিফ,	শেফ,	
makong,	মাকং,	মেকং,	
shasyadi,	শাস্যাদি,	শস্যাদি,	
rijoor,	রিজোর,	রিজুর,	
ameettrakkhor,	অমিত্বাক্ষর,	অমিত্রাক্ষর,	
dantahin,	দন্তাহীন,	দন্তহীন,	
chinto,	চিন্ত,	চিনতো,	
ashankai,	আশঙ্কাই,	আশঙ্কাই,	
alraji,	আলরাজি,	আলরাজী,	
tigmanshu,	তিগমানশু,	তিগ্মাংশু,	
niemond,	নিম্ম্ড,	নিমন্ড,	
bishesyo,	বিশেষ্য,	বিশেষ্য,	
saurce,	সার্স,	সোর্স,	
tep,	টেপ,	ট্যাপ,	
sangkulaan,	সংকুলন,	সংকুলান,	
nepchooner,	নেপচুনের,	নেপচুনের,	
oitijjo,	ঐতিহ্য,	ঐতিহ্য,	
with,	উইথ,	ভিত,	
qanasarabheshana,	কননাসেশরভষণ,	কনসারভেশন,	
nartana,	নারানা,	নর্টন,	
sexperter,	সেক্সপার্টার,	সেক্সপার্টের,	
bike,	বিকে,	বাইক,	
shhashtra,	শাষ্ট্র,	শাস্ত্র,	
gitikobita,	গীতিকবিটা,	গীতিকবিতা,	
nutoner,	নিউটনের,	নূতনের,	
domone,	ডোমোন,	দমনে,	
hepatitis,	হেপাটাইটিস,	হেপাটাইটিস,	
dufresne,	ডাফ্রেন,	ডুফরেস্ন,	
parkin,	পারকিন,	পার্কিং,	
kekru,	কেকরু,	কেকরু,	
phutanta,	ফুটান্ট,	ফুটন্ত,	
prajanankal,	প্রজাননকাল,	প্রজননকাল,	
rakim,	রাকিম,	রাকিম,	
habshi,	হাবশি,	হাবশী,	
edic,	এডিক,	এডিক,	
bashoborty,	বাশবর্তী,	বশবর্তী,	
amburi,	অম্বুরি,	আম্বুরি,	
dhangsantup,	ধ্বংসন্তূপ,	ধ্বংসন্তুপ,	
bhoolapuka,	ভৌলতুকা,	ভোলাপুক,	
shubhag,	শুভাগ,	শুভাগ,	
byabaharkariderke,	ব্যবহারকারীদেরকে,	ব্যবহারকারীদেরকে,	
kadakhonchar,	কাদাখোঁচার,	কাদাখোঁচার,	
sarollo,	সারললো,	সারল্য,	
kanasarabhesana,	কননাসেভাসন,	কনসারভেশন,	
ponthaar,	পন্থার,	পন্থার,	
bijito,	বিজিত,	বিজিত,	
dada,	দাদা,	দাদা,	
hoil,	হইল,	হইল,	
mekon,	মেকন,	মেকং,	
tuleche,	তুলেছে,	তুলেছে,	
dakteekiter,	ডাক্তিকিটের,	ডাকটিকিটের,	
zeland,	জেলান্দ,	জিল্যান্ড,	
fake,	ফাকে,	ফাকে,	
elgoridom,	এলগোরিদোম,	এলগরিদম,	
deool,	দেওল,	দেউল,	
laiseensim,	লাইসননিজম,	লাইসেন্সিং,	
sazanor,	সাজানোর,	সাজানোর,	
sambhabonao,	সম্ভাবনাও,	সম্ভবনাও,	
prakalpatike,	প্রকল্পতিকে,	প্রকল্পটিকে,	
asthishondhi,	আস্থিশন্ধী,	অস্থিসন্ধি,	
nirmol,	নির্মল,	নির্মল,	
rajtontro,	রাজতন্ত্র,	রাজতন্ত্র,	
alumni,	আলুমনি,	অ্যালমনি,	
chanoo,	চানু,	চানু,	
aasar,	আসার,	আসর,	
plato,	প্ল্যাটো,	প্লেটো,	
ronodeep,	রনদাপ,	রণদীপ,	
kharar,	খারার,	খরার,	
saarbharti,	সারভার্তি,	সার্ভারটি,	
vins,	ভিন্স,	ভিন্স,	
shchalastic,	শ্যালাস্টিক,	স্কলাস্টিক,	
definition,	ডিফিশনশন,	ডেফিনেশন,	
saainyo,	সাইন্য,	সৈন্য,	
daltyagi,	দল্তগী,	দলত্যাগী,	
chaudhurio,	চৌধুরিও,	চৌধুরীও,	
mesenjarer,	মেসেনজারের,	মেসেঞ্জারের,	
gaujano,	গৌজানো,	গজানো,	
uqeliptas,	উকেলিপ্তাস,	ইউক্যালিপ্টাস,	
obharbhiu,	অভারভু,	ওভারভিউ,	
peri,	পেরি,	পেরি,	
soomitrar,	সুমিত্রার,	সুমিত্রার,	
balatkar,	বালাটকর,	বলাৎকার,	
ganosochetonota,	গণসচেতনাটা,	গণসচেতনতা,	
joubankal,	যৌবনকাল,	যৌবনকাল,	
dumaa,	দুমা,	দুমা,	
bairey,	বাইরে,	বাইরে,	
dhauto,	ধাতো,	ধৌত,	
jathartho,	যথার্থ,	যথার্থ,	
mexicoteo,	মেক্সিকেটেও,	মেক্সিকোতেও,	
fishing,	ফিশিং,	ফিসিং,	
edaningkale,	এডানিংকালে,	ইদানীংকালে,	
ghomtaa,	ঘোমটা,	ঘোমটা,	
boudhher,	বৌধের,	বৌদ্ধের,	
palestine,	প্যালেস্টাইন,	প্যালেস্টাইনে,	
pranidero,	প্রাণীদেরও,	প্রানীদেরও,	
greenald,	গ্রিনাল্ড,	গ্রিনল্ড,	
uzobekeestaan,	উজবেকিস্তান,	উজবেকিস্তান,	
chikitsanirbhar,	চিকিতসাহির্ভর,	চিকিৎসানির্ভর,	
bapio,	বাপিও,	বাপিও,	
lobbytey,	লবিটে,	লবিতে,	
tukrowti,	টুকরোযুতি,	টুকরোটি,	
nariderke,	নারীদেরকে,	নারীদেরকে,	
bharpur,	ভারপুর,	ভরপুর,	
musolmanera,	মুসলমানেরা,	মুসলমানেরা,	
raia,	রাইয়া,	রায়,	
qaro,	কারো,	কারো,	
vimsen,	ভিমসেন,	ভীমসেন,	
madhobi,	মাধবী,	মাধবী,	
bayii,	বায়ি,	বাঈ,	
fibergulote,	ফাইবারগুলোতে,	ফাইবারগুলোতে,	
kheshar,	খেশার,	খেশার,	
udbhaboney,	উদ্ভাবনে,	উদ্ভাবনে,	
krisenta,	ক্রিসেন্ট,	ক্রিসেন্ট,	
kul,	কুল,	কুল,	
canservatian,	ক্যানারভেটিয়ান,	কনসারভেশন,	
dharabahikotitey,	ধারাবাহিকতিতে,	ধারাবাহিকটিতে,	
somonwitobhabey,	সমন্নিতভাবে,	সমন্বিতভাবে,	
debate,	দেবাতে,	ডিবেট,	
zakharovar,	যাখারোভার,	জাখারোভার,	
catholicbad,	ক্যাথলিবাড,	ক্যাথলিকবাদ,	
pratijogira,	প্রতিযোগীরা,	প্রতিযোগীরা,	
bhardwaj,	ভাদ্বজাজ,	ভরদ্বাজ,	
prasadhoner,	প্রাসধধনের,	প্রসাধনের,	
noiteek,	নৈতিক,	নৈতিক,	
militarite,	মিলিটারিতে,	মিলিটারিতে,	
phaltu,	ফাল্টু,	ফালতু,	
grontho,	গ্রন্থ,	গ্রন্থ,	
nili,	নীলী,	নিলি,	
torabganj,	তোরবগঞ্জ,	তোরাবগঞ্জ,	
chhintayikari,	ছিন্তায়কারী,	ছিনতাইকারী,	
grambaashi,	গ্রামবাশী,	গ্রামবাসী,	
grahoksebai,	গ্রাহকসেবাই,	গ্রাহকসেবায়,	
chenza,	চেনজা,	চেঞ্জ,	
bonbhumi,	বনভুমি,	বনভূমি,	
jaaygata,	জায়গাটা,	জায়গাটা,	
naubom,	নওমম,	নবম,	
difinisian,	ডিফিনিসিয়ান,	ডেফিনেশন,	
kaalaam,	কালাম,	কালাম,	
soommo,	সুমমো,	সুমো,	
graambaasheeo,	গ্রামবাশীও,	গ্রামবাসীও,	
badhamuktovabe,	বাধামুতকাববে,	বাধামুক্তভাবে,	
bhabotarini,	ভাবতীরিণী,	ভবতারিণী,	
chalochchitrogulor,	চালচচিত্রগুলোর,	চলচ্চিত্রগুলোর,	
bhebechili,	ভেবেছিলি,	ভেবেছিলি,	
fatkabazare,	ফাতকাবাজারে,	ফাটকাবাজারে,	
meropenemer,	মেরোপেনেমের,	মেরোপেনেমের,	
shekarmani,	শেকরমানী,	শেকরমানি,	
