pragreesa,	প্রোগ্রীসা,	প্রগ্রেস,	
kanar,	কানার,	কণার,	
mastarsa,	মাস্তারস,	মাস্টার্স,	
bhandar,	ভাণ্ডার,	ভাণ্ডার,	
foks,	ফকস,	ফক্স,	
pravura,	প্রভুরা,	প্রভুরা,	
sooya,	সুয়া,	সোয়া,	
rojapalaner,	রোজাপালানের,	রোজাপালনের,	
biswashi,	বিশ্বশী,	বিশ্বাসই,	
pujito,	পুজিত,	পুজিত,	
pack,	পাক,	প্ল্যাক,	
farhetin,	ফরহেতিন,	ফারহেতিন,	
saoum,	সাওয়াম,	সাওম,	
akhando,	অখাঁদ,	অখন্ড,	
dipke,	ডিপকে,	দ্বীপকে,	
licencer,	লাইসেন্সের,	লাইসেন্সের,	
sainyader,	সান্যাদের,	সৈন্যদের,	
milea,	মিলেয়া,	মাইলে,	
murali,	মুরালি,	মুরলী,	
matrirup,	মাতৃরূপ,	মাতৃরূপ,	
rahee,	রহি,	রাহি,	
bhyaatikaner,	ভ্যাটিকানের,	ভ্যাটিকানের,	
bhromonkaale,	ভ্রমণকালে,	ভ্রমণকালে,	
saom,	সামম,	সাওম,	
ansareer,	আনসারীর,	আনসারীর,	
station,	স্টেশন,	ষ্টেশন,	
kanthar,	কাঁথার,	কাঁথার,	
inafarameshana,	ইনফফরমেশন,	ইনফরমেশন,	
chhuteete,	ছুটিতে,	ছুটিতে,	
armashtram,	আর্মশ্ট্রম,	আর্মস্ট্রং,	
orrgho,	অর্ঘ,	অর্ঘ্য,	
graambasi,	গ্রামবাসী,	গ্রামবাসী,	
augustine,	আগাস্তিন,	অগাস্টিন,	
change,	চাঙ্গে,	চেঞ্জ,	
vejjanno,	বেজ্ঞান্য,	ভেজানো,	
agaldar,	আগলদার,	আগলদার,	
bohorompurer,	বহরমপুরের,	বহরমপুরের,	
zonsa,	জোনসা,	জোন্স,	
songkolonti,	সংকলনটি,	সংকলনটি,	
marodeho,	মারোহেহ,	মরদেহ,	
sudrishya,	সুদৃশ্য,	সুদৃশ্য,	
hindutirtha,	হিন্দুতির্থ,	হিন্দুতীর্থ,	
dristiheen,	দৃহ্টিহীন,	দৃষ্টিহীন,	
cheekitsar,	চিকিৎসার,	চিকিত্সার,	
mulyabriddhikale,	মূল্যবৃদ্ধিকলকে,	মূল্যবৃদ্ধিকালে,	
cholchhee,	চলছি,	চলছে,	
bisheshyo,	বিশেষ্য,	বিশেষ্য,	
durgotsab,	দুর্গোৎসব,	দুর্গোৎসব,	
bishesyo,	বিশেষ্য,	বিশেষ্য,	
registaner,	রেজিস্টানের,	রেগিস্তানের,	
pluck,	প্লুক,	প্ল্যাক,	
ronodeep,	রোনীদ,	রণদীপ,	
ashanka,	আশঙ্কা,	আশংকা,	
basaake,	বাসাকে,	বাসাকে,	
osthisondhi,	অস্থিসন্ধি,	অস্থিসন্ধি,	
bhaisaho,	ভাইসহ,	ভাইসহ,	
uddharkarmirai,	উদ্ধারকর্মীরাই,	উদ্ধারকর্মীরাই,	
drissotir,	দৃশ্টটির,	দৃশ্যটির,	
nutoner,	নুটনের,	নূতনের,	
nibirbhabe,	নিবীর্ভাবে,	নিবিরভাবে,	
andamana,	আন্দমমানা,	আন্দামান,	
tricksguli,	ট্রিকসগুলি,	ট্রিকসগুলি,	
bishshasho,	বিশ্বাস,	বিশ্বাসও,	
khudhartara,	ক্ষুধার্তরা,	ক্ষুধার্তরা,	
byomkes,	ব্যামকেস,	ব্যোমকেশ,	
kk,	কেকেক,	কেকে,	
chhatrodiger,	ছাত্রদিগের,	ছাত্রদিগের,	
hights,	হাইটস,	হাইটস,	
cooda,	কুডা,	কোডা,	
simantarkkhibahinir,	সীমান্তরকববিহীনার,	সীমান্তরক্ষীবাহিনীর,	
panchashjan,	পঞ্চশশজন,	পঞ্চাশজন,	
unchuporjayer,	উঁচুপর্যায়ের,	উঁচুপর্যায়ের,	
purborekorde,	পূর্বরকেরদে,	পূর্বরেকর্ডে,	
suparichito,	সুপারিচিত,	সুপরিচিত,	
gabhaskaar,	গাভাসকার,	গাভাস্কার,	
diibug,	দিবুগে,	ডিবাগ,	
borlen,	বোরলেন,	বরলেন,	
minilosar,	মিনিলোসার,	মিনিলোসার,	
seguloi,	সেগুলোই,	সেগুলোই,	
huka,	হুকা,	হুক,	
hoteltite,	হোটেলটিতে,	হোটেলটিতে,	
toki,	টকি,	তকি,	
yatharthabhabe,	যঠথ্রথভাবে,	যথার্থভাবে,	
akatwa,	আকত্ব,	একাত্ব,	
faase,	ফেস,	ফাঁসে,	
paner,	পানের,	পানের,	
bulano,	বুলানো,	বুলান,	
wrighter,	ওরঘার,	রাইটের,	
fooloo,	ফুলু,	পোলো,	
cantan,	ক্যান্টান,	ক্যান্টন,	
shasankarta,	শাসনকর্তা,	শাসনকর্তা,	
bodna,	বোদনা,	বদনা,	
bodhirta,	বোধিরটা,	বধিরতা,	
sqalarashipa,	স্কললারশিপ,	স্কলারশিপ,	
samley,	সামলি,	সামলে,	
stoonahenja,	স্তফেনুঞ্জ,	স্টোনহেঞ্জ,	
jamjomat,	জামজোমাত,	জমজমাট,	
chapal,	চাপাল,	চপল,	
mahasava,	মহাসভ,	মহাসভা,	
saria,	সারিয়া,	সরিয়া,	
europia,	ইউরোপিয়া,	ইউরোপিয়া,	
koreempoor,	করিমপুর,	করিমপুর,	
nariderke,	নারীদেরকে,	নারীদেরকে,	
kuronir,	কূরণীর,	কুরনীর,	
gemske,	গেমসকে,	জেমসকে,	
podarthobidder,	পদার্থবিদ্যের,	পদার্থবিদদের,	
taunasipa,	তৌনসীপা,	টাউনশিপ,	
meghachchanno,	মেঘাচ্ছন্ন,	মেঘাচ্ছন্ন,	
karir,	কারির,	কারীর,	
meloonborroner,	মেলোবনার্নর,	মেলবোর্নের,	
laicenshe,	লইইেন্সে,	লাইসেন্স,	
uponishad,	উপনিষদ,	উপনিষদ,	
amarika,	আমারিকা,	আমেরিকা,	
obdi,	ওব্দি,	অব্দি,	
chalochchitraeeo,	চালচ্ছিত্রাও,	চলচ্চিত্রেও,	
edmeeral,	এডমিরাল,	এডমিরাল,	
kalenga,	কালেঙ্গা,	কালেঙ্গা,	
zarniz,	জার্নিজ,	জারনিজ,	
vromonkaley,	ভ্রমণকালে,	ভ্রমণকালে,	
guzober,	গুজবের,	গুজবের,	
bihar,	বিহার,	বিহার,	
gagee,	গাযাগি,	গেজ,	
khude,	খুদ়ে,	ক্ষুদে,	
ashor,	আসোর,	আসর,	
bhenus,	ভেনুস,	ভেনাস,	
poschime,	পশ্চিমে,	পশ্চিমে,	
bhenom,	ভেনোম,	ভেনম,	
shroddhabihin,	শ্রদ্ধাবিহীন,	শ্রদ্ধাবিহীন,	
sutir,	সুতির,	সুতির,	
sthaponagulo,	স্থাপনাগুলো,	স্থাপনাগুলো,	
churger,	চুরগের,	চার্জের,	
melborrone,	মেলবররোন,	মেলবোর্নে,	
maladabha,	মালাদাভা,	মলদোভা,	
manob,	মানব,	মানব,	
upacharjo,	উপাচার্য,	উপাচার্য,	
sip,	সিপ,	শিপ,	
valobase,	ভালোবাসে,	ভালোবাসে,	
dokaangulotey,	দোকানগুলোতে,	দোকানগুলোতে,	
antorvuktimulak,	আন্তর্ভূক্তিমূলক,	অন্তর্ভুক্তিমূলক,	
kathla,	কাতলা,	কাঠলা,	
ganochin,	গণচিন,	গণচীন,	
shrabasti,	শ্রবস্তি,	শ্রাবস্তী,	
protizogii,	প্রতিযোগী,	প্রতিযোগী,	
debdebyr,	দেবদীবির,	দেবদেবীর,	
trutimatra,	ত্রুতিমাত্র,	ত্রুটিমাত্র,	
obosore,	অবসরে,	অবসরে,	
cs,	সিএস,	সিএস,	
mekong,	মেকং,	মেকং,	
sudrissho,	সুদৃশ্,	সুদৃশ্য,	
tochhnochh,	তচ্নচ,	তছনছ,	
deepan,	দীপান,	দীপন,	
byepass,	ব্যাপেস,	বাইপাস,	
pulivendla,	পুলিভন্ডল,	পুলিভেন্ডলা,	
taxikeo,	ট্যাক্সিকেও,	ট্যাক্সিকেও,	
erajyobasi,	এরাজ্যবাসী,	এরাজ্যবাসী,	
azimpur,	আজিমপুরের,	আজিমপুর,	
schilling,	স্কিলিং,	শিলিং,	
jeelyaand,	জিল্যান্ড,	জিল্যান্ড,	
gazipur,	গাজিপুর,	গাজিপুর,	
bouddha,	বৌদ্ধ,	বৌদ্ধ,	
aamontrito,	আমন্ত্রিত,	আমন্ত্রিত,	
varma,	ভারমা,	ভার্মা,	
bhutbhut,	ভূতভূত,	ভুটভুট,	
chorchita,	চর্চিতা,	চর্চিত,	
neck,	নেক,	নেক,	
dala,	দালা,	দলা,	
saramukhe,	সারামুখে,	সারামুখে,	
jakso,	জক্স,	যক্ষ,	
bhittow,	ভিত্তু,	ভিত্তিও,	
oindrila,	ঐন্দ্রিলা,	ঐন্দ্রিলা,	
muchlima,	মুছলিমা,	মুছলিমা,	
teman,	টেমান,	তেমন,	
hughkey,	হুঘকে,	হিউজকে,	
shotodha,	শতধা,	শতধা,	
zohns,	জন্স,	জন্স,	
prakar,	প্রকার,	প্রকার,	
gejeted,	গেজেটেড,	গেজেটেড,	
swatantrata,	স্বাতন্ত্র্বতা,	স্বতন্ত্রতা,	
dojo,	দোজ,	ডোজো,	
providere,	প্রভীদেরে,	প্রভাইডারে,	
ardasha,	আরদাশা,	আর্দশ,	
ooipokar,	উপকার,	উইপোকার,	
cinematographar,	সিনেমোটাগ্রোফর,	সিনেমাটোগ্রাফার,	
shaddhi,	শাদ্ধি,	সাধ্বী,	
rakshanbhag,	রক্ষণভাগ,	রক্ষণভাগ,	
labonaktatar,	লবণকাতারা,	লবণাক্ততার,	
innahu,	ইন্নুহু,	ইন্নাহু,	
catholicbad,	ক্যাথোলিকবাদ,	ক্যাথলিকবাদ,	
uporitoler,	উপরিতলের,	উপরিতলের,	
khoor,	খুর,	ক্ষুর,	
engrejer,	এংগ্রেজের,	ইংরেজের,	
panchbar,	পাঁচবার,	পাঁচবার,	
kramp,	ক্রাম্প,	ক্র্যাম্প,	
chandanara,	চান্দানারা,	চন্দনারা,	
fatkabazare,	ফটকাবাজারে,	ফাটকাবাজারে,	
konagoolo,	কনাগুলো,	কণাগুলো,	
bii,	বিআইআই,	বি,	
thare,	থারে,	থরে,	
yura,	যুররা,	ইউরো,	
chalochchitro,	চালচ্ছিত্র,	চলচ্চিত্র,	
fol,	ফল,	ফল,	
teta,	টেট,	টেটা,	
horash,	হোরাশ,	হোরাস,	
iuro,	ইউরোও,	ইউরো,	
vittiteo,	ভিত্তিতেও,	ভিত্তিতেও,	
sheekar,	শীকার,	শিকার,	
touraat,	তৌরাত,	তওরাত,	
karim,	কারিম,	করিম,	
madhoboir,	মাধবইর,	মাধবীর,	
alpakichudin,	অল্পকচিছুিন,	অল্পকিছুদিন,	
mmadhukkori,	ম্যাধাক্করি,	মাধুকরী,	
distibutor,	দিস্তিবুতোর,	ডিস্টিবিউটারের,	
neemeette,	নিমিত্তে,	নিমিত্তে,	
nirbaaho,	নির্বাহ,	নির্বাহ,	
michhilti,	মিছিলটি,	মিছিলটি,	
nirbahey,	নির্বাহে,	নির্বাহে,	
venisey,	ভেনিসে,	ভেনিসে,	
chhintayikari,	ছিন্তায়িকারী,	ছিনতাইকারী,	
dreeshtiheen,	দৃষ্টিহীন,	দৃষ্টিহীন,	
sanghitar,	সঙ্ঘিতার,	সংহিতার,	
vushi,	ভুশী,	ভুষি,	
chalachchitrer,	চলচ্চিত্রের,	চলচ্চিত্রের,	
bijito,	বিজিত,	বিজিত,	
palbongsher,	পালবংশের,	পালবংশের,	
laesens,	লেসেনসস,	লাইসেন্স,	
cholocchitrer,	চলচিত্রের,	চলচ্চিত্রের,	
dipti,	দিপ্তি,	ডেপুটি,	
srisri,	শ্রীস্রি,	শ্রীশ্রী,	
gonohotyakey,	গণহত্যাকে,	গণহত্যাকে,	
dhauto,	ধৌতো,	ধৌত,	
jhumjhumita,	ঝুমঝুমিতা,	ঝুমঝুমিটা,	
siqh,	সিখ,	শিখ,	
steen,	স্তীন,	স্টেন,	
jatinke,	জাতিনকে,	যতীনকে,	
shahabike,	সাহাবীকে,	সাহাবীকে,	
russad,	রুসাদ,	রুশদ,	
talaa,	তালা,	তালা,	
anhu,	আনহু,	আনহু,	
digri,	ডিগ্রি,	ডিগ্রি,	
sheshdinti,	শেষদিনটি,	শেষদিনটি,	
bishwasho,	বিশ্বশো,	বিশ্বাসও,	
ateetkale,	অতীতকালে,	অতীতকালে,	
times,	টাইমস,	টাইমস্,	
remission,	রেমিশন,	রিমিশন,	
byabaharkarike,	ব্যবহারকারীকে,	ব্যবহারকারীকে,	
shten,	স্টেন,	স্টেন,	
akram,	আকরাম,	আকরাম,	
cholochchitrer,	চলচ্চিত্রের,	চলচ্চিত্রের,	
bhabatarini,	ভবতারিণী,	ভবতারিণী,	
vagni,	ভাগ্নি,	ভগ্নী,	
laaishenshh,	লাইসেনস্থ,	লাইসেন্স,	
tatey,	তাতেই,	তাতে,	
summer,	সামার,	সামার,	
nili,	নীলী,	নিলি,	
komanera,	কোমানেরা,	কমানেরা,	
kayech,	কয়েছ,	কায়েছ,	
nirgoon,	নির্গুণ,	নির্গুণ,	
nodimaatrik,	নদিমাত্রীক,	নদীমাতৃক,	
utpatti,	উৎপত্তি,	উতপত্তি,	
scoore,	স্কুরে,	স্কোর,	
kuldip,	কুলদিপ,	কুলদীপ,	
fake,	ফাকেক,	ফাকে,	
nischitvabe,	নিশ্চিতভাবে,	নিশ্চিতভাবে,	
prosadhoner,	প্রসাধনের,	প্রসাধনের,	
avinetar,	অভিনেতার,	অভিনেতার,	
laaishheshh,	লাইসেশ,	লাইসেন্স,	
jeher,	জেহের,	জেহের,	
langhaner,	লা্ঘনের,	লংঘনের,	
ghoor,	ঘুর,	ঘুর,	
liedtke,	লাইডটকে,	লইডটক,	
joubankal,	যৌবানকাল,	যৌবনকাল,	
varote,	ভারতে,	ভারতে,	
ponera,	পনেরা,	পনের,	
habshi,	হাবশি,	হাবশী,	
ekoirokom,	একইরকম,	একইরকম,	
granada,	গ্রানাদা,	গ্র্যানাডা,	
soommo,	সুম্মু,	সুমো,	
nagorikkey,	নাগরীককে,	নাগরিককে,	
madhuree,	মধুরী,	মাধুরী,	
kkomandar,	কোমোনার্ডার,	কমাণ্ডার,	
nirobota,	নিরববতা,	নিরবতা,	
saazano,	সাজানো,	সাজানো,	
mele,	মেলে,	মাইল,	
bhugol,	ভূগল,	ভূগোল,	
pohnpeic,	পোনপেন,	ফোনপেইক,	
prachando,	প্রাচান্ডো,	প্রচণ্ড,	
panchadadu,	পঞ্চাদাদু,	পঞ্চাদাদু,	
thakeni,	থাকেনি,	থাকেনি,	
kuthibarike,	কুথিবারীকে,	কুঠিবাড়ীকে,	
pracharanamulak,	প্রচারণমূলক,	প্রচারণামূলক,	
raunanganey,	রানাঙ্গনে,	রণাঙ্গনে,	
planea,	প্ল্যানে,	প্লেনে,	
rilayensha,	রিলায়েন্ষ,	রিলায়েন্স,	
ghurte,	ঘুরতে,	ঘুরতে,	
nutan,	নুতান,	নূতন,	
ayantarqatiqa,	অয়ন্তররটিকক,	অ্যান্টার্কটিকা,	
grambaseer,	গ্র্যামসাসীর,	গ্রামবাসীর,	
shootar,	শুতার,	শ্যুটার,	
bachai,	বাচাই,	বাছাই,	
dapadpi,	দাপদ্পি,	দাপাদপি,	
aakabar,	আকাবার,	আকাবার,	
khuizza,	খুইজ্জা,	খুইজ্জা,	
quata,	কোয়াটা,	কোটা,	
laesensh,	লেসেনস,	লাইসেন্স,	
bhoutikeshu,	ভৌতিকেশু,	ভৌতিকেষু,	
cheerontan,	চিরন্তন,	চিরন্তন,	
rabo,	রববো,	রব,	
nirgaman,	নির্গামান,	নির্গমন,	
bhittitei,	ভিত্তিতেই,	ভিত্তিতেই,	
manatmulak,	মনতমূলক,	মানতমূলক,	
phareeksa,	ফারেক্সা,	ফরেক্স,	
jolaatonko,	জলাতাঙ্কো,	জলাতঙ্ক,	
kada,	কাদা,	কোডা,	
sahozlabhbhatar,	সহজজ্লোভাতার,	সহজলভ্যতার,	
karima,	কারিমা,	করিম,	
debate,	দেবাতে,	ডিবেট,	
beauby,	বিউবি,	বিউবি,	
dantahin,	দন্তহীন,	দন্তহীন,	
baaik,	বাইক,	বাইক,	
prangulo,	প্রাণগুলো,	প্রানগুলো,	
somoibo,	সমযইব,	সমৈব,	
souripurang,	সৌরীপুরং,	সৌরিপুরং,	
khuliechilam,	খুলিয়েছিলাম,	খুলিয়েছিলাম,	
fevarite,	ফেভারিতে,	ফেভারিট,	
bishnu,	বিষ্ণু,	বিষ্ণু,	
akkaas,	আক্কাস,	আককাস,	
kanasharabheshhana,	কানারভেষণ,	কনসারভেশন,	
muradpur,	মুরাদপুরের,	মুরাদপুর,	
samajeek,	সমজাজিক,	সামাজিক,	
oitijje,	ঐতিহ্যে,	ঐতিহ্যে,	
mugdal,	মুগদাল,	মুগডাল,	
steeit,	স্টিট,	স্টেইট,	
dekaner,	দেকানের,	দেকানের,	
jaaygata,	জায়গাটা,	জায়গাটা,	
laaisheesh,	লাসিশ,	লাইসেন্স,	
proteemar,	প্রতিমার,	প্রতিমার,	
bandhubhaabaapanna,	বন্ধুভাপাপন্ন,	বন্ধুভাবাপন্ন,	
shasonamoleri,	শাসনামলেরই,	শাসনামলেরই,	
johny,	জোনি,	জনি,	
bhujangta,	ভূজাংতা,	ভুজঙ্গটা,	
shilpikuler,	শিল্পিকুলের,	শিল্পীকুলের,	
duple,	ডুপলে,	ডুপ্লে,	
charpanch,	চরপাঞ্চ,	চারপাঁচ,	
karmake,	কার্মকে,	কর্মকে,	
brail,	ব্রেইল,	ব্রেইল,	
chhuti,	ছুটি,	ছুটি,	
alpa,	আল্পা,	অল্প,	
mukhoshdharir,	মুখোষধারীর,	মুখোশধারীর,	
ghoomachhe,	ঘোমাচ্ছে,	ঘুমাচ্ছে,	
protijogi,	প্রতিযোগী,	প্রতিযোগী,	
sethai,	সেথাই,	সেথাই,	
gatibege,	গাতিবেগে,	গতিবেগে,	
upobaashee,	উপবাশী,	উপবাসী,	
sthaponagulor,	স্থাপনাগুলোর,	স্থাপনাগুলোর,	
songasthaner,	সংগ্ঠানের,	সংস্থানের,	
bisheshshyer,	বিশেষ্য্যের,	বিশেষ্যের,	
lat,	ল্যাট,	লাট,	
banshite,	বাণশীতে,	বাঁশিতে,	
daybhager,	দায়ভাগের,	দায়ভাগের,	
chheher,	ছেহের,	ছেহের,	
dep,	ডিপ,	ডেপ,	
artilary,	আর্টালারী,	আর্টিলারি,	
sportstar,	স্পোর্টস্টার,	স্পোর্টসস্টার,	
srk,	স্রেক,	শাহরুখ,	
sobche,	সবছে,	সবচে,	
somraatra,	সোমরাত্র,	সম্রাটরা,	
israelbahini,	ইস্রায়ালবাহিনি,	ইস্রায়েলবাহিনী,	
aieesha,	আইইএএ,	আইএএস,	
khonjena,	খোঁজেনা,	খোঁজেনা,	
rubidium,	রুবিডিয়াম,	রুবিডিয়াম,	
vitti,	ভিত্তি,	ভিত্তিই,	
jegulur,	যেগুলুর,	যেগুলুর,	
bhenkates,	ভেঙ্কটেস,	ভেঙ্কটেশ,	
dabliudabliui,	ডাব্লিউডাব্যুলি,	ডাব্লিউডাব্লিউই,	
rajyabhogi,	রাজ্যভোগী,	রাজ্যভোগী,	
sompadon,	সম্পাদন,	সম্পাদন,	
nothivookta,	নথিভুক্তা,	নথিভুক্ত,	
progresh,	প্রোগ্রেশ,	প্রগ্রেস,	
ala,	অলা,	আলা,	
rudrasagar,	রুদ্রসাগরের,	রুদ্রসাগরের,	
hetimganje,	হেতিমগঞ্জে,	হেতিমগঞ্জে,	
ghoorchen,	ঘোরছেন,	ঘুরেছেন,	
naitikatavodh,	নৈতিকতাবোধ,	নৈতিকতাবোধ,	
shanno,	শান্ন,	সান্নো,	
cheento,	চীন্তো,	চিনতো,	
amar,	আমার,	আমর,	
subader,	সুবাদের,	সুবাদে,	
bosonte,	বসন্তে,	বসন্তে,	
ragei,	রাগেই,	রাগেই,	
metropolitan,	মেট্রোপোলাটিন,	মেট্রোপলিটন,	
salapheeta,	সালফফিত,	সালফেট,	
asthishondhi,	অস্থিনন্ধি,	অস্থিসন্ধি,	
lagche,	লাগছে,	লাগছে,	
nirgamon,	নির্গামন,	নির্গমন,	
shommoteer,	সম্মতির,	সম্মতির,	
youth,	যৌথথ,	ইয়ুথ,	
rajotta,	রাজোত্তা,	রাজত্ব,	
torkarir,	তরকারির,	তরকারীর,	
angibhutovabe,	অঙ্গীভুতভাবে,	অঙ্গীভূতভাবে,	
jibanto,	জীবন্ত,	জীবন্ত,	
byboshthar,	বাইস্থার,	ব্যাবস্থার,	
dubaate,	দুবাতে,	ডুবাতে,	
cheentaikaree,	চিন্চাতারী,	ছিনতাইকারী,	
ujobekeestaner,	উজববেকস্তানের,	উজবেকিস্তানের,	
oncholtee,	অনচোলটি,	অঞ্চলটি,	
salsa,	সালসা,	সালসা,	
ekjoge,	একযোগে,	একযোগে,	
bolechile,	বলেছিলে,	বলেছিলে,	
promothesh,	প্রমথােস,	প্রমথেশ,	
milekhaanek,	মিলেখানাকেক,	মাইলখানেক,	
barnis,	বার্নিস,	বার্নিশ,	
khelechen,	খেলেছেন,	খেলেছেন,	
palbongser,	পালবংসের,	পালবংশের,	
site,	সীতে,	সিটে,	
bondhukey,	বন্ধুকে,	বন্ধুকে,	
paikgachha,	পাইকগাছা,	পাইকগাছা,	
sondhisthaponer,	সন্ধিস্থাপনের,	সন্ধিস্থাপনের,	
murader,	মুরাদের,	মুরাদের,	
mosharroph,	মোশারোফ,	মশাররফ,	
everestey,	ইভারসেটে,	এভারেস্টে,	
asaciates,	অসাসিয়েটস,	এসোসিয়েটস,	
sinakey,	সিনাকে,	সিনাকে,	
bishaashke,	বিষাষকে,	বিশ্বাসকে,	
protisthar,	প্রতিষ্ঠার,	প্রতিষ্ঠার,	
hugheke,	হুঘেকে,	হিউজকে,	
pariyech,	পারিয়েছ,	পরিয়েছ,	
aaeerese,	আইসারেসে,	আইরেসে,	
madrasa,	মাদ্রাসা,	মাদ্রাসা,	
bhebechili,	ভেবেছিলি,	ভেবেছিলি,	
bonvumitey,	বনভূমিতে,	বনভূমিতে,	
batikromee,	বাতিক্রমি,	ব্যতিক্রমী,	
graambashee,	গ্রামবাসী,	গ্রামবাসী,	
utotoro,	উততর,	উততর,	
mette,	মেটে,	ম্যাট,	
saqara,	সাকারা,	সাকার,	
mochlekha,	মোচলেখা,	মোছলেখা,	
karore,	কাররে,	কারোর,	
deciliter,	ডেসিলিটের,	ডেসিলিটার,	
gabhaaskar,	গাভাসককর,	গাভাস্কার,	
logotype,	লোগোটিপে,	লোগোটাইপ,	
naraphoka,	নারাফোকা,	নরফোক,	
qara,	কারা,	কর,	
fishing,	ফিশিং,	ফিসিং,	
seshardhe,	সেষার্ধে,	শেষার্ধে,	
achintyabhedaved,	অচিন্ত্যভেদেব,	অচিন্ত্যভেদাভেদ,	
pingna,	পিংগানা,	পিংনা,	
pradoshik,	প্রদোশিক,	প্রাদশিক,	
karmojog,	কর্মযোগ,	কর্মযোগ,	
uporitaley,	উপরতিলে,	উপরিতলে,	
samoshtigato,	সমষ্টিগত,	সমষ্টিগত,	
volapuk,	ভোলাপুক,	ভোলাপুক,	
munim,	মুনিম,	মুনিম,	
vittimul,	ভিত্তিমূল,	ভিত্তিমূল,	
chetanagoto,	চেতানগত,	চেতনাগত,	
nothivukta,	নথিভুক্ত,	নথিভুক্ত,	
mathieu,	মাথিউই,	ম্যাথিউ,	
moreecha,	মরিচা,	মরিচা,	
gyada,	গ্যালা,	গ্যাদা,	
fanding,	ফ্যান্ডিং,	ফান্ডিং,	
geejeeteeda,	গীজেটিডা,	গেজেটেড,	
drissogoolote,	দৃশ্যগৌলোতে,	দৃশ্যগুলোতে,	
iraner,	ইরানের,	ইরানের,	
kagbeni,	কাগবেনি,	কাগবেনি,	
vandar,	ভান্ডার,	ভাণ্ডার,	
bbosben,	বেববসেন,	বসবেন,	
gavaskar,	গাভাসকার,	গাভাস্কার,	
goteehin,	গতিহীন,	গতিহীন,	
bojata,	বোজাতা,	বোজাটা,	
bolvodro,	বলভোদ্র,	বলভদ্র,	
title,	টিটলে,	টাইটেল,	
scholars,	স্কলারস,	স্কলার্স,	
ponchashjon,	পঞ্চাশযোন,	পঞ্চাশজন,	
semai,	সেমাই,	সেমাই,	
dhos,	ধোস,	ধস,	
jaruri,	জরুরি,	জরূরী,	
nobotomo,	নবতম,	নবতম,	
dhalur,	ধালুর,	ঢালুর,	
bishhnu,	বিষ্ণু,	বিষ্ণু,	
parkin,	পারকিন,	পার্কিং,	
gore,	গোর,	গোর,	
hool,	হুল,	হুল,	
mausumer,	মাউসমের,	মৌসুমের,	
plusey,	প্লুসে,	প্লাসে,	
delibhara,	ডেলিভার,	ডেলিভার,	
duiekdiner,	দুই়কদিনের,	দুইএকদিনের,	
ashok,	আশোক,	আশোক,	
ghoomachhilo,	ঘোমাছিল,	ঘুমাচ্ছিল,	
megacaldera,	মেগাকালদারা,	মেগাক্যাল্ডেরা,	
dhrubaker,	ধ্রুবাকের,	ধ্রুবকের,	
dhanche,	ধাঁচে,	ধাঁচে,	
abhidhanick,	অভিধানিক,	অভিধানিক,	
deejeejer,	দীজীজীরের,	ডিজিজের,	
zerusaleme,	জেরুসালেমে,	জেরুসালেমে,	
grooth,	গ্রুথ,	গ্রোথ,	
pretty,	প্রেটি,	প্রিটি,	
reflex,	রিফ্লেক্স,	রিফ্লেক্স,	
olympik,	অলিম্পিক,	অলিম্পিক,	
ghotleo,	ঘটলেও,	ঘটলেও,	
ghoshito,	ঘোষিত,	ঘোষিত,	
machkabar,	মাচকাবার,	মাচকাবার,	
ajibon,	অজিবন,	আজীবন,	
srabosty,	স্র্যাবস্তি,	শ্রাবস্তী,	
rejidens,	রেজিডেন্স,	রেসিডেন্স,	
sahocorje,	সহকর্যে,	সাহচর্যে,	
byathapather,	ব্যথপথথের,	ব্যথাপথের,	
drissogulote,	দৃস্মগুলোতে,	দৃশ্যগুলোতে,	
mayily,	মেয়লি,	মাইলি,	
vabuk,	ভাবুক,	ভাবুক,	
baptics,	ব্যাপটিক্স,	ব্যাপটিকস,	
laishensh,	লইসেনস,	লাইসেন্স,	
shahjapur,	শাহজাপুর,	শাহজাপুর,	
osamanno,	ওসামান্য,	অসামান্য,	
shomser,	শমসের,	সমশের,	
sectore,	সেক্টরে,	সেক্টরে,	
boshoborty,	বশবর্তী,	বশবর্তী,	
shasheja,	শশেজা,	সসেজ,	
sqolastiq,	স্কোলাস্টিক,	স্কলাস্টিক,	
tyap,	ত্যাপ,	ট্যাপ,	
hondooras,	হন্ডুরাস,	হন্ডুরাস,	
sohinsotar,	সোহিনসতার,	সহিংসতার,	
dorgaaho,	দর্গাহ,	দরগাহ,	
bike,	বিকে,	বাইক,	
aakaabaar,	আকাবার,	আকাবার,	
evereste,	ইভারেস্টে,	এভারেস্টে,	
rajshri,	রাজশ্রী,	রাজশ্রী,	
kushakhali,	কুশখখালী,	কুশাখালি,	
zibonnogor,	জীবনযোগর,	জীবননগর,	
orbi,	ওরবি,	ওরবি,	
directorate,	ডাইরেক্টরেট,	ডিরেক্টরেট,	
pratista,	প্রতিস্তা,	প্রতিষ্টা,	
chalachchitroke,	চলচ্চিত্রকে,	চলচ্চিত্রকে,	
arsie,	আরসি,	আরসিএ,	
khoka,	খোকা,	খোকা,	
horidbar,	হরিদবার,	হরিদ্বার,	
nirmolotaa,	নির্মলতা,	নির্মলতা,	
ghumunoi,	ঘুমুনোই,	ঘুমুনোই,	
kortam,	কোতাম,	করতাম,	
