cholochchitrai,	চলচ্চিত্রায়,	চলচ্চিত্রই,	
saurce,	সার্স,	সোর্স,	
kinsha,	কিনশা,	কিংস,	
choopi,	চুপী,	চুপি,	
nazad,	নাজাদ,	নাজাদ,	
onchalti,	অঞ্চলটি,	অঞ্চলটি,	
boudhher,	বৌধের,	বৌদ্ধের,	
chalachchitrotike,	চালাচ্রিত্রটিকে,	চলচ্চিত্রটিকে,	
monchostho,	মন্চস্থ,	মঞ্চস্থ,	
serup,	সেরূপ,	সেরূপ,	
laps,	ল্যাপস,	ল্যাপস,	
hastamathun,	হস্তমাথুন,	হস্তমথুন,	
muradpur,	মুরদপুর,	মুরাদপুর,	
sikkharthirao,	শিক্ষার্থীরাও,	শিক্ষার্থীরাও,	
champa,	চাম্পা,	চাঁপা,	
chalake,	চালাকে,	চালকে,	
sobrakomer,	সব্রকমের,	সবরকমের,	
seguloi,	সেগুলোই,	সেগুলোই,	
salafeta,	সালাফেটা,	সালফেট,	
samratra,	সম্রাত্র,	সম্রাটরা,	
hillse,	হাইলস,	হিলসে,	
chowdhuryke,	চৌধধুরিকে,	চৌধুরীকে,	
muchlima,	মুছলিমা,	মুছলিমা,	
sachetonvabe,	সচেতনভাবে,	সচেতনভাবে,	
karim,	কারিম,	করিম,	
proshtotto,	প্রশ্তত্ব,	প্রস্ত্তত,	
adarsho,	আদার্শ,	আর্দশ,	
turisht,	তুরিষ্ট,	টুরিস্ট,	
lopjonito,	লবলনিত,	লোপজনিত,	
bikretara,	বিক্রেতারা,	বিক্রেতারা,	
reflex,	রিফ্লেক্স,	রিফ্লেক্স,	
nutaner,	নুতানের,	নূতনের,	
bamon,	বামন,	বামন,	
hilser,	হিলসের,	হিলসের,	
gasthi,	গাস্থি,	গোষ্ঠী,	
kaia,	কাইয়া,	কায়া,	
keyboarder,	কেববোর্ডের,	কীবোর্ডের,	
bandhano,	বাঁধানো,	বাঁধানো,	
nuhas,	নুহাস,	নুহাশ,	
basturoi,	বাস্তুরই,	বস্তুরই,	
shubhag,	শুভাগ,	শুভাগ,	
dong,	ডং,	ডং,	
neshadrabyer,	নেশাদ্রব্যের,	নেশাদ্রব্যের,	
skolarsip,	স্কোলোরসিপ,	স্কলারশিপ,	
munshiji,	মুন্সীজী,	মুনশীজি,	
mahibur,	মহিবুর,	মহিবুর,	
vabook,	ভাবুক,	ভাবুক,	
mahbunur,	মাহবুনুর,	মাহবুনুর,	
sahachke,	সাহাচকে,	সাহাচকে,	
kailashrao,	কৈলাশরাও,	কৈলাশরাও,	
marry,	মারি,	ম্যারি,	
jaadrel,	জাদ্রেল,	জাঁদরেল,	
digri,	ডিগরি,	ডিগ্রি,	
lettar,	লেট্ার,	লেটার,	
cinemapremider,	সিনেমাপ্রেমীদের,	সিনেমাপ্রেমীদের,	
akram,	আকরাম,	আকরাম,	
modelkey,	মডেলকে,	মডেলকে,	
sheetke,	শীটকে,	শীতকে,	
kottar,	কোট্টার,	কট্টর,	
johor,	জোহর,	জহর,	
meghacchonno,	মেঘাচ্ছন্ন,	মেঘাচ্ছন্ন,	
siima,	সিয়া,	সীমা,	
syfy,	সিফি,	সাইফাই,	
rajendracholer,	রাজেন্দ্রচালের,	রাজেন্দ্রচোলের,	
dikpal,	ডিকপাল,	দিকপাল,	
deenesh,	দেনেশ,	দীনেশ,	
dada,	দাদা,	দাদা,	
booroon,	বুরুন,	বোরন,	
rajdhani,	রাজধানি,	রাজধানি,	
musalmani,	মুসলমানি,	মুসলমানই,	
jatotaa,	জাতোটা,	যতোটা,	
kumbhalnar,	কুম্ভলনার,	কুম্ভালনার,	
anusvara,	অনুস্বরা,	অনুস্বার,	
upobasher,	উপবাশের,	উপবাসের,	
kaaferder,	কাফেরদের,	কাফেরদের,	
venkates,	ভেঙ্কটেস,	ভেঙ্কটেশ,	
jyaqa,	জ্ঞাক,	জ্যাক,	
shroddhabihin,	শ্রদ্ধাবিহীন,	শ্রদ্ধাবিহীন,	
land,	ল্যান্ড,	ল্যান্ড,	
uqeliptas,	ইউকেলিপ্টাস,	ইউক্যালিপ্টাস,	
manobikotao,	মানবিকতাও,	মানবিকতাও,	
rajbandir,	রাজবন্দির,	রাজবন্দীর,	
lavta,	লাভটা,	লাভটা,	
elaakaate,	এলাকাতে,	এলাকাতে,	
byaboharkarir,	ব্যবহারকারীর,	ব্যবহারকারীর,	
bulan,	বুলান,	বুলান,	
jamkaalo,	জামকালো,	জমকালো,	
ponthaar,	পন্থার,	পন্থার,	
manir,	মানির,	মনির,	
byatikrami,	ব্যতিক্রমী,	ব্যতিক্রমী,	
corsin,	করসিন,	করসিন,	
bonvumi,	বনভুমি,	বনভূমি,	
sumeeta,	সুমিত,	সুমিতা,	
ganosochetonota,	গণসচেতনাতা,	গণসচেতনতা,	
pleeta,	প্লেট,	প্লেট,	
mukhomandal,	মুখমন্দল,	মুখমণ্ডল,	
abheedhanic,	অভিধানিক,	অভিধানিক,	
ved,	ভেড,	বেদ,	
vushito,	বুষিত,	ভূষিত,	
bishnoo,	বিষ্ণ,	বিষ্ণু,	
deejeejer,	দেজীজের,	ডিজিজের,	
krusher,	ক্রুশের,	ক্রুশের,	
khali,	খালী,	খালি,	
antarctica,	অ্যান্টার্কটিকা,	অ্যান্টার্কটিকা,	
reshidensha,	রেশিদনেস,	রেসিডেন্স,	
shalook,	শালোক,	শালুক,	
trutimatra,	ত্রুতিমাত্র,	ত্রুটিমাত্র,	
annimated,	অ্যানিমেটেড,	এনিমেটেড,	
puroheetder,	পুরোহিতদের,	পুরোহিতদের,	
europia,	ইউরোপিয়া,	ইউরোপিয়া,	
promothesh,	প্রমথেশ,	প্রমথেশ,	
konnoder,	কোন্যদের,	কন্যদের,	
weelcomee,	ভাইকোলিম,	ওয়েলকাম,	
ongkush,	অঙ্কুশ,	অংকুশ,	
provritike,	প্রভৃতিকে,	প্রভৃতিকে,	
manushsoho,	মানুষসহ,	মানুষসহ,	
sheshdinti,	শেষদিনটি,	শেষদিনটি,	
niharkantibabu,	নিহারকান্তিবাবু,	নিহারকান্তিবাবু,	
obdee,	অবদি,	অব্দি,	
capsul,	ক্যাপসুল,	ক্যাপসুল,	
scholastik,	স্কলাস্টিক,	স্কলাস্টিক,	
chalochchitraeeo,	চলচ্চিত্রারীও,	চলচ্চিত্রেও,	
pratista,	প্রতিস্তা,	প্রতিষ্টা,	
standards,	স্ট্যান্ডার্ডসহ,	স্টান্ডার্ডস,	
bim,	বিম,	বিম,	
transapharma,	ট্রান্সফফ্রম,	ট্রান্সফর্ম,	
teliha,	তেলিহা,	তেলিহা,	
dii,	ডিই,	দিই,	
dipti,	দিপটি,	ডেপুটি,	
sobaiderke,	সোবাইদেরকে,	সবাইদেরকে,	
marketing,	মার্কেটিং,	মার্কেটিং,	
koomarir,	কমারীর,	কুমারীর,	
kaleo,	কালেও,	কালেও,	
habsi,	হাবসি,	হাবশী,	
nationalser,	নেশনালসের,	ন্যাশনালসের,	
somonnitobhabe,	সমন্নিতভাবে,	সমন্বিতভাবে,	
krechi,	ক্রেচি,	করেছি,	
olpo,	অল্পো,	অল্প,	
prarthonakokkher,	প্রার্থনাকক্ষের,	প্রার্থনাকক্ষের,	
konoroop,	কনোরূপ,	কোনরূপ,	
meshintao,	মেশিনটাও,	মেশিনটাও,	
arg,	আর্গ,	আর্গ,	
ghotol,	ঘটল,	ঘটল,	
milekhaanek,	মিলেখানেক,	মাইলখানেক,	
abadamoner,	আবাদমণের,	অবদমনের,	
ghumunoi,	ঘুমুনোই,	ঘুমুনোই,	
chilahaati,	চিলাহাটি,	চিলাহাটি,	
zerusalem,	জেরুসালেম,	জেরুজালেম,	
dubureer,	ডুবুরীর,	ডুবুরির,	
sethai,	সেথাই,	সেথাই,	
rajbondir,	রাজবন্দির,	রাজবন্দীর,	
adorso,	অ্যাডরস,	আর্দশ,	
itostatah,	ইতোস্তাহ,	ইতস্ততঃ,	
naper,	নাপের,	ন্যাপের,	
vogno,	ভোগনো,	ভগ্ন,	
cholechi,	চলেছি,	চলেছি,	
songkoloney,	সংকলনে,	সংকলনে,	
byathapather,	ব্যথাপথের,	ব্যথাপথের,	
prasadhoner,	প্রসাধনের,	প্রসাধনের,	
chamski,	চামস্কি,	চমস্কি,	
asabhya,	অসভ্য,	অসভ্য,	
munjur,	মুঞ্জুর,	মুনজুর,	
batistambhatike,	বাতিস্তমভাযটিকে,	বাতিস্তম্ভটিকে,	
peeri,	পেরই,	পেরি,	
qyapasula,	ক্যাপাসুলা,	ক্যাপসুল,	
rajtantra,	রাজতন্ত্র,	রাজতন্ত্র,	
bikretaara,	বিক্রেতারা,	বিক্রেতারা,	
chongar,	চঙ্গর,	চোঙ্গার,	
mah,	মাহ,	মাহে,	
contemporary,	কন্টেমপোর্রি,	কন্টেম্পোরারি,	
sikha,	সিখা,	শিখ,	
adhyatmikata,	অধ্যাত্মিকতা,	আধ্যাত্মিকতা,	
feroza,	ফেরোজা,	ফিরোজা,	
ponchasjon,	পঞ্চাসজন,	পঞ্চাশজন,	
tookror,	টুকোর,	টুকরোর,	
ramantic,	রামান্তিক,	রোমান্টিক,	
trabuco,	ট্রাবুকো,	ট্র্যাবুকো,	
banglota,	বাংলোটা,	বাংলোটা,	
lakshmir,	লক্ষ্মীর,	লক্ষ্মীর,	
qaro,	কারো,	কারো,	
protizogiita,	প্রতিযোগিতা,	প্রতিযোগীতা,	
chahidapotrer,	চাহিদাপত্রের,	চাহিদাপত্রের,	
naabbota,	নাববোটা,	নাব্যতা,	
dristiheen,	দৃষ্টিহীন,	দৃষ্টিহীন,	
oswastikor,	অস্বাস্তিকর,	অস্বস্তিকর,	
hari,	হারী,	হরি,	
satarkakari,	সতর্ককারী,	সতর্ককারী,	
windo,	উইন্ডো,	উইন্ডো,	
salmanul,	সালমানুল,	সালমানুল,	
horidwar,	হরিদ্বার,	হরিদ্বার,	
udvabani,	উদ্ভাবানী,	উদ্ভাবনী,	
kiibord,	কিবর্ড,	কীবোর্ড,	
sanaktakaran,	সনক্তকরণ,	সনাক্তকরণ,	
taholo,	তাহলো,	তাহলো,	
times,	টিমস,	টাইমস্,	
nanilalke,	নানিলালকে,	ননীলালকে,	
duuma,	দুরমা,	দুমা,	
crashlands,	ক্রাযাশল্যান্ডস,	ক্র্যাশল্যান্ডস,	
dokan,	দোকান,	দোকান,	
perry,	পেরি,	পেরি,	
baarnis,	ব্যারনিস,	বার্নিশ,	
deilee,	দেইলী,	ডেইলি,	
diibug,	দিবুগ,	ডিবাগ,	
vittiteo,	ভিত্তিতেও,	ভিত্তিতেও,	
asommoti,	অসম্মতি,	অসম্মতি,	
refleks,	রেফলেক্স,	রিফ্লেক্স,	
themeke,	থেমেকে,	থিমকে,	
utpatti,	উৎপত্তি,	উতপত্তি,	
nirbahey,	নির্বাহে,	নির্বাহে,	
machkabar,	মাছকাবার,	মাচকাবার,	
sangkalanti,	সংকলনটি,	সংকলনটি,	
registaner,	রেজিস্টানের,	রেগিস্তানের,	
anchalsaho,	অঞ্চলসহ,	অঞ্চলসহ,	
gandhiir,	গান্ধীর,	গান্ধীর,	
shresthoshcho,	শ্রেষ্ঠস্চ,	শ্রেষ্ঠশ্চ,	
bhogiroth,	ভোগিরথ,	ভগীরথ,	
shef,	শেছ,	শেফ,	
station,	স্ট্যাশন,	ষ্টেশন,	
surke,	সুরকে,	সুরকে,	
akheli,	আখেলি,	আখেলী,	
chaudhurider,	চৌধুরীদের,	চৌধুরীদের,	
bonvumitey,	বনভুমিতে,	বনভূমিতে,	
tyapa,	ট্যাপা,	ট্যাপ,	
rifleksa,	রিফলেক্স,	রিফ্লেক্স,	
middleton,	মিডলটন,	মিডলটন,	
armori,	আর্মরী,	আরমোরি,	
jotsna,	জৎসনা,	জ্যোৎস্না,	
existing,	এক্সিস্টিং,	এক্সিসটিং,	
rata,	রাতা,	রত,	
aalkatraa,	অলকাত্রও,	আলকাতরা,	
sambatsarkal,	সম্বসতরকল,	সম্বৎসরকাল,	
khude,	খুদে,	ক্ষুদে,	
kanasharabheshhana,	কণশররভেষণ,	কনসারভেশন,	
soceitytey,	সসেটিটি,	সোসাইটিতে,	
danakana,	দনকানা,	ডানকান,	
kyatagorir,	ক্যাটাগরির,	ক্যাটাগরির,	
obharbhiu,	ওভারভিউ,	ওভারভিউ,	
shpredshiit,	স্প্রেডশিট,	স্প্রেডশীট,	
onshogrohoner,	অনশগ্রহণের,	অংশগ্রহনের,	
daebug,	দাবেগ,	ডিবাগ,	
pradoshik,	প্রদোশিক,	প্রাদশিক,	
srichoitonnodeb,	শ্রীচৈতন্নবেব,	শ্রীচৈতন্যদেব,	
shatodha,	শতদো,	শতধা,	
nabayug,	নাবাইগ,	নবযুগ,	
giitikobitar,	গীতিকাবিতার,	গীতিকবিতার,	
sahinsatar,	সহিনসাতার,	সহিংসতার,	
dorgah,	দররাহ,	দরগাহ,	
kuhelika,	কুহেলিকা,	কুহেলিকা,	
songrahak,	সংগ্রহক,	সংগ্রাহক,	
abosare,	অবসারে,	অবসরে,	
gonesher,	গণেশের,	গণেশের,	
chotogolper,	চটোগ্লপর,	ছোটগল্পের,	
odeb,	ওউদেব,	ওদেব,	
bhabanipur,	ভবানীপুর,	ভবানীপুর,	
halding,	হ্যালডিং,	হোল্ডিং,	
kalki,	কালকি,	কালকি,	
torunosomriddho,	তরুণসমৃদ্ধ,	তরুণসমৃদ্ধ,	
utpotti,	উৎপত্তি,	উতপত্তি,	
sainyader,	সৈন্যদের,	সৈন্যদের,	
echhti,	এচটি,	এছটি,	
udbhaboney,	উদ্ভাবনে,	উদ্ভাবনে,	
bodna,	বোদনা,	বদনা,	
nottee,	নটটি,	নোটটি,	
rakhtokkharoner,	রাক্ষটকরণের,	রক্তক্ষরণের,	
wedanta,	ওয়েনানটা,	বেদান্ত,	
bolechile,	বলেছিলে,	বলেছিলে,	
moshjidke,	মশজিদকে,	মসজিদকে,	
poketchorder,	পকেশফরদের,	পকেটচরদের,	
licencedhari,	লাইসেন্সধারী,	লাইসেন্সধারী,	
sikkhagata,	শিক্ষাগত,	শিক্ষাগত,	
kidambi,	কিদাম্বি,	কিদম্বি,	
toler,	তলার,	তালের,	
bike,	বিকে,	বাইক,	
vorkendra,	ভোরকেন্দ্র,	ভরকেন্দ্র,	
shamshernagar,	শমশেরনগর,	শমশেরনগর,	
bhoolapuka,	ভৌলাপুকা,	ভোলাপুক,	
parswer,	পারস্বের,	পার্শ্বের,	
akpaase,	আকপাসে,	একপাশে,	
fol,	ফোল,	ফল,	
nirmolotaa,	নির্মলতা,	নির্মলতা,	
aholya,	অহল্যা,	অহল্যা,	
fiksing,	ফিক্সিং,	ফিক্সিং,	
pratijogider,	প্রতিযোগীদের,	প্রতিযোগীদের,	
sheets,	শিটস,	শীটস,	
shiter,	শিতের,	শীতের,	
auttacharer,	অট্টাচারের,	অত্যাচারের,	
kachhakaachhi,	কাচাকাচি,	কাছাকাছি,	
songasthatike,	সংস্থাটিকে,	সংস্থাটিকে,	
shikshakbrinda,	শিক্ষাবৃন্দ,	শিক্ষকবৃন্দ,	
rotheen,	রথিন,	রথীন,	
orbi,	ওরবি,	ওরবি,	
nathibhuktir,	নাথিভুক্তির,	নথিভুক্তির,	
mmadhukkori,	ম্মাধুককরি,	মাধুকরী,	
rakkhanbhag,	রক্ষণভাগ,	রক্ষণভাগ,	
kekru,	কেকরু,	কেকরু,	
taunasipa,	টাউনাপিপা,	টাউনশিপ,	
plator,	প্ল্যাটর,	প্লেটোর,	
byan,	ব্যান,	ব্যাং,	
pratiyogitar,	প্রতিযোগিতার,	প্রতিযোগীতার,	
songbadmadhyomer,	সংবাদমাধ্যমের,	সংবাদমাধ্যমের,	
nutunotto,	নুতুনত্ব,	নতুনত্ব,	
agamane,	আগামানে,	আগমনে,	
katui,	কাতুই,	কাতুই,	
ghotleyo,	ঘটলিও,	ঘটলেও,	
sexperter,	সেক্সপার্টের,	সেক্সপার্টের,	
dola,	দোলা,	দলা,	
audiotike,	অডিওটিকে,	অডিওটিকে,	
varma,	ভারমা,	ভার্মা,	
milea,	মিলিয়া,	মাইলে,	
rajnikant,	রাজনীকান্ত,	রাজনীকান্ত,	
akmato,	আকমত,	একমত,	
yukeliptash,	যুকেলিপ্টাশ,	ইউক্যালিপ্টাস,	
ajuhat,	অজুহাত,	অজুহাত,	
ekatitto,	একাতিত্ব,	একাতিত্ব,	
fostar,	ফস্্টার,	ফস্টার,	
elakayi,	এলাকাই,	এলাকাই,	
baibosthar,	বাযবস্থার,	ব্যবস্থার,	
mele,	মেল,	মাইল,	
saseza,	সাসেজা,	সসেজ,	
mukhya,	মুখ্যা,	মুখ্য,	
shho,	পোনা,	শো,	
nirbahe,	নির্বাহে,	নির্বাহে,	
telakucha,	তেলাকুচা,	তেলাকুচা,	
homeser,	হোমেসের,	হোমসের,	
ekghare,	একঘরে,	একঘরে,	
sangbadmadhyamgulote,	সংবাদমাধ্যমগুলোতে,	সংবাদমাধ্যমগুলোতে,	
tawnship,	টেউশশিপ,	টাউনশিপ,	
mitrer,	মিত্রের,	মিত্রের,	
dala,	দালা,	দলা,	
korimkey,	করিমকে,	করিমকে,	
aakaabar,	আকাবার,	আকাবার,	
korimer,	করিমের,	করিমের,	
domone,	ডোমোন,	দমনে,	
debdebyr,	দেবদেবীর,	দেবদেবীর,	
bisshaskey,	বিশ্বাসকে,	বিশ্বাসকে,	
ship,	শিপ,	শিপ,	
shishupalgarh,	শিশুপললঘর,	শিশুপালগড়ে,	
poddhotitei,	পদ্ধতিতেই,	পদ্ধতিতেই,	
tigre,	টিগ্রে,	টাইগার,	
ashiatic,	অ্যাশিয়াটিক,	এশিয়াটিক,	
baasaate,	বাসাতে,	বাসাতে,	
nabbata,	নব্বতা,	নাব্যতা,	
lendal,	লেন্ডাল,	লেন্ডল,	
nibeditar,	নিবেদিতার,	নিবেদিতার,	
ispredsiit,	ইসপ্রেডিসেট,	স্প্রেডশীট,	
shangsthaner,	সাংস্থানের,	সংস্থানের,	
karmakarke,	কর্মকারকে,	কর্মকারকে,	
deputi,	দেপুটি,	ডেপুটি,	
ceramicer,	সেরামিসের,	সিরামিকের,	
nothivukto,	নথিভুক্ত,	নথিভুক্ত,	
chyeta,	চ্যাট,	চ্যাট,	
windos,	উইন্ডস,	উইন্ডোস,	
bodhukeo,	বোধুকেও,	বধুকেও,	
daqten,	ডাকেটেন,	ডাকতেন,	
hughes,	হুগেশ,	হিউজেস,	
parijaner,	পারিজানের,	পরিজনের,	
shikshakbrindo,	শিক্ষাবৃন্দ,	শিক্ষকবৃন্দ,	
tintir,	তিনটির,	তিনটির,	
teta,	টেট,	টেটা,	
nischitobhabe,	নিশ্চিতভাবে,	নিশ্চিতভাবে,	
bonorajite,	বনরাজিতে,	বনরাজিতে,	
chiraharit,	চিরাহারিত,	চিরহরিৎ,	
uponeesoder,	উপনিষদের,	উপনিষদের,	
rupert,	রাপার্ট,	রুপার্ট,	
gabhaaskar,	গাভাসকার,	গাভাস্কার,	
armshtronj,	আর্মস্ট্রোজন,	আর্মস্ট্রং,	
bhromonkaale,	ভ্রমণকালে,	ভ্রমণকালে,	
munim,	মুনিম,	মুনিম,	
nachiketa,	নচিকেতা,	নচিকেতা,	
abikaul,	আবিকৌল,	অবিকল,	
juddhahato,	যুদ্ধাহাত,	যুদ্ধাহত,	
foolkopi,	ফুলকোপি,	ফুলকপি,	
forma,	ফরমা,	ফর্মা,	
sikkhakbrinda,	শিক্ষকবৃন্দ,	শিক্ষকবৃন্দ,	
shift,	সিফট,	শিফট,	
sosoa,	সোসোয়া,	শশা,	
aniyantrita,	অনিয়ন্ত্রীতা,	অনিয়ন্ত্রিত,	
kusumeshu,	কুসুমেষু,	কুসুমেষু,	
shoriph,	শরীফ,	শরিফ,	
laat,	ল্ট,	লাট,	
taunsheep,	টাউন্প,	টাউনশিপ,	
bikromei,	বিক্রমেই,	বিক্রমেই,	
shoodhooi,	শুধই,	শুধুই,	
suparichito,	সুপরিচিত,	সুপরিচিত,	
meghachchanno,	মেঘাচ্ছন্ন,	মেঘাচ্ছন্ন,	
pichte,	পিছতে,	পিছতে,	
premo,	প্রেমো,	প্রিমো,	
bangladesh,	বাংলাদেশ,	বঙ্গালাদেস,	
bajhyo,	বাঝ্য,	বাহ্য,	
liceensee,	লিসিনসি,	লাইসেন্স,	
lisense,	লিসেন্স,	লাইসেন্স,	
kaale,	কাল,	কালে,	
poddhotiteyi,	পদ্ধতিতেই,	পদ্ধতিতেই,	
foloshrutite,	ফলশ্রুটিতে,	ফলশ্রুতিতে,	
thailand,	থাইলান্দ,	থাইল্যান্ড,	
lagto,	লাগতো,	লাগতো,	
upobaashee,	উপবাশী,	উপবাসী,	
senior,	সেনিওর,	সিনিয়র,	
dhanche,	ধনচে,	ধাঁচে,	
landey,	ল্যান্ডে,	ল্যান্ডে,	
abeganuvutir,	আবেগানুতুটির,	আবেগানুভূতির,	
hitaishi,	হিতাইশি,	হিতৈষী,	
towraat,	তওরাাত,	তওরাত,	
ruptan,	রূপ্তন,	রূপটান,	
qulim,	কুলিম,	কুলিং,	
tenishe,	তেনিশে,	টেনিসে,	
bedey,	বেদে,	বেদে,	
faaj,	ফাযাজ,	ফাজ,	
siqh,	সিখ,	শিখ,	
khalidkay,	খালিদকা,	খালিদকে,	
makong,	মাকোং,	মেকং,	
phakay,	ফাকেয়,	ফাকে,	
khonjena,	খোঁজেনা,	খোঁজেনা,	
cholochchitrake,	চলচ্চিত্রাকে,	চলচ্চিত্রকে,	
doloo,	দলল,	ডলু,	
ponchaasjon,	পঞ্চাবজন,	পঞ্চাশজন,	
prapokkey,	প্রপোককে,	প্রাপককে,	
shomostigoto,	শমস্তিগত,	সমষ্টিগত,	
gejeted,	জেজেটেড,	গেজেটেড,	
scorey,	স্কোরে,	স্কোরে,	
qonfliqt,	কনফলিক্ট,	কনফ্লিক্ট,	
samle,	সামলে,	সামলে,	
vangley,	ভ্যাংলে,	ভাঙলে,	
chalachchitrei,	চলচ্চিত্রেই,	চলচ্চিত্রেই,	
liseensee,	লিসেন্স,	লাইসেন্স,	
guzober,	গুজবের,	গুজবের,	
simaa,	সিমা,	সীমা,	
kisti,	কিস্তি,	কিস্তি,	
mekon,	মেকন,	মেকং,	
nodiitei,	নদীতেই,	নদীতেই,	
ashamorthito,	আশামর্থিত,	অসমর্থিত,	
rahee,	রহহি,	রাহি,	
uponishad,	উপনিষাদ,	উপনিষদ,	
ogovir,	ওগভীর,	অগভীর,	
hames,	হামেস,	হোমস,	
barack,	ব্যারাক,	বারাক,	
debete,	দেবেতে,	ডিবেট,	
rahimed,	রহিমেদ,	রহিমেদ,	
shem,	শেম,	সেম,	
samoshtigato,	সমস্তিগত,	সমষ্টিগত,	
jewellery,	জুভ়েলিরি,	জুয়েলারির,	
anyorup,	অন্যরূপ,	অন্যরূপ,	
gandhariir,	গান্ধারীর,	গান্ধারীর,	
prangulo,	প্রানগুলো,	প্রানগুলো,	
akhando,	অখণ্ড,	অখন্ড,	
dipgulote,	ডিপগুলোতে,	দ্বীপগুলোতে,	
meshmeshya,	মেশমেশ্যা,	মেশহমেশহিইয়া,	
dorun,	ডোরুন,	দরুণ,	
nopdnodir,	নদ্নদির,	নদনদীর,	
michir,	মিচির,	মিচির,	
nadnadeer,	নদনাদীর,	নদনদীর,	
moresbai,	মোরেসবাই,	মোরেসবাই,	
tistar,	তিস্তার,	তিস্তার,	
jhanjra,	ঝঞ্জরা,	ঝাঁজরা,	
pothnirdeshona,	পথ্নিরদেশনা,	পথনির্দেশনা,	
pouchute,	পৌছুতে,	পৌঁছুতে,	
aaeerese,	আইরেস,	আইরেসে,	
daaktikite,	ডাক্তিকতে,	ডাকটিকিটে,	
progresh,	প্রোগ্রেশ,	প্রগ্রেস,	
upobasee,	উপবাসী,	উপবাসী,	
dharmee,	ধর্মী,	ধর্মী,	
soteciety,	সটেসিটি,	সোসাইটিতে,	
prarthitao,	প্রার্থীতাও,	প্রার্থীতাও,	
rubidium,	রুবিডিয়াম,	রুবিডিয়াম,	
riphleksa,	রিফলেক্স,	রিফ্লেক্স,	
nojder,	নজদের,	নজদের,	
parisankhanvid,	পরিসংখ্বননিদ,	পরিসংখ্যানবিদ,	
arthanitike,	অর্থনীতিকে,	অর্থনীতিকে,	
debdebier,	দেবদেবীর,	দেবদেবীর,	
bhaibon,	ভাওদন,	ভাইবোন,	
danata,	দানাটা,	ডোনাট,	
jibonnogor,	জীবনগরগর,	জীবননগর,	
sthapanatir,	স্থাপনাটির,	স্থাপনাটির,	
sohokari,	সোহাকারী,	সহকারী,	
melborrone,	মেলবোর্টনে,	মেলবোর্নে,	
bhaandar,	ভান্দার,	ভাণ্ডার,	
ajuhath,	অজুহাত,	অজুহাত,	
bishashke,	বিষাশকে,	বিশ্বাসকে,	
toroonra,	তরোনরা,	তরুণরা,	
vogiroth,	ভোগীরথ,	ভগীরথ,	
dushtogone,	দুষ্টগণে,	দুষ্টগণে,	
nathivookteer,	নাথভুুক্তির,	নথিভুক্তির,	
machsoho,	মাচসহ,	মাছসহ,	
drissotir,	দৃষ্পটির,	দৃশ্যটির,	
maaktoome,	মাক্তোমে,	মাকতুম,	
piulir,	পিলির,	পিউলির,	
zeland,	জেলান্দ,	জিল্যান্ড,	
beshakbar,	বেশকবার,	বেশকবার,	
rahee,	রহহি,	রাহী,	
uporitale,	উপরিতালে,	উপরিতলে,	
bondhukey,	বন্ধুকে,	বন্ধুকে,	
mugdha,	মুগীধা,	মুগ্ধ,	
oncoltike,	অনকোলটিকে,	অঞ্চলটিকে,	
saazano,	সাজানো,	সাজানো,	
shikare,	শিকারে,	শিকারে,	
mankisundar,	মানকিসুন্দর,	মানকিসুন্দর,	
kalakushalir,	কলাকুশালীর,	কলাকুশলীর,	
jemy,	জেয়াম,	জেমি,	
annanere,	আন্নানেরে,	অন্যানেরে,	
lirikti,	লিরিকটি,	লিরিকটি,	
sikkharrtheerao,	শিক্ষার্থীরাও,	শিক্ষার্থীরাও,	
ddebet,	ডিডেবে,	ডিবেট,	
azijer,	আজিজের,	আজিজের,	
madelim,	মাদেলিম,	মডেলিং,	
brekthrough,	ব্রেকথর্গ,	ব্রেকথ্রু,	
sbajan,	সোবাজন,	স্বজন,	
bhittow,	ভিত্ত,	ভিত্তিও,	
haripur,	হরিপুর,	হরিপুর,	
show,	শোভ,	শো,	
koreempoor,	করিমপুর,	করিমপুর,	
dhandu,	ধন্দু,	ধন্দু,	
jaaygata,	জায়গাটা,	জায়গাটা,	
bayii,	বায়ুই,	বাঈ,	
ghumacchilo,	ঘুমাচিলো,	ঘুমাচ্ছিল,	
ponero,	পনেরও,	পনের,	
catholicder,	ক্যাথলিটদের,	ক্যাথলিকদের,	
elakaate,	এলাকাতে,	এলাকাতে,	
hijritey,	হিজরিতে,	হিজরীতে,	
poriskoron,	পরিসকরণ,	পরিষ্করণ,	
nirdesika,	নির্দেসিকা,	নির্দেশিকা,	
aflatoxin,	আফলাট্টিন,	আ্যফ্ল্যাটক্সিন,	
ukeliptas,	ইউকেলিপ্তাস,	ইউক্যালিপ্টাস,	
chirkoot,	চিরকৌট,	চিরকুট,	
fud,	ফুড,	ফুড,	
naobihar,	নাওবিহার,	নৌবিহার,	
shhepha,	শেফা,	শেফ,	
lat,	ল্ট,	লাট,	
deh,	দেহ,	দেহ্,	
bahubar,	বাহুবার,	বহুবার,	
thanvi,	থানভি,	থানভী,	
dhaleshorii,	ধলেশরী,	ধলেশ্বরী,	
vvimsenn,	ভিভিমস্নেন,	ভীমসেন,	
juktorashtreo,	যুক্তরাষ্ট্রেও,	যুক্তরাষ্ট্রেও,	
nirbachakder,	নির্বাচকদের,	নির্বাচকদের,	
