windows,	উইন্ডোাস,	উইন্ডোস,	
kommandar,	কম্মান্ডার,	কমাণ্ডার,	
biswashi,	বিশ্বাসী,	বিশ্বাসী,	
gonohotyakey,	গনহত্যাকে,	গণহত্যাকে,	
jyaqasana,	জ্যাকাসন,	জ্যাকসন,	
edaning,	এডানিং,	ইদানিং,	
houzgulite,	হাউজগুলিতে,	হাউজগুলিতে,	
societyke,	সোশিটটকে,	সোসাইটিকে,	
chapchap,	চাপচাপ,	চাপচাপ,	
achintopurer,	অচিন্তপুরের,	অচিন্তপুরের,	
meloonborroner,	মেলুবনরররের,	মেলবোর্নের,	
poroborti,	পরবর্তী,	পরর্বতী,	
nadnadeer,	নানদনীর,	নদনদীর,	
tophaat,	টফেট,	তফাৎ,	
nazad,	নাজাদ,	নাজাদ,	
boner,	বনের,	বনের,	
ooipoka,	আইপকা,	উইপোকা,	
ashamarthita,	অশমর্থিত,	অসমর্থিত,	
dipankar,	দীপাঙ্কার,	দিপঙ্কর,	
gosthike,	গোষ্ঠিকে,	গোষ্ঠীকে,	
kushakhali,	কুশাখালি,	কুশাখালি,	
bedanta,	বেদান্ত,	বেদান্ত,	
commissionvogider,	কমিশশাইবোগীদের,	কমিশনভোগীদের,	
prokolpogulor,	প্রকল্পগুলোর,	প্রকল্পগুলোর,	
byan,	ব্যান,	ব্যাং,	
camerapersoner,	ক্যামেরাপারসনের,	ক্যামেরাপার্সনের,	
planeti,	প্ল্যানিটি,	প্লেনটি,	
laaisensh,	লুইসেশ,	লাইসেন্স,	
kanasarabhesana,	কানারারেশনা,	কনসারভেশন,	
provur,	প্রভুর,	প্রভুর,	
mastarsa,	মাস্তারস,	মাস্টার্স,	
sthapanagulor,	স্থাপানগুলোর,	স্থাপনাগুলোর,	
scholars,	স্কলারস,	স্কলার্স,	
sonaktokaran,	সোনাক্তকরণ,	সনাক্তকরণ,	
aieesha,	আইইএসএ,	আইএএস,	
chakrapani,	চক্রপানি,	চক্রপানী,	
shasheja,	শােে,	সসেজ,	
jwar,	জ্বর,	জ্বর,	
jini,	জিনি,	যিনি,	
daltyagi,	দল্তজীগী,	দলত্যাগী,	
mimgulor,	মিমগুলোর,	মিমগুলোর,	
pacchi,	পাচচি,	পাচ্ছি,	
mangoleek,	মঙ্গলিক,	মাঙ্গলিক,	
mase,	মাসে,	মাসে,	
nimitte,	নিমিত্তে,	নিমিত্তে,	
vangley,	ভাঙ্গলি,	ভাঙলে,	
zerusalem,	জেরুসালেম,	জেরুসালেম,	
debate,	ডেবাতে,	ডিবেট,	
mukhyo,	মুখ্য,	মুখ্য,	
jibonnogor,	জীবন্যগর,	জীবননগর,	
arke,	আর্কে,	আরকে,	
shift,	শিফট,	শিফট,	
phuda,	ফুড়া,	ফুড,	
songbadmadhyame,	সংবাদমাধ্যমে,	সংবাদমাধ্যমে,	
chirkoot,	চিরকুট,	চিরকুট,	
sikkharthirao,	শিক্ষার্থীরাও,	শিক্ষার্থীরাও,	
avinetar,	আভিনেতার,	অভিনেতার,	
hunine,	হুনিনে,	হুনাইন,	
bufer,	বুফার,	বাফার,	
drissogoolote,	দৃশ্যগুলোতে,	দৃশ্যগুলোতে,	
philipiner,	ফিলিপিনের,	ফিলিপাইনের,	
prajanankal,	প্রজাননকাল,	প্রজননকাল,	
badhamuktovabe,	বাধমমুক্তভাবে,	বাধামুক্তভাবে,	
daaktikit,	দাক্তিকিত,	ডাকটিকিট,	
vabuk,	ভাবুক,	ভাবুক,	
marathi,	মারাথি,	মরাঠি,	
syfy,	সিএফইই,	সাইফাই,	
grooth,	গ্রুথ,	গ্রোথ,	
procharjontrogulo,	প্রচারগন্ত্রগুলো,	প্রচারযন্ত্রগুলো,	
spredshiit,	স্পার্ডশভিট,	স্প্রেডশীট,	
times,	টিইমস,	টাইমস্,	
carbus,	কার্বাস,	কারবাস,	
elakaai,	এলাকাই,	এলাকাই,	
hepatetisa,	হেপাটেটিস,	হেপাটাইটিস,	
falak,	ফালাক,	ফলক,	
bagdad,	বাগদাদ,	বাগদাদে,	
pratool,	প্রাতুল,	প্রতুল,	
batsmanei,	ব্যাটসম্যানেই,	ব্যাটসম্যানই,	
emarjensi,	এমারজেন্সি,	এমার্জেন্সি,	
ancholtike,	অঞ্চলটিকে,	অঞ্চলটিকে,	
bhagnekeo,	ভাগনেকেও,	ভাগ্নেকেও,	
chalochchitrei,	চলচ্চিত্রেই,	চলচ্চিত্রেই,	
spreedashita,	স্প্র্ইডিশিটা,	স্প্রেডশীট,	
mukhomandaley,	মুখমনান্ডলী,	মুখমণ্ডলে,	
selim,	সেলিম,	সেলিম,	
bhardwaj,	ভর্দ্বজ,	ভরদ্বাজ,	
dara,	দারা,	দারা,	
wilderske,	উইল্ডার্সকে,	উইল্ডার্সকে,	
khelaphate,	খেলাফাতে,	খেলাফতে,	
koruna,	কোরুনা,	করুণা,	
keui,	কেউই,	কেউই,	
matis,	মাতিস,	ম্যাটিস,	
sqalarashipa,	স্কলারোচিপা,	স্কলারশিপ,	
obdi,	অব্দি,	অব্দি,	
jinsa,	জিনসা,	জিন্স,	
gorrer,	গর্মের,	গোরের,	
byaktigotovabeo,	ব্যক্তিগতভাবেও,	ব্যাক্তিগতভাবেও,	
mekong,	মেকং,	মেকং,	
nagorikke,	নাগরিককে,	নাগরিককে,	
dishani,	দিশানি,	দিশানি,	
uddhritto,	উদ্ধৃত্ব,	উদ্ধৃত,	
naraphoka,	নারাফোকা,	নরফোক,	
onucheeder,	অনুচেদের,	অনুচ্ছেদের,	
kanasharabheshhana,	কনাশারেভশন,	কনসারভেশন,	
pare,	পারে,	পাড়ে,	
baipash,	বাইপাশ,	বাইপাস,	
plak,	প্লাক,	প্ল্যাক,	
skirt,	স্কির্ট,	স্কার্ট,	
karecho,	করেছো,	করেছো,	
bethikata,	বেথিকাটা,	বেঠিকতা,	
porishongkhanbid,	পরিশংখ্যানবিদ,	পরিসংখ্যানবিদ,	
susamo,	সুসামো,	সুসম,	
lokhindorer,	লখিন্দরের,	লখিন্দরের,	
hijrite,	হিজরিতে,	হিজরীতে,	
premo,	প্রেমো,	প্রিমো,	
daakteekite,	ডাক্তিকিতে,	ডাকটিকিটে,	
shahanara,	শাহানারা,	শাহানারা,	
atmira,	আত্মীরা,	আত্মীরা,	
bhotomulyoke,	ভোটমূল্যকে,	ভোটমূল্যকে,	
swajan,	স্বজন,	স্বজন,	
nogore,	নগরে,	নগরে,	
achintyabhedaved,	অচিন্ত্যভেদবেদ,	অচিন্ত্যভেদাভেদ,	
ghoomachhilo,	ঘুমাছিল,	ঘুমাচ্ছিল,	
foxcon,	ফক্সন,	ফক্সকন,	
kuttake,	কুট্টাকে,	কুত্তাকে,	
rinobodh,	ঋণবোধ,	ঋণবোধ,	
gaichhe,	গাইছে,	গাইছে,	
sift,	সিফট,	শিফট,	
torunra,	তরুনরা,	তরুণরা,	
chalochchitraeer,	চলচ্চিত্রের,	চলচ্চিত্রের,	
choudry,	ইাউ্ডির,	চৌধুরী,	
baharamporer,	বাহারম্পরের,	বহরমপুরের,	
aholyar,	অহল্যার,	অহল্যার,	
jonoshongjog,	জনশঙ্গগ,	জনসংযোগ,	
bajite,	বাজিতে,	বাজিতে,	
ekekrokom,	একেক্রকম,	একেকরকম,	
jothon,	যথন,	যথন,	
sobrakamer,	সব্রাকামের,	সবরকমের,	
shchalastic,	স্ক্যালাস্টিক,	স্কলাস্টিক,	
dhaanche,	ধানছে,	ধাঁচে,	
karaa,	কারা,	কারো,	
chowdhuryke,	চৌধুরিকে,	চৌধুরীকে,	
nodimatrik,	নদীমাত্রিক,	নদীমাতৃক,	
khudhartara,	ক্ষুধার্তরা,	ক্ষুধার্তরা,	
baju,	বাজু,	বাজু,	
chokhwala,	চোখবালা,	চোখওয়ালা,	
grambaasheeo,	গ্রামবাশীও,	গ্রামবাসীও,	
ekatto,	একাত্ত,	একাত্ব,	
nischitvabe,	নিশ্চিতভাবে,	নিশ্চিতভাবে,	
chorban,	চরবান,	চর্বন,	
oblivion,	অব্লিভিয়ন,	অবলিভিয়ন,	
asommoti,	অসম্মতি,	অসম্মতি,	
vimsen,	ভিমসেন,	ভীমসেন,	
indro,	ইন্দ্রো,	ইন্দ্র,	
sarbhare,	সরভরে,	সার্ভারে,	
samashtike,	সমশ্্তিকে,	সমষ্টিকে,	
landing,	ল্যান্ডিং,	ল্যান্ডিং,	
omeettrakkhor,	অমিত্ররক্ষর,	অমিত্রাক্ষর,	
asthishondhi,	অস্থিসন্ধি,	অস্থিসন্ধি,	
temanti,	তেমান্তি,	তেমনটি,	
whole,	হোলে,	হোল,	
prothakey,	প্রথাকে,	প্রথাকে,	
mangolic,	ম্যাঙ্গলিক,	মাঙ্গলিক,	
braqe,	ব্রেক,	ব্রেক,	
inziniyarsa,	ইঞ্জিনিয়ারসা,	ইঞ্জিনিয়ার্স,	
creshcent,	ক্রেসেন্ট,	ক্রিসেন্ট,	
dharabahikvabe,	ধারাবাহিকভাবে,	ধারাবাহিকভাবে,	
eevil,	ইভিল,	ইভিল,	
alpo,	আলপো,	অল্প,	
rohinibabu,	রোহিনীবাবু,	রোহিনীবাবু,	
dantahin,	দানতাহীন,	দন্তহীন,	
bastubad,	বস্তুবাদ,	বস্তুবাদ,	
karmake,	কারমাকে,	কর্মকে,	
graminphonor,	গ্রামিনবনোর,	গ্রামীণফোনর,	
arekdol,	আরেকডল,	আরেকদল,	
aborto,	আবর্ত,	আবর্ত,	
bhaandar,	ভান্ডার,	ভাণ্ডার,	
shit,	শীত,	শীত,	
shringa,	শ্রীংগা,	শৃঙ্গ,	
kinto,	কিন্ট,	কিনত,	
tigmanshu,	তিগমানশু,	তিগমংশু,	
upobasher,	উপবাশের,	উপবাসের,	
mitro,	মিত্রো,	মিত্র,	
siqhar,	সিখার,	শিকার,	
fuss,	ফুস,	ফাস,	
sima,	সিমা,	সীমা,	
gajano,	গজনও,	গজানো,	
poripake,	পরিপাকে,	পরিপাকে,	
alsaar,	আলসার,	আলসার,	
ayumi,	আয়ুমি,	আয়ুমি,	
chilahatee,	চিলাহাটি,	চিলাহাটি,	
shucharita,	শুচারিতা,	সুচরিতা,	
sanghatakder,	সংহঠকদের,	সংঘটকদের,	
qredita,	ক্রেডিটা,	ক্রেডিট,	
title,	টিটল,	টাইটেল,	
abdoone,	আবদুনে,	আবদুন,	
laaisens,	লাইসেন্স,	লাইসেন্স,	
heerani,	হেরানী,	হিরানি,	
zonsa,	জনসা,	জোন্স,	
dhyana,	ধ্যানা,	ধ্যান,	
antarctika,	অন্তার্ক্টিকা,	অ্যান্টার্কটিকা,	
charpanch,	চারপাঞ্চ,	চারপাঁচ,	
katiusha,	কতিউষা,	কাতিউশা,	
golimodhye,	গোলিমধ্যে,	গলিমধ্যে,	
amor,	আমর,	আমর,	
jhonkar,	ঝোঁকার,	ঝঙ্কার,	
holding,	হোল্ডিং,	হোল্ডিং,	
kk,	কেকে,	কেকে,	
peeri,	পীরই,	পেরি,	
crashlands,	ক্রান্্যাল্ডস,	ক্র্যাশল্যান্ডস,	
istoone,	ইস্তুনে,	স্টোন,	
bhenkates,	ভেঙ্কটেস,	ভেঙ্কটেশ,	
samratder,	সমরতদের,	সম্রাটদের,	
sadbi,	সাদবি,	সাধ্বী,	
jontropatigulite,	যন্ত্রপাতিগুলিতে,	যন্ত্রপাতিগুলিতে,	
adhikartai,	অধিকারততাই,	অধিকর্তাই,	
durbhagya,	দূর্ভাগ্য,	দূর্ভাগ্য,	
orrgho,	অর্ঘ,	অর্ঘ্য,	
byepass,	বিপাস,	বাইপাস,	
oncholtee,	অনচলটি,	অঞ্চলটি,	
shrabosty,	শ্রাবসটি,	শ্রাবস্তী,	
rejidens,	রেজিডেন্স,	রেসিডেন্স,	
epiela,	এপিল্জ,	আইপিএল,	
sahab,	সাহাব,	সাহাব,	
deil,	ডেল,	ডেইল,	
rohosyo,	রহস্য,	রহস্য,	
idyi,	ইডিই,	আইডিই,	
ultrasonography,	আল্ট্রানোস্রোগ,	আলট্রাসনোগ্রাফিও,	
gaaddafee,	গাদ্বাফি,	গাদ্দাফী,	
rudiger,	রুদীগের,	রুদিগের,	
skolarsip,	স্কলারসিপ,	স্কলারশিপ,	
dibi,	দিবি,	দিবি,	
uponishad,	উপনিশাদ,	উপনিষদ,	
cathalic,	ক্যাথালিক,	ক্যাথলিক,	
kuldip,	কুলদীপ,	কুলদীপ,	
bojata,	বোজাতা,	বোজাটা,	
haripur,	হরিপুর,	হরিপুর,	
daybhager,	দাবভাগের,	দায়ভাগের,	
kogake,	কোগাকে,	কোগাকে,	
mosjidsoho,	মসজিদসহ,	মসজিদসহ,	
pratijogira,	প্রতিযোগীরা,	প্রতিযোগীরা,	
daaoon,	দাওন,	ডাউন,	
anusvara,	অনুষ্বরা,	অনুস্বার,	
gandhiir,	গান্ধীর,	গান্ধীর,	
karmosansthan,	কর্মসানস্থান,	কর্মসংস্থান,	
bhagno,	ভাগনো,	ভগ্ন,	
eoki,	ইইকেই,	এওকি,	
badaghat,	বাদাঘাট,	বাদাঘাট,	
auttacharer,	অট্টাচারের,	অত্যাচারের,	
thanvi,	থানভি,	থানভী,	
shansthagulo,	শাংস্থাগুলো,	সংস্থাগুলো,	
khonjena,	খোঁজেনা,	খোঁজেনা,	
breqathru,	ব্রেকাররু,	ব্রেকথ্রু,	
ghotolen,	ঘটলনেন,	ঘটলেন,	
unitgulo,	ইউনিটগুলো,	ইউনিটগুলো,	
neerbahe,	নির্বাহে,	নির্বাহে,	
dharmiyabhabei,	ধর্্যিকভাবেই,	ধর্মীয়ভাবেই,	
suhayeler,	সুহায়েলের,	সুহায়েলের,	
konistho,	কনিষ্ঠ,	কনিষ্ঠ,	
mane,	মানে,	মানে,	
vedanta,	ভেদান্ত,	বেদান্ত,	
zubokder,	যুবকদের,	যুবকদের,	
juktorashtreo,	যুক্তরাষ্ট্রেও,	যুক্তরাষ্ট্রেও,	
sikkhokder,	শিক্ষকদের,	শিক্ষকদের,	
binakar,	বিনাকার,	বিনাকার,	
byboshthar,	ব্যবস্থার,	ব্যাবস্থার,	
dhrubaker,	ধ্রুবাকের,	ধ্রুবকের,	
chereche,	চেরেছে,	ছেড়েছে,	
vushito,	ভুষিত,	ভূষিত,	
marri,	ম্রি,	ম্যারি,	
gaphiloti,	গাফিলটি,	গাফিলতি,	
poripakey,	পরিপাকে,	পরিপাকে,	
zohns,	জনস,	জন্স,	
cs,	সিএস,	সিএস,	
zarniz,	জার্নিজ,	জারনিজ,	
durarohini,	দুরারাহিনী,	দুরারোহিণী,	
amiretus,	অ্যামিটারুস,	এমিরেটাস,	
anchalo,	অঞ্চালো,	অঞ্চলও,	
mukhomandaler,	মুখমন্ডালের,	মুখমণ্ডলের,	
shahidputra,	শহিদপুত্র,	শহীদপুত্র,	
aasar,	আসার,	আসর,	
kobutorer,	কবুতরের,	কবুতরের,	
matorom,	মাতররম,	মাতরম,	
miraclee,	মিরাকলি,	মিরাকেল,	
kanader,	কানাদের,	কণাদের,	
probhura,	প্রভূরা,	প্রভুরা,	
pujito,	পুজিত,	পুজিত,	
toroonraa,	তরুণরা,	তরুণরা,	
beshakbar,	বেশকবার,	বেশকবার,	
laps,	ল্যাপস,	ল্যাপস,	
cheerokoomari,	চিরকমারি,	চিরকুমারী,	
harris,	হ্যারিস,	হ্যারিস,	
hooldim,	হোল্ডিম,	হোল্ডিং,	
chikitsanirbhar,	চিকিতসনির্ভর,	চিকিৎসানির্ভর,	
seniar,	সেনিয়ার,	সিনিয়র,	
steena,	স্তিন,	স্টেন,	
jackey,	জ্যাকে,	জকি,	
armstronz,	আর্মস্ট্রোন,	আর্মস্ট্রং,	
vishnuu,	বিষ্ণু,	বিষ্ণু,	
karmojog,	কর্মযোগ,	কর্মযোগ,	
marketing,	মার্কেটিং,	মার্কেটিং,	
hajirhat,	হাজীরহাট,	হাজিরহাট,	
thandabhabe,	ঠান্ডাভাবে,	ঠাণ্ডাভাবে,	
prasadhani,	প্রসাধনী,	প্রসাধনী,	
prosadhani,	প্রসাধনী,	প্রসাধনী,	
daktickete,	ডাক্তিকেতে,	ডাকটিকিটে,	
latsaheb,	লাতসাবেব,	লাটসাহেব,	
nabyata,	নব্যতা,	নাব্যতা,	
ashiatic,	এশিয়াতিক,	এশিয়াটিক,	
ganochin,	গণছিন,	গণচীন,	
naabyota,	নব্যতা,	নাব্যতা,	
nischitobhave,	নিশ্চিতভাবে,	নিশ্চিতভাবে,	
teemothy,	টিমথি,	টিমোথি,	
tenishe,	তেনিশে,	টেনিসে,	
residence,	রেসিডেন্সে,	রেসিডেন্স,	
sweety,	স্বিটি,	সুইটি,	
aaps,	এএপিএস,	এএপিএস,	
mailkhanek,	মাইলখাডেক,	মাইলখানেক,	
khorsed,	খোরসেড,	খোরশেদ,	
osomorthito,	অসমর্থিত,	অসমর্থিত,	
balabhadra,	বলাবদরা,	বলভদ্র,	
marry,	ম্যারি,	ম্যারি,	
sikarer,	সিকারের,	শিকারের,	
rayyalati,	রৈয়লাটি,	রয়্যালটি,	
abheedhanik,	অভিধানিক,	অভিধানিক,	
nabatarange,	নবতরঙ্গে,	নবতরঙ্গে,	
parqim,	পারকিম,	পার্কিং,	
udbhaboney,	উদ্ভাবনে,	উদ্ভাবনে,	
anchalsaho,	অঞ্চলসহ,	অঞ্চলসহ,	
asif,	আসিফ,	আসিফ,	
ashok,	আশক,	আশোক,	
rajshri,	রাজশ্রী,	রাজশ্রী,	
nirarthak,	নিরার্থক,	নিরর্থক,	
inafarameshana,	ইনাফারেশন,	ইনফরমেশন,	
renoo,	রেনু,	রেনো,	
nirbaahe,	নির্বাহে,	নির্বাহে,	
bujhechhila,	বুঝেচ্ছিলা,	বুঝেছিল,	
toranganj,	তরঙঙ্গঞ্জ,	তোরাবগঞ্জ,	
kichutei,	কিছুতেই,	কিছুতেই,	
karu,	কারু,	কারু,	
popaike,	পপাইকে,	পপাইকে,	
boiragirhat,	বৈরাগিরহাট,	বৈরাগিরহাট,	
vogiroth,	ভোগীরথ,	ভগীরথ,	
jeten,	জেতেন,	জেতেন,	
teamothy,	টিমথি,	টিমোথি,	
crime,	ক্রাইম,	ক্রাইম,	
nischoy,	নিশ্চয়,	নিশ্চয়,	
sikkhakromer,	শিক্ষাক্রমের,	শিক্ষাক্রমের,	
kaamij,	কামিজ,	কামিজ,	
bipajjanak,	বিপজ্জানক,	বিপজ্জনক,	
grootha,	গ্রুথা,	গ্রোথ,	
aakik,	আকিক,	আকিক,	
pothon,	পথন,	পঠন,	
dharmee,	ধর্মী,	ধর্মী,	
chintamani,	চিন্তামনি,	চিন্তামনি,	
shotodha,	শতাধা,	শতধা,	
rajendracholer,	রাজেন্দ্রচলের,	রাজেন্দ্রচোলের,	
poscime,	পশ্চিমে,	পশ্চিমে,	
horash,	হোরাশ,	হোরাস,	
chhaikalo,	ছাকালো,	ছাইকালো,	
armshtrong,	আর্মশ্ট্রং,	আর্মস্ট্রং,	
oitijje,	ঐতিহ্যে,	ঐতিহ্যে,	
giitikobitar,	গীতিকববিতার,	গীতিকবিতার,	
atwabishvashi,	আত্বাবিশাবাসী,	আত্মবিশ্বাসী,	
ghuznavi,	ঘুজনাভি,	গজনভি,	
shikara,	শিকারা,	শিকার,	
rananganey,	রনাঙ্গনে,	রণাঙ্গনে,	
gotirodh,	গতিরোধ,	গতিরোধ,	
gej,	গেজ,	গেজ,	
doorger,	ডার্গের,	দুর্গের,	
torutoler,	তরুতলের,	তরুতলের,	
murali,	মুরালী,	মুরলী,	
manab,	মানাব,	মানব,	
samajikotar,	সমাজিকতার,	সামাজিকতার,	
kourabe,	কৌরাবে,	কৌরবে,	
dekaner,	দেকানের,	দেকানের,	
dacope,	ড্যাকোপ,	দাকোপ,	
kinenni,	কিনেননি,	কিনেননি,	
sheetke,	শীটকে,	শীতকে,	
probeshan,	প্রবেশান,	প্রবেশন,	
elbamtite,	এলবামটিতে,	এলবামটিতে,	
hooq,	হুক,	হুক,	
taunship,	টাউনশিপ,	টাউনশিপ,	
kottar,	কোত্তার,	কট্টর,	
as,	আশা,	অস,	
nazad,	নাজাদ,	নজদ,	
kkhur,	কুহর,	ক্ষুর,	
alraji,	আলরাজি,	আলরাজী,	
dianes,	ডায়েনিস,	ডিএনএস,	
suisharke,	সুইশারকে,	সুইশারকে,	
oncholshomuher,	অন্চচরসমূহের,	অঞ্চলসমূহের,	
bolechile,	বলেছিলে,	বলেছিলে,	
humner,	হুমনার,	হামনার,	
stana,	স্ত্যান,	স্টোন,	
hoteltee,	হোটেলটি,	হোটেলটি,	
townshhip,	টাষনপি,	টাউনশিপ,	
karadandey,	করাদন্দে,	কারাদণ্ডে,	
messengerer,	মেসেন্গার,	মেসেঞ্জারের,	
neelfamarir,	নীলফামারীর,	নীলফামারীর,	
dajhyo,	দাঝ্য,	দাহ্য,	
kale,	কাল্,	কালে,	
phokser,	ফকসের,	ফক্সের,	
si,	সিও,	এসআই,	
fasi,	ফাসি,	ফাঁসী,	
bihar,	বিহার,	বিহার,	
bondira,	বন্দীরা,	বন্দীরা,	
mast,	মাস্ট,	মাস্ত,	
wictor,	উইক্টর,	ভিক্টর,	
stander,	স্ট্যান্ডার,	স্ট্যাণ্ডের,	
jamjamat,	জাম্জামাত,	জমজমাট,	
masto,	মাস্তো,	মাস্ত,	
sarboshokteeman,	সর্বশক্তিমান,	সর্বশক্তিমান,	
survative,	সারভেটিভ,	সারভেটিভ,	
difinisian,	ডিফিনিসায়ান,	ডেফিনেশন,	
reliance,	রিলিয়েন্স,	রিলায়েন্স,	
tuleche,	তুলেছে,	তুলেছে,	
residensa,	রেসিডেন্সা,	রেসিডেন্স,	
ashirbadatri,	আশীর্বাদত্রী,	আশীর্বাদাত্রী,	
dubureer,	ডুবুরির,	ডুবুরির,	
chhuteer,	ছুটির,	ছুটির,	
cheentaikaree,	চিন্তাইকারী,	ছিনতাইকারী,	
bheenisa,	ভীনিসা,	ভেনিস,	
ashociatesh,	অ্যাসিয়েটস,	এসোসিয়েটস,	
peri,	পেরি,	পেরি,	
abhirupbabuke,	অভিরূপবাবুকে,	অভিরূপবাবুকে,	
evaner,	ইভানের,	ইভানের,	
mozdoor,	মজদুর,	মজদুর,	
nirgoon,	নিরগুণ,	নির্গুণ,	
unchuporjayer,	উঁচুপর্যায়ের,	উঁচুপর্যায়ের,	
manbe,	মানবে,	মানবে,	
motkey,	মটকে,	মতকে,	
segular,	সেগুলার,	সেগুলোর,	
tunaita,	টুনাইটা,	টুনাইট,	
ghurte,	ঘুরতে,	ঘুরতে,	
ayantarqatiqa,	অযন্ত্রকীকত,	অ্যান্টার্কটিকা,	
ghatla,	ঘাটলা,	ঘটল,	
firalem,	ফিরালেম,	ফিরালেম,	
jumlalancer,	জুমলালাঁসের,	জুমলাল্যান্সার,	
kraanti,	ক্রানটি,	ক্রান্তি,	
ponjikar,	পঞ্জিকার,	পঞ্জিকার,	
kidambi,	কিদাম্বি,	কিদম্বি,	
sutir,	সুটির,	সুতির,	
shubhag,	শুভাগ,	শুভাগ,	
attorkite,	অত্মরকিতে,	অতর্কিতে,	
ishtone,	ইশ্তোনে,	স্টোন,	
cholochchitra,	চলচ্চিত্রা,	চলচ্চিত্র,	
phood,	ফুড,	ফুড,	
rachonakal,	রচনাকাল,	রচনাকাল,	
siima,	সিম়া,	সীমা,	
paroner,	পারণের,	পারণের,	
osamanno,	অসামান্য,	অসামান্য,	
patigoniter,	পাটিগনিতের,	পাটিগণিতের,	
veenis,	ভিনিস,	ভেনিস,	
mukhomandoler,	মুখমনমনলের,	মুখমণ্ডলের,	
mette,	মেটে,	ম্যাট,	
orthonitir,	অর্থনীতির,	অর্থনীতির,	
rekhapat,	রেখাপাত,	রেখাপাত,	
asbab,	আসবাব,	আসবাব,	
bipti,	বিপ্তি,	বিপ্তি,	
ganokantha,	গণকোঁঠা,	গণকণ্ঠ,	
bamni,	বামনি,	বামনী,	
bornanukrome,	বর্ণানুক্রমে,	বর্নানুক্রমে,	
suraaropito,	সুরাপরিত,	সুরারোপিত,	
karpeter,	কারপেটের,	কার্পেটের,	
suchonakal,	সূচনাকাল,	সূচনাকাল,	
licencer,	লাইসেন্সার,	লাইসেন্সের,	
prime,	প্রাইম,	প্রাইম,	
chitlar,	চিতলার,	চিতলার,	
jhanjra,	ঝঞ্জরা,	ঝাঁজরা,	
plate,	প্লেট,	প্লেটে,	
aro,	আরো,	আরও,	
tukroti,	তুকরোতি,	টুকরোটি,	
perry,	পেরি,	পেরি,	
lyaataa,	ল্যাট,	ল্যাটা,	
neemeetto,	নিমিত্ত,	নিমিত্ত,	
bonnopran,	বন্যপ্রাণ,	বন্যপ্রাণ,	
humira,	হুমিরা,	হুমিরা,	
municipal,	মুনিসিপল,	মিউনিসিপ্যাল,	
adhunikkale,	আধুনিক্কালে,	আধুনিককালে,	
nederlande,	নেডারল্যাণ্ডে,	নেদারল্যান্ডে,	
yak,	যাক,	ইয়াক,	
arshie,	আর্ষিয়ে,	আরসিএ,	
rakim,	রকিম,	রাকিম,	
zubokra,	যুবক্রা,	যুবকরা,	
peeth,	পিথ,	পীঠ,	
snehban,	স্নেহবান,	স্নেহবান,	
mandarbani,	মন্দরবানী,	মন্দারবাণী,	
taronee,	তারণী,	তরণী,	
icelands,	আইসেল্যান্ডস,	আইসল্যান্ডসহ,	
arasie,	আরাসি,	আরসিএ,	
bosben,	বসবেন,	বসবেন,	
dai,	দাই,	ডে,	
nirmolota,	নির্মলতা,	নির্মলতা,	
audioguloke,	অডিওগুলোকে,	অডিওগুলোকে,	
sqolastiq,	স্কোলাস্টিক,	স্কলাস্টিক,	
jounatar,	যৌনাতার,	যৌনতার,	
prakalpagulor,	প্রকালগুলোর,	প্রকল্পগুলোর,	
manushgulor,	মানুষগুলোর,	মানুষগুলোর,	
bunot,	বুনোট,	বুনট,	
probolshoktio,	প্রবলসক্তিও,	প্রবলশক্তিও,	
pyore,	পিয়ের,	পিওর,	
cheenja,	চিঞজজা,	চেঞ্জ,	
teenisa,	তীনিস,	টেনিস,	
pustir,	পুস্তির,	পুষ্টির,	
kachhakaachhi,	কাছাকাচি,	কাছাকাছি,	
sonaicha,	সোনাইচা,	সোনাইচা,	
arthurer,	অর্থুরের,	আর্থারের,	
nabayug,	নবায়ুগ,	নবযুগ,	
ganosochetonota,	গণসচেতনতা,	গণসচেতনতা,	
iqbalke,	ইকবালকে,	ইকবালকে,	
sahozlabhbhatar,	সহজ্লভভতার,	সহজলভ্যতার,	
dokkhinangsho,	দক্ষিণাংশ,	দক্ষিণাংশ,	
toroonra,	তরুনরা,	তরুণরা,	
bagicha,	বাগিচা,	বাগিচা,	
somraat,	সোররাত,	সম্রাট,	
samajik,	সমজিক,	সামাজিক,	
supplenza,	সাপললেনজা,	সাপলেঞ্জা,	
manabmaner,	মানবমানের,	মানবমনের,	
rajan,	রাজান,	রাজন,	
salapheeta,	সালাফিটা,	সালফেট,	
batom,	বাতোম,	বাটম,	
uparjoner,	উপারজনের,	উপার্জনের,	
aairees,	এইরিস,	আইরিস,	
direqtareta,	ডিরেক্টরেট,	ডিরেক্টরেট,	
raagee,	রাগী,	রাগী,	
nopdnodir,	নপ্দদনির,	নদনদীর,	
plainey,	প্লাইন,	প্লেনে,	
hights,	হাইটস্,	হাইটস,	
moddhyoshtho,	মধ্যস্থ,	মধ্যস্থ,	
johny,	জোনি,	জনি,	
eenameela,	ইনামেলা,	এনামেল,	
patrol,	প্যাটরোল,	পেট্রোল,	
heena,	হীন,	হেনা,	
naazee,	নাজি,	নাত্সি,	
himchi,	হিমছি,	হিমচি,	
podotyagsongkranto,	পদত্যাগ্ন্র্রান্ত,	পদত্যাগসংক্রান্ত,	
