towraat,	তোরাট,	তওরাত,	
seramiks,	সেরামিক্স,	সিরামিকস,	
jokkher,	যক্ষের,	যক্ষের,	
nothivukto,	নথিভূক্ত,	নথিভুক্ত,	
chowdhurir,	চোুধুরির,	চৌধুরীর,	
nirmalata,	নির্মলতা,	নির্মলতা,	
deilee,	ডেলি,	ডেইলি,	
provritike,	প্রভৃতিকে,	প্রভৃতিকে,	
maila,	মাইলা,	মাইল,	
shift,	সিফ,	শিফট,	
abdi,	আব্দি,	অব্দি,	
talgach,	তালগাছ,	তালগাছ,	
bhalobasar,	ভালোবাসার,	ভালোবাসার,	
institutione,	ইনস্টিটিশনে,	ইনস্টিটিউশনে,	
aarmstrong,	আর্মস্ট্রং,	আর্মস্ট্রং,	
sinakey,	সিনাকে,	সিনাকে,	
veenis,	ভিনিস,	ভেনিস,	
khagen,	খাগেন,	খগেন,	
shilbar,	শিলবার,	সিলভার,	
pujit,	পুজিত,	পুজিত,	
byaboharkareer,	ব্যবহারকারীর,	ব্যবহারকারীর,	
hepatetisa,	হেপাটেটিসা,	হেপাটাইটিস,	
treebhuj,	ত্রিভূজ,	ত্রিভূজ,	
heteler,	হেতেলের,	হেটেলের,	
rakshanbhag,	রক্ষণভাগ,	রক্ষণভাগ,	
prasadhoner,	প্রসাধনের,	প্রসাধনের,	
toranganj,	তোরঙ্গঞ্জ,	তোরাবগঞ্জ,	
chalochchitreei,	চল্চচিত্রীতেই,	চলচ্চিত্রেই,	
itastata,	ইতাস্ততা,	ইতস্তত,	
artilary,	আর্টিলারি,	আর্টিলারি,	
danakana,	দনকানা,	ডানকান,	
teenisa,	টিনিসা,	টেনিস,	
korle,	করলে,	করলে,	
mitrer,	মিত্রের,	মিত্রের,	
kirti,	কিরটি,	কীর্তি,	
basaake,	বাসাকে,	বাসাকে,	
gandagol,	গান্ডাগল,	গন্ডগোল,	
swastir,	স্বস্তির,	স্বস্তির,	
chikkingsasoho,	চিক্সিকাসসহ,	চিকিংসাসহ,	
bhandar,	ভান্দার,	ভাণ্ডার,	
hizrite,	হিজরিতে,	হিজরীতে,	
buth,	বুথ,	বুথ,	
elakai,	এলাকাই,	এলাকাই,	
militarite,	মিলিটারিতে,	মিলিটারিতে,	
gobeshonar,	গবেষণার,	গবেষনার,	
parijaner,	পরিজানের,	পরিজনের,	
manjushri,	মঞ্জিশ্রী,	মঞ্জুশ্রী,	
pathanatak,	পাঠানাটক,	পথনাটক,	
asantosh,	অসন্তোষ,	অসন্তোষ,	
naajii,	নাজি,	নাত্সি,	
bishshasho,	বিশ্ষাশ,	বিশ্বাসও,	
atak,	আতাক,	আটক,	
riphleksa,	রিফলেকসা,	রিফ্লেক্স,	
parking,	পারকিং,	পার্কিং,	
tapdei,	তাপদেই,	তাপড়েই,	
jetam,	জেতাম,	যেতাম,	
segulo,	সেগুলো,	সেগুলো,	
motke,	মটকে,	মতকে,	
tennys,	টেনিস,	টেনিস,	
feroza,	ফেরোজা,	ফিরোজা,	
zoojyota,	যোজুয়তা,	যোজ্যতা,	
ostad,	অস্তাদ,	ওস্তাদ,	
norpholk,	নরফলক,	নরফোক,	
venuser,	ভেনুসের,	ভেনাসের,	
mukhmondole,	মুখমন্ডলে,	মুখমণ্ডলে,	
soleel,	সলিল,	সলিল,	
debete,	দেবেতে,	ডিবেট,	
gurmukh,	গুরমুখ,	গুরমুখ,	
karaponner,	কারাপন্নের,	কারাপণ্যের,	
susamo,	সুসামো,	সুসম,	
obdi,	অব্দি,	অব্দি,	
guzober,	গুজবের,	গুজবের,	
siddhantoke,	সিদ্ধান্তকে,	সিদ্ধান্তকে,	
brittakare,	বৃত্তকারে,	বৃত্তাকারে,	
ase,	আসে,	আসে,	
armori,	আর্মরি,	আরমোরি,	
registrikrito,	রেজিস্ত্রিকৃত,	রেজিস্ট্রীকৃত,	
bishwasho,	বিশ্বাশো,	বিশ্বাসও,	
khalid,	খালিদ,	খালিদ,	
konnoder,	কন্যদের,	কন্যদের,	
korkotkraantee,	কর্কক্্রান্তে,	কর্কটক্রান্তি,	
shahabike,	শাহাবিকে,	সাহাবীকে,	
nirbaho,	নির্বাহ,	নির্বাহ,	
eporjonto,	এপর্যন্ত,	এপর্যন্ত,	
saarbharti,	সার্ভারটি,	সার্ভারটি,	
heepatitis,	হিপাটিটিস,	হেপাটাইটিস,	
oncholke,	অনচকলে,	অঞ্চলকে,	
kaalki,	কালকি,	কালকি,	
lambi,	লাম্বি,	লম্বি,	
croak,	ক্রাক,	ক্রোক,	
bokul,	বোকুল,	বকুল,	
phokser,	ফকসের,	ফক্সের,	
cheekitshar,	চিকিতশার,	চিকিত্সার,	
shfingtar,	সিফিংটার,	স্ফিংটার,	
madrasake,	মাদ্রাসাকে,	মাদ্রাসাকে,	
dhandu,	ধান্দু,	ধন্দু,	
zerusalem,	জেরুসালেম,	জেরুসালেম,	
choudhurike,	চৌধুরীকে,	চৌধুরীকে,	
soceitytey,	সোসিটিতে,	সোসাইটিতে,	
bouddher,	বৌদ্ধের,	বৌদ্ধের,	
bhenom,	ভেনম,	ভেনম,	
johny,	জননী,	জনি,	
ritesh,	ঋতেশ,	রিতেশ,	
adhikartai,	অধিকারটাই,	অধিকর্তাই,	
asthishondhi,	অস্থিসন্ধি,	অস্থিসন্ধি,	
utpotti,	উৎপত্তি,	উতপত্তি,	
dada,	ডাদা,	দাদা,	
jonosomaj,	জনসমাজ,	জনসমাজ,	
registaner,	রেজিস্টানের,	রেগিস্তানের,	
brookoleen,	ব্রুকলিন,	ব্রুকলিন,	
eukalyptus,	ইইক্লাপিটাস,	ইউক্যালিপ্টাস,	
machgulo,	মাচগুলো,	মাছগুলো,	
coons,	কনস্,	কুনস,	
salchak,	সালচাক,	সালচাক,	
podotyagsongkranto,	পদ্্যাংসংক্রান্ত,	পদত্যাগসংক্রান্ত,	
manab,	মানব,	মানব,	
queri,	কুয়েরি,	কোয়েরি,	
siddhanto,	সিদ্ধান্ত,	সিদ্ধান্তও,	
mandape,	মণ্ডপে,	মন্ডপে,	
michir,	মিচির,	মিচির,	
hol,	হোল,	হোল,	
tukroke,	তুকরোকে,	টুকরোকে,	
angibhutovabe,	অঙ্গিভূতভাবে,	অঙ্গীভূতভাবে,	
bhardwaj,	ভাদ্বাজ,	ভরদ্বাজ,	
barnis,	বার্নিস,	বার্নিশ,	
vugoley,	ভুগোলে,	ভূগোলে,	
moddhyoshtho,	মধ্যস্্থ,	মধ্যস্থ,	
paadee,	পায়েদ,	পাড়ে,	
nirmolotaa,	নির্মলতা,	নির্মলতা,	
station,	স্টেশন,	ষ্টেশন,	
aamor,	আমর,	আমর,	
ummool,	উম্ুল,	উম্মুল,	
echhti,	এছটি,	এছটি,	
shringge,	শৃঙ্গে,	শৃঙ্গে,	
horiddar,	হরিদ্দার,	হরিদ্বার,	
gara,	গারা,	গোর,	
torunosomriddho,	তরুণসমৃৃদ্ধ,	তরুণসমৃদ্ধ,	
dinifitian,	ডিনিফিটিয়ান,	ডেফিনেশন,	
ekshoti,	একশটি,	একশোটি,	
katbe,	কাতবে,	কাটবে,	
mathews,	ম্যাথেস,	ম্যাথিউস,	
mukhbondho,	মুখবন্ধ,	মুখবন্ধ,	
pharn,	ফার্ন,	ফার্ন,	
metropalitana,	মেট্রোপালিটান,	মেট্রোপলিটন,	
ultrasonography,	আল্ট্রোস্কাগাফ্পী,	আলট্রাসনোগ্রাফিও,	
tanu,	তানু,	তনু,	
whole,	হোলে,	হোল,	
priseflex,	প্রাইসফেক্স,	প্রাইজফ্লেক্স,	
chheher,	ছেহের,	ছেহের,	
chamski,	চমস্কি,	চমস্কি,	
bhujangta,	ভুগাংটা,	ভুজঙ্গটা,	
firozapure,	ফিরোজাপুরে,	ফিরোজাপুরে,	
shikshagata,	শিক্ষাগতা,	শিক্ষাগত,	
ramchander,	রামচন্দের,	রামচন্দরের,	
chakradhare,	চক্রধরে,	চক্রধরে,	
jhumjhumita,	ঝুমঝুমিতা,	ঝুমঝুমিটা,	
avinetar,	অভিনেতার,	অভিনেতার,	
sqirt,	স্কির্ট,	স্কার্ট,	
aporishodhito,	অপরিষোধিত,	অপরিশোধিত,	
chasee,	চাসে,	চেস,	
hojurer,	হজুরের,	হজুরের,	
akkelpure,	আক্কেলপুরে,	আক্কেলপুরে,	
rahi,	রাহি,	রাহী,	
hank,	হ্যাংক,	হাঙ্ক,	
kanasarabhesana,	কনসারভভনে,	কনসারভেশন,	
sushposhtolikhito,	সুষ্প্্ষিলখিত,	সুষ্পষ্টলিখিত,	
marpit,	মারপিত,	মারপিট,	
brindaboney,	বৃন্দাবনে,	বৃন্দাবনে,	
seebiai,	সিবিয়া,	সিবিআই,	
sahittopritite,	সাহিত্যপৃত্তিতে,	সাহিত্যপ্রীতিতে,	
habshi,	হাবশি,	হাবশী,	
chintamani,	চিন্তামনি,	চিন্তামনি,	
ekatto,	একাত্ত,	একাত্ব,	
bohudeen,	বহুদেন,	বহুদিন,	
anyorup,	অন্যরূপ,	অন্যরূপ,	
mah,	মাহ,	মাহে,	
batsmanei,	বাঁসমানেই,	ব্যাটসম্যানই,	
addata,	আদ্দাতা,	আড্ডাটা,	
rubidium,	রুবিডিয়াম,	রুবিডিয়াম,	
nutoner,	নুটনের,	নূতনের,	
lyandim,	ল্যান্ডিন,	ল্যান্ডিং,	
fooloo,	ফুল,	পোলো,	
kormoke,	কর্মকে,	কর্মকে,	
adorsho,	অদর্শ,	আর্দশ,	
shomostigoto,	সমস্তিগত,	সমষ্টিগত,	
cholochchitraeeo,	চলচ্চিত্রারীও,	চলচ্চিত্রেও,	
kisti,	কিস্তি,	কিস্তি,	
peshto,	পেষ্ট,	পেষ্ট,	
dhangsantup,	ধনবসং্তূপ,	ধ্বংসন্তুপ,	
mangolic,	ম্যাঙ্গুলিক,	মাঙ্গলিক,	
sarollo,	সারোল্ল,	সারল্য,	
soommo,	সমমমো,	সুমো,	
chanoo,	চানু,	চানু,	
baarbadoj,	বারবাবজ,	বার্বাডোজ,	
venice,	ভেনিস,	ভেনিস,	
emerjency,	এমের্জন্সি,	এমার্জেন্সি,	
cholochchitratike,	চলচ্চিত্রাটিকে,	চলচ্চিত্রটিকে,	
sithilotar,	সিথিলতার,	শিথিলতার,	
pravura,	প্রভুরা,	প্রভুরা,	
karmojog,	কর্মযোগ,	কর্মযোগ,	
zohns,	জনস্,	জন্স,	
megh,	মেঘ,	মেঘ,	
bayii,	বাইই,	বাঈ,	
kormoi,	কর্মই,	কর্মই,	
ukeliptas,	উইকেলিপ্যাস,	ইউক্যালিপ্টাস,	
kingsh,	কিংস,	কিংস,	
cloudbook,	ক্লাউববক,	ক্লাউডবুক,	
udbhaboney,	উদ্ভাবনে,	উদ্ভাবনে,	
antennal,	অ্যান্টেনাল,	অ্যান্টেনাল,	
muhaiminer,	মুহাইমিনের,	মুহাইমিনের,	
dhauto,	ধাউটো,	ধৌত,	
motabolombira,	মতাবলম্বীরা,	মতাবলম্বীরা,	
shoori,	শূরী,	সুরি,	
doorger,	ডুর্গের,	দুর্গের,	
ranangone,	রানাঙগণে,	রণাঙ্গনে,	
aalkaatra,	আলকাত্র,	আলকাতরা,	
toxoid,	টক্সড,	টক্সয়েড,	
heerani,	হিরানী,	হিরানি,	
bikromei,	বিক্রমেই,	বিক্রমেই,	
sbajan,	স্বজন,	স্বজন,	
hadisti,	হাদিস্তি,	হাদিসটি,	
habol,	হাবল,	হাবোল,	
kadakhonchar,	কাদাখন্চার,	কাদাখোঁচার,	
machsoho,	মাচসহ,	মাছসহ,	
vittiteo,	ভিত্তিতেও,	ভিত্তিতেও,	
jiland,	জিলান্ড,	জিল্যান্ড,	
dhhaabi,	ঢাবি,	ঢাবি,	
browser,	ব্রসসের,	ব্রাউজার,	
satyaky,	সত্যক্কি,	সাত্যকি,	
ajeejer,	আজিজের,	আজিজের,	
pader,	পাডের,	প্যাডের,	
ruptan,	রূপ্তান,	রূপটান,	
patrol,	পাত্রোল,	পেট্রোল,	
uzobekeestaan,	উজয়বেস্কান্,	উজবেকিস্তান,	
sheetke,	শীতকে,	শীতকে,	
bamon,	বামন,	বামন,	
baaiq,	বাসি,	বাইক,	
prasadhoni,	প্রসাধনী,	প্রসাধনী,	
yaak,	যাক,	ইয়াক,	
madhnagar,	মধনগর,	মাধনগরের,	
kuresher,	কুরেশের,	কুরেশের,	
bedey,	বেদে,	বেদে,	
dorgaaho,	দর্গাহ,	দরগাহ,	
hugheke,	হুঘেকে,	হিউজকে,	
nodiiteyi,	নদিয়েই,	নদীতেই,	
chhadite,	ছাড়িতে,	ছড়িতে,	
doorotaumo,	দৌরতাউমো,	দূরতম,	
pujito,	পুজিত,	পুজিত,	
elaakati,	এলাকাটি,	এলাকাটি,	
karmazog,	কর্মযোগ,	কর্মযোগ,	
jaandrel,	যান্দ্রেল,	জাঁদরেল,	
orthanitir,	অর্থনীতির,	অর্থনীতির,	
besur,	বেসুর,	বেসুর,	
zonsa,	জনসা,	জোন্স,	
aaireshe,	আইরেশে,	আইরেসে,	
tookror,	তুকরর,	টুকরোর,	
uparjon,	উপারজন,	উপার্জন,	
superheiroo,	সুপারহেরোরও,	সুপারহিরো,	
shommotir,	শম্মতির,	সম্মতির,	
mesenjjar,	মেসেনজ্জার,	মেসেঞ্জার,	
laicenshe,	লাইসেন্স,	লাইসেন্স,	
utpatti,	উৎপা্তি,	উতপত্তি,	
hindutirtha,	হিন্দুতীর্থ,	হিন্দুতীর্থ,	
deliver,	ডিলিভার,	ডেলিভার,	
agamane,	আগামানে,	আগমনে,	
narsinghomgulor,	নার্সিংখগগুলোর,	নার্সিংহোমগুলোর,	
prapokkey,	প্রপরককে,	প্রাপককে,	
mankisundar,	মানকিসুন্দর,	মানকিসুন্দর,	
bhaandar,	ভান্ডার,	ভাণ্ডার,	
kaloniir,	কালনির,	কালনীর,	
tistar,	টিস্টার,	তিস্তার,	
desiseyer,	দেসীয়েের,	ডিজিজের,	
atmabishvashi,	আত্মবিশাভাষী,	আত্মবিশ্বাসী,	
gingbhalobasen,	গিনবাগলবাসেন,	গিংভালোবাসেন,	
durgatsabe,	দুর্গাৎসবে,	দুর্গোৎসবে,	
cholochchitrai,	চলচ্চিত্রই,	চলচ্চিত্রই,	
drishyer,	দৃষ্যের,	দৃশ্যের,	
arsie,	আরসিই,	আরসিএ,	
fatkabazare,	ফাটকাবাজারে,	ফাটকাবাজারে,	
abosare,	অবসারে,	অবসরে,	
cholchhe,	চলছে,	চলছে,	
chet,	চেত,	চ্যাট,	
andon,	আন্দন,	আন্দোন,	
antorvuktimulak,	আন্তর্ভুক্তমূলক,	অন্তর্ভুক্তিমূলক,	
alonkaran,	আলনকরণ,	অলঙ্করণ,	
saifullahil,	সাইফুল্লাহিল,	সাইফুল্লাহিল,	
postac,	পোস্টাযাক,	পোস্টকে,	
ganochien,	গণচিয়েন,	গণচীন,	
rajnikant,	রাজনিকান্ত,	রাজনীকান্ত,	
poribahokotto,	পরিবাহক্ত,	পরিবাহকত্ব,	
superheroo,	সুপারহেরোও,	সুপারহিরো,	
chalachchitrer,	চলচ্চিত্রের,	চলচ্চিত্রের,	
uponeesoder,	উপনিসদের,	উপনিষদের,	
ghumachche,	ঘুমাচ্ছে,	ঘুমাচ্ছে,	
dekaner,	দেকানের,	দেকানের,	
qara,	কারা,	কর,	
accountdharira,	অ্যাকাউন্টরারিরা,	একাউন্টধারীরা,	
nothibhukto,	নথিভূক্ত,	নথিভুক্ত,	
sosoa,	সোসো,	শশা,	
ogovir,	অগভীর,	অগভীর,	
dibya,	দিব্য,	দিব্যা,	
existing,	এক্সটিনিং,	এক্সিসটিং,	
shektore,	শেকতরে,	সেক্টরে,	
bayshorkarikarone,	বয়শরকরীকরণকানে,	বেসরকারিকরণ,	
shkalarashhipa,	শ্কলাশশশীপ,	স্কলারশিপ,	
khoakshir,	খোয়াকশির,	খোয়াক্ষীর,	
varma,	ভারমা,	ভার্মা,	
jibonnogor,	জীবননগর,	জীবননগর,	
samajeek,	সমাজিক,	সামাজিক,	
sangbadmadhyame,	সংবাদমধ্যমে,	সংবাদমাধ্যমে,	
jonesh,	জনেশ,	জোন্স,	
shangsthaner,	সংস্থানের,	সংস্থানের,	
vagni,	ভাগনি,	ভগ্নী,	
maunchostho,	মঞ্চস্থ,	মঞ্চস্থ,	
bbiswasho,	ব্বিশ্বাস,	বিশ্বাসও,	
siddhantoo,	সিদ্ধান্ত,	সিদ্ধান্তও,	
khiladirao,	খিলাদিরাও,	খিলাড়িরাও,	
duryogamoyee,	দুর্যাযমময়ে,	দুর্যোগময়ী,	
koota,	কুটা,	কোটা,	
protyokkhovabey,	প্রত্যক্ষভাবে,	প্রত্যক্ষভাবে,	
bojhao,	বোঝাও,	বোঝাও,	
transhapharma,	ত্রাংসমর্ম্,	ট্রান্সফর্ম,	
shhow,	শু,	শো,	
footbalarra,	ফুটবলরারা,	ফুটবলাররা,	
chalachchitroi,	চলচ্চিত্রই,	চলচ্চিত্রই,	
goodamjato,	গৌদামজাত,	গুদামজাত,	
jatata,	জাতাতা,	যতোটা,	
capsul,	ক্যাপসাল,	ক্যাপসুল,	
lyaandeeng,	ল্যান্ডিং,	ল্যান্ডিং,	
pratool,	প্রাতুল,	প্রতুল,	
udyem,	উদয়েম,	উদ্যেম,	
dharabahiktite,	ধারাবাহিক্তিতে,	ধারাবাহিকটিতে,	
yathaarthabhaabe,	যথর্থবাভা,	যথার্থভাবে,	
spredsheet,	স্প্রডিশ,	স্প্রেডশীট,	
wodka,	উয়াক্কা,	ভদকা,	
siqh,	সিক,	শিখ,	
residensa,	রেসেডেসনা,	রেসিডেন্স,	
bhenasha,	ভেনস,	ভেনাস,	
dewaben,	দেওয়াবেন,	দেওয়াবেন,	
nirbaaho,	নির্বাহ,	নির্বাহ,	
disposes,	ডিসপ্সেস,	ডিসপোজেস,	
elakaasoho,	এলাকাসহ,	এলাকাসহ,	
sangkulaan,	সংকুলান,	সংকুলান,	
tochhnochh,	তচ্ছোছ,	তছনছ,	
arthanitike,	আর্থানিতিকে,	অর্থনীতিকে,	
seo,	সেও,	সেও,	
abdoone,	আবদুনে,	আবদুন,	
brekethru,	ব্রেকেঠ্রু,	ব্রেকথ্রু,	
kakhnoba,	কখ্নবা,	কখনওবা,	
bhagnekeo,	ভাগনেকেও,	ভাগ্নেকেও,	
sqolastiq,	স্কোলাস্টিক,	স্কলাস্টিক,	
nirvaha,	নির্বাহ,	নির্বাহ,	
bokahoke,	বকাহাকে,	বকাহকে,	
harris,	হ্রিস,	হ্যারিস,	
nariider,	নারিদের,	নারীদের,	
shikara,	শিকারা,	শিকার,	
satjaner,	সাতজনের,	সাতজনের,	
xpose,	এক্সপোজ,	এক্সপোজ,	
moshahidur,	মোশাহিদুর,	মোশাহিদুর,	
louhojato,	লৌহজাত,	লৌহজাত,	
hillse,	হিলসে,	হিলসে,	
achintopurer,	অচিন্তপুরের,	অচিন্তপুরের,	
prakare,	প্রকারে,	প্রকারে,	
lat,	লাত,	লাট,	
orthanitike,	অর্থানিতিকে,	অর্থনীতিকে,	
soinyo,	সৈন্য,	সৈন্য,	
bojhey,	বোঝে,	বোঝে,	
bahubar,	বহুবার,	বহুবার,	
aamoode,	আমুদে,	আমুদে,	
upbrazillian,	আপব্রজিলিয়াল,	আপব্রাজিলিয়ান,	
hosto,	হস্ত,	হস্ত,	
agaldar,	আগলদার,	আগলদার,	
munim,	মুনিম,	মুনিম,	
kaande,	কান্দে,	কাণ্ডে,	
potka,	পটকা,	পটকা,	
shulfate,	শুলফেতে,	সালফেট,	
durarohini,	দুরারোহিনী,	দুরারোহিণী,	
khanabale,	খানাবলে,	খানাবলে,	
ancholgoolote,	অঞ্চলগুলোতে,	অঞ্চলগুলোতে,	
kalenga,	কালেঙ্গা,	কালেঙ্গা,	
koordider,	কোর্দিদের,	কুর্দিদের,	
fulkapi,	ফুলকাপি,	ফুলকপি,	
logotype,	লগজিপপে,	লোগোটাইপ,	
chinto,	চিন্তো,	চিনতো,	
samaptir,	সমাপ্তির,	সমাপ্তির,	
dokaangoolote,	দকানিগুলোতে,	দোকানগুলোতে,	
siqhar,	সিকার,	শিকার,	
catholicbad,	ক্যাথবলিব্যা,	ক্যাথলিকবাদ,	
balatarin,	বালাতারীন,	বালাতারিয়ান,	
nischitobhabe,	নিশ্চিতভাবে,	নিশ্চিতভাবে,	
saranor,	সারানোর,	সরানোর,	
suisharke,	সুইশারকে,	সুইশারকে,	
shapad,	শাপদ,	শ্বাপদ,	
headquartus,	হেডকুয়ারেসাস,	হেডকোয়ার্টাস,	
santaa,	সান্তা,	সান্তা,	
sukumaree,	সুকুমারে,	সুকুমারী,	
ratishilatai,	রতিশীলতাই,	রতিশীলতায়,	
dienes,	ডিয়েনেস,	ডিএনএস,	
janmat,	জন্মত,	জন্মাত,	
saramukhe,	সররমুখে,	সারামুখে,	
commissionvogider,	কমিশনভিগদদদের,	কমিশনভোগীদের,	
sithilota,	সিথিলতা,	শিথিলতা,	
kkhur,	ক্কুর,	ক্ষুর,	
atorkitey,	আতরকিতে,	অতর্কিতে,	
prime,	প্রাইম,	প্রাইম,	
neerbachoker,	নির্বাচকের,	নির্বাচকের,	
musolmanera,	মুসলমানেরা,	মুসলমানেরা,	
halding,	হ্যালডং,	হোল্ডিং,	
samashtike,	সমাশটিকে,	সমষ্টিকে,	
boiporiityen,	বৈপরিয়িতেন,	বৈপরীত্যেন,	
maley,	ম্যালে,	মালে,	
dhormokorme,	ধর্মকর্মে,	ধর্মকর্মে,	
shansthagulo,	শাঁসসাঠগুলো,	সংস্থাগুলো,	
suchanakal,	সূচনাকাল,	সূচনাকাল,	
moresbai,	মোরেসবাই,	মোরেসবাই,	
jerushalema,	জেরুশালেমা,	জেরুসালেম,	
prakalpagulor,	প্রকালগাগুলোর,	প্রকল্পগুলোর,	
shaater,	সাটের,	শ্যুটার,	
chaaktir,	চাকটির,	চাকতির,	
uindoos,	উইনডাস,	উইন্ডোস,	
qor,	কোর,	কর,	
kormokarer,	কর্মকারের,	কর্মকারের,	
shrimoti,	শ্রীমতি,	শ্রীমতি,	
quary,	কুয়ারি,	কোয়েরি,	
nederlande,	নেডারল্যান্ডে,	নেদারল্যান্ডে,	
jones,	জনেস,	জোন্স,	
gazeetteed,	গেজিতদদ,	গেজেটেড,	
akheli,	আখেলি,	আখেলী,	
setikey,	সেতিকে,	সেটিকে,	
poriikkhateo,	পরিক্ষাতেও,	পরীক্ষাতেও,	
poscater,	পো্চাটের,	পশ্চাতের,	
jhimochchilo,	ঝিমোচছিল,	ঝিমোচ্ছিলো,	
soolke,	সুলকে,	শুল্কে,	
okritokarjo,	অকৃতকার্য,	অকৃতকার্য,	
simantarkkhibahinir,	সিমান্ত্রকণ্ধিহীনীর,	সীমান্তরক্ষীবাহিনীর,	
elakatir,	এলাকাটির,	এলাকাটির,	
arasie,	আরাসি,	আরসিএ,	
domonmulok,	দমনমুলক,	দমনমূলক,	
chhadura,	ছড়ুরা,	ছাদুরা,	
mulbhitti,	মুলভিত্তি,	মূলভিত্তি,	
sazanor,	সাজানোর,	সাজানোর,	
difinishion,	ডিফিনিশন,	ডেফিনেশন,	
byabaharkaree,	ব্যবহারকারী,	ব্যবহারকারী,	
bboponer,	ব্বোপনের,	বপনের,	
cholochchitrake,	চলচ্চিত্রকে,	চলচ্চিত্রকে,	
azimpur,	আজিমপুর,	আজিমপুর,	
siddhante,	সিদ্ধান্তে,	সিদ্ধান্তে,	
gondhe,	গন্ধে,	গন্ধে,	
batikromi,	বাতিকর্মি,	ব্যতিক্রমী,	
kinsa,	কিনসা,	কিংস,	
thyachara,	থ্যাচারা,	থ্যাচার,	
nirgamon,	নির্গামন,	নির্গমন,	
erajyobasi,	এরাজ্যবাসী,	এরাজ্যবাসী,	
eenameela,	ইনোমিলা,	এনামেল,	
poscime,	পশ্চিম,	পশ্চিমে,	
bosben,	বসবেন,	বসবেন,	
stana,	স্টনা,	স্টোন,	
bidghootey,	বিডঘটে,	বিদঘুটে,	
danata,	দানাটা,	ডোনাট,	
oswasteekor,	অস্বাস্িকর,	অস্বস্তিকর,	
shektor,	শেকটোর,	সেক্টর,	
onchalti,	অঞ্চলটি,	অঞ্চলটি,	
fud,	ফুড,	ফুড,	
vimsen,	ভিমসেন,	ভীমসেন,	
prasadhani,	প্রসাধনী,	প্রসাধনী,	
laiseensim,	লাইসিনিস,	লাইসেন্সিং,	
deep,	ডিপ,	দীপ,	
geejeeteeda,	গীজিতদদা,	গেজেটেড,	
difinisian,	ডিফিনিসিয়ান,	ডেফিনেশন,	
basaalt,	বাসালট,	ব্যাসল্ট,	
volivoler,	ভোলিভোলের,	ভলিভলের,	
olympic,	অলিম্পিক,	অলিম্পিক,	
madaspushto,	মাদসপুষ্ট,	মদদপুষ্ট,	
chaka,	চাকা,	চাকা,	
madrasi,	মাদ্রাসি,	মাদ্রাজি,	
dhila,	ধিলা,	ঢিলা,	
kachhakaachhi,	কাছাচাছি,	কাছাকাছি,	
kuhelika,	কুহেলিকা,	কুহেলিকা,	
jahara,	জাহারা,	যাহরা,	
dorgah,	দরগাহ,	দরগাহ,	
pakistanira,	পাকিস্তানীরা,	পাকিস্তানীরা,	
noitik,	নৈতিক,	নৈতিক,	
digri,	ডিগ্রি,	ডিগ্রি,	
mahafezkhanar,	মহাফেজখানার,	মহাফেজখানার,	
oshtader,	ওষ্টাদের,	ওস্তাদের,	
chakrapani,	চক্রপাণি,	চক্রপানী,	
ooporoshtho,	অপরস্থ,	উপরস্থ,	
karadando,	কারাদান্ড,	কারাদণ্ড,	
jothartho,	যথার্থ,	যথার্থ,	
utshahomulok,	উৎ্াামমুলক,	উৎসাহমূলক,	
chapchap,	চাঁপাপ,	চাপচাপ,	
ikbaaler,	ইকবালের,	ইকবালের,	
chopal,	চোপাল,	চপল,	
vetrillocuism,	ভ্ট্রিইলোলাইজম,	ভেট্রিলোকুইজম,	
seconder,	সেকন্ডার,	সেকেন্ডের,	
bondhukey,	বন্ধুকে,	বন্ধুকে,	
vaabnake,	ভাবনাকে,	ভাবনাকে,	
sompadonkaree,	সম্পাদনকারী,	সম্পাদনকারী,	
bonnypran,	বন্্পিরান,	বন্যপ্রাণ,	
hukar,	হুকার,	হুকার,	
jhalkanite,	ঝলকানিতে,	ঝলকানীতে,	
ghurte,	ঘুর্তে,	ঘুরতে,	
shalook,	শালুক,	শালুক,	
remacri,	রিমাস্কিরি,	রেমাক্রী,	
thyachar,	থ্যাচার,	থ্যাচার,	
kooshumba,	কুশুম্ব,	কুশুম্বা,	
plato,	প্ল্যাটো,	প্লেটো,	
ardasha,	আর্দাশা,	আর্দশ,	
dharavahikbhabe,	ধারাবাহিকভাবে,	ধারাবাহিকভাবে,	
abhidhaner,	অভিধনের,	অভিধানের,	
mitroder,	মিট্রোদের,	মিত্রদের,	
tyap,	ত্যাপ,	ট্যাপ,	
anutpadanshil,	অনুৎপাদনশীল,	অনুৎপাদনশীল,	
drishi,	দৃষি,	দৃশ্যই,	
mochlekha,	মোছলেখা,	মোছলেখা,	
chaudhuriyo,	চৌধুরীয়,	চৌধুরীও,	
bhittow,	ভিত্তব,	ভিত্তিও,	
bhotomulyoke,	ভোটমুল্যকে,	ভোটমূল্যকে,	
vobani,	ভবানী,	ভবানী,	
kodorer,	কদরের,	কদরের,	
shnaipara,	শ্নানপপরা,	স্নাইপার,	
antercticker,	অ্যান্টারক্টিকের,	অ্যান্টার্কটিকের,	
madhabike,	মাধবিকে,	মাধবীকে,	
rajtantra,	রাজতন্ত্র,	রাজতন্ত্র,	
horeepur,	হরিপুর,	হরিপুর,	
kanader,	কানাদের,	কণাদের,	
stonehenje,	স্তোনহেঞ্জে,	স্টোনহেঞ্জ,	
