goonoman,	গনোমান,	গুণমান,	
tonoo,	টোনো,	তনু,	
mercial,	মার্সিয়াল,	মার্শিয়াল,	
rubidiyaam,	রুবিদিয়াম,	রুবিডিয়াম,	
engrezder,	এনগ্রেজ্ডের,	ইংরেজদের,	
abadamoner,	আবাদামনের,	অবদমনের,	
bupher,	বাফার,	বাফার,	
sahajlabhbhotar,	সহালভভভতার,	সহজলভ্যতার,	
mulvitti,	মূলভিত্তি,	মূলভিত্তি,	
debdebier,	ডেব্ডেবিয়ার,	দেবদেবীর,	
shainyader,	শৈন্যদের,	সৈন্যদের,	
kharar,	খারার,	খরার,	
byaboharkari,	ব্যবহারকারী,	ব্যবহারকারী,	
chalchhe,	চালছে,	চলছে,	
cholochchitra,	চল্চচিত্রা,	চলচ্চিত্র,	
atmabishvashi,	আত্মবিশবাষী,	আত্মবিশ্বাসী,	
mahakabi,	মহাকাবি,	মহাকবি,	
upobashii,	উপবাশীই,	উপবাসী,	
munsi,	মুনসি,	মুন্সী,	
shhow,	শোর,	শো,	
gotihin,	গতিহীন,	গতিহীন,	
shasankorta,	শাসানকর্তা,	শাসনকর্তা,	
pragreesa,	প্রাগ্রিসা,	প্রগ্রেস,	
qredita,	ক্রেডিটা,	ক্রেডিট,	
dii,	ডিয়,	দিই,	
jerushalema,	জেরুশেলামা,	জেরুসালেম,	
mag,	ম্যাগ,	এমএজি,	
hastamathun,	হস্তামুথন,	হস্তমথুন,	
bapio,	বাপিও,	বাপিও,	
balokarak,	বালোকারক,	বলকারক,	
jati,	জাতি,	যাতি,	
fastara,	ফাস্তারা,	ফস্টার,	
madrasi,	মাদরাসি,	মাদ্রাজি,	
saarbharti,	সার্ভরটি,	সার্ভারটি,	
tukroke,	তুকরোকে,	টুকরোকে,	
pack,	প্যাক,	প্ল্যাক,	
jiland,	জিলান্দ,	জিল্যান্ড,	
buth,	বুথ,	বুথ,	
nischitvabe,	নিশ্চিতভাবে,	নিশ্চিতভাবে,	
tuleche,	তুলেছে,	তুলেছে,	
welcome,	ওয়ালকম,	ওয়েলকাম,	
seoul,	সেওয়াল,	সোল,	
rahi,	রাহি,	রাহী,	
bosante,	বসান্তে,	বসন্তে,	
bishwasho,	বিশ্বাষ,	বিশ্বাসও,	
tukroti,	তুক্রটি,	টুকরোটি,	
jontropatigulite,	যন্ত্রপায়ুগুলিতে,	যন্ত্রপাতিগুলিতে,	
nirobota,	নিরোবতা,	নিরবতা,	
drishyer,	দৃশ্যের,	দৃশ্যের,	
kuhelika,	কুহেলিকা,	কুহেলিকা,	
bonke,	বনকে,	বনকে,	
bolbo,	বলবো,	বলবো,	
said,	সাইদ,	সাইদ,	
aatto,	আট্্ো,	আত্ম,	
niutrino,	নিউট্রিনো,	নিউট্রিনো,	
perry,	পেরি,	পেরি,	
oyebjin,	ওয়েবজিন,	ওয়েবজিন,	
umedpoor,	ইউজেদপুর,	উমেদপুর,	
elakatike,	এলাকাটিকে,	এলাকাটিকে,	
atmobonchito,	আত্মবঞ্চিত,	আত্মবঞ্চিত,	
setikey,	সেতিকে,	সেটিকে,	
patengar,	পাটেঙ্গার,	পতেঙ্গার,	
khelechen,	খেলেছেন,	খেলেছেন,	
heavy,	হিভি,	হেভি,	
toxoid,	টক্সোড,	টক্সয়েড,	
esprito,	এসপ্রিত,	এস্পিরিটো,	
ajibooner,	আজুবুনের,	আজীবনের,	
bitertrate,	বিটেরেট্রাট,	বাইটারট্রেট,	
jaunotar,	যৌনতার,	যৌনতার,	
mukhamandoler,	মুখামণ্ডলের,	মুখমণ্ডলের,	
pet,	পেট,	পেত,	
danata,	দানাতা,	ডোনাট,	
sommoteer,	সম্মতির,	সম্মতির,	
hundai,	হুন্দাই,	হুন্দাই,	
cholechi,	চলেছি,	চলেছি,	
joubankal,	যৌবনকাল,	যৌবনকাল,	
angshogrohon,	অংশগ্রহণ,	অংশগ্রহন,	
naraphoka,	নারাফোকা,	নরফোক,	
kinto,	কিন্তো,	কিনত,	
bhorkendra,	ভোরকেন্দ্র,	ভরকেন্দ্র,	
uponishad,	উপনিশাদ,	উপনিষদ,	
atak,	আতাক,	আটক,	
shorifer,	শোরফার,	শরিফের,	
irana,	ইরানা,	ইরান,	
doula,	দৌলা,	দৌলা,	
bidghootey,	বিদঘুতে,	বিদঘুটে,	
commissionvogider,	কমিনসোোডিগের,	কমিশনভোগীদের,	
fol,	ফল,	ফল,	
plack,	প্ল্যাক,	প্ল্যাক,	
mesenjjar,	মেসেঞ্জার,	মেসেঞ্জার,	
bedantodhormo,	বেদান্তধর্ম,	বেদান্তধর্ম,	
dayitta,	দায়িত্তা,	দায়িত্ব,	
spashtotai,	স্পশ্ততাই,	স্পষ্টতই,	
zohns,	জোন্স,	জন্স,	
noteti,	নোেটি,	নোটটি,	
milea,	মিলি,	মাইলে,	
longhan,	লংহান,	লংঘন,	
definition,	ডিফিশনেন,	ডেফিনেশন,	
codeti,	কোডেটি,	কোডটি,	
lopjonito,	লোপজনিত,	লোপজনিত,	
venisey,	ভেনিসে,	ভেনিসে,	
bajpa,	বাজপা,	বাজপা,	
rachonakal,	রচনাকাল,	রচনাকাল,	
bhenasha,	ভেনাশা,	ভেনাস,	
digri,	ডিগ্রি,	ডিগ্রি,	
dhrubaker,	ধ্রুবাকের,	ধ্রুবকের,	
habathu,	হাভাঠু,	হাবাথু,	
dhauto,	ধাতো,	ধৌত,	
mooney,	মুনে,	মুনে,	
niropekkho,	নিরপেক্ষ,	নিরপেক্ষ,	
rajtontro,	রাজতন্ত্র,	রাজতন্ত্র,	
disposes,	ডিসপোসেস,	ডিসপোজেস,	
bitlaser,	বিটলাসের,	বিটলসের,	
teter,	টেটের,	টেটের,	
myathiou,	ম্যাথিউ,	ম্যাথিউ,	
reejideencee,	রিজিডিন্স,	রেসিডেন্স,	
bbiswasho,	বিব্বীশা,	বিশ্বাসও,	
buddhitii,	বুদ্ধিতিই,	বুদ্ধিটিই,	
phareeksa,	ফারককসা,	ফরেক্স,	
dimbacriti,	ডিম্বাকৃতি,	ডিম্বাকৃতি,	
hozot,	হজত,	হজত,	
kichutei,	কিছুতেই,	কিছুতেই,	
shahabike,	শাহাবীকে,	সাহাবীকে,	
katui,	কাটুই,	কাতুই,	
mahibur,	মাহিবুর,	মহিবুর,	
satjaner,	সাতজানের,	সাতজনের,	
rezidence,	রেজিডেন্স,	রেসিডেন্স,	
khuliechilam,	খুলেয়েছিলাম,	খুলিয়েছিলাম,	
olpo,	ওল্পো,	অল্প,	
basab,	বাসাব,	বাসাব,	
prosadhoner,	প্রসাধনের,	প্রসাধনের,	
rena,	রেনা,	রেনো,	
weelcomee,	উয়ালকমম,	ওয়েলকাম,	
trenda,	ট্রেন্ডা,	ট্রেন্ড,	
rajotwo,	রাজত্ব,	রাজত্ব,	
kaamij,	কামিজ,	কামিজ,	
treend,	ট্রিন্ড,	ট্রেন্ড,	
transformaarer,	ট্রান্সফোর্মারের,	ট্রান্সফরমারের,	
sumita,	সুমিতা,	সুমিতা,	
courtcaser,	কার্টক্সের,	কোর্টকেসের,	
mangoleek,	মঙ্গলিক,	মাঙ্গলিক,	
rekhapat,	রেখাপাত,	রেখাপাত,	
sanghitar,	সংঘীতার,	সংহিতার,	
plato,	প্লাটো,	প্লেটো,	
aanaan,	আনান,	আনান,	
tecno,	টেকনো,	টেকনো,	
indro,	ইন্দ্রো,	ইন্দ্র,	
prothati,	প্রথাটি,	প্রথাটি,	
mmadhuri,	ম্মাধুরি,	মাধুরী,	
antarbhutto,	অন্তর্ভূত্ব,	অন্তর্ভুক্ত,	
societykey,	সোসিক্টি,	সোসাইটিকে,	
meghachchanno,	মেঘাচ্ছান্ন,	মেঘাচ্ছন্ন,	
jaanachhe,	যানাচ্ছে,	জানাচ্ছে,	
euqalyptus,	ইউক্লালিপ্টাস,	ইউক্যালিপ্টাস,	
amarika,	আমারিকা,	আমেরিকা,	
mehsus,	মেহসাস,	মেহসুস,	
olympik,	অলিম্পিক,	অলিম্পিক,	
bhaibon,	ভাইবন,	ভাইবোন,	
rajendracholer,	রাজেন্দ্রালছের,	রাজেন্দ্রচোলের,	
skolastik,	স্কোলাস্তিক,	স্কলাস্টিক,	
gajano,	গাজানো,	গজানো,	
andra,	আন্দ্রা,	আন্ড্রা,	
sikara,	সিকারা,	শিকার,	
anchalei,	অঞ্চালেই,	অঞ্চলেই,	
foks,	ফকস,	ফক্স,	
udvabani,	উদভাবনি,	উদ্ভাবনী,	
ceramiksh,	সেরামিক্স,	সিরামিকস,	
aansaareer,	আনসারীর,	আনসারীর,	
mataram,	মাতারাম,	মাতরম,	
akmato,	আকমততো,	একমত,	
footbalarer,	ফুটবলারের,	ফুটবলারের,	
canflikt,	ক্যানফফলিক্ট,	কনফ্লিক্ট,	
jotharthovabey,	যথার্থভাবে,	যথার্থভাবে,	
shaddhi,	শাদ্ধি,	সাধ্বী,	
madrasake,	মাদরাসাকে,	মাদ্রাসাকে,	
bibhinno,	বিভিন্ন,	বিভন্ন,	
byabostho,	ব্যবস্থ,	ব্যাবস্থা,	
bhogni,	ভোগনি,	ভগ্নী,	
gandhariir,	গান্ধারির,	গান্ধারীর,	
suporichita,	সুপরিচিতা,	সুপরিচিত,	
brekethru,	ব্রেকেঠরু,	ব্রেকথ্রু,	
qara,	কারা,	কর,	
larson,	লারসন,	লারসন,	
planeti,	প্লানেটি,	প্লেনটি,	
magical,	ম্যাজিক্যাল,	ম্যাজিকাল,	
vabnakey,	ভাবনাকে,	ভাবনাকে,	
oitijhyotike,	ঐতিহ্যটিকে,	ঐতিহ্যটিকে,	
kanasarabhesana,	কানাভাভেসন,	কনসারভেশন,	
ivil,	ইভিল,	ইভিল,	
kadakhonchar,	কাদাচঞ্চার,	কাদাখোঁচার,	
conflikt,	কনফ্লিক্ট,	কনফ্লিক্ট,	
nibeditar,	নিবেদিতার,	নিবেদিতার,	
vault,	ভাউলট,	ভল্ট,	
bhoutikeshu,	ভৌতিকেশু,	ভৌতিকেষু,	
deep,	ডিপ,	দীপ,	
nodiitei,	নদীতেই,	নদীতেই,	
ukeliptash,	উকেলিপ্লাশ,	ইউক্যালিপ্টাস,	
chyeta,	চ্য়েটা,	চ্যাট,	
teamothy,	টেমোথি,	টিমোথি,	
arthanitike,	অর্থানীতিকে,	অর্থনীতিকে,	
bethikata,	বেঠিকাতা,	বেঠিকতা,	
saseza,	সাসেজা,	সসেজ,	
milayatane,	মিলায়াতানে,	মিলায়তনে,	
temonvabe,	তেমনভাবে,	তেমনভাবে,	
taunasipa,	তৌনসিপা,	টাউনশিপ,	
dekaner,	দেকানের,	দেকানের,	
kanthar,	কান্থার,	কাঁথার,	
elbamtite,	এলবাটমিতে,	এলবামটিতে,	
rakhtokkharoner,	রাখকতকারণের,	রক্তক্ষরণের,	
maladabha,	মালাদা,	মলদোভা,	
shift,	শিফট,	শিফট,	
shrabostee,	শ্রাস্তি,	শ্রাবস্তী,	
byabosthar,	ব্যবস্থার,	ব্যাবস্থার,	
gobeshana,	গোবেশন,	গবেষনা,	
janosamaj,	জনসমাজ,	জনসমাজ,	
uthaney,	উথানে,	উঠানে,	
dokaangulotey,	ডোকানগুলোতে,	দোকানগুলোতে,	
madeling,	ম্যাডেলিং,	মডেলিং,	
abdi,	আব্দি,	অব্দি,	
karu,	কারু,	কারু,	
brittakarey,	বৃত্তকারে,	বৃত্তাকারে,	
chikitsanirbhar,	চিকিৎসানির্ভর,	চিকিৎসানির্ভর,	
sarboporee,	সার্বপরী,	সর্বোপরী,	
feroza,	ফেরোজা,	ফিরোজা,	
daqten,	ডাকটেন,	ডাকতেন,	
turkyder,	টারকাইডের,	তুর্কিদের,	
rajdhani,	রাজধানি,	রাজধানি,	
parqa,	পার্কা,	পার্ক,	
footbalarra,	ফুটবলাররা,	ফুটবলাররা,	
sorano,	সোরানো,	সরানো,	
nutaner,	নুটানের,	নূতনের,	
byabaharkarike,	ব্যবহারকারীকে,	ব্যবহারকারীকে,	
ganochin,	গণোচীন,	গণচীন,	
ansareer,	আনসারীর,	আনসারীর,	
charger,	চার্জের,	চার্জার,	
bouddha,	বৌদ্ধা,	বৌদ্ধ,	
noitikota,	নৈতিকতা,	নৈতিকতা,	
shiqara,	শিকারা,	শিকার,	
sanaktokaron,	সানাকতারণ,	সনাক্তকরণ,	
teoyana,	তেওয়ানা,	তাইওয়ান,	
annanere,	অন্নানেরে,	অন্যানেরে,	
laga,	লাগা,	লগ,	
salapheeta,	সালাফেটা,	সালফেট,	
inapharameshana,	ইনাফারেশন,	ইনফরমেশন,	
pnouchute,	প্ঁছুতে,	পৌঁছুতে,	
nirvachokder,	নির্ভাচকদের,	নির্বাচকদের,	
chalochchitrei,	চালচিত্রের্রেই,	চলচ্চিত্রেই,	
ekirokom,	একিরোম,	একইরকম,	
futonta,	ফুটনটা,	ফুটন্ত,	
deraa,	দেরা,	ডেরা,	
amanisa,	আমানিসা,	অমানিশা,	
enamela,	এনামেলা,	এনামেল,	
veenis,	ভিনিস,	ভেনিস,	
jomoker,	জমকের,	জমকের,	
ingreziteo,	ইনগেরজিতেও,	ইংরেজিতেও,	
elakasoho,	এলাকাসহ,	এলাকাসহ,	
metrikoleshana,	মেত্রিকোলেশন,	মেট্রিকোলেশন,	
shniper,	শ্নিপের,	স্নাইপার,	
raiialati,	রায়ায়লতি,	রয়্যালটি,	
barnis,	বার্নিস,	বার্নিশ,	
flirt,	ফ্লার্ট,	ফ্লার্ট,	
shapad,	শাপাদ,	শ্বাপদ,	
ponchaasjon,	পঞ্চাশজন,	পঞ্চাশজন,	
nagorikderkey,	নাগীরদকেরকে,	নাগরিকদেরকে,	
yuroo,	যুরুও,	ইউরো,	
bisnukey,	বিস্নুকে,	বিষ্ণুকে,	
chhooteete,	ছুটিতে,	ছুটিতে,	
totokson,	টোটকসন,	ততক্ষন,	
tunaita,	টুনাইটা,	টুনাইট,	
besirbhaagi,	বেসিরভাগী,	বেশিরভাগই,	
gaujano,	গাওজানো,	গজানো,	
dantahin,	দানতাহীন,	দন্তহীন,	
baffer,	বেফার,	বাফার,	
parijaner,	পরিজনের,	পরিজনের,	
meshenjar,	মেশেঞ্জার,	মেসেঞ্জার,	
khappar,	খাপপার,	খপ্পর,	
deares,	ডেয়েরেস,	ডিআরএস,	
moushum,	মৌশুম,	মৌসুম,	
krechi,	ক্রেছি,	করেছি,	
langhoner,	লাঙ্ঘনের,	লংঘনের,	
dwibidho,	দ্বিবিধ,	দ্বিবিধ,	
sikarer,	সিকারের,	শিকারের,	
vabuk,	ভাবুক,	ভাবুক,	
patochitra,	পাটচিত্রা,	পটচিত্র,	
labonaktatar,	লববণকাত্তার,	লবণাক্ততার,	
aholya,	আহল্যা,	অহল্যা,	
tokee,	টোক,	তকি,	
kobulennechha,	কবুলেনেনেছা,	কবুলেন্নেছা,	
gejetade,	গেজেতাদে,	গেজেটেড,	
accountdharira,	অ্যাকুন্ড্ধরিরারা,	একাউন্টধারীরা,	
kooshumba,	কৌশুম্বা,	কুশুম্বা,	
drissoteer,	দৃষ্টতির,	দৃশ্যটির,	
parka,	পার্কা,	পার্ক,	
koomarir,	কুমারির,	কুমারীর,	
machkabar,	মাকছাবার,	মাচকাবার,	
bosonte,	বসন্তে,	বসন্তে,	
byaboharkarie,	ব্যবহারকারী,	ব্যবহারকারীই,	
hyaloyin,	হ্যালোইয়ন,	হ্যালোইন,	
dhamshrenite,	ধম্বেন্তিতে,	ধামশ্রেণীতে,	
khabarsoho,	খাবারসহ,	খাবারসহ,	
abheedhanic,	অভেধনিক,	অভিধানিক,	
chalachchitrer,	চালাচ্ছিত্রের,	চলচ্চিত্রের,	
sushposhtolikhito,	সুষ্পোষ্চকিতি,	সুষ্পষ্টলিখিত,	
pyore,	প্যোরে,	পিওর,	
marketing,	মার্কেটিং,	মার্কেটিং,	
ooporoshtho,	অপররষ্থ,	উপরস্থ,	
seo,	সেও,	সেও,	
monzeele,	মঞ্জিলে,	মঞ্জিলে,	
subade,	সুবাদে,	সুবাদে,	
kokeyin,	ককেইনিন,	কোকেইন,	
nanilalke,	নানিলাককে,	ননীলালকে,	
sarbhare,	সারভারে,	সার্ভারে,	
oncoltike,	অন্কলটিকে,	অঞ্চলটিকে,	
jaistho,	যাইস্থ,	জ্যৈষ্ঠ,	
adhyatmikata,	অধ্যাৎমিকতা,	আধ্যাত্মিকতা,	
bhujangta,	ভুজাংটা,	ভুজঙ্গটা,	
kalnir,	কালনির,	কালনীর,	
birmuktijoddhagan,	বির্মুক্তিদোগ্যান,	বীরমুক্তিযোদ্ধাগণ,	
quata,	কোয়াটা,	কোটা,	
karpeter,	কারপেতের,	কার্পেটের,	
kode,	কোডে,	কোড,	
rajnikant,	রাজনিকান্ত,	রাজনীকান্ত,	
tep,	টেপ,	ট্যাপ,	
bhardwaj,	ভর্দ্বাজ,	ভরদ্বাজ,	
ganakantha,	গণকন্ঠা,	গণকণ্ঠ,	
ramantika,	রামনটিকা,	রোমান্টিক,	
rajyabhogi,	রাজ্যভোগী,	রাজ্যভোগী,	
talgachh,	তা্গাছ,	তালগাছ,	
jetam,	জেতাম,	যেতাম,	
taufik,	তাফিক,	তৌফিক,	
akkharkey,	অক্ষরকে,	অক্ষরকে,	
kaande,	কান্ডে,	কাণ্ডে,	
chintakarma,	চিন্তকর্ম,	চিন্তাকর্ম,	
nirbachokder,	নির্বাচকদের,	নির্বাচকদের,	
horash,	হোরাশ,	হোরাস,	
sanghar,	সংঘর,	সংহার,	
kormopontha,	কর্মপন্থা,	কর্মপন্থা,	
hizrite,	হিজরিতে,	হিজরীতে,	
footballerra,	ফুটবলার্ারা,	ফুটবলাররা,	
ghoor,	ঘুর,	ঘুর,	
saifai,	সাইফাই,	সাইফাই,	
nirbaahe,	নিরবাহে,	নির্বাহে,	
chalochchitro,	চালচিত্ত্র,	চলচ্চিত্র,	
lendal,	লেন্ডল,	লেন্ডল,	
juktorashtreo,	যুক্তরাত্রেও,	যুক্তরাষ্ট্রেও,	
muhaiminer,	মুহাইমিনের,	মুহাইমিনের,	
firoza,	ফিরোজা,	ফিরোজা,	
jahara,	জাহারা,	যাহরা,	
ramzaner,	রামজানের,	রমযানের,	
bhupal,	ভূপাল,	ভূপাল,	
eucalyptus,	ইউক্লালিউটাস,	ইউক্যালিপ্টাস,	
baarnis,	বার্নিস,	বার্নিশ,	
ganoparibahaner,	গণপরিবাহনের,	গণপরিবহনের,	
srivatsalakshanang,	শ্রীবাতলকংশকংলং,	শ্রীবৎসলক্ষণং,	
jamjomat,	জামজোমত,	জমজমাট,	
pradoshik,	প্রদোশিক,	প্রাদশিক,	
dolu,	দোলু,	ডলু,	
jotinkey,	জোটিনকে,	যতীনকে,	
nibobondhonkrito,	নিববন্ধনকৃত,	নিববন্ধনকৃত,	
trabuco,	ট্র্যাবো,	ট্র্যাবুকো,	
samashtike,	সমাশটিকে,	সমষ্টিকে,	
obosorer,	অবসরের,	অবসরের,	
shoriph,	শোরিফ,	শরিফ,	
russad,	রুসাদ,	রুশদ,	
shakar,	শাকার,	সকার,	
aniyantrita,	অনিয়ন্ত্রীতা,	অনিয়ন্ত্রিত,	
gyandas,	জ্ঞানদাস,	জ্ঞানদাস,	
alraji,	আলরাজি,	আলরাজী,	
ranangane,	রাঙঙ্গনে,	রণাঙ্গনে,	
dembakreeti,	দেমব্কৃতি,	ডিম্বাকৃতি,	
aairees,	আইরিস,	আইরিস,	
renoo,	রেনো,	রেনো,	
hevy,	হেভি,	হেভি,	
bone,	বনে,	বনে,	
toki,	টোকি,	তকি,	
ghoomato,	ঘোমাতো,	ঘুমাতো,	
ray,	রায়ে,	রায়,	
binakar,	বিনাকার,	বিনাকার,	
deqe,	ডেকে,	ডেকে,	
nirgomon,	নির্গমন,	নির্গমন,	
bite,	বিটে,	বাইট,	
jomjamat,	জোমজামত,	জমজমাট,	
songasthaner,	সংস্থানের,	সংস্থানের,	
agaldar,	আগলদার,	আগলদার,	
dipke,	ডিপকে,	দ্বীপকে,	
shansthagulo,	শাস্থ্সগুলো,	সংস্থাগুলো,	
hughes,	হুঘেস,	হিউজেস,	
grambaashio,	গ্রামবশীও,	গ্রামবাসীও,	
meghacchonno,	মেঘাচ্ছন্ন,	মেঘাচ্ছন্ন,	
khonjena,	খোঁজেনা,	খোঁজেনা,	
toranganj,	তোরঙ্গঞ্জ,	তোরাবগঞ্জ,	
nuhas,	নুহাস,	নুহাশ,	
kidambi,	কিদাম্বি,	কিদম্বি,	
doneta,	ডোনেটা,	ডোনাট,	
phund,	ফান্ড,	ফান্ড,	
nirbaho,	নির্বাহ,	নির্বাহ,	
niroja,	নিরোজা,	নিরোজা,	
mile,	মিলে,	মিলে,	
video,	ভিডেও,	ভিডিয়োও,	
ji,	জিই,	জি,	
bidyadanke,	বিদ্যাদনকে,	বিদ্যাদানকে,	
sondhisthaponer,	সন্ধিষ্ঠাপনের,	সন্ধিস্থাপনের,	
mesenjarer,	মেসেঞ্জারের,	মেসেঞ্জারের,	
taffsherer,	টাফশারের,	তাফসীরের,	
matis,	মাতিস,	ম্যাটিস,	
beshirbhaagei,	বেশীরভাগেই,	বেশিরভাগেই,	
rojapalaner,	রোজাপালানের,	রোজাপালনের,	
obharbhiu,	ওভারভিউ,	ওভারভিউ,	
licencedhari,	লিইসেন্ডারী,	লাইসেন্সধারী,	
zoubankal,	যৌবনকাল,	যৌবনকাল,	
mandope,	ম্যান্ডপে,	মন্ডপে,	
oncholshomuh,	অঞ্চলসমূহ,	অঞ্চলসমূহ,	
mukherjee,	মুখের্যে,	মুখার্জী,	
engreziteo,	এনজ্রেজিতেও,	ইংরেজিতেও,	
bhabanir,	ভবানীর,	ভবানীর,	
songrahak,	সংগ্রাহক,	সংগ্রাহক,	
antercticker,	অন্টার্টিকের,	অ্যান্টার্কটিকের,	
modelgulo,	মোডেলগুলো,	মডেলগুলো,	
raagei,	রাগেই,	রাগেই,	
swarther,	স্বর্থের,	স্বার্থের,	
morodeho,	মরদেহ,	মরদেহ,	
railliner,	রেইলিনের,	রেললাইনের,	
hock,	হক,	হুক,	
phox,	ফোক্স,	ফক্স,	
gyada,	জ্যাদা,	গ্যাদা,	
dhila,	ধিলা,	ঢিলা,	
tistar,	তিস্তার,	তিস্তার,	
akreetokarjo,	আক্রীতকার্য,	অকৃতকার্য,	
vogiroth,	ভগিরোথ,	ভগীরথ,	
dharmiyabhabei,	ধর্মীয়ভাবেই,	ধর্মীয়ভাবেই,	
milekhanek,	মিলেখানেক,	মাইলখানেক,	
sahozlabhbhotar,	সহলোভলভতার,	সহজলভ্যতার,	
fibergulote,	ফিইবারগুলোতে,	ফাইবারগুলোতে,	
dwijenbabuder,	দ্বিজেনবাবুদের,	দ্বিজেনবাবুদের,	
jeshtha,	জেশ্ঠা,	জ্যেষ্ঠা,	
kathmandute,	কাঠমণ্ডুতে,	কাঠমান্ডুতে,	
impaction,	ইমপ্যাকশন,	ইমপ্যাকশন,	
potka,	পটকা,	পটকা,	
prangulo,	প্রানগুলো,	প্রানগুলো,	
sikkhagata,	শিক্ষাগত,	শিক্ষাগত,	
okritokarjo,	ওকৃতরার্য,	অকৃতকার্য,	
jounatar,	যৌনতার,	যৌনতার,	
ashanka,	আশানকা,	আশংকা,	
rachanakal,	রচনাকাল,	রচনাকাল,	
sahojlovyotar,	সহলোব্যতার,	সহজলভ্যতার,	
olympic,	অলিম্পিক,	অলিম্পিক,	
cheerontan,	চিরন্তান,	চিরন্তন,	
sooya,	সুয়া,	সোয়া,	
tigmanshu,	তিগমানশু,	তিগমংশু,	
firoze,	ফিরোজে,	ফিরোজ,	
biplabee,	বিপ্লাবি,	বিপ্লবী,	
doorotomo,	দূরতম,	দূরতম,	
nothivukta,	নথিভুক্ত,	নথিভুক্ত,	
chirkut,	চিরকুট,	চিরকুট,	
gabeshonar,	গাবেশনার,	গবেষনার,	
protijogitamulok,	প্রতিযোগতিমূলক,	প্রতিযোগীতামূলক,	
chirontan,	চিরণতান,	চিরন্তন,	
purple,	পারপলল,	পার্পেল,	
dekhso,	দেখসো,	দেখসো,	
mukhyo,	মুখ্য,	মুখ্য,	
oncholgulir,	অঞ্চলগুলির,	অঞ্চলগুলির,	
dokaanei,	ডোকানেই,	দোকানেই,	
jaaygata,	জয়গতা,	জায়গাটা,	
ala,	আলা,	আলা,	
chire,	চিরে,	চিরে,	
inafarameshana,	ইনারামেশন,	ইনফরমেশন,	
rajan,	রাজান,	রাজন,	
dhhaabi,	ঢাবি,	ঢাবি,	
boiragirhat,	বৈরাগীরত,	বৈরাগিরহাট,	
daaradaa,	দারাদা,	দারদা,	
baipass,	বাইপাস,	বাইপাস,	
mekong,	মেকং,	মেকং,	
sadeena,	সাদিনা,	সাডেন,	
dabarer,	দাবরের,	দাবারের,	
oblivion,	অবলিভনন,	অবলিভিয়ন,	
spredsheet,	স্প্রেডশিট,	স্প্রেডশীট,	
conflict,	কনফ্লিক্ট,	কনফ্লিক্ট,	
kanshat,	কংশাত,	কানসাট,	
dhangsantup,	ধ্বংসস্তূপ,	ধ্বংসন্তুপ,	
mutar,	মুতার,	মুতার,	
vaider,	বাইদের,	ভাইদের,	
gronthowo,	গ্রন্থুও,	গ্রন্থও,	
protiakromonei,	প্রতিয়াক্মমেনেই,	প্রতিআক্রমণেই,	
vittimul,	বিত্তিমূল,	ভিত্তিমূল,	
golghare,	গোলঘরে,	গোলঘরে,	
konar,	কোনার,	কণার,	
proshadhoner,	প্রশাধনের,	প্রসাধনের,	
nagorikkey,	নাগরিককে,	নাগরিককে,	
kruser,	ক্রুসের,	ক্রুশের,	
shilver,	শিলভার,	সিলভার,	
sikkharrtheerao,	শিক্ষার্থীরাও,	শিক্ষার্থীরাও,	
cheerokoomari,	চিরুকুমারী,	চিরকুমারী,	
shten,	স্টেন,	স্টেন,	
majlishpur,	মজজিলপুর,	মজলিশপুর,	
airish,	আইরিস,	আইরিস,	
bihar,	বিহার,	বিহার,	
fitarsaho,	ফিতারসহ,	ফিতরসহ,	
encidablu,	এন্িডাসবুল,	এনসিডাব্লু,	
parq,	পার্ক,	পার্ক,	
taposgoner,	তাপসগণের,	তাপসগণের,	
mythological,	মিইথোজিলাল,	মাইথলজিকাল,	
ujobekeestan,	উজবেক্তন,	উজবেকিস্তান,	
mozdur,	মজদুর,	মজদুর,	
providere,	প্রভীদেরে,	প্রভাইডারে,	
bangladesh,	বাংলাদেশ,	বঙ্গালাদেস,	
totokhon,	ততখন,	ততক্ষন,	
dakope,	ডাকোপে,	দাকোপ,	
prachando,	প্রাচান্ড,	প্রচণ্ড,	
vange,	ভঙঙ্গে,	ভাঙ্গে,	
kod,	কডড,	কোড,	
nabayug,	নাবায়ুগ,	নবযুগ,	
azaan,	আজান,	আজান,	
gejeted,	গেজেটেড,	গেজেটেড,	
udbhaboney,	উদ্ভবনে,	উদ্ভাবনে,	
fulkapi,	ফুলকাপি,	ফুলকপি,	
dormroome,	দর্মুরূমে,	ডর্মরুমে,	
heelser,	হিল্সের,	হিলসের,	
soceitytey,	সোেইটিইট,	সোসাইটিতে,	
peethey,	পিথে,	পীঠে,	
mardud,	মার্দুদ,	মরদুদ,	
sithilota,	সীথিলতা,	শিথিলতা,	
hosne,	হোসনে,	হোসনে,	
bonbhumi,	বনভূমি,	বনভূমি,	
kuthibarike,	কুথিবারীকে,	কুঠিবাড়ীকে,	
dobhara,	দোভারা,	ডোভার,	
bhuushito,	ভূশিত,	ভূষিত,	
vromonkaley,	ভ্রমণকালে,	ভ্রমণকালে,	
utsahamulak,	উৎসমহূলক,	উৎসাহমূলক,	
chintamani,	চিন্তামনি,	চিন্তামনি,	
wedanta,	ওয়াডান্টা,	বেদান্ত,	
benojir,	বেনোজির,	বেনজীর,	
aborto,	আবর্ত,	আবর্ত,	
