totokson,	তোটকসন,	ততক্ষন,	
sangasthagulo,	সংস্থাগুলো,	সংস্থাগুলো,	
udbhaboney,	উদ্ভাবনে,	উদ্ভাবনে,	
bisshas,	বিশশ,	বিশ্বাস,	
eukalyptus,	ইউক্লিপ্টাস,	ইউক্যালিপ্টাস,	
gobeshonar,	গবেষণার,	গবেষনার,	
shrabastee,	শ্রাবাস্তি,	শ্রাবস্তী,	
obosorer,	অবসরের,	অবসরের,	
somraatra,	সোমরাত্র,	সম্রাটরা,	
sqolastiq,	স্কোলস্টিক,	স্কলাস্টিক,	
raghubar,	রঘুবার,	রঘুবীর,	
militaryr,	মিলেটারির,	মিলিটারির,	
baieq,	বাঁঁক,	বাইক,	
bizito,	বিজিতো,	বিজিত,	
kaley,	কালে,	কালে,	
yanqee,	যানকি,	ইয়াংকি,	
reshidensha,	রেশিডেন্শা,	রেসিডেন্স,	
tunaita,	টুনাইতা,	টুনাইট,	
samajeek,	সমাজিক,	সামাজিক,	
harza,	হারজা,	হার্জ,	
dologuloo,	দলগুলোও,	দলগুলোও,	
taatey,	ট্যাটে,	তাতে,	
sipa,	সিপাআ,	শিপ,	
holuder,	হোলুদের,	হলুদের,	
chalachchitrotike,	চালচ্ছিত্রটিকে,	চলচ্চিত্রটিকে,	
pillai,	পিল্লাই,	পিল্লাই,	
emerjency,	এমেরজেন্সি,	এমার্জেন্সি,	
murali,	মুরালি,	মুরলী,	
sarboshokteeman,	সর্বশক্তিমান,	সর্বশক্তিমান,	
primoo,	প্রিমুও,	প্রিমো,	
aarke,	আরকে,	আরকে,	
jaubankal,	জৌবনকাল,	যৌবনকাল,	
talaa,	তালা,	তালা,	
chomski,	চমস্কি,	চমস্কি,	
shcholastic,	স্কোলস্টিক,	স্কলাস্টিক,	
aakabar,	আকাবার,	আকাবার,	
alsaar,	আলসার,	আলসার,	
romancha,	রোমাঞ্চ,	রোমাঞ্চ,	
bedey,	বেদে,	বেদে,	
girilal,	গিরিলাল,	গিরিলাল,	
panda,	পান্ডা,	পান্ডে,	
daraider,	দারাইদের,	দরাইদের,	
amarjito,	অমার্যত,	অমার্জিত,	
carlos,	কার্লোস,	কার্লোস,	
plate,	প্ল্যাট,	প্লেট,	
notey,	নোটে,	নোটে,	
jwar,	জ্বার,	জ্বর,	
pariyech,	পরিয়েছ,	পরিয়েছ,	
shamshere,	শামশেরে,	শমসের,	
tahalo,	তাহালো,	তাহলো,	
mukhomandaley,	মুখমণ্ডলে,	মুখমণ্ডলে,	
ghoomachhilo,	ঘুমাছিলো,	ঘুমাচ্ছিল,	
pratijogira,	প্রতিযোগীরা,	প্রতিযোগীরা,	
torunderke,	তরুন্দরকে,	তরুণদেরকে,	
byabaharkariderke,	ব্যবহারকারীদেরকে,	ব্যবহারকারীদেরকে,	
nibobondhonkrito,	নিববন্ধনকৃত,	নিববন্ধনকৃত,	
benojir,	বেনোজির,	বেনজীর,	
khuizza,	খুইজ্জা,	খুইজ্জা,	
torkarite,	তরকারিতে,	তরকারিতে,	
ragee,	রাগী,	রাগী,	
ghumacchilo,	ঘুমাচ্ছিল,	ঘুমাচ্ছিল,	
parishram,	পরিশ্রম,	পরিশ্রম,	
pronoti,	প্রণতি,	প্রণতি,	
emiratas,	এমিরাতাস,	এমিরেটাস,	
aembed,	আম্বেড,	এম্বেড,	
paste,	পাস্তে,	পেষ্ট,	
tomader,	তোমাদের,	তোমাদের,	
prakare,	প্রকারে,	প্রকারে,	
leaders,	লিডার্স,	লিডার্স,	
shardotsobei,	শর্দসতবেই,	শারদোৎসবেই,	
dokaangoolote,	দোকানগুলোতে,	দোকানগুলোতে,	
anchalgulir,	অঞ্চলগুলির,	অঞ্চলগুলির,	
lebina,	লেবিনা,	লেবিনা,	
proteemar,	প্রতিমার,	প্রতিমার,	
spreadshiit,	স্প্রেডশিট,	স্প্রেডশীট,	
bosontoke,	বসনটকে,	বসন্তকে,	
magical,	ম্যাজিক্যাল,	ম্যাজিকাল,	
ajibon,	অজিবন,	আজীবন,	
carloos,	কার্লোস,	কার্লোস,	
kolkarkhana,	কোলকারখানা,	কলকারখানা,	
bodna,	বদনা,	বদনা,	
saralya,	সরল্য,	সারল্য,	
gaziipur,	গাজিইপুর,	গাজীপুর,	
nanilalke,	নানিলালকে,	ননীলালকে,	
venice,	ভেনিস,	ভেনিস,	
akatwa,	আকাত্ব,	একাত্ব,	
suparharo,	সুপারহরর,	সুপারহিরো,	
beem,	বিম,	বিম,	
churger,	চুর্গের,	চার্জের,	
bouddho,	বৌদ্ধ,	বৌদ্ধ,	
dijmarescu,	ডিজমেরেসকু,	দিজমার্সাকু,	
blogarra,	ব্লগাররা,	ব্লগাররা,	
russad,	রুসদ,	রুশদ,	
ganjana,	গঞ্জনা,	গঞ্জনা,	
siramikasa,	সিরামিকাসা,	সিরামিকস,	
machkabar,	মাচকাবার,	মাচকাবার,	
oxfordey,	অক্সফোর্ডে,	অক্সফোর্ডে,	
plaiin,	প্লেইন,	প্লেন,	
torkareer,	তরকারীর,	তরকারীর,	
cinemapremider,	সিনেম্প্রেমিদের,	সিনেমাপ্রেমীদের,	
arthurer,	অর্থুরের,	আর্থারের,	
distibutor,	ডিস্টিবুটর,	ডিস্টিবিউটারের,	
ovidhanik,	অভিধানিক,	অভিধানিক,	
badhamuktovabe,	বাধুমক্তভাবে,	বাধামুক্তভাবে,	
bamni,	বামনি,	বামনী,	
saarbharti,	সারভর্তি,	সার্ভারটি,	
bade,	বাদে,	বাদে,	
bethikata,	বেথিকাটা,	বেঠিকতা,	
times,	টিমেস,	টাইমস্,	
laaisheesh,	লাইশিশ,	লাইসেন্স,	
hena,	হেনা,	হেনা,	
pulivendla,	পুলিভেন্ডলা,	পুলিভেন্ডলা,	
planeti,	প্ল্যানটি,	প্লেনটি,	
hijrite,	হিজরিতে,	হিজরীতে,	
scorey,	স্কোরে,	স্কোরে,	
casper,	ক্যাসপার,	ক্যাসপার,	
pacchi,	পাচচি,	পাচ্ছি,	
barack,	ব্যারাক,	বারাক,	
byabosthar,	ব্যবস্থার,	ব্যবস্থার,	
boikolyo,	বৈকল্য,	বৈকল্য,	
byabaharkaree,	ব্যবহারকারী,	ব্যবহারকারী,	
show,	শুয়,	শো,	
nikote,	নিকোতে,	নিকটে,	
tolemy,	টোলেমি,	টলেমির,	
toxoid,	টক্সইড,	টক্সয়েড,	
jandrel,	জান্দ্রেল,	জাঁদরেল,	
boiragirhat,	বৈরাগীরঘাট,	বৈরাগিরহাট,	
thakeni,	থাকেনি,	থাকেনি,	
planey,	প্ল্যানে,	প্লেনে,	
sangosrobomukto,	সংস্র্্মক্ত,	সংস্রবমুক্ত,	
manobikotao,	মানবিকতাও,	মানবিকতাও,	
sikha,	সিখা,	শিখ,	
oisamoyer,	ঐহসময়ের,	ঐসময়ের,	
dai,	দায়,	দিই,	
rashedul,	রাশেদুল,	রাশিদুল,	
bisshonath,	বিশ্নাথ,	বিশ্বনাথ,	
vagini,	ভাগিনি,	ভগিনী,	
prokar,	প্রকার,	প্রকার,	
anichchi,	অনিচ্ছি,	আনিচ্ছি,	
okkhorke,	অক্ষরকে,	অক্ষরকে,	
suraropito,	সুরাপরিত,	সুরারোপিত,	
reflex,	রেফ্লেক্স,	রিফ্লেক্স,	
khappar,	খাপপার,	খপ্পর,	
srabosty,	শ্রাবোস্টি,	শ্রাবস্তী,	
sobchey,	সবছে,	সবচে,	
sahozlabhbhotar,	সহলাবভাতার,	সহজলভ্যতার,	
chalochchitreei,	চালচ্চিত্রেই,	চলচ্চিত্রেই,	
korimpur,	করিমপুর,	করিমপুর,	
bhumija,	ভূমিজা,	ভূমিজ,	
roopmatro,	রূপমাত্র,	রূপমাত্র,	
chirkut,	চিরকুট,	চিরকুট,	
shikh,	শিখ,	শিখ,	
gandharir,	গন্ধারীর,	গান্ধারীর,	
ranangone,	রানাঙ্গনে,	রণাঙ্গনে,	
shukraanoo,	শুক্রানও,	শুক্রানু,	
prosadhani,	প্রসাধানি,	প্রসাধনী,	
daaktikite,	ডাক্তিকেতে,	ডাকটিকিটে,	
shainyader,	শৈন্যাদের,	সৈন্যদের,	
byomkes,	ব্যোমকেস,	ব্যোমকেশ,	
kathghera,	কাঠঘেরা,	কাঠঘেরা,	
somoibo,	সমমিব,	সমৈব,	
soheensotar,	সোহীনসতার,	সহিংসতার,	
nirmolota,	নির্মলতা,	নির্মলতা,	
pratijogitamulak,	প্রতিযোগিতমূলক,	প্রতিযোগীতামূলক,	
danaqana,	দানাকানা,	ডানকান,	
uparjoner,	উপার্যনের,	উপার্জনের,	
dokkhinangsho,	দক্ষিণাংশ,	দক্ষিণাংশ,	
agaldar,	আগালদার,	আগলদার,	
uindoos,	উইন্ডোস,	উইন্ডোস,	
taap,	টাপ,	ট্যাপ,	
dipti,	ডিপটি,	ডেপুটি,	
deefinition,	ডিফিনিশন,	ডেফিনেশন,	
tatey,	তাতে,	তাতে,	
bonnopran,	বন্যপ্রাণ,	বন্যপ্রাণ,	
bsnleu,	বিএসএলনি,	বিএসএনএলইইউ,	
chaaktir,	চাকটির,	চাকতির,	
doorotaumo,	দূরতামও,	দূরতম,	
bajite,	বাজিতে,	বাজিতে,	
munjur,	মুনজুর,	মুনজুর,	
besooro,	বেসুরো,	বেসুর,	
feemalee,	ফিমালি,	ফিমেল,	
ekok,	একক,	একক,	
ansareer,	আনশারীর,	আনসারীর,	
suiti,	সুইটি,	সুইটি,	
quota,	কোওটা,	কোটা,	
sookkho,	সুক্ষ,	সুক্ষ্ম,	
graambaaseeo,	গ্রামবাসেও,	গ্রামবাসীও,	
koyekbare,	কয়েকবারে,	কয়েকবারে,	
jolrang,	জলরাং,	জলরঙ,	
epiela,	এপিয়েলা,	আইপিএল,	
harishankar,	হরিশঙ্করের,	হরিশংকর,	
bunot,	বুনত,	বুনট,	
stoic,	স্টিইক,	স্টোয়িক,	
baharamporer,	বাহারাম্পরের,	বহরমপুরের,	
abheedhaaneeck,	অভেধানিক,	অভিধানিক,	
stander,	স্ট্যান্ডার,	স্ট্যাণ্ডের,	
middleton,	মিডলেটন,	মিডলটন,	
acrolect,	অ্যার্রোলেক্ট,	অ্যাক্রোলেক্ট,	
machhti,	মাছতি,	মাছটি,	
upobaashee,	উপবাশী,	উপবাসী,	
bahjya,	বাহজ্যা,	বাহ্য,	
addhattikotar,	অদ্ধাত্তিকতার,	আধ্যাত্মিকতার,	
dharmee,	ধর্মী,	ধর্মী,	
aswasteekor,	অস্বাস্তিকর,	অস্বস্তিকর,	
chalchhe,	চালচে,	চলছে,	
ooipoka,	ওফপাকা,	উইপোকা,	
pachchi,	পাচ্ছি,	পাচ্ছি,	
hattey,	হ্যাটে,	হাঁটতে,	
samoshtigato,	সমস্তিগত,	সমষ্টিগত,	
bhorkendra,	ভরকেন্দ্রের,	ভরকেন্দ্র,	
safiin,	সাফিন,	সাফিন,	
giitikobitar,	গীতিকতিবার,	গীতিকবিতার,	
hul,	হুল,	হুল,	
saseza,	সাসেজা,	সসেজ,	
mosjidsoho,	মসজিদসহ,	মসজিদসহ,	
khalidke,	খালিদকে,	খালিদকে,	
sangbadmadhyame,	সংবাদমধ্যমে,	সংবাদমাধ্যমে,	
projanankal,	প্রজানকাল,	প্রজননকাল,	
phox,	ফক্স,	ফক্স,	
baaiq,	বাইক,	বাইক,	
hurricane,	হ্যারিকেন,	হ্যারিকেন,	
chet,	চেত,	চ্যাট,	
gabeshonar,	গবেষণার,	গবেষনার,	
nirbachokder,	নির্বাচকদের,	নির্বাচকদের,	
palashir,	পালাশির,	পলাশীর,	
idyi,	ইদ্যি,	আইডিই,	
saoum,	সাওয়াম,	সাওম,	
ghatleo,	ঘাতলেও,	ঘটলেও,	
shasonkarta,	শাসনকর্তা,	শাসনকর্তা,	
jones,	জনস,	জোন্স,	
manab,	মানব,	মানব,	
brindaboney,	বৃন্দাবনে,	বৃন্দাবনে,	
postay,	পোস্টায়,	পোস্টে,	
transapharma,	ট্রান্সফারমা,	ট্রান্সফর্ম,	
utsahamulak,	উৎসমহুলাক,	উৎসাহমূলক,	
muhurtati,	মুহুরটাটি,	মুহুর্তটি,	
madhabi,	মাধাবী,	মাধবী,	
macbeth,	ম্যাকবেথ,	ম্যাকবেথ,	
byboshthar,	বিব্্থার,	ব্যাবস্থার,	
saabyastha,	সাব্যস্থা,	সাব্যস্থ,	
sponsorshipe,	স্পন্শরশীপে,	স্পন্সরশীপে,	
patrol,	পাত্রোল,	পেট্রোল,	
ekroop,	একরূপ,	একরূপ,	
mokhmoley,	মোখমলে,	মখমলে,	
treend,	ট্রিন্ড,	ট্রেন্ড,	
mukherjee,	মুখের্জী,	মুখার্জী,	
hights,	হাইটস,	হাইটস,	
aizulke,	আইজলুকে,	আইজুলকে,	
huk,	হুক,	হুক,	
bhogiroth,	ভোগীরোথ,	ভগীরথ,	
bhittitei,	ভিত্তিতেই,	ভিত্তিতেই,	
peengna,	পিংগানা,	পিংনা,	
doula,	দুয়ালা,	দৌলা,	
torabganj,	তোরাবগঞ্জ,	তোরাবগঞ্জ,	
amiretus,	অ্যামিরেটাস,	এমিরেটাস,	
nirikhe,	নিরীখে,	নিরিখ,	
dala,	ডালা,	দলা,	
adhunikkale,	অধুনিকালে,	আধুনিককালে,	
salphat,	সালফাট,	সালফেট,	
ovarview,	ওভারভিভ,	ওভারভিউ,	
nishad,	নিশাদ,	নিষাদ,	
upobashii,	উপবাশী,	উপবাসী,	
abheedhanik,	অভিধানিক,	অভিধানিক,	
dada,	দাদা,	দাদা,	
jaanar,	জানার,	জানার,	
labonaktatar,	লবণণক্ততার,	লবণাক্ততার,	
pratista,	প্রতিস্তা,	প্রতিষ্টা,	
dibi,	দিবি,	দিবি,	
chalochchitrei,	চালচ্ছিত্রেই,	চলচ্চিত্রেই,	
nathivookto,	নাঠিভুক্ত,	নথিভুক্ত,	
aarik,	আরিক,	আরিক,	
brookoleen,	ব্রুকোলিন,	ব্রুকলিন,	
dakticket,	ডাক্টিকেট,	ডাকটিকিট,	
kiuti,	কিউটি,	কিউটি,	
krechi,	ক্রেচি,	করেছি,	
dhyana,	ধ্যান,	ধ্যান,	
codee,	কোড,	কোডে,	
katiusha,	কাতিশা,	কাতিউশা,	
sukumaree,	সুকুমারী,	সুকুমারী,	
helly,	হেলি,	হিলি,	
sarajibonbyapi,	সরাজীবন্যাপী,	সারাজীবনব্যাপী,	
raiialati,	রেইলাইটি,	রয়্যালটি,	
plack,	প্ল্যাক,	প্ল্যাক,	
karpeter,	কারপেটের,	কার্পেটের,	
ratishilatai,	রতিশীলতাই,	রতিশীলতায়,	
stanahenja,	স্তানেনহ্য,	স্টোনহেঞ্জ,	
kathmandute,	কাঠমন্ডুতে,	কাঠমান্ডুতে,	
tuleche,	তুলেছে,	তুলেছে,	
prottokkhovabe,	প্রত্যক্ষভাবে,	প্রত্যক্ষভাবে,	
keu,	কেউ,	কেউ,	
louhojato,	লৌহজাত,	লৌহজাত,	
sarder,	সারদের,	সরদার,	
shchalastic,	স্ক্যালাসটিক,	স্কলাস্টিক,	
kode,	কোদে,	কোড,	
shikkharrthirao,	শিক্ষার্থীরাও,	শিক্ষার্থীরাও,	
swartho,	স্বার্থ,	স্বার্থ,	
hindutirtha,	হিন্দুতির্থ,	হিন্দুতীর্থ,	
nazad,	নাজাদ,	নাজাদ,	
baet,	বিত,	বাইট,	
deputi,	ডেপুটি,	ডেপুটি,	
confliqt,	কনফ্লিক্ট,	কনফ্লিক্ট,	
jatinke,	জাতিনকে,	যতীনকে,	
waal,	ওয়াল,	উল,	
mausumeo,	মৌসুমেও,	মৌসুমেও,	
pratisthanik,	প্রতিষ্ঠানিক,	প্রাতিষ্ঠানিক,	
arashie,	আরাশী,	আরসিএ,	
angsogrohone,	অংশগ্রহণে,	অংশগ্রহনের,	
raunanganey,	রৌনাঙ্গনে,	রণাঙ্গনে,	
shumo,	শুমো,	সুমো,	
shommotite,	শম্মতিতে,	সম্মতিতে,	
courtcaser,	কার্টকেসের,	কোর্টকেসের,	
arke,	আরকে,	আরকে,	
neutrinoo,	নিউট্রিনো,	নিউট্রিনো,	
chirontan,	চিরন্তান,	চিরন্তন,	
popke,	পপকে,	পোপকে,	
ooipokar,	ওফপকার,	উইপোকার,	
madhoboir,	মাধবীর,	মাধবীর,	
eura,	ইউরা,	ইউরো,	
ekirokom,	একিরকম,	একইরকম,	
poste,	পোস্টে,	পোষ্টে,	
shatodha,	শতোধা,	শতধা,	
dhaleshwari,	ধলেশ্বরী,	ধলেশ্বরী,	
maley,	ম্যালে,	মালে,	
teemothi,	তিমোথি,	টিমোথি,	
pabo,	পাবো,	পাব,	
pradoshik,	প্রদাশিক,	প্রাদশিক,	
nothivukto,	নথিভুক্ত,	নথিভুক্ত,	
hari,	হারি,	হরি,	
fulkapi,	ফুলকাপি,	ফুলকপি,	
shahabike,	শাহাবীকে,	সাহাবীকে,	
elakayi,	এলাকায়ি,	এলাকাই,	
tonoo,	তোনো,	তনু,	
daaradaa,	দারাদা,	দারদা,	
dhangsachchi,	ধাংশাচ্ছি,	ধ্বংসাচ্ছি,	
sangharshik,	সংহর্ষিক,	সাংঘর্ষিক,	
bim,	বিএম,	বিম,	
firth,	ফির্থ,	ফার্থ,	
ganesh,	গনেশ,	গণেশ,	
shfingtar,	শ্ফিগতার,	স্ফিংটার,	
anyorup,	অন্যরূপ,	অন্যরূপ,	
samashtike,	সমাসটিকে,	সমষ্টিকে,	
kings,	কিংস,	কিংস,	
adbhanced,	অ্যাডভাঞ্সেড,	অ্যাডভান্সড,	
choson,	চসন,	চোষণ,	
firoze,	ফিরোজ,	ফিরোজ,	
bosante,	বসনান্তে,	বসন্তে,	
klaud,	ক্লড,	ক্লাউড,	
chadake,	চাদাকে,	চড়াকে,	
bhardwaj,	ভর্দ্বাজ,	ভরদ্বাজ,	
barbadoj,	বারবাদজ,	বার্বাডোজ,	
elaaka,	এলাকা,	এলাকা,	
protijogi,	প্রতিযোগী,	প্রতিযোগী,	
korush,	করুশ,	ক্রুশ,	
tukrowti,	টুক্রোটি,	টুকরোটি,	
akkharkey,	অক্ষারকে,	অক্ষরকে,	
laesensh,	লেসেন্শ,	লাইসেন্স,	
faase,	ফাসে,	ফাঁসে,	
mach,	মাচ,	মাছ,	
antarctica,	অ্যান্টার্ক্টিকা,	অ্যান্টার্কটিকার,	
bhenom,	ভেনোম,	ভেনম,	
gaaddafee,	গাদ্ডাফী,	গাদ্দাফী,	
jolrong,	জলরং,	জলরঙ,	
adwanced,	অ্যাডান্সেড,	অ্যাডভান্সড,	
guzober,	গুজবের,	গুজবের,	
sangkoolan,	সংকুলোন,	সংকুলান,	
ase,	আসে,	আসে,	
ebham,	এভাম,	ইভিএম,	
mankisundar,	মানকিসুন্দর,	মানকিসুন্দর,	
disni,	ডিসনি,	ডিজনী,	
shanno,	শান্য,	সান্নো,	
koruna,	কোরুনা,	করুণা,	
suporichita,	সুপরিচিত,	সুপরিচিত,	
abdi,	আব্দি,	অব্দি,	
cooda,	কোড,	কোডা,	
chhuteer,	ছুটির,	ছুটির,	
scoore,	স্কার,	স্কোর,	
kyatagorir,	ক্যাটাগরির,	ক্যাটাগরির,	
sayanaida,	সায়নাইদা,	সায়ানাইড,	
jaistho,	জাইস্থ,	জ্যৈষ্ঠ,	
tennys,	টেনিস,	টেনিস,	
kadam,	কাদাম,	কদম,	
conflikt,	কনফ্লিক্ট,	কনফ্লিক্ট,	
orthanitir,	অর্থানিতির,	অর্থনীতির,	
joumana,	জৌমানা,	জুমানা,	
khilaphat,	খিলাফাত,	খিলাফত,	
somosto,	সমস্ত,	সমস্ত,	
seo,	সিওও,	সেও,	
oswasteekor,	অস্বাস্তিকর,	অস্বস্তিকর,	
makhno,	মাখনো,	মাখনো,	
karam,	করম,	কেরাম,	
dosha,	দোষা,	দোসা,	
nischoy,	নিশ্চয়,	নিশ্চয়,	
maladabha,	মালাদাভা,	মলদোভা,	
nirarthak,	নিরার্থক,	নিরর্থক,	
trenda,	ট্রেন্ডা,	ট্রেন্ড,	
panchashjon,	পঞ্চাশজন,	পঞ্চাশজন,	
mumtajer,	মুমতাজের,	মুমতাজের,	
snehban,	স্নেহবান,	স্নেহবান,	
thanvi,	থানভি,	থানভী,	
oojbekistan,	ওজবেকিস্তান,	উজবেকিস্তান,	
shatoke,	শাতোকে,	শতকে,	
teoyana,	তেওয়ানা,	তাইওয়ান,	
proshtotto,	প্রস্তত্ব,	প্রস্ত্তত,	
niphelheim,	নিফেলিমেম,	নিফেলহেইম,	
dharavahik,	ধারাভাহিক,	ধারাবাহিক,	
distance,	ডিস্ট্যান্স,	ডিসট্যান্স,	
sooya,	সুয়া,	সোয়া,	
soommita,	সুমতি,	সুমিতা,	
euqalyptus,	ইকল্যাপিটাস,	ইউক্যালিপ্টাস,	
saqara,	সাকারা,	সকার,	
ekekrokom,	একেকরকোম,	একেকরকম,	
karmokarke,	কর্মকারকে,	কর্মকারকে,	
graambasi,	গ্রাম্বাসী,	গ্রামবাসী,	
vabuk,	ভাবুক,	ভাবুক,	
laesens,	লেসেন্স,	লাইসেন্স,	
bikargrosto,	বিকারগ্রস্ত,	বিকারগ্রস্ত,	
shattoki,	শত্টকি,	সাত্যকি,	
kruser,	ক্রুসের,	ক্রুশের,	
ashanka,	আশঙ্কা,	আশংকা,	
tiuning,	টিউনিং,	টিউনিং,	
scholarsip,	স্কলারসিপ,	স্কলারশিপ,	
bhalobaas,	ভালোবাস,	ভালোবাসা,	
dupleks,	ডুপলেক্স,	ডুপ্লে,	
parijaner,	পরিজানের,	পরিজনের,	
lokhindorer,	লোখিন্দরের,	লখিন্দরের,	
aamoode,	আমুদে,	আমুদে,	
janoganonar,	জানোগানার,	জনগণনার,	
edmeeral,	এডমিরাল,	এডমিরাল,	
debdebie,	দেবদেবী,	দেবদেবী,	
rohinibabu,	রোহিনীবাবু,	রোহিনীবাবু,	
sten,	স্টেন,	স্টেন,	
deelibhara,	দিলিভরা,	ডেলিভার,	
akai,	আকাই,	একাই,	
difinishion,	ডিফিনিশন,	ডেফিনেশন,	
koro,	কোরো,	করো,	
madrasake,	মাদ্রাসাকে,	মাদ্রাসাকে,	
satarkokari,	সতর্ককারী,	সতর্ককারী,	
shrabasti,	শ্রাবাস্তি,	শ্রাবস্তী,	
quartar,	কোয়ার্টার,	কোয়ার্টার,	
basturoi,	বাস্তুরোই,	বস্তুরই,	
ship,	শিপ,	শিপ,	
tarkareer,	তারকারীর,	তরকারীর,	
parswer,	পারস্বের,	পার্শ্বের,	
booksar,	বুক্সার,	বুক্সার,	
shikhbe,	শিখবে,	শিখবে,	
kharavel,	খারাভেল,	খারবেল,	
hitlere,	হিটলারে,	হিটলারে,	
protisthar,	প্রতিষ্ঠার,	প্রতিষ্ঠার,	
banglota,	বাংলোটা,	বাংলোটা,	
rajbandi,	রাজবন্দী,	রাজবন্দী,	
deep,	দীপ,	দীপ,	
samle,	সামলে,	সামলে,	
protishta,	প্রতিষ্টা,	প্রতিষ্টা,	
qlauda,	ক্লাডা,	ক্লাউড,	
spredashita,	স্প্রেদশিত,	স্প্রেডশীট,	
satarkakari,	সতর্কাকারী,	সতর্ককারী,	
slatgulor,	স্লাটগুলোর,	স্ল্যাটগুলোর,	
pnouchute,	পুঁচুতে,	পৌঁছুতে,	
rejidens,	রেজিডেন্স,	রেসিডেন্স,	
mmehonoti,	ম্মমেহনতি,	মেহনতি,	
chalachchitrei,	চালচ্ছিত্রেই,	চলচ্চিত্রেই,	
footbalarra,	ফুটবালরারা,	ফুটবলাররা,	
mandape,	মান্ডাপে,	মন্ডপে,	
kholdhular,	খোলধুলার,	খোলধূলার,	
mataram,	মাতারাম,	মাতরম,	
akhandata,	আখণ্ডতা,	অখণ্ডতা,	
qarqa,	কার্কা,	কার্ক,	
iling,	ইলিং,	ইলিং,	
tukrote,	টুকরোতে,	টুকরোতে,	
pyatarne,	প্যাটার্নে,	প্যাটার্নে,	
trutimatra,	ত্রুতিমাত্র,	ত্রুটিমাত্র,	
pakistanira,	পাকিস্তানীরা,	পাকিস্তানীরা,	
karim,	কারিম,	করিম,	
zerusaleme,	জেরুসালেম,	জেরুসালেমে,	
commissionvogider,	কমিসনভোগীদের,	কমিশনভোগীদের,	
sombhobonao,	সম্ভবনাও,	সম্ভবনাও,	
ved,	ভেড,	বেদ,	
foloshrutite,	ফলশ্রুতিতে,	ফলশ্রুতিতে,	
elakaai,	এলাকাই,	এলাকাই,	
ajeem,	আজিম,	আজিম,	
gandhiir,	গান্ধির,	গান্ধীর,	
rubidium,	রুবিডিয়াম,	রুবিডিয়াম,	
ahalya,	আহাল্যা,	অহল্যা,	
shroddhabihin,	শ্রো্ধাবিহীন,	শ্রদ্ধাবিহীন,	
cholechi,	চলেছি,	চলেছি,	
playtey,	প্লেটে,	প্লেটে,	
said,	সাইদ,	সাইদ,	
bhushito,	ভূষিত,	ভূষিত,	
dokanei,	দোকানেই,	দোকানেই,	
shotodha,	শতধা,	শতধা,	
kraim,	ক্রাম,	ক্রাইম,	
aasirbaad,	আসিরবাদ,	আশির্বাদ,	
chhuteete,	ছুটিতে,	ছুটিতে,	
jatata,	জাতাতা,	যতোটা,	
keyu,	কেয়ু,	কেউ,	
uddhritir,	উদ্ধৃতির,	উদ্ধৃতির,	
digrir,	ডিগ্রির,	ডিগ্রির,	
bhageri,	ভাগেরি,	ভাগেরই,	
gafeeloti,	গাফেলোটি,	গাফিলতি,	
ashankai,	আশঙ্কাই,	আশঙ্কাই,	
alexandar,	আলেক্স্ন্দার,	আলেকজান্ডার,	
bane,	বাঁে,	বনে,	
akpashe,	আক্পশে,	একপাশে,	
baptics,	ব্যাপটিক্স,	ব্যাপটিকস,	
echhti,	এচতি,	এছটি,	
roopdan,	রূপডান,	রুপদান,	
eeksapreeshana,	এক্সপ্রেশন,	এক্সপ্রেশন,	
parka,	পারকা,	পার্ক,	
cocaine,	কোকেইন,	কোকেইন,	
rahee,	রাহী,	রাহী,	
everage,	এভেরেজ,	এভারেজ,	
salafeta,	সালাফেটা,	সালফেট,	
gananatyo,	গণনাত্য,	গণনাট্য,	
sommotite,	সম্মতিতে,	সম্মতিতে,	
udbodhaney,	উদ্বোধনে,	উদ্বোধনে,	
shikkharthirao,	শিক্ষার্থীরাও,	শিক্ষার্থীরাও,	
matorom,	মাতোরম,	মাতরম,	
madeling,	ম্যাডেলিং,	মডেলিং,	
kanasarabhesana,	কাসররভেষণ,	কনসারভেশন,	
shhashtra,	শাষ্ট্র,	শাস্ত্র,	
dwipke,	দ্বীপকে,	দ্বীপকে,	
vobani,	ভবানী,	ভবানী,	
shikkhartheerao,	শিক্ষার্থীরাও,	শিক্ষার্থীরাও,	
byke,	ব্ইক,	বাইক,	
bijepi,	বিজেপি,	বিজেপি,	
neemeette,	নিমিত্তে,	নিমিত্তে,	
manushe,	মানুষে,	মানুষে,	
neermol,	নির্মোল,	নির্মল,	
weelcomee,	উইলকমি,	ওয়েলকাম,	
gobeshana,	গোবেশন,	গবেষনা,	
foxer,	ফক্সের,	ফক্সের,	
juktorastrer,	যুক্তরাস্ত্রের,	যুক্তরাষ্ট্রের,	
vvimsenn,	ভিভিমসেন,	ভীমসেন,	
kayed,	কায়েদ,	কায়েদ,	
nosihote,	নসীহতে,	নসিহতে,	
muktilav,	মুক্তিলাভ,	মুক্তিলাভ,	
mochlekha,	মোচখেখা,	মোছলেখা,	
ghoshito,	ঘোষিত,	ঘোষিত,	
bonsho,	বনশো,	বংশ,	
jahangirbad,	জাহানীগ্রাদ,	জাহাঙ্গীরবাদ,	
melbourner,	মেলবার্নের,	মেলবোর্নের,	
eporzonto,	এপরজন্ত,	এপর্যন্ত,	
sumitrar,	সুমিত্রার,	সুমিত্রার,	
