bhenasha,	ভেনাশা,	ভেনাস,	
taler,	তালের,	তালের,	
phiksa,	ফিক্সা,	ফিক্স,	
diznee,	দিজনী,	ডিজনী,	
labonaaktotaar,	লাবণাক্ততার,	লবণাক্ততার,	
oindrila,	ঐন্দ্রিলা,	ঐন্দ্রিলা,	
pacbar,	পাকবার,	পাঁচবার,	
mitro,	মিত্রো,	মিত্র,	
abhiyojan,	অভিয়াজন,	অভিযোজন,	
kushakhali,	কুশাখালি,	কুশাখালি,	
atorkitey,	অতর্কিতে,	অতর্কিতে,	
breq,	ব্রেক,	ব্রেক,	
taateo,	তাতেও,	তাতেও,	
rupert,	রাপার্ট,	রুপার্ট,	
rastagulikeo,	রাস্তাগুলিকেও,	রাস্তাগুলিকেও,	
sikha,	সিখা,	শিখ,	
shudhir,	শুধীর,	শুধীর,	
alumni,	আলুমনি,	অ্যালমনি,	
bharatey,	ভারাতে,	ভারতে,	
narsaari,	নারসারি,	নার্সারি,	
navaratri,	নবরত্রি,	নবরাত্রি,	
oncholeo,	অঞ্চলেও,	অঞ্চলেও,	
hul,	হোল,	হুল,	
juboke,	যুবকে,	যুবকে,	
bhaangchur,	ভাংচুর,	ভাংচুর,	
kale,	কালে,	কালে,	
krom,	ক্রম,	ক্রম,	
mishal,	মিশাল,	মিশাল,	
udbhabaney,	উদ্ভাবনে,	উদ্ভাবনে,	
sheetke,	শীতকে,	শীতকে,	
rakshanbhag,	রক্ষণভাগ,	রক্ষণভাগ,	
murali,	মুরালি,	মুরলী,	
societytey,	সোশিটেটি,	সোসাইটিতে,	
cheef,	চেয়াফ,	শেফ,	
shulfate,	সুলফাতে,	সালফেট,	
kaalengaa,	কালেঙ্গা,	কালেঙ্গা,	
difinishian,	ডিফিনিশিয়ান,	ডেফিনেশন,	
redcrosser,	রেড্রকরসের,	রেডক্রসের,	
naper,	নাপের,	ন্যাপের,	
torunra,	তরুণরা,	তরুণরা,	
talaa,	তালা,	তালা,	
turkamena,	তুরকামেনা,	তুর্কমেন,	
sealvi,	সিলভি,	সিলভি,	
shhikara,	শিকারা,	শিকার,	
hijritey,	হিজৃিতে,	হিজরীতে,	
sobchey,	সবকে,	সবচে,	
purohitder,	পুরোহিতদের,	পুরোহিতদের,	
neerbachoker,	নির্বাচকের,	নির্বাচকের,	
sompadon,	সম্পাদন,	সম্পাদন,	
remission,	রিমিশন,	রিমিশন,	
brookoleen,	ব্রুকোলিন,	ব্রুকলিন,	
drissoteer,	দৃষ্টির,	দৃশ্যটির,	
probhritike,	প্রভৃতিকে,	প্রভৃতিকে,	
edic,	এডিক,	এডিক,	
mosjidtir,	মসজিদটির,	মসজিদটির,	
rca,	আরসিএ,	আরসিএ,	
gananatyo,	গণনা্্য,	গণনাট্য,	
eesa,	ইস্সা,	আইএএস,	
ajijer,	আজিজের,	আজিজের,	
madhukori,	মধুকোরি,	মাধুকরী,	
norfolk,	নরফলক,	নরফোক,	
mmadhuri,	মমমুধিরি,	মাধুরী,	
melbourner,	মেলবোর্নের,	মেলবোর্নের,	
narishwar,	নারীশ্বর,	নারীশ্বরের,	
windows,	উইন্ডোস,	উইন্ডোস,	
hena,	হেনা,	হেনা,	
byabosthar,	ব্যবস্থার,	ব্যবস্থার,	
mulyabriddhikale,	মূল্যবৃদ্ধিকালে,	মূল্যবৃদ্ধিকালে,	
protijogi,	প্রতিযোগী,	প্রতিযোগী,	
ghotaibe,	ঘোটাইবে,	ঘটাইবে,	
cheerokoomari,	চিরকৌমারী,	চিরকুমারী,	
eupheike,	ইউফেইকে,	ইউফেইকে,	
phartha,	ফার্থা,	ফার্থ,	
francine,	ফ্রানসিন,	ফ্রান্সিন,	
shishu,	শিশু,	শিশু,	
durgatsober,	দুর্গাৎসবের,	দুর্গোৎসবে,	
bamni,	বামনি,	বামনী,	
corsin,	করসিন,	করসিন,	
saptahokal,	সপ্তাহকাল,	সপ্তাহকাল,	
himsrot,	হিমস্রুট,	হিমস্রোত,	
khelaphate,	খেলাফাতে,	খেলাফতে,	
iksaprishana,	এক্সপ্রশশন,	এক্সপ্রেশন,	
onchalti,	অঞ্চলটি,	অঞ্চলটি,	
dadar,	ডাদার,	দাদার,	
modyer,	মদ্যের,	মদ্যের,	
sqirt,	স্ক্রিট,	স্কার্ট,	
graambasi,	গ্রামবাসী,	গ্রামবাসী,	
niemond,	নিমম্যান্ড,	নিমন্ড,	
akar,	আকার,	একার,	
toufiq,	তৌফিক,	তৌফিক,	
majlishpur,	মজলিশপুর,	মজলিশপুর,	
aasirbaad,	আসিরবাদ,	আশির্বাদ,	
bornolikhon,	বর্ণলিখন,	বর্ণলিখন,	
babona,	বাবোনা,	বাবনা,	
jaatti,	যাত্তি,	জাতটি,	
pettern,	পেটার্ন,	প্যাটার্ন,	
pleena,	প্লেইন,	প্লেন,	
neck,	নেক,	নেক,	
sahittopritite,	সাহিত্যপ্রীতিতে,	সাহিত্যপ্রীতিতে,	
rojapalaner,	রোজাপললনের,	রোজাপালনের,	
chitronattakar,	চিত্রনাট্মকার,	চিত্রনাট্যকার,	
chalachchitro,	চলচ্চিত্র,	চলচ্চিত্র,	
kaley,	কালি,	কালে,	
tinhazar,	তিনহাজার,	তিনহাজার,	
cheerontan,	চিরনটান,	চিরন্তন,	
sanghar,	সংঘর,	সংহার,	
tophaat,	টোফাত,	তফাৎ,	
bojhao,	বঝঝাও,	বোঝাও,	
utkhaat,	উৎখাট,	উত্খাত,	
akpaase,	একপাসে,	একপাশে,	
kidambi,	কিদাম্বি,	কিদম্বি,	
nirvachaker,	নির্বাচকের,	নির্বাচকের,	
atarkitey,	অতারকিতে,	অতর্কিতে,	
dreeshtiheen,	দৃষ্টিহীন,	দৃষ্টিহীন,	
indrakanan,	ইন্দ্রকানন,	ইন্দ্রকানন,	
foxer,	ফক্সার,	ফক্সের,	
sumeeta,	সুমিতা,	সুমিতা,	
rachonakal,	রচনাকাল,	রচনাকাল,	
guha,	গুহা,	গোহ,	
horas,	হোরাস,	হোরাস,	
zaire,	জায়ার,	জাইরে,	
parshwer,	পার্শ্বের,	পার্শ্বের,	
uthe,	উঠে,	উঠে,	
ahalya,	অহল্যা,	অহল্যা,	
juktarashtrasaha,	যুক্তারশস্্রাসহ,	যুক্তরাষ্ট্রসহ,	
protiakromonei,	প্রতিয়ক্রমণেই,	প্রতিআক্রমণেই,	
parjotaker,	পার্যটাকের,	পর্যটকের,	
gaujano,	গৌজানো,	গজানো,	
cena,	সেইএন,	সিনা,	
maladabha,	মালাদাভা,	মলদোভা,	
abarte,	আবার্তে,	আবর্তে,	
dorgah,	দোরগাা,	দরগাহ,	
korkotkraantee,	করককটর্নান্তে,	কর্কটক্রান্তি,	
existing,	এক্সিস্টিং,	এক্সিসটিং,	
khitkar,	খিৎকার,	ক্ষিতকর,	
nanilalke,	নানীলালকে,	ননীলালকে,	
suparichito,	সুপারিচাত,	সুপরিচিত,	
phareeksa,	ফরেক্স,	ফরেক্স,	
byepass,	বিপেপাস,	বাইপাস,	
niropekshtar,	নিরপেক্ষ্টার,	নিরপেক্ষতার,	
ekatto,	একাত্ম,	একাত্ব,	
shrabastee,	শ্রাবস্তে,	শ্রাবস্তী,	
baet,	বিট,	বাইট,	
somosto,	সমস্ত,	সমস্ত,	
kodorer,	কোদরের,	কদরের,	
tikta,	তিক্তা,	তিক্ত,	
russad,	রুসাদ,	রুশদ,	
khuizza,	খুইজ্জা,	খুইজ্জা,	
drissogulo,	দৃষ্যগুলো,	দৃশ্যগুলো,	
tyap,	ত্যাপ,	ট্যাপ,	
pitiler,	পিতিলের,	পিটিলের,	
turkii,	তুরকি,	তুর্কি,	
khiladirao,	খিলাড়িরাও,	খিলাড়িরাও,	
cholchhe,	চলছে,	চলছে,	
shiqara,	শিকারা,	শিকার,	
kram,	ক্রাম,	ক্রম,	
sahozlabhbhotar,	সহযোলভভভতার,	সহজলভ্যতার,	
pulivendla,	পুলিভেন্ডল,	পুলিভেন্ডলা,	
gaddaafee,	গাড্ডাফ়ি,	গাদ্দাফী,	
spreadshiit,	স্প্রেডশিটি,	স্প্রেডশীট,	
landing,	ল্যান্ডিং,	ল্যান্ডিং,	
ashamorthito,	আশামর্থিত,	অসমর্থিত,	
ronodeep,	রণদিপ,	রণদীপ,	
torunosomriddho,	তরুণসমৃদ্ধ,	তরুণসমৃদ্ধ,	
teemothy,	টিমোথি,	টিমোথি,	
udvaboney,	উদ্ভাবনে,	উদ্ভাবনে,	
konroop,	কোনরুপ,	কোনরূপ,	
artore,	আর্তোরে,	আর্টরে,	
dholeshwari,	ধলেেশ্বরী,	ধলেশ্বরী,	
uparjon,	উপার্জন,	উপার্জন,	
sudrissho,	সুদৃষ্শ,	সুদৃশ্য,	
ispreedshiit,	ইস্প্রিসিচটি,	স্প্রেডশীট,	
shariba,	শারিবা,	শরিবা,	
canflikt,	ক্যানফ্লিক্ট,	কনফ্লিক্ট,	
gyandas,	জ্ঞানদাস,	জ্ঞানদাস,	
ekroop,	একরূপ,	একরূপ,	
patininda,	পাতিনীন্দ,	পতিনিন্দ,	
soource,	সাউরস,	সোর্স,	
ujobekeestaner,	উজবেক্তিতানের,	উজবেকিস্তানের,	
yaak,	ইক,	ইয়াক,	
husni,	হুসনি,	হুসনি,	
cloring,	ক্লোরিং,	ক্লোরিং,	
quata,	কুয়াতা,	কোটা,	
bojiye,	বজিয়ে,	বজিয়ে,	
chilona,	চিলোনা,	ছিলনা,	
liseensee,	লিসিন্সি,	লাইসেন্স,	
uporitaley,	উপরিতালে,	উপরিতলে,	
morodeho,	মরদেহ,	মরদেহ,	
mimgulor,	মিমগুলোর,	মিমগুলোর,	
oncholtee,	অঞ্চলটি,	অঞ্চলটি,	
heena,	হীনা,	হেনা,	
mmehonoti,	মেমোহনটি,	মেহনতি,	
marmaraa,	মারমারা,	মারমারা,	
monur,	মনুর,	মনুর,	
somonwitobhabey,	সমন্ভিতভাবে,	সমন্বিতভাবে,	
hool,	হোল,	হুল,	
ponchaashjon,	পঞ্চাশজন,	পঞ্চাশজন,	
soteciety,	সটেসিটি,	সোসাইটিতে,	
amontronkarider,	আমনন্তরকারীদের,	আমন্ত্রণকারীদের,	
kuronir,	কুরোনির,	কুরনীর,	
timoothi,	টিমোথি,	টিমোথি,	
ceramiksh,	সেরামিকশ,	সিরামিকস,	
katui,	কাটুই,	কাতুই,	
zesa,	জেস,	জেস,	
shuperheiro,	শুপারহেইরো,	সুপারহিরো,	
tokee,	তকই,	তকি,	
ekbakye,	একবাক্যে,	একবাক্যে,	
sikkhakbrinda,	শিক্ষাকবৃন্দ,	শিক্ষকবৃন্দ,	
abhidhaaner,	অভিধানের,	অভিধানের,	
bostubad,	বস্তুবাদ,	বস্তুবাদ,	
santaa,	সান্তা,	সান্তা,	
prijon,	প্রিজন,	প্রিজন,	
krechi,	ক্রেচি,	করেছি,	
amburi,	অম্বুরি,	আম্বুরি,	
remacry,	রিমাক্রি,	রেমাক্রী,	
steena,	স্টেন,	স্টেন,	
ghotolen,	ঘটলেন,	ঘটলেন,	
sobaiderke,	সোবাইদেরকে,	সবাইদেরকে,	
sangbadmadhyomgulote,	সংবাদমাধ্যমগুলোতে,	সংবাদমাধ্যমগুলোতে,	
barnis,	বার্নিস,	বার্নিশ,	
irana,	ইরানা,	ইরান,	
akhando,	আখণ্ড,	অখন্ড,	
tookrokey,	টুকরোকে,	টুকরোকে,	
ajij,	আজিজ,	আজিজ,	
sardar,	সরদার,	সরদার,	
sahachke,	সহচককে,	সাহাচকে,	
nek,	নেক,	নেক,	
boiporiityen,	বইপরিত্যেন,	বৈপরীত্যেন,	
grahoksebai,	গ্রাহকসেবাই,	গ্রাহকসেবায়,	
porjotoker,	পর্যটকের,	পর্যটকের,	
bhoolapuka,	ভুলপুকা,	ভোলাপুক,	
rajpur,	রাজপুর,	রাজপুর,	
bedey,	বেদে,	বেদে,	
purohitra,	পুরোহিত্র,	পুরোহিতরা,	
catholicder,	ক্যাথলিকদের,	ক্যাথলিকদের,	
byomkes,	ব্যামকেস,	ব্যোমকেশ,	
dito,	দিতো,	দিতো,	
ghurechen,	ঘুরেছেন,	ঘুরেছেন,	
akram,	আকরাম,	আকরাম,	
mail,	মাল,	মাইল,	
elakatikay,	এলাকাতিকায়,	এলাকাটিকে,	
gandagol,	গণ্ডগগল,	গন্ডগোল,	
bouddha,	বৌদ্ধা,	বৌদ্ধ,	
birmuktijoddhagan,	বীরমুক্তিদোধ্ধগণ,	বীরমুক্তিযোদ্ধাগণ,	
mach,	মাচ,	মাছ,	
samoshtigato,	সমত্ষিগত,	সমষ্টিগত,	
sithilota,	সিথিলতা,	শিথিলতা,	
taunship,	তাঁশশিপ,	টাউনশিপ,	
nothivookta,	নথিভক্ত,	নথিভুক্ত,	
orthisoho,	অর্থিসহ,	অর্থিসহ,	
hariner,	হরিণের,	হরিণের,	
nirmolotaa,	নির্মলতা,	নির্মলতা,	
mahbunur,	মাহবুনুর,	মাহবুনুর,	
monroe,	মনরো,	মনেরোর,	
homshke,	হমম্কে,	হোমসকে,	
parqim,	পারকিম,	পার্কিং,	
nikote,	নিকটে,	নিকটে,	
gara,	গারা,	গোর,	
societyke,	সোসিটিকে,	সোসাইটিকে,	
jetam,	জেতাম,	যেতাম,	
alankorana,	আলঙ্করণা,	অলঙ্করণ,	
achintyabhedaved,	অচিন্ত্যভেবাদে,	অচিন্ত্যভেদাভেদ,	
protistha,	প্রতিষ্ঠা,	প্রতিষ্টা,	
saurce,	সার্স,	সোর্স,	
rena,	রেনা,	রেনো,	
anyorup,	অন্যরূপ,	অন্যরূপ,	
ghotleyo,	ঘোটলিও,	ঘটলেও,	
charger,	চার্গের,	চার্জার,	
teter,	তেটের,	টেটের,	
gagee,	গাগি,	গেজ,	
ap,	এপিএ,	আপ,	
fevarite,	ফেভারিতে,	ফেভারিট,	
hooq,	হুক,	হুক,	
path,	পাথ,	পাথ,	
shiter,	শীতের,	শীতের,	
shanno,	শান্ন,	সান্নো,	
playtey,	প্লেয়েট,	প্লেটে,	
barbadoj,	বারবাদজ,	বার্বাডোজ,	
lebina,	লেবিনা,	লেবিনা,	
veenish,	ভিনিশ,	ভেনিস,	
aosafur,	আওসাফুর,	আওশাফুর,	
masjidti,	মসজিদটি,	মসজিদটি,	
monzushree,	মঞ্ুুশ্রী,	মঞ্জুশ্রী,	
progresh,	প্রোগ্রেশ,	প্রগ্রেস,	
duhsthanostho,	দুঃস্থানস্থ,	দুঃস্থানস্থ,	
courtcaser,	কোর্টোক্সের,	কোর্টকেসের,	
ghuznavi,	ঘুজনাভি,	গজনভি,	
aaziz,	আজিজ,	আজিজ,	
iub,	আইববি,	আইইউবি,	
gazeetteed,	গেজিত্বেদ,	গেজেটেড,	
daybhager,	দয়ভাগের,	দায়ভাগের,	
sumoo,	সুমো,	সুমো,	
aajeej,	আজেজ,	আজিজ,	
nutaner,	নুতানের,	নূতনের,	
shudhui,	শুধুই,	শুধুই,	
thakeni,	থাকেনি,	থাকেনি,	
ansarir,	আনসারির,	আনসারীর,	
kathmandute,	কাঠমন্ডুতে,	কাঠমান্ডুতে,	
rajnoitik,	রাজনৈতিক,	রাজনৈতীক,	
dormetori,	দর্মেতরি,	ডরমিটরি,	
cloudbook,	ক্লাডববক,	ক্লাউডবুক,	
saranor,	সারানোর,	সরানোর,	
deenes,	দীনেস,	দীনেশ,	
hossne,	হোসেন,	হোসনে,	
shit,	শিত,	শীত,	
shansthaner,	শান্স্থানের,	সংস্থানের,	
mukhamandoler,	মুখামন্ডলের,	মুখমণ্ডলের,	
dologuloo,	দলগুলোও,	দলগুলোও,	
onkush,	অঙ্কুশ,	অংকুশ,	
vobanipur,	ভবানীপুর,	ভবানীপুর,	
ray,	রেয়ি,	রায়,	
humira,	হুমিরা,	হুমিরা,	
horidwar,	হরিদ্বার,	হরিদ্বার,	
aieesha,	আইইসএ,	আইএএস,	
adarsho,	আদর্শ,	আর্দশ,	
sheets,	শিটস,	শীটস,	
labonaktatar,	লাবণক্তাটার,	লবণাক্ততার,	
sangsakti,	সংসক্তি,	সংসক্তি,	
firoze,	ফিরোজে,	ফিরোজ,	
tooku,	টুকু,	টুকু,	
jonoshongjog,	জনশঙ্গোগ,	জনসংযোগ,	
pachchi,	পাচ্ছি,	পাচ্ছি,	
byapoktor,	ব্যাপক্তর,	ব্যাপকতর,	
weelcomee,	ভিলকমি,	ওয়েলকাম,	
lobbytey,	লবটি,	লবিতে,	
nanabornobishishto,	নানাবরববিশিষ্ট,	নানাবর্ণবিশিষ্ট,	
firozapure,	ফিরোজাপুরে,	ফিরোজাপুরে,	
dhaanche,	ধান্চে,	ধাঁচে,	
lokhindorer,	লোখিন্দরের,	লখিন্দরের,	
khoor,	খুর,	ক্ষুর,	
kholdhular,	খোলদুহোলার,	খোলধূলার,	
akreetokarjo,	আকৃতকরর্য্য,	অকৃতকার্য,	
everage,	এভারেজ,	এভারেজ,	
soolke,	সুলকে,	শুল্কে,	
annimated,	অ্যানিমেযাটেড,	এনিমেটেড,	
jolbe,	জলবে,	জ্বলবে,	
tikto,	তিক্ত,	তিক্ত,	
kartona,	কারততনা,	করতনা,	
donat,	দোনাট,	ডোনাট,	
maktum,	মাকতুম,	মাকতুম,	
karore,	কারোরে,	কারোর,	
ancholgoolir,	আঞ্চলগুলির,	অঞ্চলগুলির,	
kanuner,	কানুনের,	কানুনের,	
dosha,	দোশা,	দোসা,	
daraider,	দারাইদের,	দরাইদের,	
jhonkar,	ঝনকার,	ঝঙ্কার,	
bibadey,	বিবাদে,	বিবাদে,	
mawdeel,	মাপদিল,	মডেল,	
naitikatavodh,	নৈতিকতাবোধ,	নৈতিকতাবোধ,	
postay,	পোস্টা,	পোস্টে,	
shten,	স্টেন,	স্টেন,	
silabhara,	সিলাভারা,	সিলভার,	
ghurte,	ঘুরতে,	ঘুরতে,	
binee,	বিনী,	বেনি,	
agora,	আগোরা,	আগোরা,	
deilee,	দেইলি,	ডেইলি,	
prosadhoni,	প্রসাধনী,	প্রসাধনী,	
basakey,	বাসকে,	বাসাকে,	
atwabishvashi,	অত্ববিশ্বাসী,	আত্মবিশ্বাসী,	
akpashe,	আকপাশে,	একপাশে,	
erythrian,	এরিথ্রিয়ান,	এরিথ্রিয়ান,	
thailandshoho,	থাইনান্দিসহ,	থাইল্যান্ডসহ,	
cheekitshar,	চিকিৎশার,	চিকিত্সার,	
michhilti,	মিছিলটি,	মিছিলটি,	
mandarbani,	মন্দরবনি,	মন্দারবাণী,	
myat,	ম্যাট,	ম্যাট,	
ispredsheet,	ইস্প্রেডশিট,	স্প্রেডশীট,	
asantosh,	অসন্তোষ,	অসন্তোষ,	
krimlin,	ক্রিমলিন,	ক্রিমলিন,	
si,	সিএই,	এসআই,	
neshadrabyer,	নেশাদ্রব্যের,	নেশাদ্রব্যের,	
thailandsaho,	থেলান্দসহ,	থাইল্যান্ডসহ,	
jothartho,	যথার্থ,	যথার্থ,	
ghumachche,	ঘুমাচ্ছে,	ঘুমাচ্ছে,	
qonflict,	কনফ্লিক্ট,	কনফ্লিক্ট,	
bopoon,	বুপুন,	বপন,	
qirq,	কির্ক,	কার্ক,	
tiuning,	টিউনিং,	টিউনিং,	
footballerra,	ফুটবলাররা,	ফুটবলাররা,	
balabhadra,	বালাভাদরা,	বলভদ্র,	
kabutorer,	কাবুতোরের,	কবুতরের,	
segular,	সেগুলার,	সেগুলোর,	
upobashii,	উপবাশী,	উপবাসী,	
moshzidtike,	মসগিদটিকে,	মসজিদটিকে,	
subader,	সুবাদের,	সুবাদে,	
ovidhanik,	অভিধানিক,	অভিধানিক,	
godamjato,	গোদামজাত,	গুদামজাত,	
ekshoti,	একশোটি,	একশোটি,	
rejidens,	রেজিডেনস,	রেসিডেন্স,	
johny,	জননি,	জনি,	
chhuti,	ছুটি,	ছুটি,	
pancbaar,	প্যান্সবার,	পাঁচবার,	
ashor,	আশর,	আসর,	
byaboharkarike,	ব্যবহারকারীকে,	ব্যবহারকারীকে,	
rayyaleti,	রায়়়েতি,	রয়্যালটি,	
proshikkhane,	প্রশিক্ষণে,	প্রশিক্ষণে,	
laatimer,	লাতিমের,	লাটিমের,	
shringge,	শ্রিংগে,	শৃঙ্গে,	
cholochchitro,	চলচ্চিত্র,	চলচ্চিত্র,	
masjidke,	মাসজিদকে,	মসজিদকে,	
chittronatyokar,	চিত্রনাট্যকার,	চিত্রনাট্যকার,	
angkita,	অংকিতা,	অঙ্কিতা,	
pakhtunistan,	পাখতুনিস্তান,	পাখতুনিস্তান,	
chet,	চেট,	চ্যাট,	
machkabar,	মাচকাবার,	মাচকাবার,	
aakabar,	আকাবার,	আকাবার,	
raiji,	রাইজি,	রাইজি,	
piulir,	পিউলির,	পিউলির,	
chalachchitrer,	চলচ্চিত্রের,	চলচ্চিত্রের,	
dighol,	দিঘল,	দীঘল,	
cholochchitraeeo,	চলচ্চিত্রীও,	চলচ্চিত্রেও,	
karu,	কারু,	কারু,	
qyapasula,	ক্যাপাসুলা,	ক্যাপসুল,	
jacksoner,	জ্যাকসনের,	জ্যাকসনের,	
dokan,	দোকান,	দোকান,	
motkey,	মটকে,	মতকে,	
manabmaner,	মানবমনের,	মানবমনের,	
omkar,	ওমকার,	ওঙ্কার,	
oporishodhito,	অপরিধধিত,	অপরিশোধিত,	
lidars,	লিডার্স,	লিডার্স,	
chaaktir,	চাকটির,	চাকতির,	
shoriph,	শরীফ,	শরিফ,	
oswasteekor,	অস্বাস্তিকর,	অস্বস্তিকর,	
krisenter,	ক্রিসেন্টের,	ক্রিসেন্টের,	
baieq,	বাই়ক,	বাইক,	
bim,	বিআইএম,	বিম,	
bhyatikaner,	ভ্যাটিকানের,	ভ্যাটিকানের,	
sucre,	সুক্রে,	সাকার,	
uparzoner,	উপার্জনের,	উপার্জনের,	
jinsa,	জিনসা,	জিন্স,	
zubokra,	যুবকরা,	যুবকরা,	
bharotiyotar,	ভারতীয়তার,	ভারতীয়তার,	
maail,	মাইল,	মাইল,	
phonekari,	ফোনেকারি,	ফোনকারী,	
bamon,	বামোন,	বামন,	
carbus,	কারবাস,	কারবাস,	
paramartha,	পরমার্থ,	পরমার্থ,	
elaakaa,	এলাকায়,	এলাকা,	
bejiye,	বেজিয়ে,	বেজিয়ে,	
ekbakke,	একবাককে,	একবাক্যে,	
rajendracholer,	রাজেন্দ্রচোলের,	রাজেন্দ্রচোলের,	
kooshumba,	কুশুম্বা,	কুশুম্বা,	
sthitiko,	স্থিতিকো,	স্থিতিকো,	
meshmeshya,	মেশমেশ্য,	মেশহমেশহিইয়া,	
idipasha,	ইডিপোশা,	ইডিপাস,	
madhoboir,	মাধবৈর,	মাধবীর,	
ivil,	ইভিল,	ইভিল,	
madelim,	মাদেলিম,	মডেলিং,	
harbore,	হারবোর,	হারবারে,	
amanisa,	আমানিসা,	অমানিশা,	
trabuco,	ট্র্যাবুকো,	ট্র্যাবুকো,	
graambashee,	গ্রামবাশী,	গ্রামবাসী,	
philo,	ফিলো,	ফিলো,	
prasadhoni,	প্রসাধনই,	প্রসাধনী,	
aamontrito,	আমন্ত্রিত,	আমন্ত্রিত,	
patochitra,	পাটচিত্র,	পটচিত্র,	
crime,	ক্রাইম,	ক্রাইম,	
tarkale,	তারকালে,	তারকালে,	
chhooteer,	ছুটুর,	ছুটির,	
susamo,	সুসামো,	সুসম,	
bishnoo,	বিষ্ণু,	বিষ্ণু,	
shkalarashhipa,	স্কলারশিপ,	স্কলারশিপ,	
thyachara,	থ্যাচার,	থ্যাচার,	
rotheen,	রথিন,	রথীন,	
hertj,	হার্টজ,	হার্জ,	
zeeland,	জিল্যান্ড,	জিল্যান্ড,	
ghatla,	ঘাটলা,	ঘটল,	
saainyo,	সাইন্য,	সৈন্য,	
shahurgulor,	শহুরগুলোর,	শহুরগুলোর,	
acrolect,	অ্যাক্রোলটিক্সের,	অ্যাক্রোলেক্ট,	
pradoshik,	প্রদোশিক,	প্রাদশিক,	
temonvabe,	তেমনভাবে,	তেমনভাবে,	
talgach,	তালগাছ,	তালগাছ,	
procharona,	প্রচারণা,	প্রচারণা,	
eeksapreeshana,	ইক্সপ্রেশন,	এক্সপ্রেশন,	
phaltu,	ফালতু,	ফালতু,	
saalsa,	সালসা,	সালসা,	
apad,	আপাদ,	আপদ,	
bedantodhormo,	বেদান্তধর্ম,	বেদান্তধর্ম,	
timathi,	তিমাঠি,	টিমোথি,	
dharavahik,	ধারাভাহিক,	ধারাবাহিক,	
nyata,	ন্যাট,	ম্যাট,	
antarctica,	অন্তারক্সিকা,	অ্যান্টার্কটিকার,	
karecho,	কারেছো,	করেছো,	
tasminer,	তাসমিনের,	তাসমিনের,	
jins,	জিন্স,	জিন্স,	
ganakantha,	গণকন্ঠ,	গণকণ্ঠ,	
bosano,	বসানো,	বসানো,	
bisshasi,	বিশ্বাসী,	বিশ্বাসী,	
bipti,	বিপ্তিআই,	বিপ্তি,	
faskari,	ফাসকারি,	ফাঁসকারী,	
thaii,	থাইই,	থাই,	
protisthan,	প্রতিষ্ঠান,	প্রতিষ্টান,	
panthar,	পান্থার,	পন্থার,	
gudamjat,	গুদামজাত,	গুদামজাত,	
hattey,	হ্যাটে,	হাঁটতে,	
orrgho,	অর্ঘ,	অর্ঘ্য,	
rayyalati,	রায়়়তলতি,	রয়্যালটি,	
prrajanankaal,	প্রজ্জানক্কল,	প্রজননকাল,	
kompeeto,	কম্পিত,	কম্পিত,	
behrampurer,	বেহরাপুরের,	বহরমপুরের,	
nariderke,	নারীদেরকে,	নারীদেরকে,	
kusumeshu,	কুসুমেশু,	কুসুমেষু,	
turkyder,	টার্কদার,	তুর্কিদের,	
oxite,	অক্সিতে,	অক্সাইট,	
gazipur,	গাজিপুর,	গাজিপুর,	
andon,	আন্দন,	আন্দোন,	
rakkhanvag,	রক্ষণভাগ,	রক্ষণভাগ,	
rahi,	রাহি,	রাহী,	
proo,	প্রোরি,	প্রো,	
standards,	স্ট্যান্ডার্ডসহ,	স্টান্ডার্ডস,	
melborrone,	মেলবর্ণে,	মেলবোর্নে,	
dwijenbabuder,	দ্বিজেনবাবুদের,	দ্বিজেনবাবুদের,	
duple,	ডুপলে,	ডুপ্লে,	
ji,	জিয়,	জি,	
meloonborrone,	মেলুনবর্ণে,	মেলবোর্নে,	
awatar,	আওয়াতার,	অবতার,	
dorneca,	ডর্নেকা,	ডরনেকা,	
thanvi,	থানভি,	থানভী,	
qlauda,	ক্লোউদা,	ক্লাউড,	
windo,	উইন্ডো,	উইন্ডো,	
besirvagei,	বেসিরভাগেই,	বেশিরভাগেই,	
kaale,	কালে,	কালে,	
ponchasjon,	পঞ্চাসন,	পঞ্চাশজন,	
oncholke,	অঞ্চলকে,	অঞ্চলকে,	
sobrakomer,	সব্রাকমের,	সবরকমের,	
fasi,	ফাসি,	ফাঁসী,	
mookhomandoler,	মুখমন্ডলের,	মুখমণ্ডলের,	
bedanta,	বেদান্ত,	বেদান্ত,	
ddebet,	ধিগেবেট,	ডিবেট,	
jontrototto,	যন্ত্রত্বত,	যন্ত্রতত্ত্ব,	
chhutir,	ছুটির,	ছুটির,	
aasar,	আসার,	আসর,	
olympic,	অলিম্পিক,	অলিম্পিক,	
surke,	সুরকে,	সুরকে,	
madhabi,	মাধবী,	মাধবী,	
kaferder,	কাফারদের,	কাফেরদের,	
fanding,	ফ্যান্ডিং,	ফান্ডিং,	
hansasya,	হাঁসস্য,	হংসস্য,	
kortona,	কর্তোনা,	করতনা,	
horippur,	হরিপুর,	হরিপুর,	
xpose,	এক্সপোজ,	এক্সপোজ,	
prakalpatike,	প্রকল্পটিকে,	প্রকল্পটিকে,	
kiuti,	কিউটি,	কিউটি,	
bhenkates,	ভেনকাটেস,	ভেঙ্কটেশ,	
