ganaparibahan,	গণপরিবহহ,	গণপরিবহন,	
uparjon,	উপার্জন,	উপার্জন,	
jalbe,	জালবে,	জ্বলবে,	
hari,	হারি,	হরি,	
pharmesigulote,	ফার্মেসিগুলোতে,	ফার্মেসীগুলোতে,	
foks,	ফককস,	ফক্স,	
plator,	প্ল্যাটর,	প্লেটোর,	
suiza,	সুইজা,	সুইজা,	
taxikeo,	ট্যাক্সিকেও,	ট্যাক্সিকেও,	
deenesh,	দীনেশ,	দীনেশ,	
fol,	ফলল,	ফল,	
rajnaiteek,	রাজনৈতিক,	রাজনৈতীক,	
ashiatic,	এ্যাসেয়াটিক,	এশিয়াটিক,	
bisnukey,	বিস্যুকে,	বিষ্ণুকে,	
mercial,	মার্সিয়াল,	মার্শিয়াল,	
nationalser,	নেশনালসের,	ন্যাশনালসের,	
ganohotyake,	গণহত্যাকে,	গণহত্যাকে,	
bbiswasho,	বিবিস্বাশও,	বিশ্বাসও,	
aarke,	আর্কে,	আরকে,	
kiuti,	কিউটি,	কিউটি,	
santoshpore,	সন্তোষ্পরে,	সন্তোষপুর,	
jhimochchilo,	ঝিমচ্ছিল,	ঝিমোচ্ছিলো,	
uttor,	উত্তর,	উওর,	
prijon,	প্রিজন,	প্রিজন,	
shtonehenge,	শ্তনেহিঙ্গে,	স্টোনহেঞ্জ,	
grahoksebai,	গ্রাহকসেবাই,	গ্রাহকসেবায়,	
kanuner,	কানুনের,	কানুনের,	
licencer,	লাইসেন্সের,	লাইসেন্সের,	
jaatti,	যাত্তি,	জাতটি,	
helloin,	হেলোইন,	হ্যালোইন,	
torunra,	তরুণরা,	তরুণরা,	
ancholgoolir,	অঞ্চলগুলির,	অঞ্চলগুলির,	
akkheperi,	অক্ষেপীরই,	আক্ষেপেরই,	
ardasha,	আরদাশা,	আর্দশ,	
mach,	মাছ,	মাছ,	
salchak,	সালচক,	সালচাক,	
jocqey,	জককে,	জকি,	
aditisaha,	আদিতিসহ,	অদিতিসহ,	
konar,	কোনার,	কণার,	
mahibur,	মহিবুর,	মহিবুর,	
shekender,	সেখেন্দার,	সেকেন্ডের,	
dubaate,	ডুবাতে,	ডুবাতে,	
karadandey,	কারাদন্ডে,	কারাদণ্ডে,	
veniser,	ভেনিসের,	ভেনিসের,	
uzobekeestaan,	উজোবেকস্তান,	উজবেকিস্তান,	
mosjidsoho,	মসজিদসহ,	মসজিদসহ,	
toroonra,	তরুরা,	তরুণরা,	
shrimoti,	শ্রীমতি,	শ্রীমতি,	
shingping,	সিংপিং,	শিংপিং,	
scorey,	স্কোরে,	স্কোরে,	
fanse,	ফানসসে,	ফাঁসে,	
bajite,	বাজিতে,	বাজিতে,	
wictor,	উইক্টর,	ভিক্টর,	
johor,	জহর,	জহর,	
karore,	কারোর,	কারোর,	
laga,	লাগা,	লগ,	
hakone,	হাকনে,	হাকোনে,	
debdebier,	দেবদেবিয়ের,	দেবদেবীর,	
dayitta,	দায়িত্ব,	দায়িত্ব,	
uqeliptas,	ইকেলিপ্টস,	ইউক্যালিপ্টাস,	
windows,	উনিড্যস,	উইন্ডোস,	
ghoomachhilo,	ঘুমাছিল,	ঘুমাচ্ছিল,	
haitasha,	হাইতাশা,	হাইটস,	
nirbachokder,	নির্বাচকদের,	নির্বাচকদের,	
shaddhi,	শাদধধি,	সাধ্বী,	
shalook,	শালুক,	শালুক,	
bonnopran,	বন্যপ্রাণ,	বন্যপ্রাণ,	
sbaajan,	স্বাজান,	স্বজন,	
kraim,	ক্রেম,	ক্রাইম,	
habol,	হাবল,	হাবোল,	
torkarir,	তরকারির,	তরকারীর,	
monroe,	মনরো,	মনেরোর,	
aborto,	আবর্ত,	আবর্ত,	
fooloo,	ফুলু,	পোলো,	
poripakey,	পরিপাকে,	পরিপাকে,	
oncholgulir,	অঞ্চলগুলির,	অঞ্চলগুলির,	
spredashita,	স্প্রেদাশিতা,	স্প্রেডশীট,	
jyaqasana,	জ্যাকাসন,	জ্যাকসন,	
avinetar,	অভিনেতার,	অভিনেতার,	
chatrorai,	ছাত্ররাই,	ছাত্ররাই,	
upacharjo,	উপাচর্য,	উপাচার্য,	
chire,	চিরে,	চিরে,	
canflikt,	ক্যাংফ্লিক্ট,	কনফ্লিক্ট,	
kurdider,	কুর্দিদের,	কুর্দিদের,	
lekhaksattwar,	লেখকসতাত্বর,	লেখকসত্ত্বার,	
taranee,	তরনী,	তরণী,	
ikboler,	ইকবলের,	ইকবলের,	
yathaarthabhaabe,	থাথারাংভাবে,	যথার্থভাবে,	
panchasjan,	পঞ্চসজন,	পঞ্চাশজন,	
venuser,	ভেনুসের,	ভেনাসের,	
nibirbhabe,	নিবিরভাবে,	নিবিরভাবে,	
grambaashi,	গ্রামবাশী,	গ্রামবাসী,	
iuro,	ইউরো,	ইউরো,	
niropekkho,	নিরপেক্ষ,	নিরপেক্ষ,	
zubokder,	যুবকদের,	যুবকদের,	
nabatamo,	নবামা,	নবতম,	
shasankorta,	শাসনকর্তা,	শাসনকর্তা,	
protisthan,	প্রতিষ্ঠান,	প্রতিষ্টান,	
swastir,	স্বস্তির,	স্বস্তির,	
mag,	ম্যাগ,	এমএজি,	
dibi,	দিবি,	দিবি,	
sausagee,	সৌসগে,	সসেজ,	
disni,	ডিসনি,	ডিজনী,	
panchbar,	পাঁচবার,	পাঁচবার,	
dharavahikbhabe,	ধারাভাশিকভাবে,	ধারাবাহিকভাবে,	
orthonitir,	অর্থনীতির,	অর্থনীতির,	
boiragirhat,	বৈরাগীরহাট,	বৈরাগিরহাট,	
balatarin,	ব্যালাটারিন,	বালাতারিয়ান,	
saamaanya,	সমমন্য,	সামান্য,	
vittio,	ভিত্তিও,	ভিত্তিও,	
mercedes,	মার্সেডস,	মার্সেডেস,	
sobchey,	সবচে,	সবচে,	
asommoti,	অসম্মতি,	অসম্মতি,	
oshtader,	অষ্টাদের,	ওস্তাদের,	
faaj,	ফায,	ফাজ,	
welcome,	ওয়েলমো,	ওয়েলকাম,	
titarer,	তিতারের,	তিতারের,	
asamanyo,	অসামান্য,	অসামান্য,	
nirmankaaj,	নির্মাণকাজ,	নির্মাণকাজ,	
dhaleshwari,	ধলেশ্বরী,	ধলেশ্বরী,	
lungiti,	লুঙ্গিটি,	লুঙ্গিটি,	
torabganj,	তরাবগঞ্জ,	তোরাবগঞ্জ,	
zarniz,	জার্নিজ,	জারনিজ,	
chotogolper,	চোটগল্পের,	ছোটগল্পের,	
jahangirbad,	জাহাঙ্গীরবাদ,	জাহাঙ্গীরবাদ,	
shabkam,	শবকাম,	শবকাম,	
johny,	জাসনি,	জনি,	
tahorir,	তাহরীর,	তাহরীর,	
bhoolapuka,	ভুলাপুকা,	ভোলাপুক,	
ooipokar,	উপকার,	উইপোকার,	
anutpadanshil,	অনুৎপদ্নশশীল,	অনুৎপাদনশীল,	
khamotagulor,	ক্ষমতাগুলোর,	ক্ষমতাগুলোর,	
protinito,	প্রতিনিত,	প্রতিনিত,	
gudamjat,	গুদাজমত,	গুদামজাত,	
safiin,	স্ফাইন,	সাফিন,	
madhoori,	মধুরি,	মাধুরী,	
pacchi,	পাচচি,	পাচ্ছি,	
cholochchitrake,	চলচ্চিত্রাকে,	চলচ্চিত্রকে,	
khoka,	খোকা,	খোকা,	
bodhirta,	বোধিরটা,	বধিরতা,	
chaiten,	চাইতেন,	চাইতেন,	
saraiki,	সরাইকি,	সরাইকি,	
bayii,	বাই,	বাঈ,	
chitlar,	চিটলার,	চিতলার,	
nariderke,	নারীদেরকে,	নারীদেরকে,	
bandhan,	বানধধন,	বাঁধন,	
eshtoniya,	এসতনিয়া,	এস্তোনিয়া,	
abhidhaaner,	অভিধানের,	অভিধানের,	
geographics,	জিওগ্রোফিসস,	জিওগ্রাফিকস,	
bejiye,	বেজিয়ে,	বেজিয়ে,	
shitei,	শিতেই,	শীতেই,	
afzol,	আফজল,	আফজল,	
artilary,	আর্টিলারি,	আর্টিলারি,	
debdebyr,	ডেবদেবির,	দেবদেবীর,	
ujbekistaner,	উজবেকিস্তানের,	উজবেকিস্তানের,	
koyeeri,	কয়েরি,	কোয়েরি,	
dai,	দাই,	ডে,	
tennis,	টেনিস,	টেনিস,	
bowie,	বোই,	বওই,	
minilosar,	মিনিলোসার,	মিনিলোসার,	
chakundite,	চাকুন্ডিতে,	চাকুন্দিতে,	
kuldip,	কুল্ডিপ,	কুলদীপ,	
madhabike,	মাধাবিকে,	মাধবীকে,	
seqtara,	সেকটারা,	সেক্টর,	
residensa,	রেসিডেনস,	রেসিডেন্স,	
lendl,	লেন্ডল,	লেন্ডল,	
eduardo,	এডুওয়ারদো,	এডুয়ার্দো,	
satjaner,	সাতজনের,	সাতজনের,	
alraji,	অলরাজি,	আলরাজী,	
vool,	ভূল,	উল,	
sima,	সীমা,	সীমা,	
prothati,	প্রথাটি,	প্রথাটি,	
miraqela,	মিরাকেলা,	মিরাকেল,	
daktikit,	ডককটিকিট,	ডাকটিকিট,	
kaatbey,	কাটবে,	কাটবে,	
bhaandar,	ভান্দর,	ভাণ্ডার,	
foxer,	ফক্সের,	ফক্সের,	
shikh,	শীখ,	শিখ,	
jotinkey,	জতিনকে,	যতীনকে,	
korush,	করুশ,	ক্রুশ,	
durgotsab,	দুর্গোৎসব,	দুর্গোৎসব,	
chhayi,	ছাই,	ছাই,	
samley,	সামলে,	সামলে,	
tinage,	টিনেজ,	টিনেজ,	
poste,	পোস্টে,	পোষ্টে,	
rakkhanvag,	রক্ষণভাগ,	রক্ষণভাগ,	
oindrila,	ঐন্দ্রিলা,	ঐন্দ্রিলা,	
bosoben,	বসবেন,	বসবেন,	
machhti,	মাছটি,	মাছটি,	
remacri,	রিমেক্রি,	রেমাক্রী,	
madhuree,	মধুরী,	মাধুরী,	
suraaropito,	সুরারপিত,	সুরারোপিত,	
cinemapremider,	সিনেমাপ্রমিদিদের,	সিনেমাপ্রেমীদের,	
hunine,	হুনিন,	হুনাইন,	
quartar,	কোয়ারটার,	কোয়ার্টার,	
sudrishya,	সুদৃশ্য,	সুদৃশ্য,	
ukeliptas,	ইকেলিপ্টাস,	ইউক্যালিপ্টাস,	
tuleche,	তুলেছে,	তুলেছে,	
bangulzai,	বাঙ্গুলাই,	বঙ্গুলিজাই,	
poriharsoho,	পরিহারসহ,	পরিহারসহ,	
norfolk,	নরফলোক,	নরফোক,	
sorano,	সোরানো,	সরানো,	
obosan,	অবসান,	অবসান,	
peethey,	পিথে,	পীঠে,	
engrezder,	এংজেরদের,	ইংরেজদের,	
brittakar,	বৃত্তকার,	বৃত্তাকার,	
survative,	সার্ভেটিভ,	সারভেটিভ,	
batom,	বাতোম,	বাটম,	
planeti,	প্লেনেটি,	প্লেনটি,	
shikshakrom,	শিক্ষাক্মম,	শিক্ষাক্রম,	
biprodas,	বিপ্রদাস,	বিপ্রদাস,	
romancha,	রোমাঞ্চ,	রোমাঞ্চ,	
pulivendla,	পুলিভেন্ডলা,	পুলিভেন্ডলা,	
rezidence,	রেজিডেন্স,	রেসিডেন্স,	
kobutorer,	কবুতরের,	কবুতরের,	
sayanaida,	সায়াইদাদা,	সায়ানাইড,	
fatkabazare,	ফতকবাজারারে,	ফাটকাবাজারে,	
teennis,	টিনিস,	টেনিস,	
vange,	ভ্যাঞ্জে,	ভাঙ্গে,	
meropenemer,	মেরোপেনমের,	মেরোপেনেমের,	
teemothy,	তিমথি,	টিমোথি,	
siddhante,	সিদ্ধান্তে,	সিদ্ধান্তে,	
epiela,	এপিওলা,	আইপিএল,	
pettern,	পেটার্ন,	প্যাটার্ন,	
shilbar,	শিলবার,	সিলভার,	
durbhagya,	দুর্ভাগ্য,	দূর্ভাগ্য,	
zesa,	জেস,	জেস,	
besooro,	বেসরর,	বেসুর,	
choukato,	চৌকাতো,	চৌকাত,	
birmuktijoddhagan,	বীরমুক্ধিযোদ্ধাগণ,	বীরমুক্তিযোদ্ধাগণ,	
darji,	দার্জী,	দরজি,	
peterke,	পেটেরকে,	পিটারকে,	
daltyagi,	দল্যাাগী,	দলত্যাগী,	
arthonitite,	অর্থনীতিতে,	অর্থনীতিতে,	
tikta,	টিকটা,	তিক্ত,	
shrabastee,	শ্রাবস্তি,	শ্রাবস্তী,	
holdim,	হোল্ডিম,	হোল্ডিং,	
bonnypran,	বনিযপ্রাণ,	বন্যপ্রাণ,	
shho,	শো,	শো,	
masjidsaho,	মসসিদাসহ,	মসজিদসহ,	
mangolic,	ম্যাঙ্গোলিক,	মাঙ্গলিক,	
labonaaktotaar,	লবনোকতাতার,	লবণাক্ততার,	
komanera,	কমানেরা,	কমানেরা,	
kathla,	কাঠলা,	কাঠলা,	
suporichita,	সুপরিচিতা,	সুপরিচিত,	
ongshogrohoner,	অংশগ্রহণের,	অংশগ্রহনের,	
kazianis,	কাজিয়ানিস,	কাজানিস,	
kichutei,	কিছুতেই,	কিছুতেই,	
echhti,	এছতি,	এছটি,	
bojhe,	বোঝে,	বোঝে,	
khudhartara,	ক্ষুধার্তারা,	ক্ষুধার্তরা,	
seekkhokbrindo,	শিক্ষকবৃন্দ,	শিক্ষকবৃন্দ,	
kuhelika,	কুহেলিকা,	কুহেলিকা,	
bhandar,	ভান্ডার,	ভাণ্ডার,	
wedanta,	ওয়েদানটা,	বেদান্ত,	
bojiye,	বজিয়ে,	বজিয়ে,	
addata,	আদ্দাটা,	আড্ডাটা,	
highcommissionay,	হাইক্মংশেশা,	হাইকমিশনে,	
graambaaseeder,	গ্রামবাসীদের,	গ্রামবাসীদের,	
hevy,	হেভি,	হেভি,	
kachhakaachhi,	কথচাচি,	কাছাকাছি,	
metrikoleshana,	মেট্রিকোলেশন,	মেট্রিকোলেশন,	
greep,	গ্রীপ,	গ্রিপ,	
shniper,	শ্নীপের,	স্নাইপার,	
mimgulor,	মিমগুলোর,	মিমগুলোর,	
granthatyke,	গ্রান্থাটিকে,	গ্রন্থটিকে,	
bohudeen,	বহুদীন,	বহুদিন,	
paolasthi,	পাওলস্থী,	পাওলাসথি,	
korle,	কর্লে,	করলে,	
fud,	ফুদ,	ফুড,	
contemporary,	কন্টেমপারারি,	কন্টেম্পোরারি,	
hughkey,	হুগকে,	হিউজকে,	
kortona,	কর্তনা,	করতনা,	
shomser,	শমসের,	সমশের,	
horiddare,	হরিদ্দারে,	হরিদ্বারে,	
sip,	সিপ,	শিপ,	
kram,	ক্রম,	ক্রম,	
anchalsaho,	অঞ্চলসহ,	অঞ্চলসহ,	
lampot,	ল্যাম্প,	লম্পট,	
attacharito,	অত্টাচারিত,	অত্যাচারিত,	
towraat,	টৌরাত,	তওরাত,	
graambaashee,	গ্রামবশী,	গ্রামবাসী,	
scoore,	স্কুর,	স্কোর,	
fakhrul,	ফকরুল,	ফাখরুল,	
anektai,	অনেকটাই,	অনেকটাই,	
ganosachetanata,	গণসচেতনাটা,	গণসচেতনতা,	
gazetted,	গ্যাজেট্ড,	গেজেটেড,	
olympic,	অলিম্পিক,	অলিম্পিক,	
madeling,	ম্যাডিলিং,	মডেলিং,	
raagee,	নাগী,	রাগী,	
baju,	বজু,	বাজু,	
elakaate,	এলাকাতে,	এলাকাতে,	
bibecchyo,	বিবেচ্চয়,	বিবেচ্য,	
patrol,	প্যাটরোল,	পেট্রোল,	
doltyagi,	দল্যাাগী,	দলত্যাগী,	
hizriite,	হিজরিতিতে,	হিজরীতে,	
ebham,	ইভাম,	ইভিএম,	
nili,	নিলী,	নিলি,	
uchchotara,	উচ্চতারা,	উচ্চতর,	
hisaber,	হিসাবের,	হিসাবের,	
hepatitis,	হেপাটাইটিস,	হেপাটাইটিস,	
kamla,	কামলা,	কামলা,	
shamuker,	শামুকের,	শামুকের,	
bhabaaponno,	ভাবনন্য,	ভাবাপন্ন,	
paira,	পাইরা,	পাইরা,	
auttacharer,	অত্টাচারের,	অত্যাচারের,	
degree,	ডিগরি,	ডিগ্রি,	
vaticaner,	ভ্যাটিকেনের,	ভ্যাটিকানের,	
tata,	টাট,	তাতা,	
nathibhuktir,	নথিভুক্তির,	নথিভুক্তির,	
iling,	ইলিং,	ইলিং,	
forex,	ফরেক্স,	ফরেক্স,	
nojder,	নজদের,	নজদের,	
kokeyin,	কোকেইন,	কোকেইন,	
chalachchitroi,	চলচ্চিত্রই,	চলচ্চিত্রই,	
nakkal,	নকক্কাল,	নক্কল,	
taap,	তাপ,	ট্যাপ,	
shansthagulo,	শান্থাগুলো,	সংস্থাগুলো,	
tiunara,	টিউনারা,	টিউনার,	
accountdharira,	অ্যাকাউন্টারিরা,	একাউন্টধারীরা,	
highcomissione,	হাইক্িকশনে,	হাইকমিশনে,	
planea,	প্লেনিয়া,	প্লেনে,	
muktilav,	মুক্তিলাভ,	মুক্তিলাভ,	
sectore,	সেক্টরে,	সেক্টরে,	
jotharthovabey,	যথার্থবাবে,	যথার্থভাবে,	
myat,	ম্যাট,	ম্যাট,	
kodorer,	কদরের,	কদরের,	
swasthohinotay,	স্বাস্থ্যহীনতায়,	স্বাস্থ্যহীনতায়,	
taigara,	তাইগারা,	টাইগার,	
pare,	পায়েরে,	পাড়ে,	
aarmstrong,	অ্যার্ম্ট্রং,	আর্মস্ট্রং,	
oxite,	অক্সিতে,	অক্সাইট,	
chahidapotrer,	চাহিদাপত্রের,	চাহিদাপত্রের,	
nadike,	নাদিকে,	নদীকে,	
ajibon,	অজিবন,	আজীবন,	
panchashjan,	পঞ্চাশজন,	পঞ্চাশজন,	
bonshi,	বনশি,	বংশী,	
senabahineekey,	সেনাবাহিনীকে,	সেনাবাহিনীকে,	
parking,	পারকিং,	পার্কিং,	
orbit,	অরবিট,	অরবিট,	
sahittekder,	সাহিত্যেদদের,	সাহিত্যেকদের,	
udyem,	উদয়েম,	উদ্যেম,	
shaahaabiike,	শাহাইবিকে,	সাহাবীকে,	
salmanul,	সালমানুল,	সালমানুল,	
yaak,	যাক,	ইয়াক,	
amudey,	আমুদে,	আমুদে,	
dighol,	দিঘল,	দীঘল,	
bondhukey,	বন্ধুকে,	বন্ধুকে,	
gazeetteed,	গািত্দ,	গেজেটেড,	
mawdeel,	মওপিল,	মডেল,	
karu,	করু,	কারু,	
teenisa,	তিনিসা,	টেনিস,	
ramchander,	রামচন্দের,	রামচন্দরের,	
harja,	হারজা,	হার্জ,	
abhidhaanic,	অভিধানিক,	অভিধানিক,	
brahmanera,	ব্রাহ্মণেরা,	ব্রাহ্মণেরা,	
alsaar,	আলসার,	আলসার,	
bhuushito,	ভূষষিত,	ভূষিত,	
yaq,	য্ক,	ইয়াক,	
erokomer,	এরকমের,	এরকমের,	
manabmaner,	মানবমানের,	মানবমনের,	
shikkharrthirao,	শিক্ষার্থীরাও,	শিক্ষার্থীরাও,	
domonmulok,	দমন্মূলক,	দমনমূলক,	
moonshi,	মুনশি,	মুন্সি,	
hafsa,	হাফসা,	হাফসা,	
dormroome,	ডর্মরুমে,	ডর্মরুমে,	
klaud,	ক্লাউড,	ক্লাউড,	
nirmol,	নির্মল,	নির্মল,	
durlabhatwang,	দুর্লভত্বং,	দুর্লভত্বং,	
carbus,	কার্বাস,	কারবাস,	
mojlish,	মজলিশ,	মজলিশ,	
turisht,	টুরিংস্ট,	টুরিস্ট,	
homshke,	হোমশকে,	হোমসকে,	
madhobeer,	মাধবীর,	মাধবীর,	
musabbirul,	মুসাব্বিরুল,	মুসাব্বিরুল,	
daqop,	ডাকোপ,	দাকোপ,	
chenza,	চেনজা,	চেঞ্জ,	
shchalastik,	শ্ছালস্তিক,	স্কলাস্টিক,	
sakshatkarer,	সাক্ষাতকারের,	সাক্ষাৎকারের,	
lebina,	লেবিনা,	লেবিনা,	
udbhabaney,	উদ্ভবনে,	উদ্ভাবনে,	
dhadhiye,	ধাধিয়ে,	ধাধিয়ে,	
karmazog,	কর্মোোগ,	কর্মযোগ,	
poribahokotto,	পরিবাবক্ত,	পরিবাহকত্ব,	
giitikobita,	গীতিকিবতি,	গীতিকবিতা,	
dipon,	ডিপন,	দীপন,	
paner,	পানের,	পানের,	
cheekitsar,	চিকিৎসার,	চিকিত্সার,	
qirq,	কিরক,	কার্ক,	
ixprission,	ইক্সপ্রিসন,	এক্সপ্রেশন,	
rokkhonabekkhoner,	রক্ষণাবেক্ষণের,	রক্ষণাবেক্ষণের,	
grambasheeo,	গ্রামবাশীও,	গ্রামবাসীও,	
aholyar,	অহল্যার,	অহল্যার,	
gate,	গাতে,	গ্যেটে,	
azaan,	আজান,	আজান,	
jaunotar,	যৌনতার,	যৌনতার,	
louhojato,	লৌহযাত,	লৌহজাত,	
tikto,	টিক্ত,	তিক্ত,	
gondhe,	গন্ধে,	গন্ধে,	
courtcaser,	কোর্টকাসের,	কোর্টকেসের,	
oitijjo,	ঐতিজ্য,	ঐতিহ্য,	
phund,	ফান্ড,	ফান্ড,	
mochlekha,	মোছেলখা,	মোছলেখা,	
byaboharkariyi,	ব্যবহারকারী,	ব্যবহারকারীই,	
batsmanei,	ব্যাটসম্যানেই,	ব্যাটসম্যানই,	
fatakesto,	ফাতাকেস্তো,	ফাটাকেষ্ট,	
dologuloo,	দলগুলো,	দলগুলোও,	
bbosonto,	ব্বসন্ত,	বসন্ত,	
upobashii,	উপবাশী,	উপবাসী,	
nibeditar,	নিবেদিতার,	নিবেদিতার,	
huk,	হুক,	হুক,	
bangobandhu,	বঙ্গবন্ধু,	বঙ্গবন্ধু,	
bupher,	বুফার,	বাফার,	
ekatto,	একাত্ত,	একাত্ব,	
damodar,	দামোদার,	দামদর,	
spredasita,	স্প্রেডসিনা,	স্প্রেডশীট,	
songkolonti,	সংকলনটি,	সংকলনটি,	
ekbai,	একবাই,	একবাই,	
jeten,	জেতেন,	জেতেন,	
rudrasagar,	রুদ্রসাগর,	রুদ্রসাগরের,	
nirmolotaa,	নির্মলতা,	নির্মলতা,	
remakri,	রিমাক্রী,	রেমাক্রী,	
atmira,	আত্মিরা,	আত্মীরা,	
azin,	অজিন,	আজিন,	
unchiyechilo,	উঁচিয়েছিল,	উঁচিয়েছিল,	
nathivookteer,	নথিভুক্তির,	নথিভুক্তির,	
farna,	ফার্না,	ফার্ন,	
sutir,	সুতির,	সুতির,	
ghenshei,	ঘেনশেই,	ঘেঁষেই,	
labonaktatar,	লবোকাততার,	লবণাক্ততার,	
ceramiker,	সেরামিকের,	সিরামিকের,	
shorifer,	শরীফের,	শরিফের,	
tookrokey,	টুক্রকে,	টুকরোকে,	
digreeke,	ডিগ্রিকে,	ডিগ্রিকে,	
prachirer,	প্রাচীরের,	প্রাচিরের,	
lajik,	লাজিক,	লজিক,	
piulir,	পিওলির,	পিউলির,	
residence,	রেসিডেন্স,	রেসিডেন্স,	
fulkapi,	ফুলকাপি,	ফুলকপি,	
korimer,	করিমের,	করিমের,	
protishtan,	প্রতিষ্টান,	প্রতিষ্টান,	
parqim,	পারকিম,	পার্কিং,	
koyekbare,	কয়েকবারে,	কয়েকবারে,	
deares,	ডিয়ারস,	ডিআরএস,	
kharavel,	খারাভেল,	খারবেল,	
gandhariir,	গানধধারীর,	গান্ধারীর,	
dwipke,	দ্বিপকে,	দ্বীপকে,	
tenishe,	তেনিশে,	টেনিসে,	
nirapattamulok,	নিরাপত্তমূলক,	নিরাপত্তামূলক,	
nabatarange,	নবতরঙ্গে,	নবতরঙ্গে,	
elakatikay,	এলাকাটিকায়,	এলাকাটিকে,	
spenser,	স্পেন্সের,	স্পেন্সার,	
vugorvey,	ভুগর্ভে,	ভূগর্ভে,	
heteler,	হেটেলের,	হেটেলের,	
jamanataswarup,	জমমানবস্বরূপ,	জামানতস্বরূপ,	
prarthonakokkher,	প্রার্থনাক্ষকের,	প্রার্থনাকক্ষের,	
remacry,	রিমেক্রি,	রেমাক্রী,	
mandarbani,	মন্দরবাণী,	মন্দারবাণী,	
monzeele,	মনজিলে,	মঞ্জিলে,	
teter,	টেটের,	টেটের,	
lambaate,	ল্যামবে,	লম্বাটে,	
niurolaji,	নিরোলাজী,	নিউরোলজি,	
neelkamal,	নেলকামাল,	নীলকমল,	
satyaky,	সত্যককি,	সাত্যকি,	
shoreefer,	শরীফর,	শরিফের,	
beshakbar,	বেশকবার,	বেশকবার,	
cheekitshar,	চিকিৎশার,	চিকিত্সার,	
dhaanche,	ধাঁচে,	ধাঁচে,	
khali,	খালি,	খালি,	
chinito,	চিনিতো,	চিনতো,	
dinar,	দিনার,	ডিনার,	
chikitshar,	চিকিৎশার,	চিকিত্সার,	
graambasio,	গ্রামবাসীও,	গ্রামবাসীও,	
akreetokarjo,	আক্রতাকর্য্য,	অকৃতকার্য,	
batikromshalee,	বাতিক্রশল্লল,	ব্যতিক্রমধর্মী,	
kaaferder,	কাফেরদের,	কাফেরদের,	
agomone,	আগমমে,	আগমনে,	
kagbeni,	কাগবেনি,	কাগবেনি,	
corsin,	কর্সিন,	করসিন,	
cinematographar,	সিনেমোত্রাগফার,	সিনেমাটোগ্রাফার,	
bachhaikrito,	বাচাইকৃত,	বাছাইকৃত,	
blyaka,	ব্লাযাকা,	ব্ল্যাক,	
ganokantha,	গণকণ্ঠ,	গণকণ্ঠ,	
bibader,	বিবাদের,	বিবাদের,	
korimkey,	করিমকে,	করিমকে,	
buddhitii,	বুদ্ধিটিই,	বুদ্ধিটিই,	
pujit,	পুজিত,	পুজিত,	
saqara,	সাকারা,	সাকার,	
bijito,	বিজিত,	বিজিত,	
nathivookto,	নথিভুক্ত,	নথিভুক্ত,	
nagorikke,	নাগরিককে,	নাগরিককে,	
anhu,	আনহু,	আনহু,	
stonehenje,	স্তনেজেঞ্জে,	স্টোনহেঞ্জ,	
purohitder,	পুরোহিতদের,	পুরোহিতদের,	
protijogiider,	প্রতিযোগীদের,	প্রতিযোগীদের,	
prothakey,	প্রথাকে,	প্রথাকে,	
sqalarashipa,	স্কলারশিপা,	স্কলারশিপ,	
phaltu,	ফালটু,	ফালতু,	
helly,	হেলি,	হিলি,	
basermick,	বেসরমিক,	বেসারমিক,	
elaakate,	এলাকাতে,	এলাকাতে,	
pracharanamulak,	প্রচারণামূলক,	প্রচারণামূলক,	
laishensh,	লাশেন্স,	লাইসেন্স,	
siddhanter,	সিদ্ধান্তের,	সিদ্ধান্তের,	
jhanjra,	ঝঞ্জরা,	ঝাঁজরা,	
soceitytey,	সোসেইটি,	সোসাইটিতে,	
kruser,	ক্রুসের,	ক্রুশের,	
abarte,	আবারতে,	আবর্তে,	
gorjon,	গর্জন,	গর্জন,	
shikkhadikkhay,	শিক্ষাদিক্ষায়,	শিক্ষাদিক্ষায়,	
koro,	করো,	করো,	
bade,	বাদে,	বাদে,	
oiteejye,	ঐতিজ্ঞে,	ঐতিহ্যে,	
anandamahale,	আনন্দমহলে,	আনন্দমহলে,	
timathi,	তিমাথি,	টিমোথি,	
chaka,	চাকা,	চাকা,	
proteemar,	প্রতিমার,	প্রতিমার,	
noditir,	নদীটির,	নদীটির,	
chiraharit,	চিরাহারিত,	চিরহরিৎ,	
shoriph,	শরিফ,	শরিফ,	
rajnoitik,	রাজনৈতিক,	রাজনৈতীক,	
rinattak,	ঋতিততাক,	ঋনাত্মক,	
bipti,	বিপ্তি,	বিপ্তি,	
shasonamoleri,	শাসনামলেরই,	শাসনামলেরই,	
musolmanera,	মুসলমোনেরা,	মুসলমানেরা,	
latsaheb,	লৎসসাহেব,	লাটসাহেব,	
manatmulak,	মনতমমূলক,	মানতমূলক,	
dokaangoolote,	ডোকাঙগুলোতে,	দোকানগুলোতে,	
aasirbaad,	আশির্বাদ,	আশির্বাদ,	
dei,	দেই,	দিই,	
sarollo,	সারলো,	সারল্য,	
deelibhara,	তিলিভরা,	ডেলিভার,	
phutanta,	ফুটান্ত,	ফুটন্ত,	
chakradhare,	চক্রধারে,	চক্রধরে,	
kash,	কাশ,	কাস,	
norpholk,	নরফফোলক,	নরফোক,	
