papri,	পাপ্রি,	পাপরি,	
oncholsoho,	অঞ্চলসহ,	অঞ্চলসহ,	
tersa,	টের্স,	টেরেসা,	
sorajur,	সরাজুর,	সরযূর,	
botgach,	বোটাচ,	বটগাছ,	
gonjona,	গঞ্জনা,	গঞ্জনা,	
prokar,	প্রকার,	প্রকার,	
orunima,	অরুণিমা,	অরুণিমা,	
jatota,	যতটা,	যতোটা,	
shaalehaa,	সালেহা,	সালেহা,	
jameske,	জ্যামসককে,	জেমসকে,	
udvaboney,	উদ্ভবনে,	উদ্ভাবনে,	
jivjontu,	জীভন্তু,	জীবজন্তু,	
diana,	ডায়ান,	ডায়না,	
deyl,	দেল,	ডেইল,	
modeling,	মোডলিং,	মডেলিং,	
bamonder,	বামন্দের,	বামনদের,	
soholovyotar,	সহলভভতার,	সহজলভ্যতার,	
nickeel,	নিকেল,	নিকেল,	
quata,	কোয়াট,	কোটা,	
daltagi,	ডলত্যি,	দলত্যাগী,	
meghey,	মেঘে,	মেঘে,	
manhputo,	মান্পুত,	মনঃপুত,	
melborner,	মেলব্রেন,	মেলবোর্নের,	
salmaner,	সামমানের,	সালমানের,	
maudeling,	মেডলিং,	মডেলিং,	
gabhaaskaar,	গভাষকার,	গাভাস্কার,	
idaning,	ইডানিং,	ইদানিং,	
mohisho,	মহীশ,	মহিষ,	
dipgulo,	দিপ্ুগো,	দ্বীপগুলো,	
scoore,	স্কুরে,	স্কোর,	
joki,	জোকি,	জকি,	
dhoorer,	ধূরের,	ধরের,	
padarthabid,	পদার্থবীদ,	পদার্থবিদ,	
odurey,	অদূরে,	অদুরে,	
sikhbe,	শিখবে,	শিখবে,	
laz,	লজ,	লাজ,	
aakaabaar,	আকাবার,	আকাবার,	
aastikota,	অস্তিকোতা,	আস্তিকতা,	
meeseenjar,	মেজেঞ্জার,	মেসেঞ্জার,	
mawdel,	মাডেল,	মডেল,	
beshirbhagi,	বেশিরভাগী,	বেশিরভাগই,	
gatre,	গতত্রে,	গাত্রে,	
sachetanatamulok,	সচেতানতমূলক,	সচেতনতামূলক,	
pray,	প্রে,	প্রায়,	
drishyoi,	দৃশ্যই,	দৃশ্যই,	
esasiyetasa,	এসাসিয়েস,	এসোসিয়েটস,	
bamnii,	বামনী,	বামনী,	
dweepgoolo,	দ্বীপপুলো,	দ্বীপগুলো,	
vejjanno,	ভেজজন্য,	ভেজানো,	
boopon,	বুন,	বপন,	
utsahe,	উত্সাহে,	উৎসাহে,	
phormat,	ফরমাট,	ফরম্যাট,	
bisnooke,	বিষ্ণুকে,	বিষ্ণুকে,	
agara,	আগার,	আগোরা,	
bandhubhaabaapanna,	বান্ধধাবূন্ন,	বন্ধুভাবাপন্ন,	
disney,	ডিসনই,	ডিজনী,	
leetteer,	লেটার,	লেটার,	
abheedhaaneek,	অভিধানিক,	অভিধানিক,	
spashtotai,	স্পষ্টটাই,	স্পষ্টতই,	
wenom,	ভোন,	ভেনম,	
indr,	ইন্ড্রির,	ইন্দ্র,	
mele,	মেলে,	মাইল,	
candi,	কন্ডি,	ক্যান্ডি,	
natunatwa,	নতুনত্ব,	নতুনত্ব,	
sectar,	সেক্টার,	সেক্টর,	
songasthaner,	সংস্থানের,	সংস্থানের,	
jathon,	যথন,	যথন,	
shukranu,	শুক্রাণু,	শুক্রানু,	
ganesh,	গেনেস,	গণেশ,	
mandonder,	মন্দন্দের,	মানদণ্ডের,	
madhobike,	মাধবিকে,	মাধবীকে,	
ucchosito,	উচ্চচিষ,	উচ্ছসিত,	
romancha,	রোমাঞ্চ,	রোমাঞ্চ,	
rachonakal,	রচনাকাল,	রচনাকাল,	
tukrowti,	তুক্রুতি,	টুকরোটি,	
ssikkharthirao,	শিক্ষার্থীরাও,	শিক্ষার্থীরাও,	
cheph,	চেফ,	শেফ,	
inashtyanta,	ইনস্ট্যান্ট,	ইনস্ট্যান্ট,	
mast,	মাস্ট,	মাস্ত,	
tyunar,	টুনার,	টিউনার,	
nabyota,	নব্যতা,	নাব্যতা,	
saras,	সারস,	সরস,	
bonnopraan,	বন্যপ্রণ,	বন্যপ্রাণ,	
songasthati,	সংস্থাটি,	সংস্থাটি,	
seconder,	সেকেন্ডার,	সেকেন্ডের,	
komti,	কমিটি,	কমতি,	
poper,	পপের,	পোপের,	
bm,	বিএম,	বিএম,	
sangrahok,	সংগ্রহক,	সংগ্রাহক,	
dharavassokar,	ধারাভাষকার,	ধারাভাষ্যকার,	
pnouchute,	পুঁচুতে,	পৌঁছুতে,	
provritite,	প্রভৃতিতে,	প্রভৃতিতে,	
bhittow,	ভিট্ব,	ভিত্তিও,	
babylon,	বাবলিন,	ব্যাবিলন,	
roktokshoroney,	রক্তককরণে,	রক্তক্ষরণে,	
elaakai,	এলাকাই,	এলাকাই,	
as,	আস,	অস,	
kathmaandu,	কথ্মান্ডু,	কাঠমান্ডু,	
maaktoome,	মাযোক্টম,	মাকতুম,	
udbodhoni,	উদ্ববোধীনী,	উদ্বোধনী,	
scolarship,	স্কলারশিপ,	স্কলারশিপ,	
porjotoker,	পর্যটকের,	পর্যটকের,	
bonke,	ব্যাংকে,	বনকে,	
bipojjonok,	বিপজ্জনক,	বিপজ্জনক,	
nilfamarir,	নিলফামারীর,	নীলফামারীর,	
anshograhone,	অংশগ্রহণে,	অংশগ্রহনের,	
sahabike,	সাবাইকে,	সাহাবীকে,	
gratha,	গ্রাথ,	গ্রোথ,	
sampadon,	সম্পাদন,	সম্পাদন,	
bisshonath,	বিশ্বনাথ,	বিশ্বনাথ,	
elakai,	এলাকাই,	এলাকাই,	
avinetar,	অভিনেতর,	অভিনেতার,	
osshoshtikor,	অস্বস্তিকর,	অস্বস্তিকর,	
dweepgulo,	দ্বীপগুলো,	দ্বীপগুলো,	
sampadankaree,	সম্পাদকনারী,	সম্পাদনকারী,	
jak,	যাক,	জাঁক,	
shayetana,	সাইটেন,	শয়তান,	
kyaneela,	ক্যানেল,	ক্যানেল,	
madhobeer,	মাধবীর,	মাধবীর,	
netarao,	নেতারো,	নেতারাও,	
baarak,	বারাক,	বারাক,	
besuro,	বেশুরো,	বেসুর,	
ekeerokom,	একেরকম,	একইরকম,	
chhatke,	ছাতকে,	ছাতকে,	
patochitrer,	পাতচিত্রের,	পটচিত্রের,	
spostotoi,	স্প্ষটটি,	স্পষ্টতই,	
senabahineeow,	সেনাবাহিনও,	সেনাবাহিনীও,	
liceensing,	লাইকেনসিং,	লাইসেন্সিং,	
soras,	সরাস,	সরস,	
omanisa,	অমনিশা,	অমানিশা,	
emarzensi,	এমারজেন্সি,	এমার্জেন্সি,	
thaakte,	থাকতে,	থাকতে,	
bamna,	বামনা,	বামনা,	
morathee,	মরাঠী,	মরাঠি,	
gaaddaafee,	গাদ্যাফি,	গাদ্দাফী,	
mumtaj,	মুমতজ,	মুমতাজ,	
ghotleo,	ঘটলেও,	ঘটলেও,	
byaboshtha,	ব্যবস্থা,	ব্যাবস্থা,	
rooby,	রোবি,	রুবি,	
shkirt,	স্কার্ট,	স্কার্ট,	
khoor,	খুর,	ক্ষুর,	
neelabh,	নেলভ,	নীলাভ,	
bbiswashke,	বিশ্বাসকে,	বিশ্বাসকে,	
matt,	ম্ট,	ম্যাট,	
neshhanasha,	নেশাসস,	নেশনস,	
edhdaning,	এড্যানিং,	ইদানিং,	
sherup,	শেরূপ,	সেরুপ,	
cocaine,	কোকেন,	কোকেইন,	
jonosonjog,	জনস্যোজ,	জনসংযোগ,	
chhaanake,	ছানাকে,	ছানাকে,	
ghetu,	ঘেতু,	ঘেটু,	
paramartha,	পরারর্থ,	পরমার্থ,	
phirth,	ফার্থ,	ফার্থ,	
pretti,	প্রেটি,	প্রিটি,	
kingdom,	কিংডম,	কিংডম,	
koro,	করো,	কর,	
samannoi,	সামান্যই,	সামান্যই,	
udvabone,	উদ্ভবনে,	উদ্ভাবনে,	
utsaha,	উত্সাহ,	উৎসাহ,	
faranyata,	ফরান্যত,	ফরম্যাট,	
rupdan,	রূপ্দান,	রুপদান,	
naitikatar,	নাতিকতার,	নৈতিকতার,	
nikoter,	নিকটের,	নিকটের,	
sheramiksh,	শেরামিক্স,	সিরামিকস,	
necker,	নেকের,	নেকের,	
shikkhakromer,	শিক্ষাক্রমের,	শিক্ষাক্রমের,	
uponeeshod,	উপনিশদ,	উপনিষদ,	
vaibon,	ভাইবন,	ভাইবোন,	
bahaati,	বাহাতি,	বাহাতি,	
jerujaleme,	জেরুজামে,	জেরুসালেমে,	
nikote,	নিকটে,	নিকটে,	
gate,	গেঁটে,	গ্যেটে,	
asamonjasyopurno,	অসমানসযযস্রর,	অসামঞ্জস্যপূর্ণ,	
kara,	করর,	কারো,	
hisaber,	হিসাবের,	হিসাবের,	
abhiyojan,	অভিযোজন,	অভিযোজন,	
korle,	করলে,	করলে,	
bhagirath,	ভাগীরথ,	ভগীরথ,	
ovarview,	ওভারভে,	ওভারভিউ,	
tomader,	তমাদের,	তোমাদের,	
konroop,	কনররূপ,	কোনরূপ,	
phala,	ফলা,	পোলো,	
omeettrakkhor,	অমতত্রাক্ষর,	অমিত্রাক্ষর,	
sumita,	সুমিতা,	সুমিতা,	
golakriti,	গোলাকৃতি,	গোলাকৃতি,	
license,	লিইকেনস,	লাইসেন্স,	
transformaarer,	ট্রান্সপোরাংার,	ট্রান্সফরমারের,	
ganohotyar,	গণহত্যার,	গণহত্যার,	
probhritir,	প্রভৃতির,	প্রভৃতির,	
thaii,	ঠাই,	থাই,	
hoshein,	হোসেইন,	হোসেইন,	
shotokey,	শতকে,	শতকে,	
elakasoho,	এলাকাশহ,	এলাকাসহ,	
twoei,	টিই,	ত্বকেই,	
tuner,	টানের,	টিউনার,	
hedje,	হেজ,	হেজ,	
blaker,	ব্লকের,	ব্ল্যাকের,	
bhagini,	ভাগিনী,	ভগিনী,	
batsmanyi,	বাৎসম্যই,	ব্যাটসম্যানই,	
bayshorkarikarone,	বেসরকারীকরণ,	বেসরকারিকরণ,	
mastarsa,	মাস্ট্রাস,	মাস্টার্স,	
mmeloborrne,	মেলবর্ণে,	মেলবোর্নে,	
bulan,	বুলেন,	বুলান,	
thaanobhi,	থানবী,	থানভী,	
kompeeto,	কম্পিত,	কম্পিত,	
karmakarke,	কর্মকারকে,	কর্মকারকে,	
deily,	দেলি,	ডেইলি,	
cholo,	চলল,	চলো,	
bai,	বাই,	বাঈ,	
agom,	আগম,	আগম,	
sansthati,	সংস্থাটি,	সংস্থাটি,	
cross,	ক্রস,	ক্রুশ,	
naubom,	নবব,	নবম,	
lesensim,	লেসনেসিং,	লাইসেন্সিং,	
segulor,	সেগুলোর,	সেগুলোর,	
mulbhitti,	মুলভীত্তি,	মূলভিত্তি,	
itostatoh,	ইতোস্তাত,	ইতস্ততঃ,	
muhammadi,	মুহাম্মীদ,	মুহাম্মদী,	
iispredshiit,	ইসপ্রেস্টেস,	স্প্রেডশীট,	
pana,	পানা,	পানা,	
saurce,	সার্স,	সোর্স,	
dhanni,	ধ্যানি,	ধন্যি,	
aanhu,	অনুু,	আনহু,	
siramiqasa,	স্রামাকিস,	সিরামিকস,	
jatinke,	জাতিনকে,	যতীনকে,	
tuleche,	তুলেছে,	তুলেছে,	
bishnooke,	বিষ্ণুকে,	বিষ্ণুকে,	
falakti,	ফালকটি,	ফলকটি,	
omittrakkhor,	অমিতার্ষকর,	অমিত্রাক্ষর,	
gosthiti,	গোষ্ঠিটি,	গোষ্ঠীটি,	
shaaroker,	সারকের,	স্মারকের,	
maase,	মাসে,	মাসে,	
chamke,	চামকে,	চমকে,	
mukhamandoler,	মখখমন্ডের,	মুখমণ্ডলের,	
unitgulo,	উউনিতগুলো,	ইউনিটগুলো,	
galpokar,	গল্পকার,	গল্পকার,	
janalo,	জানালো,	জানালো,	
ballrum,	বলরুম,	বলরুম,	
seekkhokder,	শিক্ষকদের,	শিক্ষকদের,	
zackson,	জাকসন,	জ্যাকসন,	
marufer,	মারুফের,	মারুফের,	
helloin,	হেলোইন,	হ্যালোইন,	
pleto,	প্লেট,	প্লেটো,	
saafi,	সাফী,	সাফি,	
besorkarikoron,	বেসরকারীকরণ,	বেসরকারিকরণ,	
aairis,	আইরিশ,	আইরিস,	
shalapheta,	সালাফেট,	সালফেট,	
graambasee,	গ্রামাবাসী,	গ্রামবাসী,	
qoyartara,	কোয়ার্টার,	কোয়ার্টার,	
labonaaktotaar,	লবনাক্ততার,	লবণাক্ততার,	
monzile,	মঞ্জিলে,	মঞ্জিলে,	
odhit,	অধিত,	অধীত,	
dubate,	দুবাতে,	ডুবাতে,	
venis,	ভেনিস,	ভেনিস,	
namo,	নামো,	নমো,	
skart,	স্কার্ট,	স্কার্ট,	
mmadhukkori,	মাধককরী,	মাধুকরী,	
nirarthak,	নিরা্ষক,	নিরর্থক,	
advanced,	অ্যাডভান্সে,	অ্যাডভান্সড,	
booth,	বুঠ,	বুথ,	
format,	ফরমাট,	ফরম্যাট,	
byaasalt,	ব্যালাল্ট,	ব্যাসল্ট,	
prachurzer,	প্রচুর্যের,	প্রাচুর্যের,	
falkser,	ফ্যাক্সের,	ফক্সের,	
eshiyatika,	এশিয়েটিক,	এশিয়াটিক,	
bem,	বেম,	বিম,	
armstrang,	আর্স্ট্রং,	আর্মস্ট্রং,	
beam,	বেম,	বিম,	
durgotsab,	দুর্গটসব,	দুর্গোৎসব,	
showti,	শতী,	শোটি,	
nirvaha,	নির্বাহ,	নির্বাহ,	
satjaner,	সতজনের,	সাতজনের,	
noditir,	নদীতীর,	নদীটির,	
koontee,	কুনটি,	কুন্তী,	
dharavahikbhabey,	ধারাভিকভাবে,	ধারাবাহিকভাবে,	
janosangyog,	জনস্যাগ্য,	জনসংযোগ,	
ukeliptash,	একেলিপ্টাস,	ইউক্যালিপ্টাস,	
arena,	অরেন,	এরিনা,	
machhti,	মাছটি,	মাছটি,	
temas,	টেমস,	টাইমস্,	
gabeshanagar,	গবেষণাগার,	গবেষনাগার,	
seramiks,	সেরামিক্স,	সিরামিকস,	
anchalei,	আঞ্চালেই,	অঞ্চলেই,	
manbey,	মানবে,	মানবে,	
ghumata,	ঘুমাতা,	ঘুমাতো,	
aatmobishwasi,	আত্মবিশবাসী,	আত্মবিশ্বাসী,	
shitey,	শিটে,	শীতে,	
euror,	ইউরোর,	ইউরোর,	
akrup,	একরূপ,	একরূপ,	
karmajog,	কর্মযোগ,	কর্মযোগ,	
transformerer,	ট্রান্সপোর্মের,	ট্রান্সফরমারের,	
mishal,	মিশাল,	মিশাল,	
jeeni,	জেনি,	যিনি,	
harbare,	হারবারে,	হারবারে,	
totokhon,	ততক্ষণ,	ততক্ষন,	
digreer,	ডিগ্রীর,	ডিগ্রির,	
khodeja,	খোদেজা,	খোদেজা,	
manaber,	মানবের,	মানবের,	
naneer,	নানের,	নানীর,	
jaank,	জাঁক,	জাঁক,	
nartaki,	নার্তকী,	নর্তকী,	
jetei,	জেতেই,	যেতেই,	
dweepgoolotey,	দ্বীপপুলোতে,	দ্বীপগুলোতে,	
gostigulo,	গোস্তিগুলো,	গোষ্ঠীগুলো,	
taalal,	তালাল,	তালাল,	
sikhra,	শিখরা,	শিখরা,	
khatgosher,	খাতগাের,	খরগোসের,	
poddhotitei,	পদ্ধতিতেই,	পদ্ধতিতেই,	
deaubande,	দীবন্দে,	দেওবন্দে,	
mangoleek,	মঙ্গলিক,	মাঙ্গলিক,	
susama,	সুসাম,	সুসম,	
jess,	জেস,	জেস,	
nirmankaj,	নির্মাণকাজ,	নির্মাণকাজ,	
turkey,	তুর্কে,	তুর্কি,	
heavi,	হেভি,	হেভি,	
templete,	টেম্পেলটে,	টেম্পলেট,	
balokarak,	বালকারক,	বলকারক,	
idipasha,	এডিপাশ,	ইডিপাস,	
eukalyptus,	ইককলিপিটাস,	ইউক্যালিপ্টাস,	
venisey,	ভাইনিসে,	ভেনিসে,	
stoonahenja,	স্তুনাহেম্যা,	স্টোনহেঞ্জ,	
baagicar,	বাগীকার,	বাগিচার,	
byabaharkarike,	ব্যবহারকারীকে,	ব্যবহারকারীকে,	
duburira,	দুবুরিরা,	ডুবুরিরা,	
noditi,	নদীতি,	নদীটি,	
oddure,	অদ্যুরে,	অদুরে,	
bahati,	বাহাতি,	বাহাতি,	
hariner,	হরিনের,	হরিণের,	
eskol,	এসকল,	এসকল,	
pyor,	প্যার,	পিওর,	
suparharo,	সুপারহররা,	সুপারহিরো,	
daayitto,	দৈব্য,	দায়িত্ব,	
dajhyo,	দাজওয,	দাহ্য,	
ddebet,	দেবেত,	ডিবেট,	
uporitale,	উপরিতালে,	উপরিতলে,	
udbodhani,	উদ্বধোনী,	উদ্বোধনী,	
lyaandeeng,	ল্যান্ডিং,	ল্যান্ডিং,	
nederland,	নেডাল্যান্ড,	নেদারল্যান্ড,	
nirantar,	নিরান্তর,	নিরন্তর,	
koode,	কোডে,	কোড,	
shpreadshhiit,	স্প্রেস্টিস,	স্প্রেডশীট,	
chashe,	চাষে,	চেস,	
asamonjoshyopurno,	অসমানসযযস্ররণ,	অসামঞ্জস্যপূর্ণ,	
pleta,	প্লেট,	প্লেট,	
hizri,	হিজরি,	হিজরী,	
niketoner,	নিকেটনের,	নিকেতনের,	
pala,	পাল,	পোলো,	
paadee,	পাদী,	পাড়ে,	
roobi,	রোবি,	রুবি,	
asthisandhi,	অস্থিনসন্ধী,	অস্থিসন্ধি,	
keo,	কিও,	কেও,	
poripakey,	পরিপাকে,	পরিপাকে,	
porisromii,	পরিস্রমি,	পরিশ্রমী,	
neemeetto,	নিমেত্ব,	নিমিত্ত,	
koushalgato,	কৌসভাগত,	কৌশলগত,	
chaanu,	চানু,	চানু,	
bouddho,	বৌদ্ধ,	বৌদ্ধ,	
bondikey,	বন্দিকে,	বন্দীকে,	
songastha,	সংগ্্া,	সংস্থা,	
jothartho,	যথার্থ,	যথার্থ,	
stoonehenge,	স্টুনেহেঙ্জ,	স্টোনহেঞ্জ,	
markeeting,	মার্কিটিং,	মার্কেটিং,	
deephineeshana,	ডেফিনেশন,	ডেফিনেশন,	
indrani,	ইন্ড্রেনি,	ইন্দ্রাণী,	
kuley,	কুলে,	কুলে,	
eidhyaning,	এই়ানিং,	ইদানীং,	
bhenisa,	ভেনিস,	ভেনিস,	
bonovumi,	বনভূমি,	বনভূমি,	
jatak,	জতক,	জাতক,	
lumbini,	লুম্বিনী,	লুম্বিনী,	
shasonkorta,	শাসনকর্তা,	শাসনকর্তা,	
pulse,	পুলসে,	পালস,	
rushad,	রুশদ,	রুশদ,	
udbodhaney,	উদ্বোধনে,	উদ্বোধনে,	
hoolding,	হোল্ডিং,	হোল্ডিং,	
pracharana,	প্রচারণা,	প্রচারণা,	
janasangjog,	জনস্যাগ,	জনসংযোগ,	
keo,	কিও,	কেউ,	
brekethru,	ব্রেকেতররও,	ব্রেকথ্রু,	
pravritir,	প্রভৃতির,	প্রভৃতির,	
chalai,	চালাই,	চালাবে,	
udvaban,	উদ্ভবন,	উদ্ভাবন,	
karpeter,	কার্পেটের,	কার্পেটের,	
kathmandute,	কথ্যমন্ডুতে,	কাঠমান্ডুতে,	
juboke,	যুবকে,	যুবকে,	
shudden,	সুদ্দেন,	সাডেন,	
rajtantrey,	রাজতন্ত্রে,	রাজতন্ত্রে,	
soccar,	সক্চার,	সকার,	
nadigulir,	নাদিগুলির,	নদীগুলির,	
planeti,	প্লানটি,	প্লেনটি,	
rushod,	রুশদ,	রুশদ,	
mashtersh,	মাষ্টার্স,	মাস্টার্স,	
onkeeta,	অঙ্কেট,	অঙ্কিতা,	
mulvitti,	মুলভিত্তি,	মূলভিত্তি,	
carpeet,	কার্পেট,	কার্পেট,	
raunanganey,	রণনগনে,	রণাঙ্গনে,	
kalki,	কলকি,	কালকি,	
gara,	গারা,	গোর,	
nederlander,	নেদ্রল্যান্ডের,	নেদারল্যান্ডের,	
nodnodir,	নদ্নদির,	নদনদীর,	
baaraakpur,	বারাকপুর,	বারাকপুর,	
prastutkarok,	প্রস্তুতকতর,	প্রস্তুতকারক,	
proshtotto,	প্রস্তত্ব,	প্রস্ত্তত,	
fatakesto,	ফটেক্ট,	ফাটাকেষ্ট,	
dollu,	দললু,	ডলু,	
daaraa,	দারা,	দারা,	
vivek,	ভিভেক,	বিবেক,	
adhito,	অধিত,	অধীত,	
oindreela,	ওন্ড্রেল,	ঐন্দ্রিলা,	
cada,	কাডা,	কোডা,	
niutrinoo,	নিউট্রিনো,	নিউট্রিনো,	
food,	ফুড,	ফুড,	
rohosyo,	রহস্য,	রহস্য,	
janaalo,	জানালো,	জানালো,	
neshnosh,	নেশনস,	নেশনস,	
nagorik,	নাগরিক,	নাগরিক,	
robotic,	রোবটিক,	রোবোটিক,	
karmopontha,	কর্মপন্থ,	কর্মপন্থা,	
talgach,	তললগাচ,	তালগাছ,	
maail,	মেল,	মাইল,	
saahosikotar,	সাহসিকতার,	সাহসিকতার,	
carzer,	কার্জের,	চার্জের,	
panthar,	পাঁথার,	পন্থার,	
ganonatya,	গাননাত্য,	গণনাট্য,	
besharkarikarone,	বেসরকারিকরণ,	বেসরকারিকরণ,	
cholesi,	চলেশি,	চলেছি,	
adhattikota,	আধ্যতিকতা,	আধ্যাত্মিকতা,	
abdi,	অব্দি,	অব্দি,	
ekshotee,	একশটি,	একশোটি,	
indra,	ইন্দ্রা,	ইন্দ্র,	
rudrake,	রুদ্রকে,	রুদ্রকে,	
shoti,	সতী,	শোটি,	
unsareer,	উনসারির,	আনসারীর,	
mailkhanek,	মেলখানেক,	মাইলখানেক,	
miley,	মিলে,	মাইলি,	
phutonto,	ফুটন্ট,	ফুটন্ত,	
chomsky,	চমস্কি,	চমস্কি,	
protijogiider,	প্রতিযোগীদের,	প্রতিযোগীদের,	
armshtrong,	আর্স্ট্রং,	আর্মস্ট্রং,	
shikshagato,	শিক্ষাগত,	শিক্ষাগত,	
sohopathike,	সহপাঠিকে,	সহপাঠীকে,	
ssumi,	সুমি,	সুমি,	
nodiitei,	নদীতেই,	নদীতেই,	
juboksaho,	যুবকসহ,	যুবকসহ,	
uthe,	উঠে,	উঠে,	
alonkaron,	অলংকরণ,	অলঙ্করণ,	
somabeshke,	সমাবেশকে,	সমাবেশকে,	
dormitoree,	ডরমেটরি,	ডরমিটরি,	
goshthiti,	গস্থিটি,	গোষ্ঠীটি,	
elaakati,	এলাকাটি,	এলাকাটি,	
ancient,	অ্যান্সেন্ট,	এনসিয়েন্ট,	
parther,	পার্থের,	পার্থের,	
bedkey,	বেদকে,	বেদকে,	
samajikatar,	সমাজিককার,	সামাজিকতার,	
nadigulo,	নাদিগুলো,	নদীগুলো,	
nirabota,	নিরবত,	নিরবতা,	
shomsti,	সম্টি,	সমষ্টি,	
nirikhe,	নিরিখে,	নিরিখ,	
provu,	প্রভূ,	প্রভু,	
aazadeer,	আযাদীর,	আজাদীর,	
oncholshomuher,	অঞ্চলসমূহের,	অঞ্চলসমূহের,	
ottacharer,	অত্চাচরের,	অত্যাচারের,	
jacksoner,	জাকসনের,	জ্যাকসনের,	
abhidhanic,	অভিধানিক,	অভিধানিক,	
naniir,	নানীর,	নানীর,	
kyashpar,	ক্ষাপার,	ক্যাসপার,	
jonoika,	জনোকা,	জনৈকা,	
marodeha,	মারদেহা,	মরদেহ,	
darjiling,	দার্জিলিং,	দার্জিলিং,	
alexander,	অলেকান্ডার,	আলেকজান্ডার,	
oshovyo,	অসব্য,	অসভ্য,	
nirapottamulok,	নিরাতমতমূলক,	নিরাপত্তামূলক,	
asantosh,	অশান্তস,	অসন্তোষ,	
japanira,	জাপানীরা,	জাপানিরা,	
engreziteo,	ইংরেজিয়েত,	ইংরেজিতেও,	
nirbaaho,	নির্বাহ,	নির্বাহ,	
dharati,	ধারতি,	ধারাটি,	
bibechyo,	বিবেচ্য,	বিবেচ্য,	
hajaribag,	হাজাবীগা,	হাজারিবাগ,	
bishnuke,	বিষ্ণুকে,	বিষ্ণুকে,	
bondhutto,	বন্ধুত্ব,	বন্ধুত্ত্ব,	
taurat,	তৌরাট,	তওরাত,	
shaarther,	সার্থের,	স্বার্থের,	
karmoke,	কর্মকে,	কর্মকে,	
zubokra,	যুবক্রা,	যুবকরা,	
ojouno,	অযৌন,	অযৌন,	
choudhurider,	চৌধুরিদের,	চৌধুরীদের,	
creesceent,	ক্রিসেন্ট,	ক্রিসেন্ট,	
seating,	সেটিং,	সিটিং,	
vageryi,	ভাগেরই,	ভাগেরই,	
manir,	মানির,	মনির,	
balroom,	বালুম,	বলরুম,	
maile,	মেলে,	মাইল,	
balbo,	বালব,	বলবো,	
swastir,	স্বাস্তির,	স্বস্তির,	
tap,	টপ,	ট্যাপ,	
sikkhakram,	শিক্ষাক্রম,	শিক্ষাক্রম,	
chalachchitrogulor,	চলচিচ্র্যগুলোর,	চলচ্চিত্রগুলোর,	
daktikite,	ডক্কিকিতে,	ডাকটিকিটে,	
patjata,	পাজজাত,	পাটজাত,	
saseja,	সাসেজা,	সসেজ,	
ganoparibahaner,	গণপরিবাহনের,	গণপরিবহনের,	
sbaajaner,	স্বজনের,	স্বজনের,	
oojbekistan,	উজবেকিস্তান,	উজবেকিস্তান,	
ganaparibahaner,	গণপরিবহণের,	গণপরিবহনের,	
trup,	ট্রুপ,	ট্রুপ,	
durgoto,	দুর্গত,	দূর্গত,	
tyapa,	ট্যাপ,	ট্যাপ,	
marqeting,	মার্কেটিং,	মার্কেটিং,	
shekende,	সেকেন্ডে,	সেকেন্ডে,	
kirti,	কীরটি,	কীর্তি,	
carpeter,	কার্পেটের,	কার্পেটের,	
jyotsna,	জ্যোট্সনা,	জ্যোৎস্না,	
sachetanotamulak,	সচেতানতমূলক,	সচেতনতামূলক,	
grovth,	গ্রথথ,	গ্রোথ,	
anyorup,	অন্যরূপ,	অন্যরূপ,	
esosiyetasa,	এসোসিয়েস,	এসোসিয়েটস,	
messenjer,	মেশেজের,	মেসেঞ্জার,	
taaler,	তালের,	তালের,	
institutioner,	ইনস্টিটিউশনের,	ইনস্টিটিউশনের,	
nathibhukto,	নথিভুক্ত,	নথিভুক্ত,	
bosanta,	বসন্ত,	বসন্ত,	
lambaate,	লম্বাতে,	লম্বাটে,	
suhasini,	সুহাসিনী,	সুহাসিনী,	
pacchen,	পাঁচেন,	পাচ্ছেন,	
jiland,	জিলাযান্ড,	জিল্যান্ড,	
youth,	যৌথ,	ইয়ুথ,	
shangkaloner,	সংকালনের,	সংকলনের,	
saabbir,	সাববীর,	সাব্বির,	
gaichey,	গাইছে,	গাইছে,	
dharabahikvabe,	ধারাবিকভাবে,	ধারাবাহিকভাবে,	
chilahaati,	চিলাহাটি,	চিলাহাটি,	
bhromonkale,	ভ্রমণকালে,	ভ্রমণকালে,	
jotinke,	জোটিনকে,	যতীনকে,	
taunasipa,	টৌনশীপ,	টাউনশিপ,	
sajano,	সাজন,	সাজানো,	
phoolkopi,	ফুলকোি,	ফুলকপি,	
jhalkathy,	ঝালকাঠি,	ঝালকাঠী,	
monu,	মনু,	মনু,	
shoo,	শু,	শো,	
uthhaane,	উঠানে,	উঠানে,	
naagaalyand,	নাগাল্যান্ড,	নাগাল্যান্ড,	
gronthotikey,	গ্রন্থটিকে,	গ্রন্থটিকে,	
tikta,	তিক্ট,	তিক্ত,	
proteesthan,	প্রতিষ্ঠান,	প্রতিষ্টান,	
vishnu,	বীষ্ণু,	বিষ্ণু,	
pachtar,	পাঁচটার,	পাঁচটার,	
bhyatikaaner,	ভ্যাতিকানের,	ভ্যাটিকানের,	
manmath,	মানাাথ,	মন্মথ,	
jameser,	জমিসের,	জেমসের,	
bhogirath,	ভগীরথ,	ভগীরথ,	
umedpur,	উমেদপুর,	উমেদপুর,	
choudhooreeder,	চৌধুরিদের,	চৌধুরীদের,	
mukhomandoley,	মুখমন্ডলে,	মুখমণ্ডলে,	
