sukkho,	শুক্ষ্,	সুক্ষ্ম,	
paripaker,	পরিপকের,	পরিপাকের,	
baasa,	বাসা,	বাসা,	
apohoron,	অপহরণ,	অপহরন,	
phox,	ফক্স,	ফক্স,	
firoze,	ফিরোজে,	ফিরোজ,	
nirau,	নিরা,	নির,	
ekok,	একক,	একক,	
peengna,	পিঙ্ন,	পিংনা,	
shatjon,	সত্যন,	সাতজন,	
osocheton,	অসচেতন,	অসচেতন,	
kiuti,	কিউটি,	কিউটি,	
biplabee,	বিপ্লববী,	বিপ্লবী,	
karmazog,	কর্মজগ,	কর্মযোগ,	
shhooter,	শূটের,	শ্যুটার,	
hood,	হুড,	হুড,	
bhabanir,	ভাবনীর,	ভবানীর,	
ponni,	পন্যি,	পন্নী,	
yuk,	ইউক,	ইয়াক,	
prime,	প্রিম,	প্রাইম,	
cuti,	কুটি,	কিউটি,	
suparahira,	সুপারহহার,	সুপারহিরো,	
garnaar,	গার্নার,	গার্নার,	
scifi,	স্কিফ,	সাইফাই,	
omkar,	অমকার,	ওঙ্কার,	
tafsirer,	তাপসিরের,	তাফসীরের,	
ajeempoor,	আজিমপুর,	আজিমপুর,	
nathibhukto,	নথিবূক্ত,	নথিভুক্ত,	
metroopalitana,	মেত্রোপিলেন,	মেট্রোপলিটন,	
panchbar,	পাঁচাবর,	পাঁচবার,	
protisthan,	প্রতিষ্ঠান,	প্রতিষ্টান,	
pratool,	প্রতুল,	প্রতুল,	
meghacchonno,	মেযোচচেন্ন,	মেঘাচ্ছন্ন,	
tala,	তল,	তালা,	
thanvi,	থানভি,	থানভী,	
cheerokumari,	চিরকমারী,	চিরকুমারী,	
shoti,	শতী,	শোটি,	
aanaan,	আনান,	আনান,	
prokalpeo,	প্রকলাপেও,	প্রকল্পেও,	
durgandher,	দুর্গাণ্ধের,	দুর্গন্ধের,	
nodigulir,	নদুগুলির,	নদীগুলির,	
satthik,	সাথিক,	সঠিক,	
inphormeshon,	ইনফ্রমেশন,	ইনফরমেশন,	
estoonia,	এস্টোনিয়া,	এস্তোনিয়া,	
shekender,	সেকেন্ডের,	সেকেন্ডের,	
jansa,	জন্স,	জন্স,	
logic,	লোজিক,	লজিক,	
napper,	নপপের,	ন্যাপের,	
arthat,	অর্থত,	অর্থাৎ,	
grambaashi,	গ্রাম্বাসী,	গ্রামবাসী,	
ekoirakom,	একতরমম,	একইরকম,	
shombhobonao,	সম্ভবনাও,	সম্ভবনাও,	
thailandshoho,	তৈলন্দসহ,	থাইল্যান্ডসহ,	
kanshater,	কাঁশতের,	কানসাটের,	
pretty,	প্রেটি,	প্রিটি,	
pet,	পেট,	পেত,	
dibate,	দিবাতে,	ডিবেট,	
paikgacha,	পাইকচা,	পাইকগাছা,	
badaghat,	বদাঘাত,	বাদাঘাট,	
bhaandaar,	ভান্দার,	ভাণ্ডার,	
scoree,	স্করি,	স্কোরে,	
sbaajan,	স্বজন,	স্বজন,	
spreadsheet,	স্প্রেডিকট,	স্প্রেডশীট,	
geja,	গেজ,	গেজ,	
harbur,	হার্বুর,	হারবার,	
turishta,	তুরিষ্ট,	টুরিস্ট,	
porishromi,	পরিষ্রমী,	পরিশ্রমী,	
suraropito,	সুরারিপ,	সুরারোপিত,	
obikol,	অবিকল,	অবিকল,	
venna,	ভেন্ন,	ভেন্না,	
udbodhonee,	উদ্বধনী,	উদ্বোধনী,	
taoonship,	টাউন্সিপ,	টাউনশিপ,	
kormopontha,	কর্মপো্থা,	কর্মপন্থা,	
bilati,	বিলাতি,	বিলাতী,	
khanankaj,	খননকাজ,	খননকাজ,	
sofyr,	সফির,	সোফির,	
pujito,	পুজিত,	পুজিত,	
beshirbhaagei,	বেশিরভাগেই,	বেশিরভাগেই,	
gonjona,	গণ্যানা,	গঞ্জনা,	
anodhikaar,	অনুধিকার,	অনধিকার,	
prakalpogulor,	প্রকালপগুলোর,	প্রকল্পগুলোর,	
mukhmondole,	মুখমদ্নলে,	মুখমণ্ডলে,	
chalachchitroi,	চলচচিত্রী,	চলচ্চিত্রই,	
afzal,	আফজাল,	আফজল,	
chhon,	ছন,	ছোঁ,	
korleo,	করলেও,	করলেও,	
sanatani,	সনাটনি,	সনাতনী,	
thakte,	ঠাকতে,	থাকতে,	
nothibhookta,	নথিভূক্ত,	নথিভুক্ত,	
haipara,	হাইপার,	হাইপার,	
shikara,	শিকারা,	শিকার,	
bbosonte,	বসন্তে,	বসন্তে,	
ashocheton,	অসছেতন,	অসচেতন,	
abhidhanic,	অভিধানিক,	অভিধানিক,	
udichi,	উদিচি,	উদীচী,	
chaalke,	চালকে,	চালকে,	
dayra,	ডার়া,	ডেরা,	
restaurant,	রেস্টোরান্ট,	রেষ্টুরেন্ট,	
shten,	স্টেন,	স্টেন,	
ganesher,	গণেষের,	গণেশের,	
hijrite,	হিজরিতে,	হিজরীতে,	
muhammad,	মহমম্মদ,	মুহাম্মদ,	
tirmijii,	তির্মিজী,	তিরমিজি,	
hotodoridro,	হতদির্দ,	হতদরিদ্র,	
potka,	পোটক,	পটকা,	
samashti,	সমস্তি,	সমষ্টি,	
mucus,	মুকাস,	মিউকাস,	
depp,	ডিপপ,	ডেপ,	
hajarti,	হাজাটি,	হাজারটি,	
shikarer,	শিকারের,	শিকারের,	
bhorkendra,	ভোরকেন্দ্র,	ভরকেন্দ্র,	
stane,	স্টেন,	স্টোন,	
ganohatyar,	গণহা্তার,	গণহত্যার,	
aholar,	আহলার,	অহল্যার,	
jakkha,	যক্ষ,	যক্ষ,	
lokshero,	লক্ষেরও,	লক্ষেরও,	
tatira,	ততির,	তাঁতিরা,	
beeseshyer,	বিশেষ্যের,	বিশেষ্যের,	
bopon,	বপন,	বপন,	
pouro,	পৌরও,	পৌর,	
suma,	সুমা,	সুমো,	
aajij,	আজিজ,	আজিজ,	
malish,	মালিশ,	মালিশ,	
provura,	প্রভূরা,	প্রভুরা,	
lyaandeeng,	ল্যানডিং,	ল্যান্ডিং,	
bibad,	বিবাদ,	বিবাদ,	
lettere,	লেটের,	লেটারে,	
eukalyptus,	একোল্যাপ্প,	ইউক্যালিপ্টাস,	
sohopatheekey,	সহপাঠিকে,	সহপাঠীকে,	
utpotti,	উৎপত্তি,	উতপত্তি,	
kommatei,	কমমাতেই,	কমাতেই,	
anchalkey,	অঞ্চলকে,	অঞ্চলকে,	
byatikramdharmi,	ব্যাতিক্রমণ্ধ্য,	ব্যতিক্রমধর্মী,	
zeland,	জেলান্ড,	জিল্যান্ড,	
vangchur,	ভাঙচুর,	ভাংচুর,	
gatrey,	গাত্রে,	গাত্রে,	
porikhar,	পরিখার,	পরিখার,	
notikotar,	নতিকতার,	নৈতিকতার,	
aborto,	অবর্ত,	আবর্ত,	
jhankaar,	ঝানকার,	ঝঙ্কার,	
governorer,	গভর্নরের,	গভর্ণরের,	
zoneete,	জনিতে,	যোনীতে,	
saarbhaarti,	সার্ভর্তি,	সার্ভারটি,	
fatakeshto,	ফটেক্স,	ফাটাকেষ্ট,	
manohputo,	মনোমূত,	মনঃপুত,	
tukrokey,	তুক্রকে,	টুকরোকে,	
potthon,	পথ্য,	পঠন,	
eparjanta,	এপর্জন্ট,	এপর্যন্ত,	
seguloi,	সেগুলোই,	সেগুলোই,	
ganosochetonota,	গণস্ছানতত,	গণসচেতনতা,	
mautke,	মাটকে,	মতকে,	
nothivooktir,	নথিভূক্তির,	নথিভুক্তির,	
jacksonke,	যক্ষঙ্কে,	জ্যাকসনকে,	
michir,	মিচির,	মিচির,	
janake,	জানকে,	জানাতে,	
kachhakachhi,	কাচাকাছি,	কাছাকাছি,	
batsman,	বাৎসমান,	ব্যাটসম্যান,	
pravu,	প্রভূ,	প্রভু,	
tat,	তাট,	তাত,	
elaka,	ইলাকা,	এলাকা,	
bibader,	বিবাদের,	বিবাদের,	
bait,	বাইট,	বাইট,	
sachetonvabe,	সাচেঠনাাবে,	সচেতনভাবে,	
chheelona,	ছিলনা,	ছিলনা,	
difinishhion,	ডিফিনিশন,	ডেফিনেশন,	
sammatir,	সমমাটির,	সম্মতির,	
protijogitamulok,	প্রতিযোগিতামূলক,	প্রতিযোগীতামূলক,	
neerbaho,	নির্বাহ,	নির্বাহ,	
shkolashtic,	স্কলাস্টিক,	স্কলাস্টিক,	
ovigomon,	অভিযোমন,	অভিগমন,	
yucalyptus,	ইউটল্যাপ্পি,	ইউক্যালিপ্টাস,	
pratul,	প্রতুল,	প্রতুল,	
gara,	গার,	গোর,	
dweegulotey,	দ্বীগগলে,	দ্বীপগুলোতে,	
ganjana,	গাঞ্জন,	গঞ্জনা,	
dharagulor,	ধারাগুলোর,	ধারাগুলোর,	
kaloniir,	কলনির,	কালনীর,	
joonsa,	জুংস,	জোন্স,	
nimitte,	নিমিত্তে,	নিমিত্তে,	
varpur,	ভারপুর,	ভরপুর,	
hotelteete,	হটেলটটে,	হোটেলটিতে,	
maladobha,	মালদাভ,	মলদোভা,	
taap,	টাপ,	ট্যাপ,	
shkalastic,	স্কলাস্টিক,	স্কলাস্টিক,	
fiksa,	ফিক্স,	ফিক্স,	
sadbi,	সদ্বী,	সাধ্বী,	
mokhmoley,	মক্ষলে,	মখমলে,	
pisach,	পিসাচ,	পিশাচ,	
muladi,	মুলাদী,	মুলাদি,	
tookrokey,	টুকরকে,	টুকরোকে,	
mawdeel,	মদিল,	মডেল,	
seeramiks,	সিরামিক্স,	সিরামিকস,	
kara,	কারা,	কর,	
mithener,	মিথেনের,	মিথেনের,	
jack,	জাক,	জ্যাক,	
arop,	আরপপ,	আরোপ,	
aabahan,	আবাহন,	আবাহন,	
saptahokal,	সাপ্তাালা,	সপ্তাহকাল,	
monjushri,	মন্যুষী,	মঞ্জুশ্রী,	
plack,	প্ল্যাক,	প্ল্যাক,	
chhuti,	ছুটি,	ছুটি,	
basa,	বাস,	বাসা,	
angkush,	অংকুষ,	অংকুশ,	
mugdhata,	মুগধাতা,	মুগ্ধতা,	
dibya,	দিব্য,	দিব্যা,	
sothikata,	সতীকাতা,	সঠিকতা,	
bolechile,	বলেছিলে,	বলেছিলে,	
nevatey,	নেভাতে,	নেভাতে,	
beatleser,	বিটলেসের,	বিটলসের,	
kor,	কোর,	কর,	
highcommissioney,	হিওম্িসেন,	হাইকমিশনে,	
concert,	কনোর্ট,	কানসাট,	
choopi,	চুপি,	চুপি,	
qoyartara,	কোয়ার্টার,	কোয়ার্টার,	
jonomukhi,	জনমুখ্,	জনমুখী,	
chhooti,	ছুটি,	ছুটি,	
grameri,	গ্রামারি,	গ্রামেরই,	
laaishenshh,	লাইসেংস,	লাইসেন্স,	
atma,	আতম,	আত্ম,	
holuder,	হলুদের,	হলুদের,	
hantte,	হাঁতে,	হাঁটতে,	
streegon,	স্ত্রীগণ,	স্ত্রীগণ,	
sahazlabhbhotar,	সহহ্ভবলতার,	সহজলভ্যতার,	
pra,	প্রা,	প্রো,	
mathews,	মাথিশ,	ম্যাথিউস,	
songbadmadhyome,	সংবাদমধ্মে,	সংবাদমাধ্যমে,	
sukkha,	শুক্ষা,	সুক্ষ্ম,	
bedke,	বেদকে,	বেদকে,	
peshto,	পেস্ট,	পেষ্ট,	
naitikatavodh,	নৈতিকা্বাধ,	নৈতিকতাবোধ,	
potchitrer,	পটচিত্রের,	পটচিত্রের,	
noiteek,	নাটিক,	নৈতিক,	
swapad,	স্বপদ,	শ্বাপদ,	
sobche,	সবচে,	সবচে,	
pathkrom,	পাঠকরম,	পাঠক্রম,	
armshtrong,	আর্মস্ট্র্ং,	আর্মস্ট্রং,	
karmosampadan,	কর্মস্পাদ,	কর্মসম্পাদন,	
shaahaab,	সাহাব,	সাহাব,	
bishwaashshoi,	বিশ্বাসই,	বিশ্বাসই,	
hoole,	হোলে,	হোল,	
ballrum,	বাল্রুম,	বলরুম,	
bhenama,	ভেনাম,	ভেনম,	
mohammadi,	মহামমাদী,	মুহাম্মদী,	
paab,	পাব,	পাব,	
veda,	ভেড,	বেদ,	
sahopathike,	সহপাঠিকে,	সহপাঠীকে,	
manob,	মানব,	মানব,	
kadorer,	কাদরের,	কদরের,	
raha,	রাহ,	রঃ,	
sukkhma,	সুক্ষ্ম,	সুক্ষ্ম,	
dankaan,	ডাকনন,	ডানকান,	
claud,	ক্লাড,	ক্লাউড,	
drissotir,	দৃষ্যটির,	দৃশ্যটির,	
ardasho,	অর্দশ,	আর্দশ,	
madaul,	মাদল,	মাদল,	
huka,	হুক,	হুক,	
mukhomandaley,	মুখমন্ডলে,	মুখমণ্ডলে,	
gardeen,	গারডিন,	গার্ডেন,	
byboshthar,	ব্যবস্থার,	ব্যাবস্থার,	
barbaadoj,	বার্বাদোজ,	বার্বাডোজ,	
thyachara,	থ্যাচার,	থ্যাচার,	
bissonath,	বিষ্ণাথ,	বিশ্বনাথ,	
hattey,	হ্যাটে,	হাঁটতে,	
dharavassokar,	ধররাভাসকার,	ধারাভাষ্যকার,	
palkee,	পালকি,	পাল্কি,	
shrabastee,	শ্রবা্তি,	শ্রাবস্তী,	
chirota,	চিরোতা,	চিরতা,	
jonmato,	জন্মত,	জন্মাত,	
oncolsoho,	অন্চলসহ,	অঞ্চলসহ,	
choudhooreeo,	চৌধুরি,	চৌধুরীও,	
ekatto,	একত্য,	একাত্ব,	
homasha,	হোসা,	হোমস,	
source,	সার্স,	সোর্স,	
crescenter,	ক্রেস্কেন্টের,	ক্রিসেন্টের,	
nir,	নির,	নির,	
michilti,	মিচিলি,	মিছিলটি,	
aashirbad,	আশির্বাদ,	আশির্বাদ,	
shucre,	সুক্রে,	সাকার,	
phiksha,	ফিক্স,	ফিক্স,	
porissrom,	পরিস্রম,	পরিশ্রম,	
emiratas,	এমেরাটাস,	এমিরেটাস,	
catholic,	কাটলিক,	ক্যাথলিক,	
chalachchitrer,	চলচচিত্রের,	চলচ্চিত্রের,	
geeja,	গিজ,	গেজ,	
hitoishi,	হিটাশি,	হিতৈষী,	
jatinke,	যাতিকে,	যতীনকে,	
shakara,	শকরা,	সকার,	
dancan,	ডান্ান,	ডানকান,	
bondhutto,	বন্ধুত্ব,	বন্ধুত্ত্ব,	
samajikatar,	সমাজিকতার,	সামাজিকতার,	
grambasee,	গ্রাম্বাস,	গ্রামবাসী,	
alpo,	আল্প,	অল্প,	
toubaar,	তুবার,	তওবার,	
labanaktotar,	লবনাক্ততার,	লবণাক্ততার,	
noiteekvabe,	নাতিকভাবে,	নৈতিকভাবে,	
engrezer,	এংরেজের,	ইংরেজের,	
khalid,	খালিদ,	খালিদ,	
rajpurohit,	রাজপূরূতি,	রাজপুরোহিত,	
oncolei,	অঞ্চলেই,	অঞ্চলেই,	
barnis,	বার্নিস,	বার্নিশ,	
lala,	লালা,	লালা,	
antarvukta,	অন্তর্ভূক্ত,	অন্তর্ভুক্ত,	
ahalya,	আহল্য,	অহল্যা,	
definition,	ডেফিনিশন,	ডেফিনেশন,	
anyorup,	অন্যরূপ,	অন্যরূপ,	
deilee,	দেইলি,	ডেইলি,	
stonehenge,	স্টনেেজ্গে,	স্টোনহেঞ্জ,	
parka,	পার্ক,	পার্ক,	
roi,	রো,	রায়,	
grantha,	গ্রন্থ,	গ্রন্থ,	
avijojan,	অভিযোজন,	অভিযোজন,	
shashtra,	শাস্ত্র,	শাস্ত্র,	
thailandsaho,	থাইল্যাডশ,	থাইল্যান্ডসহ,	
karmopantha,	কর্মপ্্থা,	কর্মপন্থা,	
shangsthatikey,	সংশ্থতিকে,	সংস্থাটিকে,	
temoni,	টেমনি,	তেমনই,	
udar,	উদার,	উদর,	
netherlandey,	নেফ্যালনেড,	নেদারল্যান্ডে,	
calabe,	কলবে,	চালাবে,	
hiranee,	হিরানি,	হিরানি,	
elakaati,	এলাকাটি,	এলাকাটি,	
billaho,	বিল্লাহ,	বিল্লাহ,	
purbancole,	পূর্বন্কলে,	পূর্বাঞ্চলে,	
dharavashyokar,	ধরবাস্মকার,	ধারাভাষ্যকার,	
adhyatmik,	অধ্যাত্মিক,	আধ্যাত্মিক,	
nirgoon,	নির্গুন,	নির্গুণ,	
manbey,	মানবে,	মানবে,	
atarkitey,	আতার্কিতে,	অতর্কিতে,	
pattern,	পাযাটের্ন,	প্যাটার্ন,	
carpete,	ক্রাপেট,	কার্পেটে,	
dalee,	দলি,	ডালে,	
informeson,	ইনফ্রমেশন,	ইনফরমেশন,	
bhramaner,	ভ্রামণের,	ভ্রমণের,	
cutie,	কিটি,	কিউটি,	
bhittow,	ভিত্,	ভিত্তিও,	
totokkhon,	ততক্ষণ,	ততক্ষন,	
prapoker,	প্রপপকের,	প্রাপকের,	
sorano,	সরানো,	সরানো,	
lesens,	লেসেন্স,	লাইসেন্স,	
nopdikey,	নপ্িকে,	নদীকে,	
starc,	স্টার্ক,	স্টার্ক,	
gripe,	গ্রিপে,	গ্রিপ,	
oporishodhito,	অপরিসধিত,	অপরিশোধিত,	
farider,	ফরিদের,	ফরিদের,	
teereesa,	টেরিস,	টেরেসা,	
abahan,	অবাহন,	আবাহন,	
nagarikata,	নগরীকত,	নাগরিকতা,	
mandondo,	মন্দন্ড,	মানদণ্ড,	
gazipore,	গজীপুরে,	গাজিপুর,	
byabaharkareei,	ব্যবহারকারী,	ব্যবহারকারীই,	
chalachchitrogulor,	চল্যাত্তিগগুলোর,	চলচ্চিত্রগুলোর,	
udbodhoner,	উদ্বধনের,	উদ্বোধনের,	
maail,	মাইল,	মাইল,	
torabgonj,	তরাবগঞ্জ,	তোরাবগঞ্জ,	
fokshkon,	ফক্ষণ,	ফক্সকন,	
abhidhaaneeck,	অভিধানিক্স,	অভিধানিক,	
protijogiider,	প্রতিযোগিদের,	প্রতিযোগীদের,	
pramathesh,	প্রাহেেস,	প্রমথেশ,	
teemothee,	তেমোথি,	টিমোথি,	
residance,	রেসিদ্যান,	রেসিডেন্স,	
aholya,	আলোযা,	অহল্যা,	
torabganj,	তরাবঞ্জ,	তোরাবগঞ্জ,	
amoor,	আমুর,	আমর,	
bhyaatikaner,	ভ্যাটিকানের,	ভ্যাটিকানের,	
opadan,	অপাদন,	অপাদান,	
jonosanjog,	জনসাঞ্গ,	জনসংযোগ,	
joones,	জোনেস,	জোন্স,	
shcore,	স্করে,	স্কোর,	
ganaparibahaner,	গণপরীবহনের,	গণপরিবহনের,	
udbodhoni,	উদ্বধনী,	উদ্বোধনী,	
aalaa,	আলা,	আলা,	
bee,	বি,	বি,	
shotodha,	শতধা,	শতধা,	
shotokey,	শতকে,	শতকে,	
cetholic,	চেটলিক,	ক্যাথলিক,	
abhidhaneec,	অভিধানিক,	অভিধানিক,	
militarite,	মিলিরাটিতে,	মিলিটারিতে,	
jibjontu,	জীবন্যু,	জীবজন্তু,	
chedropothe,	চেদ্রোফে,	ছিদ্রপথে,	
anektayi,	অনেক্টাই,	অনেকটাই,	
chatoke,	ছটকে,	ছাতকে,	
foksher,	ফক্ষের,	ফক্সের,	
elakatay,	এলাকাতে,	এলাকাতে,	
bimaataa,	বিমাতা,	বিমাতা,	
skart,	স্কার্ট,	স্কার্ট,	
prozononkal,	প্রজননকাল,	প্রজননকাল,	
transformerer,	ট্রান্সফোর্রের,	ট্রান্সফরমারের,	
sheekarder,	শিকারদের,	শিকারদের,	
blacker,	ব্লেকার,	ব্ল্যাকের,	
dibeting,	ডিবেটিং,	ডিবেটিং,	
teestar,	টেস্টার,	তিস্তার,	
konroop,	কন্রুপ,	কোনরূপ,	
bypass,	বিপাস,	বাইপাস,	
shikshagato,	শিক্ষাগত,	শিক্ষাগত,	
darjiling,	ডার্জিলিং,	দার্জিলিং,	
meghnabodh,	মেজনাধ,	মেঘনাদবধ,	
vabanipur,	ভবনীপুর,	ভবানীপুর,	
elaakaao,	এলাকাও,	এলাকাও,	
methaner,	মাঠেনের,	মিথেনের,	
ruble,	রাবল,	রুবল,	
nabam,	নবম,	নবম,	
dasha,	দশ,	দোসা,	
kiibord,	কিবর্ড,	কীবোর্ড,	
sangkalaner,	সংকলনের,	সংকলনের,	
udbhabane,	উদ্ভাবনে,	উদ্ভাবনে,	
karmokarke,	কর্মকর্কে,	কর্মকারকে,	
tinbhager,	তিনভাগের,	তিনভাগের,	
satarkabhabey,	সতারকভাবে,	সতর্কভাবে,	
popke,	পপে,	পোপকে,	
parsher,	পার্সের,	পার্শ্বের,	
ghensha,	ঘ্যাশ,	ঘেঁষা,	
daankan,	ডানকান,	ডানকান,	
shilpojato,	শিল্পগত,	শিল্পজাত,	
bhenisha,	ভেনিস,	ভেনিস,	
morodeho,	মরোদেও,	মরদেহ,	
bheenama,	ভিনাম,	ভেনম,	
meeseenjar,	মেসিঞ্জার,	মেসেঞ্জার,	
shaamiijiir,	সামিজির,	স্বামীজীর,	
thakani,	ঠাকানি,	থাকেনি,	
laiseensim,	লাইসেন্সিং,	লাইসেন্সিং,	
beshirbhageyi,	বেশিরভাগেই,	বেশিরভাগেই,	
vabanir,	ভবনীর,	ভবানীর,	
kisti,	কিষ্টি,	কিস্তি,	
baasate,	বাসাতে,	বাসাতে,	
hooldim,	হোল্ডিং,	হোল্ডিং,	
okritakarjo,	অক্রীতার্ম,	অকৃতকার্য,	
dharabhashyokar,	ধররভাস্কার,	ধারাভাষ্যকার,	
modhyekar,	মধ্যকের,	মধ্যেকার,	
oshamonjosshoporno,	অসমান্যসম্র্ণ,	অসামঞ্জস্যপূর্ণ,	
kokein,	কোকেন,	কোকেইন,	
parswer,	পার্স্যের,	পার্শ্বের,	
manjushree,	ম্যাগিস্রী,	মঞ্জুশ্রী,	
granthe,	গ্রন্থে,	গ্রন্থে,	
plane,	প্লেন,	প্লেন,	
nirikho,	নিরিখ্য,	নিরিখ,	
basturoi,	বস্তুরে,	বস্তুরই,	
grambaseeder,	গ্রাম্যাসের,	গ্রামবাসীদের,	
nothivukteer,	নথিভূক্তির,	নথিভুক্তির,	
thaanobhi,	থানভী,	থানভী,	
seekkharthirao,	শিক্ষার্থীরা,	শিক্ষার্থীরাও,	
shikhra,	শিখ্রা,	শিখরা,	
jonser,	জনসের,	জোন্সের,	
debeting,	ডেবেটিং,	ডিবেটিং,	
rajtontrokey,	রাজ্ত্রকর্কে,	রাজতন্ত্রকে,	
kaalaam,	কালাম,	কালাম,	
amshtrong,	অ্যাস্ট্রোং,	আর্মস্ট্রং,	
alonkaran,	অলঙ্করণ,	অলঙ্করণ,	
beildaar,	বেলদার,	বিল্ডার,	
chirokoomari,	চিরকমারী,	চিরকুমারী,	
porijon,	পরিজন,	পরিজন,	
shikarder,	শিকররদের,	শিকারদের,	
food,	ফোড,	ফুড,	
yanqee,	জান্সি,	ইয়াংকি,	
torcarir,	টররারির,	তরকারীর,	
aaminaar,	আমিনার,	আমিনার,	
russad,	রুসদ,	রুশদ,	
moshjid,	মোভিদ,	মসজিদ,	
muhit,	মুহিত,	মুহিত,	
perri,	পেরি,	পেরি,	
germanyteo,	জার্মানিতে,	জার্মানিতেও,	
paste,	পাস্টে,	পেষ্ট,	
ghesei,	ঘেষেই,	ঘেঁষেই,	
dower,	দোের,	ডোভার,	
habshee,	হবসি,	হাবশী,	
kompekt,	কম্পেক্ট,	কমপ্যাক্ট,	
bisheshyer,	বিশেষ্যের,	বিশেষ্যের,	
shelinar,	সেলিনার,	সেলিনার,	
bbiswash,	বিশবাস,	বিশ্বাস,	
pounchute,	পৌঁচুতে,	পৌঁছুতে,	
choson,	চোষণ,	চোষণ,	
eqsapreshana,	এক্সপ্রেশন,	এক্সপ্রেশন,	
sedikei,	সেদিকেই,	সেদিকেই,	
oncholsomuher,	অন্চমসমুরে,	অঞ্চলসমূহের,	
pratisthanik,	প্রতিষ্ঠানিক,	প্রাতিষ্ঠানিক,	
ancholtitey,	অঞ্চলিতে,	অঞ্চলটিতে,	
amstrong,	অ্যাম্ট্রাং,	আর্মস্ট্রং,	
sharthe,	সররেথ,	স্বার্থে,	
barder,	বার্ডের,	বার্ডের,	
deembakriti,	ডিম্বাকৃতি,	ডিম্বাকৃতি,	
shoochonakal,	শুচনাকাল,	সূচনাকাল,	
bhange,	ভঙ্গে,	ভাঙ্গে,	
abasane,	অবাসনে,	অবসানে,	
mukhomondoler,	মুখমন্ডলের,	মুখমণ্ডলের,	
samoshtigato,	সমস্তিগত,	সমষ্টিগত,	
utkhat,	উৎকাত,	উত্খাত,	
dai,	দাই,	দিই,	
aashtikotaa,	আস্টিকতা,	আস্তিকতা,	
antarbhukta,	অন্তর্ভূক্ত,	অন্তর্ভুক্ত,	
munsi,	মুন্সি,	মুন্সী,	
kurdider,	কুর্দিদের,	কুর্দিদের,	
aaireshe,	আইরেশে,	আইরেসে,	
jolaatonko,	জলাটনক,	জলাতঙ্ক,	
ranangoney,	রানাঙ্গে,	রণাঙ্গনে,	
shatoker,	শতকের,	শতকের,	
bosontey,	বসন্তে,	বসন্তে,	
amstrang,	আম্টার্ন,	আর্মস্ট্রং,	
chhatogolper,	ছোটগল্পের,	ছোটগল্পের,	
kathhmandute,	কাযানপান্তী,	কাঠমান্ডুতে,	
ayantarkatika,	অ্যান্ট্রকাকিক,	অ্যান্টার্কটিকা,	
hipar,	হিপার,	হাইপার,	
bifal,	বিফল,	বিফল,	
daayitto,	দৈত্য,	দায়িত্ব,	
artilery,	আর্টিলির,	আর্টিলারি,	
himi,	হিমি,	হিমি,	
antarctikar,	অন্তর্কিত্কে,	অ্যান্টার্কটিকার,	
lajek,	লজজক,	লজিক,	
rohasyati,	রাহাস্যটি,	রহস্যটি,	
footballerer,	ফুটবললারের,	ফুটবলারের,	
thaii,	থাই,	থাই,	
rephlex,	রেফ্লেক্স,	রিফ্লেক্স,	
pratyokkhobhabe,	প্রত্যক্ষভাবে,	প্রত্যক্ষভাবে,	
rob,	রব,	রব,	
dharavahikbhabey,	ধররাভিক্ভাবে,	ধারাবাহিকভাবে,	
eshiyetika,	এসিটিকিক,	এশিয়াটিক,	
soource,	সূর্স,	সোর্স,	
sattweo,	সত্ত্বেও,	সত্ত্বেও,	
arashie,	আরসি,	আরসিএ,	
oncholshomuh,	অঞ্চমসমূহ,	অঞ্চলসমূহ,	
naajee,	নাজী,	নাত্সি,	
mitroder,	মিত্রদের,	মিত্রদের,	
harbore,	হারবের,	হারবারে,	
machgulo,	মাচগুলো,	মাছগুলো,	
awnurbor,	অনুর্বর,	অনুর্বর,	
milekhanek,	মিলেকানকে,	মাইলখানেক,	
kathhmandu,	কাঠ্যাদ্,	কাঠমান্ডু,	
alaoler,	আলললের,	আলাওলের,	
grambaashee,	গ্রাম্বাসী,	গ্রামবাসী,	
agamane,	আগমনে,	আগমনে,	
prostototo,	প্রস্ততত,	প্রস্ত্তত,	
oshamorik,	অসামরিক,	অসামরিক,	
riphleksha,	রিফ্লেক্স,	রিফ্লেক্স,	
dokan,	ডোকান,	দোকান,	
rajnaitik,	রাজনাতিক,	রাজনৈতীক,	
rajatwa,	রাজত্ব,	রাজত্ব,	
markeeting,	মার্কিটিং,	মার্কেটিং,	
baagicar,	বাগিকার,	বাগিচার,	
redcrosser,	রেড্্রসের,	রেডক্রসের,	
abarta,	আবর্ত,	আবর্ত,	
nogonyo,	নোন্য,	নগণ্য,	
chintai,	চিনতাই,	ছিনতাই,	
vromoner,	ভ্রমণের,	ভ্রমণের,	
boopon,	বুপন,	বপন,	
kolkarkhana,	কলকরক্ণা,	কলকারখানা,	
sabrakomer,	সবর্কমের,	সবরকমের,	
venom,	ভেনম,	ভেনম,	
routine,	রৌটিন,	রুটিন,	
jerakam,	জেরাকম,	যেরকম,	
obhijojon,	অভিযোজন,	অভিযোজন,	
elakatite,	এলাকাটিতে,	এলাকাটিকে,	
asovyo,	অসভ্য,	অসভ্য,	
laisens,	লাইসেন্স,	লাইসেন্স,	
sangasthagulo,	সংস্থাগুলো,	সংস্থাগুলো,	
mosleh,	মসলে,	মোসলেহ,	
