pulse,	পালসে,	পালস,	
mittrota,	মিত্রতা,	মিত্রতা,	
hartz,	হার্ট,	হার্জ,	
prastut,	প্রস্তুত,	প্রস্ত্তত,	
volte,	ভলতে,	ভল্ট,	
obharabhiu,	অভারভূ,	ওভারভিউ,	
juktorashtrer,	যুক্তরাস্ট্রের,	যুক্তরাষ্ট্রের,	
ooporostho,	অপরস্থ,	উপরস্থ,	
habu,	হাবু,	হবু,	
vagno,	ভাগন,	ভগ্ন,	
gananatya,	গণনত্য,	গণনাট্য,	
chowdhuryke,	চৌধুরিকে,	চৌধুরীকে,	
bondhukey,	বন্ধুকে,	বন্ধুকে,	
marekting,	ম্যারেক্টিং,	মার্কেটিং,	
srimati,	শ্রীমতী,	শ্রীমতি,	
sooresh,	সুরেশ,	সুরেশ,	
deyl,	ডিল,	ডেইল,	
graambaasider,	গ্রাব্াসীদের,	গ্রামবাসীদের,	
ispredseet,	ইস্পেরেট,	স্প্রেডশীট,	
fox,	ফক্স,	ফক্স,	
khijir,	খিজির,	খিজির,	
sahozlabhbhatar,	সহজ্লভাতার,	সহজলভ্যতার,	
grambaashi,	গ্রাম্বাসী,	গ্রামবাসী,	
baarakpur,	বারাকপুর,	বারাকপুর,	
ghamtaa,	ঘমতা,	ঘোমটা,	
oholya,	ওহল্য,	অহল্যা,	
markeeting,	মার্কেটিং,	মার্কেটিং,	
chalachchitreo,	চলচিত্রেও,	চলচ্চিত্রেও,	
durgotir,	দুর্গতির,	দুর্গটির,	
melborner,	মেলবর্নের,	মেলবোর্নের,	
markete,	মার্কিটে,	মার্কেটে,	
modele,	মোদেলে,	মডেলে,	
besorkarikoron,	বেসরকারিকরণ,	বেসরকারিকরণ,	
valobasen,	ভালবাসেন,	ভালোবাসেন,	
sweety,	স্বীতি,	সুইটি,	
biswashi,	বিশ্বাসী,	বিশ্বাসী,	
prokalpagulo,	প্রকালপুলো,	প্রকল্পগুলো,	
thraugh,	থ্রাউগ,	থ্রু,	
ghesha,	ঘেস,	ঘেঁষা,	
dhormee,	ধর্মী,	ধর্মী,	
sangasthatike,	সংস্থাটিকে,	সংস্থাটিকে,	
phaltu,	ফল্টু,	ফালতু,	
dipon,	দীপন,	দীপন,	
nisad,	নিশাদ,	নিষাদ,	
mosjidkey,	মসজিকদে,	মসজিদকে,	
chomoski,	চমস্কী,	চমস্কি,	
gronthatike,	গ্রন্থাটিকে,	গ্রন্থটিকে,	
protizogiir,	প্রতিযোগীর,	প্রতিযোগীতার,	
masjidtir,	মসজিদদির,	মসজিদটির,	
anodhikar,	অনধিকার,	অনধিকার,	
shorifer,	শরীফের,	শরিফের,	
joneetey,	যোনিতে,	যোনীতে,	
gronthotike,	গ্রন্থটিকে,	গ্রন্থটিকে,	
taitela,	টাইটেল,	টাইটেল,	
biphal,	বীফল,	বিফল,	
vorkendra,	ওয়ার্ক্ন্ড,	ভরকেন্দ্র,	
mandope,	মণ্ডপে,	মন্ডপে,	
saazanor,	সাজানোর,	সাজানোর,	
lambatey,	লম্বাতে,	লম্বাটে,	
sone,	সোন,	সনে,	
aabarto,	আবর্ত,	আবর্ত,	
protishta,	প্রতিষ্টা,	প্রতিষ্টা,	
rata,	রাটা,	রত,	
surakarder,	সুরকারদের,	সুরকারদের,	
khali,	খালি,	খালি,	
kkompito,	কম্পিত,	কম্পিত,	
cs,	এসএস,	সিএস,	
pratool,	প্রতুল,	প্রতুল,	
ajuhat,	অজুহাত,	অজুহাত,	
patochitra,	পতচিত্র,	পটচিত্র,	
benj,	বেন্জ,	বেঞ্জ,	
bhejaano,	ভেজানো,	ভেজানো,	
prodiper,	প্রদিপের,	প্রদীপের,	
shabnam,	সব্ান,	শবনম,	
gaj,	গজ,	গেজ,	
bongsho,	বংশ,	বংশ,	
laagto,	লাগত,	লাগতো,	
damonmulok,	দামন্ুলোক,	দমনমূলক,	
foks,	ফক্স,	ফক্স,	
jokrit,	যকৃত,	যকৃৎ,	
gujob,	গুজব,	গুজব,	
dharabhashyakar,	ধারাভ্যকার,	ধারাভাষ্যকার,	
mat,	মা,	ম্যাট,	
ancholsomuher,	অঞ্চলসমূহের,	অঞ্চলসমূহের,	
gemser,	গেমসের,	জেমসের,	
graambaseeder,	গ্রাব্সামীদের,	গ্রামবাসীদের,	
upostheetir,	উপস্থিতির,	উপস্থিতির,	
kings,	কিংস,	কিংস,	
koommatei,	কমমেতেই,	কমাতেই,	
nottee,	নটটি,	নোটটি,	
sthapona,	স্থাপনা,	স্থাপনা,	
bii,	বি,	বি,	
tanteera,	তানটিরা,	তাঁতিরা,	
hooq,	হোক,	হুক,	
baikalyo,	বাইকাল্য,	বৈকল্য,	
mahajote,	মহাজতে,	মহাজোট,	
mitre,	মিত্রে,	মিত্র,	
podarthobidder,	পদার্থবিদের,	পদার্থবিদদের,	
stationey,	স্টেশনে,	ষ্টেশনে,	
morathee,	মরাঠী,	মরাঠি,	
ateetkaale,	অতীতকালে,	অতীতকালে,	
boner,	বোনের,	বনের,	
dembakreeti,	ডেম্বকৃতি,	ডিম্বাকৃতি,	
prasadhaner,	প্রসাধনের,	প্রসাধনের,	
kompekt,	কমপেক্ট,	কমপ্যাক্ট,	
dipgulo,	দিপগুলো,	দ্বীপগুলো,	
eekbalke,	একবলকে,	ইকবালকে,	
dover,	ডভের,	ডোভার,	
meghnabodh,	মেঘনাবধ,	মেঘনাদবধ,	
nirgomon,	নির্গমন,	নির্গমন,	
gronthoty,	গ্রন্থটি,	গ্রন্থটি,	
pretii,	প্রেতি,	প্রিটি,	
sobche,	সবচে,	সবচে,	
kolkarkhana,	কললাখরণা,	কলকারখানা,	
nirbaho,	নির্বাহ,	নির্বাহ,	
purbancoler,	পূর্বাঙ্চলের,	পূর্বাঞ্চলের,	
tonight,	টোনাইট,	টুনাইট,	
deqe,	ডিকে,	ডেকে,	
swajan,	স্বজন,	স্বজন,	
dovaar,	ডভার,	ডোভার,	
bhezano,	ভেজানো,	ভেজানো,	
sqirt,	সাক্রিট,	স্কার্ট,	
okkhorke,	অক্ষরকে,	অক্ষরকে,	
gajiipur,	গাজীপুর,	গাজীপুর,	
behramporer,	বেহারপমুরের,	বহরমপুরের,	
manzurul,	মঞ্জুরুল,	মনজুরুল,	
harbor,	হারবার,	হারবার,	
nirbaahi,	নির্বাহী,	নির্বাহি,	
bishhnu,	বিষ্ণু,	বিষ্ণু,	
patishapta,	পতিসপ্ত,	পাটিসাপটা,	
guzon,	গুজন,	গুজব,	
dijeejer,	দিজিজের,	ডিজিজের,	
dholeshori,	ধলেশশরী,	ধলেশ্বরী,	
protimar,	প্রতিমার,	প্রতিমার,	
noditir,	নদীতীর,	নদীটির,	
anchalsaho,	অঞ্চলসহ,	অঞ্চলসহ,	
suparichiti,	সুপরিচিতি,	সুপরিচিতি,	
dule,	ডুল,	ডালে,	
pyatarne,	প্যাটার্নে,	প্যাটার্নে,	
pretty,	প্রেতি,	প্রিটি,	
evaner,	ইভানের,	ইভানের,	
sphincter,	স্ফিন্সের,	স্ফিংটার,	
zoneete,	যোনিতে,	যোনীতে,	
bhadaqa,	ভাদাকা,	ভদকা,	
ghetu,	ঘটু,	ঘেটু,	
paade,	পাদে,	পাড়ে,	
hizri,	হিজরি,	হিজরী,	
neelfamarir,	নেলফামারীর,	নীলফামারীর,	
kota,	কোট,	কোটা,	
bongram,	বংগ্রাম,	বনগ্রাম,	
chutochuti,	চুটছুটি,	ছুটোছুটি,	
noteti,	নোটটি,	নোটটি,	
sobrakamer,	সব্রকামের,	সবরকমের,	
ganosachetanata,	গণসাচাতনত,	গণসচেতনতা,	
balaruma,	বলরুমা,	বলরুম,	
asiatic,	আসিটিক,	এশিয়াটিক,	
barnish,	বার্নিস,	বার্নিশ,	
bites,	বিটেশ,	বাইটস,	
pravritike,	প্রভৃতিকে,	প্রভৃতিকে,	
bahubar,	বহুবার,	বহুবার,	
konroop,	কনপুর,	কোনরূপ,	
falokti,	ফলকটি,	ফলকটি,	
orbit,	অর্বিত,	অরবিট,	
protjogiita,	প্রতযোগিতা,	প্রতিযোগীতা,	
soommo,	সুম্ম,	সুমো,	
inapharameeshana,	ইনফরমেশন,	ইনফরমেশন,	
naazii,	নাজী,	নাত্সি,	
blacq,	ব্লক,	ব্ল্যাক,	
ceramiks,	কেরামিক্স,	সিরামিকস,	
abarto,	আবর্ত,	আবর্ত,	
bhenna,	ভেননা,	ভেন্না,	
licenser,	লিইসেন্সের,	লাইসেন্সের,	
antarvukto,	অন্তর্ভূক্ত,	অন্তর্ভুক্ত,	
shamooker,	শামুকের,	শামুকের,	
shrishree,	শ্রীশর,	শ্রীশ্রী,	
daaun,	ডাউন,	ডাউন,	
madhumati,	মধুমতি,	মধুমতী,	
rajpurohit,	রাজপররুহিত,	রাজপুরোহিত,	
prothake,	প্রথাকে,	প্রথাকে,	
elakasoho,	এলাকাসহ,	এলাকাসহ,	
deambakriti,	ডিম্বকৃতি,	ডিম্বাকৃতি,	
byaboharkarike,	ব্যবহারকারিকে,	ব্যবহারকারীকে,	
dholeshwari,	ধলেশশ্বরী,	ধলেশ্বরী,	
drishyogulo,	দৃশ্যগুলো,	দৃশ্যগুলো,	
sossar,	সসার,	সকার,	
eebhiem,	এভিম,	ইভিএম,	
tarunke,	তাুণকে,	তরুণকে,	
taanteera,	তানটিরা,	তাঁতিরা,	
valobasey,	ভালবাসে,	ভালোবাসে,	
dower,	ডওয়ার,	ডোভার,	
eparjanta,	এপার্জন্ত,	এপর্যন্ত,	
raia,	রয়,	রায়,	
rohasyor,	রহস্যর,	রহস্যর,	
baireyo,	বৈরেও,	বাইরেও,	
shansthati,	সংস্থাটি,	সংস্থাটি,	
ujobekeestan,	উজবেকসি্তান,	উজবেকিস্তান,	
hepetaitisa,	হেপাটাইটিস,	হেপাটাইটিস,	
definisian,	ডেফিনিশন,	ডেফিনেশন,	
niranjan,	নিরঞ্জন,	নিরঞ্জন,	
bonnopraan,	বন্যপ্রাণ,	বন্যপ্রাণ,	
elakayi,	এলাকাই,	এলাকাই,	
potochitrer,	পতচিত্রের,	পটচিত্রের,	
bikargrosto,	বিকারগ্রস্ত,	বিকারগ্রস্ত,	
elakatikay,	এলাকাটিকে,	এলাকাটিকে,	
gambasi,	গাম্বাসী,	গ্রামবাসী,	
masjidsaho,	মাজজিদসহ,	মসজিদসহ,	
steena,	স্টেন,	স্টেন,	
sukna,	শুকনা,	শুকনা,	
sulfatee,	সালফাটি,	সালফেট,	
jakso,	যক্ষ,	যক্ষ,	
prochondo,	প্রচন্ড,	প্রচণ্ড,	
abhijojan,	অভিযোজন,	অভিযোজন,	
voter,	ভোটের,	ভোটার,	
grameri,	গ্রামারি,	গ্রামেরই,	
poshchater,	পশ্চাতের,	পশ্চাতের,	
hatochokito,	হতচচিক,	হতচকিত,	
habsi,	হাবসি,	হাবশী,	
swarthe,	স্বর্থে,	স্বার্থে,	
swosti,	স্বস্তি,	স্বস্তি,	
pachhen,	পাছেন,	পাচ্ছেন,	
somsher,	সমশের,	সমশের,	
krush,	ক্রুশ,	ক্রুশ,	
elakatike,	এলাকাটিকে,	এলাকাটিকে,	
lajika,	লাজিক,	লজিক,	
shikhbe,	শিখবে,	শিখবে,	
chamoski,	চামসকি,	চমস্কি,	
nagorikkey,	নাগরিকে,	নাগরিককে,	
bildara,	বিল্ডার,	বিল্ডার,	
shivraj,	শিবরাজ,	শিবরাজ,	
starker,	স্টার্কের,	স্টার্কের,	
leetteer,	লেট্টার,	লেটার,	
bikargrasto,	বিকারগ্রস্ত,	বিকারগ্রস্ত,	
nodnadir,	নদনাদির,	নদনদীর,	
fase,	ফেস,	ফাঁসে,	
torabgunj,	তোবারগঞ্জ,	তোরাবগঞ্জ,	
institutioner,	ইন্সটিটিউশনের,	ইনস্টিটিউশনের,	
sahosikotar,	সহসিকতার,	সাহসিকতার,	
vabook,	ভাবুক,	ভাবুক,	
seatey,	সিটে,	সিটে,	
gaddafi,	জাদ্াফি,	গাদ্দাফী,	
udbodhani,	উদ্ধবানি,	উদ্বোধনী,	
prottokkhovabe,	প্রত্যক্ষভাবে,	প্রত্যক্ষভাবে,	
license,	লিইসেন্স,	লাইসেন্স,	
dai,	দাই,	ডে,	
shrabosty,	শ্রাবস্তি,	শ্রাবস্তী,	
nirapattamulok,	নিরাপততমূূলক,	নিরাপত্তামূলক,	
udvaboney,	উদ্ভবনে,	উদ্ভাবনে,	
monjooshree,	মঞ্যসূরী,	মঞ্জুশ্রী,	
gatirodh,	গতিরোধ,	গতিরোধ,	
victor,	ভিক্টর,	ভিক্টর,	
khur,	খুর,	ক্ষুর,	
abhisongson,	অভিশংসন,	অভিশংসন,	
bim,	বিম,	বীম,	
chhed,	ছেদ,	ছেদ,	
bhromonkale,	ভ্রমণকালে,	ভ্রমণকালে,	
chirakumari,	চিরকুমিরী,	চিরকুমারী,	
madhyekar,	মধ্যকার,	মধ্যেকার,	
sorsa,	সর্ষা,	সোর্স,	
oporishodhito,	অপরিসধিত,	অপরিশোধিত,	
siddhantey,	সিদ্ধান্তে,	সিদ্ধান্তে,	
munsi,	মুনশী,	মুন্সি,	
alaoul,	আলাওল,	আলাওল,	
jolorong,	জলরং,	জলরঙ,	
chess,	চেজ,	চেস,	
kemoney,	কেমনে,	কেমনে,	
sqora,	স্কার,	স্কোর,	
ddheela,	ঢেলা,	ঢিলা,	
mithener,	মিথেনের,	মিথেনের,	
karlosh,	কারলাস,	কার্লোস,	
messenjer,	মেসাঙ্গের,	মেসেঞ্জার,	
komaatei,	কমাতেই,	কমাতেই,	
ispredsit,	ইস্পেরিট,	স্প্রেডশীট,	
bhabaponno,	ভাবাপন্ন,	ভাবাপন্ন,	
khoja,	খোজ,	খোজা,	
sidharther,	শিধার্থের,	সিদ্ধার্থের,	
kins,	কিন্স,	কিংস,	
protijogira,	প্রতিযোগিরা,	প্রতিযোগীরা,	
sadbi,	সদবি,	সাধ্বী,	
tirmijii,	তিরমিযী,	তিরমিজি,	
karater,	করাতের,	কারাতের,	
phoolkopi,	ফুলকাপী,	ফুলকপি,	
sharoker,	সারকের,	স্মারকের,	
nabhela,	নাভেল,	নভেল,	
iceberg,	ইসাইবর্গ,	আইসবার্গ,	
skara,	স্কার,	স্কোর,	
gotibegey,	গতিবেগে,	গতিবেগে,	
manshe,	মানসে,	মানুষে,	
patjato,	পাযাতজত,	পাটজাত,	
biru,	বিরু,	বীরু,	
bhabatarini,	ভবাতরীণী,	ভবতারিণী,	
pratijogira,	প্রতিযোগিরা,	প্রতিযোগীরা,	
rupart,	রূপার্ট,	রুপার্ট,	
thyachara,	থ্যাচার,	থ্যাচার,	
woter,	ওয়াটার,	ভোটার,	
chopal,	চপাল,	চপল,	
anchalgulir,	অঞ্চলগুলির,	অঞ্চলগুলির,	
chidropothe,	চিদ্রপথে,	ছিদ্রপথে,	
ganjana,	গাঞজান,	গঞ্জনা,	
tale,	টালে,	তালে,	
asovarno,	অসবর্ন,	অসবর্ণ,	
niropekkhotaar,	নিরপকক্ষতার,	নিরপেক্ষতার,	
gabeshona,	গবেষণা,	গবেষনা,	
mukhomondole,	মুখমন্ডলে,	মুখমণ্ডলে,	
varshon,	ভার্সন,	ভারশন,	
forma,	ফরমা,	ফর্মা,	
qrita,	ক্রিট,	ক্রীট,	
jerushalema,	জেরুসলেম,	জেরুসালেম,	
faser,	ফাঁসের,	ফাঁসের,	
sakshatkarer,	সাক্ষাতকারের,	সাক্ষাত্কারের,	
inashtyanta,	ইনস্ট্যান্ট,	ইনস্ট্যান্ট,	
marufer,	মরুফের,	মারুফের,	
durbhagya,	দুর্ভাগ্য,	দূর্ভাগ্য,	
asociatees,	অসোসিয়েট,	এসোসিয়েটস,	
rokshonbhag,	রক্ষণভাগ,	রক্ষণভাগ,	
kaantojir,	কান্তজীর,	কান্তজির,	
songostha,	সংগ্যস্থ,	সংস্থা,	
melborne,	মেলবর্নে,	মেলবোর্নে,	
majhari,	মাঝারি,	মাঝারী,	
koreemke,	করিমকে,	করিমকে,	
ganokantho,	গণকণ্ঠ,	গণকণ্ঠ,	
durgotsav,	দুর্ততশভ,	দুর্গোৎসব,	
oswastikor,	অস্বস্তিকর,	অস্বস্তিকর,	
gandhio,	গান্ধীও,	গান্ধীও,	
aachhis,	আচিস,	আছিস,	
orthanitir,	অর্থনীতির,	অর্থনীতির,	
hoomes,	হোমস,	হোমস,	
muhmmoder,	মুহম্মদের,	মুহম্মদের,	
ukeliptash,	উকেলিপ্যট,	ইউক্যালিপ্টাস,	
jess,	জেস,	জেস,	
sahazlabhbhatar,	সহজ্লভাতবার,	সহজলভ্যতার,	
horeedwar,	হরিদ্বার,	হরিদ্বার,	
varson,	ভার্সন,	ভারশন,	
iksaprishana,	এক্সপ্রেশন,	এক্সপ্রেশন,	
ajibooner,	আজীবনের,	আজীবনের,	
pack,	প্যাক,	প্ল্যাক,	
attorkite,	আত্তরকিতে,	অতর্কিতে,	
rilayensha,	রিলেয়েন্স,	রিলায়েন্স,	
qloud,	ক্লাউ,	ক্লাউড,	
bouddher,	বদ্ধের,	বৌদ্ধের,	
dinifition,	ডিনিফিশন,	ডেফিনেশন,	
shcholastik,	স্কলাস্টিক,	স্কলাস্টিক,	
dwipke,	দ্বীপকে,	দ্বীপকে,	
dijijer,	দিজিজের,	ডিজিজের,	
fix,	ফিক্স,	ফিক্স,	
kathmandute,	কঠনম্পুতে,	কাঠমান্ডুতে,	
koushalgato,	কৌশলগত,	কৌশলগত,	
gronthati,	গ্রন্থটি,	গ্রন্থটি,	
farid,	ফরিদ,	ফরিদ,	
meghachchanno,	মেঘাচ্ছন্য,	মেঘাচ্ছন্ন,	
jalarong,	জালারং,	জলরঙ,	
fala,	ফলা,	পোলো,	
kredita,	ক্রেডিত,	ক্রেডিট,	
schedule,	শেডুলে,	শিডিউল,	
ovarview,	ওভার্ভিয়,	ওভারভিউ,	
bhotarer,	ভোতরের,	ভোটারের,	
jarusalem,	জরুসমেল,	জেরুসালেম,	
nachiketa,	নাচিকেতা,	নচিকেতা,	
hepataitisha,	হেপাটাইট,	হেপাটাইটিস,	
shikkhao,	শিক্ষাও,	শিক্ষাও,	
footbalarer,	ফুটবলারের,	ফুটবলারের,	
jonser,	জনসের,	জোন্সের,	
ajouno,	অযৌন,	অযৌন,	
bhandar,	ভণ্ডার,	ভাণ্ডার,	
saccar,	সকচ্কার,	সকার,	
dupleks,	ডাপ্লেক্স,	ডুপ্লে,	
idipas,	এদিপাস,	ইডিপাস,	
naren,	নরেন,	নরেন,	
ileeing,	ইলিং,	ইলিং,	
aembed,	আম্বেদ,	এম্বেড,	
samanwitavabe,	সমানিতভাবে,	সমন্বিতভাবে,	
pingnaa,	পিংহা,	পিংনা,	
neptuner,	নেপটুনের,	নেপচুনের,	
duplee,	ডাপ্লে,	ডুপ্লে,	
ghoomachhe,	ঘোমাছে,	ঘুমাচ্ছে,	
shorting,	শর্টিং,	সর্টিং,	
dhanchey,	ধাঁচে,	ধাঁচে,	
eucalyptush,	ইউক্যালিপটাস,	ইউক্যালিপ্টাস,	
mumtaz,	মমতাজ,	মুমতাজ,	
monohor,	মনোহর,	মনোহর,	
krita,	কৃত,	ক্রীট,	
udbodhoni,	উদ্ধবোনী,	উদ্বোধনী,	
debdebier,	দেবদেবীর,	দেবদেবীর,	
proteemar,	প্রতিমার,	প্রতিমার,	
chaudhurio,	চৌধুরিও,	চৌধুরীও,	
saarbhare,	সার্ভারে,	সার্ভারে,	
shaahocharje,	শহহচর্যে,	সাহচর্যে,	
temas,	টামাস,	টাইমস্,	
balakarak,	বলকারক,	বলকারক,	
abhidhaaneek,	আভিধানিক,	অভিধানিক,	
alsaara,	আলসারা,	আলসার,	
konaan,	কোনান,	কোনান,	
charrjer,	চার্জের,	চার্জের,	
laaisheesh,	লাইসিস,	লাইসেন্স,	
zillul,	জিল্লুল,	জিল্লুল,	
ongkita,	অংকিত,	অঙ্কিতা,	
antorvukta,	অন্তর্ভূক্ত,	অন্তর্ভুক্ত,	
dhaanche,	ধাঁচে,	ধাঁচে,	
township,	টুনশিপ,	টাউনশিপ,	
chheelonaa,	ছেলনা,	ছিলনা,	
dhouto,	ধৌত,	ধৌত,	
radhanagar,	রাধনাগার,	রাধানগর,	
sofyr,	সফির,	সোফির,	
mekon,	মেকন,	মেকং,	
meyiler,	মেইলের,	মেইলের,	
veenish,	ভীনিস,	ভেনিস,	
stoonahenja,	স্টানাহেঞ্জ,	স্টোনহেঞ্জ,	
kalengga,	কলেঙ্গ,	কালেঙ্গা,	
bifal,	বিফল,	বিফল,	
refleks,	রাইফ্লেক্স,	রিফ্লেক্স,	
azimkey,	আজিমকে,	আজিমকে,	
manonitoder,	মনোনিতদের,	মনোনীতদের,	
sudha,	সুধ্ধ,	সুধা,	
gore,	গরে,	গোর,	
paaree,	পারি,	পাড়ে,	
parishram,	পরিশ্রম,	পরিশ্রম,	
avatara,	অভাতর,	অবতার,	
chorchita,	চর্চিত,	চর্চিত,	
ancholsaho,	অঞ্চলসহ,	অঞ্চলসহ,	
sukumari,	সুকুমারী,	সুকুমারী,	
maunchostho,	মঞ্চস্থ,	মঞ্চস্থ,	
ul,	উল,	উল,	
choshon,	চোষণ,	চোষণ,	
boikolyo,	বইকল্য,	বৈকল্য,	
sommoteete,	সম্মটিতে,	সম্মতিতে,	
akreetokarjo,	আকৃতকার্য,	অকৃতকার্য,	
shikshakrom,	শিক্ষাক্রম,	শিক্ষাক্রম,	
shucharita,	সুচারিত,	সুচরিতা,	
songrahok,	সংগ্রাহক,	সংগ্রাহক,	
lambate,	লম্বাতে,	লম্বাটে,	
gaphiloti,	গাফিলতি,	গাফিলতি,	
sajanor,	সাজানোর,	সাজানোর,	
amarika,	আমরিকা,	আমেরিকা,	
gobeshokgon,	গবেষকগণ,	গবেষকগণ,	
meloonborrone,	মেলনোরবণে,	মেলবোর্নে,	
conserwation,	কনসারেশন,	কনসারভেশন,	
dormetori,	ডরমেটরি,	ডরমিটরি,	
pratistha,	প্রতিষ্ঠা,	প্রতিষ্টা,	
bisshas,	বিশ্বাস,	বিশ্বাস,	
phokshkon,	ফক্ষকণ,	ফক্সকন,	
sipa,	শিপ,	শিপ,	
karuna,	করুনা,	করুণা,	
janagananar,	জনগণনার,	জনগণনার,	
lettere,	লাযাটেরার,	লেটারে,	
mahasabha,	মহাসভা,	মহাসভা,	
prachandota,	প্রচন্ডতা,	প্রচণ্ডতা,	
thelyanda,	টেল্যান্ড,	থাইল্যান্ড,	
koordira,	কুর্দিরা,	কুর্দিরা,	
roi,	রও,	রায়,	
durgoto,	দুর্গত,	দূর্গত,	
dhhaalur,	ঢালুর,	ঢালুর,	
otyachari,	অত্যাচারী,	অত্যাচারী,	
komtee,	কমতি,	কমতি,	
melbourney,	মেলবর্নে,	মেলবোর্নে,	
zilyanda,	জিল্যান্ড,	জিল্যান্ড,	
batikromshalee,	বাতিক্রমশালী,	ব্যতিক্রমধর্মী,	
oncholshomuher,	অঞ্চলসমূহের,	অঞ্চলসমূহের,	
wool,	উুল,	উল,	
scoree,	স্করি,	স্কোরে,	
sahopathike,	সহপাঠিকে,	সহপাঠীকে,	
jeelyand,	জিল্যান্ড,	জিল্যান্ড,	
rakhtokkharone,	রক্ষতকরণে,	রক্তক্ষরণে,	
dharatir,	ধারটির,	ধারাটির,	
atmabiswasi,	আত্মবিস্বাসী,	আত্মবিশ্বাসী,	
koomari,	কোমরি,	কুমারী,	
turisht,	টুরিষ্ট,	টুরিস্ট,	
prachuryer,	প্রাচুর্যের,	প্রাচুর্যের,	
shelim,	সিলিম,	সেলিম,	
gonna,	গন্যা,	গননা,	
themey,	থেমে,	থিমে,	
bedanter,	বেদান্তের,	বেদান্তের,	
uzbekistan,	উজ্বজিক্তান,	উজবেকিস্তান,	
zack,	যাক,	জ্যাক,	
songkulan,	সংকুলন,	সংকুলান,	
bytes,	বিটেস,	বাইটস,	
sakar,	সাকার,	সকার,	
hijriite,	হিজরিতে,	হিজরীতে,	
timoothy,	তিমুথী,	টিমোথি,	
zeebonjapon,	জীবনযাপন,	জীবনযাপন,	
gavashkar,	গোভসাকার,	গাভাস্কার,	
stoonehenge,	স্টানেহঙ্গে,	স্টোনহেঞ্জ,	
euroo,	ইউরু,	ইউরো,	
suity,	সাইটি,	সুইটি,	
chhutee,	ছুটি,	ছুটি,	
floodliter,	ফ্লোডািটার,	ফ্লাডলাইটের,	
khilaphat,	খিলাফাত,	খিলাফত,	
drissoke,	দৃশ্যকে,	দৃশ্যকে,	
byomkesh,	ব্যমকেশ,	ব্যোমকেশ,	
prostutkarak,	প্রস্তুতকরাক,	প্রস্তুতকারক,	
laishensha,	লাইসেস্স,	লাইসেন্স,	
paksenara,	পাকসেনার,	পাকসেনারা,	
ispredshit,	ইস্পেরেশিত,	স্প্রেডশীট,	
shrimoti,	শ্রীমতী,	শ্রীমতি,	
arakdal,	আরাকদল,	আরেকদল,	
rubol,	রুবল,	রুবল,	
kaley,	কালে,	কালে,	
kuntee,	কুনটি,	কুন্তী,	
zoneser,	জনেসের,	জোন্সের,	
besirbhagi,	বেশীরভাগই,	বেশিরভাগই,	
rapto,	রপ্ত,	রপ্ত,	
bager,	ব্যাগের,	বাগের,	
patzat,	পাযাজাত,	পাটজাত,	
rajtantroke,	রাজতন্ত্রকে,	রাজতন্ত্রকে,	
gagee,	গেই,	গেজ,	
baasake,	বাসাকে,	বাসাকে,	
maney,	মানি,	মানে,	
jilyanda,	জিল্যান্ড,	জিল্যান্ড,	
eekbaler,	একবলের,	ইকবালের,	
bufar,	বুফার,	বাফার,	
cheess,	চেস,	চেস,	
yuroo,	ইউরু,	ইউরো,	
boudher,	বৌধের,	বৌদ্ধের,	
deenes,	ডানেস,	দীনেশ,	
romantik,	রোমান্তিক,	রোমান্টিক,	
phokser,	ফক্ষের,	ফক্সের,	
rokibul,	রকিবুল,	রকিবুল,	
masterer,	মোস্টারের,	মাস্টারের,	
jibanta,	জীবন্ত,	জীবন্ত,	
grantho,	গ্রন্থ,	গ্রন্থ,	
injil,	এঞ্জেল,	ইঞ্জিল,	
vobani,	ভবানী,	ভবানী,	
akhhunno,	অখুন্ন,	অক্ষুণ্ণ,	
parser,	পারসের,	পার্শ্বের,	
venis,	ভেনিস,	ভেনিস,	
footbalarder,	ফুটবলরদের,	ফুটবলারদের,	
pacchen,	পাঁছেন,	পাচ্ছেন,	
ponjeekar,	পঞ্জিকার,	পঞ্জিকার,	
dalee,	ডলি,	ডালে,	
pratijogita,	প্রতিযোগিতা,	প্রতিযোগীতা,	
chirohorit,	চিহররিত,	চিরহরিৎ,	
bosanta,	বসন্ত,	বসন্ত,	
kormosompadon,	কর্মসম্পান,	কর্মসম্পাদন,	
laisense,	লাইন্সে,	লাইসেন্স,	
manikya,	মনিক্য,	মানিক্য,	
kinsha,	কিংসা,	কিংস,	
korlei,	করলেই,	করলেই,	
ekroop,	একরূপ,	একরূপ,	
ssumi,	সুমি,	সুমি,	
chaka,	চাকা,	চাকা,	
ajeej,	আজিজ,	আজিজ,	
oncholsoho,	অঞ্চলসহ,	অঞ্চলসহ,	
mahasova,	মহাসভা,	মহাসভা,	
judhahato,	যুদ্ধত,	যুদ্ধাহত,	
plato,	প্লটো,	প্লেটো,	
alangkoron,	অলংকরণ,	অলঙ্করণ,	
gazipore,	গজীপরে,	গাজিপুর,	
mitroyo,	মিত্রও,	মিত্রও,	
akten,	আঁকতেন,	অকটেন,	
qara,	কার,	কর,	
bhagno,	ভাগন,	ভগ্ন,	
eqsapreshana,	এক্সপ্রেশন,	এক্সপ্রেশন,	
avishangsan,	অভিশংসন,	অভিশংসন,	
saom,	সাম,	সাওম,	
bhenise,	ভেনিসে,	ভেনিসে,	
shekarone,	সেকারণে,	সেকারণে,	
