durgotsave,	দুর্গতভাবে,	দুর্গোৎসবে,	
naitikatabodh,	নৈতিকাবযোধ,	নৈতিকতাবোধ,	
daktickete,	ডাক্তিকেটে,	ডাকটিকিটে,	
rezidence,	রেজিডেন্স,	রেসিডেন্স,	
torangunj,	তরঙ্গুঞ্জ,	তোরাবগঞ্জ,	
amarendra,	অমরেন্দ্র,	অমরেন্দ্র,	
bechaa,	বেচা,	বেচা,	
emiratas,	এমিরোটাস,	এমিরেটাস,	
adorso,	আদর্শ,	আর্দশ,	
debate,	দেবাতে,	ডিবেট,	
antorvukta,	অন্তর্ভূক্ত,	অন্তর্ভুক্ত,	
karmasampadan,	কর্মসম্পদন,	কর্মসম্পাদন,	
keuoi,	কিউই,	কেউই,	
meiler,	মেইলের,	মেইলের,	
prachurjer,	প্রচুর্যের,	প্রাচুর্যের,	
chetanagoto,	চিতানাগত,	চেতনাগত,	
dharabiktir,	ধারাবিক্তির,	ধারাবাহিকটির,	
barnish,	বর্নিশ,	বার্নিশ,	
armshtrong,	আর্ট্রসং,	আর্মস্ট্রং,	
elakao,	এলাকাও,	এলাকাও,	
amoor,	আমুর,	আমর,	
auttacharer,	অট্টারের,	অত্যাচারের,	
veenus,	ভিনাস,	ভেনাস,	
turky,	টার্কি,	তুর্কি,	
armstrong,	আর্স্ট্রসং,	আর্মস্ট্রং,	
rightsh,	রাইটাস,	রাইটস,	
miracle,	মিরাকলল,	মিরাকেল,	
plena,	প্লেন,	প্লেন,	
laaj,	লাজ,	লাজ,	
ancholsaho,	অঞ্চলসহ,	অঞ্চলসহ,	
ogrodoot,	অগ্রোদুত,	অগ্রদূত,	
leetara,	লেটার,	লেটার,	
macher,	মাচের,	মাছের,	
orthonitite,	অর্থনীতিতে,	অর্থনীতিতে,	
dobhara,	ডভভারা,	ডোভার,	
naneer,	নানীর,	নানীর,	
advanshd,	এডভাযান্ডস,	অ্যাডভান্সড,	
tahalei,	তাহালেই,	তাহলেই,	
purbanchale,	পূর্বাঞ্চলে,	পূর্বাঞ্চলে,	
hobu,	হবু,	হবু,	
tonu,	তনু,	তনু,	
jeebonto,	জীবন্ত,	জীবন্ত,	
aakkaas,	আক্াাস,	আককাস,	
koilas,	কৈলাশ,	কৈলাস,	
said,	সেড,	সাইদ,	
transhform,	ট্রান্সম্রম,	ট্রান্সফর্ম,	
chowdhuryo,	চৌধুর্য,	চৌধুরীও,	
ottacharer,	অত্যাচারের,	অত্যাচারের,	
charrjar,	চার্জার,	চার্জার,	
ajij,	আজিজ,	আজিজ,	
maradeha,	মাদাদেহ,	মরদেহ,	
ala,	আলা,	আলা,	
source,	সোর্স,	সোর্স,	
daakope,	ডাকপপে,	দাকোপ,	
drishyoi,	দ্র্যাই,	দৃশ্যই,	
dower,	দৌবের,	ডোভার,	
naubotom,	নৌবতৎ,	নবতম,	
dorji,	দর্জি,	দরজি,	
rathin,	রথিন,	রথীন,	
bedkey,	বেদকে,	বেদকে,	
atyachari,	অট্যচারী,	অত্যাচারী,	
korimpoor,	করিমপুর,	করিমপুর,	
doonata,	দুনতা,	ডোনাট,	
qarima,	করিমা,	করিম,	
gaze,	গেজ,	গেজ,	
suiti,	সুইটি,	সুইটি,	
phareksa,	ফরেক্স,	ফরেক্স,	
diana,	ডায়না,	ডায়না,	
labonaktotar,	লবণাক্ততার,	লবণাক্ততার,	
model,	মোদেল,	মডেল,	
fuda,	ফুড,	ফুড,	
economics,	ইকোনমিক্স,	ইকোনমিকস,	
prochondo,	প্রচন্ড,	প্রচণ্ড,	
phising,	ফিসিং,	ফিসিং,	
ivam,	ইভাম,	ইভিএম,	
ixprission,	এক্সপ্রেশন,	এক্সপ্রেশন,	
sanyal,	সন্যাল,	সান্যাল,	
sattoki,	সত্যকি,	সাত্যকি,	
netherlandey,	নেদারল্যান্ডে,	নেদারল্যান্ডে,	
vabotarini,	ভবতারীনী,	ভবতারিণী,	
sektara,	সেক্টরা,	সেক্টর,	
elaka,	এলাক,	এলাকা,	
maarmaader,	মারমাদের,	মারমাদের,	
shilpojaat,	শিল্পোতাজ,	শিল্পজাত,	
suresh,	সুরেশ,	সুরেশ,	
byetasamyan,	ব্যাটসম্যান,	ব্যাটসম্যান,	
bossontoke,	বসন্তকে,	বসন্তকে,	
harir,	হ্যারির,	হরির,	
matriroop,	মাতৃরিপু,	মাতৃরূপ,	
ganohatyar,	গণহা্যার,	গণহত্যার,	
hedje,	হেজ,	হেজ,	
ajijur,	আজিজুর,	আজিজুর,	
suparheiro,	সুপারহার,	সুপারহিরো,	
oviyojan,	অভিযোজন,	অভিযোজন,	
jahara,	জহহরা,	যাহরা,	
anurbar,	অনুর্বর,	অনুর্বর,	
horiner,	হরিনের,	হরিণের,	
naran,	নারন,	নরেন,	
rajbondir,	রাজবন্দীর,	রাজবন্দীর,	
shansthaner,	সংস্থানের,	সংস্থানের,	
janapoth,	জনপথ,	জনপথ,	
matrikar,	মাত্রিকার,	মাতৃকার,	
zins,	জিনস,	জিন্স,	
swasti,	শ্বাস্তি,	স্বস্তি,	
bekey,	বেকে,	বেঁকে,	
futonto,	ফুটন্ত,	ফুটন্ত,	
chhedon,	ছেদন,	ছেদন,	
daacktickete,	ডাক্তিকটে,	ডাকটিকিটে,	
uddhrity,	উদ্ধৃতি,	উদ্ধৃতি,	
bikaargrasta,	বিকার্রস্ত,	বিকারগ্রস্ত,	
difinisian,	ডিফিনিশন,	ডেফিনেশন,	
hossne,	হোসেন,	হোসনে,	
kurdider,	কুর্দিদের,	কুর্দিদের,	
langhon,	লঙ্ঘন,	লংঘন,	
bitloser,	বিটলসের,	বিটলসের,	
suporichito,	সুপিরীচ,	সুপরিচিত,	
donata,	ডোনাটা,	ডোনাট,	
utsahamulak,	উৎসামামুলক,	উৎসাহমূলক,	
notunatva,	নতুনত্ব,	নতুনত্ব,	
ralf,	রালফ,	রালফ,	
anuchcheder,	অনুচ্ছেদের,	অনুচ্ছেদের,	
dienes,	ডাইন্স,	ডিএনএস,	
yucalyptus,	ইউক্যালিটিকস,	ইউক্যালিপ্টাস,	
akramer,	এক্রমের,	আকরামের,	
chikitsar,	চিকিৎসার,	চিকিত্সার,	
byapokotor,	ব্যাপকতর,	ব্যাপকতর,	
paramartha,	পরামর্থ,	পরমার্থ,	
jonmat,	জন্মাত,	জন্মাত,	
barakpur,	ব্যারাকপুর,	বারাকপুর,	
karmoi,	কর্মই,	কর্মই,	
abhidhaanick,	অভিধানিক,	অভিধানিক,	
tyunar,	টিউনার,	টিউনার,	
nartaki,	নার্তকী,	নর্তকী,	
ingreziteo,	ইংরেজিতেও,	ইংরেজিতেও,	
deubande,	দিবন্দে,	দেওবন্দে,	
parks,	পার্কস,	পার্কস,	
adhyattikotar,	আধ্যাত্তিকার,	আধ্যাত্মিকতার,	
hepetitis,	হেপিটিটিস,	হেপাটাইটিস,	
booth,	বু,	বুথ,	
guzon,	গুজন,	গুজব,	
gojano,	গজানো,	গজানো,	
dorgaaho,	দর্গাহা,	দরগাহ,	
jatak,	যাতক,	জাতক,	
kantajir,	কন্তাজীর,	কান্তজির,	
osthisondhi,	অস্থিসন্দি,	অস্থিসন্ধি,	
pachbar,	পাঁচবার,	পাঁচবার,	
utshahomulok,	উৎ্সমামূলক,	উৎসাহমূলক,	
blagaarara,	ব্লাগারেরা,	ব্লগাররা,	
delivar,	ডেলিভার,	ডেলিভার,	
sumeeta,	সুমিতা,	সুমিতা,	
houstoner,	হাস্টনের,	হিউস্টনের,	
elakatir,	এলাকাটির,	এলাকাটির,	
peoples,	পিপলেস,	পিপলস্,	
samanyai,	সামা্যাই,	সামান্যই,	
loker,	লোকের,	লকের,	
carymb,	কেরিম্ব,	করিম,	
ivil,	আইভিল,	ইভিল,	
hoeel,	হইল,	হইল,	
maunchostho,	মঞ্চস্থ,	মঞ্চস্থ,	
nathivuktir,	নথিভুক্তির,	নথিভুক্তির,	
shombhobonao,	সম্ভাবনা,	সম্ভবনাও,	
huka,	হুক,	হুক,	
antarvuktimulak,	অন্তর্ভূতিকমূলক,	অন্তর্ভুক্তিমূলক,	
mukhamandal,	মুখমন্ডল,	মুখমণ্ডল,	
daqop,	ডাকাপ,	দাকোপ,	
rooby,	রবি,	রুবি,	
siddhantagulo,	স্বিধ্যানগুলো,	সিদ্ধান্তগুলো,	
vagni,	ভাগ্নী,	ভগ্নী,	
siramikasa,	সিরামিকাশ,	সিরামিকস,	
sushiksar,	সুশিক্ষার,	সুশিক্ষার,	
bimata,	বিমত,	বিমাতা,	
jokrito,	যকৃত,	যকৃৎ,	
loukeekotaa,	লৌকিকোটা,	লৌকিকতা,	
mohibur,	মহিবুর,	মহিবুর,	
manushsoho,	মানুষসহ,	মানুষসহ,	
jaistha,	জেস্থ,	জ্যৈষ্ঠ,	
nikat,	নিকট,	নিকট,	
bage,	বাগে,	বাগে,	
haitasha,	হাইটা,	হাইটস,	
breakthrough,	ব্র্যাক্রোহা,	ব্রেকথ্রু,	
postke,	পোস্টকে,	পোস্টকে,	
ruplal,	রূপলল,	রূপলাল,	
songasthatike,	সংস্থাটিকে,	সংস্থাটিকে,	
bim,	বীম,	বিম,	
difinishion,	ডিফিনিশন,	ডেফিনেশন,	
phirth,	ফার্থ,	ফার্থ,	
teemur,	তিমুর,	তিমুর,	
otitkaley,	অতিতকালে,	অতীতকালে,	
gulen,	গুলেন,	গুলেন,	
ooeepoka,	উপকো,	উইপোকা,	
mmesenjarer,	ম্শেসজারের,	মেসেঞ্জারের,	
shtone,	স্ট্রোন,	স্টোন,	
sangbadmadhyamgulote,	সংবাদমায্যমগুলোতে,	সংবাদমাধ্যমগুলোতে,	
gaje,	গাজ,	গেজ,	
vins,	ভিন্স,	ভিন্স,	
ovarviu,	অভারভিও,	ওভারভিউ,	
sofy,	সফি,	সোফি,	
drissoi,	ড্রিস্যো,	দৃশ্যই,	
piora,	পিয়রো,	পিওর,	
bondhuvabaponyo,	বন্ধুবাপন্ন,	বন্ধুভাবাপন্ন,	
dharati,	ধারটি,	ধারাটি,	
arthonitir,	অর্থনীতির,	অর্থনীতির,	
besur,	বেশুর,	বেসুর,	
sanghorshik,	সাংহর্ষিক,	সাংঘর্ষিক,	
bishshash,	বিশ্বাস,	বিশ্বাস,	
horidar,	হরিদর,	হরিদ্বার,	
sqolastiq,	স্কলাাক্টিক,	স্কলাস্টিক,	
modeel,	মোদেল,	মডেল,	
temoni,	তেমনি,	তেমনই,	
guzober,	গুজবের,	গুজবের,	
tookrotey,	টুকরোতে,	টুকরোতে,	
teta,	টেট,	টেটা,	
jibanjapon,	জীবনজাপন,	জীবনযাপন,	
upobashii,	উপবাসী,	উপবাসী,	
nirdeshika,	নির্দেশিকা,	নির্দেশিকা,	
bisheshshyer,	বিশেষের,	বিশেষ্যের,	
shuparahiro,	সুপারহহীরু,	সুপারহিরো,	
eekbaler,	একবলের,	ইকবালের,	
desiseyer,	দেশিসের,	ডিজিজের,	
faj,	ফজজ,	ফাজ,	
swarther,	স্বর্থের,	স্বার্থের,	
lutheereen,	লুথিরেন,	লুথেরান,	
hoj,	হজ,	হয,	
jotota,	যতটা,	যতোটা,	
sqora,	স্কোরা,	স্কোর,	
alimpiqa,	আলিম্পেক,	অলিম্পিক,	
pachchen,	পাচ্ছেন,	পাচ্ছেন,	
plack,	প্লেক,	প্ল্যাক,	
bhorkendra,	ভরকেন্দ্র,	ভরকেন্দ্র,	
set,	সেট,	সিট,	
dephinesana,	ডেফিনেশন,	ডেফিনেশন,	
clintoner,	ক্লিন্টনের,	ক্লিনটনের,	
benish,	বেনিস,	ভেনিস,	
phokser,	ফক্ষের,	ফক্সের,	
joubanbatee,	যৌবানবতী,	যৌবনবতী,	
vaskor,	ভাষ্কোর,	ভাস্কর,	
lobbyte,	লবিবেট,	লবিতে,	
nodnadir,	নদ্দনাদির,	নদনদীর,	
joones,	জুনেস,	জোন্স,	
durotomm,	দূরতম,	দূরতম,	
vittio,	ভিট্টিও,	ভিত্তিও,	
prakalpoguli,	প্রক্যাপুলি,	প্রকল্পগুলি,	
mokam,	মোকাম,	মোকাম,	
charbon,	চার্বন,	চর্বন,	
maaktume,	ম্যাকমুমা,	মাকতুম,	
kottar,	কত্যারার,	কট্টর,	
jokey,	জোকে,	জকি,	
kortaam,	কর্তম,	করতাম,	
tourisht,	টুরিস্ট,	টুরিস্ট,	
reejur,	রিজুর,	রিজুর,	
hertj,	হার্ট,	হার্জ,	
elakayi,	এলাকাই,	এলাকাই,	
sarolyo,	সারাওয,	সারল্য,	
tennis,	ট্যানিস,	টেনিস,	
panthaar,	প্যান্থার,	পন্থার,	
shtonehenge,	স্টেনিহেঙ্গে,	স্টোনহেঞ্জ,	
shorifer,	শরীফের,	শরিফের,	
uchhoshito,	উচ্চিত,	উচ্ছসিত,	
jor,	জোর,	জ্বর,	
infarmatian,	ইনফর্মেশন,	ইনফরমেশন,	
sangrahok,	সংগ্রহক,	সংগ্রাহক,	
pratimake,	প্রতিমাকে,	প্রতিমাকে,	
lettere,	লেটারে,	লেটারে,	
probhritir,	প্রভৃতির,	প্রভৃতির,	
shaalehaa,	সালেহা,	সালেহা,	
poriikkhateo,	পরীক্ষাতেও,	পরীক্ষাতেও,	
bomkesh,	বমকেশ,	ব্যোমকেশ,	
niketaner,	নিকেতনের,	নিকেতনের,	
alubokhara,	অলুকবরাার,	আলুবোখারা,	
provura,	প্রভূরা,	প্রভুরা,	
holuder,	হলুদের,	হলুদের,	
antorvukto,	অন্তর্ভূক্ত,	অন্তর্ভুক্ত,	
dokkhinangsho,	দক্ষিণাংশ,	দক্ষিণাংশ,	
shoow,	শু,	শো,	
nilabho,	নিলাভ,	নীলাভ,	
eeraner,	ইরানের,	ইরানের,	
pratijogira,	প্রতিযোগীরা,	প্রতিযোগীরা,	
vogni,	ভগ্নী,	ভগ্নী,	
markeetim,	মার্কিটিং,	মার্কেটিং,	
roomantik,	রোমান্তিক,	রোমান্টিক,	
shaapholler,	সাফলের,	সাফল্যের,	
asiatic,	আস্যিটিক,	এশিয়াটিক,	
pharanyeta,	ফরান্যেত,	ফরম্যাট,	
alexandarkey,	আলেকান্স্রাকে,	আলেকজান্ডারকে,	
enamela,	ইনামেলা,	এনামেল,	
soccer,	সক্সের,	সকার,	
ghumata,	ঘুমাতা,	ঘুমাতো,	
hugh,	হাই,	হিউজ,	
dang,	ডেং,	ডং,	
niro,	নিরো,	নির,	
chire,	চীরে,	চিরে,	
nimitte,	নিমিত্যে,	নিমিত্তে,	
shikshakbrinda,	শিক্ষাবির্দান্দ,	শিক্ষকবৃন্দ,	
paksenara,	পক্ষেণার,	পাকসেনারা,	
manushey,	মানুষে,	মানুষে,	
kkomatei,	কমাতেই,	কমাতেই,	
bossonto,	বসন্ত,	বসন্ত,	
injeel,	ইঞ্জেল,	ইঞ্জিল,	
anchaltike,	অঞ্চলতিকে,	অঞ্চলটিকে,	
sotteo,	সত্বেও,	সত্ত্বেও,	
modelgulo,	মোেেলগুলো,	মডেলগুলো,	
venish,	ভেনিস,	ভেনিস,	
koonti,	কোনটি,	কুন্তী,	
jwarer,	জ্যারের,	জ্বরের,	
nadigulir,	নাদিগুলির,	নদীগুলির,	
bishshaash,	বিশ্বাস,	বিশ্বাস,	
answereer,	আনসারির,	আনসারীর,	
snipper,	স্নিপের,	স্নাইপার,	
swosti,	শ্বস্তি,	স্বস্তি,	
shrabostee,	শ্রবশ্তি,	শ্রাবস্তী,	
bahaal,	বহহল,	বহাল,	
cutie,	কিটি,	কিউটি,	
mujibur,	মুজিবুর,	মুজিবুর,	
mauhajote,	মহাজাতে,	মহাজোট,	
letterey,	লেটারে,	লেটারে,	
byaboharkareederke,	ব্যবহারকারকারীদেরকে,	ব্যবহারকারীদেরকে,	
sidiul,	সিডিও,	শিডিউল,	
mawdel,	মাউদেল,	মডেল,	
ghoshito,	ঘোষিত,	ঘোষিত,	
bu,	বু,	বু,	
mookhomaundoley,	মুখমন্দলে,	মুখমণ্ডলে,	
moddhyekar,	মধ্যকার,	মধ্যেকার,	
jeellool,	জিল্লুল,	জিল্লুল,	
puncho,	পুঁচো,	পুঞ্চ,	
informeshon,	ইনফর্মেশন,	ইনফরমেশন,	
jhonkar,	ঝোঁকার,	ঝঙ্কার,	
tirmizi,	তিরমিযী,	তিরমিজি,	
madhabike,	মাধবীকে,	মাধবীকে,	
danut,	দানাউট,	ডোনাট,	
muladee,	মুলাদী,	মুলাদি,	
danab,	দানাব,	দানব,	
sakara,	সাকারা,	সাকার,	
meetropalitana,	মেট্রোপলিটান,	মেট্রোপলিটন,	
sudhuyi,	সুধুই,	শুধুই,	
saahocorrzo,	সাহার্য্য,	সাহচর্য,	
dweepkey,	দ্বীপকে,	দ্বীপকে,	
senabahinio,	সেনাবাহিনীও,	সেনাবাহিনীও,	
khatgosher,	ক্ষাতসের,	খরগোসের,	
joneetey,	যোনিতে,	যোনীতে,	
internship,	ইন্টার্নশীপ,	ইন্টার্নশিপ,	
homser,	হোমাসের,	হোমসের,	
darji,	দর্জি,	দরজি,	
dooborira,	দুবরীরা,	ডুবুরিরা,	
diphinision,	ডিফিন্সন,	ডেফিনেশন,	
olangkoron,	অলংকরণ,	অলঙ্করণ,	
hevy,	হেভি,	হেভি,	
protijogiir,	প্রতিযোগীর,	প্রতিযোগীতার,	
sampadankaree,	সম্পাদকারণারী,	সম্পাদনকারী,	
akrup,	আক্রূপ,	একরূপ,	
vvejaano,	ভেজানো,	ভেজানো,	
upobaasee,	উপবাসী,	উপবাসী,	
jonoikaa,	জননিকা,	জনৈকা,	
procharonamulok,	প্রচারনামূলক,	প্রচারণামূলক,	
monjushri,	মন্জুষ্রী,	মঞ্জুশ্রী,	
sheat,	শ্বেত,	সিট,	
gardeena,	গর্ডিন,	গার্ডেন,	
charchita,	চার্চিত,	চর্চিত,	
jonite,	যোনিতে,	যোনীতে,	
murli,	মূর্লি,	মুরলী,	
beshirbhaagei,	বেশিরভাগই,	বেশিরভাগেই,	
lakhindarer,	লখীন্দ্রের,	লখিন্দরের,	
komaatei,	কমাতেই,	কমাতেই,	
nisader,	নিষাদের,	নিষাদের,	
angshograhon,	অংশগ্রহণ,	অংশগ্রহন,	
mononitoder,	মনানীদতের,	মনোনীতদের,	
bonbhumi,	বনভূমি,	বনভূমি,	
agomoner,	আগমনের,	আগমনের,	
steeit,	স্টেইট,	স্টেইট,	
bouddho,	বৌদ্ধ,	বৌদ্ধ,	
kanisttha,	কণিষ্ঠ,	কনিষ্ঠ,	
sulfatee,	সালফাটি,	সালফেট,	
sumi,	সুমি,	সুমি,	
raeets,	রাটস,	রাইটস,	
thaakeni,	থাকেনি,	থাকেনি,	
baman,	বামান,	বামন,	
daale,	ডালে,	ডালে,	
songkulan,	সংকুলন,	সংকুলান,	
toronee,	তরনী,	তরণী,	
bohoodeen,	বহুদিন,	বহুদিন,	
daaradaa,	দারাদা,	দারদা,	
orrgho,	অর্ঘ,	অর্ঘ্য,	
boshoborty,	বসবর্তী,	বশবর্তী,	
taoonship,	তানশিপ,	টাউনশিপ,	
spashtotai,	স্পষ্টতাই,	স্পষ্টতই,	
sahokaree,	সহকারি,	সহকারী,	
ponjeekar,	পঞ্জিকর,	পঞ্জিকার,	
rinatmak,	রিনাত্মক,	ঋনাত্মক,	
bamander,	বামান্ডের,	বামনদের,	
samudrotatey,	সমুদ্রতাতে,	সমুদ্রতটে,	
talgach,	তল্গা,	তালগাছ,	
gabhaaskaar,	গভাসকার,	গাভাস্কার,	
stylish,	স্টাইলিস,	স্টাইলিশ,	
shaahaabaah,	সাহাবা,	সাহাবাহ,	
flask,	ফ্ল্যাক্স,	ফ্লাস্ক,	
grambaasee,	গ্রামবাসী,	গ্রামবাসী,	
gananatya,	গণান্য্ত,	গণনাট্য,	
pleta,	প্লেট,	প্লেট,	
ide,	আইড,	আইডিই,	
assoociates,	অ্যাসোটিসেয়েস,	এসোসিয়েটস,	
purple,	পার্পল,	পার্পেল,	
tarunra,	তরুণা,	তরুণরা,	
jilyaand,	জিল্যান্ড,	জিল্যান্ড,	
porisromii,	পরিস্রোমী,	পরিশ্রমী,	
sarbhaare,	সররভারে,	সার্ভারে,	
patzat,	পটজাত,	পাটজাত,	
tantira,	তান্তিরা,	তাঁতিরা,	
arthanitite,	অর্থনীতিতে,	অর্থনীতিতে,	
chalachchitrogulor,	চলচ্চিত্রগুলোর,	চলচ্চিত্রগুলোর,	
protul,	প্রতুল,	প্রতুল,	
karloosa,	কার্সো,	কার্লোস,	
foxcon,	ফক্কন,	ফক্সকন,	
pratiyogi,	প্রতিযোগী,	প্রতিযোগী,	
dakop,	ডাকপ,	দাকোপ,	
thailandsaho,	থাইলাসহ্ন,	থাইল্যান্ডসহ,	
manjushree,	মঞ্জুষ্রী,	মঞ্জুশ্রী,	
bigepi,	বিজগপি,	বিজেপি,	
tecnokret,	টেকনক্টর,	টেকনোক্র্যাট,	
shtonahenja,	স্টোহেনহায,	স্টোনহেঞ্জ,	
stona,	স্তনা,	স্টোন,	
jalbe,	জলবে,	জ্বলবে,	
bhittimool,	ভিত্তমুল,	ভিত্তিমূল,	
shhcholashtik,	স্কোলাস্টিক,	স্কলাস্টিক,	
vromonkaley,	ভ্রমণাকলে,	ভ্রমণকালে,	
ayantarqatiqa,	অন্টর্কটিকতা,	অ্যান্টার্কটিকা,	
temonyi,	তেমনই,	তেমনই,	
sabyastho,	সাব্যস্থ,	সাব্যস্থ,	
grambaasio,	গ্রামবাসীয়,	গ্রামবাসীও,	
bandhuke,	বন্ধুকে,	বন্ধুকে,	
monjhoshtho,	মঞ্হস্থ,	মঞ্চস্থ,	
cholochchitraeeo,	চলচ্চিত্রেই,	চলচ্চিত্রেও,	
dimbacriti,	ডিব্বাকৃতি,	ডিম্বাকৃতি,	
ameerika,	অমেরিকা,	আমেরিকা,	
seema,	সেমা,	সীমা,	
zhalkatthi,	ঝালকাঠি,	ঝালকাঠী,	
tarbiner,	তার্বিনের,	টারবাইনের,	
shailee,	শালি,	শৈলী,	
ghotol,	ঘটল,	ঘটল,	
faad,	ফাঁদ,	ফুড,	
projanankaal,	প্রজানকাল,	প্রজননকাল,	
byaran,	ব্যারন,	ব্যারন,	
laaishenshh,	লাইসেন্স,	লাইসেন্স,	
dacop,	ডাকাপ,	দাকোপ,	
nagarikata,	নাগরিকতা,	নাগরিকতা,	
khizir,	খিজির,	খিজির,	
rubio,	রুবিও,	রুবিও,	
chhotogalpe,	ছোটোগল্পে,	ছোটগল্পে,	
hamburgey,	হামবারগা্জ,	হামবুর্গে,	
rca,	র্কা,	আরসিএ,	
soccar,	সচাকার,	সকার,	
goreeb,	গরীব,	গরিব,	
shoccar,	সচ্কার,	সকার,	
chetna,	চেতনা,	চেতনা,	
jansa,	জনস,	জোন্স,	
oncolsoho,	অঞ্কলসহ,	অঞ্চলসহ,	
ias,	আয়াশ,	আইএএস,	
shfingtar,	স্ফীংটার,	স্ফিংটার,	
agenda,	এগেন্ডা,	এজেন্ডা,	
bibechyo,	বিবেচ্ছ,	বিবেচ্য,	
sanatani,	সোনাতনী,	সনাতনী,	
sithilotar,	সিহিলতার,	শিথিলতার,	
jahor,	জহহর,	জহর,	
logic,	লোগিক,	লজিক,	
bimaataa,	বিমাতা,	বিমাতা,	
cn,	সিএন,	সিএন,	
bayii,	বাই,	বাঈ,	
ghetoo,	ঘেতও,	ঘেটু,	
dabhara,	দাভারা,	ডোভার,	
karpet,	কর্পেত,	কার্পেট,	
byaboharkareei,	ব্যবহারকারাই,	ব্যবহারকারীই,	
cloud,	ক্লাউড,	ক্লাউড,	
khargosher,	খারগোসের,	খরগোসের,	
amarjito,	অমর্জিত,	অমার্জিত,	
tukroti,	তুক্রতি,	টুকরোটি,	
everestey,	ইভরেস্টে,	এভারেস্টে,	
shoriph,	শরীফ,	শরিফ,	
haj,	হ্যাজ,	হয,	
lisense,	লিসেন্স,	লাইসেন্স,	
saahocorrze,	সাহারক্যে,	সাহচর্যে,	
marier,	মেরির,	ম্যারির,	
elakati,	এলাকাটি,	এলাকাটি,	
troup,	ট্রপপ,	ট্রুপ,	
fimela,	ফাইমেল,	ফিমেল,	
harisher,	হ্যারিসের,	হ্যারিসের,	
shhooter,	শুটের,	শ্যুটার,	
prasadhoni,	প্রসাধানী,	প্রসাধনী,	
shodhon,	সোধন,	শোধন,	
tiger,	তিগের,	টাইগার,	
daeel,	ডেল,	ডেইল,	
mousumeo,	মুসমেও,	মৌসুমেও,	
potchitro,	পচ্ছিত্র,	পটচিত্র,	
mulaadee,	মুলাদী,	মুলাদি,	
shanta,	শাঁতা,	সান্তা,	
ogradut,	অগ্রাদুত,	অগ্রদূত,	
taioyana,	টাইয়ান,	তাইওয়ান,	
hurricanee,	হারিকেন,	হ্যারিকেন,	
jyeshthaa,	জ্যাস্থা,	জ্যেষ্ঠা,	
prozononkal,	প্রজানকাল,	প্রজননকাল,	
zeebonto,	জীবন্ত,	জীবন্ত,	
faltu,	ফললটু,	ফালতু,	
lishenshe,	লিসেন্স,	লাইসেন্স,	
eshiyetika,	এসিটিক্ট,	এশিয়াটিক,	
bbiseshyer,	বিশেষের,	বিশেষ্যের,	
rajtantrake,	রাজনত্ত্রাকে,	রাজতন্ত্রকে,	
ovishangson,	অভিশাংসন,	অভিশংসন,	
sadena,	সাদেনা,	সাডেন,	
hiushtoner,	হিস্টনের,	হিউস্টনের,	
baibasthar,	ব্যবস্থার,	ব্যবস্থার,	
dakteekite,	ডাক্তিকটে,	ডাকটিকিটে,	
dibet,	দিবিত,	ডিবেট,	
bhabuk,	ভাবুক,	ভাবুক,	
nathibhookta,	নথিভুক্ত,	নথিভুক্ত,	
rokshonbhag,	রক্ষণভাগ,	রক্ষণভাগ,	
aidii,	আইডি,	আইডিই,	
poste,	পোস্টে,	পোষ্টে,	
lat,	লেট,	লাট,	
manushtike,	মনুষ্টিতে,	মানুষটিকে,	
sahazlabhbhotar,	সহালযভ্তবর,	সহজলভ্যতার,	
gatre,	গত্রে,	গাত্রে,	
batikromi,	ব্যাতিক্রমী,	ব্যতিক্রমী,	
jubokshoho,	যুব্্ষম,	যুবকসহ,	
gheshe,	ঘেষে,	ঘেঁষে,	
dokaan,	ডোকান,	দোকান,	
monir,	মনির,	মনির,	
sainyasoho,	সৈন্যাসহ,	সৈন্যসহ,	
cholochchitraeer,	চলচ্চিত্রেরীর,	চলচ্চিত্রের,	
swajan,	স্বজন,	স্বজন,	
soorsa,	সোর্স,	সোর্স,	
liceensee,	লিসেন্স,	লাইসেন্স,	
promothesh,	প্রমথেশ,	প্রমথেশ,	
ashiatic,	আশ্যিটিক,	এশিয়াটিক,	
ujbekistan,	উউজেবিস্তান,	উজবেকিস্তান,	
deefinition,	ডেফিনিশন,	ডেফিনেশন,	
barnis,	বার্নিস,	বার্নিশ,	
sothikata,	সতিকতা,	সঠিকতা,	
sorbopori,	সর্বোপরি,	সর্বোপরী,	
tate,	টেট,	তাতে,	
sahojlabhbhatar,	সহজ্লভ্যতার,	সহজলভ্যতার,	
hepataitisa,	হেপাটাইটিস,	হেপাটাইটিস,	
sahopathike,	সহপাঠিকে,	সহপাঠীকে,	
algorithm,	অ্যালগোরিদম,	এলগরিদম,	
byabaharkarie,	ব্যবহারকারী,	ব্যবহারকারীই,	
rakhtokkharoner,	রক্তকররণের,	রক্তক্ষরণের,	
kokeyin,	কোকেন,	কোকেইন,	
kuley,	কুলে,	কুলে,	
shoreefpur,	শরীপুর,	শরিফপুর,	
jatota,	যতটা,	যতোটা,	
zhalokatthi,	ঝালকাঠি,	ঝালকাঠী,	
vishnuke,	বিশ্নুকে,	বিষ্ণুকে,	
grambaseeder,	গ্রামবাদীদের,	গ্রামবাসীদের,	
ekkoghore,	একঘরে,	একঘরে,	
