duburyra,	দুবুরীরা,	ডুবুরিরা,	
songbadmadhyame,	সংবন্দমাহের,	সংবাদমাধ্যমে,	
poorbancholer,	পূর্বনকাচের,	পূর্বাঞ্চলের,	
falkser,	ফ্যাক্সের,	ফক্সের,	
shuperhero,	সুপামেরা,	সুপারহিরো,	
satarkotar,	সতারকাাতার,	সতর্কতার,	
wolapuk,	উলাপুক,	ভোলাপুক,	
agrodoot,	অগ্রাদিত,	অগ্রদূত,	
mousumei,	মৌসুমেই,	মৌসুমেই,	
sipht,	সিফ্ট,	শিফট,	
ongshograhon,	অংশগ্রহণ,	অংশগ্রহন,	
jerushalem,	জেরুশালেম,	জেরুসালেম,	
disni,	দিশনি,	ডিজনী,	
anadhikar,	অনাধিকার,	অনধিকার,	
abodamoner,	অবদমানের,	অবদমনের,	
brake,	ব্র্যাকে,	ব্রেক,	
elaakaatir,	এলাকাটির,	এলাকাটির,	
windo,	উইন্দ,	উইন্ডো,	
masey,	মাসে,	মাসে,	
horiddar,	হরিদদ্ডার,	হরিদ্বার,	
tukroke,	তুকরকে,	টুকরোকে,	
evaner,	ইভাণের,	ইভানের,	
prakare,	প্রকারে,	প্রকারে,	
ghatke,	ঘটকে,	ঘাটকে,	
kodti,	কডিতি,	কোডটি,	
enasiyenta,	ইনসিইনেট,	এনসিয়েন্ট,	
damonmulok,	দমমনুলক,	দমনমূলক,	
dharavahiker,	ধারাবিহিকের,	ধারাবাহিকের,	
daktikit,	দাক্তিকিত,	ডাকটিকিট,	
janosangjog,	জনসংখ্যাগ,	জনসংযোগ,	
summi,	সুমি,	সুমি,	
hiragaana,	হিরোগান,	হিরাগানা,	
auncholo,	আউনচাল,	অঞ্চলও,	
bhiqtara,	ভিক্তরা,	ভিক্টর,	
kaalki,	কালকি,	কালকি,	
khappar,	খ্যাপ্র,	খপ্পর,	
porijoner,	পরিজনের,	পরিজনের,	
rananganey,	রণাঙ্গনে,	রণাঙ্গনে,	
instant,	ইন্সটেন্ট,	ইনস্ট্যান্ট,	
muphti,	মুফতি,	মুফতি,	
suparichita,	সুপারিল,	সুপরিচিত,	
dakkhinangsho,	দক্ষিণাংশ,	দক্ষিণাংশ,	
nazi,	নাজি,	নাত্সি,	
jonesh,	জনেশ,	জোন্স,	
agoora,	আগোরা,	আগোরা,	
dharabahikotitey,	ধারাবিখালিতে,	ধারাবাহিকটিতে,	
madeling,	ম্যানিজিং,	মডেলিং,	
danakana,	ডানকানা,	ডানকান,	
meghkey,	মাঘকে,	মেঘকে,	
ghetoo,	ঘেত,	ঘেটু,	
talaal,	তোলাল,	তালাল,	
thaken,	থেকেন,	থাকেন,	
kormokarke,	কর্মকারকে,	কর্মকারকে,	
phaksa,	ফকক্স,	ফক্স,	
temonyi,	টেমনি,	তেমনই,	
dwibidh,	দ্বিধি,	দ্বিবিধ,	
gunje,	গুণ্জে,	গুঁজে,	
alaa,	আলা,	আলা,	
mukhabandho,	মুখান্বোধ,	মুখবন্ধ,	
aunti,	অনটি,	আন্টি,	
dobhar,	ডভার,	ডোভার,	
shaajaano,	সাজানো,	সাজানো,	
nake,	নাকে,	নেক,	
akhandata,	আখন্দা,	অখণ্ডতা,	
ivam,	ইভাম,	ইভিএম,	
chheelona,	ছিলানো,	ছিলনা,	
developer,	ডেভেলপার,	ডেভলপার,	
sahocorrzo,	সহকার্য্য,	সাহচর্য,	
aiees,	আইএস,	আইএএস,	
bibechya,	বিবেচ্,	বিবেচ্য,	
sqirt,	স্ক্রিট,	স্কার্ট,	
songrahok,	সংগ্রাহক,	সংগ্রাহক,	
venam,	ভেনাম,	ভেনম,	
klauda,	ক্লাড,	ক্লাউড,	
barder,	বর্ডের,	বার্ডের,	
torup,	তরূপ,	ট্রুপ,	
octane,	অক্টান,	অকটেন,	
jommu,	জমুমু,	জম্মু,	
ghumata,	ঘুমতা,	ঘুমাতো,	
shayatana,	সায়াট,	শয়তান,	
harris,	হার্সিস,	হ্যারিস,	
sikkhakbrindo,	শিক্ষাকবিন্ধ,	শিক্ষকবৃন্দ,	
tahalo,	তহলো,	তাহলো,	
cheshsh,	চেশ,	চেস,	
elaakai,	এলাকেই,	এলাকাই,	
aashirbad,	আশীর্বাদ,	আশির্বাদ,	
dorun,	দরুণ,	দরুণ,	
mehonoti,	মেহনতি,	মেহনতি,	
abosorer,	অবসরের,	অবসরের,	
chalachchitro,	চলচিচ্র,	চলচ্চিত্র,	
ishtara,	ইস্টার,	ইস্টার,	
inshtant,	ইন্সটেন্ট,	ইনস্ট্যান্ট,	
koomarir,	কুমারীর,	কুমারীর,	
sthaponakay,	স্থাপাতে,	স্থাপনাকে,	
alpo,	আল্প,	অল্প,	
nirbaho,	নির্বহহ,	নির্বাহ,	
larson,	লার্সন,	লারসন,	
vorkendro,	ভরক্নিদ্র,	ভরকেন্দ্র,	
lutheerana,	লুচিরপান,	লুথেরান,	
bibek,	বিবেক,	বিবেক,	
mit,	মিট,	এমআইটি,	
asamonjasyopurno,	আসম্নবস্বাপিত,	অসামঞ্জস্যপূর্ণ,	
protizogiider,	প্রতিযোগীদের,	প্রতিযোগীদের,	
upostheetir,	উপস্থিতির,	উপস্থিতির,	
aakkash,	আককাম,	আককাস,	
graambashi,	গ্রেমবসী,	গ্রামবাসী,	
expose,	এক্সপেস,	এক্সপোজ,	
abikol,	অবিকল,	অবিকল,	
bhimsen,	ভিম্সেন,	ভীমসেন,	
turkyder,	তুর্কীদের,	তুর্কিদের,	
sanmukh,	সন্মুখ,	সন্মুখ,	
enginiirs,	ইঞ্জিন্ড,	ইঞ্জিনিয়ার্স,	
obosorer,	অবসরের,	অবসরের,	
mutar,	মুটার,	মুতার,	
fartha,	ফার্থ,	ফার্থ,	
utsaho,	উত্সহ,	উৎসাহ,	
ekla,	একলা,	একলা,	
soomitrar,	সুমিত্রা,	সুমিত্রার,	
abheedhaneek,	অভিধানিক,	অভিধানিক,	
zoneser,	জোনেসের,	জোন্সের,	
koyeeri,	কেরির,	কোয়েরি,	
mosjidtikey,	মজজীদিতিকে,	মসজিদটিকে,	
rifleksa,	রাইফেলক্স,	রিফ্লেক্স,	
kooshumba,	কুশুম্বা,	কুশুম্বা,	
alangkoron,	অলংকরণ,	অলঙ্করণ,	
chalo,	চাল,	চলো,	
choudhureeke,	চৌধুরকে,	চৌধুরীকে,	
naren,	নারেন,	নরেন,	
choshon,	চোষণ,	চোষণ,	
heepatitis,	হেপটিটিস,	হেপাটাইটিস,	
bazaareo,	বাজারেও,	বাজারেও,	
mitroyo,	মিত্রো,	মিত্রও,	
boikollyo,	বইকল্ট,	বৈকল্য,	
gaddafii,	গাদ্ধাফী,	গাদ্দাফী,	
dosha,	দোসা,	দোসা,	
tuni,	তুনি,	টুনি,	
jeten,	জেতেন,	যেতেন,	
bhalobase,	ভালবাসে,	ভালোবাসে,	
beshorkarikarone,	বেসরকারীকরণের,	বেসরকারিকরণ,	
karim,	করিম,	করিম,	
jonmat,	জন্মাত,	জন্মাত,	
mukhamandaler,	মুখমন্ডলে,	মুখমণ্ডলের,	
konistho,	কণিষ্ঠ,	কনিষ্ঠ,	
doorger,	ডার্গের,	দুর্গের,	
taale,	তালে,	তালে,	
skara,	স্কর,	স্কোর,	
bait,	বাইট,	বাইট,	
graambaashi,	গ্রামবাসী,	গ্রামবাসী,	
chalchhe,	চলছচে,	চলছে,	
bisheshyo,	বিশেষিও,	বিশেষ্য,	
victar,	ভিক্টার,	ভিক্টর,	
futbolarer,	ফুটোলারের,	ফুটবলারের,	
jaruri,	জরুরি,	জরূরী,	
karmokerer,	কর্মকের,	কর্মকারের,	
harbore,	হরবরর,	হারবারে,	
oitijhye,	ঐতিহ্যাবী,	ঐতিহ্যে,	
grambashi,	গ্র্মবসসি,	গ্রামবাসী,	
mumtajer,	মুমতলাদের,	মুমতাজের,	
oshtader,	অস্টাদের,	ওস্তাদের,	
duburir,	দুবুরির,	ডুবুরির,	
digrio,	ডিগ্রিও,	ডিগ্রিও,	
sayatana,	সযয়ান,	শয়তান,	
gaichey,	গেছে,	গাইছে,	
governorer,	গভর্নরের,	গভর্ণরের,	
deezni,	দিনি,	ডিজনী,	
fatakeshto,	ফটকেস্ট,	ফাটাকেষ্ট,	
fud,	ফুড,	ফুড,	
ingrejraa,	ইংরেজ্রা,	ইংরেজরা,	
sombhobonaao,	সম্ভাবনা,	সম্ভবনাও,	
jarusalem,	জরুুশেস,	জেরুসালেম,	
lazika,	লাজিক,	লজিক,	
sheekarder,	শিকারের,	শিকারদের,	
graambaseeder,	গ্রামবেশ্যের,	গ্রামবাসীদের,	
bonkey,	বোনকে,	বনকে,	
shasankorta,	শাসনক্রতা,	শাসনকর্তা,	
jeebnagar,	জীবনার,	জীবননগর,	
obodamoner,	অবদমানের,	অবদমনের,	
gaichhe,	গেছে,	গাইছে,	
kadarer,	কাদারের,	কদরের,	
anchaleo,	অঞ্চেলো,	অঞ্চলেও,	
mahindra,	মাহিন্দ্র,	মাহিন্দ্রা,	
maarmader,	মার্মদের,	মারমাদের,	
banshite,	বাঁশীতে,	বাঁশিতে,	
maradeha,	মারেডেয়া,	মরদেহ,	
eemarjeensi,	এমার্জিনিক,	এমার্জেন্সি,	
panthaar,	পান্থার,	পন্থার,	
dayitwa,	দৈত্য,	দায়িত্ব,	
ekok,	একোক,	একক,	
taigara,	তাইগর,	টাইগার,	
chirontan,	চিরন্থন,	চিরন্তন,	
definition,	ডেফিনিশন,	ডেফিনেশন,	
ganakantha,	গনমণক্ষা,	গণকণ্ঠ,	
gatre,	গোত্রে,	গাত্রে,	
mausumeo,	মৌসুমে,	মৌসুমেও,	
categoryr,	ক্যাটার্জার,	ক্যাটাগরির,	
ekghore,	একঘাে,	একঘরে,	
tarunke,	তারুণকে,	তরুণকে,	
chon,	চন,	ছোঁ,	
vastubad,	বস্তুবাদ,	বস্তুবাদ,	
estoniya,	এস্টিনিয়া,	এস্তোনিয়া,	
neshnos,	নেশনসস,	নেশনস,	
akhaate,	এখাতে,	একহাতে,	
netherlandey,	নেথারল্যান্ডে,	নেদারল্যান্ডে,	
charrjito,	চার্গিত,	চার্জিত,	
uroor,	ঊুর,	উরুর,	
estonia,	এস্টিনিয়া,	এস্তোনিয়া,	
shotokeo,	শতকে,	শতকেও,	
transformaarer,	ট্রান্সপোরের,	ট্রান্সফরমারের,	
kanasharabheshhana,	কনসাকারশশলন,	কনসারভেশন,	
madrasar,	মাদরাসর,	মাদ্রাসার,	
torangunj,	তরঙ্গগঞ্জ,	তোরাবগঞ্জ,	
naitikatabodh,	নেইকেতকাবাদী,	নৈতিকতাবোধ,	
shaluk,	শালুক,	শালুক,	
anodhikaar,	অনুধিকার,	অনধিকার,	
sukkhma,	সূক্ষমমা,	সুক্ষ্ম,	
postar,	পোস্টার,	পোস্টের,	
anchalti,	অঞ্চলিটি,	অঞ্চলটি,	
ekooghore,	একঘরে,	একঘরে,	
ooporostho,	অপর্ষ্ঠ,	উপরস্থ,	
hingsar,	হিংসার,	হিংসার,	
peshto,	পেস্ট,	পেষ্ট,	
gejeted,	জেজাটেইড,	গেজেটেড,	
jilyaand,	জিল্যান্ড,	জিল্যান্ড,	
uzbekistan,	উজবেশ্স্টন,	উজবেকিস্তান,	
rajashri,	রাজস্বী,	রাজশ্রী,	
bachaikrito,	বাচাকৃত,	বাছাইকৃত,	
bisnoo,	বিষ্ণু,	বিষ্ণু,	
phood,	ফোড,	ফুড,	
version,	ভার্সন,	ভারশন,	
koonti,	কোনটি,	কুন্তী,	
mayili,	মেইলি,	মাইলি,	
rah,	রহ,	রঃ,	
karadando,	কারাদন্ড,	কারাদণ্ড,	
gaugee,	গৌগি,	গেজ,	
siitei,	সীতেই,	শীতেই,	
chutochuti,	চুটুচটি,	ছুটোছুটি,	
hari,	হারি,	হরি,	
ko,	কো,	কেও,	
aswastikar,	অস্বস্তিকার,	অস্বস্তিকর,	
abhidhaneec,	অভিধানিক,	অভিধানিক,	
aunty,	অন্টি,	আন্টি,	
baikalya,	বাইক্ল্ল,	বৈকল্য,	
shasheja,	শাশিলা,	সসেজ,	
nathivukteer,	নথিভুক্তির,	নথিভুক্তির,	
romancha,	রোমা্চা,	রোমাঞ্চ,	
maadhoobir,	মাধ্যবীর,	মাধবীর,	
probhritir,	প্রভূরিতি,	প্রভৃতির,	
veemsen,	ভীমেন,	ভীমসেন,	
probhur,	প্রভূর,	প্রভুর,	
helly,	হেলি,	হিলি,	
abhigomon,	অভিগমন,	অভিগমন,	
sidiul,	সিডিওল,	শিডিউল,	
jani,	জনি,	জনি,	
naditike,	নাদিতেকে,	নদীটিকে,	
asocietes,	অসুকিটেস,	এসোসিয়েটস,	
bajareo,	বাজারেও,	বাজারেও,	
qyandi,	ক্যান্ডি,	ক্যান্ডি,	
sonali,	সোনালি,	সোনালী,	
rifleks,	রাইফেলক,	রিফ্লেক্স,	
paltechhey,	পালটিছে,	পাল্টেছে,	
kandey,	কাঁডে,	কাণ্ডে,	
maryir,	মেরির,	ম্যারির,	
dhonyi,	ধনি,	ধন্যি,	
nikat,	নিকট,	নিকট,	
heemi,	হিমি,	হিমি,	
heja,	হেজ,	হেজ,	
gosthyi,	গোষ্ঠী,	গোষ্ঠীই,	
muhommoder,	মুহাম্ডদের,	মুহম্মদের,	
bonshi,	বন্সী,	বংশী,	
paddhatiteo,	পদ্ধতিতেও,	পদ্ধতিতেই,	
homeser,	হোমেসের,	হোমসের,	
uul,	উইল,	উল,	
sofy,	সফি,	সোফি,	
parbotto,	পর্বত্ত,	পার্বত্য,	
honduras,	হনুদ্রস,	হন্ডুরাস,	
sothik,	সথিক,	সঠিক,	
plainti,	প্লান্টি,	প্লেনটি,	
ottacharito,	অত্যচাৃত,	অত্যাচারিত,	
bisheshshyer,	বিশেষের,	বিশেষ্যের,	
mahajote,	মহাজতে,	মহাজোট,	
vaabna,	ভাবনা,	ভাবনা,	
mukhomaundol,	মুখমোন্ডল,	মুখমণ্ডল,	
vabuk,	ভাবুক,	ভাবুক,	
armeenian,	আর্মিনিয়ান,	আর্মেনিয়ান,	
pleena,	প্লিনা,	প্লেন,	
hamasa,	হমাস,	হোমস,	
soochonakal,	সূচনাকাল,	সূচনাকাল,	
shayetana,	সাইটান,	শয়তান,	
taala,	টোলা,	তালা,	
uponeesoder,	উপনিষদের,	উপনিষদের,	
mohish,	মহীশ,	মহিষ,	
praman,	প্রমাণ,	প্রমান,	
manbe,	মানবে,	মানবে,	
gasthike,	গাস্থীকে,	গোষ্ঠীকে,	
haak,	হাক,	হুক,	
teter,	তেটের,	টেটের,	
uindoo,	উইন্দ,	উইন্ডো,	
abhishangsan,	অভিশন্মল,	অভিশংসন,	
shamuk,	শামুক,	শামুক,	
state,	স্টেট,	স্টেইট,	
azimke,	আজিমকে,	আজিমকে,	
gunze,	গুণ্জে,	গুঁজে,	
gabeshakgon,	গবেষকাণ,	গবেষকগণ,	
petrol,	পেত্রোল,	পেট্রোল,	
oitijjho,	ঐতিহ্য,	ঐতিহ্য,	
bojhaao,	বোঝাও,	বোঝাও,	
bhangey,	ভাঙ্গে,	ভাঙ্গে,	
booponer,	বূপেনের,	বপনের,	
marino,	মেরিন,	মারিনো,	
chalachchitrei,	চলচিচ্রে,	চলচ্চিত্রেই,	
ghurte,	ঘুর্তে,	ঘুরতে,	
sharifer,	শরীফের,	শরিফের,	
ingrejder,	ইংরিজের,	ইংরেজদের,	
fulkapi,	ফুলোামিফির,	ফুলকপি,	
peeri,	পেরি,	পেরি,	
ekpashe,	একপাশে,	একপাশে,	
ingrezra,	ইংরেজ্রো,	ইংরেজরা,	
cholochchitratike,	চলচ্চিত্রাকে,	চলচ্চিত্রটিকে,	
reliance,	রেলিন্স,	রিলায়েন্স,	
letterey,	লেটারে,	লেটারে,	
keu,	কেউ,	কেউ,	
shoccer,	সক্কের,	সকার,	
samoshti,	সমস্তি,	সমষ্টি,	
huqa,	হুক,	হুক,	
parker,	পার্কের,	পার্কের,	
ghatleo,	ঘটেলেও,	ঘটলেও,	
ukeliptash,	উকলেপ্লম,	ইউক্যালিপ্টাস,	
sathikata,	সথিকতা,	সঠিকতা,	
raitasa,	রাইটাস,	রাইটস,	
dhojovongo,	ধজবজ্ঞ,	ধ্বজভঙ্গ,	
informeshon,	ইনফর্মেশন,	ইনফরমেশন,	
anish,	অনিশ,	আনিস,	
carzito,	কার্জিট,	চার্জিত,	
naagaaland,	নাগালল্ডন,	নাগাল্যান্ড,	
chalochchitrei,	চলচ্চিত্রকে,	চলচ্চিত্রেই,	
karadondey,	কারাদন্ডে,	কারাদণ্ডে,	
keyu,	কেউ,	কেউ,	
kaloniir,	কালনীর,	কালনীর,	
netions,	নেটিং,	নেশনস,	
probesher,	প্রবেশের,	প্রবেশের,	
geeja,	গেজ,	গেজ,	
matte,	মাততে,	ম্যাট,	
bbiswasho,	বিশ্বাসহ,	বিশ্বাসও,	
yucalyptush,	ইউকাল্লিপিটাস,	ইউক্যালিপ্টাস,	
abhiyojan,	অভিযুজনা,	অভিযোজন,	
boudha,	বৌদ্ধ,	বৌদ্ধ,	
manahputa,	মনাাহুত,	মনঃপুত,	
qulim,	কুলিম,	কুলিং,	
tourisht,	তুরিষ্ট,	টুরিস্ট,	
varotey,	ভারতে,	ভারতে,	
lohaar,	লোহার,	লোহার,	
horeepur,	হরিপুর,	হরিপুর,	
mozlish,	মজলিস,	মজলিশ,	
parkim,	পার্কিং,	পার্কিং,	
nirorthok,	নিরা্থক,	নিরর্থক,	
shkalashtika,	শ্কলোষিক,	স্কলাস্টিক,	
engineering,	ইঞ্জিনির,	ইঞ্জিনিয়ারিং,	
ajijoor,	আজিজুর,	আজিজুর,	
songasthati,	সংস্থাসিতি,	সংস্থাটি,	
icebarg,	ইসেবরর,	আইসবার্গ,	
oodoore,	উদুরে,	অদুরে,	
bilati,	বিলতি,	বিলাতী,	
jwolbe,	জ্বলেবে,	জ্বলবে,	
taunship,	তাউন্সি,	টাউনশিপ,	
breakthrough,	বৃক্ষঠর্য,	ব্রেকথ্রু,	
hobu,	হবু,	হবু,	
nisad,	নিশাদ,	নিষাদ,	
orthonitite,	অর্থনীতে,	অর্থনীতিতে,	
jeansh,	জিনস,	জিন্স,	
madhobi,	মাধবী,	মাধবী,	
promotione,	প্রমেশনে,	প্রোমোশনে,	
superheror,	সুপারের,	সুপারহিরোর,	
sharoker,	শরকের,	স্মারকের,	
zojjyota,	যোজ্যতা,	যোজ্যতা,	
horidware,	হরিদ্যে,	হরিদ্বারে,	
rubidiyaam,	রুবিদিযা,	রুবিডিয়াম,	
cholchhee,	চলচিছ,	চলছে,	
licensin,	লিকেন্স,	লাইসেন্সিং,	
deefinishion,	ডিফিনিসাইপ,	ডেফিনেশন,	
foster,	ফোস্টার,	ফস্টার,	
akhando,	আখন্দ,	অখন্ড,	
abasare,	অবসরে,	অবসরে,	
gitikabita,	গীতিকাবত,	গীতিকবিতা,	
armshtronj,	আর্ষ্ট্রজন,	আর্মস্ট্রং,	
shrabastee,	শ্রবাশ্তি,	শ্রাবস্তী,	
bafal,	বফফল,	বিফল,	
vabnar,	ভা্নার,	ভাবনার,	
roopdaan,	রূপদদান,	রুপদান,	
bbiswashi,	বিশ্ববসী,	বিশ্বাসই,	
nadimatrik,	নদীশত্র্ক,	নদীমাতৃক,	
bhorodwaj,	ভোরর্োজ,	ভরদ্বাজ,	
kodom,	কডম,	কদম,	
shource,	সোর্কে,	সোর্স,	
nagarikderkey,	নগরীকদেরকে,	নাগরিকদেরকে,	
peethey,	পিঠে,	পীঠে,	
kaferderke,	কফিরেডে,	কাফেরদেরকে,	
ajijur,	আজিউর,	আজিজুর,	
obeekol,	অবিকাল,	অবিকল,	
plato,	প্লট,	প্লেটো,	
upobasi,	উপবাসী,	উপবাসী,	
muhammad,	মুহাম্মাদ,	মুহম্মদ,	
anshograhone,	অংশগ্রহণে,	অংশগ্রহনের,	
noitikota,	নইতিকতা,	নৈতিকতা,	
jar,	যার,	জ্বর,	
abheedhaneeck,	অভিধানিক,	অভিধানিক,	
uinndo,	উইন্ড,	উইন্ডো,	
inapharameeshana,	ইনফাযামেশন,	ইনফরমেশন,	
laj,	লাজ,	লাজ,	
seconde,	সেকন্ডে,	সেকেন্ডে,	
antarbhutto,	অন্তর্ভূক্ত,	অন্তর্ভুক্ত,	
granther,	গ্রন্থের,	গ্রন্থের,	
ashanka,	আসঙ্কা,	আশঙ্কা,	
vor,	ভোর,	ভর,	
ponchaasjon,	পঞ্চাশন,	পঞ্চাশজন,	
ahalya,	আহল্য,	অহল্যা,	
karlei,	করর্লি,	করলেই,	
jhankaar,	ঝাঁকার,	ঝঙ্কার,	
bbosben,	বাসবেন,	বসবেন,	
longhoner,	লঙ্ঘনের,	লংঘনের,	
kyashpar,	ক্যাস্পার,	ক্যাসপার,	
sangosthatike,	সংস্থাস্তিযে,	সংস্থাটিকে,	
baarakpur,	বারাখপর,	বারাকপুর,	
township,	টোকনিম,	টাউনশিপ,	
dupleex,	ডাফ্লিক,	ডুপ্লে,	
juddhahato,	যুদ্ধহা,	যুদ্ধাহত,	
bayi,	বাই,	বাঈ,	
kkhur,	খ্কুর,	ক্ষুর,	
orthanitite,	অর্থনীতে,	অর্থনীতিতে,	
segulor,	সেগুলোর,	সেগুলোর,	
bota,	বোটা,	বটা,	
seekkhokke,	শিক্ষককে,	শিক্ষককে,	
nirapekkhotar,	নিরোপেকচার,	নিরপেক্ষতার,	
madhyastho,	মধ্যস্থ,	মধ্যস্থ,	
phake,	ফাকে,	ফাকে,	
sthaponake,	স্থাপনকে,	স্থাপনাকে,	
dephineshhana,	ডেফিনিশান,	ডেফিনেশন,	
hertz,	হার্ল,	হার্জ,	
silwer,	সিলার,	সিলভার,	
protisthasoho,	প্রতিষ্ঠামাও,	প্রতিষ্ঠাসহ,	
eexpreession,	এক্সপ্রেশন,	এক্সপ্রেশন,	
soorti,	সূর্তি,	সুরটি,	
songkolonti,	সংক্যানটি,	সংকলনটি,	
bolkarok,	বলকারক,	বলকারক,	
narsaari,	নার্সারী,	নার্সারি,	
sangosthaner,	সংস্থা্নের,	সংস্থানের,	
poste,	পোস্টে,	পোষ্টে,	
rajtantra,	রাজতত্তর্ব,	রাজতন্ত্র,	
bifol,	বিফল,	বিফল,	
naneer,	নানীর,	নানীর,	
ancholeo,	অঞ্চেলো,	অঞ্চলেও,	
gotirodh,	গোতিরোধ,	গতিরোধ,	
grambasi,	গ্র্মবেসি,	গ্রামবাসী,	
mitar,	মিতার,	মিত্র,	
batsmanyi,	বৎসম্পি,	ব্যাটসম্যানই,	
otiiteo,	অতিতেই,	অতীতেও,	
elakatey,	এলাকতে,	এলাকাতে,	
oncholgulote,	অঞ্চলুগুলে,	অঞ্চলগুলোতে,	
chaudhurir,	চৌধুরির,	চৌধুরীর,	
jibanta,	জীবন্ত,	জীবন্ত,	
juktorashtrer,	যুক্তরাস্ট্রের,	যুক্তরাষ্ট্রের,	
konphlikt,	কনফটিকট,	কনফ্লিক্ট,	
bapokotor,	ব্যাকাটার,	ব্যাপকতর,	
trayte,	ট্রেইট,	ট্রেতে,	
jaanar,	যানার,	জানার,	
marketim,	মার্কাইস,	মার্কেটিং,	
garjan,	গার্জন,	গর্জন,	
shuparahiro,	সুপারিহার,	সুপারহিরো,	
shektore,	সেক্তরে,	সেক্টরে,	
sosoa,	শস,	শশা,	
ostader,	অস্টাদের,	ওস্তাদের,	
injil,	ইঞ্জিল,	ইঞ্জিল,	
adhattikotar,	আধ্তত্য্তার,	আধ্যাত্মিকতার,	
batikromshalee,	বাতিক্রমশী,	ব্যতিক্রমধর্মী,	
taivan,	টাইভান,	তাইওয়ান,	
addabaz,	আদ্রাজ,	আড্ডাবাজ,	
ottacharer,	অত্তাহারে,	অত্যাচারের,	
sudha,	সুধ্য,	সুধা,	
abdune,	আব্দুনে,	আবদুন,	
modhyostho,	মধ্যস্থ,	মধ্যস্থ,	
boikolyo,	বৈকল্ল,	বৈকল্য,	
jaatti,	যাটটি,	জাতটি,	
aairees,	আইরিশ,	আইরিস,	
moushumei,	মৌসুমেই,	মৌসুমেই,	
moshjidti,	মসসিজিতি,	মসজিদটি,	
mausumer,	মাসুমের,	মৌসুমের,	
mandanda,	মন্দন্ড,	মানদণ্ড,	
majlish,	মজলিস,	মজলিশ,	
ghoomachhilo,	ঘোমাছিল,	ঘুমাচ্ছিল,	
kaando,	কান্দ,	কাণ্ড,	
hoomes,	হোমেস,	হোমস,	
protizogii,	প্রতিযোগী,	প্রতিযোগী,	
rajpurohit,	রাজপুরিত,	রাজপুরোহিত,	
shoreefer,	শরীফের,	শরিফের,	
dakhbaar,	দাখবার,	দেখবার,	
gostii,	গোস্টি,	গোষ্ঠীই,	
liceensing,	লিকিন্স,	লাইসেন্সিং,	
mondope,	মন্ডনে,	মন্ডপে,	
forid,	ফরিড,	ফরিদ,	
doloo,	দলও,	ডলু,	
kale,	কালে,	কালে,	
trenda,	ট্রেন্ড,	ট্রেন্ড,	
bi,	বি,	বি,	
change,	চঙ্গে,	চেঞ্জ,	
byatarii,	ব্যাটারী,	ব্যাটারী,	
arena,	এরেন,	এরিনা,	
swapod,	স্বপদ,	শ্বাপদ,	
dikpal,	দিক্াল,	দিকপাল,	
tenise,	টেনিসে,	টেনিসে,	
obhaarbhiu,	অভর্বীহ,	ওভারভিউ,	
bronjer,	ব্রাঞ্জের,	ব্রোঞ্জের,	
maniktala,	মনিক্যাল,	মানিকতলা,	
maudelke,	মৌদলকে,	মডেলকে,	
hossne,	হসসেন,	হোসনে,	
shqolastic,	স্কল্লিস্ট,	স্কলাস্টিক,	
byan,	ব্যান,	ব্যাং,	
torkaryr,	তরকারীর,	তরকারীর,	
probhuder,	প্রভুদের,	প্রভুদের,	
venisey,	ভেনিসে,	ভেনিসে,	
prokalpagulo,	প্রচাপনগুলো,	প্রকল্পগুলো,	
kaner,	কানের,	কনের,	
sylvi,	সিলাই,	সিলভি,	
ankeeta,	অ্যাক্ট,	অঙ্কিতা,	
boner,	বোনের,	বনের,	
rajtantrey,	রাজনত্্ত্যে,	রাজতন্ত্রে,	
mohisho,	মহীশ,	মহিষ,	
kash,	কাশ,	কাস,	
barack,	বররক,	বারাক,	
deepon,	ডিপন,	দীপন,	
masjidsaho,	মাজিং্ধ,	মসজিদসহ,	
ashe,	আসে,	আসে,	
siqhar,	শিখার,	শিকার,	
ganonanatto,	গণনানতত্ব,	গণনাট্য,	
oncholtee,	অঞ্চলিতি,	অঞ্চলটি,	
masto,	মাস্ত,	মাস্ত,	
jatiinke,	জাতিনকে,	যতীনকে,	
qrisenta,	ক্রিসেন্ট,	ক্রিসেন্ট,	
direektareeta,	ডিরেক্টারের,	ডিরেক্টরেট,	
stanahenja,	স্তনসাজ্য,	স্টোনহেঞ্জ,	
chaudhurider,	চৌধুরির,	চৌধুরীদের,	
pravritike,	প্রভৃতিকে,	প্রভৃতিকে,	
huqar,	হুকার,	হুকার,	
pakhirai,	পাখিরেই,	পাখিরাই,	
laicenshe,	লাইস্সে,	লাইসেন্স,	
gotibege,	গতিবেগে,	গতিবেগে,	
kormosongsthan,	কর্মসংস্থান,	কর্মসংস্থান,	
doojoo,	দুজু,	ডোজো,	
iksaprishana,	এক্সপ্রেশন,	এক্সপ্রেশন,	
laaishenshh,	লাইসেস,	লাইসেন্স,	
noditike,	নদীতিকে,	নদীটিকে,	
khilafot,	খিলাফোট,	খিলাফত,	
chire,	চিরে,	চিরে,	
poschimey,	পশ্চিমে,	পশ্চিমে,	
cyanide,	ক্যানিডে,	সায়ানাইড,	
bolovodro,	বলভদ্র,	বলভদ্র,	
addhatikotar,	অধ্যতিকতা,	আধ্যাত্মিকতার,	
booroon,	বুরু,	বোরন,	
faksa,	ফক্স,	ফক্স,	
