ganochiner,	গণচিলের,	গণচীনের,	
temanbhabe,	তেমনভাবে,	তেমনভাবে,	
sahocorrzo,	সহচর্য,	সাহচর্য,	
mousumeo,	মৌসুমেও,	মৌসুমেও,	
bhangchur,	ভাঙচুর,	ভাংচুর,	
ikbalke,	ইকবলবেকে,	ইকবালকে,	
jomjamat,	যমজমাত,	জমজমাট,	
gore,	গোরে,	গোর,	
uddhrity,	উদ্ধৃতি,	উদ্ধৃতি,	
female,	ফেমলে,	ফিমেল,	
jonesh,	জনেশ,	জোন্স,	
bolvodro,	বলভোদরো,	বলভদ্র,	
dharer,	ধরের,	ধরের,	
omanisa,	অমানিস,	অমানিশা,	
ooeepokar,	ওইপকার,	উইপোকার,	
taunasipa,	টওনাসিপা,	টাউনশিপ,	
jomanor,	জমানোর,	জমানোর,	
pluse,	প্লাইজ,	প্লাসে,	
michhilti,	মিছিলটি,	মিছিলটি,	
estaniya,	এস্টেনিয়া,	এস্তোনিয়া,	
nisader,	নিষাদের,	নিষাদের,	
antorbhukta,	অন্তর্ভূক্ত,	অন্তর্ভুক্ত,	
aminar,	আমিনার,	আমিনার,	
basakey,	বসাকে,	বাসাকে,	
indr,	ইন্ড্র,	ইন্দ্র,	
servere,	সার্ভারে,	সার্ভারে,	
emarjenshi,	এমারেনস্সি,	এমার্জেন্সি,	
bhabanir,	ভবনীর,	ভবানীর,	
eekbalke,	ইকবলকে,	ইকবালকে,	
teemothi,	তিমথি,	টিমোথি,	
jojyata,	যোজ্যাত,	যোজ্যতা,	
agomonke,	আগমনকে,	আগমনকে,	
uroor,	ইউরুর,	উরুর,	
bona,	বোনা,	বোনা,	
byatari,	ব্যাটারি,	ব্যাটারী,	
ebhara,	ইভার,	এভার,	
cheerota,	চিরোতা,	চিরতা,	
taatey,	তাটে,	তাতে,	
motabolombiira,	মোটবলমমবীরা,	মতাবলম্বীরা,	
bagichar,	বাগিচার,	বাগিচার,	
heelse,	হেলসে,	হিলসে,	
shikhra,	শিক্ষা,	শিখরা,	
baet,	ব্যাট,	বাইট,	
golakriti,	গোলকৃতি,	গোলাকৃতি,	
sanaktokoroner,	সনাক্তকরণের,	সনাক্তকরণের,	
aabarte,	আবর্তে,	আবর্তে,	
olngkoron,	অলংকরণ,	অলঙ্করণ,	
sorbopori,	সর্বপরি,	সর্বোপরী,	
kuchir,	কুচির,	কুচির,	
palestiner,	পলেস্টিনের,	প্যালেস্টাইনের,	
lagic,	লাগিক,	লজিক,	
ponchaasjon,	পঞ্চাশযন,	পঞ্চাশজন,	
sikare,	শিকারে,	শিকারে,	
sikkhaou,	শিক্ষাও,	শিক্ষাও,	
pronoti,	প্রণোটি,	প্রণতি,	
hishaber,	হিসাবের,	হিসাবের,	
paschimey,	পশ্চিমে,	পশ্চিমে,	
chhootee,	ছুটি,	ছুটি,	
hoolding,	হোলডিং,	হোল্ডিং,	
goore,	গুরে,	গোর,	
istoone,	ইস্টুন,	স্টোন,	
dhhaaby,	ঢাবি,	ঢাবি,	
shooter,	সুটার,	শ্যুটার,	
sbatantrata,	স্বতন্ত্রত,	স্বতন্ত্রতা,	
siddhanter,	সিদ্ধান্তের,	সিদ্ধান্তের,	
fox,	ফক্স,	ফক্স,	
antarvuktimulak,	অন্তর্ভুক্তুমালক,	অন্তর্ভুক্তিমূলক,	
bhaangchoor,	ভাঙচুর,	ভাংচুর,	
probeshan,	প্রবেশন,	প্রবেশন,	
chopal,	চোপল,	চপল,	
balroom,	বলরুম,	বলরুম,	
kathmaandu,	কঠমন্ডু,	কাঠমান্ডু,	
brookolin,	ব্রোকলিন,	ব্রুকলিন,	
ancholti,	অঞ্চলটি,	অঞ্চলটি,	
aidin,	আইডিন,	এইদিন,	
ide,	আড,	আইডিই,	
bolokarak,	বললকারক,	বলকারক,	
naper,	নাপের,	ন্যাপের,	
chalochchitreo,	চলচিত্রিও,	চলচ্চিত্রেও,	
siima,	সিম,	সীমা,	
dojo,	দজও,	ডোজো,	
homasha,	হোমাস,	হোমস,	
rifleksa,	রাইফেল্স,	রিফ্লেক্স,	
bonoshree,	বনশ্রী,	বনশ্রী,	
daackticket,	ডাক্তিকেট,	ডাকটিকিট,	
sharifer,	শরীফের,	শরিফের,	
sushiksar,	সুশিক্ষার,	সুশিক্ষার,	
chenja,	চেঞ্জা,	চেঞ্জ,	
garner,	গর্নের,	গার্নার,	
vushi,	ভুশি,	ভুষি,	
proman,	প্রমান,	প্রমান,	
ajimke,	আজিমকে,	আজিমকে,	
primoo,	প্রিমো,	প্রিমো,	
perther,	পার্থের,	পার্থের,	
attobishwasi,	আত্মবিশ্বাসী,	আত্মবিশ্বাসী,	
joni,	জনি,	জনি,	
panthaar,	পান্থার,	পন্থার,	
venkates,	ভেনকেটস,	ভেঙ্কটেশ,	
pratijogira,	প্রতিযোগিরা,	প্রতিযোগীরা,	
potchitro,	পটচিত্র,	পটচিত্র,	
kod,	কোড,	কোড,	
bayshorkarikarone,	বেসরকারীকরণে,	বেসরকারিকরণ,	
nirikho,	নিরীক্ষ,	নিরিখ,	
puncho,	পুঞ্চ,	পুঞ্চ,	
koro,	কোরো,	করো,	
lidara,	লিডার,	লিডার,	
brindaaboner,	ব্র্ণ্ডাবনের,	বৃন্দাবনের,	
satyaki,	সত্যকি,	সাত্যকি,	
eeraner,	ইরানের,	ইরানের,	
korimpur,	করিমপুর,	করিমপুর,	
antarbhukta,	অন্তর্ভূক্ত,	অন্তর্ভুক্ত,	
gatibege,	গ্যাটেবেজ,	গতিবেগে,	
uthhe,	উঠে,	উঠে,	
ponjikar,	পণ্জিকার,	পঞ্জিকার,	
artilari,	অর্টিলারি,	আর্টিলারি,	
samanwitabhabe,	সমান্তিতভাবে,	সমন্বিতভাবে,	
teamothi,	টিমোথি,	টিমোথি,	
noitikvabe,	নৈতিকভাবে,	নৈতিকভাবে,	
jomkaalo,	জমকালো,	জমকালো,	
dakop,	ডাকপ,	দাকোপ,	
toler,	তলের,	তালের,	
hock,	হক,	হুক,	
musolmanderkey,	মুলসমনদেরকে,	মুসলমানদেরকে,	
moshzidtir,	মুজদিদটির,	মসজিদটির,	
asoociates,	অসোসিয়েটেস,	এসোসিয়েটস,	
unitgulo,	উউনিতগুলো,	ইউনিটগুলো,	
uposthit,	উপস্থিত,	উপস্থিত,	
soholovyotar,	সহলোভভততার,	সহজলভ্যতার,	
nadnodir,	নদ্যদির,	নদনদীর,	
deyl,	ডেল,	ডেইল,	
cheerontan,	চিরন্টন,	চিরন্তন,	
eemeergeency,	এমেরগেন্সি,	এমার্জেন্সি,	
qiuti,	কিউটি,	কিউটি,	
karmokandeo,	কর্মকণ্ডেও,	কর্মকাণ্ডেও,	
probhritike,	প্রভৃতিকে,	প্রভৃতিকে,	
sobrakomer,	সব্রকমের,	সবরকমের,	
sushukkhar,	সুসুখকার,	সুশিক্ষার,	
vaibonder,	ভাইবনদের,	ভাইবোনদের,	
saatzon,	সাতজন,	সাতজন,	
mangoleek,	মঙ্গলিক,	মাঙ্গলিক,	
bidrohiderkey,	বিদ্রোীদেরকে,	বিদ্রোহীদেরকে,	
grambasee,	গ্রামবাসী,	গ্রামবাসী,	
pujito,	পুজিত,	পুজিত,	
caramiks,	করমিক্স,	সিরামিকস,	
aqabar,	একাবর,	আকাবার,	
homeser,	হোমেসের,	হোমসের,	
petenter,	পটেন্টের,	পেটেন্টের,	
nafisa,	নাফস,	নাফিসা,	
tarunderke,	তারুণ্ডরকে,	তরুণদেরকে,	
chaalke,	চালকে,	চালকে,	
shelinar,	সেলিনার,	সেলিনার,	
lagche,	লাগছে,	লাগছে,	
lyaanding,	ল্যান্ডিং,	ল্যান্ডিং,	
bhenasha,	ভেনস,	ভেনাস,	
shipa,	শিপ,	শিপ,	
haris,	হরিস,	হ্যারিস,	
said,	সেড,	সাইদ,	
weelcomee,	ভেলচোমি,	ওয়েলকাম,	
gandhiyo,	গানধীয়,	গান্ধীও,	
model,	মোডেল,	মডেল,	
nodiitike,	নদীতীকে,	নদীটিকে,	
ibhil,	ইভিল,	ইভিল,	
rah,	রাহ,	রঃ,	
chaakti,	চাকটি,	চাকতি,	
dearas,	ডেরাস,	ডিআরএস,	
abheedhaneeck,	অভিধানিক,	অভিধানিক,	
institutione,	ইন্স্টিটিউশন,	ইনস্টিটিউশনে,	
bodhirta,	বোধির্ত,	বধিরতা,	
deqe,	ডেকে,	ডেকে,	
laabonii,	লাবনী,	লাবনী,	
karadando,	কারাদন্ড,	কারাদণ্ড,	
ejenda,	এজেন্ড,	এজেন্ডা,	
turbiner,	টার্বিনের,	টারবাইনের,	
dharavahiker,	ধারাবাহিকের,	ধারাবাহিকের,	
dibeeta,	দিবীতা,	ডিবেট,	
rinattak,	ঋণাত্মক,	ঋনাত্মক,	
harisoner,	হরিসনের,	হ্যারিসনের,	
oocchoseeto,	উচ্চশিষিত,	উচ্ছসিত,	
phikshim,	ফিক্সিং,	ফিক্সিং,	
prachurjer,	প্রচুর্যের,	প্রাচুর্যের,	
masjid,	মস্জিদ,	মসজিদ,	
vagirath,	ভাগীরথ,	ভগীরথ,	
alauler,	আলাউলের,	আলাওলের,	
anyorup,	অন্যরূপ,	অন্যরূপ,	
rohosyor,	রহহ্যস্র,	রহস্যর,	
maner,	মনের,	মানে,	
soolke,	সুলকে,	শুল্কে,	
tigre,	টাইগ্রে,	টাইগার,	
ayadabhansada,	অ্যাডভানশাড,	অ্যাডভান্সড,	
pratisthanik,	প্রতিষ্ঠানিক,	প্রাতিষ্ঠানিক,	
upobaasher,	উপবাশের,	উপবাসের,	
shamook,	সামুক,	শামুক,	
songosthatir,	সংস্থতারীর,	সংস্থাটির,	
dormitori,	দর্মিতারি,	ডরমিটরি,	
municipal,	মুনিসিপাল,	মিউনিসিপ্যাল,	
bibadey,	বিবাদে,	বিবাদে,	
sthaponagulor,	স্থানানগুলোর,	স্থাপনাগুলোর,	
serverti,	সার্ভেরটি,	সার্ভারটি,	
koyeri,	কোয়েরি,	কোয়েরি,	
soochonakal,	সূচনাকাল,	সূচনাকাল,	
serverer,	সার্ভারের,	সার্ভারের,	
parijan,	পরিয়ান,	পরিজন,	
maudelder,	মৌডলেডের,	মডেলদের,	
mailkhanek,	মেললাখেক,	মাইলখানেক,	
foshter,	ফোস্টার,	ফস্টার,	
dasha,	দশা,	দোসা,	
ganoporibohoner,	গণপরিবহনের,	গণপরিবহনের,	
iispredsheet,	ইসপ্রেস্টিট,	স্প্রেডশীট,	
akhandata,	আখনদতা,	অখণ্ডতা,	
rahh,	রাহ,	রঃ,	
mirakel,	মিরাকেল,	মিরাকেল,	
uzobekeestaan,	উজবেকিস্তান,	উজবেকিস্তান,	
rubidiyaam,	রুবিডিয়াম,	রুবিডিয়াম,	
kark,	কার্ক,	কার্ক,	
drissoteer,	দৃশ্যতির,	দৃশ্যটির,	
subadey,	সুবাদে,	সুবাদে,	
tukror,	টুকরোর,	টুকরোর,	
ghatla,	ঘটলা,	ঘটল,	
browser,	ব্রসের,	ব্রাউজার,	
sangkulaan,	সংকুলন,	সংকুলান,	
provura,	প্রভূরা,	প্রভুরা,	
cannel,	ক্যানেল,	ক্যানেল,	
jibnagore,	জীবনগারে,	জীবননগর,	
nodike,	নোদীকে,	নদীকে,	
corporation,	কর্পোরেশন,	করপোরেশন,	
avinetar,	অভিনেতার,	অভিনেতার,	
bisnooke,	বিষ্ণুকে,	বিষ্ণুকে,	
kraantikaale,	ক্রান্তিকালে,	ক্রান্তিকালে,	
ustad,	উস্তাদ,	উস্তাদ,	
habshee,	হাসী,	হাবশী,	
shreeshree,	শ্রীশ্রী,	শ্রীশ্রী,	
diyares,	ডায়ের,	ডিআরএস,	
pirujalee,	পিরুজালি,	পিরুজালী,	
kindama,	কিনডম,	কিংডম,	
monjiley,	মঞ্জিলে,	মঞ্জিলে,	
olympic,	অলিম্পিক,	অলিম্পিক,	
bashitey,	বাঁশিতে,	বাঁশিতে,	
neerbachoker,	নির্বাচকের,	নির্বাচকের,	
karpeta,	কর্পট,	কার্পেট,	
longghon,	লঙ্ঘন,	লংঘন,	
bbiswashi,	বিশ্বাসী,	বিশ্বাসী,	
ganosakkharata,	গণস্কারতা,	গণসাক্ষরতা,	
potcheetrer,	পটচিত্রের,	পটচিত্রের,	
pothon,	পথন,	পঠন,	
mukhbondho,	মুখবন্ধ,	মুখবন্ধ,	
bon,	বোন,	বন,	
sakara,	সকার,	সকার,	
uporostho,	উপরস্থ,	উপরস্থ,	
mozdur,	মজদুর,	মজদুর,	
progreshsh,	প্রগ্রেস,	প্রগ্রেস,	
rahee,	রাহি,	রাহি,	
lakkhero,	লক্ষেরও,	লক্ষেরও,	
conserwation,	কনসোর্ভেশন,	কনসারভেশন,	
vandare,	ভান্ডারে,	ভাণ্ডারে,	
taali,	তালি,	তালি,	
okhondota,	অখন্দতা,	অখণ্ডতা,	
shivraj,	শিব্রাজ,	শিবরাজ,	
cholochchitrogulor,	চলচ্চিত্রাুলের,	চলচ্চিত্রগুলোর,	
akar,	একার,	একার,	
gronther,	গ্রন্থের,	গ্রন্থের,	
niranjan,	নিরঞ্জন,	নিরঞ্জন,	
talgach,	তলগাছ,	তালগাছ,	
sahochorjo,	সহচর্য,	সাহচর্য,	
purbancoler,	পূর্বাংকলের,	পূর্বাঞ্চলের,	
graambaaseeder,	গ্রামবাসীদের,	গ্রামবাসীদের,	
bodna,	বদনা,	বদনা,	
sahokari,	সহকারি,	সহকারী,	
sofi,	সফী,	সোফি,	
vishhnu,	বিষ্ণু,	বিষ্ণু,	
amar,	আমার,	আমর,	
ekshapreshhana,	এক্সপ্রেশন,	এক্সপ্রেশন,	
bloggerra,	ব্লগগেরা,	ব্লগাররা,	
gajano,	গাজান,	গজানো,	
rajtantra,	রাজতন্ত্র,	রাজতন্ত্র,	
ovarviu,	অভার্ভিউ,	ওভারভিউ,	
bitolser,	বিতলশের,	বিটলসের,	
abadamoner,	আবদামনের,	অবদমনের,	
korta,	কোর্ট,	করতা,	
hosheyin,	হোসেইন,	হোসেইন,	
dharagulo,	ধারাগুলো,	ধারাগুলো,	
protisthasoho,	প্রতিষ্ঠাসহ,	প্রতিষ্ঠাসহ,	
dada,	ডাদ,	দাদা,	
nathivukteer,	নথিভুক্তির,	নথিভুক্তির,	
ekoghore,	একঘরে,	একঘরে,	
plusey,	প্লাউসে,	প্লাসে,	
dharmantor,	ধর্মন্তর,	ধর্মান্তর,	
pudding,	পুদ্দিং,	পুডিং,	
plaiin,	প্লেন,	প্লেন,	
stoneeheengee,	স্টোনেহঙ্গি,	স্টোনহেঞ্জ,	
pouch,	পৌঁছ,	পাউচ,	
sealvi,	সিলভি,	সিলভি,	
nirorthok,	নিরর্থক,	নিরর্থক,	
satarkabhabe,	সতারকভাবে,	সতর্কভাবে,	
ghateer,	ঘাটির,	ঘাটির,	
roomantic,	রোমন্টিক,	রোমান্টিক,	
bhejaano,	ভেজানো,	ভেজানো,	
anchalei,	আঞ্চলেই,	অঞ্চলেই,	
abarto,	আবর্ত,	আবর্ত,	
porizon,	পরিজন,	পরিজন,	
vorkendro,	ভরকেন্দ্র,	ভরকেন্দ্র,	
shqolastic,	স্কলাস্টিক,	স্কলাস্টিক,	
soccar,	সকার,	সকার,	
neshnosh,	নেশনস,	নেশনস,	
mondope,	মন্ডপে,	মন্ডপে,	
dokaangulote,	দকানগুলোতে,	দোকানগুলোতে,	
bagicha,	বাগিচা,	বাগিচা,	
swarther,	স্বর্থের,	স্বার্থের,	
poonch,	পুঁচ,	পুঞ্চ,	
zoubonkal,	যৌবনকাল,	যৌবনকাল,	
boring,	বরিং,	বোরিং,	
isosiyitasa,	ইসোসিয়েশ,	এসোসিয়েটস,	
obodamoner,	অবদামনের,	অবদমনের,	
timoothi,	তিমুথি,	টিমোথি,	
baagicar,	বাগিকার,	বাগিচার,	
farmat,	ফারমত,	ফরম্যাট,	
bishad,	বিশাদ,	বিষদ,	
basaa,	বসা,	বাসা,	
deefinision,	ডেফিনিশন,	ডেফিনেশন,	
odurey,	অদুরে,	অদুরে,	
seconde,	সেকন্ডে,	সেকেন্ডে,	
inamil,	ইনামিল,	এনামেল,	
ponnee,	পন্নী,	পন্নী,	
phala,	ফলল,	পোলো,	
marqetim,	মার্কেটিং,	মার্কেটিং,	
ghumata,	ঘুমতা,	ঘুমাতো,	
dhyanastha,	ধ্যানস্থ,	ধ্যানস্থ,	
moshzidshoho,	মোজশিদ্যসহ,	মসজিদসহ,	
abahan,	আবাহন,	আবাহন,	
joonsa,	জুনসা,	জোন্স,	
senior,	সিনিওর,	সিনিয়র,	
abasare,	আবাসারে,	অবসরে,	
coda,	কোড,	কোডা,	
vaabna,	ভাবনা,	ভাবনা,	
chalke,	চলকে,	চালকে,	
horidware,	হরিদ্য়ারে,	হরিদ্বারে,	
soorsa,	সোর্স,	সোর্স,	
asabhya,	অসভ্য,	অসভ্য,	
sachetanbhabe,	সচেতনভাবে,	সচেতনভাবে,	
beatleser,	ব্যাটলেজের,	বিটলসের,	
sina,	সিন,	সিনা,	
shakkhatkarer,	সাক্ষাতকারের,	সাক্ষাৎকারের,	
gotihin,	গতিহীন,	গতিহীন,	
haphej,	হাফেজ,	হাফেয,	
qyandi,	ক্যান্ডি,	ক্যান্ডি,	
ghatlo,	ঘটতল,	ঘটল,	
injiniyarsha,	ইন্ডিনের্স,	ইঞ্জিনিয়ার্স,	
zeebonnogor,	জীবননগর,	জীবননগর,	
gunoman,	জুনমান,	গুণমান,	
prodeeper,	প্রোডিপের,	প্রদীপের,	
jaank,	জাংক,	জাঁক,	
dharabhashyakar,	ধররাবাযকাকার,	ধারাভাষ্যকার,	
nirmaankaj,	নির্মানকা,	নির্মাণকাজ,	
eemarjeensi,	এমারজেন্সি,	এমার্জেন্সি,	
chomke,	চোমকে,	চমকে,	
bagmara,	বাগমারা,	বাগমারা,	
bhalta,	ভলত,	ভল্ট,	
pyetarna,	প্যাটার্ন,	প্যাটার্ন,	
buth,	বাথ,	বুথ,	
sbaajan,	স্বজন,	স্বজন,	
chintai,	চিনতাই,	ছিনতাই,	
doover,	ডুভার,	ডোভার,	
baibosthaar,	ব্যবস্থার,	ব্যবস্থার,	
firoja,	ফিরোজা,	ফিরোজা,	
anadhikar,	অনাধিকার,	অনধিকার,	
tikto,	টিক্তো,	তিক্ত,	
shahoshikatar,	সহসিকতার,	সাহসিকতার,	
dokangulotey,	দোকানগুলোতে,	দোকানগুলোতে,	
sahoocorzo,	সাহোরর্য,	সাহচর্য,	
jyaqa,	জ্যাক,	জ্যাক,	
seramiqs,	সারামিক্স,	সিরামিকস,	
charjito,	চার্জিত,	চার্জিত,	
haila,	হাইল,	হইল,	
nagarikkey,	নগরীককে,	নাগরিককে,	
mukhomondol,	মুখমন্ডল,	মুখমণ্ডল,	
chalochchitreer,	চলচিত্রীর,	চলচ্চিত্রের,	
sarolyo,	সরোলও,	সারল্য,	
dijijer,	ডিজিজের,	ডিজিজের,	
xpresion,	ক্সপ্রিশন,	এক্সপ্রেশন,	
udbhaboker,	উদ্ভাবকের,	উদ্ভাবকের,	
kings,	কিংস,	কিংস,	
wenus,	ভাইনাস,	ভেনাস,	
kiuti,	কিউটি,	কিউটি,	
gunje,	গুঞ্জে,	গুঁজে,	
doshider,	দশীদের,	দোষীদের,	
shringey,	শ্রীঙ্গে,	শৃঙ্গে,	
hul,	হুল,	হুল,	
mulgoto,	মুলগত,	মূলগত,	
anyarup,	অন্যরূপ,	অন্যরূপ,	
gaaddaafee,	গাদ্ডাফি,	গাদ্দাফী,	
chetana,	চেতনা,	চেতনা,	
pyaleshtaine,	প্যালেস্টেনে,	প্যালেস্টাইনে,	
sabbir,	সব্যির,	সাব্বির,	
sangrahak,	সংগ্রাহক,	সংগ্রাহক,	
farna,	ফার্ন,	ফার্ন,	
pachbar,	পাঁবার,	পাঁচবার,	
chuti,	ছুটি,	ছুটি,	
cholocchitro,	চলচিত্র্র,	চলচ্চিত্র,	
teyt,	টেইট,	টেট,	
lotheran,	লতেরণ,	লুথেরান,	
koilash,	কৈলাশ,	কৈলাস,	
pushtir,	পুষ্টির,	পুষ্টির,	
asavya,	অসভ্য,	অসভ্য,	
nirvachokder,	নির্বাচকদের,	নির্বাচকদের,	
bheenama,	ভেনামা,	ভেনম,	
somosto,	সমস্ত,	সমস্ত,	
ingrejraa,	ইংগ্রেয়ার,	ইংরেজরা,	
deefinishion,	ডেফিনিশন,	ডেফিনেশন,	
antorbhuktimulak,	অন্তর্ভূকূতিমালক,	অন্তর্ভুক্তিমূলক,	
zockey,	যকে,	জকি,	
akmot,	একমত,	একমত,	
pachhen,	পাছেন,	পাচ্ছেন,	
hugeke,	হুগেকে,	হিউজকে,	
nirbaho,	নির্বাহ,	নির্বাহ,	
bhaandar,	ভানদার,	ভাণ্ডার,	
popeke,	পপেকে,	পোপকে,	
modhyostho,	মধ্যস্থ,	মধ্যস্থ,	
jaadrel,	জাদ্রেল,	জাঁদরেল,	
jeesa,	জেস,	জেস,	
dhache,	ঢাঁচে,	ধাঁচে,	
decke,	ডেকে,	ডেকে,	
ekhaate,	এখাতে,	একহাতে,	
besinay,	বেসিনে,	বেসিনে,	
phutantoa,	ফুটন্টো,	ফুটন্ত,	
chhootite,	ছুটিতে,	ছুটিতে,	
utsahamulak,	উৎসামালুখক,	উৎসাহমূলক,	
jemser,	জেমসের,	জেমসের,	
rajballabh,	রাজলবলা,	রাজবল্লভ,	
huqar,	হুকার,	হুকার,	
israeler,	ইসরাইলের,	ইসরাঈলের,	
ship,	শিপ,	শিপ,	
biseshyo,	বিশেষ্য,	বিশেষ্য,	
poshte,	পোষ্টে,	পোষ্টে,	
chhani,	ছনি,	ছানি,	
zess,	জেস,	জেস,	
vromoner,	ভ্রোমোনের,	ভ্রমণের,	
ancholgulir,	অঞ্চলগুলির,	অঞ্চলগুলির,	
basturyi,	বস্তুরই,	বস্তুরই,	
asocietes,	অ্যাসোকেটেস,	এসোসিয়েটস,	
futbolarder,	ফুটবলরদের,	ফুটবলারদের,	
elaka,	এলকা,	এলাকা,	
temonvabe,	তেমনভাবে,	তেমনভাবে,	
bhogiroth,	ভগ্রিথ,	ভগীরথ,	
manhputo,	মন্পূতু,	মনঃপুত,	
abhigomon,	অভিগমন,	অভিগমন,	
gosthyti,	গোষ্ঠীতি,	গোষ্ঠীটি,	
tiunara,	টিউনার,	টিউনার,	
aieesa,	আয়েশ,	আইএএস,	
spreadshiit,	স্প্রিয়েশ,	স্প্রেডশীট,	
probhritite,	প্রভৃতিতে,	প্রভৃতিতে,	
manur,	মানুর,	মনুর,	
tinhazar,	তিনহাজার,	তিনহাজার,	
poorohitke,	পুরোহিতকে,	পুরোহিতকে,	
palestine,	পলেস্টিন,	প্যালেস্টাইনে,	
daloo,	ডালু,	ডালু,	
laaisens,	লাইসেন্স,	লাইসেন্স,	
freedom,	ফ্রিডম,	ফ্রীডম,	
barack,	বরাক,	বারাক,	
coolin,	কোলিন,	কুলিং,	
satorkovabe,	সতরককভাবে,	সতর্কভাবে,	
wrighter,	ব্রিইটের,	রাইটের,	
soteciety,	সোটেশিয়াটি,	সোসাইটিতে,	
charzara,	চার্জার,	চার্জার,	
iston,	ইস্টন,	স্টোন,	
aakkaash,	আকাকাশ,	আককাস,	
bhromoner,	ভ্রোমোনের,	ভ্রমণের,	
aholla,	আহল্লা,	অহল্যা,	
pracharana,	প্রচারণা,	প্রচারণা,	
awatara,	অভাটর,	অবতার,	
hiragana,	হিরাগান,	হিরাগানা,	
steeit,	স্টেইট,	স্টেইট,	
shotokey,	সতকে,	শতকে,	
gagee,	গেজ,	গেজ,	
bard,	বর্ড,	বার্ড,	
dai,	দাই,	দিই,	
patochitra,	পতচিত্র,	পটচিত্র,	
stalin,	স্ট্যালিং,	স্টালিন,	
vagni,	ভাগ্নী,	ভগ্নী,	
bondira,	বন্দিরা,	বন্দীরা,	
sikhar,	শিখার,	শিকার,	
eporzonto,	এপর্নন্ত,	এপর্যন্ত,	
nagnyo,	না্ন,	নগণ্য,	
krechi,	ক্রেচি,	করেছি,	
soinyoder,	সৈন্যদের,	সৈন্যদের,	
chorbon,	চর্বন,	চর্বন,	
bage,	ব্যাগে,	বাগে,	
mahindra,	মহিন্দ্র,	মাহিন্দ্রা,	
digrike,	ডিগ্রীকে,	ডিগ্রিকে,	
directorate,	ডিরেক্টরেট,	ডিরেক্টরেট,	
shaater,	সাতের,	শ্যুটার,	
fimela,	ফাইমেল,	ফিমেল,	
naditike,	নদীতীকে,	নদীটিকে,	
pitthey,	পিঠে,	পীঠে,	
dosheeder,	দশীদের,	দোষীদের,	
shtonahenja,	স্টোনহেঞ্জ,	স্টোনহেঞ্জ,	
joubankal,	যৌবনকাল,	যৌবনকাল,	
pachchi,	পাচচি,	পাচ্ছি,	
kande,	কাঁডে,	কাণ্ডে,	
kanayi,	কানই,	কানাই,	
byabaharkaree,	ব্যবহারকারী,	ব্যবহারকারী,	
zeebonto,	জীবন্ত,	জীবন্ত,	
fastara,	ফোস্টার,	ফস্টার,	
udvaboney,	উদ্ভাবনে,	উদ্ভাবনে,	
debate,	দেবাতে,	ডিবেট,	
ghosito,	ঘোষিত,	ঘোষিত,	
bagda,	বাদদা,	বাগদা,	
anchalsamuho,	অঞ্চলসমূহ,	অঞ্চলসমূহ,	
hertz,	হার্টজ,	হার্জ,	
karadondey,	কারাদন্ডে,	কারাদণ্ডে,	
gadha,	গাধা,	গাধা,	
lokkheryo,	লক্ষেরও,	লক্ষেরও,	
nojder,	নজদের,	নজদের,	
nirbaha,	নির্বহ,	নির্বাহ,	
gazetted,	গেজেটেড,	গেজেটেড,	
heedgee,	হেজ,	হেজ,	
noitikata,	নৈতিকতা,	নৈতিকতা,	
qingdom,	কিংডডম,	কিংডম,	
armstrang,	অর্সস্টেরং,	আর্মস্ট্রং,	
kattor,	কাট্টর,	কট্টর,	
aajeej,	আজিজ,	আজিজ,	
bissonath,	বিশ্বনাথ,	বিশ্বনাথ,	
bocchon,	বচচন,	বচ্চন,	
domone,	ডমনে,	দমনে,	
addhattikota,	আধ্যাত্তিকতা,	আধ্যাত্মিকতা,	
chhed,	ছেদ,	ছেদ,	
footballerder,	ফুটবলর্ডের,	ফুটবলারদের,	
shikkhagata,	শিক্ষাতা,	শিক্ষাগত,	
rekhapat,	রেখাপত,	রেখাপাত,	
puzita,	পুজিতা,	পূজিতা,	
shaartho,	সার্থ্য,	স্বার্থ,	
mitro,	মিট্রো,	মিত্রও,	
nadike,	নাদিকে,	নদীকে,	
moshzid,	মসজীদ,	মসজিদ,	
baataree,	বাতারি,	ব্যাটারী,	
dai,	দাই,	ডে,	
horidar,	হরিদার,	হরিদ্বার,	
hotodoridro,	হততরীদ্র,	হতদরিদ্র,	
airish,	আইরিশ,	আইরিস,	
arthonitike,	অর্থনীতিকে,	অর্থনীতিকে,	
duple,	ডাপলে,	ডুপ্লে,	
sayanaida,	সায়নেড,	সায়ানাইড,	
reno,	রেনো,	রেনো,	
ganaporibahan,	গণপরিবহান,	গণপরিবহন,	
bbosben,	বসবেন,	বসবেন,	
naitikatar,	নৈতিকতার,	নৈতিকতার,	
bone,	বোনে,	বনে,	
damanmulok,	ডামানমূলক,	দমনমূলক,	
avisongson,	অভিশংসন,	অভিশংসন,	
janapoth,	জনপথ,	জনপথ,	
dharabahikbhabe,	ধারাবিকভাবে,	ধারাবাহিকভাবে,	
elakao,	এলাকাও,	এলাকাও,	
yuk,	যুক,	ইয়াক,	
cheesa,	চীস,	চেস,	
nothibhuktir,	নথিভুক্তির,	নথিভুক্তির,	
okritakarja,	অকৃতকার্য,	অকৃতকার্য,	
songbadmadhyomgulote,	সংবাদনমাল্যগুলোতে,	সংবাদমাধ্যমগুলোতে,	
