steitt,	স্টেট,	স্টেইট,	
keuyi,	কিউই,	কেউই,	
akar,	আকার,	একার,	
dharavahiktir,	ধারাভিক্তির,	ধারাবাহিকটির,	
nesons,	নেসনস,	নেশনস,	
ghese,	ঘেসে,	ঘেঁষে,	
odure,	অডুরে,	অদুরে,	
sammatite,	সম্তিতে,	সম্মতিতে,	
aborto,	আবর্ত,	আবর্ত,	
hailo,	হাইলো,	হইল,	
balokarak,	বালকারক,	বলকারক,	
gostheeti,	গোস্থিতি,	গোষ্ঠীটি,	
okhhunno,	অখ্ছুন্য,	অক্ষুণ্ণ,	
dhani,	ধনী,	ধানি,	
torcarir,	তরকারীর,	তরকারীর,	
gabhaskar,	গভ্ষক্কর,	গাভাস্কার,	
relance,	রিল্যান্স,	রিলায়েন্স,	
biplobi,	বিপ্লবি,	বিপ্লবী,	
sheema,	সীমা,	সীমা,	
bosontey,	বসন্তে,	বসন্তে,	
songosthagulo,	সংস্থাগুলো,	সংস্থাগুলো,	
koda,	কোড,	কোডা,	
madeelim,	ম্যাডিলিং,	মডেলিং,	
baaraakpur,	ব্যারকপুর,	বারাকপুর,	
hijri,	হিজরি,	হিজরী,	
eekbalke,	ইকলবকে,	ইকবালকে,	
loukikata,	লৌকিকতা,	লৌকিকতা,	
license,	লিসেন্স,	লাইসেন্স,	
trans,	ট্রান্স,	ট্রান্স,	
dorjee,	দর্জি,	দরজি,	
prithbir,	পৃথ্বীর,	পৃথবীর,	
nagarik,	নাগরিক,	নাগরিক,	
chalochchitreei,	চলচিত্রেই,	চলচ্চিত্রেই,	
phund,	ফাইন্ড,	ফান্ড,	
hamburgey,	হামববর্গে,	হামবুর্গে,	
pratyokkhobhabe,	প্রত্যক্ষমভাবে,	প্রত্যক্ষভাবে,	
jeebonjapon,	জীবন্যপুন,	জীবনযাপন,	
uparzoner,	উপার্জনের,	উপার্জনের,	
bbiswash,	বিশ্বস,	বিশ্বাস,	
footonto,	ফুটন্ত,	ফুটন্ত,	
grovth,	গ্রুথ,	গ্রোথ,	
nikataner,	নিকটনের,	নিকেতনের,	
chalachchitratike,	চলচ্চিত্রিকতে,	চলচ্চিত্রটিকে,	
melobborne,	মেলববরণ,	মেলবোর্নে,	
masters,	ম্যাস্টার্স,	মাস্টার্স,	
manabmoner,	মানবনমনের,	মানবমনের,	
ikbalke,	ইকলবে,	ইকবালকে,	
poripaker,	পরিপকের,	পরিপাকের,	
wedanta,	ভেদান্ত,	বেদান্ত,	
sainyader,	সৈন্যদের,	সৈন্যদের,	
moonim,	মুনিং,	মুনিম,	
sudhui,	সুধ্ই,	শুধুই,	
up,	উপ,	আপ,	
maunchostho,	মঞ্চস্থ,	মঞ্চস্থ,	
grambashi,	গ্র্মাবাসী,	গ্রামবাসী,	
veenus,	ভেনুস,	ভেনাস,	
kyapashula,	ক্যাপশুলা,	ক্যাপসুল,	
bolokarok,	বলকারক,	বলকারক,	
prastutkarak,	প্রস্তুতকারক,	প্রস্তুতকারক,	
ganoparibahan,	গণপরিবহন,	গণপরিবহন,	
nironjon,	নিরঞ্জন,	নিরঞ্জন,	
hartz,	হার্ট,	হার্জ,	
creedit,	ক্রিডিট,	ক্রেডিট,	
noitikotabodh,	নৈতিকত্বধোল,	নৈতিকতাবোধ,	
militaryte,	মিলিটারেট,	মিলিটারিতে,	
militaryr,	মিলিটারীর,	মিলিটারির,	
booroon,	বুরুন,	বোরন,	
batsman,	বৎসমান,	ব্যাটসম্যান,	
whole,	ভোলে,	হোল,	
euroo,	ইউরো,	ইউরো,	
paikgacha,	পাইকগাঁ,	পাইকগাছা,	
oncholgulote,	অঞ্চলগুলোতে,	অঞ্চলগুলোতে,	
orthanitike,	অর্থনিটিকে,	অর্থনীতিকে,	
oichchheek,	ঐচ্ছিক,	ঐচ্ছিক,	
eqsapreshana,	এক্সপ্রেশন,	এক্সপ্রেশন,	
elakai,	এলাকাই,	এলাকাই,	
songostha,	সংগঠ্সা,	সংস্থা,	
forid,	ফরিদ,	ফরিদ,	
sanaktokaraner,	সনাক্তকরণের,	সনাক্তকরণের,	
chuti,	চুটি,	ছুটি,	
apadan,	অপদান,	অপাদান,	
habshee,	হাবি,	হাবশী,	
laicenshe,	লিইকেন্স,	লাইসেন্স,	
mataram,	মতাারম,	মাতারাম,	
larson,	লারসন,	লারসন,	
itostatoh,	ইতস্তাত,	ইতস্ততঃ,	
namo,	নামও,	নমো,	
monohputa,	মনোহপুতা,	মনঃপুত,	
chai,	চে,	ছাই,	
magical,	মেজিক্যাল,	ম্যাজিকাল,	
gardeen,	গার্ডিন,	গার্ডেন,	
zoneete,	যোনিতে,	যোনীতে,	
podarthobid,	পদার্থবিদ,	পদার্থবিদ,	
abhinetar,	অভিনেটর,	অভিনেতার,	
rupdan,	রূপদান,	রুপদান,	
amerika,	অ্যামেরিকা,	আমেরিকা,	
phashtara,	ফাস্টার,	ফস্টার,	
maudeley,	মাউদেলে,	মডেলে,	
premo,	প্রেম,	প্রিমো,	
akrup,	একরুপ,	একরূপ,	
doobhara,	ডুভার,	ডোভার,	
patishapta,	পতিসাপদ্ট,	পাটিসাপটা,	
ekpaase,	একপাশে,	একপাশে,	
gafiloti,	গেফিলটি,	গাফিলতি,	
parishrom,	পরিস্রো,	পরিশ্রম,	
uposthit,	উপস্থিত,	উপস্থিত,	
candy,	ক্যান্ডি,	ক্যান্ডি,	
noitikatavodh,	নৈতিকত্বধোল,	নৈতিকতাবোধ,	
bhenasa,	ভেনস,	ভেনাস,	
natunatva,	নতুনত্ব,	নতুনত্ব,	
madhukori,	মাধুকরী,	মাধুকরী,	
ddheela,	ঢেল,	ঢিলা,	
heepatitis,	হেপতিতিট,	হেপাটাইটিস,	
bbs,	বিএসবি,	বিবিএস,	
site,	সাইট,	সিটে,	
aalkaatra,	আলকারাত্র,	আলকাতরা,	
akhaate,	আখাতে,	একহাতে,	
chalochchitreeo,	চলচিত্রেও,	চলচ্চিত্রেও,	
rahie,	রহি,	রাহি,	
janaar,	জানর,	জানার,	
huka,	হুক,	হুক,	
muscut,	মাসকাট,	মাস্কাট,	
bhittio,	ভিটিও,	ভিত্তিও,	
alsaar,	আলসার,	আলসার,	
doorotaumo,	দূরতাম,	দূরতম,	
jarul,	জারুল,	জারুল,	
ganana,	গানানা,	গণনা,	
damone,	ডমনে,	দমনে,	
ponjjikar,	পঞ্জিকার,	পঞ্জিকার,	
janomukhee,	জনমুখী,	জনমুখী,	
sthapanagulor,	স্থাপনাগুলোর,	স্থাপনাগুলোর,	
surti,	সূর্তি,	সুরটি,	
dweegulotey,	দ্বিগুলোতে,	দ্বীপগুলোতে,	
charchito,	চারচিত,	চর্চিত,	
shaahaab,	সাহাব,	সাহাব,	
prokalpati,	প্রকালপতি,	প্রকল্পটি,	
madhobir,	মাধবীর,	মাধবীর,	
dharavahikbhabe,	ধারাবিহিকভাবে,	ধারাবাহিকভাবে,	
obolokon,	অবলোকন,	অবলোকন,	
udbhaboker,	উদ্ভাবকের,	উদ্ভাবকের,	
korimer,	করিমের,	করিমের,	
hossain,	হোসাইন,	হোসেইন,	
seemons,	সেমনস,	সিমন্স,	
notunatwa,	নতুনত্ব,	নতুনত্ব,	
bibek,	বিবেক,	বিবেক,	
taunashhipa,	তৌনশীপ,	টাউনশিপ,	
daja,	ডাজা,	ডোজো,	
voter,	ভোটের,	ভোটার,	
metroopoolitan,	মেত্রোপুলতান,	মেট্রোপলিটন,	
nironjan,	নিরঞ্জন,	নিরঞ্জন,	
projanankal,	প্রজানকাল,	প্রজননকাল,	
easter,	ইস্টার,	ইস্টের,	
melborroner,	মেলবররের,	মেলবোর্নের,	
braille,	ব্রেল,	ব্রেইল,	
saarbhare,	সার্ভারে,	সার্ভারে,	
prachurjer,	প্রচার্জের,	প্রাচুর্যের,	
oncoleo,	অন্কলে,	অঞ্চলেও,	
heenna,	হিন্না,	হেনা,	
chalake,	চালাকে,	চালকে,	
udvaboni,	উদ্ভাবনী,	উদ্ভাবনী,	
dorun,	দররুণ,	দরুণ,	
madrasake,	মাদরাসকে,	মাদ্রাসাকে,	
zuktorastrer,	যুক্তরাস্ট্রের,	যুক্তরাষ্ট্রের,	
siitei,	সিইটে,	শীতেই,	
varma,	ভার্া,	ভার্মা,	
monjushri,	মন্জুরি,	মঞ্জুশ্রী,	
shannal,	সান্নাল,	সান্যাল,	
siramiker,	সিরামিকের,	সিরামিকের,	
ganohotyar,	গণহোত্যর,	গণহত্যার,	
labanaktatar,	লবনাক্ততার,	লবণাক্ততার,	
bhittimul,	ভিট্মিলু,	ভিত্তিমূল,	
protyokkhovabey,	প্রত্যক্ষমভাবে,	প্রত্যক্ষভাবে,	
jomkaalo,	জোমকাল,	জমকালো,	
meghacchonno,	মেঘাচ্যন্ন,	মেঘাচ্ছন্ন,	
jacqsan,	জক্সন,	জ্যাকসন,	
uinndo,	উইন্ড,	উইন্ডো,	
seekkhokbrindo,	শিক্ষাকবরন্দ,	শিক্ষকবৃন্দ,	
plusey,	প্লাসে,	প্লাসে,	
janmaat,	জন্মাত,	জন্মাত,	
somabeshke,	সমাবেসকে,	সমাবেশকে,	
angshogragon,	অংশগ্রহণ,	অংশগ্রহন,	
choiti,	চৈটি,	চৈতি,	
shkora,	স্কোর,	স্কোর,	
laagche,	লাগে,	লাগছে,	
heejee,	হেজি,	হেজ,	
deke,	দেকে,	ডেকে,	
vaibonder,	ভাইবন্ডের,	ভাইবোনদের,	
mastars,	ম্যাস্টার্স,	মাস্টার্স,	
hunayn,	হুনান,	হুনাইন,	
odoore,	ওডুরে,	অদুরে,	
sointoder,	সৈন্দোতের,	সৈন্যদের,	
kram,	ক্রাম,	ক্রম,	
ingrejder,	ইংরেজদের,	ইংরেজদের,	
diyenes,	ডিএনেস,	ডিএনএস,	
kkomandar,	কমান্ডার,	কমাণ্ডার,	
oboshore,	অবসরে,	অবসরে,	
bhogno,	ভগ্ন,	ভগ্ন,	
quarter,	কুর্টার,	কোয়ার্টার,	
soceitytey,	সকেটিতে,	সোসাইটিতে,	
muhu,	মুহু,	মুহু,	
thelyanda,	থাইল্যান্ড,	থাইল্যান্ড,	
bhogini,	ভগগিনী,	ভগিনী,	
opohoron,	অপহরণ,	অপহরন,	
oojbekistaner,	উজবেকষিষ্তানের,	উজবেকিস্তানের,	
isosiyitasa,	এসেসিটাস,	এসোসিয়েটস,	
phimel,	ফিমেল,	ফিমেল,	
sbaajaner,	স্বজনের,	স্বজনের,	
sofyr,	সফির,	সোফির,	
unitshoho,	ইউনিসহ,	ইউনিটসহ,	
juddhahato,	যুদ্ধাহাত,	যুদ্ধাহত,	
abheedhaanick,	অভিচানিক,	অভিধানিক,	
chetanagato,	চেতনাগত,	চেতনাগত,	
primoo,	প্রিমও,	প্রিমো,	
pitthey,	পিঠে,	পীঠে,	
barbadoj,	বার্বাজোজ,	বার্বাডোজ,	
fostar,	ফস্টার,	ফস্টার,	
duple,	ডুপল,	ডুপ্লে,	
alubokhara,	অলুবাখারা,	আলুবোখারা,	
aashor,	আশর,	আসর,	
tarokareer,	তারকারীর,	তরকারীর,	
dijeejer,	ডিজিজের,	ডিজিজের,	
antarctica,	অ্যান্টর্কটিক,	অ্যান্টার্কটিকা,	
monjurul,	মঞ্জুরুল,	মনজুরুল,	
seekkhaarthirao,	শিক্ষার্থীরা,	শিক্ষার্থীরাও,	
jonmato,	জন্মাত,	জন্মাত,	
janaganonar,	জনগণনার,	জনগণনার,	
engrejder,	ইংগেরের,	ইংরেজদের,	
phimela,	ফিমেল,	ফিমেল,	
cho,	চো,	ছোঁ,	
plate,	প্লেট,	প্লেটে,	
nischitobhave,	নিশ্চিতভাবে,	নিশ্চিতভাবে,	
aaloteo,	আলতেও,	আলোতেও,	
sansthatir,	সংস্থাটির,	সংস্থাটির,	
metere,	মেটারে,	মিটারে,	
yaach,	য়চ,	ইয়াক,	
dhauto,	ধৌত,	ধৌত,	
udbodhonee,	উদ্বধনি,	উদ্বোধনী,	
dakteekiter,	দাক্তিকিতের,	ডাকটিকিটের,	
siddhantagulo,	সিব্ধনাত্গল,	সিদ্ধান্তগুলো,	
chaloke,	চালকে,	চালকে,	
mosjidtir,	মস্যিদির,	মসজিদটির,	
dharmi,	ধর্মি,	ধর্মী,	
shaapholler,	সাফলারের,	সাফল্যের,	
nirorthak,	নিরো্্থক,	নিরর্থক,	
bayii,	বেই,	বাঈ,	
nathivooktir,	নথিবুক্তির,	নথিভুক্তির,	
ashe,	আশে,	আসে,	
deputii,	দেপুটি,	ডেপুটি,	
sthaponar,	স্থাপনার,	স্থাপনার,	
sikkhokder,	শিক্ষকদের,	শিক্ষকদের,	
gudamjaato,	গুদমজাতার,	গুদামজাত,	
huqar,	হুকার,	হুকার,	
muhammad,	মুহাম্মাদ,	মুহম্মদ,	
jaroori,	জরুরি,	জরূরী,	
dola,	দলা,	দলা,	
bihar,	বিহার,	বিহার,	
prasadhaner,	প্রসাধনের,	প্রসাধনের,	
kanasarabheshana,	কনসারসেশন,	কনসারভেশন,	
serverey,	সার্ভেরে,	সার্ভারে,	
oitijjha,	ঐতিজ্য,	ঐতিহ্য,	
proshtotto,	প্রস্তাত্য,	প্রস্ত্তত,	
bayshorkarikarone,	বেসরকারিকরণে,	বেসরকারিকরণ,	
kata,	কাটা,	কোটা,	
dackop,	ডাকোপ,	দাকোপ,	
carymb,	ক্যারিং,	করিম,	
labonaktatar,	লবনাক্ততার,	লবণাক্ততার,	
dephinesana,	ডেফিনিশন,	ডেফিনেশন,	
chaiti,	চাইটি,	চৈতি,	
hena,	হেন,	হেনা,	
digrio,	ডিগ্রিয়,	ডিগ্রিও,	
hishaber,	হিসাবের,	হিসাবের,	
surkey,	সূরকে,	সুরকে,	
karlasa,	কার্লস,	কার্লোস,	
shashtra,	সাস্ত্র,	শাস্ত্র,	
maheendra,	মহেন্দ্র,	মাহিন্দ্রা,	
ooporoshtho,	অপরস্থ,	উপরস্থ,	
shatokei,	শতকেই,	শতকেই,	
sanaktokoroner,	সনাক্তকরণের,	সনাক্তকরণের,	
masti,	মস্তি,	মাস্তি,	
beekargrasto,	বিকর্গস্ত,	বিকারগ্রস্ত,	
potochitrer,	পতচিত্রের,	পটচিত্রের,	
chopol,	চপল,	চপল,	
manohputo,	মানসুপত,	মনঃপুত,	
dinner,	ডিনের,	ডিনার,	
rahi,	রাহি,	রাহি,	
bishhnu,	বিষ্ণু,	বিষ্ণু,	
tinej,	টিনেজ,	টিনেজ,	
shailee,	সেলি,	শৈলী,	
bonsho,	বনশ,	বংশ,	
oitijhyer,	ঐতিহ্যের,	ঐতিহ্যের,	
anchaleo,	অঞ্চলে,	অঞ্চলেও,	
maszid,	মস্জিদ,	মসজিদ,	
elaakaate,	এলাকাতে,	এলাকাতে,	
foster,	ফোস্টার,	ফস্টার,	
uposhthit,	উপস্থিত,	উপস্থিত,	
jaki,	জাকি,	জকি,	
ganona,	গণনা,	গণনা,	
byaboharkareei,	ব্যবহারকারি,	ব্যবহারকারীই,	
udbodhane,	উদ্বধানে,	উদ্বোধনে,	
charzara,	চারজার,	চার্জার,	
fimel,	ফিমলে,	ফিমেল,	
mahajote,	মহাজতে,	মহাজোট,	
akjoge,	অকযোগে,	একযোগে,	
vittiteo,	ভিট্তিও,	ভিত্তিতেও,	
taurist,	তরিজ্,	টুরিস্ট,	
edaning,	এডানিং,	ইদানিং,	
annimated,	আনিমাতেদ,	এনিমেটেড,	
dharabhiko,	ধারাভিক,	ধারাবাহিকেও,	
proshadhoni,	প্রসাধনী,	প্রসাধনী,	
homasha,	হোমাস,	হোমস,	
jyaishtha,	জ্যাস্থ,	জ্যৈষ্ঠ,	
ajim,	আজিম,	আজিম,	
koner,	কোণের,	কনের,	
ajiban,	আজিবান,	আজীবন,	
shombhobonao,	সম্ভাবনাও,	সম্ভবনাও,	
debating,	দেবতিং,	ডিবেটিং,	
songkoloner,	সংকলেনের,	সংকলনের,	
pholo,	ফলও,	পোলো,	
aziza,	অজিজা,	আজিজা,	
prothake,	প্রথাকে,	প্রথাকে,	
cholechi,	চলেছি,	চলেছি,	
hizrii,	হিজরি,	হিজরী,	
ekbakke,	একবককে,	একবাক্যে,	
nagariker,	নগগীকের,	নাগরিকের,	
tookroti,	টুকরতটি,	টুকরোটি,	
itostato,	ইতোস্তট,	ইতস্ততঃ,	
seconder,	সেক্ন্ডার,	সেকেন্ডের,	
afjol,	আফজা,	আফজল,	
zohns,	জনস,	জন্স,	
projononkal,	প্রজননকাল,	প্রজননকাল,	
songkolonti,	সংকলোনটি,	সংকলনটি,	
format,	ফরমাট,	ফরম্যাট,	
dadar,	দাদর,	দাদার,	
antorvuktimulak,	অন্তর্বৃূ্লকূত,	অন্তর্ভুক্তিমূলক,	
shreechaitanyadeb,	শ্রীচৈতনন্দ্ব,	শ্রীচৈতন্যদেব,	
firoze,	ফিরোজ,	ফিরোজ,	
dosha,	দশা,	দোসা,	
lakkhero,	লক্ষেরও,	লক্ষেরও,	
flux,	ফ্ল্কাশ,	ফ্লাস্ক,	
hoteelti,	হটেলটি,	হোটেলটি,	
asirbad,	আশির্বাদ,	আশির্বাদ,	
teto,	তেত,	তেতো,	
cholochchitreer,	চলচিত্রীর,	চলচ্চিত্রের,	
aporishodhito,	অপরিশোধিত,	অপরিশোধিত,	
vageroi,	ভাগেরই,	ভাগেরই,	
naitikatabodh,	নৈতিকাতবোধ,	নৈতিকতাবোধ,	
shomrat,	সমরাত,	সম্রাট,	
sanaktokaran,	সনাক্তকরণ,	সনাক্তকরণ,	
dankan,	ডানকান,	ডানকান,	
babona,	বাবনা,	বাবনা,	
shulkey,	সুলকে,	শুল্কে,	
fasi,	ফাঁসি,	ফাঁসী,	
nisad,	নিশাদ,	নিষাদ,	
shansthati,	সংস্থাটি,	সংস্থাটি,	
bhumir,	ভূমির,	ভূমির,	
noubihar,	নৌবিহার,	নৌবিহার,	
hotochokito,	হতচকিত,	হতচকিত,	
anchalei,	অঞ্চলেই,	অঞ্চলেই,	
dey,	ডে,	ডে,	
bhushito,	ভূষিঠ,	ভূষিত,	
samaptir,	সমাপটির,	সমাপ্তির,	
kartona,	কার্তনা,	করতনা,	
adarsho,	আদর্শ,	আর্দশ,	
ooindo,	উইন্ড,	উইন্ডো,	
nilabho,	নিলভা,	নীলাভ,	
uthhaane,	উঠানে,	উঠানে,	
chalochchitroke,	চলচ্চিত্রকে,	চলচ্চিত্রকে,	
itastatoh,	ইতাস্তা,	ইতস্ততঃ,	
arthoneeti,	অর্থনীটি,	অর্থনীতির,	
mulgoto,	মূলগত,	মূলগত,	
domone,	দমনে,	দমনে,	
ajijur,	অজিজুর,	আজিজুর,	
kamij,	কামিজ,	কামিজ,	
maunjiley,	মঞ্জিলে,	মঞ্জিলে,	
saurce,	সার্স,	সোর্স,	
temonvabe,	তেমনভাবে,	তেমনভাবে,	
gonocheener,	গণচিনের,	গণচীনের,	
siima,	সিইমা,	সীমা,	
janapath,	জনপথ,	জনপথ,	
gratha,	গ্রাথা,	গ্রোথ,	
swasti,	স্বস্তি,	স্বস্তি,	
archimedeser,	আর্চিমেদের,	আর্কিমিডিসের,	
gunjey,	গুঞ্জে,	গুঁজে,	
indrani,	ইন্দ্রানী,	ইন্দ্রাণী,	
gondhe,	গণ্ধে,	গন্ধে,	
nothibhooktir,	নথিভুক্তির,	নথিভুক্তির,	
korley,	করলে,	করলে,	
mathieu,	মথিও,	ম্যাথিউ,	
jak,	যাক,	জাঁক,	
xpose,	ক্এসপি,	এক্সপোজ,	
iranayer,	ইরানের,	ইরানের,	
cilahati,	চিলালাতি,	চিলাহাটি,	
golakrity,	গোলকৃতরী,	গোলাকৃতি,	
ghatity,	ঘটিটি,	ঘাঁটিটি,	
definishian,	ডেফিনিশন,	ডেফিনেশন,	
paira,	পেইরা,	পাইরা,	
dijnii,	ডিজনি,	ডিজনী,	
dhwajbhanga,	ধ্যাংভাগ্য,	ধ্বজভঙ্গ,	
noitikotar,	নৈতিকতার,	নৈতিকতার,	
beeru,	বিরু,	বীরু,	
krej,	ক্রেজ,	ক্রেজ,	
boorana,	বুরান,	বোরন,	
uru,	উরু,	উরু,	
lohaar,	লোহার,	লোহার,	
trete,	ট্রেট,	ট্রেতে,	
tofaat,	তফাত,	তফাৎ,	
olympicer,	অলিম্পিকের,	অলিম্পিকের,	
choson,	চোষণ,	চোষণ,	
sures,	সুরেশ,	সুরেশ,	
songbadmadhyamgulote,	সংবিদ্মগুলোতে,	সংবাদমাধ্যমগুলোতে,	
shtone,	স্টন,	স্টোন,	
teemplatee,	টেম্পলিট,	টেম্পলেট,	
ganonatyo,	গণনাত্য,	গণনাট্য,	
chetana,	চেতনা,	চেতনা,	
sheekar,	সিকার,	শিকার,	
byakkhabyatito,	ব্যক্্বাবিত,	ব্যাখ্যাতীত,	
elakatite,	এলাকাতে,	এলাকাটিকে,	
emgee,	এমগি,	এমজি,	
athar,	আঠার,	আতহার,	
shaajaano,	সাজান,	সাজানো,	
bhyatikaner,	ভ্যাতিকানের,	ভ্যাটিকানের,	
tourist,	ত্রিষ্ট,	টুরিস্ট,	
siropa,	শিরোপা,	শিরোপা,	
progreshsh,	প্রগ্রেস,	প্রগ্রেস,	
chhutochhooti,	ছুটোছটি,	ছুটোছুটি,	
tophaat,	তফাত,	তফাৎ,	
narsaari,	নার্সারী,	নার্সারি,	
cheelona,	চেলনা,	ছিলনা,	
panchbar,	পঞ্চবার,	পাঁচবার,	
iub,	ইউব,	আইইউবি,	
hoole,	হোল,	হোল,	
floodliter,	ফ্লোডিটের,	ফ্লাডলাইটের,	
musalmanderke,	মুসমালননরকে,	মুসলমানদেরকে,	
harir,	হারির,	হরির,	
engrejra,	ইংগেরও,	ইংরেজরা,	
juktorashtrasaha,	যুক্তরাস্টারসা,	যুক্তরাষ্ট্রসহ,	
ganoporibohon,	গণপরিবহন,	গণপরিবহন,	
goolen,	গুলেন,	গুলেন,	
riphleqsa,	রিপেলক্স,	রিফ্লেক্স,	
ajija,	অজিজা,	আজিজা,	
capshule,	ক্যাপলুই,	ক্যাপসুল,	
kyethalika,	ক্যাথলিক,	ক্যাথলিক,	
doltyagi,	দোলত্যাগি,	দলত্যাগী,	
abosare,	অবসারে,	অবসরে,	
diaraesha,	ডায়রাস,	ডিআরএস,	
zeland,	জেল্যান্ড,	জিল্যান্ড,	
ganona,	গণনা,	গননা,	
jaandrel,	জান্ড্রেল,	জাঁদরেল,	
goroor,	গরুর,	গরুর,	
prakalpotike,	প্রকালপতিকে,	প্রকল্পটিকে,	
torkareer,	তরকারীর,	তরকারীর,	
akla,	আক্াা,	একলা,	
pouchhute,	পৌঁছতে,	পৌঁছুতে,	
suraarop,	সুরারোপ,	সুরারোপ,	
dreestiheen,	দ্র্ষেহীনী,	দৃষ্টিহীন,	
cholochchitreo,	চলচিত্রে,	চলচ্চিত্রেও,	
gajetted,	গজজেতদ,	গেজেটেড,	
keyboard,	কেবোর্ড,	কীবোর্ড,	
indra,	ইন্দ্রা,	ইন্দ্র,	
liseensee,	লিসেস্সি,	লাইসেন্স,	
bolbo,	বলব,	বলবো,	
bima,	বিমা,	বিম,	
alankaran,	অলংকরণ,	অলঙ্করণ,	
moushumei,	মৌশুই,	মৌসুমেই,	
motabolambira,	মতাবলম্বীরা,	মতাবলম্বীরা,	
masjidti,	মস্জিদি,	মসজিদটি,	
oteeteo,	অতিতেও,	অতীতেও,	
brooklyn,	ব্রুকলিন,	ব্রুকলিন,	
spredsheet,	স্প্রেডসিট,	স্প্রেডশীট,	
aalaa,	আলা,	আলা,	
shaakaar,	সাকার,	সাকার,	
shattoki,	সত্যকী,	সাত্যকি,	
abosan,	অবসান,	অবসান,	
grontho,	গ্রন্থ,	গ্রন্থ,	
chalkee,	চালকে,	চালকে,	
baasaa,	বাসা,	বাসা,	
cheettronnatyokar,	চিত্রনাট্যকার,	চিত্রনাট্যকার,	
loha,	লোহ,	লোহা,	
balaruma,	বলরুরা,	বলরুম,	
vobotarini,	ভবারতারি,	ভবতারিণী,	
sbatantrota,	স্বত্ন্তরতা,	স্বতন্ত্রতা,	
russad,	রুশবাদ,	রুশদ,	
samudratatey,	সমুদ্রতারে,	সমুদ্রতটে,	
gazipore,	গাজীপরে,	গাজীপুর,	
baasake,	বাসকে,	বাসাকে,	
nottee,	নটি,	নোটটি,	
franko,	ফ্রাঙ্ক,	ফ্রাঙ্কো,	
asif,	আসিফ,	আসিফ,	
ganaporibahan,	গণপরিবহন,	গণপরিবহন,	
pleeto,	প্লেত,	প্লেটো,	
mitrader,	মিত্রাদের,	মিত্রদের,	
phox,	ফক্স,	ফক্স,	
chhotto,	ছত্ব,	ছোট্ট,	
agoora,	অগুরা,	আগোরা,	
gosthiti,	গোস্থিতি,	গোষ্ঠীটি,	
motabolombira,	মতাবলম্বীরা,	মতাবলম্বীরা,	
nadnodir,	নদ্দদীর,	নদনদীর,	
kuota,	কুটা,	কোটা,	
harysoner,	হারিসনের,	হ্যারিসনের,	
juddhahoto,	যুদ্ধহত,	যুদ্ধাহত,	
patenter,	পেটেন্টের,	পেটেন্টের,	
karecho,	করেচ,	করেছ,	
talal,	তালাল,	তালাল,	
gabeshanar,	গবেষণার,	গবেষনার,	
nickeel,	নিকিল,	নিকেল,	
rakhtokkharone,	রক্তকরণে,	রক্তক্ষরণে,	
rubio,	রুবিও,	রুবিও,	
bodka,	বদদা,	ভদকা,	
udbhabani,	উদ্ভাবনী,	উদ্ভাবনী,	
seeramiker,	সিরামিকের,	সিরামিকের,	
zoubankal,	যৌবনকাল,	যৌবনকাল,	
prokolpow,	প্রকল্প,	প্রকল্পও,	
alpakichudin,	অল্পকিউচিনড,	অল্পকিছুদিন,	
jerokom,	যেরকম,	যেরকম,	
muhurtati,	মুহূর্তটি,	মুহুর্তটি,	
bosanta,	বসন্ত,	বসন্ত,	
definishhion,	ডেফিনিশন,	ডেফিনেশন,	
jhalkathy,	ঝালকাঠি,	ঝালকাঠী,	
holdin,	হলদিন,	হোল্ডিং,	
eeraner,	ইরারের,	ইরানের,	
daaktikiter,	দাক্তিকিতের,	ডাকটিকিটের,	
besinay,	বেসিনে,	বেসিনে,	
mukhobandha,	মুখবন্ধ,	মুখবন্ধ,	
jalbe,	জলবে,	জ্বলবে,	
proshadhoner,	প্রসাধনের,	প্রসাধনের,	
shommoteer,	সম্মতির,	সম্মতির,	
avinetar,	অভিনেটর,	অভিনেতার,	
matt,	ম্যাট,	ম্যাট,	
lyandim,	ল্যান্ডিং,	ল্যান্ডিং,	
khannkaj,	খানকাাজ,	খননকাজ,	
lesensim,	লিসেন্সিং,	লাইসেন্সিং,	
vaabna,	ভাব্া,	ভাবনা,	
moshjidshoho,	মস্জিদসহ,	মসজিদসহ,	
uporitoler,	উপরিতলের,	উপরিতলের,	
bhyatikaaner,	ভ্যাতিকানের,	ভ্যাটিকানের,	
summi,	সুমি,	সুমি,	
metrapalitana,	মেট্রোপলিটান,	মেট্রোপলিটন,	
ipl,	আইপ,	আইপিএল,	
halloween,	হলওউইন,	হ্যালোইন,	
valobasake,	ভালবাসাকে,	ভালোবাসাকে,	
pleeta,	প্লেট,	প্লেট,	
totokson,	ততক্ষণ,	ততক্ষন,	
pathanirdeshona,	পথনির্দেশনা,	পথনির্দেশনা,	
ekoghoore,	একঘরে,	একঘরে,	
moochi,	মুচি,	মুচি,	
pravritite,	প্রবৃতিতে,	প্রভৃতিতে,	
saseja,	সসজা,	সসেজ,	
rathin,	রথিন,	রথীন,	
azibonoer,	আজিবরণের,	আজীবনের,	
qrita,	ক্রিত,	ক্রীট,	
yatharthabhabe,	যথারথাবে,	যথার্থভাবে,	
spencer,	স্পেন্সের,	স্পেন্সার,	
jeelyaand,	জিল্যান্ড,	জিল্যান্ড,	
asar,	আসার,	আসর,	
