ekhaate,	এখাতে,	একহাতে,	
istonia,	ইস্টনিিয়া,	এস্তোনিয়া,	
aachees,	এচেস,	আছিস,	
ganosakkhorota,	গণস্ক্ষতত,	গণসাক্ষরতা,	
bhagirath,	ভাগীরথ,	ভগীরথ,	
bishnu,	বিষ্ণু,	বিষ্ণু,	
shhyutara,	স্যুটার,	শ্যুটার,	
bibad,	বিবদ,	বিবাদ,	
janachhe,	জনচচ্ছে,	জানাচ্ছে,	
chidrapathe,	চিত্রপথে,	ছিদ্রপথে,	
daul,	দাল,	দেউল,	
savanetri,	সভানেত্রী,	সভানেত্রী,	
aanhu,	আহু,	আনহু,	
ghumachchila,	ঘুমাশ্চিল,	ঘুমাচ্ছিল,	
harisher,	হারিসের,	হ্যারিসের,	
aziz,	আজিজ,	আজিজ,	
cholochchitreo,	চলচিত্রেও,	চলচ্চিত্রেও,	
melobborner,	মেলবর্বের,	মেলবোর্নের,	
seet,	সীট,	সিট,	
reno,	রেনো,	রেনো,	
barnish,	বার্নিস,	বার্নিশ,	
arthonitir,	অর্থনীতির,	অর্থনীতির,	
edipass,	এডিপস,	ইডিপাস,	
samashti,	সমস্তি,	সমষ্টি,	
deebatee,	দিবতী,	ডিবেট,	
soourse,	সার্সস,	সোর্স,	
byaboharkarie,	ব্যবহারকারী,	ব্যবহারকারীই,	
moshjidti,	মোশবিদ্টি,	মসজিদটি,	
ghatlo,	ঘাতল,	ঘটল,	
karpet,	কর্পেট,	কার্পেট,	
juboksaho,	যুবকশহ,	যুবকসহ,	
bosontoke,	বসন্তকে,	বসন্তকে,	
rayyaleti,	রয়েল্যাটি,	রয়্যালটি,	
kalengga,	কালেঙ্গ,	কালেঙ্গা,	
salapheeta,	সালফেট,	সালফেট,	
mascat,	মস্কাত,	মাস্কাট,	
sikkhaou,	শিক্ষাও,	শিক্ষাও,	
sangrahok,	সংগ্রহক,	সংগ্রাহক,	
kantajir,	কানটাজীর,	কান্তজির,	
si,	সি,	এসআই,	
manushera,	মনুষেরা,	মানুষেরা,	
shilpajata,	শিল্পজাত,	শিল্পজাত,	
lande,	লন্ডে,	ল্যান্ডে,	
jarool,	জরুল,	জারুল,	
hili,	হিলি,	হিলি,	
jolbe,	জলবে,	জ্বলবে,	
lyandim,	ল্যান্ডিং,	ল্যান্ডিং,	
musalmanderke,	মুসলম্ানদে,	মুসলমানদেরকে,	
bhabatarini,	ভাবতারীণী,	ভবতারিণী,	
tecnocrat,	টেকন্ক্রাট,	টেকনোক্র্যাট,	
phimeela,	ফিমেল,	ফিমেল,	
kanar,	কানার,	কণার,	
nir,	নির,	নির,	
govornorer,	গভর্নরের,	গভর্ণরের,	
ganosachetanata,	গণসাচৈতন্ত,	গণসচেতনতা,	
saifai,	সাইফাই,	সাইফাই,	
gaandaas,	গানদাস,	জ্ঞানদাস,	
meetropalitana,	মেট্রোপালিটন,	মেট্রোপলিটন,	
vashik,	ভাষ্যিক,	ভাষিক,	
azaadeer,	আযাদির,	আজাদীর,	
shektara,	সেক্টার,	সেক্টর,	
domonmulok,	দমনমূলক,	দমনমূলক,	
bamoni,	বামনী,	বামনী,	
omorendro,	অমরেন্দ্র,	অমরেন্দ্র,	
grambasir,	গ্রাম্বাসীর,	গ্রামবাসীর,	
grauth,	গ্রুথ,	গ্রোথ,	
bonoshri,	বনস্রী,	বনশ্রী,	
dakop,	দকক,	দাকোপ,	
sikha,	শিখা,	শিখ,	
karmoi,	কর্মই,	কর্মই,	
onekeryi,	অনেকেরই,	অনেকেরই,	
biswashke,	বিশ্বাসকে,	বিশ্বাসকে,	
oitijjer,	ঐতিজ্যের,	ঐতিহ্যের,	
machti,	মাচ্টি,	মাছটি,	
saseja,	সাসেজ,	সসেজ,	
dipan,	দিপন,	দীপন,	
gitikobitar,	গীতিবিকতার,	গীতিকবিতার,	
qode,	কোদে,	কোড,	
geans,	জিনস,	জিন্স,	
shphingtar,	স্ফিন্টর,	স্ফিংটার,	
sojja,	সয্জা,	সজ্জা,	
mohit,	মোহিত,	মুহিত,	
shotodha,	শতাধা,	শতধা,	
dosa,	দসা,	দোসা,	
bhogiroth,	ভোগীরো,	ভগীরথ,	
akramer,	আকরামের,	আকরামের,	
vaabnar,	ভাবনার,	ভাবনার,	
grameryi,	গ্রামেরি,	গ্রামেরই,	
moogdal,	মুগদাল,	মুগডাল,	
kingsh,	কিংশ,	কিংস,	
set,	সেট,	সিট,	
maithili,	মৈথিলী,	মৈথিলি,	
moonim,	মনিিং,	মুনিম,	
tuner,	টুনের,	টিউনার,	
hishabke,	হিসাবকে,	হিসাবকে,	
matrirup,	মাতৃরূপ,	মাতৃরূপ,	
narafoka,	নরফকা,	নরফোক,	
chilahati,	চিলাহাটি,	চিলাহাটি,	
chikittsar,	চিকিৎসার,	চিকিত্সার,	
shiter,	শিটের,	শীতের,	
baaiq,	বাইক,	বাইক,	
gasthike,	গ্ষ্ঠীকে,	গোষ্ঠীকে,	
pathkrom,	পাঠক্রম,	পাঠক্রম,	
jansha,	জাঁশা,	জন্স,	
chomke,	চমকে,	চমকে,	
dojo,	দজ,	ডোজো,	
apoharon,	অপহরণ,	অপহরন,	
ooporoshtho,	অপরস্থ,	উপরস্থ,	
vageri,	ভাগেরী,	ভাগেরই,	
fising,	ফিসিং,	ফিসিং,	
allubokhara,	অল্লবুখার,	আলুবোখারা,	
tamplate,	টম্পল্টে,	টেম্পলেট,	
poschimae,	পশ্চিমা,	পশ্চিমে,	
manushi,	মানুসি,	মানুষী,	
phirth,	ফার্থ,	ফার্থ,	
besirbhagei,	বেশিরভাগেই,	বেশিরভাগেই,	
yukeliptas,	ইউকেলপিট্যাস,	ইউক্যালিপ্টাস,	
saccer,	সাক্রের,	সকার,	
masjidti,	মাসিজদ্তি,	মসজিদটি,	
stoona,	স্টোন,	স্টোন,	
bedke,	বেদকে,	বেদকে,	
ajeejer,	আজিজের,	আজিজের,	
sommotite,	সম্মতিতে,	সম্মতিতে,	
chhon,	ছন,	ছোঁ,	
naagaalyand,	নাগাল্যান্ড,	নাগাল্যান্ড,	
homesh,	হমেস,	হোমস,	
basuki,	বসুকি,	বাসুকি,	
nodnadeer,	নদ্দাদির,	নদনদীর,	
somraat,	সম্রাত,	সম্রাট,	
resort,	রিসর্ট,	রিসোর্ট,	
pravuder,	প্রভুদের,	প্রভুদের,	
unhu,	উনু,	উঁহু,	
shreemoti,	শ্রীমতী,	শ্রীমতি,	
chalachchitro,	চলচিত্র,	চলচ্চিত্র,	
okritakarjo,	অকৃতাকার্য,	অকৃতকার্য,	
tooni,	তুনি,	টুনি,	
ibhara,	ইভার,	এভার,	
udbodhani,	উদ্বধানি,	উদ্বোধনী,	
prokalpaguli,	প্রকালপাগলি,	প্রকল্পগুলি,	
proshikkhone,	প্রশিক্ষণে,	প্রশিক্ষণে,	
sarboshaktimaan,	সর্বস্কতিম্ণ,	সর্বশক্তিমান,	
ayadabhanshada,	অ্যাডভাযান্সট,	অ্যাডভান্সড,	
durga,	দুর্গা,	দুর্গ,	
unitgulo,	উনিতগুলো,	ইউনিটগুলো,	
sahopathike,	সহপাঠিকে,	সহপাঠীকে,	
maase,	মাসে,	মাসে,	
vaabnake,	ভাবনাকে,	ভাবনাকে,	
aholar,	আহলার,	অহল্যার,	
siddhantagulo,	সিদ্ধানগুলো,	সিদ্ধান্তগুলো,	
chhuti,	ছুটি,	ছুটি,	
shulfate,	সুলফাতে,	সালফেট,	
bhittow,	ভিত্তব,	ভিত্তিও,	
samanno,	সমান্য,	সামান্য,	
ekbakye,	একবাকে,	একবাক্যে,	
iyutha,	ইউথা,	ইয়ুথ,	
upostheet,	উপস্থিত,	উপস্থিত,	
rudroke,	রুদ্রকে,	রুদ্রকে,	
steitt,	স্টেট,	স্টেইট,	
shita,	শীত,	সিট,	
oncholgoolir,	অঞ্চলগুলির,	অঞ্চলগুলির,	
satarko,	সতরক,	সতর্ক,	
janasangjog,	জনসাযোগ,	জনসংযোগ,	
iyaqa,	ইয়ক,	ইয়াক,	
khali,	খলি,	খালি,	
tafsir,	তাফসির,	তাফসীর,	
feroz,	ফেরোজ,	ফিরোজ,	
netherlander,	নেযারল্যান্ডের,	নেদারল্যান্ডের,	
engrezder,	ইংরেজ্দের,	ইংরেজদের,	
kormozog,	কর্মযোগ,	কর্মযোগ,	
robotic,	রোবোটিক,	রোবোটিক,	
paksenaara,	পাক্ষেনারা,	পাকসেনারা,	
chapal,	চাপাল,	চপল,	
bishaashke,	বিশ্বাসকে,	বিশ্বাসকে,	
elakatir,	এলাকাটির,	এলাকাটির,	
venise,	ভেনিসে,	ভেনিসে,	
favourite,	ফটভারিতে,	ফেভারিট,	
anchaltitey,	আঞচালটিতে,	অঞ্চলটিতে,	
asirbad,	আসীর্বাদ,	আশির্বাদ,	
jansa,	জাঁসা,	জোন্স,	
unit,	উনিত,	ইউনিট,	
marketey,	মার্কেটে,	মার্কেটে,	
uparjaner,	উপার্জনের,	উপার্জনের,	
transformaarer,	ট্রান্সফোরারের,	ট্রান্সফরমারের,	
protijogiitamulok,	প্রতিযোগিতামূলক,	প্রতিযোগীতামূলক,	
janacche,	জনচাচ্ছে,	জানাচ্ছে,	
mukhamandaley,	মুখমন্ডলে,	মুখমণ্ডলে,	
anyarup,	অন্যরূপ,	অন্যরূপ,	
baikalya,	বৈকলা,	বৈকল্য,	
bo,	ব,	বু,	
noveel,	নোভেল,	নভেল,	
chhotogalpe,	ছোটোগল্পে,	ছোটগল্পে,	
progreshsh,	প্রোগ্রেস,	প্রগ্রেস,	
kartana,	কর্তন,	করতনা,	
muhommoder,	মুহ্মমদের,	মুহম্মদের,	
chalochchitrai,	চলচিত্রেই,	চলচ্চিত্রই,	
fatakasto,	ফাতাকাস্ট,	ফাটাকেষ্ট,	
jaygata,	জেগাত,	জায়গাটা,	
gonocheener,	গণচিনের,	গণচীনের,	
bonke,	বনকে,	বনকে,	
kota,	কোট,	কোটা,	
dupleks,	ডাপলেক্স,	ডুপ্লে,	
songkulan,	সঙ্কুলান,	সংকুলান,	
mookhomandoler,	মুখমন্ডলের,	মুখমণ্ডলের,	
patochitrer,	পাতচিত্রের,	পটচিত্রের,	
nariider,	নারীদের,	নারীদের,	
azimke,	আজিমকে,	আজিমকে,	
shuperheiro,	সুপ্রেহিও,	সুপারহিরো,	
bhabanipur,	ভবনিপুর,	ভবানীপুর,	
bbiswashe,	বিশ্বাসে,	বিশ্বাসে,	
pholo,	ফল,	পোলো,	
mukhomaundol,	মুখমন্দল,	মুখমণ্ডল,	
bhor,	ভোর,	ভর,	
shrimoti,	শ্রীমতী,	শ্রীমতি,	
songbadmadhyamgulote,	সংবাদামহ্যুলকতের,	সংবাদমাধ্যমগুলোতে,	
chikitshar,	চিকিৎসার,	চিকিত্সার,	
lagchhe,	লাগছে,	লাগছে,	
kyanela,	ক্যানেল,	ক্যানেল,	
akbakye,	একবক্যে,	একবাক্যে,	
koommatei,	কমাতেই,	কমাতেই,	
stonaheenja,	স্তনেহিজ্ঞ,	স্টোনহেঞ্জ,	
iunita,	ইউনিট,	ইউনিট,	
seramiks,	সেরমিক্স,	সিরামিকস,	
iranayer,	ইররানের,	ইরানের,	
shorifer,	শরীফের,	শরিফের,	
sudrissho,	সুদৃশ্য,	সুদৃশ্য,	
mosjidke,	মস্জীদকে,	মসজিদকে,	
shomrat,	সম্রত,	সম্রাট,	
format,	ফরমাট,	ফরম্যাট,	
talgach,	তালগোছ,	তালগাছ,	
mahakabi,	মহাকাবি,	মহাকবি,	
kanai,	কানাই,	কানাই,	
aasirbaad,	আশীর্বাদ,	আশির্বাদ,	
jonesh,	জোনেশ,	জোন্স,	
ghoorsen,	ঘুর্ষেন,	ঘুরেছেন,	
societytey,	সোজিতেটে,	সোসাইটিতে,	
tet,	টেট,	টেট,	
welaqama,	ওইলাকম,	ওয়েলকাম,	
grambaasi,	গ্রাম্বাসী,	গ্রামবাসী,	
sookkho,	সুক্ষ,	সুক্ষ্ম,	
goroor,	গরুর,	গরুর,	
akla,	আকলা,	একলা,	
oncholgulote,	অঞ্চগুলোতে,	অঞ্চলগুলোতে,	
makong,	মক্,	মেকং,	
alsar,	আলসার,	আলসার,	
sothikata,	সথীকতা,	সঠিকতা,	
gauge,	গৌজ,	গেজ,	
varshon,	ভার্সন,	ভারশন,	
nathivukto,	নথিভুক্ত,	নথিভুক্ত,	
deep,	ডিপ,	দীপ,	
jathaartho,	যথার্থ,	যথার্থ,	
bojhey,	বোঝে,	বোঝে,	
shomser,	শমসের,	সমশের,	
monohputo,	মনোপপুত,	মনঃপুত,	
protizogiider,	প্রতিযোগিদের,	প্রতিযোগীদের,	
sontoshe,	সন্তুষে,	সন্তোষে,	
lotheeran,	লোঠিরান,	লুথেরান,	
bagichar,	বাগিচার,	বাগিচার,	
bekey,	বেকে,	বেঁকে,	
madhukooree,	মধুকুরি,	মাধুকরী,	
madhumati,	মধুমতি,	মধুমতী,	
obodamoner,	অবদামনের,	অবদমনের,	
kabutorer,	কাবুতারের,	কবুতরের,	
asovyo,	অসবওয,	অসভ্য,	
vushito,	ভূষিত,	ভূষিত,	
nagorikra,	নাগরিকরা,	নাগরিকেরা,	
sqolastic,	স্কলাসটিক,	স্কলাস্টিক,	
adhit,	অধিত,	অধীত,	
gostii,	গোট্টী,	গোষ্ঠীই,	
khalidkay,	খালিদকে,	খালিদকে,	
cheerokoomari,	চিরকমারী,	চিরকুমারী,	
skalastik,	স্কলাস্টিক,	স্কলাস্টিক,	
nek,	নেক,	নেক,	
achis,	এচিস,	আছিস,	
prakalpati,	প্রকলপপিি,	প্রকল্পটি,	
jyaka,	জাকা,	জ্যাক,	
bhramaner,	ভ্রামণের,	ভ্রমণের,	
nirmankaj,	নির্মাণকজ,	নির্মাণকাজ,	
bachchaner,	বাচ্ছনের,	বচ্চনের,	
hoole,	হোল,	হোল,	
satarkokari,	সতারকাকারী,	সতর্ককারী,	
jatiinke,	জাতিনকে,	যতীনকে,	
ghatleo,	ঘাতলেও,	ঘটলেও,	
protijogita,	প্রতিযোগিতা,	প্রতিযোগীতা,	
vaticaner,	ভাটিকানের,	ভ্যাটিকানের,	
pet,	পেট,	পেত,	
chalochchitreer,	চলচিত্র্রের,	চলচ্চিত্রের,	
gatirodh,	গতিরোধ,	গতিরোধ,	
jesha,	জেস,	জেস,	
aholya,	আহল্য,	অহল্যা,	
shiropar,	শিরপার,	শিরোপার,	
parisankhyanvid,	পরিসংখ্যানিদ,	পরিসংখ্যানবিদ,	
ingrejraa,	ইংরেজ্রা,	ইংরেজরা,	
baibasthaar,	ব্যবস্থার,	ব্যবস্থার,	
beam,	বীএম,	বীম,	
crucer,	ক্রুসের,	ক্রুশের,	
ejenda,	এজেন্ড,	এজেন্ডা,	
lyanding,	ল্যান্ডিং,	ল্যান্ডিং,	
ganonanatto,	গণণানত্য,	গণনাট্য,	
mausumei,	মাসুমেই,	মৌসুমেই,	
panjikar,	পাঁচিকর,	পঞ্জিকার,	
hights,	হাইটস,	হাইটস,	
ekghorey,	একগোরে,	একঘরে,	
chondrima,	চন্দ্রীমা,	চন্দ্রিমা,	
jonomukhi,	জনমুখী,	জনমুখী,	
vaisoho,	ভৈষসহ,	ভাইসহ,	
protisthar,	প্রতিষ্ঠার,	প্রতিষ্ঠার,	
falakti,	ফলকটি,	ফলকটি,	
besinay,	বেশিনে,	বেসিনে,	
moshion,	মশশন,	মোশন,	
smarak,	স্মরক,	স্মারক,	
monzooshree,	মন্জুস্রী,	মঞ্জুশ্রী,	
farmat,	ফার্মেট,	ফরম্যাট,	
uinndo,	উইন্ডো,	উইন্ডো,	
jesthaa,	জেষ্ঠা,	জ্যেষ্ঠা,	
expression,	এক্সপ্রেসেন,	এক্সপ্রেশন,	
oojbekistan,	উজবিকাস্তান,	উজবেকিস্তান,	
kaalengaa,	কালেঙ্গা,	কালেঙ্গা,	
codee,	কোড,	কোডে,	
ansareer,	আনসারির,	আনসারীর,	
breqathru,	ব্রিকারু,	ব্রেকথ্রু,	
tirmizi,	তিরমিজী,	তিরমিজি,	
shhcholashtik,	স্কলাস্তিক,	স্কলাস্টিক,	
uporostho,	উপরস্থ,	উপরস্থ,	
bosontokey,	বসন্তকে,	বসন্তকে,	
kaamla,	কামলা,	কামলা,	
superheira,	সুপ্রেহার,	সুপারহিরো,	
pashaner,	পাশণের,	পাষাণের,	
dhaloor,	ঢালুর,	ঢালুর,	
nikataner,	নিকটনের,	নিকেতনের,	
paner,	পানের,	পনের,	
arashie,	আরাশই,	আরসিএ,	
dharavahiktite,	ধরাহািত্তিতে,	ধারাবাহিকটিতে,	
moonshi,	মুনশী,	মুন্সি,	
bandhubhabaponno,	বন্ধুভাপনন্প,	বন্ধুভাবাপন্ন,	
maudelke,	মৌদেলকে,	মডেলকে,	
emergency,	এমেরেঞ্সি,	এমার্জেন্সি,	
sayatana,	স্যাটন,	শয়তান,	
skolastik,	স্কলাস্টিক,	স্কলাস্টিক,	
neemitto,	নিমিত্য,	নিমিত্ত,	
hisaber,	হিসাবের,	হিসাবের,	
pana,	পানা,	পানা,	
texaser,	টেকাস্যাসের,	টেক্সাসের,	
birishiritey,	বিরিশিরীতে,	বিরিশিরিতে,	
rakibul,	রাকিবুল,	রকিবুল,	
songosthaner,	সংগ্ঠানের,	সংস্থানের,	
fase,	ফসে,	ফাঁসে,	
rajtantrey,	রাজতন্ত্রে,	রাজতন্ত্রে,	
sphincter,	স্ফিন্কটার,	স্ফিংটার,	
akik,	একীক,	আকিক,	
talgaachh,	তালগাছ,	তালগাছ,	
jaanalo,	জানালো,	জানালো,	
karir,	করির,	কারীর,	
truup,	ট্রুপ,	ট্রুপ,	
mausumer,	মৌসুমের,	মৌসুমের,	
sourse,	সার্সস,	সোর্স,	
jokkho,	যক্ষ্য,	যক্ষ,	
oodoore,	অদুরে,	অদুরে,	
ooipoka,	উপককা,	উইপোকা,	
superheror,	সুপারহের,	সুপারহিরোর,	
ishpredshhit,	ইস্প্রশ্শিত,	স্প্রেডশীট,	
suparichiti,	সুপরিচিতি,	সুপরিচিতি,	
ponero,	পণেরও,	পনের,	
shaater,	সাটের,	শ্যুটার,	
eenameela,	ইনামেল,	এনামেল,	
puzita,	পূজিত,	পূজিতা,	
balroom,	বালরুম,	বলরুম,	
uroor,	ইরুর,	উরুর,	
sansthagulo,	সংস্থাগুলো,	সংস্থাগুলো,	
deliwer,	ডিলিভার,	ডেলিভার,	
daaktikite,	দাকতিকিতে,	ডাকটিকিটে,	
saamaanya,	সামান্য,	সামান্য,	
praman,	প্রমাণ,	প্রমান,	
bronze,	ব্রণ্জে,	ব্রোঞ্জ,	
sedikei,	সেদিকেই,	সেদিকেই,	
ula,	উলা,	উল,	
satarkabhabe,	সতরক্াভাবে,	সতর্কভাবে,	
akmato,	একমত,	একমত,	
cathalic,	চ্যাটলিক,	ক্যাথলিক,	
hurricane,	হিরিকেন,	হ্যারিকেন,	
nagarik,	নাগরিক,	নাগরিক,	
saaed,	সাইদ,	সাইদ,	
edii,	এডি,	আইডিই,	
muhurto,	মুহূর্ত,	মুহুর্ত,	
jatee,	জাতি,	যাতি,	
gobeshanagar,	গবেষণাগার,	গবেষনাগার,	
nothivuktir,	নথিভুক্তির,	নথিভুক্তির,	
kolkarkhana,	কলককরহণা,	কলকারখানা,	
mele,	মেলে,	মাইল,	
chuti,	ছুটি,	ছুটি,	
vabnar,	ভা্নার,	ভাবনার,	
pachhi,	পাঁচি,	পাচ্ছি,	
anchaltike,	আঞ্চলটিকে,	অঞ্চলটিকে,	
abosore,	আবসারে,	অবসরে,	
dibating,	দিবেটিং,	ডিবেটিং,	
goteerodh,	গতিরোধ,	গতিরোধ,	
shiqara,	সিকার,	শিকার,	
sommoteer,	সম্মতির,	সম্মতির,	
koda,	কোড,	কোডা,	
granthoti,	গ্রন্থটি,	গ্রন্থটি,	
meterey,	মেটেরে,	মিটারে,	
choudhoorir,	চৌধুরির,	চৌধুরীর,	
jorer,	জোরের,	জ্বরের,	
protishta,	প্রতিষ্ট,	প্রতিষ্টা,	
bohoodeen,	বহুদিন,	বহুদিন,	
homasa,	হোমস,	হোমস,	
inastyanta,	ইনস্টান্ট,	ইনস্ট্যান্ট,	
debaag,	দেবাগ,	ডিবাগ,	
bhartuky,	ভার্তুকি,	ভর্তুকি,	
gandhio,	গান্ধীও,	গান্ধীও,	
ganana,	গানানা,	গননা,	
starker,	স্ট্রাকের,	স্টার্কের,	
alauler,	আলালের,	আলাওলের,	
chef,	চেফ,	শেফ,	
dorun,	দরুন,	দরুণ,	
pingnaa,	পিঙ্ন,	পিংনা,	
orthanitite,	অর্থনীতিতে,	অর্থনীতিতে,	
chaalta,	চাল্টা,	চালতা,	
naran,	নরন,	নরেন,	
korkatkranti,	কর্ককর্তন্তি,	কর্কটক্রান্তি,	
shailee,	সইলে,	শৈলী,	
daakten,	ডাকতেন,	ডাকতেন,	
zeeland,	জিল্যান্ড,	জিল্যান্ড,	
aakkaas,	অক্যাশ,	আককাস,	
rahi,	রহী,	রাহী,	
choudhoorio,	চৌধুরি,	চৌধুরীও,	
probeshon,	প্রবেশন,	প্রবেশন,	
loukikataa,	লৌকিকতা,	লৌকিকতা,	
sumee,	সুমি,	সুমি,	
gronthowo,	গ্রন্থুও,	গ্রন্থও,	
mb,	এমবি,	এমবি,	
tauki,	তৌকি,	তকি,	
byabostho,	ব্যবসস্থ,	ব্যাবস্থা,	
show,	শও,	শো,	
obdee,	অব্দি,	অব্দি,	
rigthter,	রৃঘতের,	রাইটের,	
herisoner,	হিরিশনের,	হ্যারিসনের,	
debdebir,	দেবদীবির,	দেবদেবীর,	
zesh,	যেস,	জেস,	
garjan,	গার্জন,	গর্জন,	
tukroti,	তুকরতটি,	টুকরোটি,	
dito,	দিত,	দিতো,	
sooter,	সোটের,	শ্যুটার,	
dooborira,	দুবোরীরা,	ডুবুরিরা,	
jomanor,	জমানোর,	জমানোর,	
garnaar,	গর্ণার,	গার্নার,	
utsahomulak,	উৎসাহমূলক,	উৎসাহমূলক,	
bishnuu,	বিষ্ণু,	বিষ্ণু,	
janamukhi,	জনমুখী,	জনমুখী,	
safi,	সফি,	সাফি,	
drissogoolo,	দৃশ্যগুলো,	দৃশ্যগুলো,	
azadeer,	আযাদির,	আজাদীর,	
nirorthok,	নিরোরক,	নিরর্থক,	
sazano,	সাজানো,	সাজানো,	
sainyasaha,	সৈননাসহ,	সৈন্যসহ,	
drishyoi,	দৃশ্যই,	দৃশ্যই,	
ias,	আইএএএস,	আইএএস,	
samajeekotar,	সমাজিকতার,	সামাজিকতার,	
inamil,	ইনামিল,	এনামেল,	
saurse,	সার্সস,	সোর্স,	
bauger,	বৌগের,	বাগের,	
roomantika,	রোমান্তিক,	রোমান্টিক,	
iuqyaliptasa,	ইউক্লিপ্যাস,	ইউক্যালিপ্টাস,	
note,	নোটে,	নোটে,	
manober,	মানবের,	মানবের,	
chhootir,	ছুটির,	ছুটির,	
fanskari,	ফাস্সারি,	ফাঁসকারী,	
temontee,	তেমনটি,	তেমনটি,	
hizrite,	হিজরিতে,	হিজরীতে,	
iraner,	ইরানের,	ইরানের,	
chaakti,	চাকটি,	চাকতি,	
palki,	পালকি,	পাল্কি,	
cheph,	চেফ,	শেফ,	
faster,	ফস্টের,	ফস্টার,	
turkyder,	তুর্কীদের,	তুর্কিদের,	
grambaseeder,	গ্রামসাবিসের,	গ্রামবাসীদের,	
veda,	ভেদা,	বেদ,	
chamoski,	চমষকি,	চমস্কি,	
ajim,	আজিম,	আজিম,	
nothivukto,	নথিভুক্ত,	নথিভুক্ত,	
grovth,	গ্রথথ,	গ্রোথ,	
shikarder,	শিকারদের,	শিকারদের,	
pakhirai,	পাখিরাই,	পাখিরাই,	
karmosampadon,	কর্মসাপম্পন,	কর্মসম্পাদন,	
mukhya,	মুখ্য,	মুখ্য,	
pade,	পদে,	পাড়ে,	
ramantic,	রোম্যান্টিক,	রোমান্টিক,	
hedge,	হেজ,	হেজ,	
starc,	স্টার্ক,	স্টার্ক,	
manushsoho,	মানুসসহ,	মানুষসহ,	
nesnos,	নেশসন,	নেশনস,	
dada,	ডাদা,	দাদা,	
dong,	ডং,	ডং,	
moshzid,	মস্জিদ,	মসজিদ,	
garner,	গর্ণের,	গার্নার,	
jathartho,	যথার্থ,	যথার্থ,	
uponishoder,	উপনিশদের,	উপনিষদের,	
baarbaadoj,	বার্বাোোজ,	বার্বাডোজ,	
eporjanta,	এপর্জন্ত,	এপর্যন্ত,	
onodhikar,	অনধিকার,	অনধিকার,	
dharagulo,	ধারাগুলো,	ধারাগুলো,	
ganesher,	গেনেসের,	গণেশের,	
shefa,	সেফ,	শেফ,	
sanstha,	সনস্থা,	সংস্থা,	
proshtot,	প্রস্তোত,	প্রস্ত্তত,	
monjhoshtho,	মন্যস্থ,	মঞ্চস্থ,	
ammor,	আমযার,	আমর,	
niranjon,	নিরঞ্জন,	নিরঞ্জন,	
nirvachokder,	নির্বাচকদের,	নির্বাচকদের,	
moshjid,	মস্জিদ,	মসজিদ,	
heebhi,	হেভি,	হেভি,	
marekting,	মার্কেটং,	মার্কেটিং,	
potengar,	পতেনগার,	পতেঙ্গার,	
udvabone,	উদ্ভাবনে,	উদ্ভাবনে,	
joubanbati,	যৌবন্বতি,	যৌবনবতী,	
plete,	প্লেট,	প্লেট,	
netherland,	নেথারল্যান্ড,	নেদারল্যান্ড,	
ray,	রে,	রায়,	
sarbopori,	সর্বপপী,	সর্বোপরী,	
babylon,	বাযাবলল,	ব্যাবিলন,	
kaalki,	কালকি,	কালকি,	
bisshasyi,	বিশ্বাসই,	বিশ্বাসই,	
chalachchitroke,	চলচ্চিত্রকে,	চলচ্চিত্রকে,	
brindaaboner,	বৃর্দাবনের,	বৃন্দাবনের,	
mesenjjarer,	মেশেঞ্জারের,	মেসেঞ্জারের,	
petenter,	পিটেন্টের,	পেটেন্টের,	
dhhaalur,	ঢালুর,	ঢালুর,	
black,	ব্লক,	ব্ল্যাক,	
karoo,	কারু,	কারো,	
hosney,	হস্নে,	হোসনে,	
jaunatar,	যৌনতার,	যৌনতার,	
shaushage,	সৌশাগে,	সসেজ,	
simmons,	সিম্নস,	সিমন্স,	
qonfliqt,	কনফিল্ট,	কনফ্লিক্ট,	
skolarseep,	স্কলারশিপ,	স্কলারশিপ,	
taronee,	তরণী,	তরণী,	
rato,	রত,	রত,	
plater,	প্লেটার,	প্লেটের,	
shaapholler,	স্ফললের,	সাফল্যের,	
armshtrong,	আর্সস্টার্ং,	আর্মস্ট্রং,	
manabmaner,	মানব্মনের,	মানবমনের,	
dabarer,	দাবরের,	দাবারের,	
asif,	আসিফ,	আসিফ,	
barron,	বররণ,	ব্যারন,	
deenesh,	ডিনেস,	দীনেশ,	
sumita,	সুমিত,	সুমিতা,	
konagoolo,	কোনাগুলো,	কণাগুলো,	
katbey,	কটবে,	কাটবে,	
marmader,	মারমাদের,	মারমাদের,	
grantho,	গ্রন্থ,	গ্রন্থ,	
kathhmandute,	কাঠমান্ডুতে,	কাঠমান্ডুতে,	
silbhi,	সিলভি,	সিলভি,	
chanake,	চানকে,	ছানাকে,	
shourshe,	সার্ষে,	সোর্স,	
prasadhoni,	প্রসাধনী,	প্রসাধনী,	
ssahocorze,	সহযারাক্যে,	সাহচর্যে,	
infarmatian,	ইনফ্রমেশন,	ইনফরমেশন,	
ebham,	এভাম,	ইভিএম,	
gudamjat,	গুদামাত,	গুদামজাত,	
emiratas,	এমিরেটস,	এমিরেটাস,	
change,	চঙ্গে,	চেঞ্জ,	
laaiseensh,	লাইসেন্স,	লাইসেন্স,	
kul,	কুল,	কুল,	
clintoner,	ক্লিন্টনের,	ক্লিনটনের,	
kumari,	কুমারি,	কুমারী,	
teemothee,	তিমোথি,	টিমোথি,	
