sina,	সিন,	সিনা,	
ghatol,	ঘটল,	ঘটল,	
jubokera,	যুবকরা,	যুবকেরা,	
angsogrohon,	অংশগ্রহণ,	অংশগ্রহন,	
paikgachha,	পাকপাঁছা,	পাইকগাছা,	
protimar,	প্রতিমার,	প্রতিমার,	
noubihar,	নৌবিহার,	নৌবিহার,	
asamanno,	অসমান্ন,	অসামান্য,	
suparichita,	সুপারিচিত,	সুপরিচিত,	
showtey,	শুটে,	শোতে,	
shikshakram,	শিক্ষাক্রম,	শিক্ষাক্রম,	
injeel,	ইঞ্জেল,	ইঞ্জিল,	
sobrakomer,	সব্রকামের,	সবরকমের,	
faranyata,	ফররন্না,	ফরম্যাট,	
aakabar,	আকাবার,	আকাবার,	
orthonitike,	অর্থনীতিকে,	অর্থনীতিকে,	
songasthatir,	সংস্থাটির,	সংস্থাটির,	
silvi,	সিলভি,	সিলভি,	
stonaheenja,	স্তননাহিজ্ঞ,	স্টোনহেঞ্জ,	
megher,	মেঝের,	মেঘের,	
note,	নোট,	নোটে,	
farid,	ফররিদ,	ফরিদ,	
rakhtokkharone,	রক্তকারণে,	রক্তক্ষরণে,	
zeland,	জেল্যান্ড,	জিল্যান্ড,	
antorvukto,	অন্তর্ভুক্ত,	অন্তর্ভুক্ত,	
atohar,	আতাহার,	আতহার,	
sanaktokaron,	সনাক্তকরণ,	সনাক্তকরণ,	
durgotshob,	দুর্গতভাব,	দুর্গোৎসব,	
chhutee,	ছুটি,	ছুটি,	
railliner,	রেলিনের,	রেললাইনের,	
asamorik,	আসামরিক,	অসামরিক,	
cilahaati,	বিলাহাতি,	চিলাহাটি,	
ghomtaa,	ঘোমটা,	ঘোমটা,	
kormyi,	কর্মেই,	কর্মই,	
satjan,	সাজ্জান,	সাতজন,	
surarop,	সুরারপ,	সুরারোপ,	
deeares,	ডায়ের,	ডিআরএস,	
byabaharkari,	ব্যবহারকারী,	ব্যবহারকারী,	
poschime,	পশ্চিমে,	পশ্চিমে,	
pholo,	ফল,	পোলো,	
sombhobonao,	সম্ভবনাও,	সম্ভবনাও,	
heawy,	হেই,	হেভি,	
ghateer,	ঘটির,	ঘাটির,	
gitikabitar,	গীতিকাবিতার,	গীতিকবিতার,	
change,	চঙ্গে,	চেঞ্জ,	
jarusalem,	জারাসুলেল,	জেরুসালেম,	
tuner,	টুনের,	টিউনার,	
larshon,	লারষন,	লারসন,	
khilaphat,	খিলাফোত,	খিলাফত,	
venicey,	ভেনিসে,	ভেনিসে,	
vashik,	ভাষীক,	ভাষিক,	
jahar,	জাহর,	জহর,	
besirbhagi,	বেশীরভাগী,	বেশিরভাগই,	
allubokhara,	অল্লব্ছরা,	আলুবোখারা,	
futbolarer,	ফুটবলারের,	ফুটবলারের,	
balaruma,	বলরামা,	বলরুম,	
sachindra,	সাচিন্দ্র,	শচীন্দ্র,	
musolmanderkey,	মুসল্মনদারকে,	মুসলমানদেরকে,	
bissashe,	বিশ্বাসে,	বিশ্বাসে,	
sikkhakbrinda,	শিক্ষাকৃতিন্দ,	শিক্ষকবৃন্দ,	
shikkhakramer,	শিক্ষাক্রমের,	শিক্ষাক্রমের,	
akten,	এঁকতেন,	অকটেন,	
cheento,	চিন্ত,	চিনতো,	
manushgulor,	মণুষুলগর,	মানুষগুলোর,	
shrabostee,	শ্রববস্তি,	শ্রাবস্তী,	
shookna,	শুকনা,	শুকনা,	
bbiswashke,	বিশ্বাসকে,	বিশ্বাসকে,	
bytes,	বিটেস,	বাইটস,	
durgotsabe,	দুর্গতভাবে,	দুর্গোৎসবে,	
marketey,	মার্কেটে,	মার্কেটে,	
madhobi,	মাধবী,	মাধবীর,	
zackson,	জকশন,	জ্যাকসন,	
bashitey,	বাঁষিতে,	বাঁশিতে,	
proshadhoner,	প্রশাধানের,	প্রসাধনের,	
samannoi,	সমাননই,	সামান্যই,	
drishi,	দৃষি,	দৃশ্যই,	
balbo,	বলবু,	বলবো,	
reshidensha,	রেসিডেন্স,	রেসিডেন্স,	
texuser,	টেক্সুসের,	টেক্সাসের,	
byabaharkareer,	ব্যবহারকারীর,	ব্যবহারকারীর,	
abheedhaanic,	অবিধাহিনিক,	অভিধানিক,	
morathee,	মরাাঠী,	মরাঠি,	
rajotwa,	রাজত্ব,	রাজত্ব,	
udvaban,	উদ্ভাবন,	উদ্ভাবন,	
phutbolarer,	ফুটবলারের,	ফুটবলারের,	
petrol,	পেট্রোল,	পেট্রোল,	
rajpur,	রাজপুর,	রাজপুর,	
chikitshar,	চিকিৎসার,	চিকিত্সার,	
jakkher,	যক্ষের,	যক্ষের,	
angshogragon,	অংশগ্রগণ,	অংশগ্রহন,	
palashir,	পালসির,	পলাশীর,	
somonnitobhabe,	সমমন্তভাবে,	সমন্বিতভাবে,	
khele,	খেলে,	খেলে,	
purohitder,	পুরুহীদের,	পুরোহিতদের,	
goteehin,	গতিহীন,	গতিহীন,	
hames,	হামেস,	হোমস,	
amar,	আমার,	আমর,	
aashtikotaa,	আস্তিকতা,	আস্তিকতা,	
nischitvabe,	নিশ্চিতভাবে,	নিশ্চিতভাবে,	
thanvi,	থাঁভি,	থানভী,	
anyorup,	অন্যরূপ,	অন্যরূপ,	
chhootite,	ছুটিতে,	ছুটিতে,	
uttar,	উত্তর,	উওর,	
sahooseekotar,	সাহুসকতির,	সাহসিকতার,	
seemaa,	সীমা,	সীমা,	
chondrimaa,	চন্দ্রিমা,	চন্দ্রিমা,	
hughes,	হুগেস,	হিউজেস,	
firti,	ফারতি,	ফিরতি,	
seekkhaarthirao,	শিক্ষার্থীরা,	শিক্ষার্থীরাও,	
tigre,	টিগ্রে,	টাইগার,	
karle,	কারলে,	করলে,	
dhormee,	ধর্মি,	ধর্মী,	
neermolota,	নির্মলতা,	নির্মলতা,	
kaner,	কানের,	কনের,	
haridware,	হরিদর্বরে,	হরিদ্বারে,	
taranee,	তারণী,	তরণী,	
musalmanderkey,	মুসল্মনদারকে,	মুসলমানদেরকে,	
bhandaare,	ভান্ডারে,	ভাণ্ডারে,	
ingrejraa,	ইংরেজরা,	ইংরেজরা,	
azan,	আজান,	আজান,	
janosangjog,	জনসংযোগ,	জনসংযোগ,	
aireshe,	আইরাশে,	আইরেসে,	
jeebjontu,	জীবনত্তু,	জীবজন্তু,	
satarkotar,	সাত্রকতার,	সতর্কতার,	
bisshaso,	বিশ্বাসও,	বিশ্বাসও,	
joisttho,	যৈস্থ,	জ্যৈষ্ঠ,	
nochiketa,	নোচিকেত,	নচিকেতা,	
abahan,	আবহান,	আবাহন,	
krej,	ক্রেজ,	ক্রেজ,	
shektara,	সেক্টর,	সেক্টর,	
hoila,	হইল,	হইল,	
dankaan,	ডানকান,	ডানকান,	
anchalsamuho,	আঞ্চলসমূহ,	অঞ্চলসমূহ,	
bidrup,	বিদ্রুপ,	বিদ্রূপ,	
athar,	আঠার,	আতহার,	
meghachonno,	মেঘাচনন্ন,	মেঘাচ্ছন্ন,	
kanflikt,	কাযাল্কিক্ট,	কনফ্লিক্ট,	
female,	ফেমলে,	ফিমেল,	
solil,	সলিল,	সলিল,	
danakana,	ডানাকান,	ডানকান,	
sahajlabhbhatar,	সহজালভাবতার,	সহজলভ্যতার,	
korkotkraanti,	কর্ককর্তনিক,	কর্কটক্রান্তি,	
lutheeran,	লুঠিরান,	লুথেরান,	
milekhanek,	মিলেফানকে,	মাইলখানেক,	
kaansaat,	কাসাট,	কানসাট,	
suparheiro,	সুপারহীরা,	সুপারহিরো,	
baabul,	বাবুল,	বাবুল,	
muradke,	মুরদাকে,	মুরাদকে,	
daktikit,	দাক্তিকিত,	ডাকটিকিট,	
karadonde,	কারাদন্ডে,	কারাদণ্ডে,	
huk,	হুক,	হুক,	
sampadoner,	সম্পাদনের,	সম্পাদনের,	
ekspression,	এক্সপ্রেশন,	এক্সপ্রেশন,	
damane,	দমানে,	দমনে,	
bhittio,	ভিত্তিও,	ভিত্তিও,	
aaeereshe,	আইরেশে,	আইরেসে,	
konruup,	কন্রূপ,	কোনরূপ,	
teresa,	তেরেস,	টেরেসা,	
shaahocharjo,	শাহচা্য,	সাহচর্য,	
vaabnar,	ভাবনার,	ভাবনার,	
amstrang,	অ্যামট্রগ,	আর্মস্ট্রং,	
sobche,	সবচে,	সবচে,	
bhaandare,	ভান্ডারে,	ভাণ্ডারে,	
udbhabon,	উদ্ভাবন,	উদ্ভাবন,	
graambaaseeder,	গ্রামবাসাইদের,	গ্রামবাসীদের,	
pharn,	ফার্ন,	ফার্ন,	
pallar,	পোলার,	পাল্লার,	
khargoser,	খার্গশের,	খরগোসের,	
heerani,	হিরণি,	হিরানি,	
ganohotyake,	গণহাত্যকে,	গণহত্যাকে,	
bhabaponno,	ভবানপন্ন,	ভাবাপন্ন,	
kormokandeo,	কর্মকান্ডে,	কর্মকাণ্ডেও,	
patiganiter,	পাতিগাগিতের,	পাটিগণিতের,	
aansaareer,	আনসারির,	আনসারীর,	
evaner,	এভানের,	ইভানের,	
krantikale,	ক্র্যান্টাকাল,	ক্রান্তিকালে,	
veda,	ভেদা,	বেদ,	
dei,	দেই,	দিই,	
basaake,	বাসাকে,	বাসাকে,	
onupater,	অনুপতের,	অনুপাতের,	
gobeshona,	গবেষণা,	গবেষনা,	
kormokarer,	কর্মকারের,	কর্মকারের,	
karmokarer,	কর্মকরের,	কর্মকারের,	
nodiitike,	নদীতীকে,	নদীটিকে,	
reliance,	রিলেয়েস্স,	রিলায়েন্স,	
neshnos,	নেনসংস,	নেশনস,	
samany,	স্যামানি,	সামান্য,	
hepataitisha,	হেপোটেটিস,	হেপাটাইটিস,	
suporichita,	সুপরিচিত,	সুপরিচিত,	
krom,	ক্রম,	ক্রম,	
bheenisa,	ভীনিশ,	ভেনিস,	
conservation,	কনসার্েশন,	কনসারভেশন,	
mohisho,	মহীশস,	মহিষ,	
cholocchitro,	চলচিত্র,	চলচ্চিত্র,	
everestey,	এভারসেট,	এভারেস্টে,	
sollallhu,	সল্লাল্লু,	সল্লাল্লাহু,	
spredshiit,	স্প্র্সেডিট,	স্প্রেডশীট,	
rajnaitik,	রাজনৈতিক,	রাজনৈতীক,	
shithilota,	শিঘিলতা,	শিথিলতা,	
second,	সেকন্ড,	সেকেণ্ড,	
nothibhukto,	নথিবুক্ত,	নথিভুক্ত,	
baataree,	বাতারী,	ব্যাটারী,	
asbab,	আসবাব,	আসবাব,	
monmoth,	মনমোথ,	মন্মথ,	
tanight,	টানিথ,	টুনাইট,	
scolarship,	স্কলারশিপ,	স্কলারশিপ,	
bibadey,	বিবাদে,	বিবাদে,	
janagananar,	জনগণনার,	জনগণনার,	
zesa,	যেস,	জেস,	
pratishhta,	প্রতিষ্টা,	প্রতিষ্টা,	
hepetitis,	হেপেটিটিক,	হেপাটাইটিস,	
bhenuser,	ভেনেসের,	ভেনাসের,	
youth,	ইউথ,	ইয়ুথ,	
patterne,	প্যাটার্নে,	প্যাটার্নে,	
ogovir,	অগভীর,	অগভীর,	
shommoteer,	সম্মোটির,	সম্মতির,	
aqram,	আকরাম,	আকরাম,	
licensing,	লিইকনসিং,	লাইসেন্সিং,	
carlosh,	কার্লস,	কার্লোস,	
thaken,	থাকেন,	থাকেন,	
kalki,	কলকি,	কালকি,	
kingsh,	কিংস,	কিংস,	
sausage,	সাসগে,	সসেজ,	
melobborne,	মেলববর্ণে,	মেলবোর্নে,	
metere,	মেটারে,	মিটারে,	
loombinee,	লুম্বিনী,	লুম্বিনী,	
ajeemke,	আজিমকে,	আজিমকে,	
boshoborty,	বসবর্তী,	বশবর্তী,	
elaakaatir,	এলাকাতির,	এলাকাটির,	
beshirbhagei,	বেশীরভাগেই,	বেশিরভাগেই,	
shreechaitanyadeb,	শ্রীচৈতিন্দ্বা,	শ্রীচৈতন্যদেব,	
bisnooke,	বিষ্ণুকে,	বিষ্ণুকে,	
modhumotii,	মধুমতি,	মধুমতী,	
taffsher,	তফফের,	তাফসীর,	
buffar,	ফুফার,	বাফার,	
landing,	লন্ডিং,	ল্যান্ডিং,	
gronthoo,	গ্রন্থ,	গ্রন্থও,	
lendol,	লেন্ডল,	লেন্ডল,	
dharavahiktir,	ধারাবিচ্যির,	ধারাবাহিকটির,	
bosobben,	বসববেন,	বসবেন,	
teenej,	টেইনেজ,	টিনেজ,	
dormetori,	ডরমেটরি,	ডরমিটরি,	
horeedwar,	হরিদদর,	হরিদ্বার,	
tourisht,	টুরিস্ট,	টুরিস্ট,	
chinito,	চিনিত,	চিনতো,	
jolaatonko,	জলাাতনক,	জলাতঙ্ক,	
shaluk,	শালুক,	শালুক,	
zins,	জিনস,	জিন্স,	
anchalke,	আঞ্চলকে,	অঞ্চলকে,	
nirmol,	নির্মল,	নির্মল,	
cheentaikari,	চিনতাইকারী,	ছিনতাইকারী,	
kartana,	কার্টন,	করতনা,	
prakalpeo,	প্রকল্পে,	প্রকল্পেও,	
khaamba,	খাম্বা,	খাম্বা,	
muhammod,	মুহাম্মদ,	মুহম্মদ,	
cilahati,	বিলাহটি,	চিলাহাটি,	
sanaktokaroner,	সনাক্তকরণের,	সনাক্তকরণের,	
inafarameshana,	ইনফরফামেন,	ইনফরমেশন,	
azadeer,	আজাদীর,	আজাদীর,	
diares,	ডায়ররেস,	ডিআরএস,	
chhatto,	ছট্ট,	ছোট্ট,	
hari,	হ্যারি,	হরি,	
poripakey,	পরিপাকে,	পরিপাকে,	
sovanetri,	সভানন্ত্রী,	সভানেত্রী,	
serup,	শেরুপ,	সেরূপ,	
sangasthatir,	সংস্থাটির,	সংস্থাটির,	
leader,	লেডার,	লিডার,	
karecho,	করেছ,	করেছো,	
ahong,	আহং,	অহং,	
jhijhi,	ঝিজহী,	ঝিঝি,	
bboponer,	বপনের,	বপনের,	
gejetade,	গেজেটাদে,	গেজেটেড,	
dephinesana,	ডেফিনিশন,	ডেফিনেশন,	
ritesh,	রাইটস,	রিতেশ,	
ishiyatika,	এসেওয়েকিক,	এশিয়াটিক,	
doltyagi,	দলতাযাগী,	দলত্যাগী,	
nirbaahi,	নির্বাহী,	নির্বাহি,	
poshte,	পোষ্টে,	পোষ্টে,	
naphisa,	নাফিস,	নাফিসা,	
kara,	কারা,	কর,	
lutheran,	লুঠারেন,	লুথেরান,	
ganona,	গণনা,	গননা,	
myakbeth,	ম্যাকবোথ,	ম্যাকবেথ,	
narsaari,	নার্সারী,	নার্সারি,	
khargosher,	খার্গশের,	খরগোসের,	
sektara,	সেক্টর,	সেক্টর,	
gaaddaafee,	গাদ্ালাফি,	গাদ্দাফী,	
samajeri,	সমাজারী,	সমাজেরই,	
bhumijo,	ভূমিজও,	ভূমিজ,	
aabahan,	আবহান,	আবাহন,	
planeti,	প্লেনটি,	প্লেনটি,	
dunkan,	দুনকান,	ডানকান,	
ponjeekar,	পাঁজিকার,	পঞ্জিকার,	
manahputo,	মানাচ্ুুত,	মনঃপুত,	
potocheetrer,	পটচিত্রের,	পটচিত্রের,	
agomoner,	অগমনের,	আগমনের,	
hotochokito,	হটচকিত,	হতচকিত,	
shqolastic,	স্কলাউস্টেক,	স্কলাস্টিক,	
aarekdal,	আরেকলড,	আরেকদল,	
karmokerer,	কর্মকেরের,	কর্মকারের,	
sooter,	সুটার,	শ্যুটার,	
nothivookto,	নথিভুক্ত,	নথিভুক্ত,	
proshtutkarok,	প্রস্তুতকরক,	প্রস্তুতকারক,	
leta,	লেট,	ল্যাটা,	
vabotarini,	ভববতারীণী,	ভবতারিণী,	
oxforde,	অকমোরদে,	অক্সফোর্ডে,	
naitik,	নৈতিক,	নৈতিক,	
chetana,	চেতন,	চেতনা,	
doover,	দুভের,	ডোভার,	
shakar,	শককার,	সকার,	
eidin,	এইডিন,	এইদিন,	
ide,	আইড,	আইডিই,	
otitkaley,	অতিতকালে,	অতীতকালে,	
loukik,	লৌকিক,	লৌকিক,	
vabaponno,	ভবাপন্ন,	ভাবাপন্ন,	
biphal,	বিফল,	বিফল,	
sikkhagata,	শিক্ষাগত,	শিক্ষাগত,	
chhilonaa,	ছিলনা,	ছিলনা,	
karadandey,	কারাদন্ডে,	কারাদণ্ডে,	
surakarder,	সুরকরাদের,	সুরকারদের,	
land,	ল্্ড,	ল্যান্ড,	
sthaponar,	স্থাপনার,	স্থাপনার,	
dajhya,	দজ্য,	দাহ্য,	
chalochchitroke,	চলচিত্রকে,	চলচ্চিত্রকে,	
drissogoolo,	দৃশ্যগুলো,	দৃশ্যগুলো,	
bhaandaar,	ভান্ডার,	ভাণ্ডার,	
claud,	ক্লাড,	ক্লাউড,	
samosto,	সমস্ত,	সমস্ত,	
atitkaale,	অতিতকালে,	অতীতকালে,	
farn,	ফার্ন,	ফার্ন,	
nikote,	নিকটে,	নিকটে,	
subader,	সুবাদের,	সুবাদে,	
sukumaree,	সুকুমারী,	সুকুমারী,	
gunman,	গুমমান,	গুণমান,	
cherechhe,	চেরেছে,	ছেড়েছে,	
gasthigulo,	গাষ্ঠিগুলো,	গোষ্ঠীগুলো,	
kemonay,	কেমনা,	কেমনে,	
jakkho,	যক্ষ্ম,	যক্ষ,	
dhyanastho,	ধ্বংসস্থ,	ধ্যানস্থ,	
korimer,	করিমের,	করিমের,	
osommotite,	অসম্মতিতে,	অসম্মতি,	
siddhanto,	সিদ্ধান্ত,	সিদ্ধান্তও,	
sofier,	সফির,	সোফির,	
siiteyi,	সিটেই,	শীতেই,	
favourite,	ফভররীতে,	ফেভারিট,	
monohputa,	মনোচুত,	মনঃপুত,	
fand,	ফান্ড,	ফান্ড,	
gitikobitar,	গীতিকুকিত,	গীতিকবিতার,	
sahocorje,	সহচর্যে,	সাহচর্যে,	
palki,	পালকি,	পাল্কি,	
daaloo,	দালু,	ডালু,	
craze,	ক্রেজে,	ক্রেজ,	
naarsaari,	নার্সারী,	নার্সারি,	
eshiyatika,	এসেওয়েকিক,	এশিয়াটিক,	
muhammad,	মুহাম্মাদ,	মুহম্মদ,	
skolarship,	স্কলারশিপ,	স্কলারশিপ,	
indr,	ইন্ড্র,	ইন্দ্র,	
daap,	ডাপ,	ড্যাপ,	
sniper,	স্নাইপের,	স্নাইপার,	
ibhil,	ইইভিল,	ইভিল,	
valobasa,	ভালবাসা,	ভালোবাসা,	
retasa,	রেটস,	রাইটস,	
marjito,	মার্জিত,	মার্জিত,	
honduras,	হন্দারুস,	হন্ডুরাস,	
ponchaasjon,	পঞ্চাশন,	পঞ্চাশজন,	
aansaarir,	আনসারির,	আনসারীর,	
bonkey,	বঙকে,	বনকে,	
vezano,	ভেজানো,	ভেজানো,	
jibnagar,	জীবগার,	জীবননগর,	
juddhahoto,	যুদ্ধহাত,	যুদ্ধাহত,	
gaichhe,	গাইছে,	গাইছে,	
savanetri,	সভানতারী,	সভানেত্রী,	
puzito,	পুজিত,	পুজিত,	
hertz,	হার্ট,	হার্জ,	
kodom,	কদম,	কদম,	
teuning,	টিউনিং,	টিউনিং,	
sooresh,	সুরেশ,	সুরেশ,	
fridom,	ফ্রিডম,	ফ্রীডম,	
sumita,	সুমিতা,	সুমিতা,	
deeputi,	দিপুতি,	ডেপুটি,	
ministerer,	মিনেস্টারের,	মিনিস্টারের,	
konoroop,	কোনরুপ,	কোনরূপ,	
bhugole,	ভুগলে,	ভূগোলে,	
byabaharkareeke,	ব্যবহারকারীকে,	ব্যবহারকারীকে,	
bahal,	বহহল,	বহাল,	
bocchoner,	বোচ্ছনের,	বচ্চনের,	
gasthi,	গাস্ঠি,	গোষ্ঠী,	
soceitykey,	সকেটিকে,	সোসাইটিকে,	
swarther,	স্বার্থের,	স্বার্থের,	
teunar,	টিউনার,	টিউনার,	
saifai,	সাইফই,	সাইফাই,	
shashtra,	শাস্ত্র,	শাস্ত্র,	
bbonyopran,	বন্যপ্রণ,	বন্যপ্রাণ,	
naraphoka,	নরফফক,	নরফোক,	
ashamorthito,	অসমারোথিত,	অসমর্থিত,	
qanaphliqta,	কনফলিক্স,	কনফ্লিক্ট,	
scoree,	স্কারি,	স্কোরে,	
kada,	কোড,	কোড,	
oshovyo,	অশ্ব,	অসভ্য,	
jaatti,	যাটি,	জাতটি,	
maroofer,	মারুফের,	মারুফের,	
khanonkaaj,	খননকাজ,	খননকাজ,	
kiutie,	কিউটিই,	কিউটি,	
shommoteete,	সম্মুটিতে,	সম্মতিতে,	
bhogini,	ভগিনী,	ভগিনী,	
vabna,	ভবনা,	ভাবনা,	
bihare,	বিহারে,	বিহারে,	
agamaner,	অগামানের,	আগমনের,	
dinifition,	ডাইনিফিতেশন,	ডেফিনেশন,	
valobasar,	ভালবাসার,	ভালোবাসার,	
suparahiro,	সুপারহীরা,	সুপারহিরো,	
ojowno,	অযোনও,	অযৌন,	
bodqa,	বোদকা,	ভদকা,	
baieq,	বাইক,	বাইক,	
ghumachhilo,	ঘুমাচিল,	ঘুমাচ্ছিল,	
boonot,	বুনত,	বুনট,	
mukhobandha,	মুখবন্ধা,	মুখবন্ধ,	
serverty,	সার্ভার্ি,	সার্ভারটি,	
associatis,	অ্যাসোসিয়েসিস,	এসোসিয়েটস,	
arthoneeti,	অর্থনীতি,	অর্থনীতির,	
biseshyer,	বিশেষের,	বিশেষ্যের,	
taunasipa,	তৌনশিপ,	টাউনশিপ,	
tarani,	তারণী,	তরণী,	
bisshonath,	বিশ্বনাথ,	বিশ্বনাথ,	
nevatey,	নেভাতে,	নেভাতে,	
shomraatder,	সম্তারদের,	সম্রাটদের,	
chhutochhooti,	ছুটোছুটি,	ছুটোছুটি,	
munshi,	মুনশী,	মুন্সি,	
kamij,	কমিজ,	কামিজ,	
talgaachh,	তালগাছ,	তালগাছ,	
pro,	প্রো,	প্রো,	
udvabaney,	উদ্ভাবনে,	উদ্ভাবনে,	
shreeshree,	শ্রীশরী,	শ্রীশ্রী,	
manober,	মানবের,	মানবের,	
nothivukto,	নথিবুক্ত,	নথিভুক্ত,	
jacqsan,	জকশন,	জ্যাকসন,	
shikshagato,	শিক্ষাগত,	শিক্ষাগত,	
ramantika,	রমমান্ত্রিক,	রোমান্টিক,	
miley,	মিলে,	মাইলে,	
algorithm,	অ্যালগরিদম,	এলগরিদম,	
pravu,	প্রভূ,	প্রভু,	
ko,	কো,	কেও,	
utshahi,	উৎ্সাহী,	উৎসাহী,	
vault,	ভয়ালট,	ভল্ট,	
shomsti,	শমস্তি,	সমষ্টি,	
maunchostho,	মানসস্থ,	মঞ্চস্থ,	
itastatah,	ইতিস্থা,	ইতস্ততঃ,	
mozlishpur,	মজলিশপুর,	মজলিশপুর,	
faskari,	ফসকারী,	ফাঁসকারী,	
conservetion,	কনসার্েেশন,	কনসারভেশন,	
grambaseer,	গ্রামবাসীর,	গ্রামবাসীর,	
ragi,	রাগী,	রাগী,	
chamsky,	চেমকি,	চমস্কি,	
feroza,	ফেরজা,	ফিরোজা,	
graambashee,	গ্রামাবাসী,	গ্রামবাসী,	
manikya,	মাণিক্য,	মানিক্য,	
patochitrer,	পাটিকত্রের,	পটচিত্রের,	
tat,	তত,	তাত,	
tekno,	টেকনো,	টেকনো,	
aasar,	আসার,	আসর,	
seat,	শেট,	সিট,	
debete,	দেবেতে,	ডিবেট,	
antorvukta,	অন্তর্ভূক্ত,	অন্তর্ভুক্ত,	
laicense,	লাইসেস্স,	লাইসেন্স,	
onchalgoolir,	অঞ্চলগুলির,	অঞ্চলগুলির,	
drishyoi,	দৃশ্যই,	দৃশ্যই,	
milton,	মিল্টন,	মিলটন,	
brindo,	বৃর্ন,	বৃন্দ,	
khappor,	খাপপর,	খপ্পর,	
songkulan,	সংকুলন,	সংকুলান,	
cholochchitraeei,	চলচিত্রাহী,	চলচ্চিত্রেই,	
masjidsaho,	মাসফিদসহ,	মসজিদসহ,	
baitsh,	বাইটস,	বাইটস,	
dooborira,	দুবীরা,	ডুবুরিরা,	
adorsho,	আদর্শ,	আর্দশ,	
homser,	হোমসের,	হোমসের,	
kurdider,	কুর্দিদের,	কুর্দিদের,	
netherlandey,	নেরারল্যান্ডে,	নেদারল্যান্ডে,	
shuknaa,	শুকনা,	শুকনা,	
naaneer,	নানির,	নানীর,	
kommppito,	কম্পিিট,	কম্পিত,	
dhanchey,	ধাঁছে,	ধাঁচে,	
bosben,	বসবেন,	বসবেন,	
danobder,	দানবদের,	দানবদের,	
korimpur,	করিমপুর,	করিমপুর,	
sayeed,	সেয়েদ,	সাইদ,	
janaar,	জানার,	জানার,	
thor,	থোর,	থর,	
monohputo,	মনোচ্ুুত,	মনঃপুত,	
santaa,	সন্তা,	সান্তা,	
pushtee,	পুষ্টি,	পুষ্টি,	
mandando,	মানদন্ড,	মানদণ্ড,	
biplabee,	বিপ্লবী,	বিপ্লবী,	
baikalyo,	বৈকাল্য,	বৈকল্য,	
ekghorey,	একগরে,	একঘরে,	
zojyota,	যোজ্ঞতা,	যোজ্যতা,	
ajim,	আজিম,	আজিম,	
sakaar,	শকার,	সকার,	
ptolemir,	প্লোটামীর,	টলেমির,	
bidghutey,	বিদ্ঘুতে,	বিদঘুটে,	
prema,	প্রেম,	প্রাইম,	
abasarer,	অবসারের,	অবসরের,	
nagaland,	নগলান্দ,	নাগাল্যান্ড,	
laiseensee,	লাইনেসি,	লাইসেন্স,	
bharkendra,	ভার্েন্দ্র,	ভরকেন্দ্র,	
ganochiener,	গণছিনের,	গণচীনের,	
pounchute,	পৌঁছুতে,	পৌঁছুতে,	
tenys,	টেনিস,	টেনিস,	
dhauto,	ধৌতো,	ধৌত,	
somabeshti,	সমাবসেতি,	সমাবেশটি,	
sausaje,	সৌসজে,	সসেজ,	
vaibon,	ভাবিন,	ভাইবোন,	
bhatar,	ভাটার,	ভাতার,	
timathy,	তিমিথী,	টিমোথি,	
temanbhabe,	তেমনাভাবে,	তেমনভাবে,	
bites,	বিটেস,	বাইটস,	
greep,	গ্রিপ,	গ্রিপ,	
bongsho,	বংশ,	বংশ,	
alkatra,	আলকাত্র,	আলকাতরা,	
porishkaron,	পরিষ্কারণ,	পরিষ্করণ,	
yucalyptus,	ইউকালপিলাস,	ইউক্যালিপ্টাস,	
bamander,	বামান্দের,	বামনদের,	
wedanta,	বেদানত,	বেদান্ত,	
shiter,	শিটের,	শীতের,	
konflikt,	কনফলিক্ট,	কনফ্লিক্ট,	
olimpik,	অলীমপিক,	অলিম্পিক,	
morodeho,	মরদদেহ,	মরদেহ,	
shrabasti,	শ্রববস্তি,	শ্রাবস্তী,	
dollu,	দললু,	ডলু,	
ganoporibahan,	গণপরিবাহন,	গণপরিবহন,	
jibjontu,	জীবনত্তু,	জীবজন্তু,	
jyestha,	যেস্থা,	জ্যেষ্ঠা,	
mashjid,	মাসবিদ,	মসজিদ,	
jonoikaa,	জোনিকা,	জনৈকা,	
loukeekota,	লৌকিকতা,	লৌকিকতা,	
ameerica,	আমেরিক,	আমেরিকা,	
konar,	কোনার,	কণার,	
bhenicer,	ভেনিকের,	ভেনিসের,	
sikkhaou,	শিক্ষাও,	শিক্ষাও,	
mukhamandaley,	মুখমন্ডলে,	মুখমণ্ডলে,	
vageri,	ভাগেরী,	ভাগেরই,	
grambaasir,	গ্রামবাসীর,	গ্রামবাসীর,	
kule,	কুলে,	কুলে,	
shiqara,	শিকারা,	শিকার,	
adhattikotar,	আধ্যাতিকতার,	আধ্যাত্মিকতার,	
angshograhon,	অংশগ্রহণ,	অংশগ্রহন,	
rubol,	রুবল,	রুবল,	
marmaraa,	মার্মার,	মারমারা,	
ooeepokar,	উইপকার,	উইপোকার,	
kodguli,	কদগুলি,	কোডগুলি,	
lombatey,	লমবাতে,	লম্বাটে,	
akabar,	একবার,	আকাবার,	
udbodhoner,	উদ্বধ্নের,	উদ্বোধনের,	
partho,	পার্থ,	পার্থ,	
aamoode,	আমুদে,	আমুদে,	
uthhe,	উঠে,	উঠে,	
purbanchale,	পূর্বাাচলে,	পূর্বাঞ্চলে,	
