darzi,	দর্জি,	দরজি,	
dhanyi,	ধননই,	ধন্যি,	
rajpur,	রাজপুর,	রাজপুর,	
nirbachokder,	নির্বাককদের,	নির্বাচকদের,	
bidghute,	বিধুতেতে,	বিদঘুটে,	
sookumari,	সুকুমারি,	সুকুমারী,	
pravura,	প্রভূর,	প্রভুরা,	
jockey,	যকে,	জকি,	
plane,	প্লেন,	প্লেন,	
goroor,	গরুর,	গরুর,	
kemaney,	কেমনে,	কেমনে,	
bangyer,	বঙ্গের,	ব্যাঙের,	
heepataitisa,	হাপথটটটি,	হেপাটাইটিস,	
robotic,	রোবটিক,	রোবোটিক,	
vagadada,	ভাগাদা,	বাগদাদ,	
gonohottake,	গণহতত্যাক,	গণহত্যাকে,	
poripaker,	পরিপকের,	পরিপাকের,	
grambaseer,	গ্রামবাসীর,	গ্রামবাসীর,	
paakshenara,	পাকসেনার,	পাকসেনারা,	
cho,	চো,	ছোঁ,	
bosante,	বসান্তে,	বসন্তে,	
progreshsh,	প্রগগ্রেস,	প্রগ্রেস,	
loker,	লোকের,	লকের,	
phoster,	ফসস্টার,	ফস্টার,	
bhashik,	ভাষীক,	ভাষিক,	
byabosthar,	ব্যবস্থার,	ব্যাবস্থার,	
wrighter,	ফৃইটার,	রাইটের,	
golakrity,	গললারিতি,	গোলাকৃতি,	
laishenshim,	লেসেনসিং,	লাইসেন্সিং,	
chalochchitreer,	চলচিত্রীর,	চলচ্চিত্রের,	
pathkromer,	পাঠক্যমের,	পাঠক্রমের,	
arthoneeti,	অর্থনীতি,	অর্থনীতির,	
naji,	নাজি,	নাত্সি,	
mausumeo,	মসমূমে,	মৌসুমেও,	
dweepgulo,	দ্বিপগুলো,	দ্বীপগুলো,	
tigar,	টিগার,	টাইগার,	
choopi,	চুপি,	চুপি,	
patrol,	পাট্টল,	পেট্রোল,	
mohajot,	মহাজত,	মহাজোট,	
peshto,	পেষ্ট,	পেষ্ট,	
milea,	মিইে,	মাইলে,	
durotamo,	দুরতম,	দূরতম,	
gyandaas,	জ্ঞান্ডাস,	জ্ঞানদাস,	
choudhooreer,	চৌধুরির,	চৌধুরীর,	
bbosonte,	বসবন্ত,	বসন্তে,	
turqamena,	টুর্মেন,	তুর্কমেন,	
tuni,	টুনি,	টুনি,	
phemale,	ফেমলে,	ফিমেল,	
bondii,	বন্দি,	বন্দী,	
bamnii,	বামনীি,	বামনী,	
byabaharkareer,	ব্যবহারকারির,	ব্যবহারকারীর,	
alpo,	আল্প,	অল্প,	
prothati,	প্রথাি,	প্রথাটি,	
hotelteete,	হটেটেেট,	হোটেলটিতে,	
institutione,	ইনসসটিটিউশন,	ইনস্টিটিউশনে,	
jhankar,	ঝংকাার,	ঝঙ্কার,	
uponeesoder,	উপনিষদের,	উপনিষদের,	
chalachchitrai,	চলচিত্রী,	চলচ্চিত্রই,	
toronee,	তরনী,	তরণী,	
lutheereen,	লুথারন,	লুথেরান,	
hukar,	হুকার,	হুকার,	
itostato,	ইতস্তত,	ইতস্ততঃ,	
maudeler,	মাডেলের,	মডেলের,	
sahazlabhbhatar,	সহজলভভততরার,	সহজলভ্যতার,	
expression,	এক্সপ্রেশন,	এক্সপ্রেশন,	
phareqsa,	ফরেে্স,	ফরেক্স,	
lyaanding,	ল্যাডিং,	ল্যান্ডিং,	
ingrezra,	ইংরেজার,	ইংরেজরা,	
tanoo,	টানো,	তনু,	
umedpoor,	উমেদপুর,	উমেদপুর,	
brekethru,	ব্রেকচ্রর,	ব্রেকথ্রু,	
taurat,	তৌরৎ,	তওরাত,	
eling,	এলিং,	ইলিং,	
shhikar,	শিকার,	শিকার,	
shukranu,	শুক্রাণু,	শুক্রানু,	
pooshti,	পুষ্ত,	পুষ্টি,	
komaanndar,	কমান্ডার,	কমাণ্ডার,	
soori,	সুরি,	সুরি,	
bujhleo,	বুঝলেও,	বুঝলেও,	
heena,	হেন,	হেনা,	
ancholgoolote,	আঞ্চলগলততে,	অঞ্চলগুলোতে,	
nirvachakder,	নির্বাককদের,	নির্বাচকদের,	
jya,	জিয,	জ্যা,	
charger,	চার্জের,	চার্জের,	
taap,	টাপ,	ট্যাপ,	
conan,	কোনান,	কোনান,	
doobhara,	ডোভরা,	ডোভার,	
bonovumite,	বনভূমিতে,	বনভূমিতে,	
niranjan,	নিরা্জন,	নিরঞ্জন,	
toroni,	তরনই,	তরণী,	
sasharire,	শাশরীরে,	সশরীরে,	
antorvukta,	অন্তর্ভূক্ত,	অন্তর্ভুক্ত,	
gaddaphii,	গাদাডফী,	গাদ্দাফী,	
vugoley,	ভুগলে,	ভূগোলে,	
jyesttha,	জেসস্থ,	জ্যেষ্ঠা,	
ingrejder,	ইংরেজদের,	ইংরেজদের,	
houstoner,	হাস্টনের,	হিউস্টনের,	
loukeekotaa,	লৌকককটা,	লৌকিকতা,	
siramiker,	সিরামীকের,	সিরামিকের,	
sooya,	সোয়া,	সোয়া,	
diyi,	ডিই,	দিই,	
progresh,	প্রোগ্রেস,	প্রগ্রেস,	
soourse,	সূর্সে,	সোর্স,	
oitijjhey,	ঐতিহ্যে,	ঐতিহ্যে,	
anisha,	অনিশা,	আনিস,	
gejetade,	গেজেটাদ,	গেজেটেড,	
bhabatarini,	ভববাীীী,	ভবতারিণী,	
shringga,	শ্রীঙগগ,	শৃঙ্গ,	
uponishoder,	উপনিষদের,	উপনিষদের,	
brindaboner,	বৃণ্দববননের,	বৃন্দাবনের,	
tunaita,	টুনাইট,	টুনাইট,	
daaktickete,	ডাক্তিকেতে,	ডাকটিকিটে,	
chaanu,	চানু,	চানু,	
murrayir,	মূরের,	ম্যারির,	
kushumba,	কুশুম্ব,	কুশুম্বা,	
sajja,	সাজাা,	সজ্জা,	
showti,	শৌটি,	শোটি,	
satarkakari,	সাারকারী,	সতর্ককারী,	
stanahenja,	স্টানাহ্ঞ্য,	স্টোনহেঞ্জ,	
conservation,	কনসার্েশশন,	কনসারভেশন,	
nirbahi,	নির্বাহী,	নির্বাহি,	
patiganiter,	পতিগাণিতার,	পাটিগণিতের,	
state,	স্টেট,	স্টেইট,	
vogno,	ভগ্ন,	ভগ্ন,	
moomtajer,	মমতাজের,	মুমতাজের,	
panchashjan,	পঞ্চাশজন,	পঞ্চাশজন,	
aameenaar,	আমিনার,	আমিনার,	
uchchataro,	উচ্চতার,	উচ্চতর,	
reetesh,	রীটস,	রিতেশ,	
faltu,	ফল্টু,	ফালতু,	
adhyatmikatar,	অধ্যা্তিকতার,	আধ্যাত্মিকতার,	
sarbharer,	সর্ভারের,	সার্ভারের,	
oiteejye,	ঐতিজ্যে,	ঐতিহ্যে,	
iash,	আয়শশ,	আইএএস,	
agovir,	অগভীর,	অগভীর,	
tiuning,	টাউনিং,	টিউনিং,	
proshtot,	প্রস্তত,	প্রস্ত্তত,	
nirbaaho,	নির্বাহ,	নির্বাহ,	
naitikatar,	নৈতিকতার,	নৈতিকতার,	
adhyattikota,	অধ্যাতিততা,	আধ্যাত্মিকতা,	
maailkhanek,	মাইখকননন,	মাইলখানেক,	
rupantor,	রূপান্তর,	রুপান্তর,	
niketaner,	নিকটেনর,	নিকেতনের,	
mohasova,	মহাসভা,	মহাসভা,	
dekhbaar,	দেখবার,	দেখবার,	
abikal,	অবিকাল,	অবিকল,	
sphincter,	সিকেনটটর,	স্ফিংটার,	
otyacharer,	অত্যাচারের,	অত্যাচারের,	
shukna,	শুকনা,	শুকনা,	
prrajanankaal,	প্রজাননকাল,	প্রজননকাল,	
bisheshyo,	বিশেষ্য,	বিশেষ্য,	
pratisthanikbhabe,	প্রতিষ্ঠানিকভাবে,	প্রাতিষ্ঠানিকভাবে,	
ishan,	ইসনন,	ঈশান,	
asoociates,	অসযসিয্যেস়,	এসোসিয়েটস,	
engrejder,	ইংরেজদের,	ইংরেজদের,	
kirk,	কার্ক,	কার্ক,	
khatgosher,	খ্টাগোের,	খরগোসের,	
sangosthatike,	সংসস্তিকে,	সংস্থাটিকে,	
nirbaahe,	নির্বাহে,	নির্বাহে,	
nirbahey,	নির্বাহে,	নির্বাহে,	
chaudhurike,	চৌধুরিকে,	চৌধুরীকে,	
harriser,	হারিসের,	হ্যারিসের,	
rubidiyam,	রুবিডিয়াম,	রুবিডিয়াম,	
lidars,	লিডার্স,	লিডার্স,	
dito,	দিত,	দিতো,	
heavi,	হেভি,	হেভি,	
angshogragon,	অংশগ্রণণ,	অংশগ্রহন,	
sthapanagulo,	স্থাননগুলো,	স্থাপনাগুলো,	
thar,	থার,	থর,	
madrasa,	মাদ্রস,	মাদ্রাসা,	
farid,	ফরিদ,	ফরিদ,	
infarmatian,	ইনফর্মেশ,	ইনফরমেশন,	
hiragana,	হিরাগা,	হিরাগানা,	
dephinition,	ডেফিনিশন,	ডেফিনেশন,	
nilkamol,	নিলকমা,	নীলকমল,	
udbodhoni,	উদ্বধধনী,	উদ্বোধনী,	
grambaasee,	গ্রামবাসী,	গ্রামবাসী,	
kalenga,	কলেঙ্গ,	কালেঙ্গা,	
zesa,	জেস,	জেস,	
raia,	রাই়,	রায়,	
purbanchale,	পূর্বাঞ্চলে,	পূর্বাঞ্চলে,	
ulcer,	উল্সের,	আলসার,	
shcore,	স্কো,	স্কোর,	
parshwey,	পার্সেে,	পার্শ্বে,	
ganosochetonota,	গণশোচেনতাত,	গণসচেতনতা,	
puroheetke,	পুরোহিতকে,	পুরোহিতকে,	
beshorkarikarone,	বেসরকারিকরণ,	বেসরকারিকরণ,	
sadbi,	সাবাদি,	সাধ্বী,	
pujita,	পুজিত,	পূজিতা,	
barak,	ব্যার,	বারাক,	
phutantoa,	ফুটন্তা,	ফুটন্ত,	
devolapar,	ডেভেলপার,	ডেভলপার,	
valobasa,	ভালবাসা,	ভালোবাসা,	
korecha,	করেছা,	করেছ,	
omanisha,	অমানিশা,	অমানিশা,	
mesenzarer,	মেসসজজজজার,	মেসেঞ্জারের,	
zilyanda,	জিল্যান্ড,	জিল্যান্ড,	
jeebonto,	জীবন্ত,	জীবন্ত,	
aazaan,	আজান,	আজান,	
messenjer,	মেসসজজের,	মেসেঞ্জার,	
ganoporibahon,	গণপরিবাহন,	গণপরিবহন,	
qinsa,	কিং্স,	কিংস,	
meshenger,	মেসেঞ্জের,	মেসেঞ্জার,	
dighol,	দিঘল,	দীঘল,	
rinattok,	রণনত্মক,	ঋনাত্মক,	
laicenshe,	লেইনেসে,	লাইসেন্স,	
hoila,	হইল,	হইল,	
hamburger,	হ্ম্বুর্জের,	হামবুর্গের,	
laz,	লজজ,	লাজ,	
ancholgulir,	অঞ্চলুলির,	অঞ্চলগুলির,	
spredshiit,	স্প্রেদিি,	স্প্রেডশীট,	
bhyaatikaner,	ভ্যাতিকননের,	ভ্যাটিকানের,	
opadan,	ওপদন,	অপাদান,	
janasangyog,	জনসং্্গ,	জনসংযোগ,	
nathibhookta,	নথিভুক্ত,	নথিভুক্ত,	
bossoben,	বসবেন,	বসবেন,	
palestinea,	পালেসটিইনন,	প্যালেস্টাইনে,	
haripur,	হররিপুর,	হরিপুর,	
horeedwar,	হরিদ্য়ার,	হরিদ্বার,	
phaqsa,	ফক্স,	ফক্স,	
chhon,	ছন,	ছোঁ,	
brindaboney,	বৃণ্দ্বনে,	বৃন্দাবনে,	
smaroker,	স্মরককে,	স্মারকের,	
vitti,	ভিতি,	ভিত্তিই,	
monjushree,	ম্্জুস্র,	মঞ্জুশ্রী,	
rajtantra,	রাজতন্ত্র,	রাজতন্ত্র,	
samoshti,	সমসস্তি,	সমষ্টি,	
bhandaare,	ভান্ডারে,	ভাণ্ডারে,	
prozononkal,	প্রজননকাল,	প্রজননকাল,	
dey,	দে,	ডে,	
seelbhee,	সেলভী,	সিলভি,	
mukherji,	মুখার্জি,	মুখার্জী,	
pathanirdeshana,	পথনিরদদেশন,	পথনির্দেশনা,	
sampadankari,	সম্পাদনাকীর,	সম্পাদনকারী,	
duma,	ডুম,	দুমা,	
chirohorith,	চিরররহত,	চিরহরিৎ,	
shommoteer,	সম্মতির,	সম্মতির,	
dalee,	দাল,	ডালে,	
obharbhiu,	অভররভি,	ওভারভিউ,	
shibraj,	শিববাজ,	শিবরাজ,	
nepchuner,	নেপচুছের,	নেপচুনের,	
atok,	আটক,	আটক,	
maadhoobir,	মাধবীর,	মাধবীর,	
huka,	হুক,	হুক,	
donaat,	দোনাত,	ডোনাট,	
anchaleo,	অঞ্চলেও,	অঞ্চলেও,	
nadike,	নাদিকে,	নদীকে,	
carpete,	কর্্েট,	কার্পেটে,	
inamil,	ইনামিল,	এনামেল,	
caramics,	ক্যামাকিক,	সিরামিকস,	
madrajer,	মাদ্রাের,	মাদ্রাজের,	
byaaran,	ব্যারন,	ব্যারন,	
norfolk,	নরফল,	নরফোক,	
dharavahikti,	ধারাভাখ্তি,	ধারাবাহিকটি,	
sointoder,	সৈন্তদেের,	সৈন্যদের,	
zeebonto,	জীবন্ত,	জীবন্ত,	
bbiswashke,	বিশ্বাসকে,	বিশ্বাসকে,	
padarthabidder,	পদার্থবিদের,	পদার্থবিদদের,	
saya,	সায়া,	সোয়া,	
shaattoki,	সাত্যকি,	সাত্যকি,	
babilon,	বাবিলন,	ব্যাবিলন,	
basalt,	বসল,	ব্যাসল্ট,	
keuyi,	কিই,	কেউই,	
votarer,	ভোতারের,	ভোটারের,	
hajareebag,	হাজারীবাগ,	হাজারিবাগ,	
drishyer,	দৃষ্যের,	দৃশ্যের,	
jerujaleme,	জেরুজালিমে,	জেরুসালেমে,	
itastata,	ইতাস্তা,	ইতস্তত,	
definishhion,	ডেফিনিশন,	ডেফিনেশন,	
armstrong,	আর্মক্রর,	আর্মস্ট্রং,	
bbosben,	বসবেন,	বসবেন,	
rights,	রাইটস,	রাইটস,	
manushgulor,	মানুসুগুলোর,	মানুষগুলোর,	
turista,	তুরিষ্ট,	টুরিস্ট,	
upobasee,	উপবাসী,	উপবাসী,	
otorkeitey,	অটারকেটে,	অতর্কিতে,	
saseja,	সাজজজ,	সসেজ,	
ayantarqatiqa,	অ্যান্টরকিট,	অ্যান্টার্কটিকা,	
bahya,	বাহ্া,	বাহ্য,	
ghese,	ঘেষে,	ঘেঁষে,	
daaktikit,	ডাক্তিক,	ডাকটিকিট,	
said,	সাড,	সাইদ,	
goora,	গুরা,	গোর,	
abheedhaaner,	অভিধানের,	অভিধানের,	
narsaari,	নার্সারি,	নার্সারি,	
tottobar,	তত্ত্বরা,	তওবার,	
hola,	হোা,	হোল,	
elaakasoho,	এলাকাসহ,	এলাকাসহ,	
modhyostho,	মধ্যস্থ,	মধ্যস্থ,	
agomonke,	আগমনকে,	আগমনকে,	
jatak,	যতকক,	জাতক,	
abotaar,	অবতার,	অবতার,	
baard,	বার্ড,	বার্ড,	
associates,	অ্যাসোসিয়েসট,	এসোসিয়েটস,	
pra,	প্র,	প্রো,	
bhittiteo,	ভিতিতেও,	ভিত্তিতেও,	
bosturyi,	বস্তুরই,	বস্তুরই,	
amstrong,	এম্সট্র,	আর্মস্ট্রং,	
bimaataa,	বিমাতা,	বিমাতা,	
durgondher,	দুর্গন্ধের,	দুর্গন্ধের,	
sorting,	সর্টিং,	সর্টিং,	
gatrey,	গাত্রে,	গাত্রে,	
merjito,	মের্জিত,	মার্জিত,	
nondolaal,	নন্দলাল,	নন্দলাল,	
apargota,	অপরগগতা,	অপারগতা,	
mohammadi,	মহাম্মদী,	মুহাম্মদী,	
shootar,	শ্বতার,	শ্যুটার,	
dayitto,	দৈত্য,	দায়িত্ব,	
mmesenjarer,	মেসসেজজার,	মেসেঞ্জারের,	
carzar,	কার্জার,	চার্জার,	
sohokaree,	সহকারি,	সহকারী,	
dhruboker,	ধ্রুবকের,	ধ্রুবকের,	
thaakte,	থাকতে,	থাকতে,	
capsule,	ক্যসসফেল,	ক্যাপসুল,	
purple,	পার্পে,	পার্পেল,	
jorer,	জোরের,	জ্বরের,	
gonona,	গণনাা,	গননা,	
jor,	জোর,	জ্বর,	
madaul,	মাদল,	মাদল,	
hoteltite,	হটেটটটে,	হোটেলটিতে,	
homser,	হোসের,	হোমসের,	
shansthatir,	সাং্থাির,	সংস্থাটির,	
grambaaseeo,	গ্রামবাসীও,	গ্রামবাসীও,	
obdi,	অব্দি,	অব্দি,	
sanghorsheek,	সাংর্কি,	সাংঘর্ষিক,	
devolopar,	ডেভালপার,	ডেভলপার,	
edaningkale,	এডানিঙকালে,	ইদানীংকালে,	
chhidropothe,	চিদ্রপথে,	ছিদ্রপথে,	
muktilav,	মুক্তিলাব,	মুক্তিলাভ,	
troup,	ট্রু,	ট্রুপ,	
manjurul,	মঞ্জুরুল,	মনজুরুল,	
choudhureeo,	চৌধুরুভ,	চৌধুরীও,	
korley,	করলে,	করলে,	
cheettronnatyokar,	চিত্রনাট্যকর,	চিত্রনাট্যকার,	
komandar,	কমান্ডার,	কমাণ্ডার,	
iyanki,	ইয়াকক,	ইয়াংকি,	
chet,	চেত,	চ্যাট,	
mehnoti,	মেহননতি,	মেহনতি,	
dupleks,	ডাউলেক্স,	ডুপ্লে,	
aajiboner,	আজিবনের,	আজীবনের,	
mesenjjar,	মেসসেজারর,	মেসেঞ্জার,	
zojyota,	যো্যতা,	যোজ্যতা,	
shaajaanor,	সাজানোর,	সাজানোর,	
oitijhyo,	ঐতিহ্য,	ঐতিহ্য,	
iling,	ইলিং,	ইলিং,	
bopoon,	বোুন,	বপন,	
oncholsoho,	অঞ্চলসহ,	অঞ্চলসহ,	
edipass,	এডিপা,	ইডিপাস,	
rakhtokkharoner,	রক্তক্ষণের,	রক্তক্ষরণের,	
jealand,	জিলাযান্ড,	জিল্যান্ড,	
aalkaatra,	আলকাত্র,	আলকাতরা,	
songosthati,	সংস্ঠািি,	সংস্থাটি,	
chargar,	চররগার,	চার্জার,	
dephinishion,	ডেফিনিশন,	ডেফিনেশন,	
sbaajan,	স্বজন,	স্বজন,	
janosangyog,	জনসং্গ্,	জনসংযোগ,	
grambaashio,	গ্রামবাসীও,	গ্রামবাসীও,	
utkhaat,	উৎখ্যাট,	উত্খাত,	
ongkita,	অংকিত,	অঙ্কিতা,	
gaadhaa,	গাধা,	গাধা,	
onnyorup,	অন্যরূপ,	অন্যরূপ,	
indra,	ইন্দ্র,	ইন্দ্র,	
shaahaabiike,	সাহাবীকে,	সাহাবীকে,	
indraa,	ইন্দ্রা,	ইন্দ্র,	
nuhas,	নুহস,	নুহাশ,	
vandar,	ভান্ডার,	ভাণ্ডার,	
monoputo,	মনোুত,	মনঃপুত,	
bibechya,	বিবেচ্,	বিবেচ্য,	
matthew,	মাঠে,	ম্যাথিউ,	
seekkhaarthirao,	শিক্ষার্থীরাও,	শিক্ষার্থীরাও,	
janagononar,	জনগণনার,	জনগণনার,	
hook,	হোক,	হুক,	
meghke,	মেঘকে,	মেঘকে,	
srichoitonnodeb,	শ্রীচৈতন্যবো,	শ্রীচৈতন্যদেব,	
shooknaa,	শুকনা,	শুকনা,	
skart,	স্কার্ট,	স্কার্ট,	
rifleksa,	রিল্কেস,	রিফ্লেক্স,	
engrejra,	ইংরেজার,	ইংরেজরা,	
manonitader,	মননোতিদের,	মনোনীতদের,	
soros,	সরস,	সরস,	
sommotitey,	সম্মততিতে,	সম্মতিতে,	
platey,	প্লেে,	প্লেটে,	
craze,	ক্রেজ,	ক্রেজ,	
ikbalke,	ইকবালকে,	ইকবালকে,	
nabyata,	নব্যতা,	নাব্যতা,	
skolarseep,	স্কলারশিপ,	স্কলারশিপ,	
bidrup,	বিদ্রুপ,	বিদ্রূপ,	
tahalei,	তালােই,	তাহলেই,	
cyphy,	সিফি,	সাইফাই,	
himi,	হিমি,	হিমি,	
wenice,	ভেনিিস,	ভেনিস,	
baipash,	বাইপাশ,	বাইপাস,	
chalchhe,	চলছে,	চলছে,	
harta,	হর্ট,	হার্ট,	
pathanirdeshona,	পথনিরদদশশা,	পথনির্দেশনা,	
chalai,	চাাাই,	চালাবে,	
mit,	মি,	এমআইটি,	
quota,	কুট,	কোটা,	
nikot,	নিকট,	নিকট,	
embed,	এমবেদ,	এম্বেড,	
sombhobonaow,	সম্ভানাওও,	সম্ভবনাও,	
krok,	ক্রকয,	ক্রোক,	
sakar,	সাকার,	সকার,	
damodar,	দাদার,	দামদর,	
catholic,	চ্যালিক,	ক্যাথলিক,	
ghetoo,	ঘটত,	ঘেটু,	
shotoker,	শতকের,	শতকের,	
bima,	বিমা,	বিম,	
madola,	মদদলা,	মাদলা,	
aanhu,	আনু,	আনহু,	
abheedhaanik,	অভিধানিক,	অভিধানিক,	
jeerusaleem,	জিরাসুলীম,	জেরুসালেম,	
phutanta,	ফুটন্ট,	ফুটন্ত,	
scholastik,	স্কলাাস্সিক,	স্কলাস্টিক,	
praman,	প্রমাণ,	প্রমান,	
chirata,	চিরট,	চিরতা,	
akkhunno,	অক্ষুন্ন,	অক্ষুণ্ণ,	
shamuker,	সামুকের,	শামুকের,	
shansthaner,	সংস্থনের,	সংস্থানের,	
mirakel,	মিরাকেল,	মিরাকেল,	
bhugten,	ভুগতেন,	ভুগতেন,	
diznii,	দিজনি,	ডিজনী,	
rubidium,	রুবিও়াম,	রুবিডিয়াম,	
biprodas,	বিপ্রদস,	বিপ্রদাস,	
norfolq,	নরফল,	নরফোক,	
juboksaho,	যুবকসহ,	যুবকসহ,	
uparjan,	উপার্জন,	উপার্জন,	
sangharshik,	সাংশ্কিক,	সাংঘর্ষিক,	
jonosanjog,	জনসংযোগ,	জনসংযোগ,	
ancholgoolir,	অঞ্চলগলির,	অঞ্চলগুলির,	
proshtutkarok,	প্রস্তুতকারক,	প্রস্তুতকারক,	
aagom,	আগম,	আগম,	
pracharanamulak,	প্রকারণণমূলক,	প্রচারণামূলক,	
hajeerhatt,	হজিহহাট,	হাজিরহাট,	
graambasider,	গ্রামবাসীদের,	গ্রামবাসীদের,	
venuser,	ভেনাসার,	ভেনাসের,	
temonbhabe,	টেমনভভাবে,	তেমনভাবে,	
arakani,	আরকানি,	আরাকানী,	
serup,	শেরুপ,	সেরূপ,	
sachetanotamulak,	স্বাতননতাূূলক,	সচেতনতামূলক,	
baagicar,	বাগিকার,	বাগিচার,	
donata,	দোনাা,	ডোনাট,	
besoor,	বেশুর,	বেসুর,	
sahochorjey,	সাহচর্যেযে,	সাহচর্যে,	
udbodhoney,	উদ্বোধনে,	উদ্বোধনে,	
bhalobase,	ভালবাসে,	ভালোবাসে,	
oshamorik,	অসাররিক,	অসামরিক,	
moushumeo,	মৌসুেও,	মৌসুমেও,	
halloin,	হললন,	হ্যালোইন,	
solil,	সলিল,	সলিল,	
pratisthasaho,	প্রতিষ্ঠাসহ,	প্রতিষ্ঠাসহ,	
alonkaron,	অলংকরণ,	অলঙ্করণ,	
nikate,	নিকটে,	নিকটে,	
shatokei,	শততকেই,	শতকেই,	
baharamapurer,	বারামপুরেের,	বহরমপুরের,	
chirantan,	চিরনন্তন,	চিরন্তন,	
jony,	জননি,	জনি,	
rupart,	রুপোর্ট,	রুপার্ট,	
dharabahikeo,	ধারাবিহেকে,	ধারাবাহিকেও,	
anchalkey,	আঞ্চলকে,	অঞ্চলকে,	
soasage,	স্সাগে,	সসেজ,	
cholo,	চললো,	চলো,	
onupater,	অনুপতেে,	অনুপাতের,	
augusteen,	আগাস্টে,	অগাস্টিন,	
samanwitavabe,	সমান্তভভাববে,	সমন্বিতভাবে,	
shourshe,	সৌর্সে,	সোর্স,	
jeesh,	জিস,	জেস,	
modelgulo,	মদদডগগলো,	মডেলগুলো,	
armstronj,	আর্ম্্টরজজজ,	আর্মস্ট্রং,	
abdur,	আব্দুর,	আবদুর,	
maddhuri,	মধধুরী,	মাধুরী,	
mookhomandoley,	মুখমন্ডলে,	মুখমণ্ডলে,	
chomski,	চকমকি,	চমস্কি,	
jounotar,	যৌনতার,	যৌনতার,	
torunderke,	তররনদ্দকে,	তরুণদেরকে,	
nagnyo,	নগ্্য,	নগণ্য,	
bosontokke,	বসন্তকে,	বসন্তকে,	
lobbytey,	লব্বে,	লবিতে,	
lagchhe,	লাগছে,	লাগছে,	
jeeni,	জিনি,	যিনি,	
hafej,	হাফেজ,	হাফেয,	
mohammad,	মহাম্মদ,	মুহাম্মদ,	
jaistho,	যেষ্য্য,	জ্যৈষ্ঠ,	
dayana,	ডায়নন,	ডায়না,	
mandando,	মা্দন্ড,	মানদণ্ড,	
abhishangson,	অভিষংসন,	অভিশংসন,	
jaj,	যাজ,	জাজ,	
horiddare,	হরিদদর,	হরিদ্বারে,	
chalachchitra,	চলচিত্র,	চলচ্চিত্র,	
abhidhaanick,	অভিধানিক,	অভিধানিক,	
thawre,	ঠারে,	থরে,	
durgotsob,	দুর্ঘসসব,	দুর্গোৎসব,	
ghoshito,	ঘোষত,	ঘোষিত,	
makang,	ম্কাং,	মেকং,	
romancho,	রোমান্চ,	রোমাঞ্চ,	
upobaser,	উপবাসের,	উপবাসের,	
bolokarok,	বললাকরা,	বলকারক,	
tarunra,	তরুণণা,	তরুণরা,	
moithili,	মৈিলী,	মৈথিলি,	
udvabaney,	উদ্ভবান,	উদ্ভাবনে,	
charjito,	চর্জিত,	চার্জিত,	
dhonni,	ধন্ি,	ধন্যি,	
gonocheen,	গণছছন,	গণচীন,	
atyacharer,	অত্যাচার,	অত্যাচারের,	
engineers,	ইনজজেন্স,	ইঞ্জিনিয়ার্স,	
tukrokey,	তুকররকে,	টুকরোকে,	
porishkaran,	পরিস্কাণণ,	পরিষ্করণ,	
jonmat,	জন্মা,	জন্মাত,	
byabaharkariyi,	ব্যবহারকারী,	ব্যবহারকারীই,	
zerusalemer,	জারাসুলামের,	জেরুজালেমের,	
janoika,	জনকিকা,	জনৈকা,	
zyakasana,	জ্যাকসন,	জ্যাকসন,	
sikkhakrom,	শিক্ষাক্রম,	শিক্ষাক্রম,	
cetholic,	চ্থললিক,	ক্যাথলিক,	
silvar,	সিলভার,	সিলভার,	
protista,	প্রতিষ্টা,	প্রতিষ্টা,	
samratra,	সমম্রত্রা,	সম্রাটরা,	
joones,	জুনস,	জোন্স,	
samudrotatey,	সমুদ্রততে,	সমুদ্রতটে,	
abatar,	আবাতার,	অবতার,	
uchchotara,	উচ্চতার,	উচ্চতর,	
mandonder,	মানদদনের,	মানদণ্ডের,	
shreechaitanyadeb,	শ্রীচৈতন্ব্বাদ,	শ্রীচৈতন্যদেব,	
cholochchitraeei,	চলচিত্রইই,	চলচ্চিত্রেই,	
muhurta,	মুহুর্ত,	মুহুর্ত,	
omittrakkhor,	অমতত্রক্ষর,	অমিত্রাক্ষর,	
uthey,	উঠে,	উঠে,	
nodiike,	নদীীকে,	নদীকে,	
naazii,	নাজি,	নাত্সি,	
muhmmoder,	মুহম্দদরে,	মুহম্মদের,	
tourisht,	টোরিষ্ট,	টুরিস্ট,	
saainyo,	সাইন্য,	সৈন্য,	
jonoshongjog,	জনসংযোগ,	জনসংযোগ,	
gadhaa,	গাধা,	গাধা,	
torunke,	তরুণকে,	তরুণকে,	
samabeshti,	সমাবেষ্টি,	সমাবেশটি,	
iksaprishana,	এক্সপ্রেশন,	এক্সপ্রেশন,	
sikkhakder,	শিক্ষকদের,	শিক্ষকদের,	
bagdade,	বাগদাদে,	বাগদাদে,	
tinhazar,	তিহহাঁজার,	তিনহাজার,	
bishwaashshke,	বিশ্বাসকক,	বিশ্বাসকে,	
gonna,	গন্যা,	গননা,	
idaningkale,	এডানিংকাল,	ইদানীংকালে,	
roi,	রো,	রায়,	
shulfate,	সালফাট,	সালফেট,	
zackson,	জ্যাকসন,	জ্যাকসন,	
qode,	কোড,	কোড,	
serveray,	সেরেরার,	সার্ভারে,	
gaafiloti,	গাফিলতটি,	গাফিলতি,	
vangle,	ভাঙাগল,	ভাঙলে,	
emarjensi,	এমররজননি,	এমার্জেন্সি,	
