inapharameshana,	ইনফারসমেশন,	ইনফরমেশন,	
dharabahiktite,	ধারাবৈচ্তিতে,	ধারাবাহিকটিতে,	
choudhurir,	চৌধুরির,	চৌধুরীর,	
boshoborti,	বসবরবৃত,	বশবর্তী,	
miley,	মিলে,	মাইলি,	
sombhobonao,	সম্ভাবনাও,	সম্ভবনাও,	
gonohottake,	গণহত্তাকে,	গণহত্যাকে,	
eporjonta,	এপরঞ্যন্টা,	এপর্যন্ত,	
ruby,	রুবি,	রুবী,	
puzita,	পুজিত,	পূজিতা,	
nanir,	নানির,	নানীর,	
agrodoot,	অগ্রদূত,	অগ্রদূত,	
kaptai,	কপ্টাই,	কাপ্তাই,	
primo,	প্রীম,	প্রিমো,	
eesosiyeetasa,	এসাইসিয়েস,	এসোসিয়েটস,	
matt,	ম্যাট,	ম্যাট,	
jaak,	যাক,	জাঁক,	
yaach,	যচ,	ইয়াক,	
toder,	তদের,	তদের,	
marqeting,	মার্কেটিং,	মার্কেটিং,	
deeyenes,	ডিয়েন্স,	ডিএনএস,	
shastra,	শাস্ত্র,	শাস্ত্র,	
thakani,	ঠাকানি,	থাকেনি,	
diiptii,	দীপটি,	ডেপুটি,	
beshirbhagei,	বেশীরভাগেই,	বেশিরভাগেই,	
dekhbaar,	দেখবার,	দেখবার,	
saamaanyai,	সামান্যই,	সামান্যই,	
moshjidtike,	মশিজ্দিতি,	মসজিদটিকে,	
goodamjato,	গুদম্জত,	গুদামজাত,	
bhugarbhe,	ভুগর্ভে,	ভূগর্ভে,	
evereste,	ইভারেস্টে,	এভারেস্টে,	
spencer,	স্পেন্সের,	স্পেন্সার,	
kaley,	কালে,	কালে,	
sangasthaner,	সংগ্ঠানের,	সংস্থানের,	
bhogni,	ভগ্নি,	ভগ্নী,	
chitranatyakar,	চিত্রনাত্যাকার,	চিত্রনাট্যকার,	
byakhyatita,	ব্যাখ্যাতিত,	ব্যাখ্যাতীত,	
bossoben,	বস্বেন,	বসবেন,	
jubokti,	যুবক্তি,	যুবকটি,	
jeesa,	জেস,	জেস,	
bonduk,	বন্দুক,	বন্দুক,	
gabeshana,	গবেষণা,	গবেষনা,	
cholche,	চলছে,	চলছে,	
arashie,	আরাসই,	আরসিএ,	
doonut,	দুনুত,	ডোনাট,	
ponchasjon,	পঞ্চাশজন,	পঞ্চাশজন,	
prakalpati,	প্রললপপিতি,	প্রকল্পটি,	
abhidhanick,	অভিধানিক,	অভিধানিক,	
laaisensh,	লাইসেন্স,	লাইসেন্স,	
mukharji,	মুখার্জি,	মুখার্জী,	
trup,	ট্রুপ,	ট্রুপ,	
boarana,	বোরান,	বোরন,	
prettii,	প্রেত্যি,	প্রিটি,	
graambaasee,	গ্রামবাসী,	গ্রামবাসী,	
provritir,	প্রভৃতির,	প্রভৃতির,	
azaan,	আজান,	আজান,	
dephinishion,	ডেফিনিশন,	ডেফিনেশন,	
plator,	প্লেটর,	প্লেটোর,	
kamiz,	কামিজ,	কামিজ,	
motabolambira,	মতবালবাম্বীরা,	মতাবলম্বীরা,	
plena,	প্লেন,	প্লেন,	
shikara,	সিকের,	শিকার,	
probhuder,	প্রভূদের,	প্রভুদের,	
kisti,	কিস্টি,	কিস্তি,	
pashaner,	পাশানের,	পাষাণের,	
soores,	সুরেশ,	সুরেশ,	
hiragana,	হিরাগান,	হিরাগানা,	
gunaman,	গুণামান,	গুণমান,	
patka,	পাতকা,	পটকা,	
gonosakkhorota,	গণস্কাষরতা,	গণসাক্ষরতা,	
blaker,	ব্লকের,	ব্ল্যাকের,	
neerbahe,	নির্বাহে,	নির্বাহে,	
nesans,	নেশান্স,	নেশনস,	
hirani,	হিরানি,	হিরানি,	
velcome,	ভেলকোমে,	ওয়েলকাম,	
gandho,	গন্ধ,	গন্ধ,	
torup,	তরুপ,	ট্রুপ,	
code,	কোড,	কোড,	
gezeted,	গেজেটেড,	গেজেটেড,	
melborner,	মেলবর্নের,	মেলবোর্নের,	
dokangulote,	দোকানগুলোতে,	দোকানগুলোতে,	
masajida,	মাজিজেদা,	মসজিদ,	
munim,	মুনিং,	মুনিম,	
gunje,	গুঞজে,	গুঁজে,	
shikshagato,	শিক্ষাগত,	শিক্ষাগত,	
jamkaalo,	জামকাল,	জমকালো,	
khatgosher,	খাটগাসের,	খরগোসের,	
dharabahikvabey,	ধারাবাভিকভাবে,	ধারাবাহিকটি,	
paltechhey,	পাল্টেছে,	পাল্টেছে,	
shommoteete,	সম্তিতে,	সম্মতিতে,	
tala,	তালা,	তালা,	
uzobekeestaaner,	উযোকেবিস্তানের,	উজবেকিস্তানের,	
biswashe,	বিশ্বাসে,	বিশ্বাসে,	
vor,	ভোর,	ভর,	
jaatti,	যাতটি,	জাতটি,	
vodka,	ভোদা,	ভদকা,	
khelaphatey,	খেলাফাতে,	খেলাফতে,	
armstronj,	আরস্ক্র্জন,	আর্মস্ট্রং,	
obharabhiu,	অভারভিভ,	ওভারভিউ,	
udbodhaney,	উদ্ধাবনে,	উদ্বোধনে,	
bhushi,	ভূষি,	ভুষি,	
carymb,	ক্যারিম্ব,	করিম,	
debdebie,	দেবদববেরী,	দেবদেবী,	
sotorkobhabey,	সতর্কভাবে,	সতর্কভাবে,	
phoksher,	ফক্ষের,	ফক্সের,	
bipojjonok,	বিপবজজনক,	বিপজ্জনক,	
kamla,	কমলা,	কামলা,	
anchalke,	আঞ্চলকে,	অঞ্চলকে,	
thaii,	থাই,	থাই,	
swartho,	স্বর্থ,	স্বার্থ,	
konorup,	কনররূপ,	কোনরূপ,	
bbosontoke,	বসন্তকে,	বসন্তকে,	
kaferderkey,	কাফেরদেরকে,	কাফেরদেরকে,	
ramdhonu,	রামধনু,	রামধনু,	
nathibhuktir,	নথিভূক্তির,	নথিভুক্তির,	
grambasheeo,	গ্রামবাসী,	গ্রামবাসীও,	
laaishensh,	লাইসেন্স,	লাইসেন্স,	
somrat,	সমরাত,	সম্রাট,	
uporostho,	উপরস্থ,	উপরস্থ,	
kottar,	কটার,	কট্টর,	
melobborner,	মেলববর্ণের,	মেলবোর্নের,	
shringga,	শ্রীঙ্গ,	শৃঙ্গ,	
noitikatabodh,	নৈতিক্যবাধ,	নৈতিকতাবোধ,	
elaakasoho,	এলাকাসহ,	এলাকাসহ,	
ba,	বা,	বু,	
chaber,	চবের,	চাবির,	
chho,	ছো,	ছোঁ,	
teoyana,	টিয়ান,	তাইওয়ান,	
sollallhoo,	সল্লাল্য,	সল্লাল্লাহু,	
biphal,	বিফল,	বিফল,	
dibug,	দিবুগ,	ডিবাগ,	
venam,	ভেনাম,	ভেনম,	
tookrotey,	তুক্রতে,	টুকরোতে,	
expose,	এক্সপোজে,	এক্সপোজ,	
godavari,	গদাভারি,	গোদাবরী,	
dailee,	দৈলি,	ডেইলি,	
shalsa,	সালস,	সালসা,	
satarkakari,	সতরকারী,	সতর্ককারী,	
gananatyo,	গণনাত্য,	গণনাট্য,	
bronjer,	ব্রঞ্জের,	ব্রোঞ্জের,	
kattar,	কাটার,	কট্টর,	
keyboard,	কেবোর্ড,	কীবোর্ড,	
beeswasi,	বিশ্বাসী,	বিশ্বাসী,	
firti,	ফির্তি,	ফিরতি,	
bondhuderkey,	বন্ধুদেরকে,	বন্ধুদেরকে,	
taali,	তালি,	তালি,	
santaa,	সান্তা,	সান্তা,	
chironton,	চিরন্তন,	চিরন্তন,	
mmesenjar,	মেসনজার,	মেসেঞ্জার,	
bonke,	বোনকে,	বনকে,	
iceberg,	ইকবের্গ,	আইসবার্গ,	
durotamo,	দুরোতম,	দূরতম,	
moonshi,	মুনসী,	মুন্সি,	
monzile,	মঞ্জিলে,	মঞ্জিলে,	
skolastik,	স্কলাস্টিক,	স্কলাস্টিক,	
bharpur,	ভারপুর,	ভরপুর,	
bishwaashshoi,	বিশ্বাস্যই,	বিশ্বাসই,	
swarthe,	স্বর্থে,	স্বার্থে,	
ispredseet,	ইসপারেস্টে,	স্প্রেডশীট,	
becha,	বেচা,	বেচা,	
fimela,	ফাইমেল,	ফিমেল,	
laaiseens,	লাইসেন্স,	লাইসেন্স,	
opargota,	অপরগত,	অপারগতা,	
krok,	ক্রোক,	ক্রোক,	
nathivukto,	নথিভুক্ত,	নথিভুক্ত,	
potchitra,	পটচচিত্র,	পটচিত্র,	
adhatik,	আধ্যাতিক,	আধ্যাত্মিক,	
nikate,	নিকাতে,	নিকটে,	
nodiitei,	নদীতে,	নদীতেই,	
maase,	মাসে,	মাসে,	
barack,	ব্যারাক,	বারাক,	
vandarey,	ভান্ডারে,	ভাণ্ডারে,	
debaag,	দেবাগ,	ডিবাগ,	
avishangsan,	অভিসংসান,	অভিশংসন,	
bayshorkarikarone,	বেসরকারিকরণে,	বেসরকারিকরণ,	
chilahati,	চিলাহাটি,	চিলাহাটি,	
shpredashhita,	শ্পারদশিত,	স্প্রেডশীট,	
durgotshober,	দুর্যৎসবের,	দুর্গোৎসবে,	
diana,	ডিনা,	ডায়না,	
pravritike,	প্রভৃতিকে,	প্রভৃতিকে,	
protijogiitamulok,	প্রতিযোগিতামূলক,	প্রতিযোগীতামূলক,	
pretti,	প্রেত্যি,	প্রিটি,	
leetara,	লেটার,	লেটার,	
biswash,	বিশ্বাস,	বিশ্বাস,	
jemser,	জেমসের,	জেমসের,	
aiieubi,	আইউজিবি,	আইইউবি,	
tovnship,	তাসন্পীষ,	টাউনশিপ,	
heebhi,	হেভি,	হেভি,	
vabatarini,	ভবতরতীনী,	ভবতারিণী,	
shkirt,	স্কীর্ট,	স্কার্ট,	
doorotomo,	দূরতম,	দূরতম,	
kaanaai,	কানাই,	কানাই,	
sibiai,	সাইবিয়াই,	সিবিআই,	
skarta,	স্কার্টা,	স্কার্ট,	
pulse,	পালসে,	পালস,	
keuoi,	কিউই,	কেউই,	
answereer,	আনসারের,	আনসারীর,	
koreem,	করিম,	করিম,	
prosadhoner,	প্রশাধনের,	প্রসাধনের,	
protjogiita,	প্রতযোগিতা,	প্রতিযোগীতা,	
sommoteer,	সম্তির,	সম্মতির,	
sakkhatkarer,	সাক্ষাৎকারের,	সাক্ষাৎকারের,	
peto,	পেতো,	পেত,	
mohakobi,	মহাকাবি,	মহাকবি,	
fala,	ফললা,	পোলো,	
mokam,	মোকাম,	মোকাম,	
vobani,	ভবানী,	ভবানী,	
shatjoner,	শাত্যনের,	সাতজনের,	
kaalniir,	কাল্নীর,	কালনীর,	
aashirbaad,	আশীর্বাদ,	আশির্বাদ,	
diphinishion,	ডিফেনিশন,	ডেফিনেশন,	
rohosyo,	রহস্য,	রহস্য,	
sakar,	সাকার,	সকার,	
prochondota,	প্রচন্ডতা,	প্রচণ্ডতা,	
chikitsar,	চিকিৎসার,	চিকিত্সার,	
laagche,	লাগছে,	লাগছে,	
ghotlo,	ঘটলো,	ঘটল,	
obhiyojan,	অভিযোজন,	অভিযোজন,	
bhenus,	ভেনাস,	ভেনাস,	
mozlish,	মজলিস,	মজলিশ,	
moushum,	মৌসুম,	মৌসুম,	
shector,	সেক্টর,	সেক্টর,	
hoole,	হোলে,	হোল,	
vimshen,	ভাইসমেন,	ভীমসেন,	
nebhatey,	নেভাতে,	নেভাতে,	
akik,	আকিক,	আকিক,	
soinyosaho,	সৈন্যাসহ,	সৈন্যসহ,	
sohingsotar,	সহিংসতার,	সহিংসতার,	
sonatani,	সোনাটানি,	সনাতনী,	
uuipoka,	উউপকো,	উইপোকা,	
jibanto,	জীবন্ত,	জীবন্ত,	
gore,	গরে,	গোর,	
ooeepoka,	ওইপোকা,	উইপোকা,	
manushi,	মনুষি,	মানুষী,	
observer,	অবশ্বরের,	অবজার্ভার,	
diznii,	দিজনি,	ডিজনী,	
stane,	স্ট্যান,	স্টোন,	
beam,	বীম,	বীম,	
charzara,	চার্জার,	চার্জার,	
bhogirath,	ভগৃরাথ,	ভগীরথ,	
aalaa,	আলা,	আলা,	
peshto,	পেস্টো,	পেষ্ট,	
gejeteda,	গেজেটেড,	গেজেটেড,	
nirgun,	নির্জুণ,	নির্গুণ,	
nathibhookteer,	নথযুভিক্তির,	নথিভুক্তির,	
eksapresana,	এক্সপ্রেশন,	এক্সপ্রেশন,	
bibad,	বিবাদ,	বিবাদ,	
modhumoti,	মধুমতি,	মধুমতী,	
dholeshori,	ধলেষরি,	ধলেশ্বরী,	
parshwer,	পার্শবের,	পার্শ্বের,	
shapad,	সাপদ,	শ্বাপদ,	
timothi,	তিমথী,	টিমোথি,	
madola,	মদলা,	মাদলা,	
sylvi,	সিলভি,	সিলভি,	
daankan,	ডানাকন,	ডানকান,	
bosben,	বসবেন,	বসবেন,	
temon,	টেমন,	তেমন,	
qyapasula,	ক্যাপাসাল,	ক্যাপসুল,	
bhowanipur,	ভবানীপুর,	ভবানীপুর,	
heeja,	হেজা,	হেজ,	
pettern,	প্যাটার্ন,	প্যাটার্ন,	
timur,	টিমুর,	তিমুর,	
jolrong,	জলর্,	জলরঙ,	
protishtan,	প্রতিষ্ঠান,	প্রতিষ্টান,	
durgondho,	দুরগন্ধ,	দুর্গন্ধ,	
alankaran,	অলঙকরণ,	অলঙ্করণ,	
anekeri,	অনেকারি,	অনেকেরই,	
agradut,	অগ্রাদুত,	অগ্রদূত,	
sangbadmadhyame,	সংবদ্ধমাহ্যে,	সংবাদমাধ্যমে,	
tenys,	টেনিস,	টেনিস,	
koyari,	কোয়ারি,	কোয়েরি,	
loukikotaa,	লৌকিকতা,	লৌকিকতা,	
udbodhoney,	উদ্বোধনে,	উদ্বোধনে,	
laisensa,	লাইসেন্স,	লাইসেন্স,	
mousum,	মৌসুম,	মৌসুম,	
khanonkaj,	খননকাজ,	খননকাজ,	
shulfate,	সাইফ্লেট,	সালফেট,	
daaloo,	দালু,	ডালু,	
shrabostee,	শ্রবসত্তি,	শ্রাবস্তী,	
parbotto,	পর্বত্ব,	পার্বত্য,	
cherechhe,	চেরেছে,	ছেড়েছে,	
horeedwar,	হরিদ্যার,	হরিদ্বার,	
turkeyder,	তুর্কীদের,	তুর্কিদের,	
suiti,	সুইটি,	সুইটি,	
sumo,	সুমো,	সুমো,	
turkmeen,	তুর্মকিন,	তুর্কমেন,	
hitoishi,	হিতোসি,	হিতৈষী,	
daaktikiter,	দাক্তিকিতের,	ডাকটিকিটের,	
bhaskor,	ভাষ্কর,	ভাস্কর,	
karmokarer,	কর্মকারের,	কর্মকারের,	
madhukori,	মধুকরি,	মাধুকরী,	
khalid,	খলিদ,	খালিদ,	
elakaai,	এলাকাই,	এলাকাই,	
saifai,	সাইফাই,	সাইফাই,	
ancholgulir,	আঞ্চলগুলির,	অঞ্চলগুলির,	
samajik,	সমাজিক,	সামাজিক,	
porizoner,	পরিজনের,	পরিজনের,	
teamothi,	তিমোথী,	টিমোথি,	
reshidence,	রেসিডেন্স,	রেসিডেন্স,	
ingrejra,	ইংরেজিরা,	ইংরেজরা,	
bordhitangsho,	বর্ধিংসাং,	বর্ধিতাংশ,	
shainyader,	সৈন্যদের,	সৈন্যদের,	
onchalti,	অঞ্চলটি,	অঞ্চলটি,	
pana,	পানা,	পানা,	
madraser,	মাদ্রাসের,	মাদ্রাজের,	
phake,	ফেঁকে,	ফাকে,	
samaptir,	সমাপ্তির,	সমাপ্তির,	
khaamba,	খাম্বা,	খাম্বা,	
shchalastik,	স্কালস্টিক,	স্কলাস্টিক,	
kabutorer,	কাবুতরের,	কবুতরের,	
ameerika,	আমেরিকা,	আমেরিকা,	
ponthar,	পন্ঠার,	পন্থার,	
ostheesandhi,	অস্থিসন্ধ্ধি,	অস্থিসন্ধি,	
tecnokryat,	টেকন্যাক্ট,	টেকনোক্র্যাট,	
mehnotti,	মেহনত্তি,	মেহনতি,	
rabe,	রবে,	রবে,	
nirapekkhotar,	নিরপ্রক্ষতার,	নিরপেক্ষতার,	
baire,	বায়ের,	বাইরে,	
prokare,	প্রকারে,	প্রকারে,	
shartho,	শর্থ,	স্বার্থ,	
praapokke,	প্রাপককে,	প্রাপককে,	
probhritir,	প্রভৃতির,	প্রভৃতির,	
peengnaa,	পিংনা,	পিংনা,	
krantee,	ক্রান্টি,	ক্রান্তি,	
prosadhoni,	প্রশাধানি,	প্রসাধনী,	
sommotitey,	সম্তিতে,	সম্মতিতে,	
nafisa,	নাফিস,	নাফিসা,	
partho,	পার্থ,	পার্থ,	
itostata,	ইতস্ততা,	ইতস্তত,	
berubar,	বেরুবার,	বেরুবার,	
bbiseshyo,	বিশেষ্য,	বিশেষ্য,	
bharkendra,	ভরকেন্দ্র,	ভরকেন্দ্র,	
marodeha,	মারদেশা,	মরদেহ,	
mausumti,	মৌসম্তি,	মৌসুমটি,	
daakteekiter,	ডাক্তিকিতের,	ডাকটিকিটের,	
bisshasi,	বিশ্বাসী,	বিশ্বাসী,	
kale,	কলে,	কালে,	
vabnake,	ভবননকে,	ভাবনাকে,	
sedikei,	সেদিকেই,	সেদিকেই,	
jaki,	জাকি,	জকি,	
laaj,	লাজ,	লাজ,	
shhyutara,	স্বুতার,	শ্যুটার,	
somabeshti,	সমবেষটি,	সমাবেশটি,	
maudelgulo,	মৌলদগুলো,	মডেলগুলো,	
homasha,	হোমস,	হোমস,	
booroon,	বরুন,	বোরন,	
shobnom,	শব্নম,	শবনম,	
uchhoshito,	উচ্চোসিত,	উচ্ছসিত,	
chaktir,	চাক্তির,	চাকতির,	
uindoo,	উইন্ডো,	উইন্ডো,	
jeelyaand,	জেলজ্যান্ড,	জিল্যান্ড,	
nathivooktir,	নথিভুক্তির,	নথিভুক্তির,	
asamanno,	অসমান্ন,	অসামান্য,	
donut,	দানুত,	ডোনাট,	
baruklin,	বারুক্লিন,	ব্রুকলিন,	
madeelim,	ম্যাডিলিং,	মডেলিং,	
ap,	অপ,	আপ,	
dhrubaker,	ধ্রুবকের,	ধ্রুবকের,	
omkar,	অম্কার,	ওঙ্কার,	
informeson,	ইনফর্মেশন,	ইনফরমেশন,	
bondhubhabapanno,	বন্ধুভবন্ন,	বন্ধুভাবাপন্ন,	
atyacharer,	অত্যাচারের,	অত্যাচারের,	
shaddhi,	সাধ্যি,	সাধ্বী,	
jommu,	জম্মু,	জম্মু,	
shekend,	সেকেন্ড,	সেকেণ্ড,	
dhhaloor,	ঢালুর,	ঢালুর,	
pravura,	প্রভূরা,	প্রভুরা,	
ghumata,	ঘুমতা,	ঘুমাতো,	
nothivookta,	নথিভুক্ত,	নথিভুক্ত,	
shtona,	স্টনা,	স্টোন,	
sathikota,	সাথিকতা,	সঠিকতা,	
muhammod,	মুহাম্মদ,	মুহম্মদ,	
byetasamyan,	ব্যততসম্যান,	ব্যাটসম্যান,	
baman,	বামান,	বামন,	
maniktola,	মানিক্লটা,	মানিকতলা,	
maadhoori,	মাধরী,	মাধুরী,	
nagarikra,	নাগরিকরা,	নাগরিকরা,	
kheley,	খেলে,	খেলে,	
choddo,	চদ্দ,	চোদ্দো,	
pratiyogita,	প্রতিযোগিতা,	প্রতিযোগীতা,	
monohor,	মনোহর,	মনোহর,	
eidhyaning,	এইধ্যানি,	ইদানীং,	
shitey,	শিটে,	শীতে,	
stona,	স্টনা,	স্টোন,	
jakkher,	যক্ষের,	যক্ষের,	
pathachari,	পাঠাচারী,	পথচারী,	
alpokichudin,	অল্পকিছুদ্ছিন,	অল্পকিছুদিন,	
bitlaser,	বিটলাসের,	বিটলসের,	
konphlict,	কনফিক্সট,	কনফ্লিক্ট,	
apochesta,	অপোেছ্ট,	অপচেষ্টা,	
scoore,	স্কোর,	স্কোর,	
kyatagorir,	ক্যাতাগরীর,	ক্যাটাগরির,	
adhattikotar,	আধাত্তিকতার,	আধ্যাত্মিকতার,	
deelibhara,	ডিলেভার,	ডেলিভার,	
samajikotar,	সামাজিকতার,	সামাজিকতার,	
aziza,	অজিজা,	আজিজা,	
aachees,	আচেশ,	আছিস,	
norpholk,	নরফোলক,	নরফোক,	
ekirokom,	একিরকম,	একইরকম,	
prodiiper,	প্রদিপীর,	প্রদীপের,	
venisey,	ভেনিসে,	ভেনিসে,	
uponishad,	উপনিষাদ,	উপনিষদ,	
mosjidsaho,	মসসিজদসহ,	মসজিদসহ,	
bbonyopran,	ব্যন্প্রণ,	বন্যপ্রাণ,	
balabhadra,	বালাভদ্র,	বলভদ্র,	
janatey,	জানাতে,	জানাতে,	
orthanitir,	অর্থনীতির,	অর্থনীতির,	
korimpur,	করিমপুর,	করিমপুর,	
grip,	গ্রীপ,	গ্রিপ,	
phashtara,	ফাস্টার,	ফস্টার,	
hizritey,	হিজরিতে,	হিজরীতে,	
pooloo,	পুলো,	পোলো,	
plata,	প্লট,	প্লেটো,	
gobeshana,	গবেষণা,	গবেষনা,	
aanaan,	আনান,	আনান,	
naraphoqa,	নারোফাকা,	নরফোক,	
zesh,	জেস,	জেস,	
kyashpar,	ক্যাস্পার,	ক্যাসপার,	
boikalya,	বৈকল্য,	বৈকল্য,	
nazi,	নাজি,	নাত্সি,	
bishesyer,	বিশেষের,	বিশেষ্যের,	
itastato,	আতস্তত,	ইতস্ততঃ,	
siniyara,	সিনিয়ার,	সিনিয়র,	
bosano,	বসানো,	বসানো,	
jhankaar,	ঝানকার,	ঝঙ্কার,	
modelke,	মোদেলকে,	মডেলকে,	
taffsherer,	তাফসেরের,	তাফসীরের,	
tukrotey,	তুক্রতে,	টুকরোতে,	
manober,	মানবের,	মানবের,	
samashtike,	সমস্তিকে,	সমষ্টিকে,	
filipiner,	ফিলিপিনের,	ফিলিপাইনের,	
dhojobhongo,	ধোভাগঞ্গ,	ধ্বজভঙ্গ,	
atiteo,	অতিতেও,	অতীতেও,	
shyooter,	স্যুটের,	শ্যুটার,	
ingrezder,	ইংরেজদের,	ইংরেজদের,	
vagni,	ভাগ্নি,	ভগ্নী,	
elakatite,	এলাকাতিতে,	এলাকাটিকে,	
jaj,	যাজ,	জাজ,	
temone,	টেমনে,	তেমনই,	
pothnatok,	পথনতাক,	পথনাটক,	
abosan,	অবসান,	অবসান,	
scholarsip,	স্কলারশিপ,	স্কলারশিপ,	
mastarsa,	মাস্টার্স,	মাস্টার্স,	
satarkotar,	সত্রকতার,	সতর্কতার,	
ghese,	ঘেসে,	ঘেঁষে,	
thailyanda,	থাইল্যান্ড,	থাইল্যান্ড,	
pleeta,	প্লেট,	প্লেট,	
sosa,	সোসা,	শশা,	
format,	ফরমেট,	ফরম্যাট,	
heja,	হেজা,	হেজ,	
byaaran,	ব্যারণ,	ব্যারন,	
daqten,	ডাক্তেন,	ডাকতেন,	
konflict,	কনফিক্সট,	কনফ্লিক্ট,	
karmasampadan,	কর্মস্পদান,	কর্মসম্পাদন,	
sahochorjo,	সহহর্য,	সাহচর্য,	
ispredsiit,	ইফপ্রেস্ডিট,	স্প্রেডশীট,	
bede,	বেদে,	বেদে,	
emargency,	এমার্জেন্সি,	এমার্জেন্সি,	
dijnii,	দিজনি,	ডিজনী,	
adhattikota,	আধাত্তিকতা,	আধ্যাত্মিকতা,	
ishton,	স্টটন,	স্টোন,	
nikataner,	নিকটনের,	নিকেতনের,	
horiddare,	হরিদায়ার,	হরিদ্বারে,	
jaater,	যাতের,	জাতের,	
karlo,	করলো,	কার্লো,	
madeling,	ম্যাডেলিং,	মডেলিং,	
johns,	জনস,	জন্স,	
fern,	ফের্ন,	ফার্ন,	
shhooter,	শুটের,	শ্যুটার,	
harees,	হারিস,	হ্যারিস,	
hatochakito,	হতচচকিত,	হতচকিত,	
upanishad,	উপনিদাস,	উপনিষদ,	
vaabnake,	ভাব্নাকে,	ভাবনাকে,	
prabhritike,	প্রভৃতিকে,	প্রভৃতিকে,	
babylon,	বাবিলোন,	ব্যাবিলন,	
riphleeksa,	রিপলেক্স,	রিফ্লেক্স,	
bhagna,	ভাগ্ন,	ভগ্ন,	
chhutochhuti,	ছুটোচটি,	ছুটোছুটি,	
nagaland,	নাগ্যালান্ড,	নাগাল্যান্ড,	
vandare,	ভান্ডারে,	ভাণ্ডারে,	
formet,	ফরমেট,	ফরম্যাট,	
nischoy,	নিশ্চ্যে,	নিশ্চয়,	
aanhu,	আনহু,	আনহু,	
chuti,	চুটি,	ছুটি,	
qarpeta,	কর্পেট,	কার্পেট,	
jamjamat,	জামজাত,	জমজমাট,	
qirq,	কার্ক,	কার্ক,	
brookoleen,	ব্রোকলেন,	ব্রুকলিন,	
sone,	সোনে,	সনে,	
nodimatrik,	নদীমাত্রিক,	নদীমাতৃক,	
alonkaron,	আলঙকরণ,	অলঙ্করণ,	
chalaabi,	চলাাবই,	চালাবে,	
metrapalitana,	মেট্রোপালিটান,	মেট্রোপলিটন,	
edmeeral,	এডিমেল,	এডমিরাল,	
abheedhaner,	অভিধানের,	অভিধানের,	
prakalpatike,	প্রকল্পটিকে,	প্রকল্পটিকে,	
zeebonjapon,	জীবনবামন,	জীবনযাপন,	
dijijer,	দিজিজের,	ডিজিজের,	
fixin,	ফিস্কিন,	ফিক্সিং,	
sharthe,	শর্থে,	স্বার্থে,	
jhijhi,	ঝিঝি,	ঝিঝি,	
boikalyo,	বৈলকল্য,	বৈকল্য,	
phaksa,	ফক্স,	ফক্স,	
geans,	জিনস,	জিন্স,	
shotokey,	শতকে,	শতকে,	
suraaropeeto,	সুরারপিত,	সুরারোপিত,	
khude,	খুদে,	ক্ষুদে,	
odure,	অদূরে,	অদুরে,	
eute,	ইউট,	ইইউতে,	
chhatke,	ছটকে,	ছাতকে,	
aarik,	আরিক,	আরিক,	
juktorastrer,	যুক্তরাস্ট্রের,	যুক্তরাষ্ট্রের,	
sealvi,	সিলভী,	সিলভি,	
hertj,	হার্ট,	হার্জ,	
jonoshongjog,	জনসং্জগ,	জনসংযোগ,	
nesons,	নেশনস,	নেশনস,	
saalsa,	সালসা,	সালসা,	
gadha,	গাধা,	গাধা,	
sorano,	সরানো,	সরানো,	
mousumeo,	মৌসমেও,	মৌসুমেও,	
fiksa,	ফিক্স,	ফিক্স,	
byaboharkarir,	ব্যবহারকারীর,	ব্যবহারকারীর,	
chereche,	চেরেছে,	ছেড়েছে,	
srabosty,	স্রবস্তি,	শ্রাবস্তী,	
shelim,	সেলিং,	সেলিম,	
gej,	গেজ,	গেজ,	
falashruti,	ফলাস্রুটি,	ফলশ্রুতি,	
nagarik,	নাগারিক,	নাগরিক,	
tate,	তাটে,	তাতে,	
showte,	শোটে,	শোতে,	
chirokumari,	চিরুকামরী,	চিরকুমারী,	
koode,	কোডে,	কোড,	
oitihyer,	ঐতিহের,	ঐতিহ্যের,	
oitijhyer,	ঐতিহ্যের,	ঐতিহ্যের,	
minister,	মিনিস্টার,	মিনিস্টার,	
rajnaitik,	রাজনৈতিক,	রাজনৈতীক,	
lompot,	লম্পত,	লম্পট,	
badhano,	বাঁধানো,	বাঁধানো,	
saainyo,	সাইনও,	সৈন্য,	
jeebonjaapon,	জীবন্জাপন,	জীবনযাপন,	
bishwashoi,	বিশ্বসাই,	বিশ্বাসই,	
habsi,	হাবসি,	হাবশী,	
parse,	পার্স,	পার্শ্বে,	
eshiyatiqa,	এসিয়েটিক,	এশিয়াটিক,	
torokareer,	তরকারীর,	তরকারীর,	
confliqt,	কনফিক্ট,	কনফ্লিক্ট,	
mirakel,	মারেকেল,	মিরাকেল,	
tottoraat,	তত্তরাত,	তওরাত,	
ghur,	ঘুর,	ঘুর,	
eshkol,	এসকল,	এসকল,	
vabanir,	ভবানীর,	ভবানীর,	
byke,	বিকে,	বাইক,	
eidin,	এইডিন,	এইদিন,	
akpaase,	একপাযাশে,	একপাশে,	
elakaasoho,	এলাকাশহ,	এলাকাসহ,	
roktokkhorone,	রক্তকক্ষণে,	রক্তক্ষরণে,	
recondition,	রেকন্ডিডেন,	রিকন্ডিশন,	
dalu,	দল,	ডালু,	
prastutkarak,	প্রস্তুতকারক,	প্রস্তুতকারক,	
dipan,	দীপন,	দীপন,	
