female,	ফেমলে,	ফিমেল,	
baataree,	বাতারী,	ব্যাটারী,	
shrishree,	শ্রীষী,	শ্রীশ্রী,	
deyl,	ডেল,	ডেইল,	
udbhabony,	উদ্ভবনী,	উদ্ভাবনী,	
shotodha,	শতধা,	শতধা,	
reejideens,	রেজিডেন্স,	রেসিডেন্স,	
vejjanno,	ভেজজন্য,	ভেজানো,	
mesenjar,	মেসেঞ্জার,	মেসেঞ্জার,	
umedpoor,	উমেদপুর,	উমেদপুর,	
ekoghore,	একঘরে,	একঘরে,	
fareksa,	ফোর্ক্স,	ফরেক্স,	
palashir,	পালাশীর,	পলাশীর,	
faaj,	ফাজ,	ফাজ,	
kara,	করা,	কারো,	
adhyatmik,	অধ্যাম্িক,	আধ্যাত্মিক,	
saoum,	সাউম,	সাওম,	
raits,	রেইটস,	রাইটস,	
jonogononar,	জনগণনার,	জনগণনার,	
cyanide,	চ্যানিডে,	সায়ানাইড,	
ingrejraa,	ইংরেজার,	ইংরেজরা,	
uponishod,	উপনিষদ,	উপনিষদ,	
iura,	ইউর,	ইউরো,	
joneetey,	জনিতে,	যোনীতে,	
venise,	ভেনিসে,	ভেনিসে,	
bairer,	বৈরের,	বাইরের,	
torangunj,	তরঙঙগঞ্জ,	তোরাবগঞ্জ,	
sidiul,	সিডিল,	শিডিউল,	
chanje,	চঞ্জে,	চেঞ্জ,	
uru,	উরু,	উরু,	
riphleksha,	রিপ্লেক্স,	রিফ্লেক্স,	
istone,	ইস্টনে,	স্টোন,	
skoora,	স্কোর,	স্কোর,	
bodhirata,	বধধরতা,	বধিরতা,	
sainyara,	সৈন্যরা,	সৈন্যরা,	
grambaasee,	গ্রামবাসী,	গ্রামবাসী,	
mahasabha,	মহাভা,	মহাসভা,	
durotaumo,	দূরতম,	দূরতম,	
bonovumite,	বনভূমিতে,	বনভূমিতে,	
siramiker,	শিরামিকের,	সিরামিকের,	
vaticaner,	ভাটিকানের,	ভ্যাটিকানের,	
abadamaner,	আবদামনের,	অবদমনের,	
auncholo,	আঞ্চলো,	অঞ্চলও,	
taigara,	তাইগার,	টাইগার,	
bonaa,	বোনা,	বোনা,	
nothivukteer,	নথিভুক্তির,	নথিভুক্তির,	
keo,	কিও,	কেউ,	
dacop,	ডকপ,	দাকোপ,	
sahojlabhbhotar,	সহজলভাতাবার,	সহজলভ্যতার,	
upobaashee,	উপবাশী,	উপবাসী,	
siropa,	শিরপা,	শিরোপা,	
miley,	মিলে,	মাইলে,	
bahaal,	বাহল,	বহাল,	
rohosyor,	রহস্যর,	রহস্যর,	
mitroder,	মিত্রদের,	মিত্রদের,	
sanmukh,	সনমুখ,	সন্মুখ,	
mittrer,	মিত্রের,	মিত্রের,	
mootar,	মোটার,	মুতার,	
aairees,	আইরেশ,	আইরিস,	
toufeek,	তৌফিক,	তৌফিক,	
samosto,	সমস্ত,	সমস্ত,	
sthapanagulor,	স্থাপনাগুলোর,	স্থাপনাগুলোর,	
elakaasoho,	এলাকাশহ,	এলাকাসহ,	
jibnagore,	জীবনগরে,	জীবননগর,	
durgandha,	দুরগগন্ধা,	দুর্গন্ধ,	
liceensing,	লিসেন্সিং,	লাইসেন্সিং,	
thailyanda,	থাইল্যান্ড,	থাইল্যান্ড,	
baarakpur,	বারককুর,	বারাকপুর,	
asovo,	অস্ব,	অসভ্য,	
rautine,	রাউটিন,	রুটিন,	
ghurte,	ঘুরতে,	ঘুরতে,	
mugdhata,	মুগ্ধতা,	মুগ্ধতা,	
hizriite,	হিজরিতে,	হিজরীতে,	
shastro,	শাস্ত্র,	শাস্ত্র,	
shhcholashtik,	স্কলাসটিক,	স্কলাস্টিক,	
sukkho,	সূক্ষ,	সুক্ষ্ম,	
rajtontro,	রাজতন্ত্র,	রাজতন্ত্র,	
donata,	দোনাতা,	ডোনাট,	
piroojalee,	পিরুজলী,	পিরুজালী,	
silvee,	সিলভে,	সিলভি,	
laaiseens,	লাইসেন্স,	লাইসেন্স,	
prasadhani,	প্রাসাধানি,	প্রসাধনী,	
shithilata,	শিথিলতা,	শিথিলতা,	
protul,	প্রতুল,	প্রতুল,	
teresa,	তেরেস,	টেরেসা,	
antorbhuktimulak,	অন্তর্ভূত্মকূলক,	অন্তর্ভুক্তিমূলক,	
dwipke,	দ্বীপকে,	দ্বীপকে,	
gazee,	গজজ,	গেজ,	
bondiike,	বন্দীকে,	বন্দীকে,	
siitei,	শীতেই,	শীতেই,	
chhanake,	ছানাকে,	ছানাকে,	
khur,	খুর,	ক্ষুর,	
shtone,	স্টনে,	স্টোন,	
nirmol,	নির্মল,	নির্মল,	
bocchon,	বছচন,	বচ্চন,	
konphlikt,	কনফলিক্ট,	কনফ্লিক্ট,	
nagorikota,	নগরীকতা,	নাগরিকতা,	
shombhobonaao,	সম্ভবনাও,	সম্ভবনাও,	
madrasi,	মাদরাসী,	মাদ্রাজি,	
kulo,	কুলো,	কুলো,	
naitikatar,	নৈতিকতার,	নৈতিকতার,	
goteerodh,	গতিরোধ,	গতিরোধ,	
ghetu,	ঘেটু,	ঘেটু,	
shansthati,	সংস্থাটি,	সংস্থাটি,	
jamanor,	জামানোর,	জমানোর,	
bhromonkaale,	ভ্রমণকালে,	ভ্রমণকালে,	
osamonjoshyopurno,	অসমানযোস্ার্ণ,	অসামঞ্জস্যপূর্ণ,	
pouch,	পৌঁচ,	পাউচ,	
bhaisoho,	ভাইসহ,	ভাইসহ,	
degreer,	দিগ্রীর,	ডিগ্রির,	
shahabike,	শাহাবিকে,	সাহাবীকে,	
bardhitaanas,	বার্থিতান,	বর্ধিতাংশ,	
kiirti,	কীর্ি,	কীর্তি,	
chamski,	চাসককি,	চমস্কি,	
tourist,	টুরিস্ট,	টুরিস্ট,	
eshhiyatika,	এসিয়েটিক,	এশিয়াটিক,	
chalo,	চালো,	চলো,	
abosan,	অবসন,	অবসান,	
carlas,	কার্লস,	কার্লোস,	
bondhukey,	বন্ধুকে,	বন্ধুকে,	
sohopatheekey,	সহপাঠিকে,	সহপাঠীকে,	
chet,	চেট,	চ্যাট,	
swostir,	স্বস্তির,	স্বস্তির,	
jyeshthaa,	জেষ্ঠা,	জ্যেষ্ঠা,	
shoccar,	সক্চার,	সকার,	
monu,	মনু,	মনু,	
yankee,	যানকি,	ইয়াংকি,	
amstrang,	অমস্ট্রাং,	আর্মস্ট্রং,	
licensedharii,	লিসেনেসেররি,	লাইসেন্সধারী,	
kloj,	ক্লোজ,	ক্লজ,	
jojyata,	যোজ্যতা,	যোজ্যতা,	
itastatoh,	ইতাস্তত,	ইতস্ততঃ,	
korkot,	করকত,	কর্কট,	
prottokhovabe,	প্রত্যক্ষভাবে,	প্রত্যক্ষভাবে,	
bhenicer,	ভেনিসের,	ভেনিসের,	
corymb,	কোর্ম্ব,	করিম,	
pushti,	পুষ্টি,	পুষ্টি,	
faltu,	ফলতু,	ফালতু,	
myathious,	ম্যাথাউস,	ম্যাথিউস,	
jeebnagore,	জীবনগরে,	জীবননগর,	
torkareer,	তরকারীর,	তরকারীর,	
formet,	ফরমেট,	ফরম্যাট,	
platey,	প্লেটে,	প্লেটে,	
mugdaal,	মুগদল,	মুগডাল,	
bishshashi,	বিশ্বাসী,	বিশ্বাসই,	
coode,	কোড,	কোড,	
mukhobandha,	মুখবন্ধ,	মুখবন্ধ,	
mane,	মেন,	মানে,	
zyaka,	জ্যাক,	জ্যাক,	
proshtotto,	প্রস্তত্ব,	প্রস্ত্তত,	
heedgee,	হেজি,	হেজ,	
apoharon,	অপহারণ,	অপহরন,	
nagorikra,	নাগরিকাা,	নাগরিকরা,	
ingrezraa,	ইংরেজারা,	ইংরেজরা,	
reejur,	রেজুর,	রিজুর,	
uuipoka,	উইপোক,	উইপোকা,	
baasaa,	বাসা,	বাসা,	
kyethalika,	ক্যাথেলিক,	ক্যাথলিক,	
messenjer,	মেসেঞ্জের,	মেসেঞ্জার,	
pitthey,	পিঠে,	পীঠে,	
kortonaa,	কর্তনা,	করতনা,	
arakaner,	আরকানের,	আরাকানের,	
kona,	কোনা,	কোনা,	
bbiswashe,	বিশ্বাসে,	বিশ্বাসে,	
bondhutto,	বন্ধুত্ব,	বন্ধুত্ত্ব,	
pratijogider,	প্রতিযোগীদের,	প্রতিযোগীদের,	
jockey,	জকে,	জকি,	
peshto,	পেষ্ট,	পেষ্ট,	
showtey,	সতে,	শোতে,	
conan,	কোন,	কোনান,	
homasha,	হোমস,	হোমস,	
jibonnogor,	জীবন্গর,	জীবননগর,	
daltagi,	ডলতাগি,	দলত্যাগী,	
prakalpatikey,	প্রকলপতিকে,	প্রকল্পটিকে,	
goonoman,	গুমোন,	গুণমান,	
machhsoho,	মাচসহ,	মাছসহ,	
asbar,	আসবার,	আসবার,	
amarjita,	অমর্জিত,	অমার্জিত,	
agrodut,	অগ্রুদুত,	অগ্রদূত,	
dail,	ডেল,	ডেইল,	
parka,	পার্ক,	পার্ক,	
rohosyo,	রহস্য,	রহস্য,	
mukhabandho,	মুখবন্ধ,	মুখবন্ধ,	
langhaner,	লঙ্ঘনের,	লংঘনের,	
panchasjon,	পঞ্চাশজন,	পঞ্চাশজন,	
balaruma,	বালরুম,	বলরুম,	
plane,	প্লেন,	প্লেন,	
gafiloti,	গেফিলোটি,	গাফিলতি,	
edmiral,	এডমেরাল,	এডমিরাল,	
taims,	টেমস,	টাইমস্,	
torkarir,	তরকারীর,	তরকারীর,	
sofie,	সফি,	সোফি,	
rajon,	রজন,	রাজন,	
chitronatyakar,	চিত্রনাট্যাকর,	চিত্রনাট্যকার,	
toler,	তোলের,	তালের,	
bachaikrito,	বাচাচৃত,	বাছাইকৃত,	
jinsa,	জিন্স,	জিন্স,	
tinej,	তিনেজ,	টিনেজ,	
sikkhagoto,	শিক্ষাগত,	শিক্ষাগত,	
steen,	স্টিন,	স্টেন,	
manaber,	মানবের,	মানবের,	
bhyaatikaaner,	ভ্যাতিকানের,	ভ্যাটিকানের,	
ameerika,	আমেরিকা,	আমেরিকা,	
avereste,	অভেরস্টে,	এভারেস্টে,	
shten,	স্টেন,	স্টেন,	
okkhor,	অক্ষর,	অক্ষর,	
dosheeder,	দশীদের,	দোষীদের,	
sip,	সিপ,	শিপ,	
jekhan,	যেখান,	যেখান,	
prokare,	প্রকারে,	প্রকারে,	
injiniyarsa,	ইনজিজিয়ার্স,	ইঞ্জিনিয়ার্স,	
forex,	ফোর্ক,	ফরেক্স,	
alaoul,	আ্যালুউল,	আলাওল,	
deeputy,	ডিপুতি,	ডেপুটি,	
onnkita,	অন্কিত,	অঙ্কিতা,	
parichchhannata,	পরিচ্ছান্নতা,	পরিচ্ছন্নতা,	
udvaboker,	উদ্ভাবকের,	উদ্ভাবকের,	
dhaanche,	ধাঁছে,	ধাঁচে,	
sharif,	শরীফ,	শরিফ,	
temonbhabe,	তীমনভাবে,	তেমনভাবে,	
ahalyar,	অহল্যার,	অহল্যার,	
laala,	লালা,	লালা,	
twoei,	তুইই,	ত্বকেই,	
jarusalema,	জারুসালেম,	জেরুসালেম,	
kormozog,	কর্মযোগ,	কর্মযোগ,	
juboksaho,	যুবকসহ,	যুবকসহ,	
kumarir,	কুমারির,	কুমারীর,	
parkasha,	পার্কাশ,	পার্কস,	
muktilabh,	মুক্তিলভ,	মুক্তিলাভ,	
dharabhashyokar,	ধারাভাষ্যার,	ধারাভাষ্যকার,	
ispredsiit,	ইসপ্রেডিট,	স্প্রেডশীট,	
plate,	প্লেট,	প্লেটে,	
verma,	ভারমা,	ভার্মা,	
beshirbhaageyi,	বেশীরভাগেই,	বেশিরভাগেই,	
ashe,	আসে,	আসে,	
miley,	মিলে,	মাইলি,	
cheento,	চিন্ত,	চিনতো,	
asovvo,	অসভ্ভ,	অসভ্য,	
amontrito,	আমন্ত্রিত,	আমন্ত্রিত,	
mast,	মাস্ট,	মাস্ত,	
daap,	দাপ,	ড্যাপ,	
prajanankal,	প্রজাননকাল,	প্রজননকাল,	
naraphooka,	নরফফুক,	নরফোক,	
dormetori,	ডর্মেটরই,	ডরমিটরি,	
suchonakal,	সূচনাকাল,	সূচনাকাল,	
thakani,	থাকানি,	থাকেনি,	
nutaner,	নতউনের,	নূতনের,	
maktum,	মককুম,	মাকতুম,	
orthanitite,	অর্থনীতিতে,	অর্থনীতিতে,	
gandhiio,	গান্ধীও,	গান্ধীও,	
poorohitra,	পুরোহিত্র,	পুরোহিতরা,	
khogen,	খোগেন,	খগেন,	
townsip,	টাউন্সিপ,	টাউনশিপ,	
malaika,	মালাইক,	মালাইকা,	
mahasava,	মহাভা,	মহাসভা,	
sotorkotar,	সতরককার,	সতর্কতার,	
shreeshri,	শ্রীশী,	শ্রীশ্রী,	
podarthobid,	পদার্থবিদ,	পদার্থবিদ,	
bizepi,	বিজেপী,	বিজেপি,	
soinyoder,	সৈন্যদের,	সৈন্যদের,	
sarolyo,	সারল্য,	সারল্য,	
bim,	বিম,	বীম,	
dhouto,	ধৌত,	ধৌত,	
jetei,	জেতেই,	যেতেই,	
cholesi,	চলেসি,	চলেছি,	
janoganonar,	জনগণনার,	জনগণনার,	
munshi,	মুনসি,	মুন্সী,	
gejeteda,	গেজেটেড,	গেজেটেড,	
pronoti,	প্রণোটি,	প্রণতি,	
mononitoder,	মনোতীদের,	মনোনীতদের,	
potochitrer,	পটচচিত্রের,	পটচিত্রের,	
bibade,	বিবদে,	বিবাদে,	
shkalashtika,	স্কলাসিক্ট,	স্কলাস্টিক,	
shashoto,	শ্বতো,	শাশ্বত,	
chilona,	চিলনা,	ছিলনা,	
armstrang,	আর্স্ট্রাং,	আর্মস্ট্রং,	
moshzidshoho,	মস্দিশহ,	মসজিদসহ,	
ghomtaa,	ঘোমটা,	ঘোমটা,	
arke,	আর্কে,	আরকে,	
moshjid,	মশজীদ,	মসজিদ,	
netherlander,	নেথারল্যান্ডের,	নেদারল্যান্ডের,	
gabhaaskaar,	গভাস্কার,	গাভাস্কার,	
hook,	হোক,	হুক,	
somonnitobhabe,	সমনননিতভাবে,	সমন্বিতভাবে,	
parisankhyanvid,	পরিসংখ্যাণ্ধি,	পরিসংখ্যানবিদ,	
horir,	হরির,	হরির,	
deejijer,	দিজিজের,	ডিজিজের,	
mumtaj,	মুততা,	মুমতাজ,	
tukrokey,	তুকরকে,	টুকরোকে,	
chorchita,	চর্চিত,	চর্চিত,	
songbadmadhyome,	সংবাদদ্ধমে,	সংবাদমাধ্যমে,	
brekathru,	ব্রেকার্রু,	ব্রেকথ্রু,	
manjushree,	মঞ্জুশ্রী,	মঞ্জুশ্রী,	
ropto,	রপ্ত,	রপ্ত,	
subade,	সুবাদে,	সুবাদে,	
eenjil,	ইঞ্জিল,	ইঞ্জিল,	
adbhanced,	অ্যাডভান্ডেড,	অ্যাডভান্সড,	
madhukori,	মধুকরই,	মাধুকরী,	
dhanni,	ধান্নি,	ধন্যি,	
nagoriker,	নগরীকের,	নাগরিকের,	
towraat,	তোরাট,	তওরাত,	
canflict,	কনফ্লিক্ট,	কনফ্লিক্ট,	
boner,	বনের,	বনের,	
jorer,	জরের,	জ্বরের,	
nirantar,	নিরন্তর,	নিরন্তর,	
nirgomon,	নির্জমন,	নির্গমন,	
gaafeeloti,	গাফিলোটি,	গাফিলতি,	
domonmulok,	দমমনূলক,	দমনমূলক,	
atok,	আটক,	আটক,	
braqe,	ব্রেক,	ব্রেক,	
karim,	করিম,	করিম,	
notey,	নোটে,	নোটে,	
remakri,	রেমকরি,	রেমাক্রী,	
ishahak,	ইসহাক,	ইসাহাক,	
debdebier,	দেবদেবীর,	দেবদেবীর,	
source,	সার্স,	সোর্স,	
phoolkopi,	ফুককপি,	ফুলকপি,	
shahanara,	শাহনারা,	শাহানারা,	
shlok,	স্লক,	শ্লোক,	
ooporoshtho,	অপরোষ্ট,	উপরস্থ,	
shikkhartheerao,	শিক্ষার্থীরা,	শিক্ষার্থীরাও,	
cheelona,	চিলনা,	ছিলনা,	
musalmanderkey,	মুসলমন্দকের,	মুসলমানদেরকে,	
beeru,	বিরু,	বীরু,	
shikkhakrom,	শিক্ষাক্রম,	শিক্ষাক্রম,	
khamba,	খাম্ব,	খাম্বা,	
somaazer,	সমাজের,	সমাজের,	
oitijhyer,	ঐতিহ্যের,	ঐতিহ্যের,	
tatey,	তাতে,	তাতে,	
koreempur,	করিমপুর,	করিমপুর,	
oholya,	অহল্য,	অহল্যা,	
thime,	থিমে,	থিমে,	
natnikey,	নাতনিকে,	নাতনীকে,	
favorite,	ফভররিতে,	ফেভারিট,	
fartha,	ফার্থ,	ফার্থ,	
peeth,	পেথ,	পীঠ,	
bhabanir,	ভবনীর,	ভবানীর,	
male,	মালে,	মালে,	
gambasi,	গম্বাসী,	গ্রামবাসী,	
dep,	ডিপ,	ডেপ,	
sourse,	সার্স,	সোর্স,	
venisey,	ভেনিসে,	ভেনিসে,	
roi,	রই,	রায়,	
welcome,	ওয়েলচম,	ওয়েলকাম,	
hishaber,	হিশাবের,	হিসাবের,	
shalook,	শালুক,	শালুক,	
jesthaa,	জেষ্ঠা,	জ্যেষ্ঠা,	
bhittie,	ভিত্তি,	ভিত্তিই,	
beatleser,	বিটলেসের,	বিটলসের,	
debodebi,	দেবদেবী,	দেবদেবী,	
cocaine,	কোকেন,	কোকেইন,	
kakhanyoba,	কখনন্বব,	কখনওবা,	
baruklin,	বারুল্লীন,	ব্রুকলিন,	
sausagee,	সৌসগে,	সসেজ,	
parishkaran,	পরিস্কারণ,	পরিষ্করণ,	
kata,	কাট,	কোটা,	
rajtantrakey,	রাজতন্ত্রকে,	রাজতন্ত্রকে,	
proteestha,	প্রতিষ্ঠা,	প্রতিষ্টা,	
gojano,	গজানো,	গজানো,	
orhan,	অর্হন,	ওরহান,	
plus,	প্লাস,	প্লাস,	
chalkee,	চলকী,	চালকে,	
halloween,	হালোউন,	হ্যালোইন,	
haipara,	হাইপার,	হাইপার,	
antarbhuttirmulok,	অন্তরভভ্তূূল্লক,	অন্তর্ভুক্তিমূলক,	
kaando,	কান্ড,	কাণ্ড,	
samudrotate,	সমুদ্রততে,	সমুদ্রতটে,	
protimake,	প্রতিমাকে,	প্রতিমাকে,	
grambaseeo,	গ্রামবাশী,	গ্রামবাসীও,	
badey,	বদে,	বাদে,	
associatees,	অ্যাসোসিয়েটস,	এসোসিয়েটস,	
tahalei,	তাহলেই,	তাহলেই,	
dharabahikbhabey,	ধারাবিখিবাবে,	ধারাবাহিকভাবে,	
location,	লোকেশন,	লোকেশন,	
gosthiti,	গোষ্ঠিতি,	গোষ্ঠীটি,	
shektor,	শেক্টর,	সেক্টর,	
shekarone,	শেকারণে,	সেকারণে,	
musalmanyi,	মুসোমন্যী,	মুসলমানই,	
nirvahi,	নির্বাহী,	নির্বাহি,	
oshovyo,	অশভ্য,	অসভ্য,	
jotota,	জোটটা,	যতোটা,	
nabyata,	নাব্যতা,	নাব্যতা,	
meiler,	মেইলের,	মেইলের,	
macbeth,	ম্যাবেেস,	ম্যাকবেথ,	
netherlandey,	নেথারল্যান্ডে,	নেদারল্যান্ডে,	
tala,	তোল,	তালা,	
iyaka,	ইয়াক,	ইয়াক,	
sift,	সিফট,	শিফট,	
foolkopi,	ফুলকপি,	ফুলকপি,	
aarakaner,	আরকানের,	আরাকানের,	
gosthi,	গোষ্ঠী,	গোষ্ঠী,	
ghomta,	ঘোমটা,	ঘোমটা,	
hishabke,	হিশাবকে,	হিসাবকে,	
zeebonjapon,	জীবনজাপন,	জীবনযাপন,	
mugdhota,	মুগ্ধতা,	মুগ্ধতা,	
nariider,	নারীদের,	নারীদের,	
tafasir,	তফসির,	তাফসীর,	
adhyattik,	আধ্যাত্িক,	আধ্যাত্মিক,	
duma,	ডুমা,	দুমা,	
bang,	বঙ,	ব্যাং,	
gronthoty,	গ্রন্থটি,	গ্রন্থটি,	
elakaatir,	এলাকাটির,	এলাকাটির,	
uddhrity,	উদ্ধৃতি,	উদ্ধৃতি,	
gori,	গরি,	গোরি,	
hedje,	হেজ,	হেজ,	
noteti,	নোটটি,	নোটটি,	
afjal,	আফজাল,	আফজল,	
boarana,	বোরান,	বোরন,	
rilayensha,	রিলেয়েন্স,	রিলায়েন্স,	
sheramiksh,	শেরামিক্স,	সিরামিকস,	
bait,	বেযাট,	বাইট,	
chhutee,	ছুটি,	ছুটি,	
jojyota,	যোজ্যতা,	যোজ্যতা,	
pretii,	প্রেতি,	প্রিটি,	
shikkhakram,	শিক্ষাক্রম,	শিক্ষাক্রম,	
zeeland,	জিল্যান্ড,	জিল্যান্ড,	
chalochchitroke,	চলচচত্রিকে,	চলচ্চিত্রকে,	
opochesta,	অপচেষ্ঠা,	অপচেষ্টা,	
udbhaboker,	উদ্ভাবকের,	উদ্ভাবকের,	
vins,	ভিন্স,	ভিন্স,	
juboksoho,	যুবকসহ,	যুবকসহ,	
noitikotar,	নৈতিকতার,	নৈতিকতার,	
brekthrough,	ব্রেক্রাঘ,	ব্রেকথ্রু,	
siima,	সিমা,	সীমা,	
nagarikra,	নাগরিকাা,	নাগরিকরা,	
rothin,	রথিন,	রথীন,	
tiunar,	টিউনার,	টিউনার,	
jyestthotar,	জেস্থ্যতার,	জ্যেষ্ঠতার,	
gaje,	গজে,	গেজ,	
khelechen,	খেলেছেন,	খেলেছেন,	
drishyogulo,	দৃশ্যগুলো,	দৃশ্যগুলো,	
ekpaase,	একপাসে,	একপাশে,	
nironjon,	নিরঞ্জন,	নিরঞ্জন,	
janmato,	জন্মত,	জন্মাত,	
ballroom,	বলরুম,	বলরুম,	
ddhila,	ঢিলা,	ঢিলা,	
rubi,	রুবি,	রুবি,	
hena,	হেন,	হেনা,	
set,	সেট,	সিট,	
ancholeo,	আঞছোলেও,	অঞ্চলেও,	
engrezder,	ইংরেজদের,	ইংরেজদের,	
konfleekt,	কনফ্লেক্ট,	কনফ্লিক্ট,	
sahocorje,	সহকর্যে,	সাহচর্যে,	
mokam,	মকাম,	মোকাম,	
sanaktokaron,	সনাক্তকরণ,	সনাক্তকরণ,	
akreetokarjo,	আক্তৃকরা্য,	অকৃতকার্য,	
ghaghat,	ঘঘঘাট,	ঘাঘট,	
shikkhagata,	শিক্ষাগত,	শিক্ষাগত,	
lag,	লাগ,	লগ,	
dwipei,	দ্বীপেই,	দ্বীপেই,	
digrio,	ডিগ্রিও,	ডিগ্রিও,	
ummool,	উম্মুল,	উম্মুল,	
rajtantra,	রাজতন্ত্র,	রাজতন্ত্র,	
tusho,	তুসো,	তুসো,	
bypass,	বিপস,	বাইপাস,	
gez,	গেজ,	গেজ,	
satthikata,	সাঠিকাতা,	সঠিকতা,	
hari,	হারি,	হরি,	
ekshoti,	একশটি,	একশোটি,	
jwolbe,	জ্বলবে,	জ্বলবে,	
hiranee,	হিরানী,	হিরানি,	
chhatrorai,	ছাত্ররই,	ছাত্ররাই,	
rinattak,	ঋণাত্মক,	ঋনাত্মক,	
zoonite,	যুনিতে,	যোনীতে,	
chalochchitraeei,	চলচচত্রীই,	চলচ্চিত্রেই,	
deilee,	ডিলে,	ডেইলি,	
palta,	পাল্ট,	পালটা,	
samoshtike,	সমস্তিকে,	সমষ্টিকে,	
durgotsave,	দুর্গতসাভে,	দুর্গোৎসবে,	
saom,	সাম,	সাওম,	
gezeteda,	গেজেটেড,	গেজেটেড,	
shapholler,	সাফলের,	সাফল্যের,	
vaider,	ভাইডের,	ভাইদের,	
zhalkatthi,	ঝালকঠটি,	ঝালকাঠী,	
robot,	রোব,	রোবোট,	
remacry,	রিমাক্রি,	রেমাক্রী,	
sathikota,	সাথিকতা,	সঠিকতা,	
kade,	কাদে,	কোড,	
fanser,	ফাঁসের,	ফাঁসের,	
drishyagulote,	দৃশ্যগুলোতে,	দৃশ্যগুলোতে,	
chowdhuryder,	চৌধুরীদের,	চৌধুরীদের,	
okkhorke,	অক্ষরকে,	অক্ষরকে,	
shikkhakbrindo,	শিক্ষাকবৃন্দ,	শিক্ষকবৃন্দ,	
victar,	ভিক্টর,	ভিক্টর,	
garner,	গার্নের,	গার্নার,	
flask,	ফ্লাস্ক,	ফ্লাস্ক,	
thake,	থাকে,	থাকে,	
lala,	লালা,	লালা,	
konorup,	কোনরূপ,	কোনরূপ,	
alexanderke,	আলেক্যান্ডারকে,	আলেকজান্ডারকে,	
manushi,	মানুসী,	মানুষী,	
baasa,	বাসা,	বাসা,	
shaluk,	শালুক,	শালুক,	
songrahak,	সংগ্রহহক,	সংগ্রাহক,	
uporitaley,	উপরিতালে,	উপরিতলে,	
teentir,	তিনটির,	তিনটির,	
confliqt,	কনফ্লিক্ট,	কনফ্লিক্ট,	
agomoner,	আগমনের,	আগমনের,	
playto,	প্লেট,	প্লেটো,	
provu,	প্রভূ,	প্রভু,	
varshon,	ভার্সন,	ভারশন,	
neerbaho,	নির্বাহ,	নির্বাহ,	
bronze,	ব্রঞ্জে,	ব্রোঞ্জ,	
fal,	ফল,	ফল,	
ghenshe,	ঘেন্সে,	ঘেঁষে,	
proshikkhane,	প্রশিক্ষণে,	প্রশিক্ষণে,	
debholopar,	ডেভলপার,	ডেভলপার,	
ooindo,	উইন্দ,	উইন্ডো,	
cheentai,	চিনতাই,	ছিনতাই,	
hamburger,	হামবব্রের,	হামবুর্গের,	
shannal,	সন্্যাল,	সান্যাল,	
cheentaikari,	চিনতাইকারী,	ছিনতাইকারী,	
somudrotote,	সমুদ্রততে,	সমুদ্রতটে,	
oswasteekor,	অস্বস্তিকর,	অস্বস্তিকর,	
maile,	মেলে,	মাইল,	
santose,	সন্তোষে,	সন্তোষে,	
zerusalemer,	জেরুসালামের,	জেরুজালেমের,	
grambasider,	গ্রামবাসীদের,	গ্রামবাসীদের,	
loukeek,	লৌকিক,	লৌকিক,	
miley,	মিলে,	মিলে,	
pratiyogitar,	প্রতিযোগিতার,	প্রতিযোগীতার,	
rohasyer,	রহস্যের,	রহস্যের,	
madhyastha,	মধ্যস্থ,	মধ্যস্থ,	
uporitole,	উপরিতলে,	উপরিতলে,	
parinati,	পরিনতি,	পরিণতি,	
shakar,	শককার,	সকার,	
behramporer,	বহহরমপরের,	বহরমপুরের,	
bhagini,	ভাগিনী,	ভগিনী,	
ekirokom,	একরিকোম,	একইরকম,	
toroon,	তরুন,	তরুন,	
bhadaka,	ভাদক,	ভদকা,	
meghachchanno,	মেঘাচচ্যান,	মেঘাচ্ছন্ন,	
americar,	আমেরিকার,	আমেরিকার,	
tuku,	টুকু,	টুকু,	
ponthar,	পন্ঠার,	পন্থার,	
tochnochh,	তঞ্চচ,	তছনছ,	
tochnoch,	টঞ্চচ,	তছনছ,	
sulphate,	সালফাতে,	সালফেট,	
chaudhuriyo,	চৌধুরিও,	চৌধুরীও,	
istoone,	ইস্টোনে,	স্টোন,	
aholla,	আহল্লা,	অহল্যা,	
eucalyptus,	ইউকালালিপ্টাস,	ইউক্যালিপ্টাস,	
basaate,	বাসাতে,	বাসাতে,	
heriser,	হেরিসের,	হ্যারিসের,	
chalai,	চালাই,	চালাবে,	
sithilota,	সিথিলতা,	শিথিলতা,	
concert,	কনসার্ট,	কানসাট,	
erina,	এরিন,	এরিনা,	
blogarra,	ব্লগার,	ব্লগাররা,	
kana,	কানা,	কণা,	
valobase,	ভালবাসে,	ভালোবাসে,	
mojdur,	মজুদুর,	মজদুর,	
zins,	জিন্স,	জিন্স,	
nations,	নেযনন,	নেশনস,	
khorsed,	খোষ্ডেড,	খোরশেদ,	
biswashi,	বিশ্বাসী,	বিশ্বাসই,	
setitey,	সেটিতে,	সেটিতে,	
oncholo,	অঞ্চলো,	অঞ্চলও,	
shikshakbrinda,	শিক্ষাকৃব্ণ্য,	শিক্ষকবৃন্দ,	
bagdadii,	বাগদাদী,	বাগদাদী,	
juktarashtrasaha,	যুক্তরাস্তরস,	যুক্তরাষ্ট্রসহ,	
