armenan,	আর্মেনন,	আর্মেনিয়ান,	
dara,	ডারা,	দারা,	
bihar,	বিহার,	বিহার,	
firoja,	ফিরোজ,	ফিরোজা,	
kemoney,	কেমনে,	কেমনে,	
dinifition,	ডিনিফিশন,	ডেফিনেশন,	
abhidhaanik,	অভিধানিক,	অভিধানিক,	
pratisthar,	প্রতিষ্ঠার,	প্রতিষ্ঠার,	
ganaparibahan,	গণপরিবহান,	গণপরিবহন,	
dhhaby,	ঢববী,	ঢাবি,	
tafsirer,	তফসিরের,	তাফসীরের,	
zojjyota,	যোজ্যতা,	যোজ্যতা,	
kartana,	কর্তন,	করতনা,	
akhaate,	আখাতে,	একহাতে,	
deeares,	ডায়ের,	ডিআরএস,	
hori,	হরি,	হরি,	
grambaaseer,	গ্রামবাসীর,	গ্রামবাসীর,	
asamanyo,	আসমান্য,	অসামান্য,	
uipoka,	উইপক,	উইপোকা,	
patiganit,	পতিগণিত,	পাটিগণিত,	
chondrimaa,	চন্দ্রিমা,	চন্দ্রিমা,	
algorithm,	অ্যালগোরিম,	এলগরিদম,	
chaudhoorir,	চৌধ্রির,	চৌধুরীর,	
hamasa,	হামস,	হোমস,	
oitijhyo,	ঐতিহ্য,	ঐতিহ্য,	
mutar,	মুটর,	মুতার,	
treend,	ট্রিন্ড,	ট্রেন্ড,	
techno,	টেকনো,	টেকনো,	
harano,	হারানো,	হারান,	
bosonto,	বসন্ত,	বসন্ত,	
osommotite,	অসম্মিতে,	অসম্মতি,	
itastato,	ইতসসত,	ইতস্ততঃ,	
laisens,	লাইেন্স,	লাইসেন্স,	
haripur,	হারিপুর,	হরিপুর,	
kampito,	কম্পিত,	কম্পিত,	
raha,	রহ,	রঃ,	
janaar,	জানার,	জানার,	
manushder,	মানুষদের,	মানুষদের,	
kaaferder,	কাফারদের,	কাফেরদের,	
carzar,	কার্জার,	চার্জার,	
komaatei,	কমাতেই,	কমাতেই,	
ashonka,	অসংকা,	আশঙ্কা,	
kar,	কার,	কর,	
sachetanotamulok,	সচেনতানামূলক,	সচেতনতামূলক,	
lishenshe,	লিসেন্স,	লাইসেন্স,	
pratishthanik,	প্রতিষ্ঠানিক,	প্রাতিষ্ঠানিক,	
mitro,	মিত্রো,	মিত্র,	
jyesthaa,	জেষ্ঠা,	জ্যেষ্ঠা,	
panchbar,	পাঁচবার,	পাঁচবার,	
olongkoron,	অলংকরণ,	অলঙ্করণ,	
ghoor,	ঘোর,	ঘুর,	
military,	মিলিটারি,	মিলিটারি,	
konphlikt,	কনফলিক্ট,	কনফ্লিক্ট,	
homesh,	হোমেশ,	হোমস,	
sbajaner,	স্বজনের,	স্বজনের,	
samany,	সামানি,	সামান্য,	
satarkokari,	সতারকারি,	সতর্ককারী,	
eenjil,	এঞ্জেল,	ইঞ্জিল,	
bivonno,	বিভন্ন,	বিভন্ন,	
korimpoor,	করিমপুর,	করিমপুর,	
heris,	হেরিস,	হ্যারিস,	
changee,	চ্যাঞ্জ,	চেঞ্জ,	
royalty,	রয়েলটি,	রয়্যালটি,	
bhenuser,	ভেনুসের,	ভেনাসের,	
sahoocorzo,	সহোপর্য,	সাহচর্য,	
bodhirota,	বধধীরতা,	বধিরতা,	
muhammadi,	মুহাম্মাদী,	মুহাম্মদী,	
sangbadmadhyomgulote,	সংবাদমধমোলোতে,	সংবাদমাধ্যমগুলোতে,	
japanira,	জাপানীরা,	জাপানিরা,	
carpeet,	কারপেট,	কার্পেট,	
moonshi,	মুনসী,	মুন্সি,	
dipke,	দিপকে,	দ্বীপকে,	
satarkabhabey,	সতররকভাবে,	সতর্কভাবে,	
sahapathike,	সহপাঠিকে,	সহপাঠীকে,	
bodhir,	বধির,	বধির,	
kanader,	কানাদের,	কণাদের,	
youth,	ইউথ,	ইয়ুথ,	
peterkey,	পেটারকে,	পিটারকে,	
di,	ডি,	দিই,	
rupert,	রূপার্ট,	রুপার্ট,	
gatee,	গেট,	গ্যেটে,	
jamkalo,	জামকালো,	জমকালো,	
gabeshana,	গবেষণা,	গবেষনা,	
jokrito,	যকৃত,	যকৃৎ,	
shikkhagato,	শিক্ষাগত,	শিক্ষাগত,	
naazee,	নাজী,	নাত্সি,	
godabari,	গদাবারী,	গোদাবরী,	
samratra,	সাম্রত্র,	সম্রাটরা,	
jolrang,	জলরাং,	জলরঙ,	
kingdam,	কিংদমম,	কিংডম,	
ingrezra,	ইংরেজার,	ইংরেজরা,	
townshhip,	তনসিপ,	টাউনশিপ,	
olympik,	অল্মিপিক,	অলিম্পিক,	
dhache,	ধাছে,	ধাঁচে,	
nabom,	নবম,	নবম,	
nuhas,	নুহাস,	নুহাশ,	
bii,	বি,	বি,	
nikeela,	নীকেলা,	নিকেল,	
monzooshree,	মঞ্জুসুরি,	মঞ্জুশ্রী,	
dorgah,	দরগা,	দরগাহ,	
dholeshwari,	ধলেশ্বরী,	ধলেশ্বরী,	
toufiq,	তৌফিক,	তৌফিক,	
darji,	দর্জি,	দরজি,	
olngkoron,	অল্করণ,	অলঙ্করণ,	
ganonatyo,	গণনাত্য,	গণনাট্য,	
mane,	মান,	মানে,	
shamijir,	স্বামীজীর,	স্বামীজীর,	
fanding,	ফাযান্ডিং,	ফান্ডিং,	
paitey,	পাইতে,	পাইতে,	
toruner,	তরুণের,	তরুণের,	
sthaponagulor,	স্থানগালোর,	স্থাপনাগুলোর,	
nabhela,	নেভেল,	নভেল,	
agora,	অগোরা,	আগোরা,	
prakalpao,	প্রকালপু,	প্রকল্পও,	
eshiyatika,	এসিয়টিক,	এশিয়াটিক,	
gandhiir,	গান্ধীর,	গান্ধীর,	
taiwan,	টাইভান,	তাইওয়ান,	
attaar,	আত্মার,	আত্তার,	
jesh,	জেস,	জেস,	
pyore,	প্য়ের,	পিওর,	
dece,	ডিসে,	ডেকে,	
bhaabaaponno,	ভবাপন্ন,	ভাবাপন্ন,	
eevil,	ইভিল,	ইভিল,	
shkirt,	স্কার্ট,	স্কার্ট,	
dankaan,	দাককান,	ডানকান,	
dhormee,	ধর্মে,	ধর্মী,	
chhuti,	ছুটি,	ছুটি,	
jamjamat,	জামামাত,	জমজমাট,	
notunotto,	নতুনত্ব,	নতুনত্ব,	
bhaskor,	ভাস্কর,	ভাস্কর,	
sikhra,	শিখরা,	শিখরা,	
modelkey,	মোদেলকে,	মডেলকে,	
transphorm,	ট্রান্সফোর্টার,	ট্রান্সফর্ম,	
abhidhaaneec,	অভিধানিক,	অভিধানিক,	
dhwajbhango,	ধ্বাংওগ্য,	ধ্বজভঙ্গ,	
gonohotyakey,	গোনহ্যাকে,	গণহত্যাকে,	
shommoteer,	সম্মতির,	সম্মতির,	
byomkesh,	ব্যামকেস,	ব্যোমকেশ,	
moshjidshoho,	মোশিদহ,	মসজিদসহ,	
tusho,	তুষ,	তুসো,	
esoosiyetasa,	এসোসিয়েস,	এসোসিয়েটস,	
grambasi,	গ্রামবাসী,	গ্রামবাসী,	
elaakaatir,	এলাকাটির,	এলাকাটির,	
monhputa,	মনহপুতা,	মনঃপুত,	
uparjaner,	উপার্জনের,	উপার্জনের,	
foreks,	ফরেক্স,	ফরেক্স,	
jhonkar,	ঝনকার,	ঝঙ্কার,	
oitijjo,	ঐতিজ্য,	ঐতিহ্য,	
aashtikotaa,	আস্টিকোতা,	আস্তিকতা,	
kemane,	কেমনে,	কেমনে,	
gunjey,	গুঞ্জে,	গুঁজে,	
ghatkey,	ঘটকে,	ঘাটকে,	
gronthotikey,	গ্রন্থিকে,	গ্রন্থটিকে,	
karle,	করলে,	করলে,	
niutrina,	নিউট্রিন,	নিউট্রিনো,	
saptahokal,	সপ্তাথল,	সপ্তাহকাল,	
karleo,	করলেও,	করলেও,	
kumarir,	কুমারির,	কুমারীর,	
bishwashe,	বিশ্বাসে,	বিশ্বাসে,	
merjito,	মার্জিত,	মার্জিত,	
temani,	তেমানি,	তেমনই,	
shitey,	শিতে,	শীতে,	
sollallhoo,	সোল্লাল্যুহ,	সল্লাল্লাহু,	
adhito,	অধিত,	অধীত,	
abatar,	অবতার,	অবতার,	
aarakaner,	আরাকানের,	আরাকানের,	
fatakasto,	ফটকাস্ট,	ফাটাকেষ্ট,	
orbit,	অরবিত,	অরবিট,	
daeel,	ডেল,	ডেইল,	
agamanke,	আগমানকে,	আগমনকে,	
prakalpagulor,	প্রকালপলগুরো,	প্রকল্পগুলোর,	
bhugole,	ভুগলে,	ভূগোলে,	
poripakey,	পরিপকে,	পরিপাকে,	
pleta,	প্লেট,	প্লেটো,	
sofir,	সফীর,	সোফির,	
jyaishtha,	জ্যাষ্থ,	জ্যৈষ্ঠ,	
rca,	রিক,	আরসিএ,	
bites,	বিটেস,	বাইটস,	
bibechya,	বিবেচ্য,	বিবেচ্য,	
hart,	হর্ট,	হার্ট,	
aalkaatra,	আলকাতারা,	আলকাতরা,	
uzbekistan,	উজবেক্ষেত,	উজবেকিস্তান,	
lutharana,	লুথারন,	লুথেরান,	
amanisa,	অমনিস,	অমানিশা,	
prabhritite,	প্রভৃতিতে,	প্রভৃতিতে,	
srichoitonnodeb,	শ্রীচৈননটাবেদ,	শ্রীচৈতন্যদেব,	
sojja,	সোজ,	সজ্জা,	
potochitrer,	পতচিত্রের,	পটচিত্রের,	
manabmaner,	মানবমানের,	মানবমনের,	
ghumachchilo,	ঘুমচ্ছিল,	ঘুমাচ্ছিল,	
pratisthan,	প্রতিষ্ঠান,	প্রতিষ্টান,	
harbar,	হারবার,	হারবার,	
onekeri,	অনেকারি,	অনেকেরই,	
abdoor,	আবদুর,	আবদুর,	
militaryte,	মিলিটারিতে,	মিলিটারিতে,	
ogovir,	অগভীর,	অগভীর,	
cholochchitrei,	চলচ্ছিত্রেই,	চলচ্চিত্রেই,	
sonatani,	সোনাটানি,	সনাতনী,	
shikarke,	শিকারকে,	শিকারকে,	
shivraj,	শিবরাজ,	শিবরাজ,	
bissonath,	বিশ্ননাথ,	বিশ্বনাথ,	
amarika,	আমরিকা,	আমেরিকা,	
chaudhuriyo,	চৌধুরিয়,	চৌধুরীও,	
holuder,	হলুদের,	হলুদের,	
gavaskar,	গভাস্কার,	গাভাস্কার,	
shomrat,	সম্রাত,	সম্রাট,	
associatis,	অ্যাসোকোসিটিস,	এসোসিয়েটস,	
ragke,	রাগকে,	রাগকে,	
samley,	সামেল,	সামলে,	
laiseensa,	লাইেেন্স,	লাইসেন্স,	
plack,	প্লক,	প্ল্যাক,	
gonna,	গণ্যা,	গননা,	
germanyteo,	জার্মানিতেও,	জার্মানিতেও,	
kabutorer,	কবুুতের,	কবুতরের,	
shector,	সেক্টর,	সেক্টর,	
shikshakromer,	শিক্ষাক্রমের,	শিক্ষাক্রমের,	
dayana,	ডায়ন,	ডায়না,	
suchonakal,	সূচনাকাল,	সূচনাকাল,	
bahubar,	বহুবার,	বহুবার,	
deqe,	ডেকে,	ডেকে,	
grambaseeder,	গ্রামবাসীদের,	গ্রামবাসীদের,	
varshon,	ভার্সন,	ভারশন,	
azimkey,	আজিমকে,	আজিমকে,	
dacope,	ডাকপে,	দাকোপ,	
jaistha,	জৈষ্ঠ,	জ্যৈষ্ঠ,	
inapharameshhana,	ইনফার্নেশন,	ইনফরমেশন,	
ancient,	অ্যান্সিজ,	এনসিয়েন্ট,	
adhunik,	আধুনিক,	আধুনিক,	
meeseenjar,	মেশিঞ্জার,	মেসেঞ্জার,	
arunima,	অরুণিমা,	অরুণিমা,	
oitijhye,	ঐতিহ্যে,	ঐতিহ্যে,	
ogradut,	অগ্রাদুত,	অগ্রদূত,	
sompadon,	সম্পাদন,	সম্পাদন,	
kokeyin,	কোকেন,	কোকেইন,	
saphallyar,	সফললয়ার,	সাফল্যের,	
dhaleshorii,	ধােেশ্রী,	ধলেশ্বরী,	
seeramiker,	সিরামিকের,	সিরামিকের,	
licencedhari,	লিকেস্চ্যারীদ,	লাইসেন্সধারী,	
heemi,	হিমি,	হিমি,	
golakritir,	গোলাকৃতির,	গোলাকৃতির,	
kaaferderke,	কাফারদেরকে,	কাফেরদেরকে,	
chalochchitraeeo,	চলচ্ছিরা,	চলচ্চিত্রেও,	
favourite,	ফফোরিতে,	ফেভারিট,	
shcholarshhip,	স্কলারশিপ,	স্কলারশিপ,	
koilash,	কৈলাশ,	কৈলাস,	
parkasha,	পার্কস,	পার্কস,	
postay,	পোস্টে,	পোস্টে,	
olpoi,	অল্পই,	অল্পই,	
keo,	কিও,	কেউ,	
holdim,	হলদমম,	হোল্ডিং,	
progresh,	প্রগ্রেস,	প্রগ্রেস,	
shikshakke,	শিক্ষককে,	শিক্ষককে,	
abhijojan,	অভিযোন,	অভিযোজন,	
bonsho,	বংশ,	বংশ,	
besharkarikarone,	বেসরকারীকরণে,	বেসরকারিকরণ,	
breakthrough,	ব্রেক্ষরোথ,	ব্রেকথ্রু,	
maunjiley,	মাউজিলে,	মঞ্জিলে,	
noiteekotar,	নৈতিকতার,	নৈতিকতার,	
bojhar,	বোঝার,	বোঝার,	
zyaka,	জ্যাকা,	জ্যাক,	
sotorkokari,	সতর্কারী,	সতর্ককারী,	
bhimsen,	ভিমসেন,	ভীমসেন,	
baire,	বৈয়ের,	বাইরে,	
blacker,	ব্লকের,	ব্ল্যাকের,	
bhor,	ভোর,	ভর,	
samanwitabhabe,	সমানিনভাবে,	সমন্বিতভাবে,	
ekshapreshhana,	এক্সপ্রেশন,	এক্সপ্রেশন,	
purohitra,	পুরহিত্রা,	পুরোহিতরা,	
ajuhath,	অঝুহঃ,	অজুহাত,	
aakaabaar,	আকাবার,	আকাবার,	
obhigomon,	অভিমোন,	অভিগমন,	
debholapar,	ডেভলপার,	ডেভলপার,	
nathibhukta,	নথিভুক্ত,	নথিভুক্ত,	
heza,	হেজ,	হেজ,	
poscime,	পশ্চিমে,	পশ্চিমে,	
rilayensha,	রিলাইন্স,	রিলায়েন্স,	
shiqha,	শিখা,	শিখ,	
dor,	ডোর,	দোর,	
debeting,	ডেবেটিং,	ডিবেটিং,	
planey,	প্লানে,	প্লেনে,	
laiseensim,	লাইেসেংসিং,	লাইসেন্সিং,	
karpeta,	কর্পেট,	কার্পেট,	
ssosha,	শশা,	শশা,	
tolemyr,	তলেমির,	টলেমির,	
taale,	তালে,	তালে,	
touraat,	তৌরাত,	তওরাত,	
naditike,	নদীটিকে,	নদীটিকে,	
shikshakder,	শিক্ষাকদের,	শিক্ষকদের,	
arthonitike,	অর্থনীতিকে,	অর্থনীতিকে,	
dailee,	ডাইলি,	ডেইলি,	
horidware,	হরিদরে,	হরিদ্বারে,	
abodamaner,	অবদমানের,	অবদমনের,	
folok,	ফলক,	ফলক,	
forid,	ফরিদ,	ফরিদ,	
dhnoka,	ঢ্বকা,	ধোঁকা,	
stoner,	স্টনের,	স্টোনের,	
danobder,	দানবদের,	দানবদের,	
economics,	ইকোনমিক্স,	ইকোনমিকস,	
cholocchitroke,	চলচ্চিত্রকে,	চলচ্চিত্রকে,	
ganona,	গণনা,	গননা,	
renoo,	রেনো,	রেনো,	
baabul,	বাবুল,	বাবুল,	
weenis,	ভেনিস,	ভেনিস,	
sangasthatike,	সংস্থাটিকে,	সংস্থাটিকে,	
hevy,	হেবি,	হেভি,	
sikkhakromer,	শিক্ষাক্রমের,	শিক্ষাক্রমের,	
bolokarok,	বলকারক,	বলকারক,	
qraima,	ক্রাইম,	ক্রাইম,	
chirkut,	চিরকুত,	চিরকুট,	
bjp,	বিজিপ,	বিজেপি,	
panero,	পানারো,	পনের,	
bhabatarini,	ভবতরাণীরী,	ভবতারিণী,	
sutir,	সুতীর,	সুতির,	
panera,	পানেরা,	পনের,	
associetes,	অ্যাসোসিটিস,	এসোসিয়েটস,	
heavi,	হেভি,	হেভি,	
bajareo,	বাজারেও,	বাজারেও,	
deputee,	দিপুতি,	ডেপুটি,	
kromo,	ক্রমো,	ক্রম,	
ghumachche,	ঘুমচ্ছে,	ঘুমাচ্ছে,	
nikate,	নিকাতে,	নিকটে,	
nyeta,	ন্যাট,	ম্যাট,	
ceramics,	কেরমেক্স,	সিরামিকস,	
ghantiti,	ঘানটিটি,	ঘাঁটিটি,	
sanaktokaron,	সনাক্তকরণ,	সনাক্তকরণ,	
spreedashita,	স্প্রদিশটি,	স্প্রেডশীট,	
oitijjhe,	ঐতিহ্যে,	ঐতিহ্যে,	
anhu,	আনুহ,	আনহু,	
baharampoorer,	বহহারপুরের,	বহরমপুরের,	
jatok,	যতক,	জাতক,	
naobihar,	নৌবিহার,	নৌবিহার,	
khorshed,	খর্ষেদ,	খোরশেদ,	
rautine,	রাউটিন,	রুটিন,	
brooklyn,	ব্রুকিং,	ব্রুকলিন,	
somabeshti,	সমাবশ্ষেটি,	সমাবেশটি,	
alsara,	আলসার,	আলসার,	
sealvi,	সিলভি,	সিলভি,	
kailas,	কৈলাস,	কৈলাস,	
dunkan,	দাংকান,	ডানকান,	
nadnodeer,	নদন্দীর,	নদনদীর,	
ganohatyake,	গোনহাত্যাকে,	গণহত্যাকে,	
siddhantey,	সিদ্ধান্তে,	সিদ্ধান্তে,	
nagorikra,	নাগরিকা,	নাগরিকেরা,	
anisa,	অনিস,	আনিস,	
starker,	স্টারকের,	স্টার্কের,	
ramdhanu,	রাধানু,	রামধনু,	
nondolaal,	নন্দোলাল,	নন্দলাল,	
utkhaat,	উৎকাষট,	উত্খাত,	
shulkey,	শুলকে,	শুল্কে,	
jetei,	জেতেই,	যেতেই,	
sompadoner,	সম্পাদনের,	সম্পাদনের,	
koreem,	করিম,	করিম,	
shhepha,	সেফ,	শেফ,	
bisheshshyo,	বিশেষ্য,	বিশেষ্য,	
deputy,	ডিপুতি,	ডেপুটি,	
eemeergeency,	এমের্জানিস,	এমার্জেন্সি,	
osoborno,	অসবর্ণ,	অসবর্ণ,	
onkush,	অনুকুষ,	অংকুশ,	
dormitoree,	ডর্মিটরি,	ডরমিটরি,	
ekatto,	একাত্য,	একাত্ব,	
ipl,	আপএল,	আইপিএল,	
ceramiks,	কেরামাক্স,	সিরামিকস,	
byaboharkareederke,	ব্যবহারকারীকে,	ব্যবহারকারীদেরকে,	
shikkhartheerao,	শিক্ষার্থীরা,	শিক্ষার্থীরাও,	
chire,	চিরে,	চিরে,	
kathmaandu,	কাঠমান্দু,	কাঠমান্ডু,	
benis,	বেনিস,	ভেনিস,	
nitikatha,	নীতিকথা,	নীতিকথা,	
doonut,	দুনুট,	ডোনাট,	
bitlaser,	বিটলসের,	বিটলসের,	
bordhitangsho,	বর্ধিংক্ষ,	বর্ধিতাংশ,	
lajikar,	লাজিকার,	লজিকের,	
patthon,	পাঠান,	পঠন,	
astikota,	অস্টিকোা,	আস্তিকতা,	
protisthan,	প্রতিষ্ঠান,	প্রতিষ্টান,	
vorkendro,	ওয়ারেন্ড্র,	ভরকেন্দ্র,	
sansthaner,	সংস্থানের,	সংস্থানের,	
boarana,	বোরন,	বোরন,	
byabasthar,	ব্যবস্থার,	ব্যবস্থার,	
udbodhaner,	উদ্বোধনের,	উদ্বোধনের,	
rajtantrakey,	রাজতান্তরকে,	রাজতন্ত্রকে,	
debete,	দেবেতে,	ডিবেট,	
noitikbhabe,	নৈতিকভাবে,	নৈতিকভাবে,	
rajtantro,	রাজনাত্ত্র,	রাজতন্ত্র,	
songrahok,	সংগ্রহক,	সংগ্রাহক,	
sharoker,	শরকের,	স্মারকের,	
gujaber,	গুজবের,	গুজবের,	
bayi,	বইই,	বাঈ,	
asamonjoshopurno,	অসমানযুপরূর্ণ,	অসামঞ্জস্যপূর্ণ,	
manobsomajer,	মানবসমাজের,	মানবসমাজের,	
shikshao,	শিক্ষাও,	শিক্ষাও,	
pyaleshtainer,	প্যালেস্টেনের,	প্যালেস্টাইনের,	
arekdal,	আরেকদল,	আরেকদল,	
bbosonte,	বসন্তে,	বসন্তে,	
istone,	ইস্তনে,	স্টোন,	
idaning,	ইডনিং,	ইদানীং,	
temon,	টেমন,	তেমন,	
becha,	বেচা,	বেচা,	
durgandha,	দুর্ঘন্ধ,	দুর্গন্ধ,	
dibaag,	দিবাগ,	ডিবাগ,	
natnikey,	নাটটিকে,	নাতনীকে,	
shrabostee,	শ্রবস্তি,	শ্রাবস্তী,	
bosonte,	বসন্তে,	বসন্তে,	
munsi,	মুন্সি,	মুন্সী,	
shahabike,	সাহাবীকে,	সাহাবীকে,	
sawom,	সাম,	সাওম,	
tobey,	টবে,	টবে,	
karmokarer,	কর্মকারের,	কর্মকারের,	
vorpur,	ভর্পুর,	ভরপুর,	
kaner,	কানের,	কনের,	
cal,	কল,	চাল,	
kormopontha,	কর্মপন্থা,	কর্মপন্থা,	
brindaboner,	বিরিণ্ডবনের,	বৃন্দাবনের,	
jakrit,	যকৃত,	যকৃৎ,	
ucchosito,	উচ্চশিত,	উচ্ছসিত,	
engrejra,	ইংরেজার,	ইংরেজরা,	
rilayensa,	রিলেন্স,	রিলায়েন্স,	
shhashtra,	শাস্ত্র,	শাস্ত্র,	
selinar,	সেলিনার,	সেলিনার,	
onshogrohoner,	অংশগ্রহণের,	অংশগ্রহনের,	
probhritir,	প্রভৃতির,	প্রভৃতির,	
bulan,	বুলান,	বুলান,	
seekkhokbrindo,	শিক্ষাবৃক্দ্ব,	শিক্ষকবৃন্দ,	
areek,	এরিক,	আরিক,	
fake,	ফেঁকে,	ফাকে,	
noiteekota,	নৈতিকতা,	নৈতিকতা,	
uttor,	উত্তর,	উওর,	
temanti,	টেমন্টি,	তেমনটি,	
mishal,	মিশাল,	মিশাল,	
paare,	পারে,	পাড়ে,	
ganana,	গণনা,	গণনা,	
janmat,	জন্মাত,	জন্মাত,	
batsmanei,	বৎসমানেই,	ব্যাটসম্যানই,	
nyaper,	ম্যাপের,	ন্যাপের,	
residance,	রেসিডান্স,	রেসিডেন্স,	
gosthii,	গোষ্ঠী,	গোষ্ঠীই,	
graambaseeo,	গ্রামাবাসিও,	গ্রামবাসীও,	
samratder,	সম্রাতদের,	সম্রাটদের,	
seqtara,	সেক্টর,	সেক্টর,	
bhiqtara,	ভিক্টার,	ভিক্টর,	
akkaash,	আকাশ,	আককাস,	
bishaashke,	বিশাষকে,	বিশ্বাসকে,	
krisenter,	ক্রিসেন্টের,	ক্রিসেন্টের,	
azim,	আজিম,	আজিম,	
chyeta,	চ্যাত,	চ্যাট,	
iyanki,	যয়াঙ্ক,	ইয়াংকি,	
gage,	গেগে,	গেজ,	
karta,	করতা,	করতা,	
deelibhara,	ডেলিভার,	ডেলিভার,	
dhanyi,	ধানই,	ধন্যি,	
iukyaliptasa,	ইউক্যালিপ্যাস্ট,	ইউক্যালিপ্টাস,	
dinara,	দিনার,	ডিনার,	
silwar,	সিলভার,	সিলভার,	
tongaa,	তঙ্গা,	টোঙ্গা,	
roktokshoroney,	রক্তক্রণণে,	রক্তক্ষরণে,	
tanight,	তনিঘ্,	টুনাইট,	
harrisoner,	হ্যারিশনের,	হ্যারিসনের,	
saya,	সায়,	সোয়া,	
directarate,	ডিরেক্টরটার,	ডিরেক্টরেট,	
smaroker,	স্মরকের,	স্মারকের,	
haphej,	হাফেজ,	হাফেয,	
modeltigulo,	মোদেলগুলো,	মডেলগুলো,	
aaminaar,	আমিনার,	আমিনার,	
hoomes,	হুমেস,	হোমস,	
lyaataa,	ল্যাট,	ল্যাটা,	
vimsen,	ভিমসেন,	ভীমসেন,	
cholochchitreo,	চলচ্ছিত্রে,	চলচ্চিত্রেও,	
shyooter,	শ্যুতের,	শ্যুটার,	
landin,	লণ্ডিং,	ল্যান্ডিং,	
builder,	বিল্ডের,	বিল্ডার,	
bodqa,	বদকা,	ভদকা,	
khaaneker,	খানকের,	খানেকের,	
utkhater,	উৎকাথের,	উৎখাতের,	
raktaksharaney,	রক্তকর্ণণে,	রক্তক্ষরণে,	
shaarthe,	সর্থে,	স্বার্থে,	
riphleqsa,	রাইফ্লেক্স,	রিফ্লেক্স,	
gaafeeloti,	গাফিলাটি,	গাফিলতি,	
ashonka,	অসংকা,	আশংকা,	
chintaikari,	চিন্তাকারী,	ছিনতাইকারী,	
bonoshree,	বনস্রী,	বনশ্রী,	
dhhaloor,	ঢালুর,	ঢালুর,	
shastro,	শাস্ত্র,	শাস্ত্র,	
sangbadmadhyome,	সংবাদমা্ধে,	সংবাদমাধ্যমে,	
kkomatei,	কমাতেই,	কমাতেই,	
pracharana,	প্রচারণা,	প্রচারণা,	
byomkes,	ব্যামকেস,	ব্যোমকেশ,	
grambasee,	গ্রাম্বাসী,	গ্রামবাসী,	
harir,	হ্যারির,	হরির,	
zillul,	জিল্লুল,	জিল্লুল,	
ekla,	একলা,	একলা,	
mitrao,	মিত্রো,	মিত্রও,	
boikalyo,	বৈকাল্য,	বৈকল্য,	
kuley,	কুলে,	কুলে,	
protimar,	প্রতিমার,	প্রতিমার,	
addabaz,	আদ্যাবাজ,	আড্ডাবাজ,	
ganonanatto,	গণনান্ত্ব,	গণনাট্য,	
hirani,	হিরণী,	হিরানি,	
qloud,	ক্লাড,	ক্লাউড,	
parisankhanvid,	পরিসংখাযানিধ,	পরিসংখ্যানবিদ,	
vumija,	ভুমিজা,	ভূমিজ,	
moshjidke,	মোশজিকে,	মসজিদকে,	
ghursen,	ঘুরসেন,	ঘুরেছেন,	
oshamanno,	অসামান্য,	অসামান্য,	
kanake,	কানাকে,	কণাকে,	
patigoniter,	পতিগণিতের,	পাটিগণিতের,	
abhidhaneek,	অভিধানিক,	অভিধানিক,	
hugh,	হুগ,	হিউজ,	
borana,	বরণা,	বোরন,	
spenser,	স্পেন্সের,	স্পেন্সার,	
asar,	আসার,	আসর,	
keuyi,	কেউই,	কেউই,	
sontoshpur,	সন্ত্ষসপুর,	সন্তোষপুর,	
sangosthagulo,	সংস্থাগুলো,	সংস্থাগুলো,	
monohputa,	মনোপপুতা,	মনঃপুত,	
besoor,	বেসুর,	বেসুর,	
bahati,	বহতি,	বাহাতি,	
vince,	ভাইন,	ভিন্স,	
daakteekiter,	দাক্তিকিতের,	ডাকটিকিটের,	
kalniir,	কালনীর,	কালনীর,	
ganana,	গণনা,	গননা,	
manzurul,	মন্জুরুল,	মনজুরুল,	
nagaland,	নাগল্যান্ড,	নাগাল্যান্ড,	
chalo,	চালো,	চলো,	
mitrader,	মিত্রদের,	মিত্রদের,	
biswash,	বিশ্বাস,	বিশ্বাস,	
bbiswashi,	বিশ্বাসী,	বিশ্বাসই,	
rajotwo,	রাজত্ব,	রাজত্ব,	
bifal,	বিফল,	বিফল,	
phirth,	ফির্থ,	ফার্থ,	
ketechhilo,	কেটেছিল,	কেটেছিল,	
sachetanvabe,	সচেতনভাবে,	সচেতনভাবে,	
agara,	অগার,	আগোরা,	
vittiow,	ভিত্যিও,	ভিত্তিও,	
nikel,	নীকেল,	নিকেল,	
bboponer,	বপনের,	বপনের,	
bondhuvabaponyo,	বন্ধভাবন্যুপ,	বন্ধুভাবাপন্ন,	
maile,	মেলে,	মাইলি,	
bimaataa,	বিমতা,	বিমাতা,	
kaferderke,	কফফাডেরকে,	কাফেরদেরকে,	
nirvahi,	নির্বাহী,	নির্বাহি,	
bonovumite,	বনভূমিতে,	বনভূমিতে,	
katbey,	কাটবে,	কাটবে,	
radhanagar,	রাধনাগর,	রাধানগর,	
bardhitansh,	বর্ধিনটাস,	বর্ধিতাংশ,	
hastantar,	হস্তানতার,	হস্তান্তর,	
sambhabonao,	সম্ভাবনা,	সম্ভবনাও,	
qyandi,	ক্যান্ডি,	ক্যান্ডি,	
bodna,	বদনা,	বদনা,	
shukraanu,	শুক্রাণু,	শুক্রানু,	
naaneer,	নানীর,	নানীর,	
welaqama,	ওয়েলেমা,	ওয়েলকাম,	
chamoski,	চমস্কি,	চমস্কি,	
aipiela,	এইপাইল,	আইপিএল,	
deembakriti,	দিম্বাককৃতি,	ডিম্বাকৃতি,	
