nirmaankaj,	নির্মাঙ্জক,	নির্মাণকাজ,	
shnaipara,	স্নাইপার,	স্নাইপার,	
noiteekota,	নৈতিকতা,	নৈতিকতা,	
ooporostho,	উপরপ্ষথ,	উপরস্থ,	
omittrakkhor,	অমিত্রক্ষর,	অমিত্রাক্ষর,	
inphormation,	ইনফোরেশন,	ইনফরমেশন,	
shikkhagato,	শিক্ষাগত,	শিক্ষাগত,	
eparjonta,	এপরাজন্ত,	এপর্যন্ত,	
sotorkokaree,	সতরকরারী,	সতর্ককারী,	
monohputa,	মনঃপুত,	মনঃপুত,	
kash,	কাশ,	কাস,	
bonaa,	বনা,	বোনা,	
banduk,	বাণ্দুক,	বন্দুক,	
qulim,	কুলিং,	কুলিং,	
songbadmadhyome,	সংবাদ্ধম্যে,	সংবাদমাধ্যমে,	
degreer,	ডেগ্রীর,	ডিগ্রির,	
bosontokey,	বনস্তকে,	বসন্তকে,	
suparahiroo,	সুপারারুরী,	সুপারহিরো,	
pooding,	পোডিং,	পুডিং,	
basate,	বাসতে,	বাসাতে,	
kunti,	কান্তি,	কুন্তী,	
byaboharkareei,	ব্যবহারকারী,	ব্যবহারকারীই,	
soundarjyo,	সৌন্দর্য্য,	সৌর্ন্দয্য,	
bahati,	বাহাটি,	বাহাতি,	
poorohitke,	পুরহিত্বকে,	পুরোহিতকে,	
rajnoiteek,	রাজন্তিক,	রাজনৈতীক,	
phoolkopi,	ফুলককি,	ফুলকপি,	
teemothi,	তিমোি,	টিমোথি,	
definishhion,	ডেফেনিশন,	ডেফিনেশন,	
troup,	ট্রাপ,	ট্রুপ,	
gaugee,	গৌগী,	গেজ,	
sastra,	সাস্ত্র,	শাস্ত্র,	
apadan,	অপাদন,	অপাদান,	
messanger,	মেসেঙ্গের,	মেসেঞ্জার,	
uparjaner,	উপর্জানের,	উপার্জনের,	
dormetori,	দর্মেরি,	ডরমিটরি,	
kormyi,	করমমী,	কর্মই,	
rilayeensa,	রিলাইন্স,	রিলায়েন্স,	
sinaake,	সিনােকে,	সিনাকে,	
vagini,	ভাগিনি,	ভগিনী,	
addabaz,	আদ্যাববাজ,	আড্ডাবাজ,	
sammatir,	সমমতির,	সম্মতির,	
kromo,	ক্রমো,	ক্রম,	
dormitori,	দর্মীতি,	ডরমিটরি,	
jatata,	জততা,	যতোটা,	
avetara,	অভেতার,	অবতার,	
shommotite,	সম্তিতে,	সম্মতিতে,	
gondhe,	গণ্ধে,	গন্ধে,	
janomukhee,	জনমুখী,	জনমুখী,	
vaphara,	ভাফার,	বাফার,	
artherer,	অর্থেরের,	আর্থারের,	
promotioney,	প্রমোেন,	প্রোমোশনে,	
chalachchitratike,	চলচিচ্তিত্রীকে,	চলচ্চিত্রটিকে,	
torunra,	তরাণ্র,	তরুণরা,	
deenes,	ডেনেস,	দীনেশ,	
aalkaatraa,	আলকতত্রা,	আলকাতরা,	
shreemoti,	শ্রীমটি,	শ্রীমতি,	
tate,	তাতে,	তাতে,	
asirbad,	অসির্বাদ,	আশির্বাদ,	
bhenisa,	ভেনিস,	ভেনিস,	
kinto,	কিন্ত,	কিনত,	
ahong,	আহন্গ,	অহং,	
byabosthar,	ব্যবস্থার,	ব্যাবস্থার,	
jemy,	জেমি,	জেমি,	
prapokke,	প্রপপ্কে,	প্রাপককে,	
proshtotto,	প্রস্তত্ত্ব,	প্রস্ত্তত,	
machsaho,	মাসহহ,	মাছসহ,	
eksathe,	একসেথে,	একসাথে,	
alpo,	আল্প,	অল্প,	
keyboard,	কেওবার্ড,	কীবোর্ড,	
nagarikderkey,	নাগারিগ্রকের,	নাগরিকদেরকে,	
joubonbotee,	জবনব্তী,	যৌবনবতী,	
gaziipur,	গজীপুর,	গাজীপুর,	
voolapuk,	ভোলাপুক,	ভোলাপুক,	
projanankal,	প্রজানন্যক,	প্রজননকাল,	
dang,	ডাং,	ডং,	
vastuvad,	ভাষ্তুবাদ,	বস্তুবাদ,	
kode,	কোডে,	কোড,	
kousholgoto,	কৌষগগ্ত,	কৌশলগত,	
meshenger,	মেসেেজের,	মেসেঞ্জার,	
michhilti,	মিচিতি,	মিছিলটি,	
armeenian,	আর্মেনিয়ান,	আর্মেনিয়ান,	
ayantarqatiqa,	অন্টার্টিক্ট,	অ্যান্টার্কটিকা,	
pade,	পাদে,	পাড়ে,	
shyutara,	স্যাটার,	শ্যুটার,	
arbit,	আর্বিত,	অরবিট,	
aaireshe,	আইরেশে,	আইরেসে,	
gaichey,	গাইছে,	গাইছে,	
rushad,	রুশদ,	রুশদ,	
elakatikay,	এলাকটিকে,	এলাকাটিকে,	
nirdesika,	নির্দেকিক,	নির্দেশিকা,	
truup,	ট্রাপু,	ট্রুপ,	
turqamena,	তার্কেমেন,	তুর্কমেন,	
dhaleshwari,	ধালেশ্ববারী,	ধলেশ্বরী,	
moqam,	মোকাম,	মোকাম,	
abosore,	অবসরে,	অবসরে,	
lyanda,	ল্যান্ড,	ল্যান্ড,	
bharson,	ভার্ষণ,	ভারশন,	
nilkamol,	নিলকমল,	নীলকমল,	
shchalastik,	স্কালস্তিক্তিক,	স্কলাস্টিক,	
khali,	খালি,	খালি,	
hitokor,	হিতকর,	হিতকর,	
purple,	পারপ্লে,	পার্পেল,	
patisapta,	পতিসাপ্ত,	পাটিসাপটা,	
madhoori,	মধুরী,	মাধুরী,	
turista,	তুরিষ্ট,	টুরিস্ট,	
liseensee,	লিসিন্সি,	লাইসেন্স,	
nodimatrik,	ননমাদিত্রিক,	নদীমাতৃক,	
mohammad,	মহম্মদ,	মুহাম্মদ,	
lyataa,	ল্যাট,	ল্যাটা,	
yura,	ওউরা,	ইউরো,	
deputy,	ডেপুটি,	ডেপুটি,	
akkharkey,	অক্ষারকে,	অক্ষরকে,	
jonesh,	জনেশ,	জোন্স,	
gandhiir,	গান্ধীর,	গান্ধীর,	
pratijogita,	প্রতিযোগিত,	প্রতিযোগীতা,	
amiretus,	অমিরেটস,	এমিরেটাস,	
naraphoka,	নরাফাক,	নরফোক,	
juboksoho,	জববসহহ,	যুবকসহ,	
biplobir,	বিপ্ববীর,	বিপ্লবীর,	
silver,	সিলভের,	সিলভার,	
gronthati,	গ্রন্থাটি,	গ্রন্থটি,	
chanake,	চানকে,	ছানাকে,	
biplabeer,	বিপ্ববারী,	বিপ্লবীর,	
bhugarbhe,	ভূগর্গে,	ভূগর্ভে,	
bupher,	বুফের,	বাফার,	
digreeke,	ডিগ্রীকে,	ডিগ্রিকে,	
somonwitobhabey,	সমম্নিতভাবে,	সমন্বিতভাবে,	
gorrer,	গর্ের,	গোরের,	
chirakumari,	চিরকুমারী,	চিরকুমারী,	
teenti,	টেনটি,	তিনটি,	
yeaster,	ইয়াস্টার,	ইস্টের,	
chhotto,	ছত্ত,	ছোট্ট,	
tourist,	তরিউস্ট,	টুরিস্ট,	
cilahati,	সিলাতি,	চিলাহাটি,	
naitikatavodh,	নৈতিতাকভব,	নৈতিকতাবোধ,	
iraner,	ইরানের,	ইরানের,	
gitikobita,	গিতিবকিত,	গীতিকবিতা,	
uponeesoder,	উপনিপদেের,	উপনিষদের,	
batsmanei,	ব্যাতসমেই,	ব্যাটসম্যানই,	
leaders,	লেডার্স,	লিডার্স,	
daja,	ডাজা,	ডোজো,	
mahasabha,	মহাসভা,	মহাসভা,	
byboshthar,	ব্যবস্থার,	ব্যাবস্থার,	
jyaka,	জ্যাক,	জ্যাক,	
brittakar,	বৃত্যাকার,	বৃত্তাকার,	
soores,	সুরেস,	সুরেশ,	
osamarik,	অসমারীক,	অসামরিক,	
meloonborrone,	মেলনবররণে,	মেলবোর্নে,	
dianes,	ডিনেস,	ডিএনএস,	
venishh,	ভেনিস,	ভেনিস,	
rooshod,	রুশদ,	রুশদ,	
dephinision,	ডেফেনিন,	ডেফিনেশন,	
vageryi,	ভাগেরি,	ভাগেরই,	
dhruboker,	ধর্ববকের,	ধ্রুবকের,	
kaathhaamaandu,	কাঠামন্দু,	কাঠমান্ডু,	
nodigulir,	নদিগুলির,	নদীগুলির,	
prakar,	প্রাকার,	প্রকার,	
turkii,	তূর্কি,	তুর্কি,	
heepatitis,	হিপাটিটিস,	হেপাটাইটিস,	
modeler,	মোদেলের,	মডেলের,	
nodiigulir,	নদীগুলির,	নদীগুলির,	
nodiitir,	নদিিতির,	নদীটির,	
moddhyekar,	মধ্যকেকার,	মধ্যেকার,	
sthapanatir,	স্থাপানটির,	স্থাপনাটির,	
aparogata,	অপরাগতা,	অপারগতা,	
abasarer,	অবসারের,	অবসরের,	
dhormi,	ধর্মী,	ধর্মী,	
samanyoi,	সমম্যনই,	সামান্যই,	
seemons,	সেমন্স,	সিমন্স,	
durgatsabe,	দুর্গাতসববে,	দুর্গোৎসবে,	
niurolaji,	নিউরোজাজি,	নিউরোলজি,	
jetam,	জেতাম,	যেতাম,	
shcore,	স্কোর,	স্কোর,	
madaspushto,	মাদাশপ্ষ্ট,	মদদপুষ্ট,	
atitkale,	আতিতকালে,	অতীতকালে,	
tiger,	তিইজের,	টাইগার,	
peterkay,	পেটার্কে,	পিটারকে,	
shomrat,	সম্রাত,	সম্রাট,	
ostheesandhi,	অস্থিষ্ধিন্ধী,	অস্থিসন্ধি,	
orrgho,	অর্ঘ,	অর্ঘ্য,	
sommoteer,	সম্তীর,	সম্মতির,	
protishtan,	প্রতিষ্টান,	প্রতিষ্টান,	
sumo,	সুম,	সুমো,	
cholchhe,	চলছে,	চলছে,	
prasadhani,	প্রসাধানী,	প্রসাধনী,	
shringgey,	শ্রীঙ্গে,	শৃঙ্গে,	
jater,	জাতের,	জাতের,	
bapokotor,	বাপতকর,	ব্যাপকতর,	
tale,	তালে,	তালে,	
jommu,	জম্মু,	জম্মু,	
chasee,	চাষী,	চেস,	
gaafiloti,	গাফিতি,	গাফিলতি,	
rk,	রকি,	আরকে,	
chhai,	ছাই,	ছাই,	
royalty,	রোয়াল্টি,	রয়্যালটি,	
shombhobonao,	সম্ভবননা,	সম্ভবনাও,	
turkmen,	তার্কমেন,	তুর্কমেন,	
mukhomandoley,	মুখমন্দলে,	মুখমণ্ডলে,	
songosthaner,	সংগ্ঠানের,	সংস্থানের,	
reejideencee,	রেজিনেন্সি,	রেসিডেন্স,	
durgatir,	দুর্গাটির,	দুর্গটির,	
gotibegey,	গতিবেগে,	গতিবেগে,	
harza,	হার্জা,	হার্জ,	
jacker,	জাকের,	জ্যাকের,	
mozdoor,	মজদুর,	মজদুর,	
meghacchonno,	মেহানচন্ন,	মেঘাচ্ছন্ন,	
obeekol,	অবিকল,	অবিকল,	
deebatee,	দীবতি,	ডিবেট,	
ayadabhanshada,	আজাদানশন্দ,	অ্যাডভান্সড,	
oncholgoolir,	অন্চলগুলির,	অঞ্চলগুলির,	
jibonnogor,	জীবন্গোর,	জীবননগর,	
ghoomato,	ঘোমত,	ঘুমাতো,	
gyandaas,	জ্যান্ডাস,	জ্ঞানদাস,	
nadnodir,	নাদ্দনীর,	নদনদীর,	
prokalpaguli,	প্রকাপাল্পুলি,	প্রকল্পগুলি,	
kachhakachhi,	কাচাচাছী,	কাছাকাছি,	
ghensha,	ঘেনসা,	ঘেঁষা,	
thaakeni,	থাকেনি,	থাকেনি,	
chinto,	চিন্ত,	চিনতো,	
timur,	তিমুর,	তিমুর,	
sanaktokaran,	সননকত্রণণ,	সনাক্তকরণ,	
asommati,	অসম্তি,	অসম্মতি,	
aaminaar,	আমিনার,	আমিনার,	
phutbolarer,	ফুটবালের,	ফুটবলারের,	
fising,	ফিসিং,	ফিসিং,	
highcommissionay,	হাইম্সোসিন,	হাইকমিশনে,	
tunaita,	তুনাইত,	টুনাইট,	
chalkee,	চালকি,	চালকে,	
bronze,	ব্রজঞ্জে,	ব্রোঞ্জ,	
barder,	বার্ডের,	বার্ডের,	
tochhnochh,	তছনচচ,	তছনছ,	
manush,	মানুস,	মানুষ,	
basaalt,	বাসাল্ট,	ব্যাসল্ট,	
pratisthar,	প্রতিস্ঠার,	প্রতিষ্ঠার,	
rachonakal,	রচনাকাল,	রচনাকাল,	
dharer,	ধারের,	ধরের,	
melobborner,	মেলববর্নের,	মেলবোর্নের,	
protisthan,	প্রতিষ্ঠান,	প্রতিষ্টান,	
udvaban,	উদ্ভবান,	উদ্ভাবন,	
recondishon,	রেকন্ডিন,	রিকন্ডিশন,	
chetnagato,	চেতনাগত,	চেতনাগত,	
paramartha,	পরমার্থ,	পরমার্থ,	
toranganj,	তর্ানঞ্জ,	তোরাবগঞ্জ,	
kyantana,	ক্যান্টন,	ক্যান্টন,	
parswer,	পার্সের,	পার্শ্বের,	
direktareta,	ডিরেক্রেত,	ডিরেক্টরেট,	
scolarship,	স্লোলার্সিপ,	স্কলারশিপ,	
moithili,	মৈথিলি,	মৈথিলি,	
vorodwaj,	ভররদ্যবাজ,	ভরদ্বাজ,	
sharok,	শররক,	স্মারক,	
summi,	সুম্মী,	সুমি,	
eexpreession,	এক্সপেরিশন,	এক্সপ্রেশন,	
ogobhir,	অগভীর,	অগভীর,	
dajjho,	দাঝ্য,	দাহ্য,	
ashongkai,	অসংগকাই,	আশঙ্কাই,	
tatira,	ততিরা,	তাঁতিরা,	
moshzidke,	মস্জিকদে,	মসজিদকে,	
mitrao,	মিত্রাও,	মিত্রও,	
bima,	বিমা,	বিম,	
gonna,	গণ্যা,	গননা,	
thanvee,	ঠান্বী,	থানভী,	
notti,	নতটি,	নোটটি,	
shef,	সেফ,	শেফ,	
chalchhee,	চলছী,	চলছে,	
nabhela,	নেভেল,	নভেল,	
nathivukteer,	নথিভাকুতির,	নথিভুক্তির,	
paira,	পাইর,	পাইরা,	
talgach,	তালগা,	তালগাছ,	
tarkarir,	তারকারীর,	তরকারীর,	
licencedhari,	লিকেস্সারী,	লাইসেন্সধারী,	
vugoley,	ভুগলে,	ভূগোলে,	
jerokom,	জেরকম,	যেরকম,	
sommoteete,	সম্তিতে,	সম্মতিতে,	
surti,	সূর্তি,	সুরটি,	
jes,	জেস,	জেস,	
wedanta,	উডেন্ট,	বেদান্ত,	
neshnosh,	নেনসন,	নেশনস,	
rakhtokkharoner,	রক্তক্ষণণের,	রক্তক্ষরণের,	
dhos,	ধোস,	ধস,	
brindaabane,	ব্রিন্বাবনে,	বৃন্দাবনে,	
grootha,	গ্রুথা,	গ্রোথ,	
lutharan,	লুথারণ,	লুথেরান,	
spencer,	স্পেনসের,	স্পেন্সার,	
riphleqsa,	রিফ্েক্স,	রিফ্লেক্স,	
projononkal,	প্রজনন্যকাল,	প্রজননকাল,	
seatey,	সিতে,	সিটে,	
dhaloor,	ঢালুর,	ঢালুর,	
jaatte,	জাত্তে,	জাতটি,	
venisey,	ভেনিসে,	ভেনিসে,	
bruklin,	ব্রুক্লিন,	ব্রুকলিন,	
nirapekkhotaar,	নিরপেক্ষাত,	নিরপেক্ষতার,	
mojuter,	মজুতের,	মজুতের,	
tecnocrat,	টেকন্ডরা,	টেকনোক্র্যাট,	
serverer,	সার্ভারের,	সার্ভারের,	
toroon,	তরুণ,	তরুন,	
aaireesh,	আইরিশ,	আইরিস,	
bii,	বিই,	বি,	
skalastika,	স্কালস্টিক,	স্কলাস্টিক,	
jetei,	জেতেই,	যেতেই,	
rajotwo,	রাজত্ব,	রাজত্ব,	
seguloi,	সেগুলোই,	সেগুলোই,	
charjer,	চার্জের,	চার্জার,	
zibonto,	জীবন্ত,	জীবন্ত,	
oncolsoho,	অনসললসহ,	অঞ্চলসহ,	
manushey,	মানুষে,	মানুষে,	
orthat,	অর্থাত,	অর্থাৎ,	
sangasthati,	সংগান্তি,	সংস্থাটি,	
ispredshiit,	সস্প্রেেটি,	স্প্রেডশীট,	
shorting,	শর্টিং,	সর্টিং,	
hoole,	হোলে,	হোল,	
landin,	লন্ডিন,	ল্যান্ডিং,	
uthhe,	উঠে,	উঠে,	
deefinision,	ডেফিনিশন,	ডেফিনেশন,	
monhputo,	মন্পুত,	মনঃপুত,	
yukeliptas,	ওলিপেল্টেস,	ইউক্যালিপ্টাস,	
badaghat,	বাদাঘাত,	বাদাঘাট,	
netarao,	নেতারো,	নেতারাও,	
kooda,	কোডা,	কোড,	
timoothy,	তিমোথি,	টিমোথি,	
kata,	কাটা,	কোটা,	
pratijogi,	প্রতিযোগী,	প্রতিযোগী,	
townsip,	তানসিপি,	টাউনশিপ,	
keo,	কিও,	কেউ,	
shtona,	স্টোন,	স্টোন,	
sangrahak,	সংগ্রহাহক,	সংগ্রাহক,	
korleo,	করেও,	করলেও,	
suporichito,	সুপুরিচিত,	সুপরিচিত,	
shatokeo,	শাতকে,	শতকেও,	
lendl,	লেন্ড,	লেন্ডল,	
sombhobonaao,	সম্ভবননা,	সম্ভবনাও,	
karadondey,	করাদন্দেে,	কারাদণ্ডে,	
change,	চঙ্গে,	চেঞ্জ,	
swarnali,	স্বর্ণালী,	স্বর্ণালী,	
yathaarthabhaabe,	থথ্থরভাবে,	যথার্থভাবে,	
songhar,	সংঘার,	সংহার,	
durgatsob,	দুর্গাতসব,	দুর্গোৎসব,	
dece,	ডেসে,	ডেকে,	
peeri,	পেরি,	পেরি,	
tekno,	টেকন,	টেকনো,	
gore,	গরে,	গোর,	
saatzoner,	সাতজনের,	সাতজনের,	
durbhagya,	দুর্ভাগ্য,	দূর্ভাগ্য,	
torokareer,	তরকারীর,	তরকারীর,	
murli,	মূর্লি,	মুরলী,	
baruklin,	বারুক্লিন,	ব্রুকলিন,	
rabe,	রবে,	রবে,	
jak,	জাক,	জাঁক,	
nuton,	নুটন,	নূতন,	
bifol,	বিফল,	বিফল,	
shochindro,	শচিন্দ্র,	শচীন্দ্র,	
directarate,	ডিরেক্রেতে,	ডিরেক্টরেট,	
elaakaai,	এলাকাই,	এলাকাই,	
chalochchitraeeo,	চলচিচ্ত্রী,	চলচ্চিত্রেও,	
rob,	রব,	রব,	
sangkalaner,	সংকালনের,	সংকলনের,	
vishnuke,	ভিষ্ণুকে,	বিষ্ণুকে,	
hoola,	হোলা,	হোল,	
koordider,	কর্দিদের,	কুর্দিদের,	
prithibir,	পৃথিবির,	পৃথবীর,	
uindos,	উইন্ডোস,	উইন্ডোস,	
prodiiper,	প্রদিয়ের,	প্রদীপের,	
hoil,	হইল,	হইল,	
mukhamandoler,	মুখান্দলের,	মুখমণ্ডলের,	
prajanankal,	প্রজানন্জক,	প্রজননকাল,	
samanno,	সমন্ন,	সামান্য,	
joubankale,	জৌবন্ালে,	যৌবনকাল,	
ghurtey,	ঘর্তে,	ঘুরতে,	
bikretader,	বিক্তেদের,	বিক্রেতাদের,	
bhotara,	ভোটার,	ভোটার,	
stena,	স্টেন,	স্টেন,	
prakalpoti,	প্রকাল্পতি,	প্রকল্পটি,	
showti,	শৌতি,	শোটি,	
madhobi,	মধধবী,	মাধবী,	
serverty,	সার্ভার্টি,	সার্ভারটি,	
norfolk,	নরফলল,	নরফোক,	
kona,	কোনা,	কোনা,	
fridom,	ফ্রিডোম,	ফ্রীডম,	
chatoke,	চাতকে,	ছাতকে,	
arakaner,	আরাকাণের,	আরাকানের,	
scall,	স্ক্ল,	এসকল,	
songbadmadhyamgulote,	সংগ্বদাঘমগুলোতে,	সংবাদমাধ্যমগুলোতে,	
asamanjashapurna,	অসমামপপপূর্ণ,	অসামঞ্জস্যপূর্ণ,	
byatikrami,	ব্যতিক্রমী,	ব্যতিক্রমী,	
onucheeder,	অনুচিদের,	অনুচ্ছেদের,	
taaims,	টাইমস,	টাইমস্,	
ramantik,	রামন্তিক,	রোমান্টিক,	
prabhuder,	প্রভুদের,	প্রভুদের,	
rejidence,	রেজেনেে,	রেসিডেন্স,	
azaadir,	আজাদীর,	আজাদীর,	
swajan,	স্বজান,	স্বজন,	
bangobandhu,	বাংবাংঘ্ধু,	বঙ্গবন্ধু,	
provritir,	প্রভৃতির,	প্রভৃতির,	
stonahenza,	স্টোনেহেঞ্জ,	স্টোনহেঞ্জ,	
hosney,	হস্েে,	হোসনে,	
tinage,	তিনাগে,	টিনেজ,	
chiraharit,	চিরাহারিত,	চিরহরিৎ,	
mausumei,	মাসুমেই,	মৌসুমেই,	
nirbachakder,	নির্বাচাদকের,	নির্বাচকদের,	
hizritey,	হিজরিতে,	হিজরীতে,	
ohong,	অহন্গ,	অহং,	
queri,	কুরি,	কোয়েরি,	
mette,	মেত্ে,	ম্যাট,	
twakei,	ট্বাকে,	ত্বকেই,	
moshan,	মশনন,	মোশন,	
homsher,	হম্মের,	হোমসের,	
saqara,	সাকার,	সকার,	
kingsh,	কিংং,	কিংস,	
obhaarbhiu,	অভারভুরি,	ওভারভিউ,	
bhalobaas,	ভালবাস,	ভালোবাসা,	
bhogiroth,	ভগীরত,	ভগীরথ,	
nirgun,	নির্গুণ,	নির্গুণ,	
lazika,	লাজিকা,	লজিক,	
karadonder,	করাদন্দের,	কারাদণ্ডের,	
oshamorik,	অশমমরীক,	অসামরিক,	
maadhoori,	মাধুরী,	মাধুরী,	
mosjidsoho,	মস্জিদসহ,	মসজিদসহ,	
lyaand,	লাযান্ড,	ল্যান্ড,	
prokolpogulo,	প্রকোপ্লগুলো,	প্রকল্পগুলো,	
akmato,	আকমত,	একমত,	
roy,	রো,	রায়,	
preti,	প্রেটি,	প্রিটি,	
janogananar,	জনগননার,	জনগণনার,	
debdebi,	দেবেদী,	দেবদেবী,	
saramiks,	সারমমিক্স,	সিরামিকস,	
olngkoron,	অঙ্গরণ,	অলঙ্করণ,	
fand,	ফান্ড,	ফান্ড,	
nagariker,	নাগারীকের,	নাগরিকের,	
dhani,	ধানী,	ধানি,	
bishshashi,	বিশ্বাসী,	বিশ্বাসই,	
kooshumba,	কুসম্ব,	কুশুম্বা,	
vaticaner,	ভাতিকেনের,	ভ্যাটিকানের,	
bonyopraan,	বন্যপ্রাণ,	বন্যপ্রাণ,	
kemonay,	কেমনে,	কেমনে,	
bojhey,	বঝে,	বোঝে,	
nirapekkho,	নিরপেরক্ষ,	নিরপেক্ষ,	
mookhomaundoler,	মুখান্লদের,	মুখমণ্ডলের,	
choudhooreeke,	চৌধুরীকে,	চৌধুরীকে,	
sip,	সিপ,	শিপ,	
sidharther,	শিধার্থের,	সিদ্ধার্থের,	
rahi,	রাহী,	রাহি,	
komaanndar,	কমমন্দার,	কমাণ্ডার,	
tongaa,	তঙ্গা,	টোঙ্গা,	
eshkol,	এসকল,	এসকল,	
stana,	স্টান,	স্টোন,	
dibeting,	ডিবেটিং,	ডিবেটিং,	
ishton,	ইস্টোন,	স্টোন,	
bishhnu,	বিশ্ণু,	বিষ্ণু,	
karecho,	করেছো,	করেছ,	
benis,	বেনিস,	ভেনিস,	
kottar,	কততার,	কট্টর,	
ramantic,	রামান্টিক,	রোমান্টিক,	
hurricane,	হরির্কেন,	হ্যারিকেন,	
astheesandhi,	অস্তিধিধ্ধী,	অস্থিসন্ধি,	
goore,	গুরে,	গোর,	
chalochchitreei,	চলচচচিত্রী,	চলচ্চিত্রেই,	
caramics,	কারমামিক,	সিরামিকস,	
shikarey,	শিকারে,	শিকারে,	
agomonke,	আগমন্ে,	আগমনকে,	
patthon,	পাঠন,	পঠন,	
jibjontu,	জীবন্তু,	জীবজন্তু,	
ancholsaho,	অন্চলসহহ,	অঞ্চলসহ,	
poschime,	পশ্চিমে,	পশ্চিমে,	
arifin,	আরিফিন,	আরিফিন,	
omkar,	অমকার,	ওঙ্কার,	
stylish,	স্টিলিস,	স্টাইলিশ,	
pratista,	প্রতিষ্ট,	প্রতিষ্টা,	
chaiten,	চাইটেন,	চাইতেন,	
hundayi,	হান্ডাই,	হুন্দাই,	
osontos,	অসন্তস,	অসন্তোষ,	
elaakatir,	এলাকাটির,	এলাকাটির,	
hart,	হার্ট,	হার্ট,	
adhattik,	অধাত্তিক,	আধ্যাত্মিক,	
vittiteow,	ভিত্তিব,	ভিত্তিতেও,	
chalesi,	চালেসি,	চলেছি,	
soomitrar,	সমমিত্রার,	সুমিত্রার,	
taoonsheep,	তানশুিপ,	টাউনশিপ,	
bosturyi,	বস্তুরী,	বস্তুরই,	
coda,	কোডা,	কোডা,	
uporitole,	উপরিতে,	উপরিতলে,	
sahocorrzo,	সহচরর্য,	সাহচর্য,	
votar,	ভোটার,	ভোটার,	
iukyaliptasa,	ইক্লায়ালিস্ট,	ইউক্যালিপ্টাস,	
khalidke,	খালিিকে,	খালিদকে,	
prachandota,	প্রচান্দতা,	প্রচণ্ডতা,	
ajauno,	অজানু,	অযৌন,	
brookoleen,	ব্রকুলিন,	ব্রুকলিন,	
loukikota,	লৌকিকতা,	লৌকিকতা,	
bharatey,	ভারতে,	ভারতে,	
birishirite,	বিরিশিরিতে,	বিরিশিরিতে,	
kansater,	কনসসেতের,	কানসাটের,	
silvee,	সিলভী,	সিলভি,	
sharifer,	শরিফের,	শরিফের,	
oiteejyer,	অতিয়ের,	ঐতিহ্যের,	
shangsthatir,	সংংস্ঠিতির,	সংস্থাটির,	
isosiyitasa,	ইসিিসিত,	এসোসিয়েটস,	
otiiteo,	অতিতে,	অতীতেও,	
hajeerhatt,	হাজীতা,	হাজিরহাট,	
bossontoke,	বস্ণতকে,	বসন্তকে,	
antarvuktimulak,	অন্তারতমমূল্লক,	অন্তর্ভুক্তিমূলক,	
ejenda,	এজেন্ড,	এজেন্ডা,	
tyapa,	ট্যাপ,	ট্যাপ,	
hertz,	হার্টজ,	হার্জ,	
naaji,	নাজী,	নাত্সি,	
ssahocorze,	সহচার্যের,	সাহচর্যে,	
drissogulo,	দৃষ্বগুলো,	দৃশ্যগুলো,	
skarta,	স্কর্ট,	স্কার্ট,	
khodeja,	খোদেজা,	খোদেজা,	
heeja,	হিজা,	হেজ,	
yanqee,	যান্কি,	ইয়াংকি,	
boikollyo,	বৈকল্য,	বৈকল্য,	
sakshatkarer,	সক্ষাতকারের,	সাক্ষাত্কারের,	
categoryer,	কেটোগ্রের,	ক্যাটাগরির,	
parkim,	পার্কিং,	পার্কিং,	
conseervation,	কনিস্রেভেন,	কনসারভেশন,	
bibechya,	বিবেচ্য,	বিবেচ্য,	
sossar,	সসসার,	সকার,	
ghatla,	ঘটলা,	ঘটল,	
bosante,	বসান্তে,	বসন্তে,	
sonaktokaran,	সননকত্রণণ,	সনাক্তকরণ,	
heelser,	হিলসের,	হিলসের,	
inapharameeshana,	ইনফারমেশন,	ইনফরমেশন,	
qor,	কর,	কর,	
cholochchitrei,	চলচচিত্রেে,	চলচ্চিত্রেই,	
ptolemir,	প্টলেমির,	টলেমির,	
samudratate,	সমুদ্রতাতে,	সমুদ্রতটে,	
sikkhakramer,	শিক্ষাক্মের,	শিক্ষাক্রমের,	
bonvumite,	বন্ভূমিতে,	বনভূমিতে,	
michir,	মিচির,	মিচির,	
saurce,	সার্সে,	সোর্স,	
peterer,	পেটারের,	পিটারের,	
qindama,	কিন্ডাম,	কিংডম,	
ashe,	আশে,	আসে,	
bandra,	বন্দ্র,	বন্দীরা,	
mukhomaundoley,	মুখান্দলে,	মুখমণ্ডলে,	
nilabha,	নিলভা,	নীলাভ,	
manohar,	মনহার,	মনোহর,	
gobeshana,	গবেষণ,	গবেষনা,	
cinematographer,	সিমেম্টাগ্রেফের,	সিনেমাটোগ্রাফার,	
drissogoolote,	দৃষ্বগুলোতে,	দৃশ্যগুলোতে,	
ooeepoka,	ওইপোক,	উইপোকা,	
ooindo,	উন্দ,	উইন্ডো,	
karmosansthaner,	কর্মসস্থানের,	কর্মসংস্থানের,	
atohar,	আতোহার,	আতহার,	
oshovyo,	অশভ্য,	অসভ্য,	
quary,	কুরি,	কোয়েরি,	
khoor,	খুর,	ক্ষুর,	
notey,	নটে,	নোটে,	
conistho,	কনিস্ঠ,	কনিষ্ঠ,	
hugh,	হুগ,	হিউজ,	
ashanka,	অশাঙ্ক,	আশংকা,	
shapholler,	সাফলের,	সাফল্যের,	
