bomkesh,	বোমকেশ,	ব্যোমকেশ,	
biprodas,	বিপ্রদাস,	বিপ্রদাস,	
mozlishpoor,	মজলিশ্যুর,	মজলিশপুর,	
bhittiteow,	ভিটিতেও,	ভিত্তিতেও,	
kottar,	কটটার,	কট্টর,	
hosain,	হোসেন,	হোসেইন,	
pratimake,	প্রতিমাকে,	প্রতিমাকে,	
transformerer,	ট্রান্সমোর্মের,	ট্রান্সফরমারের,	
maheendra,	মহেন্দ্র,	মাহিন্দ্রা,	
mufti,	মুফতী,	মুফতি,	
bajite,	বাজিতে,	বাজিতে,	
ganohatyake,	গণহাত্যাকে,	গণহত্যাকে,	
aparagata,	অপরাগত,	অপারগতা,	
brekthrough,	ব্রেগ্রোগ,	ব্রেকথ্রু,	
bandhutwo,	বন্ধুত্ব,	বন্ধুত্ত্ব,	
kindom,	কিন্দম,	কিংডম,	
fridom,	ফ্রিডম,	ফ্রীডম,	
chaiti,	চাইটি,	চৈতি,	
vangle,	ভাঙলে,	ভাঙলে,	
trans,	ট্রান্স,	ট্রান্স,	
loukikotaa,	লুকিকতা,	লৌকিকতা,	
madelim,	ম্যাডেলিং,	মডেলিং,	
boshoborti,	বসবর্তী,	বশবর্তী,	
bhittimool,	ভিতিতমূল,	ভিত্তিমূল,	
nirapekkhotar,	নিরপ্কেষ্তার,	নিরপেক্ষতার,	
builder,	বিল্ডার,	বিল্ডার,	
shamuk,	শামুক,	শামুক,	
madrasa,	মদদ্রাস,	মাদ্রাসা,	
borana,	বরানা,	বোরন,	
chainge,	চ্যানেজ,	চেঞ্জ,	
phirti,	ফিরটি,	ফিরতি,	
vageroi,	ভাগেরও,	ভাগেরই,	
krej,	ক্রেজ,	ক্রেজ,	
adhyattikotar,	অধ্যাতিকতার,	আধ্যাত্মিকতার,	
nathivukteer,	নথিভূক্তির,	নথিভুক্তির,	
asif,	অসিফ,	আসিফ,	
sinematographar,	সিনেমাতর্মাস,	সিনেমাটোগ্রাফার,	
bagdadii,	বাগাডাদি,	বাগদাদী,	
sachetanvabe,	সচেতাতভাবে,	সচেতনভাবে,	
mukhomondoler,	মুখমন্ডলের,	মুখমণ্ডলের,	
obhidhanik,	অভিধানিক,	অভিধানিক,	
dharai,	ধারাই,	ধারাই,	
doobhara,	ডভভার,	ডোভার,	
vumija,	ভূমিজা,	ভূমিজ,	
gonokantho,	গণকান্ঠ,	গণকণ্ঠ,	
shektore,	সেক্টর,	সেক্টরে,	
byataree,	ব্যাটারী,	ব্যাটারী,	
forid,	ফরীদ,	ফরিদ,	
sachetonbhabe,	সচেতনভাবে,	সচেতনভাবে,	
uru,	ঊরু,	উরু,	
naker,	নাকের,	নেকের,	
sanbadmadhyame,	সংবদ্যম্যমে,	সংবাদমাধ্যমে,	
inphormation,	ইনফর্মেশন,	ইনফরমেশন,	
peri,	প্যারি,	পেরি,	
bosante,	বসান্তে,	বসন্তে,	
goteehin,	গতিহীন,	গতিহীন,	
sollallhoo,	সল্লালু,	সল্লাল্লাহু,	
prachuryer,	প্রাচুরির,	প্রাচুর্যের,	
stoonehenge,	স্টনেোনিভে,	স্টোনহেঞ্জ,	
heeli,	হেলি,	হিলি,	
lagic,	লাগিক,	লজিক,	
ovisongson,	অভিসংসন,	অভিশংসন,	
shit,	সেট,	শীত,	
maney,	মানে,	মানে,	
patzat,	প্যাট,	পাটজাত,	
dristiheen,	দৃষ্টিীহণ,	দৃষ্টিহীন,	
batsman,	ব্যাসম্যান,	ব্যাটসম্যান,	
shelina,	সেলিন,	সেলিনা,	
mosjidti,	ম্যোসজিডটি,	মসজিদটি,	
nodiitir,	নদীতীর,	নদীটির,	
parbotto,	পর্বত্ত,	পার্বত্য,	
granthao,	গ্রান্থাও,	গ্রন্থও,	
fox,	ফো্ক,	ফক্স,	
cathalic,	চাযাথলিক,	ক্যাথলিক,	
poddhotiteyi,	পদ্ধতিতেই,	পদ্ধতিতেই,	
shikhra,	শিক্ষা,	শিখরা,	
hijriite,	হিজরিতে,	হিজরীতে,	
gulen,	গুলেন,	গুলেন,	
nirbahe,	নির্বাহে,	নির্বাহে,	
tigers,	টিজার্স,	টাইগার্স,	
joistha,	জৈস্ঠ,	জ্যৈষ্ঠ,	
zojyota,	যোজ্যতা,	যোজ্যতা,	
sahapatheekey,	সহপাঠিকে,	সহপাঠীকে,	
madhobi,	মাধবী,	মাধবীর,	
asoociates,	অ্যাসোসিয়েট,	এসোসিয়েটস,	
cholochchitraeei,	চলচিত্রেই,	চলচ্চিত্রেই,	
probhuder,	প্রভাদের,	প্রভুদের,	
ekshoti,	একসটি,	একশোটি,	
rilayeensa,	রিলিয়েন্স,	রিলায়েন্স,	
potkaa,	পতকা,	পটকা,	
sucharita,	সুচারিত,	সুচরিতা,	
naper,	নাপের,	ন্যাপের,	
grambasi,	গ্রাম্বাসী,	গ্রামবাসী,	
silbhi,	সিলভী,	সিলভি,	
lyanda,	ল্যান্ড,	ল্যান্ড,	
riphleeksa,	রাইফেল্স,	রিফ্লেক্স,	
kunntee,	কান্টি,	কুন্তী,	
tukrotey,	তুকরোতে,	টুকরোতে,	
suparichito,	সুপারিচিত,	সুপরিচিত,	
estonia,	এ্্টোসিনিয়া,	এস্তোনিয়া,	
shkalastic,	স্কলেস্টিক,	স্কলাস্টিক,	
merjito,	মের্জিত,	মার্জিত,	
juktarashtrosaha,	যুক্তরস্রাস্থা,	যুক্তরাষ্ট্রসহ,	
sangbadmadhyome,	সংবদ্যম্্মে,	সংবাদমাধ্যমে,	
rizur,	রিজুর,	রিজুর,	
brindabaner,	বৃণ্দবানের,	বৃন্দাবনের,	
oteeteo,	অতিতেও,	অতীতেও,	
okkhor,	অক্ষর,	অক্ষর,	
durgandher,	দুর্গান্ডের,	দুর্গন্ধের,	
decke,	ডেকে,	ডেকে,	
bhorkendra,	ভররকেন্দ্র,	ভরকেন্দ্র,	
dokanei,	দোকানেই,	দোকানেই,	
longhoner,	লঙ্ঘনের,	লংঘনের,	
kalengga,	কলেঙ্গ,	কালেঙ্গা,	
brittakare,	বৃত্তকারে,	বৃত্তাকারে,	
kredit,	ক্রেডিট,	ক্রেডিট,	
melborrone,	ম্লববরণে,	মেলবোর্নে,	
naren,	নারেন,	নরেন,	
asammati,	অসম্তি,	অসম্মতি,	
skalarasipa,	স্কলারশিপ,	স্কলারশিপ,	
madhyastha,	মধ্যস্থ,	মধ্যস্থ,	
dephineshhana,	ডেফিনেশন,	ডেফিনেশন,	
romantic,	রোমান্টিক,	রোমান্টিক,	
footbalarra,	ফুটবলবারা,	ফুটবলাররা,	
tintir,	তিনটির,	তিনটির,	
bosontoke,	বসন্তকে,	বসন্তকে,	
bolovodro,	বলধর্র,	বলভদ্র,	
biswashe,	বিশ্বাসে,	বিশ্বাসে,	
gabeshona,	গবেষণা,	গবেষনা,	
manbey,	মানবে,	মানবে,	
doltagi,	দলততযাগী,	দলত্যাগী,	
avatara,	অভাটার,	অবতার,	
juddhahoto,	যুদ্ধাহাত,	যুদ্ধাহত,	
ramantic,	রামান্টিক,	রোমান্টিক,	
hartz,	হার্ট,	হার্জ,	
huka,	হুক,	হুক,	
railliner,	রেলিনের,	রেললাইনের,	
nepchooner,	নেপ্ছুনের,	নেপচুনের,	
ustaad,	উষ্তাদ,	উস্তাদ,	
soomo,	সম,	সুমো,	
saras,	সারাস,	সরস,	
mosjid,	মজ্দিদ,	মসজিদ,	
prokalpagulor,	প্রকালগুলোর,	প্রকল্পগুলোর,	
lettere,	ল্যাটারে,	লেটারে,	
jerokom,	জেরকম,	যেরকম,	
serverey,	সার্ভারে,	সার্ভারে,	
rubyo,	রুব্য,	রুবিও,	
mathews,	ম্যাথিস,	ম্যাথিউস,	
bangobandhu,	বঙ্গবাং্ধু,	বঙ্গবন্ধু,	
basano,	বাসনো,	বসানো,	
kaferder,	কাযারারদের,	কাফেরদের,	
buffer,	বাফের,	বাফার,	
dhikrito,	ধিকৃত,	ধিকৃত,	
alsaar,	আলসার,	আলসার,	
tochnoch,	তচ্চন,	তছনছ,	
kansat,	কনসাট,	কানসাট,	
durgondho,	দুর্ঘন্ধ,	দুর্গন্ধ,	
faster,	ফাস্টার,	ফস্টার,	
sanghitar,	সংহিতার,	সংহিতার,	
artharer,	অর্থারের,	আর্থারের,	
horipur,	হরিপুর,	হরিপুর,	
nirbachaker,	নির্বাচকের,	নির্বাচকের,	
chyata,	চ্যাট,	চ্যাট,	
nirbaha,	নির্বাহ,	নির্বাহ,	
rajtantrey,	রাজনাত্রে,	রাজতন্ত্রে,	
aiiub,	আইএসব,	আইইউবি,	
magical,	ম্যাজিক্যাল,	ম্যাজিকাল,	
iling,	এলিং,	ইলিং,	
granthaty,	গ্রন্থটি,	গ্রন্থটি,	
proshikkhone,	প্রশিক্ষণে,	প্রশিক্ষণে,	
moshzidshoho,	মস্দিদসহ,	মসজিদসহ,	
garnaar,	গার্নার,	গার্নার,	
dale,	দলে,	ডালে,	
mawdel,	ম্যাডেল,	মডেল,	
kuarter,	কোর্টের,	কোয়ার্টার,	
bishaashke,	বিশাসকে,	বিশ্বাসকে,	
papri,	পপ্রই,	পাপরি,	
bhaandar,	ভান্ডার,	ভাণ্ডার,	
gaphiloti,	গাফিলাটি,	গাফিলতি,	
noiteekotar,	নৈতিকতার,	নৈতিকতার,	
markeeting,	মার্কেনিং,	মার্কেটিং,	
jerusalem,	জিরোসামেল,	জেরুসালেম,	
ganosakkhorota,	গণসক্ষরতা,	গণসাক্ষরতা,	
eling,	এলিং,	ইলিং,	
chalkee,	চলককী,	চালকে,	
ruble,	রাবেল,	রুবল,	
juktorastroshoho,	যুক্তরোস্রসহ,	যুক্তরাষ্ট্রসহ,	
bidghootey,	বিদ্বুতে,	বিদঘুটে,	
utsahomulok,	উৎসামূলক,	উৎসাহমূলক,	
shhikha,	শিখা,	শিখ,	
robot,	রোবট,	রোবোট,	
gazetted,	গ্যাজেত্দ,	গেজেটেড,	
dorun,	দরুন,	দরুণ,	
rajnaiteek,	রাজনৈতিক,	রাজনৈতীক,	
teunar,	টিউনার,	টিউনার,	
scoore,	স্কোর,	স্কোর,	
choddo,	চৌদ্দ,	চোদ্দো,	
dharabahikeo,	ধারাবাহিকও,	ধারাবাহিকেও,	
shikare,	শিকারে,	শিকারে,	
qanasarabheshana,	কনসারভেষেনা,	কনসারভেশন,	
santoshpore,	সন্ত্ষতপরে,	সন্তোষপুর,	
subader,	সুবাদের,	সুবাদে,	
coolin,	কলিন,	কুলিং,	
pretti,	প্রেটি,	প্রিটি,	
aakabaar,	আকাবার,	আকাবার,	
nojder,	নজদের,	নজদের,	
bihare,	বিহারে,	বিহারে,	
ghese,	ঘেসে,	ঘেঁষে,	
onchalti,	অঞচলিতি,	অঞ্চলটি,	
utsaho,	উত্সাহ,	উৎসাহ,	
delibhara,	দিলেভার,	ডেলিভার,	
kaareer,	কারির,	কারীর,	
mit,	মিট,	মিট,	
maaktume,	মাককুমে,	মাকতুম,	
thaken,	থাকেন,	থাকেন,	
khambaa,	খাম্বা,	খাম্বা,	
sayeed,	সাইয়েদ,	সাইদ,	
munsi,	মুন্সি,	মুন্সি,	
meg,	মেগ,	মেগ,	
shikshakromer,	শিক্ষাক্রমের,	শিক্ষাক্রমের,	
marri,	মারি,	ম্যারি,	
ovijojan,	অভিযোজন,	অভিযোজন,	
leetteer,	লিটটের,	লেটার,	
neker,	নেকের,	নেকের,	
batikromi,	ব্যাতিক্রমী,	ব্যতিক্রমী,	
byakkhabyatito,	ব্যক্ষবাবিত,	ব্যাখ্যাতীত,	
melbourney,	মেলবার্ন,	মেলবোর্নে,	
songosthaner,	সংস্থানের,	সংস্থানের,	
habshee,	হবশি,	হাবশী,	
rajnoitik,	রাজনৈতিক,	রাজনৈতীক,	
olpo,	অল্প,	অল্প,	
hanttey,	হাঁতে,	হাঁটতে,	
balokarok,	বালকারক,	বলকারক,	
pleeto,	প্লেট,	প্লেটো,	
tourist,	ত্যারিস্ট,	টুরিস্ট,	
aashirbad,	আশীর্বাদ,	আশির্বাদ,	
shiramikasha,	সিরমিকাস,	সিরামিকস,	
utkhater,	উৎখাতের,	উৎখাতের,	
emarzensi,	এমর্জানিসি,	এমার্জেন্সি,	
sotorkokari,	সতকরাকারী,	সতর্ককারী,	
ddheke,	ঢেঁকে,	ঢেকে,	
categoryer,	ক্যাটেরিজার,	ক্যাটাগরির,	
kool,	কুল,	কুল,	
hoola,	হোল,	হোল,	
juktorastrer,	যুক্তরাস্ট্রের,	যুক্তরাষ্ট্রের,	
postay,	পোস্টে,	পোস্টে,	
bhenicer,	ভেনিসের,	ভেনিসের,	
hafez,	হাফেজ,	হাফেয,	
texaser,	টেক্সাসের,	টেক্সাসের,	
cholocchitreo,	চলচিত্রেও,	চলচ্চিত্রেও,	
doshider,	দশিদের,	দোষীদের,	
venkatesh,	ভেনকেটস,	ভেঙ্কটেশ,	
karkat,	কর্কট,	কর্কট,	
gazipur,	গজিপুর,	গাজিপুর,	
gara,	গরা,	গোর,	
ide,	ঈড,	আইডিই,	
palestinea,	পলিস্টেনন,	প্যালেস্টাইনে,	
valobasen,	ভালবাসেন,	ভালোবাসেন,	
mascat,	মস্কাট,	মাস্কাট,	
karkatkranti,	কর্ককর্তন্ত্রী,	কর্কটক্রান্তি,	
kaathhmaandute,	কাঠ্যম্ছুতে,	কাঠমান্ডুতে,	
byabaharkariyi,	ব্যবহারকারী,	ব্যবহারকারীই,	
prakalpotike,	প্রকল্পটিকে,	প্রকল্পটিকে,	
bordhitangsho,	বর্ধিতাংশ,	বর্ধিতাংশ,	
sbajaner,	স্বজনের,	স্বজনের,	
rahee,	রাহি,	রাহী,	
sobrokomer,	সব্রকমের,	সবরকমের,	
wault,	ওয়ল্ট,	ভল্ট,	
azan,	আজান,	আজান,	
advoot,	অ্যাডভাত,	অদ্ভুত,	
hosheyin,	হোসেইন,	হোসেইন,	
hilser,	হিস্ের,	হিলসের,	
protizogiir,	প্রতিযোগির,	প্রতিযোগীতার,	
ancholsomuher,	আঞ্চলসমূহের,	অঞ্চলসমূহের,	
jilyand,	জিল্যান্ড,	জিল্যান্ড,	
chase,	চাষে,	চেস,	
yuro,	ইউরো,	ইউরো,	
mosan,	মোশন,	মোশন,	
noditi,	নদীতী,	নদীটি,	
rachonakal,	রচনাকাল,	রচনাকাল,	
maudelder,	ম্যানিডের,	মডেলদের,	
ghesei,	ঘেসেই,	ঘেঁষেই,	
kakhonyoba,	কখনোবা,	কখনওবা,	
pyore,	প্য়র,	পিওর,	
monohor,	মনোহর,	মনোহর,	
kalki,	কল্কি,	কালকি,	
komtee,	কমটি,	কমতি,	
somsher,	সম্ষের,	সমশের,	
sanaktokaraner,	সনাক্তকরণের,	সনাক্তকরণের,	
dharabhashyakar,	ধারাভাষককর,	ধারাভাষ্যকার,	
byakhyatito,	ব্যাখ্যাতিত,	ব্যাখ্যাতীত,	
jathartho,	যথার্থ,	যথার্থ,	
taoonsheep,	টান্সিপ,	টাউনশিপ,	
horidar,	হরিদার,	হরিদ্বার,	
daebug,	দেবুগ,	ডিবাগ,	
goodamjato,	গুদাজমত,	গুদামজাত,	
fulkapi,	ফুলকারি,	ফুলকপি,	
suraaropeeto,	সুরারপিত,	সুরারোপিত,	
pacchi,	পাঁচি,	পাচ্ছি,	
dreestiheen,	দৃষ্টিীহণ,	দৃষ্টিহীন,	
sanaktakaroner,	সনাক্তকরণের,	সনাক্তকরণের,	
cooling,	কলিং,	কুলিং,	
nirmol,	নির্মল,	নির্মল,	
parikha,	পরীক্ষা,	পরিখার,	
hoonayin,	হোনাইন,	হুনাইন,	
nirarthak,	নিরারকথ,	নিরর্থক,	
kaalaam,	কালাম,	কালাম,	
halloween,	হলোলেন,	হ্যালোইন,	
jaatti,	জাতটি,	জাতটি,	
abdun,	আবদুন,	আবদুন,	
elakati,	এলাকাটি,	এলাকাটি,	
eksapreshana,	এক্সপ্রেশন,	এক্সপ্রেশন,	
mmadhuri,	মাধুরী,	মাধুরী,	
lotheran,	লতেরণ,	লুথেরান,	
jacksan,	যককাসন,	জ্যাকসন,	
provritike,	প্রভৃতিকে,	প্রভৃতিকে,	
joneetey,	জনিতে,	যোনীতে,	
bishwasho,	বিশ্বাস,	বিশ্বাসও,	
hyaloyin,	হ্যালোইন,	হ্যালোইন,	
sthapanagulor,	স্থাপনালুলোর,	স্থাপনাগুলোর,	
chalachchitragulor,	চলচ্তির্গুলোর,	চলচ্চিত্রগুলোর,	
balbo,	বলব,	বলবো,	
telaakucha,	তেলাকুচা,	তেলাকুচা,	
skolastic,	স্কলেস্টিক,	স্কলাস্টিক,	
neerbahi,	নির্বাহী,	নির্বাহি,	
jamjamat,	জম্বমাত,	জমজমাট,	
maudeley,	মণিডেল,	মডেলে,	
annarup,	অন্যারূপ,	অন্যরূপ,	
doloo,	দলও,	ডলু,	
gaugee,	গৌগী,	গেজ,	
monu,	মনু,	মনু,	
koda,	কোড,	কোডা,	
saqara,	সাকার,	সাকার,	
purbanchaler,	পূর্বনাচলের,	পূর্বাঞ্চলের,	
upobaaser,	উপবাসের,	উপবাসের,	
dearas,	ডিরস,	ডিআরএস,	
deephineeshana,	ডিফিনশন,	ডেফিনেশন,	
aarmstrong,	আর্ড্টরাঙ্গ,	আর্মস্ট্রং,	
nirgamon,	নির্মমণ,	নির্গমন,	
bodhirota,	বধিরতা,	বধিরতা,	
phirtee,	ফিরটি,	ফিরতি,	
hotodoreedro,	হতসোদির্য,	হতদরিদ্র,	
rothin,	রথিন,	রথীন,	
samratra,	সম্রতত্র,	সম্রাটরা,	
lutheeran,	লুটারিন,	লুথেরান,	
torkaryr,	তরকারীর,	তরকারীর,	
obhijojan,	অভিযাজন,	অভিযোজন,	
dinifition,	ডানিসিফিন,	ডেফিনেশন,	
drishtiheen,	দৃষ্টিহীন,	দৃষ্টিহীন,	
satarkokari,	সতকররকারী,	সতর্ককারী,	
nischoy,	নিশ্চে,	নিশ্চয়,	
sossa,	সসা,	শশা,	
satarkota,	সত্রকতা,	সতর্কতা,	
pratishhta,	প্রতিষ্টা,	প্রতিষ্টা,	
conistho,	কণিষ্ট,	কনিষ্ঠ,	
anchalsamuher,	আঞ্চলসমূহের,	অঞ্চলসমূহের,	
samosher,	সমসের,	সমশের,	
diniphition,	ডানিসিফন,	ডেফিনেশন,	
ekghore,	একঘরে,	একঘরে,	
abheedhaner,	অভিধানের,	অভিধানের,	
monjeele,	মঞ্জিলে,	মঞ্জিলে,	
shartho,	স্বার্থ,	স্বার্থ,	
shringe,	শ্রীঙ্গে,	শৃঙ্গে,	
natshi,	নাৎসি,	নাত্সি,	
gujab,	গুজব,	গুজব,	
eesosiyeetasa,	এসোসিটিস,	এসোসিয়েটস,	
shreemati,	শ্রীমতী,	শ্রীমতি,	
notunatwa,	নতুনত্ব,	নতুনত্ব,	
sikarder,	সিকার্ডের,	শিকারদের,	
stationey,	স্টেশনে,	ষ্টেশনে,	
kona,	কোন,	কণা,	
bagdad,	বাগদাদ,	বাগদাদে,	
hights,	হাইটস,	হাইটস,	
bisnuke,	বিষ্ণুকে,	বিষ্ণুকে,	
jemy,	জেমি,	জেমি,	
gandhio,	গণ্ধিও,	গান্ধীও,	
marketim,	মার্কেটিং,	মার্কেটিং,	
ikbaaler,	ইকবালের,	ইকবালের,	
ateeteo,	আটিতেও,	অতীতেও,	
windows,	উইন্ডোস,	উইন্ডোস,	
idaning,	এডেনিং,	ইদানীং,	
saamaanyai,	সামানইয়াই,	সামান্যই,	
bbonyopran,	বন্যপ্রাণ,	বন্যপ্রাণ,	
itastatoh,	ইতাস্তত,	ইতস্ততঃ,	
nadimatrik,	নাদিমাত্রিক,	নদীমাতৃক,	
kanshater,	কাঁশাতের,	কানসাটের,	
nirmankaaj,	নির্মাণকা,	নির্মাণকাজ,	
marathi,	মারাঠী,	মরাঠি,	
hosney,	হোসনে,	হোসনে,	
dweepgulo,	দ্বীপুলো,	দ্বীপগুলো,	
dakshinangsha,	দক্ষিণাংশ,	দক্ষিণাংশ,	
reeno,	ঋণ,	রেনো,	
biswashi,	বিশ্বাসী,	বিশ্বাসই,	
suraropito,	সুরারপিত,	সুরারোপিত,	
rajotwa,	রাজত্ব,	রাজত্ব,	
prachurjer,	প্রচুর্যের,	প্রাচুর্যের,	
graambaasir,	গ্রামবাসীর,	গ্রামবাসীর,	
shho,	শো,	শো,	
colahol,	কলাহল,	কোলাহল,	
sheat,	সেট,	সিট,	
ajibonoer,	আজিবনর,	আজীবনের,	
faksa,	ফক্স,	ফক্স,	
laisense,	লেজন্স,	লাইসেন্স,	
beshirvagei,	বেশীরভাগেই,	বেশিরভাগেই,	
eukalyptush,	ইউকেলোপ্টাস,	ইউক্যালিপ্টাস,	
ashanka,	আশঙ্ক,	আশংকা,	
daaoon,	দাউন,	ডাউন,	
upostheet,	উপস্থিত,	উপস্থিত,	
temone,	তেমনে,	তেমনই,	
jeshh,	জেস,	জেস,	
tofaat,	টফাট,	তফাৎ,	
ankeeta,	অংকেত,	অঙ্কিতা,	
gondho,	গণ্ধ,	গন্ধে,	
dee,	ডে,	ডে,	
restuarant,	রেস্টুরেন্ট,	রেষ্টুরেন্ট,	
sorsa,	সর্ষ,	সোর্স,	
arbit,	আর্বিত,	অরবিট,	
pallar,	পোলার,	পাল্লার,	
ajibooner,	আজিবুনের,	আজীবনের,	
uporitaley,	উপরিতালে,	উপরিতলে,	
chirkoot,	চিরকুট,	চিরকুট,	
doneta,	দোনটা,	ডোনাট,	
gadha,	গাধা,	গাধা,	
garora,	গরারা,	গারোরা,	
rubidiyaam,	রাবিডিয়াম,	রুবিডিয়াম,	
cinematographar,	সিনেটামস্রার,	সিনেমাটোগ্রাফার,	
potocheetro,	পতিচিত্র,	পটচিত্র,	
amiretus,	অ্যামিরিসাস,	এমিরেটাস,	
grooth,	গ্রুথ,	গ্রোথ,	
jonosonjog,	জনসংগোগ,	জনসংযোগ,	
dharatir,	ধারাটির,	ধারাটির,	
jonee,	জোনি,	জনি,	
path,	পাঠ,	পাথ,	
ssahocorzo,	সহরকর্য,	সাহচর্য,	
pracharanamulak,	প্রচারাামূলক,	প্রচারণামূলক,	
elakaa,	এলাকা,	এলাকা,	
jonoshomaj,	জনসমাজ,	জনসমাজ,	
chalechi,	চলেছি,	চলেছি,	
jarusalema,	জরুসনামেলা,	জেরুসালেম,	
kana,	কানা,	কণা,	
dhyaan,	ধ্যান,	ধ্যান,	
pluck,	প্লাক,	প্ল্যাক,	
gitikabitar,	গীতিকাবিতার,	গীতিকবিতার,	
patthkrom,	পাঠকর্ম,	পাঠক্রম,	
estooniya,	এস্টোনিয়া,	এস্তোনিয়া,	
liceencee,	লিসেন্স,	লাইসেন্স,	
neurooloogy,	নিউরোলজি,	নিউরোলজি,	
vorpur,	ভর্পুর,	ভরপুর,	
dharabhiko,	ধারাভিক,	ধারাবাহিকেও,	
bheenasa,	ভেনস,	ভেনাস,	
everage,	ইভারেজ,	এভারেজ,	
naitik,	নৈতিক,	নৈতিক,	
parqa,	পার্ক,	পার্ক,	
dhoorer,	ধরের,	ধরের,	
thawre,	থরে,	থরে,	
shalook,	শালুক,	শালুক,	
kemoney,	কেমনে,	কেমনে,	
asamarik,	অসামারিক,	অসামরিক,	
porishongkhanbid,	পরিসংখানিক্,	পরিসংখ্যানবিদ,	
songhar,	সংঘর,	সংহার,	
abhidhaanick,	অভিধানিক,	অভিধানিক,	
obhidhaner,	অভিধানের,	অভিধানের,	
jyesttha,	জেষ্ঠ্য,	জ্যেষ্ঠা,	
ovigomon,	অভিযোগন,	অভিগমন,	
soinyoder,	সৈন্যদের,	সৈন্যদের,	
modelti,	ম্যাডেলটি,	মডেলটি,	
afjal,	আফজাল,	আফজল,	
fand,	ফাঁদ,	ফান্ড,	
bhumijo,	ভূমিজ,	ভূমিজ,	
daakteekite,	ডাক্তিকিতে,	ডাকটিকিটে,	
sahopatheeke,	সহপাঠিকে,	সহপাঠীকে,	
amstrang,	অম্স্ট্রিং,	আর্মস্ট্রং,	
temontee,	তেমনটি,	তেমনটি,	
abotaar,	অবতার,	অবতার,	
shayanaida,	সাইনাইড,	সায়ানাইড,	
phutbolarder,	ফুটবলাদের,	ফুটবলারদের,	
pragress,	প্রগ্রেস,	প্রগ্রেস,	
observer,	অব্সরভের,	অবজার্ভার,	
shoti,	সতী,	শোটি,	
peoples,	পাপললস,	পিপলস্,	
suddeen,	সুদদীন,	সাডেন,	
ajeempur,	আজিমপুর,	আজিমপুর,	
sonatani,	সোনাটানি,	সনাতনী,	
crete,	ক্রাইট,	ক্রীট,	
holding,	হলডিং,	হোল্ডিং,	
bastuvad,	বস্তুবাদ,	বস্তুবাদ,	
suchorita,	সুচারিত,	সুচরিতা,	
score,	স্কোর,	স্কোর,	
masajida,	ম্যাসাজিদা,	মসজিদ,	
query,	কুয়েরি,	কোয়েরি,	
utsahi,	উত্সাহী,	উৎসাহী,	
chilahatee,	চিলাহিতা,	চিলাহাটি,	
gasthike,	গাস্থীকে,	গোষ্ঠীকে,	
bonvumitey,	বনভূমিতে,	বনভূমিতে,	
hepatitis,	হেপাটিসিস,	হেপাটাইটিস,	
qinsa,	কিন্স,	কিংস,	
restaurant,	রেস্টোরেন্ট,	রেষ্টুরেন্ট,	
phox,	ফক্স,	ফক্স,	
ojouno,	অজন,	অযৌন,	
projononkal,	প্রজননকাল,	প্রজননকাল,	
vimsen,	ভিমসেন,	ভীমসেন,	
valobase,	ভালবাসে,	ভালোবাসে,	
sikkhaou,	শিক্ষুও,	শিক্ষাও,	
rabe,	রবে,	রবে,	
tennys,	টেনিস,	টেনিস,	
institutione,	ইন্সটিটিউশনে,	ইনস্টিটিউশনে,	
goore,	গুরে,	গোর,	
kaushalgata,	কৌশাগত,	কৌশলগত,	
osomorthito,	অসমর্থিত,	অসমর্থিত,	
falah,	ফলা,	ফালাহ,	
nesanasa,	নেশাস,	নেশনস,	
vobotarini,	ভববতরীণী,	ভবতারিণী,	
angkush,	অঙ্কুশ,	অংকুশ,	
choudhoorike,	চৌধুরিকে,	চৌধুরীকে,	
heeja,	হেজ,	হেজ,	
phastara,	ফসস্টার,	ফস্টার,	
oitijhyey,	ঐতিহ্যে,	ঐতিহ্যে,	
nikel,	নিকেল,	নিকেল,	
torup,	তরুপ,	ট্রুপ,	
shatodha,	সতদা,	শতধা,	
sthaponatir,	স্থাপনাটির,	স্থাপনাটির,	
bikretara,	বিক্রেটার,	বিক্রেতারা,	
jillul,	জিল্লুল,	জিল্লুল,	
sahocorje,	সহকর্যে,	সাহচর্যে,	
nagarikera,	নাগরীকেরা,	নাগরিকেরা,	
jaistha,	জৈষ্ঠ,	জ্যৈষ্ঠ,	
bishwashi,	বিশ্বাসী,	বিশ্বাসী,	
kyandi,	ক্যান্ডি,	ক্যান্ডি,	
graambaseeo,	গ্রাম্বাসীও,	গ্রামবাসীও,	
bohorompurer,	বহরমূরুর,	বহরমপুরের,	
banger,	বঙ্গের,	ব্যাঙের,	
durotaumo,	দূরতাম,	দূরতম,	
golakriti,	গোলকারটি,	গোলাকৃতি,	
rejidensh,	রেজিডেন্স,	রেসিডেন্স,	
sip,	শীপ,	শিপ,	
swalpo,	স্বল্প,	স্বল্প,	
kodorer,	কদরের,	কদরের,	
chon,	চন,	ছোঁ,	
gafilati,	গফিলাটি,	গাফিলতি,	
si,	সি,	এসআই,	
swasti,	স্বস্তি,	স্বস্তি,	
euro,	ইউরো,	ইউরো,	
drishyake,	দৃশ্যকে,	দৃশ্যকে,	
bbiseshyer,	বিশেষ্যের,	বিশেষ্যের,	
bidghute,	বিধ্বুতে,	বিদঘুটে,	
site,	সিটে,	সিটে,	
zeebonnogor,	জীবনগর,	জীবননগর,	
jwaluk,	জ্বলুলক,	জ্বলুক,	
