leta,	লত,	ল্যাটা,	
tukrotey,	তুকরতে,	টুকরোতে,	
sorbopori,	সর্বপরি,	সর্বোপরী,	
pathkramer,	পাঠকরামের,	পাঠক্রমের,	
plen,	প্লেন,	প্লেন,	
somsher,	সমসের,	সমশের,	
shattoki,	সা্তকী,	সাত্যকি,	
deil,	ডেল,	ডেইল,	
rajashri,	রাজশারি,	রাজশ্রী,	
ikbaaler,	ইকবালের,	ইকবালের,	
byaboharkareei,	ব্যবহারকারী,	ব্যবহারকারীই,	
olympicer,	অল্মিপসের,	অলিম্পিকের,	
qlauda,	ক্লাউড,	ক্লাউড,	
americar,	আমেরিকার,	আমেরিকার,	
bhaibonder,	ভাইবন্দের,	ভাইবোনদের,	
koyeeri,	কোয়েরি,	কোয়েরি,	
henna,	হেনা,	হেনা,	
shoili,	শৈলী,	শৈলী,	
fanser,	ফাঁসের,	ফাঁসের,	
seo,	সিও,	সেও,	
anurbar,	অনুর্বার,	অনুর্বর,	
chomsky,	চমম্কি,	চমস্কি,	
huk,	হুক,	হুক,	
istoniya,	ইস্টনিয়া,	এস্তোনিয়া,	
songhar,	সংঘর,	সংহার,	
dhyaan,	ধ্যান,	ধ্যান,	
manahputa,	মানাপুত,	মনঃপুত,	
koyari,	কোয়রি,	কোয়েরি,	
cholchhee,	চলছে,	চলছে,	
heavi,	হেভি,	হেভি,	
sahocorrzo,	সহকর্য,	সাহচর্য,	
charukola,	চারুকোলা,	চারুকলা,	
remacry,	রেমারি,	রেমাক্রী,	
aholar,	আহলার,	অহল্যার,	
tintike,	তিনটিকে,	তিনটিকে,	
show,	শো,	শো,	
mitrao,	মিট্রো,	মিত্রও,	
aswastikor,	অস্বস্তিকর,	অস্বস্তিকর,	
byapokotor,	ব্যাপকতার,	ব্যাপকতর,	
abhijojan,	অভিজোঞন,	অভিযোজন,	
gaaddafee,	গ্যাডফাডি,	গাদ্দাফী,	
phoxkon,	ফক্কন,	ফক্সকন,	
sadena,	সাদেন,	সাডেন,	
beeswasee,	বিশ্বাসী,	বিশ্বাসে,	
majdur,	মজ্দর,	মজদুর,	
konar,	কোনার,	কণার,	
stoner,	স্তনের,	স্টোনের,	
bbiswashke,	বিশ্বাসকে,	বিশ্বাসকে,	
jestha,	জেস্থা,	জ্যেষ্ঠা,	
gezeteda,	জেজেটেড,	গেজেটেড,	
tecnocrat,	টেকনোক্রিট,	টেকনোক্র্যাট,	
bhandaar,	ভান্ডার,	ভাণ্ডার,	
procharonamoolok,	প্রচারণমূলক,	প্রচারণামূলক,	
charrjer,	চার্জের,	চার্জের,	
munshi,	মুনশী,	মুন্সি,	
shatodha,	শতধা,	শতধা,	
hatochakito,	হতোচকিত,	হতচকিত,	
dorgaaho,	দর্গহ,	দরগাহ,	
gronthotyke,	গ্রন্থটিকে,	গ্রন্থটিকে,	
nojoder,	নজদের,	নজদের,	
techno,	টেকনো,	টেকনো,	
rightsh,	রিইটস,	রাইটস,	
chhintayikari,	ছিন্তাচারীকে,	ছিনতাইকারী,	
ruble,	রুবেল,	রুবল,	
sangostha,	সংস্থ,	সংস্থা,	
mugdho,	মুঘ,	মুগ্ধ,	
basaalt,	বাসল্ট,	ব্যাসল্ট,	
shibraj,	শিবরাজ,	শিবরাজ,	
bhotara,	ভোতার,	ভোটার,	
windows,	উন্ডোজ,	উইন্ডোস,	
bhalobase,	ভালবাসে,	ভালোবাসে,	
akkash,	এক্াশ,	আককাস,	
giitikobitar,	গীতিকবিতার,	গীতিকবিতার,	
lumbinee,	লিম্বিনী,	লুম্বিনী,	
tokey,	টোকে,	ত্বকেই,	
phutantoa,	ফুটন্ত,	ফুটন্ত,	
danob,	দানব,	দানব,	
jonosonjog,	জনস্যোগ,	জনসংযোগ,	
sanstha,	সংস্থ,	সংস্থা,	
sojja,	সজ্য,	সজ্জা,	
blogarra,	ব্লগারার,	ব্লগাররা,	
vasturyi,	বাস্তুরী,	বস্তুরই,	
graambaasi,	গ্রামাবাসি,	গ্রামবাসী,	
protistha,	প্রতিষ্ঠা,	প্রতিষ্টা,	
beatleser,	বিটলের,	বিটলসের,	
ajuhat,	অযুহত,	অজুহাত,	
heawy,	হেভি,	হেভি,	
biphal,	বিফল,	বিফল,	
abasarer,	আবসারের,	অবসরের,	
savanetri,	সভভনতত্রী,	সভানেত্রী,	
ronangone,	রণাঙ্গনে,	রণাঙ্গনে,	
natshi,	নাটসি,	নাত্সি,	
hazirhaat,	হাজীরহাট,	হাজিরহাট,	
phutbolarer,	ফুটবলারের,	ফুটবলারের,	
chalo,	ছাল,	চলো,	
jatharthobhabe,	যথার্থভাবে,	যথার্থভাবে,	
purple,	পারপল,	পার্পেল,	
taiteela,	টাইটেল,	টাইটেল,	
parikshateo,	পরীক্ষাতেও,	পরীক্ষাতেও,	
marmaader,	মার্মাদের,	মারমাদের,	
sheo,	সিও,	সেও,	
volt,	ওল্ট,	ভল্ট,	
proteesthasoho,	প্রতিষ্ঠাসহ,	প্রতিষ্ঠাসহ,	
thare,	থার,	থরে,	
segular,	সেগুলার,	সেগুলোর,	
kyathlikder,	ক্যাথলিকদের,	ক্যাথলিকদের,	
pnouchute,	পৌঁছুতে,	পৌঁছুতে,	
jahor,	জহর,	জহর,	
mataram,	মাতারাম,	মাতরম,	
sainyo,	সৈনইয,	সৈন্য,	
azan,	আজন,	আজান,	
laaisensh,	লাইেন্স,	লাইসেন্স,	
hepetitis,	হেপেটাটিটিস,	হেপাটাইটিস,	
konorup,	কোণরূপ,	কোনরূপ,	
uroor,	উরুর,	উরুর,	
abheedhaanick,	অভিধানিক্ষ,	অভিধানিক,	
ojouno,	অজুন,	অযৌন,	
bashoborty,	বাসবর্তী,	বশবর্তী,	
sakshatkarer,	সাক্ষাৎকারের,	সাক্ষাৎকারের,	
teta,	টাটা,	টেটা,	
hepatetisa,	হেপাপেটিস,	হেপাটাইটিস,	
anchalgulir,	অঞ্চগুলির,	অঞ্চলগুলির,	
habshi,	হাবি,	হাবশী,	
nirupito,	নিরুপিত,	নিরূপিত,	
gandogol,	গান্ডগল,	গন্ডগোল,	
brindaabane,	বৃণ্দুবনে,	বৃন্দাবনে,	
shaarok,	সারক,	স্মারক,	
vittimul,	ভিত্তিমুল,	ভিত্তিমূল,	
mase,	মাস,	মাসে,	
advoot,	অ্যাডভিট,	অদ্ভুত,	
somoodrotote,	সমুদ্রতাে,	সমুদ্রতটে,	
naagaaland,	ন্যাগল্যান্ড,	নাগাল্যান্ড,	
turishta,	তুরিষ্ট,	টুরিস্ট,	
eutey,	ইউটে,	ইইউতে,	
mohisho,	মহিশ,	মহিষ,	
anyorup,	অন্যরূপ,	অন্যরূপ,	
roja,	রোজা,	রোযা,	
jwarer,	যুরের,	জ্বরের,	
noitikotabodh,	নৈতিক্থাদ,	নৈতিকতাবোধ,	
taorat,	তাররাট,	তওরাত,	
cooling,	কোলিং,	কুলিং,	
maszid,	মসজীদ,	মসজিদ,	
nirvahey,	নির্বাহে,	নির্বাহে,	
basate,	বাসাতে,	বাসাতে,	
birder,	বীর্ডের,	বার্ডের,	
abhidhanick,	অভিধানিক্ষ,	অভিধানিক,	
madrajer,	মদ্রাজের,	মাদ্রাজের,	
shrabostee,	শ্রব্যস্তি,	শ্রাবস্তী,	
sikkhakbrindo,	শিক্ষাবৃণ্দ,	শিক্ষকবৃন্দ,	
sammatir,	সম্মাতির,	সম্মতির,	
tolemyr,	টলেমির,	টলেমির,	
funding,	ফাইন্ডিং,	ফান্ডিং,	
ameerica,	অ্যামিরিক,	আমেরিকা,	
poschimae,	পশ্চিমে,	পশ্চিমে,	
damonmulok,	দামনামূলক,	দমনমূলক,	
prastut,	প্রস্তুত,	প্রস্ত্তত,	
sahapatheekey,	সহাপথিকে,	সহপাঠীকে,	
safalyer,	সফল্যের,	সাফল্যের,	
atyacarito,	অত্যাকরিট,	অত্যাচারিত,	
fatakesto,	ফটকেশ্ট,	ফাটাকেষ্ট,	
tauki,	তৌকী,	তকি,	
bishshaash,	বিশ্বাস,	বিশ্বাস,	
udbhabon,	উদ্ভবন,	উদ্ভাবন,	
cholche,	চলছে,	চলছে,	
tanoo,	টানু,	তনু,	
danut,	দানুত,	ডোনাট,	
sperm,	স্পার্ম,	স্পার্ম,	
boikalyo,	বৈকাল্য,	বৈকল্য,	
compact,	কোম্পাট,	কমপ্যাক্ট,	
skart,	স্কার্ট,	স্কার্ট,	
jaksa,	জক্স,	যক্ষ,	
garmanyteo,	জার্মানিতে,	জার্মানিতেও,	
grameroi,	গ্রামেরই,	গ্রামেরই,	
porishrom,	পরিশ্রম,	পরিশ্রম,	
shikshagata,	শিক্ষাগত,	শিক্ষাগত,	
ingrezra,	ইংরেজ্র,	ইংরেজরা,	
nirmolota,	নির্মলতা,	নির্মলতা,	
salapheeta,	সালফাইট,	সালফেট,	
she,	সি,	সে,	
valobasa,	ভালবাসা,	ভালোবাসা,	
ivir,	ইভির,	এভার,	
daakteekit,	ডাক্তিক,	ডাকটিকিট,	
saajanor,	সাজানর,	সাজানোর,	
nagalyand,	নাগোল্যান্ড,	নাগাল্যান্ড,	
iqbaler,	ইক্বলের,	ইকবালের,	
karima,	করিম,	করিম,	
musalmanderke,	মুসলামনন্দকে,	মুসলমানদেরকে,	
judge,	জজ,	জাজ,	
thanvi,	থানবী,	থানভী,	
cholochchitrogulor,	চলচিচিত্রগুলোর,	চলচ্চিত্রগুলোর,	
odhito,	অধিত,	অধীত,	
johor,	জহর,	জহর,	
amstrong,	অম্ট্রর্য,	আর্মস্ট্রং,	
niranjon,	নিরাজ্ঞন,	নিরঞ্জন,	
awrbit,	অরবাইট,	অরবিট,	
porijon,	পরিজন,	পরিজন,	
alimpiqa,	আলিম্পিক,	অলিম্পিক,	
riphleksha,	রাইফেল্স,	রিফ্লেক্স,	
mookhomaundol,	মুখমন্্ল,	মুখমণ্ডল,	
marekting,	মরেকিং,	মার্কেটিং,	
deke,	ডেকে,	ডেকে,	
tongaa,	তঙ্গা,	টোঙ্গা,	
eesosiyeetasa,	এসিসোটিসা,	এসোসিয়েটস,	
scholastik,	স্কলসাসিক্ত,	স্কলাস্টিক,	
zilyanda,	জিল্যান্ড,	জিল্যান্ড,	
bhittiteo,	ভিত্তিতেও,	ভিত্তিতেও,	
bojhe,	বোঝে,	বোঝে,	
bait,	বেযাট,	বাইট,	
koilas,	কোলাশ,	কৈলাস,	
noitikota,	নৈতিকতা,	নৈতিকতা,	
victor,	ভিক্টর,	ভিক্টর,	
jolaatonko,	জলালন্তক,	জলাতঙ্ক,	
madrasi,	মাদ্রাসী,	মাদ্রাজি,	
rajtontre,	রাজনত্ত্রের,	রাজতন্ত্রে,	
obhidhaner,	অভিধানের,	অভিধানের,	
ancieent,	অ্যান্সেন্ট,	এনসিয়েন্ট,	
taala,	তালা,	তালা,	
baipasa,	বাইপাস,	বাইপাস,	
bhangchur,	ভাঁচুর,	ভাংচুর,	
antarcticar,	অন্টারটক্টির,	অ্যান্টার্কটিকার,	
cholochchitrer,	চলচিত্রের,	চলচ্চিত্রের,	
osocheton,	অসচেতন,	অসচেতন,	
bang,	বাং,	ব্যাং,	
kooda,	কোড,	কোডা,	
batsmaner,	বাসতসনের,	ব্যাটসম্যানের,	
konfleekt,	কনফলিক্ট,	কনফ্লিক্ট,	
bopoon,	বোপুন,	বপন,	
deefinision,	ডিফিনিশন,	ডেফিনেশন,	
aswasteekor,	অস্বস্তিকর,	অস্বস্তিকর,	
jess,	জেস,	জেস,	
karkat,	করকাত,	কর্কট,	
zealand,	জিল্যান্ড,	জিল্যান্ড,	
nikat,	নিকট,	নিকট,	
bhagna,	ভা্ন,	ভগ্ন,	
shuchonakal,	সূচনাল,	সূচনাকাল,	
vaibon,	ভাইবন,	ভাইবোন,	
venise,	ভেনিজে,	ভেনিসে,	
chhooti,	ছুটি,	ছুটি,	
jaqi,	জাকি,	জকি,	
ispredsit,	ইস্স্রেপিস,	স্প্রেডশীট,	
odoore,	অদুরে,	অদুরে,	
gelo,	গেল,	গেলো,	
ghetoo,	ঘেটও,	ঘেটু,	
melborrone,	মেলবর্ণে,	মেলবোর্নে,	
swarthe,	স্বর্থে,	স্বার্থে,	
eura,	ইউর,	ইউরো,	
samajeri,	সমাজেরী,	সমাজেরই,	
shuparahiro,	সুপারহহির,	সুপারহিরো,	
indra,	ইন্ড্রা,	ইন্দ্র,	
maradeha,	মারদে,	মরদেহ,	
ukeliptash,	ইকেলিপ্ট,	ইউক্যালিপ্টাস,	
komti,	কমটি,	কমতি,	
rakkhanvag,	রক্ষণভাগ,	রক্ষণভাগ,	
darjiling,	ডার্জিলিং,	দার্জিলিং,	
sangkoolan,	সংকুলন,	সংকুলান,	
gezetted,	গেজেট্ট,	গেজেটেড,	
ranadeep,	রাণাপিপ,	রণদীপ,	
oppohoron,	অপহরণ,	অপহরন,	
gheshei,	ঘেষেই,	ঘেঁষেই,	
agenda,	আগেন্ডা,	এজেন্ডা,	
scifi,	সিফি,	সাইফাই,	
nirobota,	নিরবতা,	নিরবতা,	
panera,	পানেরা,	পনের,	
directorate,	ডিরেক্টরেট,	ডিরেক্টরেট,	
obiyi,	অবিই,	ওবিই,	
beda,	বেদা,	বেদ,	
afjal,	আফজাল,	আফজল,	
kreedita,	ক্রিডিট,	ক্রেডিট,	
apohoron,	অপহরণ,	অপহরন,	
protisthan,	প্রতিষ্ঠান,	প্রতিষ্টান,	
debholopar,	ডেভলপার,	ডেভলপার,	
parikhar,	পরিক্ষার,	পরিখার,	
shima,	সীম,	সীমা,	
songrahak,	সংগ্রাহক,	সংগ্রাহক,	
kampito,	কম্পিট,	কম্পিত,	
probhu,	প্রভূ,	প্রভু,	
ponthaar,	পোঁথার,	পন্থার,	
bhangley,	ভাঙলে,	ভাঙলে,	
falkser,	ফ্যালসের,	ফক্সের,	
hajarti,	হজারটি,	হাজারটি,	
istara,	ইস্টার,	ইস্টার,	
sylvi,	সিলভি,	সিলভি,	
governerer,	গভর্নরের,	গভর্ণরের,	
akkhar,	অক্ষার,	অক্ষর,	
chorchito,	চর্চিত,	চর্চিত,	
granthao,	গ্রন্থ,	গ্রন্থও,	
janoikaa,	জানাকা,	জনৈকা,	
karaa,	কারা,	কারো,	
gafiloti,	গ্ফালীটি,	গাফিলতি,	
yuro,	ইউরো,	ইউরো,	
itastato,	ইতসস্ত,	ইতস্ততঃ,	
mukhomandaley,	মুখমন্ডলে,	মুখমণ্ডলে,	
sumo,	সুমো,	সুমো,	
gostheeti,	গোষ্ঠীতি,	গোষ্ঠীটি,	
meshar,	মেশার,	মেশার,	
jemi,	জেমি,	জেমি,	
seconde,	সেকন্ডে,	সেকেন্ডে,	
gage,	গগে,	গেজ,	
break,	ব্র্যাক,	ব্রেক,	
teksaser,	টেকশাসের,	টেক্সাসের,	
kkompito,	কম্পিত,	কম্পিত,	
chalochchitro,	চলচিত্র,	চলচ্চিত্র,	
jank,	জানক,	জাঁক,	
gononanatyo,	গণ্যান্ত,	গণনাট্য,	
jatok,	যতক,	জাতক,	
hoole,	হোলে,	হোল,	
gandho,	গণ্ধ,	গন্ধ,	
totokshon,	ততক্ষণ,	ততক্ষন,	
bhandar,	ভান্ডার,	ভাণ্ডার,	
chani,	চানী,	ছানি,	
moshjid,	মসজীদ,	মসজিদ,	
dwipgulote,	দ্বীপগুলোতে,	দ্বীপগুলোতে,	
rilayensa,	রিলেয়ন্স,	রিলায়েন্স,	
gardeena,	গার্ডিন,	গার্ডেন,	
gujob,	গুজব,	গুজব,	
bosontoke,	বসন্তকে,	বসন্তকে,	
dharavahikti,	ধারাভাহিক্তি,	ধারাবাহিকটি,	
dighal,	দিঘল,	দীঘল,	
samaveshke,	সমাভেক্ষে,	সমাবেশকে,	
biseshyo,	বিশেষ,	বিশেষ্য,	
bosonto,	বসন্ত,	বসন্ত,	
dera,	ডেরা,	ডেরা,	
bodna,	বদনা,	বদনা,	
jacksan,	জ্কাশন,	জ্যাকসন,	
yukeliptas,	ইউকেলিপ্ট,	ইউক্যালিপ্টাস,	
omarendro,	অমরেন্দ্র,	অমরেন্দ্র,	
maradeho,	মারাদেও,	মরদেহ,	
alpokichudin,	অল্পকিচ্দিন,	অল্পকিছুদিন,	
jeebnagar,	জীবনগর,	জীবননগর,	
bisnu,	বিষ্ণু,	বিষ্ণু,	
senabahinike,	সেনাবাহিনীকে,	সেনাবাহিনীকে,	
falak,	ফলক,	ফলক,	
tooku,	টোকু,	টুকু,	
sangkulan,	সংকুলন,	সংকুলান,	
aansaareer,	আনসারির,	আনসারীর,	
si,	সি,	এসআই,	
romantiq,	রোমান্তিটিক,	রোমান্টিক,	
showtey,	শোতে,	শোতে,	
lombate,	লম্বাতে,	লম্বাটে,	
retasa,	রেটস,	রাইটস,	
roi,	রই,	রায়,	
gitikobita,	গিতিকবিত,	গীতিকবিতা,	
jamjamat,	জামজাত,	জমজমাট,	
nojod,	নজদ,	নজদ,	
vaider,	ভাইডের,	ভাইদের,	
masto,	মস্ত,	মাস্ত,	
dhrubaker,	ধ্রুবকের,	ধ্রুবকের,	
ajijur,	অজিজুর,	আজিজুর,	
mozdur,	মজ্দুর,	মজদুর,	
kheylechen,	খেলেছেন,	খেলেছেন,	
olympik,	অল্মিপিক,	অলিম্পিক,	
vivek,	ভীভেক,	বিবেক,	
jater,	যাতের,	জাতের,	
turkamena,	তুর্কমেনা,	তুর্কমেন,	
athar,	আঠার,	আতহার,	
ganaparibahan,	গণপরীবহন,	গণপরিবহন,	
uthhane,	উঠানে,	উঠানে,	
asantosh,	অসন্তঃশ,	অসন্তোষ,	
akhhunno,	আক্ষুন্ন,	অক্ষুণ্ণ,	
shombhobonaao,	সম্ভাবনও,	সম্ভবনাও,	
folokti,	ফলকটি,	ফলকটি,	
kanagulo,	কানগুলো,	কণাগুলো,	
phixing,	ফিক্িং,	ফিক্সিং,	
cheentaikari,	চিন্তাকারী,	ছিনতাইকারী,	
samaptir,	সমাপ্তির,	সমাপ্তির,	
poshchate,	পশ্চাতে,	পশ্চাতে,	
bishshashi,	বিশ্বাসী,	বিশ্বাসই,	
bage,	ব্যাগে,	বাগে,	
nogorey,	নগরে,	নগরে,	
ganana,	গণনা,	গননা,	
biprodas,	বিপ্রদাস,	বিপ্রদাস,	
ghese,	ঘেষে,	ঘেঁষে,	
institutione,	ইন্সটিটিউনে,	ইনস্টিটিউশনে,	
poripaker,	পরিপকের,	পরিপাকের,	
madhoori,	মাধুরী,	মাধুরী,	
station,	স্টেশন,	ষ্টেশন,	
badhano,	বাধানো,	বাঁধানো,	
juboksaho,	যুবক্ষ,	যুবকসহ,	
nothivukto,	নথিভূক্ত,	নথিভুক্ত,	
venkates,	ভেনকটেস,	ভেঙ্কটেশ,	
abasare,	আবসারে,	অবসরে,	
uddhrito,	উদ্ধৃত,	উদ্ধৃত,	
hena,	হেন,	হেনা,	
dharatir,	ধরাতির,	ধারাটির,	
chiraharit,	চিহারাতিত,	চিরহরিৎ,	
rot,	রো,	রত,	
admiral,	অ্যাডমরাল,	এডমিরাল,	
pharanyeta,	ফ্যারান্যেট,	ফরম্যাট,	
arop,	আরপপ,	আরোপ,	
longhaner,	লঙ্ঘনের,	লংঘনের,	
vittiti,	ভিতিটি,	ভিত্তিটি,	
protizogii,	প্রতিযোগী,	প্রতিযোগী,	
potcheetrer,	পথচিত্রের,	পটচিত্রের,	
dayraa,	দায়ার,	ডেরা,	
langhon,	লঙ্ঘন,	লংঘন,	
sheshardhe,	শেরার্ধে,	শেষার্ধে,	
cetholic,	কেথলিক,	ক্যাথলিক,	
isosiyitasa,	ইসোিিতাস,	এসোসিয়েটস,	
kadorer,	কাদরের,	কদরের,	
karater,	কারাটের,	কারাতের,	
akhando,	আখন্দ,	অখন্ড,	
mausumei,	মৌশে,	মৌসুমেই,	
panchbar,	পাঁচবার,	পাঁচবার,	
oncholke,	অঞ্চলকে,	অঞ্চলকে,	
parse,	পার্স,	পার্শ্বে,	
shukranu,	শুক্রাণু,	শুক্রানু,	
diyares,	ডিয়ারেশ,	ডিআরএস,	
chaktir,	চাকটির,	চাকতির,	
mukherji,	মুখার্জি,	মুখার্জী,	
patenter,	প্যাটেন্টের,	পেটেন্টের,	
oncholgoolir,	অঞ্চগুলির,	অঞ্চলগুলির,	
fostar,	ফোস্টার,	ফস্টার,	
juktorashtrer,	যুক্তরাস্ট্রের,	যুক্তরাষ্ট্রের,	
madhabi,	মাধবী,	মাধবী,	
muhmmoder,	মুহমমদের,	মুহম্মদের,	
balroom,	বালরাম,	বলরুম,	
drissogulo,	দৃশ্যগুলো,	দৃশ্যগুলো,	
direektareeta,	ডিরেক্টরিট,	ডিরেক্টরেট,	
nirapattamulok,	নিরাপততমূলক,	নিরাপত্তামূলক,	
alpai,	আলপাই,	অল্পই,	
pouchhute,	পৌঁছুতে,	পৌঁছুতে,	
sahinsatar,	সহহনস্তর,	সহিংসতার,	
overview,	অভ্রেভি,	ওভারভিউ,	
doltagi,	দলত্যী,	দলত্যাগী,	
bachaikrito,	ব্যচচারিত,	বাছাইকৃত,	
gorrer,	গরের,	গোরের,	
tateo,	টাটেও,	তাতেও,	
euror,	ইউর,	ইউরোর,	
jaatti,	জাতি,	জাতটি,	
semai,	সেইমই,	সেমাই,	
laishenshe,	লাইসেন্স,	লাইসেন্স,	
ancient,	অ্যান্সেন্ট,	এনসিয়েন্ট,	
daroda,	দারোডা,	দারদা,	
timothi,	তিমোথী,	টিমোথি,	
boorana,	বোরান,	বোরন,	
seekkhakrom,	শিক্ষাক্রম,	শিক্ষাক্রম,	
pashan,	পাশন,	পাষাণ,	
ganokantha,	গণকণ্ঠা,	গণকণ্ঠ,	
onucheeder,	অনুচিদের,	অনুচ্ছেদের,	
elaakati,	এলাকাটি,	এলাকাটি,	
satarkakari,	সতারকারী,	সতর্ককারী,	
prosadhani,	প্রসাধানী,	প্রসাধনী,	
nirvachakder,	নির্বাচকদের,	নির্বাচকদের,	
venna,	ভেন্না,	ভেন্না,	
dharati,	ধরাটি,	ধারাটি,	
anupater,	অনুপতের,	অনুপাতের,	
byatikromi,	ব্যাতিক্রমী,	ব্যতিক্রমী,	
milekhaanek,	মিলেকঘেক,	মাইলখানেক,	
dada,	দাদা,	দাদা,	
kada,	কাদা,	কোডা,	
bhogiroth,	ভগীরথ,	ভগীরথ,	
aoki,	ওকি,	এওকি,	
iranayer,	ইরানের,	ইরানের,	
deebatee,	দিবাটি,	ডিবেট,	
model,	মোদেল,	মডেল,	
fiks,	ফিক্স,	ফিক্স,	
pathanirdeshana,	পথনবির্দশন,	পথনির্দেশনা,	
sommoteer,	সম্মতির,	সম্মতির,	
parksh,	পার্ক্স,	পার্কস,	
maddhukkori,	মাধুযককরি,	মাধুকরী,	
tikto,	টিকটো,	তিক্ত,	
ralapha,	রালফ,	রালফ,	
sektara,	সেক্টার,	সেক্টর,	
taurat,	টাউরাট,	তওরাত,	
baik,	বাইক,	বাইক,	
chalaabi,	চালাবী,	চালাবে,	
ottacharer,	অত্তাচারের,	অত্যাচারের,	
thore,	থোর,	থরে,	
gor,	গোর,	গোর,	
karmasampadon,	কর্মসম্পনন,	কর্মসম্পাদন,	
deeputi,	দিপুটি,	ডেপুটি,	
ganochin,	গণচীন,	গণচীন,	
aatok,	আটক,	আটক,	
madol,	মাদল,	মাদল,	
schalarship,	স্কলারশিপ,	স্কলারশিপ,	
ranangane,	রানাঙ্গে,	রণাঙ্গনে,	
samannoi,	সামান্যেই,	সামান্যই,	
yaak,	যক,	ইয়াক,	
gorur,	গরুর,	গরুর,	
upcharzo,	উপচর্য,	উপাচার্য,	
mahe,	মহে,	মাহে,	
pisach,	পিশাচ,	পিশাচ,	
srabosty,	শ্রব্যস্তি,	শ্রাবস্তী,	
aagost,	আগস্ট,	আগষ্ট,	
loukikotaa,	লৌকিকতা,	লৌকিকতা,	
alexander,	অ্যালেকান্ডার্ডের,	আলেকজান্ডার,	
shoochonakal,	সূচনাল,	সূচনাকাল,	
antorvukto,	অন্ত্্ভুক্ত,	অন্তর্ভুক্ত,	
nodike,	নদীকে,	নদীকে,	
associates,	অ্যাসোসিয়েস্স,	এসোসিয়েটস,	
songbadmadhyome,	সংবাদম্ধ্যমে,	সংবাদমাধ্যমে,	
biswashi,	বিশ্বাসী,	বিশ্বাসী,	
trivuz,	ত্রিভুজ,	ত্রিভূজ,	
kartana,	কর্তন,	করতনা,	
patthon,	পাঠন,	পঠন,	
aasar,	আসার,	আসর,	
governorer,	গভর্নরের,	গভর্ণরের,	
novell,	নাভেল,	নভেল,	
amerika,	অ্যামেরিক,	আমেরিকা,	
laaz,	লাজ,	লাজ,	
bhaandaare,	ভান্ডারে,	ভাণ্ডারে,	
vangle,	ভাঙে,	ভাঙলে,	
shangkaloner,	সংকলানের,	সংকলনের,	
granthatike,	গ্রন্থটিকে,	গ্রন্থটিকে,	
loukeekota,	লৌকিকটা,	লৌকিকতা,	
saholobhyotar,	সহলোভযাতার,	সহজলভ্যতার,	
majuter,	মজুতের,	মজুতের,	
markeeting,	মার্কেটিং,	মার্কেটিং,	
syutara,	স্টাওার,	শ্যুটার,	
jonesh,	জনিশ,	জোন্স,	
baibosthar,	ব্যবস্থার,	ব্যবস্থার,	
vortuki,	ভর্তুকি,	ভর্তুকি,	
hilser,	হিলসের,	হিলসের,	
basiney,	বাসীনে,	বেসিনে,	
expose,	এক্সপোজ,	এক্সপোজ,	
soasage,	স্যাজে,	সসেজ,	
protijogider,	প্রতিযোগিদের,	প্রতিযোগীদের,	
mosjidsaho,	মসমিদসহ,	মসজিদসহ,	
harysher,	হারিশের,	হ্যারিসের,	
turkider,	তুর্কীদের,	তুর্কিদের,	
jamkaalo,	জামকালো,	জমকালো,	
dam,	ডাম,	ডং,	
sarboshaktimaan,	সর্বসম্তিকনান,	সর্বশক্তিমান,	
vaabna,	ভব্না,	ভাবনা,	
byabaharkarike,	ব্যবহারকারীকে,	ব্যবহারকারীকে,	
ranodeep,	রণণীপ,	রণদীপ,	
shikshakrom,	শিক্ষাক্রম,	শিক্ষাক্রম,	
muradpur,	মুরাদপুর,	মুরাদপুর,	
karadando,	কারাদন্ড,	কারাদণ্ড,	
pachbar,	পাঁচবার,	পাঁচবার,	
shcholarshhip,	স্কলোরশিপ,	স্কলারশিপ,	
doobate,	দুবাতে,	ডুবাতে,	
chanake,	চানকে,	ছানাকে,	
vishhnu,	ভিষ্নু,	বিষ্ণু,	
bishrinkhala,	বিশৃঙ্খল,	বিশৃঙ্খলা,	
rubyo,	রুব্য,	রুবিও,	
parshwer,	পারস্বের,	পার্শ্বের,	
mandander,	মন্দানদের,	মানদণ্ডের,	
sqalarashipa,	স্কলারশিপ,	স্কলারশিপ,	
nagare,	নাগরে,	নগরে,	
eenameela,	ইনামেল,	এনামেল,	
mekbeth,	ম্যাকবেট,	ম্যাকবেথ,	
fiksa,	ফিক্স,	ফিক্স,	
barack,	ব্যারাক,	বারাক,	
ganoporibahon,	গণপরীবহন,	গণপরিবহন,	
ojowno,	অজু্ন,	অযৌন,	
bhugten,	ভুগতেন,	ভুগতেন,	
qinsa,	কিংস,	কিংস,	
samudratate,	সমুদ্রতাটে,	সমুদ্রতটে,	
jonopoth,	জনপথ,	জনপথ,	
rupantar,	রূপান্তর,	রুপান্তর,	
kharaar,	খারার,	খরার,	
damodar,	দামদার,	দামদর,	
palestine,	পালসস্টিন,	প্যালেস্টাইনে,	
voter,	ভোটের,	ভোটার,	
monjushree,	মন্জুরী,	মঞ্জুশ্রী,	
licenshe,	লিসেন্স,	লাইসেন্স,	
obosorer,	অবসরের,	অবসরের,	
gonjona,	গঞ্জনা,	গঞ্জনা,	
doshider,	দশীদের,	দোষীদের,	
ashok,	অশোক,	আশোক,	
showte,	শোট,	শোতে,	
hunayn,	হানান,	হুনাইন,	
