estoonia,	এস্টুনিয়া,	এস্তোনিয়া,	
suraaropito,	সুরার্পিত,	সুরারোপিত,	
lotheeran,	লথিরান,	লুথেরান,	
chaaktir,	চাকটির,	চাকতির,	
oboshorer,	অবশরের,	অবসরের,	
samudratatey,	সমুদ্রতাতে,	সমুদ্রতটে,	
khelafate,	খেলাফাতে,	খেলাফতে,	
aqabar,	একাবার,	আকাবার,	
loukeek,	লুউকিক,	লৌকিক,	
lokhindorer,	লোখনিদ্রের,	লখিন্দরের,	
chiroharit,	চিরহরিত,	চিরহরিৎ,	
prochondo,	প্রচন্ড,	প্রচণ্ড,	
bedanto,	বেদন্ত,	বেদান্ত,	
neshnosh,	নেশন্ষ,	নেশনস,	
sharif,	শরীফ,	শরিফ,	
shcholastiq,	স্কলসাত্টিক,	স্কলাস্টিক,	
ekkoghore,	একঘরে,	একঘরে,	
nirarthok,	নিরার্থক,	নিরর্থক,	
sambhabonao,	সম্ভাবনাও,	সম্ভবনাও,	
oporishodhito,	অপরিসধিত,	অপরিশোধিত,	
proteemake,	প্রতিমাকে,	প্রতিমাকে,	
sainyo,	সৈন্য,	সৈন্য,	
byatari,	ব্যততারি,	ব্যাটারী,	
tookrotey,	তুকরতে,	টুকরোতে,	
bocchon,	বচ্ছন,	বচ্চন,	
fooloo,	ফুলো,	পোলো,	
parikha,	পরিখ্যা,	পরিখার,	
modeltigulo,	মদেলীতগুলো,	মডেলগুলো,	
eshokol,	এসকোল,	এসকল,	
moqam,	মোকাম,	মোকাম,	
dale,	দলে,	ডালে,	
khelaphate,	খেলাফাতে,	খেলাফতে,	
sainyasaha,	সৈন্যসহ,	সৈন্যসহ,	
daaktikiter,	ডাক্তিকিতের,	ডাকটিকিটের,	
shaajaano,	সাজানো,	সাজানো,	
stonaheenja,	স্টোনাহিজ্ঞ,	স্টোনহেঞ্জ,	
heejee,	হেজি,	হেজ,	
kar,	কার,	কর,	
udbhaboni,	উদ্ভাবনী,	উদ্ভাবনী,	
baysharkarikarone,	বৈসাকররীকরণে,	বেসরকারিকরণ,	
nabyota,	নব্যতা,	নাব্যতা,	
ceramiqs,	সেরামিক্স,	সিরামিকস,	
jackson,	জকসন,	জ্যাকসন,	
janachche,	জনচ্ছে,	জানাচ্ছে,	
popeke,	পপপেক,	পোপকে,	
taler,	তেলের,	তালের,	
byaboharkariderke,	ব্যবহারকারীদেরকে,	ব্যবহারকারীদেরকে,	
phikshim,	ফিক্সিং,	ফিক্সিং,	
chalachchitroke,	চালচচিত্রকে,	চলচ্চিত্রকে,	
nadigulir,	নদীগুলির,	নদীগুলির,	
futanta,	ফুটন্ত,	ফুটন্ত,	
thetcher,	থিচার,	থ্যাচার,	
ankush,	অ্যাংকোশ,	অংকুশ,	
boonot,	বুনত,	বুনট,	
dharavahiktite,	ধারাভাহিতিতে,	ধারাবাহিকটিতে,	
ghatkey,	ঘাটকে,	ঘাটকে,	
kooda,	কোড,	কোড,	
siddhante,	সিদ্ধান্তে,	সিদ্ধান্তে,	
rohoshyor,	রোহস্যর,	রহস্যর,	
netsi,	নেটসি,	নাত্সি,	
zuktorastroshoho,	যুক্তরস্রসরহ,	যুক্তরাষ্ট্রসহ,	
tooku,	টুকু,	টুকু,	
bishnooke,	বিষ্ণুকে,	বিষ্ণুকে,	
matt,	মত,	ম্যাট,	
valobasakey,	ভালবাসকে,	ভালোবাসাকে,	
bhogirath,	ভোগীরথা,	ভগীরথ,	
hood,	হোদ,	হুড,	
cinematographar,	সিনেগার্থারর,	সিনেমাটোগ্রাফার,	
reefleex,	রেফল্যেক্স,	রিফ্লেক্স,	
poripake,	পরিপাকে,	পরিপাকে,	
srimati,	শ্রীমতি,	শ্রীমতি,	
neermol,	নির্মল,	নির্মল,	
engrezra,	ইংরেজ্রা,	ইংরেজরা,	
aachees,	আচিস,	আছিস,	
elakatikay,	এলাকাটিকে,	এলাকাটিকে,	
debdebi,	দেবদীবী,	দেবদেবী,	
bosano,	বসানো,	বসানো,	
aap,	আপ,	আপ,	
siddhantao,	সিদ্ধন্তত,	সিদ্ধান্তও,	
sikha,	শিখা,	শিখ,	
mohajot,	মহাজত,	মহাজোট,	
mmadhukkori,	মাধকুকরী,	মাধুকরী,	
dhyanastha,	ধ্যানস্থ,	ধ্যানস্থ,	
janaar,	জানার,	জানার,	
vishwanath,	বিশ্বাণাথ,	বিশ্বনাথ,	
asavya,	অসভ্য,	অসভ্য,	
mugdho,	মুধধ,	মুগ্ধ,	
santose,	সন্তাসে,	সন্তোষে,	
bishesyer,	বিশেষ্যের,	বিশেষ্যের,	
creesceent,	ক্রেসনেন্ট,	ক্রিসেন্ট,	
unit,	উনিট,	ইউনিট,	
hijritey,	হিজরিতে,	হিজরীতে,	
jatti,	জাতটি,	জাতটি,	
mailer,	মেলের,	মেইলের,	
bhorpur,	ভূরপুর,	ভরপুর,	
gazipore,	গাজীপরে,	গাজিপুর,	
eenameel,	এনামেল,	এনামেল,	
shakara,	সকাার,	সকার,	
jaaluk,	জালুক,	জ্বলুক,	
ponero,	পোনেরো,	পনের,	
dorgaaho,	দরগাহ,	দরগাহ,	
pharn,	ফার্ন,	ফার্ন,	
poshchater,	পশ্চাতের,	পশ্চাতের,	
chintai,	চিনতাই,	ছিনতাই,	
lokkhero,	লক্ষেরও,	লক্ষেরও,	
koordider,	কুর্দিদের,	কুর্দিদের,	
roopa,	রূপা,	রুপা,	
saralya,	সরলা্য,	সারল্য,	
second,	সেকন্ড,	সেকেণ্ড,	
sarboshaktimaan,	সর্বস্ককিবান,	সর্বশক্তিমান,	
jokrit,	যকৃত,	যকৃৎ,	
lesensa,	লেসেনস,	লাইসেন্স,	
baipash,	বৈপশ,	বাইপাস,	
roomantic,	রোমান্টিক,	রোমান্টিক,	
bhageroi,	ভাগেরই,	ভাগেরই,	
tetela,	টেটেল,	টাইটেল,	
hyaloyin,	হ্যালোইন,	হ্যালোইন,	
ohalyar,	ওহল্যার,	অহল্যার,	
ishpredshheet,	এস্প্রডেসটি,	স্প্রেডশীট,	
rupantor,	রূপান্তর,	রুপান্তর,	
shitey,	সীতে,	শীতে,	
elaakasoho,	এলাকাসহ,	এলাকাসহ,	
anshograhone,	অংশগ্রহণে,	অংশগ্রহনের,	
muhamad,	মুহামদ,	মুহাম্মদ,	
durgandho,	দুর্ঘন্ধ,	দুর্গন্ধ,	
janake,	জানাকে,	জানাতে,	
provura,	প্রভূরা,	প্রভুরা,	
steen,	স্টিন,	স্টেন,	
ahalyar,	আহল্যার,	অহল্যার,	
jyesthaa,	জেষ্ঠা,	জ্যেষ্ঠা,	
bhalobasar,	ভালবাসার,	ভালোবাসার,	
nagorikra,	নাগরিকরা,	নাগরিকেরা,	
mookhomandoley,	মুখমন্ডলে,	মুখমণ্ডলে,	
prakalpaguli,	প্রকল্পগুলি,	প্রকল্পগুলি,	
ojuhat,	অযুহহা,	অজুহাত,	
nirmaankaaj,	নির্মাণকাজ,	নির্মাণকাজ,	
madhoori,	মধধুরি,	মাধুরী,	
rudroke,	রূদ্রকে,	রুদ্রকে,	
moomtajer,	মুমতাজের,	মুমতাজের,	
meghnabodh,	মেঘনাাধ,	মেঘনাদবধ,	
maile,	মেইল,	মাইলি,	
maailey,	মাইলে,	মাইলে,	
vaider,	ভাইদের,	ভাইদের,	
muhammader,	মুহাম্মাদের,	মুহম্মদের,	
larshon,	লর্ষণ,	লারসন,	
dokkhinangsho,	দক্ষিণাংশ,	দক্ষিণাংশ,	
cheerontan,	চিরন্তন,	চিরন্তন,	
upobasi,	উপবাসী,	উপবাসী,	
cannel,	ক্যানেল,	ক্যানেল,	
porjotoker,	পর্যতকের,	পর্যটকের,	
dwibidho,	দ্বিবিধ,	দ্বিবিধ,	
chalochchitreeo,	চালচচিত্রেও,	চলচ্চিত্রেও,	
beatleser,	বিটল্সের,	বিটলসের,	
korle,	কোরে,	করলে,	
kamola,	কমলা,	কামলা,	
hurricanee,	হোরিকানি,	হ্যারিকেন,	
ganaporibahan,	গণপরিবহন,	গণপরিবহন,	
asor,	আসর,	আসর,	
kemane,	কেমানে,	কেমনে,	
songastha,	সংস্ঠা,	সংস্থা,	
adhunikkale,	আধুনিককালে,	আধুনিককালে,	
kaantojir,	কান্তজীর,	কান্তজির,	
nirvaha,	নির্ভাহ,	নির্বাহ,	
aajeej,	আজিজ,	আজিজ,	
songosthagulo,	সংখ্ঠাগুলো,	সংস্থাগুলো,	
uddhrito,	উদ্ধৃত,	উদ্ধৃত,	
phulkapi,	ফুলকাপি,	ফুলকপি,	
transhapharma,	ট্রান্সফোর্ম,	ট্রান্সফর্ম,	
pari,	প্যারি,	পেরি,	
satjaner,	সতজনের,	সাতজনের,	
rites,	রিটেস,	রিতেশ,	
janomukhee,	জনমুখী,	জনমুখী,	
grambaasio,	গ্রামবাশীও,	গ্রামবাসীও,	
caaling,	ক্যালিং,	কুলিং,	
postke,	পোস্টকে,	পোস্টকে,	
azim,	অয়মিম,	আজিম,	
mitar,	মিটার,	মিত্র,	
pracharanamulak,	প্রচাণমূলক,	প্রচারণামূলক,	
crescenter,	ক্রেসনেট্টার,	ক্রিসেন্টের,	
rephlex,	রেফল্টেস,	রিফ্লেক্স,	
qoda,	কোড,	কোড,	
songbadmadhyomgulote,	সংবাদদামুমুলোতে,	সংবাদমাধ্যমগুলোতে,	
phutonto,	ফুটন্ত,	ফুটন্ত,	
sangbadmadhyame,	সংবাদদম্যমে,	সংবাদমাধ্যমে,	
aasirbaad,	আশীর্বাদ,	আশির্বাদ,	
sanaktokaran,	সনাক্তকরণ,	সনাক্তকরণ,	
pubancholer,	পূবনাখলের,	পূর্বাঞ্চলের,	
provur,	প্রভূর,	প্রভুর,	
raktaksharaner,	রক্তাসকরণের,	রক্তক্ষরণের,	
udvaban,	উদ্বাবন,	উদ্ভাবন,	
graambaasio,	গ্রাম্বাসীয়া,	গ্রামবাসীও,	
samajer,	সমাজের,	সমাজের,	
ceramiks,	সেরামিক্স,	সিরামিকস,	
ganana,	গণনা,	গণনা,	
kortaam,	করতাম,	করতাম,	
hiranee,	হিরানী,	হিরানি,	
yucalyptush,	ইউক্লাপিটপস,	ইউক্যালিপ্টাস,	
byaboshtha,	ব্যবস্থা,	ব্যাবস্থা,	
protijogi,	প্রতিযোগী,	প্রতিযোগী,	
tarun,	তরুন,	তরুন,	
durger,	দুর্গের,	দুর্গের,	
rajtantrake,	রাজ্তন্ত্রকে,	রাজতন্ত্রকে,	
hepetaitisa,	হেপেটিটিস,	হেপাটাইটিস,	
gronthoty,	গ্রন্থটি,	গ্রন্থটি,	
ansareer,	আনসারীর,	আনসারীর,	
kiirti,	কীর্তি,	কীর্তি,	
traap,	ট্রাপ,	ট্রুপ,	
vodka,	ভোদকা,	ভদকা,	
sucre,	সুক্রে,	সাকার,	
chalachchitro,	চালচচ্ত্র,	চলচ্চিত্র,	
mandonder,	মণ্দন্ডের,	মানদণ্ডের,	
matthew,	ম্যাথেও,	ম্যাথিউ,	
jeten,	জেতেন,	জেতেন,	
satarkobhabe,	সতরাকভাবে,	সতর্কভাবে,	
patjat,	পাতজাত,	পাটজাত,	
definitian,	ডেফিনিশন,	ডেফিনেশন,	
gosthyti,	গোষ্ঠিতি,	গোষ্ঠীটি,	
koilash,	কোলাস,	কৈলাস,	
rajpurohit,	রাজপুরহীত,	রাজপুরোহিত,	
srabosty,	স্রবস্তি,	শ্রাবস্তী,	
grameryi,	গ্রামারি,	গ্রামেরই,	
changee,	চঙ্গে,	চেঞ্জ,	
ashonkai,	অসঙ্কাই,	আশঙ্কাই,	
chotogolper,	চোটগুল্পের,	ছোটগল্পের,	
indraa,	ইন্ড্রো,	ইন্দ্র,	
patochitrer,	পাতিচ্রের,	পটচিত্রের,	
bodna,	বদনা,	বদনা,	
bojhe,	বোঝে,	বোঝে,	
uponisod,	উপনিশদ,	উপনিষদ,	
modeley,	মোদেলে,	মডেলে,	
bossontoke,	বসন্তকে,	বসন্তকে,	
chowdhuryder,	চৌধুর্বীদের,	চৌধুরীদের,	
sastra,	সস্ত্র,	শাস্ত্র,	
abolokon,	অবলকন,	অবলোকন,	
shhikar,	শিকার,	শিকার,	
krus,	ক্রুশ,	ক্রুশ,	
udvaboney,	উদ্বাবনে,	উদ্ভাবনে,	
shuparahiro,	সুপারহহিরা,	সুপারহিরো,	
uter,	উইটের,	উটের,	
modelder,	মডালদের,	মডেলদের,	
thyachar,	থ্যাচার,	থ্যাচার,	
vishhnu,	বিষ্ণু,	বিষ্ণু,	
jamaanor,	জামানোর,	জমানোর,	
idaningkale,	এদানিক্ালে,	ইদানীংকালে,	
dienes,	ডিএনেস,	ডিএনএস,	
laesens,	লেসেন্স,	লাইসেন্স,	
chopol,	ছপল,	চপল,	
bhittitei,	ভিটিতেই,	ভিত্তিতেই,	
granthotike,	গ্রন্থটিকে,	গ্রন্থটিকে,	
onektai,	অনেকটাই,	অনেকটাই,	
nikataner,	নিকটনের,	নিকেতনের,	
kaleo,	কলেও,	কালেও,	
abhidhaaneec,	অভিধানিক,	অভিধানিক,	
ekbakke,	একবাকে,	একবাক্যে,	
michiler,	মিচিলের,	মিছিলের,	
puddin,	পুদ্দিন,	পুডিং,	
musalmanyi,	মুসম্লন্যী,	মুসলমানই,	
ghesei,	ঘেসেই,	ঘেঁষেই,	
ajeempur,	এজিমপুর,	আজিমপুর,	
peterkey,	পিটারকে,	পিটারকে,	
samanwitabhabey,	সমান্তভাবে,	সমন্বিতভাবে,	
korleyi,	করলেই,	করলেই,	
silvi,	সিলভি,	সিলভি,	
chaity,	চৈতি,	চৈতি,	
praima,	প্রেম,	প্রাইম,	
aamude,	আমুদে,	আমুদে,	
dharati,	ধারতি,	ধারাটি,	
lyanding,	ল্যান্ডিং,	ল্যান্ডিং,	
manohputo,	মানসপুত,	মনঃপুত,	
mahibur,	মহিবুর,	মহিবুর,	
korley,	কোরে,	করলে,	
twakei,	ত্বাকেই,	ত্বকেই,	
itastata,	ইতস্ততা,	ইতস্ততঃ,	
sahooseekotar,	সহসিপকতার,	সাহসিকতার,	
jonsha,	জনসা,	জোন্স,	
robotic,	রোবটিক,	রোবোটিক,	
mohajote,	মহাজতে,	মহাজোট,	
dola,	ডোলা,	দলা,	
graambasi,	গ্রামবাসী,	গ্রামবাসী,	
coolin,	কোলিং,	কুলিং,	
patthkromer,	পাঠ্রমরের,	পাঠক্রমের,	
cholocchitroi,	চলচিত্রেই,	চলচ্চিত্রই,	
sperm,	স্পার্ড,	স্পার্ম,	
shkolastic,	স্কলসটিক্স,	স্কলাস্টিক,	
fox,	ফক্স,	ফক্স,	
pituni,	পিতুনী,	পিটুনি,	
esasiyetasa,	এসাসিটাস,	এসোসিয়েটস,	
nursery,	নার্সারী,	নার্সারি,	
anchaltitey,	অঞ্চলটিতে,	অঞ্চলটিতে,	
jaunatar,	যৌনতার,	যৌনতার,	
janamukhi,	জানামুখী,	জনমুখী,	
bedkey,	বেঁকে,	বেদকে,	
hugh,	হুঘ,	হিউজ,	
duma,	দুমা,	দুমা,	
ekshotee,	একসতি,	একশোটি,	
injiniyarim,	ইনজিনিয়ারিং,	ইঞ্জিনিয়ারিং,	
bagichar,	বাজিচার,	বাগিচার,	
masjid,	মাসজিদ,	মসজিদ,	
abhidhaaner,	অভিধানের,	অভিধানের,	
ghenshe,	ঘেনসে,	ঘেঁষে,	
adhuna,	আধুনা,	অধুনা,	
banijyikvittite,	বানিজ্বিক্তিতে,	বাণিজ্যিকভিত্তিতে,	
atitkale,	অতীককালে,	অতীতকালে,	
spreedashita,	স্প্র্ডেশিত,	স্প্রেডশীট,	
guzober,	গুজবের,	গুজবের,	
bolatkar,	বোলতকর,	বলাৎকার,	
kompeeto,	কম্পিত,	কম্পিত,	
manhputo,	মাধপুত,	মনঃপুত,	
bosturoi,	বস্তুরই,	বস্তুরই,	
rakhtokkharoner,	রক্ষতরকরণের,	রক্তক্ষরণের,	
ester,	এস্টের,	ইস্টার,	
debate,	দেবাতে,	ডিবেট,	
omarjito,	অমা্জিত,	অমার্জিত,	
naaji,	নাজি,	নাত্সি,	
pathanatak,	পথনাতক,	পথনাটক,	
kada,	কাদ,	কোড,	
deenesh,	ডিনেশ,	দীনেশ,	
pravur,	প্রভূর,	প্রভুর,	
kinsa,	কিনস,	কিংস,	
kalam,	কলম,	কালাম,	
manushera,	মানুসেরা,	মানুষেরা,	
sayanaida,	সায়ানিডা,	সায়ানাইড,	
saranor,	সারণর,	সরানোর,	
pyore,	প্যারে,	পিওর,	
bidrohiderke,	বিদ্রোহিদারীকে,	বিদ্রোহীদেরকে,	
aminool,	এমিনুল,	আমিনুল,	
mojlish,	মজলিস,	মজলিশ,	
obdi,	আবিদি,	অব্দি,	
graambasir,	গ্রামবাসীর,	গ্রামবাসীর,	
prostutkarok,	প্রস্তুরকক,	প্রস্তুতকারক,	
sheekar,	শিকার,	শিকার,	
ranangone,	রাণাঙগনে,	রণাঙ্গনে,	
degreeo,	ডিগ্রেও,	ডিগ্রিও,	
chetonagato,	চেতাগতা,	চেতনাগত,	
nyeta,	ন্যাত,	ম্যাট,	
choudhoorio,	চৌধুরিও,	চৌধুরীও,	
dembakriti,	দিমববকৃতি,	ডিম্বাকৃতি,	
biqe,	বিকে,	বাইক,	
soommita,	সুম্তিত,	সুমিতা,	
foreex,	ফরেক্স,	ফরেক্স,	
dibi,	দিবি,	দিবি,	
zubokera,	যুবকেরা,	যুবকেরা,	
udbodhoni,	উদ্বধোনী,	উদ্বোধনী,	
kode,	কোড,	কোড,	
karoo,	কারু,	কারো,	
abheedhanik,	অভিধানিক,	অভিধানিক,	
puroheetra,	পুরোহিত্রা,	পুরোহিতরা,	
shiniyara,	সিনিয়ার,	সিনিয়র,	
bhugarbhe,	ভুগর্ভে,	ভূগর্ভে,	
sbajan,	স্বজন,	স্বজন,	
uchhoshito,	উচ্চশিত,	উচ্ছসিত,	
brindabane,	বৃণ্দবনে,	বৃন্দাবনে,	
puzita,	পুজিতা,	পূজিতা,	
kareer,	কারির,	কারীর,	
plak,	প্লক,	প্ল্যাক,	
bahyo,	বাহ্য,	বাহ্য,	
setite,	স্টীতে,	সেটিতে,	
guzob,	গুজব,	গুজব,	
damanmulak,	দামানমূলক,	দমনমূলক,	
serveray,	সার্ভেরে,	সার্ভারে,	
hatodaridra,	হতোদদির্র,	হতদরিদ্র,	
eshtoniya,	এস্টনিয়া,	এস্তোনিয়া,	
venice,	ভেনিসে,	ভেনিস,	
bharadwaj,	ভারাদাজা,	ভরদ্বাজ,	
tintike,	তিনটিকে,	তিনটিকে,	
meghnadbadh,	মেঘনাদ্ধ,	মেঘনাদবধ,	
zuktorastrer,	যুক্তরাস্ট্রের,	যুক্তরাষ্ট্রের,	
saphallyar,	সাফল্যার,	সাফল্যের,	
aashtikotaa,	আস্তিকতা,	আস্তিকতা,	
fanser,	ফাঁসের,	ফাঁসের,	
kormoke,	কর্মকে,	কর্মকে,	
chalabe,	চালাবে,	চালাবে,	
otiteo,	অতিতেও,	অতীতেও,	
digreeo,	ডিগ্রেও,	ডিগ্রিও,	
harbar,	হারবার,	হারবার,	
nartana,	নার্তন,	নর্টন,	
bohudin,	বহুদিন,	বহুদিন,	
porizon,	পরিজন,	পরিজন,	
marier,	মারিয়ার,	ম্যারির,	
plator,	প্লাটার,	প্লেটোর,	
madaul,	মদলউল,	মাদল,	
soccar,	সক্চার,	সকার,	
phareksha,	ফরেক্স,	ফরেক্স,	
monmoth,	মনমো,	মন্মথ,	
chitronatyokar,	চিত্রনাত্যকার,	চিত্রনাট্যকার,	
shiropadhari,	শিরোপধারী,	শিরোপাধারী,	
dibug,	দিবুগ,	ডিবাগ,	
aabahan,	আবাহন,	আবাহন,	
keyuyi,	কেউই,	কেউই,	
selim,	সেলিং,	সেলিম,	
jacqsan,	জাকসন,	জ্যাকসন,	
jansha,	জনসা,	জন্স,	
queery,	কুয়ারি,	কোয়েরি,	
poriskoron,	পরিষ্কারণ,	পরিষ্করণ,	
shithilatar,	শীহীতালতার,	শিথিলতার,	
metroopoolitan,	মেট্রুপিলান,	মেট্রোপলিটন,	
naitikatabodh,	নাতিত্বাবাোধ,	নৈতিকতাবোধ,	
jarool,	জারুল,	জারুল,	
chamke,	চ্মাকে,	চমকে,	
nikela,	নিকেল,	নিকেল,	
fanskari,	ফাংসকারী,	ফাঁসকারী,	
aloteo,	আলতেও,	আলোতেও,	
sheekarke,	শ্বীকারকে,	শিকারকে,	
brindaaboner,	বৃণ্দবনের,	বৃন্দাবনের,	
sinaake,	সিনাকে,	সিনাকে,	
starker,	স্টার্কের,	স্টার্কের,	
graambaashio,	গ্রাম্বশীও,	গ্রামবাসীও,	
ostad,	অস্টাদ,	ওস্তাদ,	
asietic,	আসেটিক,	এশিয়াটিক,	
poshte,	পোষ্টে,	পোষ্টে,	
heze,	হেজে,	হেজ,	
arakaner,	আরকানের,	আরাকানের,	
shikarder,	শিকারদের,	শিকারদের,	
deepon,	দীপন,	দীপন,	
vangley,	ভাঙ্লে,	ভাঙলে,	
sangkoolan,	সংকুলান,	সংকুলান,	
vaisaha,	ভাইসা,	ভাইসহ,	
nironjan,	নিরঞ্জন,	নিরঞ্জন,	
wenish,	ভিনিস,	ভেনিস,	
addabaz,	আদ্যাবাজ,	আড্ডাবাজ,	
noditi,	নদীতি,	নদীটি,	
vishnuke,	বিষ্ণুকে,	বিষ্ণুকে,	
byaboharkarikey,	ব্যবহারকারীকে,	ব্যবহারকারীকে,	
pratyokkhobhabe,	প্রত্যাখ্যবাবে,	প্রত্যক্ষভাবে,	
sohopatheekey,	সহপাষিকে,	সহপাঠীকে,	
sosharire,	সশারীরে,	সশরীরে,	
vabani,	ভবনাই,	ভবানী,	
laj,	লজ,	লাজ,	
loukikotaa,	লোোকিকাতা,	লৌকিকতা,	
hishabke,	হিসাবকে,	হিসাবকে,	
obharbhiu,	অভারভিউ,	ওভারভিউ,	
browser,	ব্রাসের,	ব্রাউজার,	
kortona,	কর্তনা,	করতনা,	
pratishthanik,	প্রতিষ্ঠানিক,	প্রাতিষ্ঠানিক,	
sahojlabhbhatar,	সহজ্লভভাতার,	সহজলভ্যতার,	
biswash,	বিশ্বাস,	বিশ্বাস,	
byabosthar,	ব্যবস্থার,	ব্যবস্থার,	
songosthatike,	সংস্থাতিকে,	সংস্থাটিকে,	
shrabasti,	শ্রবস্তী,	শ্রাবস্তী,	
juktorashtre,	যুক্তরাস্ত্রে,	যুক্তরাষ্ট্রে,	
paripaker,	পরিপকের,	পরিপাকের,	
jak,	যাক,	জাঁক,	
chironton,	চিরন্তন,	চিরন্তন,	
ssumitrar,	সুমিত্রার,	সুমিত্রার,	
gardeena,	গার্ডিন,	গার্ডেন,	
oncholeo,	অঞ্চলেও,	অঞ্চলেও,	
modeling,	মডডলিং,	মডেলিং,	
horidar,	হরিদার,	হরিদ্বার,	
arthonitike,	অর্থনীতিকে,	অর্থনীতিকে,	
america,	আমেরিকা,	আমেরিকা,	
torcarir,	তরফাারীর,	তরকারীর,	
tistaar,	টিস্টার,	তিস্তার,	
somoshtike,	সমস্তিকে,	সমষ্টিকে,	
shooter,	শুটের,	শ্যুটার,	
qulim,	কুলিং,	কুলিং,	
erina,	এরিন,	এরিনা,	
niropekkhotaar,	নিরপ্কক্থার,	নিরপেক্ষতার,	
apadan,	আপদান,	অপাদান,	
siddhanter,	সিদ্ধান্তের,	সিদ্ধান্তের,	
saramiks,	সারামিক্স,	সিরামিকস,	
swapad,	স্বপাদ,	শ্বাপদ,	
advut,	আদভুত,	অদ্ভুত,	
raiter,	রাইটের,	রাইটের,	
definition,	ডেফিনিশন,	ডেফিনেশন,	
apocheshta,	অপচেষ্ট,	অপচেষ্টা,	
zibonnogor,	জীবননগর,	জীবননগর,	
uporostho,	উপরস্থ,	উপরস্থ,	
nagaland,	নাগাল্ন,	নাগাল্যান্ড,	
longhon,	লঙ্ঘন,	লংঘন,	
roy,	রো,	রায়,	
janapath,	জানাথ,	জনপথ,	
bbosonte,	বসন্তে,	বসন্তে,	
ajuhat,	অযুহহা,	অজুহাত,	
joubonbotee,	যৌবনবতী,	যৌবনবতী,	
shqolastic,	স্কলসটিক্স,	স্কলাস্টিক,	
mukhmondol,	মুখমন্ডল,	মুখমণ্ডল,	
charrjar,	চর্জার,	চার্জার,	
ronangone,	রোনাঙ্গনে,	রণাঙ্গনে,	
ala,	আলা,	আলা,	
kumari,	কুমারি,	কুমারী,	
bhenicer,	ভেনিকের,	ভেনিসের,	
bagdhara,	বাগধারা,	বাগধারা,	
pyatarna,	প্যাটার্ন,	প্যাটার্ন,	
expresion,	এক্সপ্রেশন,	এক্সপ্রেশন,	
addhatikota,	আধ্ধাতিকতা,	আধ্যাত্মিকতা,	
rah,	রাহ,	রঃ,	
thime,	থিমে,	থিমে,	
ghesa,	ঘেসা,	ঘেঁষা,	
gatibege,	গতিবেগে,	গতিবেগে,	
fasi,	ফাসি,	ফাঁসী,	
antarctikar,	অন্তর্কটিকার,	অ্যান্টার্কটিকার,	
bonnopraan,	বন্যপ্রণণ,	বন্যপ্রাণ,	
chalachchitroi,	চালচচিত্রই,	চলচ্চিত্রই,	
timoothi,	তিমুথি,	টিমোথি,	
dephinishion,	ডেফিনিশন,	ডেফিনেশন,	
azimkey,	আজিমকে,	আজিমকে,	
futonto,	ফুটন্ত,	ফুটন্ত,	
debdebie,	দেবদীবী,	দেবদেবী,	
bike,	বিকে,	বাইক,	
kodorer,	কদরের,	কদরের,	
pala,	পোলা,	পোলো,	
edii,	এডি,	আইডিই,	
shima,	সিম,	সীমা,	
abhidhaaneek,	অভিধানিক,	অভিধানিক,	
manoharpur,	মনোতরপর,	মনোহরপুর,	
nuton,	নূতন,	নূতন,	
cantan,	ক্যান্টন,	ক্যান্টন,	
bbiswashe,	বিশ্বাসে,	বিশ্বাসে,	
gori,	গরি,	গোরি,	
mmesenjarer,	মেসেজাজারের,	মেসেঞ্জারের,	
murrayir,	মুরাইর,	ম্যারির,	
kaaleo,	কালেও,	কালেও,	
dharmantor,	ধর্মন্তর,	ধর্মান্তর,	
definisian,	ডেফিনিসন,	ডেফিনেশন,	
maahe,	মাহে,	মাহে,	
ajija,	আজিজ,	আজিজা,	
jubokshoho,	যুবক্ষ,	যুবকসহ,	
abatar,	অবতার,	অবতার,	
lombatey,	লম্বতে,	লম্বাটে,	
pooroheetke,	পুরহিতকে,	পুরোহিতকে,	
jolrang,	জলর্ঞ,	জলরঙ,	
inapharameeshana,	ইনফর্মেশন,	ইনফরমেশন,	
somonnitobhabe,	সমন্নীতভাবে,	সমন্বিতভাবে,	
sorjur,	সর্জুর,	সরযূর,	
kkunti,	কুনটি,	কুন্তী,	
agrodut,	অগ্রদুত,	অগ্রদূত,	
bidghute,	বিধুতে,	বিদঘুটে,	
haj,	হ্যাজ,	হয,	
ptolemir,	প্লোেলির,	টলেমির,	
chhattrorai,	ছাত্ররাই,	ছাত্ররাই,	
armenian,	আর্মেনিয়ান,	আর্মেনিয়ান,	
sookkho,	সুক্ষ,	সুক্ষ্ম,	
saifai,	সাইফ,	সাইফাই,	
aiisa,	আইস,	আইএএস,	
abikaul,	আবিকুল,	অবিকল,	
premo,	প্রেম,	প্রিমো,	
kraim,	ক্রেম,	ক্রাইম,	
parksh,	পার্ক্স,	পার্কস,	
bipajjanak,	বিপজজজনকা,	বিপজ্জনক,	
sifi,	সিফি,	সাইফাই,	
bodhirata,	বোধিরতা,	বধিরতা,	
olongkoron,	অলঙককরণ,	অলঙ্করণ,	
aholar,	আহলার,	অহল্যার,	
vagni,	ভাগ্নী,	ভগ্নী,	
niketaner,	নিকেতনের,	নিকেতনের,	
saabyastha,	সব্যস্থ,	সাব্যস্থ,	
esiyatika,	এসিয়েটিক,	এশিয়াটিক,	
