naper,	নাপের,	ন্যাপের,	
airish,	আইরিশ,	আইরিস,	
akla,	অকলা,	একলা,	
sosej,	সসেজ,	সসেজ,	
romantiq,	রমমন্তিক,	রোমান্টিক,	
nothivookteer,	নথিভুক্তির,	নথিভুক্তির,	
sabrakamer,	সাব্রকমের,	সবরকমের,	
qaro,	কারও,	কারো,	
prithbir,	পৃথ্বীর,	পৃথবীর,	
nikater,	নিকটের,	নিকটের,	
kram,	ক্রম,	ক্রম,	
gora,	গোর,	গোর,	
plater,	প্লেটার,	প্লেটের,	
pushteer,	পুষ্টির,	পুষ্টির,	
ghumata,	ঘুমাটা,	ঘুমাতো,	
birishirite,	বিরিশীরিতে,	বিরিশিরিতে,	
songosthati,	সংস্থাটি,	সংস্থাটি,	
varotey,	ভারতে,	ভারতে,	
dibate,	দিবাতে,	ডিবেট,	
jonmato,	জন্মাত,	জন্মাত,	
jeebnagar,	জীবনাগর,	জীবননগর,	
chalochchitrai,	চলচ্তিত্রী,	চলচ্চিত্রই,	
palestiner,	প্যালেস্টিনের,	প্যালেস্টাইনের,	
abheedhaanick,	অভিধানিক,	অভিধানিক,	
karadondo,	কারাদন্ড,	কারাদণ্ড,	
reflex,	রেফেলস্স,	রিফ্লেক্স,	
uindos,	উইন্ডস,	উইন্ডোস,	
bojhaar,	বোঝার,	বোঝার,	
digrike,	ডাইগ্রীকে,	ডিগ্রিকে,	
asavya,	অসভ্য,	অসভ্য,	
sainyo,	সৈনও,	সৈন্য,	
rajshri,	রাজশ্রী,	রাজশ্রী,	
shcholashtic,	স্কলাস্টিক,	স্কলাস্টিক,	
agomoney,	অগমনে,	আগমনে,	
obharbheeu,	অভারভূবি,	ওভারভিউ,	
maudeler,	মাউডেলের,	মডেলের,	
rachonakal,	রচনাকাল,	রচনাকাল,	
neemitte,	নিমিত্যে,	নিমিত্তে,	
sardar,	সর্দার,	সরদার,	
ponjeekaar,	পন্জিকার,	পঞ্জিকার,	
gabeshonagar,	গবেষণাগার,	গবেষনাগার,	
jolatonko,	জলাতনক,	জলাতঙ্ক,	
fiksim,	ফিক্সিং,	ফিক্সিং,	
byetasamyan,	ব্যাতসম্যাণ,	ব্যাটসম্যান,	
risorte,	রিসোর্টে,	রিসোর্টে,	
banijyikbhittik,	বানিজ্যিক্তিক,	বাণিজ্যিকভিত্তিতে,	
masharraf,	মাশাররফ,	মশাররফ,	
pujit,	পূঁজিত,	পুজিত,	
avishangsan,	অভিষাসন,	অভিশংসন,	
qarpeta,	কর্পট,	কার্পেট,	
juktorashtre,	যুক্তরাস্ট্রে,	যুক্তরাষ্ট্রে,	
samudratate,	সমুদ্রতে,	সমুদ্রতটে,	
tyapa,	ট্যাপ,	ট্যাপ,	
choddo,	ছদ্্,	চোদ্দো,	
ishahak,	ইসহাক,	ইসাহাক,	
lombate,	লম্বাতে,	লম্বাটে,	
bachaikrito,	বাচাছৃকৃত,	বাছাইকৃত,	
paree,	পারী,	পাড়ে,	
oncholeo,	অঞ্চলেও,	অঞ্চলেও,	
silver,	শিলভের,	সিলভার,	
ghatlo,	ঘটতলো,	ঘটল,	
shaahaabiike,	সাহাবিকে,	সাহাবীকে,	
bhangle,	ভাঙলে,	ভাঙলে,	
alsaara,	আলসার,	আলসার,	
conphlikt,	কনফ্লিক্ট,	কনফ্লিক্ট,	
sahochorjey,	সহচর্জে,	সাহচর্যে,	
sommoteete,	সম্মটিতে,	সম্মতিতে,	
ancholtite,	অঞ্চলিতে,	অঞ্চলটিতে,	
mittrer,	মিত্রের,	মিত্রের,	
haripur,	হারিপুর,	হরিপুর,	
keo,	কিও,	কেউ,	
nikel,	নিকেল,	নিকেল,	
raagkey,	রাগকে,	রাগকে,	
avijojan,	অভিযোজন,	অভিযোজন,	
bishnu,	বিষ্ণু,	বিষ্ণু,	
hotodoridro,	হতোদরর্্,	হতদরিদ্র,	
heeli,	হিলি,	হিলি,	
dala,	দলা,	দলা,	
juktorastrer,	যুক্তরাস্ট্রের,	যুক্তরাষ্ট্রের,	
horeener,	হরিনের,	হরিণের,	
aireshe,	আইরেশ,	আইরেসে,	
shikkhagato,	শিক্ষাগত,	শিক্ষাগত,	
sikhechi,	শিখেছি,	শিখেছি,	
rohosyer,	রহহ্যের,	রহস্যের,	
ghoorte,	ঘুরতে,	ঘুরতে,	
sthapanagulo,	স্থাপানগুলো,	স্থাপনাগুলো,	
chhintayikari,	ছিনতাইতাকারী,	ছিনতাইকারী,	
mumtajer,	মুমতাজের,	মুমতাজের,	
abheedhaneec,	অভিধানিক,	অভিধানিক,	
sahazlabhbhotar,	সহজলভভবতার,	সহজলভ্যতার,	
nikat,	নিকট,	নিকট,	
gaugee,	গৌগী,	গেজ,	
cena,	কেন,	সিনা,	
korimke,	করিমকে,	করিমকে,	
daaun,	ডাউন,	ডাউন,	
uponeeshod,	উপনিষদ,	উপনিষদ,	
gaddafi,	গ্যাডফাফি,	গাদ্দাফী,	
shumo,	সুমো,	সুমো,	
kormokarke,	কর্মকারকে,	কর্মকারকে,	
hili,	হিলি,	হিলি,	
roi,	রই,	রায়,	
mashjid,	মাসজিদ,	মসজিদ,	
janamukhi,	জানামুখী,	জনমুখী,	
kurdider,	কুর্দিদের,	কুর্দিদের,	
santoshpur,	সান্তুসপুর,	সন্তোষপুর,	
padee,	পাদে,	পাড়ে,	
salafeta,	সলফেট,	সালফেট,	
ileeing,	ইলিং,	ইলিং,	
fokser,	ফক্সের,	ফক্সের,	
poderthobid,	পদার্থবিদ,	পদার্থবিদ,	
laagto,	লাগট,	লাগতো,	
chhootochhuti,	ছুটোচটি,	ছুটোছুটি,	
parishkaran,	পরিস্কাণ,	পরিষ্করণ,	
neeshanasa,	নিশনাস,	নেশনস,	
manushtike,	মানুষ্টিকে,	মানুষটিকে,	
korecho,	করেছ,	করেছো,	
manahputa,	মানাপুত,	মনঃপুত,	
dharer,	ধারের,	ধরের,	
phimeela,	ফিমেল,	ফিমেল,	
rajnaiteek,	রাজনীতিক,	রাজনৈতীক,	
salapheta,	সালফেট,	সালফেট,	
injiniyarsha,	ইনজিনিয়্র,	ইঞ্জিনিয়ার্স,	
akkash,	একাশ,	আককাস,	
crecenter,	ক্রেকেন্টার,	ক্রিসেন্টের,	
rubidiyaam,	রুবিডিয়াম,	রুবিডিয়াম,	
monzushree,	মন্যুস্রী,	মঞ্জুশ্রী,	
ponnee,	পন্যি,	পন্নী,	
bhaskar,	ভাস্কার,	ভাস্কর,	
nothibhukto,	নথিভুক্ত,	নথিভুক্ত,	
sookumari,	সুকুমারী,	সুকুমারী,	
madhuree,	মাধুরী,	মাধুরী,	
manohputo,	মানপুপত,	মনঃপুত,	
lokkhero,	লক্ষেরও,	লক্ষেরও,	
brindaboney,	ব্রিন্দাবনে,	বৃন্দাবনে,	
coolin,	কুলিন,	কুলিং,	
pana,	পান,	পানা,	
eukalyptush,	এউকলিপ্টুস,	ইউক্যালিপ্টাস,	
isosiyitasa,	এসোসিটেট,	এসোসিয়েটস,	
lagic,	লাগিক,	লজিক,	
bheenama,	ভেনাম,	ভেনম,	
sibiai,	সিবিই,	সিবিআই,	
maheendra,	মহীন্দ্র,	মাহিন্দ্রা,	
khogen,	খোগেন,	খগেন,	
patrol,	পাত্রোল,	পেট্রোল,	
syfy,	সিফী,	সাইফাই,	
mirakeela,	মিরাকিল,	মিরাকেল,	
forex,	ফরেক্স,	ফরেক্স,	
haldim,	হালদিম,	হোল্ডিং,	
aarakani,	আরকাণী,	আরাকানী,	
dharmee,	ধার্মী,	ধর্মী,	
notti,	নটটি,	নোটটি,	
riphleeksa,	রাইফেলস,	রিফ্লেক্স,	
shodhon,	সধন,	শোধন,	
tafaat,	তফাত,	তফাৎ,	
bharpur,	ভারপুর,	ভরপুর,	
soorsa,	সোর্স,	সোর্স,	
societytey,	সকিটিতে,	সোসাইটিতে,	
jonmat,	জন্মাত,	জন্মাত,	
siiter,	শীটের,	শীতের,	
charrjer,	চ্যারেজার,	চার্জের,	
oncholti,	অঁচলতি,	অঞ্চলটি,	
assastikar,	অস্বতস্তিকার,	অস্বস্তিকর,	
naditei,	নাদিতেই,	নদীতেই,	
tinhazar,	তিনহাজার,	তিনহাজার,	
confliqt,	কনফলিক্ট,	কনফ্লিক্ট,	
bastubad,	বস্তুবাদ,	বস্তুবাদ,	
nitikatha,	নীতিকথা,	নীতিকথা,	
udbodhone,	উদ্বোধনে,	উদ্বোধনে,	
surarop,	সুরারোপ,	সুরারোপ,	
qarlosa,	কার্লস,	কার্লোস,	
daaktikite,	ডাক্তিকেতে,	ডাকটিকিটে,	
engreziteo,	ইংরেজীতে,	ইংরেজিতেও,	
koomarir,	কোমারির,	কুমারীর,	
sinakey,	সিনাকে,	সিনাকে,	
ispredseet,	ইস্্রেডসেট,	স্প্রেডশীট,	
cyanide,	ক্যানিড,	সায়ানাইড,	
kinsa,	কিংস,	কিংস,	
susamo,	সুসম,	সুসম,	
naitikatabodh,	নাতিতাবধ,	নৈতিকতাবোধ,	
bishnooke,	বিশ্ণুকে,	বিষ্ণুকে,	
rajbondi,	রাজবন্দী,	রাজবন্দী,	
minister,	মিনিস্টার,	মিনিস্টার,	
jathartha,	যথার্থ,	যথার্থ,	
expresion,	এক্সপ্রেসিহ,	এক্সপ্রেশন,	
nagariker,	নাগারীকের,	নাগরিকের,	
ieub,	ইউব,	আইইউবি,	
seqtara,	সেক্টার,	সেক্টর,	
totokkhon,	ততক্ষণ,	ততক্ষন,	
bhittio,	ভিত্তিও,	ভিত্তিও,	
abasare,	অবসরে,	অবসরে,	
matrirup,	মাতৃরীপূ,	মাতৃরূপ,	
dibug,	দিবুগ,	ডিবাগ,	
lyande,	ল্যান্ডে,	ল্যান্ডে,	
ghurtey,	ঘুরতে,	ঘুরতে,	
anuchcheder,	অনুছছেদের,	অনুচ্ছেদের,	
ganosakkhorota,	গণস্করতা,	গণসাক্ষরতা,	
upobaasher,	উপবাসের,	উপবাসের,	
choshon,	চোষণ,	চোষণ,	
maila,	মেল,	মাইল,	
banshite,	বাঁসিতে,	বাঁশিতে,	
anan,	আনান,	আনান,	
potchitro,	পথ্চিত্র,	পটচিত্র,	
toroni,	তরণী,	তরণী,	
uruu,	উরু,	উরু,	
germanyteo,	জার্মানীতে,	জার্মানিতেও,	
songrahok,	সংগ্রাহক,	সংগ্রাহক,	
laiseens,	লাইলেন্স,	লাইসেন্স,	
marodeho,	মারোদহ,	মরদেহ,	
sikara,	শিকরর,	শিকার,	
alaa,	আলা,	আলা,	
siddhantagulo,	সিদ্ধানগতলো,	সিদ্ধান্তগুলো,	
jomaanor,	জমানোর,	জমানোর,	
cholochchitrotike,	চলচ্চিত্রকিতে,	চলচ্চিত্রটিকে,	
bytes,	বাইটস,	বাইটস,	
maaktume,	মাযাক্তমে,	মাকতুম,	
unitshoho,	ইনিতসহ,	ইউনিটসহ,	
khele,	খেলে,	খেলে,	
hondooras,	হন্দুরস,	হন্ডুরাস,	
shikarder,	শিকররদের,	শিকারদের,	
uponeeshoder,	উপনিষদের,	উপনিষদের,	
protisthan,	প্রতিষ্ঠান,	প্রতিষ্টান,	
jibjontu,	জিবজন্তু,	জীবজন্তু,	
suparahiro,	সুপারোহীরা,	সুপারহিরো,	
onkeeta,	অংকিতা,	অঙ্কিতা,	
gore,	গোরে,	গোর,	
hijri,	হিজরি,	হিজরী,	
songkoloney,	সংকলনে,	সংকলনে,	
parbottyo,	পার্বত্ব,	পার্বত্য,	
basturoi,	বস্তুরই,	বস্তুরই,	
horinner,	হরিন্যের,	হরিণের,	
tookrote,	তুকরেতে,	টুকরোতে,	
saoum,	সাযাম,	সাওম,	
pratishthanikbhabe,	প্রতিষ্ঠানিকভাবে,	প্রাতিষ্ঠানিকভাবে,	
songasthatike,	সংস্থাটিকে,	সংস্থাটিকে,	
osamorik,	অসামরিক,	অসামরিক,	
bhromonkale,	ভ্রমণকালে,	ভ্রমণকালে,	
satan,	সতন,	শয়তান,	
toufiq,	তৌফিক,	তৌফিক,	
seelbhee,	সিলভী,	সিলভি,	
yura,	ইউর,	ইউরো,	
olympicer,	অলযামিপ্যাকের,	অলিম্পিকের,	
omittrakkhor,	অমিত্রক্ষর,	অমিত্রাক্ষর,	
chalochchitragulor,	চলচ্চিত্রগুলোর,	চলচ্চিত্রগুলোর,	
naditi,	নাদীটি,	নদীটি,	
krusher,	ক্রুসের,	ক্রুশের,	
abheegomon,	অভিগোমণ,	অভিগমন,	
konoroop,	কনোরূপ,	কোনরূপ,	
ghurte,	ঘুরতে,	ঘুরতে,	
taunashipa,	তাউস্বিপ,	টাউনশিপ,	
zuktorastrer,	যুক্তরাস্ট্রের,	যুক্তরাষ্ট্রের,	
sachetanatamulak,	সক্ষেতনামূলক,	সচেতনতামূলক,	
charjara,	চর্জার,	চার্জার,	
ganonanatto,	গনননাত্ব,	গণনাট্য,	
pharanyeta,	ফরন্যিতা,	ফরম্যাট,	
attar,	আত্মার,	আত্তার,	
obosorer,	অবসরের,	অবসরের,	
canservatian,	কনাারভেশনেন,	কনসারভেশন,	
akkharke,	আক্ষরকে,	অক্ষরকে,	
akib,	একীব,	আকিব,	
foolkopi,	ফুলকপি,	ফুলকপি,	
armshtrong,	আর্স্টোরস,	আর্মস্ট্রং,	
goodamjato,	গুদামাজত,	গুদামজাত,	
barnish,	বার্নিস,	বার্নিশ,	
nischitrupe,	নিষ্কৃতপূপে,	নিশ্চিতরূপে,	
abolokon,	অবলকক,	অবলোকন,	
cholochchitra,	চলচিত্র,	চলচ্চিত্র,	
jaubankal,	যৌবনকাল,	যৌবনকাল,	
ahong,	আহং,	অহং,	
elakaai,	এলাকই,	এলাকাই,	
opohoron,	অপহরণ,	অপহরন,	
potcheetrer,	পটচ্তিত্রের,	পটচিত্রের,	
makong,	ম্যাকং,	মেকং,	
maniktola,	ম্যানিক্টলা,	মানিকতলা,	
moshjidshoho,	মস্দিসহ,	মসজিদসহ,	
chhedon,	ছেদন,	ছেদন,	
basaake,	বাসাকে,	বাসাকে,	
kolahal,	কলাহল,	কোলাহল,	
bitolser,	বিতলসের,	বিটলসের,	
kortaam,	কোরতম,	করতাম,	
kadorer,	কাদরের,	কদরের,	
superhiro,	সুপেরিহর,	সুপারহিরো,	
mosharrof,	মোশাররফ,	মশাররফ,	
pachbar,	পাঁচবার,	পাঁচবার,	
shamooker,	সামুকের,	শামুকের,	
drishyer,	দৃশ্যের,	দৃশ্যের,	
obhigomon,	অভিগোমণ,	অভিগমন,	
bhaskor,	ভাস্কোর,	ভাস্কর,	
longghoner,	লঙ্ঘনের,	লংঘনের,	
bulano,	বুলানো,	বুলান,	
asociates,	অসোাইটেট,	এসোসিয়েটস,	
aarcie,	আর্কেই,	আরসিএ,	
tonga,	তঙ্গা,	টোঙ্গা,	
maudeling,	মাউডেলিং,	মডেলিং,	
unhu,	উনু,	উঁহু,	
tempaleta,	টেম্পলেট,	টেম্পলেট,	
bishnoo,	বিষ্ণু,	বিষ্ণু,	
sikkhakbrindo,	শিক্ষাপৃন্দ,	শিক্ষকবৃন্দ,	
samashti,	সমস্তি,	সমষ্টি,	
bongsho,	বংশ,	বংশ,	
sothikata,	সথিকতা,	সঠিকতা,	
buildar,	বিল্ডার,	বিল্ডার,	
kanaflikta,	কনফলিক্ট,	কনফ্লিক্ট,	
parbatya,	পর্বত্ব,	পার্বত্য,	
parisankhyanbid,	পরিসংখ্যানবিদ,	পরিসংখ্যানবিদ,	
bahaal,	বাহাল,	বহাল,	
ingreziteo,	ইংরেজিতে,	ইংরেজিতেও,	
mojlishpur,	মজলিশুপুর,	মজলিশপুর,	
khannkaj,	খনককাজ,	খননকাজ,	
korkotkraanti,	করককাত্রনি,	কর্কটক্রান্তি,	
proshtot,	প্রস্তত,	প্রস্ত্তত,	
asaborno,	অসবর্ন,	অসবর্ণ,	
saleha,	সালেহ,	সালেহা,	
neshanasa,	নেশনাস,	নেশনস,	
gaje,	গাজ,	গেজ,	
samajeri,	সমমেজীরী,	সমাজেরই,	
shektor,	শেক্টর,	সেক্টর,	
raits,	রেইটস,	রাইটস,	
staylish,	স্টেলিস,	স্টাইলিশ,	
kortam,	করতাম,	করতাম,	
sompadon,	সম্পাদন,	সম্পাদন,	
tookror,	টুকরের,	টুকরোর,	
duckticket,	ডাক্িকেট,	ডাকটিকিট,	
nirbaaho,	নির্বাহ,	নির্বাহ,	
mausumti,	মুসমতি,	মৌসুমটি,	
duplex,	ডাপ্লেস্স,	ডুপ্লে,	
jeebnagore,	জীবনাগরে,	জীবননগর,	
pet,	পেট,	পেত,	
chetna,	ছেতনা,	চেতনা,	
chilahaati,	চিলাহিতি,	চিলাহাটি,	
satyaky,	সত্যক্তি,	সাত্যকি,	
estania,	এস্টেনিয়া,	এস্তোনিয়া,	
gostigoolo,	গন্তিগুলো,	গোষ্ঠীগুলো,	
skolaroship,	স্কলারশিপ,	স্কলারশিপ,	
tofaat,	তফাত,	তফাৎ,	
spredashita,	স্প্রেডাসিট,	স্প্রেডশীট,	
teman,	টেমন,	তেমন,	
elakaao,	এলাকাও,	এলাকাও,	
cholocchitrigulor,	চলচ্চিত্ছগুলোর,	চলচ্চিত্রগুলোর,	
hepetaitisa,	হেইপাইটিস,	হেপাটাইটিস,	
shikha,	শিখা,	শিখ,	
mosharroph,	মোশাররফ,	মশাররফ,	
kaande,	কান্ডে,	কাণ্ডে,	
tennise,	ট্নানিসে,	টেনিসে,	
somosto,	সমস্ত,	সমস্ত,	
qyandi,	ক্যান্ডি,	ক্যান্ডি,	
kisti,	কিষ্টি,	কিস্তি,	
besoor,	বেসর,	বেসুর,	
lyand,	ল্যান্ড,	ল্যান্ড,	
atitkale,	অতীতকালে,	অতীতকালে,	
hossain,	হোসাইন,	হোসেইন,	
satyaki,	সত্যকি,	সাত্যকি,	
talal,	তালাল,	তালাল,	
sobrakomer,	সব্রকমকের,	সবরকমের,	
kaalniir,	কালনীর,	কালনীর,	
neelfamarir,	নীলফামারীর,	নীলফামারীর,	
indraa,	ইন্দ্রা,	ইন্দ্র,	
nariiderke,	নারীদেরকে,	নারীদেরকে,	
prasadhani,	প্রশাধনী,	প্রসাধনী,	
arthonitir,	অর্থনীতির,	অর্থনীতির,	
gosthi,	গোষ্ঠী,	গোষ্ঠী,	
shorifer,	শরীফের,	শরিফের,	
kooshumba,	কুষুম্ব,	কুশুম্বা,	
keu,	কিউ,	কেউ,	
shasheja,	শাসেজ,	সসেজ,	
akar,	একর,	একার,	
shitey,	শীটে,	শীতে,	
asocietes,	অসোাইটিস,	এসোসিয়েটস,	
peterer,	পেতেরের,	পিটারের,	
kakhnoba,	কখনোবা,	কখনওবা,	
ajuhat,	আজুহাত,	অজুহাত,	
protizogiira,	প্রতিযোগীতারা,	প্রতিযোগীরা,	
rakkhanbhag,	রক্ষণভাগ,	রক্ষণভাগ,	
upacharjo,	উপচার্য,	উপাচার্য,	
uzobekeestaan,	উজবেতিস্তান,	উজবেকিস্তান,	
municipal,	মুনিকিপাল,	মিউনিসিপ্যাল,	
lobbyte,	লববাইট,	লবিতে,	
gitikobita,	গীতিকাবিতা,	গীতিকবিতা,	
dreeshtiheen,	দৃষ্টিহীন,	দৃষ্টিহীন,	
siddharther,	সিদ্রার্থের,	সিদ্ধার্থের,	
tet,	ট্যাট,	টেট,	
ajija,	অজিজা,	আজিজা,	
rakhtokkharoner,	রক্তকর্ষণারের,	রক্তক্ষরণের,	
karleo,	কার্লেও,	করলেও,	
drishyoi,	দৃশ্যই,	দৃশ্যই,	
shochindro,	সচিন্দ্র,	শচীন্দ্র,	
uroor,	উরুর,	উরুর,	
gronthotike,	গ্রন্থতিকে,	গ্রন্থটিকে,	
olimpicer,	অলিম্পিকের,	অলিম্পিকের,	
shahocharje,	শহচার্জে,	সাহচর্যে,	
prabhu,	প্রভূ,	প্রভু,	
moomtaj,	মুমতাজ,	মুমতাজ,	
karlo,	করলো,	কার্লো,	
karuna,	করুনা,	করুণা,	
shatjon,	শত্যন,	সাতজন,	
direqtareta,	ডিরেক্টরেট,	ডিরেক্টরেট,	
jibanjapon,	জীবানাপযান,	জীবনযাপন,	
asabhyaa,	অস্বা,	অসভ্য,	
vabanir,	ভবনীর,	ভবানীর,	
grovth,	গ্রথ,	গ্রোথ,	
venicer,	ভেনিকের,	ভেনিসের,	
hole,	হোলে,	হোল,	
vromonkaley,	ভ্রমণকালে,	ভ্রমণকালে,	
armeenian,	আরমিনিয়ান,	আর্মেনিয়ান,	
asamarik,	অসমারিক,	অসামরিক,	
janaalo,	জানালো,	জানালো,	
potengar,	পতেন্গার,	পতেঙ্গার,	
ghesha,	ঘেস,	ঘেঁষা,	
khappor,	খাপ্যর,	খপ্পর,	
panchasjon,	পঞ্চাশন,	পঞ্চাশজন,	
onker,	অঙ্কের,	ওঙ্কার,	
skora,	স্কোর,	স্কোর,	
rohasyor,	রহাশ্যর,	রহস্যর,	
pack,	প্যাক,	প্ল্যাক,	
brookolin,	ব্রোকলিন,	ব্রুকলিন,	
koreempoor,	করিমপুর,	করিমপুর,	
shamook,	সামুক,	শামুক,	
bossoben,	বসবেন,	বসবেন,	
vejaano,	ভেজানো,	ভেজানো,	
monjiley,	মঞ্জিলে,	মঞ্জিলে,	
phuda,	ফুড,	ফুড,	
shekend,	সেকেন্ড,	সেকেণ্ড,	
soorarop,	সুরারোপ,	সুরারোপ,	
engrezder,	ইংরেজদের,	ইংরেজদের,	
aakabar,	আকাবার,	আকাবার,	
patishapta,	পাতিসপ্ত,	পাটিসাপটা,	
dikpal,	দিকপাল,	দিকপাল,	
phareeksa,	ফরেক্স,	ফরেক্স,	
tobey,	তবে,	টবে,	
title,	টিটল,	টাইটেল,	
mosjidsoho,	মস্দিসহ,	মসজিদসহ,	
hitoishi,	হিতোইসি,	হিতৈষী,	
deqe,	ডেকে,	ডেকে,	
queri,	কুরি,	কোয়েরি,	
dekhbaar,	দেখবার,	দেখবার,	
gonosakkhorota,	গণস্বরতা,	গণসাক্ষরতা,	
mokam,	মোকম,	মোকাম,	
brekethru,	ব্রেক্ষরো,	ব্রেকথ্রু,	
kanai,	কানই,	কানাই,	
vagni,	ভাগ্নী,	ভগ্নী,	
niketoner,	নিকটেনের,	নিকেতনের,	
pade,	পাদে,	পাড়ে,	
udbodhonee,	উদ্বোধনী,	উদ্বোধনী,	
moushumti,	মুশমি,	মৌসুমটি,	
sealvi,	সিলভি,	সিলভি,	
compact,	কমপ্যাক্ট,	কমপ্যাক্ট,	
laaishenshh,	লিইনেন্স,	লাইসেন্স,	
bronje,	ব্রাঞ্জে,	ব্রোঞ্জ,	
deeputy,	দীপুতি,	ডেপুটি,	
adhyatmik,	অধ্যাত্মিক,	আধ্যাত্মিক,	
nathivukto,	নথিভুক্ত,	নথিভুক্ত,	
samajeek,	সমাজিক,	সামাজিক,	
kaanaai,	কানাই,	কানাই,	
dokaangoolote,	দোকানগুলোতে,	দোকানগুলোতে,	
dibeeta,	দিবিতা,	ডিবেট,	
satthikota,	সাথ্যিকতা,	সঠিকতা,	
madrasi,	মাদরাসী,	মাদ্রাজি,	
baarbadoj,	বার্বাডগ,	বার্বাডোজ,	
chaiten,	চাইতেন,	চাইতেন,	
morodeho,	মরোদহ,	মরদেহ,	
taiteela,	টাইটেল,	টাইটেল,	
gemser,	জেমসের,	জেমসের,	
masjidtikey,	মাসজিদ্টিকে,	মসজিদটিকে,	
gostii,	গোস্টি,	গোষ্ঠীই,	
chalkee,	চালকি,	চালকে,	
qrita,	কৃত,	ক্রীট,	
venkatesh,	ভেনকেটেস,	ভেঙ্কটেশ,	
boring,	বরিং,	বোরিং,	
prottokhobhabe,	প্রত্যক্ষভাবে,	প্রত্যক্ষভাবে,	
prodiper,	প্রদীপের,	প্রদীপের,	
nabhela,	নাভেল,	নভেল,	
antarctica,	অন্টার্কেটিক,	অ্যান্টার্কটিকার,	
dholeshwari,	ঢোলেশ্বরী,	ধলেশ্বরী,	
thailandsoho,	থাইলন্দসহ,	থাইল্যান্ডসহ,	
drishyogulo,	দৃশ্যগুলো,	দৃশ্যগুলো,	
swarnali,	স্বর্ণালী,	স্বর্ণালী,	
aholar,	আহলার,	অহল্যার,	
tourisht,	টরউসিট,	টুরিস্ট,	
enginears,	ইনগিনির্স,	ইঞ্জিনিয়ার্স,	
queery,	কুয়েরি,	কোয়েরি,	
cilahati,	চিলাহতি,	চিলাহাটি,	
sudha,	সুধ,	সুধা,	
servere,	সেরভারে,	সার্ভারে,	
serverti,	সার্ভারটি,	সার্ভারটি,	
neermolota,	নির্মলতা,	নির্মলতা,	
melobborne,	মেলবর্ণে,	মেলবোর্নে,	
soomitrar,	সুমিত্রার,	সুমিত্রার,	
teuning,	টিউনিং,	টিউনিং,	
elaakasoho,	এলাকাহস,	এলাকাসহ,	
paaree,	পারী,	পাড়ে,	
serverty,	সার্ভারিি,	সার্ভারটি,	
sahoocorzo,	সহুচর্য,	সাহচর্য,	
estooniya,	এস্টোনিয়া,	এস্তোনিয়া,	
ayadabhansada,	অ্যাডভান্ডস,	অ্যাডভান্সড,	
poster,	পোস্টার,	পোস্টের,	
qinsa,	কিংস,	কিংস,	
nilphamarir,	নীলফামারীর,	নীলফামারীর,	
cholochchitreo,	চলচিত্রে,	চলচ্চিত্রেও,	
patthkrom,	পাঠক্রম,	পাঠক্রম,	
maunjiley,	মঞ্জিলে,	মঞ্জিলে,	
saqara,	সকরা,	সকার,	
akabar,	একাবার,	আকাবার,	
taphaat,	তাফাত,	তফাৎ,	
thaakte,	থাকতে,	থাকতে,	
airesey,	আইরেশে,	আইরেসে,	
shikshao,	শিক্ষাও,	শিক্ষাও,	
devolapar,	ডেভলপার,	ডেভলপার,	
sqolastiq,	স্কলাস্টিক,	স্কলাস্টিক,	
juddhahato,	যুদ্ধত,	যুদ্ধাহত,	
bishshashi,	বিশ্বাসী,	বিশ্বাসই,	
octane,	অক্তনে,	অকটেন,	
engrejer,	ইংরেজের,	ইংরেজের,	
iyaqa,	ইয়াক,	ইয়াক,	
kushumba,	কুষুম্ব,	কুশুম্বা,	
franko,	ফ্রাংক,	ফ্রাঙ্কো,	
goshthiti,	গোষ্ঠিতি,	গোষ্ঠীটি,	
postay,	পোস্টে,	পোষ্টে,	
bagdad,	বা্্যাদ,	বাগদাদ,	
cs,	সিস,	সিএস,	
natians,	নটিয়ান্স,	নেশনস,	
chetanagato,	ছেতানাগত,	চেতনাগত,	
chaiti,	চাইতি,	চৈতি,	
vaticaner,	ভাটিকানের,	ভ্যাটিকানের,	
sutir,	সূতির,	সুতির,	
nickel,	নিকেল,	নিকেল,	
tikto,	টিকটো,	তিক্ত,	
taler,	তালের,	তালের,	
gazipore,	গাজীপরে,	গাজীপুর,	
maail,	মেল,	মাইল,	
abosaney,	অবসানে,	অবসানে,	
mozdur,	মজ্ুর,	মজদুর,	
carzar,	কার্জার,	চার্জার,	
bayshorkarikarone,	বেসরকারিকরণে,	বেসরকারিকরণ,	
muldhara,	মুলধরা,	মূলধারা,	
aparagata,	অপরাগত,	অপারগতা,	
oitijhyo,	ঐতিহ্য,	ঐতিহ্য,	
grambasi,	গ্রামসাসী,	গ্রামবাসী,	
totokhhon,	ততক্ষণ,	ততক্ষন,	
chhotogolper,	ছোটোগলপের,	ছোটগল্পের,	
langhaner,	লঙ্ঘনের,	লংঘনের,	
saalsa,	সালসা,	সালসা,	
aipiela,	আপিল,	আইপিএল,	
rubi,	রুবি,	রুবি,	
durgotshober,	দুর্গটতব্বের,	দুর্গোৎসবে,	
vabnakey,	ভাবনাকে,	ভাবনাকে,	
osamarik,	অসামরিক,	অসামরিক,	
matrikar,	মাত্রিকার,	মাতৃকার,	
ingrezra,	ইংগ্রেমা,	ইংরেজরা,	
harz,	হার্জ,	হার্জ,	
byte,	বাইটে,	বাইট,	
