mukhya,	মূখ্য,	মুখ্য,	
prettii,	প্রেটি,	প্রিটি,	
niketoner,	নিকেতনের,	নিকেতনের,	
brindaa,	ব্রিন্ড,	বৃন্দা,	
parijan,	পরিজান,	পরিজন,	
granther,	গ্রন্থের,	গ্রন্থের,	
bipojjonok,	বিপোজজনক,	বিপজ্জনক,	
sector,	সেক্টর,	সেক্টর,	
shoori,	শুরি,	সুরি,	
bhejaano,	ভেজানো,	ভেজানো,	
madhyastho,	মধ্যস্থ,	মধ্যস্থ,	
inshtant,	ইন্টা্টেন্ট,	ইনস্ট্যান্ট,	
sahabikey,	সাহাবিকে,	সাহাবীকে,	
nirvachakder,	নির্বাচকদের,	নির্বাচকদের,	
spreadsiit,	স্প্রাসেডি,	স্প্রেডশীট,	
ship,	সিপ,	শিপ,	
dienes,	ডায়েনিজ,	ডিএনএস,	
abhidhaanick,	অভিধানিক্য,	অভিধানিক,	
palashir,	পালাসীর,	পলাশীর,	
shhikha,	শিখা,	শিখ,	
evaner,	ইভানের,	ইভানের,	
gemser,	গেমসের,	জেমসের,	
mohiboor,	মহিবুর,	মহিবুর,	
manaber,	মানবের,	মানবের,	
hazat,	হজত,	হজত,	
chani,	চানি,	ছানি,	
nake,	নাকে,	নেক,	
chanake,	চানাকে,	ছানাকে,	
tarunra,	তরুণ্রা,	তরুণরা,	
bujhleo,	বুঝলেও,	বুঝলেও,	
kathmandutey,	কাঠমান্ডতে,	কাঠমান্ডুতে,	
beshorkarikarone,	বেসরকারিকরণ,	বেসরকারিকরণ,	
daaoon,	ডাউন,	ডাউন,	
grameroi,	গ্রামেরাই,	গ্রামেরই,	
saarbhare,	সার্ভারে,	সার্ভারে,	
rokshonbhag,	রক্ষণভাগ,	রক্ষণভাগ,	
aap,	আপ,	আপ,	
jolrang,	জলারং,	জলরঙ,	
antarktikar,	অন্তর্তিকারিকার,	অ্যান্টার্কটিকার,	
ovijojan,	অভিযোজন,	অভিযোজন,	
teenti,	টেনটি,	তিনটি,	
gunaman,	গুণমান,	গুণমান,	
pannee,	পান্নি,	পন্নী,	
prapokke,	প্রপাককে,	প্রাপককে,	
deke,	ডেকে,	ডেকে,	
nabyata,	নব্যতা,	নাব্যতা,	
parbotto,	পার্বত্ব,	পার্বত্য,	
masjidke,	মাসজিদকে,	মসজিদকে,	
footballerra,	ফুটবালার,	ফুটবলাররা,	
damanmulak,	দমননামূলক,	দমনমূলক,	
deputii,	দিপুি,	ডেপুটি,	
grantho,	গ্রন্থ,	গ্রন্থ,	
graameroi,	গ্রামেরাই,	গ্রামেরই,	
halding,	হলোডিং,	হোল্ডিং,	
hyundai,	হান্ডাই,	হুন্দাই,	
bethik,	ব্যাথিক,	বেঠিক,	
torabganj,	তরাবগঞ্জ,	তোরাবগঞ্জ,	
wault,	উল্ট,	ভল্ট,	
blogarra,	ব্লগারা,	ব্লগাররা,	
tarokareer,	তারকারীর,	তরকারীর,	
chintai,	চিন্তাই,	ছিনতাই,	
agradut,	অগ্রাদুত,	অগ্রদূত,	
elaakasoho,	এলাকাশোহ,	এলাকাসহ,	
songbadmadhyame,	সংবাদধ্যমে,	সংবাদমাধ্যমে,	
sourse,	সরউষ্স,	সোর্স,	
byaboharkariderke,	ব্যবহারীকারীদের,	ব্যবহারকারীদেরকে,	
addhattikota,	আধ্যািিত্বতা,	আধ্যাত্মিকতা,	
sarboporee,	সর্বোপর,	সর্বোপরী,	
phaqsa,	ফক্স,	ফক্স,	
chhatke,	ছাটটে,	ছাতকে,	
yoneetey,	যননিতে,	যোনীতে,	
reeliancee,	রেলিয়ে্্স,	রিলায়েন্স,	
cholochchitrogulor,	চলচিত্রগুলোর,	চলচ্চিত্রগুলোর,	
bolobhodro,	বলভোধ্র,	বলভদ্র,	
texaser,	টেক্সাসের,	টেক্সাসের,	
dormitori,	ডর্মিটারি,	ডরমিটরি,	
ganonatya,	গণনাত্য,	গণনাট্য,	
iranayer,	ইরানের,	ইরানের,	
tongaa,	তঙ্গা,	টোঙ্গা,	
gronthoo,	গ্রন্থও,	গ্রন্থও,	
oindrila,	ইন্ড্রিল,	ঐন্দ্রিলা,	
thar,	থার,	থর,	
musolmanera,	মুসলমমননের,	মুসলমানেরা,	
soshorire,	শসরীরে,	সশরীরে,	
besooro,	বেসুর,	বেসুর,	
fostar,	ফোস্টার,	ফস্টার,	
xpose,	এক্সপোজ্টাস,	এক্সপোজ,	
porisromii,	পরিস্রমী,	পরিশ্রমী,	
liseens,	লাইন্স,	লাইসেন্স,	
abdur,	আবদুর,	আবদুর,	
akkharke,	অক্ষারকে,	অক্ষরকে,	
pachbar,	পাঁচবার,	পাঁচবার,	
skolastic,	স্কোলাস্টিক,	স্কলাস্টিক,	
shuparahiro,	সুপারহিরও,	সুপারহিরো,	
categoryer,	ক্যাটেগরির,	ক্যাটাগরির,	
install,	ইন্সটেল,	ইন্সটল,	
wolapuk,	ভোলাপুক,	ভোলাপুক,	
rejidens,	রেজিডেন্স,	রেসিডেন্স,	
fokskon,	ফক্ষক,	ফক্সকন,	
nabam,	নবাম,	নবম,	
obikol,	অবিকল,	অবিকল,	
gronthoti,	গ্রন্থটি,	গ্রন্থটি,	
skolaroship,	স্কলারশিপ,	স্কলারশিপ,	
depootee,	দিপুি,	ডেপুটি,	
ojowno,	অজন্ব,	অযৌন,	
hugheske,	হাঘেস্কে,	হিউজকে,	
elaaka,	এলাকা,	এলাকা,	
jatinkey,	জাতিনকে,	যতীনকে,	
chalochchitra,	চলচিত্র,	চলচ্চিত্র,	
dhojobhongo,	ধধভঙ্গ,	ধ্বজভঙ্গ,	
shpredashhita,	স্প্রেশিদিশ,	স্প্রেডশীট,	
zoubonkal,	যৌবনকাল,	যৌবনকাল,	
hyarikena,	হ্যারিকেন,	হ্যারিকেন,	
kalam,	কলাম,	কালাম,	
rautine,	রাউটিনে,	রুটিন,	
chandrimaa,	চন্দ্রিমা,	চন্দ্রিমা,	
teksaser,	টেক্সেসের,	টেক্সাসের,	
quota,	কোউটা,	কোটা,	
canservatian,	ক্যান্সারেশন,	কনসারভেশন,	
byatikromdhormi,	ব্যাতিকর্মধর্মী,	ব্যতিক্রমধর্মী,	
rooplal,	রূপলল,	রূপলাল,	
keyuyi,	কেইউই,	কেউই,	
nagorikra,	নাগরিকরা,	নাগরিকেরা,	
harta,	হর্ট,	হার্ট,	
orthonitir,	অর্থনীতির,	অর্থনীতির,	
mohisho,	মহিশ,	মহিষ,	
seeramiker,	সিরামিকের,	সিরামিকের,	
manushtikey,	মনন্টিস্কি,	মানুষটিকে,	
deebug,	দেবুগ,	ডিবাগ,	
brookolin,	ব্রুকলিন,	ব্রুকলিন,	
soceitykey,	সোটাইটিকে,	সোসাইটিকে,	
hajartee,	হজটররটি,	হাজারটি,	
saholobhyotar,	সহলোভযাত্যার,	সহজলভ্যতার,	
thanvi,	থানভী,	থানভী,	
feemalee,	ফেমলে,	ফিমেল,	
shorifer,	শরীফের,	শরিফের,	
dwibidha,	দ্বিবিধ,	দ্বিবিধ,	
licencer,	লাইন্সের,	লাইসেন্সের,	
proshtotto,	প্রস্তত্ব,	প্রস্ত্তত,	
damonmulok,	দমননূলক,	দমনমূলক,	
osshoshtikor,	অস্বস্তিকির,	অস্বস্তিকর,	
haitasa,	হাইটস,	হাইটস,	
marodeho,	মরদদেহ,	মরদেহ,	
golakritir,	গোলাকৃতির,	গোলাকৃতির,	
aro,	অরো,	আরও,	
archimedeser,	আর্কিমাইসের,	আর্কিমিডিসের,	
tokee,	টোকে,	তকি,	
abdoone,	আবদুনে,	আবদুন,	
netsi,	নেটসি,	নাত্সি,	
deeyenes,	ডিয়েনিজ,	ডিএনএস,	
asamorthito,	অসমর্থিত,	অসমর্থিত,	
dakshinangsha,	দক্ষিণাংশ,	দক্ষিণাংশ,	
patiganiter,	পতিিগণিতের,	পাটিগণিতের,	
rakibul,	রাকিবুল,	রকিবুল,	
bheemsen,	ভীমসেন,	ভীমসেন,	
longhon,	লঙ্ঘন,	লংঘন,	
enginiiring,	এনজাইনির,	ইঞ্জিনিয়ারিং,	
dharabahiker,	ধারাবাহিকের,	ধারাবাহিকের,	
deembakriti,	ডিম্বাকৃতি,	ডিম্বাকৃতি,	
sohojlovyotar,	সহজোলভ্যতার,	সহজলভ্যতার,	
mahindra,	মহীন্দ্র,	মাহিন্দ্রা,	
sthaponatir,	স্থাপনাটির,	স্থাপনাটির,	
atorkitey,	আটর্কিতে,	অতর্কিতে,	
songosthaner,	সংস্থানের,	সংস্থানের,	
horiddar,	হরিদদ্যার,	হরিদ্বার,	
bosoben,	বসবেন,	বসবেন,	
gazipur,	গাজিপুর,	গাজীপুর,	
sahoocorzoe,	সহারচ্যে,	সাহচর্যে,	
saahocorrzo,	সাহরচার্য,	সাহচর্য,	
durgotir,	দুর্গতির,	দুর্গটির,	
aabahan,	আবাহন,	আবাহন,	
manahputo,	মানহুপ্ত,	মনঃপুত,	
meghke,	মেঘকে,	মেঘকে,	
prokolpoti,	প্রকল্পটি,	প্রকল্পটি,	
progresh,	প্রগ্রেস,	প্রগ্রেস,	
abadamoner,	অবাদমনের,	অবদমনের,	
jameser,	জমেেসের,	জেমসের,	
kobutorer,	কবুতরের,	কবুতরের,	
manee,	মানী,	মানে,	
satjaner,	সতজনের,	সাতজনের,	
fising,	ফিলিং,	ফিসিং,	
chhuti,	ছুটি,	ছুটি,	
aminar,	আমিনার,	আমিনার,	
uponishad,	উপনিসদ,	উপনিষদ,	
licensedhari,	লিকেন্সারি,	লাইসেন্সধারী,	
beeru,	বিরু,	বীরু,	
suresh,	সুরেশ,	সুরেশ,	
avishangsan,	অভিশংসন,	অভিশংসন,	
artilleri,	আর্টিলারি,	আর্টিলারি,	
chhaani,	ছানি,	ছানি,	
chess,	চেজ,	চেস,	
bhalobasar,	ভালোবাসার,	ভালোবাসার,	
shaahoshikataar,	সাহসিকাতার,	সাহসিকতার,	
vishhnu,	বিষ্ণু,	বিষ্ণু,	
saaed,	সাড,	সাইদ,	
itastato,	ইতাস্টত,	ইতস্তত,	
jeebonto,	জীবন্ত,	জীবন্ত,	
categoryr,	ক্যাটেগরির,	ক্যাটাগরির,	
teestar,	টেস্টার,	তিস্তার,	
loukikataa,	লৌকিকতা,	লৌকিকতা,	
sathikota,	সাথিকতা,	সঠিকতা,	
torooner,	তরুণের,	তরুণের,	
suporichita,	সুপরিচিত,	সুপরিচিত,	
madhobikey,	মাধবিকে,	মাধবীকে,	
aaireesh,	আইরিশ,	আইরিস,	
roja,	রোজা,	রোযা,	
yucalyptus,	ইউকালাসিপ্টাস,	ইউক্যালিপ্টাস,	
bite,	বিটে,	বাইট,	
daloo,	দলু,	ডালু,	
sulke,	সুলকে,	শুল্কে,	
mukhomandoley,	মুখমন্ডলে,	মুখমণ্ডলে,	
prokalpaguli,	প্রকালগুলি,	প্রকল্পগুলি,	
damodar,	দমদাদা,	দামদর,	
kalki,	কল্কী,	কালকি,	
faase,	ফাঁসে,	ফাঁসে,	
sachindra,	শচীন্দ্র,	শচীন্দ্র,	
bishwaashshoi,	বিশ্বাস্বই,	বিশ্বাসই,	
prokolpow,	প্রকল্প,	প্রকল্পও,	
qode,	কোড,	কোড,	
gaddafii,	গাদ্দাফী,	গাদ্দাফী,	
drishyotir,	দৃশ্যটির,	দৃশ্যটির,	
uthane,	উঠানে,	উঠানে,	
gabeshokgon,	গবেষণগণ,	গবেষকগণ,	
ghumachhilo,	ঘুমাছিল,	ঘুমাচ্ছিল,	
lyandim,	ল্যান্ডিং,	ল্যান্ডিং,	
station,	স্টেশন,	ষ্টেশন,	
bhezano,	ভেজানো,	ভেজানো,	
soinyosaho,	সৈন্যসহ,	সৈন্যসহ,	
cholochchitratike,	চলচ্চিত্রিকে,	চলচ্চিত্রটিকে,	
concert,	কনসার্ট,	কানসাট,	
infarmatian,	ইনফারমেশন,	ইনফরমেশন,	
salafeta,	সালফেট,	সালফেট,	
janamukhi,	জনামুখী,	জনমুখী,	
cheshsh,	চেশ,	চেস,	
biswashke,	বিশ্বাসকে,	বিশ্বাসকে,	
chargito,	চর্গিত,	চার্জিত,	
segulo,	সেগুলো,	সেগুলো,	
rikondison,	রিকন্ডিনন,	রিকন্ডিশন,	
modeeling,	মডিলিং,	মডেলিং,	
bechaa,	বেচা,	বেচা,	
sabche,	সবচে,	সবচে,	
eksathe,	একসাথে,	একসাথে,	
hurricane,	হররিকান,	হ্যারিকেন,	
kheley,	খেলে,	খেলে,	
eshhiyatika,	এসিয়াটিক,	এশিয়াটিক,	
mawdel,	মডেল,	মডেল,	
ancholti,	অঞযাচলটি,	অঞ্চলটি,	
byanger,	ব্যাংগের,	ব্যাঙের,	
poromartho,	পরমার্থ,	পরমার্থ,	
beshirbhaageyi,	বেশীরভাগেই,	বেশিরভাগেই,	
koro,	কোরও,	কর,	
petenter,	প্যাটেন্টের,	পেটেন্টের,	
anchaleo,	আঞ্চালেও,	অঞ্চলেও,	
aiiub,	এইউব,	আইইউবি,	
chhotogalpe,	ছোটোগল্পে,	ছোটগল্পে,	
nagorikderke,	নাগরিকদেরকে,	নাগরিকদেরকে,	
uul,	উল,	উল,	
karim,	করিিম,	করিম,	
mitrer,	মিত্রের,	মিত্রের,	
istane,	ইস্টানে,	স্টোন,	
teempaleeta,	টিম্পলিট,	টেম্পলেট,	
jarool,	জরুল,	জারুল,	
gonocheen,	গণছীন,	গণচীন,	
abhinetar,	অভিনেতর,	অভিনেতার,	
ias,	আয়এস,	আইএএস,	
messengar,	মেশেঙ্গার,	মেসেঞ্জার,	
braille,	ব্রেল,	ব্রেইল,	
aholyar,	অহল্যার,	অহল্যার,	
barron,	ব্যারন,	ব্যারন,	
noitikbhabey,	নৈতিবাবকে,	নৈতিকভাবে,	
gobeshona,	গবেষণা,	গবেষনা,	
brindabane,	ব্রিন্ডবনে,	বৃন্দাবনে,	
sahosikotaar,	সহসিকতার,	সাহসিকতার,	
milea,	মিলে,	মাইলে,	
chitranatyakar,	চিত্রনা্্যকার,	চিত্রনাট্যকার,	
gara,	গার,	গোর,	
moshjidtike,	মোশজিদ্তিকে,	মসজিদটিকে,	
moshjidke,	মস্যিদকে,	মসজিদকে,	
ingrejraa,	ইংরেজ্রা,	ইংরেজরা,	
poste,	পোষ্টে,	পোস্টে,	
gajee,	গাজী,	গেজ,	
janacche,	জনচ্ছে,	জানাচ্ছে,	
cena,	সেন,	সিনা,	
taurist,	তারিস্ট,	টুরিস্ট,	
blagaarara,	ব্লগেরার,	ব্লগাররা,	
sadhwi,	সাধ্বি,	সাধ্বী,	
uporitale,	উপরিটালে,	উপরিতলে,	
bandhuke,	বন্ধুকে,	বন্ধুকে,	
karmosansthaner,	কর্মসংস্থানের,	কর্মসংস্থানের,	
korkatkranti,	কর্কাতন্ত্রী,	কর্কটক্রান্তি,	
chetna,	চেতনা,	চেতনা,	
toroni,	তরণণই,	তরণী,	
oopohoron,	উপহরণ,	অপহরন,	
nothibhukto,	নথিভুক্ত,	নথিভুক্ত,	
bisheshyo,	বিশেষ্য,	বিশেষ্য,	
hoomasa,	হোমাস,	হোমস,	
dhan,	ধন,	ধ্যান,	
sthaponar,	স্থাপনার,	স্থাপনার,	
mojlis,	মজলিস,	মজলিশ,	
balaruma,	বালারুম,	বলরুম,	
badaghat,	বদঘাঘ,	বাদাঘাট,	
mootar,	মোটর,	মুতার,	
rahee,	রহি,	রাহি,	
hishabke,	হিসাবকে,	হিসাবকে,	
omeettrakkhor,	অমেত্রাক্ষর,	অমিত্রাক্ষর,	
chhanee,	ছানি,	ছানি,	
utkhaat,	উৎখাট,	উত্খাত,	
brindaboner,	ব্রিন্ডবনের,	বৃন্দাবনের,	
obharbheeu,	অভারভভি,	ওভারভিউ,	
lotheran,	লোারেন,	লুথেরান,	
polo,	পলও,	পোলো,	
faridi,	ফরিদি,	ফরিদী,	
ganana,	গানা,	গণনা,	
showte,	শওতে,	শোতে,	
jojyota,	যোজ্যতা,	যোজ্যতা,	
ankush,	অ্যাকাস,	অংকুশ,	
pashan,	পাশন,	পাষাণ,	
torabgunj,	তরাবগঞ্জ,	তোরাবগঞ্জ,	
juktarashtre,	যুক্তরাষ্ট্রে,	যুক্তরাষ্ট্রে,	
shamuk,	শামুক,	শামুক,	
chhootochhooti,	ছুটুছুটি,	ছুটোছুটি,	
rubeta,	রুবেটা,	রাবেতা,	
parikhar,	পরীক্ষার,	পরিখার,	
gosthike,	গোষ্ঠীকে,	গোষ্ঠীকে,	
proteesthasoho,	প্রতিষ্ঠাসহ,	প্রতিষ্ঠাসহ,	
vabotarini,	ভাবতারিণী,	ভবতারিণী,	
templet,	টেমপ্লেট,	টেম্পলেট,	
mukhobandha,	মুখবন্ধু,	মুখবন্ধ,	
saccar,	সাক্যার,	সকার,	
mausumeo,	মসুমেও,	মৌসুমেও,	
ajij,	আজিজ,	আজিজ,	
bikretara,	বিক্রেটার,	বিক্রেতারা,	
ganosachetanata,	গণস্বাচনতনতা,	গণসচেতনতা,	
hafez,	হাফেজ,	হাফেয,	
hishaber,	হিশাবের,	হিসাবের,	
khodeja,	খোদেজ,	খোদেজা,	
spreadsheet,	স্প্রেসিড,	স্প্রেডশীট,	
phokser,	ফক্ষের,	ফক্সের,	
ganjona,	গাঞ্জনা,	গঞ্জনা,	
pustio,	পুষ্টিও,	পুষ্টি,	
kirkuk,	কির্কুক,	কিরকুক,	
jeesh,	জিশ,	জেস,	
ekpashe,	একপাশে,	একপাশে,	
dikpal,	ডিক্পাল,	দিকপাল,	
bodhirta,	বধিরতা,	বধিরতা,	
phix,	ফিক্স,	ফিক্স,	
sohokari,	সহকারি,	সহকারী,	
aaminaar,	আমিনার,	আমিনার,	
sudrissho,	সুদৃশ্য,	সুদৃশ্য,	
thailandsoho,	তাইলাস্োল,	থাইল্যান্ডসহ,	
bhagna,	ভগ্ন,	ভগ্ন,	
prakare,	প্রকারে,	প্রকারে,	
nilfamarir,	নিলফামারীর,	নীলফামারীর,	
kottor,	কত্টর,	কট্টর,	
dala,	ডল,	দলা,	
chapal,	চাপাল,	চপল,	
spredsheet,	স্প্রেসিড,	স্প্রেডশীট,	
bhorpur,	ভর্পুর,	ভরপুর,	
kindom,	কিন্দম,	কিংডম,	
masjidsaho,	মাসশিদসহ,	মসজিদসহ,	
sakara,	সাকার,	সকার,	
obodamoner,	অবদামনের,	অবদমনের,	
khilafot,	খিলাফাত,	খিলাফত,	
benis,	বেনিস,	ভেনিস,	
mookhomandoley,	মুখমন্ডলে,	মুখমণ্ডলে,	
ekoirakom,	একরেকম,	একইরকম,	
muhammad,	মুহাম্মদ,	মুহাম্মদ,	
aiees,	আইএএস,	আইএএস,	
somoshti,	সমস্তি,	সমষ্টি,	
baibosthaar,	ব্যবস্থার,	ব্যবস্থার,	
scholastic,	স্কোলাস্টিক,	স্কলাস্টিক,	
sikar,	সিকার,	শিকার,	
shaushage,	সৌশাগে,	সসেজ,	
mugdaal,	মুজদাল,	মুগডাল,	
turkeyder,	তুর্কীদের,	তুর্কিদের,	
bai,	বাই,	বাঈ,	
rushad,	রুশদ,	রুশদ,	
tottoraat,	তত্ত্রাত,	তওরাত,	
bbs,	বিএস,	বিবিএস,	
rajnoiteek,	রাজনৈতিক,	রাজনৈতীক,	
shoccar,	শক্চার,	সকার,	
ajibooner,	আজিবনের,	আজীবনের,	
pubancholer,	পুবন্চ্যকেলের,	পূর্বাঞ্চলের,	
drishyagulote,	দৃশ্যুগুলোতে,	দৃশ্যগুলোতে,	
orhan,	ওরান,	ওরহান,	
addabaaj,	আদ্মাবাযা,	আড্ডাবাজ,	
bed,	বেড,	বেদ,	
lajek,	লাজেক,	লজিক,	
mosjidsaha,	মসশিদদহ,	মসজিদসহ,	
volapuq,	ভোলাপুক,	ভোলাপুক,	
bosontokke,	বসন্তক্তকে,	বসন্তকে,	
karmapantha,	কর্মপন্থা,	কর্মপন্থা,	
shikara,	শিকারা,	শিকার,	
arthanitir,	অর্থনীতির,	অর্থনীতির,	
mousumeo,	মসুমেও,	মৌসুমেও,	
vagno,	ভগ্ন,	ভগ্ন,	
pracharanamulak,	প্রচারণামূলক,	প্রচারণামূলক,	
pratista,	প্রতিষ্টা,	প্রতিষ্টা,	
aamoode,	আমুদে,	আমুদে,	
aboshore,	অবসরে,	অবসরে,	
korkotkrantee,	কর্কত্রন্তী,	কর্কটক্রান্তি,	
panera,	পানেরা,	পনের,	
akshoti,	একশতি,	একশোটি,	
lobbyte,	লোববাইট,	লবিতে,	
atorkite,	আটর্কিটে,	অতর্কিতে,	
chandrima,	চন্দ্রিম,	চন্দ্রিমা,	
shpredshiit,	স্প্রেসিদ,	স্প্রেডশীট,	
ganoporibahon,	গণপরিবহন,	গণপরিবহন,	
allubokhara,	অলোববোরা,	আলুবোখারা,	
dweegulotey,	দ্বিগুলোতে,	দ্বীপগুলোতে,	
kas,	কাশ,	কাস,	
asocietes,	অ্যাসোসিয়েটস,	এসোসিয়েটস,	
shefa,	সেফ,	শেফ,	
prodeeper,	প্রদীপের,	প্রদীপের,	
anuchcheder,	অনুচ্ছেদের,	অনুচ্ছেদের,	
rajtantre,	রাজতন্ত্রে,	রাজতন্ত্রে,	
kaansaat,	কানসাত,	কানসাট,	
potengar,	পটেন্গার,	পতেঙ্গার,	
maryir,	মেরির,	ম্যারির,	
pishach,	পিশাচ,	পিশাচ,	
everestey,	এভারেস্টে,	এভারেস্টে,	
zozyota,	যোজ্যতা,	যোজ্যতা,	
ekai,	একই,	একাই,	
azizer,	আজিজের,	আজিজের,	
bondhuderke,	বন্ধুদেরকে,	বন্ধুদেরকে,	
ddhila,	ঢিলা,	ঢিলা,	
basa,	বাসা,	বাসা,	
santoshpur,	সন্তোষ্পুর,	সন্তোষপুর,	
bojhey,	বোঝে,	বোঝে,	
keo,	কিও,	কেও,	
kuarter,	কায়ার্টার,	কোয়ার্টার,	
purple,	পারপেল,	পার্পেল,	
bhramaner,	ভ্রমণের,	ভ্রমণের,	
graambaashee,	গ্রামবাসী,	গ্রামবাসী,	
srisri,	স্রীশ্রি,	শ্রীশ্রী,	
pratul,	প্রতুল,	প্রতুল,	
tecno,	টেকনো,	টেকনো,	
moonshi,	মুনশী,	মুন্সি,	
besirbhagi,	বেশীরভাগই,	বেশিরভাগই,	
spreedashita,	স্প্রিদেশিত,	স্প্রেডশীট,	
firozer,	ফিরজের,	ফিরোজের,	
joneetey,	যোনিতে,	যোনীতে,	
jaank,	যাঁক,	জাঁক,	
avijojan,	অভিযোজন,	অভিযোজন,	
obheegomon,	অভিগোমন,	অভিগমন,	
romnar,	রোমনার,	রমনার,	
tomader,	তমাদের,	তোমাদের,	
debdeby,	দেবদেব্বি,	দেবদেবী,	
phokshkon,	ফক্ষণক,	ফক্সকন,	
geza,	গেজ,	গেজ,	
bhaandaare,	ভান্ডারে,	ভাণ্ডারে,	
nothibhukteer,	নথিভুক্তির,	নথিভুক্তির,	
iukyaliptasha,	ইউক্লিক্সেপাস,	ইউক্যালিপ্টাস,	
directarate,	ডিরেক্টারেট,	ডিরেক্টরেট,	
directorete,	ডিরেক্টারেট,	ডিরেক্টরেট,	
uttor,	উত্তর,	উওর,	
durgatsober,	দুর্গত্ববের,	দুর্গোৎসবে,	
volapuk,	ভোলাপুক,	ভোলাপুক,	
gemske,	গেমসে,	জেমসকে,	
bhiktara,	ভিক্তার,	ভিক্টর,	
bosonto,	বসন্ত,	বসন্ত,	
hebhee,	হেভি,	হেভি,	
sukumaree,	সুকুমারী,	সুকুমারী,	
kunntee,	কান্তি,	কুন্তী,	
phiksa,	ফিক্স,	ফিক্স,	
tusho,	তুষ্য,	তুসো,	
cholocchitreo,	চলচিত্রেও,	চলচ্চিত্রেও,	
longghon,	লঙ্ঘন,	লংঘন,	
taoonship,	তানশিপ,	টাউনশিপ,	
gujob,	গুজব,	গুজব,	
chhaanee,	ছানী,	ছানি,	
eshtoniya,	এস্টোনিয়া,	এস্তোনিয়া,	
tukrowti,	তুকর্বিতি,	টুকরোটি,	
mucus,	মাকাস,	মিউকাস,	
hundai,	হান্ডাই,	হুন্দাই,	
bhogirath,	ভগিরাথ,	ভগীরথ,	
bossontoke,	বসন্তকে,	বসন্তকে,	
nobom,	নবম,	নবম,	
naitik,	নৈতিক,	নৈতিক,	
bhabanir,	ভবানীর,	ভবানীর,	
chutir,	চুটির,	ছুটির,	
uporital,	উপরিটাল,	উপরিতল,	
monzhostho,	মন্যস্থ,	মঞ্চস্থ,	
ashshociatesh,	অ্যাসোসিয়েসেট,	এসোসিয়েটস,	
agomone,	আগমনে,	আগমনে,	
soori,	সুরি,	সুরি,	
pancbaar,	পাঁ্বার,	পাঁচবার,	
vobani,	ভবানী,	ভবানী,	
shaahaabaah,	সাহাবাহ,	সাহাবাহ,	
chhatta,	ছাঁটা,	ছোট্ট,	
vaisaha,	ভাইসহ,	ভাইসহ,	
poricchonnota,	পরিচ্ছননতা,	পরিচ্ছন্নতা,	
kommatei,	কমাতেই,	কমাতেই,	
dharagulor,	ধারাগুলোর,	ধারাগুলোর,	
bagach,	বাগাচ,	বটগাছ,	
shansthatikey,	সংস্থাটিকে,	সংস্থাটিকে,	
swatantrata,	স্বতান্ত্রতা,	স্বতন্ত্রতা,	
naraphooka,	নাফাকু,	নরফোক,	
koreemer,	করিমের,	করিমের,	
duckticketer,	ডাক্িিকিটের,	ডাকটিকিটের,	
kathhmandu,	কাঠমান্দু,	কাঠমান্ডু,	
anis,	অনিশ,	আনিস,	
onkush,	অঙ্কুষ,	অংকুশ,	
elakaate,	এলাকাতে,	এলাকাতে,	
jerujalemer,	জেরুজামিলীর,	জেরুজালেমের,	
prokare,	প্রকারে,	প্রকারে,	
shayanaida,	শায়ানাড,	সায়ানাইড,	
dollu,	দল্লু,	ডলু,	
disney,	ডিজনে,	ডিজনী,	
azibon,	আজিবন,	আজীবন,	
kranti,	ক্রান্টি,	ক্রান্তি,	
vooter,	ভোটের,	ভোটার,	
bukhari,	বুখারী,	বুখারি,	
euroo,	ইউরো,	ইউরো,	
maniktala,	মনিকতালা,	মানিকতলা,	
taufik,	তৌফিক,	তৌফিক,	
paripaker,	পরিপাকের,	পরিপাকের,	
anchalsaha,	আঞ্চলসহ,	অঞ্চলসহ,	
seekkhakromer,	শিক্ষাক্রমের,	শিক্ষাক্রমের,	
badana,	বাদনন,	বদনা,	
byatasamyan,	ব্যাসাসম্যমন,	ব্যাটসম্যান,	
dhnoka,	ধনকা,	ধোঁকা,	
thailandshoho,	তালাহ্্বল,	থাইল্যান্ডসহ,	
ostheesandhi,	অস্থিবান্স্বী,	অস্থিসন্ধি,	
heavi,	হেভি,	হেভি,	
kul,	কুল,	কুল,	
bishshaasho,	বিশ্বাস,	বিশ্বাসও,	
doojoo,	দুজ,	ডোজো,	
rachonakal,	রচনাকাল,	রচনাকাল,	
aairish,	আইরিশ,	আইরিস,	
pratimar,	প্রতিমার,	প্রতিমার,	
purohitra,	পুরোহিত্র,	পুরোহিতরা,	
qrita,	ক্রিট,	ক্রীট,	
breqathru,	ব্রেকার্থু,	ব্রেকথ্রু,	
homeser,	হোমেসের,	হোমসের,	
somaazeri,	সমাজিরী,	সমাজেরই,	
gripa,	গ্রিপ,	গ্রিপ,	
opadan,	অপদান,	অপাদান,	
paite,	পাইটে,	পাইতে,	
ashongkai,	অসংকাই,	আশঙ্কাই,	
sealvi,	সিলভি,	সিলভি,	
sotorkokaree,	সতররকারী,	সতর্ককারী,	
sampadaner,	সম্পাদনের,	সম্পাদনের,	
tinej,	টিনেজ,	টিনেজ,	
franko,	ফ্রাঙ্ক,	ফ্রাঙ্কো,	
hitaishi,	হিটাই,	হিতৈষী,	
chereche,	চেরেছে,	ছেড়েছে,	
bonovumite,	বনুভূমিতে,	বনভূমিতে,	
