vushi,	ভূষি,	ভুষি,	
soteciety,	সতেটিসি,	সোসাইটিতে,	
perri,	পেযারি,	পেরি,	
basturoi,	বস্তুরি,	বস্তুরই,	
mashjid,	মাজিদ,	মসজিদ,	
jonmato,	জন্মাত,	জন্মাত,	
shreemoti,	শ্রীমতি,	শ্রীমতি,	
greep,	গ্রিপ,	গ্রিপ,	
oteeteo,	অতীতেও,	অতীতেও,	
madraji,	মাদরাজী,	মাদ্রাজি,	
panjikar,	পাঁজিকার,	পঞ্জিকার,	
marekting,	মারেকটিক,	মার্কেটিং,	
hattey,	হাটে,	হাঁটতে,	
chalchhe,	চলছে,	চলছে,	
blyaka,	ব্ল্যাক,	ব্ল্যাক,	
noitikotar,	নৈতিকতার,	নৈতিকতার,	
gulen,	গুলেন,	গুলেন,	
tovnship,	টাউন্সিপ,	টাউনশিপ,	
sithilota,	সিথিলতা,	শিথিলতা,	
eidaning,	ঈদানিং,	ইদানীং,	
udvabaney,	উদ্ভবনে,	উদ্ভাবনে,	
tuleche,	তুলেছে,	তুলেছে,	
ganakantha,	গণকণ্ঠ,	গণকণ্ঠ,	
gandhiike,	গান্ধীকে,	গান্ধীকে,	
samley,	সামলে,	সামলে,	
zoneete,	যোনিতে,	যোনীতে,	
upanishad,	উপনিশদ,	উপনিষদ,	
aksathei,	এক্সাথেই,	একসাথেই,	
elakashaho,	এলাকাশহ,	এলাকাসহ,	
olimpiker,	অলিম্পিকের,	অলিম্পিকের,	
dara,	ডারা,	দারা,	
gaujano,	গৌজন,	গজানো,	
biprodas,	বিপ্রদদাশ,	বিপ্রদাস,	
tecnokret,	টেকনক্রেট,	টেকনোক্র্যাট,	
gaarnaar,	গার্নার,	গার্নার,	
dokanei,	ডোকানেই,	দোকানেই,	
cholochchitreo,	চলচ্ছিত্রেও,	চলচ্চিত্রেও,	
shikkhakromer,	শিক্ষাক্রমের,	শিক্ষাক্রমের,	
sorjur,	সর্জুর,	সরযূর,	
governorer,	গভর্নরের,	গভর্ণরের,	
zesa,	জেস,	জেস,	
udvaban,	উদ্ভবন,	উদ্ভাবন,	
mathew,	মাঠেও,	ম্যাথিউ,	
forma,	ফরমা,	ফর্মা,	
turkameena,	তুর্কমিন,	তুর্কমেন,	
basiney,	বাসিনে,	বেসিনে,	
cheerkoot,	চিরকুট,	চিরকুট,	
nesnos,	নেশনস,	নেশনস,	
bhabani,	ভবনী,	ভবানী,	
elakai,	এলাকাই,	এলাকাই,	
nesons,	নেসন্স,	নেশনস,	
potkaa,	পটকা,	পটকা,	
santani,	সন্তানী,	সনাতনী,	
uper,	উপার,	আপের,	
daawn,	ডাউন,	ডাউন,	
pancbaar,	পাংচার,	পাঁচবার,	
cooda,	কোড,	কোডা,	
shainyara,	সৈন্য়র,	সৈন্যরা,	
crecenter,	ক্রিসেন্টের,	ক্রিসেন্টের,	
ekirokom,	একিরকম,	একইরকম,	
dargah,	দরগাহ,	দরগাহ,	
riphleksa,	রাইফেল্স,	রিফ্লেক্স,	
saahocorrzo,	সাহকর্য,	সাহচর্য,	
bharma,	ভারমা,	ভার্মা,	
shringo,	শ্রীঙ্গ,	শৃঙ্গ,	
cross,	ক্রস,	ক্রুশ,	
teenisa,	টেনিস,	টেনিস,	
bohal,	বহল,	বহাল,	
krishenta,	ক্রিষেন্ট,	ক্রিসেন্ট,	
dhonni,	ধনবনি,	ধন্যি,	
flag,	ফ্ল্যাগ,	ফ্লাগ,	
gaiche,	গৈছে,	গাইছে,	
vageri,	ভাগেরি,	ভাগেরই,	
oocchoseeto,	উচ্চসিত,	উচ্ছসিত,	
somaazer,	সমাজের,	সমাজের,	
granthoti,	গ্রন্থটি,	গ্রন্থটি,	
orthonitite,	অর্থনীতিতে,	অর্থনীতিতে,	
sqolastic,	স্কোলাস্টিক,	স্কলাস্টিক,	
grambasee,	গ্রামবাসী,	গ্রামবাসী,	
ghumachhe,	ঘুমাছে,	ঘুমাচ্ছে,	
jaj,	জাযাজ,	জাজ,	
shreeshree,	শ্রীশারি,	শ্রীশ্রী,	
timoothy,	তিমুথি,	টিমোথি,	
thare,	দেরে,	থরে,	
chandrimaa,	চন্দ্রিমা,	চন্দ্রিমা,	
rato,	রত,	রত,	
nirmaankaj,	নির্মাণক,	নির্মাণকাজ,	
sumi,	সুমি,	সুমি,	
cholochchitrake,	চলচিচ্ত্রকে,	চলচ্চিত্রকে,	
oholla,	অহলা,	অহল্যা,	
samanno,	সামান্য,	সামান্য,	
shakara,	সাকার,	সকার,	
ashirbad,	আশীর্বাদ,	আশির্বাদ,	
nothibhooktir,	নথিভূক্তির,	নথিভুক্তির,	
anchaltikey,	আঞ্চলিকে,	অঞ্চলটিকে,	
agovir,	অগোভীর,	অগভীর,	
protijogitar,	প্রতিযোগিতার,	প্রতিযোগীতার,	
messenjer,	মেশেঞ্জের,	মেসেঞ্জার,	
metropalitana,	মেট্রোপলিটান,	মেট্রোপলিটন,	
nirikha,	নিরিখা,	নিরিখ,	
trivuz,	ত্রিভুজ,	ত্রিভূজ,	
sikar,	শিকার,	শিকার,	
ssosha,	শসা,	শশা,	
ashonka,	অশঙ্ক,	আশঙ্কা,	
degree,	ডিগ্রী,	ডিগ্রি,	
nagorikkey,	নগরীককে,	নাগরিককে,	
muhmmoder,	মুহমমদের,	মুহম্মদের,	
lotharan,	লথারান,	লুথেরান,	
sarboshokteeman,	সর্বসংক্তমণ,	সর্বশক্তিমান,	
grambaasee,	গ্রামবাসী,	গ্রামবাসী,	
domone,	ডমনে,	দমনে,	
shulkey,	শুলকে,	শুল্কে,	
saramiks,	সারামিক্স,	সিরামিকস,	
dibi,	দিবি,	দিবি,	
hames,	হামেস,	হোমস,	
temonbhabe,	তেমনভাবে,	তেমনভাবে,	
seektara,	সেক্টার,	সেক্টর,	
hoteltee,	হ্যাটেলটি,	হোটেলটি,	
bongobondhu,	বন্গবন্ধু,	বঙ্গবন্ধু,	
dharabahikotitey,	ধারাবাধিকতিতে,	ধারাবাহিকটিতে,	
prabhura,	প্রভূর,	প্রভুরা,	
boudhheer,	বৌধির,	বৌদ্ধের,	
koruna,	করুনা,	করুণা,	
bandhuderke,	বন্ধুদেরকে,	বন্ধুদেরকে,	
adhunik,	আধুনিক,	আধুনিক,	
palki,	পাল্কি,	পাল্কি,	
vumir,	ভূমির,	ভূমির,	
onnkita,	অনকিত,	অঙ্কিতা,	
nirmaankaaj,	নির্মাণক,	নির্মাণকাজ,	
ojouno,	অযৌন,	অযৌন,	
sekarane,	সেকরনে,	সেকারণে,	
ramantik,	রোমান্তিক,	রোমান্টিক,	
zeebonjaapon,	জীবনযাপন,	জীবনযাপন,	
balbo,	বলব,	বলবো,	
ashammatite,	অসম্মেটিতে,	অসম্মতি,	
mugdal,	মুগদল,	মুগডাল,	
naker,	নাকের,	নেকের,	
sumeeta,	সুমেট,	সুমিতা,	
epiela,	এপিল,	আইপিএল,	
sthapanar,	স্থাপনার,	স্থাপনার,	
obotar,	অবতার,	অবতার,	
reejideencee,	রেজিডেন্সি,	রেসিডেন্স,	
veda,	ভেদ,	বেদ,	
qarqa,	কার্ক,	কার্ক,	
cholochchitrer,	চলচিত্রের,	চলচ্চিত্রের,	
oparogota,	অপারগত,	অপারগতা,	
ponni,	পন্যী,	পন্নী,	
roomantik,	রোমান্তিক,	রোমান্টিক,	
sobchey,	সবছে,	সবচে,	
valobase,	ভালবাসে,	ভালোবাসে,	
karka,	কর্ক,	কার্ক,	
dubaate,	দুবাতে,	ডুবাতে,	
dhila,	ঢিলা,	ঢিলা,	
fiksing,	ফিক্সিং,	ফিক্সিং,	
monhputo,	মন্পুত,	মনঃপুত,	
poper,	পপার,	পোপের,	
jyaqa,	জ্যাক,	জ্যাক,	
barak,	বারক,	বারাক,	
heris,	হেরিশ,	হ্যারিস,	
khargoser,	খারগের,	খরগোসের,	
satarka,	সরতার্ক,	সতর্ক,	
tatira,	তািরা,	তাঁতিরা,	
simons,	সীমন্স,	সিমন্স,	
lobbyte,	লাবটি,	লবিতে,	
mukhobandha,	মুখবন্ধ,	মুখবন্ধ,	
olngkoron,	অলঙকরণ,	অলঙ্করণ,	
mawdeel,	মডিল,	মডেল,	
gronthowo,	গ্রন্থও,	গ্রন্থও,	
ganonanatto,	গণনাত্য,	গণনাট্য,	
ponthar,	পণ্থার,	পন্থার,	
goroor,	গরর,	গরুর,	
aazaan,	আজান,	আজান,	
mukherjee,	মুখার্জি,	মুখার্জী,	
priimo,	প্রীম,	প্রিমো,	
abotaar,	অবতার,	অবতার,	
arakani,	অরাকানী,	আরাকানী,	
baaik,	বাইক,	বাইক,	
ivam,	ইভম,	ইভিএম,	
hotodoridro,	হতোদিররর্য,	হতদরিদ্র,	
rushd,	রাশদ,	রুশদ,	
marqeting,	মার্কেটিং,	মার্কেটিং,	
lombate,	লম্বাতে,	লম্বাটে,	
bang,	ব্যাং,	ব্যাং,	
adhattikota,	আধ্যতিকতা,	আধ্যাত্মিকতা,	
thatcher,	টাচের,	থ্যাচার,	
asietic,	অ্যাজিটিক,	এশিয়াটিক,	
fal,	ফল,	ফল,	
romantika,	রোমান্তিক,	রোমান্টিক,	
abasare,	আবাসরে,	অবসরে,	
snipar,	স্নিপার,	স্নাইপার,	
bhorkendra,	ভর্কেন্দ্র,	ভরকেন্দ্র,	
shreemati,	শ্রীমতি,	শ্রীমতি,	
bihare,	বিহারে,	বিহারে,	
platoo,	প্লাটো,	প্লেটো,	
radhanogor,	রাধানগর,	রাধানগর,	
somaazeri,	সোমাজেরি,	সমাজেরই,	
rohasyer,	রহসস্যের,	রহস্যের,	
niurolazi,	নিউরোলজি,	নিউরোলজি,	
poshte,	পোষ্টে,	পোষ্টে,	
retasa,	রেটস,	রাইটস,	
charzara,	চার্জার,	চার্জার,	
cheettronnatyokar,	চিত্রনাট্যককার,	চিত্রনাট্যকার,	
tinbhager,	তিনভাগের,	তিনভাগের,	
taorat,	তারাট,	তওরাত,	
satorkovabe,	সতরক্ভভাবে,	সতর্কভাবে,	
agomoney,	আগমনে,	আগমনে,	
chaabir,	ছবির,	চাবির,	
soleel,	সলিল,	সলিল,	
samabesh,	সমবেশ,	সমাবেশ,	
sohingsotar,	সহিংসতার,	সহিংসতার,	
quary,	কারি,	কোয়েরি,	
chaalta,	চল্ট,	চালতা,	
myathiou,	ম্যাথিও,	ম্যাথিউ,	
moshion,	মোশন,	মোশন,	
vaibon,	ভাইন,	ভাইবোন,	
maadhoobir,	মাধবীর,	মাধবীর,	
rutina,	রুটিন,	রুটিন,	
sarbhaarer,	সারভারের,	সার্ভারের,	
toufeek,	তৌফিক,	তৌফিক,	
abolokon,	অবলোকন,	অবলোকন,	
bonovumi,	বনভূমি,	বনভূমি,	
udbhaban,	উদ্ভবন,	উদ্ভাবন,	
heedgee,	হেজগী,	হেজ,	
uruu,	উরু,	উরু,	
khelafotey,	খেলাফোতে,	খেলাফতে,	
jansa,	জনস,	জোন্স,	
snipper,	স্নিপের,	স্নাইপার,	
soccar,	সকচার,	সকার,	
sossa,	শস্য,	শশা,	
agrodut,	অগ্রদাত,	অগ্রদূত,	
korecho,	করেছো,	করেছ,	
bosonto,	বসন্ত,	বসন্ত,	
nischitbhabe,	নিশ্চিতভাবে,	নিশ্চিতভাবে,	
agomonke,	আগমনকে,	আগমনকে,	
kommppito,	কম্পিত,	কম্পিত,	
ula,	উলা,	উল,	
grambaashi,	গ্রামবাসী,	গ্রামবাসী,	
satjan,	সতজান,	সাতজন,	
deeputi,	দিপুটি,	ডেপুটি,	
eshiyatiqa,	এসিয়েটিক,	এশিয়াটিক,	
tooku,	টুকু,	টুকু,	
rilayeensa,	রিলেন্স,	রিলায়েন্স,	
omanisa,	অমানিসা,	অমানিশা,	
raits,	রেটস,	রাইটস,	
astikra,	অস্তিকরা,	আস্তিকতা,	
qindama,	কিন্ডম,	কিংডম,	
cholochchitrai,	চলচিত্রই,	চলচ্চিত্রই,	
consarvation,	কনসারভেশন,	কনসারভেশন,	
title,	টিটল,	টাইটেল,	
taitela,	টাইলেট,	টাইটেল,	
bheenisa,	ভেনিস,	ভেনিস,	
shaater,	সাটের,	শ্যুটার,	
jaruri,	জরুরি,	জরূরী,	
karmokarke,	কর্মকরকে,	কর্মকারকে,	
dikpal,	দিকপল,	দিকপাল,	
dharer,	ধারের,	ধরের,	
shhipa,	শিপ,	শিপ,	
anchalgulir,	অঞ্চলগুলির,	অঞ্চলগুলির,	
miraqela,	মারাকেল,	মিরাকেল,	
feroza,	ফেরোজা,	ফিরোজা,	
mucus,	মুকাশ,	মিউকাস,	
madol,	মাদল,	মাদল,	
baju,	বাজু,	বাজু,	
jonmaat,	জন্মাত,	জন্মাত,	
saseja,	সাসেজা,	সসেজ,	
granthei,	গ্রন্থেই,	গ্রন্থেই,	
tafsirer,	তফসিরের,	তাফসীরের,	
chaalke,	চালকে,	চালকে,	
valobasakey,	ভালবাসাকে,	ভালোবাসাকে,	
muradke,	মুরদদে,	মুরাদকে,	
mit,	মিত,	মিট,	
franko,	ফ্রাঙ্ক,	ফ্রাঙ্কো,	
johnsh,	জনহস,	জন্স,	
kinsha,	কিংস,	কিংস,	
avinetar,	অভিনেতর,	অভিনেতার,	
saajanor,	সাজানোর,	সাজানোর,	
siddhantogulo,	সিদ্ধানতুগুলো,	সিদ্ধান্তগুলো,	
voterer,	ভোটেরের,	ভোটারের,	
rijur,	রিজুর,	রিজুর,	
srichoitonnodeb,	শ্রীচৈনন্দদ্বে,	শ্রীচৈতন্যদেব,	
karlosha,	কর্লস,	কার্লোস,	
serveray,	সার্ভেরে,	সার্ভারে,	
sow,	সাও,	শো,	
suparichita,	সুপরিচিত,	সুপরিচিত,	
capsule,	কপসাল,	ক্যাপসুল,	
balroom,	বলরুম,	বলরুম,	
nathivookta,	নথিভূক্ত,	নথিভুক্ত,	
danata,	ডানাটা,	ডোনাট,	
oddure,	অডুরে,	অদুরে,	
khoka,	খোকা,	খোকা,	
chaity,	চৈটি,	চৈতি,	
orthanitike,	অর্থনীতিকে,	অর্থনীতিকে,	
byaboharkaree,	ব্যবহারকারি,	ব্যবহারকারী,	
helloin,	হেলেন,	হ্যালোইন,	
megher,	মেঘের,	মেঘের,	
zibonto,	জীবন্ত,	জীবন্ত,	
trans,	ট্রান্স,	ট্রান্স,	
shotokei,	শতকেই,	শতকেই,	
chittronatyokar,	চিত্রনাট্যকর,	চিত্রনাট্যকার,	
carpete,	কারপেটে,	কার্পেটে,	
shoti,	সতি,	শোটি,	
tat,	তট,	তাত,	
satjaner,	সতজানের,	সাতজনের,	
nations,	নটটন,	নেশনস,	
tourisht,	তারিশ্ট,	টুরিস্ট,	
brooklyn,	ব্রুক্লিন,	ব্রুকলিন,	
beenis,	বিনিশ,	ভেনিস,	
shasonkarta,	শাসনকর্ত,	শাসনকর্তা,	
satarkokari,	সতররকাকারী,	সতর্ককারী,	
taalgachh,	তালগাছ,	তালগাছ,	
taffsher,	তফসসের,	তাফসীর,	
shkora,	স্কোর,	স্কোর,	
favorite,	ফরভিতে,	ফেভারিট,	
elaakaate,	এলাকাতে,	এলাকাতে,	
toroonra,	তরুণরা,	তরুণরা,	
bamni,	বামনি,	বামনী,	
dito,	দিত,	দিতো,	
templet,	ট্যাপ্লেট,	টেম্পলেট,	
roobi,	রুবি,	রুবি,	
chetonagato,	চেতনাগত,	চেতনাগত,	
aro,	অরো,	আরও,	
ohong,	অহং,	অহং,	
asamorik,	আসামরিক,	অসামরিক,	
khalidkay,	খালিদকে,	খালিদকে,	
brittakare,	বৃত্তাকারে,	বৃত্তাকারে,	
loukikota,	লৌকিকতা,	লৌকিকতা,	
scholastic,	স্কলাস্টিক,	স্কলাস্টিক,	
change,	চঙ্গে,	চেঞ্জ,	
choudhurike,	চৌধুরিকে,	চৌধুরীকে,	
deejijer,	ডিজাইজের,	ডিজিজের,	
kobutorer,	কবুতরের,	কবুতরের,	
ooindo,	উইন্ড,	উইন্ডো,	
motion,	মোশন,	মোশন,	
moushumei,	মৌসমেই,	মৌসুমেই,	
ingrezder,	ইংরেজেের,	ইংরেজদের,	
beshirbhageyi,	বেশীরভাগেই,	বেশিরভাগেই,	
chhootochhuti,	ছুটছুটি,	ছুটোছুটি,	
dakop,	ডাকপ,	দাকোপ,	
rayyalati,	রায়্যালটি,	রয়্যালটি,	
lumbini,	লুম্বিনী,	লুম্বিনী,	
naniir,	নাীর,	নানীর,	
naubom,	নবম,	নবম,	
aanish,	আনিশ,	আনিস,	
parker,	পার্কের,	পার্কের,	
cherechhe,	কেরেছে,	ছেড়েছে,	
teestar,	টেস্টার,	তিস্তার,	
marpit,	মার্পিট,	মারপিট,	
atwabishvashi,	আত্বশ্বাভাষী,	আত্মবিশ্বাসী,	
eshhiyatika,	এসিয়েটিক,	এশিয়াটিক,	
teamothi,	তেমথি,	টিমোথি,	
samabeshti,	সমােশ্টি,	সমাবেশটি,	
horiner,	হরিনের,	হরিণের,	
wagadada,	ভাগাদা,	বাগদাদ,	
stalin,	স্টালিন,	স্টালিন,	
dharavahikti,	ধারাভিক্তি,	ধারাবাহিকটি,	
chalochchitro,	চলচিত্র,	চলচ্চিত্র,	
pituni,	পিতুনি,	পিটুনি,	
ingrezraa,	ইংরেজরা,	ইংরেজরা,	
shekarone,	শেকরনে,	সেকারণে,	
shhikara,	শিকার,	শিকার,	
sofyr,	সফির,	সোফির,	
ostad,	অস্তাদ,	ওস্তাদ,	
dibeeta,	দিবেট,	ডিবেট,	
udbodhonee,	উদ্ধবোধী,	উদ্বোধনী,	
kaas,	কাশ,	কাস,	
koontee,	কোন্টি,	কুন্তী,	
nothibhuktir,	নথিভূক্তির,	নথিভুক্তির,	
drishyogulo,	দৃশ্যগুলো,	দৃশ্যগুলো,	
gronthotikey,	গ্রন্থটিকে,	গ্রন্থটিকে,	
residensa,	রেসিডেন্স,	রেসিডেন্স,	
brittakar,	বৃত্তাকার,	বৃত্তাকার,	
dovaar,	ডভার,	ডোভার,	
baaraak,	বারাক,	বারাক,	
elaaka,	এলাকা,	এলাকা,	
chaakti,	চাকটি,	চাকতি,	
messengerer,	মেশেঙ্গেরের,	মেসেঞ্জারের,	
inshtant,	ইন্সট্যান্ট,	ইনস্ট্যান্ট,	
olympic,	অলিম্পিক,	অলিম্পিক,	
economeeks,	ইকোনমিক্স,	ইকোনমিকস,	
somaptir,	সমাপ্তির,	সমাপ্তির,	
songosthagulo,	সংস্ঠাগুলো,	সংস্থাগুলো,	
robotic,	রোবটিক,	রোবোটিক,	
graambasi,	গ্রামবাসী,	গ্রামবাসী,	
ekpaase,	একপাশে,	একপাশে,	
kaaru,	কারু,	কারু,	
average,	অ্যাভারেজ,	এভারেজ,	
ever,	আভার,	এভার,	
puroheetder,	পুরোহিদের,	পুরোহিতদের,	
sadeena,	সাদেনা,	সাডেন,	
kokeyin,	কোকেইন,	কোকেইন,	
chhayi,	ছাই,	ছাই,	
jamaanor,	জমানোর,	জমানোর,	
jamkaalo,	জামকালও,	জমকালো,	
vangle,	ভাঙ্গেল,	ভাঙলে,	
deeyenes,	ডিনেশ,	ডিএনএস,	
treebhuj,	ত্রিভুজ,	ত্রিভূজ,	
spredashita,	স্প্রেদািট,	স্প্রেডশীট,	
nischitobhave,	নিশ্চিতভাবে,	নিশ্চিতভাবে,	
bonaa,	বোনা,	বোনা,	
tobey,	তবে,	টবে,	
shajano,	সাজান,	সাজানো,	
aarcia,	আর্চিয়া,	আরসিএ,	
kara,	কারা,	কারো,	
choudhureeder,	চৌধুদীরের,	চৌধুরীদের,	
aakaabar,	আকাবার,	আকাবার,	
azaadir,	আজাদীর,	আজাদীর,	
residance,	রেসিডেন্স,	রেসিডেন্স,	
bouddha,	বৌদ্ধ,	বৌদ্ধ,	
chhootir,	ছুটির,	ছুটির,	
chirota,	চিরতা,	চিরতা,	
machder,	মাচদের,	মাছদের,	
brookolin,	ব্রুকলিন,	ব্রুকলিন,	
nuhas,	নুহাস,	নুহাশ,	
dolgulo,	দলগুলো,	দলগুলোও,	
thake,	থাকে,	থাকে,	
floodliter,	ফ্লাডলিতের,	ফ্লাডলাইটের,	
ghateer,	ঘটির,	ঘাটির,	
durgandho,	দুর্গন্ধ,	দুর্গন্ধ,	
poderthobid,	পদার্থবিদ,	পদার্থবিদ,	
sthaponakey,	স্থাপনাকে,	স্থাপনাকে,	
chhedon,	ছেদন,	ছেদন,	
saaeda,	সাদে,	সাইদা,	
coolin,	কলিন,	কুলিং,	
pulse,	পালসে,	পালস,	
carlo,	কার্ল,	কার্লো,	
kale,	কালে,	কালে,	
ottacharer,	অত্মাচারের,	অত্যাচারের,	
ingrezeeteo,	ইংরেজিতেও,	ইংরেজিতেও,	
chhutochhooti,	ছুটছুটি,	ছুটোছুটি,	
aiisa,	আইস,	আইএএস,	
rekhapat,	রেখাপাত,	রেখাপাত,	
charchita,	চর্চিত,	চর্চিত,	
ganesher,	গণেশের,	গণেশের,	
thailyanda,	থাইল্যান্ড,	থাইল্যান্ড,	
herfer,	হারফের,	হেরফের,	
bishwanath,	বিশ্বনাথ,	বিশ্বনাথ,	
korusher,	করুশের,	ক্রুশের,	
chereche,	কেরেচে,	ছেড়েছে,	
qeyboard,	কেওব্র্ড,	কীবোর্ড,	
biseshyo,	বিশেষ্য,	বিশেষ্য,	
ewer,	আইভার,	এভার,	
khizir,	খিজির,	খিজির,	
onkar,	অঙ্কার,	ওঙ্কার,	
yuk,	যুক,	ইয়াক,	
bem,	বেম,	বিম,	
duburir,	দুবুরির,	ডুবুরির,	
armashtram,	অর্াস্ট্রাম,	আর্মস্ট্রং,	
yatharthabhabe,	যথার্থভাবে,	যথার্থভাবে,	
chalochchitrer,	চলচিত্রের,	চলচ্চিত্রের,	
jyeshtha,	জ্যেষ্ঠ্য,	জ্যেষ্ঠা,	
shakkhatkarer,	সাক্ষাৎকারের,	সাক্ষাত্কারের,	
pratista,	প্রতিষ্ট,	প্রতিষ্টা,	
langhaner,	লঙ্ঘনের,	লংঘনের,	
abdi,	আব্দি,	অব্দি,	
nirvachaker,	নির্বাচকের,	নির্বাচকের,	
sainyasaha,	সৈন্যসহ,	সৈন্যসহ,	
peengna,	পেঙ্গা,	পিংনা,	
grameri,	গ্রামারি,	গ্রামেরই,	
coda,	কোড,	কোডা,	
bim,	বিম,	বীম,	
edaning,	এডানিং,	ইদানীং,	
noiteekvabe,	নৈতিকভাবে,	নৈতিকভাবে,	
bhogni,	ভগ্নী,	ভগ্নী,	
dharmantar,	ধর্মন্তর,	ধর্মান্তর,	
soinyo,	সৈন্য,	সৈন্য,	
achish,	আচিশ,	আছিস,	
prakalpagulo,	প্রকলপুলো,	প্রকল্পগুলো,	
plate,	প্লেট,	প্লেটে,	
elakaatir,	এলাকাটির,	এলাকাটির,	
jibonto,	জীবন্ত,	জীবন্ত,	
gotibege,	গতিবেগে,	গতিবেগে,	
hoomasa,	হোমাস,	হোমস,	
bhyatikaner,	ভ্যাতিকানের,	ভ্যাটিকানের,	
prabhritike,	প্রভীতিকে,	প্রভৃতিকে,	
bhaisoho,	ভাইসহ,	ভাইসহ,	
pooding,	পুদিং,	পুডিং,	
norton,	নর্তন,	নর্টন,	
norpholk,	নর্ফলক,	নরফোক,	
atorkitey,	অটর্কিতে,	অতর্কিতে,	
zess,	জেস,	জেস,	
biplabeer,	বিপ্লবীর,	বিপ্লবীর,	
dinnar,	ডিনার,	ডিনার,	
flask,	ফ্লাস্ক,	ফ্লাস্ক,	
thaii,	ঠাই,	থাই,	
chalochchitragulor,	চলচ্চিত্রগুলোর,	চলচ্চিত্রগুলোর,	
swartho,	স্বর্থ,	স্বার্থ,	
militarir,	মিলিটারির,	মিলিটারির,	
nirmankaz,	নির্মাণক,	নির্মাণকাজ,	
tanu,	তানু,	তনু,	
horeedware,	হরিদ্বারে,	হরিদ্বারে,	
transformerer,	ট্রান্সফোর্মের,	ট্রান্সফরমারের,	
pratiyogitamulak,	প্রতিযোগিতামূলক,	প্রতিযোগীতামূলক,	
nabyata,	নব্যতা,	নাব্যতা,	
elaakai,	এলাকাই,	এলাকাই,	
bolokarok,	বলকারক,	বলকারক,	
liceensee,	লাইনেস্,	লাইসেন্স,	
suresh,	সুরেশ,	সুরেশ,	
chase,	চাষে,	চেস,	
kamla,	কামলা,	কামলা,	
rob,	রব,	রব,	
segulo,	সেগুলো,	সেগুলো,	
michir,	মিচির,	মিচির,	
sanbadmadhyame,	সংবাধামধ্যামে,	সংবাদমাধ্যমে,	
chhutee,	ছুটি,	ছুটি,	
aaminar,	আমিনার,	আমিনার,	
akkhar,	অক্ষার,	অক্ষর,	
varote,	ভারতে,	ভারতে,	
deebatee,	দিবতী,	ডিবেট,	
sooresh,	সুরেশ,	সুরেশ,	
shrishri,	শ্রীশ্রি,	শ্রীশ্রী,	
shaatjoner,	সাতজনের,	সাতজনের,	
basuki,	বাসুকি,	বাসুকি,	
moddhyekar,	মধ্যেকার,	মধ্যেকার,	
swosti,	স্বস্তি,	স্বস্তি,	
bikretader,	বিক্রেতাদের,	বিক্রেতাদের,	
bholapuka,	ভোলপুকা,	ভোলাপুক,	
taimash,	টাইমস,	টাইমস্,	
dibbay,	দিবে,	দিব্যা,	
bibad,	বিবাদ,	বিবাদ,	
udbhabane,	উদ্ভবনে,	উদ্ভাবনে,	
fanse,	ফাঁসে,	ফাঁসে,	
wenis,	ওয়েনিস,	ভেনিস,	
wul,	উুল,	উল,	
beeru,	বিরু,	বীরু,	
azimke,	আজিমকে,	আজিমকে,	
gafeeloti,	গফিলাটি,	গাফিলতি,	
odoore,	অডূরে,	অদুরে,	
srisri,	শ্রীসরি,	শ্রীশ্রী,	
liceencee,	লিইনেস্স,	লাইসেন্স,	
gotirodh,	গতিরোধ,	গতিরোধ,	
dighol,	দিঘল,	দীঘল,	
lutheran,	লুথেরান,	লুথেরান,	
janomukhee,	জনমুখী,	জনমুখী,	
sabaner,	সাবেনের,	সাবানের,	
towraat,	টওরাট,	তওরাত,	
oporishodhito,	অপরিসোধিত,	অপরিশোধিত,	
sikhra,	শিখ্র,	শিখরা,	
gadha,	গধ,	গাধা,	
panthaar,	পান্াার,	পন্থার,	
recondishon,	রেকন্ডিসন,	রিকন্ডিশন,	
selina,	সেলিন,	সেলিনা,	
khogen,	খোগেন,	খগেন,	
gara,	গর,	গোর,	
kata,	কাটা,	কোটা,	
aedipus,	আইিদুপ,	ইডিপাস,	
swostir,	স্বস্তির,	স্বস্তির,	
saamaanyai,	সামা্যাই,	সামান্যই,	
tiunar,	টিউনার,	টিউনার,	
skart,	স্কার্ট,	স্কার্ট,	
shiramiksh,	শিরামিক্স,	সিরামিকস,	
osommotite,	অসম্মতিতে,	অসম্মতি,	
utsaha,	উত্সাহ,	উৎসাহ,	
mosjidtikey,	মসজিদিতকে,	মসজিদটিকে,	
lutherana,	লুথেরান,	লুথেরান,	
hozot,	হজত,	হজত,	
rajballabh,	রাজবলল্লা,	রাজবল্লভ,	
oichchik,	ঐচ্ছিক,	ঐচ্ছিক,	
ovishangson,	অভিশাসন,	অভিশংসন,	
janasangyog,	জনসংযোগ,	জনসংযোগ,	
sanaktakaran,	সনাক্তকরণ,	সনাক্তকরণ,	
graambaasir,	গ্রামবাসীর,	গ্রামবাসীর,	
vumija,	ভূমিজ,	ভূমিজ,	
chhatogolpe,	ছোটোগল্পে,	ছোটগল্পে,	
jaqi,	জাকি,	জকি,	
bm,	বিএম,	বিএম,	
apoharon,	অপহরণ,	অপহরন,	
phiqsa,	ফিক্স,	ফিক্স,	
tokee,	টোকে,	তকি,	
aakik,	আকিক,	আকিক,	
churger,	চুর্গের,	চার্জের,	
bhotarer,	ভোটরের,	ভোটারের,	
sazanor,	সাজানোর,	সাজানোর,	
sorsa,	সর্ষ,	সোর্স,	
chalo,	চল,	চলো,	
